GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
2SA.12.7	Nathan said to David, “You are the man. Thus says the 
2SA.12.8	and I gave you your master's house, and your master's wives into your bosom, and gave you the house of Israel and of Judah; and if this were too little, I would add to you as much more. 
2SA.12.9	Why have you despised the word of the 
2SA.12.10	Now therefore the sword shall never depart from your house, because you have despised me, and have taken the wife of Uriah the Hittite to be your wife.’ 
2SA.12.11	Thus says the 
2SA.12.12	For you did it secretly; but I will do this thing before all Israel, and before the sun.’ ” 
2SA.12.13	David said to Nathan, “I have sinned against the 
2SA.12.14	Nevertheless, because by this deed you have utterly scorned the 
2SA.12.15	Then Nathan went to his house.
2SA.12.15	And the 
2SA.12.16	David therefore besought God for the child; and David fasted, and went in and lay all night upon the ground. 
2SA.12.17	And the elders of his house stood beside him, to raise him from the ground; but he would not, nor did he eat food with them. 
2SA.12.18	On the seventh day the child died. And the servants of David feared to tell him that the child was dead; for they said, “Behold, while the child was yet alive, we spoke to him, and he did not listen to us; how then can we say to him the child is dead? He may do himself some harm.” 
2SA.12.19	But when David saw that his servants were whispering together, David perceived that the child was dead; and David said to his servants, “Is the child dead?” They said, “He is dead.” 
2SA.12.20	Then David arose from the earth, and washed, and anointed himself, and changed his clothes; and he went into the house of the 
2SA.12.21	Then his servants said to him, “What is this thing that you have done? You fasted and wept for the child while it was alive; but when the child died, you arose and ate food.” 
2SA.12.22	He said, “While the child was still alive, I fasted and wept; for I said, ‘Who knows whether the 
2SA.12.23	But now he is dead; why should I fast? Can I bring him back again? I shall go to him, but he will not return to me.”
2SA.12.24	Then David comforted his wife, Bathsheba, and went in to her, and lay with her; and she bore a son, and he called his name Solomon. And the 
2SA.12.25	and sent a message by Nathan the prophet; so he called his name Jedidiah,
2SA.12.27	And Joab sent messengers to David, and said, “I have fought against Rabbah; moreover, I have taken the city of waters. 
2SA.12.28	Now, then, gather the rest of the people together, and encamp against the city, and take it; lest I take the city, and it be called by my name.” 
2SA.12.29	So David gathered all the people together and went to Rabbah, and fought against it and took it. 
2SA.12.30	And he took the crown of their king
2SA.12.31	And he brought forth the people who were in it, and set them to labor with saws and iron picks and iron axes, and made them toil at
2SA.13.1	Now Absalom, David's son, had a beautiful sister, whose name was Tamar; and after a time Amnon, David's son, loved her. 
2SA.13.2	And Amnon was so tormented that he made himself ill because of his sister Tamar; for she was a virgin, and it seemed impossible to Amnon to do anything to her. 
2SA.13.3	But Amnon had a friend, whose name was Jonadab, the son of Shime-ah, David's brother; and Jonadab was a very crafty man. 
2SA.13.4	And he said to him, “O son of the king, why are you so haggard morning after morning? Will you not tell me?” Amnon said to him, “I love Tamar, my brother Absalom's sister.” 
2SA.13.5	Jonadab said to him, “Lie down on your bed, and pretend to be ill; and when your father comes to see you, say to him, ‘Let my sister Tamar come and give me bread to eat, and prepare the food in my sight, that I may see it, and eat it from her hand.’ ” 
2SA.13.6	So Amnon lay down, and pretended to be ill; and when the king came to see him, Amnon said to the king, “Pray let my sister Tamar come and make a couple of cakes in my sight, that I may eat from her hand.”
2SA.13.7	Then David sent home to Tamar, saying, “Go to your brother Amnon's house, and prepare food for him.” 
2SA.13.8	So Tamar went to her brother Amnon's house, where he was lying down. And she took dough, and kneaded it, and made cakes in his sight, and baked the cakes. 
2SA.13.9	And she took the pan and emptied it out before him, but he refused to eat. And Amnon said, “Send out every one from me.” So every one went out from him. 
2SA.13.10	Then Amnon said to Tamar, “Bring the food into the chamber, that I may eat from your hand.” And Tamar took the cakes she had made, and brought them into the chamber to Amnon her brother. 
2SA.13.11	But when she brought them near him to eat, he took hold of her, and said to her, “Come, lie with me, my sister.” 
2SA.13.12	She answered him, “No, my brother, do not force me; for such a thing is not done in Israel; do not do this wanton folly. 
2SA.13.13	As for me, where could I carry my shame? And as for you, you would be as one of the wanton fools in Israel. Now therefore, I pray you, speak to the king; for he will not withhold me from you.” 
2SA.13.14	But he would not listen to her; and being stronger than she, he forced her, and lay with her.
2SA.13.15	Then Amnon hated her with very great hatred; so that the hatred with which he hated her was greater than the love with which he had loved her. And Amnon said to her, “Arise, be gone.” 
2SA.13.16	But she said to him, “No, my brother; for this wrong in sending me away is greater than the other which you did to me.”
2SA.13.17	He called the young man who served him and said, “Put this woman out of my presence, and bolt the door after her.” 
2SA.13.18	Now she was wearing a long robe with sleeves; for thus were the virgin daughters of the king clad of old.
2SA.13.19	And Tamar put ashes on her head, and rent the long robe which she wore; and she laid her hand on her head, and went away, crying aloud as she went.
2SA.13.20	And her brother Absalom said to her, “Has Amnon your brother been with you? Now hold your peace, my sister; he is your brother; do not take this to heart.” So Tamar dwelt, a desolate woman, in her brother Absalom's house. 
2SA.13.21	When King David heard of all these things, he was very angry. 
2SA.13.22	But Absalom spoke to Amnon neither good nor bad; for Absalom hated Amnon, because he had forced his sister Tamar.
2SA.13.23	After two full years Absalom had sheepshearers at Baal-hazor, which is near Ephraim, and Absalom invited all the king's sons. 
2SA.13.24	And Absalom came to the king, and said, “Behold, your servant has sheepshearers; pray let the king and his servants go with your servant.” 
2SA.13.25	But the king said to Absalom, “No, my son, let us not all go, lest we be burdensome to you.” He pressed him, but he would not go but gave him his blessing. 
2SA.13.26	Then Absalom said, “If not, pray let my brother Amnon go with us.” And the king said to him, “Why should he go with you?” 
2SA.13.27	But Absalom pressed him until he let Amnon and all the king's sons go with him. 
2SA.13.28	Then Absalom commanded his servants, “Mark when Amnon's heart is merry with wine, and when I say to you, ‘Strike Amnon,’ then kill him. Fear not; have I not commanded you? Be courageous and be valiant.” 
2SA.13.29	So the servants of Absalom did to Amnon as Absalom had commanded. Then all the king's sons arose, and each mounted his mule and fled.
2SA.13.30	While they were on the way, tidings came to David, “Absalom has slain all the king's sons, and not one of them is left.” 
2SA.13.31	Then the king arose, and rent his garments, and lay on the earth; and all his servants who were standing by rent their garments. 
2SA.13.32	But Jonadab the son of Shime-ah, David's brother, said, “Let not my lord suppose that they have killed all the young men the king's sons, for Amnon alone is dead, for by the command of Absalom this has been determined from the day he forced his sister Tamar. 
2SA.13.33	Now therefore let not my lord the king so take it to heart as to suppose that all the king's sons are dead; for Amnon alone is dead.”
2SA.13.34	But Absalom fled. And the young man who kept the watch lifted up his eyes, and looked, and behold, many people were coming from the Horonaim road
2SA.13.35	And Jonadab said to the king, “Behold, the king's sons have come; as your servant said, so it has come about.” 
2SA.13.36	And as soon as he had finished speaking, behold, the king's sons came, and lifted up their voice and wept; and the king also and all his servants wept very bitterly.
2SA.13.37	But Absalom fled, and went to Talmai the son of Ammihud, king of Geshur. And David mourned for his son day after day. 
2SA.13.38	So Absalom fled, and went to Geshur, and was there three years. 
2SA.13.39	And the spirit
2SA.14.1	Now Joab the son of Zeruiah perceived that the king's heart went out to Absalom. 
2SA.14.2	And Joab sent to Tekoa, and fetched from there a wise woman, and said to her, “Pretend to be a mourner, and put on mourning garments; do not anoint yourself with oil, but behave like a woman who has been mourning many days for the dead; 
2SA.14.3	and go to the king, and speak thus to him.” So Joab put the words in her mouth.
2SA.14.4	When the woman of Tekoa came to the king, she fell on her face to the ground, and did obeisance, and said, “Help, O king.” 
2SA.14.5	And the king said to her, “What is your trouble?” She answered, “Alas, I am a widow; my husband is dead. 
2SA.14.6	And your handmaid had two sons, and they quarreled with one another in the field; there was no one to part them, and one struck the other and killed him. 
2SA.14.7	And now the whole family has risen against your handmaid, and they say, ‘Give up the man who struck his brother, that we may kill him for the life of his brother whom he slew’; and so they would destroy the heir also. Thus they would quench my coal which is left, and leave to my husband neither name nor remnant upon the face of the earth.”
2SA.14.8	Then the king said to the woman, “Go to your house, and I will give orders concerning you.” 
2SA.14.9	And the woman of Tekoa said to the king, “On me be the guilt, my lord the king, and on my father's house; let the king and his throne be guiltless.” 
2SA.14.10	The king said, “If any one says anything to you, bring him to me, and he shall never touch you again.” 
2SA.14.11	Then she said, “Pray let the king invoke the 
2SA.14.12	Then the woman said, “Pray let your handmaid speak a word to my lord the king.” He said, “Speak.” 
2SA.14.13	And the woman said, “Why then have you planned such a thing against the people of God? For in giving this decision the king convicts himself, inasmuch as the king does not bring his banished one home again. 
2SA.14.14	We must all die, we are like water spilt on the ground, which cannot be gathered up again; but God will not take away the life of him who devises
2SA.14.15	Now I have come to say this to my lord the king because the people have made me afraid; and your handmaid thought, ‘I will speak to the king; it may be that the king will perform the request of his servant. 
2SA.14.16	For the king will hear, and deliver his servant from the hand of the man who would destroy me and my son together from the heritage of God.’ 
2SA.14.17	And your handmaid thought, ‘The word of my lord the king will set me at rest’; for my lord the king is like the angel of God to discern good and evil. The 
2SA.14.18	Then the king answered the woman, “Do not hide from me anything I ask you.” And the woman said, “Let my lord the king speak.” 
2SA.14.19	The king said, “Is the hand of Joab with you in all this?” The woman answered and said, “As surely as you live, my lord the king, one cannot turn to the right hand or to the left from anything that my lord the king has said. It was your servant Joab who bade me; it was he who put all these words in the mouth of your handmaid. 
2SA.14.20	In order to change the course of affairs your servant Joab did this. But my lord has wisdom like the wisdom of the angel of God to know all things that are on the earth.”
2SA.14.21	Then the king said to Joab, “Behold now, I grant this; go, bring back the young man Absalom.” 
2SA.14.22	And Joab fell on his face to the ground, and did obeisance, and blessed the king; and Joab said, “Today your servant knows that I have found favor in your sight, my lord the king, in that the king has granted the request of his servant.” 
2SA.14.23	So Joab arose and went to Geshur, and brought Absalom to Jerusalem. 
2SA.14.24	And the king said, “Let him dwell apart in his own house; he is not to come into my presence.” So Absalom dwelt apart in his own house, and did not come into the king's presence.
2SA.14.25	Now in all Israel there was no one so much to be praised for his beauty as Absalom; from the sole of his foot to the crown of his head there was no blemish in him. 
2SA.14.26	And when he cut the hair of his head (for at the end of every year he used to cut it; when it was heavy on him, he cut it), he weighed the hair of his head, two hundred shekels by the king's weight. 
2SA.14.27	There were born to Absalom three sons, and one daughter whose name was Tamar; she was a beautiful woman.
2SA.14.28	So Absalom dwelt two full years in Jerusalem, without coming into the king's presence. 
2SA.14.29	Then Absalom sent for Joab, to send him to the king; but Joab would not come to him. And he sent a second time, but Joab would not come. 
2SA.14.30	Then he said to his servants, “See, Joab's field is next to mine, and he has barley there; go and set it on fire.” So Absalom's servants set the field on fire. 
2SA.14.31	Then Joab arose and went to Absalom at his house, and said to him, “Why have your servants set my field on fire?” 
2SA.14.32	Absalom answered Joab, “Behold, I sent word to you, ‘Come here, that I may send you to the king, to ask, “Why have I come from Geshur? It would be better for me to be there still.” Now therefore let me go into the presence of the king; and if there is guilt in me, let him kill me.’ ” 
2SA.14.33	Then Joab went to the king, and told him; and he summoned Absalom. So he came to the king, and bowed himself on his face to the ground before the king; and the king kissed Absalom.
2SA.15.1	After this Absalom got himself a chariot and horses, and fifty men to run before him. 
2SA.15.2	And Absalom used to rise early and stand beside the way of the gate; and when any man had a suit to come before the king for judgment, Absalom would call to him, and say, “From what city are you?” And when he said, “Your servant is of such and such a tribe in Israel,” 
2SA.15.3	Absalom would say to him, “See, your claims are good and right; but there is no man deputed by the king to hear you.” 
2SA.15.4	Absalom said moreover, “Oh that I were judge in the land! Then every man with a suit or cause might come to me, and I would give him justice.” 
2SA.15.5	And whenever a man came near to do obeisance to him, he would put out his hand, and take hold of him, and kiss him. 
2SA.15.6	Thus Absalom did to all of Israel who came to the king for judgment; so Absalom stole the hearts of the men of Israel.
2SA.15.7	And at the end of four
2SA.15.8	For your servant vowed a vow while I dwelt at Geshur in Aram, saying, ‘If the 
2SA.15.9	The king said to him, “Go in peace.” So he arose, and went to Hebron. 
2SA.15.10	But Absalom sent secret messengers throughout all the tribes of Israel, saying, “As soon as you hear the sound of the trumpet, then say, ‘Absalom is king at Hebron!’ ” 
2SA.15.11	With Absalom went two hundred men from Jerusalem who were invited guests, and they went in their simplicity, and knew nothing. 
2SA.15.12	And while Absalom was offering the sacrifices, he sent for
2SA.15.13	And a messenger came to David, saying, “The hearts of the men of Israel have gone after Absalom.” 
2SA.15.14	Then David said to all his servants who were with him at Jerusalem, “Arise, and let us flee; or else there will be no escape for us from Absalom; go in haste, lest he overtake us quickly, and bring down evil upon us, and smite the city with the edge of the sword.” 
2SA.15.15	And the king's servants said to the king, “Behold, your servants are ready to do whatever my lord the king decides.” 
2SA.15.16	So the king went forth, and all his household after him. And the king left ten concubines to keep the house. 
2SA.15.17	And the king went forth, and all the people after him; and they halted at the last house. 
2SA.15.18	And all his servants passed by him; and all the Cherethites, and all the Pelethites, and all the six hundred Gittites who had followed him from Gath, passed on before the king.
2SA.15.19	Then the king said to Ittai the Gittite, “Why do you also go with us? Go back, and stay with the king; for you are a foreigner, and also an exile from
2SA.15.20	You came only yesterday, and shall I today make you wander about with us, seeing I go I know not where? Go back, and take your brethren with you; and may the 
2SA.15.21	But Ittai answered the king, “As the 
2SA.15.22	And David said to Ittai, “Go then, pass on.” So Ittai the Gittite passed on, with all his men and all the little ones who were with him. 
2SA.15.23	And all the country wept aloud as all the people passed by, and the king crossed the brook Kidron, and all the people passed on toward the wilderness.
2SA.15.24	And Abiathar came up, and lo, Zadok came also, with all the Levites, bearing the ark of the covenant of God; and they set down the ark of God, until the people had all passed out of the city. 
2SA.15.25	Then the king said to Zadok, “Carry the ark of God back into the city. If I find favor in the eyes of the 
2SA.15.26	but if he says, ‘I have no pleasure in you,’ behold, here I am, let him do to me what seems good to him.” 
2SA.15.27	The king also said to Zadok the priest, “Look,
2SA.15.28	See, I will wait at the fords of the wilderness, until word comes from you to inform me.” 
2SA.15.29	So Zadok and Abiathar carried the ark of God back to Jerusalem; and they remained there.
2SA.15.30	But David went up the ascent of the Mount of Olives, weeping as he went, barefoot and with his head covered; and all the people who were with him covered their heads, and they went up, weeping as they went. 
2SA.15.31	And it was told David, “Ahithophel is among the conspirators with Absalom.” And David said, “O 
2SA.15.32	When David came to the summit, where God was worshiped, behold, Hushai the Archite came to meet him with his coat rent and earth upon his head. 
2SA.15.33	David said to him, “If you go on with me, you will be a burden to me. 
2SA.15.34	But if you return to the city, and say to Absalom, ‘I will be your servant, O king; as I have been your father's servant in time past, so now I will be your servant,’ then you will defeat for me the counsel of Ahithophel. 
2SA.15.35	Are not Zadok and Abiathar the priests with you there? So whatever you hear from the king's house, tell it to Zadok and Abiathar the priests. 
2SA.15.36	Behold, their two sons are with them there, Ahima-az, Zadok's son, and Jonathan, Abiathar's son; and by them you shall send to me everything you hear.” 
2SA.15.37	So Hushai, David's friend, came into the city, just as Absalom was entering Jerusalem.
2SA.16.1	When David had passed a little beyond the summit, Ziba the servant of Mephibosheth met him, with a couple of asses saddled, bearing two hundred loaves of bread, a hundred bunches of raisins, a hundred of summer fruits, and a skin of wine. 
2SA.16.2	And the king said to Ziba, “Why have you brought these?” Ziba answered, “The asses are for the king's household to ride on, the bread and summer fruit for the young men to eat, and the wine for those who faint in the wilderness to drink.” 
2SA.16.3	And the king said, “And where is your master's son?” Ziba said to the king, “Behold, he remains in Jerusalem; for he said, ‘Today the house of Israel will give me back the kingdom of my father.’ ” 
2SA.16.4	Then the king said to Ziba, “Behold, all that belonged to Mephibosheth is now yours.” And Ziba said, “I do obeisance; let me ever find favor in your sight, my lord the king.”
2SA.16.5	When King David came to Bahurim, there came out a man of the family of the house of Saul, whose name was Shime-i, the son of Gera; and as he came he cursed continually. 
2SA.16.6	And he threw stones at David, and at all the servants of King David; and all the people and all the mighty men were on his right hand and on his left. 
2SA.16.7	And Shime-i said as he cursed, “Begone, begone, you man of blood, you worthless fellow! 
2SA.16.8	The 
2SA.16.9	Then Abishai the son of Zeruiah said to the king, “Why should this dead dog curse my lord the king? Let me go over and take off his head.” 
2SA.16.10	But the king said, “What have I to do with you, you sons of Zeruiah? If he is cursing because the 
2SA.16.11	And David said to Abishai and to all his servants, “Behold, my own son seeks my life; how much more now may this Benjaminite! Let him alone, and let him curse; for the 
2SA.16.12	It may be that the 
2SA.16.13	So David and his men went on the road, while Shime-i went along on the hillside opposite him and cursed as he went, and threw stones at him and flung dust. 
2SA.16.14	And the king, and all the people who were with him, arrived weary at the Jordan;
2SA.16.15	Now Absalom and all the people, the men of Israel, came to Jerusalem, and Ahithophel with him. 
2SA.16.16	And when Hushai the Archite, David's friend, came to Absalom, Hushai said to Absalom, “Long live the king! Long live the king!” 
2SA.16.17	And Absalom said to Hushai, “Is this your loyalty to your friend? Why did you not go with your friend?” 
2SA.16.18	And Hushai said to Absalom, “No; for whom the 
2SA.16.19	And again, whom should I serve? Should it not be his son? As I have served your father, so I will serve you.”
2SA.16.20	Then Absalom said to Ahithophel, “Give your counsel; what shall we do?” 
2SA.16.21	Ahithophel said to Absalom, “Go in to your father's concubines, whom he has left to keep the house; and all Israel will hear that you have made yourself odious to your father, and the hands of all who are with you will be strengthened.” 
2SA.16.22	So they pitched a tent for Absalom upon the roof; and Absalom went in to his father's concubines in the sight of all Israel. 
2SA.16.23	Now in those days the counsel which Ahithophel gave was as if one consulted the oracle
2SA.17.1	Moreover Ahithophel said to Absalom, “Let me choose twelve thousand men, and I will set out and pursue David tonight. 
2SA.17.2	I will come upon him while he is weary and discouraged, and throw him into a panic; and all the people who are with him will flee. I will strike down the king only, 
2SA.17.3	and I will bring all the people back to you as a bride comes home to her husband. You seek the life of only one man,
2SA.17.4	And the advice pleased Absalom and all the elders of Israel.
2SA.17.5	Then Absalom said, “Call Hushai the Archite also, and let us hear what he has to say.” 
2SA.17.6	And when Hushai came to Absalom, Absalom said to him, “Thus has Ahithophel spoken; shall we do as he advises? If not, you speak.” 
2SA.17.7	Then Hushai said to Absalom, “This time the counsel which Ahithophel has given is not good.” 
2SA.17.8	Hushai said moreover, “You know that your father and his men are mighty men, and that they are enraged, like a bear robbed of her cubs in the field. Besides, your father is expert in war; he will not spend the night with the people. 
2SA.17.9	Behold, even now he has hidden himself in one of the pits, or in some other place. And when some of the people fall
2SA.17.10	Then even the valiant man, whose heart is like the heart of a lion, will utterly melt with fear; for all Israel knows that your father is a mighty man, and that those who are with him are valiant men. 
2SA.17.11	But my counsel is that all Israel be gathered to you, from Dan to Beer-sheba, as the sand by the sea for multitude, and that you go to battle in person. 
2SA.17.12	So we shall come upon him in some place where he is to be found, and we shall light upon him as the dew falls on the ground; and of him and all the men with him not one will be left. 
2SA.17.13	If he withdraws into a city, then all Israel will bring ropes to that city, and we shall drag it into the valley, until not even a pebble is to be found there.” 
2SA.17.14	And Absalom and all the men of Israel said, “The counsel of Hushai the Archite is better than the counsel of Ahithophel.” For the 
2SA.17.15	Then Hushai said to Zadok and Abiathar the priests, “Thus and so did Ahithophel counsel Absalom and the elders of Israel; and thus and so have I counseled. 
2SA.17.16	Now therefore send quickly and tell David, ‘Do not lodge tonight at the fords of the wilderness, but by all means pass over; lest the king and all the people who are with him be swallowed up.’ ” 
2SA.17.17	Now Jonathan and Ahima-az were waiting at En-rogel; a maidservant used to go and tell them, and they would go and tell King David; for they must not be seen entering the city. 
2SA.17.18	But a lad saw them, and told Absalom; so both of them went away quickly, and came to the house of a man at Bahurim, who had a well in his courtyard; and they went down into it. 
2SA.17.19	And the woman took and spread a covering over the well's mouth, and scattered grain upon it; and nothing was known of it. 
2SA.17.20	When Absalom's servants came to the woman at the house, they said, “Where are Ahima-az and Jonathan?” And the woman said to them, “They have gone over the brook
2SA.17.21	After they had gone, the men came up out of the well, and went and told King David. They said to David, “Arise, and go quickly over the water; for thus and so has Ahithophel counseled against you.” 
2SA.17.22	Then David arose, and all the people who were with him, and they crossed the Jordan; by daybreak not one was left who had not crossed the Jordan.
2SA.17.23	When Ahithophel saw that his counsel was not followed, he saddled his ass, and went off home to his own city. And he set his house in order, and hanged himself; and he died, and was buried in the tomb of his father.
2SA.17.24	Then David came to Mahanaim. And Absalom crossed the Jordan with all the men of Israel. 
2SA.17.25	Now Absalom had set Amasa over the army instead of Joab. Amasa was the son of a man named Ithra the Ishmaelite,
2SA.17.26	And Israel and Absalom encamped in the land of Gilead.
2SA.17.27	When David came to Mahanaim, Shobi the son of Nahash from Rabbah of the Ammonites, and Machir the son of Ammiel from Lo-debar, and Barzillai the Gileadite from Rogelim, 
2SA.17.28	brought beds, basins, and earthen vessels, wheat, barley, meal, parched grain, beans and lentils,
2SA.17.29	honey and curds and sheep and cheese from the herd, for David and the people with him to eat; for they said, “The people are hungry and weary and thirsty in the wilderness.”
2SA.18.1	Then David mustered the men who were with him, and set over them commanders of thousands and commanders of hundreds. 
2SA.18.2	And David sent forth the army, one third under the command of Joab, one third under the command of Abishai the son of Zeruiah, Joab's brother, and one third under the command of Ittai the Gittite. And the king said to the men, “I myself will also go out with you.” 
2SA.18.3	But the men said, “You shall not go out. For if we flee, they will not care about us. If half of us die, they will not care about us. But you are worth ten thousand of us;
2SA.18.4	The king said to them, “Whatever seems best to you I will do.” So the king stood at the side of the gate, while all the army marched out by hundreds and by thousands. 
2SA.18.5	And the king ordered Joab and Abishai and Ittai, “Deal gently for my sake with the young man Absalom.” And all the people heard when the king gave orders to all the commanders about Absalom.
2SA.18.6	So the army went out into the field against Israel; and the battle was fought in the forest of Ephraim. 
2SA.18.7	And the men of Israel were defeated there by the servants of David, and the slaughter there was great on that day, twenty thousand men. 
2SA.18.8	The battle spread over the face of all the country; and the forest devoured more people that day than the sword.
2SA.18.9	And Absalom chanced to meet the servants of David. Absalom was riding upon his mule, and the mule went under the thick branches of a great oak, and his head caught fast in the oak, and he was left hanging
2SA.18.10	And a certain man saw it, and told Joab, “Behold, I saw Absalom hanging in an oak.” 
2SA.18.11	Joab said to the man who told him, “What, you saw him! Why then did you not strike him there to the ground? I would have been glad to give you ten pieces of silver and a girdle.” 
2SA.18.12	But the man said to Joab, “Even if I felt in my hand the weight of a thousand pieces of silver, I would not put forth my hand against the king's son; for in our hearing the king commanded you and Abishai and Ittai, ‘For my sake protect the young man Absalom.’ 
2SA.18.13	On the other hand, if I had dealt treacherously against his life
2SA.18.14	Joab said, “I will not waste time like this with you.” And he took three darts in his hand, and thrust them into the heart of Absalom, while he was still alive in the oak. 
2SA.18.15	And ten young men, Joab's armor-bearers, surrounded Absalom and struck him, and killed him.
2SA.18.16	Then Joab blew the trumpet, and the troops came back from pursuing Israel; for Joab restrained them. 
2SA.18.17	And they took Absalom, and threw him into a great pit in the forest, and raised over him a very great heap of stones; and all Israel fled every one to his own home. 
2SA.18.18	Now Absalom in his lifetime had taken and set up for himself the pillar which is in the King's Valley, for he said, “I have no son to keep my name in remembrance”; he called the pillar after his own name, and it is called Absalom's monument to this day.
2SA.18.19	Then said Ahima-az the son of Zadok, “Let me run, and carry tidings to the king that the 
2SA.18.20	And Joab said to him, “You are not to carry tidings today; you may carry tidings another day, but today you shall carry no tidings, because the king's son is dead.” 
2SA.18.21	Then Joab said to the Cushite, “Go, tell the king what you have seen.” The Cushite bowed before Joab, and ran. 
2SA.18.22	Then Ahima-az the son of Zadok said again to Joab, “Come what may, let me also run after the Cushite.” And Joab said, “Why will you run, my son, seeing that you will have no reward for the tidings?” 
2SA.18.23	“Come what may,” he said, “I will run.” So he said to him, “Run.” Then Ahima-az ran by the way of the plain, and outran the Cushite.
2SA.18.24	Now David was sitting between the two gates; and the watchman went up to the roof of the gate by the wall, and when he lifted up his eyes and looked, he saw a man running alone. 
2SA.18.25	And the watchman called out and told the king. And the king said, “If he is alone, there are tidings in his mouth.” And he came apace, and drew near. 
2SA.18.26	And the watchman saw another man running; and the watchman called to the gate and said, “See, another man running alone!” The king said, “He also brings tidings.” 
2SA.18.27	And the watchman said, “I think the running of the foremost is like the running of Ahima-az the son of Zadok.” And the king said, “He is a good man, and comes with good tidings.”
2SA.18.28	Then Ahima-az cried out to the king, “All is well.” And he bowed before the king with his face to the earth, and said, “Blessed be the 
2SA.18.29	And the king said, “Is it well with the young man Absalom?” Ahima-az answered, “When Joab sent your servant,
2SA.18.30	And the king said, “Turn aside, and stand here.” So he turned aside, and stood still.
2SA.18.31	And behold, the Cushite came; and the Cushite said, “Good tidings for my lord the king! For the 
2SA.18.32	The king said to the Cushite, “Is it well with the young man Absalom?” And the Cushite answered, “May the enemies of my lord the king, and all who rise up against you for evil, be like that young man.” 
2SA.18.33	 And the king was deeply moved, and went up to the chamber over the gate, and wept; and as he went, he said, “O my son Absalom, my son, my son Absalom! Would I had died instead of you, O Absalom, my son, my son!”
2SA.19.1	It was told Joab, “Behold, the king is weeping and mourning for Absalom.” 
2SA.19.2	So the victory that day was turned into mourning for all the people; for the people heard that day, “The king is grieving for his son.” 
2SA.19.3	And the people stole into the city that day as people steal in who are ashamed when they flee in battle. 
2SA.19.4	The king covered his face, and the king cried with a loud voice, “O my son Absalom, O Absalom, my son, my son!” 
2SA.19.5	Then Joab came into the house to the king, and said, “You have today covered with shame the faces of all your servants, who have this day saved your life, and the lives of your sons and your daughters, and the lives of your wives and your concubines, 
2SA.19.6	because you love those who hate you and hate those who love you. For you have made it clear today that commanders and servants are nothing to you; for today I perceive that if Absalom were alive and all of us were dead today, then you would be pleased. 
2SA.19.7	Now therefore arise, go out and speak kindly to your servants; for I swear by the 
2SA.19.8	Then the king arose, and took his seat in the gate. And the people were all told, “Behold, the king is sitting in the gate”; and all the people came before the king.
2SA.19.8	Now Israel had fled every man to his own home. 
2SA.19.9	And all the people were at strife throughout all the tribes of Israel, saying, “The king delivered us from the hand of our enemies, and saved us from the hand of the Philistines; and now he has fled out of the land from Absalom. 
2SA.19.10	But Absalom, whom we anointed over us, is dead in battle. Now therefore why do you say nothing about bringing the king back?”
2SA.19.11	And King David sent this message to Zadok and Abiathar the priests, “Say to the elders of Judah, ‘Why should you be the last to bring the king back to his house, when the word of all Israel has come to the king?
2SA.19.12	You are my kinsmen, you are my bone and my flesh; why then should you be the last to bring back the king?’ 
2SA.19.13	And say to Amasa, ‘Are you not my bone and my flesh? God do so to me and more also, if you are not commander of my army henceforth in place of Joab.’ ” 
2SA.19.14	And he swayed the heart of all the men of Judah as one man; so that they sent word to the king, “Return, both you and all your servants.” 
2SA.19.15	So the king came back to the Jordan; and Judah came to Gilgal to meet the king and to bring the king over the Jordan.
2SA.19.16	And Shime-i the son of Gera, the Benjaminite, from Bahurim, made haste to come down with the men of Judah to meet King David; 
2SA.19.17	and with him were a thousand men from Benjamin. And Ziba the servant of the house of Saul, with his fifteen sons and his twenty servants, rushed down to the Jordan before the king, 
2SA.19.18	and they crossed the ford
2SA.19.19	and said to the king, “Let not my lord hold me guilty or remember how your servant did wrong on the day my lord the king left Jerusalem; let not the king bear it in mind. 
2SA.19.20	For your servant knows that I have sinned; therefore, behold, I have come this day, the first of all the house of Joseph to come down to meet my lord the king.” 
2SA.19.21	Abishai the son of Zeruiah answered, “Shall not Shime-i be put to death for this, because he cursed the 
2SA.19.22	But David said, “What have I to do with you, you sons of Zeruiah, that you should this day be as an adversary to me? Shall any one be put to death in Israel this day? For do I not know that I am this day king over Israel?” 
2SA.19.23	And the king said to Shime-i, “You shall not die.” And the king gave him his oath.
2SA.19.24	And Mephibosheth the son of Saul came down to meet the king; he had neither dressed his feet, nor trimmed his beard, nor washed his clothes, from the day the king departed until the day he came back in safety. 
2SA.19.25	And when he came from
2SA.19.26	He answered, “My lord, O king, my servant deceived me; for your servant said to him, ‘Saddle an ass for me,
2SA.19.27	He has slandered your servant to my lord the king. But my lord the king is like the angel of God; do therefore what seems good to you. 
2SA.19.28	For all my father's house were but men doomed to death before my lord the king; but you set your servant among those who eat at your table. What further right have I, then, to cry to the king?” 
2SA.19.29	And the king said to him, “Why speak any more of your affairs? I have decided: you and Ziba shall divide the land.” 
2SA.19.30	And Mephibosheth said to the king, “Oh, let him take it all, since my lord the king has come safely home.”
2SA.19.31	Now Barzillai the Gileadite had come down from Rogelim; and he went on with the king to the Jordan, to escort him over the Jordan. 
2SA.19.32	Barzillai was a very aged man, eighty years old; and he had provided the king with food while he stayed at Mahanaim; for he was a very wealthy man. 
