GEN.1.1	In the beginning
JDG.20.41	Then the men of Israel returned, and the men of Benjamin were terrified when they realized that disaster had struck them. 
JDG.20.42	They retreated before the men of Israel toward the wilderness,
JDG.20.43	They surrounded the Benjaminites, pursued them, and easily overtook them near Gibeah toward the east. 
JDG.20.44	There were eighteen thousand men who died from Benjamin; all were warriors. 
JDG.20.45	Then Benjamin turned and fled toward the wilderness to Rimmon Rock,
JDG.20.46	All the Benjaminites who died that day were twenty-five thousand armed men; all were warriors. 
JDG.20.47	But six hundred men escaped into the wilderness to Rimmon Rock and stayed there four months. 
JDG.20.48	The men of Israel turned back against the other Benjaminites and killed them with their swords — the entire city, the animals, and everything that remained. They also burned all the cities that remained.
JDG.21.1	The men of Israel had sworn an oath at Mizpah: “None of us will give his daughter to a Benjaminite in marriage.”
JDG.21.2	So the people went to Bethel and sat there before God
JDG.21.3	and cried out, “Why, 
JDG.21.4	The next day the people got up early, built an altar there,
JDG.21.5	The Israelites asked, “Who of all the tribes of Israel didn’t come to the 
JDG.21.6	But the Israelites had compassion on their brothers, the Benjaminites, and said, “Today a tribe has been cut off from Israel. 
JDG.21.7	What should we do about wives for the survivors? We’ve sworn to the 
JDG.21.8	They asked, “Which city among the tribes of Israel didn’t come to the 
JDG.21.9	For when the roll was called, no men were there from the inhabitants of Jabesh-gilead.
JDG.21.10	The congregation sent twelve thousand brave warriors
JDG.21.11	This is what you should do: Completely destroy every male, as well as every woman who has gone to bed with a man.” 
JDG.21.12	They found among the inhabitants of Jabesh-gilead four hundred young virgins, who had not gone to bed with a man, and they brought them to the camp at Shiloh in the land of Canaan.
JDG.21.13	The whole congregation sent a message of peace
JDG.21.14	Benjamin returned at that time, and Israel gave them the women they had kept alive from Jabesh-gilead. But there were not enough for them.
JDG.21.15	The people had compassion on Benjamin, because the 
JDG.21.16	The elders of the congregation said, “What should we do about wives for those who are left, since the women of Benjamin have been destroyed?” 
JDG.21.17	They said, “There must be heirs for the survivors of Benjamin, so that a tribe of Israel will not be wiped out. 
JDG.21.18	But we can’t give them our daughters as wives.” For the Israelites had sworn, “Anyone who gives a wife to a Benjaminite is cursed.” 
JDG.21.19	They also said, “Look, there’s an annual festival to the 
JDG.21.20	Then they commanded the Benjaminites: “Go and hide in the vineyards. 
JDG.21.21	Watch, and when you see the young women of Shiloh come out to perform the dances,
JDG.21.22	When their fathers or brothers come to us and protest, we will tell them, ‘Show favor to them, since we did not get enough wives for each of them in the battle. You didn’t actually give the women to them, so
JDG.21.23	The Benjaminites did this and took the number of women they needed from the dancers they caught. They went back to their own inheritance, rebuilt their cities,
JDG.21.24	At that time, each of the Israelites returned from there to his own tribe and family. Each returned from there to his own inheritance.
JDG.21.25	In those days there was no king in Israel;
RUT.1.1	During the time
RUT.1.2	The man’s name was Elimelech,
RUT.1.3	Naomi’s husband Elimelech died, and she was left with her two sons. 
RUT.1.4	Her sons took Moabite women as their wives: one was named Orpah and the second was named Ruth. After they lived in Moab about ten years, 
RUT.1.5	both Mahlon and Chilion also died, and Naomi was left without her two children and without her husband.
RUT.1.6	She and her daughters-in-law set out to return from the territory of Moab, because she had heard in Moab that the 
RUT.1.7	She left the place where she had been living, accompanied by her two daughters-in-law, and traveled along the road leading back to the land of Judah.
RUT.1.8	Naomi said to them, “Each of you go back to your mother’s home.
RUT.1.9	May the 
RUT.1.10	They said to her, “We insist on returning with you to your people.”
RUT.1.11	But Naomi replied, “Return home, my daughters. Why do you want to go with me? Am I able to have any more sons who could become your husbands?
RUT.1.12	Return home, my daughters. Go on, for I am too old to have another husband. Even if I thought there was still hope for me to have a husband tonight and to bear sons, 
RUT.1.13	would you be willing to wait for them to grow up? Would you restrain yourselves from remarrying?
RUT.1.14	Again they wept loudly, and Orpah kissed her mother-in-law, but Ruth clung to her. 
RUT.1.15	Naomi said, “Look, your sister-in-law has gone back to her people and to her gods.
RUT.1.16	But Ruth replied:
RUT.1.16	Don’t plead with me to abandon you
RUT.1.16	or to return and not follow you.
RUT.1.16	For wherever you go, I will go,
RUT.1.16	and wherever you live, I will live;
RUT.1.16	your people will be my people,
RUT.1.16	and your God will be my God.
RUT.1.17	Where you die, I will die,
RUT.1.17	and there I will be buried.
RUT.1.17	May the 
RUT.1.17	and do so severely,
RUT.1.17	if anything but death separates you and me.
RUT.1.18	When Naomi saw that Ruth was determined to go with her, she stopped talking to her.
RUT.1.19	The two of them traveled until they came to Bethlehem. When they entered Bethlehem, the whole town was excited about their arrival
RUT.1.20	“Don’t call me Naomi. Call me Mara,”
RUT.1.21	I went away full, but the 
RUT.1.22	So Naomi came back from the territory of Moab with her daughter-in-law Ruth the Moabitess. They arrived in Bethlehem at the beginning of the barley harvest.
RUT.2.1	Now Naomi had a relative on her husband’s side. He was a prominent man of noble character
RUT.2.2	Ruth the Moabitess asked Naomi, “Will you let me go into the fields and gather fallen grain
RUT.2.2	Naomi answered her, “Go ahead, my daughter.” 
RUT.2.3	So Ruth left and entered the field to gather grain behind the harvesters. She happened
RUT.2.4	Later, when Boaz arrived from Bethlehem, he said to the harvesters, “The 
RUT.2.4	“The 
RUT.2.5	Boaz asked his servant who was in charge of the harvesters, “Whose young woman is this?”
RUT.2.6	The servant answered, “She is the young Moabite woman who returned with Naomi from the territory of Moab. 
RUT.2.7	She asked, ‘Will you let me gather fallen grain among the bundles behind the harvesters? ’ She came and has been on her feet since early morning, except that she rested a little in the shelter.”
RUT.2.8	Then Boaz said to Ruth, “Listen, my daughter.
RUT.2.9	See which field they are harvesting, and follow them. Haven’t I ordered the young men not to touch you?
RUT.2.10	She fell facedown, bowed to the ground,
RUT.2.11	Boaz answered her, “Everything you have done for your mother-in-law since your husband’s death has been fully reported to me: how you left your father and mother and your native land, and how you came to a people you didn’t previously know. 
RUT.2.12	May the 
RUT.2.13	“My lord,” she said, “I have found favor with you, for you have comforted and encouraged
RUT.2.14	At mealtime Boaz told her, “Come over here and have some bread and dip it in the vinegar sauce.” So she sat beside the harvesters, and he offered her roasted grain. She ate and was satisfied and had some left over.
RUT.2.15	When she got up to gather grain, Boaz ordered his young men, “Let her even gather grain among the bundles, and don’t humiliate her. 
RUT.2.16	Pull out some stalks from the bundles for her and leave them for her to gather. Don’t rebuke her.” 
RUT.2.17	So Ruth gathered grain in the field until evening. She beat out what she had gathered, and it was about twenty-six quarts
RUT.2.18	She picked up the grain and went into the town, where her mother-in-law saw what she had gleaned. She brought out what she had left over from her meal and gave it to her.
RUT.2.19	Her mother-in-law said to her, “Where did you gather barley today, and where did you work? May the 
RUT.2.19	Ruth told her mother-in-law whom she had worked with and said, “The name of the man I worked with today is Boaz.”
RUT.2.20	Then Naomi said to her daughter-in-law, “May the 
RUT.2.21	Ruth the Moabitess said, “He also told me, ‘Stay with my young men until they have finished all of my harvest.’”
RUT.2.22	So Naomi said to her daughter-in-law Ruth, “My daughter, it is good for you to work
RUT.2.23	Ruth stayed close to Boaz’s female servants and gathered grain until the barley and the wheat harvests were finished.
RUT.3.1	Ruth’s mother-in-law Naomi said to her, “My daughter, shouldn’t I find rest for you, so that you will be taken care of? 
RUT.3.2	Now isn’t Boaz our relative?
RUT.3.3	Wash, put on perfumed oil, and wear your best clothes. Go down to the threshing floor, but don’t let the man know you are there until he has finished eating and drinking. 
RUT.3.4	When he lies down, notice the place where he’s lying, go in and uncover his feet, and lie down. Then he will explain to you what you should do.”
RUT.3.5	So Ruth said to her, “I will do everything you say.”
RUT.3.6	She went down to the threshing floor and did everything her mother-in-law had charged her to do. 
RUT.3.7	After Boaz ate, drank, and was in good spirits,
RUT.3.8	At midnight, Boaz was startled, turned over, and there lying at his feet was a woman! 
RUT.3.9	So he asked, “Who are you?”
RUT.3.9	“I am Ruth, your servant,” she replied. “Take me under your wing,
RUT.3.10	Then he said, “May the 
RUT.3.11	Now don’t be afraid, my daughter. I will do for you whatever you say,
RUT.3.12	Yes, it is true that I am a family redeemer, but there is a redeemer closer than I am. 
RUT.3.13	Stay here tonight, and in the morning, if he wants to redeem you, that’s good.
RUT.3.14	So she lay down at his feet until morning but got up while it was still dark.
RUT.3.15	And he told Ruth, “Bring the shawl you’re wearing and hold it out.” When she held it out, he shoveled six measures of barley into her shawl, and she
RUT.3.16	She went to her mother-in-law, Naomi, who asked her, “What happened,
RUT.3.16	Then Ruth told her everything the man had done for her. 
RUT.3.17	She said, “He gave me these six measures of barley, because he said,
RUT.3.18	Naomi said, “My daughter, wait until you find out how things go, for he won’t rest unless he resolves this today.”
RUT.4.1	Boaz went to the gate of the town
RUT.4.2	Then Boaz took ten men of the town’s elders
RUT.4.3	He said to the redeemer, “Naomi, who has returned from the territory of Moab, is selling the portion of the field that belonged to our brother Elimelech.
RUT.4.4	I thought I should inform you:
RUT.4.4	“I want to redeem it,” he answered.
RUT.4.5	Then Boaz said, “On the day you buy the field from Naomi, you will acquire
RUT.4.6	The redeemer replied, “I can’t redeem it myself, or I will ruin my own inheritance. Take my right of redemption, because I can’t redeem it.”
RUT.4.7	At an earlier period in Israel, a man removed his sandal
RUT.4.8	So the redeemer removed his sandal and said to Boaz, “Buy back the property yourself.”
RUT.4.9	Boaz said to the elders and all the people, “You are witnesses today that I am buying from Naomi everything that belonged to Elimelech, Chilion, and Mahlon. 
RUT.4.10	I have also acquired Ruth the Moabitess, Mahlon’s widow, as my wife, to perpetuate the deceased man’s name on his property, so that his name will not disappear among his relatives or from the gate of his hometown. You are witnesses today.”
RUT.4.11	All the people who were at the city gate, including the elders, said, “We are witnesses. May the 
RUT.4.12	May your house become like the house of Perez, the son Tamar bore to Judah,
RUT.4.13	Boaz took Ruth and she became his wife. He slept with her, and the 
RUT.4.14	The women said to Naomi, “Blessed be the 
RUT.4.15	He will renew your life and sustain you in your old age. Indeed, your daughter-in-law, who loves you and is better to you than seven sons,
RUT.4.16	Naomi took the child, placed him on her lap, and became his nanny. 
RUT.4.17	The neighbor women said, “A son has been born to Naomi,” and they named him Obed.
RUT.4.18	Now these are the family records of Perez:
RUT.4.18	Perez fathered Hezron,
RUT.4.19	Hezron fathered Ram,
RUT.4.19	Ram fathered Amminadab,
RUT.4.20	Amminadab fathered Nahshon,
RUT.4.20	Nahshon fathered Salmon,
RUT.4.21	Salmon fathered Boaz,
RUT.4.21	Boaz fathered Obed,
RUT.4.22	Obed fathered Jesse,
RUT.4.22	and Jesse fathered David.
1SA.1.1	There was a man from Ramathaim-zophim
1SA.1.2	He had two wives,
1SA.1.3	This man would go up from his town every year
1SA.1.4	Whenever Elkanah offered a sacrifice, he always gave portions of the meat
1SA.1.5	But he gave a double
1SA.1.6	Her rival would taunt her severely just to provoke her, because the 
1SA.1.7	Year after year, when she went up to the 
1SA.1.8	“Hannah, why are you crying?” her husband Elkanah would ask. “Why won’t you eat? Why are you troubled? Am I not better to you than ten sons?” 
1SA.1.9	On one occasion, Hannah got up after they ate and drank at Shiloh.
1SA.1.10	Deeply hurt, Hannah prayed to the 
1SA.1.11	Making a vow,
1SA.1.12	While she continued praying in the 
1SA.1.13	Hannah was praying silently,
1SA.1.14	and said to her, “How long are you going to be drunk?
1SA.1.15	“No, my lord,” Hannah replied. “I am a woman with a broken heart. I haven’t had any wine or beer; I’ve been pouring out my heart before the 
1SA.1.16	Don’t think of me as a wicked woman;
1SA.1.17	Eli responded, “Go in peace,
1SA.1.18	“May your servant find favor with you,”
1SA.1.19	The next morning Elkanah and Hannah got up early to worship before the 
1SA.1.20	After some time,
1SA.1.21	When Elkanah and all his household went up to make the annual sacrifice
1SA.1.22	Hannah did not go and explained to her husband, “After the child is weaned, I’ll take him to appear in the 
1SA.1.23	Her husband Elkanah replied, “Do what you think is best,
1SA.1.24	When she had weaned him, she took him with her to Shiloh, as well as a three-year-old bull,
1SA.1.25	Then they slaughtered the bull and brought the boy to Eli.
1SA.1.26	“Please, my lord,” she said, “as surely as you live,
1SA.1.27	I prayed for this boy,
1SA.1.28	I now give the boy to the 
1SA.2.1	Hannah prayed:
1SA.2.1	My heart rejoices in the 
1SA.2.1	my horn is lifted up by the 
1SA.2.1	My mouth boasts over my enemies,
1SA.2.1	because I rejoice in your salvation.
1SA.2.2	There is no one holy like the 
1SA.2.2	There is no one besides you!
1SA.2.2	And there is no rock like our God.
1SA.2.3	Do not boast so proudly,
1SA.2.3	or let arrogant words come out of your mouth,
1SA.2.3	for the 
1SA.2.3	and actions are weighed by him.
1SA.2.4	The bows of the warriors are broken,
1SA.2.4	but the feeble are clothed with strength.
1SA.2.5	Those who are full hire themselves out for food,
1SA.2.5	but those who are starving hunger no more.
1SA.2.5	The woman who is childless gives birth to seven,
1SA.2.5	but the woman with many sons pines away.
1SA.2.6	The 
1SA.2.6	he sends some down to Sheol, and he raises others up.
1SA.2.7	The 
1SA.2.7	he humbles and he exalts.
1SA.2.8	He raises the poor from the dust
1SA.2.8	and lifts the needy from the trash heap.
1SA.2.8	He seats them with noblemen
1SA.2.8	and gives them a throne of honor.
1SA.2.8	For the foundations of the earth are the 
1SA.2.8	he has set the world on them.
1SA.2.9	He guards the steps
1SA.2.9	but the wicked perish in darkness,
1SA.2.9	for a person does not prevail by his own strength.
1SA.2.10	Those who oppose the 
1SA.2.10	he will thunder in the heavens against them.
1SA.2.10	The 
1SA.2.10	He will give power to his king;
1SA.2.10	he will lift up the horn of his anointed.
1SA.2.11	Elkanah went home to Ramah,
1SA.2.12	Eli’s sons were wicked men;
1SA.2.13	or the priests’ share of the sacrifices from the people. When anyone offered a sacrifice, the priest’s servant would come with a three-pronged meat fork while the meat was boiling 
1SA.2.14	and plunge it into the container, kettle, cauldron, or cooking pot.
1SA.2.15	Even before the fat was burned,
1SA.2.16	If that person said to him, “The fat must be burned first; then you can take whatever you want for yourself,”
1SA.2.17	So the servants’ sin was very severe in the presence of the 
1SA.2.18	Samuel served in the 
1SA.2.19	Each year his mother made him a little robe
1SA.2.20	Eli would bless Elkanah and his wife:
1SA.2.21	The 
1SA.2.22	Now Eli was very old. He heard about everything his sons were doing to all Israel
1SA.2.23	He said to them, “Why are you doing these things? I have heard about your evil actions from all these people. 
1SA.2.24	No, my sons, the news I hear the 
1SA.2.25	If one person sins against another, God can intercede for him, but if a person sins against the 
1SA.2.26	By contrast, the boy Samuel grew in stature and in favor with the 
1SA.2.27	A man of God came to Eli and said to him,
1SA.2.28	Out of all the tribes of Israel, I chose your house
1SA.2.29	Why, then, do all of you despise my sacrifices and offerings that I require at the place of worship?
1SA.2.30	“Therefore, this is the declaration of the 
1SA.2.31	Look, the days are coming when I will cut off your strength and the strength of your forefather’s house, so that none in your family will reach old age.
1SA.2.32	You will see distress in the place of worship,
1SA.2.33	Any man from your family I do not cut off from my altar will bring grief
1SA.2.34	This will be the sign that will come to you concerning your two sons Hophni and Phinehas:
1SA.2.35	“‘Then I will raise up a faithful priest
1SA.2.36	Anyone who is left in your family will come and bow down to him for a piece of silver or a loaf of bread. He will say: Please appoint me to some priestly office so I can have a piece of bread to eat.’”
1SA.3.1	The boy Samuel served the 
1SA.3.2	One day Eli, whose eyesight was failing,
1SA.3.3	Before the lamp of God had gone out,
1SA.3.4	Then the 
1SA.3.5	He ran to Eli and said, “Here I am; you called me.”
1SA.3.5	“I didn’t call,” Eli replied. “Go back and lie down.” So he went and lay down.
1SA.3.6	Once again the 
1SA.3.6	Samuel got up, went to Eli, and said, “Here I am; you called me.”
1SA.3.6	“I didn’t call, my son,” he replied. “Go back and lie down.”
1SA.3.7	Now Samuel did not yet know the 
1SA.3.8	Once again, for the third time, the 
1SA.3.8	Then Eli understood that the 
1SA.3.9	He told Samuel, “Go and lie down. If he calls you, say, ‘Speak, 
1SA.3.10	The 
1SA.3.10	Samuel responded, “Speak, for your servant is listening.”
1SA.3.11	The 
1SA.3.12	On that day I will carry out against Eli everything I said about his family, from beginning to end.
1SA.3.13	I told him that I am going to judge his family forever because of the iniquity he knows about: his sons are cursing God,
1SA.3.14	Therefore, I have sworn to Eli’s family: The iniquity of Eli’s family will never be wiped out by either sacrifice or offering.”
1SA.3.15	Samuel lay down until the morning; then he opened the doors of the 
1SA.3.16	but Eli called him and said, “Samuel, my son.”
1SA.3.16	“Here I am,” answered Samuel.
1SA.3.17	“What was the message he gave you?” Eli asked. “Don’t hide it from me. May God punish you and do so severely if you hide anything from me that he told you.”
1SA.3.18	So Samuel told him everything and did not hide anything from him. Eli responded, “He is the 
1SA.3.19	Samuel grew,
1SA.3.20	All Israel from Dan to Beer-sheba knew that Samuel was a confirmed prophet of the 
1SA.3.21	The 
1SA.4.1	And Samuel’s words came to all Israel.
1SA.4.1	Israel went out to meet the Philistines in battle and
1SA.4.2	The Philistines lined up in battle formation against Israel, and as the battle intensified, Israel was defeated by the Philistines, who struck down about four thousand men on the battlefield.
1SA.4.3	When the troops returned to the camp, the elders of Israel asked, “Why did the 
1SA.4.4	So the people sent men to Shiloh to bring back the ark of the covenant of the 
1SA.4.5	When the ark of the covenant of the 
1SA.4.6	The Philistines heard the sound of the war cry and asked, “What’s this loud shout in the Hebrews’ camp?” When the Philistines discovered that the ark of the 
1SA.4.7	they panicked. “A god has entered their camp!” they said. “Woe to us, nothing like this has happened before.
1SA.4.8	Woe to us, who will rescue us from these magnificent gods? These are the gods that slaughtered the Egyptians with all kinds of plagues in the wilderness. 
1SA.4.9	Show some courage and be men, Philistines!
1SA.4.10	So the Philistines fought, and Israel was defeated,
1SA.4.11	The ark of God was captured, and Eli’s two sons, Hophni and Phinehas, died.
1SA.4.12	That same day, a Benjaminite man ran
1SA.4.13	When he arrived, there was Eli sitting on his chair beside the road watching,
1SA.4.14	Eli heard the outcry and asked, “Why this commotion?” The man quickly came and reported to Eli. 
1SA.4.15	At that time Eli was ninety-eight years old, and his eyes didn’t move
1SA.4.16	The man said to Eli, “I’m the one who came from the battle.
1SA.4.16	“What happened, my son?” 
1SA.4.17	The messenger answered, “Israel has fled from the Philistines, and also there was a great slaughter among the people. Your two sons, Hophni and Phinehas, are both dead, and the ark of God has been captured.” 
1SA.4.18	When he mentioned the ark of God, Eli fell backward off the chair by the city gate,
1SA.4.19	Eli’s daughter-in-law, the wife of Phinehas, was pregnant and about to give birth. When she heard the news about the capture of God’s ark and the deaths of her father-in-law and her husband, she collapsed and gave birth because her labor pains came on her. 
1SA.4.20	As she was dying,
1SA.4.21	She named the boy Ichabod,
1SA.4.22	“The glory has departed from Israel,” she said, “because the ark of God has been captured.”
1SA.5.1	After the Philistines had captured the ark of God, they took it from Ebenezer
1SA.5.2	brought it into the temple of Dagon
1SA.5.3	When the people of Ashdod got up early the next morning, there was Dagon, fallen with his face to the ground before the ark of the 
1SA.5.4	But when they got up early the next morning, there was Dagon, fallen with his face to the ground before the ark of the 
1SA.5.5	That is why, still today, the priests of Dagon and everyone who enters the temple of Dagon in Ashdod do not step on Dagon’s threshold.
1SA.5.6	The 
1SA.5.7	When the people of Ashdod saw what was happening, they said, “The ark of Israel’s God must not stay here with us, because his hand is strongly against us and our god Dagon.” 
1SA.5.8	So they called all the Philistine rulers together
1SA.5.8	“The ark of Israel’s God should be moved to Gath,” they replied. So they moved the ark of Israel’s God. 
1SA.5.9	After they had moved it, the 
1SA.5.10	The people of Gath then sent the ark of God to Ekron, but when it got there, the Ekronites cried out, “They’ve moved the ark of Israel’s God to us to kill us and our people!” 
1SA.5.11	The Ekronites called all the Philistine rulers together.
1SA.5.12	Those who did not die were afflicted with tumors, and the outcry of the city went up to heaven.
1SA.6.1	When the ark of the 
1SA.6.2	the Philistines summoned the priests and the diviners
1SA.6.3	They replied, “If you send the ark of Israel’s God away, do not send it without an offering.
1SA.6.4	They asked, “What guilt offering should we send back to him?”
1SA.6.4	And they answered, “Five gold tumors and five gold mice
1SA.6.5	Make images of your tumors and of your mice that are destroying the land. Give glory to Israel’s God,
1SA.6.6	Why harden your hearts as the Egyptians and Pharaoh hardened theirs?
1SA.6.7	“Now then, prepare one new cart and two milk cows that have never been yoked.
1SA.6.8	Take the ark of the 
1SA.6.9	Then watch: If it goes up the road to its homeland toward Beth-shemesh,
1SA.6.10	The men did this: They took two milk cows, hitched them to the cart, and confined their calves in the pen. 
1SA.6.11	Then they put the ark of the 
1SA.6.12	The cows went straight up the road to Beth-shemesh.
1SA.6.13	The people of Beth-shemesh were harvesting wheat in the valley, and when they looked up and saw the ark, they were overjoyed to see it. 
1SA.6.14	The cart came to the field of Joshua of Beth-shemesh and stopped there near a large rock. The people of the city chopped up the cart and offered the cows as a burnt offering to the 
1SA.6.15	The Levites
1SA.6.16	When the five Philistine rulers
1SA.6.17	As a guilt offering to the 
1SA.6.18	The number of gold mice also corresponded to the number of Philistine cities of the five rulers, the fortified cities and the outlying villages.
1SA.6.19	God struck down the people of Beth-shemesh because they looked inside the ark of the 
1SA.6.20	The people of Beth-shemesh asked, “Who is able to stand in the presence of the 
1SA.6.21	They sent messengers to the residents of Kiriath-jearim,
1SA.7.1	So the people of Kiriath-jearim came for the ark of the 
1SA.7.2	Time went by until twenty years had passed since the ark had been taken to Kiriath-jearim. Then the whole house of Israel longed for the 
1SA.7.3	Samuel told them, “If you
1SA.7.4	So the Israelites removed the Baals and the Ashtoreths
1SA.7.5	Samuel said, “Gather all Israel at Mizpah,
1SA.7.6	When they gathered at Mizpah, they drew water and poured it out in the 
1SA.7.7	When the Philistines heard that the Israelites had gathered at Mizpah, their rulers marched up toward Israel. When the Israelites heard about it, they were afraid because of the Philistines. 
1SA.7.8	The Israelites said to Samuel, “Don’t stop crying out to the 
1SA.7.9	Then Samuel took a young lamb
1SA.7.10	Samuel was offering the burnt offering as the Philistines approached to fight against Israel. The 
1SA.7.11	Then the men of Israel charged out of Mizpah and pursued the Philistines striking them down all the way to a place below Beth-car.
1SA.7.12	Afterward, Samuel took a stone and set it upright
1SA.7.13	So the Philistines were subdued
1SA.7.14	The cities from Ekron to Gath, which they had taken from Israel, were restored; Israel even rescued their surrounding territories from Philistine control. There was also peace between Israel and the Amorites.
1SA.7.15	Samuel judged Israel throughout his life.
1SA.7.16	Every year he would go on a circuit to Bethel, Gilgal, and Mizpah and would judge Israel at all these locations. 
1SA.7.17	Then he would return to Ramah
1SA.8.1	When Samuel grew old, he appointed his sons as judges over Israel.
1SA.8.2	His firstborn son’s name was Joel and his second was Abijah. They were judges in Beer-sheba.
1SA.8.3	However, his sons did not walk in his ways — they turned toward dishonest profit, took bribes, and perverted justice.
1SA.8.4	So all the elders of Israel gathered together and went to Samuel at Ramah.
1SA.8.5	They said to him, “Look, you are old, and your sons do not walk in your ways. Therefore, appoint a king to judge us the same as all the other nations have.”
1SA.8.6	When they said, “Give us a king to judge us,” Samuel considered their demand wrong, so he prayed to the 
1SA.8.7	But the 
1SA.8.8	They are doing the same thing to you that they have done to me,
1SA.8.9	Listen to them, but solemnly warn them
1SA.8.10	Samuel told all the 
1SA.8.11	He said, “These are the rights of the king who will reign over you: He will take your sons and put them to his use in his chariots, on his horses, or running in front of his chariots. 
1SA.8.12	He can appoint them for his use as commanders of thousands or commanders of fifties,
1SA.8.13	He can take your daughters to become perfumers, cooks, and bakers. 
1SA.8.14	He can take your best fields, vineyards, and olive orchards and give them to his servants.
1SA.8.15	He can take a tenth of your grain and your vineyards and give them to his officials and servants. 
1SA.8.16	He can take your male servants, your female servants, your best young men,
1SA.8.17	He can take a tenth of your flocks, and you yourselves can become his servants. 
1SA.8.18	When that day comes, you will cry out because of the king you’ve chosen for yourselves,
1SA.8.19	The people refused to listen to Samuel. “No!” they said. “We must have a king over us. 
1SA.8.20	Then we’ll be like all the other nations: our king will judge us, go out before us,
1SA.8.21	Samuel listened to all the people’s words and then repeated them to the 
1SA.8.22	“Listen to them,” the 
1SA.8.22	Then Samuel told the men of Israel, “Each of you, go back to your city.”
1SA.9.1	There was a prominent man of Benjamin named Kish
1SA.9.2	He had a son named Saul, an impressive young man.
1SA.9.3	One day the donkeys of Saul’s father Kish wandered off. Kish said to his son Saul, “Take one of the servants with you and go look for the donkeys.” 
1SA.9.4	Saul and his servant went through the hill country of Ephraim
1SA.9.5	When they came to the land of Zuph,
1SA.9.6	“Look,” the servant said, “there’s a man of God
1SA.9.7	“Suppose we do go,” Saul said to his servant, “what do we take the man? The food from our packs is gone, and there’s no gift to take to the man of God.
1SA.9.8	The servant answered Saul: “Here, I have a little
1SA.9.9	Formerly in Israel, a man who was going to inquire of God would say, “Come, let’s go to the seer,” for the prophet of today was formerly called the seer.
1SA.9.10	“Good,” Saul replied to his servant. “Come on, let’s go.” So they went to the city where the man of God was. 
1SA.9.11	As they were climbing the hill to the city, they found some young women coming out to draw water
1SA.9.12	The women answered, “Yes, he is ahead of you. Hurry, he just now entered the city, because there’s a sacrifice
1SA.9.13	As soon as you enter the city, you will find him before he goes to the high place to eat. The people won’t eat until he comes because he must bless the sacrifice; after that, the guests can eat. Go up immediately — you can find him now.” 
1SA.9.14	So they went up toward the city.
1SA.9.14	Saul and his servant were entering the city when they saw Samuel coming toward them on his way to the high place. 
1SA.9.15	Now the day before Saul’s arrival, the 
1SA.9.16	“At this time tomorrow I will send you a man from the land of Benjamin. Anoint him ruler over my people Israel.
1SA.9.17	When Samuel saw Saul, the 
1SA.9.18	Saul approached Samuel in the city gate and asked, “Would you please tell me where the seer’s house is?”
1SA.9.19	“I am the seer,” Samuel answered.
1SA.9.20	As for the donkeys that wandered away from you three days ago,
1SA.9.21	Saul responded, “Am I not a Benjaminite
1SA.9.22	Samuel took Saul and his servant, brought them to the banquet hall, and gave them a place at the head of the thirty
1SA.9.23	Then Samuel said to the cook, “Get the portion of meat that I gave you and told you to set aside.”
1SA.9.24	The cook picked up the thigh
1SA.9.25	Afterward, they went down from the high place to the city, and Samuel spoke with Saul on the roof.
1SA.9.26	They got up early, and just before dawn, Samuel called to Saul on the roof, “Get up, and I’ll send you on your way!” Saul got up, and both he and Samuel went outside. 
1SA.9.27	As they were going down to the edge of the city, Samuel said to Saul, “Tell the servant to go on ahead of us, but you stay for a while, and I’ll reveal the word of God to you.” So the servant went on.
1SA.10.1	Samuel took the flask of oil,
1SA.10.2	Today when you leave me, you’ll find two men at Rachel’s Grave
1SA.10.3	“You will proceed from there until you come to the oak of Tabor.
1SA.10.4	They will ask how you are and give you two loaves
1SA.10.5	“After that you will come to Gibeah of God
1SA.10.6	The Spirit of the 
1SA.10.7	When these signs have happened to you, do whatever your circumstances require
1SA.10.8	Afterward, go ahead of me to Gilgal. I will come to you to offer burnt offerings and to sacrifice fellowship offerings. Wait seven days until I come to you and show you what to do.”
1SA.10.9	When Saul turned around
1SA.10.10	When Saul and his servant arrived at Gibeah, a group of prophets met him. Then the Spirit of God came powerfully on him, and he prophesied along with them.
1SA.10.11	Everyone who knew him previously and saw him prophesy with the prophets asked each other, “What has happened to the son of Kish? Is Saul also among the prophets?” 
1SA.10.12	Then a man who was from there asked, “And who is their father?” 
1SA.10.12	As a result, “Is Saul also among the prophets?” became a popular saying. 
1SA.10.13	Then Saul finished prophesying and went to the high place.
1SA.10.14	Saul’s uncle
1SA.10.14	“To look for the donkeys,” Saul answered. “When we saw they weren’t there, we went to Samuel.”
1SA.10.15	“Tell me,” Saul’s uncle asked, “what did Samuel say to you?”
1SA.10.16	Saul told him, “He assured us the donkeys had been found.” However, Saul did not tell him what Samuel had said about the matter of kingship.
1SA.10.17	Samuel summoned the people to the 
1SA.10.18	and said to the Israelites, “This is what the 
1SA.10.19	But today you have rejected your God,
1SA.10.20	Samuel had all the tribes of Israel come forward, and the tribe of Benjamin was selected. 
1SA.10.21	Then he had the tribe of Benjamin come forward by its clans, and the Matrite clan was selected.
1SA.10.22	They again inquired of the 
1SA.10.22	The 
1SA.10.23	They ran and got him from there. When he stood among the people, he stood a head taller than anyone else.
1SA.10.24	Samuel said to all the people, “Do you see the one the 
1SA.10.24	And all the people shouted,
1SA.10.25	Samuel proclaimed to the people the rights of kingship.
