GEN.1.1	In the beginning God created the heaven and the earth. 
GEN.24.10	And the servant took ten camels, of the camels of his master, and departed; having all goodly things of his master's in his hand: and he arose, and went to Mesopotamia, unto the city of Nahor. 
GEN.24.11	And he made the camels to kneel down without the city by the well of water at the time of evening, the time that women go out to draw water. 
GEN.24.12	And he said, O 
GEN.24.13	Behold, I stand by the fountain of water; and the daughters of the men of the city come out to draw water: 
GEN.24.14	and let it come to pass, that the damsel to whom I shall say, Let down thy pitcher, I pray thee, that I may drink; and she shall say, Drink, and I will give thy camels drink also: let the same be she that thou hast appointed for thy servant Isaac; and thereby shall I know that thou hast shewed kindness unto my master. 
GEN.24.15	And it came to pass, before he had done speaking, that, behold, Rebekah came out, who was born to Bethuel the son of Milcah, the wife of Nahor, Abraham's brother, with her pitcher upon her shoulder. 
GEN.24.16	And the damsel was very fair to look upon, a virgin, neither had any man known her: and she went down to the fountain, and filled her pitcher, and came up. 
GEN.24.17	And the servant ran to meet her, and said, Give me to drink, I pray thee, a little water of thy pitcher. 
GEN.24.18	And she said, Drink, my lord: and she hasted, and let down her pitcher upon her hand, and gave him drink. 
GEN.24.19	And when she had done giving him drink, she said, I will draw for thy camels also, until they have done drinking. 
GEN.24.20	And she hasted, and emptied her pitcher into the trough, and ran again unto the well to draw, and drew for all his camels. 
GEN.24.21	And the man looked stedfastly on her; holding his peace, to know whether the 
GEN.24.22	And it came to pass, as the camels had done drinking, that the man took a golden ring of half a shekel weight, and two bracelets for her hands of ten shekels weight of gold; 
GEN.24.23	and said, Whose daughter art thou? tell me, I pray thee. Is there room in thy father's house for us to lodge in? 
GEN.24.24	And she said unto him, I am the daughter of Bethuel the son of Milcah, which she bare unto Nahor. 
GEN.24.25	She said moreover unto him, We have both straw and provender enough, and room to lodge in. 
GEN.24.26	And the man bowed his head, and worshipped the 
GEN.24.27	And he said, Blessed be the 
GEN.24.28	And the damsel ran, and told her mother's house according to these words.
GEN.24.29	And Rebekah had a brother, and his name was Laban: and Laban ran out unto the man, unto the fountain. 
GEN.24.30	And it came to pass, when he saw the ring, and the bracelets upon his sister's hands, and when he heard the words of Rebekah his sister, saying, Thus spake the man unto me; that he came unto the man; and, behold, he stood by the camels at the fountain. 
GEN.24.31	And he said, Come in, thou blessed of the 
GEN.24.32	And the man came into the house, and he ungirded the camels; and he gave straw and provender for the camels, and water to wash his feet and the men's feet that were with him. 
GEN.24.33	And there was set meat before him to eat: but he said, I will not eat, until I have told mine errand. And he said, Speak on. 
GEN.24.34	And he said, I am Abraham's servant. 
GEN.24.35	And the 
GEN.24.36	And Sarah my master's wife bare a son to my master when she was old: and unto him hath he given all that he hath. 
GEN.24.37	And my master made me swear, saying, Thou shalt not take a wife for my son of the daughters of the Canaanites, in whose land I dwell: 
GEN.24.38	but thou shalt go unto my father's house, and to my kindred, and take a wife for my son. 
GEN.24.39	And I said unto my master, Peradventure the woman will not follow me. 
GEN.24.40	And he said unto me, The 
GEN.24.41	then shalt thou be clear from my oath, when thou comest to my kindred; and if they give her not to thee, thou shalt be clear from my oath. 
GEN.24.42	And I came this day unto the fountain, and said, O 
GEN.24.43	behold, I stand by the fountain of water; and let it come to pass, that the maiden which cometh forth to draw, to whom I shall say, Give me, I pray thee, a little water of thy pitcher to drink; 
GEN.24.44	and she shall say to me, Both drink thou, and I will also draw for thy camels: let the same be the woman whom the 
GEN.24.45	And before I had done speaking in mine heart, behold, Rebekah came forth with her pitcher on her shoulder; and she went down unto the fountain, and drew: and I said unto her, Let me drink, I pray thee. 
GEN.24.46	And she made haste, and let down her pitcher from her shoulder, and said, Drink, and I will give thy camels drink also: so I drank, and she made the camels drink also. 
GEN.24.47	And I asked her, and said, Whose daughter art thou? And she said, The daughter of Bethuel, Nahor's son, whom Milcah bare unto him: and I put the ring upon her nose, and the bracelets upon her hands. 
GEN.24.48	And I bowed my head, and worshipped the 
GEN.24.49	And now if ye will deal kindly and truly with my master, tell me: and if not, tell me; that I may turn to the right hand, or to the left. 
GEN.24.50	Then Laban and Bethuel answered and said, The thing proceedeth from the 
GEN.24.51	Behold, Rebekah is before thee, take her, and go, and let her be thy master's son's wife, as the 
GEN.24.52	And it came to pass, that, when Abraham's servant heard their words, he bowed himself down to the earth unto the 
GEN.24.53	And the servant brought forth jewels of silver, and jewels of gold, and raiment, and gave them to Rebekah: he gave also to her brother and to her mother precious things.
GEN.24.54	And they did eat and drink, he and the men that were with him, and tarried all night; and they rose up in the morning, and he said, Send me away unto my master. 
GEN.24.55	And her brother and her mother said, Let the damsel abide with us 
GEN.24.56	And he said unto them, Hinder me not, seeing the 
GEN.24.57	And they said, We will call the damsel, and inquire at her mouth. 
GEN.24.58	And they called Rebekah, and said unto her, Wilt thou go with this man? And she said, I will go. 
GEN.24.59	And they sent away Rebekah their sister, and her nurse, and Abraham's servant, and his men. 
GEN.24.60	And they blessed Rebekah, and said unto her, Our sister, be thou 
GEN.24.61	And Rebekah arose, and her damsels, and they rode upon the camels, and followed the man: and the servant took Rebekah, and went his way.
GEN.24.62	And Isaac came from the way of Beer-lahai-roi; for he dwelt in the land of the South. 
GEN.24.63	And Isaac went out to meditate in the field at the eventide: and he lifted up his eyes, and saw, and, behold, there were camels coming. 
GEN.24.64	And Rebekah lifted up her eyes, and when she saw Isaac, she lighted off the camel. 
GEN.24.65	And she said unto the servant, What man is this that walketh in the field to meet us? And the servant said, It is my master: and she took her veil, and covered herself. 
GEN.24.66	And the servant told Isaac all the things that he had done. 
GEN.24.67	And Isaac brought her into his mother Sarah's tent, and took Rebekah, and she became his wife; and he loved her: and Isaac was comforted after his mother's death.
GEN.25.1	And Abraham took another wife, and her name was Keturah. 
GEN.25.2	And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. 
GEN.25.3	And Jokshan begat Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim, and Leummim. 
GEN.25.4	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the children of Keturah. 
GEN.25.5	And Abraham gave all that he had unto Isaac. 
GEN.25.6	But unto the sons of the concubines, which Abraham had, Abraham gave gifts; and he sent them away from Isaac his son, while he yet lived, eastward, unto the east country. 
GEN.25.7	And these are the days of the years of Abraham's life which he lived, an hundred threescore and fifteen years. 
GEN.25.8	And Abraham gave up the ghost, and died in a good old age, an old man, and full 
GEN.25.9	And Isaac and Ishmael his sons buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre; 
GEN.25.10	the field which Abraham purchased of the children of Heth: there was Abraham buried, and Sarah his wife.
GEN.25.11	And it came to pass after the death of Abraham, that God blessed Isaac his son; and Isaac dwelt by Beer-lahai-roi. 
GEN.25.12	Now these are the generations of Ishmael, Abraham's son, whom Hagar the Egyptian, Sarah's handmaid, bare unto Abraham: 
GEN.25.13	and these are the names of the sons of Ishmael, by their names, according to their generations: the firstborn of Ishmael, Nebaioth; and Kedar, and Adbeel, and Mibsam, 
GEN.25.14	and Mishma, and Dumah, and Massa; 
GEN.25.15	Hadad, and Tema, Jetur, Naphish, and Kedemah: 
GEN.25.16	these are the sons of Ishmael, and these are their names, by their villages, and by their encampments; twelve princes according to their nations. 
GEN.25.17	And these are the years of the life of Ishmael, an hundred and thirty and seven years: and he gave up the ghost and died; and was gathered unto his people. 
GEN.25.18	And they dwelt from Havilah unto Shur that is before Egypt, as thou goest toward Assyria: he abode in the presence of all his brethren.
GEN.25.19	And these are the generations of Isaac, Abraham's son: Abraham begat Isaac: 
GEN.25.20	and Isaac was forty years old when he took Rebekah, the daughter of Bethuel the Syrian of Paddan-aram, the sister of Laban the Syrian, to be his wife. 
GEN.25.21	And Isaac entreated the 
GEN.25.22	And the children struggled together within her; and she said, If it be so, wherefore do I live? And she went to inquire of the 
GEN.25.23	And the 
GEN.25.24	And when her days to be delivered were fulfilled, behold, there were twins in her womb. 
GEN.25.25	And the first came forth red, all over like an hairy garment; and they called his name Esau. 
GEN.25.26	And after that came forth his brother, and his hand had hold on Esau's heel; and his name was called Jacob: and Isaac was threescore years old when she bare them. 
GEN.25.27	And the boys grew: and Esau was a cunning hunter, a man of the field; and Jacob was a plain man, dwelling in tents. 
GEN.25.28	Now Isaac loved Esau, because he did eat of his venison: and Rebekah loved Jacob.
GEN.25.29	And Jacob sod pottage: and Esau came in from the field, and he was faint: 
GEN.25.30	and Esau said to Jacob, Feed me, I pray thee, with that same red 
GEN.25.31	And Jacob said, Sell me this day thy birthright. 
GEN.25.32	And Esau said, Behold, I am at the point to die: and what profit shall the birthright do to me? 
GEN.25.33	And Jacob said, Swear to me this day; and he sware unto him: and he sold his birthright unto Jacob. 
GEN.25.34	And Jacob gave Esau bread and pottage of lentils; and he did eat and drink, and rose up, and went his way: so Esau despised his birthright.
GEN.26.1	And there was a famine in the land, beside the first famine that was in the days of Abraham. And Isaac went unto Abimelech king of the Philistines unto Gerar. 
GEN.26.2	And the 
GEN.26.3	sojourn in this land, and I will be with thee, and will bless thee; for unto thee, and unto thy seed, I will give all these lands, and I will establish the oath which I sware unto Abraham thy father; 
GEN.26.4	and I will multiply thy seed as the stars of heaven, and will give unto thy seed all these lands; and in thy seed shall all the nations of the earth be blessed; 
GEN.26.5	because that Abraham obeyed my voice, and kept my charge, my commandments, my statutes, and my laws.
GEN.26.6	And Isaac dwelt in Gerar: 
GEN.26.7	and the men of the place asked him of his wife; and he said, She is my sister: for he feared to say, My wife; lest, 
GEN.26.8	And it came to pass, when he had been there a long time, that Abimelech king of the Philistines looked out at a window, and saw, and, behold, Isaac was sporting with Rebekah his wife. 
GEN.26.9	And Abimelech called Isaac, and said, Behold, of a surety she is thy wife: and how saidst thou, She is my sister? And Isaac said unto him, Because I said, Lest I die for her. 
GEN.26.10	And Abimelech said, What is this thou hast done unto us? one of the people might lightly have lain with thy wife, and thou shouldest have brought guiltiness upon us. 
GEN.26.11	And Abimelech charged all the people, saying, He that toucheth this man or his wife shall surely be put to death.
GEN.26.12	And Isaac sowed in that land, and found in the same year an hundredfold: and the 
GEN.26.13	And the man waxed great, and grew more and more until he became very great: 
GEN.26.14	and he had possessions of flocks, and possessions of herds, and a great household: and the Philistines envied him. 
GEN.26.15	Now all the wells which his father's servants had digged in the days of Abraham his father, the Philistines had stopped them, and filled them with earth. 
GEN.26.16	And Abimelech said unto Isaac, Go from us; for thou art much mightier than we. 
GEN.26.17	And Isaac departed thence, and encamped in the valley of Gerar, and dwelt there. 
GEN.26.18	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them. 
GEN.26.19	And Isaac's servants digged in the valley, and found there a well of springing water. 
GEN.26.20	And the herdmen of Gerar strove with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek; because they contended with him. 
GEN.26.21	And they digged another well, and they strove for that also: and he called the name of it Sitnah. 
GEN.26.22	And he removed from thence, and digged another well; and for that they strove not: and he called the name of it Rehoboth; and he said, For now the 
GEN.26.23	And he went up from thence to Beer-sheba. 
GEN.26.24	And the 
GEN.26.25	And he builded an altar there, and called upon the name of the 
GEN.26.26	Then Abimelech went to him from Gerar, and Ahuzzath his friend, and Phicol the captain of his host. 
GEN.26.27	And Isaac said unto them, Wherefore are ye come unto me, seeing ye hate me, and have sent me away from you? 
GEN.26.28	And they said, We saw plainly that the 
GEN.26.29	that thou wilt do us no hurt, as we have not touched thee, and as we have done unto thee nothing but good, and have sent thee away in peace: thou art now the blessed of the 
GEN.26.30	And he made them a feast, and they did eat and drink. 
GEN.26.31	And they rose up betimes in the morning, and sware one to another: and Isaac sent them away, and they departed from him in peace. 
GEN.26.32	And it came to pass the same day, that Isaac's servants came, and told him concerning the well which they had digged, and said unto him, We have found water. 
GEN.26.33	And he called it Shibah: therefore the name of the city is Beer-sheba unto this day.
GEN.26.34	And when Esau was forty years old he took to wife Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite: 
GEN.26.35	and they were a grief of mind unto Isaac and to Rebekah.
GEN.27.1	And it came to pass, that when Isaac was old, and his eyes were dim, so that he could not see, he called Esau his elder son, and said unto him, My son: and he said unto him, Here am I. 
GEN.27.2	And he said, Behold now, I am old, I know not the day of my death. 
GEN.27.3	Now therefore take, I pray thee, thy weapons, thy quiver and thy bow, and go out to the field, and take me venison; 
GEN.27.4	and make me savoury meat, such as I love, and bring it to me, that I may eat; that my soul may bless thee before I die. 
GEN.27.5	And Rebekah heard when Isaac spake to Esau his son. And Esau went to the field to hunt for venison, and to bring it.
GEN.27.6	And Rebekah spake unto Jacob her son, saying, Behold, I heard thy father speak unto Esau thy brother, saying, 
GEN.27.7	Bring me venison, and make me savoury meat, that I may eat, and bless thee before the 
GEN.27.8	Now therefore, my son, obey my voice according to that which I command thee. 
GEN.27.9	Go now to the flock, and fetch me from thence two good kids of the goats; and I will make them savoury meat for thy father, such as he loveth: 
GEN.27.10	and thou shalt bring it to thy father, that he may eat, so that he may bless thee before his death. 
GEN.27.11	And Jacob said to Rebekah his mother, Behold, Esau my brother is a hairy man, and I am a smooth man. 
GEN.27.12	My father peradventure will feel me, and I shall seem to him as a deceiver; and I shall bring a curse upon me, and not a blessing. 
GEN.27.13	And his mother said unto him, Upon me be thy curse, my son: only obey my voice, and go fetch me them. 
GEN.27.14	And he went, and fetched, and brought them to his mother: and his mother made savoury meat, such as his father loved. 
GEN.27.15	And Rebekah took the goodly raiment of Esau her elder son, which were with her in the house, and put them upon Jacob her younger son: 
GEN.27.16	and she put the skins of the kids of the goats upon his hands, and upon the smooth of his neck: 
GEN.27.17	and she gave the savoury meat and the bread, which she had prepared, into the hand of her son Jacob.
GEN.27.18	And he came unto his father, and said, My father: and he said, Here am I; who art thou, my son? 
GEN.27.19	And Jacob said unto his father, I am Esau thy firstborn; I have done according as thou badest me: arise, I pray thee, sit and eat of my venison, that thy soul may bless me. 
GEN.27.20	And Isaac said unto his son, How is it that thou hast found it so quickly, my son? And he said, Because the 
GEN.27.21	And Isaac said unto Jacob, Come near, I pray thee, that I may feel thee, my son, whether thou be my very son Esau or not. 
GEN.27.22	And Jacob went near unto Isaac his father; and he felt him, and said, The voice is Jacob's voice, but the hands are the hands of Esau. 
GEN.27.23	And he discerned him not, because his hands were hairy, as his brother Esau's hands: so he blessed him. 
GEN.27.24	And he said, Art thou my very son Esau? And he said, I am. 
GEN.27.25	And he said, Bring it near to me, and I will eat of my son's venison, that my soul may bless thee. And he brought it near to him, and he did eat: and he brought him wine, and he drank. 
GEN.27.26	And his father Isaac said unto him, Come near now, and kiss me, my son. 
GEN.27.27	And he came near, and kissed him: and he smelled the smell of his raiment, and blessed him, and said, See, the smell of my son Is as the smell of a field which the 
GEN.27.28	And God give thee of the dew of heaven, And of the fatness of the earth, And plenty of corn and wine: 
GEN.27.29	Let peoples serve thee, And nations bow down to thee: Be lord over thy brethren, And let thy mother's sons bow down to thee: Cursed be every one that curseth thee, And blessed be every one that blesseth thee.
GEN.27.30	And it came to pass, as soon as Isaac had made an end of blessing Jacob, and Jacob was yet scarce gone out from the presence of Isaac his father, that Esau his brother came in from his hunting. 
GEN.27.31	And he also made savoury meat, and brought it unto his father; and he said unto his father, Let my father arise, and eat of his son's venison, that thy soul may bless me. 
GEN.27.32	And Isaac his father said unto him, Who art thou? And he said, I am thy son, thy firstborn, Esau. 
GEN.27.33	And Isaac trembled very exceedingly, and said, Who then is he that hath taken venison, and brought it me, and I have eaten of all before thou camest, and have blessed him? yea, 
GEN.27.34	When Esau heard the words of his father, he cried with an exceeding great and bitter cry, and said unto his father, Bless me, even me also, O my father. 
GEN.27.35	And he said, Thy brother came with guile, and hath taken away thy blessing. 
GEN.27.36	And he said, Is not he rightly named Jacob? for he hath supplanted me these two times: he took away my birthright; and, behold, now he hath taken away my blessing. And he said, Hast thou not reserved a blessing for me? 
GEN.27.37	And Isaac answered and said unto Esau, Behold, I have made him thy lord, and all his brethren have I given to him for servants; and with corn and wine have I sustained him: and what then shall I do for thee, my son? 
GEN.27.38	And Esau said unto his father, Hast thou but one blessing, my father? bless me, even me also, O my father. And Esau lifted up his voice, and wept. 
GEN.27.39	And Isaac his father answered and said unto him, Behold, of the fatness of the earth shall be thy dwelling, And of the dew of heaven from above; 
GEN.27.40	And by thy sword shalt thou live, and thou shalt serve thy brother; And it shall come to pass when thou shalt break loose, That thou shalt shake his yoke from off thy neck.
GEN.27.41	And Esau hated Jacob because of the blessing wherewith his father blessed him: and Esau said in his heart, The days of mourning for my father are at hand; then will I slay my brother Jacob. 
GEN.27.42	And the words of Esau her elder son were told to Rebekah; and she sent and called Jacob her younger son, and said unto him, Behold, thy brother Esau, as touching thee, doth comfort himself, 
GEN.27.43	Now therefore, my son, obey my voice; and arise, flee thou to Laban my brother to Haran; 
GEN.27.44	and tarry with him a few days, until thy brother's fury turn away; 
GEN.27.45	until thy brother's anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be bereaved of you both in one day? 
GEN.27.46	And Rebekah said to Isaac, I am weary of my life because of the daughters of Heth: if Jacob take a wife of the daughters of Heth, such as these, of the daughters of the land, what good shall my life do me?
GEN.28.1	And Isaac called Jacob, and blessed him, and charged him, and said unto him, Thou shalt not take a wife of the daughters of Canaan. 
GEN.28.2	Arise, go to Paddan-aram, to the house of Bethuel thy mother's father; and take thee a wife from thence of the daughters of Laban thy mother's brother. 
GEN.28.3	And God Almighty bless thee, and make thee fruitful, and multiply thee, that thou mayest be a company of peoples; 
GEN.28.4	and give thee the blessing of Abraham, to thee, and to thy seed with thee; that thou mayest inherit the land of thy sojournings, which God gave unto Abraham. 
GEN.28.5	And Isaac sent away Jacob: and he went to Paddan-aram unto Laban, son of Bethuel the Syrian, the brother of Rebekah, Jacob's and Esau's mother.
GEN.28.6	Now Esau saw that Isaac had blessed Jacob and sent him away to Paddan-aram, to take him a wife from thence; and that as he blessed him he gave him a charge, saying, Thou shalt not take a wife of the daughters of Canaan; 
GEN.28.7	and that Jacob obeyed his father and his mother, and was gone to Paddan-aram: 
GEN.28.8	and Esau saw that the daughters of Canaan pleased not Isaac his father; 
GEN.28.9	and Esau went unto Ishmael, and took unto the wives which he had Mahalath the daughter of Ishmael Abraham's son, the sister of Nebaioth, to be his wife.
GEN.28.10	And Jacob went out from Beer-sheba, and went toward Haran. 
GEN.28.11	And he lighted upon a certain place, and tarried there all night, because the sun was set; and he took one of the stones of the place, and put it under his head, and lay down in that place to sleep. 
GEN.28.12	And he dreamed, and behold a ladder set up on the earth, and the top of it reached to heaven: and behold the angels of God ascending and descending on it. 
GEN.28.13	And, behold, the 
GEN.28.14	and thy seed shall be as the dust of the earth, and thou shalt spread abroad to the west, and to the east, and to the north, and to the south: and in thee and in thy seed shall all the families of the earth be blessed. 
GEN.28.15	And, behold, I am with thee, and will keep thee whithersoever thou goest, and will bring thee again into this land; for I will not leave thee, until I have done that which I have spoken to thee of.
GEN.28.16	And Jacob awaked out of his sleep, and he said, Surely the 
GEN.28.17	And he was afraid, and said, How dreadful is this place! this is none other but the house of God, and this is the gate of heaven. 
GEN.28.18	And Jacob rose up early in the morning, and took the stone that he had put under his head, and set it up for a pillar, and poured oil upon the top of it. 
GEN.28.19	And he called the name of that place Beth-el: but the name of the city was Luz at the first. 
GEN.28.20	And Jacob vowed a vow, saying, If God will be with me, and will keep me in this way that I go, and will give me bread to eat, and raiment to put on, 
GEN.28.21	so that I come again to my father's house in peace, then shall the 
GEN.28.22	and this stone, which I have set up for a pillar, shall be God's house: and of all that thou shalt give me I will surely give the tenth unto thee.
GEN.29.1	Then Jacob went on his journey, and came to the land of the children of the east. 
GEN.29.2	And he looked, and behold a well in the field, and, lo, three flocks of sheep lying there by it; for out of that well they watered the flocks: and the stone upon the well's mouth was great. 
GEN.29.3	And thither were all the flocks gathered: and they rolled the stone from the well's mouth, and watered the sheep, and put the stone again upon the well's mouth in its place. 
GEN.29.4	And Jacob said unto them, My brethren, whence be ye? And they said, Of Haran are we. 
GEN.29.5	And he said unto them, Know ye Laban the son of Nahor? And they said, We know him. 
GEN.29.6	And he said unto them, Is it well with him? And they said, It is well: and, behold, Rachel his daughter cometh with the sheep. 
GEN.29.7	And he said, Lo, it is yet high day, neither is it time that the cattle should be gathered together: water ye the sheep, and go and feed them. 
GEN.29.8	And they said, We cannot, until all the flocks be gathered together, and they roll the stone from the well's mouth; then we water the sheep.
GEN.29.9	While he yet spake with them, Rachel came with her father's sheep; for she kept them. 
GEN.29.10	And it came to pass, when Jacob saw Rachel the daughter of Laban his mother's brother, and the sheep of Laban his mother's brother, that Jacob went near, and rolled the stone from the well's mouth, and watered the flock of Laban his mother's brother. 
GEN.29.11	And Jacob kissed Rachel, and lifted up his voice, and wept. 
GEN.29.12	And Jacob told Rachel that he was her father's brother, and that he was Rebekah's son: and she ran and told her father. 
GEN.29.13	And it came to pass, when Laban heard the tidings of Jacob his sister's son, that he ran to meet him, and embraced him, and kissed him, and brought him to his house. And he told Laban all these things. 
GEN.29.14	And Laban said to him, Surely thou art my bone and my flesh. And he abode with him the space of a month.
GEN.29.15	And Laban said unto Jacob, Because thou art my brother, shouldest thou therefore serve me for nought? tell me, what shall thy wages be? 
GEN.29.16	And Laban had two daughters: the name of the elder was Leah, and the name of the younger was Rachel. 
GEN.29.17	And Leah's eyes were tender; but Rachel was beautiful and well favoured. 
GEN.29.18	And Jacob loved Rachel; and he said, I will serve thee seven years for Rachel thy younger daughter. 
GEN.29.19	And Laban said, It is better that I give her to thee, than that I should give her to another man: abide with me. 
GEN.29.20	And Jacob served seven years for Rachel; and they seemed unto him but a few days, for the love he had to her. 
GEN.29.21	And Jacob said unto Laban, Give me my wife, for my days are fulfilled, that I may go in unto her. 
GEN.29.22	And Laban gathered together all the men of the place, and made a feast. 
GEN.29.23	And it came to pass in the evening, that he took Leah his daughter, and brought her to him; and he went in unto her. 
GEN.29.24	And Laban gave Zilpah his handmaid unto his daughter Leah for an handmaid. 
GEN.29.25	And it came to pass in the morning that, behold, it was Leah: and he said to Laban, What is this thou hast done unto me? did not I serve with thee for Rachel? wherefore then hast thou beguiled me? 
GEN.29.26	And Laban said, It is not so done in our place, to give the younger before the firstborn. 
GEN.29.27	Fulfill the week of this one, and we will give thee the other also for the service which thou shalt serve with me yet seven other years. 
GEN.29.28	And Jacob did so, and fulfilled her week: and he gave him Rachel his daughter to wife. 
GEN.29.29	And Laban gave to Rachel his daughter Bilhah his handmaid to be her handmaid. 
GEN.29.30	And he went in also unto Rachel, and he loved also Rachel more than Leah, and served with him yet seven other years.
GEN.29.31	And the 
GEN.29.32	And Leah conceived, and bare a son, and she called his name Reuben: for she said, Because the 
GEN.29.33	And she conceived again, and bare a son; and said, Because the 
GEN.29.34	And she conceived again, and bare a son; and said, Now this time will my husband be joined unto me, because I have borne him three sons: therefore was his name called Levi. 
GEN.29.35	And she conceived again, and bare a son: and she said, This time will I praise the 
GEN.30.1	And when Rachel saw that she bare Jacob no children, Rachel envied her sister; and she said unto Jacob, Give me children, or else I die. 
GEN.30.2	And Jacob's anger was kindled against Rachel: and he said, Am I in God's stead, who hath withheld from thee the fruit of the womb? 
GEN.30.3	And she said, Behold my maid Bilhah, go in unto her; that she may bear upon my knees, and I also may obtain children by her. 
GEN.30.4	And she gave him Bilhah her handmaid to wife: and Jacob went in unto her. 
GEN.30.5	And Bilhah conceived, and bare Jacob a son. 
GEN.30.6	And Rachel said, God hath judged me, and hath also heard my voice, and hath given me a son: therefore called she his name Dan. 
GEN.30.7	And Bilhah Rachel's handmaid conceived again, and bare Jacob a second son. 
GEN.30.8	And Rachel said, With mighty wrestlings have I wrestled with my sister, and have prevailed: and she called his name Naphtali. 
GEN.30.9	When Leah saw that she had left bearing, she took Zilpah her handmaid, and gave her to Jacob to wife. 
GEN.30.10	And Zilpah Leah's handmaid bare Jacob a son. 
GEN.30.11	And Leah said, Fortunate! and she called his name Gad. 
GEN.30.12	And Zilpah Leah's handmaid bare Jacob a second son. 
GEN.30.13	And Leah said, Happy am I! for the daughters will call me happy: and she called his name Asher.
GEN.30.14	And Reuben went in the days of wheat harvest, and found mandrakes in the field, and brought them unto his mother Leah. Then Rachel said to Leah, Give me, I pray thee, of thy son's mandrakes. 
GEN.30.15	And she said unto her, Is it a small matter that thou hast taken away my husband? and wouldest thou take away my son's mandrakes also? And Rachel said, Therefore he shall lie with thee to-night for thy son's mandrakes. 
GEN.30.16	And Jacob came from the field in the evening, and Leah went out to meet him, and said, Thou must come in unto me; for I have surely hired thee with my son's mandrakes. And he lay with her that night. 
GEN.30.17	And God hearkened unto Leah, and she conceived, and bare Jacob a fifth son. 
GEN.30.18	And Leah said, God hath given me my hire, because I gave my handmaid to my husband: and she called his name Issachar. 
GEN.30.19	And Leah conceived again, and bare a sixth son to Jacob. 
GEN.30.20	And Leah said, God hath endowed me with a good dowry; now will my husband dwell with me, because I have borne him six sons: and she called his name Zebulun. 
GEN.30.21	And afterwards she bare a daughter, and called her name Dinah. 
GEN.30.22	And God remembered Rachel, and God hearkened to her, and opened her womb. 
GEN.30.23	And she conceived, and bare a son: and said, God hath taken away my reproach: 
GEN.30.24	and she called his name Joseph, saying, The 
GEN.30.25	And it came to pass, when Rachel had borne Joseph, that Jacob said unto Laban, Send me away, that I may go unto mine own place, and to my country. 
GEN.30.26	Give me my wives and my children for whom I have served thee, and let me go: for thou knowest my service wherewith I have served thee. 
GEN.30.27	And Laban said unto him, If now I have found favour in thine eyes, 
GEN.30.28	And he said, Appoint me thy wages, and I will give it. 
GEN.30.29	And he said unto him, Thou knowest how I have served thee, and how thy cattle hath fared with me. 
GEN.30.30	For it was little which thou hadst before I came, and it hath increased unto a multitude; and the 
GEN.30.31	And he said, What shall I give thee? And Jacob said, Thou shalt not give me aught: if thou wilt do this thing for me, I will again feed thy flock and keep it. 
GEN.30.32	I will pass through all thy flock today, removing from thence every speckled and spotted one, and every black one among the sheep, and the spotted and speckled among the goats: and 
GEN.30.33	So shall my righteousness answer for me hereafter, when thou shalt come concerning my hire that is before thee: every one that is not speckled and spotted among the goats, and black among the sheep, that 
GEN.30.34	And Laban said, Behold, I would it might be according to thy word. 
GEN.30.35	And he removed that day the he-goats that were ringstraked and spotted, and all the she-goats that were speckled and spotted, every one that had white in it, and all the black ones among the sheep, and gave them into the hand of his sons; 
GEN.30.36	and he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.
GEN.30.37	And Jacob took him rods of fresh poplar, and of the almond and of the plane tree; and peeled white strakes in them, and made the white appear which was in the rods. 
GEN.30.38	And he set the rods which he had peeled over against the flocks in the gutters in the watering troughs where the flocks came to drink; and they conceived when they came to drink. 
GEN.30.39	And the flocks conceived before the rods, and the flocks brought forth ringstraked, speckled, and spotted. 
GEN.30.40	And Jacob separated the lambs, and set the faces of the flocks toward the ringstraked and all the black in the flock of Laban; and he put his own droves apart, and put them not unto Laban's flock. 
GEN.30.41	And it came to pass, whensoever the stronger of the flock did conceive, that Jacob laid the rods before the eyes of the flock in the gutters, that they might conceive among the rods; 
GEN.30.42	but when the flock were feeble, he put them not in: so the feebler were Laban's, and the stronger Jacob's. 
GEN.30.43	And the man increased exceedingly, and had large flocks, and maidservants and menservants, and camels and asses.
GEN.31.1	And he heard the words of Laban's sons, saying, Jacob hath taken away all that was our father's; and of that which was our father's hath he gotten all this glory. 
GEN.31.2	And Jacob beheld the countenance of Laban, and, behold, it was not toward him as beforetime. 
GEN.31.3	And the 
GEN.31.4	And Jacob sent and called Rachel and Leah to the field unto his flock, 
GEN.31.5	and said unto them, I see your father's countenance, that it is not toward me as beforetime; but the God of my father hath been with me. 
GEN.31.6	And ye know that with all my power I have served your father. 
GEN.31.7	And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me. 
