GEN.1.1	In the beginning, God created the heavens and the earth. 
ISA.16.13	This is the word that the 
ISA.16.14	But now the 
ISA.17.1	An oracle concerning Damascus. 
ISA.17.1	Behold, Damascus will cease to be a city
ISA.17.1	and will become a heap of ruins.
ISA.17.2	 The cities of Aroer are deserted;
ISA.17.2	they will be for flocks,
ISA.17.2	which will lie down, and none will make them afraid.
ISA.17.3	 The fortress will disappear from Ephraim,
ISA.17.3	and the kingdom from Damascus;
ISA.17.3	and the remnant of Syria will be
ISA.17.3	like the glory of the children of Israel,
ISA.17.3	declares the 
ISA.17.4	 And in that day the glory of Jacob will be brought low,
ISA.17.4	and the fat of his flesh will grow lean.
ISA.17.5	 And it shall be as when the reaper gathers standing grain
ISA.17.5	and his arm harvests the ears,
ISA.17.5	and as when one gleans the ears of grain
ISA.17.5	in the Valley of Rephaim.
ISA.17.6	 Gleanings will be left in it,
ISA.17.6	as when an olive tree is beaten—
ISA.17.6	two or three berries
ISA.17.6	in the top of the highest bough,
ISA.17.6	four or five
ISA.17.6	on the branches of a fruit tree,
ISA.17.6	declares the 
ISA.17.7	In that day man will look to his Maker, and his eyes will look on the Holy One of Israel. 
ISA.17.8	He will not look to the altars, the work of his hands, and he will not look on what his own fingers have made, either the Asherim or the altars of incense. 
ISA.17.9	In that day their strong cities will be like the deserted places of the wooded heights and the hilltops, which they deserted because of the children of Israel, and there will be desolation. 
ISA.17.10	 For you have forgotten the God of your salvation
ISA.17.10	and have not remembered the Rock of your refuge;
ISA.17.10	therefore, though you plant pleasant plants
ISA.17.10	and sow the vine-branch of a stranger,
ISA.17.11	 though you make them grow on the day that you plant them,
ISA.17.11	and make them blossom in the morning that you sow,
ISA.17.11	yet the harvest will flee away
ISA.17.11	in a day of grief and incurable pain.
ISA.17.12	 Ah, the thunder of many peoples;
ISA.17.12	they thunder like the thundering of the sea!
ISA.17.12	Ah, the roar of nations;
ISA.17.12	they roar like the roaring of mighty waters!
ISA.17.13	 The nations roar like the roaring of many waters,
ISA.17.13	but he will rebuke them, and they will flee far away,
ISA.17.13	chased like chaff on the mountains before the wind
ISA.17.13	and whirling dust before the storm.
ISA.17.14	 At evening time, behold, terror!
ISA.17.14	Before morning, they are no more!
ISA.17.14	This is the portion of those who loot us,
ISA.17.14	and the lot of those who plunder us.
ISA.18.1	 Ah, land of whirring wings
ISA.18.1	that is beyond the rivers of Cush,
ISA.18.2	 which sends ambassadors by the sea,
ISA.18.2	in vessels of papyrus on the waters!
ISA.18.2	Go, you swift messengers,
ISA.18.2	to a nation tall and smooth,
ISA.18.2	to a people feared near and far,
ISA.18.2	a nation mighty and conquering,
ISA.18.2	whose land the rivers divide.
ISA.18.3	 All you inhabitants of the world,
ISA.18.3	you who dwell on the earth,
ISA.18.3	when a signal is raised on the mountains, look!
ISA.18.3	When a trumpet is blown, hear!
ISA.18.4	 For thus the 
ISA.18.4	"I will quietly look from my dwelling
ISA.18.4	like clear heat in sunshine,
ISA.18.4	like a cloud of dew in the heat of harvest."
ISA.18.5	 For before the harvest, when the blossom is over,
ISA.18.5	and the flower becomes a ripening grape,
ISA.18.5	he cuts off the shoots with pruning hooks,
ISA.18.5	and the spreading branches he lops off and clears away.
ISA.18.6	 They shall all of them be left
ISA.18.6	to the birds of prey of the mountains
ISA.18.6	and to the beasts of the earth.
ISA.18.6	And the birds of prey will summer on them,
ISA.18.6	and all the beasts of the earth will winter on them.
ISA.18.7	At that time tribute will be brought to the 
ISA.18.7	from a people tall and smooth,
ISA.18.7	from a people feared near and far,
ISA.18.7	a nation mighty and conquering,
ISA.18.7	whose land the rivers divide,
ISA.18.7	to Mount Zion, the place of the name of the 
ISA.19.1	An oracle concerning Egypt. 
ISA.19.1	Behold, the 
ISA.19.1	and comes to Egypt;
ISA.19.1	and the idols of Egypt will tremble at his presence,
ISA.19.1	and the heart of the Egyptians will melt within them.
ISA.19.2	 And I will stir up Egyptians against Egyptians,
ISA.19.2	and they will fight, each against another
ISA.19.2	and each against his neighbor,
ISA.19.2	city against city, kingdom against kingdom;
ISA.19.3	 and the spirit of the Egyptians within them will be emptied out,
ISA.19.3	and I will confound their counsel;
ISA.19.3	and they will inquire of the idols and the sorcerers,
ISA.19.3	and the mediums and the necromancers;
ISA.19.4	 and I will give over the Egyptians
ISA.19.4	into the hand of a hard master,
ISA.19.4	and a fierce king will rule over them,
ISA.19.4	declares the Lord 
ISA.19.5	 And the waters of the sea will be dried up,
ISA.19.5	and the river will be dry and parched,
ISA.19.6	 and its canals will become foul,
ISA.19.6	and the branches of Egypt's Nile will diminish and dry up,
ISA.19.6	reeds and rushes will rot away.
ISA.19.7	 There will be bare places by the Nile,
ISA.19.7	on the brink of the Nile,
ISA.19.7	and all that is sown by the Nile will be parched,
ISA.19.7	will be driven away, and will be no more.
ISA.19.8	 The fishermen will mourn and lament,
ISA.19.8	all who cast a hook in the Nile;
ISA.19.8	and they will languish
ISA.19.8	who spread nets on the water.
ISA.19.9	 The workers in combed flax will be in despair,
ISA.19.9	and the weavers of white cotton.
ISA.19.10	 Those who are the pillars of the land will be crushed,
ISA.19.10	and all who work for pay will be grieved.
ISA.19.11	 The princes of Zoan are utterly foolish;
ISA.19.11	the wisest counselors of Pharaoh give stupid counsel.
ISA.19.11	How can you say to Pharaoh,
ISA.19.11	"I am a son of the wise,
ISA.19.11	a son of ancient kings"?
ISA.19.12	 Where then are your wise men?
ISA.19.12	Let them tell you
ISA.19.12	that they might know what the 
ISA.19.13	 The princes of Zoan have become fools,
ISA.19.13	and the princes of Memphis are deluded;
ISA.19.13	those who are the cornerstones of her tribes
ISA.19.13	have made Egypt stagger.
ISA.19.14	 The 
ISA.19.14	and they will make Egypt stagger in all its deeds,
ISA.19.14	as a drunken man staggers in his vomit.
ISA.19.15	 And there will be nothing for Egypt
ISA.19.15	that head or tail, palm branch or reed, may do.
ISA.19.16	In that day the Egyptians will be like women, and tremble with fear before the hand that the 
ISA.19.17	And the land of Judah will become a terror to the Egyptians. Everyone to whom it is mentioned will fear because of the purpose that the 
ISA.19.18	In that day there will be five cities in the land of Egypt that speak the language of Canaan and swear allegiance to the 
ISA.19.19	In that day there will be an altar to the 
ISA.19.20	It will be a sign and a witness to the 
ISA.19.21	And the 
ISA.19.22	And the 
ISA.19.23	In that day there will be a highway from Egypt to Assyria, and Assyria will come into Egypt, and Egypt into Assyria, and the Egyptians will worship with the Assyrians. 
ISA.19.24	In that day Israel will be the third with Egypt and Assyria, a blessing in the midst of the earth, 
ISA.19.25	whom the 
ISA.20.1	In the year that the commander in chief, who was sent by Sargon the king of Assyria, came to Ashdod and fought against it and captured it— 
ISA.20.2	at that time the 
ISA.20.3	Then the 
ISA.20.4	so shall the king of Assyria lead away the Egyptian captives and the Cushite exiles, both the young and the old, naked and barefoot, with buttocks uncovered, the nakedness of Egypt. 
ISA.20.5	Then they shall be dismayed and ashamed because of Cush their hope and of Egypt their boast. 
ISA.20.6	And the inhabitants of this coastland will say in that day, 'Behold, this is what has happened to those in whom we hoped and to whom we fled for help to be delivered from the king of Assyria! And we, how shall we escape?'" 
ISA.21.1	The oracle concerning the wilderness of the sea. 
ISA.21.1	As whirlwinds in the Negeb sweep on,
ISA.21.1	it comes from the wilderness,
ISA.21.1	from a terrible land.
ISA.21.2	 A stern vision is told to me;
ISA.21.2	the traitor betrays,
ISA.21.2	and the destroyer destroys.
ISA.21.2	Go up, O Elam;
ISA.21.2	lay siege, O Media;
ISA.21.2	all the sighing she has caused
ISA.21.2	I bring to an end.
ISA.21.3	 Therefore my loins are filled with anguish;
ISA.21.3	pangs have seized me,
ISA.21.3	like the pangs of a woman in labor;
ISA.21.3	I am bowed down so that I cannot hear;
ISA.21.3	I am dismayed so that I cannot see.
ISA.21.4	 My heart staggers; horror has appalled me;
ISA.21.4	the twilight I longed for
ISA.21.4	has been turned for me into trembling.
ISA.21.5	 They prepare the table,
ISA.21.5	they spread the rugs,
ISA.21.5	they eat, they drink.
ISA.21.5	Arise, O princes;
ISA.21.5	oil the shield!
ISA.21.6	 For thus the Lord said to me:
ISA.21.6	"Go, set a watchman;
ISA.21.6	let him announce what he sees.
ISA.21.7	 When he sees riders, horsemen in pairs,
ISA.21.7	riders on donkeys, riders on camels,
ISA.21.7	let him listen diligently,
ISA.21.7	very diligently."
ISA.21.8	 Then he who saw cried out:
ISA.21.8	"Upon a watchtower I stand, O Lord,
ISA.21.8	continually by day,
ISA.21.8	and at my post I am stationed
ISA.21.8	whole nights.
ISA.21.9	 And behold, here come riders,
ISA.21.9	horsemen in pairs!"
ISA.21.9	And he answered,
ISA.21.9	"Fallen, fallen is Babylon;
ISA.21.9	and all the carved images of her gods
ISA.21.9	he has shattered to the ground."
ISA.21.10	 O my threshed and winnowed one,
ISA.21.10	what I have heard from the 
ISA.21.10	the God of Israel, I announce to you.
ISA.21.11	The oracle concerning Dumah. 
ISA.21.11	One is calling to me from Seir,
ISA.21.11	"Watchman, what time of the night?
ISA.21.11	Watchman, what time of the night?"
ISA.21.12	 The watchman says:
ISA.21.12	"Morning comes, and also the night.
ISA.21.12	If you will inquire, inquire;
ISA.21.12	come back again."
ISA.21.13	The oracle concerning Arabia. 
ISA.21.13	In the thickets in Arabia you will lodge,
ISA.21.13	O caravans of Dedanites.
ISA.21.14	 To the thirsty bring water;
ISA.21.14	meet the fugitive with bread,
ISA.21.14	O inhabitants of the land of Tema.
ISA.21.15	 For they have fled from the swords,
ISA.21.15	from the drawn sword,
ISA.21.15	from the bent bow,
ISA.21.15	and from the press of battle.
ISA.21.16	For thus the Lord said to me, "Within a year, according to the years of a hired worker, all the glory of Kedar will come to an end. 
ISA.21.17	And the remainder of the archers of the mighty men of the sons of Kedar will be few, for the 
ISA.22.1	The oracle concerning the valley of vision. 
ISA.22.1	What do you mean that you have gone up,
ISA.22.1	all of you, to the housetops,
ISA.22.2	 you who are full of shoutings,
ISA.22.2	tumultuous city, exultant town?
ISA.22.2	Your slain are not slain with the sword
ISA.22.2	or dead in battle.
ISA.22.3	 All your leaders have fled together;
ISA.22.3	without the bow they were captured.
ISA.22.3	All of you who were found were captured,
ISA.22.3	though they had fled far away.
ISA.22.4	 Therefore I said:
ISA.22.4	"Look away from me;
ISA.22.4	let me weep bitter tears;
ISA.22.4	do not labor to comfort me
ISA.22.4	concerning the destruction of the daughter of my people."
ISA.22.5	 For the Lord 
ISA.22.5	of tumult and trampling and confusion
ISA.22.5	in the valley of vision,
ISA.22.5	a battering down of walls
ISA.22.5	and a shouting to the mountains.
ISA.22.6	 And Elam bore the quiver
ISA.22.6	with chariots and horsemen,
ISA.22.6	and Kir uncovered the shield.
ISA.22.7	 Your choicest valleys were full of chariots,
ISA.22.7	and the horsemen took their stand at the gates.
ISA.22.8	 He has taken away the covering of Judah.
ISA.22.8	In that day you looked to the weapons of the House of the Forest, 
ISA.22.9	and you saw that the breaches of the city of David were many. You collected the waters of the lower pool, 
ISA.22.10	and you counted the houses of Jerusalem, and you broke down the houses to fortify the wall. 
ISA.22.11	You made a reservoir between the two walls for the water of the old pool. But you did not look to him who did it, or see him who planned it long ago. 
ISA.22.12	 In that day the Lord 
ISA.22.12	called for weeping and mourning,
ISA.22.12	for baldness and wearing sackcloth;
ISA.22.13	 and behold, joy and gladness,
ISA.22.13	killing oxen and slaughtering sheep,
ISA.22.13	eating flesh and drinking wine.
ISA.22.13	"Let us eat and drink,
ISA.22.13	for tomorrow we die."
ISA.22.14	 The 
ISA.22.14	"Surely this iniquity will not be atoned for you until you die,"
ISA.22.14	says the Lord 
ISA.22.15	Thus says the Lord 
ISA.22.16	What have you to do here, and whom have you here, that you have cut out here a tomb for yourself, you who cut out a tomb on the height and carve a dwelling for yourself in the rock? 
ISA.22.17	Behold, the 
ISA.22.18	and whirl you around and around, and throw you like a ball into a wide land. There you shall die, and there shall be your glorious chariots, you shame of your master's house. 
ISA.22.19	I will thrust you from your office, and you will be pulled down from your station. 
ISA.22.20	In that day I will call my servant Eliakim the son of Hilkiah, 
ISA.22.21	and I will clothe him with your robe, and will bind your sash on him, and will commit your authority to his hand. And he shall be a father to the inhabitants of Jerusalem and to the house of Judah. 
ISA.22.22	And I will place on his shoulder the key of the house of David. He shall open, and none shall shut; and he shall shut, and none shall open. 
ISA.22.23	And I will fasten him like a peg in a secure place, and he will become a throne of honor to his father's house. 
ISA.22.24	And they will hang on him the whole honor of his father's house, the offspring and issue, every small vessel, from the cups to all the flagons. 
ISA.22.25	In that day, declares the 
ISA.23.1	The oracle concerning Tyre. 
ISA.23.1	Wail, O ships of Tarshish,
ISA.23.1	for Tyre is laid waste, without house or harbor!
ISA.23.1	From the land of Cyprus
ISA.23.1	it is revealed to them.
ISA.23.2	 Be still, O inhabitants of the coast;
ISA.23.2	the merchants of Sidon, who cross the sea, have filled you.
ISA.23.3	 And on many waters
ISA.23.3	your revenue was the grain of Shihor,
ISA.23.3	the harvest of the Nile;
ISA.23.3	you were the merchant of the nations.
ISA.23.4	 Be ashamed, O Sidon, for the sea has spoken,
ISA.23.4	the stronghold of the sea, saying:
ISA.23.4	"I have neither labored nor given birth,
ISA.23.4	I have neither reared young men
ISA.23.4	nor brought up young women."
ISA.23.5	 When the report comes to Egypt,
ISA.23.5	they will be in anguish over the report about Tyre.
ISA.23.6	 Cross over to Tarshish;
ISA.23.6	wail, O inhabitants of the coast!
ISA.23.7	 Is this your exultant city
ISA.23.7	whose origin is from days of old,
ISA.23.7	whose feet carried her
ISA.23.7	to settle far away?
ISA.23.8	 Who has purposed this
ISA.23.8	against Tyre, the bestower of crowns,
ISA.23.8	whose merchants were princes,
ISA.23.8	whose traders were the honored of the earth?
ISA.23.9	 The 
ISA.23.9	to defile the pompous pride of all glory,
ISA.23.9	to dishonor all the honored of the earth.
ISA.23.10	 Cross over your land like the Nile,
ISA.23.10	O daughter of Tarshish;
ISA.23.10	there is no restraint anymore.
ISA.23.11	 He has stretched out his hand over the sea;
ISA.23.11	he has shaken the kingdoms;
ISA.23.11	the 
ISA.23.11	to destroy its strongholds.
ISA.23.12	 And he said:
ISA.23.12	"You will no more exult,
ISA.23.12	O oppressed virgin daughter of Sidon;
ISA.23.12	arise, cross over to Cyprus,
ISA.23.12	even there you will have no rest."
ISA.23.13	Behold the land of the Chaldeans! This is the people that was not; Assyria destined it for wild beasts. They erected their siege towers, they stripped her palaces bare, they made her a ruin. 
ISA.23.14	 Wail, O ships of Tarshish,
ISA.23.14	for your stronghold is laid waste.
ISA.23.15	In that day Tyre will be forgotten for seventy years, like the days of one king. At the end of seventy years, it will happen to Tyre as in the song of the prostitute: 
ISA.23.16	 "Take a harp;
ISA.23.16	go about the city,
ISA.23.16	O forgotten prostitute!
ISA.23.16	Make sweet melody;
ISA.23.16	sing many songs,
ISA.23.16	that you may be remembered."
ISA.23.17	At the end of seventy years, the 
ISA.23.18	Her merchandise and her wages will be holy to the 
ISA.24.1	 Behold, the 
ISA.24.1	and he will twist its surface and scatter its inhabitants.
ISA.24.2	 And it shall be, as with the people, so with the priest;
ISA.24.2	as with the slave, so with his master;
ISA.24.2	as with the maid, so with her mistress;
ISA.24.2	as with the buyer, so with the seller;
ISA.24.2	as with the lender, so with the borrower;
ISA.24.2	as with the creditor, so with the debtor.
ISA.24.3	 The earth shall be utterly empty and utterly plundered;
ISA.24.3	for the 
ISA.24.4	 The earth mourns and withers;
ISA.24.4	the world languishes and withers;
ISA.24.4	the highest people of the earth languish.
ISA.24.5	 The earth lies defiled
ISA.24.5	under its inhabitants;
ISA.24.5	for they have transgressed the laws,
ISA.24.5	violated the statutes,
ISA.24.5	broken the everlasting covenant.
ISA.24.6	 Therefore a curse devours the earth,
ISA.24.6	and its inhabitants suffer for their guilt;
ISA.24.6	therefore the inhabitants of the earth are scorched,
ISA.24.6	and few men are left.
ISA.24.7	 The wine mourns,
ISA.24.7	the vine languishes,
ISA.24.7	all the merry-hearted sigh.
ISA.24.8	 The mirth of the tambourines is stilled,
ISA.24.8	the noise of the jubilant has ceased,
ISA.24.8	the mirth of the lyre is stilled.
ISA.24.9	 No more do they drink wine with singing;
ISA.24.9	strong drink is bitter to those who drink it.
ISA.24.10	 The wasted city is broken down;
ISA.24.10	every house is shut up so that none can enter.
ISA.24.11	 There is an outcry in the streets for lack of wine;
ISA.24.11	all joy has grown dark;
ISA.24.11	the gladness of the earth is banished.
ISA.24.12	 Desolation is left in the city;
ISA.24.12	the gates are battered into ruins.
ISA.24.13	 For thus it shall be in the midst of the earth
ISA.24.13	among the nations,
ISA.24.13	as when an olive tree is beaten,
ISA.24.13	as at the gleaning when the grape harvest is done.
ISA.24.14	 They lift up their voices, they sing for joy;
ISA.24.14	over the majesty of the 
ISA.24.15	 Therefore in the east give glory to the 
ISA.24.15	in the coastlands of the sea, give glory to the name of the 
ISA.24.16	 From the ends of the earth we hear songs of praise,
ISA.24.16	of glory to the Righteous One.
ISA.24.16	But I say, "I waste away,
ISA.24.16	I waste away. Woe is me!
ISA.24.16	For the traitors have betrayed,
ISA.24.16	with betrayal the traitors have betrayed."
ISA.24.17	 Terror and the pit and the snare
ISA.24.17	are upon you, O inhabitant of the earth!
ISA.24.18	 He who flees at the sound of the terror
ISA.24.18	shall fall into the pit,
ISA.24.18	and he who climbs out of the pit
ISA.24.18	shall be caught in the snare.
ISA.24.18	For the windows of heaven are opened,
ISA.24.18	and the foundations of the earth tremble.
ISA.24.19	 The earth is utterly broken,
ISA.24.19	the earth is split apart,
ISA.24.19	the earth is violently shaken.
ISA.24.20	 The earth staggers like a drunken man;
ISA.24.20	it sways like a hut;
ISA.24.20	its transgression lies heavy upon it,
ISA.24.20	and it falls, and will not rise again.
ISA.24.21	 On that day the 
ISA.24.21	the host of heaven, in heaven,
ISA.24.21	and the kings of the earth, on the earth.
ISA.24.22	 They will be gathered together
ISA.24.22	as prisoners in a pit;
ISA.24.22	they will be shut up in a prison,
ISA.24.22	and after many days they will be punished.
ISA.24.23	 Then the moon will be confounded
ISA.24.23	and the sun ashamed,
ISA.24.23	for the 
ISA.24.23	on Mount Zion and in Jerusalem,
ISA.24.23	and his glory will be before his elders.
ISA.25.1	 O 
ISA.25.1	I will exalt you; I will praise your name,
ISA.25.1	for you have done wonderful things,
ISA.25.1	plans formed of old, faithful and sure.
ISA.25.2	 For you have made the city a heap,
ISA.25.2	the fortified city a ruin;
ISA.25.2	the foreigners' palace is a city no more;
ISA.25.2	it will never be rebuilt.
ISA.25.3	 Therefore strong peoples will glorify you;
ISA.25.3	cities of ruthless nations will fear you.
ISA.25.4	 For you have been a stronghold to the poor,
ISA.25.4	a stronghold to the needy in his distress,
ISA.25.4	a shelter from the storm and a shade from the heat;
ISA.25.4	for the breath of the ruthless is like a storm against a wall,
ISA.25.5	 like heat in a dry place.
ISA.25.5	You subdue the noise of the foreigners;
ISA.25.5	as heat by the shade of a cloud,
ISA.25.5	so the song of the ruthless is put down.
ISA.25.6	 On this mountain the 
ISA.25.6	a feast of rich food, a feast of well-aged wine,
ISA.25.6	of rich food full of marrow, of aged wine well refined.
ISA.25.7	 And he will swallow up on this mountain
ISA.25.7	the covering that is cast over all peoples,
ISA.25.7	the veil that is spread over all nations.
ISA.25.8	 He will swallow up death forever;
ISA.25.8	and the Lord 
ISA.25.8	and the reproach of his people he will take away from all the earth,
ISA.25.8	for the 
ISA.25.9	 It will be said on that day,
ISA.25.9	"Behold, this is our God; we have waited for him, that he might save us.
ISA.25.9	This is the 
ISA.25.9	let us be glad and rejoice in his salvation."
ISA.25.10	 For the hand of the 
ISA.25.10	and Moab shall be trampled down in his place,
ISA.25.10	as straw is trampled down in a dunghill.
ISA.25.11	 And he will spread out his hands in the midst of it
ISA.25.11	as a swimmer spreads his hands out to swim,
ISA.25.11	but the 
ISA.25.12	 And the high fortifications of his walls he will bring down,
ISA.25.12	lay low, and cast to the ground, to the dust.
ISA.26.1	In that day this song will be sung in the land of Judah: 
ISA.26.1	"We have a strong city;
ISA.26.1	he sets up salvation
ISA.26.1	as walls and bulwarks.
ISA.26.2	 Open the gates,
ISA.26.2	that the righteous nation that keeps faith may enter in.
ISA.26.3	 You keep him in perfect peace
ISA.26.3	whose mind is stayed on you,
ISA.26.3	because he trusts in you.
ISA.26.4	 Trust in the 
ISA.26.4	for the 
ISA.26.5	 For he has humbled
ISA.26.5	the inhabitants of the height,
ISA.26.5	the lofty city.
ISA.26.5	He lays it low, lays it low to the ground,
ISA.26.5	casts it to the dust.
ISA.26.6	 The foot tramples it,
ISA.26.6	the feet of the poor,
ISA.26.6	the steps of the needy."
ISA.26.7	 The path of the righteous is level;
ISA.26.7	you make level the way of the righteous.
ISA.26.8	 In the path of your judgments,
ISA.26.8	O 
ISA.26.8	your name and remembrance
ISA.26.8	are the desire of our soul.
ISA.26.9	 My soul yearns for you in the night;
ISA.26.9	my spirit within me earnestly seeks you.
ISA.26.9	For when your judgments are in the earth,
ISA.26.9	the inhabitants of the world learn righteousness.
ISA.26.10	 If favor is shown to the wicked,
ISA.26.10	he does not learn righteousness;
ISA.26.10	in the land of uprightness he deals corruptly
ISA.26.10	and does not see the majesty of the 
ISA.26.11	 O 
ISA.26.11	but they do not see it.
ISA.26.11	Let them see your zeal for your people, and be ashamed.
ISA.26.11	Let the fire for your adversaries consume them.
ISA.26.12	 O 
ISA.26.12	for you have indeed done for us all our works.
ISA.26.13	 O 
ISA.26.13	other lords besides you have ruled over us,
ISA.26.13	but your name alone we bring to remembrance.
ISA.26.14	 They are dead, they will not live;
ISA.26.14	they are shades, they will not arise;
ISA.26.14	to that end you have visited them with destruction
ISA.26.14	and wiped out all remembrance of them.
ISA.26.15	 But you have increased the nation, O 
ISA.26.15	you have increased the nation; you are glorified;
ISA.26.15	you have enlarged all the borders of the land.
ISA.26.16	 O 
ISA.26.16	they poured out a whispered prayer
ISA.26.16	when your discipline was upon them.
ISA.26.17	 Like a pregnant woman
ISA.26.17	who writhes and cries out in her pangs
ISA.26.17	when she is near to giving birth,
ISA.26.17	so were we because of you, O 
ISA.26.18	 we were pregnant, we writhed,
ISA.26.18	but we have given birth to wind.
ISA.26.18	We have accomplished no deliverance in the earth,
ISA.26.18	and the inhabitants of the world have not fallen.
ISA.26.19	 Your dead shall live; their bodies shall rise.
ISA.26.19	You who dwell in the dust, awake and sing for joy!
ISA.26.19	For your dew is a dew of light,
ISA.26.19	and the earth will give birth to the dead.
ISA.26.20	 Come, my people, enter your chambers,
ISA.26.20	and shut your doors behind you;
ISA.26.20	hide yourselves for a little while
ISA.26.20	until the fury has passed by.
ISA.26.21	 For behold, the 
ISA.26.21	to punish the inhabitants of the earth for their iniquity,
ISA.26.21	and the earth will disclose the blood shed on it,
ISA.26.21	and will no more cover its slain.
ISA.27.1	In that day the 
ISA.27.2	 In that day,
ISA.27.2	"A pleasant vineyard, sing of it!
ISA.27.3	 I, the 
ISA.27.3	every moment I water it.
ISA.27.3	Lest anyone punish it,
ISA.27.3	I keep it night and day;
ISA.27.4	 I have no wrath.
ISA.27.4	Would that I had thorns and briers to battle!
ISA.27.4	I would march against them,
ISA.27.4	I would burn them up together.
ISA.27.5	 Or let them lay hold of my protection,
ISA.27.5	let them make peace with me,
ISA.27.5	let them make peace with me."
ISA.27.6	 In days to come Jacob shall take root,
ISA.27.6	Israel shall blossom and put forth shoots
ISA.27.6	and fill the whole world with fruit.
ISA.27.7	 Has he struck them as he struck those who struck them?
ISA.27.7	Or have they been slain as their slayers were slain?
ISA.27.8	 Measure by measure, by exile you contended with them;
ISA.27.8	he removed them with his fierce breath in the day of the east wind.
ISA.27.9	 Therefore by this the guilt of Jacob will be atoned for,
ISA.27.9	and this will be the full fruit of the removal of his sin:
ISA.27.9	when he makes all the stones of the altars
ISA.27.9	like chalkstones crushed to pieces,
ISA.27.9	no Asherim or incense altars will remain standing.
ISA.27.10	 For the fortified city is solitary,
ISA.27.10	a habitation deserted and forsaken, like the wilderness;
ISA.27.10	there the calf grazes;
ISA.27.10	there it lies down and strips its branches.
ISA.27.11	 When its boughs are dry, they are broken;
ISA.27.11	women come and make a fire of them.
ISA.27.11	For this is a people without discernment;
ISA.27.11	therefore he who made them will not have compassion on them;
ISA.27.11	he who formed them will show them no favor.
ISA.27.12	In that day from the river Euphrates to the Brook of Egypt the 
ISA.27.13	And in that day a great trumpet will be blown, and those who were lost in the land of Assyria and those who were driven out to the land of Egypt will come and worship the 
ISA.28.1	 Ah, the proud crown of the drunkards of Ephraim,
ISA.28.1	and the fading flower of its glorious beauty,
ISA.28.1	which is on the head of the rich valley of those overcome with wine!
ISA.28.2	 Behold, the Lord has one who is mighty and strong;
ISA.28.2	like a storm of hail, a destroying tempest,
ISA.28.2	like a storm of mighty, overflowing waters,
ISA.28.2	he casts down to the earth with his hand.
ISA.28.3	 The proud crown of the drunkards of Ephraim
ISA.28.3	will be trodden underfoot;
ISA.28.4	 and the fading flower of its glorious beauty,
ISA.28.4	which is on the head of the rich valley,
ISA.28.4	will be like a first-ripe fig before the summer:
ISA.28.4	when someone sees it, he swallows it
ISA.28.4	as soon as it is in his hand.
ISA.28.5	 In that day the 
ISA.28.5	and a diadem of beauty, to the remnant of his people,
ISA.28.6	 and a spirit of justice to him who sits in judgment,
ISA.28.6	and strength to those who turn back the battle at the gate.
ISA.28.7	 These also reel with wine
ISA.28.7	and stagger with strong drink;
ISA.28.7	the priest and the prophet reel with strong drink,
ISA.28.7	they are swallowed by wine,
ISA.28.7	they stagger with strong drink,
ISA.28.7	they reel in vision,
ISA.28.7	they stumble in giving judgment.
ISA.28.8	 For all tables are full of filthy vomit,
ISA.28.8	with no space left.
ISA.28.9	 "To whom will he teach knowledge,
ISA.28.9	and to whom will he explain the message?
ISA.28.9	Those who are weaned from the milk,
ISA.28.9	those taken from the breast?
ISA.28.10	 For it is precept upon precept, precept upon precept,
ISA.28.10	line upon line, line upon line,
ISA.28.10	here a little, there a little."
ISA.28.11	 For by people of strange lips
ISA.28.11	and with a foreign tongue
ISA.28.11	the 
ISA.28.12	 to whom he has said,
ISA.28.12	"This is rest;
ISA.28.12	give rest to the weary;
ISA.28.12	and this is repose";
ISA.28.12	yet they would not hear.
ISA.28.13	 And the word of the 
ISA.28.13	precept upon precept, precept upon precept,
ISA.28.13	line upon line, line upon line,
ISA.28.13	here a little, there a little,
ISA.28.13	that they may go, and fall backward,
ISA.28.13	and be broken, and snared, and taken.
ISA.28.14	 Therefore hear the word of the 
ISA.28.14	who rule this people in Jerusalem!
ISA.28.15	 Because you have said, "We have made a covenant with death,
ISA.28.15	and with Sheol we have an agreement,
ISA.28.15	when the overwhelming whip passes through
ISA.28.15	it will not come to us,
ISA.28.15	for we have made lies our refuge,
ISA.28.15	and in falsehood we have taken shelter";
ISA.28.16	 therefore thus says the Lord 
ISA.28.16	"Behold, I am the one who has laid as a foundation in Zion,
ISA.28.16	a stone, a tested stone,
ISA.28.16	a precious cornerstone, of a sure foundation:
ISA.28.16	'Whoever believes will not be in haste.'
ISA.28.17	 And I will make justice the line,
ISA.28.17	and righteousness the plumb line;
ISA.28.17	and hail will sweep away the refuge of lies,
ISA.28.17	and waters will overwhelm the shelter."
ISA.28.18	 Then your covenant with death will be annulled,
ISA.28.18	and your agreement with Sheol will not stand;
ISA.28.18	when the overwhelming scourge passes through,
ISA.28.18	you will be beaten down by it.
ISA.28.19	 As often as it passes through it will take you;
ISA.28.19	for morning by morning it will pass through,
ISA.28.19	by day and by night;
ISA.28.19	and it will be sheer terror to understand the message.
ISA.28.20	 For the bed is too short to stretch oneself on,
ISA.28.20	and the covering too narrow to wrap oneself in.
ISA.28.21	 For the 
ISA.28.21	as in the Valley of Gibeon he will be roused;
ISA.28.21	to do his deed—strange is his deed!
ISA.28.21	and to work his work—alien is his work!
ISA.28.22	 Now therefore do not scoff,
ISA.28.22	lest your bonds be made strong;
