GEN.1.1	In the beginning God created the heaven and the earth. 
DEU.32.26	I said, I would scatter them afar, I would make the remembrance of them to cease from among men: 
DEU.32.27	Were it not that I feared the provocation of the enemy, Lest their adversaries should misdeem, Lest they should say, Our hand is exalted, And the 
DEU.32.28	For they are a nation void of counsel, And there is no understanding in them. 
DEU.32.29	Oh that they were wise, that they understood this, That they would consider their latter end! 
DEU.32.30	How should one chase a thousand, And two put ten thousand to flight, Except their Rock had sold them, And the 
DEU.32.31	For their rock is not as our Rock, Even our enemies themselves being judges. 
DEU.32.32	For their vine is of the vine of Sodom, And of the fields of Gomorrah: Their grapes are grapes of gall, Their clusters are bitter: 
DEU.32.33	Their wine is the poison of dragons, And the cruel venom of asps. 
DEU.32.34	Is not this laid up in store with me, Sealed up among my treasures? 
DEU.32.35	Vengeance is mine, and recompence, At the time when their foot shall slide: For the day of their calamity is at hand, And the things that are to come upon them shall make haste. 
DEU.32.36	For the 
DEU.32.37	And he shall say, Where are their gods, The rock in which they trusted; 
DEU.32.38	Which did eat the fat of their sacrifices, 
DEU.32.39	See now that I, even I, am he, And there is no god with me: I kill, and I make alive; I have wounded, and I heal: And there is none that can deliver out of my hand. 
DEU.32.40	For I lift up my hand to heaven, And say, As I live for ever, 
DEU.32.41	If I whet my glittering sword, And mine hand take hold on judgement; I will render vengeance to mine adversaries, And will recompense them that hate me. 
DEU.32.42	I will make mine arrows drunk with blood, And my sword shall devour flesh; With the blood of the slain and the captives, From the head of the leaders of the enemy. 
DEU.32.43	Rejoice, O ye nations, 
DEU.32.44	And Moses came and spake all the words of this song in the ears of the people, he, and Hoshea the son of Nun. 
DEU.32.45	And Moses made an end of speaking all these words to all Israel: 
DEU.32.46	And he said unto them, Set your heart unto all the words which I testify unto you this day; which ye shall command your children, to observe to do all the words of this law. 
DEU.32.47	For it is no vain thing for you; because it is your life, and through this thing ye shall prolong your days upon the land, whither ye go over Jordan to possess it. 
DEU.32.48	And the 
DEU.32.49	Get thee up into this mountain of Abarim, unto mount Nebo, which is in the land of Moab, that is over against Jericho; and behold the land of Canaan, which I give unto the children of Israel for a possession: 
DEU.32.50	and die in the mount whither thou goest up, and be gathered unto thy people; as Aaron thy brother died in mount Hor, and was gathered unto his people: 
DEU.32.51	because ye trespassed against me in the midst of the children of Israel at the waters of Meribah of Kadesh, in the wilderness of Zin; because ye sanctified me not in the midst of the children of Israel. 
DEU.32.52	For thou shalt see the land before thee; but thou shalt not go thither into the land which I give the children of Israel.
DEU.33.1	And this is the blessing, wherewith Moses the man of God blessed the children of Israel before his death. 
DEU.33.2	And he said, The 
DEU.33.3	Yea, he loveth the peoples; All his saints are in thy hand: And they sat down at thy feet; 
DEU.33.4	Moses commanded us a law, An inheritance for the assembly of Jacob. 
DEU.33.5	And he was king in Jeshurun, When the heads of the people were gathered, All the tribes of Israel together.
DEU.33.6	Let Reuben live, and not die; Yet let his men be few. 
DEU.33.7	And this is 
DEU.33.8	And of Levi he said, Thy Thummim and thy Urim are with thy godly one, Whom thou didst prove at Massah, With whom thou didst strive at the waters of Meribah; 
DEU.33.9	Who said of his father, and of his mother, I have not seen him; Neither did he acknowledge his brethren, Nor knew he his own children: For they have observed thy word, And keep thy covenant. 
DEU.33.10	They shall teach Jacob thy judgements, And Israel thy law: They shall put incense before thee, And whole burnt offering upon thine altar. 
DEU.33.11	Bless, 
DEU.33.12	Of Benjamin he said, The beloved of the 
DEU.33.13	And of Joseph he said, Blessed of the 
DEU.33.14	And for the precious things of the fruits of the sun, And for the precious things of the growth of the moons, 
DEU.33.15	And for the chief things of the ancient mountains, And for the precious things of the everlasting hills, 
DEU.33.16	And for the precious things of the earth and the fulness thereof, And the good will of him that dwelt in the bush: Let 
DEU.33.17	The firstling of his bullock, majesty is his; And his horns are the horns of the wild-ox: With them he shall push the peoples all of them, 
DEU.33.18	And of Zebulun he said, Rejoice, Zebulun, in thy going out; And, Issachar, in thy tents. 
DEU.33.19	They shall call the peoples unto the mountain; There shall they offer sacrifices of righteousness: For they shall suck the abundance of the seas, And the hidden treasures of the sand. 
DEU.33.20	And of Gad he said, Blessed be he that enlargeth Gad: He dwelleth as a lioness, And teareth the arm, yea, the crown of the head. 
DEU.33.21	And he provided the first part for himself, For there was the lawgiver's portion reserved; And he came 
DEU.33.22	And of Dan he said, Dan is a lion's whelp, That leapeth forth from Bashan. 
DEU.33.23	And of Naphtali he said, O Naphtali, satisfied with favour, And full with the blessing of the 
DEU.33.24	And of Asher he said, Blessed be Asher with children; Let him be acceptable unto his brethren, And let him dip his foot in oil. 
DEU.33.25	Thy bars shall be iron and brass; And as thy days, so shall thy strength be.
DEU.33.26	There is none like unto God, O Jeshurun, Who rideth upon the heaven for thy help, And in his excellency on the skies. 
DEU.33.27	The eternal God is 
DEU.33.28	And Israel dwelleth in safety, The fountain of Jacob alone, In a land of corn and wine; Yea, his heavens drop down dew. 
DEU.33.29	Happy art thou, O Israel: Who is like unto thee, a people saved by the 
DEU.34.1	And Moses went up from the plains of Moab unto mount Nebo, to the top of Pisgah, that is over against Jericho. And the 
DEU.34.2	and all Naphtali, and the land of Ephraim and Manasseh, and all the land of Judah, unto the hinder sea; 
DEU.34.3	and the South, and the Plain of the valley of Jericho the city of palm trees, unto Zoar. 
DEU.34.4	And the 
DEU.34.5	So Moses the servant of the 
DEU.34.6	And he buried him in the valley in the land of Moab over against Beth-peor: but no man knoweth of his sepulchre unto this day. 
DEU.34.7	And Moses was an hundred and twenty years old when he died: his eye was not dim, nor his natural force abated. 
DEU.34.8	And the children of Israel wept for Moses in the plains of Moab thirty days: so the days of weeping in the mourning for Moses were ended.
DEU.34.9	And Joshua the son of Nun was full of the spirit of wisdom; for Moses had laid his hands upon him: and the children of Israel hearkened unto him, and did as the 
DEU.34.10	And there hath not arisen a prophet since in Israel like unto Moses, whom the 
DEU.34.11	in all the signs and the wonders, which the 
DEU.34.12	and in all the mighty hand, and in all the great terror, which Moses wrought in the sight of all Israel.
JOS.1.1	Now it came to pass after the death of Moses the servant of the 
JOS.1.2	Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, even to the children of Israel. 
JOS.1.3	Every place that the sole of your foot shall tread upon, to you have I given it, as I spake unto Moses. 
JOS.1.4	From the wilderness, and this Lebanon, even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your border. 
JOS.1.5	There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee nor forsake thee. 
JOS.1.6	Be strong and of a good courage: for thou shalt cause this people to inherit the land which I sware unto their fathers to give them. 
JOS.1.7	Only be strong and very courageous, to observe to do according to all the law, which Moses my servant commanded thee: turn not from it to the right hand or to the left, that thou mayest have good success whithersoever thou goest. 
JOS.1.8	This book of the law shall not depart out of thy mouth, but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success. 
JOS.1.9	Have not I commanded thee? Be strong and of a good courage; be not affrighted, neither be thou dismayed: for the 
JOS.1.10	Then Joshua commanded the officers of the people, saying, 
JOS.1.11	Pass through the midst of the camp, and command the people, saying, Prepare you victuals; for within three days ye are to pass over this Jordan, to go in to possess the land, which the 
JOS.1.12	And to the Reubenites, and to the Gadites, and to the half tribe of Manasseh, spake Joshua, saying, 
JOS.1.13	Remember the word which Moses the servant of the 
JOS.1.14	Your wives, your little ones, and your cattle, shall abide in the land which Moses gave you beyond Jordan; but ye shall pass over before your brethren armed, all the mighty men of valour, and shall help them; 
JOS.1.15	until the 
JOS.1.16	And they answered Joshua, saying, All that thou hast commanded us we will do, and whithersoever thou sendest us we will go. 
JOS.1.17	According as we hearkened unto Moses in all things, so will we hearken unto thee: only the 
JOS.1.18	Whosoever he be that shall rebel against thy commandment, and shall not hearken unto thy words in all that thou commandest him, he shall be put to death: only be strong and of a good courage.
JOS.2.1	And Joshua the son of Nun sent out of Shittim two men as spies secretly, saying, Go view the land, and Jericho. And they went, and came into the house of an harlot whose name was Rahab, and lay there. 
JOS.2.2	And it was told the king of Jericho, saying, Behold, there came men in hither to-night of the children of Israel to search out the land. 
JOS.2.3	And the king of Jericho sent unto Rahab, saying, Bring forth the men that are come to thee, which are entered into thine house: for they be come to search out all the land. 
JOS.2.4	And the woman took the two men, and hid them; and she said, Yea, the men came unto me, but I wist not whence they were: 
JOS.2.5	and it came to pass about the time of the shutting of the gate, when it was dark, that the men went out: whither the men went I wot not: pursue after them quickly; for ye shall overtake them. 
JOS.2.6	But she had brought them up to the roof, and hid them with the stalks of flax, which she had laid in order upon the roof. 
JOS.2.7	And the men pursued after them the way to Jordan unto the fords: and as soon as they which pursued after them were gone out, they shut the gate.
JOS.2.8	And before they were laid down, she came up unto them upon the roof; 
JOS.2.9	and she said unto the men, I know that the 
JOS.2.10	For we have heard how the 
JOS.2.11	And as soon as we had heard it, our hearts did melt, neither did there remain any more spirit in any man, because of you: for the 
JOS.2.12	Now therefore, I pray you, swear unto me by the 
JOS.2.13	and that ye will save alive my father, and my mother, and my brethren, and my sisters, and all that they have, and will deliver our lives from death. 
JOS.2.14	And the men said unto her, Our life for yours, if ye utter not this our business; and it shall be, when the 
JOS.2.15	Then she let them down by a cord through the window: for her house was upon the town wall, and she dwelt upon the wall. 
JOS.2.16	And she said unto them, Get you to the mountain, lest the pursuers light upon you; and hide yourselves there three days, until the pursuers be returned: and afterward may ye go your way. 
JOS.2.17	And the men said unto her, We will be guiltless of this thine oath which thou hast made us to swear. 
JOS.2.18	Behold, when we come into the land, thou shalt bind this line of scarlet thread in the window which thou didst let us down by: and thou shalt gather unto thee into the house thy father, and thy mother, and thy brethren, and all thy father's household. 
JOS.2.19	And it shall be, that whosoever shall go out of the doors of thy house into the street, his blood shall be upon his head, and we will be guiltless: and whosoever shall be with thee in the house, his blood shall be on our head, if any hand be upon him. 
JOS.2.20	But if thou utter this our business, then we will be guiltless of thine oath which thou hast made us to swear. 
JOS.2.21	And she said, According unto your words, so be it. And she sent them away, and they departed: and she bound the scarlet line in the window.
JOS.2.22	And they went, and came unto the mountain, and abode there three days, until the pursuers were returned: and the pursuers sought them throughout all the way, but found them not. 
JOS.2.23	Then the two men returned, and descended from the mountain, and passed over, and came to Joshua the son of Nun; and they told him all that had befallen them. 
JOS.2.24	And they said unto Joshua, Truly the 
JOS.3.1	And Joshua rose up early in the morning, and they removed from Shittim, and came to Jordan, he and all the children of Israel; and they lodged there before they passed over. 
JOS.3.2	And it came to pass after three days, that the officers went through the midst of the camp; 
JOS.3.3	and they commanded the people, saying, When ye see the ark of the covenant of the 
JOS.3.4	Yet there shall be a space between you and it, about two thousand cubits by measure: come not near unto it, that ye may know the way by which ye must go; for ye have not passed this way heretofore. 
JOS.3.5	And Joshua said unto the people, Sanctify yourselves: for tomorrow the 
JOS.3.6	And Joshua spake unto the priests, saying, Take up the ark of the covenant, and pass over before the people. And they took up the ark of the covenant, and went before the people.
JOS.3.7	And the 
JOS.3.8	And thou shalt command the priests that bear the ark of the covenant, saying, When ye are come to the brink of the waters of Jordan, ye shall stand still in Jordan. 
JOS.3.9	And Joshua said unto the children of Israel, Come hither, and hear the words of the 
JOS.3.10	And Joshua said, Hereby ye shall know that the living God is among you, and that he will without fail drive out from before you the Canaanite, and the Hittite, and the Hivite, and the Perizzite, and the Girgashite, and the Amorite, and the Jebusite. 
JOS.3.11	Behold, the ark of the covenant of the Lord of all the earth passeth over before you into Jordan. 
JOS.3.12	Now therefore take you twelve men out of the tribes of Israel, for every tribe a man. 
JOS.3.13	And it shall come to pass, when the soles of the feet of the priests that bear the ark of the 
JOS.3.14	And it came to pass, when the people removed from their tents, to pass over Jordan, the priests that bare the ark of the covenant being before the people; 
JOS.3.15	and when they that bare the ark were come unto Jordan, and the feet of the priests that bare the ark were dipped in the brink of the water, (for Jordan overfloweth all its banks all the time of harvest,) 
JOS.3.16	that the waters which came down from above stood, and rose up in one heap, a great way off, at Adam, the city that is beside Zarethan: and those that went down toward the sea of the Arabah, even the Salt Sea, were wholly cut off: and the people passed over right against Jericho. 
JOS.3.17	And the priests that bare the ark of the covenant of the 
JOS.4.1	And it came to pass, when all the nation were clean passed over Jordan, that the 
JOS.4.2	Take you twelve men out of the people, out of every tribe a man, 
JOS.4.3	and command ye them, saying, Take you hence out of the midst of Jordan, out of the place where the priests' feet stood firm, twelve stones, and carry them over with you, and lay them down in the lodging place, where ye shall lodge this night. 
JOS.4.4	Then Joshua called the twelve men, whom he had prepared of the children of Israel, out of every tribe a man: 
JOS.4.5	and Joshua said unto them, Pass over before the ark of the 
JOS.4.6	that this may be a sign among you, that when your children ask in time to come, saying, What mean ye by these stones? 
JOS.4.7	then ye shall say unto them, Because the waters of Jordan were cut off before the ark of the covenant of the 
JOS.4.8	And the children of Israel did so as Joshua commanded, and took up twelve stones out of the midst of Jordan, as the 
JOS.4.9	And Joshua set up twelve stones in the midst of Jordan, in the place where the feet of the priests which bare the ark of the covenant stood: and they are there, unto this day.
JOS.4.10	For the priests which bare the ark stood in the midst of Jordan, until every thing was finished that the 
JOS.4.11	And it came to pass, when all the people were clean passed over, that the ark of the 
JOS.4.12	And the children of Reuben, and the children of Gad, and the half tribe of Manasseh, passed over armed before the children of Israel, as Moses spake unto them: 
JOS.4.13	about forty thousand ready armed for war passed over before the 
JOS.4.14	On that day the 
JOS.4.15	And the 
JOS.4.16	Command the priests that bear the ark of the testimony, that they come up out of Jordan. 
JOS.4.17	Joshua therefore commanded the priests, saying, Come ye up out of Jordan. 
JOS.4.18	And it came to pass, when the priests that bare the ark of the covenant of the 
JOS.4.19	And the people came up out of Jordan on the tenth day of the first month, and encamped in Gilgal, on the east border of Jericho.
JOS.4.20	And those twelve stones, which they took out of Jordan, did Joshua set up in Gilgal. 
JOS.4.21	And he spake unto the children of Israel, saying, When your children shall ask their fathers in time to come, saying, What mean these stones? 
JOS.4.22	Then ye shall let your children know, saying, Israel came over this Jordan on dry land. 
JOS.4.23	For the 
JOS.4.24	that all the peoples of the earth may know the hand of the 
JOS.5.1	And it came to pass, when all the kings of the Amorites, which were beyond Jordan westward, and all the kings of the Canaanites, which were by the sea, heard how that the 
JOS.5.2	At that time the 
JOS.5.3	And Joshua made him knives of flint, and circumcised the children of Israel at the hill of the foreskins. 
JOS.5.4	And this is the cause why Joshua did circumcise: all the people that came forth out of Egypt, that were males, even all the men of war, died in the wilderness by the way, after they came forth out of Egypt. 
JOS.5.5	For all the people that came out were circumcised: but all the people that were born in the wilderness by the way as they came forth out of Egypt, they had not circumcised. 
JOS.5.6	For the children of Israel walked forty years in the wilderness, till all the nation, even the men of war which came forth out of Egypt, were consumed, because they hearkened not unto the voice of the 
JOS.5.7	And their children, whom he raised up in their stead, them did Joshua circumcise: for they were uncircumcised, because they had not circumcised them by the way. 
JOS.5.8	And it came to pass, when they had done circumcising all the nation, that they abode in their places in the camp, till they were whole. 
JOS.5.9	And the 
JOS.5.10	And the children of Israel encamped in Gilgal; and they kept the passover on the fourteenth day of the month at even in the plains of Jericho. 
JOS.5.11	And they did eat of the old corn of the land on the morrow after the passover, unleavened cakes and parched corn, in the selfsame day. 
JOS.5.12	And the manna ceased on the morrow, after they had eaten of the old corn of the land; neither had the children of Israel manna any more; but they did eat of the fruit of the land of Canaan that year.
JOS.5.13	And it came to pass, when Joshua was by Jericho, that he lifted up his eyes and looked, and, behold, there stood a man over against him with his sword drawn in his hand: and Joshua went unto him, and said unto him, Art thou for us, or for our adversaries? 
JOS.5.14	And he said, Nay; but 
JOS.5.15	And the captain of the 
JOS.6.1	(Now Jericho was straitly shut up because of the children of Israel: none went out, and none came in.) 
JOS.6.2	And the 
JOS.6.3	And ye shall compass the city, all the men of war, going about the city once. Thus shalt thou do six days. 
JOS.6.4	And seven priests shall bear seven trumpets of rams' horns before the ark: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets. 
JOS.6.5	And it shall be, that when they make a long blast with the ram's horn, and when ye hear the sound of the trumpet, all the people shall shout with a great shout; and the wall of the city shall fall down flat, and the people shall go up every man straight before him.
JOS.6.6	And Joshua the son of Nun called the priests, and said unto them, Take up the ark of the covenant, and let seven priests bear seven trumpets of rams' horns before the ark of the 
JOS.6.7	And they said unto the people, Pass on, and compass the city, and let the armed men pass on before the ark of the 
JOS.6.8	And it was so, that when Joshua had spoken unto the people, the seven priests bearing the seven trumpets of rams' horns before the 
JOS.6.9	And the armed men went before the priests that blew the trumpets, and the rearward went after the ark, 
JOS.6.10	And Joshua commanded the people, saying, Ye shall not shout, nor let your voice be heard, neither shall any word proceed out of your mouth, until the day I bid you shout; then shall ye shout. 
JOS.6.11	So he caused the ark of the 
JOS.6.12	And Joshua rose early in the morning, and the priests took up the ark of the 
JOS.6.13	And the seven priests bearing the seven trumpets of rams' horns before the ark of the 
JOS.6.14	And the second day they compassed the city once, and returned into the camp: so they did six days. 
JOS.6.15	And it came to pass on the seventh day, that they rose early at the dawning of the day, and compassed the city after the same manner seven times: only on that day they compassed the city seven times. 
JOS.6.16	And it came to pass at the seventh time, when the priests blew with the trumpets, Joshua said unto the people, Shout; for the 
JOS.6.17	And the city shall be devoted, even it and all that is therein, to the 
JOS.6.18	And ye, in any wise keep yourselves from the devoted thing, lest when ye have devoted it, ye take of the devoted thing; so should ye make the camp of Israel accursed, and trouble it. 
JOS.6.19	But all the silver, and gold, and vessels of brass and iron, are holy unto the 
JOS.6.20	So the people shouted, and 
JOS.6.21	And they utterly destroyed all that was in the city, both man and woman, both young and old, and ox, and sheep, and ass, with the edge of the sword. 
JOS.6.22	And Joshua said unto the two men that had spied out the land, Go into the harlot's house, and bring out thence the woman, and all that she hath, as ye sware unto her. 
JOS.6.23	And the young men the spies went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that she had, all her kindred also they brought out; and they set them without the camp of Israel. 
JOS.6.24	And they burnt the city with fire, and all that was therein: only the silver, and the gold, and the vessels of brass and of iron, they put into the treasury of the house of the 
JOS.6.25	But Rahab the harlot, and her father's household, and all that she had, did Joshua save alive; and she dwelt in the midst of Israel, unto this day; because she hid the messengers, which Joshua sent to spy out Jericho. 
JOS.6.26	And Joshua charged them with an oath at that time, saying, Cursed be the man before the 
JOS.6.27	So the 
JOS.7.1	But the children of Israel committed a trespass in the devoted thing: for Achan, the son of Carmi, the son of Zabdi, the son of Zerah, of the tribe of Judah, took of the devoted thing: and the anger of the 
JOS.7.2	And Joshua sent men from Jericho to Ai, which is beside Beth-aven, on the east side of Beth-el, and spake unto them, saying, Go up and spy out the land. And the men went up and spied out Ai. 
JOS.7.3	And they returned to Joshua, and said unto him, Let not all the people go up; but let about two or three thousand men go up and smite Ai; make not all the people to toil thither; for they are but few. 
JOS.7.4	So there went up thither of the people about three thousand men: and they fled before the men of Ai. 
JOS.7.5	And the men of Ai smote of them about thirty and six men: and they chased them 
JOS.7.6	And Joshua rent his clothes, and fell to the earth upon his face before the ark of the 
JOS.7.7	And Joshua said, Alas, O Lord 
JOS.7.8	Oh Lord, what shall I say, after that Israel hath turned their backs before their enemies! 
JOS.7.9	For the Canaanites and all the inhabitants of the land shall hear of it, and shall compass us round, and cut off our name from the earth: and what wilt thou do for thy great name?
JOS.7.10	And the 
JOS.7.11	Israel hath sinned; yea, they have even transgressed my covenant which I commanded them: yea, they have even taken of the devoted thing; and have also stolen, and dissembled also, and they have even put it among their own stuff. 
JOS.7.12	Therefore the children of Israel cannot stand before their enemies, they turn their backs before their enemies, because they are become accursed: I will not be with you any more, except ye destroy the devoted thing from among you. 
JOS.7.13	Up, sanctify the people, and say, Sanctify yourselves against tomorrow: for thus saith the 
JOS.7.14	In the morning therefore ye shall be brought near by your tribes: and it shall be, that the tribe which the 
JOS.7.15	And it shall be, that he that is taken with the devoted thing shall be burnt with fire, he and all that he hath: because he hath transgressed the covenant of the 
JOS.7.16	So Joshua rose up early in the morning, and brought Israel near by their tribes; and the tribe of Judah was taken: 
JOS.7.17	and he brought near the family of Judah; and he took the family of the Zerahites: and he brought near the family of the Zerahites man by man; and Zabdi was taken: 
JOS.7.18	and he brought near his household man by man; and Achan, the son of Carmi, the son of Zabdi, the son of Zerah, of the tribe of Judah, was taken. 
JOS.7.19	And Joshua said unto Achan, My son, give, I pray thee, glory to the 
JOS.7.20	And Achan answered Joshua, and said, Of a truth I have sinned against the 
JOS.7.21	when I saw among the spoil a goodly Babylonish mantle, and two hundred shekels of silver, and a wedge of gold of fifty shekels weight, then I coveted them, and took them; and, beheld, they are hid in the earth in the midst of my tent, and the silver under it. 
JOS.7.22	So Joshua sent messengers, and they ran unto the tent; and, behold, it was hid in his tent, and the silver under it. 
JOS.7.23	And they took them from the midst of the tent, and brought them unto Joshua, and unto all the children of Israel; and they laid them down before the 
JOS.7.24	And Joshua, and all Israel with him, took Achan the son of Zerah, and the silver, and the mantle, and the wedge of gold, and his sons, and his daughters, and his oxen, and his asses, and his sheep, and his tent, and all that he had: and they brought them up unto the valley of Achor. 
JOS.7.25	And Joshua said, Why hast thou troubled us? the 
JOS.7.26	And they raised over him a great heap of stones, unto this day; and the 
JOS.8.1	And the 
JOS.8.2	And thou shalt do to Ai and her king as thou didst unto Jericho and her king: only the spoil thereof, and the cattle thereof, shall ye take for a prey unto yourselves: set thee an ambush for the city behind it.
JOS.8.3	So Joshua arose, and all the people of war, to go up to Ai: and Joshua chose out thirty thousand men, the mighty men of valour, and sent them forth by night. 
JOS.8.4	And he commanded them, saying, Behold, ye shall lie in ambush against the city, behind the city: go not very far from the city, but be ye all ready: 
JOS.8.5	and I, and all the people that are with me, will approach unto the city: and it shall come to pass, when they come out against us, as at the first, that we will flee before them; 
JOS.8.6	and they will come out after us, till we have drawn them away from the city; for they will say, They flee before us, as at the first; so we will flee before them: 
JOS.8.7	and ye shall rise up from the ambush, and take possession of the city: for the 
JOS.8.8	And it shall be, when ye have seized upon the city, that ye shall set the city on fire; according to the word of the 
JOS.8.9	And Joshua sent them forth: and they went to the ambushment, and abode between Beth-el and Ai, on the west side of Ai: but Joshua lodged that night among the people. 
JOS.8.10	And Joshua rose up early in the morning, and mustered the people, and went up, he and the elders of Israel, before the people to Ai. 
JOS.8.11	And all the people, 
JOS.8.12	And he took about five thousand men, and set them in ambush between Beth-el and Ai, on the west side of the city. 
JOS.8.13	So they set the people, even all the host that was on the north of the city, and their liers in wait that were on the west of the city; and Joshua went that night into the midst of the vale. 
JOS.8.14	And it came to pass, when the king of Ai saw it, that they hasted and rose up early, and the men of the city went out against Israel to battle, he and all his people, at the time appointed, before the Arabah; but he wist not that there was an ambush against him behind the city. 
JOS.8.15	And Joshua and all Israel made as if they were beaten before them, and fled by the way of the wilderness. 
JOS.8.16	And all the people that were in the city were called together to pursue after them: and they pursued after Joshua, and were drawn away from the city. 
JOS.8.17	And there was not a man left in Ai or Beth-el, that went not out after Israel: and they left the city open, and pursued after Israel. 
JOS.8.18	And the 
JOS.8.19	And the ambush arose quickly out of their place, and they ran as soon as he had stretched out his hand, and entered into the city, and took it; and they hasted and set the city on fire. 
JOS.8.20	And when the men of Ai looked behind them, they saw, and, behold, the smoke of the city ascended up to heaven, and they had no power to flee this way or that way: and the people that fled to the wilderness turned back upon the pursuers. 
JOS.8.21	And when Joshua and all Israel saw that the ambush had taken the city, and that the smoke of the city ascended, then they turned again, and slew the men of Ai. 
JOS.8.22	And the other came forth out of the city against them; so they were in the midst of Israel, some on this side, and some on that side: and they smote them, so that they let none of them remain or escape.
JOS.8.23	And the king of Ai they took alive, and brought him to Joshua. 
JOS.8.24	And it came to pass, when Israel had made an end of slaying all the inhabitants of Ai in the field, in the wilderness wherein they pursued them, and they were all fallen by the edge of the sword, until they were consumed, that all Israel returned unto Ai, and smote it with the edge of the sword. 
JOS.8.25	And all that fell that day, both of men and women, were twelve thousand, even all the men of Ai. 
JOS.8.26	For Joshua drew not back his hand wherewith he stretched out the javelin, until he had utterly destroyed all the inhabitants of Ai. 
JOS.8.27	Only the cattle and the spoil of that city Israel took for a prey unto themselves, according unto the word of the 
JOS.8.28	So Joshua burnt Ai, and made it an heap for ever, even a desolation, unto this day. 
JOS.8.29	And the king of Ai he hanged on a tree until the eventide: and at the going down of the sun Joshua commanded, and they took his carcase down from the tree, and cast it at the entering of the gate of the city, and raised thereon a great heap of stones, unto this day.
JOS.8.30	Then Joshua built an altar unto the 
JOS.8.31	as Moses the servant of the 
JOS.8.32	And he wrote there upon the stones a copy of the law of Moses, which he wrote, in the presence of the children of Israel. 
JOS.8.33	And all Israel, and their elders and officers, and their judges, stood on this side the ark and on that side before the priests the Levites, which bare the ark of the covenant of the 
JOS.8.34	And afterward he read all the words of the law, the blessing and the curse, according to all that is written in the book of the law. 
JOS.8.35	There was not a word of all that Moses commanded, which Joshua read not before all the assembly of Israel, and the women, and the little ones, and the strangers that were conversant among them.
JOS.9.1	And it came to pass when all the kings which were beyond Jordan, in the hill country, and in the lowland, and on all the shore of the great sea in front of Lebanon, the Hittite, and the Amorite, the Canaanite, the Perizzite, the Hivite, and the Jebusite, heard thereof; 
JOS.9.2	that they gathered themselves together, to fight with Joshua and with Israel, with one accord.
JOS.9.3	But when the inhabitants of Gibeon heard what Joshua had done unto Jericho and to Ai, 
JOS.9.4	they also did work wilily, and went and made as if they had been ambassadors, and took old sacks upon their asses, and wineskins, old and rent and bound up; 
JOS.9.5	and old shoes and clouted upon their feet, and old garments upon them; and all the bread of their provision was dry and was become mouldy. 
JOS.9.6	And they went to Joshua unto the camp at Gilgal, and said unto him, and to the men of Israel, We are come from a far country: now therefore make ye a covenant with us. 
JOS.9.7	And the men of Israel said unto the Hivites, Peradventure ye dwell among us; and how shall we make a covenant with you? 
JOS.9.8	And they said unto Joshua, We are thy servants. And Joshua said unto them, Who are ye? and from whence come ye? 
JOS.9.9	And they said unto him, From a very far country thy servants are come because of the name of the 
JOS.9.10	and all that he did to the two kings of the Amorites, that were beyond Jordan, to Sihon king of Heshbon, and to Og king of Bashan, which was at Ashtaroth. 
JOS.9.11	And our elders and all the inhabitants of our country spake to us saying, Take provision in your hand for the journey and go to meet them, and say unto them, We are your servants: and now make ye a covenant with us. 
JOS.9.12	This our bread we took hot for our provision out of our houses on the day we came forth to go unto you; but now, behold, it is dry, and is become mouldy: 
JOS.9.13	and these wineskins, which we filled, were new; and, behold, they be rent: and these our garments and our shoes are become old by reason of the very long journey. 
JOS.9.14	And the men took of their provision, and asked not counsel at the mouth of the 
JOS.9.15	And Joshua made peace with them, and made a covenant with them, to let them live: and the princes of the congregation sware unto them. 
JOS.9.16	And it came to pass at the end of three days after they had made a covenant with them, that they heard that they were their neighbours, and that they dwelt among them. 
JOS.9.17	And the children of Israel journeyed, and came unto their cities on the third day. Now their cities were Gibeon, and Chephirah, and Beeroth, and Kiriath-jearim. 
JOS.9.18	And the children of Israel smote them not, because the princes of the congregation had sworn unto them by the 
JOS.9.19	But all the princes said unto all the congregation, We have sworn unto them by the 
JOS.9.20	This we will do to them, and let them live; lest wrath be upon us, because of the oath which we sware unto them. 
JOS.9.21	And the princes said unto them, Let them live: so they became hewers of wood and drawers of water unto all the congregation; as the princes had spoken unto them.
JOS.9.22	And Joshua called for them, and he spake unto them, saying, Wherefore have ye beguiled us, saying, We are very far from you; when ye dwell among us? 
JOS.9.23	Now therefore ye are cursed, and there shall never fail to be of you bondmen, both hewers of wood and drawers of water for the house of my God. 
JOS.9.24	And they answered Joshua, and said, Because it was certainly told thy servants, how that the 
JOS.9.25	And now, behold, we are in thine hand: as it seemeth good and right unto thee to do unto us, do. 
JOS.9.26	And so did he unto them, and delivered them out of the hand of the children of Israel, that they slew them not. 
JOS.9.27	And Joshua made them that day hewers of wood and drawers of water for the congregation, and for the altar of the 
