MAT.1.1	This book is the record of Jesus the Messiah,
MAT.25.22	The one with two talents also came. ‘Master,’ he said, ‘You gave me two talents. Look, I've made a profit of two talents.’ 
MAT.25.23	His master said to him, ‘You've done well—you are a good, faithful servant. You have proved trustworthy over small things, so now I'm placing you in charge over many things. Be happy because I'm really pleased with you!’
MAT.25.24	Then the man with one talent came. ‘Master,’ he said, ‘I know that you're a hard man. You reap where you didn't sow, and you harvest crops that you didn't plant. 
MAT.25.25	So since I was afraid of you I went and buried your talent in the ground. Look, you can have back what belongs to you.’ 
MAT.25.26	But his master answered him, ‘You wicked and lazy servant! If you think I reap where I don't sow, and harvest crops I didn't plant, 
MAT.25.27	then you should have deposited my silver in the bank so that when I returned I could have had my money with interest. 
MAT.25.28	Take the talent away from him, and give it to the one with ten talents. 
MAT.25.29	For everyone who has will be given even more; and everyone who doesn't have anything, even what they have will be taken away from them. 
MAT.25.30	Now throw this useless servant out into the darkness where there'll be crying and gnashing of teeth.’
MAT.25.31	But when the Son of man comes in his glory, and all the angels with him, then he will sit on his majestic throne. 
MAT.25.32	Everyone will be brought before him. He will separate them from one another, as a shepherd separates the sheep from the goats. 
MAT.25.33	He'll place the sheep on his right hand, and the goats on his left. 
MAT.25.34	Then the king will say to the ones on his right, ‘Come, you who are blessed by my Father, and inherit the kingdom that's been prepared for you from the beginning of the world. 
MAT.25.35	For I was hungry, and you gave me food to eat. I was thirsty, and you gave me a drink. I was a stranger and you invited me in. 
MAT.25.36	I was naked and you clothed me. I was sick and you looked after me. I was in prison and you visited me.’ 
MAT.25.37	Then those who are right will answer, ‘Lord, when did we see you hungry and fed you, or thirsty and gave you a drink? 
MAT.25.38	When did we see you as a stranger and invite you in, or naked and clothe you? 
MAT.25.39	When did we see you sick, or in prison, and visit you?’ 
MAT.25.40	The king will tell them, ‘I tell you the truth: whatever you did for one of these of least importance you did for me.’
MAT.25.41	He'll also say to those on his left, ‘Go away from me, you who are doomed, into the eternal
MAT.25.42	For I was hungry and you didn't give me anything to eat. I was thirsty and you didn't give me a drink. 
MAT.25.43	I was a stranger and you didn't invite me in. I was naked and you didn't clothe me. I was sick and in prison and you didn't visit me.’ 
MAT.25.44	Then they will also answer, ‘Lord, when did we see you hungry, or thirsty, or a stranger, or naked, or sick, or in prison, and didn't look after you?’ 
MAT.25.45	Then he will tell them, ‘I tell you the truth: whatever you didn't do for one of these of least importance you didn't do for me.’ 
MAT.25.46	They will go away into eternal condemnation, but those who are right will enter eternal life.”
MAT.26.1	After Jesus had said all this, he told his disciples, 
MAT.26.2	“You know that it's Passover in two days time, and the Son of man will be handed over to be crucified.”
MAT.26.3	Then the chief priests and the elders of the people gathered in the courtyard of Caiaphas, the high priest. 
MAT.26.4	There they plotted to arrest Jesus on some deceitful pretext
MAT.26.5	But they said, “Let's not do this during the festival so that the people don't riot.”
MAT.26.6	While Jesus was staying at Simon the leper's house in Bethany, 
MAT.26.7	a woman came over to him carrying an alabaster jar of very expensive perfume. She poured it on Jesus' head while he was sitting eating. But when the disciples saw what she did, they were upset.
MAT.26.8	“What a terrible waste!” they objected. 
MAT.26.9	“This perfume could've been sold for a lot of money and given to the poor!”
MAT.26.10	Jesus was aware of what was going on and told them, “Why are you upset with this woman? She's done something wonderful for me! 
MAT.26.11	You'll always have the poor with you, but you won't always have me. 
MAT.26.12	By pouring this perfume on my body she's prepared me for burial. 
MAT.26.13	I tell you the truth: wherever in the world this good news is spread, the story of what this woman has done will also be told in memory of her.”
MAT.26.14	Then Judas Iscariot, one of the twelve disciples, went to the chief priests 
MAT.26.15	and asked them, “How much will you pay me for betraying Jesus to you?” They paid him thirty silver coins. 
MAT.26.16	From then on he looked for an opportunity to betray Jesus.
MAT.26.17	On the first day of the festival of unleavened bread, the disciples came to Jesus and asked him, “Where do you want us to prepare the Passover meal for you to eat?”
MAT.26.18	Jesus told them, “Go into the city and find this particular man, and tell him, ‘The Teacher says, “My time is approaching. I'm coming to celebrate the Passover with my disciples at your house.”’” 
MAT.26.19	The disciples did as Jesus told them, and prepared the Passover meal there.
MAT.26.20	When evening came he sat down to eat with the Twelve. 
MAT.26.21	While they were eating he told them, “I tell you the truth: one of you is going to betray me.”
MAT.26.22	They were extremely upset. One after the other they asked him, “Lord, it's not me, is it?”
MAT.26.23	“The one who's dipped his hand into the dish with me will betray me,” Jesus replied. 
MAT.26.24	“The Son of man will die just as it was prophesied about him, but what a disaster it will be for the man who betrays the Son of man! It would be better for that man if he'd never been born!”
MAT.26.25	Judas, the one who would betray Jesus, asked “It's not me, is it, Rabbi?”
MAT.26.25	“You said it,” Jesus replied.
MAT.26.26	While they were eating, Jesus took some bread and blessed it. Then he broke it and gave pieces to the disciples. “Take and eat this for it is my body,” said Jesus. 
MAT.26.27	Then he picked up the cup, blessed it, and gave it to them. “Drink from it, all of you,” he told them. 
MAT.26.28	“For this is my blood of the covenant, poured out for many for the forgiveness of sins. 
MAT.26.29	However, I tell you, I won't drink this fruit of the vine until the day I drink it new with you in the kingdom of my Father.” 
MAT.26.30	After they'd sung a song, they left for the Mount of Olives.
MAT.26.31	“All of you will abandon me tonight,” Jesus told them. “As Scripture says, ‘I will strike the shepherd, and the flock of sheep will be completely scattered.’
MAT.26.32	But after I have risen, I'll go ahead of you to Galilee.”
MAT.26.33	But Peter objected, “Even if everyone else abandons you, I'll never abandon you.”
MAT.26.34	“I'm telling you the truth,” Jesus told him, “This very night, before the cock crows, you'll deny me three times.”
MAT.26.35	“Even if I have to die with you, I'll never deny you!” Peter insisted. And all the disciples said the same thing.
MAT.26.36	Then Jesus went with his disciples to a place called Gethsemane. He told them, “Sit down here while I go over there and pray.” 
MAT.26.37	He took Peter and the two sons of Zebedee with him, and he began to suffer agonizing sorrow and distress. 
MAT.26.38	Then he said to them, “I am so overwhelmed with sadness that it's killing me. Wait here and keep watch with me.” 
MAT.26.39	He went a little farther forward, fell face down, and prayed.
MAT.26.39	“My Father, please, if it's possible, let this cup of suffering be taken from me,” Jesus asked. “Even so, may it not be what I want but what you want.”
MAT.26.40	He went back to the disciples and found them asleep. He said to Peter, “What, you couldn't stay awake with me for just one hour? 
MAT.26.41	Stay awake and pray, so that you don't fall into temptation. Yes, the spirit is willing, but the body is weak.” 
MAT.26.42	He went away a second time and prayed.
MAT.26.42	“My Father, if this cup cannot be taken from me without me drinking from it, then your will be done,” he said. 
MAT.26.43	He went back and found them sleeping, for they just couldn't stay awake.
MAT.26.44	So he left them once more, and went off and prayed a third time, repeating the same things. 
MAT.26.45	Then he returned to the disciples, and told them, “How can you still be sleeping and resting? Look, the time has come. The Son of man is about to be betrayed into the hands of sinners! 
MAT.26.46	Get up, let's go! See, the one who's betraying me has arrived.”
MAT.26.47	As he said this, Judas, one of the Twelve, arrived with a large mob armed with swords and clubs sent by the chief priests and elders of the people. 
MAT.26.48	The betrayer had arranged to give them a signal: “The one that I kiss, that's him—arrest him,” he'd told them.
MAT.26.49	Judas came up to Jesus immediately, and said, “Hello, Rabbi,” and kissed him.
MAT.26.50	“My friend, do what you came to do,” Jesus said to Judas. So they came and grabbed hold of Jesus, and arrested him.
MAT.26.51	One of those who was with Jesus reached for his sword and pulled it out. He struck the high priest's servant, cutting off his ear. 
MAT.26.52	But Jesus told him, “Put your sword away. Everyone who fights with the sword will die by the sword. 
MAT.26.53	Don't you think I could ask my Father, and he'd immediately send more than twelve legions of angels? 
MAT.26.54	But then how could the Scriptures be fulfilled that say it must be like this?”
MAT.26.55	Then Jesus told the mob, “Have you come with swords and clubs to arrest me as if I was some kind of dangerous criminal? Every day I sat in the Temple teaching and you didn't arrest me then. 
MAT.26.56	But all this is happening to fulfill what the prophets wrote.” Then all the disciples abandoned him and ran away.
MAT.26.57	Those who'd arrested Jesus took him to the home of Caiaphas, the high priest, where the religious teachers and elders had gathered. 
MAT.26.58	Peter followed him at a distance, and went into the high priest's courtyard. He sat there with the guards to see how things would end.
MAT.26.59	The chief priests and the whole council were trying to find some false evidence against Jesus so they could put him to death. 
MAT.26.60	But they couldn't find anything, even though many false witnesses came forward. Eventually two came forward 
MAT.26.61	and reported, “This man said, ‘I can destroy God's Temple, and rebuild it in three days.’”
MAT.26.62	The high priest stood up and asked Jesus, “Have you no answer? What do you have to say in your defense?” 
MAT.26.63	But Jesus remained silent.
MAT.26.63	The high priest said to Jesus, “In the name of the living God I place you under oath. Tell us if you are the Messiah, the Son of God.”
MAT.26.64	“You said it,” Jesus replied. “And I also tell you that in the future you'll see the Son of man sitting at the right hand of the Almighty, and coming on the clouds of heaven.”
MAT.26.65	Then the high priest tore his clothes, and said, “He's speaking blasphemy! Why do we need any witnesses? Look, now you've heard for yourselves his blasphemy! 
MAT.26.66	What's your verdict?”
MAT.26.66	“Guilty! He deserves to die!” they answered. 
MAT.26.67	Then they spat in his face and beat him. Some of them slapped him with their hands, 
MAT.26.68	and said, “Prophesy to us, you ‘Messiah’! Who just hit you?”
MAT.26.69	Meanwhile Peter was sitting outside in the courtyard. A servant girl came up to him, and said, “You were with Jesus the Galilean too!” 
MAT.26.70	But he denied it in front of everyone. “I don't know what you're talking about,” he said.
MAT.26.71	When he went back to the courtyard entrance another servant girl saw him and said to the people there, “This man was with Jesus of Nazareth.” 
MAT.26.72	Once again he denied it, saying with an oath, “I don't know him.” 
MAT.26.73	A little while later the people standing there came up to Peter and said, “You definitely are one of them. Your accent gives you away.” 
MAT.26.74	Then he started to swear: “Curses on me if I'm a liar!
MAT.26.75	Then Peter remembered what Jesus had told him: “Before the cock crows, three times you will deny knowing me.” He went outside and wept bitterly.
MAT.27.1	Early in the morning all the chief priests and elders of the people consulted together and decided to have Jesus put to death. 
MAT.27.2	They bound him, led him away, and handed him over to Pilate, the governor.
MAT.27.3	When Judas, the one who'd betrayed Jesus, saw that Jesus had been condemned to death, he regretted what he'd done and returned the thirty silver coins to the chief priests and the elders. 
MAT.27.4	“I've sinned! I've betrayed innocent blood!” he told them.
MAT.27.4	“What's that got to do with us?” they replied. “That's your problem!” 
MAT.27.5	Judas threw the silver coins into the sanctuary and left. He went away and hanged himself. 
MAT.27.6	The chief priests took the silver coins and said, “This is blood money, so it's not lawful to put this in the Temple treasury.” 
MAT.27.7	So they agreed to buy the potter's field as a place to bury foreigners. 
MAT.27.8	That's why the field is still called today the “Field of Blood.” 
MAT.27.9	This fulfilled the prophecy spoken through the prophet Jeremiah: “They took thirty silver coins—the ‘value’ of the one who was bought at the price set by some of the children of Israel— 
MAT.27.10	and used them to pay for the potter's field, just as the Lord instructed me to do.”
MAT.27.11	Jesus was brought before Pilate the governor who asked him, “Are you the King of the Jews?”
MAT.27.11	“You said it,” Jesus replied. 
MAT.27.12	But when the chief priests and elders brought charges against him, Jesus did not answer.
MAT.27.13	“Don't you hear how many charges they're bringing against you?” Pilate asked him. 
MAT.27.14	But Jesus didn't say anything, not a single word. This greatly surprised the governor.
MAT.27.15	Now it was the custom of the governor to release to the crowd during the festival whichever prisoner they wanted. 
MAT.27.16	At that time a notorious prisoner was being held, a man named Barabbas. 
MAT.27.17	So Pilate asked the crowds that had gathered, “Who do you want me to release to you? Barabbas, or Jesus, called the Messiah?” 
MAT.27.18	(He had realized it was because of jealousy that they had handed Jesus over to him to be tried.). 
MAT.27.19	While he was sitting on the judge's seat, his wife sent a message to him that said, “Don't do anything to this innocent man, for I've suffered terribly today as a result of a dream about him.”
MAT.27.20	But the chief priests and the elders convinced the crowds to ask for Barabbas, and to have Jesus put to death. 
MAT.27.21	When the governor asked them, “So which of the two do you want me to release to you?” they answered, “Barabbas.”
MAT.27.22	“Then what shall I do with Jesus, the Messiah?” he asked them.
MAT.27.22	They all shouted out, “Have him crucified!”
MAT.27.23	“Why? What crime has he committed?” Pilate asked. But they shouted even louder, “Crucify him!”
MAT.27.24	When Pilate saw it was a lost cause, and that a riot was developing, he took some water and washed his hands in front of the crowd. “I'm innocent of this man's blood. It's on your heads!”
MAT.27.25	All the people answered, “May his blood be on us, and on our children!” 
MAT.27.26	Then he released Barabbas to them, but he had Jesus whipped and sent to be crucified.
MAT.27.27	The governor's soldiers took Jesus into the Praetorium
MAT.27.28	They stripped him and put a scarlet cloak on him. 
MAT.27.29	They made a crown of thorns and placed it on his head, and put a stick in his right hand. They kneeled down in front of him and mocked him, saying, “We salute you, King of the Jews!” 
MAT.27.30	They spat on him, and took the stick and beat him over the head with it. 
MAT.27.31	When they'd finished mocking him, they took off the robe and put his own clothes back on him. Then they led him away to crucify him. 
MAT.27.32	On the way they found a man called Simon, from Cyrene, and they forced him to carry Jesus' cross.
MAT.27.33	When they arrived at Golgotha, meaning “Place of the Skull,” 
MAT.27.34	they gave him wine mixed with gall. But having tasted it, he refused to drink it. 
MAT.27.35	After they had crucified him, they rolled dice to divide his clothes between them. 
MAT.27.36	Then they sat down and kept watch over him there. 
MAT.27.37	They placed a sign over his head with the charge against him. It read, “This is Jesus, the King of the Jews.” 
MAT.27.38	They crucified two criminals with him, one on the right, and one on the left. 
MAT.27.39	Those who passed by shouted insults at him, shaking their heads, 
MAT.27.40	saying, “You who promised to destroy the Temple and rebuild it in three days, why don't you save yourself! If you really are the Son of God, then come down from the cross.” 
MAT.27.41	The chief priests mocked him in the same way, along with the religious teachers and elders. 
MAT.27.42	“He saved other people, but he can't save himself!” they said. “If he really is the king of Israel, let him come down from the cross, and then we'll believe him! 
MAT.27.43	He trusts God so confidently—well let God rescue him now if he wants him, because he claimed ‘I am the Son of God.’” 
MAT.27.44	The criminals who were crucified with him also insulted him in the same way.
MAT.27.45	From noon until three o'clock darkness covered the whole country. 
MAT.27.46	At about three o'clock Jesus shouted out loud, “Eli, Eli, lama sabachthani?” which means, “My God, my God, why have you abandoned me?” 
MAT.27.47	When some of those standing there heard it, they said, “He's calling for Elijah!” 
MAT.27.48	Immediately one of them ran and grabbed a sponge, soaked it in vinegar, put it on a stick, and gave it to Jesus to drink. 
MAT.27.49	But the others said, “Leave him alone. Let's see if Elijah will come and save him.”
MAT.27.50	Jesus cried out again with a loud voice, and breathed his last.
MAT.27.51	Right then the veil of the Temple was torn apart from top to bottom. The ground shook, the rocks split apart, 
MAT.27.52	and the graves were opened. Many of those who had lived good lives and had fallen asleep in death were raised to life. 
MAT.27.53	After the resurrection of Jesus they went out from the graveyards into the holy city
MAT.27.54	When the centurion and those with him who were guarding Jesus saw the earthquake and what happened, they were terrified, and said, “This really was the Son of God!” 
MAT.27.55	Many women were also watching from a distance, those who had followed Jesus from Galilee and had supported him. 
MAT.27.56	These included Mary Magdalene, Mary the mother of James and Joseph, and the mother of the sons of Zebedee.
MAT.27.57	When evening came, a rich man named Joseph, from Arimathea, (who was also a disciple of Jesus), 
MAT.27.58	went to Pilate and asked for the body of Jesus. Pilate ordered it to be handed over to him. 
MAT.27.59	Joseph took the body and wrapped it up in a fresh linen cloth, 
MAT.27.60	and placed it in his own new tomb, cut out of solid rock. He rolled a large stone across the entrance to the tomb, and left. 
MAT.27.61	Mary Magdalene and the other Mary were there, sitting opposite the tomb.
MAT.27.62	The next day,
MAT.27.63	They said to him, “Sir, we recall that the imposter said while he was still alive, ‘After three days, I'll rise again.’ 
MAT.27.64	Give orders to secure the tomb until the third day. That way his disciples can't come and steal his body and tell people that he was raised from the dead, and the deception in the end will become worse than it was at first.”
MAT.27.65	“I'll give you a guard of soldiers,” Pilate told them. “Now go, and make it as secure as you possibly can.” 
MAT.27.66	So they went and made the tomb secure, sealing the entrance stone and posting soldiers as guards.
MAT.28.1	Early Sunday morning, at dawn, Mary Magdalene and the other Mary went to see the tomb. 
MAT.28.2	All of a sudden there was a tremendous earthquake, for an angel of the Lord came down from heaven and rolled away the stone, and sat on it. 
MAT.28.3	His face blazed like lightning, and his clothes were as white as snow. 
MAT.28.4	The guards shook with fear, falling down as if they were dead.
MAT.28.5	The angel told the women, “Don't be afraid! I know you're looking for Jesus, who was crucified. 
MAT.28.6	He's not here. He's risen from the dead, just as he said he would. Come and see where the Lord was lying. 
MAT.28.7	Now go quickly and tell his disciples that he's risen from the dead and that he's going on ahead of you to Galilee. You will see him there, I promise you!”
MAT.28.8	They left the tomb quickly, both afraid and very happy, running to tell his disciples. 
MAT.28.9	Suddenly Jesus came to meet them, and greeted them. They went over to him, held onto his feet and worshiped him. 
MAT.28.10	Then Jesus said to them, “Don't be afraid! Go and tell my brothers to leave for Galilee, and they will see me there.”
MAT.28.11	As they left, some of the guards went into the city and explained to the chief priests everything that had happened. 
MAT.28.12	After the chief priests had met with the elders, and worked out a plan, they bribed the soldiers with a great deal of money.
MAT.28.13	“Say that his disciples came during the night and stole him while we were sleeping,” they told the soldiers. 
MAT.28.14	“And if the governor hears about this, we'll talk to him and you won't have to worry.”
MAT.28.15	So the soldiers took the money and did what they were told. This story has been spread among the Jewish people to this very day.
MAT.28.16	But the eleven disciples went to Galilee, to the mountain where Jesus had told them to go. 
MAT.28.17	When they saw him they worshiped him, though some doubted. 
MAT.28.18	Jesus came to them and told them, “All power in heaven and on earth has been given to me. 
MAT.28.19	So go and make disciples of people of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit. 
MAT.28.20	Teach them to follow all the commands I have given you. Remember, I am always with you, to the very end of the world.”
MRK.1.1	Here is the beginning of the good news about Jesus Christ, the Son of God.
MRK.1.2	Just as the prophet Isaiah wrote, “I'm sending my messenger ahead of you to prepare your way. 
MRK.1.3	A voice is calling in the desert, ‘Prepare the Lord's way! Make his paths straight.’”
MRK.1.4	John came, baptizing in the desert, announcing a baptism of repentance
MRK.1.5	Everybody from the country of Judea and from Jerusalem went to him. They admitted their sins publicly and were baptized in the Jordan River.
MRK.1.6	John wore clothes made of camel hair, with a leather belt around his waist. He ate locusts
MRK.1.7	This is what he had to say: “After me someone is coming who is greater than I am. I'm not worthy to bend down and untie his sandals. 
MRK.1.8	I baptized you in water but he will baptize you in the Holy Spirit.”
MRK.1.9	Then Jesus came from Nazareth in Galilee and was baptized by John in the Jordan River. 
MRK.1.10	As Jesus came out of the water, he saw the heavens split apart and the Spirit like a dove descending upon
MRK.1.11	A voice from heaven said, “You are my son, the one I love. I am very pleased with you.”
MRK.1.12	Right after this the Spirit sent him away into the desert 
MRK.1.13	where he was tempted by Satan for forty days. He was with the wild animals, and angels took care of him.
MRK.1.14	Later, after John was arrested, Jesus went to Galilee, announcing God's good news.
MRK.1.15	“The time predicted has come,” he said. “God's kingdom is near. Repent and believe in the good news.”
MRK.1.16	As he was walking beside the Sea of Galilee, Jesus saw Simon and his brother Andrew throwing a net into the water, for they made their living by fishing. 
MRK.1.17	“Come and follow me,” he told them, “and I will have you fishing for people.” 
MRK.1.18	They left their nets at once and followed him.
MRK.1.19	He went a little farther and saw James and his brother John, the sons of Zebedee. They were in a boat mending their nets. 
MRK.1.20	Immediately he called them to follow him,
MRK.1.21	They left for Capernaum, and on Sabbath Jesus went into the synagogue and taught there. 
MRK.1.22	The people were amazed at his teaching, for he spoke with authority, unlike the religious teachers.
MRK.1.23	Suddenly, right there in the synagogue, a man with an evil spirit started shouting out, 
MRK.1.24	“Jesus of Nazareth, why are you bothering us? Have you come to destroy us? I know who you are! You're God's Holy One!”
MRK.1.25	Jesus interrupted the evil spirit, telling him, “Be quiet! Come out of him.”
MRK.1.26	The evil spirit screamed, threw the man into convulsions, and came out of him.
MRK.1.27	Everyone was amazed at what happened. “What is this?” they asked each other. “What is this new teaching that has such authority? Even evil spirits do what he tells them!” 
MRK.1.28	News about him spread quickly throughout the whole region of Galilee.
MRK.1.29	Then they left the synagogue and went to the home of Simon and Andrew, along with James and John. 
MRK.1.30	Simon's mother-in-law was sick in bed with a fever, so they told Jesus about her. 
MRK.1.31	He went to her, took her by the hand, and helped her up. The fever immediately left her. Then she made them a meal.
MRK.1.32	After sunset that evening, those who were sick and demon-possessed were brought to Jesus. 
MRK.1.33	The whole of the town gathered outside. 
MRK.1.34	He healed many people who had various diseases, and threw out many demons. He did not permit the demons to speak, for they knew who he was.
MRK.1.35	Very early in the morning, while it was still dark, Jesus got up and went alone to a quiet place to pray. 
MRK.1.36	Simon and the others went to search for him. 
MRK.1.37	When they found him, they told him, “Everybody's looking for you.”
MRK.1.38	But Jesus replied, “We have to go to the other towns around here so that I can tell them the good news as well—for that's why I came.”
MRK.1.39	So he went all over Galilee, speaking in the synagogues and expelling demons.
MRK.1.40	A leper came to him asking for help. The man kneeled down before Jesus, saying, “Please, if you're willing, you can heal me!” 
MRK.1.41	With compassion Jesus reached out and touched the man, and said, “I am willing. Be healed!”
MRK.1.42	The leprosy left him immediately, and he was healed. 
MRK.1.43	Jesus sent him away with a strong warning. 
MRK.1.44	“Make sure you don't tell anybody anything about this,” he told him. “Go to the priest and show yourself to him. Give the offering which is required by the law of Moses for such cleansing, so that people will have proof.”
MRK.1.45	But the healed leper went out and told everyone what had happened. As a result Jesus could not openly go into the cities anymore, but had to stay out in the country where people came to him from everywhere around.
MRK.2.1	A few days later Jesus returned home to Capernaum, and news spread that he was there. 
MRK.2.2	So many people crowded inside the house that it was packed, even outside the door, as Jesus told them the message.
MRK.2.3	Four men had brought a man who was paralyzed, 
MRK.2.4	but they could not get near Jesus because of the crowds. So they went up on the roof and took it apart. After they had made an opening above Jesus, they lowered down the mat with the paralyzed man lying on it.
MRK.2.5	When Jesus saw the trust these men had, Jesus said to the paralyzed man, “Friend, your sins are forgiven.”
MRK.2.6	Some of the religious teachers sitting there thought to themselves, 
MRK.2.7	“Why is he talking like this? He is blaspheming! Who can forgive sins? Only God can do that!”
MRK.2.8	Jesus knew right away what they were thinking. He said to them, “Why are you thinking like this? 
MRK.2.9	What's easier: to say to the paralyzed man, ‘Your sins are forgiven,’ or ‘Get up, pick up your mat, and walk’? 
MRK.2.10	But to convince you that the Son of man has the right to forgive sins, 
MRK.2.11	I say to you (the paralyzed man), ‘Get up, pick up your mat, and go home.’”
MRK.2.12	He stood up, picked up his mat, and walked out in front of everyone there. They were all amazed, and praised God, saying “We've never ever seen anything like this!”
MRK.2.13	Jesus went out beside the sea once more and taught the crowds that came to him. 
MRK.2.14	As he walked along, he saw Levi son of Alphaeus sitting at the tax-collector's booth.
MRK.2.14	“Follow me,” Jesus told him. Levi got up and followed Jesus.
MRK.2.15	That evening Jesus ate dinner at Levi's house. Many tax collectors and “sinners”
MRK.2.16	When the religious leaders of the Pharisees saw Jesus eating with such people, they asked Jesus' disciples, “Why does he eat with tax collectors and sinners?”
MRK.2.17	When Jesus heard this, he told them, “It's not healthy people who need a doctor, but those who are sick. I haven't come to invite those who do what is right, but those who don't—the sinners.”
MRK.2.18	Now John's disciples and the Pharisees were fasting.
MRK.2.19	“Do wedding guests fast while the bridegroom is with them?” Jesus asked them. “No. While the bridegroom's with them, they can't fast. 
MRK.2.20	But the day is coming when the bridegroom will be taken from them, and then they'll fast. 
MRK.2.21	No one puts a patch that's not shrunk on old clothes. Otherwise the new piece will shrink away from the old, and make the tear worse. 
MRK.2.22	No one puts new wine in old wineskins. Otherwise the wine will burst the wineskins, and both the wine and wineskins will be wasted. No. You put new wine in new wineskins.”
MRK.2.23	One Sabbath day as Jesus was walking through the grain fields, his disciples started picking heads of grain as they walked along. 
MRK.2.24	The Pharisees asked Jesus, “Look, why are they doing what is not permitted on the Sabbath?”
MRK.2.25	“Haven't you ever read what David did when he and his men were hungry and in need?” Jesus asked them. 
MRK.2.26	“He went into God's house when Abiathar was high priest, and ate the consecrated bread which no one except the priests are permitted to eat, and gave it to his men too.”
MRK.2.27	“The Sabbath was made for your benefit, not for you to benefit the Sabbath,” he told them. 
MRK.2.28	“So the Son of man is Lord even of the Sabbath.”
MRK.3.1	Jesus went to the synagogue again. A man was there who had a crippled hand. 
MRK.3.2	Some of those there were watching Jesus to see if he would heal the man on the Sabbath, because they were looking for a reason to accuse him of breaking the law. 
MRK.3.3	Jesus told the man with the crippled hand, “Come and stand here in front of everyone.”
MRK.3.4	“Is it lawful to do good on the Sabbath, or to do evil? Should you save life, or should you kill?” he asked them. But they didn't say a word.
MRK.3.5	He looked around at them in exasperation, very upset by their hard-hearted attitude. Then he told the man, “Hold out your hand.” The man held out his hand, and it was healed. 
MRK.3.6	The Pharisees left, and immediately began plotting with Herod's party as to how they might kill Jesus.
MRK.3.7	Meanwhile Jesus returned to the Sea,
MRK.3.8	Jerusalem, Idumea, Transjordan, and from the regions of Tyre and Sidon. So many people came to see him because they'd heard all he was doing.
MRK.3.9	Jesus told his disciples to have a small boat ready in case the crowd crushed him, 
MRK.3.10	because he had healed so many that all the sick people kept on pressing towards him so they could touch him. 
MRK.3.11	Whenever the evil spirits saw him they would fall down in front of him and shout out, “You are the Son of God!” 
MRK.3.12	But he commanded them not to reveal who he was.
MRK.3.13	Then Jesus went away to the hill country. He called those he wanted to be with him, and they came to him. 
MRK.3.14	He chose twelve to be with him, and called them apostles. They were to be with him, and he would send them out to announce the good news, 
MRK.3.15	and with the authority to drive out demons. 
MRK.3.16	These are the twelve he chose: Simon (whom he called Peter), 
MRK.3.17	James the son of Zebedee and his brother John (who he called Boanerges, meaning “sons of thunder”), 
MRK.3.18	Andrew, Philip, Bartholomew, Matthew, Thomas, James the son of Alphaeus, Thaddaeus, Simon the Revolutionary, 
MRK.3.19	and Judas Iscariot (who betrayed him).
MRK.3.20	Jesus went home, but such a large crowd gathered again that he and his disciples didn't even have time to eat. 
MRK.3.21	When Jesus' family
MRK.3.22	But the religious leaders from Jerusalem said, “He's possessed by Beelzebub! It's by the ruler of demons that he's driving out demons!”
MRK.3.23	But Jesus called them over to him. Using illustrations
MRK.3.24	A kingdom fighting itself can't continue. 
MRK.3.25	A household that's divided is doomed. 
MRK.3.26	If Satan is divided and fights against himself, he won't last long—he'll soon come to an end. 
MRK.3.27	Clearly, if someone breaks into the house of a strong man and tries to take his things, he won't get far in his theft unless he ties up the strong man first.”
MRK.3.28	“I tell you the truth: all sins and blasphemies can be forgiven, 
MRK.3.29	but if people blaspheme by rejecting the Holy Spirit they can never be forgiven, because they are guilty of an eternal sin.” 
MRK.3.30	(Jesus said this
MRK.3.31	Then Jesus' mother and brothers arrived. They waited outside and sent him a message, asking him to come out. 
MRK.3.32	The crowd that was sitting around him told him, “Your mother and brothers are outside asking for you.”
MRK.3.33	“Who is my mother? Who are my brothers?” he responded. 
MRK.3.34	Looking around at all those sitting there in a circle, he said, “Here is my mother! Here are my brothers! 
MRK.3.35	Whoever does what God wants, they are my brother, and sister, and mother.”
MRK.4.1	Jesus began teaching beside the Sea again. So many people came to listen to him that he climbed into a boat and sat in it on the water while the crowd listened from the shore. 
MRK.4.2	He illustrated his teachings using many stories.
MRK.4.3	“Listen,” he said. “A sower went out to sow. 
MRK.4.4	Now as he was scattering the seeds, some fell on the path, and birds came and ate them up. 
MRK.4.5	Other seeds fell on stony ground where there wasn't much earth. In the shallow soil the plants started growing quickly, but because the soil wasn't deep 
MRK.4.6	they were scorched when the sun came up. Since they didn't have any real roots, they soon withered. 
MRK.4.7	Other seeds fell among thorns. The thorns grew up and choked the sprouting seeds, so they produced nothing. 
MRK.4.8	Other seeds fell on good soil where they sprouted and grew. They produced a harvest of some thirty, some sixty, and some a hundred times what was planted. 
MRK.4.9	If you have ears to hear, listen to what I'm saying.”
MRK.4.10	When he was by himself, his twelve disciples and the others who were with him asked him what the illustrations meant.
MRK.4.11	He told them, “The mystery of God's kingdom has been given to you to understand. But outsiders only have the stories, 
MRK.4.12	so that even though they see, they don't really ‘see,’ and even though they hear, they don't understand, otherwise they might turn to me and be forgiven.”
MRK.4.13	“Don't you understand this story?” Jesus asked them. “If you can't, how are you going to understand all the other stories?
MRK.4.14	The sower sows the word.
MRK.4.15	The seeds on the path where the word is sown illustrate those who hear the message, but then Satan immediately comes along and takes away the word that's been sown in them. 
MRK.4.16	Likewise the seeds on the rocky ground illustrate those who hear the word, and happily accept it right away. 
