JHN.1.1	Tsidyodaghsawen ne Logos
JHN.4.47	Ne onen wahhàronke tsi eren rawenonghton ne Judea, ne Jesus ok Gallileetseragon isrese, egh wàreghde raonhage, ok wahhorighwanegen nene aontahhaghkete ok ensʼhotsyende ne Royeah iken onontohha aghrenheyen. 
JHN.4.48	Ethone Jesus wahhawenhaghse, togat nonken yaghten ensewatkaghtho wadennageraghtanyoh ok ne yorighwaneghragwaghton, yaghten aonteseweghdaghkon. 
JHN.4.49	Ne Royaner wahhawenhaghse, Sewenniyoh karo daseghtha arekho aontaghrenhheyen ne rihhàwak. 
JHN.4.50	Jesus sahhawenhaghse, wa-as ronhé ne eghtsye-ah, ok ne rongwe wathaweghdaghkon ne owènna ne ne Jesus tʼhodadigh raonhhage ok egh sʼhawènonghton. 
JHN.4.51	Ok aghson tsi raghdentyon hatye wathonderane ne sʼhakonhase, ok ronwaghròry, yakìweahàtye ronhè nʼeghtsye-ah. 
JHN.4.52	Ethone wahsʼhakorighwanondonse tsini kahhawisgwe tsi wa-ondaghsawen ensahhayewènndane, ok sahhonwenhaghse, dédenre nene tsyàdakhadonthour sʼonghtkawe tsi rodongwarhonghsgwe. 
JHN.4.53	Etho roderyenndare ne ronihha ne ne agwagh egh ni kahhàwisgwe ethone ne Jesus wahhawenhaghse, ronhe ne eghtsye-ah, ok ne raonha oni agwegon ne raononghsagon wathoneghtaghkon. 
JHN.4.54	Ne ne kengayen àre ne tekenihhadont miracle (yorighwanneghragwaght) tsini hotyèren ne Jesus ethone tsi sʼhoyagen-on ne Judea, Galileetseragon tsi yehàrawe.
JHN.5.1	Oghnagcnke adennyòdaghkwe tsini hoderighhòten ne Jewshaga; ok Jesus etho wareghte Jerusalemne. 
JHN.5.2	Egh kanyàdare Jerusalemne ok niyòre tsi yontkeghrontaghkwen teyodinagarondo-ah, nene tsiniyewennòten ne Hebrew konwayats Bethesda, etho wisk ne wadaghsgwahhere. 
JHN.5.3	Eghnonwc radiyadageghrontaghkwe kentyoghkowànen ne yakonhràre nene teyoronwegen, Yetsinokaghte, yodakenheyen nʼongwe, rodirhàre ne enwattoryàneron nʼoghnega. 
JHN.5.4	Iken wadogen tsini kahhawise ne Karonyageronon egh tahhatsnenghte kanyàdaràge, ok wahhawenryen ne oghnèga, onghka kadi kiok nʼyàre egh watyedane onen tsi yakowènryon oghnega sayeyewènndane ok tsi ok nahhoten yakonhràre. 
JHN.5.5	Ok rayadatògen egh yèresgwe, ne ne aghsen ne yoghseraghsen sadègon yawenre tsinahhe tsi ronhràre. 
JHN.5.6	Ne onen Jesus wahhòken rendagere, ok roderyendare wahhònise egh si hoyàdawen, wahhawenhaghse, enyesatsyende ken? 
JHN.5.7	Ne rochràre tentahhawenhaghse, sewenniyoh, yaghten wakongwedàye, ne onen kawenryon ne oghnèga ne egh enhakyàthewe kanyadaràge: ok aghson egh wàkenonhatye, tehayadadde wahhakyatgènni ok egh wahhatsnenghde. 
JHN.5.8	Jesus wahhawenhaghse, satketskoh, teseghk ne sànakde, ok sathahhak. 
JHN.5.9	Ok yokondatye ne rongwe sʼhoyewenndà-on, wàt-raghkwe ne raònakda ok sahhathahbak: ne egh weghniseradeghkwe nene yawenndadogenghdònke. 
JHN.5.10	Ne Jewshaga kadi wahhonwenhaghse ne ronwatsyendon, yawenndadogenghdan ne ken: yaghten te karighwayèri tsi sakeghte ne sànakda. 
JHN.5.11	Tentaghsʼhakawenhaghse, raonha ne rakhetsyènadon, ne rakwènni teseghk sanakda ok sathahhak. 
JHN.5.12	Ethone wahhonwarighwanondonse, oghnetongwedòten nene waghyenhaghse, teseghk sanakda ok sathahhak? 
JHN.5.13	Ok raonha ne ronwatsyéndon yaghten hoyenderhe-on onghka akenhak: iken Jesus akde rodadyadenhawighton, kentyonghkowànen se egh ronesgwe. 
JHN.5.14	Oghnagcnge Jesus sahhoyadatshenri Temple-tseragon, ok wahhawenhaghse, satkaghtho, skènnen sasadòn: toghsa oya saserighwannerak, togat nonken senha enyesaghrewaghte. 
JHN.5.15	Ne rongwe eren sàreghde, ok wahsʼhakoghròri ne Jewshaga nene Jesus naah ne rotsyénndon. 
JHN.5.16	Ne kadi wahhoni ne Jewshaga ronwarigh-wayèsaghien Jesus ok wahhadirighwifake ne enhon-waryon, ne wahhoni tsi etho ne hoyèren ne yawenndadogenghdonke.
JHN.5.17	Ok Jesus wahsʼhakawenhaghse, ne Rakenihha tsinahhe royoden-onhatye ok oni niih wak-yòde. 
JHN.5.18	Senha kadi ne Jewshaga wahhadirighwifake tsi nen éyere ne enhonwaryoh, yagh neok aoriwa tsi tehorighwaghrighton tsinikarihhoten ne yawenndadogenghdon, ok oni tsi rawen Niyoh naah ne Rakenihha, yaweght radaddonyon sadéyought tsiniyought ne Niyoh. 
JHN.5.19	Ethone tehharighwaseragon ne Jesus, ok wahsʼhakawenhaghse, togenske onwe wakwaghròri, yaghten ahagwèni ne Royeah oghnenhatyere ok tsinahhoten tehakanere tsinihoyerenhatye ne ronihha; iken tsi ok (ne orihhoten ne ratyerha etho oni) ne enhatyere ne Roye-ah. 
JHN.5.20	Iken ne Ranihha ranoronghkwa ne Roye-ah, ok ronàdòne yorighwagwegon tsini hatyerha; senha oni karihhowànenghse tsiniyought ne kengayen enhonadonhaghse nene aontesewaneghràgon. 
JHN.5.21	Iken tsiniyought ne Ronihha tensaghsʼhakoketskwen ne yakawenheyon, ok saghsʼhakodonhéton; etho oni niyought ne Royeah ensaghsʼhako-donhete onghka kiok aghrerheke. 
JHN.5.22	Iken ne Ranihha yaghonghka tesʼhakoyado-reghtha, ok agwegon ne kayadoreghtsera ne Royeah rorihhondyeghten. 
JHN.5.23	Nene ongwehogon enhonwakonyenghsthak ne Roye-ah, nene agwagh tsini honwakonyenghstha ne Ronihha. Raonha nene yaghten hokonyenghstha ne Roye-ah yagh oni ten hokonyenghstha ne Ronihha nene ronhà-on. 
JHN.5.24	Agwagh togenske, wakwenhaghse, raonha nene rakewennaghronken ok tehaweghtaghkon raonhage ne rakhènnha-on, ronheghtseràyen tsiniyehenwe, yagh oni tenhadawéyad adewenndeghtonge; ok ne rodohhetston ne kenhheyonge nene aghronheke. 
JHN.5.25	Agwagh togenske wakwenhaghse, enwadetighwihhewe, ok onen nonwa watkayéríne, ne onen ne yakowennda-on enhonwawennàronge ne Niyoh Roye-ah: ok rononha ne ronathonde ènhononheke. 
JHN.5.26	Iken ok tsiniyought ne Ronihha ronhegh-tseràyen raonhatseràgon, etho oni niyought rowigh ne Roye-ah aghronheghtserayendake raonhatse-ragon. 
JHN.5.27	Ok rogwennyoghtseràwi oni nene ensʼhakoyèritse tsinentesʼhakoyadoreghte, ne wahhoni tsi ne ongwe ronwaye-ah. 
JHN.5.28	Toghsa ensewarighwaneghràgon ne kengayen iken enwaderighwihhewe, tsinonwe agwegon ne oghwhentjogon yeyadadaryon enhowawennaronge. 
JHN.5.29	Ok rononha nene karighwiyo tsinihodiyèren, etho enhonderighwihhewe ne tsyontkctsgwènge ne adonhèta, ok ne rononha ne wahhetken tsini hodi-yèren, ne tsyontketsgwenge nʼatkaronyon. 
JHN.5.30	Yagh oghnahhoten tʼenkerighwagwèni akonha-on ok tsi kathondatye egh te wakyadòreghtha: ok tekarighwayèri naah akwadyadoreghtsera: iken yaghten kerighwisaks ne nahhoten ikeghre niih, ok ne tsinireghre ne rakhennha-on. 
JHN.5.31	Togat nonken iih enkadatrori, yagh togenske naah tsini kerighhòten.
JHN.5.32	Ok tehayàdadde rakwatrori; ok wakaderyenndare tsinihorighhòten tsi rakwatrori togenske naah. 
JHN.5.33	Sewadennha-on ne Johnne, ok wahharígh watròri tsi roderyendare ne togensketsera. 
JHN.5.34	Ok yaghten kerighwatsteristha ne ne ongwe enyerighwatròri ok ne kengayen kàdon, ne ne aontyefenhake ensewayadadèri. 
JHN.5.35	Raonha yaweght kenghne tsiniyought ne yodekha-on hattye ok yodonghkwiyoh tsi kahhaghse-radatye; ok sewanigongnriyòne nʼyare etho ensewadonhàren raoghswathetseràgon.
JHN.5.36	Ok senha karihhowànen ne wakeríwayen, tsiniyought ne John tsinihorighhòten iken ne kayodenghsera tsini hakerighwawigh ne rakenihha nene enkeweyenèndane: ne sakayodenghserat tsini katyerha, yaweght ne watrori tsini karighhòten tsi rakhénha-on ne Rakenihha. 
JHN.5.37	Ok oni ne Rakenihha raonha nene rakhénha-on, rorighwatrori tsini wakerighhòten. Yagh nonwenndon katke kiok ten waghtsisewawennaghronken tsinahhe, yagh oni ten sewatkàghtho tsini hahayadòten. 
JHN.5.38	Ok yaghten kayendàse ne raowenna ne sewanigonragon; iken raonha ne ronha-on, yaghten teseweghtaghkon raonhàge.
JHN.5.39	Sewarighwisak ne kaghyadonghferado-genghtige, iken egh nonwe iseweghre ongwayen nene eterna adonhèta, ok ne naah watrori tsiniyought ne niih. 
JHN.5.40	Ok yaghten ondon karo aondeseweghte iihne, nene aontesewayendane ne adonhèta. 
JHN.5.41	Yaghten wakyéndàse nʼatkonyenghtsera nʼongweghne. 
JHN.5.42	Ok denghnon kwayendèri nʼise, yaghten sewaríwayen ne raonoronghkwa Niyoh. 
JHN.5.43	Wakewe ne raoghsennagon ne Rakenihha, ok yaghten skwatsteristha, togat tehayàdadde entre raonha raoghsennagon raonha enghtsisewatsterist. 
JHN.5.44	Ogh nen áwen enteseweghtaghkon nene tsyadaddàwighs ne atkonyenghtsera, ok yaghten sewarighwisaks tsini watkonyenghtseròten nene Niyoghne ok teyoyénghdaghkwen.
JHN.5.45	Toghsa ensewerhek nene iih enkwawen-nòtàne ne Rakenihneh: sʼhayadat enghtsisewawen-nòtane ne naah ne Moses, nene egh sewadewennodaghkon. 
JHN.5.46	Iken togat wateseweghdaghkon ne Moses, iih oni tsiniwakerihhoten aonteseweghtaghkon: iken egh ikyàdare tsi roghyadon. 
JHN.5.47	Ok denghnon togat yaghten teseweghtaghkon tfinihoghyadonghseròten, oghnen awen enteseweghdaghkon niih tsinikewennòten.
JHN.6.1	Oghnagenge Jesus wathanyadariyake ne Galilee nene konwayats ne Tiberias kanyàdare. 
JHN.6.2	Ok kentyoghkowànen wahhonwaghsere, ne wahhòne tsi wahhontkaghthoʼ ne yoneghragwaght tsinisʼhakoyèren tsi shakotjendon ne rodinongh-waktanyoni. 
JHN.6.3	Ok Jesus wahhanontàrane onontohhàràge, ok raonhha oni ne raotyonghkwa eghwahhontyen. 
JHN.6.4	Ok nene eren-wa-ondongoghte, wadennyode tfiniyakorigh-hòten ne Jews haga, onontohha waonderighwihhewe.
JHN.6.5	Ethone ne onen Jesus tehhatkaghtonyonwe, wahsʼhakoken kentyoghkowànen karo tʼhonenengh-tonhatye, wahhawenhaghse Philip, kàh nonwe endewanàdaraghnínon ne kengayen enhadike? 
JHN.6.6	Ok yaweght wahhonigonghrisake tsi ne ràwen; roderyendare se raonha tsmenhàyere. 
JHN.6.7	Philip tentahhawenhaghse, tekeni tewenyawe gwennis tsiniyoríwa ne kanàdarok yaghten enhodiyéri, ne ok enhonaghtane oghstonha. 
JHN.6.8	Sʼhayadat ne raotyonghkwa nene Andrew, Simon Peter yadaddegen-on, wahhawenhaghse. 
JHN.6.9	Kengh irèse ne ranikenghderoah, nene rahhawe wisk ne kanadarage ok tekenntsyage; ok do niyore enkayendane nene tsinikenntyoghkwa. 
JHN.6.10	Ok Jesus wahhenron, kinyoh rontye ne ongwe eso egh nonwe yothondonighne. Etho kadi wahhontye, ne ronongwe nene tsini kentyoghkwa onghte wisk niwennyaweghtseraghsen. 
JHN.6.11	Ok Jesus wa-atraghkwe ne kanadarohk, ok ne onen wahhadenghraghseronnyen; wahsʼhako-yakhonhaghse ne raotyonghkwa, ok saghsʼhakodi-yakhonhaghse ne rononha nene egh radidaràyen i ok oni ne kentsyo tsinenhonaghtane. 
JHN.6.12	Neonen wahhonaghtane, wahsʼhakawenhagh-se ne raotyonghkwa, sewaròroke nene tekaghri-séren ne waodadenron, nene yaghothénon tʼenkayésha. 
JHN.6.13	Ne kadi wa-eròroke, ok wakànaghne tekeni yawenri ne wathèrake ne tekànadaraghriseren ne wisk ne kanadarage, nene yaweght waodadenron, onen tsi rodihkwennda-on. 
JHN.6.14	Ethone rònen neken ronongwe, neonen wahhontkaghtho tsiniyorighwaneghragwaght tsini hoyèren ne Jesus, togenske naah neken ne Prophet nene karighwsson entre nʼoghwhenjage. 
JHN.6.15	Neonen kadi Jesus wahsʼhakorighwagense tsini hodinigonghroten nene aontahhonwanonghok Korah ahhonwayonyon, eren sareghde raonhatjonhha tsiyononde. 
JHN.6.16	Ok ne onen wa-okaraghwe, ne raotyonghkwa kanyadarakta wahhòneghte. 
JHN.6.17	Ok wahhonditta kahonweyagowaghne, ok wathadmyadaríyake ne Capernaum nonga. Ok onen agwagh wa-okaraghwe, oni Jesus arekho ten sʼhakorà-on. 
JHN.6.18	Ok ne watyongwarèesden tsiniwatkaweraghkwe kawerowànen. 
JHN.6.19	Neonen se tewaghsen wisk yawenri, toga nonken aghsen newaghsen furlong tsiniyòre yehoddikàwigh, ok wahhonwaken Jesus kanyadaràge, karo thaweghtonhatye: ok wahhodighderone. 
JHN.6.20	Ok wahsʼhakawenhaghse iih naah; toghsa fewaghderone. 
JHN.6.21	Ethone sahhonwayaditta agwagh wahhonon-wessa kahonweyakowaghne, ok oksaok ne kahhonweya wakaghrarhon atsyakda tsi nonwe ronenongh-tonhatye. 
JHN.6.22	Tsi wa orhenne, ne onen ne ronongwe nene radikennyadaghkwe skanyadaràdihhen nonga wahhontkaghtho, tsi yagh oya egh te kahhonwa-yendaghkwe ne ok ne enskat tsinonwe ronadídda ne raotyonghkwa, ok oni tsi yagh wadògen te honénon ne Jesus tsi wahhonditta, ok ne rononha-on ne raotyonghkwa sahhonghdendi; 
JHN.6.23	(Ok sane toghka ne kahhonwage nʼoya Tiberias tsyonaghdentyoh egh: wakònewe okhetho tsinonwe wahhadinadarake, neonen ne Royaner wahhadenghraghseronyon:) 
JHN.6.24	Neonen kadi ne ronongwe wahhontkaghtho tsi yagh etho ten irese ne Jesus, yagh oni ne raotyonghkwa, rononha oni wahhonditta ok egh wahhonewe Capernaum ronwayadisakhonhatye ne Jesus. 
JHN.6.25	Ok ne onen ronwayadatshenryon eren ne skanyadaràdih, wahhonwenhaghse, Rabbi katke kengh waghsewe? 
JHN.6.26	Jesus saghsʼhakawenhaghse, agwagh togenske, kwaghrori, takwayadísaks, yagh naah tegen aoriwa tsisewatkaghtho ne yorighwaneghragwaghte, ok denghnon tsisewàkon ne kanadarohk ok wasewaghta-on. 
JHN.6.27	Toghsa sewatstenyàron nene tsinikahkwòten ne waghtònden, ok denghnon tsinikahkwòten nene eghtekarìghwadatye tsi nʼeterna adonhèta, nene rongwe ronwayeah enghtsitfyon: iken raonha naah Yehovah ne ranihha rorighwaghniraton. 
JHN.6.28	Ethone sahhonwenhaghfe, Oghnʼenyàkwatyère nene aongwayòde ne raoyodenghsera ne Niyoh. 
JHN.6.29	Jesus tahharighwaseragon ok wahoʼhakawenhagfe, kengayen naah ne raoyodenghsera ne Yehovah nene aonteseweghdaghkon nene raona-ne yehoriha-on. 
JHN.6.30	Wahhonwenhaghse kadi, oghnahhoten ne yoderighwatyèren kadi waghsʼkwanadonse, nene enyakwatkaghtho, ok aontayakweghtaghkon isege? Oghne karihhoten sayòdegh? 
JHN.6.31	Ongwaghsotsera kenhha karhàgon nonwe wahhadike ne manna, tsiniyought tsi kaghyadon, Karonyage nonga wagh sʼhakononten ne kanàdarohk nʼenhàdike. 
JHN.6.32	Ethone Jesus wahsʼhakawenhaghse, agwagh togenske, kwaghrory, yagh Moses te eghtsifewawigh ne karonyage nʼetho kanadarohk: ok dengh non ne ragenihha karonyàge nonga eghtsisewawighs ne togenske kanadarohk. 
JHN.6.33	Iken ne naah ne raonàdarohk ne Niyoh nene raonha ne ne Karonyage tʼhoyenghdaghkwen, ok ne oghwhentjàge wahsʼhaka-on ne adonhèta. 
JHN.6.34	Ethone wahhonwenhaghse, sayàner tuitkon takwanàdaranontenghsek ne kengayen. 
JHN.6.35	Ok Jesus wakshakawenhaghse, iih na ah ne aonàdarohk ne adonheta; raonha ne ne entre tsi ikese yaghnonwenndon tʼaonsahhadonghkaryake; ok raonha nene tehaweghdaghkon tsini wakerighhòten yagh nonwendon tʼaonsahhonyadathense. 
JHN.6.36	Wakwenni, waskwatkaghtho oni nʼise, ok yaghten teseweghdaghkon. 
JHN.6.37	Agwegon nene rakwawihhe ne Ragenihha, iihne entyeghte; ok raonha nene iihne entreghte, yagh ne de gen aonsahhiyadinnegenwe. 
JHN.6.38	Iken Karonyàge tewakatsnenghton, yaghten kenyende iih aonkadaddenigonrayèrìt, ok denghnon nene enhinigonghrayèrit nene rakkenha-on. 
JHN.6.39	Ok ne naah tsinireghre ne Rakenihha nene rakhènha-on, nene agwegon tsinihakwawigh yaghoghnahhoten tʼenwakaghdonthak, ok denghnon aonsakeketskwen nene oghnagen weghníserade onen enwadoghwhenjokthen. 
JHN.6.40	Ok ne kengayen naah tsinireghre ne rakhenha-on, nene tsmiyagon tehonwakànere ne ronwa-yeah, ok raonhage tehoneghdaghkon ne enhodiyendane ne ne eterna adonheta; ok enskheketskoh onen enwadonghwhentjokten. 
JHN.6.41	Ethone ronwarighwaghswense ne ne Jewshaga, ne aoriwa tsi rawen, iih naah ne kanadarohk ne ne Karonyage te yotsnenghton. 
JHN.6.42	Ok wahhoniron yaghken raonha te gen ne Jesus, ne ne Joseph Royeah, ronihha ok oni ne ronisdenhha dʼhiyenderi? Ogh kadi na-àwen tsi radon Karonyàge tewakatsnenghton? 
JHN.6.43	Jesus kadi tahhadadigh, ok wahshakawenhaghse, toghsa sewaderyenda yendonwe. 
JHN.6.44	Yagh onghka tʼen yegwèni karo aontàyeght iihne, ne ok ne Ranihha nene rakhenha-on aontahhoyadadirònden: ok iih enshiketskwenghte nene onen enwadoghwhentjokten. 
JHN.6.45	Kaghyàdon naah ne raodersghwage ne Prophethogon, ok agwegon ne Yehovah enshakorighhonyen. Onghka kiok kadi nene rothonde ok oni ronigonghrayenda-on ne Ranihne, iihne entreghte. 
JHN.6.46	Yagh nene onghka ten hotkaghtho ne Ranihha, ne ok ne raonha nene Yehovaghne tʼhoyenghdaghkwen, raonha naah rotkaghtho ne Ranihha. 
JHN.6.47	Agwagh togenske, wakwenhaghse, raonha nene tehhaweghdaghkon iihne royen ne eterna adonhèta. 
JHN.6.48	Iih naah ne aonàdarohk ne adonhèta. 
JHN.6.49	Yetsighsotshenndaghkwe karhàgon nonwe rodikon ne Manna, ok ronenhèyon. 
JHN.6.50	Kengayen naah ne kanadarohk ne ne Karonyàge te yotsnenghton, nene ongwe enyeke nʼetho, ok yaghten ayaihheye. 
JHN.6.51	Iih naah ne yonhe onwe kanadarohk, ne ne karonyàge teyotsnenghton: togat nonken onghka kiok enyenàdarake nʼetho, tsmiyehenwe aghronheke, ok ne kanadarohk ne ne enkhèyon na ah ne akewàron, nene enkheyon (nene enyakonheke ne ongwe) ne aoriwa aodonheta ne oghwhentjagwegon. 
JHN.6.52	Wathonderyendayendonwe, rondonyon, oghnen-àwen ahagweni ne ken rongwe ensʼhongwànonte ne raowàron? 
JHN.6.53	Ethone Jesus wahsʼhakawenhaghse, agwagh togenske, togenske wakwenhaghse, togat yaghten ensewake ne raowàron ne Rongwe Ronwaye-ah, ok oni ensewaghnegíra ne raonigwenghsa yaghten sewayen ne adonhèta isege. 
JHN.6.54	Onghka kiok iraks ne akewàron, ok oni ragbnegirha ne akenigwenghsa, royen ne eterna adonhèta: ok ensʼhiketsgwen onen enwadoghwhenjokten. 
JHN.6.55	Iken ne akewàron naah togenske ne kahkwa, ok ne akenigwenghsa naah togenske ne kaghnegighratha. 
JHN.6.56	Raonha nene iraks akewàron ok raghnegirha ne akenigwenghsa, eghyehenderon iihne ok iih raonhage yekideron. 
JHN.6.57	Tsiniyought ne ronhe onwe ne ranihha rakhenha-on, ok iih ne konheghkon ne ranihha; eghniyought raonha nene iraks niih, iih naah ne; ronheghkon enkenhak. 
JHN.6.58	Kengayen naah ne etho kandarohle nene Karonyàge teyotsnenghton, yagh egh teyought tsiniyought tsirodikon ne Manna ne yetsighsotserakenhha, ok ronenhéyon; raonha nene iraka ne kengayen kanadarohk tsmiyehenwe aghronhek. 
JHN.6.59	Nene kengh ne hoyèren kanonghsagon ne synagogue, aghson tsishakorihhonyeni Capernaum tseragon. 
JHN.6.60	Yawetowanen kadi tsinihadi ne raotyonghkwa, ne onen tsironaghronken ne kengayen, wahhoniron, karighwanoron ne kengh tsinihoyèren, onghka ayegweni enyonigonghrayendane? 
JHN.6.61	Neonen ne Jesus, roddedògen ne raonigonràgon, tsi wathonderyendayendonwe ne raotyonghkwa, wahshakawenhaghse, yetshighswadènni ken ne ken? 
JHN.6.62	Oghnen-awen togat enghtsisewatkaghtho ne rongwe rowayeah enegen ensàreghde tsinonwe tʼhaweghton? 
JHN.6.63	Ne naah ne kanigonra ne waddidògatha; nene Owàron yaghothenon tewatshennonyatha, tsinikawénnage ne kwaghròri, naah ne kanigonra ok oni ne adonheta. 
JHN.6.64	Ok oddyake tsinitsyon, nene yaghten teseweghdaghkon. Iken Jesus tsidyodaghsawen tsiroderyendare, tsinihadih ne yaghten tehoneghdaghkon ok oni raonha nene enhonigonghràsere. 
JHN.6.65	Ok wahhenron, ne kadi wakwenhaghse, yagh onghka ne rongwe tʼahagweni iihne entreghte, togat yagh, ne Ragenihha ten horighwàwigh.
JHN.6.66	Ethone tondaghsawen yawetowanen ne raotyonghkwa eren sahhoneghte, yagh shegon wadogen teghsʼhonesgwe ne raonha. 
JHN.6.67	Ethone Jesus wahshakawenhaghse ne tekenishadire, eren ken oni enseweghde nʼise? 
JHN.6.68	Ethone Simon Peter tahharighwaseràgon, Sayàner, kàh nonwe, enyakweghte? ise se sawennenhhawi ne adonhèta eterna. 
JHN.6.69	Ok teyakweghtaghkon oni yadegagonte onwe yakweghre ise naah ne Christus, nene royeah ne ronhe-onwe Yehovah. 
JHN.6.70	Jesus saghshakawenhaghse, yagh ken ten kwayadaragwen tekenisenire, ok shayàdat tsinitsyon oneghshonghrònon naah? 
JHN.6.71	Ne roghtharaghkwen ne Judas Iscariot, ne Simon roye-ah; iken raonha naah nene aontah-honigonghràsere, rayàdare se ne tekenishadire.
JHN.7.1	Oghnagenge ne kengayen tsiniyawen-on Jesus rathahhaghkwe Galileetseràgon: iken yaghten hononwe-on nʼenhathahhak ne Jewry, ne wahhoni tsi rodirighwisakon ne Jewfhaga tsinenhadiyere nʼenhonwaryoh. 
JHN.7.2	Onen nonwa onontohha enwaderihwihhewe tsinihondennyodden ne Jewshaga ne tabernacles. 
JHN.7.3	Rondaddegen - ah kadi wahhonwenhaghse, eren seght ok Judeatseràgon yehàse, nene enhonderighwatkaghtho oni ne senntyoghkwa tsinikayodenghseròtense nene saryerha. 
JHN.7.4	Iken yaghonghka ne ongwe ogh ten hatyerha ne adaghseghtonge, ok raonha rarighwisaks agwegon enhonwayenderhen, togat nonken nene ken ne karihhotense ne satyerha, sadaddodaghsyon ongweghne. 
JHN.7.5	Iken ne rondaddegen-on yagh oni te tʼhoneghdaghkon ne raonhage. 
JHN.7.6	Ethone Jesus washakawenhaghse, tenwaderigh wihhewe niih tsiniwakerihhòten: ok dengh non tiutkon sewarhare nʼisi tsinisewarihhòten. 
JHN.7.7	Nene ongwe yaghten ondon enyetsighswense; ok iih yonkswense, ne wahhoni tsikerighwatròri, tsi wahhetken naah nene aoyòdenghsera. 
JHN.7.8	Ise etho enseweghte tsi yakodènnyode: yagh niih etho ten yehenke nonwa tsi yakodenoyode; iken arekho tʼenkaycrine tsinenwakerighwihhen. 
JHN.7.9	Neonen tsiwahshakawenhaghse nʼetho ne kawènnage, aghson egh yeh ennderondaghkwe Galileetseragon.
JHN.7.10	Ok denghnon ne onen tsi egh ronenonghton ne rondaddegen-son, ethone oni raonha egh wareghde tsiyakodennyode; yaghten ne wènon kehha ok denghnon tsiniyought ne adaghseghton kehha. 
JHN.7.11	Ethone ne Jewshaga ronwayadisakskwe tsi yakodènnyode, ok wahhoniron, kàh nene ise? 
JHN.7.12	Ok eso wathonderighwagenni ne ongwehogon raonha raoriwa: iken oddyake wahhoniron, rongwetiyon naah: tʼhikade wairon, yaghten ok denghnon ne shakomgonrhadenni ne ongwe. 
JHN.7.13	Ok sane yagh onghka ten honwatrori ne enyoghronkathak tsiniyctsànise ne Jewshaga.
JHN.7.14	Ethone sadewaghsenna yaweght tsiniʼkahhavrisgwe tsi yakodennyode Jesus etho wareghde Templetseragon, ok wahshakorihhonyen. 
JHN.7.15	Ok ne Jewshaga wahhadirighwaneghragon, rondon, oghníyought tsi raghyadonghserayendèri ne ken rongwe, yagh se ten honwarighhonyen? 
JHN.7.16	Jesus tehharighwàseragon, ok ràwen, tsini wakerighhòten yagh niih ten kewenniyoh, ok raonha denghnon raòwengh nene rakhenha-on. 
JHN.7.17	Togat nonken onghka kiok ne rongwe entharighwayèrit tsinireghre, enhonigonghrayendane tsinikarrihhòten, kàh tens gayen ne Yehovaghne, togat iihne tekewenninnegen-onhatye. 
JHN.7.18	Raonha nene radaddeghtharaghkwen rèsaks raogloria; ok denghnon raonha nene resaks raogloria nene ronha-on, nene sagat naah togenske, ok yaghten horíwayen ne wahhetkenglisera. 
JHN.7.19	Moses wahhy eghtsisewariwàwigh ne yoghtyawenratsera, ok shegcn yagh onghka tsinitsyan ten yontsteristha tfinikarrihhòten? ogh na ne yotyeren tsi takwaryohserene? 
JHN.7.20	Ok ne ongwe tʼhoderighwaghseragwen ok ronen, sayen ne-kanigonghraksen: onghka yesarjohferene? 
JHN.7.21	Jesus tahhadadi ok wahshakawenhaghse, skayodenghserat tsiniwakyerea, ok agwegon sewarighwaneghragwas. 
JHN.7.22	Moses kadi eghtsisewàwigh ne circoncision; (yagh ne degen aoriwa si Mosesne yoderighwinon ok denghnon ondaddenihnehha;) ok ise yawenndadogenghdonge
JHN.7.23	Togat nonken ne rongwe enhonwacirconcis ne yawenndadogenghdonge, nene yaghten aontayerighwàrighte tsinihorighwisson ne Moses; sewaghsense ken ne iih, neok aoriwa tsisabhitsyende, onwe ne rongwe ne yawenndadogenghdonge? 
JHN.7.24	Toghsa ok enekenkehha tfiwènon tesewayadòreght, ok denghnon yoderighwagwarighsyon tsiniyought egh tesewayadoreghthak. 
JHN.7.25	Ethone rònen oddyake ne Jerusalem radinakere, yagh ken ne de gen ne raonha, nene radirighwisaks ne enhonwaryoh? 
JHN.7.26	Ok denghnon rorihhowànen roghtharatye, ok vaghothenon ten ronwènni, agwagh ken ronaderyendare ne Radiyadagwenniyofe, tsi ne kengayen naah ne Christus? 
JHN.7.27	Ok sàne dewayenderi ne ken rongwe tsinithawènon; ok ne onen Christus entreghte, yaghonghka ne ongwe ten yeyendèri tsinithawènon. 
JHN.7.28	Ethone tahhadewennayendon, aghson tsishakorighlionyèni, radonnyon, takwayenderi ok oni sewayenderi; tsinitewakénon: yagh oni iih akenigonra tsi kerigh wakewe, ok raonha ne rakhenhaon togenske naah, yaghten eghtsisewayendèri nene. 
JHN.7.29	Ok denghnon riyendèri: iken egh tewakyenghdaghkwe, ok raonha ne rakhenha-on. 
JHN.7.30	Ethone wahhaderighwisake nʼenhonwayèna: ok denghnon yagh onghka nʼongwe oghten honwayèren, ne wahhoni arekho aontenwaderighwihhewe tsinihonwarighwisià-enni. 
JHN.7.31	Ok yawetowànen ne ongwe wathoneghtagh-ken raonhage, ok wahhoniron, neonen Christua entre senha ken yotighwaneghragwaghtanyon tsinenhàyere tsiniyought ne ken rongwe tsinihoyèren? 
