MAT.1.1	Tíhi mé chrónka nkexro kꞌuaxrjeníxin Jesucristo. Jesucristo mé kꞌuaxrjeníxin David la ko Abraham.
MAT.12.23	Ndá kaín chojni la kjuanchankíhi kícho sin ndáchro sin:
MAT.12.23	―¿Á jehya tíhi ti nkexro tsꞌaxrjeníxin David tjejóchóheni itsi ní?
MAT.12.24	―Ti nkexro í, la takitsje ti ncha̱kuén jínahña kixin chónta ti kjuachaxin kuènté Beelzebú, ti Jínahña tꞌe̱tue̱hen kaín ti jínahña.
MAT.12.25	Ndá ti ó kónohe chꞌin Jesús ti nkehe tjenka̱yáxin sin, la ndáchro chꞌan:
MAT.12.25	―Ti nkoko̱ahya tjenka̱yáxin ti gobierno ndá tjajo̱nko kícho la tsꞌitjáña ti chjasén. La kja̱xin ti ijnko chjasin nkoko̱ahya tjenka̱yáxin o̱ ti sin nkoko̱a nchia nkokónhña tjenka̱yáxin sin, la kja̱xin xi̱kaha séhya tsꞌejó sin, tsꞌitjáña sin. 
MAT.12.26	A̱ndá ti Satanás chrókuakitsje ti jínahña la kja̱ í chróchóntahya kjuachaxin na̱xa̱ chrókꞌue̱to̱an. 
MAT.12.27	A̱ndá ndáchrora kixin janhan takítsjexián ti ncha̱kuén jínahña kjuachaxíen Satanás. A̱ndá ti xi̱kaha la, ¿nkexro chjéhe kjuachaxin ti sin chréhe̱ ti jahara kixin tjacha sin tsakítsje sin ti ncha̱kuén jínahña? Jehe sin mé tja̱ko̱xi̱n sin kixin nduáhya ti nkehe tjénka̱yáxinra. 
MAT.12.28	A̱ndá janhan takítsjexián ti ncha̱kuén jínahña kjuachaxíen Ncha̱kuén Díos, la tíha tja̱ko̱xi̱n kixin ti kjuachaxin kuènté Díos la ó tjen ntihi.
MAT.12.29	’¿Xá nkexrín chrókꞌuixehen ijnko chojni ndo̱e ijnko nkexro imá tse̱he̱ la ko jie̱he, la chrókuakitsje ti nkehe chónta? ¿Á jehya sa̱o chrókjuinchenteto sin ti nkexro a, ndá jína chrókueé ti nkehe ní?
MAT.12.31	’Méxra̱ tjo̱nka̱ra kixin Díos tsjakjìin ti ijie̱ tjasin chojni la ko kaín nkehe jínahña nixja chojni, kjánchó ti nkexro tsꞌándaxínhi̱n ti Ncha̱kuén Díos la xrokjuahya tsjìin ti iji̱é sin. 
MAT.12.32	*La ko ti nkojín nkexro tsꞌándaxínhi̱n ti Xje̱en Díos kꞌóna Chojni la tsjìin ti iji̱é sin. A̱ndá ti nkexro tꞌándaxíhi̱n ti Ncha̱kuén Díos, la í tsi̱konòehña Díos ti jehe sin, la tsakjìinhña chꞌan ti iji̱é sin ntihi chjasintajni la ko ti ó ña̱o tsjixixín.
MAT.12.34	*Jahara tsíkꞌaxrjeníxinra konche. ¿Nkexrín chrónixjara ijnko nkehe jína ti jehya chojni jínara? Ti nkehe ndáchro a̱sén chojni mé xi̱kaha nixja. 
MAT.12.35	Ijnko chojni jína mé nixja ijnko nkehe jína kixin jína ti a̱sén sin. A̱ndá ijnko chojni tjenka̱yáxin nkehe jínahña la nixja ti nkehe jínahña tjenka̱yáxin kixin ti a̱sén sin la jínahña. 
MAT.12.36	Kjánchó janhan ndáxrja̱n kixin ti ña̱o tsjixixín ti ó sinchekito̱exín Díos iji̱é chojni, la ntiha ticháxi̱n tsochronkani kaín ti nkehe nixjani 
MAT.12.37	kixin ti nkehe nixjani mé tsja̱ko̱xi̱n á kjuasini ijie̱ o̱ náhí.
MAT.12.38	―Maestro, tjinkaoni tsꞌikoni tsjáko̱xian ijnko kjuaxroan kixin tso̱noexíni nkexro ti jaha ―ichro sin.
MAT.12.39	―Ti chojni tjenka̱yáxin nkehe jínahña la ko titekakonhña Díos mé tjanchia kixin chrókjuákoxian ijnko kjuaxroan ijié. Kjánchó tsjáko̱xi̱nhña ninkehó kjuaxroan, jehó ti kjuaxroan kóhen Jonás, ti nkexro kꞌuéchronka itén Díos ósé. 
MAT.12.40	*Kixin éxi Jonás kjuákꞌe nkaya tse̱e ijnko koche ijié iní ña̱o la ko iní tie, mé xi̱kaha tsjakꞌe nkaxehen tòye̱ ti Xje̱en Díos kꞌóna Chojni, iní ña̱o ko iní tie. 
MAT.12.41	*Méxra̱ ti ña̱o tsito̱exín iji̱é chojni la ti sin chjasin Nínive la tsꞌaya sin, tsjanchia sin ijie̱ kixin tsjasóte ti chojni siín ijie, kixin jehe sin la tuénxín kuíto̱he sin ti iji̱é sin ti ó kuíhin sin ti itén Díos chrónka Jonás. A̱ndá ijie itjen ijnko nkexro a̱ntsí chónta kjuachaxin ke Jonás. 
MAT.12.42	*Kja̱xin ti reina tsíkji̱xi̱n nó Sur mé tsꞌaya tjan ti ña̱o a, la tsjanchia tjan ijie̱ kixin tsjasóte sin, kixin jehe tjan ikjín kjui̱xi̱n tjan kuíhin tjan ti kjuaxrexinkaon jína kjuako Salomón. A̱ndá ijie itjen ijnko nkexro a̱ntsí nohe ke Salomón.
MAT.12.43	’Ti ó ijnko ncha̱kuén jínahña tꞌaxrjexín ijnko chojni, la sátji nte̱je̱ ti nonte xámá xritjeyá nketí tso̱kꞌèxín. A̱ndá ti tꞌitjahya nketí tso̱kꞌéxín, la ndáchro: 
MAT.12.44	“Ícha jína tsokjan ti nchia kꞌuaxrjéxi̱a̱n.” A̱ndá ti ó ikjan la tꞌikon éxi ijnko nchia tsíxéhe̱, tsíkótjóá la ko náxrjón tsjehe, 
MAT.12.45	a̱ndá ikjan sátjikakjín í yato ncha̱kuén jínahña a̱ntsí jínahña ke ti jehe, la tꞌixehen ti chojni, la ntiha tito̱he. A̱ndá ti chojni la ikjan a̱ntsí náxrjónhña ichꞌe, tjasin ijie̱ ke ti senó. Mé xi̱kaha tso̱hen kaín ti chojni tjejó ijie, kixin titekakonhña sin la tjasin sin ijie̱.
MAT.12.46	A̱ndá na̱xa̱ tjenixje̱he̱ chꞌin Jesús ti chojni kꞌuejó ntiha, la kjuíji ti ìñé chꞌan la ko ti sin kícho chꞌan. La ndója ó kuíto̱he sin la tjinkaon sin chrónixje̱he̱ sin chꞌan. 
MAT.12.47	Ndá ijnko nkexro itjen ntiha chenka ti chꞌin Jesús, ndáchro:
MAT.12.47	―Ìná la ko kichua tjejó sin ndója la tjinkaon sin tsonixja̱ha sin.
MAT.12.48	A̱ndá chꞌin Jesús kjuáte̱he, ndáchro:
MAT.12.48	―¿Xá nkexro ti na̱ná la ko ti kíchina?
MAT.12.49	Ndá kjua̱ko̱xi̱n itja chꞌan ti sin xriko chꞌan la ndáchro chꞌan:
MAT.12.49	―Ti sin i mé na̱ná la ko kíchina. 
MAT.12.50	Kaín ti chojni nchexiteyá ti nkehe tjinkaon Tꞌaná itjen nkaya nka̱jní mé tíha ti na̱ná la ko kíchina ―ichro chꞌan.
MAT.13.1	A̱ndá ti ña̱o a chꞌin Jesús kꞌuaxrjexín ti nchia la sákjuí kjuákꞌetja̱xi̱n chrínta nda̱ñao. 
MAT.13.2	*Ndá nchónhña chojni kóchjina ti itjen chꞌan, la kꞌui̱tꞌótjen chꞌan ijnko ntabarco kjuákꞌetja̱xi̱n chꞌan, la kaín ti chojni la chrínta ti ìnta̱ ó kꞌuejó sin. 
MAT.13.3	La itsjé nkehe kjuako chꞌan kjuíncheyóe̱xin chꞌan, ndáchro chꞌan:
MAT.13.3	―Ijnko chojni sákjuí tsꞌe̱nka̱ no̱nte̱e, 
MAT.13.4	a̱ndá na̱xa̱ itjen chꞌan nti̱a la iso ti noatje la xèjin chrínta nti̱a ndá ikui koxroxe la kjónie va ti noa. 
MAT.13.5	La iso ti noa mé kꞌuitjí chríkꞌá ixro̱, ndá tjoka kꞌuaña kixin ntiha la tsjéhya inche chónta, 
MAT.13.6	la ti ó kjui̱to̱n ña̱o la chjánxin la xámá kixin ni̱nkahya chónta nuèé. 
MAT.13.7	A̱ndá íso ti noatje la kꞌuitjí chríkꞌá ntachꞌi̱ la ntiha kꞌuaña ti ino, kjánchó kꞌuánkí kja̱xin ti ntachꞌi̱, la kꞌónahña ti noa kixin tsíkja̱te
MAT.13.8	A̱ndá íso ti noa la kꞌuitjí ti inche jína, la kꞌóna jína. Iso ti ino la kꞌóna ciento, íso la sesenta la ko treinta ñeno noa. 
MAT.13.9	Ti nkexro tihin la chrókuihin jína ―ichro chꞌin Jesús.
MAT.13.10	Ndá ti sin kꞌuájiko chꞌin Jesús mé kóchjina kjuanchankí, ndáchro:
MAT.13.10	―¿Nkekuènté kixin ti ó nixjehé ti chojni la ncheyoéxian ijnko nkehe? ―ichro sin.
MAT.13.11	A̱ndá chꞌin Jesús ndáchro:
MAT.13.11	―Jahara la Díos kjuajon kjuachaxin kixin tso̱nohara ti nkehe ninkexró noehña kuènté ti tꞌe̱to̱axín Díos itjen nkaya nka̱jní. A̱ndá jehe sin la náhí. 
MAT.13.12	*Ti nkexro chónta, la a̱ntsí tsꞌáyéhe̱ kixin a̱ntsí tsochónta. A̱ndá ti nkexro chóntahya, la kjónté ti ntsíkoá chónta, la tsꞌaxrjehe. 
MAT.13.13	Méxra̱ ti ó nixja̱ha̱ sin la ntayóa̱xián kixin jehe sin la kjónté tjejótsjehe sin la tꞌikonhña sin, kjónté tjejótihin sin, la tienhña sin la ko tienxínhña sin. 
MAT.13.14	*Mé xi̱kaha xiteyá ti nkehe chrónka Isaías, ti nkexro kꞌuéchronka itén Díos ósé, ndáchro:
MAT.13.14	Kjónté tjejotihínra la tsiénxinhñara,
MAT.13.14	kjónté tjejotsjehéra, la tsꞌikonhñara.
MAT.13.15	Kixin imá icha a̱sén ti chojni chjasin i.
MAT.13.15	Chónta sin ndatsjon sin, kjánchó tꞌikjéhe̱ sin,
MAT.13.15	chónta sin ikon sin, kjánchó tꞌikonhña sin,
MAT.13.15	Ti chrókꞌuikon sin
MAT.13.15	la ko chrókienxín sin
MAT.13.15	la chrókjan sin ti itjén janhan,
MAT.13.15	ndá janhan chrókjui̱ntakito̱ha̱ sin jína.
MAT.13.17	Chaxín ndáxrja̱n kixin itsjé ti sin kꞌuéchronka itén Díos la ko ti sin jína mé tjinkaon sin chrókꞌuikon sin ti nkehe tꞌikonra, la kꞌuíkonhña sin, la ko tjinkaon sin chrókuihin sin ti nkehe tjejotihínra, kjánchó kienhña sin.
MAT.13.18	’Tihínra nkehe tꞌaxrjexín ti nkexro sákjuikꞌe̱nka̱ no̱nte̱e. 
MAT.13.19	Ti nkexro tihin ti itan kuènté ti kjuachaxin tꞌe̱to̱axín Díos itjen nkaya nka̱jní ndá tienxínhña, la itsi ti jínahña la sinchekꞌitjáña ti itan jína kuíhin sin, mé tíha la éxi ti noatje kꞌuitsínka nti̱a. 
MAT.13.20	A̱ndá ti noatje kꞌuitsínka chríkꞌá ixro̱ mé tꞌaxrjexín ti nkexro tihin itén Díos la tjoka tóxrínhi̱n sin la imá chéhe̱ sin, 
MAT.13.21	kjánchó ni̱nkahya chónta nuèé, ndá ti ó itsi ijnko kjuaxikaon o̱ kjuaxróxinhña kixin titekaon sin itén Díos, ndá tuénxín tsíto̱he sin, í tsinkáchónkihya sin Díos. 
MAT.13.22	A̱ndá ti itje kꞌuitsínkakꞌá ntachꞌi̱ mé tꞌaxrjexín ti nkexro tihin ti itan jína, kjánchó na̱xa̱ imá tóxakohen sin tsochónta sin kaín nkehe siín chjasintajni la ko tjinkaon sin tsochónta sin itsjé chichaon. Kaín tíha mé tꞌinkákonhe̱n ti nkehe kuíhin sin, landá tjinkíhya sin ti nkehe tjenka̱yáxin sin, ndá xi̱kaha xitjahya sichꞌehe sin Díos ixra̱. 
MAT.13.23	A̱ndá ti noatje kꞌuinka ti inche jína mé tꞌaxrjexín ti nkexro tihin ti itén Díos la ko tienxín la jína chꞌehe ixra̱ Díos. La ti chojni i, la éxi ti noatje, ijnko la kꞌóna ciento la ko íso la kꞌóna sesenta la ko treinta ñeno noa ―mé xi̱kaha ichro chꞌin Jesús.
MAT.13.24	Ndá chꞌin Jesús kjuíncheyóe̱xin ínaá íjnko nkehe, ndáchro:
MAT.13.24	―Ti kjuachaxin tꞌe̱to̱axín Díos itjen nkaya nka̱jní mé yóhe̱ ijnko nkexro kꞌue̱nka̱ noatrigo ti no̱nte̱e. 
MAT.13.25	Kjánchó ti ó kꞌuejójua sin la ikui ti nkexro nínkakohen ti jehe sin la kꞌue̱nka̱kjan ti ika jehya jína chríkꞌá ti trigo landá sákjuí. 
MAT.13.26	A̱ndá ti ó kꞌuánkí ti ino trigo la kjuankíxin sítiá
MAT.13.27	Ndá ti sin chꞌexín xra̱ mé sákjuichenka sin ti chꞌin no̱nte̱e, ndáchro sin: “¿Á jehya noatje jína kuènka ti no̱nta̱a ní? A̱ndá ti xi̱kaha la, ¿nketí kjui̱xi̱n ti ka jehya jína, tsíkꞌañá?”, ichro sin. 
MAT.13.28	Ndá kjuáte̱he ìnché ti nonte, ndáchro: “Kjá ijnko ti chojni nínkakona kjuíchꞌe tíhi”, ichro chꞌan. Ndá ti sin chꞌexín xra̱ kjuanchankí ndáchro: “¿Á tjinkaoan kixin tsakítsjenkíni ti ika jehya jína ní?” 
MAT.13.29	Ndá ti chojni no̱nte̱e la ndáchro: “Náhí. Ti tsakítsjekíra ti ika jehya jína la kjá tsꞌaxrjenkíkué kja̱xin ti ino trigo. 
MAT.13.30	Ícha jína ti̱to̱héra tsꞌánkíkué ti ino trigo hasta ti ó tsotjájiani. Ndá tsétua̱ha̱n iso ti sin chꞌexín xra̱ kixin tsakítsjenkí sin sa̱o ti ika jehya jína la sinchenteto sin nkojnko manojo kixin tsoche, a̱ndá chrꞌéxi̱n tsoxrenájín ti noatrigo ndá tsꞌinkachjina jína.”
MAT.13.31	Ndá chꞌin Jesús kjuíncheyóe̱xin íjnko nkehe, ndáchro:
MAT.13.31	―Ti kjuachaxin tꞌe̱to̱axín Díos mé yóhe̱ éxi ijnko itje mostaza kꞌue̱nka̱xin ijnko chojni no̱nte̱e. 
MAT.13.32	A̱ndá ti itje la kjónté imá intsí la ti ó kꞌuaña ti inta mostaza la kꞌóna ijnko inta a̱ntsí ijié ke kaín ti íso nta la ti koxroxe la chꞌéna va ka̱ké va chríkꞌá ti inta.
MAT.13.33	Kja̱xin kjuíncheyóe̱xin chꞌan ndáchro chꞌan:
MAT.13.33	―Ti kjuachaxin tꞌe̱to̱axín Díos mé yóhe̱ éxi ti nkehe tꞌánkíxin nio̱tja̱. Kjuinkíkjaxín ijnko chojnichjin iní medida harina ndá kꞌuánkí ti ichꞌo.
MAT.13.34	Kaín tíhi níxja chꞌin Jesús kjuíncheyóe̱xin nkehe, a̱ndá ti ncheyóe̱xinhña chꞌan nkehe la ninkehó chrónkahya chꞌan. 
MAT.13.35	*Mé xi̱kaha xiteyá ti nkehe tsíchronka ti nkexro kꞌuéchronka itén Díos ósé ndáchro:
MAT.13.35	Tsoníxja iso nkehe la si̱ntayóa̱xián
MAT.13.35	la tso̱xrja̱nkaxian ti nkehe ómó itjen ninkexró noehña ndesi kjuíchꞌéna Díos ti chjasintajni.
MAT.13.36	Ndá ti ó kjuixin nixje̱he̱ chꞌin Jesús kaín ti chojni kꞌuejó ntiha, ndá kꞌuíxehen chꞌan nchia. La kóchjina ti sin kꞌuájiko chꞌan, la ndáchro sin:
MAT.13.36	―Chro̱nkaxian nkehe tꞌaxrjexín ti ika jehya jína kꞌuánkíkué ti ino trigo ti nonte ―ichro sin.
MAT.13.37	Ndá kjuáte̱he chꞌin Jesús ndáchro:
MAT.13.37	―Ti nkexro kꞌue̱nka̱ ti noa jína, mé ti Xje̱en Díos kꞌóna Chojni. 
MAT.13.38	Ti nonte mé ti chjasintajni. A̱ndá ti noa jína mé ti chojni chónta ti kjuachaxin kuènté Díos. A̱ndá ti ika jehya jína mé yóhe̱ ti chojni tꞌe̱tue̱hen ti Jínahña. 
MAT.13.39	Ti nkexro nínkakona kꞌue̱nka̱ ti ika jehya jína, mé ti Jínahña. A̱ndá ti ó tsotjá sin ti noa mé ti tsjeje̱ chjasintajni la ti sin tsotjá mé ti sin ángel. 
MAT.13.40	Mé xi̱kaha éxi ti ika jehya jína xrenájín kixin tsoche mé xi̱kaha tso̱hen ti ó tsjeje̱ chjasintajni. 
MAT.13.41	A̱ndá ti Xje̱en Díos kꞌóna Chojni mé tsochrꞌán ti ángel kuènté kixin tsakítsjexín ti tjetꞌe̱to̱a̱xín Díos kaín ti chojni tjachróe íso chojni tsjasin ijie̱ la ko ti chojni ichꞌe nkehe jínahña. 
MAT.13.42	La tsochrꞌán sátsji ti itja̱ siín xrohi la ntiha tsotsjánka sin la ko sinietaón sin ñeno sin. 
MAT.13.43	Ndá kaín ti nkexro nchexiteyá ti nkehe tjinkaon Díos, mé tsꞌejó sin éxi ti ña̱o, tsꞌinkaséñaxín sin ti tꞌe̱to̱axín Itꞌéni Díos. Ti nkexro tihin la chrókuihin jína ―ichro chꞌin Jesús.
MAT.13.44	Kja̱xin ndáchro chꞌan:
MAT.13.44	―Ti kjuachaxin tꞌe̱to̱axín Díos mé yóhe̱ éxi ijnko nkehe tjete tjemá ijnko nonte. Ndá ijnko chojni kꞌuitja ti nkehe tjete la kjua̱kꞌe̱ma̱ ínaá. Ndá imá chéhe̱ sákjuí la kjuínchekji kaín ti nkehe chónta ndá ikjan la kꞌue̱na ti nonte a.
MAT.13.45	Kja̱xin ndáchro chꞌan:
MAT.13.45	―Ti kjuachaxin tꞌe̱to̱axín Díos mé kja̱xin yóhe̱ éxi ijnko nkexro xritjeyá ijnko xro̱ perla tjete sínkí. 
MAT.13.46	Ndá ti ó kꞌuitja ijnko ti ixro̱ imá tjete la sákjuí la kjuínchekji kaín ti nkehe chónta ndá kꞌue̱na ti xro̱ perla a.
MAT.13.47	La kja̱xin ndáchro chꞌin Jesús:
MAT.13.47	―Ti kjuachaxin tꞌe̱to̱axín Díos mé yóhe̱ éxi ijnko nchísén tꞌenkí sin ìnta̱ la itsé nchónhña koche. 
MAT.13.48	Ndá ti ó kaón va ti nchísén la takítsjenkí sin la tjakꞌe sin chrínta ti ìnta̱, la ntiha tꞌejótja̱xi̱n sin tꞌíchéhe sin ti koche jína la tꞌe̱nka̱ sin ntaxra. A̱ndá ti koche jehya jína la itꞌé sin. 
MAT.13.49	Mé xi̱kaha tso̱hen ti ña̱o tsjixixín. Itsi ti sin ángel la tsakítsjekjan sin ti chojni jína la ko ti chojni kjuíchꞌe nkehe jínahña. 
MAT.13.50	La tsochrꞌán sin ti chojni kjuíchꞌe nkehe jínahña ti itja̱ siín xrohi la ntiha tsotsjánka sin la ko sinietaón sin ñeno sin.
MAT.13.51	Ndá chꞌin Jesús kjuanchankíhi ti sin kꞌuájiko, ndáchro:
MAT.13.51	―¿Tiénxinra kaín ti nkehe kjuàkua ní? ―ichro chꞌan.
MAT.13.51	Ndá kjuáte̱he sin, ndáchro sin:
MAT.13.51	―Jeén, Ìnchéni ―ichro sin.
MAT.13.52	Ndá ti kjuixixín la ndáchro chꞌan:
MAT.13.52	―Ijnko maestro nohe kuènté ti ley la tienxín ti kjuachaxin tꞌe̱to̱axín Díos mé yóhe̱ éxi ijnko ìnché nchia chónta nkehe tjete tjechjina, la nohe tsakítsje ti nkehe ni̱xin la ko ti nkehe ndaxin ―ichro chꞌin Jesús.
MAT.13.53	Ndá ti ó kjuixin nixja chꞌin Jesús, kjuíncheyóe̱xin itsjé nkehe, la sákjuixin ntiha. 
MAT.13.54	Sákjuí chꞌan ti chjasén chꞌan, Nazaret. Ndá ntiha kjuankíxin kjuako chꞌan kjuákꞌe chꞌan ti nchia xrakue̱xin ti sin judío. Ndá itsjé sin kuíhin sin ti nkehe tjako chꞌan la ndáchro sin:
MAT.13.54	―¿Xá nketí tsíxrako̱he̱ ti nkexro i, kixin imá nohe la ko nkexrín kixin tjasin chꞌan itsjé kjuaxroan ijié? 
MAT.13.55	¿Xá jehya tíhi ti xje̱en ti carpintero, la ti ìñé chꞌan la xá jehya María itꞌin ní? La ko, ¿xá jehya ti kícho chꞌan Santiago, José, Simón la ko Judas ní? 
MAT.13.56	Kja̱xin ti sin chjin, kícho chꞌan la ntihi tjejókoni sin. Ndá, ¿nkexrín kixin nohe chꞌan kaín ti nkehe í?
MAT.13.57	―Ijnko nkexro chronka itén Díos la nkuíxín tjikosáyehe sin, kjánchó ti sin chjasén chꞌan la ko ti chojni ndo̱e chꞌan la tjikosayéhya sin ti nkexro a ―ichro chꞌin Jesús.
MAT.13.58	Ndá xi̱kaha tsjéhya kjuaxroan kjua̱ko̱xi̱n chꞌan ntiha kixin kuítekakonhña sin ti jehe chꞌan.
MAT.14.1	A̱ndá ti ña̱o a, la chꞌin Herodes, ti nkexro kꞌue̱to̱an Galilea, mé kuíhin chꞌan kuènté ti kjuaxroan kjuasin chꞌin Jesús. 
MAT.14.2	Ndá nixje̱he̱ chꞌan ti sin tjejóko chꞌan, ndáchro chꞌan:
MAT.14.2	―Tíha la kjá Juan Bautista tsíxechón kixin chónta kjuachaxin tjasin ti kjuaxroan a ―ichro chꞌin Herodes.
MAT.14.4	*Kixin chꞌin Juan tsíndáchro: “Kohya kjuachaxin tsochonta ti tjan í, éxi ichjián.”
MAT.14.5	Ndá chꞌin Herodes tjinkaon chrókꞌóñá ti chꞌin Juan, kjánchó chráko̱nhe̱n chꞌan ti chojni kixin kaín sin la kjuíkosáyehe sin ti chꞌin Juan kixin nixja chꞌan itén Díos. 
MAT.14.6	A̱ndá ti ña̱o kié chꞌin Herodes, la ti xje̱en tjan Herodías mé ité tjan nkayakon ti sin kóchjina la imá kóxríhi̱n ti chꞌin Herodes nkexrín ité tjan. 
MAT.14.7	La ndáchro chꞌan:
MAT.14.7	―Díos tetsjehe kixin tsotjahá kaín ti nkehe tsjanchia ―ichro chꞌan. 
MAT.14.8	Ndá sa̱o kjuanchankíhi tjan ìñé tjan, ndá ti ìñé tjan ndáchro kixin tsoxranchia ikja ti chꞌin Juan, ndá xi̱kaha kjuanchia tjan, ndáchro tjan:
MAT.14.8	―Chje̱héni ikja ti chꞌin Juan Bautista tsjakꞌenkáya ijnko plato ―ichro tjan.
MAT.14.9	Ndá ti rey Herodes la imá kꞌuává chꞌan kixin ó sa̱o kjuínchenohe chꞌan Díos kixin xi̱kaha tsjajon chꞌan ti nkehe tsjanchia tjan, la kuíhin kaín ti sin tsíkóchjina. Ndá kjónté kꞌue̱to̱an chꞌan kixin xi̱kaha tso̱hen, 
MAT.14.10	la kꞌue̱to̱an chꞌan kixin tsochrijin ikja ti chꞌin Juan techjína ndo̱echjiso. 
MAT.14.11	Ndá ti ó kjui̱ka̱o sin ti ikja chꞌin Juan tjenkáya ijnko plato la kjuajon sin, kuákja ti tjan tjarisoá, ndá jehe tjan sákjuikehen tjan ti ìñé tjan.
MAT.14.12	Ndá ikjui ti sin kꞌuájiko chꞌin Juan la kuakitsje sin ti cuerpo kuènté chꞌan la kjua̱vá sin. Ndá ti ó kjuixin, la sákjuichenka sin chꞌin Jesús ti nkehe kóhen.
MAT.14.13	A̱ndá ti ó kuíhin chꞌin Jesús kixin xi̱kaha kóhen, la kꞌui̱tꞌótjen chꞌan jehó chꞌan ijnko ntabarco la sákjuí chꞌan ijnko nonte kohya ninkexró. La ti ó kaín chojni kuíhin nketí itjen chꞌan la kꞌuaxrjexín sin chjasén sin, la to̱tó sin sákjuichréhe̱ sin chꞌan. 
MAT.14.14	Ndá ti kꞌuínkaji̱nxi̱n chꞌin Jesús ti ntabarco, ndá kꞌuíkon chꞌan kixin itsjé chojni kꞌuejó ntiha, la kui̱konoéhe̱ chꞌan sin la kjuínchekito̱he chꞌan jína kaín ti sin níhi. 
MAT.14.15	Ndá ti ó kóndanonte, la ti sin kꞌuájiko chꞌan la kóchjina, ndáchro:
MAT.14.15	―Ó kóndanonte la kohya nkehe chjinaxón ntihi. Ícha jína chrónixjehé sin kixin sáchrokjui sin ijnko chjasin chjinaxón, chrókꞌue̱na sin nkehe chrókjonie sin ―ichro ti sin kꞌuájiko chꞌan.
MAT.14.16	Ndá kjuáte̱he chꞌin Jesús, ndáchro:
MAT.14.16	―Náhí. Ticháxi̱nhña sátsji sin. Jahara chje̱héra sin nkehe sinie sin ―ichro chꞌan.
MAT.14.17	A̱ndá jehe sin kjuáte̱he sin, ndáchro sin:
MAT.14.17	―Ntihi la jehó chóntani inꞌó nio̱tja̱ la ko yaá koche ó ―ichro sin.
MAT.14.18	Ndá chꞌin Jesús ndáchro:
MAT.14.18	―Xrákoara ntihi ti nkehe.
MAT.14.19	Ndá kꞌue̱to̱an chꞌan kixin kaín sin tsꞌejótja̱xi̱n sin ti siín kaxi. Ndá kuákja chꞌan ti nio̱tja̱ la ko ti koche la tsjehe chꞌan nka̱jní la chjéhe chꞌan Díos kjuasáya. Ndá kóchrítꞌo̱ chꞌan ti nio̱tja̱, la chjéhe chꞌan ti sin kꞌuájiko chꞌan, ndá jehe sin kꞌóxika̱ye̱he sin nkojnko ti chojni siín ntiha. 
MAT.14.20	La kaín sin kjónie sin jína la kókje̱he sin, la ti ó kjuixin kjónie sin, ndá ti sin kꞌuájiko chꞌin Jesús la kjuenájín sin kaín ti to̱tꞌo̱ nio̱tja̱ tsíxehe̱ la kaón teyó ntaxra. 
MAT.14.21	Mé xi̱kaha kjónie inꞌó mil chojnindoa, la ti síchjin la ko chájan la kuákjahya sin kuentá nkekja̱ín.
MAT.14.22	Ndá chrꞌéxi̱n kꞌue̱tue̱hen chꞌin Jesús ti sin kꞌuájiko chꞌan kixin tsi̱tꞌótjen sin ti ntabarco la tsꞌatsínka sin ti íjnko tóhe nda̱ñao. A̱ndá jehe chꞌan la ntahó kuito̱he chꞌan, nixje̱he̱ chꞌan ti sin kꞌuejó ntiha. 
MAT.14.23	Ndá ti ó kjuixin nixje̱he̱ chꞌan kaín ti sin a, la chrìin chꞌan ijnko ijna̱ jehó chꞌan, kixin tsonixje̱he̱ chꞌan Díos. La kjónté ó kꞌuíxin tie la jehó chꞌin Jesús itjen ntiha. 
MAT.14.24	La ti ntabarco la ó kjuíji nko̱siñe nda̱ñao. La kjuankíxin chjéhe xri̱nto̱ la síkjaminkí ti ìnta̱, tꞌitja̱ton ti ntabarco la xitjahya itji. 
MAT.14.25	A̱ndá ti ó na̱ndóye, la chꞌin Jesús sákjuichréhe̱ chꞌan ti jehe sin. To̱tó chꞌan tjitaón chꞌan ti nda̱ñao kóchjina chꞌan ti tjejó sin. 
MAT.14.26	Landá ti ó kꞌuíkon ti sin kꞌuájiko chꞌan kixin tetjitaón chꞌan ìnta̱, la imá chrákon sin la kꞌóyako sin, ndáchro sin:
MAT.14.26	―¡Kjuachani! ―ichro sin.
MAT.14.27	La chꞌin Jesús tuénxín nixje̱he̱ chꞌan sin, ndáchro chꞌan:
MAT.14.27	―Tóxakuanhñara. Janhan kjuihá, chrakonhñara ―ichro chꞌan.
MAT.14.28	Ndá chꞌin Pedro ndáchro:
MAT.14.28	―Ìnchéni, ti chaxín jaha la této̱an kixin tsjixíni to̱téni chritaón ìnta̱ hasta ti itjen jaha ―ichro chꞌan.
MAT.14.29	Ndá chꞌin Jesús ndáchro:
MAT.14.29	―Xrákia.
MAT.14.29	Ndá chꞌin Pedro tuénxín kꞌuínkaji̱nxi̱n chꞌan ti ntabarco, la kjuankíxin ikjuí chꞌan chritaón ti nda̱ñao, sákjuí chꞌan ti itjen chꞌin Jesús 
MAT.14.30	Ndá xrína̱hña kónohe chꞌan kixin imá chjéhe xri̱nto̱ la síchriká ti ìnta̱, ndá imá chrákon chꞌan la kjuankíxin kꞌuaniánkí chꞌan ìnta̱, la kꞌóyako chꞌan, kꞌuéya chꞌan, ndáchro chꞌan:
MAT.14.30	―¡Ìnchéni, nchekaáni! ―ichro chꞌan.
