GEN.1.1	Alussa Jumala loi taivaat ja maan. 
DEU.29.2	Nuo suuret koettelemukset ja nuo suuret tunnusteot ja ihmeet te näitte omin silmin. 
DEU.29.3	Tähän päivään mennessä 
DEU.29.4	Minä kuljetin teitä autiomaassa neljäkymmentä vuotta, mutta vaatteet eivät kuluneet yltänne eivätkä kengät jaloistanne. 
DEU.29.5	Te ette saaneet leipää syödäksenne ettekä viiniä tai väkijuomaa juodaksenne, jotta tietäisitte, että minä olen 
DEU.29.6	 Kun tulimme tähän paikkaan, Siihon, Hesbonin kuningas, ja Oog, Baasanin kuningas, lähtivät sotimaan meitä vastaan, mutta me löimme heidät. 
DEU.29.7	Me otimme haltuumme heidän maansa ja annoimme sen perintöosaksi ruubenilaisille ja gaadilaisille sekä toiselle puolelle Manassen heimoa. 
DEU.29.8	Noudattakaa siis tämän liiton sanoja ja toimikaa niiden mukaan, että menestyisitte kaikessa, mitä teette. 
DEU.29.9	Te kaikki seisotte tänä päivänä 
DEU.29.10	 lapsenne ja vaimonne sekä myös muukalaiset, puunhakkaajat ja vedenkantajat, jotka ovat leirissänne. 
DEU.29.11	 Te olette astumassa 
DEU.29.12	 korottaakseen sinut kansakseen ja ollakseen sinun Jumalasi, niin kuin hän on sinulle puhunut ja niin kuin hän on vannonut sinun isillesi Abrahamille, Iisakille ja Jaakobille. 
DEU.29.13	Minä en tee tätä liittoa, tätä valaliittoa, ainoastaan teidän kanssanne, 
DEU.29.14	 jotka tänä päivänä olette tässä meidän kanssamme, 
DEU.29.15	 Sillä te tiedätte, että me asuimme Egyptin maassa ja että me kuljimme niiden kansojen keskitse, joiden alueiden kautta te olette kulkeneet. 
DEU.29.16	 Te näitte ne iljettävät puiset, kiviset, hopeiset ja kultaiset jumalankuvat, joita heillä on. 
DEU.29.17	 Älköön siis joukossanne olko miestä tai naista, sukua tai heimoa, jonka sydän on tänä päivänä kääntynyt pois 
DEU.29.18	ja ettei kukaan tämän valan sanat kuullessaan siunaisi itseään sydämessään ja ajattelisi: ’Minun käy hyvin, vaikka vaellankin paatunein sydämin.’ Näin hän tuhoaa sekä vettä saaneen että kuivan maan. 
DEU.29.21	Tulevat sukupolvet, teidän lapsenne, jotka nousevat teidän tilallenne, ja kaukaisesta maasta tulevat muukalaiset näkevät sitä maata kohtaavat vitsaukset ja sairaudet, joilla 
DEU.29.22	 tulikiven ja suolan, koko maan kuin poltettuna, niin ettei siihen kylvetä eikä se kasva edes ruohoa. Käy niin kuin silloin, kun Sodoma ja Gomorra, Adma ja Seboim hävitettiin, kun 
DEU.29.23	Silloin kaikki kansat kysyvät: ’Minkä vuoksi 
DEU.29.24	Heille vastataan: ’Sen tähden, että he hylkäsivät liiton, jonka 
DEU.29.25	 ja alkoivat palvella ja kumartaa muita jumalia, joita he eivät tunteneet ja joita hän ei ollut heidän osakseen jakanut. 
DEU.29.26	 Siksi 
DEU.29.28	 Salatut asiat kuuluvat 
DEU.30.1	”Kun kaikki tämä kohtaa sinua, siunaus niin kuin kirouskin, jotka minä olen asettanut sinun eteesi, niin silloin sinä menet itseesi kaikkien kansojen keskellä, joiden luo 
DEU.30.2	Sinä palaat 
DEU.30.3	 Silloin 
DEU.30.4	Vaikka sinut olisi karkotettu maan ääriin , 
DEU.30.8	 Silloin sinä kuuntelet jälleen 
DEU.30.10	kun sinä kuuntelet 
DEU.30.11	Tämä käsky, jonka minä tänä päivänä sinulle annan, ei ole sinulle liian vaikea täyttää eikä liian kaukana. 
DEU.30.12	 Se ei ole taivaassa, niin että sinun tarvitsisi sanoa: ’Kuka nousee meidän puolestamme taivaaseen noutamaan sen ja julistaa sen meille, että voisimme noudattaa sitä?’ 
DEU.30.13	Se ei ole myöskään meren takana, niin että sinun tarvitsisi sanoa: ’Kuka menee meidän puolestamme meren taa noutamaan sen ja julistaa sen meille, että voisimme noudattaa sitä?’ 
DEU.30.14	 Sana on aivan lähellä sinua, sinun suussasi ja sydämessäsi, niin että voit sen täyttää.” 
DEU.30.15	”Katso, minä panen tänä päivänä sinun eteesi elämän ja hyvän, kuoleman ja pahan, 
DEU.30.16	 kun minä käsken sinun rakastaa 
DEU.30.17	 Mutta jos sydämesi kääntyy pois etkä ole kuuliainen, vaan annat vietellä itsesi kumartamaan muita jumalia ja palvelemaan niitä, 
DEU.30.18	niin minä ilmoitan teille tänä päivänä, että te totisesti tuhoudutte ettekä elä kauan siinä maassa, jota menette ottamaan omaksenne Jordanin tuolta puolen. 
DEU.30.19	 Minä otan tänä päivänä taivaan ja maan todistajiksi teitä vastaan, että minä olen pannut sinun eteesi elämän ja kuoleman, siunauksen ja kirouksen. Valitse siis elämä, että sinä ja sinun jälkeläisesi saisitte elää. 
DEU.30.20	Rakasta 
DEU.31.1	Kun Mooses oli puhunut koko Israelille nämä sanat, 
DEU.31.2	 hän sanoi heille: ”Minä olen nyt sadankahdenkymmenen vuoden vanha. En voi enää kulkea teidän edellänne, sillä 
DEU.31.3	Mutta 
DEU.31.6	 Olkaa lujia ja rohkeita! Älkää pelätkö älkääkä säikkykö heitä, sillä 
DEU.31.7	Mooses kutsui Joosuan esiin ja sanoi hänelle koko Israelin edessä: ”Ole luja ja rohkea, sillä sinä saat mennä tämän kansan kanssa siihen maahan, jonka 
DEU.31.9	Mooses kirjoitti tämän lain ja antoi sen papeille, Leevin jälkeläisille, jotka kantoivat 
DEU.31.10	 Mooses antoi heille tämän käskyn: ”Joka seitsemäs vuosi, määräaikaan vapautusvuotena, lehtimajanjuhlassa, 
DEU.31.11	 kun koko Israel tulee koolle 
DEU.31.12	Kootkaa kansa, miehet, naiset ja lapset sekä porttiesi sisällä asuvat muukalaiset, että he kuulisivat sen ja oppisivat pelkäämään 
DEU.31.13	 Näin myös heidän lapsensa, jotka eivät vielä sitä tunne, kuulevat sen ja oppivat pelkäämään 
DEU.31.17	 Sinä päivänä minun vihani syttyy sitä vastaan, minä hylkään sen ja peitän siltä kasvoni. Se joutuu riistettäväksi , ja suuret onnettomuudet ja ahdistukset kohtaavat sitä. Sinä päivänä se sanoo: ’Eivätkö nämä onnettomuudet ole kohdanneet minua siksi, ettei Jumalani ole keskelläni?’ 
DEU.31.18	 Mutta silloin minä peitän kasvoni kokonaan kaiken sen pahan tähden, mitä se on tehnyt kääntymällä muiden jumalien puoleen. 
DEU.31.19	 Kirjoita nyt itsellesi tämä laulu ja opeta se israelilaisille, niin että se on heidän huulillaan. Näin tämä laulu on minun todistajani israelilaisia vastaan. 
DEU.31.20	 Minä vien Israelin siihen maahan, josta minä vannoin valan heidän isilleen, maahan, joka vuotaa maitoa ja hunajaa. He saavat syödä kyllikseen ja lihovat. Kuitenkin he kääntyvät muiden jumalien puoleen ja palvelevat niitä. He halveksivat minua ja rikkovat minun liittoni. 
DEU.31.21	 Kun suuret onnettomuudet ja ahdistukset kohtaavat heitä, tämä laulu on todistajana heitä vastaan, sillä se ei unohdu heidän jälkipolviensa suusta. Minä tiedän heidän aikomuksensa, jotka heillä on tänä päivänä, jo ennen kuin minä olen vienyt heidät siihen maahan, josta minä olen vannonut heille valan.” 
DEU.31.22	 Mooses kirjoitti laulun samana päivänä ja opetti sen israelilaisille. 
DEU.31.23	Sitten Herra antoi Joosualle, Nuunin pojalle, tämän käskyn: ”Ole luja ja rohkea, sillä sinä viet israelilaiset siihen maahan, jonka minä valalla vannoen olen heille luvannut. Minä olen sinun kanssasi.” 
DEU.31.24	Kun Mooses oli kirjoittanut loppuun asti kirjaan tämän opetuksen sanat, 
DEU.31.25	 hän antoi 
DEU.31.26	 ”Ottakaa tämä lain kirja ja pankaa se 
DEU.31.27	 Minä tunnen teidän kapinallisuutenne ja uppiniskaisuutenne. Kun minun vielä eläessäni teidän keskellänne te jatkuvasti kapinoitte 
DEU.31.28	 Kootkaa minun luokseni kaikki heimojenne vanhimmat ja johtomiehenne. Minä tahdon puhua heille nämä sanat ja ottaa taivaan ja maan todistajiksi heitä vastaan, 
DEU.31.29	sillä minä tiedän, että minun kuoltuani te vaellatte kelvottomasti ja käännytte pois siltä tieltä, jota minä käskin teidän vaeltaa. Aikojen lopulla teitä kohtaa onnettomuus, koska te teette sellaista, mikä on pahaa 
DEU.31.30	Sitten Mooses lausui koko Israelin seurakunnan kuullen alusta loppuun asti tämän laulun sanat: 
DEU.32.1	”Kuunnelkaa, taivaat, kun minä puhun, ja kuulkoon maa minun suuni sanat. 
DEU.32.2	Sateena pisaroikoon opetukseni, kasteena valukoon puheeni niin kuin pisarat ruohikolle, kuin sadekuurot nurmikolle, 
DEU.32.3	 sillä minä julistan 
DEU.32.4	Hän on kallio, hänen tekonsa ovat täydelliset, kaikki hänen tiensä ovat oikeat. Hän on uskollinen Jumala, vääryyttä hänessä ei ole, hän on vanhurskas ja oikeamielinen. 
DEU.32.5	 Kelvottomasti rikkoo häntä vastaan tuo nurja ja kiero sukupolvi. He eivät ole hänen lapsiaan vaan ovat häpeätahra. 
DEU.32.6	Näinkö sinä palkitset 
DEU.32.7	Muistele muinaisia päiviä, ajattele menneiden sukupolvien vuosia. Kysy isältäsi, niin hän kertoo sen sinulle, vanhimmiltasi, niin he sen sinulle sanovat. 
DEU.32.8	 Kun Korkein jakoi kansoille perinnöt, kun hän erotteli ihmiset, hän määräsi kansojen rajat israelilaisten luvun mukaan. 
DEU.32.9	Sillä 
DEU.32.10	Herra löysi hänet autiomaasta, autiosta, ulvovasta erämaasta. Herra otti Jaakobin hoiviinsa ja opetti häntä, suojeli häntä kuin silmäteräänsä. 
DEU.32.11	 Niin kuin kotka houkuttelee pesuettaan lentoon ja liitelee poikastensa suojana, levittää siipensä, ottaa poikasensa ja kantaa niitä siivillään, 
DEU.32.12	niin 
DEU.32.13	 Herra kuljetti sitä vaunuilla maan kukkuloiden yli, ja se sai syödä pellon antimia. Herra antoi sen imeä hunajaa kalliosta, öljyä kovasta kivestä. 
DEU.32.14	 Se sai nauttia voita lehmistä, maitoa lampaista ja karitsojen rasvaa. Se sai syödä Baasanin pässejä ja vuohia ja vehnän parasta ydintä. Sinä sait juoda viiniä, rypäleen verta. 
DEU.32.15	Mutta Jesurun lihoi ja alkoi potkia, ja hänestä tuli lihava, paksu ja äksy. Hän hylkäsi Jumalan, joka oli tehnyt hänet, ja halveksi pelastuksensa kalliota. 
DEU.32.16	 Hän herätti Jumalan kiivauden vierailla jumalillaan, vihoitti hänet iljetyksillään. 
DEU.32.17	 He uhrasivat riivaajille, eivät Jumalalle. He uhrasivat jumalille, joita eivät tunteneet, uusille, äsken tulleille, joita teidän isänne eivät tunteneet . 
DEU.32.18	Sinä et välittänyt Kalliosta, joka sinut synnytti, unohdit Jumalan, joka antoi sinulle elämän. 
DEU.32.20	 Hän sanoi: ’Minä peitän heiltä kasvoni, tahdon nähdä, mikä heidän loppunsa on. He ovat nurja sukupolvi, lapsia vailla uskollisuutta. 
DEU.32.21	 He ovat kiivastuttaneet minut jumalilla, jotka eivät ole jumalia, vihoittaneet minut turhuuksillaan. Niinpä minäkin kiivastutan heidät kansalla, joka ei ole kansa, vihoitan heidät houkkamaisella pakanakansalla. 
DEU.32.22	Sillä minun vihani tuli on syttynyt, se leimuaa tuonelan syvyyksiin asti. Se ahmii maan satoineen ja polttaa vuorten perustukset. 
DEU.32.23	Minä kasaan heidän päälleen onnettomuuksia, ammun heihin kaikki nuoleni, 
DEU.32.24	 näännyttävän nälän, polttavan kuumetaudin ja hävittävän ruton. Minä lähetän heidän kimppuunsa raatelevia petoja ja maassa matelevia myrkkykäärmeitä. 
DEU.32.25	Ulkona surmaa miekka ja sisällä kauhu. Nuorukaiset ja neitsyet saavat surmansa, niin myös imeväiset ja harmaapäät. 
DEU.32.26	Minä olisin tuhonnut heidät ja hävittänyt heidän muistonsa ihmisten mielestä, 
DEU.32.27	 ellen olisi varonut vihollisen pilkkaa ja sitä, että vastustajat sanovat vääristellen: ’Meidän kätemme oli voitokas, ei 
DEU.32.28	Israel on neuvoton kansa, sillä ei ole ymmärrystä. 
DEU.32.29	 Jos he olisivat viisaita, he käsittäisivät tämän, he ymmärtäisivät, mikä on heidän tulevaisuutensa. 
DEU.32.30	 Kuinka yksi voisi ajaa takaa tuhatta, kuinka kaksi saisi pakenemaan kymmenentuhatta, ellei heidän kallionsa olisi heitä myynyt ja Herra luovuttanut heitä! 
DEU.32.31	 Sillä heidän kallionsa ei ole niin kuin meidän kalliomme. Näin vihollisemmekin päättelevät. 
DEU.32.32	 Sodoman viiniköynnöksiä ovat heidän köynnöksensä, Gomorran pengermiltä ne ovat peräisin. Heidän rypäleensä ovat myrkkyrypäleitä, heidän rypäleterttunsa ovat karvaita. 
DEU.32.33	 Lohikäärmeitten myrkkyä on heidän viininsä, kyykäärmeitten kauheaa myrkkyä. 
DEU.32.34	 Eikö tämä kaikki ole minulla tallessa, sinetöitynä varastoissani? 
DEU.32.35	 Minun ovat kosto ja palkanmaksu. Ne odottavat aikaa, jolloin heidän jalkansa horjuvat. Heidän onnettomuutensa päivä on lähellä, heidän määräaikansa tulee rientäen. 
DEU.32.37	Hän sanoo: ’Missä ovat heidän jumalansa, missä kallio, johon he turvasivat? 
DEU.32.38	 Missä ovat nyt ne, jotka söivät heidän teurasuhriensa rasvan ja joivat heidän juomauhriensa viinin? Nouskoot ne auttamaan teitä, olkoot ne kätköpaikkana teille. 
DEU.32.39	Nähkää nyt, että minä, minä se olen, eikä minun rinnallani ole yhtään jumalaa. Minä surmaan ja herätän eloon, minä lyön ja minä parannan, eikä ole ketään, joka pelastaa minun käsistäni. 
DEU.32.40	Minä kohotan käteni taivasta kohti ja sanon: Niin totta kuin minä elän iankaikkisesti, 
DEU.32.41	minä teroitan salamoivan miekkani ja käteni ryhtyy toteuttamaan tuomiota. Minä kostan vastustajilleni, maksan vihamiehilleni, 
DEU.32.42	 minun miekkani syö lihaa. Minä annan nuolteni juopua verestä, kaatuneiden ja vangittujen verestä, vihollisten pitkätukkaisista päistä.’ 
DEU.32.43	 Riemuitkaa, kansat, hänen kansansa vuoksi, sillä hän kostaa palvelijoittensa veren. Hän antaa koston kohdata vastustajiaan ja toimittaa sovituksen maalleen ja kansalleen.” 
DEU.32.44	Mooses lausui Joosuan, Nuunin pojan, kanssa kaikki tämän laulun sanat kansan kuullen. 
DEU.32.45	 Kun Mooses oli puhunut kaikki nämä sanat koko Israelille, 
DEU.32.46	 hän sanoi heille: ”Painakaa sydämiinne kaikki ne sanat, joilla minä tänä päivänä todistan teitä vastaan, niin että voitte käskeä lapsianne noudattamaan kaikkia tämän opetuksen sanoja ja tekemään niiden mukaan. 
DEU.32.47	Ne eivät ole teille turhia sanoja, vaan niissä on teidän elämänne. Näiden sanojen varassa te elätte kauan siinä maassa, jota menette ottamaan omaksenne Jordanin tuolta puolen.” 
DEU.32.49	 ”Nouse tuonne Abarimin vuoristoon Nebonvuorelle, joka on Mooabin maassa vastapäätä Jerikoa, ja katsele Kanaaninmaata, jonka minä annan israelilaisten omaisuudeksi. 
DEU.32.50	Sinä kuolet vuorella, jolle nouset, ja sinut otetaan heimosi luo, niin kuin veljesi Aaron, joka kuoli Hoorinvuorella ja joka otettiin heimonsa luo, 
DEU.32.51	koska te olitte uskottomia minua kohtaan israelilaisten keskellä Meriban veden luona Kaadeksessa Tsiinin autiomaassa, kun ette pitäneet minua pyhänä israelilaisten keskellä. 
DEU.32.52	Sinä saat katsella tuota maata, joka on Jordanin toisella puolella, mutta et pääse sinne, maahan, jonka minä annan israelilaisille.” 
DEU.33.1	Tämä on siunaus, jolla Mooses, Jumalan mies, siunasi israelilaiset ennen kuolemaansa. 
DEU.33.2	Hän sanoi: ” 
DEU.33.3	Herra rakastaa kansoja, kaikki niiden pyhät ovat hänen kädessään. He laskeutuvat maahan sinun jalkojesi juureen, ottavat oppia sinun sanoistasi. 
DEU.33.4	 Mooses antoi meille lain, perinnön Jaakobin seurakunnalle. 
DEU.33.5	 Herrasta tuli kuningas Jesurunissa , kun kansan päämiehet kokoontuivat yhdessä Israelin heimojen kanssa. 
DEU.33.6	Saakoon Ruuben elää, älköön hän kuolko, mutta vähäiseksi jääköön hänen miestensä joukko.” 
DEU.33.7	Juudasta hän sanoi: ”Kuule, 
DEU.33.8	Leevistä hän sanoi: ”Sinun tummimisi ja uurimisi kuuluvat hänelle, joka on sinulle uskollinen, jota sinä koettelit Massassa ja jonka kanssa riitelit Meriban veden luona. 
DEU.33.9	Hän sanoi isästään ja äidistään: ’En ole milloinkaan nähnyt heitä.’ Hän ei tunnustanut veljiään veljikseen eikä tuntenut omia lapsiaan, sillä he noudattivat sinun sanaasi ja pysyivät sinun liitossasi. 
DEU.33.10	Hän opettaa säädöksiäsi Jaakobille ja lakiasi Israelille. Hän suitsuttaa sinun edessäsi ja uhraa kokonaisuhreja sinun alttarillasi. 
DEU.33.11	 Siunaa, 
DEU.33.12	Benjaminista hän sanoi: ” 
DEU.33.13	Joosefista hän sanoi: ”Hänen maataan 
DEU.33.14	 kalleimmalla, mitä aurinko antaa, kalleimmalla, mitä kuun vaiheet tuottavat, 
DEU.33.15	 kalleimmalla, mitä tulee ikiaikaisten vuorten huipuilta, kalleimmalla, mitä tulee ikikukkuloilta, 
DEU.33.16	 kalleimmalla, mitä maa kasvaa ja mitä siinä on. Hänen suosionsa, hänen, joka asui piikkisessä pensaassa , laskeutukoon Joosefin pään päälle, veljiensä ruhtinaan päälaelle. 
DEU.33.17	Hänen härkiensä esikoinen on hänen kunniansa, sillä on sarvet kuin villihärällä. Niillä se puskee kumoon kansat, kaikki kansat maan ääriin saakka. Sellaisia ovat Efraimin kymmenettuhannet, sellaisia Manassen tuhannet.” 
DEU.33.18	Sebulonista hän sanoi: ”Iloitse, Sebulon, kun lähdet liikkeelle, ja sinä, Isaskar, majoissasi. 
DEU.33.19	 He kutsuvat kansoja vuorelle ja uhraavat siellä vanhurskauden uhreja. He imevät merten rikkauden ja hiekkaan kätketyt aarteet.” 
DEU.33.20	Gaadista hän sanoi: ”Siunattu olkoon hän, joka laajentaa Gaadin alueen. Niin kuin leijona Gaad asettuu paikoilleen; se raatelee käsivarren, vieläpä päälaenkin. 
DEU.33.21	 Hän valitsi itselleen osuuksista parhaan, sillä sinne oli kätketty lainlaatijan osa. Hän tuli kansan päämiesten kanssa ja toteutti 
DEU.33.22	Daanista hän sanoi: ”Daan on leijonan pentu, joka loikkaa esiin Baasanista.” 
DEU.33.23	Naftalista hän sanoi: ”Naftali on kylläinen suosiosta ja täynnä 
DEU.33.24	Asserista hän sanoi: ”Pojista siunatuin on Asser. Olkoon hän veljiensä suosiossa ja saakoon kastaa jalkansa öljyyn. 
DEU.33.25	 Rautaa ja vaskea olkoot sinun salpasi, ja niin kuin ovat sinun päiväsi, niin olkoon myös sinun voimasi. 
DEU.33.26	Ei kukaan ole niin kuin Jesurunin Jumala, joka ratsastaa sinun avuksesi taivaasta, ylhäisyydessään pilvien päältä. 
DEU.33.27	 Sinun turvasi on ikiaikojen Jumala, sinua kannattavat ikuiset käsivarret. Hän karkotti viholliset sinun tieltäsi ja sanoi: ’Hävitä heidät!’ 
DEU.33.28	Näin Israel asuu turvassa, Jaakobin lähde erillään viljan ja viinin maassa, jonka taivaskin tiukkuu kastetta. 
DEU.33.29	Onnellinen olet sinä, Israel – kuka on sinun kaltaisesi! Sinä olet 
DEU.34.1	Mooses nousi Mooabin arolta Nebonvuorelle, Pisgan huipulle, joka on vastapäätä Jerikoa. 
DEU.34.2	koko Naftalin, Efraimin ja Manassen maan, koko Juudan maan Länsimereen asti, 
DEU.34.3	 Negevin sekä tasangon, Jerikon eli Palmukaupungin laakson Sooariin asti. 
DEU.34.5	 Mooses, 
DEU.34.6	 Herra hautasi hänet Mooabin maassa laaksoon, joka on vastapäätä Beet-Peoria, mutta kukaan ei ole tähän päivään mennessä saanut tietää hänen hautapaikkaansa. 
DEU.34.7	Mooses oli kuollessaan sadankahdenkymmenen vuoden ikäinen. Hänen silmänsä eivät kuitenkaan olleet hämärtyneet eikä hänen elinvoimansa ehtynyt. 
DEU.34.8	Israelilaiset itkivät Moosesta Mooabin arolla kolmekymmentä päivää. Sitten Mooseksen muistoksi vietetty itku- ja suruaika päättyi. 
DEU.34.9	Joosua, Nuunin poika, oli täynnä viisauden henkeä, sillä Mooses oli pannut kätensä hänen päälleen. Israelilaiset tottelivat Joosuaa ja tekivät sen mukaan kuin 
DEU.34.10	Mutta Israelissa ei enää noussut yhtään sellaista profeettaa kuin Mooses, jonka kanssa 
DEU.34.11	Ei ole ollut ketään, joka olisi tehnyt sellaisia tunnustekoja ja ihmeitä, joita hän Herran lähettämänä teki Egyptin maassa faraolle ja kaikille hänen palvelijoilleen sekä koko hänen maalleen, 
DEU.34.12	 ei ketään, jolla olisi ollut niin suuri voima ja joka olisi tehnyt sellaisia suuria ja pelottavia tekoja, joita hän teki koko Israelin nähden. 
JOS.1.1	Kun 
JOS.1.2	”Minun palvelijani Mooses on kuollut. Nouse siis nyt ja mene tämän Jordanvirran yli yhdessä koko tämän kansan kanssa siihen maahan, jonka minä annan heille, israelilaisille. 
JOS.1.3	Jokaisen paikan, jota jalkanne tallaa, minä annan teille, niin kuin olen Moosekselle puhunut. 
JOS.1.4	Maa autiomaasta ja Libanonista suureen virtaan, Eufratvirtaan sekä koko heettiläisten maa auringonlaskun puolella olevaan Suureenmereen asti, on oleva teidän aluettanne. 
JOS.1.5	Kukaan ei kestä sinun edessäsi koko sinun elinaikanasi. Niin kuin minä olin Mooseksen kanssa, niin 
JOS.1.6	Ole luja ja aivan rohkea, sillä sinä jaat tälle kansalle perinnöksi sen maan, jonka minä heidän isilleen vannomallani valalla olen luvannut antaa heille. 
JOS.1.7	Ole vain luja ja aivan rohkea ja noudata kaikessa toiminnassasi tarkoin sitä opetusta, jonka palvelijani Mooses on sinulle antanut. Älä poikkea siitä oikealle äläkä vasemmalle, jotta menestyisit, missä ikinä kuljetkin. 
JOS.1.8	Älköön tämä lain kirja väistykö sinun suustasi, vaan mietiskele sitä päivin ja öin, että noudattaisit tarkasti kaikkea, mitä siihen on kirjoitettu, sillä silloin sinä onnistut ja menestyt tielläsi. 
JOS.1.9	Enkö minä olekin käskenyt sinua: Ole luja ja rohkea! Älä säiky äläkä kauhistu, sillä 
JOS.1.10	Niin Joosua käski kansan johtomiehiä: 
JOS.1.11	 ”Kulkekaa leirin halki ja antakaa kansalle tämä käsky: ’Valmistakaa itsellenne evästä, sillä kolmen päivän kuluttua te kuljette tämän Jordanin yli mennäksenne ottamaan omaksenne sen maan, jonka 
JOS.1.12	Mutta ruubenilaisille, gaadilaisille ja puolelle Manassen heimoa Joosua sanoi: 
JOS.1.13	 ”Muistakaa se käsky, jonka 
JOS.1.14	Vaimonne, lapsenne ja karjanne jääkööt siihen maahan, jonka Mooses antoi teille Jordanin tältä puolen. Mutta teidän, kaikkien sotakuntoisten, on mentävä taisteluvalmiina virran yli veljienne edellä ja autettava heitä, 
JOS.1.15	 kunnes 
JOS.1.16	 Niin he vastasivat Joosualle: ”Kaiken, minkä olet käskenyt meidän tehdä, me teemme, ja mihin meidät lähetätkin, sinne me menemme. 
JOS.1.17	 Niin kuin me olemme kaikessa totelleet Moosesta, niin me tottelemme sinuakin. Olkoon vain 
JOS.1.18	 Jokainen, joka niskoittelee sinun käskyjäsi vastaan eikä tottele sanojasi kaikessa, mitä käsket hänen tehdä, surmattakoon. Ole vain luja ja rohkea.” 
JOS.2.1	Sitten Joosua, Nuunin poika, lähetti salaa Sittimistä kaksi vakoilijaa ja sanoi: ”Menkää ottamaan selvää maasta ja Jerikosta.” He lähtivät matkaan ja tulivat Raahab-nimisen porton taloon ja kävivät siellä levolle. 
JOS.2.2	Jerikon kuninkaalle ilmoitettiin: ”Tänne on yöllä tullut israelilaisia miehiä tutkimaan maata.” 
JOS.2.3	 Silloin Jerikon kuningas lähetti sanan Raahabille: ”Tuo ulos ne miehet, jotka ovat tulleet luoksesi ja ovat talossasi, sillä he ovat tulleet vakoilemaan koko tätä maata.” 
JOS.2.4	 Mutta nainen oli ottanut molemmat miehet ja piilottanut heidät. Hän sanoi: ”On totta, että miehet tulivat luokseni, mutta en tiennyt, mistä he olivat. 
JOS.2.5	 Kun kaupungin portteja pimeän tullessa suljettiin, miehet lähtivät ulos, enkä tiedä, minne he menivät. Ajakaa nopeasti heitä takaa, niin saavutatte heidät.” 
JOS.2.6	 Mutta hän oli vienyt vakoojat katolle ja piilottanut heidät pellavanvarsien alle, jotka hän oli sinne asettanut. 
JOS.2.7	 Niin Jerikon miehet ajoivat heitä takaa Jordanin tietä ylityspaikoille saakka. Ja portti suljettiin heti, kun takaa-ajajat olivat lähteneet heidän peräänsä. 
JOS.2.8	 Mutta ennen kuin vakoojat olivat käyneet levolle, Raahab nousi katolle heidän luokseen 
JOS.2.9	 ja sanoi heille: ”Minä tiedän, että 
JOS.2.10	Me olemme kuulleet, miten 
JOS.2.11	Kun me sen kuulimme, sydämemme raukesi pelosta, eikä kenelläkään ole enää rohkeutta käydä teitä vastustamaan, sillä 
JOS.2.12	Vannokaa nyt minulle 
JOS.2.13	 että jätätte henkiin minun isäni, äitini, veljeni, sisareni ja koko heidän väkensä ja pelastatte meidät kuolemasta.” 
JOS.2.14	 Niin miehet sanoivat hänelle: ”Me vastaamme hengellämme teidän hengestänne, kunhan vain ette ilmaise tätä meidän asiaamme. Kun 
JOS.2.15	Sitten Raahab laski heidät köydellä alas ikkunasta. Hän näet asui talossa, joka oli kiinni kaupungin muurissa. 
JOS.2.16	 Hän sanoi heille: ”Menkää vuorille, etteivät takaa-ajajat kohtaisi teitä. Olkaa siellä piilossa kolme päivää, kunnes takaa-ajajat ovat palanneet. Sitten voitte jatkaa matkaanne.” 
JOS.2.17	 Miehet sanoivat hänelle: ”Me olemme vapaat siitä valasta, jonka meillä vannotit, 
JOS.2.18	 jollet sinä, kun me tulemme tähän maahan, sido tätä punaista nauhaa siihen ikkunaan, josta laskit meidät alas, ja kokoa isääsi, äitiäsi, veljiäsi ja isäsi koko perhettä luoksesi taloon. 
JOS.2.19	 Jos joku lähtee talosi ovesta ulos, hänen verensä tulkoon hänen itsensä päälle, ja me olemme vastuusta vapaat. Jos taas meistä jonkun käsi sattuu keneen tahansa, joka on sinun kanssasi talossa, hänen verensä tulkoon meidän itsemme päälle. 
JOS.2.20	 Mutta jos sinä ilmaiset tämän asiamme, me olemme vapaat valasta, jonka meillä vannotit.” 
JOS.2.21	 Raahab sanoi: ”Olkoon niin kuin sanotte”, ja päästi heidät menemään, ja he lähtivät. Sitten Raahab sitoi punaisen nauhan ikkunaan. 
JOS.2.22	Niin miehet lähtivät, tulivat vuoristoon ja viipyivät siellä kolme päivää, kunnes takaa-ajajat olivat palanneet. Nämä olivat etsineet heitä kaikkialta tien varrelta, mutta eivät olleet löytäneet. 
JOS.2.23	 Sitten nuo kaksi miestä kääntyivät paluumatkalle. He laskeutuivat alas vuorilta, menivät virran yli ja tulivat Joosuan, Nuunin pojan, luo. He kertoivat hänelle kaiken, mitä heille oli tapahtunut, 
JOS.2.24	 ja sanoivat Joosualle: ” 
JOS.3.1	Joosua ja kaikki israelilaiset nousivat ylös varhain aamulla, lähtivät liikkeelle Sittimistä ja tulivat Jordanille. Siellä he yöpyivät ennen kuin menivät virran yli. 
JOS.3.2	Kolmen päivän kuluttua johtomiehet kulkivat leirin halki 
JOS.3.3	ja antoivat kansalle käskyn sanoen: ”Kun näette 
JOS.3.4	 Mutta olkoon teidän ja arkun välillä noin kahdentuhannen kyynärän välimatka. Älkää menkö arkun lähelle, että tietäisitte tien, jota teidän on kuljettava, sillä te ette ole ennen kulkeneet sitä tietä.” 
JOS.3.5	Joosua sanoi kansalle: ”Pyhittäytykää, sillä huomenna 
