MAT.1.1	Иисус Христостың ӧбекелері: Ол Давидтің паза Авраамның тӧлі полча. Аның ӧбекелері мындағлар: 
MAT.20.20	Соонаң Аныңзар Зеведейнің ипчізі, оолларынаң хада пастыр киліп, мӧкейіп ала пазырып, Иисустаң ниме-де сурынған.
MAT.20.20	– 
MAT.20.21	Ниме кирек сағаа? – сурған ол ипчідең Иисус.
MAT.20.21	– Сӧс пир мағаа: хан пол парзаң, пу ікі оолғымның пірсі Синің оң сариңда, ікінҷізі, тізең, сол сариңда одырарлар, – нандырған Ағаа ол ипчі.
MAT.20.21	– 
MAT.20.22	Сірер нимедеңер сурынчатханнарыңны даа пілбинчезер. Мин ісчеткен ӱлӱс-чірчені сірер іс поларзар ба алай Мин кіреске тӱсчеткен чіли кіреске тӱс поларзар ба? – нандырған Иисус?
MAT.20.22	– Поларбыс, – нандырғаннар Ағаа харындастар.
MAT.20.23	Иисус оларға теен:
MAT.20.23	– Мин ісчеткен ӱлӱс-чірчені ізерзер, Мин кірестенчеткен чіли кірестенерзер, че оң саримда паза сол саримда кем одырары Мин хынғанни полбинча. Анзы Пабам кемге тимнеен, ани полар.
MAT.20.24	Аны истіп, халған он ӱгренҷізі пу харындастарға тарын парған. 
MAT.20.25	Иисус, прай ӱгренҷілерін хығырып алып, чоохтанған:
MAT.20.25	– Чоннар ханнары оларның пастары полчатханын, пиглері оларнаң устап парчатханын пілчезер нимес пе зе? 
MAT.20.26	Че сірернің араңарда іди полбазын. Кем араңарда иң улии поларға сағынча, анзы сірерге нымысчы ползын. 
MAT.20.27	Кем араңарда пастағызы поларға сағынча, анзы сірерге хул ползын. 
MAT.20.28	Кізі Оолғы даа кізілерні Позының алны-кистіне чӧргізерге нимес, че пасхаларына нымысха чӧріп, кӧп кізінің ӱчӱн толығ полып, Позының тынын пирібізерге килген.
MAT.20.29	Иисус ӱгренҷілерінең хада Иерихоннаң сыхчатханда, Аның соонҷа кӧп чон парған. 
MAT.20.30	Чол хазында одырчатхан харах чох ікі кізі, Иисустың ирт париғанын сизін салып, хысхыр сыххан:
MAT.20.30	– Хан-пигібіс! Давид тӧлі! Айадах піске!
MAT.20.31	Кізілер оларны тысханнар, че олар уламох тың хысхырғаннар:
MAT.20.31	– Айадах піске, Хан-пигібіс, Давидтің тӧлі!
MAT.20.32	Иисус, тохти тӱзіп, оларны Позынзар хығырып, теен:
MAT.20.32	– Ниме кирек сірерге Миннең?
MAT.20.32	– 
MAT.20.33	Хан-пигібіс! Пістің харахтарыбысты ас пир! – тееннер олар Ағаа. 
MAT.20.34	Иисус, оларға айап, харахтарына теңен. Сах андох олар кӧр сыхханнар, анаң Аның соонҷа парғаннар.
MAT.21.1	Иисус, ӱгренҷілерінең хада Иерусалимзер чағдап киліп, Елеон тағдағы Виффагий аалзар читкен. Анаң ікі ӱгренҷізін алнынзар ызып, 
MAT.21.2	оларға теен:
MAT.21.2	– Алныңарда чатчатхан аалзар парыңар. Килзӧк, палғап салған тізі эштекнең чиит эштекті анда таап, систіп алып, Минзер ағыл киліңер. 
MAT.21.3	Пірее кізі сірерге пірее ниме чоохтанза, сірер ағаа, олар Хан-пигібіске киректер тіп, нандырыңар. Ол кізі, эштектерні сах андох сірерге пиріп, позыдыбызар. 
MAT.21.4	Прай пу ниме ухаанҷының чоохтааны тол парзын тіп иділген: 
MAT.21.5	«Чоохтап пиріңер Иерусалимге
MAT.21.6	Ӱгренҷілері, парып, прай Иисус чахаан чіли иткеннер. 
MAT.21.7	Тізі эштекнең хада палазын ағыл киліп, ӱстӱне кип салыбысханнар, анаң Иисус мӱніп алған. 
MAT.21.8	Уғаа кӧп кізі постарының кип-азахтарын чолға чаза салғаннар, пасхалары, тізең, ағастар салааларын сындырып, чолға тӧзееннер. 
MAT.21.9	Иисустың алнынҷа паза соонҷа чӱгӱр парчатхан кізілер хысхырысханнар:
MAT.21.9	– Осанна!
MAT.21.9	– Хан Худайның адынаң Килчеткенге алғас ползын!
MAT.21.9	– Осанна Ӧӧркі Чайаачаа!
MAT.21.10	Ол Иерусалимзер кіргенде, саардағылар прайзы хорылыс сыхханнар.
MAT.21.10	– Кемдір пу? – тіп сурастырғлааннар.
MAT.21.11	Чон, тізең, нандырған:
MAT.21.11	– Пу ухаанҷы Иисус. Ол Галилей чиріндегі Назареттең.
MAT.21.12	Иисус, Худай храмынзар кір киліп, андартын садығҷыларны паза садысчатханнарны прайзын сығара сӱрглебіскен. Ахча орнастырчатханнарның столларын паза иб тахырахтарын сатчатханнарның сіреелерін тӱңдере аңдарғлабызып, 
MAT.21.13	оларға теен:
MAT.21.13	– Пазылған полған: «Минің храмым пазырҷаң тура тіп адал парар», сірер, тізең, аны тонағҷылар ордазына айландыр салғазар.
MAT.21.14	Храмда Иисуссар харах чохтар паза ахсахтар пастыр килгеннер. Ол оларны имнебіскен. 
MAT.21.15	Улуғ абыстарнаң Моисей Чахии пілігҷілері Ол итчеткен хайхастарны паза храмда «Осанна, Давидтің тӧлі!» тіп хысхырысчатхан олғаннарны кӧре, ӧкпелен парып, 
MAT.21.16	Иисусха тееннер:
MAT.21.16	– Исчезің ме, олар ниме тіпчелер?
MAT.21.16	– Йа, исчем! Сірер пу сӧстерні хаҷан даа хығырбаазар ба: «Син Позыңны олғаннарға паза час палаларға махтатыртхазың?» – нандырған оларға Иисус.
MAT.21.17	Иисус, оларны халғызып, саардаң сығып, Вифаний аалзар парған. Анда хонып алған.
MAT.21.18	Иртен саарзар айланчатханда, Иисус астап парған. 
MAT.21.19	Анаң чол хазында пір смоковница ағазын кӧр салып, андар пастыр килген. Че анда пӱрлердең пасха пір дее ниме таппин, ағаа чоохтанған:
MAT.21.19	– Синде чистек паза пір дее ӧспезін.
MAT.21.19	Сах андох смоковница ағазы хуруп парған. 
MAT.21.20	Ӱгренҷілері, аны кӧр салып, таңнап парғаннар:
MAT.21.20	– Ноға смоковница іди кинетін хуруп парды?
MAT.21.20	– 
MAT.21.21	Сынны сірерге тіпчем, сірер киртінчетсеңер паза ікінҷілебинчетсеңер, пу ағас хайди пол парды, ідӧк ит поларзар, пу таға даа «кӧдіріліп, талайзар тӱс пар» тізеңер, ол тӱзер, – нандырған оларға Иисус. 
MAT.21.22	Киртініп ала, Худайдаң ниме дее сурзаңар, ол нимені аларзар.
MAT.21.23	Иисус, храмзар киліп, ӱгрет сыхханда, Андар улуғ абыстар паза чонның ах сағаллары, пас киліп, сурғаннар:
MAT.21.23	– Киректеріңні хайдағ ӱлгӱнең итчезің? Сағаа мындағ ӱлгӱні кем пирген?
MAT.21.23	– 
MAT.21.24	Мин сірердең пір ле сурығ сурарбын, ағаа нандыр пирзеңер, Мин дее сірерге прай нимені хайдағ ӱлгӱнең итчеткенімні чоохтап пирербін, – тіп нандырған оларға Иисус.
MAT.21.24	– 
MAT.21.25	Иоанның кіреске тӱзіргені хайдаң килген: Худайдаң ма алай кізілердең ме?
MAT.21.25	Андада олар, пос аразында ӱзӱріп, чоохтасханнар:
MAT.21.25	– «Худайдаң» тізебіс, Ол сурар: «Андағда ноға сірер Иоаннға киртінмеезер?» 
MAT.21.26	Че «Кізілердең» тізебіс, чоннаң хорғыстығ. Олар Иоанны ухаанҷы тіп улуғлапчалар нооза.
MAT.21.27	Андада олар Иисусха піди нандырғаннар:
MAT.21.27	– Пілбинчебіс.
MAT.21.27	Ол даа оларға теен:
MAT.21.27	– Мин дее сірерге чоохтабаспын, пу нимелерні хайдағ ӱлгӱнең итчеткенімні.
MAT.21.27	– 
MAT.21.28	Сірер чи хайди сағынчазар? Пір кізінің ікі оол полтыр. Ол, улуғ оолғынзар парып, теен: «Оолғым! Пӱӱн парып, минің винограднигімде тоғын». 
MAT.21.29	«Хынминчам» тіп нандырған ол, че сағыс хабынып, тоғынарға парған. 
MAT.21.30	Анаң ол кізі, кічіг оолғынзар парып, ідӧк чоохтанған. «Амох парам, пабаң» тіп нандырған оолғы, че позы тоғынарға парбаан. 
MAT.21.31	Пу ікі оолның хайзы пабазының чахиин толдырған?
MAT.21.31	Ағаа тееннер:
MAT.21.31	– Пастағызы.
MAT.21.31	Иисус оларға теен:
MAT.21.31	– Сынны сірерге тіпчем, албан чығҷаңнар паза чӧреечі ипчілер Худай хан-чирінзер сірердең пурун кірерлер. 
MAT.21.32	Иоанн сірерзер сын чолны кӧзіт пирерге килген нооза, че сірер ағаа киртінмеезер. Албан чығҷаңнар паза чӧреечі ипчілер ағаа киртінгеннер. Сірер, тізең, аны кӧрген соонда даа, ачырғанмаазар паза ағаа киртінмеезер.
MAT.21.32	– 
MAT.21.33	Пасха кип-чоох истіп алыңар. Пір тура ээзі чуртаптыр. Ол, виноград ағастар одырт салып, ибіре сиден тудыбыстыр. Анда виноградты сыға пасчаң оймах хазып алып, хадағҷаа иб пӱдіріп, аны виноград ӧскірчеткен кізілерге тузаланарға пирібізіп, позы пасха чирлерзер парыбыстыр. 
MAT.21.34	Чистек теерер тус чит килгенде, ол, чалҷыларын виноград ӧскірчеткеннерзер ызып, виноградтаң позының ӱлӱзін ағыл килерге чахаан. 
MAT.21.35	Че виноград ӧскірген кізілер, чалҷыларын тудып алып, пірсін соғып, паза пірсін ӧдір салып, халғанҷызын, тізең, таснаң чаалааннар. 
MAT.21.36	Ээзі кізі хатап пастағызынаңох кӧп чалҷы ысхан, че оларны даа ідӧк иткеннер. 
MAT.21.37	Арығ полбаста, ол позының оолғын ысхан: «Минің оолғымнаң чалтанарлар, арса», – чоохтанған ол. 
MAT.21.38	Виноград ӧскірҷеңнер, аның оолғын кӧр салып, постары алынҷа чоохтасханнар: «Пу пабазының пайын холға кирҷең чалғыс оолғы, парааңар, аны ӧдірібізееңер, халған анығ пісти полар». 
MAT.21.39	Анаң аны, хаап алып, виноградниктең сығарып, ӧдір салғаннар. 
MAT.21.40	Амды виноградник ээзі, киліп, пу виноград ӧскірҷеңнерні хайди идер?
MAT.21.41	Ағаа тееннер:
MAT.21.41	– Ол чабалларны айағ чох ӧдірібізер, виноградникті, тізең, пасхаларына тузаланарға пирібізер. Олар ағаа виноградты тузында пир турарлар.
MAT.21.42	Иисус оларға чоохтаан:
MAT.21.42	– Сірер Худай Пічиинде ниме пазыл парғанын хаҷан даа хығырбаазар ба? «Пӱдірігҷілернің хыйа тастаан тазы соонаң иң кирек, тура пулиин тутчаң тас пол парған. Аны Хан Худай иткен; піске хайдағ хайхастығ ниме ол». 
MAT.21.43	Аннаңар тіпчем сірерге, Худай хан-чирі сірердең нандыра алылар, аның чистектерін ағылчатхан кізілерге пирілер. 
MAT.21.44	Пу тасха тӱскен кізі чоо тӱс парар, ол тас, тізең, пірее кізінің ӱстӱне тӱс парза, аны чабыра чоо пазыбызар.
MAT.21.45	Улуғ абыстарнаң фарисейлер, Иисустың кип-чоохтарын истіп, постарынаңар чоохтапчатханын сизініп, 
MAT.21.46	Аны хаап аларға иткеннер. Че чон Аны ухаанҷаа санаан, аннаңар олар чоннаң хорыхханнар.
MAT.22.1	Иисус оларға аннаң андар кип-чоохтар чоохтаан.
MAT.22.1	– 
MAT.22.2	Тигір хан-чирі, позының оолғына ипчі ал пиріп, улуғ той иткен ханға тӧӧй поладыр. 
MAT.22.3	Ол хан позының нымысчыларын аалҷыларны тойға хығыр килерге ызыбысхан, че хығырған кізілері килерге хынмааннар. 
MAT.22.4	Ол пазох пасха нымысчыларын, піди чоохтанып ала, ызыбысхан: «Кізілерні ааллап хығырып, піди тіңер: „Чіҷең нимені мына тимнеп салдым, пуғаларым паза ӧнетін симірте азырап алған малларым соғыл пардылар. Прай ниме тимде, тойға киліңер“». 
MAT.22.5	Че хығырған кізілері, тізең, аның хығырғанын нимее салбин, пірсі позының хыразынзар, паза пірсі садығ киреенең парыбысхан, 
MAT.22.6	пасхалары, тізең, ханның нымысчыларын, тудып алып, иреелеп, ӧдірібіскеннер. 
MAT.22.7	Мынзын ис салып, хан тың тарын парған. Ол, позының чааҷыларын ызып, кізі ӧдіргеннерні чох идіп, саарларын ӧртебіскен. 
MAT.22.8	Анаң хан нымысчыларына теен: «Той чиизі тимде, че хығырған кізілер ағаа турыстығ полбадылар. 
MAT.22.9	Аннаңар, чоллар пірікчеткен орынзар парып, учураан на кізіні тойға хығырыңар». 
MAT.22.10	Ол нымысчылар, чолларзар сығып, учураан кізілерні прайзын – хомайларын даа, чахсыларын даа – хығыр килгеннер. Тойға кізі тол чӧрібіскен. 
MAT.22.11	Хан, аалҷыларны кӧрерге сых киліп, тойға кисчең кип-азаан киспеен кізіні кӧр салған
MAT.22.12	«Нанҷым, хайди син тойға кисчең кип-азах чох пеер кір килдің?» – чоохтанған ол ағаа. Анзы, тізең, тапсабаан. 
MAT.22.13	Андада хан нымысчыларына чахаан: «Хаап алыңар аны, азах-холларын палғап, тастындағы харасхызар тастабызыңар. Анда сыыт паза тіс хыҷыразы полар». 
MAT.22.14	Хығыртхан кізі кӧп, че таллап алған кізі асхынах.
MAT.22.15	Андада фарисейлер, хыйа парып, Иисусты пірее оңдайнаң Позыныңох сӧзінең тудып аларға чӧптескеннер. 
MAT.22.16	Анаң постарының хай пірее ӱгренҷілерінең хада Ирод ханға чағын кізілерні Иисуссар ысханнар. Олар, парып, сурғаннар:
MAT.22.16	– Ӱгретчі! Піс пілчебіс, Син кӧні кізізің, Худайның чолынҷа парарға сын ӱгретчезің. Син пірдеезінең чалтанминчазың, пірдеезіне чалғанминчазың. 
MAT.22.17	Аннаңар чоохтап пир піске, хайди сағынчазың, піс Рим хағаныға албан тӧлирге кирекпіс пе алай чох па?
MAT.22.18	Че Иисус, оларның кӧйтіктенчеткеннерін кӧріп, чоохтанған:
MAT.22.18	– Чойырхостар, Нимее мині сынап одырзар? 
MAT.22.19	Кӧзіт пиріңер Мағаа албан тӧлепчеткен ахчаны.
MAT.22.19	Олар Ағаа динарий ахчаны ағыл пиргеннер.
MAT.22.19	– 
MAT.22.20	Пу динарийде кемнің сомы паза ады? – теен оларға Иисус.
MAT.22.20	– 
MAT.22.21	Хағанни, – нандырғаннар Ағаа.
MAT.22.21	Андада Иисус оларға теен:
MAT.22.21	– Андағда хағаннин хағанға пиріңер, Худайнин – Худайға.
MAT.22.22	Олар, Аны истіп, таңнап парғаннар. Анаң, Аны анда халғыс салып, парыбысханнар.
MAT.22.23	Ӧлім соонда кізі тірілбинче тіпчеткен саддукейлер, олох кӱн Иисуссар пас киліп, Аннаң сурғаннар:
MAT.22.23	– 
MAT.22.24	Ӱгретчі! Моисей піди теен: «Пірее кізі, пала чох чуртап, ӱреп парза, ол кізінің харындас-туңмазы, аның ипчізін ал салып, ӱреен харындазының тӧлін узаратсын». 
MAT.22.25	Пістің читі харындас полған. Улуғ харындазыбыс ипчі алған, че пала чох ӱреп парған. Моисей Чахии хоостыра аның ипчізін харындазы ал салған. 
MAT.22.26	Анзы ӱреен соонда, ол ипчіні ікінҷі харындазы ал салған, анаң ӱзінҷізі, іди читінҷі харындазына теере, прайзы ӱреглеп парғанҷа. 
MAT.22.27	Прайзының соонаң оларның ипчізі ӱреп парған. 
MAT.22.28	Ам олар прайзы тіріл килзелер, ол ипчі кемни полар? Прай харындастар пір ипчінең чуртааннар нооза.
MAT.22.29	Иисус оларға нандырған:
MAT.22.29	– Сірер, Худай кӱзін паза Худай Пічиин пілбин, алҷаас итчезер. 
MAT.22.30	Кізілер, тіріл килзелер, ипчі албинчалар, ирге дее парбинчалар. Олар тигірдегі Худай ангеллері осхас поларлар. 
MAT.22.31	Ӱреп парғаннарның тірілерінеңер Худай сірерге чоохтаанын хығырбаазар ба? 
MAT.22.32	«Мин Авраамның Худайыбын, Исаактың Худайыбын, Иаковтың даа Худайыбын». Худай ӱрееннерни нимес, че тіріглерни.
MAT.22.33	Чон, Аны истіп, Аның ӱгредиине чапсаан.
MAT.22.34	Фарисейлер, тізең, Иисус саддукейлерні хайди тымылдырыбысханын истіп, хада чыылыс парғаннар. 
MAT.22.35	Оларның пірсі, Моисей Чахии пілігҷізі, Иисусты сыныхтап, сурған:
MAT.22.35	– 
MAT.22.36	Ӱгретчі! Моисей Чахиинда хайзы чахығ иң улуғдыр?
MAT.22.37	Иисус ағаа теен:
MAT.22.37	– Хан Худайға прай чӱрееңнең, прай кӧңніңнең паза прай сағызыңнаң хын. 
MAT.22.38	Пу пастағы паза ӧӧн чахығ. 
MAT.22.39	Ікінҷізі дее мынзыох осхас уғаа улуғ чахығ: «чағыныңа, позыңа чіли, хын». 
MAT.22.40	Моисей Чахиинаң ухаанҷыларның ӱгредии пу ікі чахыға тӧстенчелер.
MAT.22.41	Фарисейлер чыылыс парғанда, Иисус олардаң сурған:
MAT.22.41	– 
MAT.22.42	Мессий-Христостаңар сірер ниме сағынчазар? Кемнің Ол тӧлі?
MAT.22.42	Ағаа нандырғаннар:
MAT.22.42	– Давидтің.
MAT.22.43	Иисус оларға теен:
MAT.22.43	– Андағда ноға Давидке Худай Худы тол парғанда, Давид, Мессийні Хан-пигім тіп адап, піди тіпче: 
MAT.22.44	«Хан Худай минің Хан-пигіме теен: „Мин Синің прай ыырҷыларыңны азааң алтына тастаанҷа, мында Минің оң саримда одыр тур“». 
MAT.22.45	Давид Аны Хан-пигім тіп адапчатса, хайди андағда Мессий-Христос Давидтің тӧлі пол парча?
MAT.22.46	Пірдеезі Ағаа пір дее сӧс нандыр полбаан. Аннаң сығара пірдеезі Аны сурастырғлирға тідінмеен.
MAT.23.1	Андада Иисус, чоннаң паза Позының ӱгренҷілерінең чоохтазып, 
MAT.23.2	піди теен:
MAT.23.2	– Моисей Чахии пілігҷілері паза фарисейлер, Моисейнің орнында одырып, аның чахығларын чарытчалар. 
MAT.23.3	Сірерге идерге чахаан нимелерні прай толдырып-идіп турыңар, че оларға кӧӧкпеңер: олар постары даа чоохтаан нимелерні итпинчелер. 
MAT.23.4	Олар кізілерге аар паза апарарға сидік чӱктерні артыбысчалар, постары, тізең, оларға салааларынаң даа теңерге хынминчалар. 
MAT.23.5	Прай постарының киректерін кізілерге кӧзідерге ле тіп итчелер. Хамахтарындағы пічіктіг чаламаларын чалбахтаң чалбах итчелер, кип-азахтарындағы чачахтарны узуннаң узун итчелер. 
MAT.23.6	Олар той-пайда тӧрде одырарға хынадырлар, синагогаларда, тізең, – алнындағы сіреелерде. 
MAT.23.7	Орыхта алай чон кӧп чирлерде, олар кізілерге улуғлап удурладарға паза «Ӱгретчі! Ӱгретчі!» тіп адаттырарға хынадырлар. 
MAT.23.8	Сірернің пір ле Ӱгретчі – Мессий-Христос, сірер, тізең, прайзыңар харындастарзар, аннаңар постарыңны ӱгретчее санабаңар. 
MAT.23.9	Сірернің пір ле Паба пар, Ол тигірде, аннаңар чир ӱстӱнде пір дее кізіні паба тіп адирға кирек чоғыл. 
MAT.23.10	Устағҷыңар даа сірернің пір ле – Мессий-Христос, аннаңар постарыңны устағҷаа санабаңар. 
MAT.23.11	Иң улииңар сірерге прайзына нымысчы ползын. 
MAT.23.12	Позын пӧзік кӧдірчеткен кізі, ол тӧбін тӱзіртер, че позын нимее салбинчатхан кізі, ол кӧдіртер нооза.
MAT.23.12	– 
MAT.23.13	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер кізілердең Тигір хан-чирін чабысчазар. Постарың даа андар кірбинчезер, андар кірерге итчеткеннерні дее кирбинчезер.
MAT.23.14	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер ӧкіс ипчілернің чурттарын тонапчазар, анаң, пасхалары кӧрзіннер тіп, чойланып, ӱр пазырчазар. Пу нименің ӱчӱн улам хатығ чарғы полар сірерге.
MAT.23.15	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер, талайлар паза чирлер ибіре чӧріп, постарыңа ӱгренҷілер тілепчезер. Піреезін таап алзар, тізең, аны ӱгредииңерге айландырып, постарыңнаң ікі хати хомай ит салып, кӧйчеткен кӧлзер тастатчаң кізі итчезер.
MAT.23.16	Хыйал сірерге, харах чох устағҷылар! «Храмнаң обалланып, аны толдырбаза даа хайтпас, че храмдағы алтыннаң обалланғанын хайди даа толдырарға кирек» тіп ӱгретчезер. 
MAT.23.17	Харах чох алығлар! Хайзы артыхтыр? Алтын ма? Алай алтынны чарытчатхан храм ма? 
MAT.23.18	Ідӧк сірер «Тайығ орнынаң обалланып, аны толдырбаза даа хайтпас, че ол орынға салған сыйыхнаң обалланғанын хайди даа толдырарға кирек» тіп ӱгретчезер. 
MAT.23.19	Харах чох алығлар! Хайзы улуғдыр? Сыйых па? Алай ол сыйыхты чарытчатхан тайығ орны ба? 
MAT.23.20	Аннаңар кем тайығ орнынаң обалланча, ол ідӧк тайығ орнындағы прай сыйыхнаң обалланча. 
MAT.23.21	Кем храмнаң обалланча, ол храмнаң даа, андағы Худайнаң даа обалланча. 
MAT.23.22	Че кем тигірнең обалланча, ол Худай ӱлгӱ сіреезінең дее, анда одырчатхан Худайнаң даа обалланча.
MAT.23.23	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер, мята, анис паза тмин ӧскіріп, Худайға онынҷы чардығын пирчезер, че Моисей Чахииның иң ӧӧн ӱгредиин – чарғыны, ӧлҷейні паза киртіністі – постарыңнаң хыйа тастапчазар. Сірер анзын идіп, мынзын даа ундубасха кирексер. 
MAT.23.24	Харах чох устағҷылар! Сарығ сеектерні сӱӱп, тастапчазар, тибелерні, тізең, азырчазар!
MAT.23.25	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер чірче-айахтың тастын на арығлап салчазар, оларның істінде, тізең, азымахтаныс паза сын нимес нимелер толдыра. 
MAT.23.26	Харах чох фарисей! Пастап айахнаң чірченің істін арығлап сал, андада аның тасты даа арығ полар.
MAT.23.27	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер хазарт салған хомдылар осхассар. Тастынаң олар сіліг кӧрінчелер, істілеріне, тізең, ӧлген кізілернің сӧӧктері паза аннаң даа пасха чызығ нимелер тол парғаннар. 
MAT.23.28	Сірер ідӧк тастынаң арығ чӱректіг кізілер осхассар, че істіңерде чойырхоссар паза сайбағҷызар.
MAT.23.29	Хыйал сірерге, Моисей Чахии пілігҷілері паза фарисейлер! Чойырхостар! Сірер ухаанҷыларны кӧмҷең орыннар пӱдірчезер паза арығ чӱректіг кізілерге хумартхы тастар чазапчазар. 
MAT.23.30	Анаң тіпчезер: «Піс адаларыбыс тузында чуртаан ползабыс, ухаанҷыларның ханын тӧгерінде араласпасчыхпыс». 
MAT.23.31	Пу оңдайнаң сірер, ухаанҷыларны ӧдірген кізілернің тӧллері полчабыс тіп, постарыңнаң тоғыр киречілепчезер. 
MAT.23.32	Андағ полза, сірер, пабаларың пастаан киректерні аннаң андар идіп, тоос салыңар. 
MAT.23.33	Чыланнар, чылан палалары! Кӧйчеткен кӧлнің чарғызынаң хайди тизіп аларзар? 
MAT.23.34	Аннаңар сірерзер ухаанҷыларны, хыйғаларны паза ӱгретчілерні ысчам, че сірер оларның хай піреелерін ӧдір саларзар, піреелерін кіреске хазап саларзар, пасхаларын, тізең, постарыңның синагогаларыңда соғып, саардаң саарға сӱр чӧрерзер. 
MAT.23.35	Іди сірер чир ӱстӱнде арығ чӱректіг прай кізілернің тӧгілген ханы ӱчӱн пыролығ поларзар: арығ чӱректіг Авельнің тӧгілген ханынаң сығара сірерге храмның паза тайығ орнының аразында ӧдірт салған Варахийнің оолғы Захарийнің тӧгілген ханына теере! 
MAT.23.36	Сынны сірерге тіпчем, прай пыро пу тӧлге тӱзер.
MAT.23.36	– 
MAT.23.37	Иерусалим! Иерусалим! Ухаанҷыларны ӧдірчеткен паза позыңзар ысханнарны тастарнаң чаалапчатхан саар! Нинҷе хати Мин, палаларын ханат алтына чыыпчатхан хус чіли, палаларыңны чыып аларға хынғам, че син хынмаазың! 
MAT.23.38	Мына, тураңар ээн халарға чӧр. 
MAT.23.39	Тіпчем сірерге: «Алғас ползын Хан Худайның адынаң Килигенге!» тіп хысхырбаанда, Мині паза кӧрбессер.
MAT.24.1	Иисус храмнаң сығып париғанында, ӱгренҷілері, Ағаа храмны кӧзідерге тіп, пас килгеннер. 
MAT.24.2	Иисус, тізең, оларға теен:
MAT.24.2	– Прай пу нимені кӧрчезер бе? Сынны тіпчем сірерге, мында тас ӱстӱнде тас халбас, прай иңзеріл парар.
MAT.24.3	Иисус Елеон тағда одырчатханда, тізең, Андар ӱгренҷілері ле киліп, Аннаң сурғаннар:
MAT.24.3	– Чоохтап пир піске, хаҷан полар ол ниме? Тӱгенҷі тус поларына паза Синің килеріңе хайдағ танығ полар?
MAT.24.3	– 
MAT.24.4	Китеніңер! Пірдеезіне алаахтыртпаңар, – нандырған оларға Иисус.
MAT.24.4	– 
MAT.24.5	Кӧп кізі Минің адымнаң аданып килер. «Мин Мессий-Христоспын!» тіп турарлар, кӧп чонны алаахтырып аларлар. 
MAT.24.6	Ідӧк чағынғы паза ыраххы чаалардаңар истерзер. Кӧріңер, тың хорыхпаңар. Прай ол полҷаң ниме, че анзы ам даа тӱгенҷізі нимес. 
MAT.24.7	Чон чоннаң, хан ханнаң тоғыр кӧдірілер. Анда-мында ӧзӧгіс-хырылыстар паза чир тітірезі полар. 
MAT.24.8	Прай пу нимелер пала тӧрідерде пасталчатхан ағырығлар осхастар. 
MAT.24.9	Андада сірерні иреелеп ӧдірерлер. Минің адымның ӱчӱн сірерні прай чоннар хырт кӧрер. 
MAT.24.10	Андада ӱгренҷілернің аразында кӧп кізі Худайдаң хыйа полыбызар, пірсі пірсін садып, удур-тӧдір пу харахнаң кӧріспестер, 
MAT.24.11	кӧп чой ухаанҷы сых киліп, кӧп чонны алаахтыр салар. 
MAT.24.12	Чабал ниме иртіре кӧп поларынаң, кӧп кізіде хыныс сооп парар. 
MAT.24.13	Тоозазын сыдас парыбысхан на кізі арачылан халар. 
MAT.24.14	Че пастап, пу Тигір хан-чирінеңер Чахсы Хабарны прай чир ӱстӱндегі чоннар иссіннер тіп, чоохтирлар. Анаң на тӱгенҷізі килер.
MAT.24.15	Ызых орында чиркестіг нименің турчатханын кӧр салзаңарох – анзынаңар ухаанҷы Даниил
MAT.24.16	Иудей чиріндегілер тағларзар тиссіннер, 
MAT.24.17	тура хырындағы кізі ибінзер, пірее ниме аларға тіп, кірбезін, 
MAT.24.18	хырадағы кізі кип-азаан аларға ибзер алдыра чӱгӱрбезін. 
MAT.24.19	Ол кӱннерде тойлығ паза час палалығ ипчілерге хыйал-чобағ тӱзер! 
MAT.24.20	Сірерге хысхызын алай ба суббота кӱн тизерге киліс парбазын тіп, пазырыңар. 
MAT.24.21	Андада чир пӱткеннең сығара амға теере хаҷан даа полбаан паза хаҷан даа полбас илбек чобағ полар нооза. 
MAT.24.22	Ол кӱннер хызырылбаан ползалар, пір дее тіріг ниме арачылан полбасчых, че таллап алған кізілер ӱчӱн андағ кӱннер хызырыларлар.
MAT.24.22	– 
MAT.24.23	Сірерге, «Мына мында Мессий-Христос!» алай «Ол тігде» тіп, піреезі чоохтанза, киртінмеңер. 
MAT.24.24	Кӧп чой мессий-христостар паза чой ухаанҷылар сыға саларлар нооза. Оңдай полза, олар, таллап алған кізілерні дее алаахтырып аларға полып, илбек танығлар паза хайхастар идерлер. 
MAT.24.25	Кӧріңер, Мин сірерге азынада чоохтап пирдім. 
MAT.24.26	Алай сірерге «Мына Ол хуу чазыда» тізелер, парбаңар андар; «Ол мында, кӧрінмес чирде» тізелер, киртінмеңер. 
MAT.24.27	Хайди сағын, іскер чарып, кидер дее кӧріне халадыр, Кізі Оолғының даа килері андағ полар. 
MAT.24.28	Хусхуннар сӧӧк чатчатхан чирзер чыылызадырлар нимес пе зе?
