GEN.1.1	Mulimu a kala ku bupa lihalimu ni lifasi ni ze ku zona kaufela. 
GEN.15.19	ili linaha za Makeni, Makenizi ni Makadamoni, 
GEN.15.20	Mahiti, Maperizi, ni ya Marefaimi 
GEN.15.21	hamohocwalo ni naha ya Maamori, ya Makanana, ya Magiriashi ni ya Majebusi.”
GEN.16.1	Sarai, musal'a Abrame, n'a si ka pepa bana. Kono na na ni mutanga wa musali wa Muegepita, ya n'a bizwa Hagare. 
GEN.16.2	Sarai kih'a li ku Abrame, munn'a hae, “Bona, Muñ'a Bupilo h'a si ka ni fa lupepo. Kiñi ha u sa kopani ni mutang'a ka yo? Mwendi n'a ka ni pepela mwana.” Abrame a lumela. 
GEN.16.3	Cwale Sarai a nga Hagare, mutang'a hae wa Muegepita, mi a mu fa Abrame kuli a mu nyale. Taba ye ya ezahala Abrame ha s'a pilile lilimo ze lishumi mwa Kanana. 
GEN.16.4	Abrame ha s'a zibile Hagare, mutanga yo a itwala. Mi Hagare ha s'a boni kuli u itwezi, a kala ku ikuhumusa ni ku nyaziseza Sarai.
GEN.16.5	Sarai kiha s'a li ku Abrame, “Ki mulatu wa hao Hagare h'a ni nyaziseza. Na kasibili ni ku file mutang'a ka, mi haisali a bona kuli u s'a itwezi, s'a kala ku ni nyaziseza. Cwalehe, Muñ'a Bupilo a ikatulele ya fosize mwahal'a luna kuli ki mañi?”
GEN.16.6	Abrame a alaba, a li, “Ku lukile, ki mutang'a hao, mi hape u laulwa ki wena. U ikezeze m'o latela ku yena.” Cwale Sarai a mu nyandisa, mane Hagare a ba a toba.
GEN.16.7	Lingeloi la Muñ'a Bupilo la katana ni yena mwa lihalaupa, kwatuko a lisima le li mwa nzila ye liba kwa Shuri. 
GEN.16.8	La li ku yena, “Hagare, mutang'a Sarai, u zwa kai mi hape u ya kai?”
GEN.16.8	Yena a alaba, a li, “Ni sabile Sarai.”
GEN.16.9	Lingeloi la li, “Kutela ku yena, mi u y'o ipeya kwatas'a hae.” 
GEN.16.10	Cwale la zwelapili, la li, “Ni ta ku fa baikulu ba bañata ba ba si ke ba konwa ku balwa. 
GEN.16.11	U tuha u pepa mwana wa mushimani ya ta bizwa Ishimaele, kakuli Muñ'a Bupilo u utwile sililo sa manyando a hao. 
GEN.16.12	Kono mwan'a hao u ta pila sina mbongolo ye si ka tapiswa. U ka toyana ni batu kamukana, mi ni bona batu ba ka mu toya. U ta pila kwahule ni banabahabo kaufela.”
GEN.16.13	Hagare a ipuza, a li, “Kana luli ye ni boni fa, ki ya ni bona, nji?” Cwale kih'a biza Muñ'a Bupilo ka libizo, a li, “Wena, u Mulimu ya ni bona.” 
GEN.16.14	Kikabakaleo batu ha ba biza lisima le li mwahal'a Kadeshi ni Beredi, Lisima la Ya Pila ya ni bona.
GEN.16.15	 Hagare a pepela Abrame mwana wa mushimani, mi a mu biza Ishimaele. 
GEN.16.16	Abrame n'a s'a na ni lilimo ze mashumi a supile ka li li liñwi ni ze silezi.
GEN.17.1	Abrame ha n'a s'a na ni lilimo ze mashumi a supile ka a mabeli ni ze supile ka ze peli, Mun'a Bupilo a iponahaza ku yena, mi a li, “Ki na Mulimu ya Maata Kaufela. U be ya lukile mwa bupilo bwa bao kamukana kuli u si ke wa nyazahala. 
GEN.17.2	Ni ta iswala bulikani ni wena, mi ni ta atisa baikulu ba hao.” 
GEN.17.3	Abrame kih'a kubama, a inamezi fafasi, mi Mulimu a li, 
GEN.17.4	“Bulikani bo ni ka iswala ni wena ki bo. Ni sepisa kuli u ta ba mushemi wa mishobo ye miñata. 
GEN.17.5	 Ha u sa li Abrame, kono u ta bizwa Abrahama. Libizo le, ki lona le li ta ba la hao, kakuli ni ku eza mushemi wa mishobo ye miñata. 
GEN.17.6	Ni ta ku fa lusika lo luñata mi ba bañwi ku bona i ta ba malena. Lusika lwa hao lu ta ata mane ba be mishobo-shobo.
GEN.17.7	 “Ni ta buluka sepiso ya ka ku wena ni kwa baikulu ba hao mwa masika a sa taha, ili bulikani bo bu si na ku fela. Ni ta ba Mulimu wa hao ni Mulimu wa baikulu ba hao. 
GEN.17.8	 Ni ta ku fa, wena ni baikulu ba hao, naha ye y'o li muenyi ku yona nako ye. Naha kaufela ya Kanana i ta ba ya mina kuya kuile, mi ni ta ba Mulimu wa mina.”
GEN.17.9	Mulimu hape a li ku Abrahama, “Ni wena hape u swanezi ku lumela ku buluka bulikani bwa ka, wena ni baikulu ba hao mwa masika a sa taha. 
GEN.17.10	 Se mu swanezi ku itama ka sona, wena ni baikulu ba hao, ki se. Munna kamukana ku mina u swanezi ku ya kwa mupato. 
GEN.17.11	Ku ya kwa mupato i ta ba poniso ya kuli ku na ni bulikani mwahal'a mina ni na. 
GEN.17.12	Ku zwa cwale ni kuya kuile mu swanezi ku sehulula matalo a bana ba mina ba bashimani kamukana, ha ba se ba na ni mazazi a supile ka li li liñwi a ku pepwa. Ku ta ba cwalo ni kwa batanga ba ba pepezwi ku mina, kapa be mu lekile kwa bazwahule. 
GEN.17.13	Yo muñwi ni yo muñwi u swanezi ku ya kwa mupato, mi seo i ta ba sona sisupo fa mibili ya mina, ku bonisa kuli bulikani bwa ka ni mina ha bu na ku fela. 
GEN.17.14	Munna ya si ka ya kwa mupato, u ta zwiswa kwa batu bahabo, kakuli h'a si ka buluka bulikani ni na.”
GEN.17.15	Mi Mulimu a li ku Abrahama, “Cwale ni musal'a hao, u si ke wa mu biza Sarai. Libizo la hae cwale ki Sara. 
GEN.17.16	Ni ta mu tohonolofaza, mi u ta ku pepela mwana wa mushimani. Ni ta mu fuyaula, mi u ta ba m'ahe macaba, mi kwa baikulu ba hae ku ta ba ni malena.”
GEN.17.17	Abrahama a kubama, a inamezi fafasi, kono h'a hupula, a kala ku seha, a li, “Kana mutu a ka pepa mwana ha s'a fitile fa lilimo ze mwanda? Ni yena Sara, kana a ka ba ni mwana a nz'a na ni lilimo ze mashumi a supile ka a mabeli?” 
GEN.17.18	Kih'a li ku Mulimu, “Ni kupa kuli u sileleze Ishimaele, mi u mu buluke, a pile hande.”
GEN.17.19	Kono Mulimu a li, “U fosize. Musal'a hao Sara u ta ku pepela mushimani, mi u ta mu biza Isaka. Ni ta buluka bulikani bwa ka ni yena ni baikulu ba hae. Ki bulikani bo bu si na ku fela. 
GEN.17.20	U ni kupile ku babalela Ishimaele, mi se ni ta eza ki se. Ni ta mu tohonolofaza ni ku mu fa bana ni baikulu ba bañata. U ta pepa bana ba malena ba lishumi ka ba babeli, mi ni ta atisa baikulu ba hae. 
GEN.17.21	Ni ta buluka bulikani bwa ka ni mwan'a hao Isaka, ya ta pepwa ki Sara isaho, ka yona nako ye.” 
GEN.17.22	Mulimu ha s'a felize ku bulela ni Abrahama, a mu siya mi a kutela kwa lihalimu.
GEN.17.23	Ka lona lizazi leo, Abrahama a isa mwan'a hae Ishimaele kwa mupato hamoho ni batanga ba hae kamukana, ba ba ne ba pepezwi ku yena ni b'a n'a sa z'o leka. Banna kaufela mwa munzi wa hae ba ya, sina mw'a n'a mu bulelezi Mulimu. 
GEN.17.24	Abrahama h'a ya kwa mupato n'a na ni lilimo ze mashumi a supile ka a mabeli ni ze supile ka ze peli. 
GEN.17.25	Mwan'a hae Ishimaele n'a na ni ze lishumi ka ze talu. 
GEN.17.26	Ba ya hamoho. Bubeli bwa bona ba ya kwa mupato zazi li li liñwi. 
GEN.17.27	Ba ya hamohocwalo ni batanga ba hae kamukana.
GEN.18.1	Muñ'a Bupilo a iponahaza ku Abrahama kwa likota za Mamare. Ka nako ya ku cisa hahulu kwa lizazi, Abrahama n'a inzi kwatuko a munyako wa tende ya hae. 
GEN.18.2	 H'a inuka, a bona batu ba balalu ba yemi hona foo. A sa ba bona feela, a nanuha fa munyako wa tende, mi a matela ku bona ku y'o ba katanyeza. H'a nz'a kubami, a inamezi fafasi. 
GEN.18.3	A li ku bona, “Malen'a ka, haiba mu ni utwela butuku, mu si ke mwa fitelela mu si ka pumula hanyinyani. Na, ni mutang'a mina. 
GEN.18.4	Ni sa mi tiseza mezi a ku tapa kwa mahutu. Mu pumule hanyinyani mwatas'a kota ye. 
GEN.18.5	Ni ka mi tiseza lico ze ka mi tiisa ha mu zwelapili mwa musipili wa mina. Mu tile ku na, cwale ni itukiselize ku mi tusa.”
GEN.18.5	Ba mu alaba, ba li, “Ku lukile. Eza m'o bulelezi.”
GEN.18.6	Abrahama kih'a akufela mwa tende, mi a y'o li ku Sara, “Akufa, u nge bupi bo bunde, bo buñatanyana, bo bu nekile hande, mi u lukise buhobe.” 
GEN.18.7	Cwale a matela kwa mulaka, a y'o taba nkomwana ye nunile, mi a i fa mutanga kuli a i apehe kapili. 
GEN.18.8	Kiha s'a nga mafi, muzilili ni nama, mi a li tiseza baenyi. Ha ne ba sa ca, a t'o yema kwatuko a bona, kwatas'a kota.
GEN.18.9	Kiha ba mu buza, ba li, “Musal'a hao Sara u kai?”
GEN.18.9	A ba alaba, a li, “U mwa tende mwani.”
GEN.18.10	 Yo muñwi wa baenyi a li, “Ni ku sepisa kuli ka yona nako ye silimo se si taha, musal'a hao Sara u ta ba ni mwana wa mushimani, mi ni ta kutela kwanu ka yona nako yeo.”
GEN.18.10	Sara n'a teelelize, a li kwa munyako wa tende ye kwamulaho wa hae. 
GEN.18.11	Abrahama ni Sara ne ba se ba supezi hahulu, mane Sara n'a s'a fulile kale. 
GEN.18.12	 Hona fo Sara a sehela mwa pilu, a li, “Cwale na kuli ni pepe mwa bucembele bwa ka bo! Kana ni sa nahanelwa ku tabela ze cwalo, nji? Hape ni mun'a ka s'a supezi!”
GEN.18.13	Cwale Muñ'a Bupilo a buza Abrahama, a li, “Sara u sehiswa kiñi, hape u bulela cwañi, ha li, ‘Kana luli ni ka ba ni mwana, na, mucembele ya cwana?’ 
GEN.18.14	 Kana ku Muñ'a Bupilo ku na ni se si pala, na? Ka nako ye lukela, ili mwa kweli ya busupa ni ze peli, ni ta kutela ku wena, mi ka yona nako yeo, Sara u ta ba ni mwana.”
GEN.18.15	Kakuli Sara n'a saba, kiha sa latula, a li, “Ha ni si ka seha.”
GEN.18.15	Kono yena a alaba, a li, “Ee, u sehile!”
GEN.18.16	Batu bao kiha ba funduka, mi ba ya mwa sibaka mo ne ba ka bona hande munzi wa Sodoma, mi Abrahama a ba sindeketa. 
GEN.18.17	Cwale Muñ'a Bupilo a hupula mwa pilu, a li, “Ha ni na ku patela Abrahama se ni y'o eza. 
GEN.18.18	Lusika lwa hae, lu ta ba sicaba se situna, se si maata, mi mafasi kamukana a ta kupa ku fuyaulwa sina yena. 
GEN.18.19	Ni mu ketezi kuli a kone ku laela bana ba hae ni lusika lwa hae lo lu sa taha, kuli ba mamele milao ya ka, ba eze likezo ze nde ze lukile. Cwalehe, kihona ni ka mu ezeza ze ni mu sepisize kaufela.”
GEN.18.20	Muñ'a Bupilo kih'a li, “Ku na ni milatu ye maswe hahulu ye tamelezwa Sodoma ni Gomora, mi sibi sa yona ki se situna hahulu. 
GEN.18.21	Ni swanezi ku ya kwateñi ni y'o bona haiba ze ni utwa ki niti. Ni ta y'o iponela zona.”
GEN.18.22	Cwale batu bao ba zwelapili ba libile kwa Sodoma, kono Muñ'a Bupilo a siyala ni Abrahama. 
GEN.18.23	Abrahama a sutelela ku yena mi a mu buza, a li, “Kikuli luli u hupula ku bulaelela ba ba si na mulatu hamoho ni ba ba fosize, nji? 
GEN.18.24	Haiba ku na ni batu ba mashumi a ketalizoho ba ba lukile mwa munzi mo, kikuli u ta u sinya, na? Kana ha u na ku u tuhela ili ku pilisa ba mashumi a ketalizoho bao? 
GEN.18.25	Kaniti ha u na ku bulaya batu ba ba lukile hamoho ni ba ba maswe. Fo ha ku konahali! Ha u na ku eza taba ye cwalo! Ha ku ka ba cwalo, ba ba lukile se ba ka atulwa sina ba ba maswe. Cwalo hape ha ku konahali. Muatuli wa lifasi kaufela u na ni ku eza ka ku luka.”
GEN.18.26	Muñ'a Bupilo a alaba, a li, “Haiba ni ka fumana ba mashumi a ketalizoho ba ba lukile mwa Sodoma, ni ta swalela munzi kaufela kabakala bona bao.”
GEN.18.27	Abrahama a bulela hape, a li, “Muñ'a ka, u ni swalele ka toho-tata ya ka ha ni sa zwelapili ku bulela ni wena. Na, ni mutu feela, mi ha ni na tukelo ya ku bulela se siñwi. 
GEN.18.28	Kono haiba ku ka ba ni batu ba mashumi a mane ni ba ketalizoho feela ba ba lukile bo? Kana u ta sinya munzi kaufela kakuli ku tokwahala ba ketalizoho ku eza mashumi a ketalizoho?”
GEN.18.28	Muñ'a Bupilo a mu alaba, a li, “Ha ni na ku sinya munzi haiba ni ka fumana ba mashumi a mane ni ba ketalizoho ba ba lukile.”
GEN.18.29	Abrahama a bulela hape, a li, “Ha ku ka ba ni ba mashumi a mane feela bo?”
GEN.18.29	A alaba, a li, “Haiba ku ka ba ni ba mashumi a mane, ha ni na ku u sinya.”
GEN.18.30	Abrahama a li, “Mulen'a ka, u si ke wa nyema, ni sa bulela hape. Ku ka ba cwañi haiba ku na ni ba mashumi a malalu feela?”
GEN.18.30	A li, “Ha ni na ku eza cwalo ha ni ka fumana ba mashumi a malalu.”
GEN.18.31	Abrahama a li, “Muñ'a ka, u ni swalele ka litahatata la ka ha ni sa zwelapili cwalo ni nze ni bulela ni wena, Mulena. Ha ne ku ka fumaneha feela ba mashumi a mabeli, bo?”
GEN.18.31	A li, “Ha ni ka fumana ba mashumi a mabeli, ha ni na ku sinya munzi.”
GEN.18.32	Abrahama a li, “Muñ'a ka, u si ke wa ni nyemela, ni sa bulela hañwi feela. Haiba ku fumaneha ba lishumi feela, bo?”
GEN.18.32	“Ha ni na ku u sinya haiba ni fumana ba lishumi.” 
GEN.18.33	Ha s'a felize ku bulela ni Abrahama, Mun'a Bupilo a ikela, mi ni yena Abrahama a kutela kwa ndu ya hae.
GEN.19.1	Mangeloi a mabeli ao h'a t'o kena mwa Sodoma ka swalala, Lota n'a inzi kwa munyako wa munzi, ko ne ba kopanelanga batu. A s'a ba bona feela, Lota a yema, mi a y'o ba katanyeza. A kubama fapil'a bona, a nz'a inamezi fafasi. 
GEN.19.2	A li, “Malen'a ka, a mu fapuhele kwa ndu ya ka, na mutang'a mina, mu y'o tapa kwa mahutu ni ku y'o pumulela kwateñi busihu bo. Mu ta zwelapili mwa musipili wa mina ha bu se bu sile.”
GEN.19.2	Kono ba alaba, ba li, “Batili, lu ta lobala hona fa patelo ya munzi fa.”
GEN.19.3	Kono a tundamena ku ba kupa, mane kwa mafelelezo ba lumela ku ya ni yena kwa ndu ya hae. Lota a ba lukiseza sinkwa se si si na mumela, mi ba lalela.
GEN.19.4	Baenyi ba si ka lobala kale, batu ba mwa Sodoma ba taha, ba t'o potoloha ndu ya Lota. Batu ba mwa hae kaufela ne ba li teñi, ba bahulu ni ba banyinyani. 
GEN.19.5	 Ba bizeza Lota fande, mi ba mu buza, ba li, “Ba kai banna ba ba tibelezi ku wena busihu bo? Ba zwiseze kwanu kuli lu t'o lobala ni bona.”
GEN.19.6	Lota a zwela kwande mi ha s'a zwile, a kwala. 
GEN.19.7	A li ku bona, “Balikani, na mi kupa, mu si ke mwa eza nto ye maswe cwalo! 
GEN.19.8	A mu bone, ni na ni bana ba babeli mo, ba balyanjo. Ni mi zwiseze bona, mi mu eze mo mu latela ku bona. Kono haili ka banna ba, mu si ke mwa eza se siñwi ku bona, kakuli ki baenyi ba ka, mi ni swanezi ku ba sileleza.”
GEN.19.9	Kono ba li, “Zwa mwa nzila, muzwahule-tuwe! U mañi, wena, kuli u lu bulelele se lu swanezi ku eza? Zwa mwa nzila! Lu ka swana lwa ku eza maswe ku fita mo ne lu ka ba ezeza.” Ba kasheza Lota kwamulaho, mi ba sutelela kuli ba t'o loba sikwalo. 
GEN.19.10	Kono banna bao ba babeli ba ba mwahali ba zwela fande, mi ba hohela Lota mwa ndu. Kiha ba kwala kwa munyako. 
GEN.19.11	 Cwale ba foufaza batu kaufela ba ba ne ba li fande, mane ba palelwa nihaili ku fumana munyako.
GEN.19.12	Banna ba babeli bao ba buza Lota, ba li, “Kikuli u sa na ni bahenu mwa hae mo, nji? U nge bana ba hao ba bashimani ni ba basizana, ni bahenu kaufela ba ba mwa munzi mo, mi u ba zwise mwateñi. 
GEN.19.13	Lu til'o sinya sibaka se. Muñ'a Bupilo u boni bumaswe bo ba tamelezwa batu ba, kih'a lu lumile ku t'o sinya munzi wa Sodoma.”
GEN.19.14	Cwale Lota a ya kwa makwenyan'a hae, ba ba ne ba bata ku nyala bana ba hae, mi a li, “Mu akufe, mu zwe mwa hae mo, kakuli Muñ'a Bupilo u bata ku sinya sibaka se.” Kono ba hupula kuli n'a eza lishea feela.
GEN.19.15	Ha ku patalala, mangeloi a lika ku pakisisa Lota ka ku mu bulelela kuli, “Akufa! U nge musal'a hao ni bana ba hao ba basizana ba babeli, mi mu zwe, kuli mu si ke mwa shwa ha ku sinyeha munzi wo.” 
GEN.19.16	 Lota a lika-lika. Kono nihakulicwalo Muñ'a Bupilo a mu shwela makeke. Kabakaleo batu ba babeli bao, ba mu nga ni musal'a hae ni bana ba bona ba babeli ba basizana, ba ba swala kwa mazoho ku ba zwiseza kwa mandamino ko ba il'o ba siya. 
GEN.19.17	Ha ba se ba ba zwisize mwa munzi, le liñwi la mangeloi la li ku bona, “Mu ipilise ka lubilo! Mu si ke mwa itemuna. Hape mu si ke mwa yema mwa libala. Mu matele feela kwa malundu, kuli mu si ke mwa shwa.”
GEN.19.18	Kono Lota a alaba, a li, “Batili, ku si ke kwa ba cwalo, malen'a ka. 
GEN.19.19	Mwa bona, mu ni ezize ka sishemo se situna, mi ki ka musa wa mina ha mu ni pilisize. Kono cwale kwa malundu ki kwahule hahulu. Ziezi i ta ni fumana, mi ni ta shwa ni si ka y'o fita kale kwateñi. 
GEN.19.20	Mwa bona kanzinyana kale? Ka fakaufi, mi na kona ku y'o fita kale kwateñi. Ni ye kwateñi. Ni mina mwa ka bona kuli ki ka kanyinyani. Mi koo ni ta pila.”
GEN.19.21	Lingeloi la alaba, la li, “Fo na lumela. Ha ni na ku sinya munzi wani. 
GEN.19.22	Akufa! U mate! Ha ni na ku eza se siñwi, konji ha u s'o fitile kwateñi.”
GEN.19.22	Cwale, kakuli Lota n'a ize ki munzi o munyinyani, kiha u beiwa libizo la Zoari.
GEN.19.23	Lizazi ha li pazula, Lota n'a s'a fitile kwa Zoari. 
GEN.19.24	 Muñ'a Bupilo kih'a nelisa mufuse o cisa mwa Sodoma ni Gomora. 
GEN.19.25	A sinya minzi yeo ni libala kaufela hamohocwalo ni batu ba mwateñi, ni limela kamukana. 
GEN.19.26	 Kono musal'a Lota a itemuna, mi kiha s'a fetuha nalumbwa wa lizwai.
GEN.19.27	Habusa, i sa li kakusasana, Abrahama a akufela kwa sibaka kw'a n'a yemi fapil'a Muñ'a Bupilo. 
GEN.19.28	A talima kwa Sodoma ni Gomora, ni libala kamukana, mi a bona musi feela o zwa fafasi, inge musi o zwa fa liyonga le lituna. 
GEN.19.29	Kono Mulimu h'a sinya minzi ye mwa libala, a hupula Abrahama, mi a lumelela Lota ku banduka kwa kozi yeo.
GEN.19.30	Kakuli Lota n'a saba ku ina mwa Zoari, yena ni bana ba bae ba basizana ba babeli ba tutela kwa malundu, mi ba y'o pila mwa misima ya mwa macwe. 
GEN.19.31	Mwan'a Lota yo muhulu wa kalibe a li ku munyan'a hae, “Wa bona, ndat'a luna s'a supala, mi ha ku na munna ya siyezi mwa lifasi kaufela ya ka lu nyala, kuli lu fumane bana ka ona mukwa wo wa kamita. 
GEN.19.32	A lu mu nwise waine, a kolwe, mi ha s'a kozwi lu kopane ni yena kuli lu fumane bana ka ndat'a luna.” 
GEN.19.33	Lona lizazi leo busihu, ba mu nwisa waine. Yo muhulu a y'o kopana ni ndat'ahe, yena a sa zibi se siñwi kakuli n'a kozwi.
GEN.19.34	Habusa, yo muhulu a li ku munyan'a hae, “Busihu bwa maabani ni kopani ni ndat'a luna. Cwale ni kacenu hape lu mu nwise kuli ni wena u eze sina na, ili kuli bubeli bwa luna lu fumane bana ka ndat'a luna.” 
GEN.19.35	Cwale, bona busihu bo hape ba mu nwisa, mi yo munyinyani a y'o kopana ni yena. Ni hona hape h'a na s'a zibile kakuli n'a kozwi. 
GEN.19.36	Kamukwaocwalo, bana ba Lota mwa bubeli bwa bona ba itwaliswa ki ndat'a bona. 
GEN.19.37	Yo muhulu a pepa mushimani, mi a mu beya libizo la Moabi. Ki yena ya simuluzi Mamoabi ba kacenu. 
GEN.19.38	Yo munyinyani ni yena a pepa mushimani, mi a mu beya libizo la Beni-Ami, mi ki ku yena fo ku simuluha Maamoni ba kacenu.
GEN.20.1	Abrahama a zwa mwa Mamare, mi a tutela mwa naha ya Negebe, mi a y'o yaha mwahal'a Kadeshi ni Shuri. N'a pila mwa Gerari. 
GEN.20.2	 Mwateñi n'a ize musal'a hae Sara ki kaizel'a hae. Cwalehe, Abimeleke mulena wa Gerari a y'o nga Sara, a mu tisa ku yena. 
GEN.20.3	Ka bona busihu bo, Mulimu a iponahaza ku yena kwa buloko, mi a li, “U ta shwa kakuli Sara ki musali ya nyezwi.”
GEN.20.4	Kono Abimeleke n'a si ka kena kwa likubo za hae kale. Kih'a li, “Mulena, kana u ta bulaya mutu ya si ka fosa? 
GEN.20.5	Abrahama u ize, ‘Ki kaizel'a ka,’ mi ni yena kasibili u ize, ‘Ki muhulwan'a ka.’ Ni ezize cwalo ka lizwalo le li lukuluhile, mi ha ni si ka fosa.”
GEN.20.6	Mulimu a mu alaba, i sa li kwa buloko, a li, “Ee, na ziba kuli u ezize cwalo u nz'o lukuluhile mwa pilu. Kikabakaleo ha ni ku silelelize kwa ku ni fozeza ka ku sa mu swala. 
GEN.20.7	Kono cwale, kutiseza musali yo ku munn'a hae. Ki mupolofita. U ta ku lapelela kuli u si ke wa shwa. Kono, ha u sa mu kutisi, na ku lemusa kuli u ta shwa, wena ni lubasi lwa hao kaufela.”
GEN.20.8	Habusa, i sa li kakusasa, Abimeleke a biza batanga ba hae kamukana, a ba taluseza lika zeo kaufela, mi ba saba hahulu. 
GEN.20.9	Abimeleke kiha s'a biza Abrahama mi a mu buza, a li, “U lu ezize cwañi? Kanti se ni ku foselize ki sika mañi kuli mane u be u ni kenye mwa ziezi-tuna yeo, na, ni mubuso wa ka? Ha ku na mutu ni yo mukana ya n'a ka eza s'o ezize wena. 
GEN.20.10	Kiñi ha u ezize cwalo?”
GEN.20.11	Abrahama a alaba, a li, “Ne ni hupula kuli kwanu ha ku na ya saba katulo ya Mulimu, ni kuli ba ka ni bulaya, mi ba ikungele musal'a ka. 
GEN.20.12	Ki kaizel'a ka luli. Ki mwan'a bo ndate, kono bo m'ahe ki ba sili. Kiha ni mu nyezi. 
GEN.20.13	Cwale Mulimu ha s'a ni zwisa haesu ku ni lumela mwa manaha a sili, ni mu bulelezi, ni ize, ‘U kona ku bonahalisa busepahali bwa hao ku na ka ku n'o bulelanga ko lu ka ya kaufela, kuli ni muhulwan'a hao.’ ”
GEN.20.14	Cwale Abimeleke kiha s'a kutiseza Sara ku Abrahama munn'a hae, mi i sa li hona fo, a mu fa hape ni lingu, likomu ni batanga. 
GEN.20.15	A li ku Abrahama, “Naha ya ka kamukana ki ye. U ikahele k'o lata kaufela.” 
GEN.20.16	Ku Sara a li, “Ni fa muhulwan'a hao muwaya-waya wa silivela o eza sikiti, ili sisupo ku b'o ina ni bona kaufela kuli ha u na mulatu. Mutu kamukana u ta ziba kuli ha ku na s'o fosize.”
GEN.20.17	Cwale Abrahama a lapelela Abimeleke, mi Mulimu a mu folisa. A folisa cwalo ni musal'a hae, hamoho ni batanga ba hae ba basali, mi ba kala ku pepa. 
GEN.20.18	Mulena n'a kwalile lupepo lwa basali kamukana ba ba mwa ndu ya Abimeleke, kabakala se ne si ezahalile ku Sara, musal'a Abrahama.
GEN.21.1	Muñ'a Bupilo a tusa Sara, sina mw'a n'a sepiselize. 
GEN.21.2	 A itwala, mi a pepela Abrahama mwana wa mushimani niha n'a s'a supezi. Mushimani a pepwa ka nako y'a n'a bulezi Mulimu. 
GEN.21.3	Abrahama a mu beya libizo la Isaka. 
GEN.21.4	 Mushimani ha s'a na ni mazazi a supile ni li li liñwi, Abrahama a mu isa kwa mupato, sina mw'a n'a mu laelezi Mulimu. 
GEN.21.5	Isaka h'a pepwa, Abrahama n'a s'a na ni lilimo ze mwanda. 
GEN.21.6	Sara a li, “Mulimu u ni tiselize tabo ni liseho. Mutu kamukana ya ka utwa, u ta seha ni na cwalo.” 
GEN.21.7	Mi a ekeza, a li, “Ki mañi ya n'a ka bulelela Abrahama kuli Sara u ka lela banana? Kono nikahulicwalo, ni mu pepezi mushimani mwa bucembele bwa hae.”
GEN.21.8	Mwanana a hula, mi ka lona lizazi la ku kwiswa kwa hae, Abrahama a eza mukiti o mutuna.
GEN.21.9	Zazi le liñwi Ishimaele, mwan'a Abrahama ya n'a pepilwe ki Hagare wa Muegepita, n'a nz'a sheununa Isaka mwan'a Sara. 
GEN.21.10	 Sara a bona taba yeo, mi kih'a li ku Abrahama, “Leleka musali yo wa mutanga, ni mwan'a hae. Mwan'a mutanga yo a si ke a fumana kabelo kwa bufumu bwa hao, bo bu ka yoliwa ki mwan'a ka Isaka.” 
GEN.21.11	Taba ye ya kataza hahulu Abrahama, kakuli ni yena Ishimaele n'e li mwan'a hae. 
GEN.21.12	 Kono Mulimu a li ku Abrahama, “U si ke wa ikataza ka mushimani ni mutang'a hao Hagare. Eza s'a ka ku bulelela Sara kamukana, kakuli lusika lo ni ku sepisize lu ka simuluha ku Isaka. 
GEN.21.13	Ni yena mwan'a mutanga yo, ni ta mu fa lusika lo luñata, kuli ni bona ba be sicaba, kakuli ni yena cwalo ki mwan'a hao.”
GEN.21.14	Habusa i sa li kakusasa Abrahama a fa Hagare lico ni swaki ya mezi ni mwana cwalo. Kiha s'a ba fundula. Ba funduka, mi ba yambaela mwa lihalaupa la Beeresheba. 
GEN.21.15	Mezi ha s'a felile, Hagare a siya mwana mwa sicacani. 
GEN.21.16	A y'o ina kwahulenyana, fo ku bata ku eza mihato ye mwanda. Kih'a bulela mwa pilu, a li, “Ha ni koni ku talimela mwan'a ka a nz'a shwa.” Ha n'a sa inzi fo, mwan'a a kala ku lila.
GEN.21.17	Mulimu a utwa mwana ha n'a lila, mi lingeloi la Mulimu li li kwa lihalimu la bulelela Hagare, la li, “Hagare, u katazwa kiñi? U si ke wa saba. Mulimu u utwile mushimani ha n'a lila. 
GEN.21.18	Nanuha, u y'o mu nga. U mu kuzise, kakuli ni ta eza sicaba se situna ka lusika lwa hae.” 
GEN.21.19	Cwale Mulimu a mu yaula fa meeto, mi a bona siliba. A ya, mi a y'o taza swaki ya hae ka mezi. Kiha s'a nwisa mwan'a hae a mañwi. 
GEN.21.20	Mulimu a babalela mushimani h'a nz'a hula. A pila mwa naheñi, mwa naha ya Parani, mi a ba muzumi yo mutuna. 
GEN.21.21	M'ahe a mu batela musali kwa Egepita.
GEN.21.22	 Ka nako yeo Abimeleke a ya ni Pikoli, muzamaisi wa mpi ya hae, ku Abrahama, mi a li, “Mulimu u na ni wena ku z'o eza kaufela. 
GEN.21.23	Cwalehe, u itame honafa, fapil'a Mulimu, kuli ha u na ku ni puma, na, bana ba ka, kamba baikulu ba ka. Na ni ku ezize hande. Cwale u ni sepise ni wena kuli u ta ni eza hande, hamohocwalo ni naha y'o pila ku yona ye.”
GEN.21.24	Abrahama a li, “Ni sepisa cwalo.”
GEN.21.25	Abrahama kiha s'a bilaela ku Abimeleke ka siliba se ne ba ngile batanga ba hae ka mañañazwana. 
