MAT.1.1	Kitabu cha mbuli ya Yesu Kilisito, ṅwana Dawidi, ṅwana Abulahamu: 
LUK.12.27	Olelai vititi vivyokula! Nkavihanda makonge, nkaviluka shuke nayo; miya namiti: Hata Salomo aγenyezeye utana weinga haja nkavutile sa ivi ṅwiyae ywawe muṅwe. 
LUK.12.28	Ati Mulungu avutila ivyoho mani ya tunduwi yeikala lelo, kangi keloi yaashiγwa mwe moto, asheisiize kumivutila inywi? Nini mkishetozesha vyedi? 
LUK.12.29	Inywi mshelonde, ndivyo muje, kangi ndivyo munywe! 
LUK.12.30	Kangi mshetendwe ni wasiwasi! Hambu ivi vyoshe wamzimu wa inu shi ne wevilonda, miya ishe ywenyu ataila, kuti mwaagiziγwa ndivyo. 
LUK.12.31	Miya londai uzumbe wakwe! Ne ndivyo mwinkwe viya vyoshe. 
LUK.12.32	Usheogohe, iwe kafyo kadodo! Hambu ishe ywenyu atamilwa ni kuminka uja uzumbe.
LUK.12.33	Taγai viya, muvyona navyo, muviinkile kwa mbazi du! Kiγoshwelei misipi ishiyoshakala, mtende mali mwe lwingu ishiyobaiγwa, hambu ne kushikobulwa ni mubavi, ne kushikojiγwa ni visaga. 
LUK.12.34	Hambu mali yenyu iliho, ne myoyo yenyu iliho.
LUK.12.35	Ikalai mwikikantile! Kangi lekai, taa zenyu ziake! 
LUK.12.36	Hambu mwafanana na wantu wemwafiza zumbe ywawe, ndiho auye kwe nteγuzi, kangwe, ahoizila akigoṅonda, wafikemzuγwila. 
LUK.12.37	Waja wapuna wataona nyemi, zumbe awozabwila, wakigona mesho. Kweli namiti: Atakikanta, miya waja atawaikaza ha jiila nkande, aize, awatumikile. 
LUK.12.38	Ati aiza na luγojo lwa mbili ao lwa ntatu lwa kilo, ati awabwila ivyoho, waja wataona nyemi. Miya ivi vitailei! 
LUK.12.39	Ati ṅwenye nyumba ataila, mubavi ndiho aizile, anga nkaleka, nyumbai mwakwe mukibaiγwa. 
LUK.12.40	Hata inywi kiteγei! Hambu ṅwanangwa atazaizila, mshihomwafiza.
LUK.12.41	Angwe ni Petelo: Ulu lushimo ululonga ishwi, hambu wantu woshe? 
LUK.12.42	Angwe ni Zumbe: Mγolokezi mkweli mwena viyuγo, baba yakwe akimgimbika mγolokezi ywa wandima wakwe, awainke nkande, zihokateγana naho ni yuhi? 
LUK.12.43	Mupuna mwena nyemi ni yuja, baba yakwe ayemubwila, akiγoshola ivyoho, ndiho alawile. 
LUK.12.44	Kweli namiti: Atamgimbika, aγolokele viya vyakwe vyoshe, avyona navyo. 
LUK.12.45	Miya ati yuja mupuna afanyanya mwe moyo wakwe kuγamba: Baba yangu nkeaize nguzu, kangi akiandiila kutowa waja wabwanga na wandele, akija, akinywa, mpaka atengele, 
LUK.12.46	baba ya yuja mupuna atazalawila mushi, ashiwomwafiza, atazaiza, ashihotaila, ne atamkoma na shime, amlavye nyazu mbili, amunke upokezi wakwe haṅwe na waja washitozeshawo. 
LUK.12.47	Yuja mupuna ataileye, baba yakwe avyokunda, kangi nkakihimile kuviγoshola, nkavibontole, yuja avyokunda, atatowiγwa vibonko vingi. 
LUK.12.48	Miya yuja ashitaileye akiγoshola vyeagiza kutowiγwa, atatowiγwa vibonko viγeke. Kila ainkiγweye vingi, atazatiγilwa vingi, kangi alaγiliziγweye vingi yuja ataisiiza kuuziγwa. 
LUK.12.49	Niizile, nitunge moto mwe inu shi, kangi sina nivyokundisha kuzinka ukifikabililika. 
LUK.12.50	Nina ubatizi, ndiwo nibatize nawo, kangi nalumila vyeinga aha, mpaka ukibontoka.
LUK.12.51	Muγamba: Ṅiizile kwa gwisha utondolo kunu shi? Sivyo, namiti: Neniγenyeze mipangano. 
LUK.12.52	Hambu kuandiila ivi lushe wantu washano we mwe nyumba ṅwenga newapangane, watatu newapangane na weyae wawe waili, waili newapangane na weyae wawe watatu. 
LUK.12.53	Hata ishe na ṅwanae ywa kiγoshi, kangi ṅwana ywa kiγoshi na ishe, nine na ṅwanae ywa kivyele, kangi ṅwana ywa kivyele na nine, nine vyala na mkaza ṅwanae, kangi mkaza ṅwana na nine vyala watapangana. 
LUK.12.54	Waja wantu woshe azawati: Ndiho mwone, zunde jikikwela kuja, zuwa jikoingila, mwatikalonga kuti: Fula yaiza, kangi vyabontoka vivyoho. 
LUK.12.55	Ndiho hakunte mpeho yelawa na kuja, kwegwila zuwa mishi ya vuli, mwaγamba: Nekuake zuwa, kangi vyabontoka vivyoho. Mwahemba inywi! 
LUK.12.56	Vya inu shi na vya lwingu vivyobontoka, mwataila kuvibunkula, miya ni vivihi, mkishebunkula, vya mishi inu vivyobontoka? 
LUK.12.57	Wenye nkamlaha masa yeagiza? 
LUK.12.58	Hambu ukihita kwa zumbe haṅwe na ṅwiyao mwekuifya, uko silai upishe, ndivyo uivane naye, kangwe ashezakuhuna kwa mlaha masa, yuja mlaha masa akikuinkila kwa mshilikali, yuja mshilikali akikugela mwe chumba! 
LUK.12.59	Nakuti: Nkezeumulawe muja, shuti uneliha hata senti ya kubindiliza.
LUK.13.1	Mishi ija kuna wamγambilewo mbuli ya waja Wagalileya, Pilato aγwilewo mpome yawe akiivanganya na ija ya ṅombe za mviko. 
LUK.13.2	Azawalandula angwe: Kumbe muγamba: Waja Wagalileya ni wahuza kuzinka Wagalileya woshe, kwa kuti wazaγoshwelwa ivyoho? 
LUK.13.3	Namiti: Sivyo! Miya mkishehitula ntongonyezi zenyu, nyoshe nezemubanike sa viyaho. 
LUK.13.4	Hambu waja kumi na mnane washuntiγwewo ni mnala kuja Silowa na kukoṅwa, muγamba kuti: Ni wamasa kuzinka wantu woshe weikala Yelusalemu? 
LUK.13.5	Namiti: Sivyo! Miya mkishehitula ntongonyezi zenyu, nyoshe nezemubanike sa viyaho.
LUK.13.6	Azawalonga ulu lushimo: Kuna muntu ahandileye mkuyu mwe mγunda wakwe, aakahita kwa londa nkuyu, miya nkaonela. 
LUK.13.7	Ne ahomlonga mulima mγunda: Olela! Mavuli matatu nizaiza nikilonda nkuyu mwe unu mkuyu, miya siziona; uukele! Ufinta wai mγunda? 
LUK.13.8	Yuja azamlandula angwe: Zumbe, uuleke iji vuli du, niutibwile, niugele masinku, ati inga uvyale mishi ye nyuma! 
LUK.13.9	Ati washevyala vivyoho, utadaha kuukela.
LUK.13.10	Azaikala akifuza vikiloi mushi wa sabato. 
LUK.13.11	Ne mwina mvyele mwena mpepo imhumizeyo mavuli kumi na mnane, azakikunga, nkadahile kuγolokela hata. 
LUK.13.12	Yesu akimwona azamlonga angwe: Mlala, uzabinda kuukilwa ni utamu wako; 
LUK.13.13	azamubadikila mikono, viya du lushe mγongo uzaγolokela, azamtogola Mulungu. 
LUK.13.14	Mkulu ywa vikilo azalandula; hambu azaihilwa, kuti Yesu azamhonya mushi wa sabato, azawati waja wantu: Kuna mishi mtandatu yeagiza kuγoshola ndima; mishi ija izai, muhonyiγwe, muvileke mushi wa sabato! 
LUK.13.15	Zumbe azamlandula, azamuti: Mwahemba inywi! Nkamshungula inywi nyoshe mushi wa sabato ṅombe na mpunda zenyu he lubala lwa jiila, mkiziiγala kwa zinywesha? 
LUK.13.16	Uyu mvyelengwa ni ṅwana Abulahamu, Satani azamshunga mavuli kumi na mnane, lushe nkaviagiza, luja luγole akilushungwilwa mushi wa sabato? 
LUK.13.17	Akilonga ivyoho, woshe wamkezilewo nkani wazabulwa ni shoni, miya wantu woshe wazatamilwa ni viya vitana viγosholwevyo ndiye.
LUK.13.18	Ne aholonga: Uzumbe wa Mulungu ufanana na mbwai? 
LUK.13.19	Niufanyanye na mbwai? Ufanana na kahuluzi ka ntunda ya mvumo, muntu akikaγuwa, akikahanda mwe mγunda wakwe, kakula, kaγaluka muti, hata madeγe yeanga ulanga yaiza, yazenga mwe matambi yakwe.
LUK.13.20	Vituhu azalonga: Uzumbe wa Mulungu niu 
LUK.13.21	fanyanye na mbwai? Ufanana na shimbi, mvyele akijiγuwa, akijigela mwe ngahu ntatu za mushu wa ngano, kangi mushu woshe wajikolela.
LUK.13.22	Azaanga mwe mizi mikulu, hata mwe mizi tanga na kubilikila, ni aho akiiamba na Yelusalemu. 
LUK.13.23	Kuna amlongileye: Zumbe, kumbe wevunilwa ni waγeke du? Azawati: Gombai, mwingile mwe ija nkili finyu! 
LUK.13.24	Hambu namiti: Wangi newalonde ha ingiila, miya nkewahakombaγanye. 
LUK.13.25	Aho ndiho ṅwenye nyumba abindile kuinuka na kuzuγala luvi, ne ndiho nezemwandiile kuγoloka se na kugoṅonda kuti: Zumbe, tizuγwile! Miya atamilandula, atamiti: Simitaila, mkoanduka nako. 
LUK.13.26	Ne ndiho nezemwandiile kulonga kuti: Tizaja, tizanywa, uitiolele, kangi uzatifuza lwazoi kwetu. 
LUK.13.27	Atamilandula kuti: Sitaila, mkoanduka nako. Ukai kwangu nyoshe! Mu wandima wawiwi! 
LUK.13.28	Ne ndiho mulilile na kukemeza meno mkizamwona Abulahamu na Isaka na Yakobo na wateγanyingwa woshe, wai mwe uzumbe wa Mulungu, miya wenye nemshindikwe na se! 
LUK.13.29	Kangi kutaiza wantu weanduka kwelawa zuwa na kweingila zuwa na kwegwila zuwa mishi ya nyota na kwegwila zuwa mishi ya vuli, waikale, waje nkande mwe uzumbe wa Mulungu. 
LUK.13.30	Kangi kuna washilikizewo, ndiwo walongole; kangi kuna walongolewo, ndiwo washilikize.
LUK.13.31	Ija minga kuzaiza Mafaliseyo kuṅwe, wazamuti: Lawa kunu, uhite! Hambu Helode akunda kukukoma. 
LUK.13.32	Azawati: Hitai, mkaγambile jiya gogo: Olela! Nikeingata mpepo, nikebindiliza ndima ya kuhonya watamu lelo na keloi, miya mushi wa ntatu mbuli zangu zabontoka. 
LUK.13.33	Kangi lelo na keloi na kishindo shuti nitambe! Kangi nkavidahikana, mteγanyingwa akikoṅwa kutuhu, kushima Yelusalemu.
LUK.13.34	Yelusalemu! Yelusalemu! Wakoma wateγanyingwa, watumiγwewo na kwako, wawahomela mawe! Ni kangahi, nikikunda kuunganyanya wanawo, sa viyaho nguku ivyounganyanya visiyo mwe mawawa yakwe, miya inywi mzalemela! 
LUK.13.35	Shivyo, nyumba zenyu neziashiγwe mahuzu! Namiti: Nkezemunione, mpaka ndiho nezemulonge: Atogolwe mweiza mwe zina ja Zumbe!
LUK.14.1	Mishi ija akiingila mwe nyumba ya mkulu ywa Mafaliseyo mushi wa sabato, aje nkande, waja wazamγojaγoja. 
LUK.14.2	Muja alimo muna muntu mwehuma bumbwazi. 
LUK.14.3	Yesu azawalonga watamulomongwa na Mafaliseyo, azawati: Vina ṅwiko kuhonya mushi wa sabato, hambu nkavina? Waja wazaleka lwashu. 
LUK.14.4	Azamγuwa, azamhonya, azamshungula. 
LUK.14.5	Waja azawati: Kwenyu kuna mwena ṅwanae ao du ṅombe, ikikina mwe kishima, ndiye ashefikeilavya, hata ni mushi wa sabato? 
LUK.14.6	Aho nkawadahile kumlandula.
LUK.14.7	Waja walalikwewo azawazisa lushimo akiona, wavyokundisha kuikala hantu ha kushimilwa, azawati: 
LUK.14.8	Ukilalikwa nimuntu kwe nteγuzi usheikale hantu ha kushimilwa, kangwe kusheoneke alalikweye mweagiza kugimbikwa kukuzinka iwe, 
LUK.14.9	kangwe kusheize yuja akulalikeye iwe na yuja ṅwiyawo akikuti: Mhakanye uyu! Ne utaandiila kuikala na shoni hantu ha shilikiza. 
LUK.14.10	Miya ukilalikwa hita, uikale ha shilikiza, kangwe kukiiza akulalikeye akuγambe: Ṅwiyangu, shweza na kenya! Ne utagimbikwa, woshe waikalewo haja waiolele. 
LUK.14.11	Hambu kila mwekikuza ṅwenye atazapunguziγwa kangi mwekipunguza ṅwenye atazakuziγwa.
LUK.14.12	Azamγamba yuja amlalikeye: Iwe ukikaliγanya nkande za waγeni, ati ni za makelo, ati ni za ṅwiyaγulo, ushelalike wambuyawo na wanduγu wako na wazuli weyawo, kangwe wohe washekulalike vingi, ukilihiγwa ndiwo! 
LUK.14.13	Miya ukikaliγanya nkande za waγeni lalika wakiwa na wavilema na washiγendawo na matuntu! 
LUK.14.14	Nezeuone nyemi, kwa kuti nkawana vya kukuliha; hambu utazalihiγwa mwe ufufuki wa watanda. 
LUK.14.15	Waja waikalewo haṅwe naye ṅwiyae ywawe muṅwe akiiva izi mbuli azamγamba: Mwe nyemi ni yuja, ndiye aje nkande mwe uzumbe wa Mulungu!
LUK.14.16	Azamuti: Muntu azaliγanya nkande nyingi za waγeni, azalalika wangi. 
LUK.14.17	Ha jiila nkande hakikinta, azatuma mubwanga ywakwe, alonge waja walalikwewo kuti: Izai! Hambu vyoshe viiliγanile. 
LUK.14.18	Woshe kiṅwe wazaandiila kulandula; ywa bosi azamuti: Nizaγula γisa, shuti nihite, nijiolele; nakuhembeleza, ushenikaalize! 
LUK.14.19	Ṅwiyae azalonga: Nizaγula ṅombe kumi za hunila magali, nahita, niziolele; nakuhembeleza: Ushenikaalize! 
LUK.14.20	Mtuhu azaγamba: Nizaγuwa mvyele; kwa ivyoho sidaha kuiza. 
LUK.14.21	Yuja mubwanga azauya, azavimwukwila baba yakwe. Ne yuja zumbe ahokwelwa ni maya, azamγamba mubwanga ywakwe: Lawa nguzu, uhite kwe nyazo na kwe ndumi za muzi, ulete wakiwa na wavilema na matuntu na washiγendawo na kunu! 
LUK.14.22	Vikibontoka, yuja mubwanga azamlonga: Zumbe, ulaγilizevyo vizabontoka, miya nyumba nkaimemile. 
LUK.14.23	Yuja zumbe azamγamba mubwanga ywakwe: Lawa, uhite kwe sila na nkoi, uwakungumize, waingile, kangwe nyumba yangu imeme! 
LUK.14.24	Hambu namiti: Waja waγoshi, ndiwo wakilalikwa, nkakuna ndiye aje nkande zangu.
LUK.14.25	Wantu wangi muno wazahita naye, azawahitukila, azawati: 
LUK.14.26	Ati muntu aiza kwangu akishemshwika ishe na nine na muke na wanae na wakuluwe na wanduγuze na walumbuze, haṅwe na kukishwika ṅwenye, nkadaha kuγaluka mhina ywangu. 
LUK.14.27	Ashiyeinula muti wakwe wa kukomelwa akinitongela, nkadaha kuγaluka mhina ywangu. 
LUK.14.28	Hambu kwenyu kuna muntu mwekunda kuzenga geleza, ashineikala akitala mali yakwe, ati ana ya kujibindila? 
LUK.14.29	Kangwe akibinda kukontela shikamilo lushe akishedaha kubontola, woshe weviona washezaandiila kumluvya kuti: 
LUK.14.30	Uyu muntu azaandiila kuzenga, miya nkadaha kubindiliza. 
LUK.14.31	Hambu kuna zumbe mwekunda kumwiγaila zumbe mtuhu nkondo, ashineikala na kufanyanya, ati wantimizi wakwe makulija kumi adaha kumwomanya nawo yuja mwemtimila na wantimizi makulija milongo mili? 
LUK.14.32	Ati nkadaha, atamtumila yuja, ake hale, walau amhembeleze, waivane. 
LUK.14.33	Vivyoho hata inywi nyoshe, ndiye ashetowe hulu viya vyakwe vyoshe, nkadaha kuγaluka mhina ywangu. 
LUK.14.34	Munyu ni mtana; miya ati munyu wabanika, utazifiγwa na mbwai? 
LUK.14.35	Nkautama, ukigelwa mwe lubuwa ao du mwe masinku, utaashiγwa du. Mwena mashikilo yeiva neaive!
LUK.15.1	Wangelu na wahuza woshe wazamtimila, wamteγeleze. 
LUK.15.2	Mafaliseyo na watabaluwangwa wazaṅuna angwe: 
LUK.15.3	Uyu ahokela wahuza, aja nkande nawo. Azawalonga ulu lushimo angwe: 
LUK.15.4	Kwenyu kuna muntu mwena ngoto gana akiaza ṅwenga, asheashe ziya milongo kenda na kenda tundui, akihita kwa londa ija iaγileyo, mpaka akiiona? 
LUK.15.5	Akiiona aiika mwe maeγa yakwe na nyemi; 
LUK.15.6	akibula kaya aitanga wambuyae na weyae, awoikala nawo, awati: Tamilwai haṅwe na imi! Hambu nizaona ngoto yangu iaγileyo. 
LUK.15.7	Namiti: Vivyoho kwa mbuli ya mhuza muṅwe mwehitula ntongonyezi zakwe kutagwa nyemi mwe lwingu yekula kuzinka nyemi yegwa kwa mbuli ya watanda milongo kenda na kenda washiwoagiziγwa ni kuhitula ntongonyezi zawe.
LUK.15.8	Hambu kuna mvyele mwena shilingi kumi akiaza shilingi ṅwenga, ndiye ashekoleze taa na kuhaγila nyumba akilondeza na utanda, mpaka akiiona? 
LUK.15.9	Akibinda kuiona aitanga wambuyae na weyae, awoikala nawo, awati: Tamilwai haṅwe na imi! Hambu nizaona shilingi yangu iaγileyo. 
LUK.15.10	Namiti: Vivyoho nyemi itagwa kwa walau wa Mulungu kwa mbuli ya mhuza muṅwe mwehitula ntongonyezi zakwe.
LUK.15.11	Azalonga: Ne kwina muntu mwena wana waili. 
LUK.15.12	Yuja mdodo azamlonga ishe angwe: Tate, ninka fungu ja mali jenitaia! Yuja azawapangila kitende. 
LUK.15.13	Mishi miγeke ikizinka, yuja mdodo azashunganya vyakwe vyoshe, azahita mwe shi ye hale, kuja ne abanileko mali yakwe na kuija kimumpa. 
LUK.15.14	Yuja akiibinda yoshe, kuzagwa sala ndala mwe ija shi, yohe azaandiila kushowa vya ja. 
LUK.15.15	Azahita, azatongelatongela ṅwenyezi ywa ija shi, yuja azamtuma kwe maγisa yakwe, alishe nguluwe. 
LUK.15.16	Azakunda kumemeza ifu jakwe na yaja magoko, nguluwe ziyoja, miya nkakuna ayamunkileye. 
LUK.15.17	Azakiuyiya ṅwenye angwe: Wandima wa tate wana nkande, ni nyingi, kangi ni wangi ivyoho! Lushe imi nafa sala kunu! 
LUK.15.18	Niinuke, nihite kwa tate, nimγambe: Nizakola masa mwe lwingu na kwako. 
LUK.15.19	Nkaviniagiza, nikiitangwa ṅwanawo vivyoho, leka, niγaluke viya ni mndima ywako! 
LUK.15.20	Azainuka azahita kwa ishe. Ake hale, ishe azamwona, azabulwa ni utungu naye, azamγulukila, azamkinila mwe shingo, azafyosana naye milomo. 
LUK.15.21	Miya yuja ṅwana azamuti: Tate, nizakola masa mwe lwingu na kwako, nkaviniagiza, nikiitangwa ṅwanawo vivyoho. 
LUK.15.22	Miya ishe azalonga wapuna wakwe angwe: Fikaileta shuke zezinka zoshe utana, mumzwike! Kangi mumgele mpete mwe chala chakwe na vilatu mwe milundi yakwe! 
LUK.15.23	Vikibinda letei ndama yegimbala, mwikome, tije, titamilwe! 
LUK.15.24	Hambu uyu ṅwanangu ne aifile, miya ateuya moyo, ne aiaγile, miya aleoneka. Wazaandiila kuja nyemi. 
LUK.15.25	Miya ṅwanae mkulu ne ai nkoi; akiiza, akibula hehi na kaya azaiva ngoma na mawila. 
LUK.15.26	Azaitanga mubwanga muṅwe, azamwuza, ati viya ni vyai. 
LUK.15.27	Yuja azamuti: Nduγuyo azaiza, isho azakoma ija ndama yegimbala, kwa kuti azamwinkwa, ni mgima. 
LUK.15.28	Azakwelwa ni maya, nkakundile kuingila; miya ishe azalawa, azamhembeleza. 
LUK.15.29	Miya yuja azamlandula ishe angwe: Olela! Mavuli yeinga aha nakuγoshweia ndima, nkakuna mlaγilizo wako, nizinkanewo nawo, kangi nkwaninkile kabuzi, nikija nyemi na wambuyangu. 
LUK.15.30	Miya uyu ṅwanawo abindileye mali yako na wandele wahuza akiiza, uzamkomela ija ndama yegimbala. 
LUK.15.31	Ishe azamuti: Ṅwanangu, iwe mishi yoshe u haṅwe na imi, kangi vyangu vyoshe ni vyako. 
LUK.15.32	Vyakuagiza kuja nyemi na kutamilwa, hambu uyu nduγuyo ne aifile, miya ateuya moyo, ne aiaγile, miya ateoneka.
LUK.16.1	Azalonga kwa wahina wakwe angwe: Ne kwina muntu mzuli mwena mγolokezi ywa mali, uyu azafyaliṅwa kwakwe, kuti abana mali yakwe. 
LUK.16.2	Azamwitanga, azamuti: Inu mbuli niikuiva zeze? Netitale vyoshe, ndivyo ukiγolokela! Hambu nkudaha kuγolokela mah yangu vivyoho. 
LUK.16.3	Yuja mγolokezi ywa mali azafanyanya mwe moyo wakwe kuγamba: Nitende zeze? Hambu zumbe ywangu anihoka ufuṅwa wangu; kulima sidaha, kulombeza nina shoni nako. 
LUK.16.4	Nataila, ndivyo niγoshole, kangwe, nikibushiγwa mwe ufuṅwa wangu, wanihokele mwe nyumba zawe. 
LUK.16.5	Wadeni wa zumbe ywakwe azawaitanga woshe muṅwe muṅwe; ywa bosi azamγamba: Zumbe ywangu umkopilei? 
LUK.16.6	Angwe: Ni matanaki gana ya mavuta. Yuja azamuti: Γuwa baluwa yako! Ikala, ufikegonda milongo mishano! 
LUK.16.7	Vikibinda azalonga mluhu: Iwe nawe ukopilei? Angwe: Ni maguniya gana ya mshele. Azamuti: Γuwa baluwa yako, ugonde milongo mnane! 
LUK.16.8	Zumbe azamlogola yuja mγolokezi muwiwi, kuti azaγoshola vya minyanyi; hambu wana wa inu shi wakiangilana mwe mbali yawe wenye na wenye ni wanyanyi kuzinka wana wa langaila.
LUK.16.9	Kangi imi namiti: Kiloṅdelel wambuya wenyu na kuinkila mali ya kiinushi, kuti ni ya uhuza, kangwe muhozakosa wamihokele mwe mafikilo yena ukalami! 
LUK.16.10	Mwena utanda na viya viγeke, haia viya vingi ana utanda navyo; kangi mwena uhuza na viya viγeke, hata viya vingi ana uhuza navyo. 
LUK.16.11	Ati nkamtendile utanda na mali ya kiinushi ishiyo ya kweli, viya vya kweli ndiye aviminke, muviγolokele, ni ndai? 
LUK.16.12	Ati viya vishivyo vyenyu nkamtendile utanda navyo, viya vyenyu ndiye aviminke, muviγolokele, ni ndai? 
LUK.16.13	Mwikala hangwa nkakuna mwedaha kutumikila wazumbe waili; hambu atashuka yuja muṅwe, akundishe yuja mtuhu; ao akianga na yuja ywa bosi, atamubela yuja mtuhu. Nkamdaha kumtumikila Mulungu, kangi mali ya kiinushi.
LUK.16.14	Izi mbuli zoshe Mafaliseyo wetamilwa ni feza wazaziiva, ne wahomfyulila. 
LUK.16.15	Azawati: Inywi ni nywiyo mwekikanila wenye kwa wantu, miya Mulungu ataila myoyo yenyu; hambu vyegimbikwa ni wantu vyamubuza Mulungu useli. 
LUK.16.16	Mulomongwa na mbuli za wateγanyingwa zizabilikilwa mpaka mishi ya Yohana; kuandiila haja uzumbe wa Mulungu wabilikilwa, kangi kila, muntu aukundila kwa nguvu yakwe. 
LUK.16.17	Ati lwingu na inu shi zabanika, ntoγo izo nkaziinga sa ziya, kagonde kaṅwe ka mulomongwa kakiaγa. 
LUK.16.18	Kila mwelekana na muke akiγuwa mtuhu atenda kilanga, hata mweγuwa mvyele alekwaye ni mγoshi atenda kilanga.
LUK.16.19	Ne kwina mzuli, azazwika shuke za langi na halili, azaja ulembo kila mushi vitana ivyo. 
LUK.16.20	Kangi ne kwina mkiwa, zina jakwe ndiye Lazalo, ailele he kifiγwe cha yuja mzuli, aigisize vilonda. 
LUK.16.21	Azakunda kuiγushiγwa ni mpuγutishi zegwa he meza ya yuja mzuli; hata makuli yazaiza kwa sona vilonda vyakwe. 
LUK.16.22	Yuja mkiwa akifa azaiγalwa ni walau kwa Abulahamu, aambatwe ndiye; yuja mzuli yohena azafa, azazikwa. 
LUK.16.23	Uko kuzimu azainula mesho yakwe, hambu aswilimiziγwa, ne ahomwona Abulahamu uko hale na Lazalo, aiambatwe ndiye. 
LUK.16.24	Ṅwenye azakema lushe angwe: Tate Abulahamu! Nifa mbazi, umtume Lazalo, kangwe agele mpembo ya chala chakwe mwe mazi, aize, ayanidodeze mwe lulimi lwangu! Hambu naisa kulumiziγwa ni unu moto. 
LUK.16.25	Angwe ni Abulahamu: Ṅwanangu, fukila, kuti uzaja vitana vyako ukiikala uko shi! Kangi uyu Lazalo ne akija vibada. Lushe uyu ahembuliziγwa, miya iwe walumiziγwa. 
LUK.16.26	Kangi kushima viya vyoshe, aha gati na gati kwetu na kwenyu kwiatile lwatu lukulu, kangwe wekunda kusheela na uko kwenyu washedahe, vivyoho we uko kwenyu washedahe kuomboka na kwetu. 
LUK.16.27	Angwe: Lushe nakuhembeleza, tate, umtume yuja mwe nyumba ya tate! 
LUK.16.28	Hambu nina wenetu washano; awaγambile uwona, kangwe wohe washezaiza na aha hantu ha kulumiziγwa. 
LUK.16.29	Angwe ni Abulahamu: Wana Mose na wateγanyingwa, newawaive! 
LUK.16.30	Angwe: Do, tate Abulahamu, miya muntu mwelawa kwa wafilewo akibula kwawe, watahitula ntongonyezi zawe. 
LUK.16.31	Azamuli: Ati Mose na wateγanyingwa nkawawaiva, hata muntu akifufuka kwa wafilewo nkewavoteke.
LUK.17.1	Azawati wahina wakwe: Nkavidahikana, vyeihiza wantu vikisheiza; miya yuja mweleka, vikiiza, akatafa! 
LUK.17.2	Ati agelwa mwe shingo nolo gima akitambikwa mwe bahali, vyamwagiza kuzinka viya vyeanduka aho, akiihiza awa wadodo ṅwiyae ywawe muṅwe du.
LUK.17.3	Kiγojeshei kwa mbuli yawe! Ati mnduγu ywako akubanila, mshunde! Ati ahitula ntongonyezi zakwe, vimwushilize! 
LUK.17.4	Ati mushi muṅwe akubanila kamfungate, kangi akikutimila kamfungate akikuti: Navoteka, vimwushilize!
LUK.17.5	Ntuṅwa zizamγamba: Zumbe, tiγenyezeze mitozesheze! 
LUK.17.6	Angwe ni Zumbe: Ati kitozesheze chenyu ni kidodo du sa kahuluzi kadashi, kangi mkiulonga unu msoso: Nofuka, ukitulize mwe bahali!, anga utamiitika. 
LUK.17.7	Ati kwenyu muntu ana mupuna mwemlimila ao du mwemlishiza, yuja akiγotoka kwe ndima, atamγamba: Fikaiza, uikale, uje!? 
LUK.17.8	Nkeamγambe: Liγanya, ndivyo nije lwa ṅwiyaγulo! Kikante, uniγoshwele ndima, mpaka nibinde kuja na kunywa! Nikibinda, nawe utadaha kuja na kunywa? 
LUK.17.9	Yuja mupuna atamlaviliza ntogolo, kuti azaγoshola alaγiliziγwevyo? 
LUK.17.10	Vivyoho hata inywi, mkiγoshola vyoshe mulaγiliziγwevyo, longai: Ti wapuna tishinawo ndima, tizaγoshola viya du vyetitala kuviγoshola!
LUK.17.11	Akihita Yelusalemu ṅwenye azadwisha shi za Samaliya na za Galileya gati. 
LUK.17.12	Akiingila mwe muzi, silai azakintana na waγoshi kumi, ni wakoma, waiγoloke hale. 
LUK.17.13	Waja wazainula vyanwa vyawe angwe: Mfuzi Yesu! Tife mbazi! 
LUK.17.14	Azawaolela, azawati: Hitai, mulawile wavikizi! Aho wakihita, ukoma uzauka. 
LUK.17.15	Ṅwiyae ywawe muṅwe akiona, kuti azahona, azauya akimtogola Mulungu na kanwa kikulu, 
LUK.17.16	azamkinila funi he milundi yakwe, amlavilize ntogolo. Kangi uyu ni Msamaliya. 
LUK.17.17	Yesu azamlandula, azamuti: So kumi wahonilewo? Waja kenda wa kuhi? 
LUK.17.18	Nkawaoneke watuhu wauzilewo, wamunke Mulungu ntogolo, kushima uyu mγeni du? 
LUK.17.19	Azamuti: Inuka, uhite! Mitozesheze yako izakuhonya.
LUK.17.20	Azauziγwa ni Mafaliseyo: Uzumbe wa Mulungu uiza lini? Azawalandula angwe: Uzumbe wa Mulungu ukiiza nkauoniγwa na mesho. 
LUK.17.21	Wantu nkewalonge: Shunu!, ao: Shuuja! Hambu uzumbe wa Mulungu u gatigati kwenyu. 
LUK.17.22	Azawati wahina wakwe: Kuna mishi, ndiyo iize, ne ndiho mwingilwe ni luzwi lwa kuona mushi muṅwe du wa ṅwanangwa ywa muntu, miya nkezemwuwone. 
LUK.17.23	Ne ndiho nezewamili: Shuyuja! Shuyu! Miya mshehite, mshewatongele! 
LUK.17.24	Hambu sa viyaho lumuli luvyolawa mwe lwingu uko cha uko lukimulikila vyoshevye kunucha kunu mwe lwingu, ne ndivyo ṅwanangwa ywa muntu atende uja mushi wakwe. 
LUK.17.25	Miya shuti anelumiziγwa vikulu, shuti anetowiγwa hulu ni inu mbali. 
