GEN.1.1	Ndre mamunen Petngendrei ihnan lok eleng pe lokpoi, pe sane ndre sulo-on. 
GEN.17.9	Inum ti pe Lapan ipe ile tan Abraham yi ihpah, “Ou we eduwe poromis kuti ki-in kihpa ndre Yu undrupa inna tadam tih. Nedum pe papum su hemir pe hemir ndre we hehir omur ti ha-amelyen kolwii yi. 
GEN.17.10	Ou pe yayam su we adahnan kihpa ndre Yu upwe tih: oduu kamal ndre sulo-on eri we henemendrele keltun marta’ oduu ke-eu. 
GEN.17.11+GEN.17.12+GEN.17.13	Idu mahkele pe kile eri oduu we etnemendrele keltun merse-e’ sa kom mone iy ndre hentawe su tapa eriy kinto lon rang ndroruu ti, ndrodan kom mone nedu’ su ndramat lewen marai honto lenga’ oduu pe lewen marai oduu etsihnen su odo mahun ti yi. Iy kurti we kimpaniniyan kihpa ndre poromis kurti imin lenga’ toru kudu eri we kindrito pe kindrito. 
GEN.17.14	Homou kamal ndre kindremendrele keltun merse-en pwi, eri iy ti lewi pwi, pe we hana-as iy ke-eu odosa iy indretawei indre-en indrahpa ndre Yu upwe ti pwi tih.”
GEN.17.15	Inum pe Lapan ipe ile tan Abraham yi ihpa, “Ou ka oyuu mbrulum ti kile Sarai
GEN.17.16	Yu we kupu huyen kile tadan, pe iy we kiduwe nedum homou kamal. Yu we kupu blesim iy, pe iy we kile tine’ sa lau sulo-on sulo-on. Nedun su se we hala king.”
GEN.17.17	Abraham ihrungi Lapan ipe nolou kuti pe iy pandrulku-un ile poi, pe iduwe mbrulin iltu-uw ndre poi. Odoke iy ideherunge pe irkei. Iy idawene ihpa, “Sa kamal krismas ta sa kah sangat ti hanon hopo kom yi? Krismas ta Sarah ti kah onsungoh, pe iy kenon kipu kom yi?” 
GEN.17.18	Iy ipe ile ta Lapan ihpa, “Kile huyen ti Ou eduwe Ismael kisini ndruhu, kidu yu kumwet tih.”
GEN.17.19	Odoke Lapan ipe ile tadan ihpa, “Pwi. Mbrulum Sarah ti we kiduwe nedum homou kamal, pe ou we eyuwen rangan Aisak.
GEN.17.20	Pe ou ehndremte ile tan Ismael tih? Yu undretahrungi ndrileng tadam. Yu we kupu blesim iy yi, pe kuduwe nedun su hohor. Iy we kile tama’ su lau kakah ndre sungoh-pe-rumuu, pe nedu’ su we hohor hala sulo-on, pe kantri ta su ti we mandra-an pe puko-on. 
GEN.17.21	Odoke poromis ndre idu kolu, eri Yu we kuhnan ndrodan Aisak. Sarah we kiduwe Aisak ti kidu mundrun kati, odo krismas imin.” 
GEN.17.22	Lapan ipe sane kuti ile tan Abraham inum pe iyeu.
GEN.17.23	Idu ke ndre rang erti pe Abraham ihnan ihpa ndre Lapan ipe ile tadan tih. Iy imndrele keltu’ su kamal ndre sulo-on. Iy imndrele keltun Ismael, su kamal lewen marai tine’ su heduwei su hodo hun Abraham, ile ndrodan ndre su kamal Abraham isihnen su odo mahun ti yi.
GEN.17.24	Krismas tan Abraham ti kah onsungoh-pe-ndrosih (99) idu mundrun iy imndrele keltun iyeu. 
GEN.17.25	Pe nedun kamal Ismael ti krismas tadan sungoh-pe-toloh (13). 
GEN.17.26	Abraham pe Ismael ti hemndrele keltu’ horu idu ke ndre rang Lapan ipe ile tan Abraham. 
GEN.17.27	Pe idu ke ndre rang erti, su kamal ndre sulo-on, su ndre tine’ su heduwe su hodo ndrongon Abraham, ndrodan ndre su lewen marai, eri hemndrele keltu’ su yi.
GEN.18.1	Lapan ihir ile ngon Abraham odo lon kei nembruwen odo Mamre. Lon worohnuw mandra pe mundroi issing puko-on pe iduwe mundren Abraham imbrusinget. Ile pe iy iyeu isimin pwoi odo pohnkuwen um pelei tadan. 
GEN.18.2	Iy ipiyen madan ile ti pe indroni su lau ndre tulmuu hodo alau hepe odo ndrongon iy. Iy indroni su, eri pe ihtot ile hu su lakopwi. Ipu ruru ile ta su oh pe 
GEN.18.3	ipe ihpa, “Oduu ke ndre il ea, pe odohndro odo kerti oh. Yu ti ummin kerti pe upwe kuhnuwii oduu. 
GEN.18.4	Yu we kuhtekel homou ndramat pe iy we kipu wo kise pe oduu etsingen ndrike’ oduu kile eriy. Otto pahndran kei muru-un kurti pe etmiyau oh. 
GEN.18.5	Yu kupu ana’ oduu hepe song pe otyo-on oh, kile we kipuko-on oduu odo lila-a’ oduu. Wureh taduu lakopwi odo yu uhndremte oduu pe oduu odu-us yu atsa um todo ti, ile pe yu kupoyuyoh oduu oh.”
GEN.18.5	Su hahpa, “Huyen, opo kihpa ndre ou apa tih.”
GEN.18.6	Ile pe Abraham iporitai ile lon um pelei pe ipe ile tan Sarah ihpa, “Oportai kopwi, okun sahat palawa tadam iy ndre huyen lakopwi eri pe ahnan kile bret.” 
GEN.18.7	Inum ti pe Abraham ihtot ile pe iltakuni makau homou ma inek tapa eriy pe indritamumu-uh pe iduwe ile ta lewen marai tadan. Lewen marai ti iporitai itngwii pe ihnan ile misen. 
GEN.18.8	Iy ikuni ndruwon song se ihpa ndre sis, po susun makau, bret, ile ndroda sengin makau misen, pe ikuni ile hu su ndramat kurtih. Abraham ide song pe su hana-an, pe iy idu eleng idu pahndran kei idu koso’ su.
GEN.18.9	Ndre ilnum pe su hehndremte iy, “Ou mbrulum Sarah ti inna kehe?”
GEN.18.9	Abraham ihpa, “Iy ilmin lon um pelei.”
GEN.18.10	Ile pe Lapan ipe ihpa, “Kidu mundrun kerti odo krismas omur eri Yu we kuse yi, pe mbrulum ke Sarah ti we kiduwe nedum homou kamal.”
GEN.18.10	Sarah ti idu ndruwen Lapan ea odo pohngkuwen um pelei pe intahrung. 
GEN.18.11	Abraham pe Sarah kah lopu’ horu, pe Sarah we kindranon kindropo kom pwi. 
GEN.18.12	Ile pe Sarah irkei pe iparuhur ile ke ndre tadan ihpa, “Yu kah lopu pe mundre indrekulkol pe we kupu nedu kihpa kehe? Pe mbrulu yi eri ke ihpa ke eriy.”
GEN.18.13	Inum ti pe Lapan ihndremte Abraham, “Ihpa kehe Sarah irkei pe ipe ihpa, ‘Yu kah lopu pe iyenon yu we kupu kom?’ 
GEN.18.14	Handrai sa mangsan puko-on odo ta Lapan tih? Ihpa ndre Yu undrupa tih: kidu krismas omur eri Yu we kuse yi, kidu mundrun ndre Sarah we kiduwe nedun homou kamal.”
GEN.18.15	Sarah inuh, ile pe idewehweh ihpa, “Yu undrerekei pwi.”
GEN.18.15	Odoke Lapan ihpa, “Ndrendrokene, ou erkei tih.”
GEN.18.16	Ndre ilnum pe su lau ndre tulmuu hatlang pe hala lok sehir iy ndre su we hodo eriy pe hendre-et kile pwoi kile Sodom, ile pe Abraham iyus su ipe kiltudou su kile sal.
GEN.18.17	Ile pe Lapan idawene ihpa, “Handrai sa ndre Yu upwe kupu eri kutnguyon tan Abraham kolwii. 
GEN.18.18	Yayan su we hohor pe hala puko-o’ su, pe kindreh hun iy, eri we Yu kupu blesim sa ndramat odo lokpoi ndre mandra-an yi. 
GEN.18.19	Yu urih tadan ti upwe kile we iy kipunuwon nedun pe papon su pe we hantahrung Yu pe hodo omur punou huyen ta Lapan. Ipe ye su hahnan kihpa ndre eriy, eri Yu we kuhnan sane ndre sulo-on tadan kihpa ndre Yu undrupa tih.”
GEN.18.20	Lapan ke ipe ile tan Abraham, “Horut inna mandra ke idu lon lok Sodom pe Gomorah, pe punou mo-on pe to-ir ta su yi, eri inna mandra lakopwi. 
GEN.18.21	Yu we kule pwoi pe kulndre-et. Ndrendrokene ihpa ndre Yu uhrung ti ndre pwi.”
GEN.18.22	Inum ti pe horu ndramat rumuu eri harlila ile wuron Sodom, odoke Lapan ti into ndre ndrodan Abraham. 
GEN.18.23	Abraham inuruwe ile hu Lapan pe ihndremte ihpa, “Ou ka we ahyan su ndramat huye’ su ti kile ke ndroda su ndramat mo-o’ su tih? 
GEN.18.24	Ipe ye su limngeh (50) huye’ su, Ou we atndruwyan taon ti ndre pwi? Iyenon Ou atndruwyan taon kolwii odo ta su ndre limngeh kurti? 
GEN.18.25	Yu tuno, sane ndre sulo-on Ou ompo ti huyen kopwi. Odoke uh, ipe ye Ou ahyan taon eri su huye’ su ti we helnget yihin to-ir ta su mo-o’ su tih. Iy erti punou huyen pwi. Ou ti jas odo lokpoi ndre mandra-an pe homosa ndre Ou opo eri kihtot ke ndre sal huyen.”
GEN.18.26	Lapan ihpa, “Ipe ye su limngeh huye’ su he-en Sodom, eri we Yu kundrutandruwyan taon ti pwi.”
GEN.18.27	Abraham ihndremte yi, “Yu we mapwi kunehndremte Ou ilelih lakopwi pe Ou kihne we tawene tadam kihrut kile todo. Lapan, Mandra-an todo. Yu ti ndramat pe unosohou ke porah. 
GEN.18.28	Odoke ipe ye su ke hangoh-pe-limuu huye’ su, Ou we atndruwyan taon ndre mandra-an ndre pwi?”
GEN.18.28	Lapan ipe ihpa, “Yu we kundrahyan pwi ipe ye su hangoh-pe-limuu huye’ su he-en eriy tih.”
GEN.18.29	Abraham ihndremte yi, “Pe uh ipe ye su ke hangoh kopwi?”
GEN.18.29	Iy ihpa, “Ipe ye su ke hangoh eri Yu we kundrahyan taon ti pwi.”
GEN.18.30	Abraham ihpa, “Mandra-an todo, lon ndrinem keweh kile todo, odosa yu upwe kusohou yi. We kihpa kehe ipe ye su ke tulngeh kopwi tih?”
GEN.18.30	Iy ihpa, “Yu we kundrupo pwi ipe ye su ke tulngeh tih.”
GEN.18.31	Abraham ihpa, “Ndrinem keweh kile todo, Lau Mandra-an, yu we mapwi kunehndremte ke Ou. Ipe ye su lau huye’ su ti rungeh holto eriy, Ou we ahyan taon ndresih?”
GEN.18.31	Iy ihpa, “Yu we kundrahyan taon pwi, ipe ye Yu kutureh ke ta su rungeh tih.”
GEN.18.32	Abraham ihpa, “Mandra-an todo, kihne we Ou lon ndrinem kinei kile todo ile pe yu upwe kusohou ke petsih koson yi. Ihpa kehe, ipe ye Ou ohtunom kihpa ndre su ke sungoh huye’ su holto eriy tih?”
GEN.18.32	Iy ihpa, “Yu we kundrahyan taon odo ta su ndre sungoh ti pwi yi.” 
GEN.18.33	Lapan isohou tan Abraham inum ti pe Iy iyeu pe Abraham iyeu ile yi ndre Mamre.
GEN.19.1	Horu engel ndre rumuu herihir Sodom idu pehon eriy, eri pe Lot imin pwoi odo pohon sariy ile taon odo Sodom. Horu herihir kopwi ti pe Lot iltuwe horu pe illa ile ngo horu. Iy ipu ruru ile ta horu 
GEN.19.2	pe ipe ihpa, “Oruu il, yu we kuhnuwii oruu. Arsa um todo. Ersingen ndrike’ oruu oh pe tidene-en. Ndromoh maping ndre lik pe ka erenelila kile yi.”
GEN.19.2	Odoke horu harpa ile tadan ihpa, “Pwi, oru we ermetir ermin ndre malal kutih.”
GEN.19.3	Odoke Lot ihkiki-ei ile puko-on ile pe horu harla um ndrodan iy. Lot ipe ile ta su lau lewen marai tadan pe hahnan bret se yis inna lon pwi, pe hadahangi song se yi ile ndrodan. Song ile misen ti pe horu horyo-on.
GEN.19.4	Horu herndremetir mapwi, eri pe sa lau ndre sulo-on odo lon taon Sodom hasa pe hosokoltan um. Su eleheu pe ilto ndre su il kurou hasa ndre ilnum. 
GEN.19.5	Inum pe su hoyuw ile ngo Lot ihpa, “Horu lau harsametir mahkele lukumwen hermin ngon ou ti herndrela ‘he? Okuni horu harsa kiu, pe odu atta mbrutle’ horu.”
GEN.19.6	Ile pe Lot ile kiu pe ihndrepti pohngkiu 
GEN.19.7	pe ipe ile ta su, “Oduu tinto, otpo punou mo-on kile ta horu kolwii. 
GEN.19.8	Yu nedu horu pihin ndre rumuu, harndrela mundren homou kamal mapwi. Horu we harsa kiu pe oduu otpo homosa kile reh taduu eri kile ta horu. Odoke horu ndramat iy ndre harsametir harsa um todo, eri we yu modo kise ta horu. Oduu otpo hangka-an kile ta horu kolwii.”
GEN.19.9	Odoke su Sodom hohrungi nolou kuti pe hapa ile ta Lot ihpa, “Ehpil odo sala’ odu. Ou ti yohang! Opunou odu kolwii. Owou! Pwi ti odu we otpo mo-on kile ta horu lau tadam, pe ou eri odu we adahyan ou kihmo-on lakopwi.” Pe su hotndrusuwen Lot ile yi, pe hala hapa hetpel pohngkiu.
GEN.19.10	Odoke horu lau hermin lon um ti horohrus ile lumwen pe horuwi iy ile ndre lon um yi pe hoduhi kuwe’ su ihndrepit. 
GEN.19.11	Inum pe horu harahnan mada’ sa lau ndre sulo-on he-en kiu ti hehndrepit. Su hendre-et lok tahit ile pe handranon hondroltuwe madan pohngkiu pwi.
GEN.19.12	Horu lau ndre rumuu ti herehndremte Lot ihpa, “Ou se lewim mapwi hodo taon keti yi ndre pwi? Okuni nedum su ndre sulo-on ndroda su konsuwom pe su lau tadam se yi hodo kede eri pe atalang odo taon ketih. 
GEN.19.13	Odosa oru ka we arahyan taon kihmo-on. Lapan indrehtunon horut mandra lakopwi ke idu lok kerti ile pe iduwe oru arsa ti odo we arahyan kihmo-on.”
GEN.19.14	Ile pe Lot ile ngo horu lau ndre we harasuwon nedun horu pihin ndre rumuu ti pe ipe ile ta horu ihpa, “Orportai! Artalang ara-au odo ketih. Lapan ipe we kihyan taon.” Odoke horu harpa ye iy impa ile ke ndruwot.
GEN.19.15	Idu lirang ti pe horu engel harpa ile ta Lot ihpa, “Oportai! Okuni mbrulum pe nedum horu pihin pe atalang odo taon ketih. Kihne we atmat ndroda sa kamal pe pedih se yi.” 
GEN.19.16	Lot ihndrene hepe. Odoke Lapan ikarndrundrumwi iy, ile pe horu engel ndre rumuu lumwe’ horu ise lumwen Lot ndrodan mbrulun pe nedu’ horu pihin pe herkuni su ha-au hala kiu odo lon taon. 
GEN.19.17	Inum pe iy homou ti ipe ihpa, “Ada-au otportai, kihne atmat. Etndre-et kise omur kolwii. Atmayau pe odohndro odo ndrolon ti kolwii yi. Ada-au atla ndre pule-en puliy eleng, pwi ti we atmat.”
GEN.19.18	Odoke Lot ipe ihpa, “Yoh Lapan, yu undranon kundrahnan ihpa ndre Ou apa ti pwi. 
GEN.19.19	Ou akarndrum yu pe ehnuwii yu ile mandra-an lakopwi pe okuni yu uweu odo lon horut kurtih. Odoke puliy eri hele-en alau. Kihne we yu mapwi kunohtot hepe lengan ise kiti pe hangka-an horut kurti we kisopudi yu pe yu kumwet. 
GEN.19.20	Ou onoltuwe taon lehyen ilso tih? Iy eti mukehe hepe. Eduwe yu kule ke lok ertih. Lok eti lehyen kopwi oh. Yu we kule eriy eri we kundrohrut pwi.”
GEN.19.21	Pe engel ipe ihpa, “Erti huyen, yu ti wasu-u yi. Yu we kundrahyan taon kiti pwi. 
GEN.19.22	Otportai! Odohtot! Yu we kundrupo handrai hangka-an mapwi uu kenon ndre oduu etndrehir taon etih.”
GEN.19.22	Lot ipe taon erti netlehyen, ile pe sa hoyuwen rangan ile Soar.
GEN.19.23	Mundroi ke inak ise eleng, pe Lot ihir ile Soar. 
GEN.19.24	Inum ti pe Lapan ihnan pat mburten ndroda yih ile pwoi ile pule-en Sodom pe Gomorah. 
GEN.19.25	Lapan itlumwi taon ndre ruweh ndrodan ndre ndrolon ndre mandra-an. Sa ndramat ndre sulo-on hamat, pe sane ndre sulo-on henerenge odo pule-en poi ti hamat. 
GEN.19.26	Odoke mbrulun Lot ti indre-et ise ndre omur, ile pe Lapan iputulwen iy ihir ile odon sol pe itleklek into ndre eriy.
GEN.19.27	Idu maping ndre lik rang sei yi eri pe Abraham iporitai ile lok munen ndre iy horu Lapan horsohou horto eriy. 
GEN.19.28	Iy indre-et ile pwoi ile Sodom pe Gomorah pe pule-en ndrolon ndre mandra-an, eri pe indroni ke paryah intudot odo pule-en lok. 
GEN.19.29	Idu iy ndre Lapan ihyan taon ndre ruweh odo lok ndrolon ndre Lot imin eriy, eri iy idawonon Abraham, ile pe iduwe Lot iyeu ile lok ndre horut we kindrihir eriy pwi tih.
GEN.19.30	Odoke Lot inuh odo taon Soar, ile pe iy ikuni horu nedun pihin ti pe su ha-au hala puliy hala eleng pe ha-au honto pehliy sih. 
GEN.19.31	Ile pe nedun Lot tolun eri ipe ile tan iy omur ti ihpa, “Tama’ toru ke ilelih lopun pe homou kamal indrimin ye sehir lok, iy ndre we kise pe kisasuwon toru pe torpo nedu’ toru ti pwi. 
GEN.19.32	Tortudou wain kile tadan pe iy ki-ing pe kipu sipak, eri pe toru termetir ndrodan iy kile we torpo nedu’ toru. Tarahnan kihpa kurti we yayan tama’ toru ti we kindrunum pwi.” 
GEN.19.33	Idu lukumwen erti pe horu hartawe wain ile tan tama’ horu pe iy iying pe ipu sipak, ile pe iy nedun pedih tolun eri imtir ndrodan iy. Odoke iy ipu sipak ile mo-on pe indrehtunon hepe pwi.
GEN.19.34	Ile maping sei yi ti pe iy munen ti ipe ile ye tan iy omur ti ihpa, “Pingi lukumwen eri yu umtir ndrodan iy, pe mahkele eri toru we tarahnan iy kipu sipak pe ou emtir ndrodan iy lukumwen yi. Kile we toru ndre rumuu we nedu’ toru tan tama’ toru. 
GEN.19.35	Ile pe idu lukumwen eri pe horu hartawe wain ile tan tama’ horu pe iy iying pe ipu sipak, ile pe iy pihin omur ti imtir ndrodan iy yi. Lot ipu sipak ile mo-on ile pe indrehtunon homosa horu nedun horpo ile tadan kurti pwi.
GEN.19.36	Ile ke sal kurti pe horu kom pihin kurti harla ndriye’ horu tan tama’ horu ke Lot. 
GEN.19.37	Pihin tolun iduwe nedum homou kamal pe iyuwen rangan ile Moap. Iy ke ile tama’ su lau hemir idu mahkele sa heneyuwen su ile Moap. 
GEN.19.38	Pe iy nedun pihin omur ti iduwe ye nedun kamal homou yi pe iyuwen iy ile Benami. Iy ke ile tama’ su lau hemir idu mahkele sa heneyuwen su ile Amon.
GEN.20.1	Abraham iyeu odo Mamre pe illa ile kup ea ile Negev pe imandro imin lok sehir ise ndrokoron Kades pe Sur. Ndre omur pe iy horu mbrulun ke Sarah hara-au ile Gerar taon. 
GEN.20.2	Pe iy ipe ile ta sa lau odo Gerar ihpa, “Sarah eri timsu-u.” Ile pe Abimelek, king odo Gerar, ihtakalan lewen marai tadan iltakuni Sarah ise ngon iy. 
GEN.20.3	Lukumwen sei eri pe Abimelek imih ipe Lapan ihir ile ngon iy pe ipe ihpa, “Ou ka we amat, odosa pedih ou okuni iy kudu, eri iy mbrulndrat.”
GEN.20.4	Abimelek indremetir ndroda Sarah mapwi, ile pe iy ipe ihpa, “Lapan, yu ti ndramat huye! Ihpa kehe pe Ou apa we ahyan yu ndroda su lewi ndre sulo-on tih? 
GEN.20.5	Abraham iy ndre iy ipe horu ti timso-o’ horu horu. Pe pedih ti ipe horu ti madan timso-oi yi. Yu upu kurti ile tawene huyen pe undrehrut indrito hangka-an pwi. Upwei ye upu ke ndre punou huyen kopwi.”
GEN.20.6	Lapan ipe idu lon mihmih tadan ihpa, “Ehe. Yu tuno ou opo ile tawene huyen. Ile pe Yu uhndriti ou pe ou anna koson pwi, odo kile pe ou eduwe to-ir kimin modo kolwii. 
GEN.20.7	Odoke sowin kopwi eduwe pedih kuti kile ndre ngon mbrulun yi, odosa orngon kuti iy profet, ile pe iy we kisurok kile henuwii ou, pe ou we andrimat pwi. Pe uh ou andratawe pedih mbrulun ti kinna yi pwi, eri ou we amat ndroda su lewim ndre sulo-on.”
GEN.20.8	Abimelek itlang maping ndre lik pe iyuwen su opisa tadan pe inen nolwo-on Lapan ndre sulo-on ile ta su. Pe su honoh ile mo-on lakopwi.
GEN.20.9	Inum ti pe Abimilek ipe pe sa heltokai Abraham. Pe Abimilek ihndremte iy ihpa, “Ou opo punou sa ile tadu tih? Handrai sa horut yu upupu-uh ile tadam uu pe ihnan pe ou apa eduwe horut mandra-an kise puli-i pe ndromto pe lone tih? Handrai sa ndre ou opo ise todo eri mo-on kopwi. 
GEN.20.10	Tawene tadam sa uu pe ou opo punou kitih?”
GEN.20.11	Abraham ipe ihpa, “Yu unuh upwe kihne sa lau odo lok keti hesenoru-ur tam Petngendrei pwi, pe kihne su hapwi yu kumwet pe hokuni mbrulu. 
GEN.20.12	Sarah eri timsu-u ndre ndrokene. Tama’ oru ke homou, odoke oru homou ndre tinen pe homou ndre tinen, pe yu uwosuwon iy. 
GEN.20.13	Idu rang ndre Lapan iyuwen yu uweu odo ndrongon tomo su pe lone, pe oru aralila lok hokor ile hokor odo mahun, eri yu umpa ile ta Sarah ihpa, ‘Uh ou wasu-um yu ile mandra-an, eri hepe iy ndre toru tarla eriy, eri ou we ampa kile ta sa lau kihpa, “Abraham eri timsu-u.” ’”
GEN.20.14	Abimelek iduwe Sarah ile ndre ngon Abraham yi. Pe iy ihlingi Abraham ile sipsip, makau, pe lewen marai ke porah pedih pe kamal. 
GEN.20.15	Pe ipe ile tan Abraham ihpa, “Endre-et, poi ndre mandra-an kuti todo. Ou apa amandro emin kehe, eri emin eriy.” 
GEN.20.16	Pe iy ipe ile ta Sarah ihpa, “Yu kawe kuduwe silwa ndre ndralahan posungoh kile tan timsu-um, kile pe sa lau ndre sulo-on hodo ndrodan ou, eri we hohtuno sa, ou ti andrahnan hangka-an mo-on pwi.”
GEN.20.17+GEN.20.18	Lapan ihndrepti su pedih ndre sulo-on lewen Abimelek pe hondropo nedu’ su pwi. Iy ihnan ihpa kuti ile muden punou sa ndre Abimelek ipu ile ta Sarah, mbrulun Abraham. Ile pe Abraham isurok ile ngon Lapan, pe Lapan ihnan Abimelek ile ndre huyen yi. Pe mbrulun Abimelek ndroda su pedih lewen marai tadan, eri hanon hopo ndre nedu’ su yi.
GEN.21.1	Lapan ipu huyen ile ta Sarah ihpa ndre Iy indripa ipe Iy we kipu tih. 
GEN.21.2	Eri pe Sarah ile ndriyen pe iduwe nedun Abraham homou kamal. Idu rang ndre Sarah iduwe nedun, eri Abraham ke inna lau nusuwon. Anah lehyen kurti heduwe iy idu ke ndre pat mundrun iy ndre Lapan ipe we heduwe iy kidu eriy tih. 
GEN.21.3	Abraham irson rangan ile Aisak.
GEN.21.4	Rang ihndre ndroruu pe Abraham imndrele keltun me-en Aisak iyeu ihpa ndre Lapan irih tih. 
GEN.21.5	Abraham krismas tadan ihndre puken sangat pe heduwe Aisak. 
GEN.21.6	Sarah ipe ihpa, “Lapan ke indrehlingii yu kom homou pe yu upwo-es ile eriy. Sa ndramat iy ndre hehrung eri we hopwo-es pe herkei ndroda yu.” 
GEN.21.7	Inum oh ti pe iy ipe ye sehir yi, “Pihe ti sa lau hampa hapa yu we kundranon kundrisus homou kom pwi. Sa hapa Abraham ti mo-on lopun. Odoke yu ka undretawe nedun Abraham homou kamal.”
GEN.21.8	Kom kurti imndra, pe idu rang ndre iy inum sus, eri pe Abraham ihnan song mandra-an.
GEN.21.9	Petsih eri pe Ismael, nedun Abraham homou munen ndre ta Hagar pedih Isip, pe Aisak horompo ndruwot horso hondroh. 
GEN.21.10	Sarah indroni horu pe ipe ile tan Abraham, “Adapipan lewen marai todo Hagar pe nedun hara-au. Yu mbori horu hermin. Nedun pedih lewen marai ti we kinna taman sane tadam ti pwi. Sane tadam ndre sulo-on ti we tan nedu kopwi.”
GEN.21.11	Sarah isukuni nolou ti pe tawene tan Abraham ihrut ile mo-on odosa Ismael ti nedun yi. 
GEN.21.12	Odoke Lapan ipe ile tan Abraham, “Adawene puko-on kile tang kom pe tinen ti kolwii. Ahnan kihpa ndre Sarah ipe ile tadam tih, odosa we kindreh mundren Aisak eri yayam su we hehir kihpa ndre Yu undrapandranan. 
GEN.21.13	Yu we kuduwe su yayan Ismael eri we hohor pe we hohtungon kantri ndre sih yi. Odosa iy ti nedum yi tih.”
GEN.21.14	Idu maping ndre lik rang sei yi ti pe Abraham iduwe song pe wo hedehen ile lon keltun meme hosokoptii ihpa ndre ndrop ti uu pe ndre iltah. Inum oh ti pe Abraham iduwe wo pe song ile ngondrun Hagar pe idepipan Hagar horu Ismael hara-au.
GEN.21.14	Hagar horu nedun hara-au pe haralila kopwi sehir ile sehir hermin lok sa ndramat hosonto eriy pwi odo Berseba. Lok erti on pe pat ke porah kopwi he-en eriy. 
GEN.21.15	Hepe wo ke indrimin lon keltun meme ti pwi, ke indrinum ndresale, ile pe iy iduwe nedun imin ndre pahndran kei hopus 
GEN.21.16	pe iy illa ile mahun, alau hepe odo ndrongon nedun. Imandro imin pwoi pe intawene ihpa, “Yu kundre-et nedu kimet ti kolwii.” Imin ke ndre pwoi erti intawene, pe wayen madan irur pe ideng.
GEN.21.17	Lapan ihrungi anah kurti intang, ile pe engel ta Lapan isohou odo heven ile ta Hagar, “Handrai sa ihrut pe ou antawene puko-on ile eriy tih? Onoh kolwii. Lapan indrehrungi ndrelngin kom tadam tih. 
GEN.21.18	Atlang ala pe osori iy kidu eleng pe apasi iy. Yayan su eri we hohor pe hohtungon kantri hene mandra-an.” 
GEN.21.19	Lapan irwei ndre madan yi, pe iy indre-et ile ti pe indroni wo ngat hene. Iy illa ile pe iltehen wo ile lon keltun meme uu pe ndre iltah oh pe iduwe ile tan nedun pe nedun iying.
GEN.21.20	Ismael inemandra eri pe Lapan immin ndrodan iy yi. Pe anah ti ine-en lok sehir on pe pat ke porah he-en eriy odo Paran. Pe iy ti ndramat homou yuhwon. 
GEN.21.21	Tinen ikuni pedih homou odo Isip ile mbrulun.
GEN.21.22	Idu rang sei eri Abimelek, ndrodan Fikol ndramat ine-en munen su lewen pahun tadan ti harla pe Abimelek ipe ile tan Abraham ihpa, “Ou ompo sane ndre sulo-on eri Lapan immin ndrodan ou. 
GEN.21.23	Ile pe idu rang mahkele eri ou adamumoi kile rangan Lapan kihpa ndre ou we ondroposahi yu, nedu su pe yayo su pwi yi. Yu umpo huyen illa tadam, ile pe yu upwe ou opo huyen kile todo pe kile pule-en lok iy ndre ou ka emin eriy ti yi.”
GEN.21.24	Abraham ihpa, “Yu udemumoi.”
GEN.21.25	Odoke Abraham ipe yi ihpa, “Su lau tadam eri hehkikiyan wo ngat todo sih. Ou adawene ihpa kehe ile eriy?”
GEN.21.26	Abimelek ihpa, “Yu tuno homou ipu kirti pwi. Ou andripa hepe inna todo pwi. Yu ti uhrung tapa kurtih.”
GEN.21.27	Ile pe Abraham ikuni sipsip se ndrodan ndre makau pe iduwei ile tan Abimelek, pe horu harta penuw.
GEN.21.28	Inum pe Abraham iltakuni nedun sipsip ndrukwil ndre ndrotulmuu yi pe iduwe su hoso ndre mahun, 
GEN.21.29	ile pe Abimelek ihndremte iy, “Ou opo kirti ile sa lakopwi?”
GEN.21.30	Abraham ipe ile tadan ihpa, “Ahwasu-um pe ekuni nedun sipsip ndre ndrotulmuu kurtih. Yu uhnan ihpa kudu, erti kile we ou ohtunom ihpa ndre yu, eri ndramat ndre iyeli wo ngat kurtih.” 
GEN.21.31	Ile pe lok erti heneyuwen ile Berseba, odosa horu harta penuw horto eriy.
GEN.21.32	Ndruwen horu herehndrepti suhwo’ horu ile hondroh hermin Berseba inum ti pe Abimelek horu Fikol hara-au ile ndre Filistia yi. 
GEN.21.33	Inum pe Abraham idohon kei he-ei rangan tamarisk idu Berseba pe iy illa eriy ilenesurok illa ndrongon Lapan Petngendrei Ndre Immin Ndrepihe Ndrekahai. 
GEN.21.34	Abraham imandro imin Filistia elwe-en hepe lakopwi.
GEN.22.1	Idu omur yi ti Lapan ipe kihkelmene bilip tan Abraham. Ile pe Iy iyuw, “Abraham!”
GEN.22.1	Abraham ihpa, “Homosa! Yu umwin kede.”
GEN.22.2	Pe Lapan ipe ihpah, “Ndromoh eri okuni nedum ke ndre homou kamal ndre ou edim iy lakopwi ti pe arla Morayah. Yu we kupahran puliy sih ilso eriy kile tadam. Okuni Aisak arla eriy pe eruhe iy kimet, kinum pe etlumwi iy ndre homou kile surok tadam kise ndrongon Yu.”
