MAT.1.1	Chitabu cho lukolo lwa Yesu Kilisito, imwana wa Daudi, imwana wa Ibulahimu. 
MRK.3.5	Hakawakumhulila meso kose kose kwa nyono, yena usungu kosoko yo ukugutu we fidoga fyawo. Yakumugamba ayuya imunhu, “Golola umukono wako. Naye hakaugolola, na umukono wakwe houhona.” 
MRK.3.6	Amafalisayo hawalawa na chimwande haweka njama hamwedu na Mahelodiya kosoko yakwe uleke wamukome.
MRK.3.7	Yesu yaleuke hamwedu na wefusa wakwe, kuluta kunghingi ye bahali na wanhu itewa kulawa Galilaya weja wamwandamila; kahi kulawa Uyahudi, 
MRK.3.8	na Yelusalemu, na Idumaya, na umwambu wa Yolodani, na ulwandi lwa Tilo na Sidoni. Itewa ikulu, wakahulike simbuli sose soyagolose, hawamwijila. 
MRK.3.9	Hakawalonga awefusa wakwe fina wamwikile chiya habehi naye, kosoko ya ditewa dya wanhu, wangheje womukanhamisa; 
MRK.3.10	Kosoko hakahonya matewa, hata awaya awowile na sinhamu, weja wakisegesaga uleke wamukwafe. 
MRK.3.11	Na wena magini gehile chila fowakumona, wakugwa na kujoja, wakugamba, “Agweye no umwana we Mulungu.”
MRK.3.12	Hakawalemesa lugano, wanghamubwambwase kuwanhu.
MRK.3.13	Kahi hakakwila kwitunda na kuwenanga wose woyendile howomwijila. 
MRK.3.14	Kamei yawasagula ikumi na weli, wowe hamwedu naye, uleke yawatume kuhubili. 
MRK.3.15	Kahi wowe na udaha wa kulafa magini:
MRK.3.16	Simoni yamwingha disina dya Petulo; 
MRK.3.17	Yakobo imwana wa Sebedayo, na Yohana imunduguse wa Yakobo, yoyawengha disina dya Boanege, nong'amba, “Wana we ididimo;” 
MRK.3.18	Andilea na Filipo, na Batolomayo, na Matayo, na Tomaso, na Yakobo imwana wa Alufayo na Tadei na Simoni Mukananayo, 
MRK.3.19	na Yuda Isikalioti, iyamusongesa. Kamei hakaluta ukaya.
MRK.3.20	Ditewa dya wanhu dyakitang'anyila kahi, hata awene wasapata luneka lwa kudiya. 
MRK.3.21	Awanduguse wakahulike simbuli so, hawamulutila uleke wamukole; kosoko hawagamba, “Ditwi dyakwe dijuguma.”
MRK.3.22	Na Watulumi awadulike kulawa Yelusalemu, hawagamba, “Kena Belisebuli, na yakulafa simhepo kwa udaha we mukulu wa magini.”
MRK.3.23	Hakawenanga, na kuwatamila kwa mbasi: “Iluhoma kodaha kumulafa Luhoma? 
MRK.3.24	Nghona Undewa unghakitemanula uwecho kwa wecho usikudaha kugendelela. 
MRK.3.25	Na inyumba inghakitemanula iyecho kwa iyecho, inyumba yo isikudaha kugendelela. 
MRK.3.26	Iluhoma yanghakisuhila imwecho na kigawa nghekudaha kugendelela, ninga indumo yakwe ija. 
MRK.3.27	Kwechaka munhu yekudaha kwingila kunyumba ye munhu yena ludole na kulonda ifinhu fyakwe, mpaka yakonge kumoha imunhu wo ludole; noho yakudaha kulonda inyumba yakwe. 
MRK.3.28	Chawelu, nikumutamilani, uwihi wose wa awanhu wakudaha kuleusiligwa, na matofulo gose gowekulonga; 
MRK.3.29	Ninga imunhu iyakwenda yamutofule Muhe Musunhile yakuwa na wihi wa majuwa gose.” 
MRK.3.30	Kosoko wagambile fina Kena magini gehile.
MRK.3.31	Haweja ing'ina ne wanduguse: Wema kunje, walagisa munhu yamwinange. 
MRK.3.32	Amatewa hawowa wekale, wamusunguluta, wamugamba, “Langa, ing'inako na wanduguso, wowa kunje wakukuhananga.”
MRK.3.33	Yawabidula, yekugamba, “Imayi na wandugu sangu no chenani?” 
MRK.3.34	Yawalanga awaya awekale na kumusunguluta kose kose na kuwagamba, “Langa! Imayi na wandugu sangu! 
MRK.3.35	Kosoko imunhu wowose iyakugolosa foyakuhananga iMulungu, ayo no mundugusangu, no lumbu dyangu no ng'inangu.”
MRK.4.1	Yakonga kahi kuwafusa kunghingi ye bahali. Ditewa ikulu lugano dya wanhu, dyamusunguluta, imwene yengile muchiya, na kwikala muchiya ulwandi lwe bahali, ditewa hodikuwa kunje ye bahali, kuisi kwichaka meji. 
MRK.4.2	Yawafusa mbuli nyingi kwa mbasi, mumafuso gakwe yawagamba:
MRK.4.3	Hulikiseni! “Imuhandi yaluta kuhanda. 
MRK.4.4	Kamei ugele foyahandage imbeyu imonga hoilagalila munghanda ye njila, ifidege hofiidiya. 
MRK.4.5	Imonga hailagala hena diwe, hahowa na ulongo mukefu. Chimwande hoikota kosoko ya ulongo mukefu. 
MRK.4.6	Kamei dijuwa dikalawe, hailakala, na kosoko ichaka misisi hainyala. 
MRK.4.7	Isimonga hosilagala ahena imiwa, imiwa iya yakula na kuikanhamisa, hoileka kweleka mhule. 
MRK.4.8	Simonga hosilagala hena ulongo umuswanu hosikweleka, hasota na kukula, na kweleka: Imonga mhule makumi madatu, imonga makumi mutandatu, na mhule imonga igana dimwedu. 
MRK.4.9	Yena singhutwi so kuhulika yahulike!”
MRK.4.10	Naye yakowe ye imwene awaya awanhu awamusungulute na waya ikumi na weli, howomusa difuso dye mbasi. 
MRK.4.11	Yawagamba, “Anyeye mumotesigwa kumanya imbuli ifisigwe ya undewa we Mulungu, ninga kwa waya wowile kunje gose gakugolosigwa kifana mbasi, 
MRK.4.12	uleke hata wanghalanga, walange wanghone,
MRK.4.12	‘Na wanghahulika, wahulike wanghamanye,
MRK.4.12	Wangheje wobiduka na kulekeleligwa.’”
MRK.4.13	Kahi yawagamba, “Musikuimanya imbasi ino? Simbasi simonga mosimanya nhani? 
MRK.4.14	Imuhandi ayo yakuhanda imbuli. 
MRK.4.15	Awano no wowile munghanda ye injila ichigele choikuhandigwa imbeyu; awene, wanghahulika imbuli, chimwande yakwija Luhoma na kuileusa aiya imbuli ihandigwe mufidoga fyawo. 
MRK.4.16	Nheifo awa nawo nowaya wahandigwe mu mawe, awene wakuhulika iya imbuli. Chimwande waihokela kwa chinyemi. 
MRK.4.17	Ninga wachaka misisi mugati yao, wakugendelela chipisi chiguhi. Kughalawanisa migogolo kosoko ya iya imbuli, wakuleka kuhuwila. 
MRK.4.18	Na wano nowaya wakuhandigwa mumiwa. Ni wanhu wakuihulika imbuli, 
MRK.4.19	na simbuli se chilunga, na udasi we mali, na kukwegigwa na finhu, sikukanhamisa iya imbuli mpaka imbuli iya isikudaha kweleka. 
MRK.4.20	Na wano nowaya wahandigwe mu ulongo muswanu, no wanhu wakuihulika imbuli na kuihokela, na kweleka si mhule: Aino makumi madatu, aino makumi mutandatu, na aino igana dimwedu.”
MRK.4.21	Yawagamba, “Itaa ikwija igubikigwe? Si kwikigwa muchigwaso? 
MRK.4.22	Kosoko kwechaka mbuli ifisigwe ninga kosoko ije imanyike, kahi kwechaka difisigwe ninga dije dyoneke pwi, pwi, pwi. 
MRK.4.23	Imunhu nghona yena nghutwi sa kuhulika yahulike.”
MRK.4.24	Hakawagamba, “Mulangisise go mukuhulika, imhishi iya yo mukupima, noyo mukamupimiligwa na kahi mukongeseligwa. 
MRK.4.25	Kosoko yena chinhu yakwenda yenghigwe, na ayuya yechaka chinhu, hata chiya choyenacho yakuhokigwa.”
MRK.4.26	Yagamba, “Undewa we Mulungu ukifana munhu yanyagile imbeyu musanga, 
MRK.4.27	yakugona na kwinuka, chilo ne imisi, na imbeyu hoikota na kukula, fonghamanyile. 
MRK.4.28	Kosoko iisi ikweleka iyecho, ikukonga dinyagala, kamei chida, kamei disanja dye ingano ikangale mwisanga. 
MRK.4.29	Inghakangala, yakwingisa ihengo yakwe kosoko ugele wokududula ufika.” 
MRK.4.30	Yagamba, “Chiliganise na choni undewa we Mulungu? Kahi chiugume mu mbasi yaki? 
MRK.4.31	Ikifana imbeyu yo umheja, iyene foikuhandigwa mu ulongo ni ndodogi kusuma si mbeyu sose suwile mu chilunga; 
MRK.4.32	ninga inghahandigwa, ikukula kusuma amabiki gose, ikuwa na matambi makulu mpaka amadege ga kulanga gakujenga amafulu gawo mwipeho dyakwe.”
MRK.4.33	Kwa mbasi nyingi sifanile ino, hakalonga nawo imbuli fowadahile kuhulika. 
MRK.4.34	Ninga bila mbasi nghalongile nawo, kamei yawatamila awefusa wakwe we imwene.
MRK.4.35	Dijuwa diya ikowe hegulo, yawagamba, “Chiloke mpaka umwambu.” 
MRK.4.36	Na fowadilekile ditewa dya wanhu kunyuma, hawamulonda imwene hamwedu nawo muchiya nheifiya foyowile. Na Ifiya fimonga, hafyua baho hamwedu naye. 
MRK.4.37	Lwalawa luputa lukulu lwa imheho, amawingo hagatowa ichiya, na kukonga kumema meji. 
MRK.4.38	Imwene hakowa kunyuma ye ichiya kagona mu muto. Hawamwinusa, wakumugamba, “Mwalimu, nghukona ubasi aseye fochikufa?”
MRK.4.39	Hakenuka, na kuigombela imheho, yakuigamba ibahali, “Nyamala twi!” 
MRK.4.40	Hakawagamba, “Nhani mukogoha? Mwichaka ihuwi?”
MRK.4.41	Hawengiligwa na chogoho chikulu, na kukonga kulonga awecho kwa wecho, “Ayuno nani, imwene imheho ne bahali fikumuhulika?”
MRK.5.1	Hawaloka umwambu we bahali, mpaka muiisi ya Wagelasi. 
MRK.5.2	Yakahulumuke mu chiya, chimwande, haketang'anyila ne munhu, yalawile kufilalo, yena imhepo ihile; 
MRK.5.3	ukalo wakwe hauwa kufilalo; hahowa chaka munhu wowose yadahile kumoha kahi, hata kwa minyolo; 
MRK.5.4	kosoko hakohigwa kengi na kengi kwa mhingu ne minyolo na kuidumula aiya iminyolo, na kusitulatula asiya simhingu; kahi hahowa chaka munhu wowose yadahile kumusuma. 
MRK.5.5	Na majuwa gose, chilo ne misi hakowaga kufilalo na kumatunda, yakutula chowe na kitema tema na mawe.
MRK.5.6	Yakamone Yesu kwa hatali; yabilima na kumufugamila. 
MRK.5.7	Yakujoja kwa dijwi dya muchanya, yekugamba, “Nina choni nagweye, Yesu, Mwana we Mulungu! Yowile kuchanhya? Nikutasa kwedisina dye Mulungu unghanidumangise!” 
MRK.5.8	Kosoko hakadigamba digini diya, “Agwe go digini dihile mulawe imunhu yuno!”
MRK.5.9	Hakadyusa, “Disina dyako nani? Hodibidula Disina dyangu nene Legioni kosoko cha itewa!” 
MRK.5.10	Hadimugongelesa yanghagegale kutali ne iisi iya.
MRK.5.11	Baho hetunda hahowa itewa dya nguluwe sikudima; 
MRK.5.12	Kamei amagini gose hagamugongelesa, gakugamba, “Chigale kusinguluwe uleke chisingile isene.” 
MRK.5.13	Naye hoyogengha luneka amagini gehile hogelawa, na kwingila musinguluwe siya. Ditewa dyose dyadulika chimwandemwande kwigenge, na kwingila mubahali, hasuwa figulu fili nhafi; hosikunywa munghabu. 
MRK.5.14	Awadimi wew singuluwe hawatija, na kuwatamilisa simbuli so mukaya na kunje ye ikaya. Awanhu hawalawa uleke wone imbuli igoloseke. 
MRK.5.15	Hawamulutila Yesu; hawamona yuya yowile na magini, kekala, kafala suke, kena misungu yakwe; naye noyowile na diya ditewa howokogoha. 
MRK.5.16	Na waya awonile hawawatamila simbuli sagoloseke kwe munhu yuya wa magini, na simbuli se singuluwe.
MRK.5.17	Kamei wejawakonga kumutasa Yesu yaleuke muisi yawo.
MRK.5.18	Naye foyendeyokwingila muchiya, ayuya yowile na magini hakamutasa fina yowe hamwedu naye.
MRK.5.19	Ninga Yesu nghamufumile. Yamugamba, “Luta ukaya kuwambwiyasako, ukawahubili wa ukwenu kawatamile simbuli singhulu iMundewa soyakugolosele na ifene foyakonele ubasi.” 
MRK.5.20	Hakaluta, na kukonga kuhubili mu isi ya Dekapoli simbuli singhulu isene Yesu soyamugolosele, wanhu wose hawakisina.
MRK.5.21	Yesu yakafuluse kuloka kuya umwambu muchiya, hawamwijila itewa ikulu, naye hakowa munghingi ye bahali. 
MRK.5.22	Hakeja munhu yumonga mu wakulu wa disinagogi, disina dyakwe Yayilo; yakamone, yamufugamila. 
MRK.5.23	Hakamugongelesa lugano, yakugamba, “I mwanangu we chike imudodo mutamu lugano kahabehi na kufa. Nikukutasa wije umwikile umukono wako muchanhya yakwe, uleke yahone, na yowe mumi.”
MRK.5.24	Yaluta hamwedu naye. Itewa ikulu dyeja dyamwandamila wakumufinhafinha.
MRK.5.25	Kamei mwanamuke yumonga yena utamu wa kulawa sakame kwa minyaka ikumi na mili, 
MRK.5.26	hakaluta kuwaganga wengi lugano, na kupata magayo mengi. Hakamala imali yakwe yose, ninga kusamutasile hata hadodogi, inyuwa yakwe hoigendelele kwiha kusuma foyowile kunghonga. 
MRK.5.27	Yakahulike simbuli sa Yesu, yagenda muchiligati che ditewa kwa kunyuma, na kukwafa isuke yakwe; 
MRK.5.28	kosoko hakagamba, “Ninghasikwafa sisuke sakwe du, nikuhona.”
MRK.5.29	Chimwande inhyoko ye sakame yakwe yanyala; naye hakamanya mumutufi wakwe fina kahona utamu wakwe. 
MRK.5.30	Kamei Yesu yakamanye fina udaha umulawa umwakwe, chimwande yabiduke mu ditewa, hoyogamba, “Nani yanikwafile?”
MRK.5.31	Awefusa wakwe hawamugamba, “Togola nghukona amatewa fowakukukanhamisa ulwandi lwose; nagwe ukugamba Nani yanikwafile?”
MRK.5.32	Yalanga ulwandi lwose uleke yamone iyagolose didyo. 
MRK.5.33	Na yuya imwanamuke yengilwa na chogoho na kuchichima, yakamanye chigoloseke umwakwe, yeja na kumugwila na yakumutamila yose. 
MRK.5.34	Yamugamba, “Mundele dihuwi dyako dikuhonya. Ugende mheho, uwe mumi, unghowe na utamu wako kahi.”
MRK.5.35	Ugele foyalongage, haweja wanhu kulawa kwa yuya imukulu wa disinagogi, wakugamba, “Imwanago we chike kafulusa kubanika. Nhani ugendelele kumwidasa imwalimu?”
MRK.5.36	Ninga Yesu yakahulike imbuli iyo ikulongigwa, yamugamba imukulu wa disinagogi, “Unghogohe, huwila du.” 
MRK.5.37	Hakawalemesa awanhu wanghamwandamile, ninga Petulo, na Yakobo, na Yohana imunduguse wa Yakobo. 
MRK.5.38	Fowengile kugati kwa yuya imukulu wa disinagogi, yona wanhu wengi wakulila, na kuhongesa lugano, 
MRK.5.39	yakafuluse kwingila yagamba, “Nhani mukujoja na kulila? Imundele yuno nghafile, ninga kagona du!”
MRK.5.40	Hawamuseka lugano. Yakawalafe kunje wose, hakamulonda iBabakwe ne ing'ina wa yuya imundele, na waya awowile hamwedu na kwingila kugati koyowile imundele yuya. 
MRK.5.41	Hakamukola umukono imundele yuya, na kumugamba, “Talita kumi,” no ng'amba, “Mundele nikukugamba Inuka!”
MRK.5.42	Chimwande imundele yuya yemanyima na kugenda, (kosoko hakowa mukulu wa minyaka ikumi na mili.) Chimwande weja wajuma ijumo ikulu. 
MRK.5.43	Yawalemesa lugano, wanghatamile munhu imbuli iyo. Yawalonga, wamwinghe chakudiya.
MRK.6.1	Yaleuka uko na kuluta kuiisi ya ukwawo, awefusa wakwe wejawamwandamila. 
MRK.6.2	Ikowe sabato, yakonga kufusa mwisinagogi. Matewa wakahulike wejawakisina, hawagamba, “Ayuno kapata hoki agano? Na misungu yaki ino yoyenghigwe yuno? Kahi yakugolosa amajumo gano goyakugolosa kwe mikono yakwe? 
MRK.6.3	Ayuno si yuya muselemala imwana wa Maliamu na, mundugu sawo wa cha Yakobo, na Yose, na Yuda na Simoni na walumbuse wasibaha ahetu?” Hawamulema. 
MRK.6.4	Yesu yagamba, “Imugonesi yakwinghigwa chogoho chila hanhu ninga kuisi yakwe ka imwecho na kuwanhu wo lukolo lwakwe na inyumba iyakwe.”
MRK.6.5	Nghagolose ijumo dyodyose uko, ninga hakeka imikono yakwe muwatamu wakefu, hakawahonya. 
MRK.6.6	Hakajuma kosoko yo kuleka kuhuwila kwawo.
MRK.6.6	Yesu yasunguluta mufikaya fiya na kufusa. 
MRK.6.7	Yawenanga awaya ikumi na weli, na kukonga kuwatuma weli weli, na kuwengha udaha muchanhya ya magini gehile. 
MRK.6.8	Yawalemesa wanghalonde chinhu chochose cha munjila, ninga mhandodu; kefana mikate, mufuko wa nghingo, mapesa ga mumifuko. 
MRK.6.9	Ninga wafale filwatu, kahi wanghalonde nghasu ya sigafu ninga mhando du. 
MRK.6.10	Hakawagamba, “Kunyumba yomukwingila mwikale baho mpaka fomukuleuka. 
MRK.6.11	Na hanhu hohose wanghaleka kumuhokelani ama kuwategelesa hona mukuleuka uko, mukung'unhe dinghundi dyuwile mumigulu yenu, yuwe chitangilo chokumulemani.” 
MRK.6.12	Hawalawa kuhubili fina awanhu walambe. 
MRK.6.13	Hawalafa magini mengi, na kuwabaka mafuta wanhu wengi na kuwahonya.
MRK.6.14	Mundewa Helode yakahulike simbuli so, kosoko disina dya Yesu hadimanyika kosekose, awamonga hawagamba, “Yohana Mubatisaji kenuligwa mu wanhu wafile; nochanghone uludole lwakwe lukiyonesa mumilimo yakwe.” 
MRK.6.15	Wamonga weja wagamba, “Ayuno Eliya.” Na wamonga hawagamba, “Ayuno ni mugonesi fina yumwedu wa wagonesi wa katali.” 
MRK.6.16	Ninga Helode yakahulike, yagamba, “Yohana, wonadumule ditwi, kenuka.” 
MRK.6.17	Kosoko Helode imwecho yatuma wanhu, hawamukola Yohana, na kumoha mwigelesa, kosoko ya Helodia, imuke wa Filipo imunduguse, kosoko hakamutola. 
MRK.6.18	Kosoko Yohana hakamulonga Helode fina, “Si fiswanu agweye kuwa ne muke we mukuluwo.”
MRK.6.19	Ihelodiya hakowa na finju na Yohana, na hakahananga kumukoma. Ninga nghapatile luneka, 
MRK.6.20	kosoko Helode yendeyomwogoha Yohana; hakamanya fina ni munhu we chawelu na musunhile, na hakamwika hanhu haswanu. Foyamuhuwile hakakisina lugano, kahi hakenda kumuhulikisa kwa chinyemi.
MRK.6.21	Ichigele hachifika, ugele Helode yakagolose sikukuu ya dijuwa dyo kwelekigwa kwakwe, yawagolosela madiya, wakulu wa wasilikali ne filongosi, na wanhu awena undewa wa Galilaya. 
MRK.6.22	Noho imwanagwe we chike wa Helodia, yengila na kufina, yamwendesa Helode na wose wowile naye hachakudiya chiya. iMundewa yamugamba imundele yuya, “Nitase chochose cho ukuhananga ani nikukwingha.” 
MRK.6.23	Yamwilahila, “Chochose choukutasa nikukwingha, hata ulwandi lyo undewa wangu!”
MRK.6.24	Kamei hakaluta na kumusa ing'ina, “Nitase choni?” Naye yamugamba, “Ditwi dya Yohana Mubatisaji.”
MRK.6.25	Kamei yengila chimwandemwande kumwande ye Mundewa, hoyotasa, yakugamba, “Nikuhananga uninghe hambiya hano ditwi dya Yohana Mubatisaji mwisahani.”
MRK.6.26	iMundewa yona usungu lugano, ninga kosoko ye nyilaha yakwe na kosoko ya waya awowile hechakudiya, yasumwa kulema. 
MRK.6.27	Chimwande yamutuma musilikali iyowile mu samu na kumugamba yegale ditwi dya Yohana. Kamei yaluta na kumudumula ditwi amuya mwigelesa; 
MRK.6.28	Yegala ditwi dyakwe mwisahani na kumwingha imundele yuya, naye imundele hakamwingha ing'ina. 
MRK.6.29	Awefusa wakwe wakahulike imbuli iyo haweja na kulonda umutufi wakwe na kumusika.
MRK.6.30	Awefusa hawoya kwa Yesu; na kumutamila agaya gose gowagolose, na kufusa. 
MRK.6.31	Kamei hakawagamba, “Mwije anyeye mwikale hanhu haposike mukabwihile hadodo.” Kosoko hahowa na wanhu wengi, wakwija na kuleuka, awene howoswela luneka lwa kudiya. 
MRK.6.32	Hawaluta awene muhala muchiya ahanhu howile chaka wanhu.
MRK.6.33	Awanhu hawawona wakuluta, na wengi hawamanya hawaluta uko kwa lumangho kulawa sikaya sose na kuwalongolela. 
MRK.6.34	Yakahumuluke muchiya, hoyokona itewa ikulu, akawonela ubasi, kosoko hawowa kifana ngholo sichaka mudimi. Kamei hakakonga kuwafusa mbuli itewa. 
MRK.6.35	Chikaloke chipisi chitali cha nemisi, awefusa wakwe hawamulutila wakugamba, “Ahanhu hano nyika muhala, dijuwa nadyo duswa; 
MRK.6.36	uwelage awanhu wano, uleke walute kufikaya fya munghanda wakakigulile chakudiya.”
MRK.6.37	Ninga hakawagamba, “Wengheni nyeye chakudiya.” Wamugamba, “Togola chilute chikagule mikate ya dinali magana meli uleke chiwenghe chakudiya?” 
MRK.6.38	Yawagamba, “Mwinayo mikate mingahi?”
MRK.6.38	Luteni mukalange.
MRK.6.38	Wakafuluse kumanya weja wagamba,
MRK.6.38	“Mishano na somba mbili.”
MRK.6.39	Yawatuma wawagambe awanhu wekale wose, fitewa tewa, mumbago injolo. 
MRK.6.40	Howokwikala kwa misitali ahano igana, ahano makumi mashano. 
MRK.6.41	Foyailondile aiya imikate mishano na siya sisomba si mbili, yenula meso kuchanya kulanga, na kuilugutisa na kuibendula imikate iya na kuwengha awefusa wakwe wawagawile wanhu na siya sisomba si mbili hawawagawila wose. 
MRK.6.42	Awanhu wose hawadiya na kwiguta. 
MRK.6.43	Hawalonda ifibendu fye mikate na sisomba sasigale na kumemesa fisege ikumi na fili. 
MRK.6.44	Wadiile imikate yiyo hawowa wagosi figulu fishano.
MRK.6.45	Chimwande yawalonga awefusa wakwe wengile muchiya, wamulongelele kuluta Betisaida, umwambu we bahali, ugele imwene foyakilagage ditewa dya wanhu. 
MRK.6.46	Yakamale kilaga na wanhu, hakakwila kwitunda kutasa. 
MRK.6.47	Ikafike hegulo ichiya hachuwa muchiligati ye bahali, imwene hakowa yemwene kuiisi, kunje ye bahali. 
MRK.6.48	Hokawona awefusa wakwe wakugaya na kuyusigwa muchiya chawo kosoko imheho yendeitowa kwa ludole kulawa kowakuluta. Habehi na kucha, yawejila yakugenda mubahali, na kuhananga kuwaloka, 
MRK.6.49	Nawo wakamone yakugenda mumeji ge bahali; hawamanya nhagela ni isoki, hawatula chowe; 
MRK.6.50	kosoko wose hawamona hawogoha. Chimwande yalonga nawo, “Sangalaleni noniye, munghogohe.” 
MRK.6.51	Yengila muchiya chiya; imheho yanyamala na kisina; howokisina lugano mufidoga fyawo, 
MRK.6.52	kosoko wasatangile simbuli se mikate iya, ninga fidoga fyawo hafyuwa fikugutu.
MRK.6.53	Wakafuluse kuloka, hawafika iisi ya Genesaleti, kamei hawemisa ichiya chawo baho. 
MRK.6.54	Wakafuluse kulawa mu chiya, chimwande wanhu hawamutanga. 
MRK.6.55	Hawabilima lumangho musikaya sose sihabehi na kukonga kuwegala awatamu mumasasi kuluta chila hanhu howahulike fina kauko. 
MRK.6.56	Chila koyalutile yengila kufikaya na kusikaya ama kumigunda, haweka watamu mumagulilo, wakumutasa fina wakwafe hata dihepu du dye suke yakwe; na wose wamukwafile howahona.
MRK.7.1	Kamei Amafalisayo na wamonga wa watulumi kulawa Yelusalemu, fowejile ukwakwe. 
MRK.7.2	Hawona awamonga wa wefusa wakwe wakudiya ne mikono ichuchile.
MRK.7.3	(Kosoko Amafalisayo na Wayahudi wose wanghaleka kunawa imikono ichiganja chose wasikudiya; wakolelesa amahokelo ga wasehe wawo; 
MRK.7.4	Kahi wanghalawa kwigulilo, wanghaleka kusunha imigulu wasikudiya na gauko mengi gowakolile, fina kusunha ifikombe, na madumu, ne fiya fya shaba.)
MRK.7.5	Awaya Mafalisayo na Watulumi howomusa Yesu, “Nhani awefusa wako wasikwandamila amahokelo gawasehe ninga wakudiya ne mikono ichuchile?”
MRK.7.6	Kamei hakawagamba, “Mugonesi Isaya hakalonga fiswanu muchanya yenu! Anyeye mwine chimwefe! Fina foitulumwe:
MRK.7.6	‘Awanhu wano wakunitunya
MRK.7.6	kwa milomo yawo,
MRK.7.6	Amba fidoga fyawo fya kutali
MRK.7.6	na niye.
MRK.7.7	Nawo wakufuga chaka,
MRK.7.7	na kufusa amafuso ga malagiso
MRK.7.7	ga wanhu!’
MRK.7.8	Anye mukuleka amalagiso ge Mulungu na kukola amahokelo ga wanhu.”
MRK.7.9	Hakawagamba, “Fiswanu!” mukulema amalagiso ge Mulungu uleke mukole amahokelo genu! 
MRK.7.10	Kosoko iMusa hakagamba, “Uwahulike iBabako ne ng'inako, na iyakumuliga iBabakwe ama ing'ina kufa na yafe. 
MRK.7.11	Ninga anyeye mukugamba imunhu yanghamugamba iBabakwe ama ing'ina Ni kolibani, (nong'amba nikwika chinhu changu cha kulafa kwa Mulungu, ichikwenda chimutase hechaka mbuli.) 
MRK.7.12	Kahi musikutuma hanyuma ya gago kumugolosela mbuli iBabakwe au ing'inakwe. 
MRK.7.13	Ako ni kubesa imbuli ya Mulungu kwa mahokelo genu gomukuhokela; kahi mukugolosa mbuli nyingi kifana siso.”
MRK.7.14	Hakawenanga amatewa kahi yekuwagamba, “Mhulikeni mose na kumanya.” 
MRK.7.15	Kwechaka chinhu chuwile kunje ye munhu ichikudaha kumugolosa yowe na wihi. Ninga afiya ifikulawa mugati ye munhu, nofikumuguma uwihi. 
MRK.7.16	Imunhu ghona kena nghutwi sa kuhulika yahulike.
MRK.7.17	Yakengile kugati kadileka ditewa kunje, awefusa wakwe weja wamusa muchanya ye imbasi iya. 
MRK.7.18	Yawagamba, “Hata nyeye mwechaka misungu? Musikumanya fina chila chinhu chuwile kunje ye munhu chinghamwingila, chisikudaha kumwingha uwihi; 
MRK.7.19	Kosoko chisikumwingila muchidoga, ninga, munda du, kamei chikulawa kucholo?” (Kwa kulonga nhaifo kafitenda fyakudiya fyose fuwe fiswanu.)
MRK.7.20	Yagamba, “Ichikumulawa imunhu nochikumuguma uwihi. 
MRK.7.21	Kosoko mufidoga fya wanhu mukulawa magelegela gehile, dihabwa, 
MRK.7.22	uhiji, kukoma, ugoni, kusulumila kwihile, migogolo, udasi, chimwefe, chigiso, maligo, usisi, ubwalasi 
MRK.7.23	Agano gose gehile gakulawa kugati, nago gakumuguma imunhu uwihi.”
MRK.7.24	Yakaleuke uko, yaluta umwambu kuisi ya Tilo na Sidoni. Yengila nyumba imonga, yahananga yanghamanye munhu wowose, ninga isadahike kifisa. 
MRK.7.25	Ninga, chimwande, mwanamuke, imwene imwanagwe we chike hakowa na igini dihile, yahulika simbuli sakwe, yeja na kumugwila hamigulu yakwe. 
MRK.7.26	Naye imwanamuke yuya hakowa Muyunani, dikabila dyakwe Musilofoinike. Yamutasa, yailafe imhepo mwe mwanagwe we chike. 
MRK.7.27	Yamugamba, “Waleke awana wende kwiguta, kosoko siyo fiswanu kuchilonda ichakudiya cha wana na kugakubitila mabwa.”
MRK.7.28	Ninga yabidule, yakugamba, “Heye, Mundewa, Ninga hata amabwa gowile hasi ye imesa, gakudiya fowakulagasa awana.” 
MRK.7.29	Hakemugamba, “Kosoko ye imbuli iyo, Luta, imhepo imulawa imwanago we chike.” 
MRK.7.30	Yaluta ukaya ukwakwe, na kumufika ayuya imundele katambalala mwisasi; na digini diya difulusa kumuleuka.
MRK.7.31	Yaleuka mumihaka ya Tilo, yagenda mugatigati ya Sidoni, na kupulutila mpaka kubahali ya Galilaya, kupulutila Dekapoli. 
MRK.7.32	Hawamwigalila munhu nghakuhulika chihuli, kahi nghakulonga, hawamugongelesa yamwikile mikono. 
MRK.7.33	Hakamusegesa kunghanda ne ditewa yemwene, na kuguma ifidole fyakwe musinghutwi sakwe na kuguma mate, na kumukwafa mwilimi, 
MRK.7.34	ghakalanga kuchanhya, na kugula, na kugamba, “Efata, nong'amba Kumuka!”
MRK.7.35	Chimwande singhutwi sakwe hasigubuka, ichifundo cha dilimi dyakwe, hachilegela na kulonga fiswanu. 
MRK.7.36	Hakawalemesa wanghamutamile munhu; ninga foyagendelele kuwasigilila, nofowagendele kubwambwasa simbuli. 
MRK.7.37	Howakisina lugano kusuma fowasowele, wakugamba, “Kagolosa finhu fyose fiswanu! Wasikuhulika kawagolosa wahulike, ne fimumu walonge.”
MRK.8.1	Mumajuwa gago, itewa dya wanhu wengi fowakitanganyile. Na hawowa wechaka chakudiya, yawenanga awefusa wakwe, yakuwagamba, 
