MAT.1.1	Xuꞌu é Mateú u ne, iꞌa kakaꞌán u iña táta viꞌi Jesucristu, iꞌxá ika Dāvii, iꞌxá ika Ābraan.
MRK.6.44	Uꞌun míil ñatīí san éꞌxi ña.
MRK.6.45	Kidáā ne, kakaꞌan Jésuu ni ña ntɨníꞌi ñā:
MRK.6.45	—Kueꞌēn ntó, kūnakuꞌún nto iní tun ntōó san ne, kueꞌēn ntó uun xo diñɨ ntute san mí tuví ñuú Betsaida. Nɨɨ dukuan na kāꞌán u ni ñāꞌa san é na ntāka ña —kaꞌan ña.
MRK.6.46	Dā nátaxnūu ña ñaꞌa sán ne, kuéꞌen ñā má kūꞌu kán, kūkaꞌan ntâꞌví ña ni Xuva kō.
MRK.6.47	Dā kúneé ne, nuu tun ntōó san méꞌñū ntute san. Jesuú ne, ítuvī mii ñá ñuꞌu kan. 
MRK.6.48	Īní ña tsi dóo ntántoꞌo ña ntɨniꞌi ñā, ntánakaka ña tun ntōó san, tsi dóo kainu tatsin. Dā dokó sa tuví ne, xée Jēsuu mí ñūꞌu ña méꞌñū ntute san. Ntitsí Jesuu nú ntūte san, kaíka ña, vata tsi tē ncho kuido ntúu ña ña, 
MRK.6.49	ntá tsi dā íni ña ntɨniꞌi ña ñā, ñá ñuꞌu tun ntōó san, é kaika ña nú ntūte sán ne, dōo uꞌví ña, tsí ntɨxɨ, kuiní ña. Un ntii tsī ntáchuꞌu ntáa ña, 
MRK.6.50	tsi íni ntɨꞌɨ ña ña ne, úꞌvī kueꞌen ña. Ntá tsi ura tsí i kakaꞌan Jésuu ni ña:
MRK.6.50	—¡Na kōo ntii nto! Ñá ku uꞌvī nto, tsí xuꞌu —kaꞌan ña.
MRK.6.51	Kidáā ne, kúxēe ña iní tun ntōo mí ñūꞌu ña ne, ura tsí i xío kadin tatsín san. Koó dā kúduꞌva ña ntɨniꞌi ñā é kuān o idé ña. 
MRK.6.52	Tsí ña ní ñeꞌe dɨkɨ ñá ntɨniꞌi ñā san nté ō kúvi da kátsin dava Jesuu tañúꞌū san da éꞌxi un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa san. Tsí vata kutúni ña xoó ñaꞌa é Jēsuu.
MRK.6.53	Dā kúvi ita ntíꞌxin ña mínī sán ne, xée ña ñūu é nani Genesāree. Ikān né, kīꞌní ña tun ntōó san diñɨ ntute san. 
MRK.6.54	Ura tsí i da ntíi ña iní tun ntōó san ne, kūtuni ñáꞌa san tsí dɨvi Jēsuu. 
MRK.6.55	Koó dā ntaínu ña, kueꞌen ña kanɨɨ ñūú tsikan, kūkuidó ña ña nchokuví san. Chidō san tsódo ña ñā ne, kueꞌen níꞌi ña ña dā míꞌī ka é kākaꞌan ñáꞌā é tuví Jesuu. 
MRK.6.56	Dā míꞌī ka mí kuēꞌen Jésuú ne, kuān te ñuú naꞌnu, kuān te ñuú kuetsi, kuān te má kūꞌú ne, ikān xee niꞌi ñaꞌá san ñá nchokuví san, dā tsóo ña ña mí kāxíō xáꞌvī. Ña ntánchokuví san ne, ntaíkan ña itsi te kuēꞌé Jesuu é tɨɨn ntaꞌa ña kuān te da míi tsi ntēte doo ña. Un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa, ña tɨ́ɨn ntaꞌa dōo ñá, ntūváꞌa ña.
MRK.7.1	Kidáā ne, xée ētsin ña fariseú san mí tuví Jesuu. Nātaká nuu ña nī mastrú lei, ña véꞌxi ñuú Jerusaleen. 
MRK.7.2	Ini ña tsí ña ntɨniꞌi Jēsuú ne, ña ni ntáꞌa ñā. Kuan tsi ō éꞌxi ña é dentu ntāꞌa ña.
MRK.7.2	—¿Nté kui kuān ó de ntu ña? —kaꞌan ña.
MRK.7.3	(Tsí kuān xkoó ini ña fariseu ni un ntɨɨ́ ntɨ̄ɨ́ ña Israeé san, é ña kaéꞌxi ña tē ña diꞌna ntoo váꞌa ntáꞌa ña, vatā o idé ñata ñā. 
MRK.7.4	Tē náxee ña é ñēꞌe ña nu âꞌví ne, ñá īni eꞌxí ña tē ña diꞌna dáꞌvi ña ntute kúñu ñā. Dōó īó ka xtuku nuu i é xkoó ini ña é īni de ntáa ña: é ntūntoo eꞌxin e ntáxiꞌi nuu ña, ni sālú, ni kɨ̄dɨ́, ni ītó ña.) 
MRK.7.5	Dukuān ne, ña fariseú san nī mastrú lei ntátsixeꞌe ña Jēsuu:
MRK.7.5	—¿Nté kui ña ntɨniꞌi ntō ne, ña ntáde ña vatā xkoó ini ñáta kō? ¿Nté kui ña ntántaꞌa ntu ña diꞌna dá kaꞌxi ña? —kaꞌan ñá, tsixeꞌe ña Jēsuu.
MRK.7.6	Ntá tsi Jesuú ne, kakaꞌan ña:
MRK.7.6	—Ntōꞌó ne, ñá te kanɨɨ̄ nima ntó ntánuu iní nto Xuva kō. Tsí nuu é ntaā i é kākaꞌan úvata ko Isāia íña nto da xntée naꞌa ña túꞌun Xuva kō é kākaꞌan:
MRK.7.6	Ña sāꞌá ne, kūdii rkɨ́ xaa ña ntéku é kākaꞌan ña é kānuu iní ña ko;
MRK.7.6	ñá tē nima ñá kakene.
MRK.7.7	Kuān te kanúu ini ña kó ne, ñá vādá kaidiáꞌvi i,
MRK.7.7	tsí ña te leí ko é ntánakuāꞌa ña ñaꞌa san,
MRK.7.7	tsí kūdii lei é de váꞌa ñaꞌa, ña ntoo ñuxiví sa, ntánañēꞌe ñá ña,
MRK.7.7	kaꞌan. 
MRK.7.8	Tsí ntōꞌó ne, ntánakunaá nto lei Xúva kō ne, vata tsī xkoó ini ñáꞌa san ntáde ntaa nto. Tsi xkoó ini nto é ntōo nuu salu ni vásu é ntáxiꞌi nuu nto ne, dōó tɨtɨ́n ka nuu i é xkoó ini nto —kaꞌan Jésuu ni ña.
MRK.7.9	Kakaꞌan xtúku ña ni ñā:
MRK.7.9	—¿Vāꞌá ntu ō ntáde nto, kuiní nto, é kuān o ntánakuitā ntó lei Xúva kō vata koo é nakuntīkɨn nto nte xkoó ini nto iña mii nto? 
MRK.7.10	Tsí vatā ó kakaꞌan Muísee: “Kuiko ñuꞌu o uva ko ni dɨꞌɨ kō”, ne, “Xoo é kīni koo kaꞌan í ni uva i, ni dɨꞌɨ ī ne, kuvi”, kaꞌan ña. 
MRK.7.11	Ntá tsi dɨvi ntō ne, ntaxéꞌe nto itsi é kāꞌan ñáꞌa san ni uva ña, ni dɨꞌɨ ñā: “Ña kúvi xntīi ú nto, tsí un ntɨꞌɨ īñá ko ne, é nākuéꞌē ú ntaꞌa Xuva kō”, kaꞌan ña. 
MRK.7.12	Da é kuān ó kakaꞌan ñá ne, ntaxéꞌe nto itsi é ña xntii ña uva ña ni dɨꞌɨ ñā. 
MRK.7.13	Kuān ó ntánakunaá nto é kākaꞌan Xúva kō ne, é tūku nuu i ntánaxtuvī nto. Dōó kiꞌin nuū i ntáde nto é kuān xkoó ini nto —kaꞌan Jésuu ni ña.
MRK.7.14	Kidáā né, kāna Jesuu un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa sán ne, kakaꞌan ñá ni ñā:
MRK.7.14	—Kini nto ve, un ntɨꞌɨ kueꞌen dúꞌva nto. Kini váꞌa nto é kākaꞌán u ni ntō: 
MRK.7.15	Ña túvī nee iña é kaēꞌxí ñaꞌa é kade i é kudentu ñā. Mii tsī é kākene nima ñá é dentū. 
MRK.7.16	Tē xoó katekú i ne, na kīni —kaꞌan Jésuu.
MRK.7.17	Dā xntáñɨ mii ña ñaꞌá san ne, kúkɨ̄ꞌví ña iní viꞌi san. Ña ntɨniꞌi ñā né, tsixeꞌe ña ñā kídaā:
MRK.7.17	—¿Nee iñá ntu kani túꞌun é kākaꞌan nto? —kaꞌan ña.
MRK.7.18	Kakaꞌan Jésuu ni ña:
MRK.7.18	—Ntōꞌó ne, ¿ñā ntu ntátekú nto dɨ? ¿Ñá ini ntú nto tsí ña tuví nee iña é kaēꞌxí ñaꞌa é kakiꞌxi nte kiꞌi kan é kade i é kakudentū nima ña? 
MRK.7.19	Tsí ña te nima ñá kakɨ́ꞌvi, tsí mii tsi īni iꞌxí ña kakɨ́ꞌvi ne, dá kantīi kúñu ñā —kaꞌan ña.
MRK.7.19	Dukuān ne, nee iña é ntaéꞌxi ó ne, váꞌā; ña te déntū.
MRK.7.20	Kakaꞌan ñá dɨ:
MRK.7.20	—É kakēne nima ñáꞌa sán ne, dɨvī é kade i é kakudentu ñā. 
MRK.7.21	Tsí un tsi nté nima ñá kakene e ntádē kuení ña é kīni kaa, e ntáde ña é kini kaa ni ñadɨ̄ꞌɨ ñáꞌa san, e ntáde luku ña, e ntaéꞌní ña ñaꞌa, 
MRK.7.22	e ntáde ña é kīni kaa, e ntaéni ntâꞌví ña ñaꞌa, e ntáde xení ña, e ntákuneꞌu iní ña, e ntákaꞌan ñá dovete, e dóo naꞌnu ncho vií ña, e ntáde tuntu ña. 
MRK.7.23	É un ntɨꞌɨ̄ é kīni kaa sán ne, nima ñá kakene. Dukuān é ntákudentu ñā —kaꞌan Jésuu.
MRK.7.24	Kidáā né, ntāka Jesuu, xée ētsin ña diñɨ ñuú Tiru ni ñūú Siduun. Ikan kūkɨ́ꞌvi ña má viꞌi kān. Ña ni ntío ñā é kūtuni ñáꞌa san mí tuví ña. Ntá tsi ña ni kúvi kutūvi xuꞌú ña. 
MRK.7.25	Ura tsí i dá kutuni úun ñadɨ̄ꞌɨ mí tuví ña ne, xée ñā, nakunchɨ́tɨ ña nūu ña. Diōkó ñadɨ̄ꞌɨ́ san ne, nuu é ña váꞌā nimá tun. 
MRK.7.26	Ñadɨ̄ꞌɨ́ san ne, tuku ñuu véꞌxi ña. Ñá te ña Israee ña, tsí ñuú Sirofenicia véꞌxi ña. Íkan ña ntāꞌa Jesuu é na nakūnu ña é ña váꞌā san é nuu nima dióko ñā. 
MRK.7.27	Dá kakāꞌan Jésuu ni ña:
MRK.7.27	—¿Nté kui xntii ntū ú o? Tsí ña te ña Israeen. Diꞌna ña Israeé san xntiī ú ña. Tsí ñá vāꞌá ō é kiꞌi ō é kaēꞌxi iꞌxá san ne, dá kuēꞌé ō é kāꞌxi tínā san —kaꞌan ña.
MRK.7.28	Nāntíko kōó ñadɨ̄ꞌɨ́ san, kakaꞌan ña:
MRK.7.28	—Ntáa nchiꞌxe, Mastru. ¿Ntá tsi vá ñā che ntaéꞌxi ntu chínā sán utsi ita é ntánakōꞌxo iꞌxá san má mēsa? —kaꞌan ñádɨ̄ꞌɨ́ san.
MRK.7.29	Kakaꞌan Jésuu ni ña kídaā:
MRK.7.29	—Dōo váꞌā ó kakaꞌan. Kunúꞌun ve, tsi é ntīi é ña váꞌā san nima dióko ō —kaꞌan ñá ni ñadɨ̄ꞌɨ́ san.
MRK.7.30	Dá kūnúꞌu ña ne, nāxee ña nú viꞌi ña kān. Ikān tuví ntaa dióko ñā nú ītó tun. Ntīi ntiꞌxe é ña váꞌā san é īnúu nimá tun.
MRK.7.31	Kidáā né, ntāka Jesuu ñuú Tirú ne, ítā ntiꞌxin ña ñuú Siduun. Kūntii ña ñuú Decapulí, ne, xée ñā nu míni Galilea. 
MRK.7.32	Ikān ne, xee níꞌi ñaꞌa san uun ñáꞌa, ña loꞌō ne, ñá kakūvi kaꞌan vaꞌá ña. Íkan ñāꞌa san é na tɨɨn ntaꞌa Jēsuu ña é na ntāváꞌa ña ña. 
MRK.7.33	Jesuú ne, kueꞌen niꞌi xío ña ña, tsi dóo ntâñɨ́ ñaꞌa san. Nákɨꞌvī ñá rkɨntaꞌa ña ini loꞌxo ña ne, dáꞌvi ñā dɨ́ɨ ña rkɨntaꞌa ña ne, da tɨ́ɨn ntaꞌa ñā rkɨ xaa ña. 
MRK.7.34	Kidáā né, ntāa niꞌi ña nuu ña e dukún kān né, dā xkóo kani ña, kakaꞌan ña:
MRK.7.34	—¡Efata! (é kāni túꞌun: ¡Nakaan!) —kaꞌan ña.
MRK.7.35	Ura tsí i nákaan loꞌxo ña. Ntūváꞌa xaa ña dɨ. É kākaꞌan vaꞌá ña ve. 
MRK.7.36	Kakaꞌan Jésuu ni ñáꞌa san é ñā ku kaꞌán ña ni da xōó ka ñaꞌa nte o kúvi. Ntá tsi vata tē da nakuaꞌa Jésuu ña é kuān koo kaꞌan ña. 
MRK.7.37	Koó dā kúduꞌva ñaꞌa san, ntákaꞌan ña:
MRK.7.37	—¡Ñá tē nté kaa váꞌā o é kade ña sāꞌa! Un tsi nté ña loꞌo kāntaváꞌa ña. Un tsi nté ña ñɨꞌɨ̄ sán nákaꞌan ñá dɨ —kaꞌan ñáꞌa san.
MRK.8.1	Ntuvi tsikán ne, dōo kueꞌe ñaꞌa nátaká nuu ña. Ña túvī é kāꞌxí ña. Kāna Jesuu ña ntɨníꞌi ñā ne, kakaꞌan ñá ni ñā:
MRK.8.2	—Kantuntāꞌví ini kó ñaꞌa san, tsi é uni ntūvi é ntoo ña nī ko. Ña túvī nee iñá kaꞌxi ña. 
MRK.8.3	Te nataxnūu ú ña é na nūꞌu ñá nu viꞌi ña kān é ñā káꞌxi ña ne, koó vitā ñá itsi kān, tsí iō ñá ne, dōó ika vēꞌxí ña —kaꞌan ña.
MRK.8.4	Ntá tsi ña ntɨniꞌi ñā ne, ntákaꞌan ña:
MRK.8.4	—¿Nté ntu koo niꞌi ña é kāꞌxí ña? Tsí kūdii ñuu itsi iꞌa, mí xoxó ñuꞌu i —kaꞌan ña.
MRK.8.5	Ntá tsi Jesuú ne, tsixeꞌe ña ñā:
MRK.8.5	—¿Tɨtɨ̄n ntú tañúꞌu odo ntō?
MRK.8.5	—Úꞌxē sa —kaꞌan ña.
MRK.8.6	Kidáā ne, kakaꞌan Jésuu ni ñaꞌá san é na kūntoo ña ñuꞌu san. Kīꞌi ña tañúꞌū sán ne, da nakuéꞌe ña sintiáꞌvi ntaꞌa Xuva kō. Kātsin dava ña tañúꞌū sán ne, dā xeꞌé ña ña ntɨniꞌi ñā é na tsīꞌi ña é kāꞌxí ñaꞌa san. 
MRK.8.7	Odō ká kudii ña tsákā sán dɨ. Nakuéꞌe ña sintiáꞌvi ntaꞌa Xuva ko kuēnta iña í, dā xeꞌé ña ña ntɨniꞌi ñā é na tsīꞌi ña é kāꞌxí ñaꞌa san. 
MRK.8.8	Dā kúvi éꞌxi ntāꞌá ñaꞌa sán ne, natákā ñá taꞌvi ī é ntoó ka. Úꞌxē ká xika i nátsuꞌun tsitu ñā é ntoó san. 
MRK.8.9	Ñá te da kɨ̄mi míil ñátīí san éꞌxi ña. Kidáā né, nataxnūu ña ñaꞌa san é na nūꞌu ñá viꞌi ña. 
MRK.8.10	Kidáā ne, kuéꞌen Jēsuu ni ñá ntɨníꞌi ñā, nakúꞌun ña īní tun ntōó san é kɨ̄ꞌɨn ñá ñuu é nani Damānuta.
MRK.8.11	Xéē ña fariseú san é kōto nteé ña Jesuu. Eni ntuꞌu ñā ntatíin nuu ña, ntákaꞌan ñá ni ñā:
MRK.8.11	—¿Nté ntu koo kutuní ntɨ tē nuu é ntaā i é kākaꞌan nto? Vií nto uun nuu i e dóo kaꞌnu, na kīní ntɨ nuú ntɨ, tē nuu é ntaā i é vēꞌxí nto ntaꞌa Xuva kō —kaꞌan ña.
MRK.8.12	Jesuú ne, un tsi xkóo kani ña, kakaꞌan ña:
MRK.8.12	—¿Nté kuān nte ntaíkan ntu ña ntoo vevii nuu i e dóo kaꞌnu? Nuu é ntaā i é kākaꞌán u ni ntō: Ñá vīí u nté uun nuu i e dóo kaꞌnu é kinī ña —kaꞌan ña.
MRK.8.13	Kidáā né, tsoo mii Jēsuu ñá ne, nákunūu xtuku ña tun ntōó san, kueꞌen ñá xio diñɨ ntute san.
MRK.8.14	Ña ntɨniꞌi Jēsuú ne, kūnáa inī ña é kuīdo ña é kaꞌxī ña. Uun kudii tañúꞌū san níꞌi ña iní tun ntōó san. 
MRK.8.15	Kakaꞌan Jésuu ni ña:
MRK.8.15	—Koto xnto uꞌxen ia īña ñá fariseú san ni īña Heródē dɨ —kaꞌan ña.
MRK.8.16	Nātiín mii ña ntɨniꞌi ñā kídaā, ntákaꞌan ña:
MRK.8.16	—¿Nee iñá ntu kani túꞌun é kākaꞌan ñá iña uꞌxen íā san? ¿Ō dé ña tuvi ntu tañúꞌu niꞌi ō né, ō nté ō ntu? —kaꞌan ña.
MRK.8.17	Kūtuni Jésuu é ntánatíin ña ne, kakaꞌan ñá ni ñā:
MRK.8.17	—¿Nté kuān o ntákaꞌan ntú nto é ña tuvi tañúꞌū? ¿Vāta ntu kiní nto? ¿Vāta ntu kɨ́ꞌɨn dɨkɨ nto é kākaꞌán u ni ntō? ¿Nté kuān nte káꞌxi ntu nto? 
MRK.8.18	Īó ntuxnūú nto ne, ña ntaíni nto. Īó tutun ntó ne, ña ntátekú nto. ¿Ña nakaꞌan ntu nto nuu i é dóo kaꞌnu é idé u víꞌi, 
MRK.8.19	dā kátsin dava u é ūꞌun tsí tañúꞌū sán ne, úꞌūn míil ñāꞌa san éꞌxi ña? ¿Tɨtɨ̄n ntú xika i é ntoó ka san nataká nto? —kaꞌan Jésuu ni ña ntɨníꞌi ñā.
MRK.8.19	—Uxúvī ka —kaꞌan ña.
MRK.8.20	—Dā kátsin dava u uꞌxe tañúꞌū sán ne, kɨ́mī míil ñāꞌa san éꞌxi ña ne, ¿tɨ̄tɨ́n ka ntu xika i é ntoó ka nataká nto? —kaꞌan Jésuu, tsíxeꞌe ña ñā.
MRK.8.20	—Úꞌxē ka —kaꞌan ña.
MRK.8.21	—¿Ntē dúkuān ña ntáñeꞌe dɨkɨ ntu nto? —kaꞌan ñá ni ñā.
MRK.8.22	Xée ña ñūú Betsaida. Ñaꞌa sán ne, xee níꞌi ña uun ña kuāá ne, íkan ña ntāꞌa Jesuu é na tɨɨn ntaꞌa ña ñā. 
MRK.8.23	Jesuú san ne, írkaa ña ntaꞌa ña kuāá san ne, ñeꞌe níꞌi ña ña diñɨ ñuú san. Kidáā ne, nákāꞌa ña dɨ́ɨ ña ntuxnūú ña kuāá san ne, dā xntékū ñá ntaꞌa ña dɨkɨ ña. Tsixeꞌe ña ñā:
MRK.8.23	—¿É kainín ntun ve? —kaꞌan ña.
MRK.8.24	Nākaán ña kuāá san ntuxnūú ña ne, dá kakāꞌan ña:
MRK.8.24	—Kainí u ñatīi vata ntáa utun ntáa ña, ntá tsi ntaíka ña —kaꞌan ña.
MRK.8.25	Kidáā né, tɨɨn ntaꞌa xtūku ñá ntuxnūú ña kuāá san. Nākiní vaꞌā ñá un ntɨꞌɨ̄ kídaā. 
MRK.8.26	Kidáā né, nataxnūu Jesuu ña é na nūꞌu ña nú viꞌi ña kān:
MRK.8.26	—Kūnúꞌun ntaan tsin; ñá ku kuīta ntíꞌxin má ñūú san. Ñá kū xoo kaꞌan niꞌin —kaꞌan Jésuu ni ña.
MRK.8.27	Kidáā ne, kuéꞌen Jēsuu ni ña ntɨníꞌi ña ñūú kuetsī é ntoo ñuú Cesarea Filipu. Dá kuēꞌen ñá itsi kān né, tsixeꞌe Jēsuu ña:
MRK.8.27	—¿Nté ntū ó ntákaꞌan ñáꞌa san iñá ko? ¿Xoó ntu ñaꞌa ú, te kuīní ñaꞌa san? —kaꞌan Jésuu.
MRK.8.28	Ña ntɨniꞌi ñā ne, ntákaꞌan ña:
MRK.8.28	—Iō ñá ne, Juaan Bautista nto, kaꞌan ña. Iō ñá ne, Elia nto, kaꞌan ña. Īo túku ña ne, ña é kaꞌán naa Xuva ko nto, kaꞌan ña —kaꞌan ñá ntɨniꞌi ñā.
MRK.8.29	—Ntōꞌó ni, ¿xoó ntu ñaꞌa ú, te kuinī nto? —kaꞌan ña.
MRK.8.29	—Ntōꞌo é Cristu ntó, ña táxnuu Xuva kō —kaꞌán Pedru.
MRK.8.30	Kidáā ne, kakaꞌan Jésuu ni ña é ña ku kaꞌán ña ni ñāꞌa san xoó ñaꞌa ña.
MRK.8.31	Kidáā né, eni ntuꞌu Jēsuu nañéꞌē ñá ña ntɨniꞌi ñā tsí dɨvi ñā é vēxkúvi ña ñatīí ne, da miī e dóo kiꞌin nuū i é ntōꞌo ña. Tsí ñatā sán, ni dūtu ñá odo nūú, nī mastrú leí san ne, un ntɨɨ́ ntɨɨ̄ ñá ña xkuntée iní ña ña ne, kaꞌní ña ña, ntá tsi tē kúvi uni ntúvi ne, ntoto xtuku ña.
MRK.8.32	Kakaꞌan ntáa ña nuu i sáꞌa ni ña ntɨniꞌi ñā. Pedrú ne, kueꞌen níꞌi ña Jēsuu mí xoxo ntáñɨ̄ í ne, eni ntuꞌu ñā de tíi ña ni ñā.
MRK.8.33	Ntá tsi Jesuú ne, xkokōto ña mi ntâñɨ́ ña ntɨniꞌi ña, ña nguiī sán ne, dē tíi ña nī Pedru, kákaꞌan ña:
MRK.8.33	—¡Duꞌxēn! ¡Kiin nteén xion! tsí túꞌūn é kākaꞌan ní ko ne, xuꞌu tóꞌō e ña váꞌā san kakéne. Ñá te kadē kuení o vatā ó kade kuení Xuva kō, tsí kadē kuení o vatā ó ntáde kuení ñaꞌa san —kaꞌan Jésuu ní Pedru.
MRK.8.34	Kidáā né, kāna Jesuu ña ntɨníꞌi ña ni ūn ntɨɨ́ ntɨ̄ɨ́ ñaꞌa sán ne, kakaꞌan ñá ni ñā:
MRK.8.34	—Tē xoó ñaꞌa ntio ña é kuntīkɨn ñá ko ne, ña kúvi vīí ka ña nee iña é ntio mii ña, tsí utén uten é kuntīkɨn ñá ko, kuān te kuví ña. 
MRK.8.35	Tsí tē xoó ñaꞌa ncho nakakū ñá ntuvi iña ñá ne, da nākunaá ña ntuvi iña ña. Ntá tsi xoó ñaꞌa é nākunaá ña ntuvi iña ña kuenta iñá ko ni kuēnta iña túꞌūn vaꞌá iña Xuva kó ne, nakáku ña ne, níꞌi ña ntuvi vāꞌá iña ña ntaꞌa Xúva kō. 
MRK.8.36	¿Míꞌi ntū kaidiáꞌvi é nīꞌi ko é un ntɨꞌɨ̄ é īó ñuxiví sa, te nākunaá o nima ko? 
MRK.8.37	¿Nee iñá ntu e dóo nuu áꞌvi i é nadama o ntūvi iña ko? 
MRK.8.38	Tē xoó ñaꞌa kukaꞌan nuu ña kuenta iñá ko nī kuenta iña túꞌūn ko méꞌñū ña ntoo ñuxiví sa, ña é ña ntákuintiꞌxe i, ña kini ntáa sán ne, xuꞌu é vēxkúvi ú ñatīí ne, kukaꞌan nuú ko ñá dɨ tē naínu u. Tē naínú u ne, nainu niꞌí u ánjē, ña e dóo vaꞌa. Kidáā ne, kiní nto tsi dóo kaꞌnu ú, vatā ó kaꞌnu uva miī kó, ña tuví e dukún kān —kaꞌan Jésuu.
MRK.9.1	Jesuú ne, kakaꞌan xtúku ña:
MRK.9.1	—Nuu é ntaā i é kākaꞌán u ni ntō tsí iō ntó ne, ña kúvī ntó da nté kinī nto tsí Xuva kō né, dōó iō ña é viī ña é kadā kúꞌvē ña —kaꞌan ña.
MRK.9.2	Dā ita ntíꞌxin iñu ntúvi ne, Jesuú ne, kueꞌen níꞌi ñā Pedru, Sántiau ní Juaán san, kuéꞌen ña ūun xuku mi dóo dūkun, mí xoxó ñaꞌa. Ikān né, nādama kúñu Jēsuu núu ntuni ñáꞌa, ñá ntɨniꞌi ñā. 
MRK.9.3	Īñɨ ntúꞌu kāxiꞌí nuu doo ña. Ntukuiꞌxīn kueꞌen, e nté uun ñaꞌa ña kuvi nakáte ña vatā ó kuīꞌxin. 
MRK.9.4	Kidáā né, ntīi dîtó Elia ni Muísee, ña xiꞌí nte kídaā, ne, ntatíin ña ni Jēsuu. 
MRK.9.5	Kidáā ne, kakaꞌán Pedrú san:
MRK.9.5	—Mastru, ¡ñá tē nté kaa váꞌā o é ntoo ntɨ́ ni ntō iꞌa! Xntāñɨ́ ntɨ uni viꞌi xóꞌo vē: uun iña nto, uun iña Muíseé, ni ūun iña Élia —kaꞌan ña.
MRK.9.6	Dotō tsí kakaꞌan ñá, tsi dóo uꞌvī ñá, ntuni ña. 
MRK.9.7	Kidáā ne, nákunūu taꞌán ña vikó san ne, méꞌñū vikó san véꞌxi tatsín san é kākaꞌan:
MRK.9.7	—Ña sāꞌa é Iꞌxá miī ko e dóo kakuinimá ko ña. Kīni nto é kāꞌan ña —kaꞌan tátsín san.
MRK.9.8	Ña ntɨniꞌi Jēsuú san ne, ura í da xkókōto ña ne, ntoko ñuꞌu mii ntuvi ñáꞌa san. Da miī sá Jesuu ntítsi ña.
MRK.9.9	Dā ntáka ña rkɨ ukú san ne, kakaꞌan Jésuu ni ña:
MRK.9.9	—Ñá kū dɨ́ ntaa nto ni ñāꞌa san nuu i é ini nto vevii da nte rkontûví tē xiꞌí u ne, ntoto xtuku ú, xuꞌu é vēxkúvi ú ñatīi —kaꞌan ña.
MRK.9.10	Dukuān ne, ñá ni kāꞌan ñá ni ñāꞌa san, ntá tsi tsixeꞌe taꞌan mii ñā, ntákaꞌan ña:
MRK.9.10	—¿Nté kui kuān ó kakaꞌan ntú ña é kuvī ñá ne, dá ntōto xtuku ña? —kaꞌan ña.
MRK.9.11	Kidáā né, tsixeꞌe ña Jēsuu:
MRK.9.11	—¿Nté kui ntákaꞌan ntú mastrú leí san é kuētsi é dīꞌna Eliá san naxee ña? —kaꞌan ña.
MRK.9.12	Jesuú ne, kakaꞌan ña:
MRK.9.12	—Nuu é ntāa ntíꞌxe i é dīꞌna Eliá san kiꞌxi ña vata koo é nātɨvi iní ñaꞌa san kuétsi ñā, nakuntíkɨ̄n ñá Xuva kō. Ini nto tsí nte ntúvi diꞌna uve naꞌa Túꞌun Xuva ko īñá ko, xuꞌu é vēxkúvi ú ñatīi. Uve naꞌa nté koo ntoꞌo ko ñuxiví a ne, dōó kada xení ñaꞌa san ní ko. 
MRK.9.13	Ntá tsi kakaꞌán u ni ntō tsí e kíꞌxi ntiꞌxe Eliá san. Īde ñaꞌa san ni ña nee iña é ntio ña, vatā ó uve naꞌa kakaꞌan túꞌun Xuva kō nté koo kuvi ni ñā. Kuan ō kúvi ntiꞌxe —kaꞌan Jésuu.
MRK.9.14	Dā ntíko koō ña mí ntoo ña ntɨniꞌi ña, ña nguiī sán ne, īní ña tsí ña te da díi ñaꞌa nátaká nuu ña ni ñā. Ikān ntâñɨ́ mastrú leí san dɨ, ntatíin nuu ña ni ña ntɨniꞌi Jēsuu. 
MRK.9.15	Un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa san, da íni ña Jesuú ne, koó dā kúduꞌva ña. Koó dā ntaínu ña kueꞌen ña, kukaꞌan ñá ni ñā ntiusi. 
MRK.9.16	Kidáā né, tsixeꞌe Jēsuu ña:
MRK.9.16	—¿Nee iñá ntu ntatíin nuu nto ni ña tsīkan? —kaꞌan ña.
MRK.9.17	Uun ñaꞌa, ña nuu taꞌan méꞌñū ñaꞌa sán ne, kakaꞌan ña:
MRK.9.17	—Mastru, iꞌa vexníꞌi ú iꞌxá ko, tsí e ña váꞌā san káde i é ñɨꞌɨ̄. 
MRK.9.18	Da míꞌī ká kaika iꞌxá ko ne, e ña váꞌā san katɨ́ɨn i, da kaxéꞌe ntēe í ñuꞌu kān. Kakēne tiñú xuꞌu i. Kanakuiō ne, kanakaꞌxí kaꞌñɨ̄ núꞌu ī dɨ. É dōo kúkāꞌvi. É kākaꞌán u ni ña ntɨniꞌi ntō é na nakūnu ña é ña váꞌā san, ntá tsi ña ni kuvi vií ña —kaꞌan úva īꞌxá san.
MRK.9.19	Kidáā ne, kakaꞌan Jésuu:
