MAT.1.1	Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։
JHN.16.18	Ու կ’ըսէին. «Ի՞նչ պիտի ըլլայ այն ‘Քիչ մըն ալ’ը՝ որ կ’ըսէ. չենք գիտեր ի՞նչ ըսել կ’ուզէ»։ 
JHN.16.19	Յիսուս իմանալով որ կ’ուզեն իրեն հարցնել, ըսաւ անոնց. 
JHN.16.29	Ըսին անոր իր աշակերտները. «Ահա հիմա յայտնապէս կը խօսիս եւ առակ մըն ալ չես ըսեր։ 
JHN.16.30	Հիմա իմացանք թէ ամէն բան գիտես եւ բա՛ն մըն ալ պէտք չէ որ մէկը քեզի հարցնէ. ասով կը հաւատանք թէ Աստուծմէ եկար»։ 
JHN.16.31	Յիսուս պատասխան տուաւ անոնց ու ըսաւ. 
JHN.17.1	Յիսուս երբ ասոնք խօսեցաւ, իր աչքերը դէպի երկինք վերցուց ու ըսաւ. 
JHN.18.1	Յիսուս այս բաները ըսելէն յետոյ, իր աշակերտներուն հետ մէկտեղ Կեդրոն հեղեղատին անդիի կողմը գնաց, ուր պարտէզ մը կար, որուն մէջ մտան ինք ու իր աշակերտները։ 
JHN.18.2	Յուդա, որ զանիկա պիտի մատնէր, գիտէր այն տեղը, վասն զի Յիսուս շատ անգամ իր աշակերտներուն հետ հոն կը հաւաքուէին 
JHN.18.3	Յուդա զինուորներու գունդ մը ու քահանայապետներէն եւ փարիսեցիներէն սպասաւորներ իրեն հետ առնելով՝ այն տեղը գնաց ջահերով ու լապտերներով ու զէնքերով։ 
JHN.18.4	Յիսուս իրեն պատահելիք բոլոր բաները գիտնալով՝ ելաւ ու ըսաւ անոնց. 
JHN.18.5	Պատասխան տուին անոր. «Նազովրեցի Յիսուսը»։ Ըսաւ անոնց Յիսուս. 
JHN.18.6	Երբ ըսաւ թէ 
JHN.18.7	Նորէն հարցուց անոնց. 
JHN.18.8	Յիսուս պատասխան տուաւ. 
JHN.18.9	Անով կատարուեցաւ այն խօսքը, որ ինք ըսեր էր թէ՝ 
JHN.18.10	Այն ատեն Սիմոն Պետրոս, որ սուր մը ունէր, քաշեց զանիկա ու քահանայապետին ծառային զարնելով՝ անոր աջ ականջը կտրեց։ Այն ծառային անունը Մաղքոս էր։ 
JHN.18.11	Յիսուս ըսաւ Պետրոսին. «Սուրդ իր պատեա՛նը դիր. այն գաւաթը որ Հայրը ինծի տուաւ՝ պիտի չխմե՞մ»։
JHN.18.12	Զինուորներուն գունդը ու հազարապետը եւ Հրեայ սպասաւորները բռնեցին Յիսուսը ու կապեցին 
JHN.18.13	եւ առաջ Աննային տարին, քանզի ինք այն տարուան քահանայապետին՝ Կայիափային՝ աներն էր։ 
JHN.18.14	Ասիկա ա՛յն Կայիափան էր, որ Հրէից խրատ տուաւ թէ՝ ‘Աղէկ է որ մարդ մը կորսուի ժողովուրդին համար’։
JHN.18.15	Յիսուսին ետեւէն կ’երթային Սիմոն Պետրոս եւ ուրիշ աշակերտ մը։ Այն աշակերտը քահանայապետին ծանօթ ըլլալով՝ Յիսուսին հետ քահանայապետին գաւիթը մտաւ։ 
JHN.18.16	Բայց Պետրոս դուրսը գաւիթը կը կենար. ուստի եկաւ միւս աշակերտը, որ քահանայապետին ծանօթն էր եւ խօսեցաւ դռնապանին հետ ու ներս մտցուց Պետրոսը։ 
JHN.18.17	Այն ատեն դռնապան աղջիկը ըսաւ Պետրոսին. «Միթէ դո՞ւն ալ այն մարդուն աշակերտներէն ես»։ Ան ալ ըսաւ. «Չեմ»։ 
JHN.18.18	Իսկ ծառաներն ու սպասաւորները հոն կայներ էին եւ կրակ վառած կը տաքնային, քանզի ցուրտ էր։ Պետրոս ալ անոնց հետ կայներ էր ու կը տաքնար։
JHN.18.19	Քահանայապետը Յիսուսին հարցուց իրեն աշակերտներուն ու վարդապետութեանը վրայով։ 
JHN.18.20	Յիսուս պատասխան տուաւ անոր. 
JHN.18.22	Երբ ասիկա ըսաւ, սպասաւորներէն մէկը, որ հոն կայներ էր, Յիսուսին ապտակ մը զարկաւ՝ ըսելով. «Այդպէ՞ս պատասխան կու տաս քահանայապետին»։ 
JHN.18.23	Յիսուս անոր պատասխանեց. 
JHN.18.24	Աննան զանիկա կապած՝ Կայիափա քահանայապետին ղրկեց։
JHN.18.25	Սիմոն Պետրոս ալ հոն կայներ էր ու կը տաքնար եւ ըսին իրեն. «Միթէ դո՞ւն ալ անոր աշակերտներէն ես»։ Անիկա ուրացաւ ու ըսաւ թէ «Չեմ»։ 
JHN.18.26	Քահանայապետին ծառաներէն մէկն ալ, այն մարդուն ազգականը, որուն ականջը Պետրոս կտրեր էր, ըսաւ. «Չէ՞ որ ես քեզ տեսայ պարտէզին մէջ անոր հետ»։ 
JHN.18.27	Այն ատեն Պետրոս նորէն ուրացաւ։ Նոյն պահուն հաւը խօսեցաւ։
JHN.18.28	Յիսուսը Կայիափային տունէն կուսակալին պալատը տարին։ Ալ առտու էր։ Իրենք պալատը չմտան, որպէս զի չպղծուին, հապա որպէս զի զատիկը ուտեն։ 
JHN.18.29	Ուստի Պիղատոս դուրս ելաւ անոնց ու ըսաւ. «Ի՞նչ ամբաստանութիւն կը ներկայացնէք այս մարդուն դէմ»։ 
JHN.18.30	Պատասխան տուին ու ըսին իրեն. «Եթէ ատիկա չարագործ մը չըլլար, քեզի չէինք մատներ զանիկա»։ 
JHN.18.31	Այն ատեն Պիղատոս ըսաւ անոնց. «Դուք առէք զանիկա ու ձեր օրէնքին համեմատ անոր դատաստանը տեսէք»։ Հրեաները իրեն ըսին. «Մեզի օրինաւոր չէ մարդ մը մեռցնել»։ 
JHN.18.32	Որպէս զի կատարուի Յիսուսին խօսքը, որ ըսաւ՝ իմացնելով թէ ի՛նչ մահով ինք պիտի մեռնէր։ 
JHN.18.33	Իսկ Պիղատոս նորէն պալատը մտաւ, կանչեց Յիսուս ու ըսաւ. «Դո՞ւն ես Հրեաներուն թագաւորը»։ 
JHN.18.34	Յիսուս պատասխան տուաւ անոր. 
JHN.18.35	Պատասխան տուաւ Պիղատոս. «Միթէ ես Հրեա՞յ եմ. քու ազգդ եւ քահանայապետները քեզ ինծի մատնեցին. ի՞նչ ըրած ես դուն»։ 
JHN.18.36	Յիսուս պատասխան տուաւ. 
JHN.18.37	Այն ատեն Պիղատոս ըսաւ անոր. «Ուրեմն դուն թագաւո՞ր մըն ես»։ Պատասխան տուաւ Յիսուս. 
JHN.18.38	Պիղատոս ըսաւ անոր. «Ի՞նչ է ճշմարտութիւնը»։ Ասիկա ըսելով՝ նորէն դուրս ելաւ Հրեաներուն եւ ըսաւ անոնց. «Ես յանցանք մը չեմ գտներ անոր վրայ։ 
JHN.18.39	Բայց սովորութիւն ունիք որ մարդ մը արձակեմ ձեզի զատկին։ Հիմա կ’ուզէ՞ք որ Հրէից թագաւորը արձակեմ ձեզի»։ 
JHN.18.40	Այն ատեն ամէնքն ալ նորէն աղաղակեցին՝ ըսելով. «Մի՛ արձակեր ատիկա, հապա Բարաբբան»։ Բարաբբա աւազակ մըն էր։
JHN.19.1	Այն ատեն Պիղատոս առաւ Յիսուսը ու ծեծեց։ 
JHN.19.2	Զինուորներն ալ փուշերէ պսակ հիւսելով՝ անոր գլուխը դրին եւ անոր ծիրանի հանդերձ մը հագցուցին. 
JHN.19.3	ու կ’ըսէին. «Ողջո՜յն քեզ, Հրէի՛ց թագաւոր» եւ ապտակներ կը զարնէին անոր։ 
JHN.19.4	Պիղատոս նորէն դուրս ելաւ ու ըսաւ անոնց. «Ահա զանիկա դուրս կը բերեմ ձեզի, որպէս զի գիտնաք թէ ես անոր վրայ յանցանք մը չեմ գտներ»։ 
JHN.19.5	Այն ատեն Յիսուս դուրս ելաւ՝ փշեղէն պսակն ու ծիրանի հանդերձը հագած եւ Պիղատոս ըսաւ անոնց. «Ահա՛ այն մարդը»։ 
JHN.19.6	Քահանայապետներն ու սպասաւորները երբ տեսան զանիկա, աղաղակեցին ու ըսին. «Խա՛չը հանէ, խա՛չը հանէ [ատիկա]»։ Պիղատոս ըսաւ անոնց. «Դո՛ւք առէք ատիկա ու խաչը հանեցէք, վասն զի ես ատոր վրայ յանցանք մը չեմ գտներ»։ 
JHN.19.7	Հրեաները պատասխան տուին իրեն. «Մենք օրէնք ունինք եւ մեր օրէնքին համեմատ պէտք է որ մեռնի, վասն զի ինքզինք Աստուծոյ Որդի ըրաւ»։ 
JHN.19.8	Երբ Պիղատոս այս խօսքը լսեց, ա՛լ աւելի վախցաւ։ 
JHN.19.9	Ու նորէն պալատը մտնելով՝ ըսաւ Յիսուսին «Ուրկէ՞ ես դուն»։ Բայց Յիսուս պատասխան չտուաւ անոր։ 
JHN.19.10	Ուստի Պիղատոս ըսաւ անոր. «Ինծի հետ չե՞ս խօսիր. չե՞ս գիտեր թէ ես իշխանութիւն ունիմ քեզ խաչը հանելու ու իշխանութիւն ունիմ քեզ արձակելու»։ 
JHN.19.11	Յիսուս պատասխան տուաւ. 
JHN.19.12	Անկէ յետոյ Պիղատոս կը փնտռէր թէ ի՛նչպէս զանիկա արձակէ. բայց Հրեաները կ’աղաղակէին ու կ’ըսէին. «Եթէ ատիկա արձակես, կայսրին բարեկամը չես. ամէն ով որ ինքզինք թագաւոր կ’անուանէ, անիկա Կայսրին հակառակ կը խօսի»։ 
JHN.19.13	Իսկ Պիղատոս, երբ այս խօսքը լսեց, դուրս հանեց Յիսուսը ու նստաւ բեմին վրայ, այն տեղը որ Քարայատակ կը կոչուէր եւ Եբրայեցերէն՝ Կապպաթա. 
JHN.19.14	(Զատկին ուրբաթ օրն էր ու ժամը վեցին ատեններն էր.) եւ Հրեաներուն ըսաւ. «Ահա ձեր թագաւորը»։ 
JHN.19.15	Բայց անոնք աղաղակեցին. «Վերցո՛ւր, վերցո՛ւր, խա՛չը հանէ ատիկա»։ Պիղատոս ըսաւ անոնց. «Ձեր թագաւորը խա՞չը հանեմ»։ Քահանայապետները պատասխան տուին. «Մենք կայսրէն զատ թագաւոր չունինք»։ 
JHN.19.16	Այն ատեն անոնց ձեռքը տուաւ զանիկա, որպէս զի խաչուի։
JHN.19.17	Անոնք ալ առին Յիսուսը ու կը տանէին. Յիսուս իր խաչը վերցնելով՝ ելաւ Գագաթ ըսուած տեղը, որ Եբրայեցերէն Գողգոթա կը կոչուի։ 
JHN.19.18	Հոն զանիկա խաչը հանեցին եւ անոր հետ ուրիշ երկուք ալ՝ ամէն մէկը մէկ կողմը եւ մէջտեղը Յիսուսը։ 
JHN.19.19	Տախտակ մըն ալ գրեց Պիղատոս ու դրաւ խաչին վրայ, ուր այսպէս գրուած էր. «Յիսուս Նազովրեցի՝ Թագաւոր Հրեաներու»։ 
JHN.19.20	Եւ տախտակը Հրեաներէն շատեր կարդացին, վասն զի քաղաքին մօտ էր այն տեղը՝ ուր Յիսուս խաչուեցաւ ու գրուած էր Եբրայեցերէն, Յունարէն եւ Լատիներէն։ 
JHN.19.21	Այն ատեն Հրէից քահանայապետները Պիղատոսին ըսին. «Մի՛ գրեր Թագաւոր Հրեաներու, հապա թէ՝ ‘Ինք ըսաւ, Թագաւոր եմ Հրեաներու’»։ 
JHN.19.22	Պիղատոս պատասխան տուաւ. «Ինչ որ գրեցի՝ գրեցի»։
JHN.19.23	Զինուորները երբ Յիսուսը խաչը հանեցին, անոր հանդերձները առին ու չորս բաժին ըրին, ամէն մէկ զինուորին բաժին մը. իսկ պատմուճանը առանց կարի էր, վերէն վար հիւսուած. 
JHN.19.24	ուստի ըսին իրարու. «Ատիկա չպատռենք, հապա վիճակ ձգենք ատոր վրայ, թէ որո՞ւ պիտի ըլլայ». որպէս զի կատարուի այն գրուածը որ կ’ըսէ. «Իմ հանդերձներս իրենց մէջ բաժնեցին եւ իմ պատմուճանիս վրայ վիճակ ձգեցին»։ Ահա զինուորները այս բաները ըրին։
JHN.19.25	Յիսուսին խաչին քով կայներ էին իր մայրը եւ իր մօրը քոյրը՝ Մարիամ, Կղէովպասի կինը ու Մարիամ Մագդաղենացին։ 
JHN.19.26	Յիսուս երբ տեսաւ իր մայրը եւ այն աշակերտը որ կը սիրէր, որ մօտը կայներ էր, ըսաւ իր մօրը. 
JHN.19.27	Ետքը ըսաւ աշակերտին. 
JHN.19.28	Անկէ ետք, Յիսուս գիտնալով թէ արդէն ամէն բան լմնցած է, (որպէս զի գրուածը կատարուի,) ըսաւ. 
JHN.19.29	Եւ հոն քացախով լեցուն աման մը կար. անոնք քացախով սպունգ մը լեցնելով զոպայի մշտիկի վրայ փաթթուած՝ անոր բերնին մօտեցուցին։ 
JHN.19.30	Ուստի Յիսուս երբ քացախը առաւ՝ ըսաւ. 
JHN.19.31	Այն ատեն Հրեաները, որովհետեւ ուրբաթ օր էր եւ որպէս զի այն մարմինները խաչին վրայ չմնան մինչեւ շաբաթ օրը, (վասն զի այն շաբաթը մեծ օր էր,) Պիղատոսին աղաչեցին, որ անոնց սրունքները կոտրտեն ու վերցուին։ 
JHN.19.32	Զինուորները եկան ու առաջինին սրունքները կոտրտեցին, նաեւ միւսինը՝ որ անոր հետ խաչը ելած էր։ 
JHN.19.33	Բայց երբ Յիսուսին մօտեցան ու տեսան թէ արդէն մեռած էր, անոր սրունքները չկոտրտեցին. 
JHN.19.34	բայց զինուորներէն մէկը գեղարդով անոր կողը խոցեց եւ շուտ մը արիւն ու ջուր ելաւ։ 
JHN.19.35	Եւ ան որ տեսաւ այս բաները՝ վկայեց ու անոր վկայութիւնը ճշմարիտ է եւ ինք գիտէ թէ ճշմարիտը կ’ըսէ, որպէս զի դուք [ալ] հաւատաք։ 
JHN.19.36	Վասն զի այս բաները եղան որպէս զի կատարուի այն գրուածը թէ՝ «Անոր մէ՛կ ոսկորը պիտի չկոտրուի»։ 
JHN.19.37	Ուրիշ գրուած մը կ’ըսէ թէ՝ «Պիտի նային անոր՝ որ խոցեցին»։
JHN.19.38	Ասկէ ետք Յովսէփ, որ Արիմաթիայէն էր, (Յիսուսի աշակերտը եղած՝ բայց գաղտուկ՝ Հրեաներուն վախէն,) խնդրեց Պիղատոսէն որ Յիսուսին մարմինը վերցնէ։ Պիղատոս ալ հրաման տուաւ. ուստի եկաւ, վերցուց Յիսուսին մարմինը։ 
JHN.19.39	Նիկոդէմոս ալ եկաւ (որ առաջուընէ գիշերով իր քով եկեր էր,) ու բերաւ հարիւր լիտրի չափ զմուռսի ու հալուէի խառնուրդ մը։ 
JHN.19.40	Յիսուսին մարմինը առին, խունկերով փաթթեցին զանիկա կտաւներու մէջ, ինչպէս Հրեաները սովորութիւն ունին։ 
JHN.19.41	Այն տեղը, ուր խաչուեցաւ, պարտէզ մը կար ու այն պարտէզին մէջ նոր գերեզման մը, որուն մէջ ամենեւին մարդ դրուած չէր։ 
JHN.19.42	Հրեաներուն ուրբաթին համար հոն դրին Յիսուսը, վասն զի գերեզմանը մօտ էր։
JHN.20.1	Մէկշաբթի օրը Մարիամ Մագդաղենացին առտուն՝ դեռ չլուսցած՝ գերեզման կ’երթայ ու կը տեսնէ որ քարը գերեզմանին դռնէն վերցուած է։ 
JHN.20.2	Անմիջապէս կը վազէ կ’երթայ Սիմոն Պետրոսին եւ միւս աշակերտին, որ Յիսուսը կը սիրէր եւ կ’ըսէ անոնց. «Տէրը գերեզմանէն վերցուցին ու չենք գիտեր ո՞ւր դրին զանիկա»։ 
JHN.20.3	Ուստի ելան Պետրոսը եւ միւս աշակերտը ու դէպի գերեզմանը գացին։ 
JHN.20.4	Երկուքն ալ մէկտեղ կը վազէին եւ միւս աշակերտը Պետրոսէն աւելի շուտ վազելով՝ անկէ առաջ գերեզմանը հասաւ 
JHN.20.5	եւ ծռելով նայեցաւ ու տեսաւ որ կտաւները հոն կը կենային. բայց ինք ներս չմտաւ։ 
JHN.20.6	Սիմոն Պետրոս ալ հասաւ, որ անոր ետեւէն կու գար ու գերեզմանը մտաւ եւ տեսաւ կտաւները, որոնք հոն կը կենային 
JHN.20.7	ու վարշամակը, որ անոր գլուխն էր՝ միւս կտաւներուն հետ չէր, հապա ծալլուած մէկ կողմը դրուած էր։ 
JHN.20.8	Այն ատեն ներս մտաւ միւս աշակերտն ալ, որ առաջ գերեզմանը եկեր էր, տեսաւ ու հաւատաց։ 
JHN.20.9	Վասն զի դեռ գրուածը չէին գիտեր, թէ ‘Պէտք է որ անիկա մեռելներէն յարութիւն առնէ’։ 
JHN.20.10	Ետքը աշակերտները նորէն իրենց տունը գացին։
JHN.20.11	Բայց Մարիամ գերեզմանին դուրսը կայներ էր եւ կու լար ու երբ կու լար՝ դէպի գերեզմանը ծռեցաւ նայելու։ 
JHN.20.12	Տեսաւ երկու հրեշտակներ ճերմակ հանդերձներով, որ նստեր էին, ուր Յիսուսի մարմինը դրուած էր, մէկը գլխուն կողմը ու միւսը ոտքին կողմը։ 
JHN.20.13	Անոնք իրեն ըսին. «Ո՛վ կին, ինչո՞ւ կու լաս»։ Ըսաւ անոնց. «Անոր համար, որ իմ Տէրս գերեզմանէն վերցուցին ու չեմ գիտեր ո՞ւր դրին զանիկա»։ 
JHN.20.14	Երբ ասիկա ըսաւ՝ ետին դարձաւ եւ տեսաւ Յիսուսը, որ կայներ էր ու չէր գիտեր թէ Յիսուսն է։ 
JHN.20.15	Յիսուս անոր ըսաւ. 
JHN.20.16	Յիսուս ըսաւ անոր. «Մա՛րիամ»։ Ան ալ դարձաւ ու [Եբրայեցերէն] անոր ըսաւ. «Ռաբբունի», որ Վարդապետ ըսել է։ 
JHN.20.17	Յիսուս ըսաւ անոր. 
JHN.20.18	Մարիամ Մագդաղենացին գնաց ու աշակերտներուն պատմեց թէ ինք Տէրը տեսաւ եւ թէ անիկա այս բաները իրեն ըսաւ։
JHN.20.19	Նոյն օրը, մէկշաբթի իրիկունը, աշակերտներուն հաւաքուած տեղին դռները գոց էին՝ Հրեաներէն վախնալնուն համար. Յիսուս եկաւ եւ անոնց մէջտեղը կայնեցաւ ու ըսաւ անոնց. 
JHN.20.20	Ասիկա ըսելով՝ իր ձեռքերն ու կողը ցուցուց անոնց։ Աշակերտներն ալ ուրախացան, երբ Տէրը տեսան։ 
JHN.20.21	Յիսուս նորէն ըսաւ. 
JHN.20.22	Ասիկա ըսելով՝ անոնց վրայ փչեց ու ըսաւ անոնց. 
JHN.20.24	Բայց տասներկուքէն մէկը, Երկուորեակ ըսուած Թովմաս անոնց հետ չէր՝ երբ Յիսուս եկաւ։ 
JHN.20.25	Երբ միւս աշակերտները ըսին անոր թէ Տէրը տեսանք, ան ալ ըսաւ անոնց. «Եթէ իր ձեռքերուն վրայ բեւեռներուն նշանը չտեսնեմ ու մատս բեւեռներուն տեղը չխոթեմ եւ իմ ձեռքս անոր կողը չխոթեմ՝ չեմ հաւատար»։
JHN.20.26	Ութ օր յետոյ դարձեալ աշակերտները ներսն էին, Թովմաս ալ անոնց հետ. եկաւ Յիսուս, թէեւ դռները գոց էին ու կայնեցաւ անոնց մէջտեղը եւ ըսաւ. 
JHN.20.27	Ետքը ըսաւ Թովմասին. 
JHN.20.28	Եւ Թովմաս պատասխան տուաւ ու ըսաւ անոր. «Իմ Տէրս եւ իմ Աստուածս»։ 
JHN.20.29	Յիսուս ըսաւ անոր. 
JHN.20.30	Յիսուս շատ ուրիշ նշաններ ալ ըրաւ իր աշակերտներուն առջեւ, որոնք այս գրքին մէջ գրուած չեն։ 
JHN.20.31	Բայց ասոնք գրուեցան, որպէս զի հաւատաք թէ Յիսուսը Քրիստոսն է, Աստուծոյ Որդին եւ որպէս զի հաւատալով կեանք ունենաք անոր անունովը։
JHN.21.1	Ասկէ յետոյ Յիսուս նորէն ինքզինք իր աշակերտներուն յայտնեց Տիբերիայի ծովուն եզերքը։ Այսպէս յայտնեց։ 
JHN.21.2	Մէկտեղ էին Սիմոն Պետրոս ու Թովմաս, Երկուորեակ կոչուածը եւ Նաթանայէլ, որ Գալիլիայի Կանա քաղաքէն էր ու Զեբեդէոսի որդիները եւ աշակերտներէն ուրիշ երկուք ալ։ 
JHN.21.3	Սիմոն Պետրոս ըսաւ անոնց. «Ես ձուկ որսալու կ’երթամ»։ Ըսին անոր. «Մենք ալ կու գանք քեզի հետ»։ Ելան եւ շուտ մը նաւը մտան։ Այն գիշերը բան մը չբռնեցին։ 
JHN.21.4	Առտուն, Յիսուս ծովուն եզերքը կայներ էր, բայց աշակերտները չճանչցան թէ Յիսուսն է։ 
JHN.21.5	Իսկ Յիսուս ըսաւ անոնց. 
JHN.21.6	Եւ ըսաւ անոնց. 
JHN.21.7	Այն ատեն այն աշակերտը որ Յիսուսին սիրելի էր ըսաւ Պետրոսին. «Անիկա Տէրն է»։ Իսկ Սիմոն Պետրոս, երբ լսեց թէ Տէրն է, վերարկուն վրան առաւ, վասն զի մերկ էր ու ծովը նետուեցաւ։ 
JHN.21.8	Միւս աշակերտները նաւակով եկան, (վասն զի ցամաքէն հեռու չէին, միայն երկու հարիւր կանգունի չափ,) եւ ուռկանը ձուկերովը քաշեցին։ 
JHN.21.9	Երբ ցամաքը ելան, հոն վառուած կրակ տեսան, վրան ձուկ դրուած եւ հաց։ 
JHN.21.10	Յիսուս ըսաւ անոնց. 
JHN.21.11	Սիմոն Պետրոս նաւը մտաւ եւ ուռկանը ցամաք քաշեց, հարիւր յիսուներեք խոշոր ձուկերով լեցուն. Թէեւ այնչափ շատ բան կար, բայց ուռկանը չպատռուեցաւ։ Յիսուս ըսաւ անոնց. 
JHN.21.12	 Աշակերտներէն մէ՛կն ալ չէր համարձակեր անոր հարցնել. «Դուն ո՞վ ես». Վասն զի գիտէին թէ Տէրն է։ 
JHN.21.13	Այն ատեն Յիսուս եկաւ ու առաւ հացը եւ անոնց տուաւ, նոյնպէս ալ՝ ձուկը։ 
JHN.21.14	Այս երրորդ անգամն էր, որ Յիսուս իր աշակերտներուն երեւցաւ՝ մեռելներէն յարութիւն առնելէն յետոյ։
JHN.21.15	Երբ ճաշը ըրին, Յիսուս ըսաւ Սիմոն Պետրոսին. 
JHN.21.16	Նորէն երկրորդ անգամ ըսաւ անոր. 
JHN.21.17	Ըսաւ անոր երրորդ անգամ. 
JHN.21.19	Այս բանը ըսաւ՝ ցուցնելով թէ անիկա ի՛նչ մահով պիտի փառաւորէ Աստուած։ Ու երբ ասիկա ըսաւ, ըսաւ անոր. 
JHN.21.20	Այն ատեն Պետրոս ետեւ դարձաւ ու տեսաւ այն աշակերտը որ Յիսուս կը սիրէր, որ ետեւէն կ’երթար, (որ նաեւ ընթրիքին ատենը անոր կուրծքին վրայ ինկեր եւ ըսեր էր. ‘Տէ՛ր, ո՞վ է որ քեզ պիտի մատնէ’։) 
JHN.21.21	Պետրոս զանիկա տեսնելով՝ ըսաւ Յիսուսին. «Տէ՛ր, հապա ասիկա ի՞նչ պիտի ըլլայ»։ 
JHN.21.22	Յիսուս ըսաւ անոր. 
JHN.21.23	Այս խօսքը ելաւ եղբայրներուն մէջ թէ այն աշակերտը պիտի չմեռնի. սակայն Յիսուս չըսաւ անոր թէ ‘Պիտի չմեռնի, հապա՝ եթէ ես ուզեմ որ ատիկա կենայ մինչեւ ես գամ, քու ի՞նչ հոգդ է’։
JHN.21.24	Ասիկա այն աշակերտն է, որ կը վկայէ այս բաներուն համար, որ գրեց ալ այս բաները ու գիտենք թէ անոր վկայութիւնը ճշմարիտ է։ 
JHN.21.25	Եւ ուրիշ շատ բաներ ալ կան, որոնք Յիսուս ըրաւ, որոնք եթէ մէկիկ մէկիկ գրուած ըլլային, կարծեմ թէ աշխարհս ալ բաւական պիտի չըլլար պարունակելու գրուած գրքերը։ Ամէն։
ACT.1.1	Առաջին պատմութիւնը ըրի, ո՛վ Թէոփիլոս, այն ամէն բաներուն վրայ, որոնք Յիսուս սկսաւ ընել եւ սորվեցնել։ 
ACT.1.2	Մինչեւ այն օրը, երբ Սուրբ Հոգիին միջոցով պատուէր տուաւ իր ընտրած առաքեալներուն ու համբարձաւ. 
ACT.1.3	որոնց ինքզինք ցուցուց՝ կենդանի, իր չարչարանքներէն յետոյ շատ ապացոյցներով, քառասուն օրուան մէջ անոնց երեւնալով ու Աստուծոյ թագաւորութեանը վրայ խօսելով։ 
ACT.1.4	Անոնց հետ մէկտեղ գտնուած ատենը ապսպրեց անոնց, որ Երուսաղէմէն չհեռանան, հապա սպասեն Հօրը խոստումին, որ ըսաւ. 
ACT.1.6	Անոնք ալ մէկտեղ գալով՝ կը հարցնէին իրեն ու կ’ըսէին. «Տէ՛ր, Իսրայէլի թագաւորութիւնը այս ժամանակի՞ն նորէն պիտի հաստատես»։ 
ACT.1.7	Ըսաւ անոնց. 
ACT.1.9	Եւ երբ այս բաները ըսաւ, մինչ անոնք կը նայէին, համբարձաւ։ Ամպ մը զանիկա անոնց աչքէն ծածկեց։ 
ACT.1.10	Երբ աչքերնին տնկած դէպի երկինք կը նայէին անոր ետեւէն, ահա երկու ճերմակ հանդերձներով մարդ իրենց քով կայնեցան, 
ACT.1.11	որոնք ըսին. «Ո՛վ Գալիլիացի մարդիկ, ինչո՞ւ կայներ դէպի երկինք կը նայիք. այս Յիսուսը որ ձեզմէ երկինք համբարձաւ, այսպէս պիտի գայ՝ ինչպէս տեսաք անոր երկինք երթալը»։
ACT.1.12	Այն ատեն Երուսաղէմ դարձան Ձիթենեաց լեռնէն, որ շաբաթ օրուան ճամբու չափ մօտ է Երուսաղէմի։ 
ACT.1.13	Երբ քաղաքը մտան ելան վերնատունը, ուր կը բնակէին Պետրոսը եւ Յակոբոսը, Յովհաննէսը եւ Անդրէասը, Փիլիպպոսը եւ Թովմասը, Բարթողիմէոսը եւ Մատթէոսը, Յակոբոս Ալփէոսեանն ու Սիմոն Նախանձայոյզը եւ Յուդա Յակոբեան։ 
ACT.1.14	Ասոնք ամէնքը միաբանութեամբ միշտ աղօթք ու աղաչանք կ’ընէին կիներուն հետ եւ Յիսուսին մօրը Մարիամին ու անոր եղբայրներուն հետ մէկտեղ։
ACT.1.15	Այն օրերը Պետրոս ելաւ աշակերտներուն մէջ, (ուր հարիւր քսան հոգիի չափ հաւաքուած բազմութիւն կար,) ու ըսաւ. 
ACT.1.16	«Մարդի՛կ եղբայրներ, պէտք է որ կատարուէր այն գրուածը, որ նախապէս Սուրբ Հոգին Դաւիթին բերնով ըսաւ Յուդայի համար, որ Յիսուսը բռնողներուն առաջնորդ եղաւ. 
ACT.1.17	վասն զի անիկա մեզի հետ էր մեր համրանքին մէջ եւ այս պաշտօնէն ալ բաժին ունէր։ 
ACT.1.18	Ասիկա անիրաւութեան վարձքով ագարակ մը ստացաւ ու գլխիվար իյնալով մէջտեղէն ճեղքուեցաւ եւ իր փորոտիքը դուրս թափուեցաւ։ 
ACT.1.19	Ու այս բանը Երուսաղէմ բնակողներուն յայտնի եղաւ, այնպէս որ իրենց լեզուովը այն ագարակին անունը Ակեղդամա դրուեցաւ, այսինքն՝ Արեան Ագարակ։ 
ACT.1.20	Վասն զի Սաղմոսներու մէջ գրուած է թէ ‘Անոր բնակարանը աւերակ ըլլայ ու անոր մէջ բնակող մը չըլլայ։ Անոր պաշտօնը ուրիշը առնէ’։ 
ACT.1.21	Ուրեմն պէտք է որ այս մարդոցմէն՝ որոնք մեզի հետ էին այն բոլոր ատենը, երբ Տէր Յիսուս մեր մէջ մտաւ ու ելաւ՝ 
ACT.1.22	Յովհաննէսին մկրտութենէն սկսած՝ մինչեւ այն օրը որ մեզմէ համբարձաւ՝ ասոնցմէ մէկը մեզի հետ վկայ ըլլայ անոր յարութեանը»։ 
ACT.1.23	Երկու հոգի կայնեցուցին Յովսէփը, որ Բարսաբա կը կոչուէր, որ Յուստոս ալ մականուանուեցաւ ու Մատաթիան։ 
