GEN.1.1	Imapis manaraq kaptinmi Tayta Dios kamarqan jana pasatapis kay pasatapis.
LEV.27.19	<< <Qoykushqan chakranta duëñun shuntakuyta munarqa chanin jananman quinta parti masta päganqa. Sayno pägaykur chakranta shuntakunqa. 
LEV.27.20	Kikin mana shuntakuptin say chakrata juktana cüra rantikuykuptinqa mananami shuntanqanasu. 
LEV.27.21	Jubileo watayaq say chakrata pipis mana shuntaptinqa 
LEV.27.22	<< <Particionta chaskishqan chakrata qoykunanpa trukan rantishqan chakrata 
LEV.27.23	Jubileo watapaq ayka wata pishiykashqantapis yupaskirmi say chakrapa preciunta cüra täsanqa. Duëñunami chakrapa chaninta täsashqannöla say junaqla päganqa. Pägashqanqa 
LEV.27.24	Jubileo wata chämuptinnami punta kaq duëñun say chakrata shuntakunqa.
LEV.27.25	<< <Pägashqan siclo qellaytaqa Tinkuna Tolducho kaykaq pësakunawanmi pësanqa. Say pësakunawan pësaptinmi chunka juk grämu qellay juk siclo kanqa.
LEV.27.26	<< <Malta uywaykikunapa punta wawan orqu kaqkunaqa uysha karpis wäka karpis 
LEV.27.27	Pipis impüru uywata apaykur shuntakuyta munarqa cüra täsashqan jananman quinta parti masta yaparkur shuntakunqa. Mana shuntakuptinqa täsashlanchömi cüra rantikunqa.
LEV.27.28	<< <Pipis kikinpa kaqta uywata karpis, runata karpis, particionta chaskishqan chakrata karpis 
LEV.27.29	<< <Wanusish kananpaq destinash kaykaq runataqa manami pägaypapis salvanmansu. Say runaqa wanusishqami kanqa.
LEV.27.30	<< <Chakraykikunacho wayuq saki mikuy kaptinpis o jachakunapa wayuynin kaptinpis cada chunkapita jukta 
LEV.27.31	Say apayashqaykita shuntakuyta munarqa chanin ayka kashqantapis jorquskir say jananman quinta parti masta yapayanki.
LEV.27.32	<< <Uywaykikuna mirayashqanpitapis cada chunkapita jukta 
LEV.27.33	Uywataqa ali kashqanta o mana ali kashqantapis ama rikapäyankisu. Saynöpis ali kaqta mana ali kaqwanqa manami trukasiyankimansu. Trukasiptikiqa ishkannami sagrädu kar 
LEV.27.34	Lapan Israel runakunata tantiyasinanpaqmi Sinaí jirkacho mandamientukunata Moisésta 
NUM.1.1	Israel runakuna Egiptupita yarqayämushqan juk wata y juk killa päsarkuptinmi Sinaí sunyaq jirkacho kaykäyarqan. Say junaqmi Tinkuna Tolducho parlapar Moisésta 
NUM.1.2	<<Israel runakunapa jutinkuna ima kashqanta y aykaq kayashqantapis musyanaykipaq ayllunpa ayllunpa y castanpa castanpa censayay.
NUM.1.3	Censayashpayki ishkay chunka (20) watayuqpita janaman jutinkunata apuntayay. Say runakunaqa guërraman aywayänanpaq edäninchönami kaykäyan. Censaychöqa Aarónmi yanapäshunki. 
NUM.1.4	Saynöpis cada trïbupita juk mandaqta churanki censayta yanapäshunaykipaq. 
NUM.1.5	Paykuna kayanqa:
NUM.1.5	Rubén trïbupita Sedeurpa surin Elisur,
NUM.1.6	Simeón trïbupita Zurisadaipa surin Selumiel,
NUM.1.7	Judá trïbupita Aminadabpa surin Naasón,
NUM.1.8	Isacar trïbupita Zuarpa surin Natanael,
NUM.1.9	Zabulón trïbupita Helónpa surin Eliab,
NUM.1.10	Efraín trïbupita Amiudpa surin Elisama,
NUM.1.10	Manasés trïbupita Pedasurpa surin Gamaliel (Efraínwan Manasésqa Josépa surinkunami kayarqan),
NUM.1.11	Benjamín trïbupita Gedeonipa surin Abidán,
NUM.1.12	Dan trïbupita Amisadaipa surin Ahiezer,
NUM.1.13	Aser trïbupita Ocránpa surin Pagiel,
NUM.1.14	Gad trïbupita Reuelpa surin Eliasaf
NUM.1.15	y Neftalí trïbupita Enánpa surin Ahira>>.
NUM.1.17	Say akrashqan runakunawan Moisés y Aarón shuntakarmi 
NUM.1.18	lapan Israel runakunata qayasiyarqan. Say junaq karqan ishkay kaq killa qalaykunan junaqmi. Saychömi Israel runakunata ayllunpa ayllunpa y castanpa castanpa censayarqan. Sayno censarmi ishkay chunka (20) watayuqpita janaman olqu kaqkunata padrunayarqan. 
NUM.1.19	 nishqannölami Sinaí sunyaq jirkacho lapan olqu kaqkunata Moisés censasirqan.
NUM.1.20+NUM.1.21	Cada ünunpa jutinta apuntarmi ayllunpa ayllunpa y castanpa castanpa censayarqan. Saynöpami musyayarqan ishkay chunka (20) watayuqpita janaman aykaq olqu runakuna kayashqantapis. Say runakunaqa guërraman aywayänanpaq edäninchönami kayarqan.
NUM.1.20+NUM.1.21	Israelpa qechpa surin Rubén trïbupitami kayarqan chusku chunka soqta waranqa pisqa pachak (46,500) runakuna.
NUM.1.22+NUM.1.23	Simeón trïbupitami kayarqan pisqa chunka esqun waranqa kimsa pachak (59,300) runakuna.
NUM.1.24+NUM.1.25	Gad trïbupitami kayarqan chusku chunka pisqa waranqa soqta pachak pisqa chunka (45,650) runakuna.
NUM.1.26+NUM.1.27	Judá trïbupitami kayarqan qanchis chunka chusku waranqa soqta pachak (74,600) runakuna.
NUM.1.28+NUM.1.29	Isacar trïbupitami kayarqan pisqa chunka chusku waranqa chusku pachak (54,400) runakuna.
NUM.1.30+NUM.1.31	Zabulón trïbupitami kayarqan pisqa chunka qanchis waranqa chusku pachak (57,400) runakuna.
NUM.1.32+NUM.1.33	Josépa surin Efraín trïbupitami kayarqan chusku chunka waranqa pisqa pachak (40,500) runakuna.
NUM.1.34+NUM.1.35	Josépa surin Manasés trïbupitami kayarqan kimsa chunka ishkay waranqa ishkay pachak (32,200) runakuna.
NUM.1.36+NUM.1.37	Benjamín trïbupitami kayarqan kimsa chunka pisqa waranqa chusku pachak (35,400) runakuna.
NUM.1.38+NUM.1.39	Dan trïbupitami kayarqan soqta chunka ishkay waranqa qanchis pachak (62,700) runakuna.
NUM.1.40+NUM.1.41	Aser trïbupitami kayarqan chusku chunka juk waranqa pisqa pachak (41,500) runakuna.
NUM.1.42+NUM.1.43	Neftalí trïbupitami kayarqan pisqa chunka kimsa waranqa chusku pachak (53,400) runakuna.
NUM.1.44	Paykunatami Moisés, Aarón y chunka ishkay mandaq Israel runakuna censayarqan. Say mandaq runakunaqa cada trïbupita jukmi karqan. 
NUM.1.45	Paykunami censayarqan ishkay chunka (20) watayuqpita janaman. Censayashqan runakuna guërraman aywayänanpaq edäninchönami kayarqan. 
NUM.1.46	Ayllunpa ayllunpa censayashqan runakunami kayarqan soqta pachak kimsa waranqa pisqa pachak pisqa chunka (603,550).
NUM.1.47	Israel runakunata censar 
NUM.1.48	Sayno mana censayänanpaq 
NUM.1.49	<<Israel runakunata censar levitakunataqa ama censankisu. 
NUM.1.50	Paykunata churanki 
NUM.1.51	Maypa aywayaptikipis paykunalami Sagrädu Tolduta paskar apayanqa. Mayman chäyaptikipis Sagrädu Tolduta paykunalami sharkasiyanqa. Mayqanpis levita mana kaykar Sagrädu Tolduman witiq kaqqa wanunqami. 
NUM.1.52	Wakin trïbu Israel runakunaqa bandëran kashqan kaqchömi tröpanpa tröpanpa toldunkunata sharkasiyanqa. 
NUM.1.53	Levitakunaqa Pactu Toldu nawpankunapa jiruruypa toldunkunata sharkasiyanqa. Saynöpami täpayanqa pipis lutala mana yaykunanpaq. Lutala yaykuptin imaptinqa rabyashpämi Israel runakunata castigashaq>>.
NUM.1.54	Moisésta 
NUM.2.1	Saypitanami Moisésta y Aarónta 
NUM.2.2	<<Israel runakunaqa Tinkunansi Toldu nawpankunapami bandërankunata ayllunpa ayllunpa ichisiyanqa. Saylachömi toldunkunata jiruruypa sharkasiyanqa.
NUM.2.3	<<Inti jeqamunanläpami bandëran ichisiyashqan kaqcho Judá trïbu kaqkuna puntanpa puntanpa toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Aminadabpa surin Naasón. 
NUM.2.4	Say trïbu runakunata censar yupayaptinmi kayarqan qanchis chunka chusku waranqa soqta pachak (74,600) runakuna.
NUM.2.5	<<Paykunapa nawpanpanami Isacar trïbu kaqkuna toldunkunata sharkasiyanqa. Paykunapa mandaqninnami kaykan Zuarpa surin Natanael. 
NUM.2.6	Say trïbu runakunata censar yupayaptinmi kayarqan pisqa chunka chusku waranqa chusku pachak (54,400) runakuna.
NUM.2.7	<<Paykunapa nawpanpanami Zabulón trïbu runakunapis toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Helónpa surin Eliab. 
NUM.2.8	Say trïbu runakunata censar yupayaptinmi kayarqan pisqa chunka qanchis waranqa chusku pachak (57,400) runakuna.
NUM.2.9	<<Saynöpami Judá trïbu kaqlächo kimsa trïbukuna kayanqa. Say trïbukunami kaykäyan juk pachak puwaq chunka soqta waranqa chusku pachak (186,400) runakuna. Israel runakuna maypapis aywayaptin paykunami puntanta aywayanqa.
NUM.2.10	<<Sur kaqläpami bandëran ichisiyashqan kaqcho Rubén trïbu kaqkuna puntanpa puntanpa toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Sedeurpa surin Elisur. 
NUM.2.11	Say trïbu runakunata censar yupayaptinmi kayarqan chusku chunka soqta waranqa pisqa pachak (46,500) runakuna.
NUM.2.12	<<Paykunapa nawpanpanami Simeón trïbu kaqkuna toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Zurisadaipa surin Selumiel. 
NUM.2.13	Say trïbu runakunata censar yupayaptinmi kayarqan pisqa chunka esqun waranqa kimsa pachak (59,300) runakuna.
NUM.2.14	<<Paykunapa nawpanpanami Gad trïbupis toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Reuelpa surin Eliasaf. 
NUM.2.15	Say trïbu runakunata censar yupayaptinmi kayarqan chusku chunka pisqa waranqa soqta pachak pisqa chunka (45,650) runakuna.
NUM.2.16	<<Saynöpami Rubén trïbu kaqlächo kimsa trïbukuna kayanqa. Say trïbukunami kaykäyan juk pachak pisqa chunka juk waranqa chusku pachak pisqa chunka (151,450) runakuna. Israel runakuna maypapis aywayaptin paykunami kimsa trïbukunapa qepanta aywayanqa.
NUM.2.17	<<Paykunapa qepalantanami 
NUM.2.18	<<Inti jeqananläpami bandëran ichisiyashqan kaqcho Efraín trïbu kaqkuna puntanpa puntanpa toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Amiudpa surin Elisama. 
NUM.2.19	Say trïbu runakunata censar yupayaptinmi kayarqan chusku chunka waranqa pisqa pachak (40,500) runakuna.
NUM.2.20	<<Paykunapa nawpanpanami Manasés trïbu kaqkuna toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Pedasurpa surin Gamaliel. 
NUM.2.21	Say trïbu runakunata censar yupayaptinmi kayarqan kimsa chunka ishkay waranqa ishkay pachak (32,200) runakuna.
NUM.2.22	<<Paykunapa nawpanpanami Benjamín trïbu kaqkunapis toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Gedeonipa surin Abidán. 
NUM.2.23	Say trïbu runakunata censar yupayaptinmi kayarqan kimsa chunka pisqa waranqa chusku pachak (35,400) runakuna.
NUM.2.24	<<Saynöpami Efraín trïbu kaqlächo kimsa trïbukuna kayanqa. Say trïbukunami kaykäyan juk pachak puwaq waranqa pachak (108,100) runakuna. Israel runakuna maypapis aywayaptin paykunami soqta trïbukunapa qepanta aywayanqa.
NUM.2.25	<<Norti kaqläpami bandëran ichisiyashqan kaqcho Dan trïbu kaqkuna puntanpa puntanpa toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Amisadaipa surin Ahiezer. 
NUM.2.26	Say trïbu runakunata censar yupayaptinmi kayarqan soqta chunka ishkay waranqa qanchis pachak (62,700) runakuna.
NUM.2.27	<<Paykunapa nawpanpanami Aser trïbu kaqkuna toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Ocránpa surin Pagiel. 
NUM.2.28	Say trïbu runakunata censar yupayaptinmi kayarqan chusku chunka juk waranqa pisqa pachak (41,500) runakuna.
NUM.2.29	<<Paykunapa nawpanpanami Neftalí trïbu kaqkunapis toldunkunata sharkasiyanqa. Paykunapa mandaqninmi kaykan Enánpa surin Ahira. 
NUM.2.30	Say trïbu runakunata censar yupayaptinmi kayarqan pisqa chunka kimsa waranqa chusku pachak (53,400) runakuna.
NUM.2.31	<<Saynöpami Dan trïbu kaqlächo kimsa trïbukuna kayanqa. Say trïbukunami kaykäyan juk pachak pisqa chunka qanchis waranqa soqta pachak (157,600) runakuna. Israel runakuna maypapis aywayaptin paykunami wakin trïbukunapa qepanta bandëran aptash aywayanqa>>.
NUM.2.32	Israel runakunata ayllunpa ayllunpa censayaptinmi kayarqan soqta pachak kimsa waranqa pisqa pachak pisqa chunka (603,550) runakuna. 
NUM.2.33	Moisésta 
NUM.2.34	Moisésta 
NUM.3.1	Sinaí jirkacho Moisésta 
NUM.3.2	Aarónpa surinkuna kayarqan Nadab, Abiú, Eleazar y Itamar.
NUM.3.3	Paykunatami cüra kayänanpaq Moisés churarqan. 
NUM.3.4	Sinaí sunyaq jirkacho yarpaylankunapita inciensuwan qoshnisiyashqanpitami Nadabwan Abiú suriynaqla 
NUM.3.5	Saypitanami Moisésta 
NUM.3.6	<<
NUM.3.7	Paykunami Aarónta y Israel mayinkunata yanapar Tinkunansi Tolducho imapis ruraypaq kaqkunata rurayanqa. 
NUM.3.8	Tolducho lapan manëjukunatapis shumaq rikayanqa. Paykunami Israel mayinkunapa trukan Tinkunansi 
NUM.3.9	Sayno kaptinqa levitakunata churay Aarónpa y paypita miraqkunapa makincho kar imaypis yanapäyänanpaq. 
NUM.3.10	Aarón y paypita miraqkunalami cüra kayanqa. Pipis cüra mana kaykar cüra rurananpaq kaqkunata rurarqa wanunqami>>.
NUM.3.11	Nirkurnami Moisésta 
NUM.3.12+NUM.3.13	<<Egiptucho lapan qechpa kaqkunata wanusirmi noqa nirqä Israel runakunapa qechpa surinkuna y uywankunapa punta yuriq wawankunapis noqapa kayänanpaq.
NUM.3.14	Sinaí sunyaq jirkachömi Moisésta 
NUM.3.15	<<Leví trïbuta ayllunpa ayllunpa y castanpa castanpa olqu kaqkunata juk killayuqpita janaman censanki>>.
NUM.3.17	Levípa surinkunami kayarqan Gersón, Coat y Merari.
NUM.3.18	Gersónpa surinkunami kayarqan Libniwan Simei. Paykunapita miraqkunami kaykäyan Libni ayllu y Simei ayllu runakuna.
NUM.3.19	Coatpa surinkuna kayarqan Amram, Izhar, Hebrón y Uziel. Paykunapita miraqkunami kaykäyan Amram ayllu, Izhar ayllu, Hebrón ayllu y Uziel ayllu runakuna.
NUM.3.20	Meraripa surinkunami kayarqan Mahliwan Musi. Paykunapita miraqkunami kaykäyan Mahli ayllu y Musi ayllu runakuna. Saynömi 
NUM.3.21	Gersónpita miraqkunami kaykäyan Libni ayllu y Simei ayllu runakuna. 
NUM.3.22	Juk killayuqpita janaman lapan olqukunata yupaptin say ishkay ayllu runakuna kayarqan qanchis waranqa pisqa pachakmi (7,500). 
NUM.3.23	Gersónpita miraqkunami 
NUM.3.24	Paykunapa mandaqninmi karqan Laelpa surin Eliasaf. 
NUM.3.25	Say ishkay ayllu runakunami Tinkuna Tolduta, qataraq toldukunata y yaykuna cortïnatapis cuidayaq. 
NUM.3.26	Saynöpis cuidayaq patiupa cortïnankunata, patiuman yaykuna cortïnata y watunkunatapis. Say patiuqa Tinkuna Sagrädu Toldupa y 
NUM.3.27	Coatpita miraqkuna kaykäyan Amram ayllu, Izhar ayllu, Hebrón ayllu y Uziel ayllu runakunami. 
NUM.3.28	Juk killayuqpita janaman lapan olqukunata yupaptin say chusku ayllu runakuna kayarqan puwaq waranqa kimsa pachakmi (8,300). Paykunami Tinkuna Sagrädu Toldu rurincho kaqkunata cuidayaq. 
NUM.3.29	Coatpita miraqkunami Sagrädu Toldupita sur kaqläpa toldunkunata sharkasiyarqan. 
NUM.3.30	Paykunapa mandaqninmi karqan Uzielpa surin Elizafán. 
NUM.3.31	Say chusku ayllu runakunami täpayaq 
NUM.3.32	Levitakunapa mandaqninmi karqan cüra Aarónpa surin Eleazar. Saymi Tinkuna Sagrädu Tolduta täpayänanpaq levitakunata mandarqan.
NUM.3.33	Meraripita miraqkunami kaykäyan Mahli ayllu y Musi ayllu runakuna. 
NUM.3.34	Juk killayuqpita janaman lapan olqukunata yupayaptin say ishkay ayllu runakuna kayarqan soqta waranqa ishkay pachakmi (6,200). 
NUM.3.35	Meraripita miraqkunapa mandaqninmi karqan Abihailpa surin Zuriel. Paykunami Sagrädu Toldupita norti kaqläpa toldunkunata sharkasiyarqan. 
NUM.3.36	Say ishkay ayllu runakunami täpayaq Sagrädu Toldupa marcunkunata, travesäñunkunata, jorconninkunata, jawiräkuyänankunata y lapan manëjunkunatapis. 
NUM.3.37	Saynölami täpayaq Tinkuna Sagrädu Toldu patiupa jiruruypa tumaraq jorconkunata, estäcankunata y watunkunatapis.
NUM.3.38	Tinkuna Toldupita inti jeqamunan kaqläpanami Moiséswan Aarón toldunkunata sharkasiyarqan. Saynölami paykunapa nawpalanpa Aarónpa surinkunapis toldunkunata sharkasiyarqan. Paykunami kayarqan Israel mayinkunapa trukan Sagrädu Tolduta shumaq täpayänanpaq. Pipis cüra mana kaykar cüra rurananpaq kaqkunaman jatikarqa wanunqami.
NUM.3.40	Moiséstami 
NUM.3.41	Israel runakunapa qechpa surinkunapa trukan 
NUM.3.43	Juk killayuqpita janaman olqu kaqkunata censaptinmi ishkay chunka ishkay waranqa ishkay pachak qanchis chunka kimsa (22,273) qechpakuna kayarqan.
NUM.3.44	Saymi Moisésta 
NUM.3.45	<<Israel runakunapa qechpa olqu surinkunapa trukan levitakunami noqapa kaykäyan. Saynöpis Israel runakunapa punta yuriq uywankunapa trukan levitakunapa uywankunami noqapa kaykäyan. Noqami 
NUM.3.46	Levitakunapitaqa Israel runakunapa qechpa surinkuna ishkay pachak qanchis chunka kimsa (273) masmi kayan. Say pusuq runakunapa trukanta 
NUM.3.47	mananki cada ünunpita pisqa siclo qellayta
NUM.3.48	Say qellayta Aarónta y surinkunata entreganki>>.
NUM.3.49	Sayno niptinmi Israel runakunapa qechpa surinkunapita pägayashqanta ishkay pachak qanchis chunka kimsa (273) qellayta Moisés shuntarqan. 
NUM.3.50	Sayno shuntarqan juk waranqa kimsa pachak soqta chunka pisqa (1,365) siclo qellaytami. Say siclukunata pësarqan Tinkuna Sagrädu Tolducho qellay pësakunawanmi. 
NUM.3.51	 nishqannölami Aaróntawan surinkunata say qellayta Moisés entregarqan.
NUM.4.1	Moiséstawan Aaróntami 
NUM.4.2	<<Coatpita miraq 
NUM.4.3	Paykunata censayanki kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaq. Say edä runakunami Tinkunansi Tolducho imapis ruraypaq kaqkunata rurayanqa. 
NUM.4.4	Coatpita miraq runakunami Tinkunansi Tolducho 
NUM.4.5	<<Posädakuyashqanpita Israel runakuna aywakuyänanpaqmi Aarónwan surinkuna 
NUM.4.6	Say jananmanmi fïnu qarapita rurash tolduwan pituyanqa. Say toldu jananmannami juk piëzala awash azul tëlawan pituyanqa. Nirkurnami ishkay largu qerukunata churayanqa apayänanpaq.
NUM.4.7	<<Saynöpis tanta churakuna mësapita tantata jorqurkur azul tëlawan pituyanqa. Say tëla jananmanmi churayanqa plätukunata, wishlakunata y 
NUM.4.8	Lapanta churaykurmi puka tëlawan jananpa pituyanqa. Say jananpa fïnu qarapita rurash tolduwan pituykurmi ishkay largu qerukunata churayanqa apayänanpaq.
NUM.4.9	<<Saynölami azul tëlawan pituyanqa mechëruntinta candelabruta, alicätinkunata, platïllukunata y aceiti winakuyänan väsunkunatapis. 
NUM.4.10	Nirkurnami fïnu qarapita rurash tolduwan pituykur apayänanpaq kirma jananman churayanqa.
NUM.4.11	<<Saynölami qoripita rurash altartapis azul tëlawan pituyanqa. Say jananpami fïnu qarapita rurash tolduwan pituyanqa. Saypitanami ishkay largu qerukunata churayanqa apayänanpaq.
NUM.4.12	<<Nirkurnami Tinkunansi 
NUM.4.13	<<Sacrificiu rupasina altarpita uchpata pisaskirmi granäti tëlawan saparkuyanqa. 
NUM.4.14	Nirkurnami tëla jananman churayanqa tenäzakunata, trinchikunata, kanalakunata, tazonkunata y altarcho kaq lapan manëjukunatapis. Nirkur fïnu qarapita rurash tolduwan piturkurmi ishkay largu qerukunata apayänanpaq churayanqa.
NUM.4.15	<<Aarón y surinkuna lapan say sagrädu kaqkunata pituyta ushaskiyaptinnami Coatpita miraqkuna shayämunqa apayänanpaq. Manaraq pituptinqa manami yataylapis yatayanmansu. Saykunata yatarqa wanuyanqami. Saynöpami Tinkuna Tolducho kaqkunata Coatpita miraqkuna apayanqa.
NUM.4.16	<<Aarónpa surin Eleazarmi apanqa candelabru ratananpaq aceitita, mushkuq inciensuta, altarcho rupasinanpaq apayämushqan saki mikuykunata y sagrädu aceititapis. Paymi kanqa Sagrädu Tolduta y saycho kaykaq lapan manëjukunatapis rikananpaq>>.
NUM.4.17	Moiséstawan Aaróntami 
NUM.4.18	<<Cuidä levitakunacho Coat ayllupita miraqkuna ushakäyanman. 
NUM.4.19	Sagrädu manëjukunata yatar mana wanuyänanpaq Aarón y surinkuna Coat ayllu runakunata tantiyasiyanqa imata rurayänanpaq y imata apayänanpaqpis. 
NUM.4.20	Say sagrädu manëjukunata manaraq pituyaptin Tinkunansi Tolduman ama yaykuyäsunsu. Say manëjukunata rikarqa wanuyanqami>>.
NUM.4.21	Nirkurnami Moisésta 
NUM.4.22	<<Saynöpis Gersónpita miraq 
NUM.4.23	Paykunata censayanki kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaq. Say edä runakunami Tinkunansi Tolducho imapis ruraypaq kaqkunata rurayanqa.
NUM.4.24	<<Gersónpita miraq levitakunami kaykunata apayanqa: 
NUM.4.25	Tinkunansi 
NUM.4.26	patiutawan 
NUM.4.27	Aarón y surinkunami niyanqa Gersón runakuna imata rurayänanpaq y imata apayänanpaqpis. 
NUM.4.28	Say manëjukunatami Gersónpita miraqkuna apayanqa. Lapantapis rurayanqa cüra Aarónpa surin Itamar tantiyasishqannöla.
NUM.4.29	<<Saynöpis Meraripita miraq runakunata ayllunpa ayllunpa y castanpa castanpa censayay. 
NUM.4.30	Paykunata censayanki kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaq. Say edä runakunami Tinkunansi Tolducho imapis ruraypaq kaqkunata rurayanqa. 
NUM.4.31	Paykunami apayanqa Tinkunansi 
NUM.4.32	Tinkunansi Sagrädu Toldupa patiunpa jorconninkunata, jorconpa jawiräkunanta, estäcankunata, watunkunata y lapan manëjunkunatapis. Qammi ninki cada ünun imata apayänanpaq kashqantapis. 
NUM.4.33	Say manëjukunatami Meraripita miraqkuna apayanqa. Tinkunansi Tolducho sirvimar lapantapis rurayanqa cüra Aarónpa surin Itamar tantiyasishqannöla>>.
NUM.4.35	Sayno censayarqan kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaqmi. Say edä runakunami Tinkuna Tolducho imapis ruraypaq kaqkunata rurayarqan. 
NUM.4.36	Coatpita miraqkunata censayaptin ishkay waranqa qanchis pachak pisqa chunka (2,750) runakunami kayarqan. 
NUM.4.37	Paykunami Tinkuna Tolducho ima ruraykunatapis rurayarqan. Moisésta 
NUM.4.38	Gersónpita miraqkunatapis ayllunpa ayllunpa y castanpa castanpami censayarqan. 
NUM.4.39	Sayno censayarqan kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaqmi. Say edä runakunami Tinkuna Tolducho imapis ruraypaq kaqkunata rurayanqa. 
NUM.4.40	Gersónpita miraqkunata censayaptinmi ishkay waranqa soqta pachak kimsa chunka (2,630) runakuna kayarqan. 
NUM.4.41	Paykunami Tinkuna Tolducho ima ruraykunatapis rurayarqan. 
NUM.4.42	Meraripita miraqkunatapis ayllunpa ayllunpa y castanpa castanpami censayarqan. 
NUM.4.43	Sayno censayarqan kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaqmi. Say edä runakunami Tinkuna Tolducho imapis ruraypaq kaqkunata rurayarqan. 
NUM.4.44	Meraripita miraqkunata censayaptinmi kimsa waranqa ishkay pachak (3,200) runakuna kayarqan. 
NUM.4.45	Paykunami Tinkuna Tolducho ima ruraykunatapis rurayarqan. 
NUM.4.47	kimsa chunka (30) watayuqpita pisqa chunka (50) watayuqyaq censayarqan. Say edä runakunami Tinkuna Tolducho imapis ruraypaq kaqkunata rurayarqan. 
NUM.4.48	Lapanta censayaptinmi puwaq waranqa pisqa pachak puwaq chunka (8,580) runakuna kayarqan. 
NUM.4.49	Moisésta 
NUM.4.49	Moisésta 
NUM.5.1	Moiséstami 
NUM.5.2	<<Israel runakunata niy 
NUM.5.3	Campamentu 
NUM.5.4	Moisésta 
NUM.5.5	Moiséstami 
NUM.5.6	<<Israel runakunata niy: <Warmipis olqupis 
NUM.5.7	Saymi jusalikushqanta reconöcir runa mayinta perjuiciuta rurashqanpita päganqa. Say jananmanraq quinta parti masta päganqa. 
NUM.5.8	Perjuiciu rurashqan runa wanukushna kaptin y ayllunkunapis manana kayaptinqa pägapakunanpaq kaqta cürata entreganqa. Say pägapakushqan 
NUM.5.9	<< <
NUM.5.10	Lapan chaskishqankunapis kikin cürapaqmi kanqa> >>.
NUM.5.11	Moiséstami 
NUM.5.12	<<Israel runakunata niy: <Aybësis cäsu kanmanmi pï warmipis runanta qanratashqan. 
NUM.5.13	Runanta sayno qanratashqanta pipis mana tariykaptin 
NUM.5.14	runan celösu rikakurqa 
NUM.5.15	warminta cüraman pushanqa. Saynöpis saki mikuy ofrendapaq ishkay kïlu cebäda jarinata apanqa. Say ofrendamanqa ama winapanqasu aceitita ni inciensuta. Say ofrendaqa kanqa warmin qanrataykashqanta o mana qanrataykashqantapis musyananpaqmi.
NUM.5.16	<< <Cüranami say warmita 
NUM.5.17	Saypitanami sagrädu yakuta mitu väsuman winaykur say yakuman 
NUM.5.18	Say warmita 
NUM.5.19	Nirkurna say warmita jurasir ninqa: <<Pï runawanpis qowaykita mana qanratash kaptikiqa kay iwjiq yakuta upuptiki manami maldición päsashunkisu. 
NUM.5.20	Qowaykita qanratar jukta waynäkush kaptikiqa 
NUM.5.21	lapan runakuna rikakuyänanpaqmi 
NUM.5.22	Say maldición päsashunki kay iwjiq yakuta upuptikimi>>.
NUM.5.22	<< <Cüra sayno niptinmi say warmi ishkay kuti ninqa: <<Nishqaykino kasun>>.
NUM.5.23	<< <Saypitanami maldición päsananpaq nishqanta cüra qelqanqa. Nirkurmi qelqashqanta maylaskir say yakuta winanqa väsucho kaykaq iwjiq yakuman. 
NUM.5.24	Say iwjiq yakutanami warmita cüra makyanqa. Jusayuq karqa say yakuta upuskir pasaypami nakanqa. 
NUM.5.25	Yakuta chaskirkurmi qowan celösu kashqanpita apamushqan saki mikuy ofrendata cürata entreganqa. Saytami 
NUM.5.26	 imaypis yarparänanpaqmi say ofrendapita juk aptayta jorquskir altarcho rupasinqa. Nirkurnami iwjiq yakuta warmita upusinqa. 
NUM.5.27	Runanta qanratash karqa say yakuta upuskir pasaypami nakanqa. Saymi mädrinnin jakaptin shuluyla shulunqa. Sayno nakanqa lapan runakuna rikakuyänanpaqmi. 
NUM.5.28	Runanta mana qanratash kaptinmi isanqa imapis päsanqasu y qeshyaq rikakurpis shulunqasu.
NUM.5.29	<< <Sayno rurayanki warmin jarukushqanta runa maliciaptin 
NUM.5.30	jusayuq o mana jusayuq kashqantapis musyananpaq. Say warmitami 
NUM.5.31	Sayno ruraptinqa runan manami jusayuqsu kanqa. Warminmi isanqa kikinpa jusanpita shuluyla shulunqa> >>.
NUM.6.1	Moiséstami 
NUM.6.2	<<Israel runakunata niy: <Mayqan runapis o mayqan warmipis nazareo kananpaq 
