MAT.1.1	Yesu Kerisi yi degwa lo sënë: Yesu saga sën Davit yi mewis, geDavit saga sën Abraham yi mewis.
LUK.22.69	Rëḳ mu pehi sënë, og Mehönon Nalu rëḳ medo gëp niwëëk ala Anutu nema vesa bemedo degwata.” 
LUK.22.70	Lob sir pin denër yah bë, “Om maḳ honġ sagaḳ Anutu Nalu honġ-a?” Loḳ nër yah vu sir bë, “Yiḳ saga. Ham voseḳ vorot.” 
LUK.22.71	Lob denër bë, “Hil rëḳ ġanġo ġaġek re gökin-a? Ġaġek sënë yö raḳ verup avi behil hanġo ggovek ya.”
LUK.23.1	Lob sir pin dekedi bedeḳo yi ya vu Pilatus 
LUK.23.2	gedevonġ ġaġek vu yi bë, “He halë mehö sënë bë neloḳ alam ahëj in dekedi medengis beġö medekepë gavman na. Genenërin he bë he su ġetë takës vu ham mehö-los-bengö Sisar. Log nenër bë yiḳ yi Kerisi sënë, beyi mehö-los-bengö.” 
LUK.23.3	Loḳ Pilatus loḳ tepëḳ vu yi bë, “Alam Yuda hir mehö-los-bengö honġ-a?” Loḳ nër yah vu Pilatus bë, “Ġenër ya meyoh vu.” 
LUK.23.4	Lob Pilatus nër ya vu alam-deneḳo-seriveng hir ggev losho alam pin bë, “Sa su töḳ vu ġaġek ti geneggëp vu mehö sënë rë.” 
LUK.23.5	Loḳ denër yah niwëëk bë, “Netateḳin ġaġek vu alam yoh vu distrik Yudea pin beneloḳ ahëj rot bë degevonġ beġö medekepë gavman na. Ḳo ġaġek sënë raḳ nyëdahis ggëp Galilea, lob nevonġ rot, gesën verup agi.”
LUK.23.6	Pilatus nġo hir ġaġek, lob loḳ tepëḳ yah vu sir bë, “Mehö sënëḳ yi Galilea ti?” 
LUK.23.7	Lob detateḳin vu yi meraḳ ni bë Yesu yam vu distrik Galilea sën Herot neġin lo, lom vonġ yi ya vu Herot. In Herot verup nedo Yerusalem loḳ buk sënë ving.
LUK.23.8	Herot lë Yesu, lob kwa vesa rot, in nenġo Yesu bengö lob nevonġ rot bë gelë yi. Lob kwa vo bë maḳ Yesu rëḳ gevonġ nġaa böp ti begelë. 
LUK.23.9	Nebë sënë lom Herot neloḳ tepëḳ in yi hus ading. Rëḳ Yesu su nenër ġaġek ti yah vu yi rë. 
LUK.23.10	Lob alam-deneḳo-seriveng hir ggev losho alam-horek-yi deya dus medenër ġaġek niwëëk ya atata vu yi rot. 
LUK.23.11	Lob Herot losho yi alam-beġö-yi devasap yi gedenër pelë raḳ yi. Log deḳo tob malanġeri ti bederöp loḳ yi, log devonġ yah meya vu Pilatus ggökin. 
LUK.23.12	Wirek og Herot luho Pilatus denelë sir paya, rëḳ loḳ buk sënë, og luho desemu ġaġek medenelë sir nivesa.
LUK.23.13	Lob Pilatus tahi alam-deneḳo-seriveng hir ggev losho alam teta, galam meris ving medesupin sir yam. 
LUK.23.14	Log nër vu sir bë, “Ham ḳo mehö sënë yam vu sa, log ham nër bë neloḳ alam ahëj in dekedi medengis beġö medekepë gavman na. Om ham gwenġo rë. Sa naloḳ tepëḳ in yi ġaġek sënë raḳ ham malamin niröp. Lob sa su töḳ vu bë vonġ nġaa ti paya loḳ ġaġek pin sën ham nër raḳ yi agi rë. 
LUK.23.15	Log Herot ving nebë saga om sën vonġ yi yom vu hil ggökin. Ham lë! Mehö sënë su vonġ nġaa ti paya in bë hil angis yi menadiiḳ rë. 
LUK.23.16	Om maam sëḳ beek yi geġevonġ yi nah mena.” 
LUK.23.17	[In hir horek neggëp nebë Pilatus gevonġ alam ḳarabus ti ti vër doḳ buk vabuung sënë noh vu ta menah vu sir.]
LUK.23.18	Loḳ alam pin ayej loḳ ti medekeseh rur raḳ bë, “Ġengis mehö saga menadiiḳ gegwevonġ Barabas nom vu he.” 
LUK.23.19	Barabas sënë vonġ beġö vu gavman loḳ nyëġ böp saga genesis alam medenediiḳ, lob deḳo yi ya nedo ḳarabus. 
LUK.23.20	Loḳ Pilatus loḳ tepëḳ yah vu sir ggökin, in kwa nevo bë dëëin Yesu mena. 
LUK.23.21	Rëḳ detahi yah bë, “Ġengis yi jaḳ na ḳelepeḳo! Ġengis yi jaḳ na ḳelepeḳo!” 
LUK.23.22	Loḳ yiḳ loḳ tepëḳ yah vu sir netu beron löö bë, “In va? Mehö sënë vonġ va paya? Sa su halë bë vonġ nġaa ti paya meneggëp vu yi in bë hil angis yi menadiiḳ rë. Om sebeek yi geġevonġ yi nah.” 
LUK.23.23	Rëḳ nij wëëk rot, gedetahi ya niwëëk ata bë ngis yi jaḳ na ḳelepeḳo, bayej rehöö Pilatus aye. 
LUK.23.24	Lob Pilatus kwa vo bë maam gurek hir ġaġek babu. 
LUK.23.25	Lob lëëin mehö sën vonġ beġö vu gavman besis mehönon dediiḳ beya nedo ḳarabus lo yah vu sir in detahi arë. Log vo Yesu yah vu sir in bë dengis menadiiḳ yoh vu sën alam detahi lo.
LUK.23.26	Deḳo Yesu raḳ medeya, log Simon vu Kurene nahën verup neya in bë doḳ na nyëġ böp Yerusalem. Lob dejom yi ahon gedebë ḳelepeḳo raḳ ya baġë bekerë metamuin Yesu.
LUK.23.27	Galam yu böpata denetamuin yi, gavëh nġahiseḳë denesu medenesis sir, gedenegelu tarot raḳ yi. 
LUK.23.28	Rëḳ Yesu ggërin yah menër vu sir bë, “Ham Yerusalem avëh, ham su ngu in sa, gaḳ mëm ham nġo ngu in ham los nalumin lo. 
LUK.23.29	In buk vonġin berup lob rëḳ denanër nabë:
LUK.23.29	‘Avëh sën denare babuj seḳë lo, gavëh sën su naluj neloḳ rë lo, gavëh sën su denevo rur vu naluj rë lo, og kwaj vesa.’
LUK.23.30	In doḳ buk saga, og
LUK.23.30	‘rëḳ denanër vu ḳedu nabë,
LUK.23.30	“Ham kwepë ham menam jaḳ gwëp he!”
LUK.23.30	Log rëḳ denanër vu ḳedu mahen mahen nabë,
LUK.23.30	“Ham dahun he!” ’
LUK.23.31	In nabë degevonġ nabë sënë vu ḳele nidun pehi sënë, og maḳ rëḳ degevonġ nabë va vu ḳele sën rëḳ denaboveng na lo?”
LUK.23.32	Log deḳo alam sën denekeyëh horek lo luu ya in bë dengis luho geving Yesu. 
LUK.23.33	Ya deverup nyëġ ti sën denenër arë nebë Nyëġ-yuseḳë lo lob desis yi raḳ ya ḳelepeḳo. Log desis alam sën denekeyëh horek lo luu raḳ ḳelepeḳo ving. Ngwë nare Yesu nema vesa, gengwë nare nema ḳëj. 
LUK.23.34	Lob Yesu nër bë, “Amaġ, ġedahun sir sën devasap sa lo hir nġaa nipaya sënë na. In su deraḳ ni bë denevonġ paya rë.” Ggovek log detë ġelönġ mahen teka la in bë gooin sir ti ti jaḳ medegeḳo yi tob. 
LUK.23.35	Log alam vare denelë. Rëḳ alam ggev denër pelë raḳ yi bë, “Neloḳ vu alam vahi. Om nabë Anutu yi Kerisi yi yönon sën Anutu ggooin yi raḳ lo, og yö doḳ vu yi.” 
LUK.23.36	Galam-beġö-yi denenër pelë raḳ yi ving. Log deya dus in bë debo wain ahëggin sën arë nebë vinegga lo besesuvin. 
LUK.23.37	Log denër vu yi bë, “Nabë alam Yuda hir mehö-los-bengö honġ yönon, og nġo ġedoḳ vu honġ.” 
LUK.23.38	Log dekevu ġaġek ti raḳ neggëp ḳelepeḳo yu nebë: 
LUK.23.39	Log mehö luu sën desis luho raḳ ḳelepeḳo ving lo ngwë nër Yesu bë, “Honġ Kerisi? Og nġo ġedoḳ vu honġ, geġedoḳ vu aluu geving!” 
LUK.23.40	Rëḳ ngwë nġo ġaġek sënë, lob ggoo yi bë, “Yiḳ alöö hoho haḳo vanë neggëp ti, ma su genehöneng in Anutu rë? 
LUK.23.41	Yönon, aluu og desis aluu loḳ yah nġaa nipaya sën alu hevonġ lo, om alu haḳo vanë beyoh vu. Gaḳ mehö sënëḳ su vonġ nġaa ti paya rë.” 
LUK.23.42	Log nër bë, “Yesu, ġenom los arëm böpata in gweġin mehönon, og kwam bo sa.” 
LUK.23.43	Lob Yesu nër yah vu yi bë, “Sa nanër vu honġ yönon nabë: Pehi sënë, rëḳ ġemedo geving sa gëp Paradis.”
LUK.23.44	Log hes vuheng raḳ, loḳ hes malaḳenu loḳ beyoh vu dob pin, beya meto 3 krök sehuksën. 
LUK.23.45	Lob tob böpata sën neruu dub-vabuung-böp ayo vabuung lo kweeḳ raḳ luu.
LUK.23.46	Log Yesu nġeeḳ böpata bë, “Amaġ, sa nehevonġ anoġ neyök loḳ nemam.” Tahi nebë sënë, log diiḳ ya.
LUK.23.47	Lob Rom hir alam-beġö-yi yu ti hir ala lë nġaa sënë, lob ḳo Anutu arë raḳ bë, “Yönon rot, mehö sënë yi mehö yohvu!”
LUK.23.48	Log alam pin sën desup sir ya in bë degelë lo delë nġaa sënë, lob ayoj maggin gedesis sir gedeyah medeya bej.
LUK.23.49	Log Yesu ni papu lo pin, gavëh sën sir vu Galilea medesepa Yesu medeyam lo yö denare ggëp ading teka medenelë nġaa pin sënë.
LUK.23.50	Log mehöti arë nebë Yosep nedo. Yi vu Yuda hir nyëġ böp ti arë nebë Arimatea. Mehö sënë yi mehö nivesa geyi mehö yohvu, geyi kaunsor ving. 
LUK.23.51	Rëḳ su nevo veyov in kaunsor vahi hir ġaġek sën denenër bë dengis Yesu lo rë. Gaḳ yö neġin buk sën Anutu natu ala begeġin sir lo benedo. 
LUK.23.52	Lob mehö sënë ya vu Pilatus meketaġ Yesu vu yi. 
LUK.23.53	Log ya meruh Yesu nihel navi luḳ mebom loḳ tob veroo ti, log ya mebë loḳ waaḳ ti. Nahën denesap waaḳ sënë loḳ ġelönġ yö meris beneggëp mewis, gesu debë mehö ti loḳ rë.
LUK.23.54	Buk sënëḳ buk sën denero sir in bë geheng geto log dega nos Buk-ggöksën-yi lo, log hes neluḳ in bë govek na gedegök na Buk-sewahsën-yi.
LUK.23.55	Log avëh sën desepa Yesu ggëp Galilea medeyam lo, desepa Yosep medeya ving bedelë bedub sënë. Lob delë mederaḳ nyëġ len ti sën bë Yesu nihel meneggëp loḳ lo ni ving. 
LUK.23.56	Delë ggovek, log deyah medeya bedero marasin los wël, genġaa sën reggu nivesa vesa lo medenedo. Log Buk-sewahsën-yi og desewah yoh vu sën horek nër lo.
LUK.24.1	Log loḳ soda saga yi buk muġinsën monbuk anon lob avëh dekedi bedeḳo wël los nġaa reggu nivesa vesa sën dero menedo vorot lo medeya. 
LUK.24.2	Loḳ delë geġelönġ sën neggërin bedub avi lo tetolin meyö ya nare ya nenga. 
LUK.24.3	Lob deloḳ ya delë rëḳ Mehöböp Yesu nihel su neggëp rë. 
LUK.24.4	Lob vare mekwaj neya nġahi in, medeneketul loḳ, loḳ mehö luu depevis beyam denare ving sir geluho hir tob nevër. 
LUK.24.5	Avëh delë, lob ḳenuj verup bedepetev bemalaj ya dob. Rëḳ luho denër vu sir bë, “Ham nesero mehö mala-tumsën sënë loḳ alam-diiḳsën hir nyëġ in va? Su nedo sënë rë. Gaḳ kedi raḳ meya gwëbeng! 
LUK.24.6	Ham kwamin bo nah ġaġek sën nahën nedo ggëp distrik Galilea genër vu ham lo rë. 
LUK.24.7	Nër vu ham bë debo Mehönon Nalu doḳ na alam nij paya nemaj bedengis yi na betii ḳelepeḳo, log buk natu löö, lob rëḳ kedi jaḳ nah gökin.”
LUK.24.8	Lob kwaj vo yah ġaġek sën Yesu nër wirek lo. 
LUK.24.9	Lob sir vu bedub bedeyah, beya denër nġaa pin sënë ranġah vu hur maluh nemadluho-bevidek-ti sën lo losho alam vahi pin. 
LUK.24.10	Yiḳ sir lo sënë: Maria vu Magdala ga, Yoana, geMaria sën Yakobus ata lo, gavëh vahi sën losho deya lo, bedenër ġaġek sënë vu sinarë nyëdahis lo. 
LUK.24.11	Rëḳ sinarë lo kwaj nevo bë yiḳ avëh om maḳ yö denenër ġaġek kuungsën mu, lob su devonġ ving ayej rë. 
LUK.24.12	Rëḳ Pita kedi seröġ meyah bedub beya meto nare gekeḳooin melë waaḳ ayo, rëḳ lë bë tob meris yö nedo. Lob yah meya rëḳ kwa neya nġahi in nġaa sënë rot.
LUK.24.13	Loḳ yiḳ sir sënë luu medo denetetuu aggata loḳ yiḳ buk saga medeneya nyëġ mahen ti arë nebë Emaus. Aggata sën vu Yerusalem meneya Emaus lo, og yiḳ yoh vu kilomita nemadluho. 
LUK.24.14	Lob luho medo denetetuu aggata gedenevengwënġ raḳ nġaa pin sën lo. 
LUK.24.15	Luho denevengwënġ raḳ gedeneloḳ tepëḳ in sir gedeneya, lob Yesu verup ving luho, belööho deneya loḳ ti. 
LUK.24.16	Rëḳ luho su deraḳ ni bë Yesu rë.
LUK.24.17	Lob loḳ tepëḳ vu luho bë, “Melu nevengwënġ raḳ va meneya?” Nër nebë sënë, lob luho denare gayoj maggin rot, gemalaj seluh. 
LUK.24.18	Loḳ ngwë sën arë nebë Kleopas loḳ tepëḳ yah bë, “Alam pin sën yam denedo Yerusalem lo deraḳ nġaa sën verup ggëp Yerusalem loḳ buk agi ni, gaḳ maḳ yiḳ nġo timu sënë sën honġ duġin-a?” 
LUK.24.19	Loḳ Yesu loḳ tepëḳ yah bë, “Va ti?”
LUK.24.19	Loḳ luho denër yah vu bë, “Nġaa sën töḳ vu Yesu Nasaret lo. In nġaa sën nevonġ los nenër ggëp Anutu losho alam pin malaj lo netato bë yiḳ yi mehö-nenër-ġaġek-ranġahsën los arë böpata ti, in nevonġ nġaa pin los niwëëk. 
LUK.24.20	Lob hil alam-deneḳo-seriveng hir ggev lo, losho hil ggev pin devo yi loḳ ya alam Rom nemaj. Lob alam Rom denër ġaġek venuh bë nadiiḳ, lob desis yi raḳ ya ḳelepeḳo. 
LUK.24.21	He hekuung bë yi mehö sën rëḳ geḳo alam Israel vër in alam Rom nemaj lo. Kë’! Log ġaġek ngwë sënë: Nġaa pin sënë töḳ vu yi ngöp, log buk netu löö sën gwëbeng agi, 
LUK.24.22	lob he sënagi avëh la ya delë medenër vu he lob he ḳenumin ya. In dekedi raḳ monbuk anon medeya bedub, 
LUK.24.23	lob desero Yesu nihel, lob yom verup denër vu he bë delë angër la, lob angër denër vu sir bë Yesu nedo vesa. 
LUK.24.24	Lob he sënagi la deyah medeya bedub, loḳ delë nġaa yoh vu sën avëh denër lo. Gaḳ su detöḳ raḳ yi rë.”
LUK.24.25	Lob Yesu nër vu luho bë, “Oo, melu kwamin ma! Melu su pasanġ nevonġ ving alam-denenër-ġaġek-ranġahsën hir ġaġek pin sën denenër lo rë. 
LUK.24.26	Ma melu su raḳ ni bë Kerisi og rëḳ geḳo vanë menadiiḳ, loḳ mëm vesa doḳ nah megeḳo arë böpata los vuneḳ vuneḳ yaġek yi rë?” 
LUK.24.27	Lob ḳo ġaġek raḳ loḳ Moses yi ġaġek los alam-denenër-ġaġek-ranġahsën pin hir ġaġek betateḳin ġaġek pin sën neraḳ yi meneggëp loḳ Anutu-yi-ḳapiya lo degwa vu luho.
LUK.24.28	Lob deya rot beya deverup dus vu begganġ-bu ti sën luho deneya agi, lob Yesu vonġ in bë kesuu luho gena. 
LUK.24.29	Rëḳ luho denërin yi bë, “Ġemedo geving aluu in hes luḳ ya bevonġin ḳenu doḳ.” Lob loḳ ya nedo ving luho. 
LUK.24.30	Ggovek gebë dega nos, lob Yesu nedo ving luho. Lob ḳo brët raḳ bejom raḳ ya vu Anutu los kwa vesa, log debu bevo vu luho. 
LUK.24.31	Vonġ nebë sënë, lob mëm luho malaj ranġah raḳ mederaḳ ni. Log mehor pevis geluho su delë yi ggökin rë. 
LUK.24.32	Lob luho yö yom denër vu sir bë, “Yönon, alöö medo nesepa hil menayam aggata, lob netateḳin Anutu-yi-ḳapiya degwa ranġah vu aluu, lob alu ayod tee yi in rot.”
LUK.24.33	Lob luho pevis bedekedi loḳ buk bedeyah medeya Yerusalem ggökin. Luho yah to detöḳ vu sir nemadluho-bevidek-ti sën lo ving hir alam vahi, gedesupin sir medenedo. 
LUK.24.34	Lob denër vu luho bë, “Mehöböp kedi raḳ ggökin yönon beSimon lë yi ggovek ya!” 
LUK.24.35	Nebë saga loḳ luho deturin nġaa pin sën töḳ vu luho loḳ aggata lo vu sir. Geluho denër bë deraḳ ni loḳ sën debu brët bevo vu luho lo.
LUK.24.36	Medo denenër ġaġek sënë, log Yesu verup nare ranġah loḳ sir vuheng atov [benër vu sir bë, “Ham ayomin gëp revuh.”] 
LUK.24.37	Lob deggöneng rot beḳenuj verup. In dekuung bë mehöti ḳenu nare ranġah vu sir. 
LUK.24.38	Loḳ nër vu sir bë, “Ham ḳenumin neverup in va? Geham kwamin neya nġahi in va? 
LUK.24.39	Ham gwelë sa vahaġ los nemaġ sagi. Yiḳ sa sënë. Ham gwebë nemamin jaḳ sa geham gwelë. Gaḳ mehönon ḳenuj og nijreggos los nijpeḳooḳ nema, gaḳ su nebë sën ham lë sa agi rë. 
LUK.24.40	[Nër vu sir nebë sënë, log tato nema los vaha vu sir.] 
LUK.24.41	Lob kwaj vesa rot, rëḳ mu yö denahën gesu devonġ ving rë, gaḳ kwaj neya nġahi. Lob nër vu sir bë, “Maḳ ham nos la neggëp-a?” 
LUK.24.42	Lob devo ġël sën devesi lo dus ti vu yi. 
LUK.24.43	Lob vo vër megga gedelë raḳ malaj.
LUK.24.44	Lob nër vu sir bë, “Wirek sën sa nahën nado ving ham lo, log senër vu ham bë: Ġaġek pin sën dekevu raḳ sa meneggëp loḳ Moses yi horek, geneggëp loḳ alam-denenër-ġaġek-ranġahsën hir ḳapiya, geneggëp loḳ Saam lo, og ġaġek pin sënë rëḳ anon jaḳ.” 
LUK.24.45	Mëm tateḳin kwaj, lob deraḳ Anutu yi ġaġek sën neggëp loḳ ḳapiya lo degwa ni. 
LUK.24.46	Loḳ nër vu sir bë, “Dekevu ġaġek meneggëp loḳ Anutu-yi-ḳapiya bë: Kerisi geḳo vanë, gebuk natu löö, lob kedi jaḳ nah gëp bedub. 
LUK.24.47	Lob rëḳ denanër arë gëp Yerusalem namuġin bena menoh vu dob pin, in mehönon degërin sir, lob Anutu dahun hir nġaa nipaya na. 
LUK.24.48	Ham lë nġaa pin sënë raḳ malamin, om ham na nanër ranġah. 
LUK.24.49	Log sëḳ ġevonġ nġaa sën Amaġ nër bë rëḳ bo vu ham lo, nök vu ham. Om ham nġo naḳööḳ medo nyëġ sënë, rot bemëm niwëëk yaġek yi duḳ nam vu ham lom mëm.”
LUK.24.50	Log li sir meya deverup Betania. Lob varah nema raḳ, gevenġev raḳ in sir bë Anutu geġin sir nivesa. 
LUK.24.51	Nahën nejom raḳ in sir, lob vuu sir, gAnutu ḳo yi raḳ yah yaġek. 
LUK.24.52	Log deḳo arë raḳ gedeyah medeya Yerusalem los kwaj vesa rot. 
LUK.24.53	Lob denesupin sir loḳ dub-vabuung-böp raḳ buk pin bedeneḳo Anutu arë raḳ.
JHN.1.1	Vu muġinsën Ġaġek nedo. Ġaġek nedo ving Anutu, lob Ġaġek yiḳ yi Anutu. 
JHN.1.2	Vu muġinsën rot Ġaġek yö nedo ving Anutu. 
JHN.1.3	Yö tunġ nġaa pin. Genġaa ti su verup ggëp aggata ngwë rë. Ma. Nġaa pin sën anon raḳ menedo agi, og pum raḳ yi yö timu. 
JHN.1.4	Mala-tumsën degwa neggëp vu yi, lob mala-tumsën saga sën mehönon hir Ranġah. 
JHN.1.5	Lob Ranġah sënë netum raḳ malaḳenu, lob malaḳenu su yoh vu bë gërin rë.
JHN.1.6	Anutu vonġ mehöti arë nebë Jon yam. 
JHN.1.7	Yam in bë nanër ġaġek ranġah. Benanër ġaġek jaḳ Ranġah sënë in alam pin degenġo yi ġaġek bayoj na timu vu. 
JHN.1.8	Jon saga og yi su Ranġah rë. Gaḳ yam in bë nanër ġaġek jaḳ Ranġah sënë mu.
JHN.1.9	Ranġah soġek sën netum raḳ mehönon pin lo yam dob. 
JHN.1.10	Yi yö tunġ dob, rëḳ luḳ yam nedo dob, rëḳ mehönon vu dob su deraḳ ni rë. 
JHN.1.11	Yam yi nyëġ, rëḳ yi alam su deḳo yi raḳ rë. 
JHN.1.12	Gaḳ alam sën deneḳo yi raḳ bayoj neya timu vu yi lo, og nër sir bë detu Anutu nalu. 
JHN.1.13	Lob degwa sën detu Anutu nalu lo su neggëp vu amaj lu ataj nij ḳöḳ rë, gesu neggëp vu mehönon yö ayoj neggurekin sir rë, gesu neggëp vu mehönon yö kwaj bë denatu rë. Gaḳ degwa yö neggëp vu Anutu.
JHN.1.14	Lob Ġaġek sënë netu mehönon raḳ benedo ving hil, behe halë niwëëk los vuneḳ vuneḳ yaġek yi. Niwëëk los vuneḳ vuneḳ yaġek yi in yiḳ Ama Nalu timu, lob semusën degwa yi beyam los ġaġek anon pin. 
JHN.1.15	Jon nër yi ranġah genër bë. “Yiḳ mehö sënë sën senër vu ham wirek lo bë, ‘Mehö sën netamuin sa, og kesuu sa in yö nedo wirek, gaḳ saḳ nahën neverup.’”
JHN.1.16	Hil pin haḳo nġaa nivesa vesa ggëp yiyi. Vonġ semusën sënë vu hil, geyiḳ vonġ semusën ggök ggökin rot vu hil. 
JHN.1.17	Moses vo Anutu yi horek vu hil, rëḳ Yesu Kerisi vo semusën vu hil rot beyam los ġaġek anon pin. 
JHN.1.18	Mehöti su mala raḳ Anutu rë. Yö ma rot. Yiḳ Anutu Nalu timu sënë, sën nedo loḳ Ama babu lo, om sën tateḳin Anutu yi degwa vu hil.
JHN.1.19	Alam Yuda hir ggev devonġ alam-deneḳo-seriveng la ving alam Levi la vu Yerusalem beya deloḳ tepëḳ in Jon bë, “Honġ re?” Lob Jon nër ġaġek ranġah nebë sënë. 
JHN.1.20	Su lah ġaġek vun rë, gaḳ nër ranġah bë, “Sa su Mehö sën Anutu ggooin raḳ in bë geḳo hil nah lo rë!” 
JHN.1.21	Loḳ deloḳ tepëḳ in yi ggökin bë, “Gaḳ honġ re? Maḳ honġ Elia ma re?” Rëḳ bë, “Ma!” Loḳ sireḳ deloḳ tepëḳ yah bë, “Maḳ honġ mehö-nenër-ġaġek-ranġahsën sën hil neheġin lo?” Rëḳ nër yah bë, “Ma!” 
JHN.1.22	Nebë saga lom deloḳ tepëḳ bë, “Gaḳ honġ re? Ġenanër in he nah nanër vu alam sën devonġ he yam lo!” 
JHN.1.23	Loḳ Jon nër bë, “Sa mehö sën mehö-nenër-ġaġek-ranġahsën Yesaya nër ġaġek raḳ sa wirek lo nebë:
JHN.1.23	‘Mehöti aye neraḳ loḳ nyëġ-yumeris bë, “Ham bolinin Mehöböp yi aggata!” ’”
JHN.1.24	Alam Parisai devonġ alam saga yam, 
JHN.1.25	lob deloḳ tepëḳ in yi bë, “Su honġ Kerisi rë, gesu honġ Elia rë, gesu honġ mehö-nenër-ġaġek-ranġahsën sënë lo rë, loḳ nebë va sën ġeneripek alam-ë?” 
JHN.1.26	Rëḳ Jon nër ġaġek yah vu sir bë, “Sa naripek alam raḳ bël. Gaḳ mehöti nare loḳ ham vuheng, geham su raḳ ni rë. 
JHN.1.27	Mehö saga sën rëḳ tamuin sa menam. Yi mehö nivesa kesuu sa, gesa mehö niġ paya besesu yohvu in bë natu yi hur meḳevelekin aggis in vaha suu rë.” 
JHN.1.28	Denër ġaġek sënë vu Betania
JHN.1.29	Heng to lom Jon lë bë Yesu to neya lom nër bë, “Kë! Yi sën Anutu yi sipsip nalu sën rëḳ natu seriveng mekevoh alam dob pin hir nipaya na lo sagu. 
JHN.1.30	Yiḳ mehö saga sën sa nanër wirek lo bë, ‘Mehöti rëḳ nam tamuin sa, yi og kesuu sa in yö nedo muġin, gesaḳ ma!’ 
JHN.1.31	Sa og su seraḳ ni rë. Rëḳ seyam ripek alam raḳ bël in bë mehö saga rëḳ natöḳ nam ranġah balam Israel dejaḳ ni.”
JHN.1.32	Lob Jon nër ggökin bë, “Sa halë Anon Vabuung vu yaġek geluḳ yam nebë soḳ nuung ti meyam nedo raḳ yi. 
JHN.1.33	Sa og su seraḳ ni rë, rëḳ Mehö sën vonġ sa yam in bë sejipek alam jaḳ bël lo nër vu sa bë, ‘Gwelë nabë Anon Vabuung duḳ nam medo jaḳ mehöti, og mehö saga sën rëḳ getunġ Anon Vabuung jaḳ ham nabë sën nġo ġenetunġ bël raḳ sir lo.’ 
JHN.1.34	Lob sa halë ggovek besenër ġaġek ranġah bë Anutu nalu yi saga.”
JHN.1.35	Loḳ monbuk lob Jon yah nare ggökin beyi hur maluh luu denare ving yi. 
JHN.1.36	Loḳ Yesu to neya, lom mala sepa menër bë, “Kë! Anutu yi sipsip nalu yi sagu!” 
JHN.1.37	Beyi hur maluh luu sënë denġo nebë sënë, lob ya detamuin Yesu. 
JHN.1.38	Lob Yesu ggërin yom melë bë luho denetamuin yi lob nër vu luho bë, “Melu nesero va?” Rëḳ luho denër yah vu yi bë, “Rabai! (Sën hil ayed nebë Tatovaha). Böm tena?” 
JHN.1.39	Rëḳ bë, “Melu nam rëḳ gwelë!” Lob luho ya delë begganġ sën neggëp loḳ lo. Yiḳ loḳ 10 krök monbuk, lob luho denedo ving yi loḳ buk saga.
JHN.1.40	Luho sën denġo Mehö-neripek-alam Jon aye meya detamuin Yesu lo ngwë
JHN.1.41	Lom ya metöḳ vu ari Simon muġin menër vu yi bë, “He töḳ vu Mesia!” (Hil pekwë arë Mesia sënë doḳ nah Grik ayej nabë Kerisi.) 
JHN.1.42	Lob Andreas ḳo yi ya vu Yesu, lob Yesu mala nelë yi rëḳ bë, “Honġ Simon, Jon nalu. Hil rëḳ nanër arëm nabë Kepas!” (Arë sënë degwa nebë Ġelönġ.)
JHN.1.43	Loḳ tum heng to lob Yesu bë na distrik Galilea. Lom töḳ vu Pilip benër vu yi bë, “Ġetamuin sa!” 
JHN.1.44	Pilip sënë yi Betsaida ti, yiḳ lööho Andreas lu Pita begganġ-bu timu. 
JHN.1.45	Lob Pilip ya metöḳ vu Natanael, lom nër vu yi bë, “Mehö sën Moses kevu ġaġek raḳ loḳ horek wirek galam-denenër-ġaġek-ranġahsën dekevu ġaġek raḳ ving lo sën he töḳ raḳ ggovek ya. Yi Yesu Nasaret, Yosep nalu.” 
JHN.1.46	Lob Natanael nër vu yi bë, “Maḳ nġaa nivesa ti rëḳ berup gëp Nasaret-a?” Rëḳ Pilip nër yah vu yi bë, “Ġenam rëḳ gwelë!”
JHN.1.47	Yesu lë Natanael neyam vu yi, lom nër yi bë, “Ham gwelë! Israel anon soġek yi saga! Ġaġek kuungsën ti su neggëp vu yi rë!” 
JHN.1.48	Loḳ Natanael loḳ tepëḳ vu yi bë, “Nebë va sën ġeraḳ sa niġ-ë?” Loḳ Yesu nër yah vu yi bë, “Pilip su tahi honġ rë genġo nahën ġëdo loḳ ḳele pik degwa, log sa halë honġ muġin ggëp sagu.” 
JHN.1.49	Lob Natanael nër yah vu bë, “Tatovaha! Anutu nalu honġ! Alam Israel hir Mehö-los-bengö honġ!” 
JHN.1.50	Rëḳ Yesu nër yah vu bë, “Ġevonġ ving saga in senër vu honġ bë sa halë honġ loḳ ḳele pik degwa? Nahub rë, lob rëḳ gwelë nġaa böpata rot kesuu sënë!” 
JHN.1.51	Loḳ Yesu nër vu yi ggökin bë, “Sa nanër vu ham yönon nabë nahub rëḳ ham rëḳ gwelë yaġek rëḳ tateḳin yi geham gwelë Anutu yi angër dejaḳ gededuḳ vu Mehönon Nalu.”
JHN.2.1	Log buk netu löö lob mehöti ḳo venë ggëp Kana vu distrik Galilea, lom denegga nos böp geYesu ata nedo ving sir. 
JHN.2.2	Log devonġ ġaġek yah in Yesu losho yi hurmaluh bedeyam ving. 
JHN.2.3	Lob wain maya, lob Yesu ata nër vu yi bë, “Hej wain maya!” 
