MAT.1.1	Ya ra taa yang listaan yang mga kinaampu ni Jesu-Cristo. Tanya sasang kanubli ni Adi David
LUK.11.11	Yamung mga amaen, kung yang ana mi pandawat da ta ian tung numyu, magkabag̱ay w̱asu ang yang ipakdul mi, iraw? 
LUK.11.12	Kung pandawat ta kiklug, magkatama w̱asu ang yang ipakdul mi, sipitan? 
LUK.11.13	Ig disir kung yamu nganing ang mga taung pagkamali pa ngani, nag̱askeamu nganing ang magpakdul yang matinlu tung mga ana mi, ya pa yang Ama mi duun tung langit ang indi maskeng magpatinir tung Espiritu Santo tung kumpurming pag̱ingaluk tung anya?” mag̱aning.
LUK.11.14	Taa numanyan may dumang kaldaw ang ti Jesus nagpalayas da ta dimunyu ang yay nagpaapa tung taung atiang pag̱aekel-ekelan na. Purisu numanyan, pagkalayas da yang dimunyu, diritsyu rang nabitala yang taung atiang nag̱apa ra rin. Pagkagngel yang mga tau, ya ray naberengan nira ta mupia. 
LUK.11.15	Piru may duma asan ang namansianing, “Natetenged ilem tung ni Satanas
LUK.11.16	Yang duma may gustu nirang mamagtag̱am ta tuung tung ni Jesus. Purisu pirming pag̱asig̱-asig nirang magpaita ta pruibang liit tung langit ang para ya ray magpailala tung anyang talagang may kagaeman na ka man ang liit tung Dios. 
LUK.11.17	Numanyan ti Jesus, kumus nag̱askean na ra kang lag̱i kung unu pay laksu yang pag̱irisipen nira, dayun dang nagtuw̱al ang mag̱aning tung nira, “Ag̱askean mi, maskin ay pang inadianay, kung mamagkuruntraan da yang mga kinasakpan nang mamagbaratukan, makali ra ilem ang madiadu yang inadian ang atia. Maskin tung sam pamilya, kung magkuruntraan dang magsuruayan, diadu ra ka yang pagsarasaan nira. 
LUK.11.18	Kapurisu kung tama yang numyung rasun ang ti Satanas yay pagpaktel tung yeen ang pagpalayas tung mga dimunyu, ig disir, pagsuruag-suag̱an da rin tanira yang mga dimunyung nag̱amanguluan na. Ya pa ag̱aring magdayun pa yang paggaraemen na? 
LUK.11.19	Kidispuis pa kung tama yang numyung atia ang yuug paktelay ni Satanas, tinu pa kaya ay pagpaktel tung mga aruman ming pagpalayas ka tung mga dimunyu kung belag̱an ka tanya! Maski nganing yang mga aruman ming atia, puidi ra kang mamarik tung katadlengan ming atia. 
LUK.11.20	Ug̱aring kung ya ka man yang Dios mismu yang pagpaktel tung yeen ang para mapagpalayasaw tung mga dimunyu, ig disir, duun da ka nga pruibaay mi ang kinaw̱utanamu ra ka man yang puirsa yang paggaraemen nang naang baklung pag̱atukuru. 
LUK.11.21	Para maintindian mi yang pagkinuntraay yamen ni Satanas, maning taa tung pananglit ang naa. Kung may sasang mupiang lalii ang armadung pisan ang yay pagbantay tung balay na, indi maunu pa yang mga ekel-ekel na. 
LUK.11.22	Piru kung may sasang mas maktel tung anya ang yay manuyu duun tung anya, ya ray mandeeg tung anyang magpangalaw yang mga armas nang atiang panalig̱an na ra rin. Pati mga ekel-ekel nang pinanulisan na tung duma, pangkelan na ra ka ilem ang ipamarti-parti tung mga kaarumanan na. 
LUK.11.23	Intunsis kumus maning da ka man tia yang pagbinatukay yamen ni Satanas, kung tinu pay indi magpakigsasa tung yeen tung panagpunu tung mga tau, katimbang nang pagpakigkuntra tung yeen ang pagpangwasak tung nira ang para mas dang mamampalawid tung yeen,” ag̱aaning.
LUK.11.24	Numanyan dayun dang sinugpatan ni Jesus yang bitala nang mag̱aning, “Alimbawa, kung may dimunyung lumayas da tung sasang taung sinuutan na ra rin, unu pay mainabu? Anday duma, duun da ilem magpaalyu-alyu tung banwang palag-palag yang tau na, ay magsagyap da rin ta taung masuutan na. Piru kung anday maita na, maning taa yang ipagkesen-kesen na tung isip na: ‘Maayen pang magbalikaw ra ilem duun tung dating pinagtiniranung liniitanu.’ 
LUK.11.25	Numanyan tung pagbalik na, kaw̱utan na yang taung atiing liniitan na, yang kaalimbawaan na, maning pa tung sasang balay ang sinilig̱an dang ipinatayu-tayu yang mga garamiten. 
LUK.11.26	Purisu anday dumang buaten yang dimunyung atia, magpangkel da tung mga aruman nang pitu nga dimunyuan ang mas pang malain kay tung anya. Pagkatapus tanirang tanan, dayun dang mamagsuut tung taung atia ang para asan da mamagtinir tung anya. Purisu yang luaan na, mas dang maliwag yang malambeg̱an yang taung atia kay tung primiru ang sam bilug pa ilem din yang dimunyung pag̱ekel-ekel tung anya,” mag̱aning.
LUK.11.27	Pagkaaning ni Jesus tia, may sasang baw̱ay asan ang pamati ang tininluan da ta mupia tung pagparasanag̱en nang atia. Purisu dayun dang nabnga ang nagpadakul yang busis nang mag̱aning tung anya, “Talagang pinakaayen da yang Dios ta mupia yang nangana tung nuyung nanalaana, ay natetenged tung nuyung ana nang ag̱ikadengeg na,” ag̱aaning. 
LUK.11.28	Mag̱aning ti Jesus ang minles, “Sabag̱ay tama ka man. Piru mas pang pakaayenen na yang kumpurming pag̱intindi tung bitala nang nag̱ipagpakaw̱utu ang pagkatapus ya ra kay magtumanen na,” mag̱aning.
LUK.11.29	Taa numanyan atiing ya rag pagdulang agpagdulang yang kinadakel yang mga taung pamagsaragpun asan, napagbitala ra ti Jesus ang mag̱aning, “Durug kalain yang palaksu yang pag̱irisipen yang kadaklan ang mga tau simanyan. Pamagtag̱am ta reg̱es tung yeen ang magpaitaw ta pruibang makabew̱ereng ang para ya ray magpailala ang yuug tuw̱ulay ka man yang Dios. Piru indi ra paitaanu ta pruibang maning tia, puira pa tung sam bilug ang magkaanggid tung napanawan ni Jonas. 
LUK.11.30	Kipurki tung napanawan nang atia, asan da nga pruibaay yang mga tag̱a Nineve ang tanya tinuw̱ul ka man yang Dios ang magparakaw̱utun tung nira. Pariu ka tung yeen ang pag̱aningen ang Maninga Tau. Ay may sasang mapanawanu ang asan da ka nga pruibaay mi ang yuu tinuw̱ul ka man yang Dios ang magparakaw̱utun tung numyu
LUK.11.31	Kung kaw̱utun da nganing yang uras ang ipagsintinsia yang Dios tung mga tau ang tanirang tanan pampabungkarasen na, yang sasang baw̱ay ang yay manigmangulu tung sasang banwa ang ampir duun tung salatan atiing tukaw, ya ray pakdengen yang Dios ang sasa kang mulidung ipagpasunaid na tung mga taung katulad ka tung nainambitu nungayna ang duun da ka ipatielay na yang katadlengan nang magsintinsia tung nira. Kipurki yang baw̱ay ang atii, maskin alawid ang pisan yang banwang pinanliitan na, piru nagpaawat da ka enged ang nag̱angay taa tung banwa ta, basta mapagpamati ilem tung nag̱itulduk ni Adi Solomon ang makawawayang ta isip. Ang pagkatapus yang mga taung naang nainambitu, ag̱ad nani rang pisan tung tepad nira yang sasang taung landaw pa ta nag̱askean kay tung ni Adi Solomon ang ya kay pagturuldukun tung nira, ang pagkatapus indi ra ka nirag pamatien. 
LUK.11.32	Dispuis pa tung uras ang atia, pati yang mga taung atiing tukaw pa ang tag̱a Ninive, ya ra kay pakdengen yang Dios ang sasa kang mulidu ang ipagpasunaid na tung mga taung katulad ka tung nainambitu nungayna. Duun da ka ipatielay na yang katadlengan nang magsintinsia tung nira. Kipurki yang mga tag̱a Ninive, atiing pinagpakaw̱utan da ni Jonas, lag̱i-lag̱i rang namanligna tung mga kasalanan nira. Ang pagkatapus yang mga taung naang nainambitu, indi pa ka enged nag̱apanligna tung mga kasalanan nira, ag̱ad nani ra tung tepad nira yang sasang landaw pa tung ni Jonas ang pagparakaw̱utun ka tung nira.
LUK.11.33	“Ayw̱a, tinu pay nag̱aintindian ming tau ang magsindi ta kaas ang pagkatapus ya ra italukay na ubin ya ra sukluw̱ay na? Simpri asan ipabtangay na tung bistuan ug̱ud masanag̱an da yang mga taung pamagtakwal. Ya ray kaalimbawaanung pagparasanag̱en tung numyu. 
LUK.11.34	Ipananglitu ra kanay tung mga tinanguni mi. Yang maning pa tung kaas na, ya ra yang mga mata mi. Kung masadlaw, pati intirung tinanguni mi, damay ra ka tung masadlaw. Piru kung makiklep, tay pati intirung tinanguni mi, umid da ka tung makiklep. 
LUK.11.35	Kuidaw, pati mga isip ming maning pa ka tung kaas tung mga sadili mi ang kanisip ming malemek, nusias nag̱apateg̱as mi pa ka enged tung nag̱ipagpasanag̱u ra rin tung numyu. 
LUK.11.36	Piru kung yang pambungun mi, ya ra yang sasang taung masadlaw yang mata na ang yang intirung tinanguni na damay ra ka tung masadlaw ang andang pisan ay makiklep ang nag̱alaket, ig disir, kayananamu ra ka yeen ang pasanag̱an. Maning pa tung asanamu ra nga patingkalayu ta kaas,” mag̱aning.
LUK.11.37	Pagkatapus ni Jesus ta pagbitala, may sasang Pariseo ang yay nag̱imbitar tung anyang mamangan tung balay na. Purisu dayun dang nagpakled ti Jesus tung balay nang nagpakigsaru tung anya. 
LUK.11.38	Numanyan yang Pariseong naa, durug dakul yang pagkabereng na tung ni Jesus ang ayw̱at indi ra nangug̱as yang kalima na ta magkabag̱ay baklu namisik yang pamangan
LUK.11.39	Numanyan pagkaita ni Ginuu ta yang pagkabereng yang Pariseong atia, dayun na rang inaning, “Abaa yamung mga Pariseo, duruamug kasinulipeten tung pagrilimpiuen mi tung mga tasa mi may tung mga pinggan mi sigun tung mga riglamintung atiang pinanubli mi tung mga kinaampu ta ang yang kanisip mi ya ray mauyunan yang Dios tung numyu. Piru naa pala yang tung pundu yang mga pupusukun mi, indi mi pala ag̱insapuen ang yay kargadung pisan ta mga malalain ang pagtirimaen. Kuw̱ali panalensenamu tung tanan ang bag̱ay sibaya malepes mi yang mga masigkatau mi. 
LUK.11.40	Midyu baliskad dang pisan yang mga pag̱irisipen mi. Ayw̱a, yang nag̱imu tung sagpaw ang yag dawalay belag ba ang pati yang tung adalem ang indi maita ya kay inimu na? Belag bang dapat ang ya kay intindien ming insapuen? 
LUK.11.41	Purisu yang tung sagpaw indi mi pagsulipeten ang limpiuan, kung indi, yang mas matinlung buaten mi, kung unu pay nag̱ipabtang mi tung tasa mi may mga pinggan mi, ya ray ipamarti-parti mi tung mga taung nag̱aliwag̱an. Indiamu ilem mabereng ang aningenamu ra yeen ang kung ya ray pabilug̱an ming usuyun, pati nganing yang tanan ang garamiten mi, limpiu ra tung pagterelengen yang Dios, maskin indi mi intraan pangug̱as sigun tung pinanubli ming atia. 
LUK.11.42	Piru ay pa w̱a? Yamung mga Pariseo, kanugun yang pagkabetang mi tung uri ay kipurki maski nganing yang mga luak ming gereg̱esyeng pisan ang ya ilem ag̱ipasaburay mi tung mga sera mi
LUK.11.43	Yamung mga Pariseo, kanugun yang pagkabetang mi tung uri. Kipurki yang pag̱asikad ming magsimba tung mga pagsaragpunan mi ang yamu pakleramung kumarung tung parada ang para maitaamu ra ta kadaklan ang mga tau ang yamu dayawen nirang duruamu kag katinuuen. Dispuis pa kung yamu mamasyar tung mga plasa, yang kalelyag mi ang pakigbag̱asanamu ta tanan ang mga taung kumustaen. 
LUK.11.44	Yang sasa pang panganugunanu tung numyu ya taa. Yang kaalimbawaan mi yamu maning pa tung leyang ang pinanlug̱uran ta taung patay ang pagkatapus anday marka na. Ang masag̱iran ta mga tau, anday kaliw̱utan nirang asan da tanira nga mansaay ta sasang patay
LUK.11.45	Atii, may sasang sag̱ad ang mataku tung mga urdinansang pinanubli ang ya ray suminublang ang mag̱aning, “Elat kanay, Ameey. Ang magbitalaa, anda kay pagpateng-pateng mu! Pati yami ag̱igapil mu kang nag̱insultuen,” ag̱aaning. 
LUK.11.46	Mag̱aning ti Jesus ang minles, “Pati yamung mga sag̱ad, ya ka, kanugun ka yang pagkabetang mi tung uri. Kipurki yang mga tau ya rag palbatay ming nag̱iksiren tung sari-sari ilem ang mga urdinansang inimu-imu mi ka ilem ang idinulang tung mga katuw̱ulan yang Dios. Kung tung mga sarakanen pa, imurat da ilem ang kayanan nira. Piru indiamu ka enged magtaw̱ang ta sakan, maskin tung madeen da ilem yang mga kalima ming magduul. 
LUK.11.47	Talagang kanugun yang pagkabetang mi tung uri. Buat na pa durung pagmaal mi tung mga manigpalatay yang bitala yang Dios ang tukaw sindu yang mga leyang ang pinanlug̱uran tung nira nag̱apaisa-isaan mi nganing ang nag̱apakdengan ta mga matitinlung pantiun. Piru yang mga kinaampu mi yay namagpangimatay tung nira. 
LUK.11.48	Purisu asanamu ra pagpailala ang yang binuat nirang atii nag̱apauyunan mi ka gated taniray namagpangimatay, yamung may mga irinsia tung nira, yamu ray pagpaisa-isang pagtapus tung inimpisaan nira. 
LUK.11.49	Kapurisu para matuungamu, ya taa yang disisiun yang Dios para tung numyu: Paangayanamu si ka anya tung mga manigpalatay yang bitala na ang yay magparakaw̱utun tung numyu ang katulad ka tung binuat na tung mga kinaampu ming tukaw ang para asanamu ra nga sukdaay na kung ya pa ag̱ari yang paggaralangen mi tung nira. Pagkatapus anday dumang buaten mi tung nira, yang duma ya ra ipaimatayay mi, yang duma ya ra pandeeg-deeg̱ay ming panigbakay. 
LUK.11.50+LUK.11.51	Purisu yang pagpakuindi ming atia tung nira, anday dumang pakaw̱utun na, tung numyu enged ang mga masigkanasyunu nga dilemay yang Dios yang dug̱u yang tanan ang mga manigpadapat yang bitala na, mag̱impisa pa tiing primiru tung ni Abel ang asta ra tung kauri-urian ang tung ni Zacarias ang yay inimatay yang mga kinaampu mi tung kakleran yang pagtuuan ang pinakalusu. Duun ka pa man mismu imatayay nira tung pag̱elaan yang karakulan na may yang midyu lamisaan ang atiang darasag̱an ta mga ayep. Iugtulu tung numyu yang kamatuuran, yamung mga masigkanasyunu numanyan tung panimpung naa, talagang tung numyu enged dilemay na yang kamatayen nirang tanan
LUK.11.52	Dispuis pa yamung mga sag̱ad kanugun yang pagkabetang mi tung uri, ay dakulu yang panuw̱alan mi tung Dios. Ay yang maning pa tung liabi ang ipag̱abri mi ra rin tung linegdangan yang kasulatan, ipinlek mi ra. Purisu indi mi ra nag̱atultulan yang gustu nang ianing. Pati yang mga taung nag̱apanuldukan mi ang duru ka rin ang kalelyag nirang matultul, ya ra ilem ag̱intraay mi ta lingalag,” ag̱aaning ti Jesus duun tung nira. 
LUK.11.53+LUK.11.54	Taa numanyan, paglampud ni Jesus asan tung balay ang atiing pinamanganan na, pag̱ademtan da ta mupia naang mga Pariseo may naang mga sag̱ad tung pinanubli. Purisu nag̱apabalitektekan nirang nag̱apabalitektekan ta pagpaisplikar tung sari-saring bag̱ay ang para madeepan ilem nira ta puntus tung mga tuw̱al na, ang yay sarang ang mapadatelan nira ta kasalanan.
LUK.12.1	Numanyan mintras nag̱apatareg̱esan nira ta pabalitektek ti Jesus, ya kay pagsaragpun yang mga taung liniw̱u-liw̱u ang asta pagliliked-likeran da ilem. Numanyan ti Jesus may gustu nang ianing ang teed ilem tung mga taung atiang nag̱apangugyatan na. Mag̱aning tung nira, “Kuidaw, indiamu ra enged mag̱usuy tung ug̱ali yang mga Pariseo ang yang kadagmitan tung nira pamagpatunu-tunu ilem. Muya masaliranamu ra ilem nira tung ug̱ali nirang atia ang yang kaalimbawaan na maning pa tung pampaleskag tung san masang tinapay ang gulpi ra ilem ang tumagmak ang indi ra masuspindian. 
LUK.12.2	Agpaamanenamu ra yeen ta maning tia ay natetenged anday nag̱atipig̱an ang indi luw̱awan, anday kay nag̱italuk ang indi makdekan. 
LUK.12.3	Kapurisu kung unu pay inaning mi tung sikritu, magngel da ka enged tung publiku. Kung unu pay ialas-alas mi tung kakleran, mabandilyu ra ka enged tung kadaklan.
LUK.12.4	“Mga ungkuyu, iugtulu tung numyu, indiamu mag̱eled tung mga taung gustu nirang mangimatay tung numyu, ang ya ka ilem yang mga tinanguni mi ay sarangan nirang patayen, ang pagkatapus anda ra kay dumang mabuat nira tung numyung malain. 
LUK.12.5	Kung indi, yang dapat ang eldan mi enged, ipakdeku ra tung numyu. Anday duma, ya ra yang kung tapusun na ra nganing yang linawa yang sasang tau, may pudir na pa tung uri ang mamlek tung anya duun tung impirnu. Atia, iugtulu tung numyu, yay mas pang dapat ang eldan mi. 
LUK.12.6	Dispuis para tung indiamu mag̱eled tung buaten yang mga tau tung numyu, pademdeman mi ra ilem yang mga kutung ang mga balaynen. Indi w̱a, kung mangalangamu tung palingki, maskin limang bilug, durung pisan agkabaratu? Piru inding pisan nag̱apaw̱aya-w̱ayaan yang Dios, may sam bilug. 
LUK.12.7	Ya pa yamung mga tauanu, paw̱aya-w̱ayaanamu pa anya? Ultimung mga bua mi ilem ngani pinamilang na rang tanan. Kipurki sasa may sasa tung numyu, mas maalamu tung Dios kay tung mga kutung ang paneng.
LUK.12.8	“Kidispuis pa, iugtulu tung numyu, kung tinu pay mag̱ubligar tung katalungaan yang mga masigkatau na ang tanya sasa rang tauanu, ig disir ta yeen ang pag̱aningen ang Maninga Tau, kung kaw̱utun da nganing yang uras, yuu kay magpailala tung anya tung katalungaan yang mga angil ang pag̱apanuw̱ul yang Dios ang tanya sasa ra ka man ang tauanu. 
LUK.12.9	Piru kung tinu pay mag̱ingwara tung yeen tung katalungaan yang mga masigkatau na ang tanya belag̱an tauanu, ig disir, ta yeen, yang buatenu, ingwaraenu ka tung katalungaan yang mga angil ang pag̱apanuw̱ul yang Dios ang tanya belag̱an ka man ang tauanu.
LUK.12.10	“Kidispuis pa tung mga taung ituw̱ulu tung numyung pampakaw̱utan yang Matinlung Balita natetenged tung yeen ang pag̱aningen ang Maninga Tau, kung tinu pay magpakuindi tung yeen, puiding pasinsiaen yang Dios basta pagsug̱atan na. Piru kung tinu pay manambing tung Espiritu Santong pagtandeg tung kinaisipan nang magpasirung din tung yeen, atia indi ra enged patawaren yang Dios. 
LUK.12.11	Kidispuis pa kung lag̱unutunamu ra nganing ta mga tau ang para ipabistaamu ra nira tung mga pamagpakigmaepet duun tung mga pagsaragpunan nira ubin duun tung katalungaan yang ustisia, indiamu magpakabegbeg kung ya pa ag̱ari yang pagdipinsa mi tung mga sadili mi u kung unu pay maayen ang ituw̱al mi tung nira. 
LUK.12.12	Kipurki yang Espiritu Santong pag̱erekelen tung numyu, yay magpainunuku tung numyu tung uras ang atiang mainabu tung numyu, kung unu pay matinlung ituw̱al mi,” mag̱aning.”
LUK.12.13	Numanyan may sasang tau asan tung mga taung atiang buntun ang yay nagbugnu tung ni Jesus ang mag̱aning, “Ameey, maimu ilem, aningen mu ra kanay naa ti manung ang ipakdul na tung yeen yang partiu tung surublien yamen tung ni tatay yamen,” ag̱aaning. 
LUK.12.14	Mag̱aning ti Jesus ang minles, “Abee, yang taung naa! Ayw̱a, kanisip mu ang yuuy may pudir ang mag̱ariglu tung numyung durua ang para magpamarti tung numyu yang surublien mi tung ginikanan mi?” ag̱aaning. 
LUK.12.15	Pagkatapus tia, dayun dang nagbira tung mga tau ang nagpasanag tung nirang mag̱aning, “Yamung tanan asan, mangamanamu ang indiamu mag̱amluk ang kuw̱ali manalensenamu tung maskin unu pang bag̱ayay! Kipurki yang matinlung pagpangabui yang sasang tau, belag̱an liit tung mga kaayenan ang sarang maeklan na tung kaliw̱utan ang naa, maskin unu pag kadakel,” ag̱aaning. 
LUK.12.16	Pagkatapus, dayun dang nagpakdul ti Jesus ta sasang pananglit ang mag̱aning, “May sasang manggaranen ang puirti yang umintu yang kaluakan na. 
LUK.12.17	Simanyan, pag̱akesen-kesen na yang isip nang maning taa: ‘Unu pa kaya ay maayen ang buatenu? Kulang yang pagluug̱anu yang patebas yang kaluakanu,’ ag̱aaning. 
LUK.12.18	Numanyan pagkatimbang na tung isip na, mag̱aning si tung sadili na, ‘Aa, nag̱askeanu ra yang buatenu. Pampatastasanu ra ilem yang mga tambuw̱uung pampadakulun, ang para bastanti ra yang pagluug̱anu yang tanan ang pruduktu yang kaluakanu pati mga garamitenu. 
LUK.12.19	Matapusu ra nganing ta pagpaubra, matimes dang pisan yang tanan ang kaministiranu, maskin pira-pira rang takun, indiaw ra ka enged kulangen. Maenayanaw ra ka tung tanan ang pag̱urubraenu, mapapsawaw ra ka tung kumpurming iblen yang linawaw, mapagustuaw ra kang mapagtarangwayanaming magbararkada ang para mapagpakasadyaami ta ustu,’ ag̱aaning. Atia, ya ray ipinagkesen-kesen na tung isip na. 
LUK.12.20	Numanyan mag̱aning yang Dios tung anya, ‘Naa pala, anday isip mung pagkatau! Indi mu nag̱askean? Muyang law̱ii, bawienu ra yang kabui mung ipinablesu ra ka ilem tung nuyu. Ta, yang tanan ang atiang pinagluug mu, tinu pa pa w̱asu ay makinaw̱ang?’ ag̱aaning yang Dios tung anya. 
LUK.12.21	Purisu yang pisan ay kaalimbawaan yang taung pagtuw̱ud dang pagtuw̱ud ta manggad, ang pagkatapus, belag̱an kang manggaranen tung nag̱auyunan yang Dios,” mag̱aning.
LUK.12.22	Numanyan dayun dang nanalunga ti Jesus tung mga taung atiang nag̱apangugyatan nang nagsugpat yang bitala na. Mag̱aning tung nira, “Purisu ya man taang nag̱ipag̱aningu tung numyu, ang indiamu enged magpakabegbeg ta kulu natetenged tung pagpangabui mi, kung ariamu pa mangkel ta mapangan mi, u kung ya pa ag̱ari yamu mangkel ta aw̱el ang masuut mi tung mga tinanguni mi. 
LUK.12.23	Kipurki telengan mi. Pinakdulanamu ra nganing yang Dios yang mga linawa mi. Ya pang pamangan mi ilem, indiamu sarangan nang pakdulan? Pati mga tinanguni mi, pinakdulanamu ra ka nganing anya. Ya pang aw̱el mi ilem, indiamu sarangan nang paablan? 
LUK.12.24	Telengan mi ra ilem yang mga lamlam. Indi pamagtugda, indi ka pamangayeg. Anda kay mga pagtalukan nira ta pamangan ang para luug nira tung timpung pamig̱a-pig̱a. Piru indi ka pangalulutan, ay natetenged ag̱asikasuen yang Dios. Pagkatapus yamung mas maal tung anya kay tung mga lamlam, indiamu ka w̱asu asikasuen na? 
LUK.12.25	Sam pulukamung magpakabegbeg ta mga kulu mi, inding pisan mataw̱ang ang mapalagway tung mga kabui mi basin tung sang uras ilem. 
LUK.12.26	Kapurisu kung indi mi nganing kayanan yang gesyeng bag̱ay ang atiang sang uras ilem, ya pa yang dumang bag̱ay ang pabegbeg̱an mi pa? 
LUK.12.27	Kidispuis, kung natetenged tung pag̱araw̱elen mi, isipen mi ra kanay yang mga talay. Indi pagpakabedlay tung tanek, anda kay tiral ang pag̱ubraan nira ta mga aw̱el nira. Piru iugtulu tung numyu, maski nganing ti Adi Solomon ang yay nag̱askean tang pinakamanggaranen atiing tukaw ang durung pisan agkatitinlu yang mga bisti na, yang katitinlu na inding pisan temepeng tung katitinlu yang mga talay ang naa. 
LUK.12.28	Kidispuis pa, kung yang ilamunun ka ilem nganing ya pay nag̱apatinlu yang Dios ang nag̱apaeyangan ta mga talay ang simanyan yag dawalay mi ang pagkatapus mangayag yang kaliw̱utan, puiding sirukun da ka ilem, ya pa yamu, indiamu pa kayanan nang patinluen ang paablan? Masyadug kageg̱etey yang pagtaralig̱en mi tung Dios! 
LUK.12.29	Purisu ta yamu, indiamu ra magpakalingalag natetenged tung mga pagpangabui mi. Belag̱an ya tia ay pabegbeg̱an mi. 
LUK.12.30	Indi mi sakaen yang kadaklan ang mga tau tung bilug ang kaliw̱utan ang alawid pa tung Dios ang alus pa ilem ya ra ilem ay pag̱asikad nira tung kaldaw-kaldaw. Yang indi mi ipagpakabegbeg ta mga kulu mi tung pangabui mi, ay natetenged yamu may Ama mi ang yay nag̱askeng pisan kung unu pay mga kaministiran mi. 
LUK.12.31	Kung indi, yang ipalusu ming sikaren ang yamu pirming magparanek ang magpagaem tung Dios. Atia, kung yay sikaren mi, tay puis tanya ray balang mag̱arasikasuen tung tanan ang mga kaministiran mi ang ya ra rin ay nag̱aliw̱eg̱an ta mga kulu mi.
LUK.12.32	“Yamung mga tauanu ang pirming nag̱abantayanu ang pariu ka tung sasang kaayepan, tung bag̱ay gesyeamu ka man ilem, anday puirsa mi tung kaliw̱utan ang naa kung ikumpalar pa tung mga darakulung mga tau. Piru indiamu ra ilem magpatalaw. Kipurki uyun ang pisan tung isip ni Ama ming palg̱urunamu ra anya tung mga kaayenan ang ipinagsimpan na tung kumpurming pagpagaem ang bug̱us tung anya. 
LUK.12.33	Purisu ipaalang mi yang mga ganadus mi. Yang kabayaran na, ipamakdul-pakdul mi tung mga maliliwag̱en. Ay maning ka tia yang pagtaralukun mi ta manggad duun tung langit ang anda ray kaluw̱us-luw̱usan na. Kung duun yang manggad ming ipinagtaluk mi, indi maalengtan ta takawan, indi ka mapangan ta andap. 
LUK.12.34	Purisu maayen pa duunamu ra ilem magtaluk yang manggad mi. Kipurki kung ariamu pa magmanggad, duun da ka nga gamen yang mga isip mi,” ag̱aaning.
LUK.12.35+LUK.12.36	Mag̱aning ti Jesus ang nagpadayun yang bitala na, “Kaministiran ang yang pambungun mi, ya ra yang mga turuw̱ulun ang pamag̱elat tung ag̱alen nira ang duun manliit tung sasang kumbirang pinasakpan na. Yang pagpakbat nira tung anya, pirming riparasiun ig pirming dekal yang mga kaas nira ug̱ud kung kumaw̱ut da nganing tanya ang gumuuy tung nira, alistu ra ilem ang abrian nirang pakleren. 
LUK.12.37+LUK.12.38	Kung tinu pay mga turuw̱ulun nang kaw̱utan nang pamagpulaw, durug dakul yang kaayenan ang ipakdul na tung nira. Maskin tenganan da ta law̱ii yang ipagkaw̱ut na, maskin alenget dang mangayag, ang tanira pamagpulaw pa ka enged, anday dumang ibles na tung nira, tanya ra mismu ang ag̱alen nira ya pay mag̱asikasu tung nirang maglamisa. 
LUK.12.39	Naa w̱a ya ra kay sasang isipen mi. Yang sasang may balay, kung naskean na ra rin yang uras ang ipagkaw̱ut yang takawan, indi na ra rin pinaw̱ayaan ta pamangbang yang balay na, kung indi, pinulawan na ra rin ang binantayan ta mupia. 
LUK.12.40	Purisu ta yamu kaministiran ang pirmiamung riparasiun tung ipaglekatu. Ay ta yeen ang pag̱aningen ang Maninga Tau, yang uras ang ipaglekatu inali. Muya matuun tung uras ang yang laum mi indiaw pa malkat,” mag̱aning.
LUK.12.41	Numanyan mag̱aning ti Pedrong nagtalimaan, “Ginuu, tinu pay ag̱apatemengan mu tung ipinananglit mung atia? Yami ilem ang mga tauan mu u maskin tinu pa?” 
LUK.12.42	Numanyan mag̱aning ti Jesus ang nagtimales, “Yang sasang turuw̱ulun ang katalig̱an ig mawayang ta kinaisipan, ya ray nag̱apiaran yang ag̱alen nang mag̱erekelen tung mga kaarumanan nang mga turuw̱ulun ug̱ud yay mamarti-parti yang mga pamangan nira ang kada kaw̱utun yang ipagkaministiran nira. 
LUK.12.43	Teed mi tiang kasadya yang isip yang turuw̱ulun ang atia kung kaw̱utan da yang ag̱alen nang pag̱intindi tung itinuw̱ul nang atia tung anya. 
LUK.12.44	Iugtulu tung numyu, ya ray piaran yang ag̱alen na tung tanan ang prupidad na. 
LUK.12.45	Piru, ipabetangu, kung yang turuw̱ulun ang atiang nag̱ianingu, maning taa yang kesen-kesen yang isip na, ‘Aa, siguru mabuay pang kumaw̱ut yang ag̱alenu.’ Ang pagkatapus mag̱intra ra pamalu tung mga masigkaturuw̱ulun na, tig lalii tig baw̱ay, pariu ilem yang aplit na, ig pagustuan na ra ilem yang linawa na tung tanan ang mga pamangan ang masasabur ig magpakigbarkada ra ka tung mga taung mga tarainem, atia aparti kusas. 
LUK.12.46	Pagkatapus numanyan inaling kaw̱utan yang ag̱alen na tung uras ang inding pisan nabantay ang andang pisan ay laum-laum nang kumaw̱ut da. Anday dumang buaten yang ag̱alen na tung anya, kastiguen nang anday kategkaan na. Duun da ipaugpuay na tung mga taung belag̱an kang katalig̱an. 
LUK.12.47	Utru si ipabetangu si, kung may kirepen ang maskin nag̱aintindian na yang itinuw̱ul yang ag̱alen na tung anya, piru inding pisan nanalugkamay ang para magtuman da rin, anday dumang buaten tung anya, paburdunan da ta mupia yang ag̱alen na. 
