GEN.1.1	Nang 
NUM.9.23	Sa utos ng Panginoon ay humantong sila, at sa utos ng Panginoon ay naglakbay sila; kanilang iningatan ang bilin ng Panginoon, sa utos ng Panginoon sa pamamagitan ni Moises.
NUM.10.1	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.10.2	Gumawa ka ng dalawang pakakak na pilak; yari sa pamukpok gagawin mo: at iyong gagamitin sa 
NUM.10.4	At kung kanilang hihipan ang isa lamang, ang mga prinsipe nga, ang 
NUM.10.5	At paghihip ninyo ng hudyat, ay 
NUM.10.6	At paghihip ninyo ng hudyat na ikalawa, ay 
NUM.10.7	Datapuwa't pagka ang kapisanan ay magpipisan ay hihihip kayo, 
NUM.10.11	At nangyari sa ikalawang taon, nang ikalawang buwan, nang ikadalawang pung araw ng buwan, 
NUM.10.12	At ang mga anak ni Israel ay nagsisulong, ayon sa kanilang mga paglalakbay mula 
NUM.10.13	At kanilang pinasimulan ang kanilang paglalakbay 
NUM.10.15	At nangungulo sa hukbo ng lipi ng mga anak ni Issachar, si Nathanael na anak ni Suar.
NUM.10.16	At nangungulo sa hukbo ng lipi ng mga anak ni Zebulon, si Eliab na anak ni Helon.
NUM.10.19	At nangungulo sa hukbo ng lipi ng mga anak ni Simeon si Selumiel na anak ni Zurisaddai.
NUM.10.20	At nangungulo sa hukbo ng lipi ng mga anak ni Gad, si Eliasaph na anak ni Dehuel.
NUM.10.23	At nangungulo sa hukbo ng lipi ng mga anak ni Manases, si Gamaliel na anak ni Pedasur.
NUM.10.24	At nangungulo sa hukbo ng lipi ng mga anak ni Benjamin, si Abidan na anak ni Gedeon.
NUM.10.26	At nangungulo sa hukbo ng lipi ng mga anak ni Aser si Phegiel na anak ni Ocran.
NUM.10.27	At nangungulo sa hukbo ng lipi ng mga anak ni Nephtali si Ahira na anak ni Enan.
NUM.10.28	Ganito ang mga paglalakbay ng mga anak ni Israel, ayon sa kanilang mga hukbo; at sila'y nagsisulong.
NUM.10.29	At si Moises ay nagsabi kay Hobab na anak ni 
NUM.10.30	At sinabi niya sa kaniya, Ako'y hindi paroroon; kundi ako'y babalik sa aking sariling lupain, at sa aking kamaganakan.
NUM.10.31	At sinabi ni Moises, Huwag mo kaming iwan, ipinamamanhik ko sa iyo; sapagka't nalalaman mo kung paanong hahantong kami sa ilang, at ikaw ay maaari sa aming 
NUM.10.32	At mangyayari, na 
NUM.10.33	At sila'y nagsisulong 
NUM.10.34	At 
NUM.10.35	At nangyari pagka ang kaban ay isinulong na sinabi ni Moises, 
NUM.10.36	At pagka inilapag ay kaniyang sinabi, Bumalik ka, Oh Panginoon sa mga laksang libolibong Israelita.
NUM.11.1	At 
NUM.11.2	At ang bayan ay humibik kay Moises; at si Moises ay 
NUM.11.3	At ang pangalan ng dakong yaon ay tinawag na Tabera: sapagka't ang apoy ng Panginoon ay sumunog sa gitna nila.
NUM.11.4	At 
NUM.11.6	Nguni't ngayo'y ang ating kaluluwa ay natutuyo; walang kaanoanoman: sa ating harapan ay walang anoman kundi ang manang ito.
NUM.11.7	At ang 
NUM.11.8	Ang bayan ay dumadaan sa palibot, at pinupulot yaon, at kanilang ginigiling sa mga gilingan, o kanilang dinidikdik sa mga lusong, at kanilang niluluto sa mga palyok, at ginagawa nilang munting tinapay at ang 
NUM.11.10	At narinig ni Moises ang pag-iiyakan ng bayan sa kanikaniyang sangbahayan, na bawa't lalake ay nasa pintuan ng kaniyang tolda; at ang galit ng Panginoon ay nagningas na mainam; at sumama ang loob ni Moises.
NUM.11.11	At sinabi ni Moises sa Panginoon, 
NUM.11.12	Akin ba kayang ipinaglihi ang buong bayang ito? ipinanganak ko ba upang iyong sabihin sa akin, 
NUM.11.15	At kung ako'y ginagawan mo ng ganito ay patayin mo na ako, 
NUM.11.16	At sinabi ng Panginoon kay Moises, Pisanin mo sa akin ang 
NUM.11.17	At 
NUM.11.18	At sabihin mo 
NUM.11.19	Hindi ninyo kakaning isang araw, ni dalawang araw, ni limang araw, ni sangpung araw, ni dalawang pung araw;
NUM.11.20	Kundi isang buong buwan, 
NUM.11.21	At sinabi ni 
NUM.11.22	Papatayin ba kaya ang mga kawan at mga bakahan, upang magkasya sa kanila? o ang lahat ng isda sa dagat at titipunin sa kanila upang magkasya sa kanila?
NUM.11.23	At sinabi ng Panginoon kay Moises, 
NUM.11.24	At si Moises ay lumabas, 
NUM.11.25	At ang 
NUM.11.26	Nguni't naiwan ang dalawang lalake sa kampamento, na ang pangalan ng isa ay Eldad, at ang pangalan ng isa ay Medad: at ang Espiritu ay sumasakanila; at sila'y kabilang sa nangasulat, nguni't 
NUM.11.27	At tumakbo ang isang binata, at isinaysay kay Moises, at sinabi, Si Eldad at si Medad ay nanghuhula sa kampamento.
NUM.11.28	At si 
NUM.11.29	At sinabi ni Moises sa kaniya, Ikaw ba'y may paninibugho sa akin? 
NUM.11.30	At naparoon si Moises sa kampamento, siya at ang mga matanda sa Israel.
NUM.11.32	At ang bayan ay nangakatindig ng buong araw na yaon at ng buong gabi, at ng buong ikalawang araw, at nagsipanghuli ng mga pugo; yaong kaunti ang napisan ay nakapisan ng sangpung 
NUM.11.34	At ang pangalan ng dakong yaon ay tinawag na Kibroth-hattaavah; sapagka't doon inilibing nila ang bayang sakim.
NUM.12.1	At si Miriam at si Aaron ay nagsalitaan laban kay Moises tungkol sa pagkapagasawa niya sa isang babaing Cusita: sapagka't 
NUM.12.2	At kanilang sinabi, Ang Panginoon ba'y kay Moises lamang nakipagsalitaan? 
NUM.12.3	Ang lalake ngang si Moises ay totoong maamong loob, na higit kay sa lahat ng lalaking nasa ibabaw ng lupa.
NUM.12.6	At kaniyang sinabi, Dinggin ninyo ngayon ang aking mga salita: kung mayroon sa gitna ninyo na isang propeta, akong Panginoon ay pakikilala sa kaniya 
NUM.12.9	At ang galit ng Panginoon ay nagningas laban sa kanila; at siya'y umalis.
NUM.12.10	At ang ulap ay lumayo sa Tolda; at 
NUM.12.11	At sinabi ni Aaron kay Moises, Oh panginoon ko, isinasamo ko sa iyo na 
NUM.12.12	Huwag mong itulot sa kaniya, isinasamo ko sa iyo, na maging parang isang patay na tunaw ang kalahati ng kaniyang laman paglabas sa tiyan ng kaniyang ina.
NUM.12.13	At humibik si Moises sa Panginoon, na sinasabi, Pagalingin mo siya, Oh Dios, ipinamamanhik ko sa iyo.
NUM.12.14	At sinabi ng Panginoon kay Moises, Kung siya'y 
NUM.12.16	At pagkatapos nito ay naglakbay ang bayan mula sa 
NUM.13.1	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.13.3	At sinugo sila ni Moises mula sa 
NUM.13.4	At ito ang kanilang mga pangalan: sa lipi ni Ruben, ay si Sammua na anak ni Zaccur.
NUM.13.5	Sa lipi ni Simeon, ay si Saphat na anak ni Huri.
NUM.13.7	Sa lipi ni Issachar, ay si Igal na anak ni Jose.
NUM.13.8	Sa lipi ni Efraim, ay si Oseas na anak ni Nun.
NUM.13.9	Sa lipi ni Benjamin, ay si Palti na anak ni Raphu.
NUM.13.10	Sa lipi ni Zabulon, ay si Gaddiel na anak ni Sodi.
NUM.13.11	Sa lipi ni Jose, sa 
NUM.13.12	Sa lipi ni Dan, ay si Ammiel na anak ni Gemalli.
NUM.13.13	Sa lipi ni Aser, ay si Sethur, na anak ni Michael.
NUM.13.14	Sa lipi ni Nephtali, ay si Nahabi na anak ni Vapsi.
NUM.13.15	Sa lipi ni Gad, ay si Geuel na anak ni Machi.
NUM.13.16	Ito ang mga pangalan ng mga lalake na sinugo ni Moises upang tiktikan ang lupain. At tinawag ni Moises na Josue ang anak ni Nun na si 
NUM.13.17	At sinugo sila ni Moises upang tiktikan ang lupain ng Canaan, at sinabi sa kanila, Sumampa kayo rito sa dakong Timugan at 
NUM.13.18	At tingnan ninyo ang lupain, kung ano; at ang bayan na tumatahan doon, kung sila'y malakas o mahina, kung sila'y kaunti o marami;
NUM.13.19	At kung ano ang lupain na kanilang tinatahanan, kung mabuti o masama; at kung ano ang mga bayan na kanilang tinatahanan, kung sa mga kampamento, o sa mga nakukutaan;
NUM.13.20	At kung ano ang lupain, kung mataba o payat, 
NUM.13.21	Sila nga'y umakyat, at kanilang tiniktikan ang lupain mula sa 
NUM.13.22	At sila'y umakyat sa dakong Timugan, at sila'y dumating sa Hebron; at si 
NUM.13.24	Ang dakong yaon ay tinawag na libis ng Escol, dahil sa kumpol na kinitil ng mga anak ni Israel doon.
NUM.13.25	At sila'y nagbalik pagkatiktik sa lupain, sa katapusan ng apat na pung araw.
NUM.13.26	At sila'y nagsiyaon at nagsiparoon kay Moises, at kay Aaron at sa buong kapisanan ng mga anak ni Israel, sa ilang ng Paran, 
NUM.13.27	At kanilang isinaysay sa kaniya, at sinabi, Kami ay dumating sa lupaing yaong pinaparoonan mo sa amin, at tunay na binubukalan ng 
NUM.13.28	Gayon man 
NUM.13.30	At pinatahimik ni 
NUM.13.32	At sila'y nagdala ng masamang balita tungkol sa lupaing kanilang tiniktikan, sa mga anak ni Israel, na sinasabi, Ang lupain na aming pinaroonan upang tiktikan ay isang lupain na kinakain ang mga tumatahan doon; at 
NUM.14.1	At ang buong kapisanan ay naglakas ng kanilang tinig, 
NUM.14.3	At bakit kaya tayo dinala ng Panginoon sa lupaing ito, upang tayo'y mabuwal sa tabak? Ang ating mga asawa at ang ating mga anak ay magiging mga huli: hindi ba magaling sa atin na tayo'y magbalik sa Egipto?
NUM.14.4	At nagsang-usapan sila, 
NUM.14.5	Nang magkagayon, si 
NUM.14.6	At hinapak ni Josue na anak ni Nun, at ni Caleb na anak ni Jephone, na mga kasamang tumiktik sa lupain, ang kanilang mga suot:
NUM.14.7	At sinalita nila sa buong kapisanan ng mga anak ni Israel, na sinasabi, 
NUM.14.8	Kung 
NUM.14.9	Huwag lamang kayong manghimagsik laban sa Panginoon, 
NUM.14.11	At sinabi ng Panginoon kay Moises, 
NUM.14.12	Aking sasaktan sila ng salot, at hindi ko sila pamamanahan at 
NUM.14.14	At kanilang sasaysayin sa mga tumatahan sa lupaing ito. 
NUM.14.15	Kung iyong papatayin nga ang bayang ito na parang isang tao, ay magsasalita nga ang mga bansang nakabalita ng iyong kabantugan na sasabihin,
NUM.14.17	At ngayon, idinadalangin ko sa iyo, na itulot mo na ang kapangyarihan ng Panginoon ay maging dakila, ayon sa iyong sinalita, na sinasabi,
NUM.14.18	Ang Panginoon ay 
NUM.14.20	At sinabi ng Panginoon, Aking pinatawad 
NUM.14.21	Nguni't tunay, na kung paanong ako'y buháy at kung paanong mapupuspos ng 
NUM.14.24	Kundi ang 
NUM.14.25	Ngayon nga'y ang mga 
NUM.14.26	At sinalita ng Panginoon kay Moises at kay Aaron, na sinasabi,
NUM.14.28	Sabihin mo sa kanila, 
NUM.14.29	Ang inyong mga bangkay ay mangabubuwal sa ilang na ito; at yaong 
NUM.14.30	Ay tunay na hindi kayo papasok sa lupaing 
NUM.14.33	At ang inyong mga anak ay magiging gala sa ilang na 
NUM.14.35	Akong Panginoon ang nagsalita, tunay na ito'y aking gagawin sa buong masamang kapisanang 
NUM.14.37	Sa makatuwid baga'y ang mga taong yaon na nagsipaghatid ng masamang balita ng lupain, ay 
NUM.14.39	At sinaysay ni Moises ang mga salitang ito sa lahat ng mga anak ni Israel: at 
NUM.14.40	At sila'y bumangong maaga sa kinaumagahan, at umakyat sila sa taluktok ng bundok, na sinasabi, Narito 
NUM.14.41	At sinabi ni Moises, Bakit sinasalangsang ninyo ngayon ang 
NUM.14.43	Sapagka't nandoon ang mga 
NUM.14.45	Nang 
NUM.15.1	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.15.2	Salitain mo sa mga anak ni Israel, at sabihin mo sa kanila, Pagpasok ninyo sa lupain na inyong mga tahanan, na aking ibibigay sa inyo,
NUM.15.7	At 
NUM.15.8	At pagka maghahanda ka ng isang toro na handog na susunugin, o upang ihain, sa katuparan ng isang panata, o 
NUM.15.9	Ay kaniyang ihahandog nga na kalakip ng toro ang isang handog na harina na tatlong ikasangpung bahagi 
NUM.15.10	At iyong ihahandog na pinakainuming handog ay kalahating hin ng alak na pinakahandog na pinaraan sa apoy, na pinakamasarap na amoy sa Panginoon.
NUM.15.12	Ayon sa bilang ng inyong ihahanda, ay gayon ninyong gagawin sa bawa't isa ayon sa kanilang bilang.
NUM.15.13	Lahat ng tubo sa lupain ay gagawa ng mga bagay na ito sa ganitong paraan, sa paghahandog ng handog na pinaraan sa apoy, na pinakamasarap na amoy sa Panginoon.
NUM.15.14	At kung ang isang taga ibang bayan ay makipamayang kasama ninyo, o sinomang nasa gitna ninyo sa buong panahon ng inyong mga lahi, at maghahandog ng handog na pinaraan sa apoy, na pinakamasarap na amoy sa Panginoon; ay kaniyang gagawin ang gaya ng inyong ginagawa.
NUM.15.16	Isang kautusan at isang ayos ay magkakaroon sa inyo, at sa taga ibang bayan sa nakikipamayan sa inyo.
NUM.15.17	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.15.18	Salitain mo sa mga anak ni Israel, at sabihin mo sa kanila, Pagpasok ninyo sa lupaing aking pinagdadalhan sa inyo,
NUM.15.21	Sa pinaka una sa inyong masang harina ay magbibigay kayo sa Panginoon ng isang handog na itinaas sa buong panahon ng inyong mga lahi.
NUM.15.23	Sa makatuwid baga'y lahat ng iniutos ng Panginoon sa inyo sa pamamagitan ni Moises, mula sa araw na lagdaan kayo ng utos ng Panginoon, at sa haharapin sa buong panahon ng inyong mga lahi;
NUM.15.24	Ay mangyayari nga na kung magkasala ng walang malay, na hindi nalalaman ng kapisanan, na ang buong kapisanan ay maghahandog ng isang guyang toro na pinakahandog na susunugin, na pinakamasarap na amoy sa Panginoon, na 
NUM.15.26	At ang buong kapisanan ng mga anak ni Israel ay patatawarin at ang taga ibang bayan na nakikipamayan sa kanila; sapagka't tungkol sa buong bayang nakagawa ng walang malay.
NUM.15.29	Kayo'y magkakaroon ng 
NUM.15.31	Sapagka't kaniyang 
NUM.15.32	At samantalang ang mga anak ni Israel ay nangasa ilang, ay nakasumpong sila ng isang lalake na 
NUM.15.33	At silang nakasumpong sa kaniya na namumulot ng kahoy, ay dinala siya kay Moises, at kay Aaron, at sa buong kapisanan.
NUM.15.35	At sinabi ng Panginoon kay Moises, 
NUM.15.36	At inilabas siya ng buong kapisanan sa kampamento at kanilang binato siya hanggang sa mamatay ng mga bato; gaya ng iniutos ng Panginoon kay Moises.
NUM.15.37	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.15.38	Salitain mo sa mga anak ni Israel, at sabihin mo sa kanila 
NUM.15.39	At sa inyo'y magiging isang tirintas, upang inyong mamasdan, at inyong maalaala ang lahat ng mga utos ng Panginoon, at inyong tuparin; at upang huwag kayong sumunod sa inyong sariling puso 
NUM.15.40	Upang inyong maalaala at gawin ang lahat ng aking mga utos, 
NUM.15.41	Ako ang Panginoon ninyong Dios, na naglabas sa inyo sa lupain ng Egipto, upang maging inyong Dios: ako ang Panginoon ninyong Dios.
NUM.16.1	Si 
NUM.16.2	At sila'y tumindig sa harap ni Moises, na kasama ng ilang mga anak ni Israel, na dalawang daan at limang pung 
NUM.16.4	At nang marinig ni Moises, ay 
NUM.16.5	At sinalita niya kay Core at sa kaniyang buong pulutong, na sinasabi, Sa kinaumagahan ay ipakikilala ng Panginoon kung sino ang kaniya, at kung sino ang banal, at kung sino ang palalapitin niya sa kaniya: sa makatuwid baga'y ang 
NUM.16.6	Ito'y inyong gawin; kumuha kayo ng mga 
NUM.16.7	At lagyan ninyo ng apoy at patungan ninyo ng kamangyan bukas sa harap ng Panginoon: at mangyayari na ang tao na piliin ng Panginoon, 
NUM.16.8	At sinabi ni Moises kay Core, Dinggin ninyo ngayon, kayong mga anak ni Levi:
NUM.16.10	At inilapit ka niya sangpu ng lahat ng iyong mga kapatid na mga anak ni Levi? at hangarin din naman ninyo ang pagkasaserdote?
NUM.16.11	Kaya't ikaw at ang iyong buong pulutong ay napipisan laban sa Panginoon: at si 
NUM.16.12	At ipinatawag ni Moises si Dathan at si Abiram, na mga anak ni Eliab: at kanilang sinabi, Hindi kami sasampa:
NUM.16.13	Munting bagay pa ba na kami ay iyong pinasampa sa isang lupain na 
NUM.16.14	Bukod dito'y hindi mo kami dinala sa isang lupain na binubukalan ng gatas at pulot, ni binigyan mo kami ng manang bukid at mga ubasan: dudukitin mo ba ang mga mata ng mga taong ito? hindi kami sasampa.
NUM.16.15	At si Moises ay naginit na mainam, at sinabi sa Panginoon, 
NUM.16.16	At sinabi ni Moises kay Core, Humarap ka at ang iyong buong kapisanan sa Panginoon, ikaw, at sila, at si Aaron, 
NUM.16.17	At kumuha ang bawa't isa ng kaniyang suuban, at lagyan ninyo ng kamangyan, at dalhin ninyo sa harap ng Panginoon, na bawa't isa'y 
NUM.16.18	At kinuha ng bawa't isa ang kaniyang suuban, at kanilang nilagyan ng apoy at kanilang pinatungan ng kamangyan, at sila'y tumayo sa pintuan ng tabernakulo ng kapisanan na kasama ni Moises at ni Aaron.
NUM.16.19	At pinisan ni Core ang buong kapisanan laban sa kanila sa pintuan ng tabernakulo ng kapisanan: at ang 
NUM.16.20	At sinalita ng Panginoon kay Moises at kay Aaron, na sinasabi,
NUM.16.22	At sila'y 
NUM.16.23	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.16.24	Salitain mo sa kapisanan na iyong sabihin, Lumayo kayo sa palibot ng tabernakulo ni Core, ni Dathan, at ni Abiram.
NUM.16.25	At si Moises ay tumayo at naparoon kay Dathan at kay Abiram; at ang mga matanda sa Israel ay sumunod sa kaniya.
NUM.16.26	At sinalita ni Moises sa kapisanan na sinasabi, 
NUM.16.27	Gayon sila nagsilayo sa tabernakulo ni Core, ni Dathan, at ni Abiram sa lahat ng dako: at si Dathan at si Abiram ay nagsilabas, at nagsitayo sa pintuan ng kanilang mga tolda, at ang kanilang mga asawa, at ang kanilang mga anak, at ang kanilang bata.
NUM.16.28	At sinabi ni Moises, Dito ninyo makikilala na ako'y sinugo ng Panginoon na gawin ang lahat ng mga gawang ito; sapagka't hindi 
NUM.16.29	Kung ang mga taong ito ay mamatay sa karaniwang kamatayan ng lahat ng tao, o kung sila'y dalawin ayon sa karaniwang pagdalaw sa lahat ng tao; ay hindi nga ako sinugo ng Panginoon.
NUM.16.30	Nguni't kung ang Panginoon ay lumikha ng isang bagong bagay, na anopa't ibuka ng 
NUM.16.32	At ibinuka ng lupa ang kaniyang bibig at nilamon sila, at ang kanilang mga sangbahayan, at ang 
NUM.16.33	Na anopa't sila at lahat ng nauukol sa kanila, ay nababang buháy sa Sheol: at sila'y pinagtikuman ng lupa, at sila'y nalipol sa gitna ng kapisanan.
NUM.16.34	At ang buong Israel na nasa palibot nila ay tumakas sa hiyaw nila; sapagka't kanilang sinabi, Baka pati tayo'y lamunin ng lupa.
NUM.16.35	At apoy ang 
NUM.16.36	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.16.37	Salitain mo kay 
NUM.16.38	Pati ng mga suuban ng mga 
NUM.16.39	At kinuha ni Eleazar na saserdote ang mga tansong suuban na inihandog ng mga nasunog; at kanilang pinukpok na 
NUM.16.40	Upang maging pinakaalaala sa mga anak ni Israel, 
NUM.16.41	Datapuwa't sa kinabukasan ay inupasala ng buong kapisanan ng mga anak ni Israel si Moises at si Aaron, na sinasabi, Inyong pinatay ang bayan ng Panginoon.
NUM.16.42	At nangyari, nang magpipisan ang kapisanan laban kay Moises at laban kay Aaron, na sila'y tumingin sa dako ng tabernakulo ng kapisanan; at, narito, tinakpan ng 
NUM.16.43	At si Moises at si Aaron ay naparoon sa tapat ng tabernakulo ng kapisanan.
NUM.16.44	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.16.46	At sinabi ni Moises kay Aaron, Kunin mo ang iyong suuban, at lagyan mo ng apoy mula sa dambana at patungan ng kamangyan, at dalhin mong madali sa kapisanan, at itubos mo sa kanila: 
NUM.16.47	At kinuha ni Aaron gaya ng sinalita ni Moises, at siya'y tumakbo sa gitna ng kapulungan; at, narito, ang salot ay nagpasimula sa gitna ng bayan; at siya'y naglagay ng kamangyan at itinubos sa bayan.
NUM.16.48	At siya'y tumayo sa gitna ng mga patay at ng mga buhay; at ang salot ay 
NUM.16.49	Ang nangamatay nga sa salot ay labing apat na libo at pitong daan, 
NUM.16.50	At si Aaron ay nagbalik kay Moises sa pintuan ng tabernakulo ng kapisanan: at ang salot ay tumigil.
NUM.17.1	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.17.2	Salitain mo sa mga anak ni Israel, at kumuha ka sa kanila ng mga tungkod, isa sa bawa't sangbahayan ng mga magulang; sa lahat nilang mga prinsipe ayon sa mga sangbahayan ng kanilang mga magulang, labing dalawang tungkod: isulat mo ang pangalan ng bawa't isa sa kaniyang tungkod.
NUM.17.3	At isusulat mo ang pangalan ni Aaron sa tungkod ni Levi: sapagka't isa lamang tungkod magkakaroon sa bawa't pangulo sa mga sangbahayan ng kanilang mga magulang.
NUM.17.4	At iyong ilalagay sa tabernakulo ng kapisanan sa harap ng patotoo, 
NUM.17.5	At mangyayari na ang lalaking 
NUM.17.6	At si Moises ay nagsalita sa mga anak ni Israel, at ang lahat nilang mga prinsipe ay nagbigay sa kaniya ng tungkod, na bawa't pangulo ay isa, ayon sa mga sangbahayan ng kanilang mga magulang, labing dalawang tungkod: at ang tungkod ni Aaron ay nasa gitna ng kanilang mga tungkod.
NUM.17.7	At inilagay ni Moises ang mga tungkod sa harap ng Panginoon 
NUM.17.8	At nangyari nang kinabukasan, na si Moises ay pumasok sa tabernakulo ng patotoo; at, narito, na ang tungkod ni Aaron sa sangbahayan ni Levi ay namulaklak at nagkaroon ng mga hinog na almendras.
NUM.17.9	At mula sa harap ng Panginoon ay inilabas ni Moises ang lahat ng tungkod sa lahat ng mga anak ni Israel: at kanilang pinagmalas, at kinuha ng bawa't lalake ang kaniyang tungkod.
NUM.17.10	At sinabi ng Panginoon kay Moises, Ibalik mo 
NUM.17.11	Gayon ginawa ni Moises: kung paanong iniutos ng Panginoon sa kaniya, ay gayon niya ginawa.
NUM.17.12	At sinalita ng mga anak ni Israel kay Moises, na sinasabi, Narito, kami ay mga patay, kami ay napahamak, kaming lahat ay napahamak.
NUM.18.1	At sinabi ng Panginoon kay Aaron, 
NUM.18.2	At ang iyong mga kapatid naman, ang lipi ni Levi, ang lipi ng iyong ama, ay palalapitin mo sa iyo upang sila'y 
NUM.18.3	At kanilang iingatan ang iyong katungkulan, at ang katungkulan ng buong tolda: huwag lamang silang 
NUM.18.4	At sila'y lalakip sa iyo, at mag-iingat ng katungkulan sa tabernakulo ng kapisanan, sa buong paglilingkod sa tolda: at 
NUM.18.6	At ako, narito, aking 
NUM.18.8	At sinalita ng Panginoon kay Aaron, At 
NUM.18.9	Ito'y magiging iyo sa mga pinakabanal na bagay, na hindi pinaraan sa apoy: 
NUM.18.11	At ito ay iyo; 
NUM.18.13	Ang mga unang hinog na bunga ng lahat na nasa kanilang lupain, 
NUM.18.14	Lahat ng mga bagay na 
NUM.18.15	Lahat ng mga bagay na nagbubukas ng 
NUM.18.16	At yaong mga matutubos sa kanila, mula sa isang buwang gulang ay iyong tutubusin, 
NUM.18.18	At ang laman nila ay magiging iyo, gaya ng dibdib na inalog at gaya ng kanang 
NUM.18.19	Lahat ng mga handog na itinaas sa mga banal na bagay na ihahandog ng mga anak ni Israel sa Panginoon, ay aking ibinigay sa iyo, at sa iyong mga anak na lalake at babae na kasama mo, na marapat na bahagi magpakailan man: 
NUM.18.20	At sinabi ng Panginoon kay Aaron, Huwag kang magkakaroon ng mana sa kanilang lupain, ni magkakaroon ka ng anomang bahagi sa gitna nila: 
NUM.18.21	At sa mga anak ni Levi, ay narito, aking 
NUM.18.23	Nguni't gagawin ng mga Levita ang paglilingkod ng tabernakulo ng kapisanan; at kanilang 
NUM.18.24	Sapagka't ang ikasangpung bahagi 
NUM.18.25	At sinalita ng Panginoon kay Moises, na sinasabi,
NUM.18.26	Bukod dito'y sasalitain mo sa mga Levita, at sasabihin mo sa kanila, Pagkuha ninyo sa mga anak ni Israel ng ikasangpung bahagi na aking ibinigay sa inyo mula sa kanila na inyong pinakamana, ay inyong ihahandog nga na pinakahandog na itinaas sa Panginoon, 
NUM.18.27	At ang inyong handog na itinaas ay ibibilang sa inyo, na parang trigo ng giikan at ng kasaganaan ng pisaan ng ubas.
NUM.18.28	Ganito rin kayo maghahandog ng handog na itinaas sa Panginoon sa inyong buong ikasangpung bahagi, na inyong tinatanggap sa mga anak ni Israel; at ganito ibibigay ninyo ang handog na itinaas sa Panginoon kay Aaron na saserdote.
NUM.18.29	Sa lahat ng inyong natanggap na kaloob ay inyong ihahandog ang bawa't handog na itinaas sa Panginoon, ang lahat ng pinakamainam niyaon, sa makatuwid baga'y ang banal na bahagi niyaon.
NUM.18.30	Kaya't iyong sasabihin sa kanila, Pagka inyong naitaas ang pinakamainam sa 
NUM.18.31	At inyong kakanin saa't saan man, ninyo at ng inyong mga kasangbahay: sapagka't 
NUM.18.32	At hindi kayo magtataglay ng kasalanan dahil dito, 
NUM.19.1	At sinalita ng Panginoon kay Moises at kay Aaron, na sinasabi,
NUM.19.2	Ito ang palatuntunan ng kautusan na iniutos ng Panginoon, na sinasabi, Salitain mo sa mga anak ni Israel, na sila'y magdala sa iyo ng isang mapulang guyang bakang babae, na walang kapintasan, na walang dungis, 
NUM.19.3	At ibibigay ninyo kay Eleazar na saserdote, at kaniyang 
NUM.19.4	At si Eleazar na saserdote ay dadampot ng dugo sa pamamagitan ng kaniyang daliri, at 
NUM.19.5	At susunugin ng isa sa paningin niya ang guyang bakang babae; 
NUM.19.6	At ang saserdote ay kukuha ng 
NUM.19.8	At yaong sumunog sa baka ay maglalaba ng kaniyang mga suot sa tubig at kaniyang paliliguan ang kaniyang laman sa tubig, at magiging marumi hanggang sa hapon.
NUM.19.9	At pupulutin ng isang taong malinis ang mga 
NUM.19.10	At yaong pumulot ng mga abo ng guyang bakang babae ay maglalaba ng kaniyang mga suot, at magiging marumi hanggang sa hapon; at sa mga anak ni Israel at sa taga ibang bayan na nakikipamayan sa kanila, ay magiging isang palatuntunan magpakailan man.
NUM.19.13	Sinomang humipo ng patay, ng bangkay ng taong patay, at hindi maglilinis, ay ihahawa ang 
NUM.19.14	Ito ang kautusan pagka ang isang tao ay namamatay sa isang tolda: lahat na pumapasok sa tolda at lahat na nasa tolda ay magiging maruming pitong araw.
NUM.19.15	At bawa't 
NUM.19.16	At sinomang humipo sa luwal na parang ng alin mang pinatay ng tabak, o ng bangkay, o ng buto ng tao, o ng libingan, ay magiging maruming pitong araw.
NUM.19.17	At sa taong marumi, ay kukuha sila ng mga abo sa sunog niyang handog dahil sa kasalanan, sa mga yaon ay ilalagay ang tubig na buhay sa isang sisidlan.
NUM.19.18	At isang malinis na tao ay kukuha ng 
NUM.19.19	At iwiwisik ng taong malinis sa marumi sa 
NUM.19.20	Nguni't ang taong magiging marumi, at hindi maglilinis, ay ihihiwalay ang taong yaon sa gitna ng kapulungan, sapagka't kaniyang inihawa ang santuario ng Panginoon: ang tubig para sa karumihan ay hindi nawisik sa kaniya; siya'y marumi.
NUM.19.21	At ito'y magiging isang palatuntunan magpakailan man sa kanila: at yaong nagwiwisik ng tubig para sa karumihan, ay maglalaba ng kaniyang mga suot; at yaong humipo ng tubig para sa karumihan ay magiging marumi hanggang sa hapon.
NUM.19.22	At 
NUM.20.1	At 
NUM.20.2	At 
NUM.20.4	At 
NUM.20.5	At bakit ninyo kami pinasampa mula sa Egipto, upang dalhin kami sa masamang dakong ito? hindi dakong bukirin, o ng igos; o ng ubasan, o ng mga granada; at wala kahit tubig na mainom.
