MAT.1.1	Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama: 
LUK.19.9	—Dziś zbawienie zawitało do tego domu—powiedział Jezus—bo i ten człowiek jest potomkiem Abrahama. 
LUK.19.10	Ja, Syn Człowieczy, przyszedłem właśnie po to, aby szukać i ratować tych, którzy się zgubili.
LUK.19.11	Wszyscy przysłuchiwali się tym słowom. A ponieważ Jerozolima była już niedaleko, Jezus postanowił wyjaśnić im, że są w błędzie, sądząc, iż królestwo Boże nadejdzie już teraz. Dlatego opowiedział im następującą przypowieść:
LUK.19.12	—Pewien wysoko postawiony człowiek miał się udać w daleką podróż, aby przyjąć nominację na gubernatora prowincji, po czym miał wrócić do domu. 
LUK.19.13	Wezwał więc dziesięciu podwładnych i przekazał im na ten czas dziesięć udziałów pieniężnych—każdemu po jednym. Powiedział: „Zajmijcie się interesami do czasu mojego powrotu”. 
LUK.19.14	Lecz niektórzy obywatele nienawidzili go i wysłali po jego wyjeździe delegację z protestem: „Nie chcemy takiego władcy”. 
LUK.19.15	Po pewnym czasie, gdy człowiek ten wrócił już jako gubernator, polecił wezwać tych, którym powierzył pieniądze, aby ocenić zyski. 
LUK.19.16	Przybył więc pierwszy z nich i poinformował: „Panie, zainwestowałem twoje pieniądze i mam teraz dziesięć razy tyle”. 
LUK.19.17	„Bardzo dobrze!”—rzekł władca. „Jesteś dobrym pracownikiem. Okazałeś wierność w małej sprawie, więc teraz dam ci władzę nad dziesięcioma miastami”. 
LUK.19.18	Drugi podwładny tak powiedział: „Panie, ja też zainwestowałem pieniądze. Teraz mam pięć razy tyle”. 
LUK.19.19	„Dobrze!”—powiedział władca. „Ty będziesz zarządzać pięcioma miastami”. 
LUK.19.20	Następny jednak podszedł i powiedział: „Panie, oto twoje pieniądze, bezpiecznie je przechowałem. 
LUK.19.21	Bałem się ciebie, bo masz twardą rękę w interesach i chcesz mieć zysk z tego, nad czym sam nie pracowałeś”. 
LUK.19.22	„Jesteś złym pracownikiem!”—odrzekł władca. „Osądzę cię według twoich własnych słów! Wiedziałeś, że jestem bezwzględny w interesach i chcę mieć zysk nawet jeśli sam na niego nie pracowałem! 
LUK.19.23	Mogłeś więc zanieść moje pieniądze do banku, wtedy miałbym przynajmniej jakieś odsetki”. 
LUK.19.24	I zwracając się do stojących tam ludzi, rozkazał: „Zabierzcie mu pieniądze i dajcie temu, który zarobił dziesięć razy tyle!”. 
LUK.19.25	„Ależ panie! On i tak ma dużo”—odpowiedzieli mu. 
LUK.19.26	„Każdy, kto przynosi zyski, otrzyma więcej. A temu, kto nie przynosi zysku, odbiorą i to, co posiada”—odpowiedział gubernator. 
LUK.19.27	„A teraz przyprowadźcie tu tych moich wrogów, którzy nie chcieli, abym został ich władcą. Straćcie ich na moich oczach!”.
LUK.19.28	Powiedziawszy to, Jezus wstał i ruszył w kierunku Jerozolimy. 
LUK.19.29	Gdy zbliżyli się do Betfage i Betanii, wiosek leżących na Górze Oliwnej, wysłał przed sobą dwóch uczniów, 
LUK.19.30	mówiąc:
LUK.19.30	—Idźcie do najbliższej wsi. Zaraz przy wejściu do niej znajdziecie uwiązanego osiołka, na którym jeszcze nikt nie jechał. Odwiążcie go i przyprowadźcie tutaj. 
LUK.19.31	A gdyby ktoś was pytał, po co go bierzecie, powiedzcie po prostu: „Pan go potrzebuje”.
LUK.19.32	Poszli więc i zastali wszystko tak, jak im Jezus powiedział. 
LUK.19.33	Gdy odwiązywali zwierzę, jego właściciele zapytali:
LUK.19.33	—Dlaczego odwiązujecie naszego osła?
LUK.19.34	—Pan go potrzebuje—odpowiedzieli im uczniowie.
LUK.19.35	Gdy przyprowadzili osiołka, zarzucili na jego grzbiet płaszcze i pomogli Jezusowi go dosiąść. 
LUK.19.36	Ludzie, na widok jadącego Jezusa, rozkładali na drodze swoje płaszcze. 
LUK.19.37	A gdy zaczął już zjeżdżać z Góry Oliwnej, pojawił się cały tłum Jego uczniów. Z radością wykrzykiwali oni na cześć Boga i wielbili Go za wszystkie cuda Jezusa, które widzieli:
LUK.19.38	—Niech żyje Król,
LUK.19.38	który przychodzi w imieniu Pana!
LUK.19.38	Pokój w niebie,
LUK.19.38	i chwała na wysokościach!
LUK.19.39	Lecz niektórzy faryzeusze, znajdujący się w tłumie, mówili:
LUK.19.39	—Nauczycielu, ucisz swoich uczniów! Słyszysz, co oni wykrzykują?
LUK.19.40	—Zapewniam was, że jeśli oni zamilkną, kamienie zaczną wołać!—odparł Jezus.
LUK.19.41	Gdy byli tuż przed Jerozolimą, spojrzał na nią i pełen smutku powiedział:
LUK.19.42	—O, gdybyś dziś zrozumiała, co prowadzi do pokoju! Ale teraz zostało to przed tobą zakryte. 
LUK.19.43	Niebawem nadejdą dni, gdy ze wszystkich stron otoczą cię wrogowie i będą oblegać twoje mury. 
LUK.19.44	Potem zrównają cię z ziemią i wymordują twoich mieszkańców. Nie pozostawią kamienia na kamieniu, bo nie rozpoznałaś chwili, w której przyszedł do ciebie Pan.
LUK.19.45	Będąc już w mieście, Jezus wszedł do świątyni i zaczął wypędzać z niej wszystkich sprzedawców. 
LUK.19.46	Powiedział do nich:
LUK.19.46	—Pismo mówi:
LUK.19.46	„Moja świątynia ma być domem modlitwy,
LUK.19.46	a wy zrobiliście z niej kryjówkę złodziei”.
LUK.19.47	Gdy przez kilka następnych dni nauczał w świątyni, najwyżsi kapłani, przywódcy religijni oraz starsi usiłowali znaleźć sposób, aby się Go pozbyć. 
LUK.19.48	Niczego jednak nie mogli Mu zrobić, bali się bowiem tłumów, które były zachwycone Jego nauką.
LUK.20.1	Gdy Jezus ponownie znalazł się w świątyni i nauczał lud oraz głosił dobrą nowinę, najwyżsi kapłani, przywódcy religijni i starsi 
LUK.20.2	zapytali Go:
LUK.20.2	—Jakim prawem wyrzuciłeś ze świątyni sprzedawców? Kto dał ci taką władzę?
LUK.20.3	—Ja też zadam wam pytanie—odparł.
LUK.20.4	—Czy chrzest, do którego wzywał Jan Chrzciciel, pochodził od Boga, czy był tylko ludzkim wymysłem?
LUK.20.5	Wtedy zaczęli się naradzać nad odpowiedzią:
LUK.20.5	—Jeśli powiemy, że pochodził od Boga, to zapyta nas: „Czemu go nie przyjęliście?”. 
LUK.20.6	A jeśli powiemy, że był ludzkim wymysłem, to tłumy obrzucą nas kamieniami, bo wszyscy wierzą, że Jan był prorokiem.
LUK.20.7	—Nie potrafimy na to odpowiedzieć—rzekli w końcu.
LUK.20.8	—Wobec tego i Ja nie odpowiem na wasze pytanie—odparł Jezus.
LUK.20.9	Następnie, zwracając się do wszystkich, opowiedział przypowieść:
LUK.20.9	—Pewien człowiek założył winnicę, po czym wynajął ją rolnikom, sam zaś wyjechał na długi czas. 
LUK.20.10	Gdy nastała pora zbiorów, wysłał jednego ze swoich ludzi, aby odebrał należną mu część plonów. Lecz rolnicy pobili posłańca i odesłali go z pustymi rękami. 
LUK.20.11	Właściciel wysłał więc innego pełnomocnika, lecz z nim postąpili podobnie—pobili go, znieważyli i odesłali z niczym. 
LUK.20.12	Potem posłał jeszcze trzeciego, ale jego także zranili i wyrzucili. 
LUK.20.13	„Co robić?”—zastanawiał się właściciel. „Już wiem! Wyślę mojego ukochanego syna. Przynajmniej jemu chyba okażą szacunek”. 
LUK.20.14	Lecz rolnicy, widząc nadchodzącego syna, powiedzieli sobie: „To ten, który ma przejąć winnicę. Zabijmy go, a winnica będzie nasza!”. 
LUK.20.15	Napadli go więc, wywlekli poza winnicę i zabili.
LUK.20.15	Co zrobi właściciel gdy się o tym dowie?—kontynuował Jezus. 
LUK.20.16	—Przyjdzie i ukarze wszystkich śmiercią, a winnicę da innym!
LUK.20.16	—Oby nie!—zawołali słuchacze.
LUK.20.17	Wówczas Jezus spojrzał na nich uważnie i rzekł:
LUK.20.17	—A co znaczą te słowa Pisma:
LUK.20.17	„Kamień odrzucony przez budujących
LUK.20.17	stał się kamieniem węgielnym,
LUK.20.17	najważniejszym w całym budynku!”
LUK.20.18	I dodał:
LUK.20.18	—Każdy, kto upadnie na ten kamień, roztrzaska się o niego, a jeśli on na kogoś spadnie, zetrze go na proch.
LUK.20.19	Przywódcy religijni i najwyżsi kapłani zrozumieli, że to ich Jezus miał na myśli, opowiadając przypowieść o złych rolnikach. Dlatego chcieli Go natychmiast aresztować, ale obawiali się reakcji tłumu.
LUK.20.20	Postanowili więc sprowokować Go do jakiejś niefortunnej wypowiedzi. Potrzebny był im bowiem pretekst do oskarżenia Go przed rzymskim gubernatorem i aresztowania Go. Wysłali więc szpiegów, udających pobożnych ludzi, 
LUK.20.21	którzy zadali Mu takie pytanie:
LUK.20.21	—Nauczycielu! Wiemy, że nauczasz prawdy. Nie dostosowujesz się też do opinii ludzi ani do ich oczekiwań, lecz uczciwie nauczasz prawd Bożych. 
LUK.20.22	Powiedz nam więc, czy słusznie płacimy podatki Rzymowi, czy nie?
LUK.20.23	Jezus, zdając sobie sprawę z ich podstępu, powiedział:
LUK.20.24	—Pokażcie mi najpierw monetę. Czyją podobiznę i tytuł na niej widzicie?
LUK.20.24	—Cezara—odpowiedzieli.
LUK.20.25	—Oddajcie więc cezarowi to, co jego, a Bogu—co należy do Boga!
LUK.20.26	Nie udało im się więc na oczach ludzi sprowokować Go do jakiejś niefortunnej wypowiedzi na temat podatków. A zaskoczeni Jego odpowiedzią, zamilkli.
LUK.20.27	Wtedy przyszli do Jezusa saduceusze—przedstawiciele ugrupowania nauczającego, że nie będzie zmartwychwstania:
LUK.20.28	—Nauczycielu!—zwrócili się do Jezusa. —Prawo Mojżesza naucza: „Jeśli umrze mężczyzna, nie pozostawiając potomstwa, jego brat powinien ożenić się z wdową po zmarłym i mieć z nią potomstwo”. 
LUK.20.29	Otóż żyło kiedyś siedmiu braci. Najstarszy z nich ożenił się, ale wkrótce zmarł, nie pozostawiając dzieci. 
LUK.20.30	Wówczas z wdową ożenił się drugi, 
LUK.20.31	potem trzeci brat, potem następny i kolejny—aż do siódmego—lecz wszyscy zmarli bezdzietnie. 
LUK.20.32	W końcu umarła także ta kobieta. 
LUK.20.33	Jeśli rzeczywiście umarli zmartwychwstaną, to czyją będzie wtedy żoną, skoro wszyscy bracia się z nią ożenili?
LUK.20.34	—Ludzie żenią się i wychodzą za mąż tylko tu, na ziemi. —odpowiedział Jezus. 
LUK.20.35	—Natomiast ci, którzy okażą się godnymi nieba i zmartwychwstania, nie będą zawierać małżeństw. 
LUK.20.36	Pod tym względem będą podobni do aniołów: nie umrą po raz drugi i będą synami Boga, zmartwychwstałymi do nowego życia. 
LUK.20.37	A to, że umarli zmartwychwstają, udowodnił już Mojżesz. Opisując swoje spotkanie z Bogiem przy płonącym krzaku, nazywa Go „Bogiem Abrahama, Bogiem Izaaka i Bogiem Jakuba”. 
LUK.20.38	Bóg nie jest przecież Bogiem tych, którzy już nie istnieją!
LUK.20.38	Dla Niego wszyscy żyją.
LUK.20.39	—Nauczycielu! Dobrze odpowiedziałeś!—przyznali stojący tam przywódcy religijni.
LUK.20.40	I już nikt nie miał odwagi zadawać Mu więcej pytań.
LUK.20.41	Wtedy Jezus zapytał ich:
LUK.20.41	—Dlaczego niektórzy twierdzą, że Mesjasz ma pochodzić z rodu króla Dawida? 
LUK.20.42	Przecież sam Dawid napisał o Nim w Księdze Psalmów:
LUK.20.42	„Bóg rzekł do mojego Pana:
LUK.20.42	Zasiądź po mojej prawej stronie,
LUK.20.43	dopóki nie rzucę Ci pod nogi Twoich nieprzyjaciół”.
LUK.20.44	Skoro Dawid nazwał Go Panem, to jak Mesjasz może być jego potomkiem?
LUK.20.45	Tłum ludzi słuchał tych nauk z wielkim zainteresowaniem. Wtedy Jezus zwrócił się do uczniów:
LUK.20.46	—Strzeżcie się przywódców religijnych! Oni lubią nosić wytworne szaty, oczekują wyrazów szacunku ze strony innych ludzi oraz najlepszych miejsc w synagogach i na przyjęciach. 
LUK.20.47	Bezwstydnie okradają biedne wdowy! Udają przy tym pobożnych i wygłaszają długie modlitwy, aby ukryć, kim są naprawdę. Tym większa spotka ich kara!
LUK.21.1	Gdy stali w świątyni, Jezus zwrócił uwagę na bogatych ludzi wrzucających pieniądze do skarbony świątynnej. 
LUK.21.2	Zauważył też pewną biedną wdowę, która wrzuciła tylko dwie małe monety.
LUK.21.3	—Posłuchajcie!—rzekł Jezus. —Ta biedna wdowa dała więcej niż wszyscy bogacze razem wzięci! 
LUK.21.4	Oni bowiem wrzucili tylko część tego, co mieli w nadmiarze, ona zaś oddała wszystko, co miała na życie.
LUK.21.5	Tymczasem kilku uczniów zaczęło zachwycać się świątynią—jej pięknymi kamieniami i ornamentami zdobiącymi ściany. 
LUK.21.6	Jezus powiedział wtedy:
LUK.21.6	—Nadejdzie czas, gdy to, co teraz podziwiacie, legnie w gruzach i nie pozostanie tu nawet kamień na kamieniu.
LUK.21.7	—Mistrzu!—zawołali. —Kiedy to się wydarzy? Po czym poznamy nadejście tego czasu?
LUK.21.8	—Nie dajcie się nikomu oszukać!—przestrzegł ich Jezus. —Wielu bowiem będzie podawać się za Mesjasza i ogłaszać, że koniec jest już bliski. Nie wierzcie im! 
LUK.21.9	Na świecie wybuchną wojny i będą rozchodzić się wieści o rozruchach. Nie dajcie się jednak zastraszyć, to jeszcze nie będzie koniec! 
LUK.21.10	Narody i państwa będą walczyć przeciwko sobie, 
LUK.21.11	a wiele krajów nawiedzą trzęsienia ziemi, głód oraz epidemie. Będą miały miejsce przerażające zjawiska, a na niebie pojawią się cudowne znaki.
LUK.21.12	Lecz zanim to wszystko się stanie, będziecie prześladowani. Zaciągną was do synagog i więzień oraz oskarżą przed władzami o to, że Mnie naśladujecie. 
LUK.21.13	Będzie to dla was okazja do przedstawienia im dobrej nowiny. 
LUK.21.14	Pamiętajcie, aby się wtedy nie martwić, jak odpierać stawiane wam zarzuty. 
LUK.21.15	Ja dam wam bowiem właściwe słowa i taką mądrość, że nikt z przeciwników nie zdoła odeprzeć waszych argumentów. 
LUK.21.16	A nawet najbliżsi—rodzice, bracia, krewni i przyjaciele—będą was zdradzać i wydawać w ręce prześladowców, przez co niektórzy z was zostaną zabici. 
LUK.21.17	Wszyscy znienawidzą was za to, że należycie do Mnie, 
LUK.21.18	ale bez zgody Boga nie spadnie wam nawet włos z głowy. 
LUK.21.19	Ci, którzy wytrwają i nie zaprą się Mnie, zostaną uratowani!
LUK.21.20	Gdy jednak zobaczycie, że wojska otaczają Jerozolimę, możecie być pewni, że nadszedł czas jej zagłady. 
LUK.21.21	Wtedy ci, którzy przebywają w Judei, niech uciekają w góry. Ci, którzy będą w Jerozolimie, niech ją natychmiast opuszczą, a żyjący w okolicznych wioskach niech do niej nie wchodzą. 
LUK.21.22	Będą to bowiem dni Bożej kary, zapowiedzianej niegdyś w Piśmie przez proroków. 
LUK.21.23	Ciężko będzie wtedy kobietom w ciąży i matkom karmiącym niemowlęta. Będą to straszne dni, a gniew Boga spadnie na ten naród. 
LUK.21.24	Niektórzy zostaną zabici, inni—z powodu niewoli—rozproszą się po wszystkich krajach świata. Natomiast pokonana Jerozolima pozostanie w rękach pogan—aż upłynie czas ich dominacji.
LUK.21.25	Oprócz tego, dziwne znaki pojawią się na słońcu, księżycu i gwiazdach. Na ziemi zaś wszystkie narody przerażą się z powodu rozszalałych mórz i nawałnic. 
LUK.21.26	W oczekiwaniu mających nawiedzić ziemię okropności, ludzi ogarnie strach, bo zachwieje się cały porządek wszechświata. 
LUK.21.27	Wtedy cała ludzkość ujrzy Mnie, Syna Człowieczego, przybywającego na obłokach w wielkiej mocy i chwale. 
LUK.21.28	Gdy więc to wszystko zacznie się dziać, nie traćcie nadziei, ponieważ wasze ocalenie będzie bliskie!
LUK.21.29	I wyjaśnił to następującą przypowieścią:
LUK.21.29	—Spójrzcie na drzewo figowe albo na inne drzewa. 
LUK.21.30	Gdy zaczynają pączkować, mówicie, że zbliża się lato. 
LUK.21.31	Gdy więc zobaczycie wszystko, co wam zapowiedziałem, bądźcie pewni, że nadejście królestwa Bożego jest bliskie. 
LUK.21.32	Zapewniam was: Nie wymrze to pokolenie, a wszystko to się dokona. 
LUK.21.33	Niebo i ziemia przeminą, lecz moje słowa pozostaną na wieki.
LUK.21.34	Uważajcie!—kontynuował Jezus. —Jeśli zaczniecie bawić się, pić i zajmować się tylko sprawami tego życia, to ten dzień was zaskoczy. 
LUK.21.35	Nadejdzie on bowiem nagle i jednocześnie dla wszystkich mieszkańców ziemi. 
LUK.21.36	Uważajcie więc i proście Boga o to, abyście mogli uniknąć tych okropności oraz stanąć przede Mną—Synem Człowieczym.
LUK.21.37+LUK.21.38	Jezus codziennie przychodził do świątyni i nauczał tłumy, które gromadziły się tam już od rana. Każdego wieczoru wracał zaś na Górę Oliwną, gdzie spędzał noc.
LUK.22.1	Zbliżała się Pascha—doroczne święto Żydów, w czasie którego jedzą oni chleb pieczony z niekwaszonego ciasta. 
LUK.22.2	Najwyżsi kapłani i inni przywódcy religijni nadal szukali okazji, aby zabić Jezusa. Chcieli to jednak zrobić potajemnie, obawiali się bowiem reakcji tłumów.
LUK.22.3	Właśnie wtedy szatan zwiódł Judasza z Kariotu, jednego z Dwunastu. 
LUK.22.4	Udał się on do najwyższych kapłanów i dowódców straży świątynnej, aby omówić najdogodniejszy sposób wydania im Jezusa. 
LUK.22.5	Ucieszeni tą propozycją, kapłani obiecali mu nagrodę. 
LUK.22.6	Judasz zgodził się na taki układ i czekał już tylko na sprzyjającą okazję, aby wydać Jezusa w chwili, gdy nie będzie wokół Niego tłumu ludzi.
LUK.22.7	Gdy nadszedł pierwszy dzień Paschy, w którym zgodnie ze zwyczajem zabijano i spożywano baranka, 
LUK.22.8	Jezus wysłał Piotra i Jana mówiąc:
LUK.22.8	—Idźcie przygotować dla nas kolację paschalną.
LUK.22.9	—Gdzie to mamy zrobić?—zapytali.
LUK.22.10	—Gdy tylko wejdziecie do miasta—odrzekł Jezus—spotkacie mężczyznę z dzbanem wody. Pójdźcie za nim do domu, do którego się uda, 
LUK.22.11	i powiedzcie właścicielowi: „Nasz Nauczyciel prosi, abyśmy obejrzeli pokój przygotowany dla nas na świąteczną kolację”. 
LUK.22.12	Wtedy zaprowadzi was na górę, do dużego, wysprzątanego pomieszczenia. Tam przygotujcie posiłek.
LUK.22.13	Poszli więc i zastali wszystko tak, jak powiedział Jezus. I zajęli się przygotowaniem kolacji. 
LUK.22.14	Gdy nadszedł czas, Jezus zajął miejsce przy stole. Przyszli również apostołowie. 
LUK.22.15	Wtedy rzekł:
LUK.22.15	—Tak bardzo pragnąłem spożyć z wami tę kolację paschalną, zanim będę cierpiał. 
LUK.22.16	Wiedzcie, że nie będę jej już spożywał aż do czasu, gdy odbędzie się w królestwie Bożym.
LUK.22.17	Następnie wziął kielich z winem, podziękował za nie Bogu i rzekł:
LUK.22.17	—Podajcie sobie ten kielich i pijcie. 
LUK.22.18	Nie będę bowiem więcej pił tego wina, aż do czasu, gdy nadejdzie królestwo Boże.
LUK.22.19	Potem wziął do rąk chleb, podziękował za niego Bogu, połamał go na kawałki, i podał uczniom mówiąc:
LUK.22.19	—To jest moje ciało, które oddaję za was. Spożywajcie go, pamiętając o Mnie.
LUK.22.20	Po posiłku podał im następny kielich z winem i rzekł:
LUK.22.20	—Ten kielich jest nowym przymierzem. Przypieczętuję je przelewając własną krew, abyście otrzymali przebaczenie grzechów.
LUK.22.21	Ten, który Mnie zdradzi—dodał Jezus—siedzi teraz razem ze Mną przy stole. 
LUK.22.22	Ja, Syn Człowieczy, muszę umrzeć, zgodnie z Bożym planem. Marny jednak los tego, kto Mnie wyda.
LUK.22.23	Wtedy uczniowie starali się odgadnąć, który z nich miałby to zrobić. 
LUK.22.24	W trakcie posiłku zaczęli się również sprzeczać ze sobą o to, kto z nich jest najważniejszy. 
LUK.22.25	Lecz Jezus powiedział im:
LUK.22.25	—Wielcy tego świata nadużywają swojej władzy nad ludźmi, a rządzący chcą aby ich uznawano za „dobroczyńców ludu”. 
LUK.22.26	Lecz wśród was powinno być inaczej. Najważniejszy niech postępuje jak najmniej ważny, a przywódca niech służy innym. 
LUK.22.27	Kto waszym zdaniem jest ważniejszy: ten, który zasiada przy stole, czy ten, który mu służy? Czy nie ten pierwszy? Ja jestem wśród was tym, który służy. 
LUK.22.28	Pozostaliście Mi wierni w tych ciężkich dla Mnie dniach. 
LUK.22.29	Dlatego tak jak Ojciec postanowił dać mi królestwo, tak teraz ja postanawiam, 
LUK.22.30	że będziecie w nim jeść i pić przy moim stole i zasiądziecie na tronach, sądząc dwanaście rodów Izraela.
LUK.22.31	Następnie Jezus rzekł do Szymona Piotra:
LUK.22.31	—Szymonie, szatan domagał się, aby was przesiać jak pszenicę i odrzucić plewy. 
LUK.22.32	Ja jednak modliłem się, abyś nie załamał się w wierze. Gdy się więc opamiętasz, umacniaj wiarę innych wierzących we Mnie.
LUK.22.33	—Panie, jestem gotów iść z Tobą do więzienia, a nawet na śmierć!—odpowiedział Szymon.
LUK.22.34	—Posłuchaj, Piotrze!—odparł Jezus. —Zanim jutro rano zapieje kogut, aż trzy razy zaprzeczysz, że Mnie znasz.
LUK.22.35	Potem zapytał wszystkich:
LUK.22.35	—Czy brakowało wam czegoś, gdy bez pieniędzy, bez torby i butów na zmianę wysłałem was, abyście głosili ludziom dobrą nowinę?
LUK.22.35	—Nie, niczego—odpowiedzieli.
LUK.22.36	—Teraz jednak—powiedział—kto z was ma pieniądze lub torbę, niech je weźmie. A kto nie ma pieniędzy, niech sprzeda swój płaszcz i kupi sobie miecz. 
LUK.22.37	Zapewniam was, że niebawem wypełni się proroctwo: „Zaliczono Go do grona przestępców”. Spełnią się również inne proroctwa o Mnie.
LUK.22.38	—Panie!—opowiedzieli. —Mamy tutaj dwa miecze.
LUK.22.38	—Wystarczy—odrzekł Jezus.
LUK.22.39	Po kolacji, w towarzystwie uczniów, Jezus udał się jak zwykle na Górę Oliwną. 
LUK.22.40	Gdy tam dotarli, powiedział im:
LUK.22.40	—Módlcie się, abyście się nie poddali pokusie!
LUK.22.41	Potem oddalił się na pewną odległość, ukląkł i tak się modlił:
LUK.22.42	—Ojcze! Jeśli chcesz, oddal ode Mnie ten „kielich cierpienia”. Jednak to Twoja wola niech się stanie, a nie to, czego Ja chcę.
LUK.22.43	W tym momencie zstąpił z nieba anioł, by podnieść Go na duchu. 
LUK.22.44	Przeżywając ogromną udrękę, Jezus tak gorliwie się modlił, że Jego pot kapał na ziemię jak wielkie krople krwi. 
LUK.22.45	W końcu podniósł się, wrócił do uczniów i zastał ich śpiących, byli bowiem bardzo przygnębieni.
LUK.22.46	—Dlaczego śpicie?!—zapytał. —Wstańcie i módlcie się, abyście się nie poddali pokusie!
LUK.22.47	Ledwie skończył mówić, nadeszła zgraja ludzi prowadzona przez Judasza, jednego z Dwunastu. Ten zbliżył się do Jezusa i przywitał Go pocałunkiem.
LUK.22.48	—Judaszu, pocałunkiem zdradzasz Mnie, Syna Człowieczego?—zapytał Jezus.
LUK.22.49	Widząc, na co się zanosi, pozostali uczniowie krzyknęli:
LUK.22.49	—Mistrzu, czy mamy użyć miecza?
LUK.22.50	W tej samej chwili jeden z nich zamachnął się mieczem i odciął prawe ucho słudze najwyższego kapłana.
LUK.22.51	—Nie stawiajcie im oporu!—odpowiedział Jezus, po czym dotknął rany i uleczył ucho.
LUK.22.52	Następnie zwrócił się do najwyższych kapłanów, dowódców straży świątynnej oraz starszych, którzy przyszli na to miejsce:
LUK.22.52	—Czy jestem jakimś groźnym przestępcą, że przyszliście po Mnie aż tak uzbrojeni? 
LUK.22.53	Dlaczego nie zatrzymaliście Mnie w świątyni? Przecież codziennie byłem tam wśród was! Teraz jednak nadszedł wasz czas—czas władcy ciemności!
LUK.22.54	Aresztowano więc Jezusa i zaprowadzono Go do rezydencji najwyższego kapłana. Piotr zaś szedł za Jezusem, trzymając się z daleka. 
LUK.22.55	Na środku dziedzińca rozpalono ognisko i wszyscy usiedli przy nim. Przysiadł się tam również Piotr. 
LUK.22.56	Nagle, w blasku płomieni, jakaś służąca dostrzegła jego twarz. Uważnie mu się przyjrzała i powiedziała:
LUK.22.56	—Ten człowiek był z Jezusem!
LUK.22.57	—Kobieto, nawet Go nie znam!—zaprzeczył Piotr.
LUK.22.58	Po chwili ktoś inny spojrzał na niego i rzekł:
LUK.22.58	—Jesteś jednym z jego uczniów!
LUK.22.58	—Człowieku! Nie jestem!—odparł Piotr.
LUK.22.59	Mniej więcej po godzinie ktoś inny stwierdził:
LUK.22.59	—On jest jednym z nich. Przecież pochodzi z Galilei.
LUK.22.60	—Człowieku! Nie wiem, o czym mówisz!—zaprzeczył Piotr.
LUK.22.60	W tej samej chwili, gdy jeszcze to mówił, zapiał kogut. 
LUK.22.61	Jezus odwrócił się i spojrzał na Piotra, a on przypomniał sobie Jego słowa: „Zanim jutro rano zapieje kogut, aż trzy razy zaprzeczysz, że Mnie znasz”. 
LUK.22.62	Natychmiast opuścił dziedziniec i z żalu gorzko zapłakał.
LUK.22.63	Tymczasem strażnicy, pilnujący Jezusa, śmiali się z Niego. 
LUK.22.64	Zawiązali Mu oczy i bili Go, pytając:
LUK.22.64	—Prorokuj! Zgadnij, kto Cię teraz uderzył?
LUK.22.65	Obrzucali Go też wieloma wyzwiskami.
LUK.22.66	Następnego dnia, wczesnym rankiem, zebrała się Wysoka Rada złożona ze starszych, najwyższych kapłanów i przywódców religijnych. Gdy wprowadzono przed nich Jezusa, 
LUK.22.67	powiedzieli:
LUK.22.67	—Jeśli jesteś Mesjaszem, powiedz nam to wprost.
LUK.22.67	—Jeśli wam to powiem, nie uwierzycie Mi. 
LUK.22.68	A jeśli zapytam o powód, nie odpowiecie—odrzekł. 
LUK.22.69	—Lecz nadszedł czas, abym Ja, Syn Człowieczy, zasiadł na tronie z Bogiem.
LUK.22.70	—Jesteś więc Synem Bożym?—zapytali.
LUK.22.70	—Sami to potwierdzacie! Jestem Nim—odpowiedział.
LUK.22.71	—Czego więcej trzeba? Po co nam dowody? Sami słyszeliście, co powiedział!—zawołali.
LUK.23.1	Wtedy wszyscy razem zaprowadzili Jezusa do Piłata, rzymskiego gubernatora, 
LUK.23.2	i oskarżyli Go:
LUK.23.2	—Stwierdziliśmy, że ten oto człowiek podburza nasz naród, bo zabrania ludziom płacenia podatków cezarowi i twierdzi, że jest naszym Mesjaszem i Królem.
LUK.23.3	Na to Piłat zapytał:
LUK.23.3	—Jesteś Królem Żydów?
LUK.23.3	—Sam to potwierdzasz—odpowiedział Jezus.
LUK.23.4	Wówczas Piłat zwrócił się do najwyższych kapłanów i tłumu:
LUK.23.4	—Nie znajduję żadnej winy w tym człowieku!
LUK.23.5	—Przecież naucza po całej Judei i buntuje lud—upierali się. —Zaczął w Galilei i dotarł aż tutaj!
LUK.23.6	Słysząc to, Piłat zapytał, czy Jezus rzeczywiście pochodzi z Galilei. 
LUK.23.7	Gdy to potwierdzono, odesłał Go do Heroda Antypasa, ponieważ Galilea podlegała jego jurysdykcji, a on sam akurat przebywał w Jerozolimie.
LUK.23.8	Herod bardzo się ucieszył na widok Jezusa, bo wiele o Nim słyszał i już od dłuższego czasu chciał Go poznać. Spodziewał się, że na jego oczach Jezus dokona jakiegoś cudu. 
LUK.23.9	Zasypywał Go więc pytaniami, lecz On w ogóle nie odpowiadał. 
LUK.23.10	Tymczasem obecni tam najwyżsi kapłani i przywódcy religijni bezlitośnie oskarżali Jezusa. 
LUK.23.11	W końcu Herod ze swoimi żołnierzami zaczął wyśmiewać Go. Ubrał Jezusa w królewski płaszcz i z powrotem odesłał do Piłata. 
LUK.23.12	Od tego dnia Herod i Piłat stali się przyjaciółmi, mimo że dotychczas byli do siebie wrogo nastawieni.
LUK.23.13	Piłat zwołał najwyższych kapłanów, członków Rady oraz lud 
