MAT.1.1	Chitabu cha welesi wa Yesu Chilisito, mzukulu wa Daudi, mzukulu wa Bulahimu.
MAT.17.16	Nimgala kwa wanahina wako, mbali hawadahile bule kumuhonya.”
MAT.17.17	Yesu kawedika, “Mweye wanhu mwilibule uhuwilo na mwagile! Nizakala na mweye mbaka zuwaki? Nizawafunyila umoyo mbaka zuwaki? Mgaleni iyo imbwanga hano hamwangu!” 
MAT.17.18	Yesu kambwakila chinyamkela, chinyamkela kamulawa imbwanga ija, bahobaho mbwanga ija kahona.
MAT.17.19	Maabaho wanahina wamuhitila Yesu chinyele, wamuuza, “Habali cheye hachidahile bule kumulava chinyamkela?”
MAT.17.20	Yesu kawedika, “Kwaviya mweye muhungukilwa na uhuwilo, nowalongela kweli, one muwile na uhuwilo ndodo fana mbeyu ya mbiki wa haladali, muhadahile kutenda jojose. Hata one iwile kuulongela lugongo, ‘Segela hano uhite kuja’ nawo uhawategeleze. 
MAT.17.21	Dino hadidahika bule mbali kwa kutosa na kufunga.”
MAT.17.22	Wanahina wose viwafikile kuna umkowa wa Galilaya, Yesu kawalongela, “Mwana wa Munhu kohita kutuligwa muna yamakono ya wanhu, 
MAT.17.23	wezamkoma, mbali zihafosa siku nhatu hamwande, kezazilibuka.”
MAT.17.23	Wanahina wengilwa na usungu ng'hani.
MAT.17.24	Yesu na wanahina wake viwafikile Kapelinaumu, wasola kodi ya Kaye ya Mulungu weza kwa Petili, wamuuza, “Vino mfundiza wenu koliha kodi ya Kaye ya Mulungu?”
MAT.17.25	Petili kawedika, “Ona, koliha.”
MAT.17.25	Petili viyengile mgati, Yesu kandusa kumulongela, “Kowonaze Saimoni? Vino wafalume wa isi wosola kodi na usulu kwa wanhu welihi? Kwa wanhu wa isi yawo hebu kwa wageni?”
MAT.17.26	Petili kamwidika, “Kwa wageni.”
MAT.17.26	Yesu kalonga, “Vinoga. Ivo wakaya hawalondeka kuliha kodi bule. 
MAT.17.27	Mbali hachilonda kuwadesa wanhu wawo bule. Ivo hita kuna dilamba ukalowe somba kwa ndwano. Somba wa mwanduso yondaunpate, muna umulomo wake kwizawona sente yoifaya kulihila kodi yangu na yako. Sola ukalihe kodi yetu.”
MAT.18.1	Lusita ulo ulo wanahina wamuhitila Yesu, wamuuza, “Yelihi yeli mkulu muna Ufalume wa kuulanga?”
MAT.18.2	Yesu kamtanga mwana ndodo, kamwimiza haulongozi wawo, 
MAT.18.3	kalonga, “Nowalongela kweli, one hamugaluke na kuwa fana wana wadodo, hamwizakwingila bule muna Ufalume wa kuulanga. 
MAT.18.4	Munhu yoyose yotenda fana mwana ino, niiyo mkulu muna Ufalume wa kuulanga. 
MAT.18.5	Yoyose yondayamuhokele mwana fana ino kwa zina jangu, konihokela niye.
MAT.18.6	“Mbali munhu wowose yomuhasanya imwe wa wanhu wano wadodo wowonihuwila, yomfaya yafungiligwe mwiisingo dibwe kulu da kudundila na kudumbwikizwa muna uludonho lwa bahali.
MAT.18.7	Isi yose izagaya kwa ichimu cha mbuli zoziwatenda wanhu watende uhasanyi. Mbuli zino zakuwatenda wanhu watende uhasanyi zolodeka zize, mbali kezagaya ng'hani munhu ija yowatenda wanhu watende uhasanyi!
MAT.18.8	“One mkono wako hebu mgulu wako wahakutenda wagize uhuwilo wako, ukanhe ukawase kutali na weye. Muhavu kwingila muna ugima wa siku zose kuno kuhungukilwa na mkono hebu mgulu, sembuse kuwa na makono maidi hebu migulu midi na kwasigwa muna umoto wa siku zose. 
MAT.18.9	One ziso jako dahakutenda wagize uhuwilo, ding'ole na ukajase kutali na weye. Muhavu kwingila muna ugima wa siku zose kuno kuna gele sembuse kuwa na meso maidi, na kwasigwa muna jehanamu ya moto.
MAT.18.10	“Loleni, sekemumbeze imwe wa wadodo wano! Kwaviya nowalongela kuwa wasenga wawo kuulanga wakuulongozi wa Tati yangu wa kuulanga. 
MAT.18.11	Kwaviya Mwana wa Munhu keza kukombola chiya chagile.
MAT.18.12	“Mogesaze? Munhu yahawa na ng'hondolo gana, na imwe mwa iwawo kokwaga, vino hawaleka waja malongo kenda na kenda, na kuhita kulugongo na kunzahila ija ng'hondolo yagile? 
MAT.18.13	Nomulongelani kweli, one yahanpata iyo, kodeng'helela ng'hani, kufosa waja ng'hondolo malongo kenda na kenda hawagile. 
MAT.18.14	Iviya Tati yenu wa kuulanga halonda bule wadodo wano wage.
MAT.18.15	“One ndugu yako yahakubananga, hita ukamulamule weye na yeye mwiidumwe. One yahakuhulika, kumpata ndugu yako. 
MAT.18.16	Mbali one yahalema kukutegelezae, umsole munhu imwe hebu wanhu wamwenga weli hamwe na weye, muladi ‘chochose chilongigwa na wakalangama waidi hebu watatu chitogoligwe,’ fana Maandiko Yelile viyolonga. 
MAT.18.17	One yahalema kumtegelezani, dilongele bumbila da wahuwila wa Chilisito na one yahalema kuwategeleza wahuwila, muleke kumwako yawe fana munhu hammanyile Mulungu hebu msola kodi.
MAT.18.18	“Nomulongelani kweli, chochose chondamufunge muna isi, chizafungigwa kuulanga, na chochose chondamufungule muna isi, chizafunguligwa kuulanga.
MAT.18.19	“Kaidi nowalongela kweli, wanhu waidi vimwili wahaitogolela mbuli yoyose ya kutosa hano hana isi, Tati yangu wa kuulanga kezawatendela mbuli iyo. 
MAT.18.20	Kwaviya hanhu hohose howoiting'hana wanhu waidi hebu watatu kwa zina jangu, na niye nahagati yawo.”
MAT.18.21	Maabaho Petili kamuhitila Yesu na kamuuza, “Mndewa, vino ndugu yangu yanibanange miyanza mingahi na niye nimulekelele? Hata yahanibananga miyanza saba?”
MAT.18.22	Yesu kamwidika, “Nokulongela, siyo miyanza saba muhala, mbali saba miyanza malongo saba. 
MAT.18.23	Kwaviya Ufalume wa kuulanga ulinga vino. Ulinga fana mfalume imwe yoyalondile kuwapeta watumigwa wake. 
MAT.18.24	Viyakalile kopeta, kagaliligwa msang'hani wake imwe yakalile kodaigwa deni da hela miliyoni nyingi. 
MAT.18.25	Nayo viyapuwile cha kumuliha, mwenevale wake kalonga yachuuzigwe yeye na mke wake na wanage na vinhu vose viyeli navo, muladi dikalihigwe dideni diya. 
MAT.18.26	Msang'hani ija kumtumbalila mavindi mfalume, kalonga, ‘Mwenevale, nolamba unifunyile umoyo na niye nizakuliha chila chinhu!’ 
MAT.18.27	Mwenevale kamuwonela ubazi, kamfungula, kamulekelela dideni na kamuleka yahite.
MAT.18.28	“Mbali msang'hani ija viyasegele, kamuwona msang'hani miyage yoyakalile yondai hela ndodo. Kangwila, kamkabula dimelo jake na kamulongela, ‘Unilihe chila chinikudai.’ 
MAT.18.29	Msang'hani miyage kumtumbalila mavindi, kamulamba, ‘Nilekele, nizakuliha yose iviya.’ 
MAT.18.30	Mbali kalema, kasegela na kumwika miyage mchifungo, mbaka vondayalihe dideni diya. 
MAT.18.31	Wasang'hani wayage viwayawonile yaja yoyalawilile, wehilwa ng'hani, wahita kumulongela mwenevale chila chinhu chochilawilile. 
MAT.18.32	Hamala baho, mwenevale wake kamtanga ija imsang'hani, kamulongela, ‘Weye kwa msang'hani yehile! Niye nikulekela deni diya jose kwaviya kunilamba nikulekele. 
MAT.18.33	Vino na weye hulondeke kumuwonela ubazi msang'hani miyago fana viya niye vinikuwonele ubazi?’ 
MAT.18.34	Mwenevale ija kehilwa ng'hani na kangala msang'hani ija kuna ichifungo. Uko kezagazigwa mbaka vondayalihe deni yose.”
MAT.18.35	Yesu kakomelezela kulonga, “Ivo niivo vondaiwe Tati yangu wa kuulanga vondayawatende mweye, one mweye hamuwalekele ndugu zenu kulawa muna imizoyo yenu.”
MAT.19.1	Yesu viyakomeleze kulonga mbuli izo, kasegela isi ya Galilaya na kahita kuna zibanzi za Yudeya, umwambu wa ulwanda lwa Yolodani. 
MAT.19.2	Lung'husesa lukulu lwa wanhu lumsondelela, nayo kawahonya.
MAT.19.3	Mafalisayo wamwenga wamuhitila Yesu kwa kumgeza, walonga, “Vino muna Yamalagilizo yetu munhu kodaha kumwasa mke wake kwa mbuli yoyose?”
MAT.19.4	Yesu kawedika, “Vino hamusomile bule Yamaandiko Yelile yoyolonga kuwa, kulawa mwanduso Mulungu kawalumba mulume na muke? 
MAT.19.5	Maabaho Mulungu kalonga, ‘Kwa ichimu chino, munhu kezamuleka tati yake na mami yake, kezailumba na mke wake, nawo waidi wezakuwa lukuli lumwe.’ 
MAT.19.6	Ivo siyo waidi kaidi, mbali lukuli lumwe. Ivochiya choyachilumbilize Mulungu, munhu sekeyachigole.”
MAT.19.7	Mafalisayo wamuuza, “Lelo habali Musa kaching'ha Lagilizo da kumuleka muke kwa kumwing'ha chibuwa cha nyasa?”
MAT.19.8	Yesu kawedika, “Musa kawalekelela muwase wake zenu kwa mbuli ya udala wa mizoyo yenu. Mbali kwandusila Mulungu viyalumbile isi haiwile ivo bule. 
MAT.19.9	Nowalongela, one mke wako hatendile ugoni bule, hulondeka kumwasa na kusola imwenga. One uhatenda ivo, kotenda ugoni.”
MAT.19.10	Wanahina wake wamulongela, “One mbuli za munhu na mke wake zahawa ivo, muhavu kuleka kusola.”
MAT.19.11	Yesu kawedika, “Siyo wose wowodaha kuhokela mbuli ino, mbali ni waja muhala wowajaliigwe na Mulungu. 
MAT.19.12	Kuna vinhu vili mbasakanyo vimtendeza mulume sekeyasole, wamwenga welekigwa ivo kulawa muna izinda za mami zawo, wamwenga watendigwa na wanhu kuwa ivo, na wamwenga hawasola kwa kuuzahila Ufalume wa kuulanga. Yoyodaha kwiihokela mbuli ino nayaihokele.”
MAT.19.13	Wanhu wamgalila Yesu wana wadoododo muladi yawekile makono na yawatosele. Mbali wanahina wake wawabwakila wanhu wawagalile wana wawo. 
MAT.19.14	Yesu kalonga, “Walekeni wana wadoododo weze kumwangu, sekemuwalemese. Kwaviya Ufalume wa kuulanga ni wa wanhu fana wawo.” 
MAT.19.15	Kawekila makono, maabaho kasegela hanhu baho.
MAT.19.16	Munhu imwe kamuhitila Yesu na kamuuza, “Mfundiza! Nitende chinhu chilihi chinogile muladi nihokele ugima wa siku zose?”
MAT.19.17	Yesu kamwidika, “Habali koniuza mbuli ya vinhu vinogile? Yanogile ni imwe muhala. Mbali one wahalonda kwingila muna ugima wa siku zose, yamhilila malagilizo.”
MAT.19.18	Kamuuza, “Malagilizo yelihi?”
MAT.19.18	Yesu kamwidika, “Sekeukome, sekeuzini, sekeubawe na sekeulonge uvwizi, 
MAT.19.19	wategeleze tati yako na mami yako, na umulonde mkaya miyago fana viuilonda weye mwenyewo.”
MAT.19.20	Mbwanga ija kamwidika, “Malagilizo yose niyamhisa. Lelo nihungukilwa na choni kaidi?”
MAT.19.21	Yesu kamulongela, “One wahalonda uwe goya muna ichila chinhu, hita ukachuuze vinhu vose viuli navo, maabaho weng'he hela ngayengaye, na kwizakuwa na ngama kuulanga. Maabaho wize unisondelele.”
MAT.19.22	Mbwanga ija viyahulike ivo, kahita kwa usungu kwaviya kakala tajili ng'hani.
MAT.19.23	Maabaho Yesu kawalongela wanahina wake, “Nowalongelakweli, izakuwa vidala ng'hani kwa matajili kwingila muna Ufalume wa kuulanga. 
MAT.19.24	Kaidi nowalongelani kweli, izakuwa vibuha kwa mnyama yotangigwa ngamiya kwingila muna ichizonzo cha sanziya sembuse munhu tajili kwingila muna Ufalume wa Mulungu.”
MAT.19.25	Wanahina viwahulike ivo, wazanywa ng'hani na wamuuza, “Lelo yelihi basi yondayakomboligwe?”
MAT.19.26	Yesu kawalola, kawedika, “Kwa munhu haidahika bule, mbali kwa Mulungu chila chinhu chodahika.”
MAT.19.27	Petili kedika, “Lola, cheye chileka chila chinhu na chikusondelela weye! Lelo chizapata choni?”
MAT.19.28	Yesu kawedika, “Nowalongela kweli, muna isi ya sambi, Mwana wa Munhu vondayakale hana ichigoda cha chifalume chake, mweye womunisondelele niye iviya mwizakala muna ivigoda longo na vidi, kuyatagusa makabila longo na maidi ya Isilaeli. 
MAT.19.29	Chila munhu yoyalekile kaye hebu ndugu wa chilume hebu wa chike hebu tata hebu mama hebu wana hebu migunda kwa ichimu cha zina jangu, kezahokela miyanza gana, na kezakwing'higwa ugima wa siku zose. 
MAT.19.30	Mbali wengi weli wa mwanduso, wezakuwa wa kuuhelelo, na wengi weli wa kuuhelelo sambi, wezakuwa wa mwanduso.
MAT.20.1	“Ufalume wa kuulanga ulinga vino. Kukala na munhu yoyaidawile imitondo ng'hani, kahita kuzahila wasang'hana muladi yawagale muna umgunda wake. 
MAT.20.2	Nayo viyaitogolele nawo kuwaliha yombe da siku dimwe, kawagala kusang'hana kuna umgunda wake. 
MAT.20.3	Saa nhatu kahita kuna digulilo, kawafika wanhu wakala, wabule usang'hano wowose. 
MAT.20.4	Nawo iviya kawalongela, ‘Hiteni na mweye kuna umgunda wangu. Nizawaliha viilondeka.’ 
MAT.20.5	Ivo wanhu waja wahita.
MAT.20.5	“Munhu ija kalawa kaidi saa sita imisi na saa kenda, na katenda ivo ivo. 
MAT.20.6	Viikalile habehi kufika saa longo na imwe, kalawa kaidi, kawafika wanhu wamwenga wema zugaga. Kawauza, ‘Vilihi vino vimwimile hano zugaga imisi yose bila sang'hano?’ 
MAT.20.7	Wamulongela, ‘Kwaviya habule munhu yoyaching'hile sang'hano.’ Kawalongela, ‘Vinoga, lelo na mweye hiteni kuna umgunda.’
MAT.20.8	“Vidiswile, ija mwene mgunda kamulongela imwimilizi wake, ‘Watange walimi uwalihe mayombe yawo, wahasongela waja wa uhelelo mbaka wa mwanduso.’ 
MAT.20.9	Waja wanhu wanduse kusang'hana saa longo na imwe viwezile, wahokela chila munhu yombe da siku dimwe. 
MAT.20.10	Ivo waja wanduse kusang'hana viwezile, wagesa wezahokela hela nyingi ng'hani, mbali nawo weng'higwa yombe da siku dimwe. 
MAT.20.11	Viwahokele hela zawo, wandusa kulongelela kwa ija mwene mgunda, 
MAT.20.12	walonga, ‘Cheye chisang'hana usang'hano siku yose, kai muna dizuwa, na wano wa kuuhelelo wasang'hana saa dimwe muhala. Lelo kochiliha chose sawa!’
MAT.20.13	“Mbali mwene mgunda kawedika, ‘Tegelezeni mbwiya zangu, simbunzileni bule. Vino hachiitogolele mweye musang'hane usang'hano wa siku yose kwa maliho ya yombe da siku dimwe?’ 
MAT.20.14	Sola iyo yili yako na uhite ukaye. Nolonda kumwing'ha ino wa kuuhelelo fana vinikwing'hile weye. 
MAT.20.15	Vino havinogile bule niye kutenda chiya chili changu vonilonda niye mwenyewo? Hebu muna migongo kwaviya niye nina moyo unogile?”
MAT.20.16	Yesu kakomelezela kwa kulonga, “Waja weli wa uhelelo wezakuwa wa mwanduso, na waja weli wa umwanduso wezakuwa wa uhelelo.”
MAT.20.17	Yesu viyakalile yohita Yelusalemu, kawasola waja wanahina longo na waidi waidumwe, kawalongela, 
MAT.20.18	“Tegelezeni, chohita Yelusalemu. Uko Mwana wa Munhu kezatuligwa muna yamakono ya wakulu wa nhambiko na wafundiza Malagilizo, nawo wezamtagusa yadanganike. 
MAT.20.19	Maabaho wezangala kwa wanhu weli siyo Wayahudi, wawo wezamkeweza na wezamulanha mibalati na wezamuwamba mumsalaba, mbali siku deketatu hamwande kezazilibuka kuwadanganike.”
MAT.20.20	Maabaho mke wa Zebedayo na wanage waidi wa chilume wamwizila Yesu. Imama iyo kumtumbalila Yesu mavindi na kalonda yatendiligwe choyolonda.
MAT.20.21	Yesu kamuuza, “Kolonda choni?”
MAT.20.21	Imama ija kamwidika, “Nikile chilagano kuwa wano wanangu waidi wezakala ubanzi wako wa kumoso na ubanzi wako kulume muna Ufalume wako.”
MAT.20.22	Yesu kedika, “Hamuchimanyile bule chiya chimupula. Vino modaha kumgwila nhungo yoning'wila niye?”
MAT.20.22	Wamwidika, “Chodaha.”
MAT.20.23	Yesu kawalongela, “Kweli mwizakung'wila nhungo yangu, mbali kukala ubanzi wangu wa kumoso na ubanzi wangu wa kulume, niye nabule udaho wa kuweng'ha. Mbali wokwing'higwa waja wasasaliligwe na Tati yangu.”
MAT.20.24	Waja wanahina longo dimwe viwahulike ivo, wawehila waja iwandugu waidi. 
MAT.20.25	Yesu kawatanga wose hamwe na kawalongela, “Muvimanya kuwa watawala wa wanhu weli siyo Wayahudi wotawala kwa nguvu, na weli na ukulu wowatumikisha. 
MAT.20.26	Mbali haizakuwa ivo bule kumwenu. Munhu yoyose yolonda yawe mkulu kumwenu, kolondeka yawe msang'hani wenu. 
MAT.20.27	One munhu yoyose yolonda kuwa wa mwanduso, kolondeka yawe mtumwa wenu, 
MAT.20.28	fana viya Mwana wa Munhu hezile kusang'haniligwa bule, mbali kusang'hanila na kulava ugima wake kwa ichimu cha kukombola wanhu wengi.”
MAT.20.29	Yesu na wanahina wake viwakalile wolawa Yeliko, lung'husesa lukulu lwa wanhu lumsondelela. 
MAT.20.30	Wanhu waidi vipofu wakala wakalile mumgwazogwazo ya inzila. Viwahulike Yesu kofosa, wandusa kuguta, “Mndewa! Mwana wa Daudi, uchiwonele ubazi.”
MAT.20.31	Lung'husesa luwabwakila, wawalongela wanyamale. Mbali wawo waiyoha kulandula yamadizi, “Mndewa! Mwana wa Daudi! Uchiwonele ubazi!”
MAT.20.32	Yesu kema na kawatanga, kawauza, “Molonda nimtendeleni choni?”
MAT.20.33	Wamwidika, “Mndewa, cholonda kuwona!”
MAT.20.34	Yesu kawawonela ubazi na kawadalisa meso yawo. Bahobaho wadaha kuwona, nawo wamsondelela.
MAT.21.1	Yesu na wanahina wake viwakalile habehi na Yelusalemu, wafika Besifage kuna ulugongo lwa Mizaituni. Uko Yesu kawatuma wanahina wake waidi wamulongolele. 
MAT.21.2	Kawalongela, “Hiteni mbaka chibululu chiya chili kuulongozi wenu. Baho mwizamfika chihongwe na mwanage wafungigwa, wafunguleni muwagale hano. 
MAT.21.3	Munhu yahamulongelani mbuli yoyose, longeni, ‘Mndewa kowalonda na kezawabweleza.’ ”
MAT.21.4	Yano yose yalawila muladi yaja yose yalongigwe na mulotezi wa Mulungu yatimie, 
MAT.21.5	“Dilongele bululu da Sayuni,
MAT.21.5	‘Lola mfalume wako kokwiza,
MAT.21.5	muhole na kakwela chihongwe,
MAT.21.5	mwana chihongwe.’ ”
MAT.21.6	Wanahina waja wahita, watenda fana Yesu viyawalagilize kutenda. 
MAT.21.7	Wamgalila Yesu chihongwe ija na mwana chihongwe, wanzanza viwalo mchanyha yake na Yesu kakwela kungongo wake. 
MAT.21.8	Wanhu wengi wanzanza viwalo vawo mwiinzila na wanhu wamwenga wakanha matambi ya ming'andi ya mitende, wayazanza mwiinzila. 
MAT.21.9	Lung'husesa lukulu lwa wanhu lulongole na waja wowasondelele walandula madizi yawo, walonga,
MAT.21.9	“Nhogolwa, Mwana wa Daudi,
MAT.21.9	Mulungu yomtemela mate yokwiza kwa zina da Mndewa!
MAT.21.9	Nhogolwa kwa yeli mchanyha ng'hani kuulanga.”
MAT.21.10	Yesu viyengile Yelusalemu, bululu jose dingila tivitivi da wanhu. Wanhu wauza, “Ino iyo yelihi?”
MAT.21.11	Lung'husesa lwa wanhu lwidika, “Ino ni Yesu, Mulotezi wa Mulungu kulawa Nazaleti yili uko Galilaya.”
MAT.21.12	Maabaho Yesu kengila mwi Ikaye ya Mulungu. Kawawinga wanhu wose wowakalile wogula na kuchuuza vinhu umo mwi Ikaye ya Mulungu. Maabaho kahindula meza za wavunja hela na kahindula vigoda va wachuuza nziwa. 
MAT.21.13	Kawalongela, “Yandikigwa muna Yamaandiko Yelile, Mulungu kalonga, ‘Kaye yangu izatangigwa kaye ya nhambiko.’ Mbali mweye muitenda kuwa mina ya wabavi.”
MAT.21.14	Vipofu na mbetembete wamuhitila umo mwi Ikaye ya Mulungu, nayo kawahonya. 
MAT.21.15	Wakulu wa nhambiko na wafundiza Malagilizo wehilwa ng'hani viwawone mauzauza yoyatendile Yesu, na wana viwalandule madizi yawo mwi Ikaye ya Mulungu viwalongile, “Nhogolwa Mwana wa Daudi!” 
MAT.21.16	Wamuuza Yesu, “Vino kuwahulika wano chiwolonga?”
MAT.21.16	Yesu kawedika, “Wona, nihulika. Vino hamusomile bule muna Yamaandiko Yelile, ‘Muwafundiza wana wadoododo na ving'hele kulava nhogolwa inogile.’ ”
MAT.21.17	Maabaho Yesu kawaleka, kahita kunze ya bululu da Besaniya, uko kagona.
MAT.21.18	Imitondo ng'hani Yesu viyakalile kobwela kudibulu jake, kakala na nzala. 
MAT.21.19	Kauwona mbiki wa mtini mumgwazo ya inzila, kauhitila mbali hawonile chochose, ila kawona mayani muhala. Ivo kaulongela mbiki uwo, “Whizakwima matunda kaidi ng'o!” Bahobaho mbiki uwo unyala.
MAT.21.20	Wanahina wake viwawonile ivo, wazanywa ng'hani, waiuza, “Vino, habali mtini uno unyala chihima hima?”
MAT.21.21	Yesu kawedika, “Nowalongela kweli, muhahuwila bila kwika shaka, hamwizatenda ijo dilawilile kwa mtini muhala, mbali hata muhaulongela lugongo luno, ‘Ng'oka ukayase mwenyewo mwiibahali,’ nawo wizatenda ivo. 
MAT.21.22	One muhahuwila, mwizahokela chochose chondamupule muna inhambiko.”
MAT.21.23	Yesu kengila muna Ikaye ya Mulungu. Viyakalile kofundiza, wakulu wa nhambiko na walala walangulizi wa bumbila da wahuwila wa Chilisito, wamuuza, “Vino weye kotenda mbuli izo kwa udaho wa yelihi? Yelihi yakwing'hile udaho uno?”
MAT.21.24	Yesu kawedika, “Nomuuzani mbuli imwe, one muhanidika, nizamulongelani kuwa notenda yano kwa udaho wa yelihi. 
MAT.21.25	Vino ubatizo wa Yohana ulawa kulihi? Ulawa kuulanga hebu ulawa kwa wanhu?”
MAT.21.25	Mbali wawo wandusa kuiuzagiza, “Chihalonga, ‘Ulawa kuulanga,’ kezachiuza, ‘Habali hachimtogole Yohana?’ 
MAT.21.26	One chihalonga, ‘Ulawa kwa wanhu,’ chodumba lung'husesa kwaviya wose wotogola kuwa Yohana mulotezi wa Mulungu.” 
MAT.21.27	Ivo wamwidika, “Hachivimanyile bule.”
MAT.21.27	Yesu kawalongela, “Na niye iviya simulongelani kuwa notenda yano kwa udaho wa yelihi.
MAT.21.28	“Vino mweye mogesa choni? Kukala na munhu kana wana waidi. Kamuhitila ija wa mwanduso, kamulongela, ‘Mwanangu, hita diyelo ukasang'hane usang'hano muna umgunda.’ 
MAT.21.29	Mwana ija kedika, ‘Ndema,’ mbali hamwande katogola na kahita kusang'hana usang'hano. 
MAT.21.30	Maabaho tata ija kamuhitila mwana imwenga, kamulongela viyaviya, nayo kamwidika, ‘Ona mwenevale,’ mbali haitile bule. 
MAT.21.31	Vino yelihi hagati ya wano katenda yanogile kwa tati yake?”
MAT.21.31	Wamwidika, “Mwana ija wa mwanduso.”
MAT.21.31	Ivo Yesu kawalongela, “Nowalongela, wasola kodi na wagoni wezamulongolelani kwingila muna Ufalume wa Mulungu. 
MAT.21.32	Yohana Mbatizi keza kumwenu kamulagusani nzila inogile, na mweye hamumtogole bule. Mbali wasola kodi na wagoni wamtogola. Iviya hata vimuwonile yayo, hamusamhile na hamumtogole bule.”
MAT.21.33	Yesu kawalongela, “Tegelezeni simwe dimwenga. Kukala na munhu imwe mwene mgunda, kahanda zabibu. Kazungulusa wako, kahimba kombo da kukamila divai na kazenga lingo, maabaho kaweka walimi. Viyakomeleze ivo kasegela kahita isi ya kutali. 
MAT.21.34	Siku za kwaha zabibu viyafikile, kawatuma watumigwa wake kwa waja iwalimi muladi wakasole zabibu. 
MAT.21.35	Mbali walimi wawagwila watumigwa waja, imwe wamtowa, na imwenga wamkoma, na imwenga wamkoma kwa mabwe. 
MAT.21.36	Kawatuma kaidi watumigwa wamwenga wengi kufosa waja wa mwanduso, mbali walimi wawatendela viyaviya. 
MAT.21.37	Kuuhelelo, kamtuma mwanage kuno kolonga, ‘Mwanangu wezamtegeleza.’ 
MAT.21.38	Mbali walimi waja viwamuwone mwanage, wailongela wawo kwa wawo, ‘Ino iyo muhazi, chimkome muladi chisole uhazi wake.’ 
MAT.21.39	Wamgwila na wamwasa kunze ya umgunda wa mizabibu, wamkoma.”
MAT.21.40	Maabaho Yesu kawauza, “Vino mwene mgunda wa mizabibu vondayeze, kezawatenda choni walimi wawo?”
MAT.21.41	Wawo wamwidika, “Kezawakoma wanhu wawo wehile, nayo kezaweng'ha walimi wamwenga umgunda wake, wawo wezamwing'ha matunda kwa siku zake.”
MAT.21.42	Yesu kawalongela, “Vino hamunasoma muna Yamaandiko Yelile viyolonga?
MAT.21.42	‘Mhanda yowalemile wazenzi,
MAT.21.42	sambi iwa mhanda ya mgomba.
MAT.21.42	Dino ditendeka na Mndewa na ni da mwazanyo ng'hani.’
MAT.21.43	“Ukweli nowalongela, Ufalume wa Mulungu wizasegezigwa kumwenu na kwing'higwa wanhu wamwenga wokweleka matunda yake, wawo ni waja wowotenda viyolonda Mulungu. 
MAT.21.44	Munhu yoyose yondayagwiligwe na mhanda iyo, kezabenekabeneka, na munhu yoyose yondaingwile, izandunda tipitipi.”
MAT.21.45	Wakulu wa nhambiko na Mafalisayo viwahulike masimwe yayo, wavimanya kuwa kakala kowalonga wawo. 
MAT.21.46	Ivo wakala wozahila zila ya kumgwila, mbali wakala wodumba wanhu, kwaviya wanhu wamuwona kuwa Yesu ni mulotezi wa Mulungu.
MAT.22.1	Yesu kalonga nawo kaidi kwa masimwe. 
MAT.22.2	“Ufalume wa kuulanga ulinga vino. Kukala na mfalume yaweng'hile mwanage dugila da zengele. 
MAT.22.3	Maabaho kawatuma wasang'hani wake wawatange waja wowagonikigwe kunaisola, mbali wowagonikigwe walema kwiza. 
MAT.22.4	Kawatuma kaidi wasang'hani wamwenga, kawalongela wakawalongele, ‘Dugila jangu disasaligwa dimala, ng'ombe lume na dang'ang'a wanenehe wachinjigwa wamala, na chila chinhu chikigwa goya chimala. Izoni kuna didugila!’ 
MAT.22.5	Mbali wawo wowagonekigwe hawagesile, wahita imwe kumgunda wake na imwenga kuna ibiashala yake, 
MAT.22.6	na wamwenga wawamha wasang'hani waja, wawaliga na kuwakoma. 
MAT.22.7	Mfalume ija kapata ludoko, kawatuma wakalizi wake wahite kuwakoma wakomaji wawo na kusoma bululu jawo. 
MAT.22.8	Maabaho kawalongela wasang'hani wake, ‘Ndiya ya zengele isasaligwa imala, mbali waja wowagonikigwe hawafaya bule. 
MAT.22.9	Ivo hiteni kudikulugumbi, na wose wondamuwawone watangeni kuna isola.’ 
MAT.22.10	Watumigwa waja wahita kuna zinzila mhanda, wawagala wanhu wose wowawaonile, wehile na wanogile, dugila da zengele dikala dimemile wageni.
MAT.22.11	“Mfalume kengila mnyumba kuwalola wageni, kamuwona munhu hayawale walo da zengele. 
MAT.22.12	Kamuuza, ‘Mbwiyangu kwingilaze muno na weye kwabule chiwalo cha zengele?’ Mbali munhu ija kakala hupi. 
MAT.22.13	Baho mfalume kawalongela wasang'hani, ‘Mumfunge migulu na makono, maabaho mumwase kunze kudiziza, uko kezalila na kudunda meno.’ ”
MAT.22.14	Maabaho Yesu kakomeleza kwa kulonga, “Watangigwe wengi mbali wasaguligwe wadodo.”
MAT.22.15	Maabaho Mafalisayo wahita kunze kutenda usaguzi muladi wadahe kumtega Yesu kwa mbuli zake. 
MAT.22.16	Wawatuma wanahina wawo kumwake na wanahina wa chibumbila cha Helodi. Walonga, “Mfundiza, chovimanya kuwa weye kwa munhu mkweli, na iviya kofundiza nzila ya Mulungu chiukweli. Humdumba munhu yoyose, na iviya hulola ukulu wa munhu. 
MAT.22.17	Lelo chilongele, kogesaze? Vinoga kumwing'ha kodi mfalume wa Loma hebu havinogile?”
MAT.22.18	Mbali Yesu kavimanya wihi wawo, kawalongela, “Mweye mwawadelenya! Mbona monigeza? 
MAT.22.19	Nilaguseni hela yoisang'haniligwa kuliha kodi!”
MAT.22.19	Wamgalila sente. 
