MAT.1.1	Ngel evi naul ne metka se Iesu Kristo metka se Devet, ko metka se Epram.
MAT.27.33	Ko mian ko arini vajin re lat san nisen Golkota. Nais ngok renge nale se m̃eri Isrel nir owra “Lat ne bongur.” 
MAT.27.34	Ko arla norro, ko arlingi nanu san nga mirpe melu van ren nga puloli poro pimni ko niben puprus e. Ko arlai tevi. Ko ni, daron nga mimni lesi bbong, ko omusus pimni.
MAT.27.35	Ko arruloni arwuse vajin re nai pelaot, musuw ko artutweni sunsun sen, ko artuwe daes arwera parlesi isi nga poro pia-asi, niko sunsun se Iesu pivi sen. 
MAT.27.36	Musuw, ko arlik ngatan vajin, ko armetmet suri Iesu ie. 
MAT.27.37	Ko aruli tweni nale san ngel suri nga marevji pini ni, “M̃erel evi Iesu, numal se m̃eri Isrel nir,” ko arwuse mare re batun. 
MAT.27.38	Ko arruloni kele jinibb eru nga morok-vevna ko morok-revrevji jinibb tevi Iesu, nuru tuwen arwuse re nai pelaot san re nevren rres ko tuwen re nevren mair.
MAT.27.39	Ko lartul nga marasasi ie arij esij tevi, arwirrwirrleni batur tevi, ko armen keraji. 
MAT.27.40	Ko arwerai tevi, “A, nik nga kumwera kuplokloksi Naim On ko nabong p̃itul ko kup̃ili lweni, kupla lweni nik poro kumivi Atua Natun, ko kuprow jubbul re nai pelaot vitan!”
MAT.27.41	Erpok kele re jinibb nga marlelep re sulsulen nir, arkerkerasi Iesu tevi jinibb nevisvisenien ne nale nesesreien nir ko b̃irtera nir nga marivi pa jinibb nga marlelep re m̃eri Isrel nir, ko arwera 
MAT.27.42	“Poro weretunen m̃ila se jinibb m̃inij nir, ko erpese ni sete orongwose p̃ila lweni se ni? Evi numal ne Isrel, ko purow jubbul re nai pelaot vitan, ko rrapa-osuri ni vajin! 
MAT.27.43	Ni ebibto Atua, Atua p̃itka tweni vajin lelingenok poro pimrreni ni. Suri owrai pa, ‘Inu nuvi Atua Natun.’ ”
MAT.27.44	Erpok kele, nuru nga morok-revrevji jinibb nga marruloni nuru tevi Iesu oraji liwe nuru tevi Iesu.
MAT.27.45	Ko mian ko levial ko vajin, nial muwosput, ko nat emalik p̃etp̃eti re vanu ejpari mete nial itul. 
MAT.27.46	Ko momsawos mete nial itul sopon, ko Iesu ekail drrelan elep, owra “Eli, Eli, lama sapaktani?” Ngok renge nale se m̃eri Isrel nir owra “Atua suk, Atua suk, erpese kumiel lingi inu?” 
MAT.27.47	Ko nir sopor nga martur ie arunge jabble, ko arwera “M̃erel everuse Elaeja ko.” 
MAT.27.48	Ko ngavilvil nir san owlu van ko ela nanu san erpe nalum, ko ololi ervei norro nga mimelmel van ren, ko elngi re mavir ko esareni tevi Iesu pimni. 
MAT.27.49	Ko nir m̃inij nen nir arwera “Pirpok pa! Rraplesi ta poro Elaeja pivini pia-la sen.” 
MAT.27.50	Ko Iesu ekail kele drrelan elep ko osrow pini.
MAT.27.51	Ko kalik nga murrul ore lat nga muon emarrerr devjen eru e, m̃itipatun re bongsin nga mare osuw re bongsin nga ngatan. Ko nam̃i em̃i ko b̃ereng nir armoworwor. 
MAT.27.52	Ko dubb nir artep̃ir, ko nibe jinibb on elep nga marmij armera. 
MAT.27.53	Ko vitunen daron nga Iesu mimra jile re mijen sen ko nir arivel lingi dobbir, ko aran re Ngaim On Jerusalem; ko arpelari ji jinibb elep arlesir.
MAT.27.54	Ko daron nga numal se jinibb nuval nen nir ko jinibb nga marpitevi ni marmetmet suri Iesu marunge nam̃i m̃im̃i ko nanu jijle nga marpelari ngok, ko armetutu temijpal, arwera “Ewretun, m̃erel evi Atua Natun!”
MAT.27.55	Ko nesevin elep nga marok-majing sen ko nga marvijuri re Galili vini, artur ngasu bbong ko armeteni. 
MAT.27.56	Livö re nir, Merri ne Maktala ko Merri tasu se Jemes ko Josep, ko Sepeti nesen sen.
MAT.27.57	Mian ko rivriv jer vajin, jinibb ne Aramatia san nga joron milep, nisen Josep, evini. Ni kele evi jinibb se Iesu san. 
MAT.27.58	Ko evan ji numal Paelet, ongoni nibe Iesu. Ko numal Paelet owra nale san nga parlai. 
MAT.27.59	Ko Josep ela niben, ko onb̃e ore kalik nga muwokwok e m̃irres. 
MAT.27.60	Ko elngi renge dubb sen nga mimerr nga m̃itai renge b̃ereng. Ko eitini nevöt b̃ereng nga milep san oto ore metali ne dubb, ko evel lingi. 
MAT.27.61	Merri ne Maktala ko Merri m̃inij nen kele san orlik mori bbong ie, no nuru orlik ormawos e dubb.
MAT.27.62	Ngok evi nabong nga parloli lilane nanu parto pumomsawos parteravi nabong ne Sapat. Mevinen jinibb nga marlelep re sulsulen nir ko Parasi nir arini arkorti ji numal Paelet, 
MAT.27.63	ko arwera “Numal, namrrorrmi iok. Jinibb ne gerisen ngok daron nga mimaur malum e, ko owra ‘Vitunen, nabong p̃itul, ko bea-maur luwi kele re mijen.’ 
MAT.27.64	Ngok, kupwerai ta nale san nga parmetmet ore dubb p̃irres pijpari nabong p̃itul. Jinibb sen nir tarini ko tarvenae tweni ni ko tarwerai tevi jinibb nir, ‘Ni emaur luwi re mijen.’ Ngok poro pirpok gerisen nga vitu jer nen tia-sij tia-asie nga womuj nen.” 
MAT.27.65	Ko numal Paelet owrai tevir, “Kamrongwose kapla jinibb nuval sopor. Kapiel vajin kaploli parmetmet ore nanu jijle puto p̃irres pirpe nga kami kamrongwose.”
MAT.27.66	Ko arivel aran ko arlingi nanu san renge nevöt nga muto ore metali nga puloli parongwose poro jinibb san p̃iasi van loloim. Ko arlingi jile osuw, ko arlingi vajin jinibb ne nuval nen nir parmetmet ore.
MAT.28.1	Mian ko vitunen ko vajin, nabong ne Sapat osuw ko nial etipatun nga pimraej re nabong womu re wik, ko Merri ne Maktala ko Merri m̃inij nen kele oran orwera porlesi dubb. 
MAT.28.2	Ko nam̃i nga milep san em̃i, suri anglo san se Numal Atua ojubbul re melrin vini; evini eitini tweni nevöt ne metali, ko esakel ren. 
MAT.28.3	Non erinrin erpe moro navil ko sunsun sen eraprap temijpal erpe numow. 
MAT.28.4	Ko nir nga marmetmete dubb armetutue ko aririr lengleng, arirpe jinibb nga marmij nir. 
MAT.28.5	Ko anglo erij, owrai tevi nesevin nen nuru, “E, sete kopormetutu, suri nurongwose komorpej Iesu nga mimij re nai pelaot. 
MAT.28.6	Ni ejki iel. Suri emaur luwi kele, erpe nga muwrai wowomue. Koporini ta koporlesi lat nga mimatur ren.” 
MAT.28.7	Nuru orlesi jile osuw, ko anglo owrai kele: “Koporan pingavil, koporwerai tevi jinibb sen nir nga ni emaur luwi kele pa renge mijen. Ko ni puwowomue kami van re Galili e, ko kapa-lesi ie. Pirpe nga inu mowrai ngel tevi kamru.” 
MAT.28.8	Ko orivel lingi dubb ngavilvil tevi metutuen ko neiren nga milep, ko orwolu van porla nale tevi Iesu jinibb sen nir. 
MAT.28.9	Ko ortaole orsorrvij lengleng Iesu miplari ji nuru, ko owra “O, erres.” Ko oran orjipa ngatan jin ko orrul totoni b̃elan, ko orsurövi ni. 
MAT.28.10	Ko Iesu owrai tevi nuru, “Sete kopormetutu. Koporan koporwerai tevi tasik nir nga para-wowomu iak Galili, ko para-lesik ie.”
MAT.28.11	Ko daron nga nuru moran e, ko jinibb sopor nga marmetmet dubb nen arluwi van Jerusalem e, ko arwerai tevi jinibb nga marlelep re sulsulen nir nanu jijle nga marpelari. 
MAT.28.12	Ko nir arkorti tevi b̃irtera nga marivi pa jinibb nga marlelep nir ko armurri suri parloli pirpese partawi ore nanu nga miplari. Mian ko vitunen ko vajin arla nevöt elep tevi jinibb nuval nen nir, 
MAT.28.13	ko arwerai tevi nir, “Kami kapwerai tevi jinibb nir, ‘O, jinibb sen nir arini natmupong ko arvenae tweni niben daron nga nammatur e.’ 
MAT.28.14	Ko poro numal Paelet purnge nale ngel, ko kem naba-van naba-loli p̃irres tevi ni, ko kami sete kapa-la norongen nga m̃isij ren.” 
MAT.28.15	Ko jinibb nuval nen nir arla nevöt nen evi se nir, ko arloli erpe nir marwerai suri tevir. Ko nosp̃en ne gerisen ngel m̃eri Isrel nir arsup̃e ejpari lelingen ngel malum.
MAT.28.16	Ko Iesu jinibb sen nir esngavöl drromon san (11) arivel van re Galili van re botwen nga Iesu muwrai pa tevir. 
MAT.28.17	Ko daron nga marlesi ni, ko arsurövi ni; ko nir sopon sete arosuri erres. 
MAT.28.18	Ko Iesu evini mori jir, ko owrai tevir, “Atua elai pa derteren jile tevi inu re nanu jijle ne melrin ko iel ngatan. 
MAT.28.19	Ngok, kapan re vanu jijle, kapvisviseni jinibb nir, para-ivi jinibb suk. Ko kappaptaes nir re nise Tata suk ko re nise inu Atua Natun, ko re nise Nem̃in On. 
MAT.28.20	Ko kapvisvisenir nga parloli suri nanu jijle nga mowrai tevi kami. Ko kaplesi, inu beptevi kami tetajer, pian pijpari ngatan ngel bongsin.”
MRK.1.1	Batu nosp̃en nga m̃irres se Iesu Kristo Atua Natun. Ko etipatun erpel: 
MRK.1.2	Erpe Atua owrai renge naul nga Aesea propet sen muli tuwi pa, owra “Kapmurrong, bokoni jinibb suk san nga puwowomu re Mesaea, ko puloli sel se ni puto metmet. 
MRK.1.3	Drrela m̃ernen ekail renge lolo merwer owra ‘Kaploli lilane sel se Numal puto metmet terai! Kaploli mesekle sel sen nir parmetet p̃irres.’ ”
MRK.1.4	Erpok ko Jon evini, ko ewerwer owra “Kaprieni lweni nolo kami renge nololien se kami nir, ko kappaptaes, ko Atua p̃itlasi tweni nololien se kami.” Ko Jon ok-paptaes renge lolo merwer. 
MRK.1.5	Ko renge ie jinibb jijle ne vanu ne Jutia nir ko nir jijle nga renge Jerusalem nir arivel tweni. Arwerwera tututweni nololien ser nir, ko Jon epaptaese nir renge nuwi seser ne Jortan.
MRK.1.6	Jon ori bbong silvi kamel nga marvati mivi sunsun, ko etatuwe nevlu buluk renge netutwen, erpe Elaeja tuwi. Ko orro bbong nato nga mok-rowrow renge mösmös ko narrlu sukabak nga m̃ierri.
MRK.1.7	Ko ewerwer owra “San nga pivivitu suri inu vini niko, ni evan wor mare renge inu. Inu sete nurres rragrrag nuvter nga b̃ejiol vitan nga b̃etlasi tweni dil renge but sen. 
MRK.1.8	Inu nomok-paptaese kami bbong e nuwi le, ko ni ma pia-paptaese kami e Nem̃in On.”
MRK.1.9	Sete epriv ko Iesu evel lingi sisen Nasret, ngaim nga welili ne Galili san, ko evini ji Jon. Ko Jon epaptaese ni renge nuwi seser ne Jortan. 
MRK.1.10	Ko daron nga mitawij renge nuwi imare, ko elesi evesane melrin eteri wukari eru e etp̃ir; ko elesi Nem̃in On erpe wum̃er orow jubbul rengen vini ko esakel renge ni. 
MRK.1.11	Ko drrela Atua evel renge melrin vini owra “Nik kuvi natuk nga numrrenim elep, nurnge erres surim.”
MRK.1.12	Daron mawos nen ko pa, Nem̃in On owowomue Iesu orujruj kele wor van renge lolo merwer liven sopon. 
MRK.1.13	Ko ni elik renge ie ejpari nabong ngavöl ivij (40) nga Demij mok-rrowrrowe, ni elik renge lat nga nanu rrum ne lolo merwer nir marok-tur rengen. Ko anglo arok-kuluklu metmet re ni erres kemkam̃e.
MRK.1.14	Arlingi womue Jon renge naim ne nekaien, mian ko vitunen vajin ko Iesu ea-vini renge Galili, evisviseni nosp̃en nga m̃irres se Atua. 
MRK.1.15	Ko ni owrai owra “Nabong suk mawos le pa, ko batun vanu se Atua oruj mori pa pivini. Nolo kami pulululwi ko kaposuri nosp̃en nga m̃irres.”
MRK.1.16	Vitunen vajin ko Iesu evel sere suri jeli nuwito nga milep ne Galili. Ko elesi Saemon nuru tasin wor Antru orok-juröni niva se nuru van renge nuwi ngatan, suri nuru orivi jinibb nga morok-revrevei nai. 
MRK.1.17	Ko Iesu owrai tevi nuru owra “Laru, koporini koporvitu surik, ko inu bololi kamru
MRK.1.17	koporivi jinibb nga morok-revrevei jinibb.” 
MRK.1.18	Ko orsaro ngavilvil orlingi kurtweni niva se nuru ojpon jer, ko orvijuri suri ni.
MRK.1.19	Ko daron nga mivel rujruj kele beblen e ko elesi Sepeti natun nuru, Jemes ko tasin wor Jon, orsakel renge drrav ser orok-ilile lweni niva ser lat nga marmarrerr nir. 
MRK.1.20	Ko Iesu everus nuru kele, ko nuru orlingling tata se nuru Sepeti renge drrav ser tevi jinibb ne majingen sen nir, ko orvijuri Iesu.
MRK.1.21	Ko Iesu eptevir aran renge ngaim ne Kapaneam e. Ko renge Sapat aran renge naim ne loten ser, ko Iesu evisviseni jinibb nir. 
MRK.1.22	Ko daron nga jinibb nir marmurrarrong suri ni nevisvisenien sen e ko bbösa elair e. Suri ni nevisvisenien sen orrow erres, sete erpe nevisvisenien se jinibb nevisvisenien ne nale nesesreien nir. 
MRK.1.23	Ko re daron nen renge naim ne loten, jinibb nga nem̃in nga m̃isij m̃isisilvi san elik rengen, ko ekail van mare, owrai tevi Iesu 
MRK.1.24	owra “Sev som oto ni le iel, nik Iesu ne donasret? Kuvini nga kuplokloksi kem? Inu nurongwos nik, isi nik. Nik kuvi jinibb on se Atua.” 
MRK.1.25	Ko Iesu ewer ore nem̃in nga m̃isij ko owrai tevi owra “Sete kuprij, kupivare lingi ni.” 
MRK.1.26	Ko nem̃in nga m̃isij ololi ni elilawij ko eririr lengleng. Ko ekail van mare ko esil ivare, ko owlu lingi. 
MRK.1.27	Bbösa nga milep elair e, ko arsur vijvij, arwerwera lululweni tevir, “Sev le ngel? Nevisvisenien nga mimerr san! Nale sen orrow otutun erres, owrai bbong tevi nem̃in nga marsij nir ko arosuri ni.” 
MRK.1.28	Ngavilvilsen nosp̃en nen arsupsup̃e rrerrale p̃etp̃eti vanu ne Galili jile nir.
MRK.1.29	Mian ko nir arivare lingi naim ne loten vini vare e, ko artajer van renge naim se Saemon e ko Antru; ko Jemes ko Jon orpitevir. 
MRK.1.30	Ko iok Saemon p̃ilen lekter emsi mesien dowalul ematur, ko arwerai tevi Iesu. 
MRK.1.31	Ko ni evan ko orrul re Saemon p̃ilen nevren ko esa raji imare. Ko mesien dowalul evel lingi vin nga, ko ean etabbu nurrer.
MRK.1.32	Ko renge nat nga mirivriv daron nga nial miwaj pini e ko nabong on ser musuw, ko jinibb nir arwowosi vajin jinibb nga marmesi nir, ko artekai jinibb nga nem̃in nga marsij marsisilvir kele arini ji Iesu. 
MRK.1.33	Ko jinibb jijle nga renge ngaim nen arini arlik korti armot rrale metali vare e. 
MRK.1.34	Ko ni ololi nir elep nga marmesi mesien lele arres luwi, ko oji tweni nem̃in nga marsij elep. Ko ewer orer nga sete parij, suri arongwose ni.
MRK.1.35	Renge rorpong susu nat nga p̃isal p̃irin, ko Iesu emremra esan evel van renge lat nga nat mubbubbil e san, ko olot ie. 
MRK.1.36	Mian ko sete epriv ko Saemon ko nir nga marlik tevi ni, arpej ni ko arvivitu suri ni. 
MRK.1.37	Mian ko artor sweri ko aran jin. Daron nga maran jin e, ko arwerai tevi ni arwera “Ai, jinibb jijle arok-pej nik.” 
MRK.1.38	Ko ni owrai tevir owra “Kerr pian kele wor re ngaim m̃inij e nir, nga inu b̃ewerwer kele renger. Suri nuvini tweni iok le ngel.” 
MRK.1.39	Ko ni evan renge loloim ne naim loten ser p̃etp̃eti nir renge Galili ko ok-werwer renge nir, ko okoji tweni nem̃in nga marsij nir.
MRK.1.40	Ko nabong san jinibb nga mimsi mesien nga niber m̃im̃emaul san evini ejipa jin ngatan, ko ongoni tevi ni owra “Wurru, poro nga nik kupmarong ko kurongwos kuploli inu bowokwok.” 
MRK.1.41	Ko Iesu orrorrmi lenglenge ni, ko sete ering e mesien sen, ko esaro elngi nevren rengen; ko owrai tevi owra “Inu numarong. Kupwokwok ko.” 
MRK.1.42	Ko ngavilvilsen mesien nga niber m̃im̃emaul evel lingi ni, ko ni owokwok ko ornge erres luwi. 
MRK.1.43+MRK.1.44	Ko renge daron mawos nen ko pa Iesu ewer ore ni, owrai tevi, “Kuplesi sete kupwerai nanu pisan tevi jinibb pisan, ko kupvijuri sel van re Naim On, ko kupasi ji jinibb ne sulsulen san p̃ilesim.
MRK.1.43+MRK.1.44	Ko kuplai nanu ne sulsulen nga Moses muwrai renge nale nesesreien sen tevi ni. Suri kumwokwok pa.” Ko ni elinglingi evel. 
MRK.1.45	Evel van ko etipatun osupsup̃e limjer, etewijreni nanu nga elep. Ko ololi Iesu setemun orongwos pivel limjer renge ngaim mun nir, ni elik jer ko pa renge lolo merwer. Ko ngok ololi bbong jinibb ne lat p̃etp̃eti arivivel tweni malume.
MRK.2.1	Nabong evis arasi osuw, mian ko Iesu olwi kele van renge Kapaneam e, ko elik re naim se Pita. Ko jinibb arunge nosp̃en nen nga ni elik renge loloim nen. 
MRK.2.2	Ko delung elep aran jin renge loloim; ko loloim setemun evter nir, ko vini vare e kele renge roro metali setemun evter kele. Ko ni ewerwer renge nale nga m̃irres tevir.
MRK.2.3	Ko nir sopor ara-vini vivitu tevi jinibb san nga devje niben mimij; nir ivij arwosi renge maling sen. 
MRK.2.4	Ko sete arongwos parini mori ji Iesu, suri jinibb elep p̃elak. Ko arsa van mare renge drru naim, ko arrarre drru naim mare momsawos lat nga Iesu m̃ilik e etp̃ir. Arrarre jile osuw, ko arla dil sopor, ko arile renge maling nga marsale m̃ernen ren, ko arjuröni van ngatan e. 
MRK.2.5	Ko Iesu elesi nosurien ser, ko owrai tevi m̃er nga devje niben mimij nen, owra “Natuk, nololien som nir nutlasi twenir pa osuw.”
MRK.2.6	Ko jinibb nevisvisenien ne nale nesesreien sopor arlik ie renge daron nen ko arrorrmi sarrsarre renge nolor, arwera 
MRK.2.7	“Erpese m̃erel m̃irij mirpok? Ni erij melmelas ko osopsop̃e pa Atua! Isi orongwos p̃itlasi tweni nololien nir, Atua kobbong esan bbölbböl!” 
MRK.2.8	Ngavilvilsen Iesu ornge niben nen, orongwose nga nir arrorrmi erpok renge nolor. Ko owrai tevir, owra “Suri sev kami kamrrorrmi nanu ngel nir renge nolo kami nir mirpok? 
MRK.2.9	Evi nanu nga m̃isisarow bbong nga bowrai tevi m̃erel, ‘Nololien som nutlasi tweni pa,’ suri si p̃ilesi poro nuwretun rrek nukrekris kobbong? Ko evi nanu nga m̃iterter kele wor asi ngok nga poro bowra, ‘Kuptur imare kupla milngom ko kupiel van renge naim som e,’ suri jinibb jijle parlesi lelingen poro piplari pirpe nga mowrai ngok. 
MRK.2.10	Ko bololi vajin nanu nga m̃iterter nen, puloli kaprongwose kele nga inu Jinibb Mawos derteren suk otoe renge iel ngatan nga b̃etlasi tweni nololien.” Ko ni owrai tevi m̃er nga devje
MRK.2.10	niben mimij, owra 
MRK.2.11	“Nuwrai tevi nik, Kuptur imare kuplai maling som kupwosi, ko kupiel van renge naim som e.” 
MRK.2.12	Ko ni otur mera kasi ngavilvil, ko owosi maling sen ko evel limjer renge nor evan vare e. Ko nir jijle bbösa elair e, ko arsurövi Atua arwera “Sete pa rramlesi nanu san erpe nga ngel tuwi, ejki rres nawon wor.”
MRK.2.13	Ko Iesu evel olwi kele van renge nuwito ne Galili e. Ko jinibb elep aran ji ni, ko ni evisviseni nir. 
MRK.2.14	Ko renge daron nga mivel asi, ko elesi Livae natu Alpus elik renge naim ne takis nga mok-majing rengen. Ko owrai tevi ni owra “M̃erel, kupini kupvijurik.” Ko ni otur imare kasi ko evijuri ni.
MRK.2.15	Musuw vajin ko vitunen daron nga m̃ilik renge nanen m̃iaan, ko jinibb elep nga marok-la nevöt ne takis, ko jinibb nga marok-loli nololien nga marsij nir nga marwirr twenir arlik tevi, ko jinibb sen kele wor nir, ko nir elep kele wor nga marvijuri. 
MRK.2.16	Ko jinibb ne nevisvisenien ne nale nesesreien nga marivi Parasi sopor arlesi esij ko arlolar e. Ko aran arlesi jinibb se Iesu nir, ko arwor suri Iesu tevir, arwera “Erpese ni aan ko eminmin tevi jinibb nga marok-la nevöt ne takis ko jinibb nga marok-loli nololien nga marsij nir!” 
MRK.2.17	Daron nga Iesu murnge nale ser ngok e ko owrai tevir owra “Nir nga marres sete armerreni dokta, ko nir nga bbong marmesi ko armerreni dokta. Erpok ko, inu sete nuvini tweni beveruse nir nga marok-wera tetajer nga nir lweni marres, ejki, ko nuvini tweni bbong beverus nir nga sete markerkeris, ko marwer limjere nga marsij.”
MRK.2.18	Jon jinibb sen nir ko jinibb se Parasi nir arvil. Ko jinibb sopor arlesi, ko arini ji Iesu ko arwerai tevi, arwera “Suri sev Jon jinibb sen nir ko Parasi nir jinibb ser nir marvil, ko nik jinibb som sete marvil?” 
MRK.2.19	Ko Iesu owrai tevir, owra “Orongwos jinibb nga mutotko selen parvil daron nga m̃ilik malum tevir e? Daron nga m̃ilik malum tevir e, ngok sete arongwos parvil. 
MRK.2.20	Mian ko nabong nen nir para-vini vajin, ko para-tekai tweni jir; ko ngok ko, nir para-runge p̃isij ko para-vil ko renge nabong nen nir.
MRK.2.21	“Ko erpok kele sete jinibb san orongwos p̃ila kalek nga mimerr ko puwol ore lat nga m̃imarrerr e renge sunsun tera, ko p̃ilile ore rengen. Poro pirpok, ko nga mimerr tia-sakuk ko tia-teri kele kalek nga m̃itra, ko tia-loli lat nga m̃imarrerr tia-lep temijpal. 
MRK.2.22	Ko erpok kele, sete jinibb san orongwos pujongjongi norro nga mimerr van renge botel nga m̃itra nga marloli nevlu nanikot e. Poro pirpok, ko norro nga mimerr tut, tuloli nevlu nanikot nga m̃itra tirrerren ko tiap rrerrsi, suri etra p̃elak. Ko norro timejivjiv tisij, ko nevlu nanikot kele tisij. Pirpel ko, norro nga mimerr parlingi ko wor renge nevlu nani nga mimerr mimalum m̃irres.”
MRK.2.23	Mian ko Iesu evel otvi naut ne wit san renge nabong ne Sapat. Eptevi jinibb sen nir, ko jinibb sen nir artipatun arsesri wene wit nir ko arlair arurrurro surseler. 
MRK.2.24	Ko Parasi sopor arlesi, ko arwerai tevi ni, arwera “Kuplesi ta! Nir arloli nanu nga sete mumomsawos renge nabong ne Sapat ko!” 
MRK.2.25	Ko ni owra lweni tevir, owra “Aro, ejki ma, ko rreknga ma kami sete kameve renge Naul On, nanu nga Numal Devet muloli daron nga nanen ser mijkie, numer m̃iaji ni ko nir nga marlik tevi ni? 
MRK.2.26	Ni ean renge Naim On se Atua daron nga Apiata mivi batu jinibb ne sulsulen, ko ela niv nga sete erres renge jinibb nawon parurroi, evi kis bbong se jinibb ne sulsulen ko; ko orroi, ko ni elai kele tevi nir nga marlik tevi ni arurroi kele.” 
MRK.2.27	Ko Iesu ewer oti nale sen vajin tevir, owra “Atua elngi Sapat nga p̃ila se jinibb, sete elngi jinibb nga p̃ila se Sapat, ejki! 
MRK.2.28	Ko niko erpok ko inu Jinibb Mawos nuvi Numal ne Sapat.”
MRK.3.1	Iesu olwi kele evan renge naim ne loten. Ko renge loloim ne loten nen, jinibb san nga nevren m̃ikati elik rengen. 
MRK.3.2	Ko Parasi sopor armeteni suri ni, poro nga ni puloli m̃er nga nevren m̃ikati nen p̃irres renge nabong ne Sapat; ko ngok nir partor sweri sel san nga parevei ni pian re kot suri. 
MRK.3.3	Ko ni owrai tevi m̃er nga nevren devjen m̃ikati nga, owra “Kupini ta iel, kuptur womu iel.” 
MRK.3.4	Ko ni owrai tevi nir, owra “Renge devjen ne nale nesesreien, erres nga parloli nanu nga m̃irres renge nabong ne Sapat? Rrek poro pijki, parloli p̃isij? Erres nga parloli jinibb san p̃irres luwi re nabong ne Sapat? Rrek poro pijki, ko parlokloksi jinibb rrek!” Ko nir armurrong. 
MRK.3.5	Ko Iesu vajin oklu rrale nir jijle nga martur rrale ni, ko ololarsir ko ornge esij, suri nolor eterter elep erpe nevöt. Ko owrai tevi m̃er nga nevren m̃ikati, owra “Kup̃ete ta nevrem pimetet.” Ko ni ete nevren emetet erres luwi. 
MRK.3.6	Ko Parasi nen nir arivare vini vare e, ko arsaro ngavilvilsen aran arkorti tevi jinibb se Erot nir. Ewretun Parasi nir ko jinibb se Erot nir tetajer orok-lololarsi lweni nuru, ko arlik lat sansan vajin, ko arsupsup̃e suri parevji pini Iesu pirpese.
MRK.3.7+MRK.3.8	Iesu eptevi jinibb sen nir, arjubbul luwi kele van renge nuwito ne Galili e ngalu. Ko delung nga delung nga milep nga marunge nanu nga marlelep nga ni mok-lolir arinini jin ko arvijuri, nir ne Galili ko nir ne Jutia ko nir ne Jerusalem ko nir ne Itumia, ko nir ne devjen nga muto roroni van Jortan e, ko rrale Taea ko Saeton. 
MRK.3.9	Ko Iesu owrai tevi jinibb sen nir nga parwer totoni ngarr drrav san puto terai ni, suri delung elep p̃elak, ko tarlilji ni. 
MRK.3.10	Ko ni ololi nir elep pa arres luwi, ko niko nir elep nga marmesi artontonir parini mori arlilji Iesu, arwera parjipari. 
MRK.3.11	Ko nem̃in nga marsij nir, daron nga marlesi ni e ko arwajenir van ngatan renge non, ko arkail van mare arwera “Nik kuvi Atua Natun!” 
MRK.3.12	Ko ni otortorir, ko ewer orer eterter nga sete parwowra tweni ni tevi jinibb nir parongwose, pijki.
MRK.3.13	Mian ko Iesu otongsa tevi jinibb sen p̃etp̃eti nir van renge botwen nga muwu mare milep san. Ko renge marongen se ni, ni everus nir esngavöl drromon eru (12) arini mori jin, ko otobbtobbue nir. 
MRK.3.14	Ko ni everuse nir arwaji aposol, nga parok-pitevi ni, ko ngok pok-konir parok-an parok-werwer. 
MRK.3.15	Ela derteren tevir nga parok-oji tweni nem̃in nga marsij nir nga marok-sisilvi jinibb nir parivare. 
MRK.3.16	Jinibb nen nir niser le ngel: Saemon nga ni m̃ilngi kele nisen san miwajie Pita, 
MRK.3.17	ko Jemes nga Sepeti natun, ko tasin wor Jon, nga ni m̃ilngi kele nise nuru morwajie Boanejes, nga muwra puwra natu belver (suri orivi jinibb nga morok-verver). 
MRK.3.18	Ko Antru ko Pilip ko Bartolemu ko Matiu ko Tomas ko Jemes nga natu Alpus ko Tateas ko Saemon ne Selote (ngok evi pati se lartul nga marmerreni parwirre m̃eri Rom nir), 
MRK.3.19	ko Jutas ne Iskariot nga vitunen pia-tekai kerasi Iesu van renge mijen.
MRK.3.20	Iesu olwi kele vini renge naim se Pita e. Ko delung elep kele arini korti kele jin, ko ngok ololi setete daron ser otoe, erpok kele re daron ne nanen kele. 
MRK.3.21	Ko metka sen arunge, ko arivel tweni parlesi lweni ni; suri jinibb sopor arwera ni elengleng.
MRK.3.22	Ko jinibb ne nevisvisenien ne nale nesesreien sopor arivel renge Jerusalem e vini, ko arwera “Belsipa ko, numal se demij nir, ok-pitpitevi ni nga mok-oji tweni nem̃in nga marsij marok-ivare ngok.” 
MRK.3.23	Ko ni everus nir arini jin mori, ko ni owra nale rrongrrongvi sopor tevir, owra “Demij puoji lweni ni pirpese? 
MRK.3.24	Ko poro batun vanu san p̃iteri wukari p̃ieru e, ko pulolarsi lweni, ko p̃itre lweni, batun vanu nen setete mia-tur! 
MRK.3.25	Ko poro metka san p̃iteri wukari p̃ieru e ko pulolarsi lweni, ko p̃itre lweni, metka nen sete orongwos p̃ilik p̃irres. 
MRK.3.26	Ko erpok kele, sete Demij orongwos putur imare p̃itre lweni ni lweni ko p̃iteri wukari p̃ieru e pirpe nga kami kamwerai ngok, suri poro puloli pirpok, ko sete orongwos putur te, suri evan pa renge bongsin ko osuw. 
MRK.3.27	Ko erpel ma le: sete jinibb san orongwose pian renge naim se jinibb nga derteren sen mutoe san, ko pulokloksi joron, ejki. Womujnen ni p̃ila dil ko p̃isre totoni m̃er nga derteren sen mutoe ngok ko wor, ko ngok orongwos pia-lokloksi joro m̃ernen ko vajin. Niko inu nuloli tevi Demij renge derteren se Nem̃in On ko. 
