MAT.1.1	Allaya listaan cha lampeɏpuwan Jesu Kristu un galak Ari David ya galak bo Abraham. 
LUK.18.30	ad-achu maatod kan siya si katattagula lu hachiʼn tilelala ya maatod kan siya biyeg un mallalayun.”
LUK.18.31	Ot intalin Jesus cha disipuluslaʼn lasawaɏan si chuwa, ot kalala kan chicha, “Chongɏonyu! Alla pun un intakuʼd Jerusalem, siya mipatungpaɏan cha losan un inggilin cha propeta mipanggop kan Sakon un Alak chi Tagu. 
LUK.18.32	Ti mipuɏangak kan cha Gentil ked pin-acha sakon am-amsiwon, mangig-iggaan si ugud ya tuptuppaan. 
LUK.18.33	Sapsaplitancha ya patoyoncha sakon. Ngim si mikatluʼn eɏgew, umuliyak matagu.”
LUK.18.34	Ngim achipun cha disipulusla laawatan chi ilug-uggudla, ti lailimod chi piolaʼn ibyega ya achipun cha ammu lu silu ilugudla.
LUK.18.35	Alla pun un michuum cha Jesus ud Jerico, illinggew chi osaʼn lakuɏap un ummaammuy si igid chi kesa un mampampalimus. 
LUK.18.36	Chingngeɏla ked cha amod un taguʼn lumaus, ilimusla, “Simma lait?” 
LUK.18.37	Kalancha kan siya, “Lumaus si Jesus un iNazareth.”
LUK.18.38	Illipkawla, “Jesus un galak David! Kacheguwalak u!”
LUK.18.39	Ked cha tagu un lamangpangu, ilomeɏancha siya ta gumilok, ngim ilam-amodla chilakeɏ pakuyla un kalala, “Galak David, kacheguwalak u!”
LUK.18.40	Ummillong si Jesus ot impaayegla hachiʼn lakuɏap. Ummachali pun, ilimus Jesus kan siya, 
LUK.18.41	“Simma piom un kook kan sika?” Kalala, “Apu, piok un makatullong.”
LUK.18.42	Ot kalan Jesus kan siya, “Makatullongka! Gapu si pammatim kan sakon, lummin-awaka.” 
LUK.18.43	Ot kakma lakatullong ot litun-ud kan Jesus un chilaychayawla si Apudyus. Intullong pun cha tagu, chilaychayaw cha bo losan si Apudyus.
LUK.19.1	Langoy si Jesus ud Jerico. 
LUK.19.2	Inggew chi osaʼn byaklang un leɏakiʼn mangngachen Zacchaeus, siya ap-apun cha manchachagup si bugis. 
LUK.19.3	Piolaʼn itullong lu silu si Jesus ngim achipunla mitullong ti amod cha tagu ya mansokbya siya. 
LUK.19.4	Ot ummun-ula lalodchak ot summakay si kayun sycamore ta itullongla si Jesus lu lumaus.
LUK.19.5	Lichuum pun si Jesus si hachiʼn kayu, lantanged ot kalala, “Zacchaeus, Chesom lumogsedka ti umaliyak chumuung uwayu si salaʼn eɏgew.”
LUK.19.6	Langkamkammu si Zacchaeus un lummogsed ot amod chi galaslaʼn lammangili kan Jesus. 
LUK.19.7	Ngim losan cha taguʼn langitullong, sin-iingokcha un kalancha, “Puggey mampamangili taguʼn halat si osaʼn malagbyasuɏ?”
LUK.19.8	Summiked si Zacchaeus ot kalala kan Apu Jesus si sangwalan cha tagu, “Apu, idchok chi godwan chi kukkuwak kan cha kapus ked lu awed iluyungak si tagu, mangampatok byayachen kan siya.”
LUK.19.9	Kalan Jesus kan siya, “Si salaʼn eɏgew taguwon Apudyus sika ya cha kabyeɏoylu, ti sika bo galak Abraham. 
LUK.19.10	Ti Sakon un Alak chi Tagu, ummaliyak utla pita ta singtok cha malagbyasuɏ ta taguwok chicha.”
LUK.19.11	Chingngeɏn ked cha tagu imbyegan Jesus, intuɏuyla lan-alig ti ummachaliʼd Jerusalem ya kalan pun cha tagu lu chanchali mallugiyan chi Mampangatan Apudyus. 
LUK.19.12	Kalala, “Illinggew chi osaʼn taguʼn langatu saedla un ummoyla ilawat chi kila-Arila si adchayuwan un ili ot langulin. 
LUK.19.13	Sakbyey un umoyon, ilayagela cha simpuɏuʼn bubùulola ot lan-atod kan chicha si sin-ossan bilalituk un pilak ot kalala kan chicha, ‘Paachuwonyu allaʼn pilak inggala mangulilak.’
LUK.19.14	“Ngim mansasanga cha kailiyala kan siya ot lambuuncha si misagulud kan siya umoy mangibyega un, ‘Achipunmi pion siya un man-arimi.’
LUK.19.15	“Ngim lachutukan un Ari ot langulin. Ot impaayegla cha bubùulolaʼn langidchela si pilak ta agammuwola lu piga lagalansiyacha. 
LUK.19.16	Ha ummula ummoy kan siya, kalala, ‘Apu, simpuɏu galansiyak si pilaklu.’ 
LUK.19.17	Ot kalan chi Ari, ‘Gettok un bibiɏukaʼn bubùulon. Gapu ta bibiɏu kingwam si laatod kan sika ulay akit, ipaiturayku kan sika simpuɏuʼn ili.’
LUK.19.18	“Ummoy bo mikadwa, un kalala, ‘Apu, lima galansiyak si pilaklu.’ 
LUK.19.19	Kalan chi Ari, ‘Ipaiturayku kan sika limaʼn ili.’
LUK.19.20	“Ot ummoy chi osa un kalala, ‘Apu, alliya pilaklu. Bilussungku si pangyu ot inteponku. 
LUK.19.21	Ti ummogyatak kan sika, ti leyanggaska, mangkuwam chi chakampun si kilawachim ya apitom bo chakampun si immuɏam.’ 
LUK.19.22	Ot kalan chi Ari kan siya, ‘Lawwikkaʼn bubùulon! Ha ilugudlu siya chi manguis mamabyasuɏ kan sika. Ammum un leɏanggasak un mangkuwak chi chakampun si kilawachik ya apitok chi chakampun si immuɏak. 
LUK.19.23	Puggey achi inchipusitu si bangku pilakku ta awed otyan paalaklà magalebku lu mangulilak?’
LUK.19.24	“Oli pun kalala kan cha lasikesiked, ‘Aɏanyu pilak kan siya ked idchonyu si bubùulon un simpuɏu pilakla.’
LUK.19.25	“Ngim kalancha kan siya, ‘Apu, simpuɏu mit chi awed kan siya!’
LUK.19.26	“Ot kalala, ‘Ibyegak kan chikayu, ha taguʼn mapiyeɏ, machogchog-an chi maatod kan siya. Ngim ha taguʼn achipun mapiyeɏ, makaan ulay akit un awed kan siya. 
LUK.19.27	Ngim cha kabusuɏk un mangissan kan sakon un man-ari kan chicha, igetongyu chicha utla ya patoyonyu chicha si sangwalak.’ ”
LUK.19.28	Lagamput pun Jesus imbyega alla, ummun-ula ummoy ud Jerusalem. 
LUK.19.29	Ummachali cha pun ud Bethphage ya Bethany, si bilig Olivo pilaulala cha chuwaʼn disipulusla, 
LUK.19.30	un kalala, “Umula kayu si anchiyan iliʼd chomang ked lu gumatong kayu, ochesanyu lipupungod un ayyubun chi changki un chaampun makabyayuwan. Ukasanyu ya inggetongyu utla. 
LUK.19.31	Lu awed mangimus kan chikayu, ‘Payuggey ukasan?’ Ibyegayu un, ‘Masapuɏn chi Apumi.’ ”
LUK.19.32	Ot ummoy cha libuun ot inchesancha losan un imbyegan Jesus. 
LUK.19.33	Ot ilukasan cha pu lipupungod un ayyubun chi changki, kalan chi singkuwa kan chicha, “Payuggey ukasan?”
LUK.19.34	Ot kalancha, “Masapuɏ chi Apumi.” 
LUK.19.35	Ot intallaycha illiyoy kan Jesus. Oli pun inyaplegcha silupcha si ochog chi changki ot langabyayuwoncha si Jesus. 
LUK.19.36	Umoyo-oyon pu changki un langakabbyayuwan Jesus, lan-iyapleg cha tagu kan cha silupcha si kesa un ayola.
LUK.19.37	Ummachali pun siya ud Jerusalem, si kesa un man-osog umoy ud Bilig Olivo, lanchaychayaw cha losan un disipulus kan Apudyus un lan-ichakeɏcha gapu si lakaskaschaaw un intullongchaʼn killingwan Jesus. 
LUK.19.38	Ot kalancha, “Chayawon taku allaʼn Ari taku un lampeɏpu kan Apudyus!
LUK.19.39	Kalan cha uchum un Pariseo un likakammos kan cha amod un tagu kan Jesus, “Mistulu, pagingkom cha disipuluslu.”
LUK.19.40	Ot silongbyatan Jesus chicha, “Ibyegak kan chikayu, lu gumilokcha, mampakuy cha allaʼn byetu un manchayaw kan sakon.”
LUK.19.41	Ummachali pun si Jesus ud Jerusalem, intullongla siudad, lan-ibin gapu si chegula. 
LUK.19.42	Kalala, “Chikayuʼn iJerusalem, maammuwanyu otyan un si salaʼn eɏgew chi kasapuɏanyuʼn makatimpuyug kan Apudyus. Ngim si sala lailimod kan chikayu. 
LUK.19.43	Chumtong chi timpu un kalliguwon chikayu kan cha kabusuɏyu, sonchon chikayu ya lipiton chikayu ta lappun in-ilonyuʼn umawid. 
LUK.19.44	Amiloncha yam-alon chi iliyu ya losan un taguʼn inggew. Amiloncha iwakat cha byetu ta lappun matelan si igewla, ti achipunyu biligbig chi timpuʼn umaliyan Apudyus malaguwan kan chikayu!”
LUK.19.45	Oli pun ummoy si Jesus si templo ot illugilaʼn lampeɏyaw kan cha mallalakuʼn inggew. 
LUK.19.46	Kalala kan chicha, “Liigili si ugud Apudyus un, ‘Ha byeɏoyku mauseɏn malluwaluwan cha tagu.’ Ngim lambyalilonyu tataɏɏuwan cha akkawan!”
LUK.19.47	Ileɏgew un umoy mantudtuchù Jesus si templo. Ngim cha ap-apun cha papachi ya mimistulun chi lintog ya cha papangat cha tagu pionchaʼn otoyon siya. 
LUK.19.48	Ngim lappun in-ilonchaʼn mangtoy kan siya, ti losan cha tagu chochongɏoncha uguchola.
LUK.20.1	Osaʼn eɏgew pin-a mantudtuchu si Jesus kan cha tagu si templo ya ibyegbyegala Bibiɏuʼn Chameg. Ummoy kan siya cha ap-apun cha papachi ya cha mimistulun chi lintog ya cha pallakayon cha Judio. 
LUK.20.2	Kalancha kan siya, “Ibyegam u kan chikami lu simma kalobbongam un mangwa kan cha laoy? Silu langatod si allaʼn kalobbongam?”
LUK.20.3	Silongbyatan Jesus chicha, “Imusok bo kan chikayu. Ibyegayu kan sakon, 
LUK.20.4	chilu lampeɏpuwan chi kalobbongan John un mambunyeg? Leɏpu kan Apudyus willu tagu?”
LUK.20.5	Ot lan-is-isikancha un kalancha, “Simma ibyega taku? Lu kalan takuʼn, ‘Leɏpu kan Apudyus,’ kalala bo, ‘Payuggey achi pilati si John lù?’ 
LUK.20.6	Ngim lu kalan takuʼn, ‘Leɏpud chi tagu,’ bintukon chitaku kan cha taguʼn alla, ti mamati cha losan un propetan Apudyus si John.”
LUK.20.7	Ot summongbyatcha, “Toan, lappun ammumi lu silu langatod si kalobbongala.”
LUK.20.8	Ot kalan Jesus kan chicha, “Achipunku bo ibyega kan chikayu lu silu langatod si kalobbongak un mangwa kan cha laoy.”
LUK.20.9	Oli pun lan-alig si Jesus kan cha tagu, kalala, “Inggew chi osaʼn taguʼn lammuɏà grapes. Ot impatangkonla ot ummoy si sabyaliʼn ili ot labyeyeg udchi. 
LUK.20.10	Gummatong pu timpun chi man-aapit, imbuunla osaʼn bubùulola un umoy mangaɏa si buwala. Ngim cha lantangkon chilokmaancha hachiʼn bubùulola ot bilokbokcha siya ot pileɏyawcha un lappun illidchoncha. 
LUK.20.11	Ot kasinla imbuun chi osaʼn bubùulola, ngim isula bo kingwacha, pilang-okcha ya kingwacha kabibìilan kan siya, ot pilaoyoncha un lappun illidchoncha. 
LUK.20.12	Lambuun bo kasin chi singkuwa si mikatlu ot bilakegcha siya ot ibyellucha si lasin chi limuɏaʼn grapes.
LUK.20.13	“Ot kalan chi singkuwa, ‘Simma ga kook? Ibuunku alakkuʼn tagtagopok ta sigulachuʼn mabiincha kan siya.’
LUK.20.14	“Ngim intullong pun cha lantangkon siya, kalancha kacha osa, ‘Allaya sinlaksun si allaʼn pita. Patoyon taku siya ta mangkuwa taku laksunla.’ 
LUK.20.15	Ot impalawacha siya si lasin chi limuɏaʼn grapes ot pilatoycha.”
LUK.20.15	Ilimus Jesus, “Simma koon chi singkuwa si limuɏaʼn grapes kan cha hachiʼn lantangkon? 
LUK.20.16	Umoyla patoyon cha hachiʼn lantangkon ked impatangkonla pitala kan cha uchum.”
LUK.20.16	Chingngeɏn pun cha tagu hachi, kalancha, “Achipun otyan makwa kamatchi!”
LUK.20.17	Intutullong Jesus chicha ot kalala, “Simma pion chi ugud Apudyus un ibyega,
LUK.20.17	‘Ha byetuʼn illissan cha lampaud ti kalanchaʼn lappun simbila,
LUK.20.17	siya lambyalilon Apudyus un kapotogen un byetuʼn mangimpon-ed
LUK.20.17	un misaachen chi byeɏoy.’
LUK.20.18	“Lu silu maodcheg si hachiʼn byetu, maliplip-uk, ked lu awed maodchagen chi hachiʼn byetu, mamokmok ked tumapuk.”
LUK.20.19	Si chingngeɏn cha mimistulun chi lintog ya cha ap-apun cha papachi, pionchaʼn chokmaan si Jesus si hachiʼn uras ti ammuchaʼn chicha imbyegbyegan Jesus. Ngim achipuncha kingwa ti umogyatcha kan cha tagu. 
LUK.20.20	Ot lan-uwaycha si mawayaanchaʼn malokma kan Jesus. Pilasuksukancha cha uchum un leɏaki ot imbuuncha taplu aginchochongeɏcha kan Jesus. Pionchaʼn sikapan si Jesus si im-imuscha ta awed lasuncha un mangichiɏum ya mangipuɏang kan siya si turay ya kalobbongan chi gubillachuɏ. 
LUK.20.21	Ummoycha kan Jesus ot kalancha, “Mistulu, ammumiʼn ustu-ustu cha pin-am ug-ugguchon ya itudtuchu. Ya ammumi boʼn lappun laksigom si tagu ya itudtuchum chi katuttuwaan mipanggop si pion Apudyus kan cha tagu. 
LUK.20.22	Ibyegam u kan chikami lu sumupling si lintog taku lu mambugis taku si Emperador ud Rome, willu achipun?”
LUK.20.23	Ngim ammun Jesus un pionchaʼn sikapan siya ot kalala kan chicha, 
LUK.20.24	“Ipailayu u osa un palata. Silu sinlupa ya singngachen si allaʼn liigili?”
LUK.20.24	Ot kalancha, “Si Emperador Caesar.”
LUK.20.25	Kalan Jesus kan chicha, “Lu katlat, idchonyu kan Emperador Caesar chi uwala, ya idchonyu bo kan Apudyus chi uwan Apudyus.”
LUK.20.26	Achipuncha masikapan siya si sangwalan cha tagu, gummigillokcha ot laschaawcha si insongbyatla.
LUK.20.27	Ummoy cha uchum un Saduceo kan Jesus, chicha achipun mamati un umuli matagu cha latoy. Ot ilimuscha kan siya, 
LUK.20.28	“Mistulu, inggilin Moses allaʼn lintog kan chitaku: ‘Lu latoy chi osaʼn leɏaki ya telala asawala un lappun alakcha, masapuɏʼn asaw-on chi suludla hachiʼn labyaɏu ta umalakcha un mibilang si alak chi hachiʼn latoy.’
LUK.20.29	Inggew cha pituʼn lelleɏakiʼn mansusulud. Langasawa panguɏu ot latoy un lappun alakcha. 
LUK.20.30	Ot ilasawan chi mikadwaʼn suludla chi labyaɏu, ot latoy bo un lappun alakcha. 
LUK.20.31	Katchi bo kumatlu. Katchi killingwan cha pituʼn mansusulud ot latoy cha losan un lappun alakcha. 
LUK.20.32	Ked ha alungusla, latoy bo byebyai. 
LUK.20.33	Lu umuli kasin matagu cha latoy, silu ustuʼn sin-asawa si byebyai? Ti losanchaʼn pitu ilasawa siya.”
LUK.20.34	Kalan Jesus kan chicha, “Cha tagu utla pita si salaʼn timpu man-as-asawacha. 
LUK.20.35	Ngim cha taguʼn ibilang Apudyus un awed kalobbonganchaʼn umuli matagu, un umoy ud langit, achipuncha man-as-asawa. 
LUK.20.36	Ti isucha cha angheles un achipun matoy si ing-inggala. Chicha alak Apudyus ti latagucha kasin.
LUK.20.37	“Ked pilaloklokan Moses un umuli matagu cha latoy. Ha ugud Apudyus liigili mipanggop si umapu-apuy un kayu, kalala, si Apudyus, siya Apudyus cha Abraham, Isaac ya Jacob.
LUK.20.38	Siya ked Apudyus cha latattagu, chakampun si Apudyus cha latoy, ti latattagu losan cha tagu kan siya.”
LUK.20.39	Kalan cha uchum un mimistulun chi lintog, “Apu, bibiɏu songbyatlu.” 
LUK.20.40	Ti achipuncha makaiteɏod un makaim-imus kan siya.
LUK.20.41	Oli pun ilimus Jesus kan chicha, “Pachaggey ibyegan ha Kristu ked galak David? 
LUK.20.42	Si David inggilila si libluʼn Psalm un kalala,
LUK.20.42	‘Si Apudyus un Apu, kalala kan Apuk: Umamuyka si machuwalanku
LUK.20.43	inggala ipaabyakku cha losan un kabusuɏm.’ ”
LUK.20.44	“Lu Apu, kalan David kan Kristu, himma ilolaʼn galak David siya?”
LUK.20.45	Si lanchochongngeɏ cha tagu, kalan Jesus kan cha disipulusla, 
LUK.20.46	“Allechenyu cha mimistulun chi lintog, ti pipionchaʼn iliklikwos chi anchu-anchuʼn silupcha ya memeɏyedchaʼn chaychayawon cha tagu chicha si mekit. Ya piliyancha boʼn umamuy si kapopotgen un tugew si sinagoga ya pionchaʼn chicha machaychayaw lu awed piyasta. 
LUK.20.47	Uyu-uyungancha cha labyaɏu piga lu akawoncha cha kukkuwacha, ked ipailacha un malluwalucha si anchu-anchu ta maleincha kan cha kokkooncha. Gapu si hachi, amod chi machusaancha.”
LUK.21.1	Lanlangɏanga ked si Jesus, intullongla cha byabyaklang un langitup-ung si pilak si igew chi pilak si templo. 
LUK.21.2	Ya intullongla bo kapus un labyaɏun langitup-ung si chuwaʼn siping. 
LUK.21.3	Ot kalala, “Tuttuwa ibyegak kan chikayu un ad-achu chi intup-ung chi allaʼn kapus un labyaɏu lu cha intup-ung cha uchum. 
LUK.21.4	Ti cha uchum, siya illidchoncha saweɏn chi kilabyaklangcha. Ngim ha allaʼn labyaɏu, ulay kapus, illidchola losan cha awed un ikatagula.”
LUK.21.5	Ilug-uggud cha uchum un disipulus Jesus chi mipanggop si kilabiɏun chi templo, ti mangkakapotog un byetu ya achu cha lichatchatun kan Apudyus si hachi. Ot kalan Jesus, 
LUK.21.6	“Losan cha allaʼn mailayu, chumtong chi timpu un maamin mikusob, ked lappun matelan ulay osaʼn byetu si sigud un igewla.”
LUK.21.7	Ot ilimus cha disipulusla, “Mistulu, kam-amman chi makwaan cha alla? Ked simma mangilasilan un chumtong chi timpu un makwaan cha laoy?”
LUK.21.8	Kalan Jesus, “Man-alled kayu ta achi kayu maallilaw. Ti achu cha umaliʼn useɏoncha ngachenku un kalancha, ‘Sakon si Kristu.’ Ya kalancha bo, ‘Chanchali timpula!’ Ngim achi kayu mikama kan chicha. 
LUK.21.9	Ked achi kayu umogyat lu chongɏonyu cha manggugubyat kan cha gilogongot. Ti masapuɏ un umun-ula makwa cha laoy, ngim chakampun un piolaʼn uguchon chanchali alungus chi lubung.”
LUK.21.10	Ot intuɏuyla imbyega, “Manggugubyat cha nasyun, ya manggugubyat bo cha iturayan cha Ari. 
LUK.21.11	Lumoswa amod un chita, uɏat ya pisti kan cha kaili-ili. Ked awed bo kaog-ogyat ya lakaskaschaaw un sinyeɏ un mampeɏpuʼd langit.
LUK.21.12	“Ngim sakbyey un makwa cha laoy, manchokmacha kan chikayu ya paligatan chikayu. Ichiɏum chikayu si sinagoga ked ibyaɏud chikayu. Gapu si pammatiyu kan sakon, sumeɏyaon chikayu kan cha Ari ya cha gubillachuɏ. 
LUK.21.13	Ked hachi wayayuʼn mangibyega si Bibiɏuʼn Chameg kan chicha. 
LUK.21.14	Ipaslokyu si somsomokyu si sala ta achi kayu machalagen lu silu isongbyatyu lu chumtong chi hachiʼn timpu. 
LUK.21.15	Ti sakon chi mangatod kan chikayu si ibyegayu ya laingyu un achipun chi kabusuɏyu masongbyatan. 
LUK.21.16	Ngim si hachiʼn timpu, ulay cha chachakkeɏyu ya susuludyu ya aaggiyu ya bubuɏunyu iyibit chikayu. Ya cha uchum kan chikayu, mapatoy. 
LUK.21.17	Ked lawingon chikayu kan cha losan un tagu gapu kan sakon. 
LUK.21.18	Ngim lappun ulay osa kan chikayu ya buukyu un mataɏak. 
LUK.21.19	Ked ipapatiyu cha pammatiyu, ta matagu kayu kan Apudyus ing-inggala.”
LUK.21.20	Ot intuɏuy Jesus kalan un, “Lu itullongyuʼn lanliklub cha achuʼn suɏchachuʼd Jerusalem, siya mangagammuwanyuʼn chanchali mayam-alala. 
LUK.21.21	Ked cha inggew ud Judea, masapuɏʼn umawidcha si bibbilig. Cha inggew ud Jerusalem, masapuɏʼn mambyakwitcha. Ya cha inggew si tattaɏun, achipuncha mangulin si ili. 
LUK.21.22	Ti hachi timpu un malusaan Apudyus si losan ta matungpaɏan chi losan un liigili si ugud Apudyus. 
LUK.21.23	Kadchegu cha mabugi ya mantagibi si hachiʼn timpu. Ti chumtong chi kaog-ogyat un makwa si allaʼn pita, ya chusaon Apudyus cha allaʼn tagu. 
LUK.21.24	Mapatoy cha uchum si sabli ya mipooy cha uchum si achayu un ili mibyaɏud. Ked gusguschen cha Gentil ud Jerusalem, inggala mampatinggad chi manturayancha.”
LUK.21.25	“Awed chi kaog-ogyat un makwa si ilit, seɏeg ya cha bituwon.
LUK.21.26	Mengat cha tagu si ogyatchaʼn manguuway lu silu makwa si allaʼn lubung, ti lappun kapuutan cha losan un mailaʼd langit. 
LUK.21.27	Ked mampaila chi Alak chi Tagu un umali si libuu ya maila bo kilabyelinku ya lumilalilang chi kila-Apudyusku. 
LUK.21.28	Lu mallugi cha allaʼn makwa, isikedyu cha pammatiyu ya pakoscheɏonyu cha somsomokyu ti chanchali malaguwan Apudyus kan chikayu.”
LUK.21.29	Oli pun lan-alig si Jesus kan chicha. Kalala, “Somsomkonyu ked chi kayu un igus ya losan un uchum un kayu. 
LUK.21.30	Lu lugiyalan sumimit cha utela, tagammuyu un chanchali chegun. 
LUK.21.31	Isula bo, lu mailayu un makwa cha allaʼn ilugudku, ammuyu un chanchali Mampangatan Apudyus.
LUK.21.32	“Tuttuwa ibyegak kan chikayu, sissiyan matattagu cha uchum un tagu si salaʼn
LUK.21.33	Maumas chi langit ya pita, ngim ha ugudku achipun pulus maumas.”
LUK.21.34	Intuɏuy Jesus un kalala, “Man-alled kayu ta achi kayu mikama si leɏabos un laglagsak, kakan ya in-ilum ya achi kayu paat manchaleg si kasapuɏan si biyeg. Ti magalatong chi halat un eɏgew ked achipun kayu lakasagala. 
LUK.21.35	Ti ha mangulilak, lappun makaammu si losan un tagu si allaʼn pita ti isun chi attob. 
LUK.21.36	Ammanyu tanchaalan ya pasigyu ilulluwalu kan Apudyus ta pakoscheɏola somsomokyu ta maalusanyu cha losan un makwa, ya bibiɏu sumanguwanyu kan Sakon un Alak chi Tagu.”
LUK.21.37	Ileɏgew un lantudtuchu si Jesus si templo, ked lu lumaschom umoy umiyan ud Bilig Olivo. 
LUK.21.38	Ya biligbigat un umoy cha tagu si templo ta manchongeɏcha si itudtuchula.
LUK.22.1	Ot chanchali timpun chi Piyastaʼn Lallausan un siya mangalancha si tilapay un lappun yeastla. 
LUK.22.2	Mansingi-singit cha ap-apun cha papachi ya mimistulun chi lintog, si in-ilonchaʼn mamatoy kan Jesus un lappun mangagammu, ti ummogyatcha kan cha tagu.
LUK.22.3	Oli pun lilumlok si Satalas kan Judas un ngadlon cha Iscariot, osa kan cha simpuɏu ya chuwaʼn disipulus Jesus. 
LUK.22.4	Ummoy Judas intuɏeg kan cha ap-apun cha papachi ya cha kapitan chi guwechan chi templo lu silu in-ilolaʼn mangiyibit kan Jesus. 
LUK.22.5	Latetteɏokcha ot lantutuyegchaʼn byayachencha siya. 
LUK.22.6	Inteun Judas ot lugiyalaʼn mansingit si wayalaʼn mangiyibit kan Jesus un achipun cha tagu maammuwan.
LUK.22.7	Laeɏgewan ked, gummatong chi eɏgew un piyastan mangalan cha Judio si tilapay un lappun yeastla. Siya bo mampeɏtiyancha si ayyubun chi keɏlilu un maichatun si Piyastaʼn Lallausan. 
LUK.22.8	Ot imbuun Jesus cha Peter kan John, un kalala, “Ingkayu iyala mangalan taku si salaʼn Piyastan Lallausan.”
LUK.22.9	Ilimuscha kan siya, “Udma ingkami mangiyalaan?”
LUK.22.10	Ot kalala kan chicha, “Lu lumlok kayuʼd Jerusalem, abtonyu osaʼn leɏaki un mambubukud si maaammutuʼn chelum. Tun-uchonyu siya si byeɏoy un ayala. 
LUK.22.11	Ibyegayu si simbyeɏoy, ‘Kalan chi Mistulu, udma awechen chi kuwetun mangalanmi kan cha disipulusku si allaʼn Piyastaʼn Lallausan?’ 
LUK.22.12	Ked ipailala chakeɏʼn langingngatuʼn kuwetu ya wechewed cha losan un masapuɏ. Udchi mangisagalaanyu si mangalan taku.”
LUK.22.13	Ot ummoycha ot inchesancha losan un imbyegan Jesus kan chicha, ot inyalacha mangalancha si Piyastaʼn Lallausan.
LUK.22.14	Gummatong pu ustuʼn uras, lakaamuy si Jesus kan cha disipulusla un mangan. 
LUK.22.15	Ot kalala kan chicha, “Piok gey un makakan kan chikayu si allaʼn Piyastaʼn Lallausan sakbyey un malligatak. 
LUK.22.16	Ti ibyegak kan chikayu un achipulak kasin makakan si Piyastaʼn Lallausan inggala matungpeɏ miyaligela ud langit chi Mampangatan Apudyus.”
LUK.22.17	Oli pun illaɏan Jesus chi sintasaʼn byeyas ot lanyaman kan Apudyus ot kalala, “Aɏanyu alla ked mambyenbyensanyu ilumon. 
LUK.22.18	Ti ibyegak kan chikayu, malipud si salaoy chakpun umilum kasin si byeyas inggala gumatong chi Mampangatan Apudyus.”
LUK.22.19	Ot illaɏala bo tilapay ot lanyaman kan Apudyus, ot pilispis-igla ot illidchola kan chicha, un kalala, “Allaya long-egku un michatun para kan chikayu. Koonyu alla ta malomsomkanyu kan sakon.”
LUK.22.20	Lagamputcha pun langan, illaɏala sintasaʼn byeyas un kalala, “Ha allan byeyas, siya barun tuɏeg Apudyus kan chikayu, un lameɏkaan si chaɏak, un mibukbuk para kan chikayu.
LUK.22.21	“Ngim itullongyu! Awed utla kan chitaku chi osaʼn mangiyibit kan sakon.
LUK.22.22	Matoy chi Alak chi Tagu ti siya ingkodchong Apudyus, ngim kadchegu chi taguʼn mangiyibit kan siya!” 
LUK.22.23	Oli pun lan-asi-imuscha lu silu kan chicha chi mangwa si katchi.
LUK.22.24	Lansusubog cha disipulus Jesus lu silu kan chicha mibilang un kangatuwan. 
LUK.22.25	Ot kalan Jesus kan chicha, “Cha turay utla pita, amod chi mammamanchecha kan cha iturayancha. Ked alla kalobbongancha kan chicha ked ichayawcha long-egcha un chicha kalu ga tumuɏutuɏung kan cha tagu. 
LUK.22.26	Ngim chakampun otyan si kamatchi kan chikayu, ti lu silu piolaʼn langatu kan chikayu, masapuɏʼn ipakumbyabyala long-egla un isun chi kabyabyaan un bubùulon. Ked ha pangat kan chikayu, masapuɏʼn mambyalin isun chi kabyabyaan un bubùulon. 
LUK.22.27	Silu langatngatu si kasomsomkanyu, ha umamuy mangan si lamisaan willu ha mansimbi kan siya? Ha summangun mangan? Ngim sakon, awechak kan chikayu un isun chi mansimbi.
LUK.22.28	“Bubuɏun, tuttuwaʼn ilan-alusanyu cha ligligatku. 
LUK.22.29	Isun chi langidchen Amak kan sakon si kalobbongak un manturay, katchi bo mangidchek kan chikayu si kalobbonganyuʼn manturay. 
LUK.22.30	Ta makakan kayu ya makailum kayu kan sakon si manturayak, ked umamuy kayu un mangituray kan cha simpuɏu ya chuwaʼn tribun Israel.”
LUK.22.31	Oli pun kalan Jesus kan Peter, “Simon, Simon, Chongɏom ked! Chilawat Satalas chi wayala un mamachas kan chikayu losan, ta itullongla lu silu masagat kan chikayu un isun chi mantopa si pagoy ta matan-in chi chugi ya bilayu. 
LUK.22.32	Ngim iluwaluwak sika, Simon, ta achipun maabyak chi pammatim kan sakon. Ked lu kasinka mansagung kan sakon, pakoscheɏom chi pammatin cha bubuɏunlu.”
LUK.22.33	Ngim kalan Peter, “Apu, sisasagalaak un mibyaɏud ya makakatoy kan sika.”
LUK.22.34	Kalan Jesus, “Ibyegak kan sika, Peter, sakbyey un malullakuk chi kawitan si salaʼn labi, mamitluwom sakon puklitan.”
LUK.22.35	Oli pun kalan Jesus kan cha disipulusla, “Si langibuulak kan chikayu un lappun inyawityu si pilak, pasiking ya sancheɏyu, awed kamman langkuɏanganyu?”
LUK.22.35	Kalancha, “Lappun.” 
LUK.22.36	Ngim si sala, kalan Jesus, “Lu silu awed pilakla masapuɏʼn iyawitla, ya masapuɏʼn mampasiking bo. Ked lu silu lappun pachinla, ingilala silupla ya ngummilà pachinla. 
LUK.22.37	Ti ibyegak kan chikayu un masapuɏʼn matungpeɏ kan sakon chi kalan chi liigilin ugud Apudyus, ‘Liibilang kan cha tulisan.’
