MAT.1.1	˻Isirele yembomanga ou pulu pulu anda kolepa˼ Eporayamo kinie
MRK.2.4	yembo awisili ulkena ekelepa teko angilieringi kulu yu molorumune nondoko mengo punge aulke te naa lierimu kulu ulke imune mengo ola pukulie
MRK.2.5	˻‘Yesusini iyemo manda tepa konde limbe.’ ningu˼ tondolo munduku pilkulie
MRK.2.6+MRK.2.7	˻Kanu kinie,˼ Pulu Yemonga ungu manemanga pulume pilku mane siringi ye mare
MRK.2.8	Kanu kinie Yesusini eno aku siku konopu kimbú siku moloringi mele yunge konopuni sumbi sipe pilipelie enondo nimbendo: “Enone ˻nane nikirumunge˼ aku siku nambemune konopu kimbú sikimiliye? 
MRK.2.9	Iyemondo “Nunge ulu pulu kerime manie pupili, we siye kolkoro.” nimbo kinie eno ulu te naa kanokolie ‘We-we tepa nikimu.’ konopu lengeye? Molo “Ola angilku nunge kunungumu liku mengo kimbu kongono teko andou.” nimbo kinie yu ola angilimbene naa angilimbenje mona lemba manda kanokolie ‘Aku sipe mindili sipe nikimunje.’ konopu lengeye? 
MRK.2.10	Nalo “Manie Omba Mana Ye A Lierimu Yemo
MRK.2.10	Aku nimbelie kimbu ki kolopa pora sili yemondo nimbendo: 
MRK.2.11	“Nane ‘Nu ola angilku nunge kunungumu liku mengo ulkendo pu.’ nikiru.” nirimu. 
MRK.2.12	Aku nirimu kinie yemo ola angilipe tamburumbu kunungumu lipe mepa, eno pali kanoko molangi omba pena purumu. Yuaku terimu kanokolie eno suru ningu mini-wale mundukulie Pulu Yemonga imbi liku ola mundunduku yukapi ningulie ningendo: “Olio iulu wendo okomo kanokomolo mele ou walse kepe ulu te aku sipu paa naa kanorumulu.” niringi.
MRK.2.13	Yesusi ˻ulkemo mundupe siye kolopa˼ pena pupelie altopa nomu Gallilli kélona pupe andopa molorumu. Kanu kinie yu molorumune yembo awisili ongo liku maku toko moloringi kinie yuni eno mane sirimu.
MRK.2.14	Kanu kinie yu pumbe pupelie nirimumuni, Allapiasi malo LLipai
MRK.2.15	Pe Yesusi LLipainge ulkena langi nomba molorumu kinie kou takisi lili yema kinie, ˻Juda ye awilimene˼ “ulu pulu keri teli ye” ˻niringi˼ wema kinie awisili ongo Yesusi kinie yu lombili andoli yema kinie eno pea manie molko langi noringi. Aku sili yembo awisili alieli yu lombili andoringimunge eno awisili ˻akune lombili puku˼ pea langi nongo moloringi.
MRK.2.16	Yesusi yu “ulu pulu keri telime” niringi yembo wema kinie kou takisi lili yema kinie pea langi nongo moloringi kanokolie Parisi ye marene,
MRK.2.17	Aku siku niringi pilipelie Yesusini enondo nimbendo: “Kuru naa tolemo yemboma doketana naa pulimele. Kuru tolemo yemboma mindi doketana pulimele kanumu.
MRK.2.18	No Lindeli Jono lombili andoringi yema kinie, Parisi yema lombili andoringime kinie, eno walse-walse langi mi toko naa noringi mele
MRK.2.19	˻Aku siku niringi kinie pilipelie˼ Yesusini topondopa enondo ˻ungu iko te topa yu-kinie ulu te wendo ombá mele nimbelie˼ nimbendo: “Ambo limbe ye te yunge pulu lemo yema kinie molemo kinie eno konopu sikulie “Langi mi topo naa namili.” manda ningeye? ˻Manda naa ninge.˼ 
MRK.2.20	Nalo pe, ambo limbe yemo eno molongena ongo wendo linge kinie kanu walemanga sike ˻konopu keri panjiku˼ langi naa nongendo mi tonge. ˻Isili-ou molo.˼”
MRK.2.22	Kongi-meme kalumuni teli mingi ou tenga
MRK.2.23	Walse, ˻Juda yembomanga koro moloringi˼ wale Sambate tenga,
MRK.2.24	Aku teringi kanokolie Parisi yemane
MRK.2.25	Yesusini topondopa nimbendo: “Eno Pulu Yemonga bokune sukundu ˻anda-kolepa ye nomi kingi˼ Depisini
MRK.2.26	Pulu Yemo popo tondoringi ye awili olandopa Apayata molopili Depisi Pulu Yemo molorumu sele-ulkena sukundu pupe, Pulu Yemonga kumbikerena lierimu pillawa kalolime lipe nomba, yu pea puringi yema sirimu noringila kanumu.
MRK.2.26	“We yembomane paa naa nangi!
MRK.2.26	Pulu Yemo popo tondoli yema manjiku nangi!”
MRK.2.26	nirimu ˻kanu ungu manemo pulue torumu˼ kanumu.
MRK.2.26	˻Eno konopu talo nambemune lemeleye? Depisi yuni ou aku terimu mele eno pilku keri naa pilimelemonga pe kinié na lombili andoli yemane tekemele mele kanoko keri naa lakanaa!˼” nirimu.
MRK.2.27	Aku nimbelie ungu te pea nimbendo: “Pulu Yemone ‘Yemboma molko kondangi.’ nimbe koro molonge wale Sambatemo lipe eno sirimu kanumu. ‘Sambate walemo pepa kondopili.’ nimbe yemboma lipe Sambate walemo naa sirimu. 
MRK.2.28	Akumunge Sambate walemo kepe Manie Omba Mana Ye A Lierimu Yemo nokolemo yemo molemo-na ˻Sambate wale kinie yemboma molko kondongendo tenge mele manda nimbé kanumu˼.” nirimu.
MRK.3.1	Pe walse Yesusi pupe Juda yemboma maku toko Pulu Yemonga ungu pilieringi ulke tenga purumu. Kanu ulkena ye te molorumu, yunge ki te kamu kolopa kukorumu. 
MRK.3.2	Kanu kinie akune moloringi ye marene ‘Yesusini ulu te tepa kenjimbe kinie yu kote tendemolo.’ ningu ulu te tepa kenjimbe te ˻alieli koroko molkolie˼ ‘˻Koro molemolo˼ wale Sambate kinie
MRK.3.3	Yesusini kanu ki kolopa kukorumu yemondo nimbendo: “Yemboma molemelena ongo ola angilieni.” nirimu.
MRK.3.4	Kanu kinie yemando nimbendo: “Sambate wale kinie ulu nambolka ulu te manda temoloye? ‘Sambate walemonga ungu manemone “Teangi.” nilimo mele teamili.’ nimbu yemboma lipu tapondomolo kinie manda molo tepo kenjimolo kinie mandaye? ‘Naa kolangi konde pangi.’ nimbu temolomo manda molo topo kondomolomo mandaye?” nimbe walserimu kinie pilkulie enone ungu te topondoko naa ningu we moloringi.
MRK.3.5	Yuni eno neme-neme nimbe kanopalie mumindili kolopa eno yemo kondo naa koloringi kanopalie lakopa konopu keri panjipelie ki kolopa kukorumu yemondo nimbendo: “Nunge kimu sinio si.” nirimu kinie yemone yunge kimu sinio sirimu kinie ki kolopa kukorumumu altopa kamu peanga lierimu.
MRK.3.6	˻Yesusini aku terimu kinie kanokolie˼ Parisi yema
MRK.3.7+MRK.3.8	Yesusi kinie yu lombili andolime kinie
MRK.3.9+MRK.3.10	Yesusini yembo awisili tepa konde lsimu kulu yembo kuru lupe lupe torumumene ‘Yu ambolamili.’ ningu
MRK.3.11	˻Yembomanga konopune˼ kuru moloringimene yu kanokolie alieli koporongo langoko tondolo ru ningulie ningendo: “Nu Pulu Yemonga Malo.”
MRK.3.12	nalo Yesusini enondo nimbendo: “Yu ˻sike˼ molemo mele ˻yembomane naa piliengi kene˼ paa naa ningu para siee!” nirimu.
MRK.3.13	˻Pe walse˼ Yesusi yu ma pangi tenga ola pupelie yuyu pilipelie ‘yu kinie pea tapu topo molamili.’ nimbe pilierimu yemando “Waa.” nirimu kinie yu molorumune oringi. 
MRK.3.14+MRK.3.15	Oringi yemanga ye engaki rurepo lipe, yu kinie pea tapu toko molko, “Eno nanga kongonomo tende-pangi lipu mundumbo yema molangi.” nimbe eno mako torumu.
MRK.3.16	Kanu ye rurepo mako torumumenga imbime isipe: Saimono (yunge imbi te Pita) yu keme, 
MRK.3.17	Seperi malo Jemisi keme, Jemisi angenu Jono keme, (elo imbi te Boanekesi sirimula. Boanekesi yunge ungu pulumu mulú tolimunge maloselo.) elo kinie, 
MRK.3.18	˻Pita angenu˼ Enderu keme, Pillipu keme, Batollomiu keme, Mateyu keme, Tomasi keme, Allapiasinge malo Jemisi keme, Tadiasi keme, “Olio Juda yemboma oliolio gapomano molamili.” niringi talape ye Saimono keme, 
MRK.3.19	Judasi Isikeriote, Yesusi pe lipe opa puluema sirimu yemo keme, ˻aku yema ‘yunge kongonomo tende-pangi lipu mundumbo.’ nimbe mako torumu yema˼.
MRK.3.20	Kanu kinie Yesusi kinie yu lombili andolime kinie eno ulke tenga sukundu puringi kinie yembo awisili akune ongo liku maku toko moloringi kulu eno langi nonge ena te kepe paa naa lierimu.
MRK.3.21	Kanu kinie Yesusi pulu lierimu yemboma ˻Yesusini aku terimu mele˼ pilkulie “Kangomo paa kekelepa tomu.” ningu yu linge oringi.
MRK.3.22	Pulu Yemonga ungu manemanga pulume pilku mane siringi ye mare
MRK.3.23	Aku siku niringi pilipelie ˻Yesusi Setene-kinie opa pulue moloringilimunge ‘Setenene yu naa lipe tapondolka paa piliengi!’ nimbe˼ Yesusini enondo “Waa.” nimbelie enondo ungu iko topa nimbendo: “Setenene Setene yuyu
MRK.3.24	Yembo talape te konopu telune naa pupili molko suku-singine owe panjiku eno enono opa teko lupe lupe molemele kinie kanu talapemo pora nilimo. 
MRK.3.25	˻Molo˼ ulke telune pelemele yemboma konopu telune pupili naa molko eno enono opa telemele kinie kanu yembo talapemo sungu siku yu mele mele molemele. 
MRK.3.26	Aku sipela, Setenene
MRK.3.27	“Ye enge nili tene yunge ulkemo nokopa kondolemo kinie ye tene we manda sukundu omba melema wa lipe meli pulimoye? Akumu manda molo. Ou wa noli yemone ye enge nilimunge kimbu kime ka topalie yunge ulkena manda omba melema wa limo kanumu.
MRK.3.28	“˻Akumunge˼ nane enondo paa sike nimbu sikiru: Yembomane ulu pulu kerime teko ˻Pulu Yemo˼ ungu taka tondoko ningu kenjilimele ulume kinie, enonga ulu pulu keri wema kinie pali ˻Pulu Yemone˼ ‘Manie pupili.’ nimbe siye kolomba. 
MRK.3.29	Nalo yembo tene Mini Kake Telimu ungu taka tondopa, nimbe kenjipe, marake telemo yembomo yu Pulu Yemone aku sipe ulu pulu keri telemoma ‘Manie naa pupili.’ nimbe paa siye naa kolomba. ‘Alieli pepa mindi pupili.’
MRK.3.30	Enone “Yu kuru te yunge konopune molemo.” niringimunge ˻aku siku Mini Kake Telimu ningu kenjeringimunge˼ Yesusini enondo aku sipe nirimu.
MRK.3.31+MRK.3.32	Kanu kinie yembo awisili manie ˻molko˼ Yesusini ˻mane sirimu ungume pilku˼ molangi yunge anumu kinie angenupili kinie yu-kinie ungu ningendo ongo pena angilku “Yu-kinie ungu niemili opili.” ningu ungu te ningu mundoringi kinie yembomane yundu ningendo: “Aminie kinie angenali kinie nu-kinie ungu ningendo ongo pena angilimele.” niringi.
MRK.3.33	Yesusini enondo topondopa nimbendo: “Nanga anumu naweye? Nanga angenupili nameleye?” nimbelie nirimumuni, 
MRK.3.34	yunge ungumu manie molko pilku moloringi yemboma neme-neme nimbe kanopalie nimbendo: “I yemboma nanga anumu kinie nanga angenupili kinie molemele. 
MRK.3.35	Pulu Yemone “Teangi” nilimo mele pilku liku telemele yemboma nanga anumu kinie nanga angenupili kinie nanga kemulupili kinie molemelemonga aku sipu nikiru.” nirimu.
MRK.4.1	Walse Yesusi altopa nomu ˻Gallilli˼ kélona pupe yemboma mane sipe molorumu kinie yembo paa awisili yu molorumune ongo maku toko moloringimunge nona andoli sipi te lierimumunge suku pupe manie molorumu, yemboma nomu kélona angilieringi. 
MRK.4.2	Yuni enondo ungu awisili nimbe simbendo ungu iko pokore torumu.
MRK.4.2	‘Eno mane siembo.’ nimbelie ungu iko te isipe topalie nimbendo: 
MRK.4.3	“Pilieme.
MRK.4.3	Ye tene rasi-witi umbu poniena andopa tanda sirimu.
MRK.4.4	Tanda silipe andorumu kinie umbu mare aulkena manie purumu, kanume keramane ongo liku noringi.
MRK.4.5	Umbu mare kou perimune manie pupelie ma wallo-kolte mindi lierimu kulu nondopa muli topa wendo orumu. 
MRK.4.6	Nalo pulkinio naa mundorumu kulu ena terimu kinie kanume kolorumu.
MRK.4.7	Umbu mare kombulu-siri ka mele molorumune manie purumu, siri ka melemo wendo omba witi umbume topa norumu kulu omba peanga naa lepa mongo te naa torumu.
MRK.4.8	Umbu mare ma peangana manie purumume wendo wendo omba akopalie mongo peangama torumu. Mare mongo tokapu-telu mele topa, mare mongo tokapu-talo mele topa, mare tokapu kise mele torumu.” ˻nirimu.˼
MRK.4.9	Aku nimbelie “Yembo komu-peo lemomane iungumu piliee.” nirimu.
MRK.4.10	Pe we yemboma pali puringi kinie yu lombili andoli ye engaki rurepo kinie yembo mare pea yu kinie moloringime kinie, enone yu walsikulie ningendo: “Nuyembomando ungu te ninindu nambemune ungu iko tolenoye?”
MRK.4.10	niringi.
MRK.4.11+MRK.4.12	Yuni enondo topondopa nimbendo: “Pulu Yemo yenomi kingimu molopa yemboma kinie melema kinie nokolemomonga ulu pulu
MRK.4.11+MRK.4.12	ou yuyu pilierimu kanu ulu pulume ‘Kinié eno ˻na lombili olemele yemboma˼ piliengi!’ nimbelie eno nimbe sikimu. Nalo ulsu molemele yemboma ‘Ungume nimbu siembo.’ nimbulie ungu ikoma mindi topo silio.
MRK.4.11+MRK.4.12	˻Pulu Yemone Aisayanga kerena nimbendo:˼
MRK.4.11+MRK.4.12	‘Eno mongone kanokolie naa kanoko,
MRK.4.11+MRK.4.12	komuni pilkulie naa pilimele.
MRK.4.11+MRK.4.12	Konopuni pilkulie alowa telemela kinie,
MRK.4.11+MRK.4.12	˻Pulu Yemone˼ enonga ulu pulu kerime
MRK.4.11+MRK.4.12	‘Manie pupili.’ nimbe siye kolka.’
MRK.4.11+MRK.4.12	nirimu akumunge we yembomando ungu ikoma mindi tolio.” nirimu.
MRK.4.13	Aku nimbelie Yesusini enondo kelepa nimbendo:
MRK.4.13	“Ungu iko topo nindu
MRK.4.14	Langi umbu tanda sirimu yemone tanda sirimu umbume ˻Pulu Yemonga˼ ungumu.
MRK.4.15	Umbu mare tanda sirimu aulkena manie purumume yembo mare i siku mele molemele. Enone ungumu pilimele kinie pe ˻kurumenga nomi˼ Setenene
MRK.4.16	Aku sipela, umbu mare tanda sirimu kou perimune manie purumume yembo mare i siku mele molemele. Enone ungumu pilkulie walsikele sumbi siku konopu siku pilku limele. 
MRK.4.17	Nalo eno pulkinio naa mundukulie ungumu laye kolte mindi pilku molemele. Pe eno konopune umbune telemo kinie molo eno ˻Pulu Yemonga˼ ungumu pilku liku molemele mele yembo lupemane kanoko keri kanokolie ungu taka tondoko teko kenjiku mindili silimele kinie enonga pilimele ungume siye kolemele.
MRK.4.18	Umbu mare tanda sirimu siri ka mele molorumune manie purumume yembo mare kepe i siku mele molemele. Enone ungumu pilimele 
MRK.4.19	nalo konopune umbune telemo umbunema kinie, mele awisili nosikulie ‘Aku melemane olio lipe tapondolemo tapondomba.’ ningu pilku molemele ulume kinie,
MRK.4.20	Umbu mare tanda sirimu ma peangana manie purumume yembo mare i siku mele molemele. Enone ungumu pilkulie ungu pulumu pilku kondoko ungumu kamu pilku limele. Pe eno langi mongo mele tolemele. Kanu yembo marenga langi mongo tokapu telu mele topa, yembo marenga mongo tokapu talo mele topa, marenga mongo tokapu kise mele topa, aku sipe tolemo.
MRK.4.20	˻Ungu ikomonga ungu pulumu aku sipe.˼” nirimu.
MRK.4.21	˻Aku nimbelie ungu iko te pea topa nimbendo:˼
MRK.4.21	“Yembomane tepe-llame kandokolie mingine suku panjilimeleye? Molo polo maniekondo nosilimeleye? Polo tenga ola nosilimele kanumu. 
MRK.4.22	Aku sipe mele, kinié lopi telemo melema pe walse mona lemba yemboma kanonge; kinié aki topa lemo melema pe walse patemba kinie yembomane kanu melema kanonge.
MRK.4.23	Yembo komu-peo lemomane ˻ungu nikirumu˼ piliee.” ˻nirimu.˼
MRK.4.24	“Enone ungu pilimele akumu mimi siku piliengi! Enone melema yemboma silimele mele ˻Pulu Yemone˼ eno aku sipe mele kalomba. Mare olandopa simbela. 
MRK.4.25	Melema nosilimo yembomo nane mare pea simbo, yu paa awisili nosimbe. Nalo melema naa nosilimo yembomo yu nosilimoma kepe wendo limbo.”
MRK.4.26	Yesusini ungu te pea nimbendo:
MRK.4.26	“Pulu Yemo ye nomi kingimu molopa yemboma nokolemo akumu
MRK.4.26	“Ye tene langi umbu mana tanda silimo. 
MRK.4.27	Aku yemo ipulueli uru pepa, tangoli ola molopa ˻andopa kongono tepa˼., telemo kinie langi umbu tanda silimoma muli topa omba awi lemo nalo aku sipe telemomonga pulumu yemone nimbe naa kanopa naa pilimo. 
MRK.4.28	Langi umbu tolemoma mamone yu yuyu ‘wendo opili.’ nilimo. Ou kumbi lepa muli tolemo. Pe gomo angilimo. Pe langi mongo tolemo. 
MRK.4.29	Pe langi nou lemo kinie ‘Langi inie topo sukundu sukundu limbo walemo wendo okomo.’ nimbelie
MRK.4.30	Pe Yesusini enondo kelepa nimbendo:
MRK.4.30	“Pulu Yemo ye nomi kingimu molopa yemboma nokolemo akumu nambolka melte mele niemboye? ‘Yu kingimu molopa yemboma nokolemo mele piliengi nimbu siembo.’ nimbulie nambolka ungu ikomo topo niemboye?” ˻nimbelie nirimumuni, altopa ungu iko te pea topalie nimbendo:˼
MRK.4.31	“Pulu Yemo ye nomi kingi molopa yemboma nokolemo akumu unjo masetete umbu mele:
MRK.4.31	Yemboma langi umbu poniena mundulimelemanga pali unjo masetete umbumu yu paa kangamo. 
MRK.4.32	Nalo poniena mundulimele kinie wendo omba awi lemo kinie poniena molemo melemanga pali yu paa awilimu. Kamu awi lepa unjo mele angilimo kinie kerama kanu unjo kolamanga ongo pelemele. Pulu Yemo ye nomi kingi molomba mele aku sipe.” nirimu.
MRK.4.33	Yesusini ungume yemboma nimbe simbendo ungu iko awisili aku sipema topa sirimu. Eno manda pilinge mele topa sirimu. 
MRK.4.34	Eno ungu te nimbe simbendo ungu iko te mindi torumu. ˻Ungu te sumbi sipe naa nimbe sirimu.˼ Nalo yu kinie yu lombili andolime kinie
MRK.4.35	Kanu walemonga kolea kala torumu kinie Yesusini yu lombili andoli yemando nimbendo: “Nomu nekendo pamolo.” nirimu kinie 
MRK.4.36	nona andoli sipi tenga Yesusi ou suku molopalie ungume nirimu
MRK.4.37	Kanu kinie, nomune punge puringi kinie poporome paa awili te nomune torumu. Aku terimu-ne nomumu apisipe ola ombalie no sipine sukundu sukundu omba peke lepalie sipimu memba nona manie pumbe terimu 
MRK.4.38	nalo Yesusi sipimunge bulkundu penge kanda wale tenga we uru perimu. Yu lombili andoli yemane yu toko makinjindikulie ningendo: “Ungu Mane Silimu, olio no wangopo kolomolomonga nu mini-wale naa pukumuye?” niringi.
MRK.4.39	Yu makilipelie poporomemo iri topa nomumundu nimbendo: “Taka liku molou!” nirimu kinie poporomemo topa kelepa nomumu lope naa tepa paa we lierimu.
MRK.4.40	Kanu kinie yuni lombili andolimendo nimbendo: “‘Pulu Yemone olio nokomba.’ ningu konopu tondolo naa pekemo yema, eno nambemune mini-wale mundukumiliye?” nirimu.
MRK.4.41	˻Yuni terimu mele kanokolie˼ yemane mini-wale munduku pipili awili teko kolkolie anjo yando enono walsikulie ningendo: “Apa! Iyemo nawenje? Poporomemone kepe nomumuni kepe yunge ungumu pilku liku kelkembele.” niringi.
MRK.5.1	Kanu kinie, ˻Yesusi kinie yu lombili andoli yema kinie˼ eno ˻nona andoli sipine˼ nomu nekendo puku kolea Gerasa puringi. 
MRK.5.2	Akune oringi kinie Yesusi sipine wendo orumu kinie konopune kuru molorumu ye te, yembo ono koleana pelipe andorumumu tamburumbu wendo omba yu molorumune orumu. 
MRK.5.3+MRK.5.4	Kanu yemo, yembo ono koleana yunge perimu koleamo lierimu. ˻Kurumu yunge konopune molorumumunge yu paa enge nirimu kulu˼ yembomane yu taki-teki ka wemane kinie, ka senene kinie kepe yu kimbu kime ka toringi ka senema yu sungu sipe, kimbuselo anakapa panjeringimu elke-malke tondorumu. Ye teluri kepe enge te perimu-ne ‘Yu taka lipe molopili.’ nimbe manda ambolopa nokomba ye te paa naa molorumu. 
MRK.5.5	Alieli, ipulueli kepe tangoli kepe, yembo ono koleana kinie ma pangimenga kinie kalle nilipe andopa, yunge kangimu yu yuyu kou ˻nee angilieli˼ marene kopisilipe andopa molorumu.
MRK.5.6+MRK.5.7+MRK.5.8	Kanu yemone sulu tepa molopa Yesusi kanopalie yumolorumune lkisipe orumu. ˻Orumu kinie˼ Yesusini nimbendo: “Kurumu, iyemonga konopune ongo wendo pu!” nirimu mele pilipelie yemone yunge kumbikerena koporongo langopa tamalu pepa yundu tondolo ru nimbelie nimbendo: “Yesusi, Pulu Ye Paa Olandopa Awilimunge Malo,
MRK.5.9	Aku nirimu kinie Yesusini yemondo walsipelie nimbendo: “Nunge imbi naweye?” nirimu kinie
MRK.5.9	yuni nimbendo: “˻Olio paa awisili kene˼ nanga imbi Paa-Awisili.” nirimu. 
MRK.5.10	Aku nimbelie wale awisili Yesusi mawa tepalie nimbendo: “Olio ‘ongo wendo pangi.’ ningu toko makorokolie “I koleamo munduku siye kolko kolea luperenga paa.” ni naa ni.” niringi.
MRK.5.11	Akune ma pangi tenga umbu kongi awisili ímu nongo moloringi kanokolie 
MRK.5.12	kurumene Yesusi mawa tekolie ningendo: “Olio ˻toko makorokolie˼ “Ne kongime molemelena puku, enonga konopune molo-pangi.” ni.” niringi kinie
MRK.5.13	yuni “Kapola, akune pangi.” nirimu kinie kurume kanu yemonga konopune wendo ongolie kongi akune moloringimenga konopune puku moloringi kinie kanu kongime kekelepa toko lkisiku puku kopona pukue toko nomune suku puku no wangoringi. Kongi kanume ˻paa awisili,˼ tausini talo mele.
MRK.5.14	˻Ulu akume wendo orumu-ne kanokolie˼ kongi tapu teko moloringi yema talopa leko pukulie niringimuni, kolea awiline moloringi yemboma kinie, kolea kangamanga moloringi yemboma kinie, ulu akume wendo orumu mele temane toko siliku puringi. Kanu temanemo pilieringi yemboma ‘Ulume wendo orumu mele kanamili.’ ningu wendo puku 
MRK.5.15	Yesusi molorumune ongolie ou kuru paa awisili konopune molko ongo wendo puringi yemo mulumbale pakopa, umbu konopu pepili molorumu kanokolie eno pipili koloringi. 
MRK.5.16	Yesusini terimu mele mongone kanoringi yembomane pe oringi yemboma ningu siringi. Kuru awisili konopune moloringi yemo kinie, kongime-kinie ulume wendo orumu mele temanemo toko siringi. 
MRK.5.17	Kanu kinie yemboma ˻paa mini-wale mundukulie˼ Yesusi mawa tekolie ningendo: “Olionga koleana naa mololi kelko pu.” niringi.
MRK.5.18	Aku siku niringi pilipelie Yesusi pumbendo nona andoli sipine suku pumbe purumu kinie kuru awisili konopune ou molko wendo oringi yemone yundu nimbendo: “Pea pambili.” nimbe mawa terimu.
MRK.5.19	Nalo Yesusini “Molo.” nimbe yundu nimbendo: “Nu lkondo puku Awilimuni nu kondo kolopa ‘Molko kenjenu mele pora nipili.’ nimbe, lakopa tepa kondomu mele nunge pulu lemo yemboma ningu si-pou.” nirimu. 
MRK.5.20	Yesusini aku nirimu-ne pilipelie ye kanumu pupe yunge kolea, ‘Kolea Awili Rureponga Talo’ niringi koleana andopa Yesusini lakopa tepa kondorumu mele nimbe sirimu. Nimbe sirimu kinie pilkulie yemboma pali paa suru ningu mini-wale mundoringi.
MRK.5.21	Yesusi ˻yu lombili andolime kinie˼ nona andoli sipine suku pupe nomu yakondo altopa ombalie nomu kélona wendo orumu kinie yembo awisili yu molorumune ongo liku maku toko kakapu teko moloringi. Yu nomu kélo akune molopili 
MRK.5.22	Juda yemboma maku toko Pulu Yemonga ungumu pilieringi ulke te nokorumu ye te, yunge imbi Jairasi, Yesusi molorumune orumu. Kanu kinie yu Yesusi kanopalie Yesusi yunge kimbune nondopa omba manie molopa tamalu pepa 
MRK.5.23	yundu tondolo mundupe mawa tepalie nimbendo: “Nanga ambola nanamo nondopa kolomba tekemo kene ‘Yu konde pupe kapola molopili.’ ningu ongo yu kimuni ambolou.” nirimu. 
MRK.5.24	Aku nirimu-ne pilipelie Yesusi yu pea puringili.
MRK.5.24	Pungele puringili kinie yembo awisili liku maku toko lombili puku yu kakapu teko ekelepa teko pea puringi. 
MRK.5.25	Kanu kinie ambo te molorumu kanumunge pena perimu walema pora naa nirimu. Yu pena mindi pepili ponie engaki rurepo omba purumu. 
MRK.5.26	Yu doketa awisilimenga yunge kurumu ‘Pora nipili.’ nimbe andorumu nalo mindili mindi siringi. Yunge kou mone pali eno sirimu nalo yunge kuru pora naa nirimu. We topa olandopa mindi purumu. 
MRK.5.27	Kanu ambomo Yesusi ulu tondoloma terimu mele temanema pilipelie yemboma maku toko angilieringine sukundu omba Yesusinge bulkundu omba yunge wale pakolimu ambolorumu.
MRK.5.28	‘Yunge wale pakolimu mindi ambolondu liemo na konde pumbo.’ nimbe pilipelie aku terimu.
MRK.5.29	˻Ambolorumu kinie˼ walsikele yunge kuru torumu kanumu pora nirimu, yunge kalumu ou umbune perimu mele waengo nirimu pilierimu.
MRK.5.30	Nalo ˻yu Yesusinge wale pakolimu ambolorumu kinie˼ Yesusi yuni yemboma lipe tapondoli tondolo mare yunge kangine omba ulsu purumu sumbi sipe pilipelie topele topa kanopa yembomando walsipe pilipelie, “Nanga wale pakolimu nawene ambolomuye?” nirimu.
MRK.5.31	Nalo ˻yuni walserimu mele pilkulie˼ yu lombili andoli yemane topondoko ningendo: “Yembo awisili nu angilinona nondoko nondoko ongo kakapu teko ekelepa teko angilkimili kanumu. Pe nambemune “Nawene na ambolomuye?” nikinuye?” niringi.
MRK.5.32	Nalo Yesusi mongo male-male tepa koropalie “Akumu nawene temuye?” nimbe we angilierimu.
MRK.5.33	Kanu kinie tondolo tene yunge kangine kurumu pora nirimu pilipelie ambomo paa pipili kolopa kangime puru-puru nipili Yesusi molorumune omba manie molopa tamalu pepalie yu ulu terimume pali nimbe para sirimu.
MRK.5.34	Yesusini yundu nimbendo: “Ambolamo, ‘Nu manda tepa konde limbe.’ ningu tondolo munduku pilienu kanu ulumuni nu konde pukunu. Nu kuru pora nimbe konopu pe nipili molo-pani.” nirimu.
MRK.5.35	Yesusini ambomondo aku sipe nimbe molorumu kinie, ye mare, yemboma maku toko Pulu Yemonga pilieringi ulke nokoli ye Jairasinge ulkena molkolie ongo ˻Jairasindu˼ ningendo: “Nunge ambolamo kolopa pora simu. Nambemune Ungu Mane Silimu ‘Mindili nopili.’ ningu we mengo oniye?” niringi.
MRK.5.36	Nalo Yesusini eno niringi ungumu pilipe naa lipelie ulke nokoli yemondo nimbendo: “Mini-wale naa mundoyo. ˻Nunge ambolamo nane ‘Manda lipe tapondomba.’ ningu˼ tondolo munduku piliee.” nirimu.
MRK.5.37	Kanu kinie yuni maku toringi yembomando “Naa ongo anjo paa.” nimbelie Pita keme Jemisi keme angenu Jono keme akume mindi lipelie “Pea pamolo.” nirimu. 
MRK.5.38	Ulke nokoli yemonga ulkena oringi kinie yembo awisili molko kondo kolko kola awili-teko teko moloringi kanorumu. 
MRK.5.39	Yu ulke suku pupelie yembo moloringimendo nimbendo: “Eno nambemune kola teko kalle ningu molemeleye? Ambolamo kolou naa kolomu. We uru mindi pelemo.”
MRK.5.40	Nalo aku nirimu kinie enone yu ungu taka tondoko tawe tenderingi.
MRK.5.40	Eno pali makoropa pena-pena tepalie, ambolamonga anumu lapaselo kinie, kanu lombili andoli ye pokore kinie lipe memba ambola onomo lierimu suluminiana purumu. 
MRK.5.41	Pupelie ambolamonga kimu ambolopa Juda yembomanga ungu lepa yundu “Tallita kumi!” nirimu. (Ungu akumunge pulumu isipe: “ “Ambolamo, nu ola molou.” nikiru.” nirimu.) 
MRK.5.42	Aku nirimu kinie ambolamo tamburumbu ola molopalie andorumu. (Ambola kanumu ponie engaki rurepo mele omba pupili yu molopalie kolorumu kinie Yesusini omba tepa konde lsimu.) ˻Akumu kanokolie˼ yu kinie moloringi yemboma suru ningu mini-wale awili teko mundoringi.
MRK.5.43	Kanu kinie Yesusi yuni enondo tondolo mundupe nimbendo: “Ulu itekeromo yembo telurindu kepe anjo puku paa naa ningu siee!” nimbelie ˻anumundu˼ nimbendo: “Ambolamo langi mare liku si.” nirimu.
