MAT.1.1	Leabhar gheinealuigh Iósa Críosd, mhic Dhaibhi, mhic Abraham.
LUK.8.11	Ag so an chosamhlachd: a sé an síol bríathar Dé. 
LUK.8.12	Agus an dream úd chois na sligheadh a siad éisdeas; na dhiáigh sin tig an díabhal, agus tógbhuidh sé an bhriáthar as a gcróidhe, deagla go gcreidfidís agus go slánéochtháoi iád. 
LUK.8.13	Agus an dream úd air an gcarruic, noch an tan do chluinid, gabhuid chuca an briathar maille lé gáirdeachus; achd ní bhfuil fréamh aca so, noch chreideas feadh tamuill, agus fhilleas ar a nais a naimsir an chathaigthe. 
LUK.8.14	Achd an ní úd do thuit a measg na ndeilbneach, a siad so do éisd, achd ar nimtheachd dóibh, muchtar íad lé cúram agus lé saidhbhreas agus lé saímhe na beatha, agus ní thabhruid toradh úatha. 
LUK.8.15	Achd an ní 
LUK.8.16	Achd ní bhfuil neach ar bith, Iasas coinneall, fholchas fáoi shouightheach í, ná chuireas fáoi leabuidh í; achd cuiridh sé a gcoinnleóir í, do chum go bhfaicfheadh an luchd théid a sdeach an solas. 
LUK.8.17	Oír ní bhfuil éin ní foluightheach, nach déuntar follas; na secréideach, nach bhfuighthear a fhios agus nach dtiocfaidh chum soillsi. 
LUK.8.18	Ar a nadhbharsin tabhruidh bhur naire ribh cionnas éisdeas sibh: óir gidh be neach agá bhfuil, is dó do bhéarthar; agus gidh bé neach ag nach bhfuil, béarthar úadh an ní fós sháoiltear do bheith aige.
LUK.8.19	Agus tangadar a mhathair agus a dhearbhraithreacha chuige, agus níor bhéidir leó dul a ngar dhósan ón tslúagh. 
LUK.8.20	Agus so hinniseadh dhó, ag rádh, Atá do mhathair agus do dhearbhraithreacha na seasamh a muigh, ag iarruidh tfáicsin. 
LUK.8.21	Agus are bhfreagra dhósan a dubhairt sé riu, a siad so mo mhathairse agus mo dhearbhráithreacha noch éisdeas bríathar Dé, agus do ní dá réir.
LUK.8.22	Agus tárla lá áirighe, go ndeachaidh seisean agus a dheisciobuil a luing: agus a dubbhart sé riú, Déanam ar an táobh úd a nunn don loch. Agus do sdiúradar rompa. 
LUK.8.23	Agus ag luingseórachd dóibh do thuit a chodladh airsean: agus do éirigh sdoirmgháoithe ar an loch; agus do líonadh súas íad, agus do bhádar a ngábhadh. 
LUK.8.24	Agus ar ndol cuigesean dóibh, do dhúisgeadar é, ag rádh, A Mhaighisdir, a mhaighisdir, a támaoid ar fágbháil. Agus ar neirghe dhósan do bhagair sé ar an gaoith agus ar thonnghail a nuisge: agus do choisgeadar, agus tainic ciuinas ann. 
LUK.8.25	Agus a dubhairt sé ríu, Cáit an a bhfuil bhar gcreideamh? agus ar mbeith le heagla dhóibhsion do ghabh iongnadh íad, ag rádh ré chéile, Cia be so! a deir ris na gáothaibh agus ris a nuisge fós bheith na dtochd, agus úmhluighid said dó.
LUK.8.26	Agus do rinneader loingscórachd go crich na Ngadarénach, atá as comhair na Galilé a nunn. 
LUK.8.27	Agus ar ndol a dtír dhósan, tárla óglach áirighe as an gcathruigh air, ann a rabhadar deamhuin re haimsir fhada, agus ag nach bíodh éadach uime, agus ní comhnuigheadh sé a dtigh, achd an sna tuámaidhibh. 
LUK.8.28	Agus ag faicsin Iósa dhó, agus ag éighmhe, do theilg sé é féin siós aga chosaibh, agus a dubhairt sé do ghuth ard, Créd é mo chuidsi dhiót, a Iósa, a Mhic Dé ro áird? Iarruim ort, gan mo phiánadh. 
LUK.8.29	Oir do aithin sé don spiorad neamhghlan dol as an duine. Oír is iomdha uáir do bheireadh sé siothadh air: agus do cheangluidh le slabhraidhibh agus dp cpimhéaduibh le géimhleachuibh é; agus ar mbriseadh na gcuibhreach dhósan, do thiománadh an deamhan fá na fasaighibh e. 
LUK.8.30	Agus dfiafruidh Iósa dhé, ag rádh, Créd is ainm dhuit? Agus a dubhairt seision, Leighión: do brígh go ndeachádar mórán deamhan a sdeach ann. 
LUK.8.31	Agus diárradar air gan a chur dfiachaibh ortha dul ann sa dubhaigen. 
LUK.8.32	Agus so bhí tréd mór muc ann sin ag inghilt ar a tslíabh: agus diárradar air a léigean doibh dul ionnta. Agus dfulaing seísion sin dóibh. 
LUK.8.33	Agus ar ndul do na deamhnuibh as an duine, do chúadar ann sna mucaibh: agus do rith an 
LUK.8.34	Agus an trath do chunncadar a háodhairidhe an ní do rinneadh an, do theitheadar, agus ar nimtheachd dóibh dinnseador 
LUK.8.35	Agus do chúadarsan amach dféachain an neith do rinneadh; agus tangadar dionnsuighe Iósa, agus fúaradar an duine, as a ndeachadar na deamhuin, a na éadughadh, agus é ar deaghcheill, na shuidhe ag cosaibh Iósa: agus go ghabh eagla íad. 
LUK.8.36	Agus an dream do bhí 
LUK.8.37	Agus diárradar luchd chríche na Ngadarenach uile airsion imtheachd úatha; oír do bhí eagla ro mhór orrtha: agus ar ndol dósan ann sa luing, dfill sé tar ais. 
LUK.8.38	Agus díarr an fear as a ndeachadar na deamhuin air, é fein do bheith na fhochair: achd léig Iósa úadh é, ag rádh, 
LUK.8.39	Fill dod thigh féin, agus innis meúd na neitheann do rinne Día dhuit. Agus do imthigh seision, ar feadh na caithreach uile ag innisin créd íad na neithe do rinne Iósa dhó. 
LUK.8.40	Agus tárla, an tan do fhill Iósa tar ais gur ghabh an sluagh chuca é: óir do bhádar uile ag feitheamh ris.
LUK.8.41	Agus, féuch, táinic neach áirighe dar bhainm Iáirus, do bhí na úachdarán ar a tsinagóig: agus an tan do shléuchd sé ag cosaibh Iósa, diárr sé dathchuinghidh air dul leis dá thigh féin: 
LUK.8.42	Do bhrígh go raibh éinghein inghine aige, timcheall a dá bhliadhan dég, agus í fagháil bhais. Achd ar mbeith ag imtheachd dhó do bhí an sluagh dha bhrughadh.
LUK.8.43	Agus bean do bhí a bhflucsa fola dá bhliadhuin dég, agus do chaith a raibh aice le leaghaibh, agus nar béidir le héinneach a leigheas, 
LUK.8.44	Do chúaidh sí táobh shíar 
LUK.8.45	Agus a dubhairt Iósa, Cía so do bhean rium? Agus ar na shéana do chách uile, a dubhairt Peadar agus an dream do bhí na fharraidh, A Mhaighisdir, atá an slúagh ad bhrughadh agus ad phluchadh, agus a nabair tú, Cía bhean rium? 
LUK.8.46	Agus a dubhairt Iósa, Do bhean duine éigin riom: oír do mhothuigh mé subhailce dul asam. 
LUK.8.47	Agus an tráth do chonnairc an bhean gur hairigheadh í, táinic si ar crith, agus ag sléuchdain dósan, dfoillsigh sí dhó a bhriadhnaisi an phobuil uíle créd é an tádhbhar far chumail sí ris, agus cionnus do leigheasadh í ar an mball. 
LUK.8.48	Agus a dubhairt seisean ría, Bíodh mainighin mhaith agad, a inghean: do shlánuigh do chreideamh thú; imthigh romhad a sióthcháin.
LUK.8.49	An feadh do bhí seision ag labhairt, táinic neach áirige ó úachdarán na sinagóige, da rádh ris, Fúair binghean bás; ná cuir buaidhreadh ar an Mhaghisdir. 
LUK.8.50	Agus ar na chluinsin 
LUK.8.51	Agus ar ndul a sdeach don tigh dhó, níor fhuiling sé neach ar bith do dhul a sdeach, achd Peadar, agus Séumus, agus Eóin, agus athair agus mathair an chailín. 
LUK.8.52	Agus do bhádar cách uile a gul, agus dá cáoineadhsa: achd a dubhairt seision, Ná guilidh; ní bhfuil sí marbh, achd na codladh. 
LUK.8.53	Agus do rinneadarsan fonomhad faoi, tré go raibh a fhios aca go raibh sí marbh. 
LUK.8.54	Agus ag cur cháich uile amach dhósan, agus ad breith ar a láimh, do éigh sé, ag rádh, A chalín, éirigh. 
LUK.8.55	Agus táinic a spiorad a rís innte, agus déirigh sí ar an mball: agus do aithin sé bíadh do thabhairt dí. 
LUK.8.56	Agus do ghabh úathbhás a hathair agus a mathair: gidheadh do áithin seision díobh gan an ní do rinneadh dinnísin do dhuine ar bith.
LUK.9.1	Agus ag gairm a dhá dheisciobal deg dhó, tug sé neart agus cumhachda dhóibh art na huile dheamhnuibh, agus ar easláintibh do leigheas. 
LUK.9.2	Agus do chuir sé iád do sheanmoír ríoghachda De, agus do leigheas na 
LUK.9.3	Agus a dubhairt sé riú, Ná beiridh ní ur bith libh chum na sligheadh, bataighe, ná tiach lóin, ná arán, ná aírgead ná biodh dhá chóta ag cách. 
LUK.9.4	Agus gidh bé ar bidh teach an a rachtáoi a sdeach, gur ab ann sin fhanfáoi, agus gur ab as rachtái amach. 
LUK.9.5	Agus gidh bé nach géubhuidh chuca sibh, ar bhfagbháil na caithreachasin dáoibh, craithidh fós an lúathbreachán dá bhur gcosnibh mar fhíadhnuisi na naghaidh. 
LUK.9.6	Agus do imthigheadarsan, trís agus do ghabhadar na mbailtreach, ag déanamh seanmóra agus ag leigheas ann gach uile bhall.
LUK.9.7	Agus do chúaluidh Iórnáith an Tetraren gach uile ní dá ndeamuidh seision: agus do bhí sé a namharus, do brigh go ndubhradar dáoine áirighe, gur éirigh Eóin ó mharbhuidh; 
LUK.9.8	Agus dáoine eile, Gur fhoillsigh Elias 
LUK.9.9	Agus a dabhairt Iorúaith, Do bhean misi a cheann Deóin: agus cia hé so, ar a gcluinim a leithéde so? Agus diarr sé eision dfaicsin.
LUK.9.10	Achd ar bhfilleadh do na habsdalnibh, dinnseadar dhósan gach ní dhá ndearnadar. Agus ar na mbreith leis do, do chuáidh sé fá Leith ar fhásach na ciathreacha dá ngoirthear Betsáida. 
LUK.9.11	Agus an tan, do aithin an pubal sin, do leanadar é: agus ar na ngabháil chuige 
LUK.9.12	Agus do bhí an lá ag dol thárrsa, agus trangadar an dá fhear dhég 
LUK.9.13	Achd a dubhairt seision riú, Tabhruidhsi ní lé na ithe dhóibh. Agus a dubhradarsan, Ní bhfuil ní is mó aguinn ná cúig aráin agus dá iásglachsd mona dteímis do cheannach bidh don phobal so nile. 
LUK.9.14	Oír do bhádar a dtimcheall chuig míle fear. Achd a dubhairt seisión ré na dheisciobluibh, Cuiridh na suidhe iád na gcaogadaibh. 
LUK.9.15	Agus do rinneadarsan amhlaidh, agus do chuireadar na suidhe iád nile. 
LUK.9.16	Agus ar ngabháil na gcúig narán agus an dá iásgdhósan, agus ar bhféachain sias ar neamh, do bheannuigh sé iád, agus do bhris sé, agus tug sé dhá dheisciobluibh 
LUK.9.17	Agus a dithadar, agus do sasaigheadh iad uile: agus do tógbhadh dhá chlíabh dhég do bhíadh bhrisde do bhí dfhuighioll aca.
LUK.9.18	Agus tárla, an tan do bhí sé na áonar ag déanamh urnuighe, go rabbadar a dheisciobuil na fhochair: agus gur fhíafruidh sé dhíobh, ag rádh, Créd a deir an slúagh cía misi? 
LUK.9.19	Agus do fhreagradarsan agus a dubhradar, Eóin Baisde; agus cuid eile, Elías; agus cuid eile, gur éighe fáigh éigin do na seanfháighibh a rís. 
LUK.9.20	Agus a dubhairt seision riú, Achd cred a deárthaoisi cía mé? agus ar bhfreagra do Pheadar a dubharit sé, Criosd Dé. 
LUK.9.21	Agus ar ndeanamh bagiar orrtha dhó, do aithin sé íad gan so dinnisin do dhuine ar bith; 
LUK.9.22	Ag rádh, Gur ab éigin do Mhac an duine mórán dfulang, agus a dhinltadh ó na sinnsearnibh agus ó úachdaránnibh na sagart agus ó na sgriobuidgibh, agus bás dfulang, agus éirghe an tres lá.
LUK.9.23	Agus a dubhairt sé 
LUK.9.24	Oír gidh bé lér ab aill an anam do shlánaghadh caillfidh sé é: agus gidh be chaillfeas a anam ar mo shousa, a sé so shláineochas é. 
LUK.9.25	Oír créd a tharbha do dhuine, dá ngnoghuigheadh sé an domhan uile, agus go gcaillfeadh sé, nó go léigfeadh sé a mugba é féin? 
LUK.9.26	Oír gidh bé le budh nár misi agus mo bhriathra, budh nár le Mac an duine eision, an tráth thiocfas sé ann a ghloír fein, agus Athar, agus na naingeal náomhtha. 
LUK.9.27	Agus a déirim ribh go firianeach, Go bhfuilid cuid don mhuintir ata á láthair ann so, nach blaisfidh bás, nó go bhfaicfid rioghachd Dé.
LUK.9.28	Agus tárla a dtimcheall ochd lá tar éis na mbriatharsa, ar mbeith Pheadair agus Eóin agus Shéamuis leis, go ndeachaidh sé súas ar shlíabh do dhéanadh urnuighe. 
LUK.9.29	Agus tárla ag deanamh urnuighe 
LUK.9.30	Agus, féuch, do bhádar días fear ag comhrádh ris, mar atá Máoisi agus Elías: 
LUK.9.31	Noch do chomcas a nglóir, agus dfoillsigh an bás, do fhuilcongadh sé a Niarusalem. 
LUK.9.32	Agus do bhí codladh trom ar Pheadar agus ar a ndroing do bhí na fharradh, agus an tan do dhuisgeadar, do channcadar a ghloírsion, agus an dias fear do bhí na seasamh na fhochair. 
LUK.9.33	Agus tárlá, agá fhagbháil doibh, go ndubhairt Peadar ré Híosa, A Mhaighisdir, is maith sinne do bheith ann so: agus déanam trí botha; both dhuitsi, agus both do Mháoisi, agus both Dhelías: gan fios aige créd a dubhairt sé. 
LUK.9.34	Agus an tan a dubhairt sé só, táinic néull, agus do theilg sé agáile orrtha: agus do ghabh eagla iásdsan an tan do chuádar ann sa néull. 
LUK.9.35	Agus táinic gith as a néull, ag rádh, Ag so mo Mhac gradhachsa: éisdigh ris. 
LUK.9.36	Agus ar teachd don ghuthsin, do fríoth Iósa na áonar. Agus do bhadarsan na dtochd, agus nior innisiodar dáonduine ann sna laéthibhsin ní ar bith dhá bhfacadar.
LUK.9.37	Agus tárla, an lá na dhiáighsin, ar ndul síos don tslíabh dhóibh, do dtárla slúagh mór airsion. 
LUK.9.38	Agus, féuch, do éigh neach don tslúagh, ag rádh, A Mhaighisdir, iárruim ort, feuch ar mo mhac: oír a sé méinghein é. 
LUK.9.39	Agus, féuch, beirídh an spiorad air, agus éimhigh sé go hobann; agus tairrngidh sé as a cheile é ag cur cubhair amach, agus is ar éigin fhágfas sé é tar éis a chomhmbrúghadh. 
LUK.9.40	Agus diárr mé ar do dheiscioblaibhsi a chur as; achd níor fhéadadar. 
LUK.9.41	Agus ar bhfreaga Díosa a dubhairt sé, A chineadh míchreidmheach cláon, ga fad fós bhiás mé eadruibh, agus fhuileongas mé sibh? Tabhair do mhác leachd an so. 
LUK.9.42	Agus ad teachd chuige dhó, do bhúail an deamhan síos é, agus do tharruing sé as a cheile é. Achd do imdhearg Iósa an spiorad neamhglan, agus do leighis sé an leanabh, agus thug sé dhá athair 
LUK.9.43	Achd do ghabh úathbhás cách uile trí mhórchumhachd Dé. Agus ar mbeith ag déanamh iongantus doibh uile ann gach uile ní da ndearnuidh Iósa, a dubhairt sé ré na dheiscioblaibh, 
LUK.9.44	Taisgidh na bríathrasa ann bhur gcluasaibh: óir tiofuidh chum chríche go dtiobharthar Mac an duine a lámhuibh na ndaóine. 
LUK.9.45	Achd níor thuigeadarsan an comhrádhsa, agus do bhí sé ar na fholach úatha, ionnas nar airigheadar é: agus do bhí eagla orrtha ceisd do chur airsion a dtimcheall an chomhráidh sin.
LUK.9.46	Agus déirigh diospóireachd eatarra, cía dhíobh 
LUK.9.47	Agus ar bhfaicsin smuaintighe a gcroidhe, Díosa, do ghabh se leanabh 
LUK.9.48	Agus a dubhairt sé riú, Gidh bé ghéubhas chuige an leanabh so a mainmsi is misi ghabhas se chuige: agus gidh bé ghéubhas misi chuige, gabhuidh sé chuige an té do chuir uádh mé: óir gidh bé is lugha eadruibhsi uile, bíaidh se mór.
LUK.9.49	Agus ar bhfreagra Déoin a dubhairt sé, A Mhaighisdir, do chunncamairne duine áirighe ag teilgean deamhan a mach ad ainuisi; agus do thoirmeasgamar é, ar son nach leananu sé dhínne. 
LUK.9.50	Agus a dubhairt Iósa ríu, Ná toirmeasuidh é: oir gidh bé nach bhfuil ar naghuidh atá sé linn.
LUK.9.51	Agus tárla, an tan do coímhliónadh laéthe a nglacfaidh súas é, gur chuir sé roimhe go daingion dul go Hiárusaléim. 
LUK.9.52	Agus do chuir sé teachdairighe róimhe: agus ar nimtheachd dóibh, do chúadara sdeach a mbaile na Samáritánach, do chum go ndéanaidís ullmhaghadh roimhesion. 
LUK.9.53	Achd niór ghabhadársan chuca é, ar son go raibh a agháidh mar bhiagh sé dul go Hiarusalém. 
LUK.9.54	Agus an tráth do chuncadar a dheisciobuilsion Séumas agus Eóin 
LUK.9.55	Agus ar gcasadh dhó, do imdhearg sé iad, agus a duibhairt sé, Ní bhfuíl a fhios aguibh créd é an spiorad dár dhe sibh. 
LUK.9.56	Oír ní thaínic Mac an duine do sgríos anmann na ndáoine, achd dá slánughadh. Agus do chúadar as sin go bhaile eile.
LUK.9.57	Agus tárla, ar nimtheachd dóibh san tslíghe, go ndúbhairt 
LUK.9.58	Agus a dubhairt Iósa ris, Ataíd fúachaisighe ag na sionnchaibh, agus neíd ag éanlaith a naiéir; achd ní bhfuil áit ag Mac an duine ann a gcurfeadh sé a cheann. 
LUK.9.59	Agus a dubhairt sé ré neach eile, Leansa misi, Achd a dubhairt seision, A Thighearna, leigh dhamh imtheachd ar túís agus mathair daghlacadh. 
LUK.9.60	Achd a dubhairt Iósa ris, Leíg do na marbhuibh a mairbh féin daghlacadh: achd imthighsi, agus déana rioghachd Dé do sheanmóir. 
LUK.9.61	Agus mar an gcéadna a dubhairt neach eile, Leanfuidh misi thú, a Thighearna; Achd leigh dhamh ar tús mo chead do ghabháil, ag am mhuinntir. 
LUK.9.62	Achd a dubhairt Iósa ris, Gidh bé neach chureas a lámh ar an gcéuchd, agus fhéachas na dhíaigh, ní bhfuil se iomchubhaidh do ríoghachd Dé.
LUK.10.1	Agus na dhiaigh so dórduigh an Tighearna mar an gcéadna deithneabhar agus trí fichid eile, agus do chuir sé na ndís agus na ndís roimhe féin iád dá gach uile chathruigh agus ionnad, ann a raíbh a theachd féin. 
LUK.10.2	Ar a nadhbharsin a dabhairt sé ríu, Is mór an foghmhar, achd is beag an luchd oibre: uime sin guidhidh Tighearna an fhoghmhuir, luchd oibre do chur amach chum a fhóghmhair. 
LUK.10.3	Imthighidh: féuch, ataimse dá bhur gcur úaim mar úana a measg mhadradh allta. 
LUK.10.4	Ná hiomchruidh sbarán, na tiach loín ná bróga: agus ná beannaighidh do neach ar bith sa tslighe. 
LUK.10.5	Agus gidh bé tigh iona rachtáoi a sdeach, abruidh ar tús, Go raibh sióthcháin don tighse. 
LUK.10.6	Agus má bhionn Mac na sióthchána annsin, do dhéannidh bhur sióthcháinsi comhnuighe air: achd muna raibh, fillfidh sí chugaibh féin a rís. 
LUK.10.7	Agus fanaidh an sa tighsin, ag ithe agus ag ól na neitheann atá aca: óir is fiú an toibrigh a thuárasdal. Ná himighidh ó thigh go tigh. 
LUK.10.8	Agus gidh bé cathair ann a rachtáoi a sdeach, agus go ngéubhaid siád sibh, ithidh na neithe chuirid siád ann bhur bhfiadhuisi: 
LUK.10.9	Agus slánaghaidh na heaslaín bhias innte, agus abruidh riú, Do dhruid rioghachd Dé ribh. 
LUK.10.10	Agus gibh bé cathair ann a rachtáoi a sdeach, agus nach génbhuid siád sibh, ar nimtheachd dáoibh amach ar na sraídibh, abruidh, 
LUK.10.11	Craithmíd dhínn bhur naghaidh, go fiú an luaithridh do lean dínn, as bhur gcathruigh: achd cheana bíodh a fhios so aguibh, gur dhruid rioghachd Dé ribh. 
LUK.10.12	Agus a deirím bhur ribh, Go madh socamhluighe do na Sodomachaibh an lá úd, ná don chathraighsin. 
LUK.10.13	Is anáoibhinn duit, a Chorásin! as anáoibhinn duit, a Bhetsáida! oir dá madh a Dtírus agus a Sídon, do dhéantáoi na miorbhuile do rinneadh ionnaibhsi, is fada ó da dhéanaidís aithrighe, na suidhe a néadach roín agus a luaithreagh. 
LUK.10.14	Ar a nadhbharsin budh socamhluighe do Thírus agus do Shídon ann sa bhreitheamhnus, na dháoibhsi. 
LUK.10.15	Agus tusa, a Chapernáum, atá ar do thógbháil súas go neamh, teilgfidhthear siós go hifearnn thú. 
LUK.10.16	Gibh bé éisdeas ribhsi is riomso éisdeas sé; agus gibh bé bheir neimhchion oruibhsi, is oramsa do bheir sé neimhchion; agus gibh bé bheir neimhchion oramsa is ar an té do chuir úadh mé do bheir sé neimhchion.
LUK.10.17	Agus do fhilleadar an deithneabhar agus trí fichid maille lé gáirdeachas, ag rádh, A Thighearna, ataíd na deamhuin féin fá smachd aguinne tréd ainmsi. 
LUK.10.18	Agus a dubhairt sesion ríu, Do chonnairc mé Sátan marr theinnteach ag tuitim ó neamh. 
LUK.10.19	Fénch do bheirim dhíbh cumhachda saltairt air na haithreachaibh nimhe agus ar na scorpiónuibh, agus ar uile neart namhad: agus ní ghoirteochaid éin ní sibh. 
LUK.10.20	Achd cheana na bíodh gáirdeachas oraibh, ar son go bhfuilid na spioraididhe fá bhur smachd; achd go madh mó bhiás gairdeachas oruibh fá go bhfuilid bhur nanmanna sgríobhtha ar neamh.
LUK.10.21	Ar a núairsion do ghabh gáirdeachas iona spioraid Iósa, agus a dubhairt sé, Do bheirim buidheachas duit a Athair, a Thighearna neimhe agus talmhan, trí gur fholuigh tú na neithesi ó dháonibh eagnuidhe agus glioca, agus gur nochd tú iad do naoidheanánuibh: a seadh, a Athair; tré gur ab mar sin do budh toil leachd féin é. 
LUK.10.22	Atáid na huile neithe ar na dtabhairt dhanhsa óm Athair: agus ní bhfuil a fhios ag éinneach ciá hé an Mac, achd ag a Nathair; agus ciá hé an Tathair, achd ag an Mac, agus an té dá dtiúbhradh an Mac a nochdughadh.
LUK.10.23	Agus ar bhfilleadh chum a dheiscíobal, a dubhairt sé fá leith riú, is beannaighthe na súile do chí na neithe do chithísi: 
LUK.10.24	Oír a deirim ribh, Gur ab iomdha fáighe agus righthe lér mhián na neithe do chithisi dfaicsin, agus ní fhacadar: agus na neithe do chluintí do chluinsin, agus ní chúaladar.
LUK.10.25	Agus féuch, déirigh fear dlighe áirighe na sheasamh, ag cur chathaighthe airsion, agus ag rádh, A Mhaighhisdir, créd do dhéana mé ionnus go bhfuighinn an bheatha mharthannach doighreachd? 
LUK.10.26	Achd a dubhairt seision ris, Créd a tá sgríobhtha ann sa dligheadh? Cionnas léaghas tú? 
LUK.10.27	Agus ar bhfreagra dhósan a dubhairt sé, Gráidheochuidh tú do Thighearna Dia as do chroidhe uile, agus as tanam uile, agus as do bhríoghuibh uile, agus as da smúaintighthibh uile; agus do comharsa mar thu féin. 
LUK.10.28	Agus a dubhairt seision ris, As díreach do fhreagair tú: déanasa so, agus maírfidh tú. 
LUK.10.29	Achd ar mbeith dhósan, funnmhar ó a fhiréantachd féin da thaisbéanadh, a dubhairt sé re Híosa, Maseadh ciá hé mo chomharsa?
LUK.10.30	Agus ar bhfreagra Díosa a dubhairt sé, Do chúaidh duine áirighe siós ó lérusalem go Iérico, agus tárla a measg bhiothamhnach é, do shlad e, agus do loit é, agus do imthigh rompa, ar na fhagbháil leathmharbh. 
LUK.10.31	Agus tárla tré chinneamhain gur ghabh sagart áirighe síos sa tslighe sin: agus ar na fhaicsinsion dó, do ghabh sé thairis don táobh eile don tslighe. 
LUK.10.32	Agus mar an gcéadna Lebhita, a teachd chum a nionaid sin, ar na fhaicsin dó, do ghábh sé tháiris don táobh eile. 
LUK.10.33	Agus ar mbeith ag gabháil na sligheadh, do Shamaritánach áirighe, tháinic sé mar a raibh seision: agus ar na fhaicsin, do ghabh truáighe ghér dhó é 
LUK.10.34	Agus ar ndrud 
LUK.10.35	Agus ag imtheachd dó lá ar na mhárach, do bhean sé dhá phighinn amach agus tug sé don ósdóir iád, agus a dubhairt sé ris, Bíodh cúram agad fan fhearso; agus gibh bé chaithfeas tú as a chionn so, an tráth fhillfeadsa, do bhéara me dhuit é. 
LUK.10.36	A nois cía don triúrsa, bhreathnaigheas tusa, do bheith na chomharsain ag an tí úd thárla a measg na mbiothamhnach? 
LUK.10.37	Agus a dubhairt seísion, An tí ud do rinne trocaire air, Ar a nadhbhasin a dubhairt Iósa ris, Imthighsi agus déana mar an gcéadna.
LUK.10.38	Agus tárla, ag imtheachd dóibh, go ndeachaidh seision go baile áirighe: agus go rug bean áirighe dar bhaimn Martá dá tigh fein é. 
LUK.10.39	Agus do bhí deirbhshiúr aicesi dá ngoirthí Muire, agus ar suidhe dhi ag cosaibh Iosa, do bhí si ag éisdeachd lé na bhríathraibh. 
LUK.10.40	Agus do bhí Martá lán do chúram lé hiomad friotholuimh, agus a dubhairt sí, A Thighearna, an é nach meisde leachd mar dfág mo dheirbhshiúr misi am áonar ag friotholamb ar a nadhbharsin abair riá cungnamh riom. 
LUK.10.41	Agus ar bhfreagra Díosa a dubhairt sé ría, A Mhartá, a Mhartá, atá tú ro chúramach agus buaidhridh tú thú féin fá mhóran do neithibh: 
LUK.10.42	Achd cheana ein ní a mhaín atá riachdanach: rug Muire an chuid mhaith do roghain, nach béarthar uáithe.
LUK.11.1	Agus tárla, an tan do bhí sé ag déanamh urnuighe a náit áirighe, mar do sguir sé, go ndubhairt fear áirighe dá dheisciobluibh ris, A Thighearna múin dúinne urnuighe do dhéanamh, amhail agus mar do mhúin Eóin dá dheisciobluibh féin. 
LUK.11.2	Agus a dubhairt seision ríu, A núair do dhéantáoi urnuighe, abraidh, Ar nathair atá ar neamh, naomhthar hainin. Tigeadh do rioghachd. Déantar do thoil, ar an talamh, mar atá ar neamh. 
LUK.11.3	Ar narán laétheamhuil tabhair dhúinn gach láoi. 
LUK.11.4	Agus maith dhuinn ar bpeacaigh; óir maithmídne da gach áon air a bhfuil fiacha aguinn. Agus na leíg sinn a ccathughadh; achd soar inn ó olc.
LUK.11.5	Agus a dubhairt sé ríu cía agaibhsi agá mbíadh cara, agus go rachadh sé chuige a meadhon oidhche, agus go naibeóradh sé ris, A chara, tabhair trí haráin dhamh air iásachd; 
LUK.11.6	Oír tháinic cara dhamh as a tslighe am ionnsuighe, agus ní bhfuil éinni again do chuirfinn na fhiadhnuisi? 
LUK.11.7	Agus go bhfreigeóradh seision a sdigh, agus go naibeóradh sé, Na cuir búaidhreadh oram: atá an doras dúntí a nois, agus ataíd mo chlann am fhochair sa tseómra; ní fhéaduim éirghe agus a dtabhairt dhuit. 
LUK.11.8	A deirim ribh, ar néirghe dhó, dá mbeith nach dtiobhradh sé sin úadh, ar son gur chara dhó é, gidheadh go fírinneach ar son a liosdachda do éiréochadh sé, agus do bhéaradh sé dhó an mhéid do bhiadh do riachdanus air. 
LUK.11.9	Agus a deirimsi ribh, Iarraidh, agus do bhéarthar dháoibh; lorgairigh, agus do gheabhtháoi; buailidh 
LUK.11.10	Oír gidh bé iárras glacaidh sé; agus gidh bé do ní lorgaireachd do gheibh sé; agus oísgéoltar don té bhúaileas 
LUK.11.11	Agus cía againbhsi athair ar a níarrfadh a mhac arán, do bhéaradh cloch dhó? Nó dhá 
LUK.11.12	Nó dá niárradh sé úgh, an dtiobhradh se scorpion do? 
LUK.11.13	Ar a nadhbharsin, más eól dáoibhsi air mbeith go holc, tiodhluice maithe do thbhairt da bhur gcloinn, an é nach mó ná sin bhéaras 
LUK.11.14	Agus do bhí sé ag teilgean deamhain amach, do bhí balbh. Agus tárla, ar ndul don deamhan amach, gur labhair an balbhán; agus do ghabh iongnadh an slúagh. 
LUK.11.15	Agus a dubhairt dream acasan, Is trí Bheelsébub prionnsa na ndeamhan theilgeas sé amach na deamhuin. 
LUK.11.16	Agus dream eile, ag cur chathaighthe 
LUK.11.17	Agus ar bhfaicsin a smúaintighthe, dhósan, a dubhairt sé riú, Gach rioghachd bhios roinnte na haghaidh féin do nithear fasach dhi; agus an tigh bhíos 
LUK.11.18	Agus mar an gcéada dá raibh Sátan roinnte na aghaidh féin, cionnas fhanfas a rioghachd na seasamh? oír a deirthísi gur ab trí Bheelsébúb theilgimsi amach na deamhain. 
LUK.11.19	Agus más trí Bheelsebuh sgriosaimsi na deamhuin, cía tré sgriosaid bhur gelannsa 
LUK.11.20	Ach cheanna más le méur Dé theilgimsi amach na deamhain, gan chunntabhairt tháinic ríoghachd De chuguibhsi. 
