GEN.1.1	NEL principio Iddio creò il cielo e la terra
NUM.35.26	Ma, se pur l'ucciditore esce fuor de' confini della città del suo rifugio, ove egli si sarà rifuggito; 
NUM.35.27	e colui che ha la ragione di vendicare il sangue, trovandolo fuor de' confini della città del suo rifugio, l'uccide; egli non è colpevole d'omicidio. 
NUM.35.28	Perciocchè colui ha da star nella città del suo rifugio, fino alla morte del sommo Sacerdote; e dopo la morte del sommo Sacerdote, l'ucciditore potrà ritornare alla terra della sua possessione. 
NUM.35.29	Sienvi adunque queste cose per istatuto di legge, per le vostre generazioni, in tutte le vostre stanze.
NUM.35.30	Quando alcuno avrà percossa a morte una persona, sia quel micidiale ucciso, in sul dire di 
NUM.35.31	E non prendete prezzo di riscatto per la vita dell'ucciditore, il quale 
NUM.35.32	Parimente non prendete alcun prezzo, per 
NUM.35.33	E non profanate il paese, nel quale voi 
NUM.35.34	Non profanate adunque il paese, nel quale voi dimorerete, in mezzo del quale io abiterò; perciocchè io 
NUM.36.1	OR i Capi delle famiglie paterne della nazione de' figliuoli di Galaad, figliuolo di Machir, figliuol di Manasse, delle nazioni de' figliuoli di Giuseppe, si fecero innanzi, e parlarono in presenza di Mosè, e de' principali 
NUM.36.2	e dissero: Il Signore ha comandato al mio signore di dare il paese in eredità a' figliuoli d'Israele, a sorte
NUM.36.3	Ora, se elleno si maritano ad alcuno dell'
NUM.36.4	E anche, quando i figliuoli d'Israele avranno il Giubileo, l'eredità di esse sarà aggiunta all'eredità della tribù 
NUM.36.5	E Mosè diede comandamento a' figliuoli d'Israele, secondo la parola del Signore, dicendo: La tribù de' figliuoli di Giuseppe parla dirittamente. 
NUM.36.6	Quest'
NUM.36.7	E non sia trasportata tra' figliuoli d'Israele, alcuna eredità di tribù in tribù; anzi attengasi ciascuno de' figliuoli d'Israele all'eredità della tribù de' suoi padri
NUM.36.8	E maritisi ogni fanciulla, che sarà erede, fra le tribù de' figliuoli d'Israele, a uno della nazione della tribù di suo padre
NUM.36.9	E non si trasportino le eredità da una tribù all'altra, anzi ciascuna tribù de' figliuoli d'Israele s'attenga alla sua eredità.
NUM.36.10	Come il Signore avea comandato a Mosè, così fecero le figliuole di Selofad. 
NUM.36.11	E Mala, e Tirsa, ed Hogla, e Milca, e Noa, figliuole di Selofad, si maritarono co' figliuoli de' loro zii. 
NUM.36.12	 furono maritate 
NUM.36.13	Questi 
DEU.1.1	QUESTE 
DEU.1.2	(
DEU.1.3	Or l'anno quarantesimo, alle calendi dell'undecimo mese, Mosè parlò a' figliuoli d'Israele, secondo tutto ciò che il Signore gli aveva comandato 
DEU.1.4	dopo ch'ebbe sconfitto Sihon, re degli Amorrei, il quale abitava in Hesbon, e. Og, re di Basan, che abitava in Astarot, 
DEU.1.5	Di qua dal Giordano, nel paese di Moab, Mosè imprese a dichiarar questa Legge dicendo: 
DEU.1.6	Il Signore Iddio nostro parlò a noi in Horeb, dicendo: Voi siete assai dimorati in questo monte
DEU.1.7	Mettetevi in cammino, partitevi di qui, ed entrate ne' monti degli Amorrei, e in tutte le lor vicinanze, nella campagna, nel monte, nella pianura, nella parte meridionale, e nella costa del mare, nel paese de' Cananei, e nel Libano, fino al gran Fiume, 
DEU.1.8	Ecco, io ho posto il paese in vostro potere: entrate, e possedete il paese, il quale il Signore giurò a' vostri padri, ad Abrahamo, a Isacco, e a Giacobbe, ch'egli lo darebbe loro, e alla lor progenie dopo loro
DEU.1.9	E in quel tempo io vi parlai, dicendo: Io non posso reggervi solo
DEU.1.10	Il Signore Iddio vostro vi ha moltiplicati, ed ecco, oggi voi 
DEU.1.11	Il Signore Iddio de' vostri padri vi accresca pure mille volte più, e benedicavi, siccome egli vi ha parlato. 
DEU.1.12	Come potrei io portar solo la fatica, e il carico di voi, e le vostre liti
DEU.1.13	Datemi d'infra le vostre tribù degli uomini savi, e intendenti, e ben riconosciuti, e io ve li costituirò per Capi
DEU.1.14	E voi mi rispondeste, e diceste: Egli 
DEU.1.15	Allora io presi de' principali delle vostre tribù, uomini savi, e ben riconosciuti, e li costituii Capi sopra voi, Capi di migliaia, Capi di centinaia, Capi di cinquantine, Capi di decine, e Ufficiali per le vostre tribù. 
DEU.1.16	E in quel tempo comandai, e dissi a' vostri giudici: Date udienza a' vostri fratelli 
DEU.1.17	Non riguardate alla qualità della persona nel giudicio
DEU.1.18	In quel tempo ancora vi comandai tutte le cose che dovete fare.
DEU.1.19	Poi noi ci partimmo di Horeb, e camminammo per tutto quel grande e spaventevole deserto
DEU.1.20	Allora io vi dissi: Voi siete arrivati al monte degli Amorrei, il quale il Signore Iddio nostro ci dona. 
DEU.1.21	Vedi, il Signore Iddio tuo ha posto il paese in tuo potere; sali, possedi
DEU.1.22	E voi vi accostaste tutti a me, e diceste: 
DEU.1.23	E la cosa mi aggradì; e io presi dodici uomini di voi, uno per tribù
DEU.1.24	ed essi si misero in cammino; e, saliti al monte, pervennero fino alla valle di Escol, e spiarono il paese. 
DEU.1.25	E presero in mano del frutto di esso, e cel portarono, e fecero la 
DEU.1.26	Ma voi non voleste salire, e foste ribelli al comandamento del Signore Iddio vostro
DEU.1.27	E mormoraste nelle vostre tende, e diceste: Perciocchè il Signore ci odia, egli ci ha fatti uscir fuor del paese di Egitto, per darci nelle mani degli Amorrei, per distruggerci. 
DEU.1.28	Dove montiamo noi? i nostri fratelli ci hanno fatto struggere il cuore, dicendo: 
DEU.1.29	E io vi dissi: Non vi sgomentate, e non abbiate paura di loro. 
DEU.1.30	Il Signore Iddio vostro, che cammina davanti a voi, esso combatterà per voi
DEU.1.31	e nel deserto, dove tu hai veduto come il Signore Iddio vostro ti ha portato, come un uomo porterebbe il suo figliuolo
DEU.1.32	Ma per 
DEU.1.33	il quale andava davanti a voi per lo cammino, per investigarvi luogo da accamparvi, in fuoco di notte per illuminarvi nel cammino, per lo quale avevate da camminare, e di giorno nella nuvola
DEU.1.34	E il Signore udì la voce delle vostre parole, e si adirò gravemente, e giurò, dicendo: 
DEU.1.35	Se alcuno di questi uomini, questa malvagia generazione, vedrà quel buon paese che ho giurato di dare a' vostri padri
DEU.1.36	salvo Caleb, figliuolo di Gefunne; egli lo vedrà, e a lui, e a' suoi figliuoli, darò il paese, nel quale è camminato; perciocchè egli ha compiutamente seguitato il Signore
DEU.1.37	Eziandio contr'a me si adirò il Signore per cagion vostra, dicendo: Nè anche tu vi entrerai
DEU.1.38	Giosuè, figliuolo di Nun, che ti serve, esso vi entrerà; confortalo
DEU.1.39	E i vostri piccoli figliuoli, de' quali avete detto che sarebbero in preda, e i vostri figliuoli, i quali oggi non conoscono nè il bene nè il male
DEU.1.40	Ma voi rivolgetevi indietro, e camminate verso il deserto, traendo verso il mar rosso
DEU.1.41	Allora voi rispondeste, e mi diceste: Noi abbiamo peccato contro al Signore: noi saliremo, e combatteremo, secondo tutto ciò che il Signore Iddio nostro ci avea comandato. E avendo ciascun di voi prese le sue armi, voi imprendeste di salire al monte. 
DEU.1.42	E il Signore mi disse: Di' loro: Non salite, e non combattete; perciocchè io non 
DEU.1.43	E io vel dissi; ma voi non ubbidiste; anzi foste ribelli al comandamento del Signore, e temerariamente imprendeste di salire in sul monte. 
DEU.1.44	Allora gli Amorrei, che abitavano in quel monte, uscirono fuori incontro a voi, e vi perseguirono, come sogliono far le api, e vi ruppero, 
DEU.1.45	E voi, essendo ritornati, piagneste davanti al Signore; ma il Signore non ascoltò la vostra voce, e non vi porse gli orecchi.
DEU.1.46	E voi steste in Cades molti giorni, quanti vi eravate 
DEU.2.1	Poi noi ci rivolgemmo indietro, e andammo verso il deserto, traendo al mar rosso, come il Signore mi avea detto
DEU.2.2	Poi il Signore mi disse: Voi avete assai circuito questo monte; 
DEU.2.3	rivolgetevi verso il Settentrione. 
DEU.2.4	E comanda al popolo, e digli: Voi siete ora per passar per li confini de' figliuoli di Esaù, vostri fratelli, i quali dimorano in Seir
DEU.2.5	Non movete lor guerra; perciocchè io non vi darò 
DEU.2.6	Comperate da loro con danari la vittuaglia che mangerete; comperate eziandio da loro con danari l'acqua che berrete. 
DEU.2.7	Conciossiachè il Signore Iddio tuo ti abbia benedetto in tutta l'opera delle tue mani; egli ha avuta cura di te, mentre sei camminato per questo gran deserto; il Signore Iddio tuo 
DEU.2.8	Così noi passammo oltre, lasciati i figliuoli di Esaù, nostri fratelli, i quali abitano nel monte di Seir, fin dalla via della pianura, da Elat, e da Esion-gaber, e ci rivolgemmo, e passammo oltre, traendo verso il deserto di Moab.
DEU.2.9	E il Signore mi disse: Non nimicare i Moabiti, e non mover loro guerra; perciocchè io non ti darò 
DEU.2.10	(Già abitavano quel 
DEU.2.11	Ed erano anch'essi riputati giganti, come gli Anachiti; e i Moabiti li chiamavano Emei. 
DEU.2.12	E in Seir già abitavano gli Horei; ma i figliuoli di Esaù li cacciarono, e li distrussero d'innanzi a loro, e abitarono in luogo loro; come ha fatto Israele nel paese della sua eredità, che il Signore gli ha dato). 
DEU.2.13	Ora levatevi, passate il torrente di Zered. E noi passammo il torrente di Zered.
DEU.2.14	Or il tempo, nel quale noi siamo camminati da Cades-barnea, finchè siamo passati il torrente di Zered, 
DEU.2.15	La mano del Signore è stata altresì contro a loro, per distruggerli d'infra il campo, finchè sieno stati consumati.
DEU.2.16	E, dopo che tutti quegli uomini di guerra d'infra il popolo furono finiti di morire, 
DEU.2.17	il Signore mi parlò, dicendo: 
DEU.2.18	Oggi tu sei per passare i confini di Moab, 
DEU.2.19	e tu ti appresserai dirincontro a' figliuoli di Ammon; non usar contr'a loro alcuna ostilità, e non mover loro guerra; perciocchè io non ti darò 
DEU.2.20	(Quel 
DEU.2.21	gente grande, e possente, e d'alta statura, come gli Anachiti; e il Signore li distrusse d'innanzi agli Ammoniti, onde essi li cacciarono, e abitarono nel luogo loro; 
DEU.2.22	come egli avea fatto a' figliuoli di Esaù, che abitano in Seir, d'innanzi ai quali distrusse gli Horei; onde essi li cacciarono, e sono abitati nel luogo loro sino a questo giorno. 
DEU.2.23	I Caftorei anch'essi, usciti di Caftor, distrussero gli Avvei, che dimoravano in Haserim, fino a Gaza, e abitarono nel luogo loro). 
DEU.2.24	Levatevi, dipartitevi, e passate il torrente di Arnon; vedi, io ti do nelle mani Sihon, re di Hesbon, Amorreo, e il suo paese; comincia a prender possessione, e movigli guerra
DEU.2.25	Oggi comincerò a mettere spavento e paura di te sopra i popoli, sotto tutto il cielo, talchè udendo il grido di te, tremeranno, e saranno in angoscia per tema di te
DEU.2.26	Allora io mandai ambasciadori dal deserto di Chedemot, a Sihon, re di Hesbon, per portargli parole di pace
DEU.2.27	 che io passi per lo tuo paese; io camminerò per la strada maestra, senza rivolgermi nè a destra nè a sinistra
DEU.2.28	Tu mi venderai la vittuaglia ch'io mangerò a prezzo, e a prezzo altresì mi darai l'acqua ch'io berrò; concedimi solo di passare col mio seguito; 
DEU.2.29	come mi han fatto i figliuoli di Esaù, che abitano in Seir; e i Moabiti, che abitano in Ar
DEU.2.30	Ma Sihon, re di Hesbon, non volle lasciarci passar per lo suo paese; perciocchè il Signore Iddio tuo gli avea indurato lo spirito
DEU.2.31	E il Signore mi disse: Vedi, io ho cominciato a darti in tuo potere Sihon, e il suo paese; comincia a prender possessione, conquistando il suo paese. 
DEU.2.32	Sihon adunque uscì, con tutta la sua gente, in battaglia contro a noi, in Iaas. 
DEU.2.33	E il Signore Iddio nostro lo mise in nostro potere, e noi percotemmo lui, e i suoi figliuoli, e tutta la sua gente
DEU.2.34	E in quel tempo noi prendemmo tutte le sue città, e distruggemmo alla maniera dell'interdetto, in tutte le città, gli uomini, le donne, e i piccoli fanciulli; noi non vi lasciammo alcuno in vita
DEU.2.35	Sol predammo per noi il bestiame, e le spoglie delle città che avevamo prese. 
DEU.2.36	Da Aroer, che 
DEU.2.37	Sol tu non ti appressasti al paese de' figliuoli di Ammon; 
DEU.3.1	Poi noi ci mettemmo in cammino, e salimmo traendo verso Basan; e Og, re di Basan, con tutta la sua gente, uscì in battaglia contro a noi
DEU.3.2	E il Signore mi disse: Non temerlo; perciocchè io ti do nelle mani lui, e tutta la sua gente, e il suo paese: e fagli come tu facesti a Sihon, re degli Amorrei, che abitava in Hesbon. 
DEU.3.3	E il Signore Iddio nostro ci diede nelle mani eziandio Og, re di Basan, e tutta la sua gente; e noi lo percotemmo, per maniera che non gli lasciammo alcuno in vita. 
DEU.3.4	E in quel tempo pigliammo tutte le sue città; e non vi fu città alcuna che noi non prendessimo loro; 
DEU.3.5	Tutte quelle città 
DEU.3.6	E noi le distruggemmo al modo dell'interdetto, come avevamo fatto a Sihon, re di Hesbon; distruggendo al modo dell'interdetto, in tutte le città, gli uomini, le donne, e i fanciulli
DEU.3.7	Ma predammo per noi tutto il bestiame, e le spoglie delle città.
DEU.3.8	Così pigliammo in quel tempo a' due re degli Amorrei, ch'
DEU.3.9	(i Sidonii chiamano Hermon Sirion, ma gli Amorrei lo chiamano Senir) 
DEU.3.10	tutte le città della pianura, e tutto Galaad, e tutto Basan, fino a Salca, ed Edrei, le città del regno di Og, in Basan. 
DEU.3.11	Conciossiachè Og, re di Basan, fosse rimasto solo delle reliquie de' giganti; ecco, la sua lettiera, 
DEU.3.12	E in quel tempo noi prendemmo possessione di questo paese; io diedi a' Gaditi, e a' Rubeniti, 
DEU.3.13	Diedi ancora alla metà della tribù di Manasse il rimanente di Galaad, e tutto Basan, 
DEU.3.14	Iair, figliuolo di Manasse, prese tutta la contrada di Argob, fino a' confini de' Ghesuriti e de' Maacatiti; e chiamò que'  
DEU.3.15	E a Machir diedi Galaad
DEU.3.16	Ma a' Rubeniti e a' Gaditi diedi da Galaad fino al torrente di Arnon, nel mezzo del torrente, e i confini; e fino al torrente di Iabboc, confine de' figliuoli di Ammon; 
DEU.3.17	e la campagna, e il Giordano, e i confini, da Chinneret, fino al mare della pianura, 
DEU.3.18	E in quel tempo io vi comandai, e dissi: Il Signore Iddio vostro vi ha dato questo paese, per possederlo; tutti gli uomini di valore 
DEU.3.19	Sol restino nelle vostre città, ch'io vi ho date, le vostre mogli, e i vostri piccoli figliuoli, e il vostro bestiame, del quale io so che avete assai; 
DEU.3.20	finchè il Signore abbia dato riposo a' vostri fratelli, siccome 
DEU.3.21	In quel tempo ancora io comandai, e dissi a Giosuè
DEU.3.22	Non temete di loro; perciocchè il Signore Iddio vostro 
DEU.3.23	In quel tempo ancora io supplicai al Signore, dicendo: 
DEU.3.24	Signore Iddio, tu hai cominciato a mostrare al tuo servitore la tua grandezza, e la tua potente mano; perciocchè, chi 
DEU.3.25	Deh! 
DEU.3.26	Ma il Signore si era gravemente adirato contro a me, per cagion vostra
DEU.3.27	Sali in su la sommità di Pisga, e alza gli occhi verso Occidente, verso Settentrione, verso Mezzodì, e verso Oriente, e riguarda 
DEU.3.28	E da' i tuoi ordini a Giosuè, e confortalo, e inanimalo; conciossiachè esso abbia da passar davanti a questo popolo, e da metterlo in possessione del paese che tu vedrai
DEU.3.29	E noi ci fermammo in questa valle, dirimpetto a Bet-peor.
DEU.4.1	ORA dunque, Israele, attendi agli statuti e alle leggi le quali io t'insegno, acciocchè tu 
DEU.4.2	Non aggiungete 
DEU.4.3	Gli occhi vostri hanno veduto ciò che il Signore fece per cagione di Baal-peor; come il Signore Iddio tuo distrusse d'infra te chiunque era andato dietro a Baal-peor
DEU.4.4	Ma voi, che vi siete attenuti al Signore Iddio vostro, siete oggi tutti in vita.
DEU.4.5	Ecco, io vi ho insegnati statuti e leggi, siccome il Signore Iddio mio mi ha comandato; acciocchè facciate così nel paese, nel quale voi entrate, per possederlo. 
DEU.4.6	Osservate
DEU.4.7	Imperocchè quale 
DEU.4.8	E quale è la gran nazione, che abbia statuti e leggi giuste, siccome 
DEU.4.9	Sol prenditi guardia, e guarda diligentemente l'anima tua
DEU.4.10	 in 
DEU.4.11	E voi vi appressaste, e vi fermaste sotto il monte, il quale ardeva in fuoco, fino a mezzo il cielo, 
DEU.4.12	E il Signore parlò a voi di mezzo al fuoco; voi udiste la voce delle parole, ma dalla voce in fuori, non vedeste alcuna simiglianza
DEU.4.13	Ed egli vi dichiarò il suo patto, ch'egli vi comandò di mettere in opera; le dieci parole ch'egli scrisse in su due Tavole di pietra
DEU.4.14	E a me comandò il Signore in quel tempo che io v'insegnassi statuti e leggi, acciocchè voi le metteste in opera nel paese, al quale voi passate per possederlo.
DEU.4.15	Guardatevi adunque diligentemente, sopra l'anime vostre; conciossiachè voi non vedeste alcuna simiglianza nel giorno che il Signore vi parlò in Horeb di mezzo al fuoco; 
DEU.4.16	che talora voi non vi corrompiate, e non vi facciate alcuna scultura, nè simiglianza d'alcuna immagine, 
DEU.4.17	 ritratto d'alcun animale che 
DEU.4.18	 ritratto d'alcuna 
DEU.4.19	e che talora, alzando gli occhi al cielo, e veggendo il sole, e la luna, e le stelle, tutto l'esercito del cielo, tu non sii sospinto ad adorar quelle cose e a servir loro
DEU.4.20	Ma il Signore ha presi voi; e trattivi fuor della fornace di ferro, di Egitto, acciocchè gli siate un popolo ereditario
DEU.4.21	Or il Signore si adirò gravemente contro a me per cagion vostra, e giurò che io non passerei il Giordano
DEU.4.22	Conciossiachè io abbia da morire in questo paese
DEU.4.23	Guardatevi che talora non dimentichiate il patto del Signore Iddio vostro, il quale egli ha fatto con voi, e non vi facciate 
DEU.4.24	Perciocchè il Signore Iddio tuo è un fuoco consumante
DEU.4.25	Quando avrete generati figliuoli e figliuoli di figliuoli, e sarete invecchiati nel paese, se voi vi corrompete, e fate scultura, 
DEU.4.26	io prendo oggi in testimonio contro a voi il cielo e la terra, che tosto perirete del tutto d'in sul paese, al quale, passato il Giordano, andate per possederlo; voi non prolungherete i vostri giorni sopra esso, anzi del tutto sarete distrutti
DEU.4.27	E il Signore vi dispergerà fra' popoli
DEU.4.28	E quivi servirete a dii 
DEU.4.29	Ma pure, se di là voi ricercherete il Signore Iddio vostro, voi 
DEU.4.30	Quando tu sarai in angoscia, e tutte queste cose ti saranno avvenute, se negli ultimi tempi tu ti converti al Signore Iddio tuo, e ubbidisci alla sua voce; 
DEU.4.31	perciocchè il Signore Iddio tuo 
DEU.4.32	Perciocchè, domanda pure ora dei tempi antichi, che sono stati avanti che tu fossi, dal dì che Iddio creò l'uomo in su la terra, se mai da uno estremo del cielo, infino all'altro, è stato fatto, o si è udito nulla di simile a questa gran cosa; 
DEU.4.33	se mai alcun popolo ha udita la voce di Dio parlante di mezzo al fuoco, come l'hai udita tu, ed è restato in vita
DEU.4.34	Ovvero, se Iddio ha mai fatta una tal prova, di venire a prendersi una nazione d'infra un'altra, con prove, con miracoli, e con prodigi, e con battaglie, e con potente mano, e con braccio disteso, e con grandi spaventi, secondo tutto ciò che il Signore Iddio vostro vi ha fatto in Egitto, davanti agli occhi vostri
DEU.4.35	A te sono state fatte veder 
DEU.4.36	Egli ti ha fatto udir la sua voce dal cielo, per ammaestrarti; e in terra ti ha fatto vedere il suo gran fuoco, e tu hai udite le sue parole di mezzo al fuoco
DEU.4.37	E per ciò ch'egli ha amati i tuoi padri, egli ha eletta la lor progenie dopo loro, e ti ha tratto fuor di Egitto, con la sua faccia, 
DEU.4.38	per cacciar d'innanzi a te genti più grandi, e più potenti di te
DEU.4.39	Conosci adunque oggi, e riduciti al cuore, che il Signore 
DEU.4.40	Osserva adunque i suoi statuti e i suoi comandamenti che oggi ti do, acciocchè sia bene a te, e a' tuoi figliuoli dopo te
DEU.4.41	ALLORA Mosè mise da parte di qua dal Giordano, verso il sol levante, tre città, 
DEU.4.42	acciocchè vi si rifuggisse l'ucciditore che avesse ucciso il suo prossimo disavvedutamente
DEU.4.43	 Beser, nel deserto, nella contrada della pianura, 
DEU.4.44	OR quest'
DEU.4.45	Queste 
DEU.4.46	Di qua dal Giordano, nella valle, dirincontro a Bet-peor, nel paese di Sihon, re degli Amorrei, che abitava in Hesbon; il qual Mosè, e i figliuoli d'Israele, aveano percosso
DEU.4.47	e il cui paese conquistarono, insieme col paese di Og, re di Basan; due re degli Amorrei, i quali 
DEU.4.48	da Aroer, che 
DEU.5.1	E Mosè chiamò tutto Israele, e disse loro: Ascolta, Israele, gli statuti e le leggi le quali io pronunzio ogg
DEU.5.2	Il Signore Iddio nostro fece patto con noi in Horeb
DEU.5.3	Il Signore non fece questo patto co' nostri padri, anzi con noi, che siamo oggi qui 
DEU.5.4	Il Signore parlò con voi a faccia a faccia, sul monte, di mezzo al fuoco
DEU.5.5	(stando io in quel tempo fra il Signore e voi, per rapportarvi la parola del Signore
DEU.5.6	Io 
DEU.5.7	Non avere altri dii nel mio cospetto.
DEU.5.8	Non farti scultura alcuna, 
DEU.5.9	Non adorar quelle cose, e non servir loro; perciocchè io, il Signore Iddio tuo, 
DEU.5.10	e uso benignità in mille 
DEU.5.11	Non usare il Nome del Signore Iddio tuo in vano; perciocchè il Signore non terrà per innocente chi avrà usato il suo Nome in vano.
DEU.5.12	Osserva il giorno del riposo, per santificarlo, siccome il Signore Iddio tuo ti ha comandato. 
DEU.5.13	Lavora sei giorni, e fai ogni opera tua. 
DEU.5.14	Ma il settimo giorno 
DEU.5.15	E ricordati che tu sei stato servo nel paese di Egitto
DEU.5.16	Onora tuo padre e tua madre, come il Signore Iddio tuo ti ha comandato; acciocchè i tuoi giorni sieno prolungati; e acciocchè ti sia bene in su la terra che il Signore Iddio tuo ti dà.
DEU.5.17	Non uccidere.
DEU.5.18	Non commettere adulterio.
DEU.5.19	Non furare.
DEU.5.20	Non dir falsa testimonianza contro al tuo prossimo.
DEU.5.21	Non concupir la moglie del tuo prossimo; parimente non appetir la casa del tuo prossimo; nè il suo campo, nè il suo servo, nè la sua serva, nè il suo bue, nè il suo asino, nè cosa alcuna che 
DEU.5.22	Queste parole pronunziò il Signore a tutta la vostra raunanza, sul monte, di mezzo al fuoco, alla nuvola, e alla caligine, ad alta voce; e non le disse altro; e scrisse quelle sopra due Tavole di pietra, le quali egli mi diede
DEU.5.23	Ora, dopo che aveste udita quella voce di mezzo all'oscurità, ardendo il monte in fuoco, voi foste a me, 
DEU.5.24	Ecco, il Signore Iddio nostro ci ha fatta veder la sua gloria, e la sua grandezza, e noi abbiamo udita la sua voce di mezzo al fuoco
DEU.5.25	Ora dunque, perchè morremmo noi? perciocchè questo gran fuoco ci consumerà; se noi seguitiamo a udire ancora la voce del Signore Iddio nostro, noi morremo
DEU.5.26	Imperocchè, quale 
DEU.5.27	Accostati tu, e ascolta tutto ciò che il Signore Iddio nostro dirà; e tu ci rapporterai tutto ciò che il Signore Iddio nostro ti avrà detto
DEU.5.28	E il Signore udì la voce delle vostre parole, mentre parlavate meco. E il Signore mi disse: Io ho udita la voce delle parole di questo popolo, ch'egli ti ha dette; essi hanno ben parlato in tutto ciò che hanno detto. 
DEU.5.29	Oh! avessero pur sempre un tal animo per temermi, e per osservar tutti i miei comandamenti
DEU.5.30	Va', di' loro: Ritornate alle vostre tende. 
DEU.5.31	Ma tu, resta qui meco, ed io ti dirò tutti i comandamenti, e gli statuti, e le leggi, che tu devi loro insegnare, e ch'essi debbono mettere in opera, nel paese che io do loro, per possederlo. 
DEU.5.32	Prendete adunque guardia di far secondo che il Signore Iddio vostro vi ha comandato; non ve 
DEU.5.33	Camminate per tutta la via che il Signore Iddio vostro vi ha comandata
DEU.6.1	OR questi 
DEU.6.2	acciocchè tu tema il Signore Iddio tuo, osservando tutti i suoi statuti e comandamenti,
DEU.6.3	Ascolta adunque o Israele, e osserva di metter
DEU.6.4	Ascolta, Israele: Il Signore Iddio nostro 
DEU.6.5	Ama dunque il Signore Iddio tuo con tutto il tuo cuore, con tutta l'anima tua, e con tutto il tuo maggior potere
DEU.6.6	E dimorino queste parole, le quali oggi ti comando, nel tuo cuore
DEU.6.7	e inculcale a' tuoi figliuoli
DEU.6.8	E legale per segnale, in su la tua mano, e sieno per frontali fra' tuoi occhi
DEU.6.9	Scrivile ancora sopra gli stipiti della tua casa, e sopra le tue porte.
DEU.6.10	E quando il Signore Iddio tuo ti avrà introdotto nel paese, del quale egli ha giurato a' tuoi padri, ad Abrahamo, a Isacco, e a Giacobbe, ch'egli te lo darebbe, nelle città grandi e belle, le quali tu non hai edificate
DEU.6.11	e nelle case piene d'ogni bene, le quali tu non hai empiute; e a' pozzi cavati, che tu non hai cavati; 
DEU.6.12	guardati che talora tu non dimentichi il Signore, che ti ha tratto fuor del paese di Egitto, della casa di servitù.
DEU.6.13	Temi il Signore Iddio tuo, e a lui servi
DEU.6.14	e giura per lo suo Nome
DEU.6.15	perciocchè il Signore Iddio tuo 
DEU.6.16	Non tentate il Signore Iddio vostro
DEU.6.17	Del tutto osservate i comandamenti del Signore Iddio vostro, e le sue testimonianze, e i suoi statuti ch'egli vi ha dati. 
DEU.6.18	E fa' ciò che è diritto e buono negli occhi del Signore; acciocchè ti sia bene, e che tu entri nel buon paese, il quale il Signore ha giurato a' tuoi padri; e che tu lo possegga. 
DEU.6.19	Acciocchè egli cacci d'innanzi a te tutti i tuoi nemici; come il Signore ne ha parlato.
DEU.6.20	Quando il tuo figliuolo per l'innanzi ti domanderà, dicendo: Che 
DEU.6.21	Di' al tuo figliuolo: Noi eravamo servi di Faraone in Egitto; e il Signore ci trasse fuor di Egitto con potente mano. 
DEU.6.22	E il Signore fece miracoli, e prodigi grandi e dannosi sopra gli Egizj, e sopra Faraone, e sopra tutta la sua casa, davanti agli occhi nostri. 
DEU.6.23	E ci trasse fuor di là, per condurci nel paese il quale egli avea giurato a' nostri padri, e per darcelo. 
DEU.6.24	E il Signore ci comandò di mettere in opera tutti questi statuti, per temere il Signore Iddio nostro, acciocchè ci 
DEU.6.25	E 
DEU.7.1	QUANDO il Signore Iddio tuo ti avrà introdotto nel paese, al quale tu vai per possederlo, e avrà stirpate d'innanzi a te molte nazioni
DEU.7.2	e il Signore le avrà messe in tuo potere, e tu le avrai sconfitte; del tutto distruggile al modo dell'interdetto
DEU.7.3	E non imparentarti con loro; non dar le tue figliuole a' lor figliuoli, e non prender le lor figliuole per li tuoi figliuoli
DEU.7.4	Perciocchè rivolgerebbero i tuoi figliuoli di dietro a me; onde essi servirebbero a dii stranieri; e l'ira del Signore si accenderebbe contro a voi, ed egli vi distruggerebbe subitamente. 
DEU.7.5	Anzi fate loro così: Disfate i loro altari, e spezzate le loro statue, e tagliate i lor boschi, e bruciate col fuoco le loro sculture
DEU.7.6	Perciocchè tu 
DEU.7.7	Il Signore non vi ha posta affezione, e non vi ha eletti, perchè foste più grandi che tutti gli 
DEU.7.8	Anzi, perchè il Signore vi ha amati
DEU.7.9	Conosci adunque che il Signore Iddio tuo 
DEU.7.10	e che fa la retribuzione in faccia a quelli che l'odiano, per distruggerli
DEU.7.11	Osserva adunque i comandamenti, e gli statuti, e le leggi, le quali oggi ti do, acciocchè tu le metta in opera.
DEU.7.12	E avverrà, perciocchè voi avrete udite queste leggi, e le avrete osservate, e messe in opera, che il Signore Iddio vostro vi osserverà il patto e la benignità ch'egli ha giurata a' vostri padri. 
DEU.7.13	Ed egli ti amerà
DEU.7.14	Tu sarai benedetto sopra tutti i popoli; ei non vi sarà nel mezzo di te, e del tuo bestiame, nè maschio, nè femmina sterile
DEU.7.15	E il Signore rimoverà da te ogni malattia; e non ti metterà addosso alcuna di quelle malvage infermità di Egitto, delle quali tu hai avuto conoscenza
DEU.7.16	Distruggi adunque tutti i popoli che il Signore Iddio tuo ti dà
DEU.7.17	Se pur tu dici nel tuo cuore: Queste nazioni 
DEU.7.18	Non temer di loro; ricordati pur delle cose che il Signore Iddio tuo ha fatte a Faraone, e a tutti gli Egizj; 
DEU.7.19	delle gran prove che gli occhi tuoi hanno vedute, e de' miracoli, e de' prodigi, e della potente mano, e del braccio steso, col quale il Signore Iddio tuo ti ha tratto fuori
