GEN.1.1	起初，神创造诸天和大地。
PSA.34.6	拯救我
PSA.34.7	耶和华的使者在敬畏耶和华的人四围扎营，
PSA.34.7	搭救他们。
PSA.34.8	你们要尝试，就知道耶和华是美善的！
PSA.34.8	那投靠他的人，是蒙福的！
PSA.34.9	耶和华的圣者们哪，你们当敬畏他！
PSA.34.9	因为敬畏他的人一无所缺。
PSA.34.10	少壮狮子也会疲乏、饥饿，
PSA.34.10	但寻求耶和华的什么福份都不缺。
PSA.34.11	来吧，儿女们，听从我！
PSA.34.11	我要教导你们敬畏耶和华。
PSA.34.12	谁是那喜爱生命、爱慕长寿
PSA.34.12	为要看到福份的人呢？
PSA.34.13	他
PSA.34.13	谨守嘴唇不说欺诈的话。
PSA.34.14	当离弃恶事，当行善事，
PSA.34.14	寻找并追求和平。
PSA.34.15	耶和华的眼目向着义人，
PSA.34.15	他的耳朵听他们的呼求。
PSA.34.16	耶和华的脸敌对作恶的人，
PSA.34.16	要把他们的名号从地上剪除。
PSA.34.17	义人呼求，耶和华就垂听，
PSA.34.17	解救他们脱离一切的患难。
PSA.34.18	耶和华与心灵破碎者相近，
PSA.34.18	他拯救灵里痛悔的人。
PSA.34.19	义人有许多患难，
PSA.34.19	但耶和华解救他脱离这一切，
PSA.34.20	又保守他全身的骨头，
PSA.34.20	一根也不折断。
PSA.34.21	恶事必害死恶人，
PSA.34.21	恨义人的必承担罪责。
PSA.34.22	耶和华救赎他仆人的灵魂，
PSA.34.22	所有投靠他的都不致承担罪责。
PSA.35.1	耶和华啊，与我相争的，求你与他们相争；
PSA.35.1	与我争战的，求你与他们争战！
PSA.35.2	求你握住盾牌和挡牌，
PSA.35.2	起来帮助我；
PSA.35.3	求你拔出长矛和标枪，迎战追赶我的人；
PSA.35.3	求你对我说：“我是你的拯救！”
PSA.35.4	愿那些寻索我命的，蒙羞受辱；
PSA.35.4	愿那些设计加害我的，羞惭后退。
PSA.35.5	愿他们如同风前的糠秕，
PSA.35.5	有耶和华的使者驱赶他们。
PSA.35.6	愿他们的道路又暗又滑，
PSA.35.6	有耶和华的使者追赶他们；
PSA.35.7	因为他们无故暗设网罗害我，
PSA.35.7	无故挖掘深坑害我的性命。
PSA.35.8	愿毁灭在他们不知不觉时临到他们，
PSA.35.8	愿他们暗设的网罗缠住他们，
PSA.35.8	愿他们落在其中遭毁灭。
PSA.35.9	那时我的心必因耶和华而快乐，
PSA.35.9	因他的救恩而高兴。
PSA.35.10	我全身的骨头都要说：
PSA.35.10	“耶和华啊，谁能像你呢？
PSA.35.10	你解救困苦人脱离那些比他强大的；
PSA.35.10	解救困苦人和贫穷人脱离那些抢夺他的。”
PSA.35.11	残暴的见证人起来，
PSA.35.11	质问我不知道的事。
PSA.35.12	他们对我以恶报善，
PSA.35.12	使我的心孤苦。
PSA.35.13	而我在他们患病的时候，
PSA.35.13	以麻布为衣袍，以禁食苦待己心，
PSA.35.13	在心中一再祷告
PSA.35.14	我往来奔走，像为我的朋友、弟兄；
PSA.35.14	我哀痛、沮丧，像为母亲悲哀。
PSA.35.15	但我跌倒的时候，
PSA.35.15	他们却欢喜聚集；
PSA.35.15	我不认识的卑贱人聚集攻击我，
PSA.35.15	不停地撕扯我；
PSA.35.16	他们像宴席上狂妄的讥笑者，
PSA.35.16	向我咬牙切齿。
PSA.35.17	主啊，你还要看多久呢？
PSA.35.17	求你救我的性命脱离他们的残害，
PSA.35.17	救我宝贵的生命脱离少壮狮子。
PSA.35.18	我要在广大的会众里称谢你，
PSA.35.18	在强盛的子民中赞美你。
PSA.35.19	求你不要让那些无理与我为敌的对我幸灾乐祸，
PSA.35.19	不要让那些无故恨我的用眼嘲弄我；
PSA.35.20	因为他们不说平安的话，
PSA.35.20	却针对地上安分的人谋算欺诈的事
PSA.35.21	他们对我张大嘴巴说：
PSA.35.21	“啊哈！啊哈！我们的眼睛看到了！”
PSA.35.22	耶和华啊，你已经看到了，求你不要沉默！
PSA.35.22	主啊，求你不要远离我！
PSA.35.23	我的神、我的主啊，
PSA.35.23	求你醒来、奋起，
PSA.35.23	为我伸冤、为我辩护！
PSA.35.24	耶和华我的神哪，
PSA.35.24	求你照着你的公义为我施行审判！
PSA.35.24	不要让他们对我幸灾乐祸，
PSA.35.25	不要让他们心里说：
PSA.35.25	“啊哈，这正如我们所愿！”
PSA.35.25	不要让他们说：
PSA.35.25	“我们已经把他吞掉了！”
PSA.35.26	愿那些对我幸灾乐祸的，全都抱愧蒙羞；
PSA.35.26	愿那些在我面前高抬自己的，披上耻辱和羞愧。
PSA.35.27	愿那些喜欢我被定为义的，都欢呼欢喜；
PSA.35.27	愿他们常常说：“当尊耶和华为大！
PSA.35.27	耶和华喜悦他的仆人平安。”
PSA.35.28	我的舌头要述说你的公义，
PSA.35.28	终日赞美你！
PSA.36.1	论到恶人的罪过，我心里有这样的话语
PSA.36.1	“他的眼中没有对神的敬畏；
PSA.36.2	因为他在眼中自我谄媚，
PSA.36.2	以致他不能发现、更不能恨恶自己的罪孽。
PSA.36.3	他口中的话语充满奸恶和欺诈，
PSA.36.3	他不再有智慧，也不再行善。
PSA.36.4	他在床上就图谋作恶，
PSA.36.4	定意行恶道，不拒绝恶事。”
PSA.36.5	耶和华啊，你的慈爱上达诸天，
PSA.36.5	你的信实上达云霄！
PSA.36.6	你的公义如高大的群山，
PSA.36.6	你的公正如巨大的深渊。
PSA.36.6	耶和华啊，你使人和牲畜都得救助！
PSA.36.7	神哪，你的慈爱多么宝贵，
PSA.36.7	世人投靠在你翅膀的荫庇下！
PSA.36.8	他们饱尝你家中的肥甘，
PSA.36.8	你给他们喝你甜美的溪水；
PSA.36.9	因为生命的泉源在于你，
PSA.36.9	在你的光中，我们才能看到光。
PSA.36.10	求你向认识你的人延续你的慈爱，
PSA.36.10	向心里正直的人延续你的公义。
PSA.36.11	不要让自高之人的脚靠近我，
PSA.36.11	不要让恶人的手使我流离飘荡。
PSA.36.12	看哪
PSA.36.12	他们被推倒，不能够起来。
PSA.37.1	不要因作恶者而心怀不平，
PSA.37.1	也不要嫉妒那行不义的人，
PSA.37.2	因为他们就像青草快被割掉，
PSA.37.2	也像青绿的嫩草即将衰败。
PSA.37.3	你要依靠耶和华，要行善事，
PSA.37.3	在地上安居，并要以信实为粮；
PSA.37.4	你要以耶和华为乐，
PSA.37.4	他就把你心里所求的赐给你。
PSA.37.5	当把你的道路交托耶和华；
PSA.37.5	当依靠他，他就成全；
PSA.37.6	他将使你的公义如光发出，
PSA.37.6	使你的公正明亮
PSA.37.7	你要在耶和华面前静默，耐心等候他；
PSA.37.7	不要因那道路通达、施行诡计的人而心怀不平。
PSA.37.8	当抑制怒气，离弃怒火；
PSA.37.8	不要心怀不平，那只会导致恶事。
PSA.37.9	因为作恶的必被剪除，
PSA.37.9	唯有等候耶和华的必继承地土。
PSA.37.10	再过片刻，恶人就不复存在；
PSA.37.10	你就是在他的地方仔细查找，也找不到他。
PSA.37.11	但谦卑的人必继承地土，
PSA.37.11	以丰盛的平安为乐。
PSA.37.12	恶人决意要对付义人，
PSA.37.12	向他咬牙切齿。
PSA.37.13	但主必讥笑恶人，
PSA.37.13	因为见他受罚的
PSA.37.14	恶人已经拔出刀剑，拉开了弓，
PSA.37.14	要使困苦人和贫穷人倒下，
PSA.37.14	要杀戮行为正直的人。
PSA.37.15	但恶人的刀剑将刺入自己的心，
PSA.37.15	他们的弓也将被打断。
PSA.37.16	一个义人拥有的虽少，
PSA.37.16	却好过许多恶人的富有。
PSA.37.17	因为恶人的膀臂必被打断，
PSA.37.17	耶和华却扶助义人。
PSA.37.18	耶和华知道纯全人的日子，
PSA.37.18	他们的继业长存，直到永远。
PSA.37.19	他们在灾祸中不致蒙羞，
PSA.37.19	在饥荒的日子里也会饱足。
PSA.37.20	然而恶人必将灭亡，
PSA.37.20	耶和华的仇敌如同草场
PSA.37.20	如烟消逝。
PSA.37.21	恶人只借不还；
PSA.37.21	义人却恩待人、给予人。
PSA.37.22	要知道，蒙耶和华祝福的，必继承地土；
PSA.37.22	被耶和华诅咒的，必被剪除。
PSA.37.23	人的脚步被耶和华所立定，
PSA.37.23	他的道路为耶和华所喜悦。
PSA.37.24	他即使仆倒，也不被抛弃，
PSA.37.24	因为耶和华扶助他的手。
PSA.37.25	我曾经年少，现在老了，
PSA.37.25	却从来没有见过义人被离弃，
PSA.37.25	也没有见过他的后裔讨饭。
PSA.37.26	他终日恩待人、借予人，
PSA.37.26	连他的后裔也成为人的祝福
PSA.37.27	你当远离恶事，当行善事，
PSA.37.27	就必安居直到永远；
PSA.37.28	因为耶和华喜爱公正，
PSA.37.28	不离弃他的忠信者，
PSA.37.28	他们必蒙保守，直到永远；
PSA.37.28	而恶人的后裔必被剪除。
PSA.37.29	义人将继承地土，
PSA.37.29	在其上永远安居。
PSA.37.30	义人的口，述说智慧；
PSA.37.30	他的舌头，讲说公正。
PSA.37.31	神的律法在他心里，
PSA.37.31	他的步履不会摇摆。
PSA.37.32	恶人窥伺义人，
PSA.37.32	设法置他于死地；
PSA.37.33	但耶和华必不将他离弃在恶人的手中；
PSA.37.33	在审判的时候，也不定他有罪。
PSA.37.34	你当等候耶和华，谨守他的道路；
PSA.37.34	他就高举你，使你继承地土；
PSA.37.34	恶人被剪除的时候，你必看到。
PSA.37.35	我曾看到恶人的强横，
PSA.37.35	像本地青翠的树那样蔓延；
PSA.37.36	但他很快就消逝了
PSA.37.36	虽然我寻找他，却找不到。
PSA.37.37	你当留意纯全的人，观看正直的人，
PSA.37.37	因为这些和平的人必有前途
PSA.37.38	至于叛逆者，都要被除灭，
PSA.37.38	恶人的前途必遭断绝。
PSA.37.39	义人的拯救来自耶和华，
PSA.37.39	他是他们在患难时的保障。
PSA.37.40	耶和华帮助他们，搭救他们；
PSA.37.40	他搭救他们脱离恶人，把他们拯救出来，
PSA.37.40	因为他们投靠他。
PSA.38.1	耶和华啊，求你不要在你的震怒中责备我，
PSA.38.1	不要在你的怒火中管教我！
PSA.38.2	因为你的箭射入我身，
PSA.38.2	你的手压住了我。
PSA.38.3	因你的愤怒，
PSA.38.3	我的肉体无一处健全；
PSA.38.3	因我的罪过，
PSA.38.3	我的骨头没有安宁；
PSA.38.4	我的罪孽高过我的头，
PSA.38.4	过于沉重，如同重担。
PSA.38.5	因我的愚妄，
PSA.38.5	我的伤口发臭腐烂；
PSA.38.6	我屈身弯腰，低到极处，
PSA.38.6	终日在哀痛中行走；
PSA.38.7	因为我的腰满是灼痛，
PSA.38.7	我的肉体无一处健全。
PSA.38.8	我失去知觉，全然被压碎，
PSA.38.8	我因内心挣扎而呻吟。
PSA.38.9	主啊，我全部的愿望都在你面前！
PSA.38.9	我的叹息也不能向你隐藏。
PSA.38.10	我的心颤栗，我的体力耗尽，
PSA.38.10	连我眼中的光也没有了。
PSA.38.11	我所爱的人和朋友，
PSA.38.11	都在我祸患面前袖手旁观，
PSA.38.11	我的亲友也在远处站着。
PSA.38.12	那些寻索我命的设下圈套，
PSA.38.12	那些寻机加害我的口吐威吓，
PSA.38.12	他们终日思想诡计。
PSA.38.13	至于我，我就像耳聋的不能听见，
PSA.38.13	像哑巴不能开口。
PSA.38.14	我就像是一个不能听见、
PSA.38.14	口中也无法辩论的人。
PSA.38.15	然而耶和华啊，我期盼你！
PSA.38.15	主我的神哪，你必回应！
PSA.38.16	因为我曾说：“不要让他们对我幸灾乐祸；
PSA.38.16	我的脚动摇时，不要让他们在我面前高抬自己。”
PSA.38.17	是的，我快要跌倒了，
PSA.38.17	我的痛苦一直在我面前。
PSA.38.18	我要承认我的罪孽，
PSA.38.18	我因自己的罪而忧伤。
PSA.38.19	我的仇敌活跃强盛，
PSA.38.19	无故恨我的人众多。
PSA.38.20	那些以恶报善的人控告我，
PSA.38.20	因为我追求良善。
PSA.38.21	耶和华啊，求你不要离弃我！
PSA.38.21	我的神哪，求你不要远离我！
PSA.38.22	拯救我的主啊，
PSA.38.22	求你快来帮助我！
PSA.39.1	我说：“我要谨守我的道路，
PSA.39.1	免得犯口舌之罪。
PSA.39.1	恶人还在我面前的时候，
PSA.39.1	我要用笼套约束我的口。”
PSA.39.2	我沉默不语，
PSA.39.2	连好话也不出口，
PSA.39.2	我的苦痛就加剧了。
PSA.39.3	我的心在我里面灼热，
PSA.39.3	在我哀叹时如火中烧，
PSA.39.3	我就用舌头说话。
PSA.39.4	耶和华啊，求你让我知道我的结局，
PSA.39.4	以及我的年日还有多少，
PSA.39.4	让我明白自己是何等短暂易逝！
PSA.39.5	看哪，你赐给我的年日屈指可数
PSA.39.5	我的一生在你面前如同无有；
PSA.39.5	所有人站得最稳的时候，也都全然虚空！
PSA.39.6	人们往来行走，只是幻像；
PSA.39.6	他们喧闹，也是虚空；
PSA.39.6	他们积蓄，却不知道谁会收取。
PSA.39.7	主啊，我现在等候什么呢？
PSA.39.7	我的期盼就在于你！
PSA.39.8	求你解救我脱离一切的过犯，
PSA.39.8	不要使我遭受愚蠢人的羞辱。
PSA.39.9	我默然无声，也不开口，
PSA.39.9	因为这都是你所做的。
PSA.39.10	求你从我身上除掉你所加的击打；
PSA.39.10	因你手的责打，我快要灭亡了。
PSA.39.11	你因人的罪孽，就用责罚管教他，
PSA.39.11	使他所喜爱的，像被蛀虫吞蚀；
PSA.39.11	所有世人也都虚空！
PSA.39.12	耶和华啊，求你垂听我的祷告，
PSA.39.12	倾听我的呼求！
PSA.39.12	我流泪时，求你不要沉默！
PSA.39.12	因为我在你面前是寄居的，是客旅，
PSA.39.12	像我所有的祖先那样。
PSA.39.13	求你不要怒视我，
PSA.39.13	好使我在去而不返之前，可以重获喜乐。
PSA.40.1	我切切等候耶和华，
PSA.40.1	他就转向我，垂听我的呼救。
PSA.40.2	他把我从荒芜的坑里，
PSA.40.2	从泥泞沼泽中拉上来；
PSA.40.2	他使我的脚立在磐石上，
PSA.40.2	又使我的脚步安稳。
PSA.40.3	他在我口中赐下新歌，
PSA.40.3	就是对我们神的赞美；
PSA.40.3	许多人看见就心存敬畏，
PSA.40.3	并要依靠耶和华。
PSA.40.4	那以耶和华为依赖的人是蒙福的，
PSA.40.4	他不转向骄傲，不偏向虚谎。
PSA.40.5	耶和华我的神哪，
PSA.40.5	你所行的奇妙作为和你向我们所怀的意念甚多，
PSA.40.5	没有人能与你相比
PSA.40.5	即使我要宣告述说，
PSA.40.5	也数不胜数！
PSA.40.6	祭物和供物不是你所喜悦的，
PSA.40.6	燔祭和赎罪祭不是你所要的；
PSA.40.6	你开通了我的耳朵，
PSA.40.7	那时我说：“看哪，我来了，
PSA.40.7	正如经卷上有关我的记载。
PSA.40.8	我的神哪，我乐意遵行你的旨意！
PSA.40.8	你的律法在我的心里。”
PSA.40.9	我在广大的会众里传扬公义的佳音；
PSA.40.9	看哪，我不会禁止我的嘴唇！
PSA.40.9	耶和华啊，你是知道的。
PSA.40.10	我没有把你的公义掩藏在心里，
PSA.40.10	我述说了你的信实和拯救，
PSA.40.10	我没有向广大的会众隐瞒你的慈爱和真实。
PSA.40.11	可是你，耶和华啊，求你不要向我止住你的怜悯！
PSA.40.11	愿你的慈爱和信实一直守护我，
PSA.40.12	因为缠绕我的恶事多得无法数算，
PSA.40.12	我的罪孽追上我，以致我不能够看见；
PSA.40.12	它们比我的头发更多，
PSA.40.12	我的勇气
PSA.40.13	耶和华啊，求你开恩解救我！
PSA.40.13	耶和华啊，求你快来帮助我！
PSA.40.14	愿那些寻索要除掉我性命的，一同抱愧蒙羞；
PSA.40.14	愿那些喜欢我遭害的，后退受辱。
PSA.40.15	愿那些对我说“啊哈，啊哈”的，
PSA.40.15	因自己的耻辱而惊恐。
PSA.40.16	愿所有寻求你的，都因你而高兴欢喜；
PSA.40.16	愿那些喜爱你救恩的，常常说：
PSA.40.16	“愿耶和华被尊为大！”
PSA.40.17	至于我，我困苦贫穷，
PSA.40.17	愿主顾惜我！
PSA.40.17	你是我的帮助、我的救主；
PSA.40.17	我的神哪，求你不要迟延！
PSA.41.1	眷顾贫弱者的，是蒙福的！
PSA.41.1	在灾祸的日子里，耶和华必搭救他。
PSA.41.2	耶和华要保守他，使他存活；
PSA.41.2	他在这地上被称为蒙福的人。
PSA.41.2	耶和华啊
PSA.41.3	他在病床上，耶和华会扶持他；
PSA.41.3	耶和华啊
PSA.41.4	至于我，我曾说：“耶和华啊，求你恩待我！
PSA.41.4	求你使我痊愈，因为我对你犯了罪。”
PSA.41.5	我的仇敌对我说恶言：
PSA.41.5	“他什么时候会死呢？
PSA.41.5	他的名什么时候消亡呢？”
PSA.41.6	即使他来看我，也只说假话；
PSA.41.6	他心中积蓄奸恶，
PSA.41.6	走到外面才说出来。
PSA.41.7	所有恨我的人都交头接耳，一同议论我；
PSA.41.7	他们设计加害我，说：
PSA.41.8	“恶疾已临到他身上，
PSA.41.8	他躺下就再也不会起来！”
PSA.41.9	连我信任的密友
PSA.41.9	就是那吃过我饭的，也抬脚踢我。
PSA.41.10	可是你，耶和华啊，求你恩待我，
PSA.41.10	使我起来报复他们。
PSA.41.11	在这事上我就明白你喜悦我：
PSA.41.11	我的仇敌不能向我夸胜。
PSA.41.12	至于我，因我的纯全，你扶持我，
PSA.41.12	使我永远站立在你面前。
PSA.41.13	耶和华
PSA.41.13	从永远到永远！
PSA.41.13	阿们，阿们！
PSA.42.1	神哪，我的灵魂切慕你，
PSA.42.1	如鹿切慕溪水！
PSA.42.2	我的灵魂渴想神，渴想永生的神。
PSA.42.2	我什么时候能去见神的面呢？
PSA.42.3	我昼夜以眼泪为食；
PSA.42.3	人们终日对我说：“你的神在哪里呢？”
PSA.42.4	从前我与众人同行，
PSA.42.4	在欢呼和感谢的声音中带领他们到神的殿，
PSA.42.4	与守节的群众在一起。
PSA.42.4	我记起这些事，
PSA.42.4	我的灵魂就极其悲伤
PSA.42.5	我的灵魂哪，你为什么沮丧？
PSA.42.5	为什么在我里面哀鸣？
PSA.42.5	当期盼神！
PSA.42.5	因为我还要为着他面前的救恩称谢他
PSA.42.6	我的神哪，我的灵魂在我里面沮丧！
PSA.42.6	因此我从
PSA.42.7	在你瀑布的声音中，深渊与深渊响应；
PSA.42.7	你的波浪、你的洪涛全都漫过了我。
PSA.42.8	白天，耶和华赐下他的慈爱；
PSA.42.8	夜间，称颂他的歌与我相伴；
PSA.42.8	我向着我的生命之神祷告。
PSA.42.9	我要对神我的岩石说：
PSA.42.9	“你为什么忘记了我呢？
PSA.42.9	我为什么要在仇敌的压迫下哀痛而行呢？”
PSA.42.10	我的敌人终日对我说：“你的神在哪里呢？”，
PSA.42.10	他们这样辱骂我的时候，好像在击碎我的骨头。
PSA.42.11	我的灵魂哪，你为什么沮丧？
PSA.42.11	为什么在我里面哀鸣？
PSA.42.11	当期盼神！
PSA.42.11	因为我还要称谢我面前的救恩——我的神。
PSA.43.1	神哪，求你为我伸冤，
PSA.43.1	在不忠信的国民面前，为我的争讼辩护！
PSA.43.1	求你救我脱离欺诈和不义的人！
PSA.43.2	因为你是作我保障的神。
PSA.43.2	你为什么抛弃了我呢？
PSA.43.2	我又为什么因仇敌的压迫时常哀痛徘徊呢？
PSA.43.3	求你发出你的光和真理，
PSA.43.3	愿它们引导我，
PSA.43.3	将我带到你的圣山，
PSA.43.3	带到你的住所。
PSA.43.4	我就来到神的祭坛，
PSA.43.4	来到神——我最大的喜乐那里；
PSA.43.4	神哪，我的神，
PSA.43.4	我要用竖琴称谢你！
PSA.43.5	我的灵魂哪，你为什么沮丧？
PSA.43.5	为什么在我里面哀鸣？
PSA.43.5	当期盼神！
PSA.43.5	因为我还要称谢我面前的救恩——我的神。
PSA.44.1	神哪，你在古时，在我们列祖的日子里所做的事，
PSA.44.1	我们亲耳听见了，我们的祖先也向我们讲述过。
PSA.44.2	你亲手赶出列国，却安置了我们的祖先；
PSA.44.2	你向万民降灾祸，却使我们的祖先兴旺。
PSA.44.3	要知道，他们占有地土不是靠自己的刀剑，
PSA.44.3	他们得拯救不是靠自己的膀臂，
PSA.44.3	而是靠你的右手、你的膀臂和你的容光，
PSA.44.3	因你喜悦他们。
PSA.44.4	神哪，你是我的王，
PSA.44.4	求你命定
PSA.44.5	藉着你，我们冲垮我们的敌人；
PSA.44.5	奉你的名，我们践踏那些起来攻击我们的人；
PSA.44.6	因为我不是依靠我的弓，
PSA.44.6	我的刀剑也不能拯救我。
PSA.44.7	然而你拯救我们脱离我们的敌人，
PSA.44.7	使恨我们的人蒙羞。
PSA.44.8	我们终日以神夸耀，
PSA.44.8	要称颂你的名，直到永远。
PSA.44.9	但现在你抛弃了我们，使我们受辱，
PSA.44.9	不与我们的队伍一同出征。
PSA.44.10	你使我们从敌人面前转身退后；
PSA.44.10	那些恨我们的人任意抢掠。
PSA.44.11	你把我们交出，如同作食物的羊；
PSA.44.11	你又把我们打散在列国中。
PSA.44.12	你把你的子民廉价卖掉，
PSA.44.12	并没有从他们的售价多获利益。
PSA.44.13	你使我们成为邻居辱骂的对象，
PSA.44.13	成为周围人嘲笑和讽刺的对象。
PSA.44.14	你使我们在列国中成为笑柄，
PSA.44.14	在万族中被人摇头嘲笑
PSA.44.15	我的羞愧终日在我面前，
PSA.44.15	我脸上的耻辱掩盖了我。
PSA.44.16	这是因辱骂者和亵渎者的声音，
PSA.44.16	是因仇敌和报仇者的缘故。
PSA.44.17	这一切临到我们，
PSA.44.17	但我们没有忘记你，也没有违背你的约。
PSA.44.18	我们的心没有向后退缩，
PSA.44.18	我们的步履没有偏离你的道路。
PSA.44.19	然而你在豺狗出没之地压垮我们，
PSA.44.19	用死亡的阴影笼罩我们。
PSA.44.20	如果我们忘记了我们神的名，
PSA.44.20	或伸开双手向别的神祷告
PSA.44.21	难道神不会洞察这事吗？
PSA.44.21	要知道，他明白人心里的隐秘。
PSA.44.22	然而为你的缘故，我们终日被置于死地，
PSA.44.22	被看为要宰杀的羊。
PSA.44.23	主啊，求你起来！
PSA.44.23	你为什么还在沉睡？
PSA.44.23	求你醒来，不要永久抛弃我们！
PSA.44.24	你为什么要隐藏你的脸，
PSA.44.24	忘记我们所受的苦难和压迫呢？
PSA.44.25	我们的灵魂沉沦在尘土中，
PSA.44.25	我们的肚腹紧贴在地。
PSA.44.26	求你起来帮助我们，
PSA.44.26	为你慈爱的缘故救赎我们！
PSA.45.1	我的心涌出优美的话语，
PSA.45.1	我为王朗诵我的作品，
PSA.45.1	我的舌头是老练文士的笔。
PSA.45.2	你比世人更美，
PSA.45.2	恩惠浇灌在你的嘴唇上，
PSA.45.2	因此神祝福你，直到永远。
PSA.45.3	勇士啊，当把刀剑在腿上束好，
PSA.45.3	带着你的尊荣和威严！
PSA.45.4	为真理、谦卑和公义的缘故，
PSA.45.4	带着你的威严乘胜前进！
PSA.45.4	愿你的右手向你显明可畏的事！
PSA.45.5	你的箭矢尖锐，射入王的仇敌的心；
PSA.45.5	万民都仆倒在你之下。
PSA.45.6	神哪，你的宝座是永永远远的，
PSA.45.6	你国度的权杖是公平的权杖！
PSA.45.7	你爱公义，恨邪恶；
PSA.45.7	因此神，就是你的神，
PSA.45.7	用喜乐的油膏抹你，胜过膏抹你的同伴。
PSA.45.8	你所有的衣服都有没药、沉香、桂皮的香气
PSA.45.8	在象牙宫殿里有丝弦乐器声使你欢喜。
PSA.45.9	属你的尊贵妇女中，有列王的女儿；
PSA.45.9	王后佩戴
PSA.45.10	女儿啊，你要听、要看、要侧耳听——
PSA.45.10	你当忘记你的民和你父家！
PSA.45.11	愿王渴慕你的美丽！
PSA.45.11	因他是你的主，你当向他下拜！
PSA.45.12	民中的富人将恳求你的情面。
PSA.45.13	王的女儿在宫殿
PSA.45.13	她的衣袍上有金线的刺绣。
PSA.45.14	她身穿绣花的彩衣，被领到王那里；
PSA.45.14	她后面陪伴着的童女们也被带到你那里。
PSA.45.15	她们在欢喜和快乐中被引领，
PSA.45.15	进入王的宫殿。
PSA.45.16	你的子孙将接续你的祖先，
PSA.45.16	你将设立他们在全地作首领。
PSA.45.17	我要使你的名万世万代被记念，
PSA.45.17	万民将因此称谢你，直到永永远远。
PSA.46.1	神是我们的避难所和力量，
PSA.46.1	是患难中随时可得的帮助，
PSA.46.2	因此我们不害怕——
PSA.46.2	即使大地变动，
PSA.46.2	群山动摇陷入海中
PSA.46.3	即使海洋的众水咆哮、翻腾，
PSA.46.3	群山因海水上涨而震动，
PSA.46.3	我们也不害怕。
PSA.46.4	有一条河，它的众支流使神的城欢喜；
PSA.46.4	这城是至高者圣洁的住所。
PSA.46.5	神在这城当中，城就不致动摇；
PSA.46.5	清晨来临，神就帮助她。
PSA.46.6	万邦喧闹，列国动摇；
PSA.46.6	神发出声音，大地就融解。
PSA.46.7	万军之耶和华与我们同在，
PSA.46.8	你们当来观察耶和华的作为！
PSA.46.8	他使大地成为废墟
PSA.46.9	他使战争终止，直到地极；
PSA.46.9	他打断弓、砍断矛，
PSA.46.9	用烈火烧掉战车。
PSA.46.10	“平息吧，当明白我是神！
PSA.46.10	我必在列国中受尊崇，必在全地受尊崇。”
PSA.46.11	万军之耶和华与我们同在，
PSA.47.1	万民哪，你们当鼓掌，
PSA.47.1	当用欢呼的声音向神呼喊！
PSA.47.2	因为耶和华至高者是可畏的，
PSA.47.2	他是全地之上的伟大君王。
PSA.47.3	他使万民降服在我们之下，
PSA.47.3	使万族降服在我们脚下。
PSA.47.4	他为我们拣选了继业，
PSA.47.4	就是他所爱的
PSA.47.5	神在欢呼中上升，
PSA.47.5	耶和华在号角声中上升。
PSA.47.6	你们当歌颂，歌颂神！
PSA.47.6	你们当歌颂，歌颂我们的王；
PSA.47.7	因为神是全地的王。
PSA.47.7	你们当用智慧诗来歌颂他！
PSA.47.8	神在列国之上作王，
PSA.47.8	在他圣洁的宝座上坐着为王。
PSA.47.9	万民中高贵的人聚集，
PSA.47.9	作
PSA.47.9	因为地上的盾牌
PSA.47.9	他极其受尊崇。
PSA.48.1	耶和华真伟大，
PSA.48.1	在我们神的城中，在他的圣山上，
PSA.48.1	当受极大的赞美！
PSA.48.2	高耸美丽，是全地的喜乐。
PSA.48.3	神在城的堡垒中，
PSA.48.3	显明自己是庇护所。
PSA.48.4	看哪，君王们会合，
PSA.48.4	一同过去；
PSA.48.5	他们看见这城就感到惊奇惶恐，
PSA.48.5	慌忙逃走；
PSA.48.6	战兢在那里抓住了他们，
PSA.48.6	他们的剧痛像分娩的女人那样。
PSA.48.7	神哪
PSA.48.8	在万军之耶和华的城中，就是我们神的城中，
PSA.48.8	我们所看见的正如所听见的：
PSA.48.8	神必坚立这城，直到永远。
PSA.48.9	神哪，我们在你的圣殿中思想你的慈爱！
PSA.48.10	神哪，你受的赞美正如你的名达到地极！
PSA.48.10	你的右手充满公义。
PSA.48.11	愿
PSA.48.11	愿
PSA.48.12	你们当周游
PSA.48.12	数算她的塔楼，
PSA.48.13	留心她的城垣，巡察她的城堡，
PSA.48.13	为要向后代讲述；
PSA.48.14	因为这位神永永远远是我们的神，
PSA.48.14	他必引领我们到底
PSA.49.1	万民哪，你们当听这话！
PSA.49.1	当倾听，世上所有的居民哪——
PSA.49.2	无论地位高低、或贫或富，
PSA.49.2	都当倾听。
PSA.49.3	我口出智慧，
PSA.49.3	心思聪慧。
PSA.49.4	我要侧耳听箴言，
PSA.49.4	弹竖琴解开谜题。
PSA.49.5	在灾祸的日子，在欺诈之徒的奸恶围绕我时，
PSA.49.5	我为什么要害怕呢？
PSA.49.6	他们只是依靠财富、
PSA.49.6	自夸多财的人。
PSA.49.7	人实在不能救赎弟兄，
PSA.49.7	也不能把他的赎价交给神，
PSA.49.8	——因为灵魂的赎价昂贵，
PSA.49.8	人只好永远罢休——
PSA.49.9	好使他永久存活，
PSA.49.9	不看到阴坑
PSA.49.10	要知道，人必看见智慧人也会死；
PSA.49.10	愚昧人和愚拙人一同灭亡，
