GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
GEN.24.61	Et mantakkay di Rebekah niyadda bega-en tud kamel et makilaw ida.
GEN.24.62	Hi Isaac ey nambebley di Beer Lahai Roi di Negeb. 
GEN.24.63	Yan nunman ni mahmahdem ey an nandaddallan hi Isaac ey inang-ang tudda kamel ni iyyalli. 
GEN.24.64	Ey inang-ang Rebekah hi Isaac et man-ayuhu etan di kamel. 
GEN.24.65	Minahmahan tu etan ni bega-en e kantuy “Hipa eman tuun kamandaddallan ni iyyallin an menammun hi-gatsu?” Kan etan ni bega-en ey “Humman u-ungngan kan bega-en ni hi-gak.” Et manhukyung hi Rebekah.
GEN.24.66	Dimmateng hi Isaac et ehelen etan ni bega-en emin hu neipahding. 
GEN.24.67	Inewit nan Isaac hi Rebekah etan di nambalyan inetun hi Sarah et man-addum ida. Nekappinhed nan Isaac hi Rebekah et hi-gatu nenga-alluk ni hi-gatun neteyyan inetu.
GEN.25.1	Hi Abraham ey nambintan ni hakey ni bii e hi Keturah hu ngadan tu. Yadda u-ungnga da ey 
GEN.25.2	hi Simran, hi Joksan, hi Medan, hi Midian, hi Isbak et hi Suah. 
GEN.25.3	Nahlag hi Joksan et di Seba nan Dedan. Nahlag hi Dedan et wadadda Assurim, yadda Letushim niyadda Leummim. 
GEN.25.4	Nahlag hi Midian et hi Ephah, hi Epher, hi Hanok, hi Abida et hi Eldaah. Huyyaddan emin hu helag Keturah.
GEN.25.5	Hi Isaac hu nengipebeltanan Abraham ni emin ni wadan hi-gatu. 
GEN.25.6	Nem yan eman ni ketaggu tu ey indawtan tudda dama etan u-ungnga tud edum ni ahwa tu et itu-dak tuddad appit ni kasimmilin aggew e neidawwid kad-an Isaac.
GEN.25.7+GEN.25.8	Neka-a-amma hi Abraham et matey eman ni hanggatut et nepitu et lima toon tu. 
GEN.25.9+GEN.25.10	Et an ikulung idan u-ungnga tu e di Isaac nan Ismael etan di ginatngan Abraham ni leyang nan Eplon e u-ungngan Sohar e Hittite. Yadman dama neikulungan Sarah e ahwatu etan di takdul ni payew di Makpelah e neihnup di Mamre. 
GEN.25.11	Entanni ey binendisyonan nan Apu Dios hi Isaac. Ya nambebleyan tu ey yad Beer Lahai Roi.
GEN.25.12	Huyyadda hu helag Ismael e u-ungngan Abraham nan Hagar e iEgypt e bega-en Sarah: 
GEN.25.13	Ya pengulwan ey hi Nebayot et han hi Kedar, hi Adbeel, hi Mibsam, 
GEN.25.14	hi Misma, hi Dumah, hi Massa, 
GEN.25.15	hi Hadad, hi Tema, hi Jetur, hi Naphis et han hi Kedemah e udidyan. 
GEN.25.16	Huyyaddan hampulut dewwan u-ungngan Ismael ey nei-peng idan nan-ap-apud hampulut dewwan bebley ni neingedanan ni ngadan da. 
GEN.25.17	Netey hi Ismael eman ni hanggatut et telumpulu et pitu toon tu. 
GEN.25.18	Yadda helag tu ey nei-peng idad kebebbebley neipalpud Habilah ingganah di Sur e neihnup di pappeg ni Egypt di appit ni kasimmilin aggew ni mampellaw di Assyria e neappil idad edum ni helag Abraham.
GEN.25.19	Huyyadda hu nekapkapyad biyag nan hi Isaac e u-ungngan Abraham. 
GEN.25.20	Hi Isaac ey na-pat hu toon tun nan-ahwaan Rebekah e agin Laban niya u-ungngan Bethuel e iAramea di Paddan Aram di Mesopotamia. 
GEN.25.21	Dimmasadasal hi Isaac nan 
GEN.25.22	Ya etan imbutsug tu ey nandupi-il ey ida kaumbenultung di egeh tu. Et mandasal nan 
GEN.25.23	Ey kan 
GEN.25.24	Nedatngan hu pan-ungngaan tu ey makulug tu-wangun nandupi-il u-ungnga tu. 
GEN.25.25	Ya nemangulun neukat ey makaddalang belat tu niya nekabwekan emin annel tu et ingadnan dan hi Esau. 
GEN.25.26	Ya etan neihayned ni neukat ey inhammad tun intenged di dapan nan Esau et ingadnan dan hi Jacob. Na-nem hu toon nan Isaac ni neiungngaan idan nunyan nandupi-il ni u-ungnga tu.
GEN.25.27	Yan nehiknan da ey nambalin hi Esau ni madweng e yad muyung hu tuka lallawwi. Hedin hi Jacob ey pinpinhed tun manha-ad di baley da. 
GEN.25.28	Hi Isaac ey pinpinhed tu hi Esau tep ya tuka i-anemut ni tuka dedwengan tuka ihhida. Nem hi Rebekah ey hi Jacob hu pinpinhed tu.
GEN.25.29	Hakey ni aggew e kamene-eng hi Jacob ni ihhida ey dimmateng hi Esau ni nalpud muyung ey neka-upa. 
GEN.25.30	Kan Esau nan Jacob ey “Idwasi muwak eyan madlang ni kennen ni inhaeng mu et kuman nak tep neka-upa-ak.” (Et ingadnan da hi Esau ni Edom. Ya hu keibbellinan ni Edom ey madlang.) 
GEN.25.31	Kan Jacob ey “Dammutu, nem pakkaw ni iddawat mun hi-gak hu kelebbengan mun pengulwan.” 
GEN.25.32	Kan Esau ey “Ku anin! Kaw hipa silbin kelebbengan hedin mettey yak ni upak?” 
GEN.25.33	Kan Jacob ey “Pansapatah ka ni e iddawat mun hi-gak hu kelebbengan mu et han daka idwasi.”
GEN.25.33	Et mansapatah hi Esau e idwat tu hu kelebbengan tu. 
GEN.25.34	Indawat nan Jacob etan kennen nan Esau et kanen tu et manglaw mewan. Humman ni impahding Esau ey impeang-ang tu e eleg tun hekey ibbilang etan kelebbengan tun pengulwan.
GEN.26.1	Entanni ey wada mewan hu bisil e heni la etan ni bisil ni ketaggun Abraham et lumaw hi Isaac di bebley di Gerar di bebley nan Abimelek e patul di Pilistia. 
GEN.26.2	Nampeang-ang hi 
GEN.26.3	U-unnud mu et manha-ad kayudya, et ipaptek dakan hi-gak ni ingganah niya bendisyonan daka. Iddawat kun hi-gam niyadda helag mu eya puyek niya peamnuk hu insapatah ku lan amam e hi Abraham. 
GEN.26.4	Iddawtan dakan dakel ni helag mun henin kadinakkel ni bittuwen e eleg mebillang. Bendisyonan kuddalli emin tuud puyek gapuh idan helag mu. 
GEN.26.5	Mukun henin nunman hu pehding kulli ey tep inu-unnud Abraham ni emin hu tugun ku.” 
GEN.26.6	Et yadman law di Gerar hu nambebleyan di Isaac.
GEN.26.7	Hedin minahmahan idan tuu meippanggep nan Rebekah, kan Isaac ey han-agidda. Kaumtakut ni menghel ni han-ahwadda tep entanniy petteyen da ma-lat piliwen da hi Rebekah tep kat-agun peteg.
GEN.26.8	Nem entanni ey inuhdungan Abimelek di habhabyen ni baley tu hi Isaac e tuka ak-akwala hi Rebekah. 
GEN.26.9	Et paeyag Abimelek hi Isaac et kantuy “Tam ahwam gayam hi Rebekah. Kele kammuy hi agim?” Et kan Isaac ey “Tep kangkuy entanni ey wada memettey ni hi-gak ma-lat piliwen da hi Rebekah.” 
GEN.26.10	Kan Abimelek ey “Hipa huyyan impahding mun hi-gami? Gullat ni wada hu lakidyan nengiulig nan Rebekah, hi-gam et dedan hu umhulun ni pambehhulan mi.”
GEN.26.11	Et peamta tuddan tuu tu e hedin wada mengippahding ni lawah di Isaac nan Rebekah, man pepettey tu.
GEN.26.12	Yan nunman ni toon ni nanleyakan hi Isaac ey dakel ni peteg hu ineni tu tep binendisyonan 
GEN.26.13	Et kumedangyan hi Isaac, ey tagan tu pay hu kedangyan. 
GEN.26.14	Hantapug hu kalneroh tu, yadda baka niyadda bega-en tu. Et humman hu, kakeemmehiddan iPilistia. 
GEN.26.15	Et da tababen ni emin hu hibuy ni impeku-ku lan ametu e hi Abraham.
GEN.26.16	Lektattuy kan Abimelek nan Isaac ey “A-allaw ka eyad bebley mi tep ay nambalin kumedek ni e-etteng ni peteg hu kabaelan mu nem hi-gami.” 
GEN.26.17	Et ma-kal di Isaac diman et ida mambebley di Nedeklan e Gerar. 
GEN.26.18	Et peku-ku mewan nan Isaac ni emin hu hibuy ni impeku-ku lan ametu. Humman idan hibuy ey sinebab idan iPilistia ni neteyyan ametu. Impannaneng tu hu impangngadan lan ametuddan nunman idan hibuy. 
GEN.26.19	Et kumu-kudda mewan etan bega-en Isaac ni hibuy ey pintek da wada hu danum tu. 
GEN.26.20	Nem immalidda kamampattul ni iGerar et ida kamekittuttut idan bega-en nan Isaac e kanday danum da kunu humman. Et ingadnan Isaac humman ni hibuy ni ‘Kapantututusi.’ 
GEN.26.21	Nengu-kudda mewan etan bega-en Isaac di a-allaw tu ey hanniman mewan e nambabakalan da et ingadnan tun hibuy ni ‘Kapambabakali.’ 
GEN.26.22	Hini-yan da humman et mampeku-ku mewan hi Isaac ni hakey ni hibuy ey eleg law pilliwaddan bimmebley. Et ingadnan tu humman ni hibuy ni Rehobot, e ya keibbellinan tu ey ‘Hibuy ni wada linggep.’ Tep kan Isaac ey “In-abulut 
GEN.26.23	Entanni ey nan-aldan di Isaac di Beersheba. 
GEN.26.24	Yan nunman ni hileng ni dinatngan da, ey nampeang-ang hi 
GEN.26.25	Et mengapya hi Isaac ni pan-appitan et dayawen tu hi 
GEN.26.26	Hakey ni aggew ey dimmateng hi Abimelek e patul, hi Ahussat e konsihal tu et hi Picol e ap-apun sindalu tun nalpud Gerar. 
GEN.26.27	Kan Isaac ni hi-gaday “Kele kayu immali ey yan nunman ey anggebe-hel yuwak et degyunen yuwak?” 
GEN.26.28	Kanday “Immali kami tep inamta mi law e daka kapakabbaddangin 
GEN.26.29	Ihuhummangan tayu e endi mu pehding ni hi-gamin lawah, henin impahding min hi-gam ni neni-yanam ni hi-gami e endi mi impahding ni lawah. Et deh e binendisyonan dakan 
GEN.26.30	Et mampedaddan hi Isaac ni kennen da et mangan ida niya nengi-innum ida. 
GEN.26.31	Yan newa-waan tun binengunan da, ey nansapatah ida e endi da ippahding ni lawah di hanhakkey ni hi-gada. Negibbuh humman et umenamut di Abimelek e melinggep ida tep nanggagayyum ida law.
GEN.26.32	Yan nunman ni aggew, ey immanemut ida bega-en nan Isaac et ehlen da e wada danum etan di hibuy ni kinu-kuan da. 
GEN.26.33	Et ingadnan Isaac humman ni hibuy ni Sibah e ya keibbellinan tu ey nansapatahan. Et humman hu, nengal-an dan nunman ni ngadan ni Beersheba.
GEN.26.34	Yan na-pat hu toon nan Esau, ey inahwa tu dewwan biin Hittite e hi Judith e u-ungngan Beeri et hi Basemat e u-ungngan Elon. 
GEN.26.35	Nem huyyaddan ahwan Esau ey daka pedgeh hu nemnem di Isaac nan Rebekah.
GEN.27.1	Yan nea-ammaan nan Isaac e eleg tu law han-ang-ang ey impaeyag tu hi Esau e pengulwan ni u-ungnga tu. Immali hi Esau et kantuy “Kela e ama?” 
GEN.27.2	Kan Isaac ey “Deh e nea-amma-ak law et endilli maptek ey metteyyak. 
GEN.27.3	Alam etan panam et ka mandeweng. 
GEN.27.4	Pinhed ku etan muka pene-eng ni mepelhat. Iheeng mu et i-lim et hedin negibbuhhak ni nengan ey e-helen ku hu bendisyon kun hi-gam et hannak matey.”
GEN.27.5	Nem dingngel Rebekah humman ni inhel nan Isaac nan hi Esau. Et yan linawwan Esau ni an mandedweng ey 
GEN.27.6+GEN.27.7	kan Rebekah nan Jacob ey “Dingngel ku inhel amam nan agim e hi Esau e an mandedweng ni pehidda tun hi-gatu. Et hedin negibbuh ni nengan ey bendisyonan tud hinanggan 
GEN.27.8	Et humman hu, u-unnud mu eya e-helen kun hi-gam. 
GEN.27.9	Pengin-eellaw kallid halun tayu et ka umlan dewwan mateban impah ni gelding et iheeng kun pinpinhed amam ni pene-eng. 
GEN.27.10	Illaw mun hi-gatu et hedin nengan, ey hi-gam hu bendisyonan tu et han matey.”
GEN.27.11	Nem kan Jacob nan inetuy “Nem tam nakabwekan hu annel Esau ey malinah ngu belat ku. 
GEN.27.12	Inna-nu hedin keppaen tuwak et amtaen tu e bekennak hi Esau? Penghel tuy nakka he-uhe-ula et hamban tuwak kabendisyoni ey iddutan da-ak kumedek.” 
GEN.27.13	Kan inetuy “Hedin amtaen tu, anin ew ni hi-gak hu keillawan ni idut tu. Elaw ka kuma et kalli umlan gelding.”
GEN.27.14	Et u-unnuden nan Jacob hu inhel nan inetu et an ali umlan dewwan impah ni gelding et iheeng inetu etan ni pinpinhed nan ametun kapene-eng. 
GEN.27.15	Inlan inetu hu kekakkayyaggudan ni intatalu tun balwasin Esau et pebalwasi tun Jacob. 
GEN.27.16	Et ikapyaan tun nedutdutan ni belat ni gelding ni ihhuklub tud ngamay tu, anin di tengda tu. 
GEN.27.17	Et idwat tun Jacob etan meheng-ew ni ihhida niya sinapay ni kinapya tu.
GEN.27.18	Inlaw Jacob nan ametu et kantuy “Ama.” Kan ametuy “Uh, hipa ka? Kaw hi-gam hi Esau winu hi Jacob?” 
GEN.27.19	Kan Jacob ey “Hi-gak hi Esau e pengulwan ni u-ungngam. Inu-unnud ku hu kammu. Bangun ka et mangan ka et bendisyonan muwak.”
GEN.27.20	Kan Isaac ey “Kele kuma anggagannuy wada dinweng mu e u-ungngak?” Kan Jacob ey “Tep binaddangan tuwak nan 
GEN.27.21	Ey kan Isaac ey “Ikay dih et kap-en daka hedin makulug ni hi-gam hi Esau.”
GEN.27.22	Et meihnup hi Jacob et kap-en nan ametu ey kantuy “Ehel nan Jacob eya ehel mu, nem ngamay nan Esau eya ngamay mu.” 
GEN.27.23	Eleg tu immatunan hi Jacob tep nakabwekan ngamay tu e henin ngamay Esau. Et bendisyonan tu, 
GEN.27.24	nem impidwa tun imbaga e kantuy “Kaw makulug ni hi-gam hi Esau?” Kan Jacob ey “Em, hi-gak.”
GEN.27.25	Kan ametuy “I-lim etan dinweng mu et ihidak et han daka bendisyoni.” Indawat Jacob etan kennen et mangan hi ametu. Et idwatan tun innumen tu.
GEN.27.26	Kan ametu hi Isaac ni hi-gatuy “Keihnup ka et akwalen muwak e u-ungngak.” 
GEN.27.27	Inakwal Jacob hi ametu ey hinemuy nan ametu etan imbalwasi tu et bendisyonan tu. Kantuy
GEN.27.27	“Ya hamuy ni u-ungngak ey heni hamuy ni payew ni binendisyonan 
GEN.27.28	Peellin Apu Dios ali udan di payew mu niya peyaggud tu iggaud mu ma-lat dakel ali ennien mu niya dakel ali innumem. 
GEN.27.29	Pambega-en muddalli tuud kebebbebley niya hi-gam ali tengngawen dan ap-apu da. Anin idallin agim ni u-ungan inam et hi-gam hu pan-ap-apu da. Meiddutan idalli hu mengiddut ni hi-gam niya mebendisyonan ida memendisyon ni hi-gam.”
GEN.27.30	Negibbuh humman et umhep hi Jacob ey dimmateng hi Esau ni an nandeweng. 
GEN.27.31	Indaddan tu dama hu pinpinhed nan ametun ihhida et ilaw tud kad-an tu et kantuy “Ama, bangun ka et mangan ka et ihidam eya inhaeng ku et han muwak bendisyoni.” 
GEN.27.32	Kan Isaac ey “Kaw hipa ka?” Kan Esau ey “Tam hi-gak hi Esau e pengulwan ni u-ungngam.”
GEN.27.33	Dingngel Isaac humman ey kamanggegeygey. Kantuy “Hipattep la etan nengi-lin detag ni kinan kun nuntan et han ka umli? Hi-gatu kumedek hu binendisyonan ku. Humman man ahan ni bendisyon ey eleg mabalin ni an bangngaden.” 
GEN.27.34	Inhel nan ametu humman ey kamantete-ul hi Esau e kantuy “Ama, anin anhan nem bendisyoni muwak dama.”
GEN.27.35	Nem kan ametuy “Immali la hi agim et haulen tuwak et piliwen tu bendisyon mu.” 
GEN.27.36	Kan Esau ey “Huyya pidwa tun nenaulan tuwak ni hi-gatu. Ambuley hi Jacob hu ngadan tu. Yan laputu, ey illa tu kelebbengan kun pengulwan. Et ya man nunya ey piniliw tu bendisyon ku. Kaw endi law ni hekey hu ibbendisyon mun hi-gak?”
GEN.27.37	Kan ametuy “Endi law nak pehding tep ay impambalin kun hi-gatu hu pan-ap-apu yu. Emin kayun han-aaggi ey impambalin kun pambega-en dakeyun hi-gatu. Binendisyonan kun dakel ni kennen niya meinnum. Et humman hu, endi law hu iddawat kun hi-gam e u-ungngak.” 
GEN.27.38	Nem kamampehemmehemmek hi Esau e kantuy “Kaw ebuh humman ni bendisyon mu? Bendisyoni muwak anhan dama.” Ey nemahhig mewan hu nangih tu. 
GEN.27.39	Et kan ametuy “Neligat ali pambiyagam tep ya puyek ni panha-adam ey beken ni kayyaggud ni pantennemam niya endilli udan di panha-adam. 
GEN.27.40	Et humman hu, ya apputen mud pekiggubbatan mu hu pengellaam ni biyag mu. Mambalin kan bega-en nan agim, nem ngenghayen mulli ma-lat eleg ka mannananeng ni bega-en tu.”
GEN.27.41	Et meippalpun nunman ey anggebe-hel law nan Esau hi Jacob tep piniliw tu hu bendisyon tu. Kantud nemnem tuy “Petteyek ali hi Jacob hedin mettey hi ama.” 
GEN.27.42	Dingngel Rebekah humman ni planuh Esau et paeyag tu hi Jacob et kantun hi-gatuy “Deh e pinhed dakan petteyen nan agim hi Esau ma-lat ibleh tu impahding mu. 
GEN.27.43	Et humman hu, dengel mu eya e-helen kun pehding mu. Besik kad Haran di kad-an nan pengemmaan mu e hi Laban. 
GEN.27.44	Et yadman ni panha-adan mu ingganah me-kal hu bunget nan agim. 
GEN.27.45	Et hannak ali umitu-dak ni mengeyyag ni hi-gam hedin liwwanen tu hu impahding mu. Tep eggak pinhed ni kayu mampettey et mandihhan kayun mettey ni hakey ni aggew.”
GEN.27.46	Hakey ni aggew ey kan Rebekah nan Isaac ey “Impeinglay ku eyadda Hittite ni ahwan Esau. Heballi ew metteyyak hedin mengahwa dama hi Jacob ni biin Hittite.”
GEN.28.1	Et paeyag nan Isaac hi Jacob et bendisyonan tu et kantun hi-gatuy “Entan pengahwan biidya. 
GEN.28.2	Lakkay di Paddan Aram di Mesopotamia di baley apum e hi Bethuel et ahwaen mu etan hakey ni u-ungngan pengemmaam e hi Laban. 
GEN.28.3	Bendisyonan daka kaya nan Apu Dios e Kabaelan tun emin ey iddawtan dakallin dakel ni helag mu et hi-gam ali pan-ammed ni dakel ni tuu. 
GEN.28.4	Bendisyonan dakan Apu Dios niyadda helag mun henin nemendisyonan tun apum e hi Abraham. Ey hi-gayulli kampuyek eyan indawat Apu Dios nan Abraham ni nekibebleyan tayu.” 
GEN.28.5	Et itu-dak nan Isaac hi Jacob di Paddan Aram di Mesopotamia di baley nan hi pengemmaan tu e hi Laban e agin inetu e u-ungngan Bethuel e iAramea.
GEN.28.6+GEN.28.7+GEN.28.8	Neamtaan nan Esau e binendisyonan ametu hi Jacob et han tu palaw di Mesopotamia ma-lat yadman hu pengahwaan tu et beken hu iKanaan ni i-ahwa tu. Niya inamta tu e inu-unnud Jacob di ametun inetu et lumaw di Mesopotamia. Et awatan tu law e eleg pinhed ametu hu bibi-in iKanaan. 
GEN.28.9	Et lumaw hi Esau di bebley nan pengemmaan tu e hi Ismael et ahwaen tu hi Mahalat e agin Nebayot e u-ungngan Ismael e u-ungngan Abraham.
GEN.28.10	Hi Jacob ey hini-yan tu hu Beersheba et lumaw di Haran. 
GEN.28.11	Nehilngan di dalan et mangkampu. Et umlan batun pengi-ippingan tu et maugip. 
GEN.28.12	Entannit neuyeng ey ini-innep tu e wada teytey ni dinteng tu kabunyan. Ey inang-ang tudda anghel nan Apu Dios e nanteyed ida ni nandayyudda etan di teytey. 
GEN.28.13	Ey wada hi 
GEN.28.14	Dakel ali helag mu e heniddalli dep-ul e eleg mebillang et meihhinnap idallid kebebbebley di puyek. Ey emin ali tuud kebebbebley di puyek ey bendisyonan kudda gapun hi-gam niyadda helag mu. 
GEN.28.15	Ey emin di lawwan mu ey wada-ak ni mengippaptek ni hi-gam niya hi-gak hu ngenamung ni mengibbangngad ni hi-gam eyad bebley. Eleg daka e-waya, nem peamnuk emin eya impakulug kun hi-gam.” 
GEN.28.16+GEN.28.17	Bimmangun hi Jacob ey simmakut et kantuy “Tam wada gayam hi 
GEN.28.18	Bimmangun ni dagah ni newa-waan tu et alen tu batun impungan tu et peehneng tu et penginnemneman tun Apu Dios et duyagan tun lana. 
GEN.28.19	Ingngadnan tu humman ni Bethel, nem ya ngadan tu dedan ni nunman ey Lus.
GEN.28.20	Et isapatah Jacob e kantuy “
GEN.28.21	et kayyaggud hu pambangngadak di baley ama, man hi-gam e 
GEN.28.22	Ey mambalin eya nengipeehnengan kun batun pandeyyawan ni hi-gam. Niya emin ali hu iddawat mun hi-gak ey pebangngad kun hi-gam hu kapulu tu.”
GEN.29.1	Et mangmanglaw hi Jacob ey dimmateng di bebley di appit ni kasimmilin aggew 
GEN.29.2	Entanni ey inang-ang tu hu hibuy di pattullan. Wadaddadman hu nantelu-an ni neamung ni kalneroh ni kamanluklukbub di nanlinikweh di hibuy tep yadman daka innumi. Nem immen hu et-eteng ni batun neihu-let etan di hibuy. 
GEN.29.3	Hedin neamung idan emin kalneroh ey han ginlid idan kamampattul etan batu ma-lat uminum ida. Hedin negibbuh ni imminum ida, impebangngad da mewan etan batu.
GEN.29.4	Hinnup nan Jacob ida etan kamampattul ni kalneroh et kantun hi-gaday “Hi-gayuddan agik, attu bebley yu?” Kanday “Yad Haran.”
GEN.29.5	Kan Jacob ey “Kaw inamta yu hi Laban e u-ungngan Nahor?” Ey kanday “Tam em.”
GEN.29.6	Kan Jacob ey “Inna-nun biyag tu?” Kanday “Kayyaggud. Mundeh ali hi Rachel e u-ungnga tu e impangulu tu hu kalneroh ametu.”
GEN.29.7	Kan Jacob ey “Kele eleg yudda peinnumi eya kalneroh et yu pay ipattul ida haggud ba-ba ni kehillengan tu?” 
GEN.29.8	Kanday “Eleg mi ni peinnumidda ingganah ni wadaddan emin hu kalneroh di deya et han mi gelida eya batun neihu-let di hibuy et painuman middan emin.”
GEN.29.9	Ida kaum-enungbal ey nandammuan tun dimmateng hi Rachel niyadda etan tuka ippattul ni kalneroh ametu. 
GEN.29.10	Inang-ang Jacob hi Rachel e u-ungngan pengemmaan tu niyadda etan kalneroh ametu ey limmaw et tu ekalen etan batun neihu-let di hibuy et painuman tudda etan kalneroh nan pengemmaan tu. 
GEN.29.11+GEN.29.12	Et kan tun Rachel ey “Hi-gak hu u-ungngan Rebekah e agin amam.” Et akwalen tu hi Rachel ey kamannengngih ni amleng tu. Et mambesik hi Rachel di baley da et tu ehlen nan ametu.
GEN.29.13	Dingngel Laban e wada etan pengungngaan tu ey impapuut tu et tu dammuen. Inakwal tu et ikuyug tud baley da. Et e-ehhelen nan Jacob emin hu neipahding. 
GEN.29.14	Kan Laban ey “Makulug ni han-ama ita.”
GEN.29.14	Nekiha-ad hi Jacob ni hambulan diman 
GEN.29.15	et hakey ni aggew ey kan Laban ni hi-gatuy “Ambeken ni gapu tep pengungngaan daka ey eleg daka tangdani. Piga pinhed mun penangdan kun hi-gam?”
GEN.29.16	Hi Laban ey wada dewwan u-ungnga tun bii, hi Leah hu pengulwan ey hi Rachel hu neihned. 
GEN.29.17	Kakkayyaggud hu matan Leah, nem hi Rachel ey kakkayyaggud hu impenga-annel tu niya kat-agun peteg.
GEN.29.18	Hi Jacob ey pinpinhed tu hi Rachel. Et humman hu, kantun Laban ey “Ingngunwan dakan pitun toon hedin i-abulut mun ahwaen ku hi Rachel.” 
GEN.29.19	Kan Laban ey “Dammutu. Heballi hi-gam hu mengi-ahwan hi-gatu nem ya edum ni beken ni nalpud pewen tayu. Et humman hu, kayyaggud hedin di deya itsu.”
GEN.29.20	Et mangngunun pitun toon hi Jacob ma-lat iahwa tu hi Rachel. Nem heni pigan aggew ni ebuh ni hi-gatu tep nakappinhed tu hi Rachel.
GEN.29.21	Negibbuh humman ni pitun toon et kan Jacob nan Laban ey “Ahwaen ku law hi Rachel haggud negibbuh law hu insapatah kun toon ni pangngunnuan kun hi-gam.” 
GEN.29.22	Et mandaddan hi Laban et aygan tudda tutu-u et manhahamul idan pan-ahwaan di Jacob nan Rachel. 
GEN.29.23	Nem yan nunman ni hileng ey hi Leah kumedek hu impeahwan Laban ni hi-gatu. 
GEN.29.24	Wada indawat nan Laban nan hi Leah ni hakey ni biin pambega-en tu e hi Silpah hu ngadan tu.
GEN.29.25	Yan newa-waan tu ey inimmatunan nan Jacob e hi Leah hu nekiulig tu et kantun Laban ey “Hipa huyyan mu impahding ni hi-gak! Ingngunwan dakan pitun toon ma-lat ahwaen ku hi Rachel, ey kele muwak hineul?” 
GEN.29.26	Ey kan Laban ey “Tep ya elaw mi ey beken ni ya udidyan hu memengngulun mengahwa. 
GEN.29.27	Nem anin, heged mu hanlingguan eyan nan-ahwaan yu et dammutun i-ahwam hi Rachel. Nem mahapul ni ingngunwan muwak pay ni pitun toon.”
GEN.29.28	Inebulut Jacob et malebah humman ni hanlingguan et han peahwan Laban hi Rachel ni hi-gatu. 
GEN.29.29	Et idwat daman Laban hu hakey ni pambega-en nan Rachel e hi Bilhah hu ngadan tu. 
GEN.29.30	Et iulig nan Jacob hi Rachel ey pinpinhed tu nem hi Leah. Et ingunwan tu pay hi Laban ni pitun toon.
GEN.29.31	Yan nenang-angan 
GEN.29.32	Et man-ungnga hi Leah ey laki. Et kantuy “Inang-ang 
GEN.29.33	Entanni ey nambutsug mewan et man-ungnga ey laki mewan. Et kantuy “Inamtan 
GEN.29.34	Nambutsug mewan et man-ungnga ey laki mewan. Et kantuy “Wada-et ni pekappinheden tuwak law ni ahwak tep ay tellu law u-ungnga min laki.” Et ingadnan tun hi Levi.
GEN.29.35	Nambutsug mewan et man-ungnga ey laki mewan. Kantuy “Deyyawen ku law hi 
GEN.30.1	Nem hi Rachel ey endi ngu u-ungnga tu. Et humman hu, kaum-ameh nan hi agitu hi Leah. Kantun Jacob ey “Idwasi muwak daman u-ungngak tep hedin endi, man heballi ew mettey yak.” 
GEN.30.2	Bimmunget hi Jacob et kantuy “Kaw hi-gak hi Apu Dios? Hi-gatun ebuh hu dammutun mengi-ebbulut ni mewedda u-ungngam, beken nak.”
GEN.30.3	Et kan Rachel nan Jacob ey “Anin iulig mu ew eya bega-en kun hi Bilhah ma-lat hedin wada u-ungnga yu, ey meibillang ni u-ungnga ta.” 
GEN.30.4	Inebulut Jacob et iulig tu hi Bilhah. 
GEN.30.5	Nambutsug hi Bilhah et man-ungnga ey laki.
GEN.30.6	Ingngadnan Rachel ni hi Dan tep kantuy “Impeang-ang Apu Dios e hi-gak hu lebbeng tun kan ahwan nan hi Jacob. Et humman hu, dingngel tu hu dasal kun hi-gatu et idwat tu huyyan u-ungngak ni laki.”
GEN.30.7+GEN.30.8	Entanni ey nambutsug mewan hi Bilhah et man-ungnga ey laki mewan. Et ngadanan Rachel ni Naptali, tep kantuy “Impenatnan agik ni pilliwen hu ahwak, nem inapput ku.”
GEN.30.9	Inamtan Leah e eleg law man-ungnga et iebulut tu hi Silpah e bega-en tun i-ulig Jacob. 
GEN.30.10	Nambutsug hi Silpah et man-ungnga ey laki. 
GEN.30.11	Et ngadanan Leah ni Gad, tep kantuy “Negahat tak tep wada mewan hakey ni u-ungngak.”
GEN.30.12	Nan-ungnga mewan hi Silpah ey laki mewan. 
GEN.30.13	Et ngadanan Leah ni Asher tep kantuy “Nakka man-am-amleng ni peteg! E-helen idallin edum ni bii e nakka man-am-amleng.”
GEN.30.14	Hakey ni aggew ni ahiani ey wada himmak nan Reuben di payew ni mandrake e kameitnem et ienamut tun inetu hi Leah. Kan Rachel nan Leah ey “Idwasi muwak anhan eyan in-anemut ni u-ungngam.” 
GEN.30.15	Nem kan Leah ey “Deh dedangngu e piniliw mu ahwak, ey mu mewan pilliwen eya himmak ni u-ungngak?” Nem kan Rachel ey “Idwasi muwak et hi-gam hu meki-ullig nan ahwak ni hileng.”
GEN.30.16	Yan mahmahdem ni nunman e iyalli hi Jacob ni nalpud payew ey an dinammun Leah et kantuy “Man-ullig itan hileng tep binaydan dakan mandrake ni himmak ni u-ungngak.” Et man-ulig idan nunman ni hileng.
GEN.30.17	Ey dingngel nan Apu Dios hu dasal Leah et mambutsug et man-ungngan laki et humman hu meikkelliman u-ungnga tu. 
