MAT.1.1	Ba ledre gɨ ro bulúndu bulúndu Kɨ́résịto
MAT.9.22	Geré zɨ́ Yésụ óyó roné lúrúndíki wo. Zɨ́a úku ledre kɨ́dí, “Nyị́ma, ídí ódó mɨmbéꞌdeyị́, ṇgúṇgu ledre eyị́ yómo yị́ị go.” Maꞌdíi, geré zɨ́ ro kára née émené.
MAT.9.23	Sɨmɨ bɨ Yésụ nɨyí ógụ kɨ́ ꞌyị ené e ꞌbe ꞌbɨ mongụ́ ꞌyị née íri ní, kụꞌdụ́ nɨ ndị́sị úku ledre, mbụ́dụ́ nɨ ówụ́, 
MAT.9.24	zɨ́a úku ledre zɨ́ye kɨ́dí, “Ólụ́ógụsé aka sága, owụ́kára ba uyu ené wá ꞌduꞌdu yị́ ené lá mɨꞌdúꞌdu.” Zɨ́ ꞌyị e útúye mbá kúgú a. 
MAT.9.25	Sɨmɨ bɨ ꞌyị e olụ́ogụnɨ́ gɨ ꞌdị́cị́ ini go mbá sága ní, zɨ́ Yésụ ólụ́ne ndéré ꞌdíꞌbi sị́lị́ umbu, geré zɨ́a úrúne, do ị́nyịógụné ꞌdága. 
MAT.9.26	Zɨ́ phanda ledre née áṇgané sɨmɨ gara e za mbá.
MAT.9.27	Sɨmɨ mɨndéréókpó Yésụ gɨ ore, zɨ́ yaꞌdá e gbre komoyé ndaá lódụ́ wo kɨ́ ṇgúṇgú royé zɨ́a kɨ́dí, “Mongụ́ ꞌyị, Bulúndu ngére Dawídi,
MAT.9.28	Sɨmɨ bɨ nɨ goó za ꞌdị́cị́ ní zɨ́ yaꞌdá ga bɨ komoyé ndaá ba ólụ́ lódụ́ kacɨ́ a gị ꞌdị́cị́, zɨ́a ndúꞌyú yée kɨ́dí, “Ṇgúṇgusé go kɨ́dí mááyí útúásá likpí komosé?”
MAT.9.28	Zɨ́ye úkulúgu ledre kɨ́dí, “Ɨɨ, ṇguṇguzé go kenée Ngére.”
MAT.9.29	Zɨ́ Yésụ óto sị́lị́ne ro komoyé zɨ́a úku ledre kɨ́dí, “Gɨ zɨ́ ṇgúṇgu ledre esé mááyí yómo sée,” 
MAT.9.30	zɨ́ komoyé tɨ́ likpíne. Zɨ́ Yésụ lórụ yée oꞌbụóbụ kɨ́dí, “Ndásé úku ledre bɨ máméngị zɨ́se née zɨ́ ꞌyị e wá.” 
MAT.9.31	Abú kenée ndotó, tɨ́ lá bɨ olụ́ogụnɨ́ gɨ ore ní, zɨ́ye úku ledre née zɨ́ phanda a báyiné sɨmɨ gara e za mbá.
MAT.9.32	Kpá lá bɨ Yésụ kɨ́ ꞌyị ené e nɨyí aka gɨ ro ólụ́ógụ ní, zɨ́ ngíti géyị yaꞌdá e ị́mbị́ógụ ngíti oꞌdo kɨ́ dokéké sɨmɨné odro gɨ zɨ́a wá zɨ́ Yésụ. 
MAT.9.33	Nda sɨmɨ bɨ Yésụ ógóóyó dokéké née ní, oꞌdo bɨ kóo odro wá ní, zɨ́a geré tónó ódroné. Zɨ́ ledre née lụ́tụ́ne komo ꞌyị ga bɨ ore née zɨ́ye úku ledre kɨ́dí, “Ledre mengị aka roné zɨ́ze Isɨréle e ona kenée wá.”
MAT.9.34	Tɨ́ lá Farụsáyo e ya, “Satána iꞌbí rokoꞌbụ née zɨ́a ndị́sị ogóóyó dokéké e kɨ́e gɨ sɨmɨ ꞌyị e ne.”
MAT.9.35	Zɨ́ Yésụ gámáne sɨmɨ gara kɨ́ ị́rịgbére ga bɨ ore ní, kɨ́ ndị́sị ꞌdódo ledre ꞌbɨ Lomo zɨ́ ꞌyị e sɨmɨ ꞌDị́cị́ Kótrụro e eyé e, kɨ́ ndị́sị úku bɨlámá ledre gɨ ro ꞌbe ꞌbɨ Lomo zɨ́ ꞌyị e nda kpá kɨ́ sị́kpị ꞌyị e gɨ do ṛị́kị́ ndíyá eyé e. 
MAT.9.36	Sɨmɨ bɨ lurú tụ́ꞌdụ́ ꞌyị e ꞌdii ní, zɨ́ lerị́ye méngị wo gɨ zɨ́a ꞌyị ga gére née ngíti géyị ꞌyị e ndịsịnɨ́ méngị láráye ꞌyị sáká yée ndaá, káa zɨ́ kábịṛị́kị bɨ ngárá mị́ngị́ye ndaá ní. 
MAT.9.37	Zɨ́a úku ledre zɨ́ ꞌyị lódụ́ kacɨ́ne ga gére née kɨ́dí, “Tụ́ꞌdụ́ ꞌyị e nɨyí go nzíyiyé gɨ ro úwú ledre ꞌbɨ Lomo, tɨ́ lá sée ꞌyị ꞌdódo ledre maáge, éyesé wá. 
MAT.9.38	Bɨ kenée ní, ídísé íni ini zɨ́ Ngére bɨ nɨ mị́ngị́ moko maꞌdáa ní, zɨ́a kásaógụ yata ꞌyị ꞌbɨ moko zɨ́se gɨ ro zɨ́se ndị́sị ꞌdódo bɨlámá ledre kéye zɨ́ ꞌyị e mbá.”
MAT.10.1	Zɨ́ Yésụ ndólo ꞌyị lódụ́ kacɨ́ne ga bɨ sokó doa gbre (12) ní, íꞌbí rokoꞌbụ ꞌbɨ ógóóyó bɨcayi lomo e kpá kɨ́ sị́kpị ꞌyị ndíyá e kɨ́e zɨ́ye.
MAT.10.2	Ba ịrị ꞌyịmɨkása
MAT.10.3	nda Phị́lịpo, kɨ́ Batilimáyo, Tóma kɨ́ Matáyo ꞌyị ꞌdóꞌdụ́ ụsórụ, Yakóbo wotị́ Alafáyo, nda Tadéyo, 
MAT.10.4	kɨ́ Simúna Zíloto, kɨ́ Yụ́da bɨ gɨ sɨmɨ gara bɨ Keriyóta bɨ iꞌbí ngbángá Yésụ ní.
MAT.10.5	Sɨmɨ bɨ Yésụ kasa ꞌyịmɨkása ené ga bɨ sokó doa gbre (12) ní, zɨ́a úku ledre zɨ́ye kɨ́dí, “Ndásé ndéré ꞌbe ꞌbɨ ꞌyị ga bɨ ndanɨ́ Yụ́da e wá ní wá, togụ́ sɨmɨ káṇgá ꞌbɨ ꞌyị ga bɨ Samáriya e ní kpá wá. 
MAT.10.6	Ídísé ndéré ꞌbe ꞌbɨ Isɨréle e gɨ zɨ́a oyónɨ́ sogoyé go zɨ́ Lomo. 
MAT.10.7	Zɨ́se úku ledre zɨ́ye kɨ́dí, ‘Sịndị́ kadra nɨ go gbóo gɨ ro zɨ́ Lomo ídíne Ngére doyé.’ 
MAT.10.8	Zɨ́se sị́kpị ꞌyị ndíyá e kpá kɨ́ úru ꞌyị e gɨ sɨmɨ umbu. ꞌYị ga bɨ kɨ́ sámá royé ní, zɨ́se yéme sanáye, zɨ́se ógóóyó dokéké e gɨ sɨmɨ ꞌyị e. ꞌYị e ndanɨ́ íꞌbí éyị́ zɨ́se gɨ ro moko máa née wá gɨ zɨ́a máíꞌbí rokoꞌbụ née zɨ́se gbékpị́ne. 
MAT.10.9	Sɨmɨ mɨndérése, ndásé ꞌdíꞌbi késị́ wá, 
MAT.10.10	ndásé gbawá ꞌdíꞌbi yata bongó e kɨ́ éyị́ sịndị́ e zɨ́se sɨmɨ kombo, ndásé kpá gbawá ꞌdíꞌbi ngbángbá. ꞌYị ga bɨ ásé ndéré méngị moko zɨ́ye née nɨyí lúrú bi kacɨ́se.
MAT.10.11	“Gara togụ́ do ꞌbe bɨ ógụsé go sɨmɨ a ní, zɨ́ ngúru mị́ngị́ ꞌbe ꞌdíꞌbi sée sɨmɨ sụmụ yá, ídíse ꞌdúꞌdu ore, ásé nda fú ndéréókpó. 
MAT.10.12	ꞌBe bɨ ógụsé go sɨmɨ a ní, ídísé íꞌbí mandá ore. 
MAT.10.13	Togụ́ ꞌdiꞌbinɨ́ sée go sɨmɨ sụmụ, ídísé íni ini zɨ́ Lomo idí íꞌbí úndru zɨ́ye ore. Togụ́ ꞌdiꞌbinɨ́ sée wá, úndru esé née idí ídíáká zɨ́se. 
MAT.10.14	ꞌYị ga bɨ ꞌdiꞌbinɨ́ sée sɨmɨ sụmụ gɨ ro úwú ledre ga bɨ ógụsé kɨ́e zɨ́ye ní wá ní, ídísé ụ́ꞌbụ́ómo ꞌbụrụ bɨ ro sịndị́se ní cịkị ore gɨ ro do ówo a mbá kɨ́dí asinɨ́ goó gɨ rosé. 
MAT.10.15	Zɨ́a kpá úku ngíti ledre zɨ́ye kɨ́dí, Máúku zɨ́se maꞌdíi, ꞌdoꞌdó ꞌbɨ ꞌyị ga bɨ kóo Lomo ꞌdoꞌdo yée sɨmɨ Sodóma kɨ́ Gomóra
MAT.10.16	Ásé ídí dongará bɨsinyí ꞌyị e íri káa zɨ́ kábịṛị́kị ga bɨ dongará máárára e mị́ngị́ye ndaá ní. Gɨ zɨ́ kéyị née ní, komosé idí ídí rosé, zɨ́ mɨmbéꞌdesé ídíne zɨ́ ꞌyị e mbá bɨlámáne.
MAT.10.17	“Ídísé kpá bándá rosé gɨ zɨ́ ngíti géyị Yụ́da e, nɨyí ꞌdíꞌbiógụ sée kóꞌdụ́ mɨngburoko ꞌyị eyé e sɨmɨ ꞌDị́cị́ Kótrụro e, zɨ́ye ꞌdóꞌdo sée. 
MAT.10.18	Ásé ídí zɨ́ye káa zɨ́ bɨsinyí ꞌyị e ní, zɨ́ye ꞌdíꞌbiógụ sée kóꞌdụ́ mɨngburoko ꞌyị e kpá kɨ́ mɨngburoko ngére e gɨ ro zɨ́ye ꞌdécị ngbanga rosé. Ábuwá ásé go ndéré ꞌdódo ledre amá zɨ́ye kpá kɨ́ ꞌyị ga bɨ ngárá ndanɨ́ Yụ́da e wá ní. 
MAT.10.19	Togụ́ ꞌdiꞌbinɨ́ sée go yá, ndásé sómụ́ ledre kɨ́dí, ásé ndéré úku a ba ya ꞌdíya wá. ꞌDówụ́ Lomo nɨ úkuíꞌbí ledre ne zɨ́se úku a. 
MAT.10.20	Ásé ndị́sị úku dụụ́ éyị́ bɨ ꞌBụsé Lomo nɨ ndị́sị úkuíꞌbí a zɨ́se sɨmɨ rokoꞌbụ ꞌbɨ ꞌDówụ́ne ní.
MAT.10.21	“Karanée ngíti géyị ꞌyị e nɨyí íꞌbí ngbángá lúnduyé e kɨ́ lémịyé do úfu yée, zɨ́ ngíti géyị ꞌbụmɨowụ́ e méngị a zɨ́ owụ́ ꞌbɨ eyé e kpá kenée, zɨ́ owụ́ e ídíye okó ro ꞌyị ndíki yée do úfu ꞌyị ndíki yée gɨ zɨ́ye. 
MAT.10.22	Tụ́ꞌdụ́ ꞌyị e nɨyí karanée sógó sée gɨ zɨ́a bɨ ṇgúṇgusé ledre amá ní. Yée bɨ ṇguṇgunɨ́ ledremá zɨ́ye tóroyé ngbúó sɨmɨ ꞌdoꞌdó ní, Lomo nɨ karanée íꞌbí trịdrị zɨ́ye. 
MAT.10.23	Togụ́ ꞌdoꞌdonɨ́ sée sɨmɨ gara bɨ ásé sɨmɨ a gɨ zɨ́a bɨ ndị́sịsé ꞌdódo ledre amá ore ní, ídísé ngásá sɨmɨ ngíti a. Mááyí ndáꞌbaógụ ꞌdiya ꞌdáꞌdá gɨ zɨ́se kɨ́ gámá lící rosé kenée sɨmɨ káṇgá ꞌbɨ Isɨréle e mbá kɨ́ úku ledre amá zɨ́ ꞌyị e.
MAT.10.24	“ꞌYị bɨ ndịsịnɨ́ ꞌdódo ledre zɨ́a ní, romo ené do ꞌyị ꞌdódo ledre wá. Kpá kenée ꞌyị ꞌbɨ moko romo ené do mongụ́ ꞌyị ené wá. 
MAT.10.25	Káa zɨ́ bɨ mááyí ꞌyị ꞌdódo ledre zɨ́se kpá manda esé ní, ídísé ówo a kɨ́dí nɨyí ndólo sée Belezabụ́bụ
MAT.10.26	“Ndásé éré ꞌyị ga bɨ nɨyí ndị́sị méngị láráse gɨ zɨ́a bɨ ṇgúṇgusé ledre amá ní wá. Lomo ili ídísé ꞌdódo ledre ené e za mbá zɨ́ ꞌyị e bɨkéṛị́ a ndaá lóꞌbo wá. 
MAT.10.27	Ledre ga bɨ mɨꞌdódo yée zɨ́se kɨ́ ndụlụ kɨ́ kadra ní ídísé ózoógụ yée zɨ́ kadra zɨ́ tụ́ꞌdụ́ ꞌyị e úwú yée mbá. 
MAT.10.28	Ndásé éré ꞌyị ga bɨ nɨyí úfu lá dụụ́ gbékpị́ rosé, utúasánɨ́ óto sị́lị́ye ro trịdrịsé wá ní wá. Ídísé éré ngịrị Wo bɨ nɨ ụ́cụ kụṛụꞌbụsé nyé ku phoꞌdụ ní. 
MAT.10.29	Mɨnzéré owụ́ solụ́ e, ledreyé ndaá owóowó wá, ꞌyị nɨ úgú yée ꞌdényé gbre dụụ́ kɨ́ giníya kị́éꞌdo. Lomo bɨ otoogụ yée ní, ili ené zɨ́ye úyuyé lá sɨkala wá gɨ zɨ́a owo yị́ ené yée mbá bú. 
MAT.10.30	Lomo owo ledre gɨ rosé bú bɨlámáne, gba bị dosé olo yée kékị́éꞌdo mbá. 
MAT.10.31	Ndásé éré ngịrị ꞌyị ga bɨ ilinɨ́ dụụ́ úfu gbékpị́ rosé ní wá, ledresé nɨ zɨ́ Lomo owóowó rómo do gbékpị́ éyị́ trịdrị e mbá.
MAT.10.32	“ꞌYị ga bɨ erénɨ́ ngịrị wá, togụ́ toronɨ́ ngị́rị úku ledre fúó zɨ́ ꞌyị e kɨ́dí yée nɨyí ꞌyị amá e yá, mááyí úku ledreyé zɨ́ Babá komo ere kpá fúó kɨ́dí, maꞌdíi nɨyí tɨ́ ꞌyị amá e. 
MAT.10.33	Togụ́ asinɨ́ gɨ romá gɨ zɨ́ komo ꞌyị e yá, mááyí kpá ási gɨ royé kóꞌdụ́ Babá bɨ komo ere ní kɨ́dí ndanɨ́ eyé ꞌyị amá e wá.
MAT.10.34	“Ndásé sómụ́ a bɨ kɨ́dí bɨ máógụ ba ledre e nɨyí ídí mbá bɨlámáye ní wá. ꞌYị ga bɨ ṇguṇgunɨ́ ledremá wá ní, mɨmbéꞌdeyé nɨ ndị́sị ídí phoꞌdụ zɨ́ye ndị́sịyé kɨ́ úfu ngíti géyị ꞌyị ga bɨ ṇguṇgunɨ́ ledre amá go ní. 
MAT.10.35	Ngíti géyị
MAT.10.35	“ ‘owụ́ yaꞌdá e nɨyí zíngi ro ꞌbụyé e kɨ́dí ꞌbụyé ṇguṇgunɨ́ ledremá gɨ ro ꞌdíya.
MAT.10.35	Zɨ́ owụ́kará e méngị a zɨ́ mbágáye kpá kenée gɨ zɨ́a bɨ mbágáye ṇguṇgunɨ́ ledremá ní.
MAT.10.35	Kará ꞌbe e nɨyí méngị a kpá kenée zɨ́ tetéye e.
MAT.10.36	Ledre née ꞌdodo go kɨ́dí, okó nɨ ógụ ro ꞌyị bɨ ṇguṇgu ledre amá go ní cịkị gɨ zɨ́ ꞌyị ené e gɨ ꞌbe.’
MAT.10.37	“Togụ́ ꞌyị oto ꞌbú ꞌyị ꞌbɨ ꞌbe ꞌbɨ ené e rómo domá yá, ꞌyị née utúasá ené ídí ꞌyị lódụ́ kacɨ́ma wá. 
MAT.10.38	ꞌYị bɨ utúasá ị́mbị́ mɨngbúngbu kágá
MAT.10.39	Togụ́ ꞌyị ya née ṇguṇgu ledremá wá káa bɨ ezeokóma e nɨyí úfu née yá, sɨmɨ bɨ ufunɨ́ wo go ní, ndiki trịdrị bɨ za fí ní wá. Togụ́ ezeokóma e ufunɨ́ ꞌyị gɨ zɨ́a bɨ ṇguṇgu ledremá ní yá, nɨ ndiki trịdrị bɨ za fí ní.
MAT.10.40	“Togụ́ ꞌyị ꞌdiꞌbi sée sɨmɨ sụmụ gɨ zɨ́a bɨ ásé ꞌyị amá e ní, ꞌyị née ꞌdiꞌbi kpá máa go. ꞌYị bɨ ꞌdiꞌbi máa go sɨmɨ sụmụ ní, ꞌdiꞌbi kpá babá go gɨ zɨ́a kasaogụ máa ne. 
MAT.10.41	Togụ́ ꞌyị ꞌdiꞌbi nébị sɨmɨ sụmụ gɨ zɨ́a bɨ Lomo kasaogụ wo ne ní yá, Lomo nɨ íꞌbí tákpásị́lị́ zɨ́ye ndro kɨ́ nébị maꞌdáa. Togụ́ ꞌyị ꞌdiꞌbi ꞌyị méngị ledre ga bɨ Lomo ili yée ní sɨmɨ sụmụ, Lomo nɨ íꞌbí tákpásị́lị́ zɨ́ye ndro kɨ́ ꞌyị máa née. 
MAT.10.42	Ndaá kpá lá dụụ́ née wá, togụ́ ꞌyị iꞌbí iní zɨ́se éwé a gɨ zɨ́a bɨ ásé ꞌyị lódụ́ kacɨ́ma e ní yá, Lomo nɨ íꞌbí úndru zɨ́a.”
MAT.11.1	Sɨmɨ bɨ Yésụ ukuonzó ledre zɨ́ ꞌyị lódụ́ kacɨ́ne ga bɨ sokó doa gbre née kenée ní, zɨ́a ị́nyịné ndéréne kɨ́ ꞌdódo ledre kpá kɨ́ úku ledre ꞌbɨ Lomo sɨmɨ gara ga bɨ ꞌbɨ Galiláya ore ní.
MAT.11.2	Yiwáni ꞌyị Bábátị́zị́ ꞌyị e nɨ sɨmɨ sị́gịnị. Zɨ́ phanda Kɨ́résịto ówụ́ ndíki wo ꞌdị́cị́ íri. Zɨ́a kása ꞌyị lódụ́ kacɨ́ne e zɨ́ Yésụ ndúꞌyú wo kɨ́dí, 
MAT.11.3	“Áyí ba Kɨ́résịto bɨ nébị e ukunɨ́ ledrea kɨ́dí nɨ ógụ ní, ala áyí ngíti ꞌyị kpị́?”
MAT.11.4	Zɨ́ Yésụ kásalúgu yée kɨ́dí, “Ledre ga bɨ mándị́sị ꞌdódo yée, zɨ́se úwú a go kɨ́ mbílíse kɨ́ yée ga bɨ lúrúsé máa kɨ́ méngị yée ní, ídísé ndéré úku yée zɨ́ Yiwáni kɨ́dí, 
MAT.11.5	ꞌyị ga bɨ lurú bi wá ní málíkpí komoyé go, mɨgịgị́ṛị́ e máyéme sịndị́ye go, ꞌyị ga bɨ kɨ́ sámá royé ní máyéme yée go, mɨmbílí ngbụtụ́ e málíkpí mbílíye go, umbu e nɨyí go kɨ́ úrú, mááyí go kpá ndị́sị úku bɨlámá ledre ꞌbɨ Lomo zɨ́ ꞌyị lerị́ e. 
MAT.11.6	Ídísé kpá úku a zɨ́a kɨ́dí, Lomo nɨ íꞌbí úndru zɨ́ ꞌyị ga bɨ asinɨ́ gɨ romá wá gɨ zɨ́ ledre ga bɨ mándị́sị méngị yée ní.”
MAT.11.7	Sɨmɨ bɨ ꞌyị lódụ́ kacɨ́ Yiwáni nɨyí go ndáꞌba ní, zɨ́ Yésụ óyólúgu komoné tónóne úku ledre zɨ́ tụ́ꞌdụ́ ꞌyị ga ba ní gɨ ro Yiwáni kɨ́dí, “Oꞌdo bɨ kóo ndị́sịsé ndéré lúrú wo sɨmɨ súwú ꞌdáa ní náambi? Ówosé kóo wo lá káa zɨ́ lómí bɨ síli ndịsị ílí a káa zɨ́ cící éyị́ ní? 
MAT.11.8	Togụ́ kenée wá ní, ílisé kóo zɨ́a ídíne íri kɨ́ mongụ́ bɨlámá bongó roné? ꞌYị ga bɨ kɨ́ bongó e royé kenée ní ndịsịnɨ́ ndị́sị dụụ́ ye do mɨngburoko bi ga bɨ ꞌbɨ ngére e ní. 
MAT.11.9	Sara togụ́ kenée ní, éyị́ bɨ kóo ndérésé lúrú a ní ꞌdi? Ndérésé lúrú nébị? ꞌBe tɨ́ kenée ní, máúku zɨ́se oꞌdo née romo do nébị. 
MAT.11.10	Née oꞌdo bɨ kóo Lomo uku ledre a do éké ledre gɨ roa kɨ́dí,
MAT.11.10	“ ‘Mááyí kása ꞌyị kasa amá zɨ́yị ꞌdáꞌdá,
MAT.11.10	gɨ ro zɨ́a yémeómo mɨsiꞌdi zɨ́yị nzíyiné.’
MAT.11.11	Máúku zɨ́se maꞌdíi, gɨ dongará ꞌyị ga bɨ kará e ndikinɨ́ yée ní ꞌyị rómo do Yiwáni Babatị́za ndaá. Tɨ́ lá ꞌyị máa wo bɨ nɨ odụ ꞌyị ꞌbe ꞌbɨ Lomo komo ere ní, romo do Yiwáni dụụ́ ne. 
MAT.11.12	Tónóne gɨ sɨmɨ sịndị́ kadra bɨ kóo Yiwáni Babatị́za ndị́sị úku ledre ꞌbɨ Lomo zɨ́ ꞌyị e, ndéréógụné gị karaba ní, ledre ꞌbɨ Lomo bɨ komo ere ní nɨ kóo go mɨndéréne ꞌdáꞌdá, tɨ́ lá ꞌyị ga bɨ otonɨ́ royé okó ro ledre ꞌbɨ Lomo ní ndịsịnɨ́ gámásóꞌdo mɨsiꞌdi gɨ ro ụ́cụómo a kɨ́ cóngó ro. 
MAT.11.13	Ledre ga bɨ mbá nébị e ekénɨ́ yée nda kpá kɨ́ lorụ ꞌbɨ Mụ́sa, ndéréógụné gị sɨmɨ sịndị́ kadra ꞌbɨ Yiwáni, nɨyí gɨ ro ledre ꞌbe ꞌbɨ Lomo. 
MAT.11.14	Togụ́ ṇgúṇgusé go kenée, Yiwáni babatị́za nɨ nébị káa zɨ́ Ilíya nébị bɨ kóo Lomo ukuꞌdodo ledre mɨógụ ené ní. 
MAT.11.15	ꞌYị bɨ kɨ́ mbílí ro doné, idí índi mbílíne úwúyéme ledre ba bɨlámáne.
MAT.11.16	“Mááyí ótoásá ꞌyị ga bɨ cakaba ba kɨ́ ꞌdi? Nɨyí yị́ eyé káa zɨ́ owụ́ ga bɨ nɨyí do bi ndeke ní. Zɨ́ ngíti géyị ndị́sịyé ndólo lafúye, 
MAT.11.17	úku ledre zɨ́ye kɨ́dí, ‘Ndịsịzé úku keꞌbị kɨ́ ụ́cụ kị́drị́, ógụsé léꞌbé keꞌbị zɨ́ze wá, ukuzé keꞌbị ini, sɨmɨkozo ꞌdiꞌbi sée kpá wá. 
MAT.11.18	Sɨmɨ bɨ Yiwáni ogụ ní, anu bɨlámá éyị́ wá, ewé leꞌyị́ kóṛó kpá wá ní, úkusé yị́ esé kɨ́dí nɨ kɨ́ dokéké sɨmɨné.’ 
MAT.11.19	Zɨ́ Owụ́ ꞌbɨ ꞌYịmaꞌdí ógụné ndị́sị kɨ́ ánu éyị́ kpá kɨ́ éwé éyị́ e kɨ́ ꞌyị e ní, úkusé yị́ esé kɨ́dí, ‘Lúrúsé aka oꞌdo ba. Nɨ ꞌyị mɨmbéꞌde, ꞌyị kóyó kpá ezegámá ꞌyị ꞌdóꞌdụ́ ụsórụ e kɨ́ ꞌyị lúyú ledre e.’ Tɨ́ lá komokenzị ndịsị ꞌdódo roné maꞌdíi kacɨ́ mɨméngị ledre.”
MAT.11.20	Zɨ́ Yésụ tónóne úku ledre zɨ́ ꞌyị e sɨmɨ gara ga bɨ kóo mengị tụ́ꞌdụ́ mɨngburoko ledre e ga bɨ kɨ́ rokoꞌbụyé sɨmɨyé ní, gɨ zɨ́a oyóloꞌbónɨ́ eyé mɨmbéꞌdeyé zɨ́ye ṇgúṇgu ledre ꞌbɨ Lomo wá. 
MAT.11.21	“Áko, sée ꞌyị ꞌbɨ gara ga bɨ Korazíni kɨ́ Beteseyị́da
MAT.11.22	Máúku zɨ́se, abú ꞌyị ga bɨ ꞌbɨ Táyire kɨ́ Sidóna Lomo nɨ karanée ꞌdóꞌdo yée yá, nɨ ídí kɨ́ ngítíne. 
MAT.11.23	Sée ꞌyị ꞌbɨ gara bɨ Kapáranawúma ní, sómụ́sé kɨ́dí Lomo nɨ ꞌdíꞌbi sée ꞌbe ꞌbɨ ené komo ere? Ɨ́ꞌɨ, ꞌdiꞌbi ené sée íri wá. Nɨ ụ́cụ sée ku phoꞌdụ bɨ za fí ní. Togụ́ mɨngburoko ledre ga bɨ máméngị yée sɨmɨ gara esé ona ní, idí mengịnɨ́ kóo royé née sɨmɨ gara Sodóma, káa bɨ idíaká ba go gị karaba. 
MAT.11.24	Karanée kadra ngbanga, Lomo nɨ ꞌdóꞌdo sée rómo do ꞌbɨ Sodóma.”
MAT.11.25	Zɨ́ Yésụ ị́nyịné mbófo Lomo kɨ́dí, “Babá, áyí Ngére do éyị́ e za mbá, kpá do Ere kɨ́ Káṇgá. Mámbófo yị́ị gɨ zɨ́a ótoécị maꞌdíi ledre eyị́ ba gɨ zɨ́ ꞌyị ga bɨ ya yée nɨyí ꞌyị ówo ledre e ní, zɨ́yị nda ꞌdódo a zɨ́ yée ga bɨ kɨ́ owụ́ ówo ledre ní. 
MAT.11.26	Babá, née ledre bɨ utúasá kacɨ́ komoyị́ ní, gɨ ro zɨ́a ídíne kenée.”
MAT.11.27	Zɨ́a kpá úku ngíti ledre kɨ́dí, “Babá, iꞌbí rokoꞌbụ ledre e go za mbá zɨ́ma. ꞌYị bɨ owoyeme ledre gɨ romá ní ndaá dụụ́ Babá, ꞌyị ówoyéme ledre gɨ ro Babá ndaá dụụ́ máa kɨ́ ꞌyị ga bɨ mágélé yée go gɨ ro ꞌdódo Babá zɨ́ye ní.
MAT.11.28	“Sée ga bɨ za mbá ndị́sịsé ꞌdóꞌdó gɨ zɨ́ lorụ bɨ mɨngburoko ꞌyị esé e ịmbị́otonɨ́ dosé ní, ídísé ógụ zɨ́ma, mááyí sáká sée gɨ ro zɨ́se ꞌdówụ́rosé. 
MAT.11.29	Ídísé íꞌbí mɨmbéꞌdesé zɨ́ma, zɨ́se ndị́sịsé lódụ́ dụụ́ kacɨ́ lorụ amá, gɨ zɨ́a mɨmbéꞌdemá nɨ bɨlámáne ro ꞌyị e gɨ zɨ́a bɨ mándị́sị ówo ꞌdoꞌdó eyé ní. Togụ́ ílisé ledre amá go yá, mááyí ị́drị mɨmbéꞌdesé zɨ́a ị́drị́ne nzoó zɨ́se ꞌdówụ́rosé. 
MAT.11.30	Gɨ zɨ́a lorụ bɨ mááyí íꞌbí a zɨ́se ní ndaá ꞌbɨ ené owóowó wá, nɨ yị́ ené fáfáka utúasá íꞌbí kụ́rụ́ rosé wá.”
MAT.12.1	Sɨmɨ Sị́lị́ ꞌbɨ ꞌDówụ́ro
MAT.12.2	Zɨ́ ngíti géyị Farụsáyo e ị́nyịyé úku ledre zɨ́ Yésụ kɨ́dí, “Lúrú aka ꞌyị lódụ́ kacɨ́yị ga ba nɨyí go méngị moko sɨmɨ Sị́lị́ ꞌbɨ ꞌDówụ́ro.”
MAT.12.3	Yésụ ya zɨ́ye ní, “Ówosé éyị́ bɨ kóo Dawídi kɨ́ ꞌyị ené e mengịnɨ́ sɨmɨ bɨ kóo ꞌbú mengị yée ní bú? 
MAT.12.4	Olụ́nɨ́ kɨ́ ꞌyị ené e ꞌDị́cị́ ꞌbɨ Lomo, éyị́ ga bɨ ꞌdanánɨ́ Lomo kɨ́e, ꞌyị ꞌdáná éyị́ e nɨyí ánu a lá dụụ́ ye ní, zɨ́ye ꞌdíꞌbi a ánu a. 
MAT.12.5	Ólosé esé ledre bɨ Mụ́sa eké sɨmɨ lorụ kɨ́dí ꞌyị ꞌdáná éyị́ bɨ sị́lị́ ené ꞌbɨ moko sɨmɨ ꞌDị́cị́ ꞌbɨ Lomo utú go ndro sɨmɨ Sị́lị́ ꞌbɨ ꞌDówụ́ro ní, idí méngị a ndaá zɨ́a lúyú ledre wá ní wá? 
MAT.12.6	Máúku zɨ́se maꞌdíi, wo bɨ kɨ́ rokoꞌbụné rómo do rokoꞌbụ ꞌbɨ ꞌDị́cị́ ꞌbɨ Lomo ní nɨ ona. 
MAT.12.7	Idí ówosé ini ledre bɨ sɨmɨ mɨéké kúrú Lomo kɨ́dí, ‘Máíli ídísé ídí ꞌyị ówo ledre kɨ́ ꞌyị e, ndaá ꞌbɨ ené ꞌdáná éyị́ esé e wá ní bo,’
MAT.12.8	Bɨ kenée ní Owụ́ ꞌbɨ ꞌYịmaꞌdí nɨ ngére do Sị́lị́ ꞌbɨ ꞌDówụ́ro.”
MAT.12.9	Zɨ́ Yésụ ókpóne gɨ ore ꞌdáꞌdá, zɨ́a ndéré ólụ́ne sɨmɨ ngíti ꞌDị́cị́ Kótrụro ꞌbɨ Yụ́da e, 
