MAT.1.1	Abrahamachea puta Davidachea puta, Krista Jezuche he vonxa-vollichi xivddi. 
MRK.15.42+MRK.15.43	Sanz zalea uprant, Arimateiacho Juze ailo; to Mha-Dhormsobhecho êk xrêxtt vangddi aslo ani Devachea Rajeachi vatt polletalo. To Toiarecho Dis, mhonngê Sabhata adlo dis dekhun, dhir dhorun Pilata-xim vochun tannem Jezuchi kudd magli. 
MRK.15.44	Itlo vegim melo mhonn Pilatak ojap dislem ani, xotpotik apoun haddun, To morun thoddo vell pasar zala zalear tannem vicharun ghetlem. 
MRK.15.45	Xotpoti koddchi sarki khobor ghetôch, Juzek tannem kudd vhorunk dili. 
MRK.15.46	Juzen êk ôl vikti gheun haddli ani Taka denvoun, tê olin revddailo ani khoddpant khonnlelê êkê somadhint Taka dovorlo; magir êk fatôr lonvddun somadhichea tonddak laili. 
MRK.15.47	Mari Magdalen ani Joxetachi avoi Maria Taka khõi dovortat tem polleun asleô.
MRK.16.1	Sabbath sorlea uprant, vochun Jezuchê kuddik lavunk, Mari Magdalen, Jakobachi avoi Maria ani Salome, hãnnim pormollit mosalo vikto gheun haddlo. 
MRK.16.2	Ani satolleachea poilea disa bhov sokallim, suria udetana, teô somadhi-xim aileô. 
MRK.16.3	Teô ekamekak mhonntaleô: “Somadhichea tondda veli fatôr konn amkam dhuklun ditolo?” 
MRK.16.4	Punn nodor mar zalear, ti fatôr, borich vhoddli asun-ui, dhukol’leli tãnnim dekhli. 
MRK.16.5	Somadhint bhitôr vochun, dhovem anglem neslolo êk tornnatto uzvean boslolo tãnnim dekhlo ani teô kampleô. 
MRK.16.6	Punn tannem mhonn’lem: “Bhiem nakat; khursar marlelea Nazaretkar Jezuk tumi sôdtat; Devan Taka punorjivont kelo; To hanga na. Taka dovorleli ti svat polleiat. 
MRK.16.7	Punn To tumchê adim Galileiak veta, ani Tannem sanglelea pormannem, tumi Taka thõi dekhtelet mhonn Tacheam xisank ani Pedruk sangat. 
MRK.16.8	Bhirantin borun ani ojab zaun te somadintlim bhair sorun, teô bailô pollun geleô; tancher bhõi ani kampero suttlolo dekhun tãnnim konnakuch kãi sangunk na.
MRK.16.9	Satolleachea poilea disa, sokallim punorjivont zaun, Jezu poilo Mari Magdalenak dixtti poddlo; tichê vele Tannem sat devchar kaddlele. 
MRK.16.10	Tinnem vochun Tachê borabôr astalim ani atam dukh korun roddtalim tankam kollit kelem. 
MRK.16.11	Punn To jivo asa ani tika dixtti poddla mhonn tãnnim aikun-ui sotmanunk na.
MRK.16.12	Hachê uprant tanchê bhitorle dog zann eka ganvant cholun vetale; dusrem ek rup gheun To tankam dixtti poddlo. 
MRK.16.13	Tãnnim ieun herank sanglem, punn hanchem-i tãnnim sotmandunk na.
MRK.16.14	Xekim, ikra zann jevtastana, tankam To dixtti poddlo. Apnnak punorjivont zal’lo dekhlolo tanchem tãnnim sotmanun ghetlem na dekhun, bhavart dhôrchê svater aplench khorem korun ravle mhonnun Tannem tankam bexttaile. 
MRK.16.15	Ani Tannem tankam sanglem: “Akhea sonvsarak vochat, sogllê rochnnek xubhvhortoman porgôttat. 
MRK.16.16	Bhavart dhôrtit ani batism ghetit tankam soddvônn mellteli; punn bhavart dhôrinam zatit tim khastichem formonn ghetelim. 
MRK.16.17	Bhavart dhôrteleam sovem heô khunna dixtti poddteleô: Mhojea Nanvan devchar kaddtelim, noveô bhasô uloitelim, 
MRK.16.18	sorop dhôrtelim, ani jiv kaddpachem kitem-i tim pietit bi, tankam tem vaitt zaunchem na, piddevontancher hat dovrun tim tankam borim kortelim.
MRK.16.19	Ani Somia Jezun tanchê kodde uloun sompoitôch, Devan Taka voir sorgar ubarun vhelo ani thõi To Devachea uzveak bosla. 
MRK.16.20	Xisamnim vochun sogllê kodden xubhvhortoman porgôttlem. Somi tanche borabor vaurun, ghodd’talim team vizmitam vorvim, tanchem utor sot mhonn thiraitalo.
LUK.1.1+LUK.1.2	Survatek thaun amchê modem zaleat teô ghòddnneô dekhleleam sakxidaramnim ani Sobdacheam sevokamnim amkam sondêx dila tea pormannem, hi kotha boroun dovrunk zaite zann vavurleat. 
LUK.1.3	Hem zanna zaun, mhojê-i pallien, team soglleam ghòddnneanchi mhenotin chovkoxi kelea uprant, tich kotha tuka, xrêxtt Teofila, kroman boroun dovrunk hanvem ievjilem. 
LUK.1.4	Jeam ghòddnneanchi tuka xikovnn mell’lea, ti kitle khatrechi ti tuka tthavem zaunchê khatir, oxem korchem mhonn mhaka dislem.
LUK.1.5	Judeiacho raza Herod raj choloitalo tedna, Abiasachea vangddacho, Zakarias nanvacho, êk iadnik aslo; tachi potinn, Elizabet nanvachi, Aaronachê sonstechi asli. 
LUK.1.6	Chukoinastana Sorvesporacheô soglleô adnea ani formavnneô pallun, dogam-i Devachê nodrê mukhar nitivont aslim. 
LUK.1.7	Tankam bhurgem-ball naslem, kiteak Elizabet vanztti asli ani dogam-i utar piraiek pavlelim. 
LUK.1.8	Ani oxem ghòddlem: aplea vangddachê pallien Deva mukhar iadnikachi seva korta astana, 
LUK.1.9	iadniki sevechê chali pormannem, tacher sort poddleli dekhun, dhump zollounk to Sorvesporachea Povitr-Sthanant bhitôr gelo. 
LUK.1.10	Dhump zollounchea vellar sogllo lôk bhair ravun magnnem kortalo. 
LUK.1.11	Dhumpa-vedichê uzvê kuxik ubo aslolo Sorvesporacho êk dut taka dixtti poddlo. 
LUK.1.12	Taka polleun, Zakarias ghaborlo ani tacher kampero denvlo. 
LUK.1.13	Punn devdutan mhonn’lem: “Zakarias, tum kamponaka; tujem magnnem Devan mandun ghetlem. Elizabet tujê potinni thaun tuka êk bhurgo zolmotolo, ani Juanv mhonn tum taka nanv ditoloi. 
LUK.1.14	Tum khuxal zaun murgott’toloi ani tachea zolman zaitim zannam khuxal zatelim; 
LUK.1.15	tôr to Sorvespora mukhar vhôdd zatolo; soro ani lagrem kitench to pieuncho na; ani aplê avoichea kusveant thaun to Povitr Atmean bhòrtolo. 
LUK.1.16	Israelacheam zaiteam putam-dhuvank Sorvespora tanchea Deva-xim to portun haddtolo. 
LUK.1.17	Avoi-bapaichim ani tancheam bhurgeanchim kallzam ekameka thãi to vollun haddtolo, fiturank to nitivont mon’xanchi zannvai xikoitolo, ani oxem Sorvesporak purti êk porza toiar korchê khatir, to Tachê fuddem Elijachem mon ani boll gheun choltolo.”
LUK.1.18	Zakariasan devdutak mhonn’lem: “Hem khorem mhonn mhaka koxem gomtelem? Tôr hanv mhataro zalam ani mhoji potinn utar piraiek pavlea.” 
LUK.1.19	Devdutan zap diun mhonn’lem: “Hanv, Devachea fuddeant ubo asta to Gabriel. Tujê kodde ulounk ani hi bori khobor tuka diunk mhaka Devan tujê-xim dhaddla. 
LUK.1.20	Polle, mhojeam utrancher tunvem bhavart dovrunk nãi mhonnun, heô vostu ghoddo porian tum mono urtoloi, tujean ulounk zaunchem na! Mhojim utram mat tanchea vellar pallon ietelim!”
LUK.1.21	Itlea mhonnosôr lôk Zakariasak ravtalo ani Povitr-Sthanant taka hedo uxir zalo mhonn polleun ojap zatalo. 
LUK.1.22	To bhair ietôch, tanchê lagim ulounk tachean nozo zalem dekhun, Povitr-Sthanant ek dorxon taka mell’lam mhonn tim somzolim. To tankam fokot kurvô kortalo, ani monoch urlo.
LUK.1.23	Tache sevadhorm-seveche dis bhòrtôch, to porot aplea ghora gelo. 
LUK.1.24	Thoddeam disamnim, tachi potinn, Elizabet gorbest zali, ani panch mhoine ti bhitôruch ravli. 
LUK.1.25	Tinnem mhonn’lem: “Sorvesporanuch hem kelem. Mhojer Apli doiall dixtt ghalun, mon’xam modem hanvem bhôglolo beman Tannem pois kelo.”
LUK.1.26	[Elizabetichea gorbestponnachea]
LUK.1.27	êkê soirik-zal’lê ankvari sorxim dhaddlo. Davidachea Ghoranneantlea eka dadlea lagim tichi soirik zal’li. Tea dadleachem nanv Juze aslem, ani ankvarichem nanv Maria. 
LUK.1.28	Ti asli thõi vochun, devdutan mhonn’lem: “Noman tuka, Devachê chôdd opurbaiechê! Sorvespor tujê sovem asa.” 
LUK.1.29	Hem tachem utor aikun, ti ekdom’ ghaborli ani hem noman koslem zait tem chintunk poddli. 
LUK.1.30	Punn devdutan tika mhonn’lem: “Bhienaka, Mariê! Tum Devachê opurbaiechi. 
LUK.1.31	Aik! Tum gorbest zateli ani eka putak zolm diteli, ani Jezu hem nanv Taka ditelii. 
LUK.1.32	To vhôdd zatolo ani Bhov Vorto Dev Taka Aplo Put mhonntolo, ani Tachea bapai Davidachem xinvason Sorvespor Dev Taka ditolo. 
LUK.1.33	ani To Jakobachea Ghoranneacher sasnnachea sasnnak raj choloitolo, ani Tachem raj kednanch sompchem na.”
LUK.1.34	Marien devdutak mhonn’lem : “Mhaka dadlea lagim sombond na mhonntôch, hem koxem ghòddtelem?” 
LUK.1.35	Ani devdutan zap diun mhonn’lem: “Povitr Atmo tujer ietolo ani Bhov Vortea Devachi xokti tujer savlli ghalteli. Heach khatir tum zolm diunchi asai tea povitr bhurgeak Devacho Put mhonn Sorvespor nanv ditolo. 
LUK.1.36	Ani polle, tujê soirê Elizabetin utar piraier eka putacho gorb samball’la ani vanztti mhonntalim ti atam sovea mhoineachi asa. 
LUK.1.37	Kiteak Devachean zaina mhonnlelem kãich na.”
LUK.1.38	Tedna Marien mhonn’lem: “Hi asam hanv Sorvesporachi chakornn: zaum mhojê sovem tujea utra pormannem.” Ani devdut tichê sorxilo koddsorlo.
LUK.1.39	Team disamnim Maria utthli ani dongri vattarant, Judachea eka nogrant, doddvoddan geli; 
LUK.1.40	ani Zakariasachea ghorant bhitôr sorun, tinnem Elizabetik noman kelem. 
LUK.1.41	Elizabetin Mariechem noman aikona fuddem, tichea kusveant aslelea ballkan uddi marli ani Elizabet Povitr Atmean bhòrli. 
LUK.1.42	Ani vhoddlea tallean udgarun tinnem mhonn’lem: “Ostoream modem subhagi tum, ani subhagi tujê kuxichem foll! 
LUK.1.43	Ani mhojea Somiachi avoi mhojê-xim ieunchi mhonn mhaka khõichean favo zalem? 
LUK.1.44	Tôr polle, tujea nomanacho sad mhojea kanar poddona fuddem, mhojea kusveant asto ballkan khuxalkaien uddi marli. 
LUK.1.45	Ani Devan tuka sanglam tem purnntaien pallon ietelem mhonn tunvem bhavart dhôrloi dekhun tum subhagi!”
LUK.1.46	Marien mhonn’lem:
LUK.1.46	“Mhozo otmo Sorvesporak vakhannta,
LUK.1.47	Deva mhojea Taroka khatir mhozo jiv murgott’ta!
LUK.1.48	Aplê chakornnichê lhan’vikaiecher Tannem dixtt ghali:
LUK.1.48	hôi, atanchean soglleô pinddka mhaka subhagi mhonntelêo!
LUK.1.49	Mhojê khatir vhodd-vhodd vostu keleô Tannem:
LUK.1.49	Sorvbollixtt To, Povitr Nanv Tachem!
LUK.1.50	Tachi bhokti korteleank pavta
LUK.1.50	pinddkechê pinddkent Tachi doia.
LUK.1.51	Aplea bavlleachi To xokti dakhoita,
LUK.1.51	kallzant gorv dhôrteleank duspottaita.
LUK.1.52	Podvedarank To sodram voile xevttita,
LUK.1.52	hinn-holkeank unch ubarta.
LUK.1.53+LUK.1.54+LUK.1.55	Bhukel’leank To boream-boream denneamnim bhôrta,
LUK.1.53+LUK.1.54+LUK.1.55	girestank rikameam hatamnim porot dhaddta.
LUK.1.53+LUK.1.54+LUK.1.55	Abrahama ani tachê sonsti khatir sorvkallak
LUK.1.53+LUK.1.54+LUK.1.55	amcheam purvozank dil’lea utracho,
LUK.1.53+LUK.1.54+LUK.1.55	Aplê kakluticho, Tannem ugddas kelo
LUK.1.53+LUK.1.54+LUK.1.55	ani Israela, Aplea chakrak, xeronna ghetlo.”
LUK.1.56	Maria sumar tin mhoine Elizabetichea sangata ravli ani magir aplea ghora portoli.
LUK.1.57	Itlea mhonnosôr Elizabet porsutt zaunche dis pavle ani tika êk bhurgo zalo. 
LUK.1.58	Devan tichê thãi vhôdd doia dakhoili mhonn aikun, tichim xeza-samarim ani soirim-dhairim tika porbim diunk laglim.
LUK.1.59	Atthvea disa ballkachi sunôt korunk ailim ani tachea bapaichea nanva pormanem Zakarias mhonn taka nanv diunk sôdtalim, 
LUK.1.60	punn tachê avoin utor ghalun mhonn’lem: “Na, taka Juanv mhonn nanv diunk zai.” 
LUK.1.61	Ani tãnnim tika sanglem: “Tujea gotrant tea nanvacho konnuch na.” 
LUK.1.62	Tedna taka kitem nanv diunchem kai mhonn tachea bapaichi khuxi sodun kaddunk, tãnnim bapai kodde kurvô korun vicharlem. 
LUK.1.63	Ani tannem folli magun gheun ticher boroilem: “Tachem nanv Juanv.” Ani sogllim ojap zalim. 
LUK.1.64	Teach vellar tachem tondd ugòddlem, tachi jib suttli ani Devachi tust korun to ulounk laglo. 
LUK.1.65	Sogllim xezarim thottaklim ani Judeiachea akhea dongri mulkant heô ghòddnneô gaztaleô 
LUK.1.66	ani aikoteleamnim teô aplea monant rigoun mhonn’lem: “Ho bhurgo koslo utortolo-so tumkam dista?” Kiteak Sorvesporacho hat tachê sovem aslo.
LUK.1.67	Tacho bapui Zakarias, Povitr Atmean bhoron, oxem bhakit korun uloilo:
LUK.1.68	“Vakhann’nni Sorvesporak,
LUK.1.68	Israelachea Devak!
LUK.1.68	Kiteak Aplê porjek Tannem bhett dili,
LUK.1.68	Tika soddounk To ailo.
LUK.1.69	Aplea sevoka Davidachea
LUK.1.69	Ghoranneantlo
LUK.1.69	Tannem amchê khatir
LUK.1.69	eka bollvont Tarokak upzoilo.
LUK.1.70+LUK.1.71	Amcheam dusmanachea tabeantlim,
LUK.1.70+LUK.1.71	ani amcho dvês dhôrteleam soglleancheam hatantlim
LUK.1.70+LUK.1.71	Apunn amkam soddoitolo mhonn
LUK.1.70+LUK.1.71	Apleam bhoktivont
LUK.1.70+LUK.1.71	provadianchê tonddim
LUK.1.70+LUK.1.71	magam thaun Tannem bhasaillem.
LUK.1.72	Amcheam purvozank apunn doia dakhoitolo
LUK.1.72	ani aplea povitr koraracho
LUK.1.72	ugddas kortolo mhonn
LUK.1.72	Tannem sangun dovorlelem.
LUK.1.73+LUK.1.74	Amcheam dusmanancheam
LUK.1.73+LUK.1.74	hattantlim suttoun,
LUK.1.73+LUK.1.74	bhiranti vinnem Tachi bhokti korunk,
LUK.1.73+LUK.1.74	Apunn amkam favo kortolo mhonn soput gheun
LUK.1.73+LUK.1.74	Tannem amchea bapa, Abrahamak utor dil’lem.
LUK.1.75	Oxem ami sogllea amchea jivitant
LUK.1.75	Tachea fuddeant povitr ani
LUK.1.75	promannik zaunk pavtelenv
LUK.1.75	mhonn dil’li bhasavnni ti,
LUK.1.75	Tannem atam pall’li.
LUK.1.76	Ani ballka mhojea,
LUK.1.76	Bhov Vortea Devacho Provadi mhonn
LUK.1.76	lôk tuka pachartolo,
LUK.1.76	kiteak tum Sorvesporacheô vattô toiar korunk Tachê fuddem vetoloi.
LUK.1.77	Apleam patkanchem bhogsonnea
LUK.1.77	udexim aplem taronn zata
LUK.1.77	ti ollokh tum
LUK.1.77	Tachê porjek ditoloi:
LUK.1.78	amchea doiall-maiall Devachea
LUK.1.78	kallzachem dennem hem.
LUK.1.78	Amchê voir sorga velo êk Suria
LUK.1.78	To ude-so kortolo
LUK.1.78	ani amkam bhett diunk dhaddtolo.
LUK.1.79	Kallokant ani mornnachê savllent jieteleank
LUK.1.79	to Suria uzvadd ditolo
LUK.1.79	ani amchim panvlam xantichea margar ghaltolo.”
LUK.1.80	Ani bhurgo vaddtam-vaddtam budhin ghôtt zait gelo. Israelak sobhêmazar dixtti poddo-sôr to oronneant ravtalo.
LUK.2.1	Sogllea sonvsarachi lôkgonnti korchi mhonn team disamnim Bhov Xrêxtt August Somrazacho 
LUK.2.2	Hi poilich lôkgonnti Kirin Siriecho razpal astana zali. 
LUK.2.3	Ani sogllim ap-aplem nanv lavun diunk ap-aplea ganvak vetalim.
LUK.2.4	Apunn Davidachea Ghoranneantlo ani kuttumbantlo mhonntôch, Juze-i Galileiantlea Nazaret nogra thaun Judeiantlea Bethlehem’ mhonnlelea Davidachea nogrant gelo. 
LUK.2.5	Apnna lagim lognachem utor zal’lê ani gorbest aslelê Mariê sangatim aplem nanv lavun diunchê khatir tannem toxem kelem. 
LUK.2.6	Ani thõi astananch tiche porsutt zaunche dis bhòrle 
LUK.2.7	ani tinnem aplea malgoddea Putak zolm dilo; ani tankam khannavollint svat nasli dekhun, tinnem taka falliamnim guttlaun khavnnent dovorlo.
LUK.2.8	Teach kheddea ganvant rat-paro korun gonvlli aple hindd rakhtale. 
LUK.2.9	Sorvesporacho êk dut tanchê sorxem ubo zalo ani Sorvesporachem tez tanchê bhonvtim porzoll’lem ani te bhieun thorthorle. 
LUK.2.10	Devdutan tankam mhonn’lem: “Bhienakat! Polleiat, vhodda sontosachi khobor hanv tumkam gheun ailam, ani hoch sontôs sogllê porjek bhògtolo; 
LUK.2.11	tôr az Davidachea nogrant tumkam êk Soddvonnar zolmola; Toch To Krist Somi. 
LUK.2.12	Ani hi tumkam khunna: falleamnim guttlail’lo ani khavnnent dovorlolo tumkam êk ballôk melltolo.”
LUK.2.13	Tedna ovchituch tea devduta borabôr Devachi tust gaito devdutanchi êk urpônz sorgar thaun denvleli dixtti poddli;
LUK.2.14	“Bhov unchlea sorgar asto Devak mhoima,
LUK.2.14	ani prithver Tache opurbaiecheam mon’xank
LUK.2.14	Tachi doia ani xanti!”
LUK.2.15	Ani devdut tanchê sorxile kaddun sorgar vetôch gonvlli ekamekak mhonnunk lagle: “Ami Bethlehemak vochum-ia ani jem kitem ghòddlam ani Sorvesporan amkam kollit kelam tem polleun ieum-ia.” 
LUK.2.16	Ani vegim-vegim voch zalear, Maria, Juze ani khavnnent dovorlolo ballôk tankam mell’lim. 
LUK.2.17	Ballkak polleun, jem kitem Tachê vixim tankam sanglelem, tem tãnnim porgott kelem. 
LUK.2.18	Ani gonvlliamnim tankam sangleli khobor aikun sogllim ojap zalim. 
LUK.2.19	Maria heô soglleô ghòddnneô aplea kallzant gholloun samballtali. 
LUK.2.20	Ani apnnank sanglelem toxench sogllem aikolea ani pollelea uprant, Devak mhoima diit ani Tachi vakhann’nni korit gonvlli porot aile.
LUK.2.21	Ballkachi sunôt korunk atth dis bhòrtôch, Jezu mhonn Taka nanv ghalem; hench nanv To Aplê avoichea kusveant sombhovchê adim devdutan Taka ghalchem mhonn sanglelem.
LUK.2.22+LUK.2.23+LUK.2.24	Moizesachê Somurti pormannem tanchi xud’dhi korche dis bhòrle; tedna oxem zalem: “Kusvo ugôddta to dôr-eklo put Sorvesporak bhettoil’lo zatolo”, Sorvesporachê Somurtint boroil’lea hea utracho ugddas korun, ballkak Sorvespora mukhar dovrunk ani, Sorvesporachê Somurtint sanglelem asa tea pormannem, “kovddeanchê zoddiecho, na zalear parveancheam don pileancho” iôdn somorpunk, ballkak Jeruzaleak vhelo. 
LUK.2.25	Tedna Simeianv nanvacho êk promannik ani bhoktivont monis Jeruzaleant aslo; to Israelachê soddvonnechi vatt polletalo ani Povitr Atmo tacher aslo. 
LUK.2.26	Sorvesporachea Kristak pollelea xivai to morcho na mhonn Povitr Atmean taka kollit kel’lem. 
LUK.2.27	To Atmeachea preronnan Devmondirant ailo, ani Somurtichê chali pormannem ballka Jezuk korchem aslem tem korunk, avoibapain Taka bhitôr haddlo tedna, 
LUK.2.28	tannem-i Taka apleam hatamnim ghetlo ani Devachi tust korun mhonn’lem: 
LUK.2.29	“Tunvem mhaka sanglãi toxem,
LUK.2.29	Tujea hea sevokak, Dhonia,
LUK.2.29	xantin atam vochunk ditai;
LUK.2.30	kiteak soglleam raxttram mukhar
LUK.2.30	Tunvem toiar kel’li soddvônn
LUK.2.31	mhojêch nodren hanvem dekhli:
LUK.2.32	porzank uzvaddaito taronnik-Prokas,
LUK.2.32	Tujê porjê Israel’cho
LUK.2.32	Tunvench favo kel’lo protap!”
LUK.2.33	Ani Tachê vixim mhonnot tem aikun tachea avoibapaik ojap distalem. 
LUK.2.34	Tedna Simeianvan tankam axirvad dilo ani Tachê avoi, Mariek tannem mhonn’lem: “Aik, Israelant zaitim zannam bhi poddunk, ani zaitim zannam novean utthunk, toxench konn-konn Tacher add vochunk, êk kuru koxi Devan Taka nemla. 
LUK.2.35	Hea vorvim zaiteanchim gupit chintnam ugtim zatelim. Ani êk torsad tujem kalliz aspas vidhteli.”
LUK.2.36	Axerachea kullachi, Fanuelachi dhuv, An’na êk provadinn asli; ti utar piraiek pavleli; logn zalea uprant vidva zai-sôr ti sat vorsam aplea ghova borabôr jiel’li; 
LUK.2.37	ani atam piraiechim tika chouraixim vorsam zal’lim. Dis-rat upas ani magnnim korun, ti Devachi bhokti kortali ani Devmondirantuch astali. 
LUK.2.38	Ti-i teach vellar thõi pavun sorun Devak vakhannunk lagli ani Jeruzaleachê soddvonnechi vatt polleun asteleam soglleank ballkachi khobor ti sangunk lagli.
LUK.2.39	Ani Sorvesporachê Somurti pormannem korchem aslem titlem-i kelea uprant, tim Galileiant, aplea Nazaret nogrant, porot ailim. 
LUK.2.40	Piraien vaddtana, Bhurgo ghôtt zait vetalo ani zannvaien bhortalo; ani Devacho axirvad Tacher aslo.
LUK.2.41	Tacho avoibapui vorsachea-vorsa Paska-Porbek Jeruzalea vetalo. 
LUK.2.42	Ani To bara vorsancho zalo tedna, tim sodanchê bhaxen Porbek, Jeruzaleak gelim; 
LUK.2.43	ani porbeche dis sorlea uprant, portun ietalim tedna, Tachea avoibapaik kollonastana bhurgo Jezu Jeruzaleant pattim ravlo. 
LUK.2.44	Punn To vattecheam sangateam borabôr astolo mhonn somzun, tim eka disachi vatt cholun ailim ani soiream-dhaiream ani ollkhichea loka modem tãnnim Taka sôdlo. 
LUK.2.45	To mellonam zatôch, Taka sodit-sodit tim portun Jeruzaleak gelim. 
LUK.2.46	Ani tin disam uprant To tankam Devmondirant mell’lo: xastream modem bosun To tanchem aikotalo ani tankam vichar korit aslo. 
LUK.2.47	Tachem aikoteleam somestank Tachea gineanachem ani Tacheam zobabanchem mottem ojap dislem. 
LUK.2.48	Taka thõi polleun tim ojap zalim; ani Tachê avoin Taka mhonn’lem: “Puta, Tunvem amkam oxem kiteak mhonn kelvi? Polle, khonti-huske kaddun Tuzo bapui ani hanv Tuka sôdtaleanv.” 
LUK.2.49	Ani Tannem tankam mhonn’lem: “Tumi kiteak mhonn mhaka sôdtaleat? Tôr Mhojea Bapachea ghorant Hanvem asunk zai mhonn tumi nokllo asleat?” 
LUK.2.50	Punn To uloilo tem tankam somzunk na.
LUK.2.51	Ani tanchê borabôr To gelo ani Nazaretak portun ailo; thõi To tankam khalto ravlo. Tachi avoi heô soglleô ghòddnneô aplea kallzant samballun dovortali. 
LUK.2.52	Ani Jezu zannvaien, piraien ani kurpen Deva ani mon’xam mukhar vaddot vetalo.
LUK.3.1	Tiberius Somrazachê razvottkechea pondravea vorsa 
LUK.3.2	An’nas ani Kaifas porom’-iadnik asle tedna, Zakariasachea puta, Juanvak, oronneant Sorvesporachem utor pavlem. 
LUK.3.3	Patkanchem bhogsonnem mellun gheunchê khatir jivit-mon bodlun batism gheiat mhonn to Jordanachea akhea vattarant porgottit bhonvtalo. 
LUK.3.4	Izaias provadeachea pustokar boroil’lem asa tea pormannem hem zalem. Tem oxem :
LUK.3.4	“Oronneant arddoto ekleacho tallo to:
LUK.3.4	Sorvesporacho marôg toiar korat;
LUK.3.4	Tacheô vattô nitt korat:
LUK.3.5	dôr-êk gall bhoron ietolo
LUK.3.5	dôr-êk dongôr ani porvôt sokol poddtolo;
LUK.3.5	vankdde-tinkdde marog nitt zatele,
LUK.3.5	ani gunddeam-fatranche asat te sullsullit zatele,
LUK.3.6	ani akhem mon’xakull
LUK.3.6	Devachem taronn polletelem”
LUK.3.7	Apnna koddcho batism gheunk bhair sorun ieto lokachê urponjik Juanv mhonntalo: “Furxeanchi zat tumi! Ieuncho asa to krôdh vattaiat mhonn konnem tumkam xiddkaileant? 
LUK.3.8	Punn tumchem jivit-mon bodòl’lam zalear, tem purteam follamnim dakhoiat, ani ‘amcho bapui Abraham’, oxem tumchê modem mhonnonakat. Tôr hanv tumkam sangtam: heam fatrantli Abrahamak sonsôt utpon korunk Devak tank asa. 
LUK.3.9	Atam legun zhaddanchea mullak kuradd ghal’li asa. Mhonntôch jem-jem zhadd borem foll dinam, tem-tem Dev katortolo ani ujeant ghaltolo.”
LUK.3.10	Ani puskôll lokan taka vicharlem: “Tôr ami kitem korchem?” 
LUK.3.11	Ani zap diun tannem mhonn’lem: “Don angavlim asat tannem kãich na taka ek diunchem; ani jevunk-khaunk asa tannem toxench korchem.” 
LUK.3.12	Dônddvosuldar-ui batism gheunk aile ani tãnnim taka mhonn’lem: “Guruji, ami kitem korchem?” 
LUK.3.13	Tannem tankam sanglem: “Tumkam tharailam tachê-kui anink kãich ogllem gheum nakat.” 
LUK.3.14	Ani soinikamnim-i taka vicharlem: “Ami mhonn kitem korchem?” Ani tannem tankam oxi zap dili: “Konnak zobordosti korinakat, nhoi mhonn konnacher boglantt ghalinakat, ani tumkam kitem mozuri mellta ti gheun dhadoxi zaiat.”
LUK.3.15	“Hoch bi Krist nhoi mum?” oso Juanva vixim lôk khup dubhav kaddun ani zonn-eklo aplea monant odmas korun aslo dekhun, 
LUK.3.16	Juanvan tankam somestank zap diun mhonn’lem: “Hanv tumkam udkacho batism ditam khoro, punn mhojê-vôn bollvont konn eklo ieta, ani tacheam vhannanchi vadi soddunk hanv upkarona. Toch Povitr Atmean ani ujean tumkam batism ditolo; 
LUK.3.17	Aplem kholl nitoll korunk ani gonv aplea koddeant bhorunk To Aplea hatant sup gheun asa, punn pol zalear palovna toslea ujeant To lastolo.”
LUK.3.18	Heô ani dusreô-i zaiteô budhi diun to lokak xubhvhortoman porgôtt’talo.
LUK.3.19	Herod uprazan aplea bhavachê baile, Herodiasik, apli bail kel’li dekhun, ani tacheam soglleam noxtteam kortubam pasot, Juanv Herodik bexttaitalo; 
LUK.3.20	tedna upraza odik paxtt vost kortub korunk pavlo ti hi: tannem Juanvak bondkhonnint ghalo.
LUK.3.21	Magir oxem ghòddlem: sogllea lokan batism gheun somptôch, Jezun-ui batism ghetlo; uprant To magnnem korta astana, sôrg ugto zalo 
LUK.3.22	ani Povitr Atmo parveachem rup gheun Tacher denvlo; ani sorgar thaun oso êk tallo gazlo: “Tum Mhozo vhôdd opurbaiecho Put; Tujer Mhojem dhadosponn asa.”
LUK.3.23	Aplo vavr suru kelo tedna Jezu sumar tis vorsancho aslo ani lôk To Juzecho put mhonn somzotalo. Juzecho bapui Heli; 
LUK.3.24	hacho Mat’that; hacho Levi; hacho Melki; hacho Jan’nai; hacho Juze; 
LUK.3.25	hacho Matatias; hacho Amos; hacho Nahum’; hacho Esli; hacho Nag’gai; 
LUK.3.26	hacho Maat; hacho Matatias; hacho Semein; hacho Joxek; hacho Joda; 
LUK.3.27	hacho Joanan; hacho Resa; hacho Zorobabel; hacho bapui Xalatiel; hacho Neri; 
LUK.3.28	hacho Melki; hacho Ad’di; hacho Kosam’; hacho Elmadam’; hacho Er; 
LUK.3.29	hacho Joxua; hacho Eliejer; hacho Jorim’; hacho Mat’that; hacho Levi; 
LUK.3.30	hacho Simeion; hacho Judas; hacho Juze; hacho Jonam’; hacho Eliakim’; 
LUK.3.31	hacho Meleia; hacho Men’na; hacho Mat’tatha; hacho Natham’; hacho bapui David; 
LUK.3.32	hacho Jes’se; hacho Obed; hacho Boaz; hacho Sala; hacho Naxon; 
LUK.3.33	hacho Aminadab; hacho Admin; hacho Arni; hacho Hesrom’; hacho Fares; hacho Juda; 
LUK.3.34	hacho Jakob; hacho Izak; hacho bapui Abraam’; hacho Thara; hacho Nahor; 
