MAT.1.1	I oyo ay listahan ni kaapoapohan ni Hisu Kristo a ginumapo de Debid ta ginumapo eya de Abraham. 
MRK.11.31	Dingan ide ay nasurutsurotan, “Be sasabi tam a ‘De Makedepat,’ ay sasabi na pan a ‘Bekot ta an yu tinalingaan.’ 
MRK.11.32	Misan ay be sasabi tam a ‘De agta la,’ ay makati ti ano i yediin dikitam ni manga agta ta peabuyenan de a i Huwen ay magsasabi ni Makedepat.” 
MRK.11.33	Kanya sinabi de de Hisus, “Am mi katinggesan.” Sinabi pala dide ni Hisus a, “Be maginon ay ang ko sasabi dikamo ti ino i nagboy deko ni kapangyedihan a geyedi ni pesan a inon.”
MRK.12.1	Nano ay ginumapo i Hisus a gesurut de kaagtaan de padean ni halimbewa a oyo ta sinabi na, “Te duman a isin a agta a nagpatanom ni lanut a obes de pigtanoman na ta dingan pinabekoden na ta pati nagpayedi eya duman ni pigpisaan nun obes pati nagpauddi eya ni maditas a pigbentayen. Ta pagkatapos ninon ay winalat na de taohan na ide ta eya ay kinumang de kakmukan a bensa. 
MRK.12.2	Ta nun dinumatong di i panahon a pagpisa nun obes ay pinakang nun te adi nun obes i katabeng na de taohan ide tangani amitin na i kabinsa na. 
MRK.12.3	Misan ay binolan nun taohan ide un dinodul ta binalbel de dingan pinatotul a an te adde ni misan ano. 
MRK.12.4	Nano ay nagpakang pa a liwet ni isin pa a katabeng na ta tinopras de i ulo na a yinadian ni an te gelang. 
MRK.12.5	Ay nagdodul pa a liwet ni isin pa a katabeng na misan ay binuno de ngani. Kanya maginon dila i yinadi de de kakmukan pa a katabeng, te binalbel pati binuno ide. 
MRK.12.6	Nano ay isin dila i nagkattide a depat na a dodul a i anak nadla a pebuot. Ta eya i inapóan a pinakang na ta sinabi na de sadile na, ‘Gegelang de di i anak ko.’ 
MRK.12.7	Misan ay pagdetong na duman ay nasurutsurotan i taohan ide a magioyo, ‘Iwina i gemana ni pigtanoman i. Hale di ta bunoin tam tangani mapadikitam di i mamana na.’ 
MRK.12.8	Ta binolan de ngani a binuno de a tuloy dingan binut de de ditow ni pigtanoman.”
MRK.12.9	Nano ay tinanto ni Hisus i kaagtaan ide, “Ano man i yeyedi ni te adi ni pigtanoman de taohan na ide? Talage a noduman i te adi ta popuksa na inon ide a taohan dingan pataanan na de kakmukan un pigtanoman a inon. 
MRK.12.10	An yu pa man nagkabesa i pesabi ni Makedepat de kasulatan?
MRK.12.10	‘I beto a kinapoyen ngona ni magyeyedi ide ni beloy ay eya pan i namas pa a pinakamahalage a beto de iwina a yinadi a beloy. 
MRK.12.11	Inon i yinadi ni Panginoon a Makedepat kanya de pekita tam ay masampat a masakut.’”
MRK.12.12	Dingan i Hisus ay dedekop tebe ni te kapangyedihan ide a Hudyo ta kinatinggesan de a ide i pesabian na de halimbewa a inon. Misan ay nagkatakut pan ide de manga agta kanya an de eya dinakop ta tinumotul ide.
MRK.12.13	Ta pinakang de de Hisus i tipide a Pariseo pati i kakmukan a mangáyun ni Herod a maamit de i mali de surut na tangani hahabla de eya. 
MRK.12.14	Kanya ide ay linumane diya ta sinabi de, “Magtutodu, katinggesan mi a ikamo ay gesurut la ni kamatoden ta getodu kamo a nappaayun de kabuotan ni Makedepat pati ang kamo te pepeta a agta ta padepade i pesan a agta de pekita yu. Kanya nagkaddepat man de pagdodul ide a gebeyed kami ni buwis o eyen de Hari a Kaditasan de Roma?” 
MRK.12.15	Misan ay katinggesan ni Hisus a ide ay gedeya la kanya sinabi na dide, “Bekot ta pedeya ok yu? Dio yu i kuwarta a pelak a pambuwis ta pillawag ko.” 
MRK.12.16	Ta biniyen de ngani dingan tinanto na ide, “Dino man a leterato pati ngalan i nappa dio de pelak i?” Tinumubeg ide, “De Hari a Kaditasan de Roma.” 
MRK.12.17	Kanya sinabi na dide, “Be maginon ay boyin yu de Hari a Kaditasan i para diya ta boyin yu pala de Makedepat i para diya.” Kanya ide ay nagtaka ngani a masakut diya.
MRK.12.18	Te duman pala a tipide a Saduseo a linumane de Hisus ta ide ay an gepanulusun a pakeedup a liwet i nalibunin. 
MRK.12.19	Ta sinabi de a magioyo, “Magtutodu, nagsolat i Moises ni pagdodul a para dikitam a, ‘Be nalibun i isin a lalaki ta nawalat na a an te anak i bebi na ay depat a gepakasal i wele na a lalaki de belo a mahuna tangani magkaanak ide para de nalibun.’ 
MRK.12.20	Ta nano ay te duman a pito a magiwinale a manga lalaki. Ay nagbebi un kaka de misan ay nalibun eya a an nagkaanak. 
MRK.12.21	Misan ay nagpakasal pan un káduwa de belo a mahuna ta nalibun pala a am pa nagkaanak. Maginon pala i nangyedi de katiluwon. 
MRK.12.22	Ta ide a pito ay napa ni bebi nun mahuna a an ide nagkaanak. Ay de inapóan ay nalibun pala un mahuna. 
MRK.12.23	Nano ay ino dide i nappa ni bebi nun mahuna be te pagkaedup a liwet ta i pito pan ay napa ni bebi na dio?”
MRK.12.24	Tinubeg ide ni Hisus, “Mali kamo a masakut ta an yu katinggesan i kasulatan nun Makedepat pati kapangyedihan na. 
MRK.12.25	Ta de pagkaedup a liwet ni nalibunin ay i manga agta ay an gebebi o gepabebi ta ide ay nappa ni magi manga anghel di de langot. 
MRK.12.26	Tungkul pan de liwet a pagkaedup ni nalibunin ay an yu pa man nagkabbesa de kasulatan ni Moises a tungkul de masidong a kew a gedilab ta duman ay sinabi ni Makedepat de Moises a, ‘Ako i Makedepat a pepodian pa ni Abraham, Isak pati Hakob.’ 
MRK.12.27	Pati katinggesan tam ngani a i Makedepat ay an Makedepat ni nalibunin ta ni nàedupin la. Talage a mali kamo a masakut.”
MRK.12.28	Nano ay inikna pan ni isin a magtutodu ni Hudyo i pagtalo de ta kinatinggesan na a matud a pesan i manga tubeg ni Hisus de manga katalo na ide. Kanya eya ay linumane diya a nagtanto a magioyo, “I deno man i talage a pinakamahalage a pagdodul?” 
MRK.12.29	Dingan tinumubeg i Hisus, “I oyo i pinakamahalage de pesan, ‘Patalikngan yu a manga Hudyo. I Panginoon tam la a Makedepat i Panginoon a isin la. 
MRK.12.30	Ta depat a buotin yu i Panginoon a Makedepat a pepodian yu ni pesan a innawa, edup, esip pati tibong yu.’ 
MRK.12.31	Ta i káduwa pan a mahalage ay i oyo, ‘Ay depat a buotin yu i kapadepade yu a agta ni magi pagbuot yu de sadile yu.’ Ta an di te mahalage pa de oyo ide a pagdodul.” 
MRK.12.32	Kanya sinabi nun magtutodu ni Hudyo, “Talage a matud kamo a masakut, magtutodu, a isin la i Makedepat ta an di te kakmukan pa ta eya dila. 
MRK.12.33	Talage ay i pagbuot diya ni matud de innawa, esip pati tibong tam pati pan i pagbuot de kapadepade tam a agta ni magi pagbuot tam de sadile tam ay mahalage pangani de mangadde kitam ni handug a sosunug pati kakmukan pa a manga handug.” 
MRK.12.34	Nano ay nun natinggesan ni Hisus a naketingges i kasurut na ay sinabi na diya, “An naaloy ay te kapangyedihan di i Makedepat de innawa mo.” Ta gepo nun nanon ay an di te nagtanto pa de Hisus.
MRK.12.35	Nano ay nun nagtodu i Hisus de beloy a pighandogen de Makedepat ay sinabi na, “Ano ta pesabi ni magtutodu ide ni Hudyo a i Kristo kon a Pinangako nun Makedepat ay apo ni Debid a Hari tam a den? 
MRK.12.36	Misan pan ay naghola i Debid nun te kapangyedihan diya i Ispiritu nun Makedepat ta sinabi na,
MRK.12.36	‘Sinabi ni Panginoon a Makedepat de Panginoon ko, Lumipa ka de awenan ko a te kapangyedihan, ta padeog ko dikaw i kapagebuk mo ide.’
MRK.12.37	Kanya be pengalanan ni Debid i Kristo a ‘Panginoon ko’ ay papalano man a napa ni apo ni Debid i Kristo?”
MRK.12.37	Nano ay nagpatalikngoy a te salig i manga agta ide de Hisus. 
MRK.12.38	De pagtodu na ay sinabi na, “Mag-engat kamo de ugeli ni magtutodu ide ni Hudyo a gemayabeng a getotul a nappabedu ni anduwonin ta buot de a betiin ide ni gekita ide dide de kulukarsade. 
MRK.12.39	Ta i buot de pala ay i manga hinande a piglipaan de pigmitengan ide pati de hinande ide a pigpanganan. 
MRK.12.40	Pati gepanalangin pala ide ni anduwon tangani esipin ni agta a ide ay te piyon a ugeli misan ay peubus de pan la i keedup ni mahunain ide a belo. Kanya namas pa a mabiyet i nádetong a podusa dide.”
MRK.12.41	Nano ay linumipa i Hisus de tipong ni pigpuoyen ni handug a kuwarta duman de beloy a pighandogen de Makedepat. Ta pinagelawag na i manga agta a gehandug ni kuwarta ta makmuk a mayamanin i naghandug ni hangain a halage. 
MRK.12.42	Misan ay linumane pan i isin a mahuna a belo a mahedep a naghandug ni aduwa la a pera ta i kapadepade ninon ay isin la a sentimos. 
MRK.12.43	Kanya inolangan ni Hisus i mag-aadel na ide ta sinabi na dide, “Pesabi ko dikamo a inon a hinandug ni belo a mahedep ay namas pa a mahalage de makmuk a hinandug ni mayamanin ide. 
MRK.12.44	Ta i mayamanin ide ay naghandug ni subra la de kaelangan de misan ay i hinandug ni mahuna a inon a mahedep ay kadu dila ni keedup na.”
MRK.13.1	Nano nun ide Hisus ay binumulwag de beloy a pighandogen de Makedepat ay sinabi diya ni isin a mag-aadel na a, “Magtutodu, pagelawagin yu ta masampatin i beto a ginamit de masampat a oyo a beloy.” 
MRK.13.2	Misan eya ay tinubeg ni Hisus, “Pekita mo ngani nano i hanga a oyo a beloy misan ay de nádetong a adow ay an te nattide dena a beto a nappulupatongan ta neregen a pesan.”
MRK.13.3	Nun gelipa i Hisus de Kalasan a Olibo de tipong ni beloy a pighandogen de Makedepat ay tinanto eya ni Pedro, Santiago, Huwen pati Andres de an te geikna a kakmukan. 
MRK.13.4	“Kapide man nangyeyedi i sinabi yu a inon pati ano i nappa ni tande be mandeli di a nádetong i pesan a oyo?”
MRK.13.5	Ay tinubeg ide ni Hisus, “Mag-engat kamo tangani wet kamo nadedeya ni misan ino a agta. 
MRK.13.6	Ta makmuk i nádetong a gesabi a ide i Kristo ta makmuk ngani i nadedeya de. 
MRK.13.7	Nakàikna kamo ni gelaben pati bereta tungkul de laben de alayu. Ay wet kamo matakut ta depat ngona a mangyedi i oyo ide a pesan misan ay am pa i kalog ni panahon. 
MRK.13.8	Ta i bensa a isin ay nekilaben de isin pala a bensa ta nekilaben pala i hari ide de kakmukan a hari. Te duman pala a nádetong a tigtegeng pati noyogyog de misan deno a lugel. Ta inon ide ay gepo la ni kahedepan a nádetong.
MRK.13.9	“Misan ay handein yu i innawa yu ta te duman a nomoy dikamo de pighatolan. Ta lalapdit de ikamo de pigmitengan de ide pati dehil de pagpanulusan yu deko ay pasagkad de ikamo de manga gubernador ide pati de manga hari ide ta ikamo ay gepamatud de kasagkaden de. 
MRK.13.10	Misan ay depat ngona a gesabi ni piyon a bereta de pesan a kaagtaan dingan nádetong di i kalog. 
MRK.13.11	Nano be ikamo ay dinakop de di, a binoy de pighatolan ay wet kamo magulo i esip yu a ti ano i sasabi yu ta de odes a inon ay boboy dikamo i sasabi yu ta an ikamo i gesurut ta i Ispiritu nun Makedepat i aapoán ni surut yu. 
MRK.13.12	Nano ay padekop ni isin a agta i kabinsa na a pobunu na. Maginon pala i yeyedi ni ama de anak na ta i anak pan ay gelaben de kamoddenan na a pobunu na ide. 
MRK.13.13	Pati kagengsaan kamo ni pesan dehil de pagpanulusun yu deko misan ay i getiyage de pagpanulusun na hanggen de kalog ay nalligtas ngani.
MRK.13.14	“Nano i oyo a sasabi ko di ay depat a esipin a masakut ni gebesa. Esipin yu be kekita yu a geuddi i gepakatakut a Gekapoy de Makedepat de an depat a kadumanan na ay depat a nelimok de kalasan i pesan a nappataan de lugel a Hudia. 
MRK.13.15	Kanya i naddekatobengan ni beloy na ay wet di nesilong a nangamit ni misan ano de beloy na. 
MRK.13.16	Pati i naddekaengin na ay wet di pala nouli a nangamit ni kulapyaw na. 
MRK.13.17	Kakulukalbi ngani i mabsuin pati gepinagpasusu de manga adow a inon. 
MRK.13.18	Ta magpanalangin kamo a i paglimok yu ay wet tebe de panahon a magidnaw. 
MRK.13.19	Ta de panahon a inon ay i kaagtaan ay te kahedepan a masakut a am pa tiniis ni misan ino gepo nun yinadi ni Makedepat i putok i pati be nakatakig di ay an di neliwet i maginon kapide man. 
MRK.13.20	Nano ay be an paantisik ni Panginoon a Makedepat i panahon a inon ay an di te nakeligtas misan ay dehil pan de manga pineta na ide ay paantisik na inon a panahon.
MRK.13.21	“Kanya ngani be te magsabi dikamo a, ‘Wiyo di i Kristo,’ o ‘Duman di,’ ay wet kamo manulusun. 
MRK.13.22	Ta talage a te giddinatong a Kristo a an matud pati magsasabi ide a an matud. Ta geyedi ide ni tande pati gepakataka a makmuk tangani nálalagelag de tebe i pineta ide ni Makedepat. 
MRK.13.23	Kanya magipinag-engat kamo ta sinabi ko di dikamo a tagibu i pesan a oyo.
MRK.13.24	“Nano pagkatakig ni kahedepan a inon ay nodumos di i adow pati pan i bulan ay an di nátallang. 
MRK.13.25	Pati nádegdeg di i manga butatala a gepo de langot. Ta i te kapangyedihan ide de longaw na ay neeyenan di ni kapangyedihan de. 
MRK.13.26	Dingan kekita ok de a Pineta nun Makedepat a napa ni agta a gelusong a nappa de kunom, a te kapangyedihan pati gepakaingap a masakut. 
MRK.13.27	Ta dododul ko i manga anghel tangani tipunin de i manga pineta ko de pesan a kadepit ni putok i pati langot.
MRK.13.28	“Nano ay uluesipin yu de pagtodu gepo de kew a igos ta i kew be geagid i manga sanga na ide ay katinggesan yu ngani a alane di i tig-adlas. 
MRK.13.29	Maginon pala be kekita yu di i pesan a sinabi ko ay katinggesan yu di a alane di i panahon a pagdetong ko ta magi naddepintohan ok di. 
MRK.13.30	Talage a matud ay pesabi ko dikamo a te duman a agta a gekita de gepo a gepakatakut a nangyeyedi a an nelibun hanggan an de kekita i inapóan a gepakatakut. 
MRK.13.31	Talage a nesede di i putok i pati langot misan i surut ko ay angani neeyenan ni kabuluhan.
MRK.13.32	“Misan i odes o adow ni pagdetong ko ay an te naketingges a misan ino, misan i anghel ide de langot, misan i ako a Anak ta i Ama la a Makedepat. 
MRK.13.33	Kanya magipinag-engat kamo a maghande a magpanalangin ta an yu pan katinggesan ti kapide yo nangyeyedi. 
MRK.13.34	Ta i oyo ay magi nangyeyedi be isin a agta ay tinumotul de alayu ta pabentayen na i beloy na de manga katabeng na ide a bebiyen na ide ni duludiya a pagyedi. Ta sasabi na de magbebentay de pintohan a depat a maghande a ugnay de pagdetong na. 
MRK.13.35	Maginon pala ay depat a maghande kamo a ugnay ta an yu katinggesan i pagdetong ni te adi ni beloy ta makati de pagdumos na o de gitna ni abi o de mandeli a abiabi o de abiabi di. 
MRK.13.36	Ta makati madetongan na ikamo a loktat a kapulupede. 
MRK.13.37	I pesabi ko dikamo ay para de pesan a depat a magipinaghande a tuloy.” Inon i pagpatingges ni Hisus de mag-aadel na ide.
MRK.14.1	Nano ay aduwa dila a adow ay kaadowen di ni Paskuwa pati Tinapay a An Te Pahelab. I manga ponu ide ni maghahandug ide pati magtutodu ide ni Hudyo ay napapag-esip ide ni pagkakataon a mapadekop de i Hisus de an katinggesan ni makmuk a mapabuno a tuloy. 
MRK.14.2	Misan ay sinabi de, “Wet de kaadowen ta makati magulo a masakut i kaagtaan.”
MRK.14.3	Nano ay nun duman ide Hisus de Betania de beloy ni Simon a nagkaketong a gepangan ay linumane diya i isin a mahuna a te adde ni isin a oniden a langis a mabengo a mahal i halage na. Te ngalan a nardo inon a langis. Dingan binisag na i oniden ta pinalisan na i ulo ni Hisus. 
MRK.14.4	Misan ay nagbulas i tipide duman ta nasurutsurotan ide, “Bekot ta pekanugun i mabengo a iwina? 
MRK.14.5	Ta nappatud a panggetangin iwina ni manga aduwa a lebu a peso dingan boboy de mahedepin ide i kapanggetangan na.” Ta sinosol de un mahuna. 
MRK.14.6	Misan ay sinabi ni Hisus dide, “Pabiyaan yu la eya a wet yu eya abelaa ta piyon i yinadi na a oyo deko. 
MRK.14.7	Ta naaloy yu pa a kakoloy i mahedepin ide ta misan kapide yu buot a magyedi dide ni piyon ay nappatud misan ay ako ay an yu naaloy a kakoloy dio. 
MRK.14.8	Nagyedi i mahuna a oyo hanggen de kaya na ta nano pa ay pinalisan na di i lawes ko ni mabengo a paghande de pagtapor deko. 
MRK.14.9	Talage ay pesabi ko dikamo a deno man a te magsabi ni piyon a bereta ay sasabi pala i yinadi deko ni mahuna a oyo a pagkaesip diya.”
MRK.14.10	Dingan kinumang i Hodes a isin de sangpuwu pati aduwa de ponu ide ni maghahandug ide tangani mapadekop na i Hisus dide. 
MRK.14.11	Kanya nasalig ide nun inikna de inon ta nangako ide a bebiyen de ni kuwarta. Kanya gepo nun nanon ay napapag-esip di i Hodes ni pagkakataon a mapadekop na i Hisus.
MRK.14.12	Nano ay dinumatong di i tagibu a adow ni Tinapay a an Te Pahelab ta inon pala i depat a adow a paghandug ni topa ide a pigpanganin para de Paskuwa. Ay tinanto ni mag-aadel ide i Hisus, “Deno i buot yu a gehande kami para dikamo ni pangapun a Paskuwa?” 
MRK.14.13	Dingan dinodul na i aduwa de mag-aadel na ide a tinutugunan na ide a magioyo, “Kumang kamo de Herusalem ta te nattagbu kamo a isin a lalaki a getabu ta diya kamo umabut 
MRK.14.14	misan deno nesilong a beloy. Ta tantoin yu de te adi ninon a beloy a, ‘Pesabi ni Magtutodu mi a ti deno a kuwarto nappatud a eya pati mag-aadel na ide ay námangan ni pangapun a Paskuwa?’ 
MRK.14.15	Ta totudu na dikamo i isin a hanga a kuwarto de ditas a te nappahande a gegemit yu ta duman kamo maghande para dikitam.” 
MRK.14.16	Dingan kinumang ngani de Herusalem i aduwa a magaadel na ta kinta de ngani i magi sinabi dide ni Hisus ta naghande ide ni pangapun a Paskuwa.
MRK.14.17	Nun abi di ay dinumatong i Hisus pati sangpuwu pati aduwa. 
MRK.14.18	Dingan nun ide ay gepangan di ay nagsurut i Hisus, “Talage ay pesabi ko dikamo a padekop ok ni isin dikamo a kasaló ko.” 
MRK.14.19	Nano ay nalungkut ide ta i belang isin dide ay nagtanto diya, “Ako man Panginoon?” 
MRK.14.20	Misan ay tinumubeg eya, “Isin dikamo a kasabey ko a gedolo ni tinapay de mangkok na ay eya ngani i gepadekop deko. 
MRK.14.21	Ta ako a Pineta nun Makedepat a napa ni agta ay nelibun a magi sinabi ni kasulatan misan ay gepakatakut i násapit de agta a gepadekop deko ta piyon pa ngani tebe a an di eya pinanganak.”
MRK.14.22	Ta nun ide ay gepangan di ay nangamit i Hisus ni tinapay ta nagpasalamat de Makedepat dingan pinisangpisang na a binuluboy na de mag-aadel na ide ta sinabi na, “Amitin yu a panganin ta lawes ko yo.” 
MRK.14.23	Dingan inamit na pala un pig-inoman ni tayug a malanis ta pagkapagpasalamat na de Makedepat ay binoy na dide ta inuminom ide a pesan. 
MRK.14.24	Dingan sinabi ni Hisus, “I oyo a tayug a malanis ay gepamatud de bowon a pagpakikasungdu ni Makedepat a te katibeyen a i sagu ko a nobusbus para de makmuk. 
MRK.14.25	Talage ay pesabi ko dikamo a anok di neinom a liwet ni tayug a malanis hanggen ang ko kasabey i pesan a gepanulusun, a neinom de kataanan ni Makedepat.” 
MRK.14.26	Ta pagkakanta de ni isin a pagpodi ay kinumang ide de Kalasan a Olibo.
MRK.14.27	Pagdetong de ay sinabi dide ni Hisus, “Ay wawalat ok yu a pesan a magi pesabi ni Makedepat de kasulatan, ‘Bobuno ko i mag-aalage ni topa ide ta nákalat i topa ide.’ 
MRK.14.28	Misan ay pagkatapos a pakeedup ok a liwet ay naona ok dikamo de Galilea.” 
MRK.14.29	Dingan sinabi ni Pedro diya, “Misan walatin kamo ni pesan ay ang ko ikamo wawalat.” 
MRK.14.30	Ay tinubeg eya ni Hisus, “Talage ay pesabi ko dikaw a ni abi pala a oyo ay dingan ngona nátaráok i manok ni pakáduwa ay pengeyen ok mo ni tiluwon a sila.” 
MRK.14.31	Misan ay maksa a sinabi ni Pedro, “Misan malibun ok a kakoloy yu ay ang ko ikamo pengeyen.” Maginon pala i sinabi ni pesan a mag-aadel.
MRK.14.32	Nano ay kinumang ide Hisus de isin a lugel a te ngalan a Getsemani ta sinabi na dide, “Magilinepa kamo ngona dio ta nanalangin ok de kadepit pa duman.” 
MRK.14.33	Misan ay inikag na ide Pedro, Santiago pati Huwen ta te gepo a gehedep i innawa na a pepamalogpologen. 
MRK.14.34	Dingan sinabi na dide, “Nano ay nagkolungkut ok a masakut a magi nelibun ok. Mag-ilat kamo dio a makipagpoyet deko.” 
MRK.14.35	Ta pagkalayu na dide ni untik ay linumuhud a nanalangin a be nappatud ay wet di nádetong diya i odes ni paghedep na. 
MRK.14.36	Sinabi na de pagpanalangin na, “Ama ko, nappatud yu a yeyedi i misan ano kanya layuin yu tebe deko i tetiis ko a oyo misan ay wet nangyeyedi i kabuotan ko ta i kabuotan yu la.” 
MRK.14.37	Ay inumampulang i Hisus de mag-aadel na ide a tiluwon a kapulupede kanya sinabi na de Pedro, “Napede ka man Simon? Ang ka mangani nakapepoyet misan isin la a odes?” 
MRK.14.38	Kanya makipagpoyet kamo a magpanalangin tangani wet kamo notukso ta i kaleduwa ni agta ay nappahande a geabut de Makedepat misan ay i lawes ay mahena. 
MRK.14.39	Dingan liwet eya ay linumayu a nanalangin ta i den na a peaged i pesabi na pala. 
MRK.14.40	Nano ay nun inumampulang eya a liwet dide ay dinatongan na ide a kapulupede pa ta ide ay petungka di a masakut pati an de katinggesan i totubeg de diya. 
MRK.14.41	Ta de katiluwon di a pag-ampulang na dide ay sinabi na, “Napede kamo pa man a gepaimloy? Sukul di non ta dinumatong di i odes a ako a Pineta nun Makedepat a napa ni agta ay padekop di de makikkakasalanan ide. 
MRK.14.42	Kanya umuddi kamo di ta magtul di ta wiyo di i agta a gepadekop deko.”
MRK.14.43	Nun gesurut pa i Hisus ay dinumatong di i Hodes a isin de sangpuwu pati aduwa a te kakoloy ni makmuk a manga agta a te manga adde ni utak pati panopras. Ta ide ay inumapo de ponu ide ni maghahandug ide, de magtutodu ide ni Hudyo pati de pinakamatande ide. 
MRK.14.44	Misan nun am pa ide gedetong duman ay binoy ni Hodes i magioyo a tande, “I angutan ko ay eya ngani i pelawag tam ta dekopin yu a tambing a ikagin misan ay wet pakabbutan.” 
MRK.14.45	Pagdetong ngani ni Hodes ay linumane dila a tambing de Hisus ta sinabi na, “Magtutodu.” Ta inangutan na. 
MRK.14.46	Dingan linanean i Hisus ni kaagtaan ide ta dinakop de. 
MRK.14.47	Misan ay i isin a kakoloy ide ni Hisus ay nangugnus ni utak ta tinigbes na i isin a katabeng ni pinakaponu a maghahandug ta nasapsap i talinga na. 
MRK.14.48	Dingan sinabi ni Hisus de kaagtaan ide, “Anok tulisan. Bekot ta nagidinio kamo a te manga utak pati panopras a nanakop deko? 
MRK.14.49	Ta adow adow ay nagtodu ok de beloy a pighandogen de Makedepat a anok yu pan dinakop. Misan ay nangyedi i pesan a oyo tangani nammatud i pesabi ni kasulatan.” 
MRK.14.50	Pagkasabi na ninon ay nagiginikan i mag-aadel na ide ta winalat de eya a lallan.
MRK.14.51	Nano ay te inumabut diya a isin a ulittaw a an te bedu de lawes na ti an natingosan ni demit a malapsay. Ta binolan de eya 
MRK.14.52	misan ay nawalat na un demit na a ginumikan dila a óbe.
MRK.14.53	Nano ay inikag de i Hisus de beloy ni pinakaponu a maghahandug ta duman natipun i pesan a ponu ni maghahandug ide, pinakamatande ide pati magtutodu ide ni Hudyo. 
MRK.14.54	I Pedro pan ay inumabut de Hisus misan alayu la i pag-etan. Sinumilong pala eya de bekoran ni beloy nun pinakaponu a maghahandug ta linumipa de alane ni magbebentay ide a nanangdeng.
MRK.14.55	Nano ay i ponu ide ni maghahandug ide pati pesan a kapolongan a pinakamatande ay naglawag ide ni agta a gesumbong tungkul de Hisus tangani mapabuno de eya. Talage a an ide te pekita a pagsumbong a te kabuluhan para dide. 
MRK.14.56	Misan makmuk di i gesumbong ni kabutelan tungkul de Hisus ay an nagkaeisin i pagsumbong de. 
MRK.14.57	Nano ay de inapóan ay te duman pala a kakmukan a inumuddi a nagsumbong ni magioyo, 
MRK.14.58	“Inikna mi a sinabi ni oyo a agta a sesede na kon i oyo a beloy a pighandogen de Makedepat a yinadi ni agta. Ta yeyedi na pan la de tiluwon a adow i an yedi ni agta.” 
MRK.14.59	Misan ay am pa nagkaeisin inon a pagsumbong de. 
MRK.14.60	Dingan inumuddi i pinakaponu a maghahandug de kasagkaden ni kapolongan ta tinanto na i Hisus, “Ang ka man te natotubeg de pagsumbong a inon dikaw?” 
MRK.14.61	Misan ay an dila geyamyam i Hisus a unabis kanya eya ay tinanto a liwet ni pinakaponu a maghahandug a magioyo, “Sabiin mo dikami ti ikaw ngani i Anak nun Makedepat a i Kristo a Pinangako na?” 
MRK.14.62	Tinumubeg i Hisus, “Ako ngani ta kekita ok yu a Pineta nun Makedepat a napa ni agta a nelipa de awenan ni Makedepat a Makapangyedihan ta nádetong ok a nappa de kunom de longaw na.” 
MRK.14.63	Nano ay ginise ni pinakaponu a maghahandug i sadile na a bedu a tande a malot diya i sinabi ni Hisus ta sinabi na, “An tam di kaelangan i pagsumbong ni kakmukan 
MRK.14.64	ta ikamo di a pesan i inumikna a eya ay an te gelang de Makedepat. Kanya nano ay ano i peesip yu tungkul diya?” Ay tinumubeg ide, “Ay depat eya a bunoin.” 
MRK.14.65	Dingan te gepo a pebugen eya ni kakmukan ta tinaklopan de i mata na a pesulusuntuk ta sinabi de diya, “Hale di, holaan mo ti ino i gesuntuk dikaw?” Ta eya ay petulutampal pala ni magbebentay ide.
MRK.14.66	Nano ay i Pedro pan ay duman pangani nunde ditow a bekoran dingan linumane diya i isin a mahuna a katabeng ni pinakaponu a maghahandug. 
MRK.14.67	Ta nun kinta eya ni mahuna a gepanangdeng nunde apoy ay pinagelawag na a piyon ta sinabi na de Pedro, “Kasta kakoloy ka pala ni Hisus a iwina a tage Nasarit a sakup ni Galilea?” 
MRK.14.68	Misan ay nangeyen i Pedro ta sinabi na, “Ang ko eya peabuyenan pati ang ko katinggesan i pesabi mo.” Ta dingan eya ay kinumang dingani nunde pintohan ni bekod ta tinumaráok pan i manok. 
MRK.14.69	Misan ay kinta pan di eya ni isin pa a katabeng a mahuna duman ta sinabi na de manga lalaki duman; “I oyo a lalaki ay isin de kakoloy ide ni Hisus.” 
MRK.14.70	Misan ay liwet a nangeyen i Pedro. Nun mulumaloy di ay sinabi pan de Pedro ni kauluuddi ide duman a “Talage a kasta isin ka pala ngani de kakoloy de ta tage Galilea ka pala.” 
MRK.14.71	Dingan sinumumpa di i Pedro ta sinabi na, “Talage a misan malibun ok ay ang ko peabuyenan i agta a iwina a pesabi yu.” 
MRK.14.72	Dingan tambing a tinumaráok a liwet i manok kanya naisepan ni Pedro i sinabi diya ni Hisus a, “Dingan pa nátaráok i manok ni pakáduwa ay pengeyen ok mo ni pakatiluwon a sila.” Ta dingan nun naisepan na inon ay nagtangos a masakut.
MRK.15.1	Nun kinábiabian di ay nasurutsurotan i ponu ide ni maghahandug ide, pinakamatande ide, magtutodu ide ni Hudyo pati kakmukan pa a kaagtaan de kapolongan ta pinagepus de i Hisus a inikag de Gubernador a Pilato. 
MRK.15.2	Ta eya ay tinanto ni Pilato, “Ikaw man i Hari ni Hudyo ide?” Dingan tinumubeg i Hisus, “Ikamo di i gesabi.” 
MRK.15.3	Misan pan ay i ponu ide ni maghahandug ide ay pesumbong de i Hisus ni tulutiano. 
MRK.15.4	Kanya liwet a tinanto ni Pilato i Hisus, “Bekot ta ang ka getubeg dide? Ta peikna mo pan i makmuk a pagsumbong de a malot a tungkul dikaw.” 
MRK.15.5	Misan ay an di tinumubeg i Hisus a unabis kanya nagtaka a masakut i Pilato.
