MAT.1.1	Ŋuur-aŋ siŋ ku tamba ta Iisa Masi, roŋ ka Dawuud kaak roŋ ka Ibraayim. 
LUK.23.11	Ɗo wer-ak, Herood iŋ askirnay wariiga. Ŋu isiiji batik taat samaane ho ŋu ajimiyiiga. Kar ŋu n̰aamiijig pey ɗo Pilaat. 
LUK.23.12	Awalle Herood iŋ Pilaat, ŋuur adine ho ƴiriy taar-at di ŋu amirtu.
LUK.23.13	Min ŋu yeepig Iisa, Pilaat n̰umiig *Yuudinna iŋ aginduwco iŋ agindaw ku gay satkiner 
LUK.23.14	ho ŋa kaawiico aman : « Ku iyduug gem-aŋka ho ku diyji kaawo a ŋa isinaag gee a wer yaa nige. Kar nu indig uŋko ho min kaawin okin̰co kuuk ku diyji, oorin rakki sa nu balji gase taat yaaji iye obe. 
LUK.23.15	Herood oki balji gase oorin taat ŋaa obin̰ji. Paa ko, ŋa n̰aamiteŋga. Di ŋaar-ak, gem-aŋ ŋaar ginno oorin taat yaaji iye muutu. 
LUK.23.16	Ansi-ak, naa koocin̰ji di kar naa pikin̰ji. » [
LUK.23.17	Ɗo ay iidin ta *Paak, ɗo aadiney, Pilaat imilgiyco ɗo Yuudinnar gem rakki min ɗo daŋaayner.]
LUK.23.18	Kar gay, okin̰co, ŋu teestu obe kuuri aman : « Daag gem-aŋka ho pikiniig Barabaas. » 
LUK.23.19	(Barabaas gay, ŋu un̰jiig daŋaayne asaan ŋa barjilig gee ku geegirdi ho ŋa dee gemo.) 
LUK.23.20	Pilaat gay, ɗo tan̰ji-at, ŋa raka pikin̰ Iisa. Ampaa ko, ŋa kaawiico paa ɗo gee kuuk dakin-aku. 
LUK.23.21	Kar ŋuur gay kaawiy raɗa aman : « Ɗooɗig ka etor ! Ɗooɗig ka etor ! » 
LUK.23.22	Ka subbiŋkar, Pilaat ictu pey kaawo aman : « Ŋaar nig maa di ? Yoo oorin rakki taat nec yaa iye muutuy oki, nu balji gase. Naa koocin̰ iŋ korɗiŋgo kar naa pikin̰ji. » 
LUK.23.23+LUK.23.24	Kar ŋuur gay wakila di kaawe raɗa aman : « Ɗooɗig ka etor ! Ɗooɗig ka etor ! » Gaaƴco jaala jaalen di nam Pilaat giniicot taat ŋu rakiyo. 
LUK.23.25	Ŋa pikiicog Barabaas ar taat ŋu inditu, ŋaar kaak barjilig gee ku geegirdi ho dee gemo. Kar Iisa gay, ŋa beriicog ɗo pise ka askirnar a ŋuuji gine taat gee-ak rakiyo.
LUK.23.26	Ŋu iyiig Iisa ɗo wer kaak ŋuu deen̰ji ho ŋu iciig et kaak ŋu ɗooɗin̰ kuwa. Ɗo botildi, ŋu ŋaamtu iŋ gem rakki pa siŋji Simon. Gem-ak min geeger ka Sireen
LUK.23.27	Gee dakin aale aaɗaaga. Minninco goy oki daaɗ kuuk alaw ho kuuk marmilaw ɗo saan tan̰ji. 
LUK.23.28	Iisa kolsiig daaɗ-aku ho ŋa kaawiico aman : « Kuŋ daaɗ ku Zeruzaleem, dakoŋ alenno lotu. Illa aloŋ ta maaniiko ho ta kooginko, 
LUK.23.29	asaan wiktin yaa ase taat gee yaa kaawe aman : ‟ Galal ɗo moggan, ŋuur kuuk bal aawe wee ho kuuk bal bere popo tak-tak. ” 
LUK.23.30	Ɗo menaw ŋuur-ak, gee yaa kaawe ɗo dambiniidi aman : ‟ Sollonni ɗo kaƴni ” ho ɗo kotat aman : ‟ Gootonni. ”
LUK.23.31	Ka seener, ya et kaak balan̰ kat ŋu doliyaag ampa-ak, kar kaak aaƴ gay ŋuu ginin̰ji maman ? »
LUK.23.32	Ɗo werco-ak, ŋu iytu oki kokinay seera a ŋuu deen̰co iŋ Iisa. 
LUK.23.33	Min ŋu ottu ɗo koot kaak ŋu koliy « Ɗawik ta kaar », ŋu ɗooɗig Iisa ka etor. Ŋu ɗooɗiig oki kokinay-aku : rakki ɗo meeday ho rakki gay ɗo n̰ugilay. 
LUK.23.34	Min ŋu ɗooɗig Iisa, ŋa inditu tacco Buŋ aman : « Baaba, saamiyco ɗo gee-aŋku asaan ŋu ibanno maan kaak ŋu giniyo. » Kar askirna-ak ɗeeɗiit kesuun ta Iisa werin dakina ho ay gem di iciy taat galji. 
LUK.23.35	Gee gay talaaga. Ŋuur agindaw ku Yuudinnar oki samtiyaaji aman : « Ŋa jil gee ku pey. Diŋ gay, ŋa jil ziy ka meen̰ji ya ŋaar kat Masi kaak Buŋ doɓtu kare ! » 
LUK.23.36	Askirin oki samtiyaaji. Ŋu ɓaawiiji moota ho ŋu beriiji maam ku tooro 
LUK.23.37	ho ŋu kaawiiji aman : « Ya kiŋ kat sultan ka Yuudinnar-ak, jil kat ɗoo zin̰ ! » 
LUK.23.38	Kar ɗo et ka Iisa, ŋu ɗooɗ maan kuwa ɗo kaay kaak ŋu siirji aman : « Ŋaar-aŋ ko sultan ka Yuudinnar. »
LUK.23.39	Rakki min kokinay kuuk ŋu ɗooɗtu-ak wariig Iisa aman : « Kiŋke-aŋ ɗoo ko kaawa a ki Masi kaak Buŋ doɓtu-aka ! Jil zin̰ ho kiini jile oki ! » 
LUK.23.40	Kar kokin ka seeriŋkar-ak gay leesiiji ɗo giji aman : « Ginte-aŋ, ŋu obinte ŋuute deente ar ŋaara. Kiŋ ginno kolaw ɗo Buŋdi walla ? 
LUK.23.41	Tante-an taar ɗo botilti asaan ŋuute deente ɗo maan kaak gi gintu. Kar ŋaar-aŋ gay nig maa ? » 
LUK.23.42	Kar ŋa kaawtu pey aman : « Gem kol tacco Iisa, dakin rawtinno ɗo wiktin taat ki asiy teen meennuwin̰. » 
LUK.23.43	Iisa gay telkiiji aman : « Ka seener nu kaawaajiŋ, ƴiriyta-aŋ di, ki ɓaa goye ɗo janni iŋ nunu. »
LUK.23.44+LUK.23.45	Wiktin taat pat nectu ƴiriyo, ta mattu. Wer astu gondiko ɗo kiɗ okin̰ji nam pat subba ta maako. Ɗo *ger ka Buŋdi sa, zimilla kuuk ŋu ɗuuntu ɗo botol taat un̰ja ɗo wer kaak *cawar aale eertu min ɗatko min kuwa yoo keɗer. 
LUK.23.46	Hiyya, Iisa kooltu raɗa aman : « Baaba, nu diyit ruwwiner ɗo pisin̰ciŋ. » Kar min ŋa kaawtu pa-ak di, ŋa mattu. 
LUK.23.47	Min tatkaw rakki ka askirin ku Room taliig gamin okin̰co kuuk kuuniy-ak, ŋa oziliig Buŋ ho ŋa kaawtu aman : « Way, ka seener, gem-aŋ bal nige maan tak-tak ! » 
LUK.23.48	Ɗo wer-ak, goy gee dakina kuuk as tale maan kaak kuuniye. Min ŋu totirtu, ŋu deliig goŋguminco min nige kaak aditco nigtu. 
LUK.23.49	Roynay ku Iisa okin̰co ho iŋ daaɗ kuuk aaɗig min Galile-ak peytu serek ho ŋu taliy maan kaak kuuniya-aka.
LUK.23.50+LUK.23.51	Ɗo wer-ak, gin gem rakki ŋu kolaag Yuusup. Ŋaar min geeger ka *Yuudinnar kaak ŋu koliy Arimate. Gem-ak goyin̰ji samaane ho ŋa sellen̰ ɗo uŋji ka Buŋdi. Ŋa era ase ka *Meennaw ta Buŋdi. Ŋaar min *aginay ku Yuudinnar, kar gay, ŋa bal ooye ɗo kaawco ho ɗo maan kaak ŋu gintu. 
LUK.23.52	Ŋa ɓaawtu gasin̰ Pilaat ho ŋa indiig zi ka Iisa. 
LUK.23.53	Kar ŋa paayiig min ka etor, ŋa maliyiig iŋ kapanne ho ŋa ɓaawtu un̰jiig ɗo magin taat ŋu doɗɗitu ka dambar. Magin-at, yoo momte rakki oki ŋu balti diye. 
LUK.23.54	Ƴiriy taar-at ta siye ka ziŋkar asaan ƴiriy ta *sabitdi gaay ko. 
LUK.23.55	Daaɗ kuuk as min Galile iŋ Iisa-ak aaɗiig Yuusup min aaro. Ŋu taliit magin-ata ho maman ŋu ɗeeriig Iisa. 
LUK.23.56	Kar ŋu yeeptu ɗo geriyco ho ŋu teestu siye gamin kuuk ŋuuji ooye ɗo momtey ka Iisa : itir iŋ sewe. Kar gay, iŋ ƴiriy ta sabitdi, ŋu bal ɓaawe ɗo maginer, ŋu eeltu geero uudin taat *gaanuun kaawtu.
LUK.24.1	Iŋ ƴiriy ta dumaas, wer dugus-dugus, daaɗ-ak sokiig gamin kuuk ŋu siytu a ŋuuji ooye ɗo ziy ka Iisa ho ŋu ɓaawtu ɗo bit ka maginer. 
LUK.24.2	Min ŋu ote, ŋu gasig dambi kaak ŋu goottu magin-ak tuŋkil serpiya. 
LUK.24.3	Ŋu un̰jitu ɗo maginer, kar ŋu bal gasin̰ zi ka *Rabbin Iisa. 
LUK.24.4	Ŋu ajbiytu nam ta bico sa amallo. Ɗo wer-ak, tala kar gee seer kesuunco irn̰a pit-pit bayniico. 
LUK.24.5	Daaɗ-ak kolaw obiigu nam ŋu onig kaƴco. Kar gee-ak kaawiico aman : « Maa di ku bariyiy gem kaak goy mento min ɗatik ta gee kuuk mate ? 
LUK.24.6	Ŋaar kawwi ɗo maginer, ŋa nooye. Pakiroŋ ɗo kaaw taat ŋa kaawiiko wiktin taat ŋa goyiy Galile. 
LUK.24.7	Kaaw-at aman : ‟ Illa nun *Roŋ gemor, ŋuun berin ɗo pise ka gee kuuk jookumo. Ŋuun ɗooɗin ka etor ho ƴiriy ta subbiŋkar gay, naa nooye. ” »
LUK.24.8	Hiyya, daaɗ-ak moyiig kaawin kuuk Iisa kaawiico. 
LUK.24.9	Ŋu yeeptu min ɗo maginer ho ŋu osiicog gamin okin̰co kuuk ŋu taltu ɗo paliinna kuuk orok iŋ rakki ho ɗo gee okin̰co kuuk aaɗig Iisa. 
LUK.24.10	Daaɗ kuuk iyiit kabarre ɗo paliinnar-ak, ŋuur Mariyam ta min geeger ka Magdala, Zaan, Mariyam atan̰ Zaak ho iŋ daaɗ daarin̰ ku pey. 
LUK.24.11	Kar min paliinna-ak doriit kabarre-at, ɗo tan̰co a wal daaɗ-ak osa kaawin kuuk bal baaco diŋ ga. Paa ko, ŋu baltu amniyin̰co. 
LUK.24.12	Kar Piyer gay uctu, ŋa iciig gaɗi ŋa ɓaawtu ɗo maginer. Min ŋa ottu, ŋa ƴogiltu ho ŋa taltu jarɗaɗ di goy keeco. Ɗo wer-ak, ŋa ajbiytu tak-tak. Hiyya, ɗo yeepin̰ji ŋa osiig kat adiy ɗo maan kaak kuuniye.
LUK.24.13	Ɗo ƴiriy taar-at di, maajirna seer ku Iisa ɓaa ɗo hellin taat ŋu koliy Emayuus. Hellin-at, min Zeruzaleem yaa nece ar kilomeetir orok. 
LUK.24.14	Ɗo botildi ŋu kaawiy benannico ɗo gamin okin̰co kuuk kuuniye. 
LUK.24.15	Wiktin taat ŋu kaawiyo ho ŋu meeliy-ak, Iisa meen̰ji jorkiigu ho ŋa toliyiy iŋ ŋuura. 
LUK.24.16	Maajirna-ak talaaga, kar gay, maan toɗco ŋuu ibinin̰ji. 
LUK.24.17	Iisa indiig aman : « Ku meela ɗo bi ka moo botildi ? » Ɗo wer-ak, ŋu peytu ɗut ho ŋu ƴiimiit wijeenco. 
LUK.24.18	Rakki minninco siŋji Kileyopaas telkiiji aman : « Min gee kuuk goy Zeruzaleem, kiŋ keejiŋ di ibingigɗo gamin kuuk kuuniy ɗo menaw-aŋku walla ? » 
LUK.24.19	Iisa indiig aman : « Ŋuur maa ? » Ŋuur gay telkiiji aman : « Maan kaak asji ɗo Iisa ka min Nazareet ! Ŋaar nabiin̰ce tatiko. Ɗo uŋji ka Buŋdi ho ɗo uŋco ka gee okin̰co, ŋa gaarit gudurrey iŋ gamin kuuk ŋa giniyo ho iŋ kaawin kuuk ŋa kaawiyo. 
LUK.24.20	Aginduwte ku gay satkiner iŋ aginiyte ku darre berig ɗo pise ka agindaw ku Room a ŋuu obin̰ji, ŋuuji diye kaawo ho ŋuu deen̰ ka etor. 
LUK.24.21	Zer nin pakir a wal ŋaar ko kaak asa jilin̰ gee ku Israyeel min adinco. Kar taar gay bal ase pa, ho diŋ gay gin ko menaw subba min gamin-aŋ kuuniytu. 
LUK.24.22	Illa gay daaɗ daarin̰ minninni iyinti kaawin kuuk ajbay. Ŋu sak bit ka maginer, 
LUK.24.23	kar ŋu bal gasin̰ ziy ka Iisa. Ŋu asinti kaaw a *ɗubal ku Buŋdi bayinco ho ŋu kaawiico a ŋa goy mento. 
LUK.24.24	Minninni, daarin̰ ɓaawtu ɗo maginer ho ŋu gasiig gamin-ak uudinco ar taat daaɗ-ak kaawiico. Kar ŋaar gay, ŋu bal gasin̰ji. » 
LUK.24.25	Hiyya, Iisa kaawiico aman : « Kuŋ maa di kaƴko ɗibirtu ampa ? Kaawin okin̰co kuuk nabiinna iyiiko-aŋku, maa di ŋu un̰jigikonno koɗok ? 
LUK.24.26	Ka seener, nabiinna kaaw a illa Masi kaak Buŋ doɓtu yaa taaɓiyen̰ ja ampa, kar kat, ŋaa un̰je ɗo *darjiney. » 
LUK.24.27	Kar Iisa gaariico baaco ta kaawin kuuk ŋu siirtu ɗo saan tan̰ji. Ŋa teestu iŋ makaatamna ku Muusa iŋ ku nabiinnar nam ŋa gasiit Kitamne okintiti.
LUK.24.28	Wiktin taat ŋu gaay ote ɗo hellin taat maajirna-ak ɓaayiyo, Iisa gintu ar ŋa bira iŋ uŋji. 
LUK.24.29	Kar ŋuur gay toɗiiji aman : « Ha’a, gem kol siŋte, as iŋ nini asaan pat-an ɗeete. » Hiyya, Iisa ooytu ho ŋa ɓaawtu goye iŋ ŋuura. 
LUK.24.30	Wiktin taat ŋu goyiy keɗer ɗo teendi, ŋa ictu mappa ho ŋa deltu barkin ɗo Buŋdi. Ŋa pirsiiga ho ŋa ɗeeɗiicoga. 
LUK.24.31	Ɗo wer-ak odinco piltu kate ho ŋu ibiniig Iisa. Kar ta bite-aŋ di, ŋa sawiltu min ɗo uŋco. 
LUK.24.32	Min pa-ak, ŋu kaawtu benannico aman : « Min ŋa kaawiite ɗo botildi ho ŋa gaariite baat ta Kitamner-at, kaaw-at eruwgintenno walla ? »
LUK.24.33	Koɗok di, ŋu uctu ho ŋu yeeptu Zeruzaleem. Ŋu gasiig *paliinna kuuk orok iŋ rakki n̰um iŋ een̰co. 
LUK.24.34	Maajirna-ak, kaawiico ɗo ŋuur kuuk asa min hellin ta Emayuus-ak aman : « Ka seener, *Rabbin nooye ! Ŋa bayinji ɗo Simon. » 
LUK.24.35	Kar maajirin ku seer-ak osiico oki maan kaak kuuniyco ɗo botildi ho maman ŋu ibiniig Iisa ɗo wiktin taat ŋa pirsiig mappa.
LUK.24.36	Wiktin taat ŋu kaawa misan di, tala kar Iisa goy ɗatikco ho ŋa kaawiico aman : « Aapiye, taa goye iŋ kuŋko ! » 
LUK.24.37	Ɗo wer-ak, ŋu raastu ho kolaw obiigu, ŋuur a wal ta kelmo. 
LUK.24.38	Kar Iisa gay kaawiico aman : « Maa di ku barjiliyo ho aditko gintu seera ? 
LUK.24.39	Taloŋ pisindu ho asindu. Ka seener ŋa nunu ! Diironnu ho kuu tale asaan kelim taar bal gine kuma wala kaaso ar ku taliy nun gintu-aŋka. » 
LUK.24.40	Min ŋa kaawiico pa-ak, ŋa gaariico pisin̰ji iŋ asin̰ji. 
LUK.24.41	Alco gala ho ŋu ajbiytu tak-tak, kar iŋ ajbiyin̰co-ak oki, ŋu bal amniye loci. Paa ko, Iisa indiig aman : « Ku gin maan ka teendi walla ? » 
LUK.24.42	Ŋuur gay aman : « Hii, ni gine. » Kar ŋu persiiji boos ka bike. 
LUK.24.43	Iisa iciiga ho ŋa teeyig uŋco. 
LUK.24.44	Kar ŋa kaawiico aman : « Aan taat nu kaawiiko wiktin taat nu goyiy iŋ kuŋko : Gamin kuuk siir ɗo bi kanto ɗo *gaanuun ka Muusa, ɗo makaatamna ku nabiinnar ho iŋ ta *Soom, okin̰co yaa asen̰ ja uudinco. » 
LUK.24.45	Ɗo wer-ak, Iisa piliig kaƴco ho ŋu ibiniit kat baat ta Kitamner. 
LUK.24.46	Ŋa kaawiico aman : « An kaaw taat siir ɗo Kitamner : ‟ Illa Masi yaa taaɓiyen̰ ja, ŋaa mate, kar ƴiriy ta subbiŋkar gay ŋaa nooye min ɗo muuti. ” 
LUK.24.47	Paa kat, gee yaa gaare Kabarre ta Gala iŋ siŋ kun̰ji min Zeruzaleem yoo adiy ka kiɗar okin̰ji. Kabarre-at a ŋuu ibinin̰ nigin̰co, ŋu poocin̰ goyin̰co kaak samaanno ho Buŋ yaaco saamiyin̰ zunuubinnico. 
LUK.24.48	Kuŋ kon di gee kuuk talig gamin-aŋ iŋ odinko. 
LUK.24.49	Kar nun meendu yaako n̰aame maan kaak Tanni kaawtu a ŋaako bere. Kuŋ gay, goyoŋ ɗo geeger-aŋ di nam gudurre taat asa min kuwa
LUK.24.50	Min ŋaar-ak, ƴiriy rakki Iisa imiliig maajirnay min ɗo geeger-aka, ŋa iyiig moota iŋ hellin ta Betani. Ɗo wer-ak, ŋa jaaltu pisin̰ji ho ŋa barkiyiigu. 
LUK.24.51	Wiktin taat ŋa barkiyiigu-ak di, ŋa etirtu minninco ho Buŋ coonig ka samaaner. 
LUK.24.52	Ɗo wer-ak, ŋu abdiyiiga, kar ŋu yeeptu Zeruzaleem iŋ galal dakina. 
LUK.24.53	Min ŋu yeepe, ŋu ɓaggiy ɗo *ger ka Buŋdi ho ŋu oziliiga.
JHN.1.1	Awalle, min Buŋ bal kilgiyin misa duniine, gem kaak ŋu koliy Kaaw ta Buŋdi goy ko. Ŋa goy sawa iŋ Buŋ ho ŋaar meen̰ji di Buŋ. 
JHN.1.2	Min Buŋ bal kilgiyin misa duniine, ŋa goy ko iŋ ŋaara. 
JHN.1.3	Iŋ Kaaw-at di, Buŋ kilgiyiig gamin okin̰co. Maan ginno kaak ŋa kilgiytu bal taara. 
JHN.1.4	Ta taar kat ber goye ɗo gamin okin̰co. Ho iŋ goye kanti ko, gee taltu portikaw. 
JHN.1.5	Portikaw-at caapiy ɗo gondikor, kar gondikaw baltit gine maanna.
JHN.1.6	Kar gay, gin gem rakki kaak Buŋ n̰aamtu, ŋu kolaag Yaaya-Batist. 
JHN.1.7	Ŋaar as kaawe ɗo geemir ɗo bi ka ŋaar kaak gaarit portikaw-ata, asaan gee yaa cokiye kaawoy ho ŋuu aamine iŋ ŋaara. 
JHN.1.8	Yaaya gay, ŋaar meen̰jiɗo kat portikaw, ŋaar as kaawe biti di. 
JHN.1.9	Portikaw-at taar ko seene. Taar as ɗo adiy ka kiɗar ho ta caapiy ɗo gee okin̰co.
JHN.1.10	Gem kaak ŋu koliy Kaaw-ak, ŋaar goy ɗo adiy ka kiɗar. Iŋ ŋaar ko, Buŋ kilgiyiig kiɗa. Kar gee kuuk ɗo adiy ka kiɗar gay bal ibinin̰ji. 
JHN.1.11	Ŋa ɓaaw goye iŋ geen̰ji ku meen̰ji, kar geen̰ji gay bal obin̰ji. 
JHN.1.12	Kar ɗo gee kuuk obga ho kuuk aamin iŋ siŋji, ŋa berco botol taat ŋuu gine koogin ku Buŋdi. 
JHN.1.13	Ŋuu gine kooginay-ak, asaan Buŋ kat bercog wee ka marbinto. Wee ŋaar-ak wala isgig iŋ niyin ta gemor, wala iŋ pikirre ta gemor.
JHN.1.14	Gem kaak ŋu koliy Kaaw-ak gintu gemo ho ŋa astu goye iŋ ginte. Gi talit *darjiney taat ŋa gastu min Tacco Buŋ. Darjiney-at, taar ko ta Roŋji ka daŋgiro.
JHN.1.15	Yaaya gay, ŋaar kaaw biy. Ŋa kaawtu raɗa aman : « Taloŋ ! Aŋ ko gem kaak nu kaawiiko awalle aman : ‟ Gin gem rakki kaak yaa ase ɗo aaror, kar gay, ŋa ogirdu. Asaan min nu bal ase misan di, ŋaar goy ko. ” »
JHN.1.16	Paa ko, iŋ selliŋkuwiy-at, ŋa barkiyiite dakina, okinte ŋa barkiyaateŋ di gaay iŋ gaayo. 
JHN.1.17	Awalle Buŋ berteŋ *gaanuun min ɗo pise ka Muusa. Kar barkin iŋ seen gay, Buŋ berteŋgu iŋ ase ka Iisa Masi. 
JHN.1.18	Ginno waan kaak talig Buŋ. Illa Roŋji ka daŋgiro, ŋaar kaak goy sawa iŋ Buŋ-ak di, gaarteŋga.
JHN.1.19	Ƴiriy rakki, agindaw ku Yuudinnar kuuk goy Zeruzaleem n̰aamtu gay satkiner iŋ gee ku min baaco tan̰ *Lebi a ŋuu gasin̰ Yaaya. Min ŋu gasga, ŋu indiig aman : « Kiŋ waa ? » 
JHN.1.20	Ŋaar gay balco cigile maanna. Ŋa telkiico aman : « Nun-aŋ Masiɗo. » 
JHN.1.21	Ŋuur gay indiig pey aman : « Di kiŋ ke waa ? Wal kiŋ ko *Eli ? » Yaaya gay telkiico aman : « Ha’a ! Nun Eliɗo. » Ŋu indiig pey aman : « Di wal kiŋ ko nabiin̰ce kaak ŋu kaawtu biy ɗo Kitamner-aka ? » Ŋaar gay telkiico aman : « Ha’a ! Ŋa nunno. » 
JHN.1.22	Kar ŋuur gay ɗiyiiji aman : « Di kiŋ waa ? Ki kaawa maa ɗo bi kan̰jiŋ ? Asaan ni raka niico yeepe kaaw ɗo ŋuur kuuk n̰aaminti. » 
JHN.1.23	Yaaya telkiico aman : « Nun ko gem kaak nabi Ezaayi kaawtu biy aman : ‟ Gin gem rakki koola ɗo kalaaner a *Rabbinte asaw. Ucoŋ, siyon̰ji botol ɗalaŋ. ”
JHN.1.24	Min gee kuuk ŋu n̰aamtu ɗo Yaaya, goy oki gee kuuk ŋu koliy *Pariziyenna. 
JHN.1.25	Ŋu indiig aman : « Di ya kiŋ kat Masiɗo, wala ki Eliɗo, wala ki nabiin̰ceɗo kaak ŋu kaawtu biy ɗo Kitamner-ak, maa di ki *batiziyiy gee ? » 
JHN.1.26	Yaaya telkiico aman : « Nun-aŋ batiziya gee iŋ amay di. Kar gem rakki goy ɗo ɗatikko kaak ku ibingigɗo. 
JHN.1.27	Gem-ak yaa ase ɗo aaror, kar gay, nun bal nece kaak naa one, naa sorin̰ n̰ugiray. » 
JHN.1.28	Maanna-ak kuuniy ɗo wer kaak Yaaya batiziyiy gee, ɗo geeger ka Betani, aar barrer kaak ŋu koliy Zurdan.
JHN.1.29	Ka kawtinti, Yaaya taliig Iisa asaaji. Ɗo bi kan̰ji, ŋa ɗiytu aman : « Taloŋ, aŋ ko *Roŋ tamgi ka Buŋdi, ŋaar sooya zunuubinna ku geemir. 
JHN.1.30	Ɗo bi kan̰ji ko, nu ɗiytu aman : ‟ Goy gem rakki kaak yaa ase ɗo aaror, kar gay, ŋaar ogirdu. Asaan min nu bal ase misan di, ŋaar goy ko. ” 
JHN.1.31	Awalle, nunu oki ibingigɗo. Kar diŋ gay, nun as *batiziye gee iŋ amay a naa gaarin̰ji ɗo gee ku Israyeel. »
JHN.1.32	Ɗo bi ka Iisa Masi, Yaaya kaawtu pey aman : « Nu tal Ruwwin ta Buŋdi paayiiji ɗo Iisa ar ammaama ho ta goyiiji. 
JHN.1.33	Awalle nun ibingigɗo oki, kar gay, Buŋ kaak n̰aamintu a naa batiziye gee iŋ amay kat kaawdu aman : ‟ Ki asa tale gem rakki, Ruwwin ta Buŋdi yaaji paaye ho taaji goye. Gem ŋaar-ak ko asa batiziye gee iŋ Ruwwin ta Buŋdi. ” 
JHN.1.34	Nun talig maanna-ak iŋ odinar ho nu kaawaako ka seener, gem-aŋ, ŋaar Roŋ ka Buŋdi. »
JHN.1.35	Ka kawtinti, Yaaya-Batist goy pey ɗo wer-ak iŋ maajirnay seera. 
JHN.1.36	Ɗo wiktin taat ŋa taliig Iisa biraw, ŋa kaawtu aman : « Taloŋ, aŋ ko *Roŋ tamgi ka Buŋdi ! » 
JHN.1.37	Maajirnay ku Yaaya ku seer-ak dorit kaawoy taat ŋa kaawtu-ata ho ŋu teestu aaɗin̰ Iisa. 
JHN.1.38	Iisa kolsitu ho ŋa tala ŋu aaɗaaga. Ŋa indiig aman : « Ku aaɗiin gay ku bariya maa ? » Ŋuur gay ɗiyiiji aman : « *Rabbine, kiŋ goy momo ? » (Siŋ ku Rabbin-ak ɗiya a « Tatkaw ».) 
JHN.1.39	Ŋaar gay telkiico aman : « Asoŋ tala. » Hiyya, ŋu daktu tal wer ka ŋa goyiyo. Wiktin taar-at yaa neceŋ ko pat pooɗ ta maako. Hiyya, ŋu eeltu iŋ ŋaara.
JHN.1.40	Min gee seer kuuk doriit kaaw ta Yaaya ho aaɗiig Iisa-ak, Andre siŋji ka Simon Piyer sa goya. 
JHN.1.41	Ŋa uctu dakiig gas siŋji Simon ho ŋa miniig aman : « Ni gasig *Masi. » (Siŋ ku Masi-ak ɗiya a « Ŋaar kaak Buŋ doɓtu. ») 
JHN.1.42	Kar ŋa iyiijig Simon ɗo Iisa. Iisa taliig ƴalaaŋ kar ŋa ɗiyiiji aman : « Kiŋke Simon, roŋ ka Yaaya. Min ƴiriyta-aŋ gee yaan̰ koleŋ ko Sepaas. » (Siŋ ku Sepaas-ak ɗiya a « Piyer ».
JHN.1.43+JHN.1.44	Ka kawtinti, Iisa ictu niyin taat ŋaa ɓaawe ɗo kiɗ ka Galile. Ɗo botildi, ŋa ŋaamtu iŋ gem rakki siŋji Pilip kaak min Betsayda, werco kan̰ Andre iŋ Piyer. Iisa ɗiyiiji ɗo Pilip aman : « Aaɗnu ! » 
JHN.1.45	Kar Pilip gay ɓaa tale gem rakki siŋji Natanayeel. Pilip ɗiyiiji ɗo Natanayeel aman : « Ni gasig gem kaak ŋu kaawtu biy ɗo Kitamner, ɗo *gaanuun ka Muusa ho ɗo makaatamna ku nabiinnar oki. Ŋa Iisa roŋji ka Yuusup min geeger ka Nazareet. » 
JHN.1.46	Kar Natanayeel gay ɗiyiiji aman : « Has min Nazareet kat amilgiy maan ka samaane ? » Pilip gay telkiiji aman : « Asu, ki ɓaa tale. »
JHN.1.47	Min Iisa taliig Natanayeel gaayji ko ote-ak, ŋa kaawtu ɗo biy kan̰ji aman : « Taloŋ ! Aŋ kat gem ka Israyeel kaak taɓ. Ŋaar-aŋ, yoo raadin rakki oki, amilaaɗo minniney. » 
JHN.1.48	Natanayeel gay indiig aman : « Maman ki ibinginu ? » Iisa telkiiji aman : « Ɗo wiktin taat Pilip gasin̰ciŋ ɗo baat ta buguwar-ak di, nun talin̰ciŋ ko. » 
JHN.1.49	Min pa-ak, Natanayeel kaawtu aman : « Gem kol Rabbiney, nu iban kadar kiŋ kat Roŋ ka Buŋdi, Sultan ka Israyeel ! » 
JHN.1.50	Iisa telkiiji aman : « Nu kaawaajiŋ ja a nu talin̰ciŋ ɗo baat ta buguwar-ata, ampaa ɗoo wal ki aamintu kadar nu Roŋ ka Buŋdi ? Hadi ki asa tale misa gamin kuuk ajbay pa-ak ŋuur-aŋku. 
JHN.1.51	Cokiyoŋ, naako kaawe seene. Ku asa tale samaan yaa pile waakilak ho *ɗubal ku Buŋdi yaa paayguwe ho ŋuu cokguwe, ŋuu birguwe min ɗo werir, nun *Roŋ gemor. »
JHN.2.1	Min ŋaar-ak, menaw seer birtu. Kar gee gay gina iidin ta obindi ɗo geeger ka Kana, kiɗ ka Galile. Ɗo iidin taar-at, Mariyam atan̰ Iisa goya. 
JHN.2.2	Kar Iisa iŋ maajirnay sa, ŋu n̰aamco, ŋu astu. 
JHN.2.3	Kar ba aar, maam ku *bin̰di kuuk gee siyo gaase. Hiyya, atan̰ Iisa ɗiyiiji ɗo roŋti aman : « Gee-aŋ, seen̰co arme. » 
JHN.2.4	Iisa telkiitit aman : « Iya, nun gay yaa gine maa ? Nun wiktiner misa taat naa gaare zir. » 
JHN.2.5	Min pa-ak, yaaco ɗiyiico ɗo gay riyor aman : « Ya taat ŋa kaawiikon di, ginonta. »
