LUK.1.2	Nanakasike pipiya matasiyai si kinana, ba warana si yoneyonei wai rutainina sita kirumisi. 
LUK.4.39	Damanina Iesu i nae wasikena ana aba dudauwa gwabinai i msiri ba sini borabora i kao tunetunei ita kasibautaveyei. Ba sini borabora mara kesana wasikena i kasibautaveyei, ba i bomsiri ba kairavisi i bosaibira.
LUK.4.40	Ba rabisi pompomai pipiya turaturasi kasi gubaga bubausiyai ereonowasi, si yaunisi si botu Iesu kurina, ba i borubaisi wai si yawasa. 
LUK.4.41	Yebo pipiya pesarisi kamosiyai kanuma goyogoyosi ere paraparasi si kasibau ba si wona, “Kom wai God natuna!” Saba i kaotunetuneisi kega siti sisiya, kairavina si kuiri kata kona wai Keriso. 
LUK.4.42	Mara tom didibarinai Iesu i kasibau i nae ku kupura mamawapana, ba pipiya wai si nuvenuveni. Ba maranai si panani wai si babai kata kega iti sumarisi. 
LUK.4.43	Saba i wona, “God ana basileya warana gairena meyaga mutusi yebo kurisi ana rumamarei, basuna kona kairavina i poriku.” 
LUK.4.44	Damanina Judia biyisi asi duwu yovesi kamosiyai i rumamara neubuwa.
LUK.5.2	Ba i kinana kata waka asi ruwamo banobanotisi toreyai si taina biyotisi, ba asi sewari si boosuwana. 
LUK.5.3	Iesu Simon ana ku waka i geru ba i babai i yori yoginaikei i kasibau, ba waka tepanai i makira, ba pipiya toreyai ibi beyebeyisi.
LUK.5.4	Maranai i sisiya i kakaba wai, Simon i wonei i wona, “Waka nakata ke yauni ke gae ku ragu ba kam birauwa yabata sewari koi garu kikirana kona banota.” 
LUK.5.5	Saba Simon i kaobeyei i wona, “Bada, yakai ka banota maratom ba kega kesana awaika ka yauni, Saba kom ku wona kairavina sewari ana terekirana.” Damanina sewari 
LUK.5.6	si tere kikirana wai iyana si kona sasara, ba sewari yoginaikei sita tamorebu. 
LUK.5.7	Damanina turaturasi waka kesanai si mamana wai si rutapieisi sita botu siti baisisi. Ba si botu waka ruwamo si bonuvisi wai si dagui si raukwauruba. 
LUK.5.8	Maranai Simon Peter nikona i kinani wai i maere sogasoga Iesu naonai ba i wona, “Bada ki sumariku yauku piraga goyo pipiyiku.” 
LUK.5.9	Simon Peter turaturana ereonowasi yabata, iyana pesara si konai wai si wareyei. 
LUK.5.10	Ba yebo Zebedee natunatuna James ba John yabata. Iesu Simon kurina i wona, “Kega ke nagara, karaku ba mara murinai, kom pipiya kuna banotisi.” 
LUK.5.11	Damania waka toreyai si taina gegeyana, ba sawara ereonowasi si sumamarana, ba Iesu si saununuri.
LUK.5.12	Iesu meyaga kesanai i mamana maranai, sebare kesana lepa gubagina sinina i bonuvei wai i botu kurina. Ba Iesu i kinani wai naonai i peku ku tano ba i babai i wona, “Bada kuna wainei wai kuni yawasiku.” 
LUK.5.13	Iesu yarona i bororona sebarena i borubai ba i wona, “Yauku awaiwainei, ke yawasa!” Ba mara kesana Lepa sebarena i kasibautaveyei. 
LUK.5.14	Damanina Iesu sebarena i kaotunei i wona, “Kega kesana kotoi kuna wonei, saba totorina ke nae Priest kurina, ba sinim ki beyei ina kinani. Ba Moses i kaotunei wai nanakasike, ke puyobunuwa ba, pipiya ereonowasi kurisi kuni debeim kata kom ku yawasa.” 
LUK.5.15	Saba Iesu warana i rakata kupura ereonowana i yauni, ba pipiya korotosi si botu siti taina baenegei, ba kasi gubaga iti yawasana. 
LUK.5.16	Saba Iesu mamanina i nesaira ku kupura mamawapasi, ba namai i raupari.
LUK.5.17	Mara kesana, Iesu ibi beyebeyena maranai, Pharisee mutusi ba giugiu biyisi meyaga ereonowasi yai si botu, Galileeyai, Judiya ba Jerusalem yai si botu ba naikakaraku si makira si mamana. Ba Bada ana maragata yebo nai Iesu gwabinai imamana kata, pipiya gubagubagisi iti yawasisi. 
LUK.5.18	Ba pipiya mutusi sebare kesana sinina raobona kemakemai si kabari si botuwei, ba asi waina sita yauni sita riu, ku yove kamona Iesu naonai siti dauvei. 
LUK.5.19	Saba kega rubana sita yauni sita riu, kairavina koroto i rakata, ba keta kega. Kona kairavina ku wadakupuna si kabari si gae, ba wadakupuna si rebui, ba kemakemai si sonagi i gakira koroto ku basusi, ba Iesu naonai si dauvei.
LUK.5.21	Saba giugiu biyisi ba Pharisee biyisi i kesisi nuwanuwasi yai si nuwasuya si wona, “Niko meo sebare wai e kao bigigima? God i kesina wata piraga goyo ina nota taveyisi ba kega kesana kotoi.” 
LUK.5.22	Iesu asi nota i kuiri wai kurisi i wona, “Awaika kairavina nikasike ko nuwanuwasuya?
LUK.5.23	Meo sisiya rumatarina, am piraga goyo a nota taveyisi, kona ana wona, ke bomsiri ba ke yewo? 
LUK.5.24	Saba kona kuiri Sebare Natuna bai maragata i yauni kata dobuwai piraga goyo ina nota taveyana ba i wona, nao sebare sini raoboraobona kurina, “Kemsiri, am yagoro ke yauni ke nae ku yove.” 
LUK.5.25	Ba mara kesana i bomsiri pipiya ereonowasi matasi yai, ana aba dudauwa i yauni, ba God i bokabakabari i nae ana ku yove. 
LUK.5.26	Pipiya ereonowasi si wareyei, ba si nuwasuya kabakaba, ba God sibo kabakabari si wona, “Karaku wose kaimasivisi kega meyana ka kinakinana wai ka kinana.”
LUK.5.27	Kona murinai Iesu i kasibau, ba tax aba yuyauna sebarena, ana bagibagi yovenai i makira i mamana wai i kitai. Iesu i wona ki sununuriku 
LUK.5.28	Ba Levi i bomsiri sawara ereonowana isu mamarana, ba isu nunuri.
LUK.5.29	Damanina ba Levi Iesu kairavina ana yoveyai kam kaikapona i wosei, ba tax aba yuyauna biyisi pesarisi ba pipiya mutusi yabata i yorisi si botu ba si kamkam. 
LUK.5.30	Saba, Pharisee ba giugiu biyisi, kosi asi duwu kesanina. Si botu Iesu ana Nonorayauna kurisi mena si gwini, si wona, “Awaika kairavina komi piraga goyo pipiyisi ba tax aba yuyauna biyisi yabata ko kamkam?” 
LUK.5.31	Iesu i kaobeyisi i wona, “Pipiya yawayawasisi kega asi waina Doctor saba gubagubagisi wata. 
LUK.5.32	Yauku kega pipiya gairesi kairavisi a botu, saba piragagoyo pipiyisi ata yorisi kata siti nuwabirabira.”
LUK.5.33	Pharisee si gwini si wona, “John ana Nonorayauna tebi siya ba te raupari, ba yakai yebo, ama Nonorayauna yabata. Saba kom am Nonorayauna wai te kamkam ba te tomatoma bonabona.” 
LUK.5.34	Iesu i kaobeya i wona, “Komi ami waina tabine wau sebarena kana bonunu yabata te mamana wai kona wosisi sini siya kona? 
LUK.5.35	Saba mara ebotubotu kata tabine wau sebarena kamosi yai sina yauna taveyei, kona maranai kosi sini siya.” 
LUK.5.36	Iesu niko wona bi maibai kurisi isisiya i wona, “Kega kesana kotoi gara wauna ina sikai ba gara katamanina tepanai ina popo ratui, ina wosei wai karaku wata gara wauna ina tamosika. Ba gara wauna gara katamanina yabata kana kinana ina rusisirei. 
LUK.5.37	Ba kega kesana kotoi wine wauna, wine katamanina kana ku dubi ina sewai, ina wosei wai, dubi ini kwata, ba wine ina soro ba dubi ina goyo. 
LUK.5.38	Wine wauna wai wine kana dubi wauna ku kamona mena sina sewai. 
LUK.5.39	Ba kega kesana kotoi wine wauna tomanina ana waina kairavina i wona kata wine katamanina tomanina, i gaire saki”.
LUK.6.2	Ba Pharisee mutusi si wona, “Awaika kairavina ata giu i wona kata Sabbath maranai niko wose kega kota wosei saba ko wosewosei?”
LUK.6.4	I rui God ana ku yove kamona ba God si puyoi wai kamna i yauni i kani ba mutuna ana pipiya i berisi si kani, saba ata giu i wona kata kega kesana kotoi wata niko kam ita kani saba priest wata sita kani.” 
LUK.6.5	Ba damanina Iesu kurisi i wona, “Sebare Natuna wai Sabbath badana.”
LUK.6.6	Yebo Sabbath kesana, Iesu i riu ku duvu yovena ba i giugiu. Ba sebare kesana yaro kasauna raobona yebo namai i mamana. 
LUK.6.7	Pharisee ba giugiu biyisi Iesu sibo kibukibui kata pipiya kesana Sabbath maranai iti biyawasi wai siti kunumakei. 
LUK.6.8	Saba Iesu awaika si nosinosi wai i kuiri, ba sebare yarona raobona kurina i wona, “Ke gae pipiya ereonowasi naosi yai kuni imsiri.” Damanina i bomsiri ba i gae pipiya naosi yai i imsiri. 
LUK.6.9	Iesu i wona, “Ata toirubaimi kata, ata giu awaika ebi damaninei Sabbath marana gairena tana wosei kona, goyona tana wosei? Pipiya ana yawasa tana kasi bai goyoni kona, tani yawasi?”
LUK.6.10	Ereonowasi i kita nanagisi ba sebarena i wonei, “Yarom ke kotoi.” Ba yarona i kotoi maranai wai, yagiyagina wata i yawasa. 
LUK.6.11	Saba kosi si yagisi saki, ba kosi wata si sisiya, kata awaika sita wosei Iesu kurina.
LUK.6.12	Kona maranai Iesu i gae koya baranai ita rupari, ba kona pomnai God kurina i rupari maratom. 
LUK.6.13	Ba mara i tom wai, ana Nonorayauna i yorisi si nae kurina, ba asi twelve i bineisi ba i yoreisi Apostle. 
LUK.6.14	Simon kana waba i yorei Peter ba tuwa teina Andrew, James ba John, Phillip ba Bartholomew, 
LUK.6.15	Matthew, ba Thomas, Alpheus natuna James, ba Simon kona si yorei Zealot. 
LUK.6.16	James natuna Judas ba Judas Iscariot, muriyai kona ini wawanei.
LUK.6.17	Ba yabata si gakira, ana Nonorayauna ba koroto kaikapona si mamana wai nakai. Ba yebo pipiya korotosi Judia kupurina ereonowanai, ba Jerusalem yai ba yebo tore biyisi Tyre ba Sidon, 
LUK.6.18	Si botu sita nonori, ba kasi gubaga iti yawasa. Ba yabosi kanuma goyogoyosi sibi magoyoisi wai i yawasisi. 
LUK.6.19	Ba pipiya ereonowasi asi waina kata, sita borubai, basuna maragata karinai i botubotu ba piiya ereonowasi si yawayawasa. 
LUK.6.20	Ba ana Nonorayauna i kinakinanisi wai i wona, “Bibi gairenimi komi iyabomi moyamoyakimi basuna God ana basileiya wai komi karimi yai.”
LUK.6.22	Bibi gairenimi komi maranai pipiya kurimi sini yagisi, maranai si nane kupukupusimi ba sina yegaimi, ba Sebare Natuna kairavina kami waba sina kao bigoyoni, ba sini sinikikiyimi. 
LUK.6.23	Kona maranai ki nuwagaire ba ke riku basuna am maisa wai sapamai i rakata saki e mamana. Kairavina tamatamasi wai yebo nanakasike peroperoveta si wosisi. 
LUK.6.24	Saba komi iyabomi karaku ko mariya wai, kurimi ina goyo saki kairavina matapa koi nuwagaire. 
LUK.6.25	Ba iyabomi karaku ko kam siyabagi wai, komi kurimi ina goyo saki kairavina komi soya kona rabobo. Ba Komi iyabomi karaku ko manimaniba wai, kurimi ina goyo saki kairavina koni yapoya ba kona tou. 
LUK.6.26	Maranai komi pipiya ereonowasi sina kao bai gegaenimi wai, komi kurimi ina goyo saki, kairavina tamatamasi nanakasike peroveta kwarukwarumisi si woseisi.
LUK.6.27	Saba komi iyabomi ko nonoriku wai a wonewonimi, kami abiya koi nuwa yauyaunisi, iyabosi kurim tebi yagisi wai gairena kurisi ko wosei. 
LUK.6.28	Ba kosi iyabosi kawasiyai te kao nawaimi wai koi gairenisi ba iyabosi wose goyona kurim sina wosei wai kairavisi ko rupari. 
LUK.6.29	Kotoi wata nebanebam ina ravi wai ki kam tabirim yebo newana ina ravi. Ba kotoi wata kam tara sowo ina yauni wai ke boterei yebo kam kwama ina yauni. 
LUK.6.30	Pipiya ereonowasi abi sawara kairavina sini baba wai ke berisi, ba maranai kotoi wata am bi sawara ina yauni wai kega ki babai kata ini neveramagei. 
LUK.6.31	Awaika am waina pipiya kurim sina wosei wai, kesanina yebo kurisi ke wosei. 
LUK.6.32	Pipiya tebi nuwayuyaunim wai kosi wata kuni nuwayuyaunisi wai, awaika kairavina bi gairena kuna yauni? Piraga goyo pipiyisi yebo, wosena kesanina te wosewosei. 
LUK.6.33	Ba pipiya wose gairena kurim te wosewosei wai kosi wata kurisi wose gairena kuna wosei wai, awaika kairavina bi gairena kuna yauni? Piraga goyo pipiyisi yebo, kona wosena te wose wosei. 
LUK.6.34	Ba pipiya iyabosi am berena sini sarobi wai kosi wata kurisi kuna berena wai, awaika kairavina bi gairena kuna yauni? Kairavina piragagoyo biyisi yebo, piragagoyo pipiyisi kurisi te bereberena, kata asi waina awaika si berena wai tupana sina yauna meyei. 
LUK.6.35	Saba kami abiya koi nuwayauyaunisi, ba kurisi gairena ko wosei. Ko berena kurisi wai kega karisiyai bisarobina kona nosi. Ba ami maisa wai ina rakata saki kona yauni ba God kaidamona sakina ini natunatunimi. Basuna pipiya goyogoyosi ba pipiya kega tebi kaikaiwa wai, kurisi ebi yagaire. 
LUK.6.36	Ba Tamami mekabage ebi nuwanuwanimi wai, komi yebo nanakasike koi nuwanuwana.
LUK.6.38	Ke berena ba God ina bere sakiyim, rukosokosovina ba boraturatuna ba ina kam sewasewai ku tokarami ini utusewai. Abi rubai kuna berena wai rubana kesaninai ina berim”.
LUK.6.40	Kega kesana meo kiruma ipiya ana bi beyebeyena biyina ina getawani, saba maranai ana kiruma ini kakabi wai asi ruwamo wai bi poponisi. 
LUK.6.41	Awaika kairavina momokara kwainam matana kamonai ke kinakinani, ba kom keyama dobona matam kamonai e mamana wai kega ke kina kinani? 
LUK.6.42	Mekabage kwainam kurina kuna wona, Kwaina ke botu matam kamonai momokara ana botaveyei, ba kom i kesim mata kamomi yai wai keyama dobona kega ke kitakitai. Kom kwarukwarumim kainaona matam kamonai keyama dobona ke kaibotaveyei, kata kuni kinana kabitam wai, kwainam mata kamonai momokara kuna botaveyei.”
LUK.6.43	Keyama gairena kega rubana uwana goyona ina uwei, ba keyama goyona kega rubana uwana gairena ina uwei. 
LUK.6.44	Keyama ereonowasi uwasiyai ba ta kuikuirisi. Pipiya koveya kega keyama biru goragoranai te pokepokei, ba grape kega sinamona ere rurirurina tepanai te pokepokei. 
LUK.6.45	Pipiya gairena sawara gairesi nuwanuwanai i gaeni wai, ebi irakaibuwana. Ba pipiya goyona yebo, sawara goyosi nuwanuwanai i gaeni wai, ebi irakaibuwana. Basuna awaika nuwanuwanai i bonuwa wai, kawanai e kasikasibau.
LUK.6.47	Kotoi wata e botubotu kuriku ba wonaku e nonori, ba e wosewosei wai kona pipiyina ani beyimi kona kuiri, kata kona kana kinana mekabage 
LUK.6.48	Kona wai bage, pipiya ana yove bowaina kairavina, dogu i karoi i gakira saki, ba ana tukeke akima tepanai i totori wai rutainina. Ba kabaita i kasibau wai okowa maragasina yove i ravi, saba yove kega i nuke, basuna ana yove i bowa kabitamni. 
LUK.6.49	Saba kotoi wata wonaku e nonori, ba kega e wosewosei wai, kona pipiya ana yove tano tepanai i bowa momei rautinina, kega ere buna. Ba maranai kabaita i kasibau yove i ravi wai, yagiyagina wata ina peku. Ba ana pekuna wai ina goyo saki.”
LUK.7.1	Iesu nikosi sawara ereonowasi, pipiya kurisi i sisiyana i kakaba wai, i nae ku Capernaum. 
LUK.7.2	Ba namai Capernaum kamonai, Rome biyisi asi abiya badana kesana i mamana. Ba ana saibisaibirina kaimatanina kesana, i gubaga saki yoginaikei ba ita rabobo. 
LUK.7.3	Abiya badana sisiya i nonori kata Iesu i botu, wai Jews asi pipiya kaikaposi i poraisi, kata Iesu siti babai ita botu ba, ana saibisaibirina iti yawasi. 
LUK.7.4	Maranai si botu Iesu kurina wai, si baba sakiyei si wona, “Niko sebare kuti baisi, kona wai sebare gairena. 
LUK.7.5	Ata pipiya i nuwayauyaunisi ba kona ata duwu yovena i bowai.” 
LUK.7.6	Damanina ba Iesu i tauya yabata si nae, matapa ku yove si veravera kasibau, ba bi abiya badana turaturana i poraisi niko sisiya sita wonei. Si wona, “Bada, kega kuriku botu kairavina kuni nuwapoyei, yauku kega pipiya gaireku ba au ku yove kuna riu.”
LUK.7.7	I kesiku a nota meyiku kata yauku kega damaniku ba ata botu kurim, saba namai wona wata ke wonei ba au saibisaibirina ina yawasa. 
LUK.7.8	Yauku babada kaikaposi gaburisiyai abo bagibagi, ba gaburikuwai yebo bibi abiyisi te mamana. Nikona ana wonei ke nae, ba ina nae, ba nokona ana wonei ke botu, ba ina botu. Ba au saibisaibirina ana wonei nikona ke wosei ba ina wosei.
LUK.7.9	Iesu niko sisiya i nonori wai, abiya badana i wareyei. Ba i taibira koroto si kibikibi wai kurisi bai wona, “Awonewonim, ke memena Israel kamonai bi geruwana kaikapona nikasike a panani.” 
LUK.7.10	Damanina abiya badana turaturana si veramaga ku yove wai, saibisaibirina yawayawasina si kitai.
LUK.7.11	Kona murinai, Iesu i nae ku meyaga kaikapona kesana, kana waba Nain, ana Nonorayauna ba koroto kaikapona yabata si nae. 
LUK.7.12	Iesu i nae meyaga kaikapona ku matam ketana i veravera kasibau ba, pipiya mutusi sebare raoboraobona si kabari si kasikasibau. Kona wai wasike sobesoberena kesana natuna sebare kesanaikei. Ba meyaga kamonai, koroto kaikapona wasikena yabata si kasikasibau. 
LUK.7.13	Maranai Bada wasikena i kinani wai i nuwapoyei ba i wona, “Kega ke tou.” 
LUK.7.14	Damanina ba i yewo i nae kemakema i borubai ba pipiya iyaboi si kabari si nenae wai, si imsiri ba Iesu i wona, “Sebareikei a wonewonim, ke bomsiri.” 
LUK.7.15	Damanina sebare raboraobona i bomsiri i makira, ba bisisiya i dagui, ba Iesu i yauni sinana i bere meyei.
LUK.7.17	Ba Iesu awaika i wosei wai, warana i rakata Judia tupana i bonuvei, ba yebo kupura gwabisiai yabata.
LUK.7.18	John ana Nonorayauna si nae nikosi wose ereonowana John kurina si sisiyei wai, ana Nonorayauna ruwamo i yorisi.
LUK.7.19	Ba i poraisi Bada kurina siti toiruba. Sita wona, “Pipiya kapotapotai ita botu wai damanina kom, kona, pipiya kesana kana potai?” 
LUK.7.20	Maranai, si botu Iesu kurina wai si wona, “John babataito biyina i poraikai kata toirubaim. Kata, pipiya ka potapotai ita botu wai, damanina kom kona, pipiya kesana kana potai?” 
LUK.7.21	Kona maranai, Iesu pipiya pesarisi kasi gubaga i yawasisi ba yebo gubaga bubausiyai ba kanuma goyogoyosi i kasibaunisi. Ba mata potapotasi pesarisi i wosisi si kinana. 
LUK.7.22	Kona kairavina John ana Kawariyonayona i kaobeyisi i wona, “Ko veramaga ba awaika ko kitai ba ko nonori wai John ko wonei. Mata potapotasi tebi kinana, digadigasi te yewoyewo, iyabosi lepa si yauni wai si yawasa, ba taina potapotasi te nonora, raoboraobosi si bomsiri mena, ba moyamoyakisi wara gairena te noonori. 
LUK.7.23	Koitoi wata ini geruviku ba ana nota kega ina kairagaraga wai God ini gaireni.”
LUK.7.24	John ana kawari yonoyona si kasibau taveyana murinai, Iesu i dagui koroto kurisi John ibi sisiyei. I wona, ko kasibau ku kupura momna wai, awaika kota kitai? Gwanewa sibe i tapitapi kota kitai kona? 
LUK.7.25	Ko kasibau awaika kota kitai? Sebare gara gaigairesiya i kaubunaga wai kota kitai kona? Kega, yabosi gara monimonikisi te kotekote ba tema kamkam mom wai, kosi taupauma asi yove kamosiyai te mamana. 
LUK.7.26	Saba ko kasibau awaika kota kitai, Peroveta kota kitai kona? Eee, bisuwona, saba a wonewonim kona wai kega Peroveta mom, ba saba Peroveta kaikapona kesana. 
LUK.7.27	Niko pipiya kairavina kiruma katamanisiyai si kiruma si wona, God i wona, “Au kawari yonayona ani porai ini nao ba kairavim keta ina bobunagi.”
LUK.7.28	A wonewonim John wai pipiya kaikapo sakina, kega kesana kotoi niko dobuwai i getawani. Saba kotoi wata God ana basileiya kamonai ina terekireina meyei wai, kona pipiyina wai i rakata saki John i getawani. 
LUK.7.29	Pipiya ereonowasi ba yebo tax aba yuyauna damsi yabata maranai Iesu wonana si nonori wai si damaninei kata God ana keta wai keta damana. Kairavina matapa si bosisira ba John i babataitoisi. 
LUK.7.30	Saba Pharisee ba giugiu biyisi ikesisi God ana keta si sinikikiyei kairavina kosi si totoyana wai John kega i babataitoisi. 
LUK.7.31	Yebo Iesu i wona, “Niko kimta pipiyisi mekabage ana tere gubaisi? Kosi kasi kinana mekabage? 
LUK.7.32	Kosi wai, pipiyaguna aba gimogimona gawarinai te makimakira, ba te paraparara tebi kaoboneyana wai, rutainisi. Duvu kesana sina para duvu kurisi sina wona, yakai kairavimi kai durere ba kega ko riku, ba rabobo taborina ka taborei, saba kega ko tou.
LUK.7.33	John Babataito biyina i botu i siya, ba kega wine i tomatomani, ba komi ko wona kata, kona kanuma goyona kamonai e mamana.” 
LUK.7.34	Ba Sebare Natuna i botu e kamkam ba e tomatoma, ba komi ko wona, Niko sebare ko kinani, toma neganegana, ba kam woraworana. Piraga goyo pipiyisi, ba tax aba yauyauna damsi kwainasi. 
LUK.7.35	Saba iyabosi God ana nuwasuya si yauni te kibikibi wai, asi yawasai sini mamatarei, kata bisuwona kona wai nuwasuya damana.
LUK.7.36	Pharisee kesana Iesu i yorei kata, rabisi kamna ana yoveyai sita kam yabata. Damanina Iesu i nae Pharisee ana ku yove ba nebanebanai i kasi makirei ba si kamkam. 
LUK.7.37	Kona meyaginai wasike kesana ana yawasa kamonai piraga goyowai i mamana. Ba maranai i nonori kata Iesu Pharisee ana yove kamonai i kamkam wai, bane dubina i yauni i botu, 
LUK.7.38	Iesu murinai i msiri i tutou, ba mata okovinai kaekaena i sorupisi. Ba uyavinai kaekaena i kasipupunisi, ba ibo yoyaona, ba bane ku kaekaena mena i utusewai. 
LUK.7.39	Ba nao Pharisee niko wose i kitai wai, nuwasinenai i wona, “Niko sebare bisuwona kona Peroveta wai, ita kuiri kata kotai i borubai, ba kona abi wasike? Kona wai piraga goyo wasikena.” 
LUK.7.40	Iesu i kaobeyei i wona, “Simon, sawara kesa ana wonim.” Simon i wona, “Eee damanina, bai beyebeyena biyim ke woniku.”
LUK.7.41	Iesu i wona, “Sebasebaresi asi ruwamo money aba bereberena sebarena karinai kasi taraboga si mamana, kesana kana taraboga five hundred kina ba kesana wai fifty kina. 
LUK.7.42	Ba asi ruwamo karisiyai money kega ba kasi taraboga sita saroba, kona kairavina wai damanina sebasebaresi asi ruwamo kasi taraboga i kasipupuna, ba i nota taveyisi. Meo sebare ke nosinosi ini nuwa yauyauna sakiyei?” 
LUK.7.43	Simon i kaobeyei i wona, “Anosinosi kata kotoi kana taraboga kaikapona i kasipupuni wai kona.” Iesu i wona, “Ku kaobeyana kabitam.” 
LUK.7.44	Damanina i taibira wasike kurina, ba Simon kurina i wona, “Niko wasike ku kitai? A botu am ku yove ba kaeku kairavisi okowa kega ku beriku, saba kona mata okovinai kaeku i sorupa ba uyavinai i kasipupuna. 
LUK.7.45	Ba kega ku yaoniku, saba niko wasike a riu maranai kaeku yaonisi i dagui ba kega i boterei. 
LUK.7.46	Kom gayamiku kega monamonai kui boroi, saba kona baneyai kaeku i boroi. 
LUK.7.47	Kona kairavina a wonewonim, ana nuwayuyauna i rakata kairavina, ana piraga goyo pesarina a nota taveyei. Saba, kotoi wata ana nuwayauyauna yogina mom ini mamatarei wai, ana piraga goyo yogina mom wata ana nota taveyei.” 
LUK.7.48	Damanina Iesu wasikena i wonei, i wona, “Am piraga goyosi a nota taveyisi.” 
LUK.7.49	Pipiya mutusi si makira si kamkam wai si dagui i kesisi kamosiyai sibi kaoboneyana si wona, “Niko pipiya kona kotoi wai yebo piragagoyo e notanota taveyana?” 
LUK.7.50	Saba Iesu wasike kurina i wona “Am bigeruwana i yawasim, nuwanubai ke nae.”
LUK.8.1	Kona murinai, Iesu meyaga ba kwanatu nununsiyai i yewo neubuwa. Ba God ana basileiya warana gaireni i rumamarei ana Nonorayauna asi twelve yabata. 
LUK.8.2	Ba yebo bibaine mutusi gubagubagisi i yawasisi, ba kanuma goyogoyosi karisiyai i kasibaunisi wai, yabata si nae. Bage Mary, kona si yorei Magdalene, kona karinai kanuma goyogoyosi asi seven i kasibaunisi. 
LUK.8.3	Kesana wai Joanna, kona kaoana Cuza, Herod ana yove kana aba potapota sebarena. Ba yebo Susanna, ba bibaine pesarisi yabata. Nikosi bibaine i kesisi asi maragatai Iesu ana Nonorayauna yabata si potapotaisi ba si baisisi.
LUK.8.4	Pipiya meyaga bubausi yai Iesu si notuwei, ba koroto i rakata saki maranai, Iesu nikasike kurisi i maiba 
LUK.8.5	i wona, “Mara kesana, baobao biyina i kasibau ana pesi ita baoni, ba maranai ana pesi i raubusagi wai, mutunsi si peku ku keta ba pipiya si utu gudai, ba manu si botu si kam roboi. 
LUK.8.6	Ba mutusi si ririga tano ku akiyakimina mena, ba saba tano gasara taveyina kairavina, si rutiti wai sibo sivisiviyisi. 
LUK.8.7	Mutusi si ririga ku sinamona kamosi, ba sinamona yabata si rautiti wai, sinamona si piro bunuwana. 
LUK.8.8	Ba yebo mutusi si ririga tano ku gairena mena, ba si rutiti si gae wai, uwana hundred si uwei. Nikona i sisiyei i kakaba wai, i para i wona, “Kotoi wata ere tinam wai ke nonora kabitam!” 
LUK.8.9	Niko bai maiba basuna kairavina ana Nonorayauna si toirubai wai i wona, 
LUK.8.10	“Komi God ana Basileiya mama bi buneyina kuirina ko yauni, ba pipiya mutusi kurisi wai abi maiba, kata sina kinana, ba kega sina kinani, ba sina nonora, ba saba kega sina kuiri.”
LUK.8.11	Niko bimaiba basuna wai nikasike, pesi wai, kona God wonana. 
LUK.8.12	Pesi si ririga ku keta wai, bage iyabosi God wonana si nonori, saba satan i botu, ba nuwanuwasi yai i yauna taveyei. Kata sina kayo bi geruwana ba sita yawasa. 
LUK.8.13	Ba pesi si si riga tano ku akiyakimina wai, bage kosi iyabosi God wonana ere nuwagairesi si nonori, saba kega i gakira ku nuwa sinesi. Kosi si geruwana mara soenaikei ba rauruba marana i botu wai si peku. 
LUK.8.14	Ba pesi si ririga sinamona kukamona wai, bage kosi iyaboi God wonana si nonori, ba saba niko dobu yawasina, ba mariyina, ba nuwagairena yapoyina i piro bunuisi wai, kega si uwa. 
LUK.8.15	Ba pesi si ririga tano ku gairena wai, bage iyabosi God wonana si nonori ba nuwagaire yai si yauni, ba si bosisiri. Ba simsi kikita wai si uwa.
LUK.8.17	Awaika wata mama bi buneyina ina yauni ina kasibau ini debei. Ba awaika wata kasikasi tawanina, ina panani ba ina yauni ina kasibau ku yasegana. 
LUK.8.18	Kona kairavina awaika ko nonori wai, ko nuwasuya kabitam, basuna kotai wata karinai awaika emamana wai, tepanai yebo ina beremeyei. Ba koitoi wata karinai kega kesana awaika emamana wai, karinai awaika soesoenaikei emamana wai, ina yauna taveyei.
LUK.8.19	Damanina Iesu sinana ba teiteina si botu sita kitai, saba koroto i rakata saki kairavina kega rubana sita riu kurina. 
LUK.8.20	Ba pipiya kesana Iesu i wonei, i wona, “Sinam ba titeim wai matarai tebi potapota, asi waina sina kinanim.” 
LUK.8.21	Saba Iesu i kaobeya i wona, “sinaku ba teiteiku wai iyabosi God wonana te nonori ba te bosisiriei wai.”
LUK.8.22	Mara kesana, Iesu ana Nonorayauna i wonisi i wona, “niko boga tani garubonei no ku sepina.” Damanina si geru ku waka ba si tauya. 
LUK.8.23	Sibi garubona maranai Iesu waka kamonai i kenokira ba i kenowapa i dudauwa ba sibe goyona i bomsiri, ba waka okowa i siusiuni wai, yogina mom sita rukwauruba. 
LUK.8.24	Ana Nonorayauna si rubaunui ba si wona, “Bada! Bada! kota tana toma bunuwa.” Iesu i bomsiri sibe ba yoyo i kaotuneyisi, ba sibe i boterei ba nisa i niworovi. 
LUK.8.25	Damanina ana Nonorayauna i wonisi i wona, “Ami bai geruwana memena?” Saba kosi si nagara, ba si wareyei, ba si kaoboneyana si wona, “Niko sebare wai, kona kotoi? Wai sibe ba yoyo e kaotuneyisi wai te bosisirei.”
LUK.8.26	Iesu ana Nonorayauna yabata Galilee tokana si garubonei ku sepina, Gerasenes biyisi asi ku kupura mena. 
