GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
MAT.4.2	Nunú uwegshunum pujusuí cuarenta tsawai, cuarenta kashi. Imaan tsawantai yujumkan ijagmak pujau asa, Jisuschakam yapajuauwai. 
MAT.4.3	Nunitai iwanch chichajak:
MAT.4.3	—Ame dekas Apajuí Uchijiyaitkumek, ju kaya aina jujú pag emakam yuwakia, —tau.
MAT.4.4	Tusá tama Jisus ayaak:
MAT.4.4	—Apajuí chichame agagbauwa nui: ‘Aentsuk imá yujumkajaigkik pujumaitsui, Apajuí chichamega nujaishkam pujumainai’ tawai, —tiuwai.
MAT.4.5	Nuna aatus Jisus timatai nui inagkeaki emauwai yaakat Jerusalegnum. Dutika jega Apajuí ememattai jegamkamunum yakí nagkatkamunum iwaká awajus, 
MAT.4.6	chichajak:
MAT.4.6	—Ame dekas Apajuí Uchijiyaitkumek tsekem iyaata, agagbau awai:
MAT.4.6	‘Apajuí ni aentsji nayaimpinmaya aidaun ishitkatnai ni Uchijí aidaun kuitamkatnunak’ tibauwai.
MAT.4.6	Tau asamtai, ame tsekem iyautaish Apajuí ishiakbau igkumpak achigmaktinme, iyaakum kaya aina au tukumkaim, —tiuwai.
MAT.4.7	Tama Jisus ayaak:
MAT.4.7	—Dushakam agagbau awai: ‘Amina Apujum Apajuiya nu pegkegchaunum dekapsatasamek wakeyipa’, tawai —tiuwai.
MAT.4.8	Tusa timatai nuigtú iwanch Jisusan muja tsakajunum iwakuí. Dutika juú inaktamuik ashí nugkanum yaakat aina nuna, nuigtú ashí pegkeg aidaunashkam iwaintukui. 
MAT.4.9	Dutika ashí inaktus:
MAT.4.9	—Ashí junak amina amastajame, tikishmatjujam emematjita, —tau.
MAT.4.10	Tama Jisus ayaak:
MAT.4.10	—¡Wetá iwanchih!
MAT.4.11	Tusá timatai iwanchik ukukiuwai. Dutikamtai nayaimpinmaya aents kautuawajui kuitamkagtatus.
MAT.4.12	Tikich tsawantai Judeanmaya apu, Juagkan aents achiká egketainum egkeau, nunikmatai Jisus nuna antuk Galilea nugkanum wakitkiuwai. 
MAT.4.13	Tujash nigka Nazaretak pujutsuk nagkaemaki, yaakat Capernaum Galilea kuchajin uwetus awa nui weuwai. Nunú nugkanum yaunchuk muun Zabulón, Neftalí aajakajua nuna uchijí wegantu aidau batsatu. 
MAT.4.14	Nuna Jisus nunikua nunak, yaunchuk Apajuí etsegtin Isaías agajua nunú imanisag uminkauwai. Nunú agagbaunmag:
MAT.4.15	“Zabulogkan nugke kuchá yantamen awa nui batsatutijum antuktajum,
MAT.4.15	nunisjumek Neftalí nugke etsá akaetainmanini Jordán uwet awa nui batsatutigmeshkam antuktajum,
MAT.4.15	antsagmek atum Galileanum judiuchu aidaujai pachimdaeja batsatutigmeshkam antuktajum.
MAT.4.16	Nunú nugka nui batsamin aidautijum pegkegchau takaakjum suwea numamtinum batsatutijum,
MAT.4.16	uwemat pachisa etsegbau antukjum tsaaptin waintayama numamtuk wajaktinaitjume”, tawai.
MAT.4.17	Jisus Capernaum jegaa, chichagkagtutan nagkabau. Nuniak: “Tudau takatak idaikujum Apajuí nemagkatajum, ni aentsnum inamjatnuk tsawantak ashí jegae”, tiuwai.
MAT.4.18	Tikich tsawantai Jisus Galilea kuchajin wekaekamá Simón, Pedro daagtina nuna, ni yachi Andresjai namakan main asag retan ajuntuinak yujattaman wainkau. 
MAT.4.19	Nunik wainak Jisus chichajak:
MAT.4.19	—Wegajai wi jintintuatjime, namak maatasajum yujagjum anmamtuk, Apajuí chichame etsegkujum aents aidau minai ikautjin atajum tusan, —tau.
MAT.4.20	Tusá tamawaik, ditá retjinak ukuinak niijai wegajui.
MAT.4.21	Nunik Jisus ditajai ijunag machik kuwaesag wekamá, Zebedeo ni uchijí Jacobo, Juan aatus botenum chimpimas retjin apijuinak chimpimtatman wainak, nunashkam:
MAT.4.21	—Wegajai mina jintintaig atajum, —tiuwai.
MAT.4.22	Tama ditashkam:
MAT.4.22	—Ayú, —tusa apajinak ashí tikich takataiji aidaujai botenum ukuinak, Jisusjai wegajui.
MAT.4.23	Nunik Jisus ashí Galilea nugkanum wekagas, jega ijuntai aidaunum wayaa jintinkagtau yamajam chichaman Apajuí nuní inapawai tusa, nuniak ashí aents jau aidaunashkam etsagau. 
MAT.4.24	Nunú dutika Jisus etsaegkagtamun pachis kuashat etsejuk dapampajaju, dutikamun ashí aents Sirianmayashkam antukaju, nunikag kuashat jaun, iwanch egkemtuamun imaanjaun, jata iyashin ipimpin achikam pimpijú wekaemainchaun, ashí tikich jatai jau aidaunashkam ikautkaju, dutikam Jisuschakam etsagaakui.
MAT.4.25	Jisus imatika aents jau aidau etsagamun antuinak, kuashat aents Galileanmaya, Decapolisnumia, Jerusalegnumia, Judeanmaya nuigtú Jordagkan amain batsataidaushkam shimutuidau, Jisus yamajam chicham etsegbaun antukagtatus.
MAT.5.1	Imatika tuwajam Jisus wainak wakau nainnum, nunik nui ekeemsamtai ni jintinbau aidau kautuawaju. 
MAT.5.2	Nunikmatai Jisus nagkama jintintak tau:
MAT.5.3	“Atum iik nagkamik iina senchijinig pegkeg pujuta duka jumaitsuapi tautigmek, shiig aneasjum pujustajum, atumiin Apajuí inamjatin asamtai.
MAT.5.4	“Atum wake besemag pujakjum, buutú pujautigmek, shiig aneasjum pujustajum, Apajuí ichichmamtan amasagtin asamtai.
MAT.5.5	“Atum kakagchauch aidautigmek, shiig aneasjum pujustajum, atumnak Apajuí ashí ni anagtamauwa nunak amastin asamtai.
MAT.5.6	“Atum Apajuinu pegkeg takastasa wakegakjum yapajaku, kitamaku waitmaina imanikjum waitiautigmek, shiig aneasjum pujustajum, atumnak Apajuí yaimpaktatjume nu wakegajum nuna takastí tusa.
MAT.5.7	“Atum tikich waitiaush wait anentin aidautigmek, shiig aneasjum pujustajum, nunú dutikautigminak Apajuí atumnashkam wait anenjamjattagme.
MAT.5.8	“Atum tsagkugnagjum pegkeg wajasú aidautigmek, shiig aneasjum pujustajum, atumek Apajuí wainkatin asajum.
MAT.5.9	“Atum tikich aidaujaish pegkegchau awagdaitash dakitin aidautigmek, shiig aneasjum pujustajum, atumnak Apajuí mina uchijui tujabiagtin asamtai.
MAT.5.10	“Atum Apajuinu pegkeg takaagmin tikich nuna dakituinak waitkam pujautigmek, shiig aneasjum pujustajum, atumiin Apajuí inamjatin asamtai.
MAT.5.11	“Atum mina dekaskeapi tusajum nemagtuidautigmin pegkegchau chichagtamainak, niimjutpas yujainak, atum chichakchamunash wainak tsanumjutpajag shiig pujuschamin awajtamainakuish, shiig aneasjum pujustajum. 
MAT.5.12	Dakujustajum nuniakjum shiig aneetajum, atumek nayaimpinmaya wají shiig pegkeg umikbau jukitin asajum, yaunchuk Apajuí etsegtin aidaunashkam atumin waitkagmaina aikasag waitkasu ainawai.
MAT.5.13	“Atumek ju nugka juwig tuke weega numamtin ainagme. Tujash nunú wee,
MAT.5.14	“Atumek ju nugka juwi batsataina nuna tsaaptinjiyaitjume. Yaakat nainnum auk uumkag amaitsui. 
MAT.5.15	Lamparashkam ekemakaik dukuká idaichatiame, dutiktsuk yakí ekentayame jegan tsaaptin emamtai, aents aidaush diisá yujastinme tusa. 
MAT.5.16	Atumshakam numamtuk, ashí pegkeg aidauk takaakjum iwainaktajum, tikich aents aidaush wainainak ditashkam Apajuí nayaimpinum pujuuwa nuna ememattinme tusajum.
MAT.5.17	“Wika jujú nugka juwig Moisés chicham umiktinun agajua nuna esakagtasanuk taachuitjai, tuja Apajuí etsegtin aidau agajajua nunakeshkam idaisatajum titasankesh taachuitjai. Wika Moisés, tikich Apajuí etsegtin aidau mina pachitus agaju aina nuna umiktasan tauwaitjai. 
MAT.5.18	Nuna tajim nunak dekas tajime: Nugka, nayaim aina nunú megkagainatsaigkik chicham umiktinun Moisés agajua duka, makichkish yapajinashtinai, ashí betek imanisag uminkatnai. 
MAT.5.19	Tuja jujú chicham umiktin aina juwiyan imanchau diinak, tikichnash dutiksag jintintuk, Apajuí eme anentsá inam achagtinai. Untsu nunú chicham umiktajum tibauwa nuna betek umiak tikichnashkam dutiksag jintintuau aidauk, Apajuí eme anentsá inam agtinai.
MAT.5.20	“Tujash atum fariseo aidau, chicham umiktinun jintinkagtin aidaujai Apajuin umijuina nuna nagkaesau umigchakjumek, Apajuí inamak achatin ainagme.
MAT.5.21	“Moisés chicham umiktin agagbauwa nuanuig: ‘Magkagtuawaipa, ame tikich maakmek suwimak suwam atatme’ tawai. 
MAT.5.22	Tujash dekas wi tajime: Makichik aentskesh ni yachin tuke aneas kajejauk, suwimak suwam amainai. Nunisag yachin anentainkachu chichajú wekagushkam, apu chichaman epegkin aidau dekajam amainai, tuja yachin kajejak tikima pegkegchaun chichajushkam jii ajumaish kajinkashtina nui pujus waittsatnai.
MAT.5.23	“Ame tikich aentsjai kajegdaikamu ajutjamaig, Apajuí anentag susata tibaugmea nu jukim jega Apajuí ememattainum wetsuk, 
MAT.5.24	dekatkauk amijai kajegdaikamua nunuwá wejim: Yamaik tsagkugdaijami, tusam epegtuniata. Nunikam agkan wajasam Apajuí ememattasam wegakmesh ni anentag susata tibaush jukim wetá.
MAT.5.25	“Makichik aentskesh: Pegkegchau takagtusume tusa apunum chichaman egketjamamtai, niijai apu chichama epegnunum wegakmek, jintaag shiig chichasam epegtuniata, nunikchaminig apu chichaman epegnunum jegaa amin dekagtama, ni jujamki achijatin aidaunum sujupakmatai, achijatin jujamki aents katsek aidau achiká chimpitainum egkepawai. 
MAT.5.26	Junak dekas tajime: Amina apu achigmak egkepamtaig kakajus jiinmaitsume, ayatak amina kuichkijum ashí akikmakam, shiig ashimkam jiinmainaitme.
MAT.5.27	“Moisés chicham umiktinun agajua nuanuig: ‘Tsanijinawaigpa’ tawai. 
MAT.5.28	Tujash wi dekas tajime: Aents nuwan dutikachainjash tusa wakegas diyaushkam, anentainig tsanijimui.
MAT.5.29	“Nuniau asamtai amina jiim pegkegchau anentaimtuja diitnum niimtijamkuig, jiim untsugmia nu ukuinkam ajapmainaitam numamtuk wajaktá tudau takat idaikum, dekas pegkejai tudau idaisau asá Apajuí inamtaijin makichik jiiyaik niimsá waimaina numamtuk wajamuk, nu dutikachmek ashí amina iyashmijai jii ajumaish kajinchaunum pujusam tuke waitú pujumain asamtai. 
MAT.5.30	Tuja uwegmishkam pegkegchau takamtijamkuig, uwejum untsugmia nu tsupikam ajapmaina numamtuk tudau takat idaisatajum, dekas pegkejai tudau idaisau asá, pujut tuke atina nui makichik uwegtin waimaina numamtuk wajamuk, nunú dutikachaminig ashí iyashim jii ajumaish kajinchaunum pujus waitmain asamtai.
MAT.5.31	“Junashkam Jisus jintinkagtak tiuwai: Nuwa idaitan pachis Moisés agajua duka: ‘Aishmag nuwen idaikug papiin agag, yamaik idaijai, tusa nuaduí idaimainai’, tawai. 
MAT.5.32	Tujash wi tajime: Aishmag nuwen ekagmakchau aig idaikug, aentsjai tsanijinata tusa awemak itugmaina numamtuk awagmawai. Nuwa idaisamujai nuwenushkam aantsag mai ekagmawai.
MAT.5.33	“Nuigtushkam Moisés aents aidau yaunchuk agatjamunum tawa nu dekagme, duka: ‘Ame Apajuí pachisam dutikatjai tibauk umitskek idaisaipa’, tawai. 
MAT.5.34	Tujash wi tajime: Apajuí daajiya nu adaikajum, Apajuish dekas waitui wi taja nunú umiktinak, tusagmek tiigpajum. Tuja nayaimpia aushkam Apajuí pujutai asamtai, au pachisjumshakam tigpajum. 
MAT.5.35	Jujú nugka jushakam pachisjumek tiigpajum, Apajuí najamsa eketbau asamtai; Jerusalegshakam pachisam wainkam chichakaigpa, jujú yaaktanmag Apu ju nugkanmaya aina nuna nagkaesau pujusá inamjatin asamtai. 
MAT.5.36	Atumi pujutjum pachisjumesh tiigpajum, atumek intashim puju atí takugmesh, tuja bukusea atí takugmeshkam dutikmainchau asajum. 
MAT.5.37	Dekas nunú wainkam tu wekaetsuk, ayatak tutupnik ame dutikmainaitkumek ‘ehé’ titá, tuja ame dutikmainchawaitkumshakam ‘atsá’ titá, aaja tutsuk wainka tu wekaebauk pegkegchau asamtai.
MAT.5.38	“Atumek Moisés yaunchuk agagbauwa duka dekagme, nuanuig: ‘Aents jiimin emestugmakuig, ameshkam dutiksamek emestugta, tuja daimin akagtamkuishkam, ameshkam dutiksamek niina nai akagkata’, tawai. 
MAT.5.39	Tujash wi tajime: Duka dutikmaitsui. Amina pegkegchau takagtamkuishkam iikatasam wakeyipa. Makichik aentskesh yapim untsugmia atú awatamkuishkam, atumesh iikajum awattsuk, juinia yapijuish awatita tusajum ayampatuatajum. 
MAT.5.40	Makichik aentskesh nugkutaigmin atanjamkitatus utugchatan aputugmakuig, awantak pataká nugkutaigmesh
MAT.5.41	Aents kijinun amaak: ‘Jujú jukim makichik kilómetro kuwagtukta’, tujamkuishkam jimag kilometronum ejentuntajum. 
MAT.5.42	Atsumamun segapainakuishkam sujittsuk susatajum, tuja atumiin wajiigmin tsagkatjukta tujamkuishkam, atsá tusa sujittsuk tsagkatkatajum.
MAT.5.43	“Dushakam yaunchuk agagbau chichaak: ‘Amejai ijutkamu aneakum, shiwajum aidauk ausaigpajum’ timawa duka shiig dekagme. 
MAT.5.44	Tujash wi tajime: Atumi shiwajum aidaush aneetajum, nuniakjum atumin pegkegchaun chichagtamaidaush pegkegnum chichagkatajum. Dutiksagmek kajegtamaidaush pegkegnum yaigtajum, waitkagmainakuish, dita pachisjum Apajuí aujtustajum, ni esegati tusajum. 
MAT.5.45	Nunú aajam dutikakmek, ii Apají nayaimpinum puja nuna uchijí atatme. Apajuik ashí aents pegkeg, pegkegchau aina nudaujai etsanak etsanmitkawai, aikasag yuminashkam pegkejan takaidau, pegkegchau takaidaujai yutumtikui. 
MAT.5.46	Tujash atum aents anempaina nujaig aneniakjumesh ¿wají imana juwagme? Aents pegkegchau aidaushkam ni aneeniamujaig aneeninawai. Nunitsuk atumin kajegtamaidaushkam atumek aneemainaitjume. 
MAT.5.47	Tuja atum imá atumin pataim aidaujaig shiig anendaisa chichasá pujakjumesh ¿wají imana iwainame? Nunak Apajuin umigchau aidau nunin ainawai. 
MAT.5.48	Dekas atumek pegkegchau atsugbau atajum, iina Apají nayaimpinum pujú pegkegchau atsugna ibau.
MAT.6.1	“Atum pegkeg takaajum nunú aentsnum iwainmamkata tabaunum dutikawaigpa, kuitamamkatajum. Atum ayatak aentsnumak iwainmamkatasa nuniagtaik, iina Apají Apajuí nayaimpinum pujuwa duka wají shiig pegkeja nunak amaschagtinai.
MAT.6.2	“Nuniau asamtai atum aents atsumau yayakjumek, tikich aidaush wi dutika takaamun dekaatnume tusagmek jega ijuntainmagkesh, jinta nagkaematainmagkesh etsejú yujaigpajum; nunak aentsú tsanú aidau aents eme anenjus diigsatnume tusag nuní yujau ainawai. Dekas tajime: Nuna nunidauk aents eme anentam aidau asag Apajuí akiamak achagtinai. 
MAT.6.3	Jujú aatus asamtai, atum aents atsumak waitiau yayakjumesh, wi aajan yaimjai tusagmek ame shiig chichataigmikesh ujakaigpajum. 
MAT.6.4	Dekas pachitsuk idaisatajum etsejú yujatsuk, nunak ii Apají Apajuiya nu ii takaamunak wainui, nuaduí atak nayaimpinum akigmak wají shiig pegkeg aidaun sujamsatnai.
MAT.6.5	“Atum Apajuí aujkugmeshkam, aentsú tsanú aidau, aents waitkatnume tusag jega ijuntainum tuwakbaunum wajaidiag, nuninachkush jintá ashí aents wainainamunum wajantag, senchi chichaká Apajuin aujú yujau aina nunikaigpajum. Dekas tajime, nuna nunidauk aents eme anentam aidau asag, Apajuí akiamak achagtinai. 
MAT.6.6	Tujash atum Apajuí aujkugmek, ame kanutaigmin wayaam waiti epenim pujusam, tikichish dekainachbaunum amina Apa Apajuiya nu ausata. Aaja tikich dekachbaunum segamash, Apajuik ashí wainainamunum wají shiig pegkeja nuna amastinai.
MAT.6.7	“Atum Apajuí aujkugmesh chicham imanchauk awá awagkijum segaigpajum, Apajuin dekaskenum nemagchau aidau imatjamas imá shiig antugtukainta tusag nunak imatin ainawai. 
MAT.6.8	Atumesh nujai betekak aigpajum, Apajuik dekawai atum atsumamunak eke segatsjuminig. 
MAT.6.9	Nuniau asamtai atum Apajuí augkugmek aatsajum titajum:
MAT.6.9	‘Apawah, amek nayaimpinum pujuwaitme.
MAT.6.9	Pegkegmaitam ibau asamin, ashí tikich aidaush imá aminak emematjabiagtinme.
MAT.6.10	Amek jutiishkam inajatjata.
MAT.6.10	Amina aentsjum nayaimpinmaya ame wakegamun umigtamin aina dutiksag nugkanmayashkam umigtukti tusam.
MAT.6.11	Dutiksamek ii yuwatnushkam kashí kashinig sukagtita.
MAT.6.12	Ii tudaujishkam tsagkugkagtugta,
MAT.6.12	jutii tikich pegkegchau takagtamaidaush tsagkugnaitag aikasmek.
MAT.6.13	Iwanch pegkegchaun takamtiksati tusamek idaikagtutsuk, ayatak yaijatkam agkanmitkagtuata’, tiuwai.
MAT.6.14	“Atumin tikich pegkegchau takagtamsau tsagkujakjumek, atumshakam iina Apají Apajuí nayaimpinum puja dusha tsagkujam atatjume. 
MAT.6.15	Untsu tikich pegkegchaun takagtamsau tsagkugchataik, Apajuishkam atumi tudaugminash tsagkugtamjashtatui.
MAT.6.16	“Atum yujumak ijagmaka pujusjum Apajuí aujkugmesh, aentsú tsanú aidau: Wi ijagmá Apajuí aujbaunash tikich aidaush waitkatnume, tusag wake besekag ayatak anentaimas yujau aina atumek nunikaigpajum. Dekas tajime: Nuna nunidauk aentsnum iwainmamá yujaidau asag, Apajuí wají shiig pegkeg suwamak achagtinai. 
MAT.6.17	Nuaduí ame yujumak ijagmaka pujusam Apajuí aujkumek wake besekam wekaetsuk, yapim nijaim, shiig temashmajam, shiig dakunkut wekaesata, 
MAT.6.18	tikich aents aidaush ame yujumak ijagmaka wekaesá Apajuí aujbaugmin dekagmawainum. Ame ijagmaka wekaebaunak Apajuí waipau asa, ame atsumamu segamashkam nigki amastatui.
MAT.6.19	“Jujú nugka juwi wajiin kabau emesmain, nuniachkush kawanchjumain, kasashkam wayaa kasamain aina juninum wiyakchameatasagmek wakeyigpajum. 
MAT.6.20	Dekas nayaimpinum kabaush wajiin emeskamtai megkaemainchau, nuniachkush kawanchjumainchau, kasashkam wayaa kasamainchauwa nui wiyakchameatajum. 
MAT.6.21	Nunú wiyakchameatin ajutjamaina nuanuig anentaimsajum pujustajum.
MAT.6.22	“Atumi jiimek lámpara ekemakam tsaaptin emaama numamtuk atumi iyashminak awagmawai. Jiim pegkeg asamtai shiig wainmamainaitam imatiksam, ashí pegkeg aina duke anentaimtaik, anentaiminish tsaaptin ajutjamainai. 
MAT.6.23	Untsu jiim pegkegchauwaitkui wainmamainchauwaitam nunisjumek ayatak pegkegchauk anentaimkugmek suwenum pujagme. Aminí tsaaptin awa nu suwe wetaik, nuní nagkaemas pujutjum pegkegchau wemainai.
MAT.6.24	“Inakak jimag apugtinuk amaitsui. Tikich apujin imá senchi aneak, tikichin dakitmainai. Nuniachkush makichik apujin wakejus umijak, tikichnak dakitau asa umigmaitsui. Numamtuk atumshakam Apajuí umigkata tu, wiyakchameatasa anentaimtu wajamaitsugme.
MAT.6.25	“Junashkam tajime, atumek: ¿Wajina yuwanuk, wajina uwagnuk, wajina nugkugnuk pujustaja? tusagmek uyumá pujuigpajum. Yutái nagkaesauwa duka dekas atumi pujutjumia nuuwai, tuja jaanchin nagkaesauwa duka, atumi iyashmia nuuwai. 
MAT.6.26	Atumesh pishak agkajunum nanamaina nunú anentaimsajum diistajum. Ditak ajakmakagkesh juwinatsui, jeganakesh jegamkag yutaijinak ijumainatsui, nuniaunak Apajuí suwawai dita yuwatnunak, dutikam nuna yusag batsatainawai. Tujash atumetjume dekas pishak nagkaesau aidautigmek, iman ainagminish ¿wagkag Apajuish atum atsumamunash amaschagtinme? 
MAT.6.27	¿Atumesh wajupatigmea, tikich esajam aina ibau wisha atajai tusajum senchi anentaimtú pujakjumesh esaumainaitjume?
MAT.6.28	“¿Wagka jaanchish imá puyatjagme? Atumesh yagkug yagkujuina nunú anentaimsajum diistajum. Yagkug aidauk takainatsui, ujuchnash kutamainatsui. 
MAT.6.29	Salomón nugkutai pegkejan tikich aents aidau waitus najanamun sumak nugkujá, tikichin nagkaesau iwagmamajakua nuna nagkaesau pegkeg iwajamun yagkujuinawai, Apajuí yagkugmitkamu asag. 
MAT.6.30	Yagkug ikamia aidau yamaikik pegkejan yagkujuk, ajuma duwi etsa sukuam kagagtin aidaunakesh, Apajuí imatikas iwaja ibaush, ¿wagka atumesh minash nigkiap imatikas iwagtumainaita tatsugme, Apajuiyai imatikas kajinas anentaimchau aidauwa? 
MAT.6.31	Nuaduí atumek: ‘¿Wajinak yuwatja, wajinak uwagtaja, wajinak nugkugtaja?’ tusajum uyumá pujuigpajum. 
MAT.6.32	Nunak aents Apajuí nemagchau aidau, nunin aidaun uyumas anentaimtuinak waitú yujau ainawai, tujash atum atsumamunak atumin Apa nayaimpinmayaya nu shiig dekagtamui. 
MAT.6.33	Nuaduí dekatkauk Apajuí pegkegnum inapa nunuwá umigkatajum. Nuniakjumek ashí nunú aina dushakam aan kuashat jukitnaitjume. 
MAT.6.34	Atumek tikich tsawantin atinuk, wajuk pujustajaki tusajum emtikajum puyatjú pujuigpajum, imá makichik tsawan tsawamunmayag puyatjusjum anentaimtitajum, Apajuí atum utugchatnum jegataish yaimpaktin asagmatai.
MAT.7.1	“Tikichi pujutjig augmatú yujaigpajum, atumnash Apajuí aikasag tujaminum. 
MAT.7.2	Tuja atum tikich aidau pegkegchaujish augmatú yujataik, Apajuí atumnash nunú aents tajum dutiksag tujamtatjume. Atum tikich itujagme dutiksag Apajuí atumnash dutijamattagme. 
MAT.7.3	¿Wagka yatsum imanchau takaish, atum imá pegkegchau takayatkugmesh, auk pegkegchau takaawai tusagmesh augmatú yujagme? 
MAT.7.4	¿Itugsamek ame imá pegkegchau takaayatkumesh, yatsum imanchau takau diigsamesh nunikaipa titagme? Nunú nuniakjumek amina jiimin tsetse muun egketukesh wainkam jiikí ajaptsuk, yatsumi jiin tsetse piipich egketu wainkam: Jasta jiigkitjame, tumaina numamtuk wajajume. 
MAT.7.5	¡Aentsú tsanú aidauwah! Dekas dekatkauk ame imá pegkegchau takaam nunuwá idaisata, nunikam yatsum imanchau takaidaushkam, idaisata titajum.
MAT.7.6	“Tuja Apajuí chichame pegkegma nu ujamaitak antutan dakituinakuig, waitkatsuk idaisatajum, ditak yawá kajen aidau yutai pegkeg suwamaitak iiki esajatta tuwama numamtuk wajaidau asagmatai. Tuja makichik wají pegkeg akik aidauk kuchí batsamtainig ukubaitsugme, kuchi dajag emesjainum tusam. Numamtuk wajainawai aents pegkegchau aidauk chicham pegkeg antutan dakituinak.
MAT.7.7	“Apajuishkam segatajum, imatjamak amastatjume; egatash egaktajum, egakjumek, igkugtatjume; untsuktajum, imatjamak waitin ujatjamtatjume. 
MAT.7.8	Ashí aents sumauk suwam auwai, egauk igkuinai ni egamujinak, waitinum wajas untsumushkam waiti ujatam auwai. 
MAT.7.9	¿Atumesh uchijum yujumkan segapaig, kaya sumainkaitjum? 
MAT.7.10	¿Dutikachkugmesh uchijum namakan segapaig, dapi sumainkaitjum? 
MAT.7.11	Atum pegkegchau ainayatkugmesh, uchigmik pegkeg suu ainagme. Atumkesh nuniagminish, Apajuí nayaimpinum puja dusha ¿wagka atum pegkeg sumamunash amaschagti?
MAT.7.12	“ ‘Atum tikich aidau shiig awajtuktinme tusajum wakejin ainajum, nunisjumek tikichish shiig awajkatajum.’ Aatus Moisés chicham umiktinun agajua nuwish tawai, tuja aantsag Apajuí etsegtin aidau agaju aina nuwishkam tawai.
MAT.7.13	“Waiti menakua nuní wayatajum. Kuashat aents aidau jinta untsujin, waiti wegkajam megkaetanum ekagta nuní imá weenawai. 
MAT.7.14	Tuja machikiuchi aents jinta tsejegkuch, waiti menaku pujut nagkanchaunum ekagta nuní waidauk.
MAT.7.15	“Atum aidautigmek kuitamamkatajum: ‘Apajuí chichame etsejin ainaji’ tusag, waitan jintinkagtuina nu tsanugmajainum. Ditak aents kasa ishamain ainayatak, aentsun shiig kumpamá ajuma duwi kasajama numamtuk wajainawai. 
MAT.7.16	Nuaduí atumek aents aidauk wainmainaitjume ditá takatji diigsajum. Untukjak munchiinak nejetsame, aantsag uvashkam jagkinmayag juushtayame. Numamtuk aents pegkejak pegkegnak takaawai, tuja aents pegkegchaushkam pegkegchaunak takaawai. 
MAT.7.17	Numamtuk ajakshakam pegkejan nejenuk nunisag pegkegnak nejegame. Tuja ajak pegkegchaun nejenchakam nunisag pegkegchaunak nejegame. 
MAT.7.18	Nuniau asamtai ajak pegkejan nejena duka, pegkegchaunak nejemaitsui, aantsag pegkegchaun nejenchakam, pegkegnak nejemaitsui. 
MAT.7.19	Ashí numi pegkegchau nejen aidauk tsupija apea ajaptayame. 
MAT.7.20	Nuaduí atumek aents aidauk wainmainaitjume ditá takatji diigsajum.
MAT.7.21	“Ashí aents mina dekaskenum umigtuinachiatak: ‘Apujuh, Apujuh’, tujutuina duka Apajuí inamak achagtinai. Mina Apag nayaimpinum puja nunú wakegamun umiina nuuwai Apajuí inam agtinuk. 
MAT.7.22	Tuja wi tsawan jegaakui nayaimpinmayan minitai, kuashat aents: ‘¡Apujuh, Apujuh! Iishkam kuashat takasuitji amina chichamjum etsegku, nuniaku ame daagmin wakan pegkegchau aidau aentsun egkemtuaush jiijá utsantujakuitji, tuja aents dutikmainchau aidaush kuashat takasuitji’, tujutiagtinai. 
MAT.7.23	Tusag imatjutuinakuish wi chichagkun: ‘¡Tuwiyants ainajum! wainchauwaitjime. ¡Pegkegchau takau aidauwah, wetajum!’ titinaitjai.
MAT.7.24	“Aents mina chichamjun antugtukag, wi tabaun imatiksag umigtuidauk, aents jega jegamtan dekau nugkan initak tai kayanum dekanmitkak ajia jegamama numamtinai. 
MAT.7.25	Nunú imatika jegamkamunak yumi yutug dujajakush, dase senchi umpuakush yumputsame, kayanum dekanmitkaka ajia shiig jegamkamu asamtai. 
MAT.7.26	Untsu mina chichamjun antuinayatak umigtachuk, aents jega jegamtan dekachu kaamatkanum tauk ajigká jegama numamtuke. 
MAT.7.27	Nunú nuninnum jegamkamunak yumi yutug dujajua piyujak, dase senchi umpuak yumpuag ajapama numamtinai.”
MAT.7.28	Juna aatus Jisus jintinkagtua ashimkamtai, aents aidauk puyatjusag antugkajui, 
MAT.7.29	wagki aents chichame antugtai aidaun, chicham umiktinun jintinkagtin aidaunash nagkaesau nigka jintinkagtuau asamtai.
MAT.8.1	Nuna ashí jintinkagtua ashimak, ni jintintaiji aidaujai nainnumia akaiki wetai, kuashat aents saetus ashinaidau. 
MAT.8.2	Nuniai aents jata lepra tutai achikam jaak pujau, Jisusan wainak nugká tikishmag pujus segaak:
MAT.8.2	—Apuh, wakegakmek etsaentumainaitme, —tau.
MAT.8.3	Tama Jisuschakam uwejen antiak:
MAT.8.3	—Wakegajai, yamaik tsagagta, —tiuwai. Tamawaik leprak megkaekauwai. 
MAT.8.4	Nunikmatai Jisus chichajak:
MAT.8.4	—Wetá, tujash makichik aentskesh ujakaipa, tutupit sacerdote pujamunum jegaata, nuniakum Apajuinu atin jukim, Moisés tibauwa dutiksamek ejegata, ditashkam waipakag dekaskeap tsagaje tujamtinme, —tiu.
MAT.8.5	Nuna tusa ukuak nui jiinki, Jisus Capernaum jegattaman capitán tajuntun:
MAT.8.6	—Apujuh, mina inakeg senchi jamae chichigká, nantamaichame, ashí iyashí aidaun najaimak senchi waitmae, nuniak pegajinig tepeme, —tiuwai.
MAT.8.7	Tama Jisuschakam:
MAT.8.7	—Ayú, wi tajuan etsagagtajai, —tiuwai.
MAT.8.8	Tusa tutai capitán
