MAT.1.1	Ade Yesu Kristo kĩ ɛnyɛ Dawid ɔwa, kĩ Dawid lɛmɛ nyɛ Abraham ɔwa a bawanyɔ kasinu buĩ nɛ awĩ a.
MAT.10.33	Lɛmɛ ntɛ odi sĩ yĩ nɛ bati anɛ ni, yĩ malo maasĩ ye nɛ Nda nɛ ode a anɛ.
MAT.10.34	“Mitakɔna kĩ lukudɔ nkɔa ĩyamɛna nɛ katinya kamɛ. Oowo, ntáya mɔ lukudɔ, mbom kɔpã nkɔa ĩyamɛna. 
MAT.10.35	Ĩya kĩ makɛna
MAT.10.35	‘babinyole biyidza bɛdza nɛ balɛga akũ,
MAT.10.35	babitsole liyidza bɛdza nɛ bama akũ,
MAT.10.35	babi batsɔ̃ biyidza bɛdza nɛ be nyina amɛ akũ.
MAT.10.36	Oti bakesĩnɛ aanya ye mɔawɛ tɔtɔ kamɛ bati.’
MAT.10.37	“Odi nyɛ odi kĩ yawɛ ɔlɛga ĩye ɔma kalɛ kaba yĩ ni, ɛtákpɔla kĩ yanya yĩ fɔtsa ɔkɔlɛnɛ, ade ayea odi nyɛ odi kĩ yawɛ ye obinyole ĩye obitsole kalɛ kaba yĩ ni, ɛtákpɔla kĩ yanya yĩ fɔtsa ɔkɔlɛnɛ. 
MAT.10.38	Odi nyɛ odi kĩ ɛtábɔɛ ye asendua etomɔ yĩ nɛ liti ni, ɛtákpɔla kĩ yanya yĩ fɔtsa ɔkɔlɛnɛ. 
MAT.10.39	Odi nyɛ odi kĩ ɛwɛ kĩ yapili ye nkpã ni, yaayɛla ye, lɛmɛ odi nyɛ odi kĩ yaayɛla ye nkpã nɛ yĩ sũ ni, yaana nkpã kĩ ɛlá kawũna a.
MAT.10.40	“Odi nyɛ odi kĩ ɛtɛ mi ni, ɛtɛ yĩ malo, ade odi nyɛ odi kĩ ɛtɛ yĩ ni, ɛtɛ oti a kĩ edo yĩ a. 
MAT.10.41	Odi nyɛ odi kĩ ɛtɛ Baguma onukpɛ̃ ɔnyɛnɛ nɛ kĩ ɛnyɛ Baguma onukpɛ̃ ɔnyɛnɛ sũ ni, yaana kɔtɔkase a kĩ Baguma aakpa ye a kamɛ. Ade odi nyɛ odi kĩ ɛtɛ oti wĩ nɛ ayekĩ ɛnyɛ oti wĩ sũ ni, yaana tsɛfã nɛ kɔtɔkase a kĩ Baguma aakpa oti wĩ a odu. 
MAT.10.42	Mitɛ mido kĩ odi nyɛ odi kĩ yaakpa bikĩ bitomɔ yĩ kĩĩ kamɛ obisɛ̃de mɔa mui dɔwa kɔɔpu mɔapɛ malo ni, yaana foe kɔtɔkase.”
MAT.11.1	Kĩ Yesu do ye fɔtsa bakɔlɛnɛ ewua-nviã a fɔtɔ eyua a, ɛdzakũ nɛ awã ɛnaa tɛmatɔ a kĩ tifuã a kamɛ kĩ yanaatsa fɔtsa, ede lɛtsã nɛ Baguma fɔlɛtsa a lɛmɛ akũ.
MAT.11.2	Kĩ Yohanes Mui Ɔwɔlanɛ a, kĩ ɛwaa kɔla a nu lɛtsa a kĩ Yesu lamɛna kakɛna a, edo ye fɔtsa bakɔlɛnɛ a badi nɛ Yesu sɛkɛ̃, 
MAT.11.3	kĩ bɛnaavia ye kĩ, “Nɔ nyɛ oti a kĩ Baguma lɛ eyi kĩ yaaya a, mbɔɛɛ kĩ bɔdã oti bɛbã anɛ?”
MAT.11.4	Yesu kpa be mbuayɛ kĩ, “Mimuniki minaabi Yohanes lɛtsa a kĩ mimɔ́ mɔ lɛtsa a kĩ minu a. 
MAT.11.5	Banɛkunɛ mɔ́ fɔkɔ, bikĩ biveliveli yidza bɛtsɛ̃, bikĩ basɔ fɔsɔ ngbã akũ kpalɛ, batɔsĩnɛ anu fɔkɔ, bɛdzɛla banɔkpa bidzi nkpã, ade bɛlamɛna ahiãfɔ Kalɛ Wĩ a kabi a. 
MAT.11.6	Baguma hila oti a kĩ ɛtámɔ nfumusu adima nɛ yĩ akũ!”
MAT.11.7	Kĩ Yohanes batɔ a dzakũ a, Yesu yi kayɔ mɔ kɔdzɛla kalɛ nɛ Yohanes akũ kabi bati kɔdabu a kĩ, “Kĩ minɛ minaa Yohanes sɛkɛ̃ nɛ kɔsa kamɛ a, litsa minaadã? Kɔɔkaɛ kĩ ɔwɛ abɔa katomɛna katɛ̃mɛna mbɔɛɛ? 
MAT.11.8	Litsa koũ minɛ minaadã? Oti kĩ ɛkɛɛlɛ ye akũ mɔ fɔtsa mɔ kalɛ yanɛ? Bikĩ bado tɛtadiɛ mɔ kɔya ni, fɔgã tɔtɔ kamɛ bana. 
MAT.11.9	Mibi yĩ lɛtsa a sũ koũ miti minɛ a? Kĩ míamɔ Baguma onukpɛ̃ ɔnyɛnɛ mbɔɛɛ? Nuwĩ mifɔ̃ nti mbi mi, mimɔ́ oti a kĩ ɛbɛ̃ Baguma onukpɛ̃ ɔnyɛnɛ malo. 
MAT.11.10	Kitonɛkĩ Yohanes akũ mɔ Katsɛlɛ Kpalɛwa a lɛ kĩ,
MAT.11.10	‘Dã, maado yĩ fɔtɔ ɔnyanɛ ĩnyamɛna nɔ lɔtɔ,
MAT.11.10	yaalɔla osi nɛ nɔ lɔtɔ.’
MAT.11.11	Mabi mi nɛ ɔnɔkɔali kamɛ kĩ Yohanes Mui Ɔwɔlanɛ a bɛ̃ otidziwa odi nyɛ odi kĩ edzi nkpã tɔ̃. Lɛmɛ oti kĩ ɛnyɛ obisɛ̃ kɔlaa nɛ ode lɛgãkanyakɔ̃ a bɛ̃ Yohanes. 
MAT.11.12	Kito Yohanes lɛtsã kade lɔkɔ kɛyawo nviã kĩĩ ni, bati yidza bɛdza nɛ Baguma ode lɛgãkanyakɔ̃ a akũ mɔ ɔsĩ mɔ ɔsĩ, bɛlamɔ mbɔdi kabɔa lɛmɛ kĩ basua de kaya osi. 
MAT.11.13	Kɛyawo Yohanes kaya lɔkɔ a, Baguma onukpɛ̃ banyɛnɛ a flee mɔ Mose mbla a lɛ fɔlɛtsa biyi nɛ Baguma ode lɛgãkanyakɔ̃ a akũ. 
MAT.11.14	Ntɛ miawɛ kĩ miatɛ be fɔlɛtsa mido kɔ̃ ni, minyi kĩ Yohanes nyɛ Eliya a kĩ bɛlɛ biyi kĩ yaanya lɔtɔ ɛya a. 
MAT.11.15	Oti a kĩ edeĩ sɔtɔ kĩ sanu tuwuli ni, etse!
MAT.11.16	“Finyaa, litsa maakɔa nviã bati nkɔnamɔ? Bɛla ndɛ babisɛ̃ kĩ bikoni nɛ kɔyaatɔ bagulo. Babɔa fɔwɔla kabi be bakɔba kĩ,
MAT.11.17	‘Bɔsã obolitsɔ̃ tɔnɔ bɔkpa mi,
MAT.11.17	lɛmɛ mitáto.
MAT.11.17	Bɔsã tukutɔnɔ bɔkpa mi,
MAT.11.17	lɛmɛ mitábe.’
MAT.11.18	Kĩ Yohanes ya a, ɛtánya ɛtámɔa waĩ, lɛmɛ bati lɛ kĩ, ‘Hũhũ kpa deĩ nɛ ye kamɛ!’ 
MAT.11.19	Kĩ Otidziwa Obi a ya a, yanya, yamɔa, ade bati lɛ kĩ, ‘Midã ɔnyakpanɛ mɔ bavɛ ɔmɔanɛ, tɔgɔlɛ batɛnɛ mɔ tɔkpa bakɛnanɛ ɔkɔba.’ Lɛmɛ oti fɔkɛlatsa kamɛ bamɔ ye nyansã.”
MAT.11.20	Tɛmatɔ a kĩ te kamɛ Yesu kɛna ye awãwã fɔtsa pii a kamɛ bati tádani tɔwɔlɛ kamɛ, foesũ ɛkã tɛmatɔ a anɛ ɛlɛ kĩ, 
MAT.11.21	“Bɔbɔɛ makpa nɔ Korasin! Bɔbɔɛ makpa nɔ Betsaida! Ntɛ awãwã fɔtsa a kĩ nkɛna nɛ mi kamɛ a mɔ Tiro mɔ Sidon tɛmatɔ kamɛ nkɛna foe ni, kufɛ te kamɛ bati dani tɔwɔlɛ kamɛ kɔkɔɛ bidzi tikpekpe, bɛtsɛla batɔ. 
MAT.11.22	Mabi mi nɛ ɔnɔkɔali kamɛ kĩ nɛ Kadzɛ Luwi a akũ ni, Baguma aamɔ Tiro mɔ Sidon bati kɔnya ɛba mi! 
MAT.11.23	Ade nɔ Kapernaum! Ɔwɛ kĩ abɔɛ nɔ akũ ɔdɛla ɔnaatamɔ ode? Baakɛna nɔ nɛ kayɔ flee ɔnaawo kanɔkpade! Kitonɛkĩ awãwã fɔtsa a kĩ bɛkɛna nɛ nɔ kamɛ a mɔ Sodom bɛkɛna foe ni, kufɛ ɔmatɔ a buki edeĩ mɔ nviã kĩĩ! 
MAT.11.24	Mabi mi nɛ ɔnɔkɔali kamɛ kĩ nɛ Kadzɛ Luwi a akũ ni, Baguma aamɔ Sodom ɔmatɔ a kɔnya ɛba nɔ.”
MAT.11.25	Nɛ lɔkɔ a na kamɛ a, Yesu lɛ kĩ, “Nda, tite mɔ ode Ɔlate, manyɛ nɔ kɔlɛ kĩ ɔnyɛ fɔtsa a kĩ bɛkɔa bɛkɔla tuvoli banyinɛ mɔ anyansãfɔ a ɔtsa babisɛ̃. 
MAT.11.26	Oo! Nda, ade foe awo nɔ anɛ a.
MAT.11.27	“Nda kɔa lɛtsa nyɛ lɛtsa edo nɛ yĩ awɛ. Odima linyína Obi a mbɔɛntɛ Ɔlɛga a odi, ade odima lɛmɛ linyína Ɔlɛga a mbɔɛntɛ Obi a odi, mɔ bikĩ Obi a awɛ kĩ yanyɛ ye ɛtsa a.
MAT.11.28	“Miya nɛ yĩ sɛkɛ̃, mi flee a kĩ mikɛna adzuma, minɔnɛ fɔtsa mɔ ɔlɔmɛ kĩ kipiã mi a, lɔkɔa maakpa mi kawɛya. 
MAT.11.29	Mibɔɛ yĩ sɔmɔ akũ otse a mite nɛ mi akũ, mikɔlɛ fɔtsa mitomɛna yĩ sɛkɛ̃, lɔkɔa mina kawɛya, kitonɛkĩ yĩ fɔlɛtsa dɔ, ade ndɔla yĩ akũ nɛ ɔwɔlɛ kamɛ a. 
MAT.11.30	Kitonɛkĩ yĩ sɔmɔ akũ otse a kalɔ lɛlá ɔsĩ, ade yĩ fɔtsa a kĩ maalɔla mi a adã faafaa a.”
MAT.12.1	Nɛ lɔkɔ a na kamɛ a, Yesu natsã fugbanɔ kɔba kudi kamɛ nɛ Kawɛya Luwi akũ. Kɔlɛ kakɔ ye fɔtsa bakɔlɛnɛ a, foesũ biveli fudi bɛtsɛ̃ bɛba. 
MAT.12.2	Kĩ Farisifɔ mɔ́ foe a, bibi Yesu kĩ, “Dã, nɔ fɔtsa bakɔlɛnɛ akɛna lɛtsa a kĩ boe mbla tákpa osi kĩ bɛkɛna nɛ Kawɛya Luwi akũ!”
MAT.12.3	Ade Yesu kpa be mbuayɛ kĩ, “Mbɔɛɛ mitakã tɔ̃ lɛtsa a kĩ Dawid kɛna nɛ lɔkɔ a kĩ kɔlɛ kɔ bɛmɔ bati a kĩ bitomɔ ye a? 
MAT.12.4	Ewo nɛ Baguma kɔla a kamɛ ade bɛmɔ ye bati a bɛnya abodoo a kĩ bɛkɔa bɛbɔa afɔliɛ bɛkpa Baguma a, titɔ kĩ mbla tákpa osi kĩ bɛnya ye malo. Basɔfɔ odi bɛkpa osi kĩ bɛnya abodoo a na. 
MAT.12.5	Mbɔɛɛ mitákã nɛ Mose mbla ovoli a kamɛ kĩ nɛ Kawɛya luwi nyɛ luwi akũ ni, basɔfɔ a kĩ basum nɛ Asɔli Kɔla kamɛ a afum Kawɛya Luwi mbla a, lɛmɛ baákɔ be foe kɔtɔ? 
MAT.12.6	Mabi mi kĩ lɛtsa a kĩ lɛtɛ kɔya lɛba Asɔli Kɔla a deĩ nɛ awĩ. 
MAT.12.7	Katsɛlɛ Kpalɛwa a lɛ kĩ, ‘Sɛmɛ kalɛ mawɛ, nnɛ́ bayaɛ afɔliɛ.’ Ntɛ kanu minu fɔlɛtsa kĩĩ kayɔ ni, kufɛ miláakɔ bikĩ bɛtáfum a kɔtɔ, 
MAT.12.8	kitonɛkĩ Otidziwa Obi a nyɛ Kawɛya Luwi a Ɔlate.”
MAT.12.9	Yesu dzakũ nɛ awã ɛnaa Yudafɔ katsɛnakɔ̃ kadi, awã kĩ 
MAT.12.10	onyole odi kĩ ye kɔkpɔ ku lɛmɛ na. Bati badi kĩ bɛwɛ kĩ babɔɛ fɔlɛtsa nɛ Yesu akũ na nɛ awã, foesũ bivia ye kĩ, “Boe mbla kpa osi kĩ bɛtsa fɔsɔ nɛ Kawɛya Luwi akũ?”
MAT.12.11	Yesu kpa be mbuayɛ kĩ, “Ntɛ mi kamɛ odi deĩ kuveli mɔa mɔ kɔka kuwo nɛ lɛkɛ kamɛ nɛ Kawɛya Luwi akũ a, ɛláado awɛ epi koe ɛnyɛ? 
MAT.12.12	Ade oti deĩ kɔya ɛbɛ̃ kuveli a! Foesũ boe mbla kpa osi kĩ bɛkɛna tuwĩ nɛ Kawɛya Luwi akũ.”
MAT.12.13	Adeke ebi onyole a kĩ ye kɔkpɔ ku a kĩ, “Yo nɔ kɔkpɔ.” Eyo kɔkpɔ a ade kubuki kɔna ɔsĩ ndɛ kɔyade a. 
MAT.12.14	Ade Farisifɔ a dzakũ bɛnapi adzuni kĩ baakɔ Yesu a.
MAT.12.15	Kĩ Yesu nu kĩ bisui nɛ ye akũ a, ɛdzakũ nɛ lɔpɔ a na kamɛ, lɛmɛ bati kɔdabu baũ tomɔ ye. Ɛtsa basɔnɛ a flee, 
MAT.12.16	ade esi be mbla kĩ bɛtabi bati kadima nɛ ye akũ. 
MAT.12.17	Ɛlɛ fukĩĩ ayekĩ fɔlɛtsa a kĩ Baguma lɛ ɛtsãmɛna ye Onukpɛ̃ Ɔnyɛnɛ Yesaya akũ a aaya nɛ foe kamɛ kĩ,
MAT.12.18	“Ade yĩ osumunɛ a kĩ mpau nɛ awĩ a.
MAT.12.18	Ɛnyɛ oti kĩ mawɛ kalɛ, ade yawo yĩ anɛ a.
MAT.12.18	Maakɔa yĩ Hũhũ nko nɛ ye akũ,
MAT.12.18	lɔkɔa ede lɛtsã nɛ yĩ fɔlɛtsa kadzɛ akũ ɛkpa fude fude.
MAT.12.19	Ɛláavɛlɛ fɔlɛtsa, ĩye ɛbɔa fɔwɔla,
MAT.12.19	ĩye binu ye odo nɛ tɔblɔnu anɛ.
MAT.12.20	Yaana ɔwɔlɛ bɔɛɛ ɛkpa bikĩ bɛlá kɔbɛ̃ a,
MAT.12.20	ade yaakɛna sɛmɛ kalɛ ɛkpa bikĩ bɛlá kabumɛna a.
MAT.12.20	Yaadza pintii kɛnaawo kĩ ɛfɔ̃ kadzɛ nɛ osi kpĩĩ akũ anya akũ,
MAT.12.21	ade bati flee aakɔa anɛ bite nɛ ye akũ a.”
MAT.12.22	Ke liti a, bati badi kpã oti odi kĩ hũhũ kpa deĩ nɛ ye kamɛ, kĩ ɛnyɛ ɔnɛkunɛ mɔ omumu bɛma Yesu. Yesu tsa oti a, epuli ɛlɛ kɔdzɛla ɛmɔ fɔkɔ lɛmɛ. 
MAT.12.23	Lɛtsa a kĩ Yesu kɛna a, kɛna bati kɔdabu a flee a saa, ade bivia kĩ, “Mbɔɛɛ nnɛ́ Dawid Obi a nɛ awĩ a?”
MAT.12.24	Kĩ Farisifɔ nu fukĩĩ a, bɛlɛ kĩ, “Yablɔmɛna hũhũ kpa kitonɛkĩ hũhũ kpa lɛgã Beelzebul akpa ye kɔbɛ̃ kĩ ɛkɛna foe.”
MAT.12.25	Yesu nyi lɛtsa a kĩ bɛkakɔna a, foesũ ebi be kĩ, “Ɔmaĩ odi nyɛ odi kĩ ɛsɛ̃ ye akũ nɛ kutsu kutsu kamɛ, mɔ tɛdzɛ deĩ nɛ ye kamɛ ni, ɛláadzi gɛlɛɛlɛ. Ade aye a ntɛ ɔmatɔ ĩye kɔla kudi bati sɛ̃ nɛ kutsu kutsu kamɛ mɔ tɛdzɛ deĩ nɛ be kamɛ ni, kaku ɔmatɔ a ĩye kɔla a aaku. 
MAT.12.26	Foesũ ntɛ katsu mɔa kadi nɛ Abonsam lɛgãkanyakɔ̃ anɔ mɔ kabɛbã ni, fɔatsa kĩ ye lɛgãkanyakɔ̃ a sɛ̃ kutsu kutsu kɔkɔɛ, ade kɔ́ayalɛ a. 
MAT.12.27	Ntɛ mialɛ kĩ Beelzebul lɛkpa yĩ kɔbɛ̃ nnɛɛ mablɔmɛna hũhũ kpa a ni, owei lɛkpa bati a kĩ bitomɔ mi a kɔbɛ̃ bɛnɛɛ bablɔmɛna hũhũ kpa? Lɛtsa a kĩ mi mɔawɛ bati a kĩ bitomɔ mi akɛna a, aakɔ mi kɔtɔ. 
MAT.12.28	Oowo! Nnɛ́ Beelzebul kɔbɛ̃ nnɛɛ, mbom Baguma Hũhũ kɔbɛ̃ nnɛɛ mablɔmɛna hũhũ kpa, kĩ fɔatsa kĩ Baguma lɛgãkanya a ya nɛ mi akũ kɔkɔɛ.
MAT.12.29	“Odima lɛláapuli ewo nɛ ɔbɛlɛbɛ kɔla kamɛ efila ye akũ fɔtsa, mbɔɛntɛ ɛnya lɔtɔ esuli oti a edo nɛ tɔwɛ̃ kamɛ fɔmɔ yaapuli ɛpasa tɔtɔ a kamɛ efila ye fɔtsa.
MAT.12.30	“Odi nyɛ odi kĩ edzɛ́ nɛ yĩ liti ni, eyidza nɛ yĩ akũ, ade odi nyɛ odi kĩ yaábumɔ yĩ bɔakpɔta ni, kayalɛ yayalɛ kawula. 
MAT.12.31	Ade foesũ mabi mi kĩ baakɔa tɔkpa nyɛ tɔkpa mɔ fubusuotsa fudi nyɛ fudi kĩ bati alɛ a bite be, lɛmɛ odi nyɛ odi kĩ yaalɛ fubusuotsa nɛ Hũhũ Kpalɛwa a kɔ̃ akũ ni, bɛláakɔa bite ye. 
MAT.12.32	Odi nyɛ odi kĩ yaalɛ kɔdzɛla etia Otidziwa Obi a ni, baakɔa bite ye, lɛmɛ odi nyɛ odi kĩ yaalɛ kɔdzɛla etia Hũhũ Kpalɛwa a ni, bɛláakɔa bite ye finyaa ĩye nɛ lɔkɔ a kĩ laya a kamɛ.
MAT.12.33	“Fɔmɔ aana kutse libi wĩ ni, kɛnɛ kĩ ana kutse wĩ, ade ntɛ odeĩ kutse kpa ni, kutse libi kpa aana. Babi a kĩ kutse awũ a bakɔa kanyi kutse a odu. 
MAT.12.34	Mi bati ndɛ bɔɛ babi! Nde míapuli milɛ fɔlɛtsa wĩ kĩ minyɛ tɔkpa bakɛnanɛ? Kitonɛkĩ lɛtsa a kĩ liyi oti ɔwɔlɛ kamɛ ni, ade foe anɛ nɛ ye onukpɛ̃ a. 
MAT.12.35	Oti wĩ anyɛ fɔtsa wĩ kanya katomɛna ye fɔtsa wĩ kakɔlakɔ̃, ade oti kpa lɛmɛ anyɛ fɔtsa kpa kanya katomɛna ye fɔtsa kpa kakɔlakɔ̃ a. 
MAT.12.36	Mitɛ mido kĩ nɛ Kadzɛ Luwi a akũ ni, odi nyɛ odi aanyɛ ye akũ onukpɛ̃ nɛ kalɛ pupulidza kadi nyɛ kadi kĩ ɛlɛ tɔ̃ a akũ. 
MAT.12.37	Nɔ mɔawɛ onukpɛ̃ kamɛ fɔlɛtsa baakɔa bɛdzɛmɔ nɔ bɛkpa nɔ ɔtɔbɛ ĩye bɛkɔ nɔ kɔtɔ.”
MAT.12.38	Ade mbla batsanɛ mɔ Farisifɔ badi bi Yesu kĩ, “Fɔtsa Ɔtsanɛ, bɔawɛ kĩ kɛna nsɛntsɛlɛni adi bɔdã.”
MAT.12.39	Yesu kpa be mbuayɛ kĩ, “Nviã babi kpa mɔ bati kĩ binyína Baguma! Miavia yĩ kĩ nkɛna awãwã fɔtsa midã? Oowo! Awãwã fɔtsa a kĩ baanyɛ bɛtsa mi nyɛ Baguma Onukpɛ̃ Ɔnyɛnɛ Yona fude a. 
MAT.12.40	Ndɛ ayekĩ Yona dzi fuwi ɛlalɛ lɛnyɛ mɔ suwa nɛ kafɔabi kpale lupu kamɛ a, ade aye Otidziwa Obi a lɛmɛ aatɛ fuwi ɛlalɛ lɛnyɛ mɔ suwa nɛ tite kamɛ a. 
MAT.12.41	Nɛ Kadzɛ Luwi a akũ ni, Ninivefɔ aayidza mɔ mi bidzi bɛkɔ mi kɔtɔ, kitonɛkĩ bɛdani tɔwɔlɛ kamɛ kĩ binu Baguma fɔlɛtsa a kĩ Yona lɛ a. Midã, litsedi deĩ nɛ awĩ kĩ lɛbɛ̃ Yona. 
MAT.12.42	Nɛ Kadzɛ Luwi a akũ a, Seba Lɛgãtsole aayidza ɛdza ɛkɔ mi kɔtɔ, kitonɛkĩ ɛtsã osi gɛlɛɛlɛ eto ye ɔmaĩ kamɛ ɛyatse Lɛgã Salomo nyansã fɔtsa katsa, ade mitɛ yĩ mido kĩ odi deĩ nɛ awĩ kĩ ɛbɛ̃ Salomo.
MAT.12.43	“Ntɛ hũhũ kpa nɛ́ nɛ oti kamɛ a, yanaatsã kamini nɛ fɔkɔ wɛlɛwa kawɛ kadzikɔ̃. Ntɛ ɛtána kadzikɔ̃ ni, 
MAT.12.44	yabi ye akũ kĩ, ‘Maamuniki nnaa yĩ kɔla kɔɛ a kamɛ.’ Foesũ ntɛ ɛyamɔ kĩ bɛyɔ koe kamɛ bɛlɔla koe kamɛ yededeede a, 
MAT.12.45	yanaa kanaakpã hũhũ kpa bɛbã evũkɔnɔ kĩ bideĩ ɔsĩ bɛbɛ̃ ye kayamɛna. Bawo nɛ oti a kamɛ kadzi nɛ awã, ade oti a kadzi kamɛ abu kade kaba ayekĩ fɔna nɛ kayɔkayi a. Ade aye fɔ́aya fɔkpa nviã bati kpa kĩĩ a.”
MAT.12.46	Kĩ Yesu kalɛ kɔdzɛla mɔ bati a, ɔma mɔ bawaɛ̃nyole yawo awã. Bɛdza nɛ kanya bɛwɛ kĩ balɛ kɔdzɛla mɔ ye. 
MAT.12.47	Foesũ bati a kamɛ odi bi ye kĩ, “Dã, ama mɔ awaɛ̃nyole amɛ dzɛ̃ nɛ kanya bawɛ kĩ balɛ kɔdzɛla mɔ nɔ.”
MAT.12.48	Yesu kpa be mbuayɛ kĩ, “Owei nyɛ mma? Bawei nyɛ nwaɛ̃ amɛ?” 
MAT.12.49	Ade eyo awɛ ɛtsa ye fɔtsa bakɔlɛnɛ a ɛlɛ kĩ, “Midã, ade mma mɔ nwaɛ̃ amɛ nɛ awĩ a! 
MAT.12.50	Odi nyɛ odi kĩ yakɛna nɛ Nda nɛ ode kawɛ akũ ni, ade ye nyɛ nwaɛ̃nyole, mɔ nwaɛ̃tsole mɔ mma a.”
MAT.13.1	Luwi mɔapɛ a, Yesu nɛ́ nɛ tɔtɔ kamɛ, ɛnadzi nɛ ɔwɔ lutubu baũ a abuĩ ɛkatsa fɔtsa. 
MAT.13.2	Ayekĩ bati kɔdabu a kĩ kɔtsɛna nɛ ye akũ a tɛ́nɛ kapɔ sũ ni, ewo edzi nɛ ɔkɔlɔ kamɛ ade kɔdabu a dza nɛ ɔwɔ abuĩ a.
MAT.13.3	Ɛtsa be fɔtsa pii nɛ fɔgbã kamɛ ɛlɛ kĩ, “Luwi a onyole odi naasã kamɔnɛ. 
MAT.13.4	Kĩ ɛkasã babi a nɛ kɔba kamɛ a, badi tɔ nɛ osi ɔɔwɛ̃ ade kɔvɔlabi yafila be bɛmɛna a. 
MAT.13.5	Babi a badi tɔ nɛ apibɔ akũ awã kĩ tite lɛpɔ́nɛ nɛ boe a anɛ. Babi a mɛ mɔatsɛ kitonɛkĩ tite a kamɛ tádzũ. 
MAT.13.6	Foesũ kĩ suwa yata a, sipila te tɛvɛ ade tivio mɔatsɛ a, kitonɛkĩ te tunu a tanaa kamɛ dzununu. 
MAT.13.7	Babi a badi tɔ nɛ fu tuwĩ kamɛ ade kĩ bɛmɛ bade a tuwĩ a bo anɛ tɛmɛna be. 
MAT.13.8	Lɛmɛ babɛbã tɔ nɛ tite wĩ akũ ade biwũ babi a, badi wũ babi ɔha, badi wũ babi aduesia, ade babɛbã lɛmɛ wũ babi taalɛ a.” 
MAT.13.9	Yesu wũna kĩ, “Oti a kĩ edeĩ sɔtɔ ni, etse!”
MAT.13.10	Ade fɔtsa bakɔlɛnɛ a ya nɛ Yesu sɛkɛ̃ bivia ye kĩ, “Nde sũ abi bati a fɔlɛtsa nɛ fɔgbã kamɛ?”
MAT.13.11	Yesu kpa mbuayɛ kĩ, “Mi kɔ̃ bɛnyɛ ode lɛgãkanyakɔ̃ a fɔlɛtsa kɔlawa kamɛ bɛtsa mi, lɛmɛ, bɛtányɛ foe kamɛ bɛtsa be. 
MAT.13.12	Kitonɛkĩ oti a kĩ edeĩ fɔtsa ni, baakpa ye fudi bibu lɔkɔa fɔpɔ fubu, lɛmɛ oti a kĩ ɛlá lɛtsama ni, baatɛ foe kabii a kĩ edeĩ a malo nɛ ye awɛ. 
MAT.13.13	Lɛtsa sũ a kĩ malɛ kɔdzɛla nɛ fɔgbã kamɛ mɔ be nyɛ kĩ bamɔ mɔ anɛ lɛmɛ baámɔ kayi ɔsũ, batse lɛmɛ baánu foe kayɔ. 
MAT.13.14	Foesũ Baguma Onukpɛ̃ Ɔnyɛnɛ Yesaya fɔlɛtsa a kĩ ɛlɛ eyi a ya nɛ foe kamɛ kĩ,
MAT.13.14	‘Bati kĩĩ aanu bibuki binu lɛmɛ bɛláanu foe kayɔ.
MAT.13.14	Ade baamɔ bibuki bɛmɔ́ lɛmɛ bɛláamɔ biyi ɔsũ.
MAT.13.15	Kitonɛkĩ be adzuni adã yududu,
MAT.13.15	ade be atɔ lánu kanu wĩ a,
MAT.13.15	ade bisua be anɛ a.
MAT.13.15	Ntɛ nnɛ́ aye ni, be anɛ aamɔ fɔkɔ,
MAT.13.15	be atɔ aanu,
MAT.13.15	be adzuni aanu fɔlɛtsa kayɔ!
MAT.13.15	Ade baadani bɛya nɛ yĩ sɛkɛ̃,
MAT.13.15	lɔkɔa ntsa be fɔsɔ!’
MAT.13.16	Lɛmɛ mi kɔ̃ Baguma hila mi! Mi anɛ amɔ ade mi atɔ lɛmɛ anu fɔkɔ a. 
MAT.13.17	Mabi mi nɛ ɔnɔkɔali kamɛ kĩ, Baguma onukpɛ̃ banyɛnɛ mɔ bati kpĩĩ pii wɛ mɔ ɔsĩ kĩ bamɔ lɛtsa a kĩ miamɔ a, lɛmɛ bɛtápuli bɛmɔ́ foe, ade bɛwɛ lɛmɛ kĩ banu lɛtsa a kĩ mianu a lɛmɛ bɛtánu foe.
MAT.13.18	“Foesũ finyaa mitse ĩnyɛ lɛgbã nɛ kamɔnɛ odunɛ akũ a kayɔ minu. 
MAT.13.19	Odi nyɛ odi kĩ yanu ode lɛgãkanyakɔ̃ fɔlɛtsa lɛmɛ yaánu foe kayɔ a, la ndɛ babi a kĩ biwula nɛ osi ɔɔwɛ̃ a. Oti Kpa a ayawãnɛ lɛtsa a kĩ bidu nɛ ye kamɛ a. 
MAT.13.20	Babi a kĩ bɛtɔ nɛ apibɔ akũ a nyɛ oti a kĩ ntɛ esila enu fɔlɛtsa a, yatɛ foe mɔatsɛ mɔ kawɔlɛ, 
MAT.13.21	lɛmɛ fɔáwo kanaa ye ɔwɔlɛ kamɛ dzununu, ade fɔábuna owi nɛ ye kamɛ a. Foesũ ntɛ ɔhau ĩye bati liti katomɛna ya nɛ fɔlɛtsa kĩĩ sũ ni, yamuniki liti mɔatsɛ. 
MAT.13.22	Babi a kĩ bɛtɔ nɛ fu tuwĩ kamɛ a nyɛ oti a kĩ yanu fɔlɛtsa a, lɛmɛ katinya kamɛ ɔhau mɔ akũ kana fɔtsa liti katomɛna anya fɔlɛtsa a akũ, foesũ fɔáwũ babi. 
