MAT.1.1	Gɛ́ ŋwɛ mabɔ ukwéne antɛ Jisɔs Kras mpyáne mfwa Dɛvid, Dɛvid mpyáne Abraham. 
MRK.7.6	Jisɔs ashuú ɛbwɔ́ meko aké, “Ɛnyú bɔɔ́ dembwɔ́lé. Asaya, muú ɛkpávé Ɛsɔwɔ abɔ́ alu cho gébégé agaré nyá mekomejɔɔ́ Ɛsɔwɔ atomé ne ɛnyú nnó,
MRK.7.6	‘Bɔɔ́ bina ánógé me ne ubɔ́meno
MRK.7.6	yɛ́mbɔ ánógé fɔ́ me né mmu matɔɔ́ bwɔ́ cháchá.
MRK.7.7	Ɛnógé ɛwé ɛbwɔ́ ánoge me, ɛlú detú
MRK.7.7	nénde ásɛle unó ukwene antɛ bwɔ́ álɛrege ɛké mabɛ ya!’”
MRK.7.8	Jisɔs aké ne ɛbwɔ́, “Ɛnyú désɛ mabɛ́ Ɛsɔwɔ, deke debélé ɛgbɛ ɛma nnó dénógé unó bi ákwaá álɛ́rege.”
MRK.7.9	Jisɔs afɛ mbɛ manjɔɔ́ aké, “Dewyá mati malɔ́malɔ́ mánlya mabɛ́ Ɛsɔwɔ nnó dékwɔ́légé le unó bi ukwene antɛ nyú álɛrége. 
MRK.7.10	Gébégé Mosis alɛrege mabɛ Ɛsɔwɔ, abɔ́ ajɔɔ́ aké, ‘Nógé mma wyɛ ne ntɛ wyɛ’. Ama jɔɔ́ ntó nnó, ‘Mbɔgé muú ajɔ́gé mejɔɔ́ mebo ne mma wuú yɛ́ ɛlé ne ntɛ wuú, ábɔ́ manwá ji.’ 
MRK.7.11	Yɛ́mbɔ né ɛgbɛ́ ɛwé nyú, dela gáre lé nnó, mbɔgé muú abɛgé ne genó ɛyigé ji akage poó mma wuú yɛɛ́ ɛbɛ́lé ntɛ wuú ne geji, ajɔɔ́ le nnó, ‘Ɛ́lé ɛchyɛ Ɛsɔwɔ.’ 
MRK.7.12	Wyɛmbɔ ne dégbɛɛ́ bɔɔ́ nnó ápoóge fɔ́ ammá bwɔ́ ne antɛ bwɔ́. 
MRK.7.13	Ɛnyú dépyɛ mabɛ́ Ɛsɔwɔ áfu sé yɛ́ genó wɔ́ getúgé unó bi ɛnyú délɛ́rege. Gɛ wyɛ gepɔ gema na me njɔɔ́ mbɔ gejamégé gabo alú ayi ɛnyú dépyɛ wyɛ na.”
MRK.7.14	Ne Jisɔs ama akuú njuné bɔɔ́ nnó áchwɔ́ ɛta wuú. Áchwɔ́ge aké, “Ɛnyú ako wuúge, ne yɛ́ndémuú ákaá genó ɛyigé njɔ́gé. 
MRK.7.15	Genó ɛyigé muú ányɛ́ge gejyɛ ji unɛ gepyɛ fɔ́ muú ábɛɛ́ debadeba né mbɛ ushuú Ɛsɔwɔ, ɛlé ɛyi getanege ji né meno.” 
MRK.7.16	Ne mbɔge muú awyá matu manwú áwú.
MRK.7.17	Jisɔs anérégé, ji ne baá utɔɔ́ bií ályá bɔɔ́ bimbɔ, áfɛ́ né mmu gepú, ne ɛbwɔ́ ágií ji ulá nekanemejɔɔ́ ɛnina. 
MRK.7.18	Jisɔs ashuú ɛbwɔ́ meko aké, “Ɛnyú delú defɔɔ́ pɔ́ ɛké atɛ? Ɛnyú dékaá wáwálé nnó dényɛgé menyɛɛ́ ákágé pyɛ fɔ́ ɛnyú debɛ́ debadeba. 
MRK.7.19	Menyɛɛ́ wu ákpéné fɔ́ né matɔɔ́ nyú, ájyɛ le né unɛ, ne átane né menyammyɛ.” Ndɛre Jisɔs ajɔɔ́ mbɔ ɛbyɛnnó ufɔɔ́ menyɛɛ́ uko ukwané manyɛɛ́.
MRK.7.20	Ne Jisɔs aké, “Ufɛré ɛbi utánege muú metɔɔ́ ne upyɛ muú abɛɛ́ debadeba né mbɛ ushuú Ɛsɔwɔ.” 
MRK.7.21	Ama jɔɔ́ aké, “Ufɛ́ré uboubo, ubɛlé tametame, ɛjo ne manwáné bɔɔ́. Unó bina uko utánege né metɔɔ́, 
MRK.7.22	mankwéné ulɔ, use, ne nchyɛ, mambwɔ́lege bɔɔ́, ɛŋmeŋmené, mansɔge metɔɔ́ nnó bɔɔ́ ábɔ́ unó ápwɔ ɛnyú, manchɔge bɔɔ́ mambɔ, nepa ne ukéŋkéné. 
MRK.7.23	Unó bina uko utanege né metɔɔ́ ne ubi ne úpyɛɛ́ muú ábɛɛ́ debadeba né mbɛ ushuú Ɛsɔwɔ.”
MRK.7.24	Ne Jisɔs atané afɛ́ né gebagé mewaá bɔɔ́ Jus ɛyi gelú kwɔ́kwɔ́lé ne melɔ Tiya ne Sidɔn. Jisɔs ajyɛ kpɛ mmu gepú gefɔ ne akɛ́légé fɔ́ nnó muú akaá nnó ji alu ɛfɛɛ́, yɛ́mbɔ meti ɛpɔ́ ɛwe ji ákáge bií. 
MRK.7.25	Mendée fɔ ayi maá wuú yi mendée awya meló nchyɛ, áwuúgé nnó Jisɔs alu ɛfɛɛ́, atané tɛ́nétɛ́né achwɔ́ tó manó né mbɛ ushuú wuú. 
MRK.7.26	Mendée yina apɔ́ fɔ́ muú Jus alu muú Grek ne ábɔ́ ábyɛ́ ji títí né gebagé mewaá Siriya né Sirofɔnishya. Anɛ Jisɔs mmyɛ nnó aféré meló nchyɛ yimbɔ né mmyɛ maá wuú. 
MRK.7.27	Yɛ́mbɔ Jisɔs aké, “Gɔ ɛsé debɔ mbɛ dechyɛ baá melɔ menyɛɛ́, ɛlɔ́mé fɔ́ nnó muú asɛ menyɛɛ́ ayi baá melɔ ányɛ́ achyɛɛ́ bɔ mammyɛ.” 
MRK.7.28	Ne mendée yimbɔ ashuú ji meko aké, “Ata, yɛ́mbɔ bɔ mammyɛ ányɛɛ́ uchɔchɔgéré ɛbi utánege né ɛkpókpógélé ukwéne mme gébégé ambané áke ányɛɛ́ menyɛɛ́.”
MRK.7.29	Jisɔs aké ne ji, “Ɛlé wáwálé, chó, ɔgɛne nyɛ ndɛre meló nchyɛ yimbɔ atané mɛ́ maá wyɛ mmyɛ.”
MRK.7.30	Gébégé mendée yimbɔ akéré né gepú jií, agɛ́ maá wuú ndɛre ábɛlé né ukwɔ ne meló nchyɛ atané mɛ́ ji mmyɛ.
MRK.7.31	Ne Jisɔs atánege melɔ Tiya akoó né meti Sidɔn afɛ́ né ɛbɛɛ́ mega Galilií. Afɛ́ né mme Dekapolis, mme malɔ afya. 
MRK.7.32	Bɔɔ́ fɔ áchwɔ́ ne mende ayi alu matu gbɛ́gbɛ́ ne akágé jɔɔ́ fɔ mejɔɔ́. Ɛbwɔ́ ánɛ Jisɔs mmyɛ nnó anɛré ji ɛbwɔ mmyɛ. 
MRK.7.33	Jisɔs asɛ ji né metɔɔ́ metɔɔ́ gejamégé bɔɔ́, afɛ́ né melu ɛwé ɛlu bibií ɛfɛɛ́ ne afyɛ denɔré amu né matu mende yimbɔ, akpó matyɛ ne ata nenɔme nií. 
MRK.7.34	Ne Jisɔs apɛ amɛ mfaánebuú ne ashuúle gefere, ajɔɔ́ né meko aramaic aké, “Ɛffata” ula úlú nnó, “Néné”.
MRK.7.35	Tɛ́nétɛ́né mende yimbɔ alɔ manwu ne alɔ ntó manjɔɔ́ mejɔɔ́ ayi álá pɔ́ se ne ɛfwyale. 
MRK.7.36	Ne Jisɔs akwelé ɛbwɔ́ mbeé nnó ɛ́kagé ágaré muú. Yɛ́mbɔ ndɛre ákwelé ɛbwɔ́ mbeé dɔɔ́, mbɔ nto ne bɔɔ́ ágarege abya wuú ájyɛ. 
MRK.7.37	Ɛbwɔ́ ako abɔ, álá manó mekpo fuú ájɔge áké, “Yɛ́ndé genó ɛyige ji apyɛɛ́ gelú gelɔ́gelɔ́.” Apyɛ bɔɔ́ matu gbɛ́gbɛ́ áwuú ne abi álá jɔge, ájɔge.
MRK.8.1	Ɛwyage gejamégé bɔɔ́ gema chwɔ́ nɔ́ Jisɔs mme. Bɔɔ́ bina abɔ́ akpá fɔ́ menyɛɛ́ ayi ányɛɛ́ wɔ́. Ne Jisɔs akuú baá utɔɔ́ bií ne aké, 
MRK.8.2	“Meshwɛ apyɛɛ́ me ne bɔɔ́ bina, néndé ɛbwɔ́ álé mbɔ ndɔ ɛlɛɛ́ ne me ayi álá ányɛɛ́ yɛ genó fɔ́ wɔ́. 
MRK.8.3	Mbɔgé ngarege ɛbwɔ́ nnó ájyɛɛ́ unɛ mesa, átɔ́ɔ né meti gétúgé abifɔ nekɛne bwɔ́ néshya.”
MRK.8.4	Baá utɔɔ́ bií ágií ji áké, “Fa né mashwɔne muú agɛne mbɔ menyɛɛ́ ɛfɔ́ ayi ákwanege bɔɔ́ bina ako?”
MRK.8.5	Ne Jisɔs agií ɛbwɔ́ aké, “Ɛnyú dewyaá ntoó brɛd ɛnií ɛfɛɛ́”? Áké, “Dewyaá ntoó brɛd ɛ́kénéama.”
MRK.8.6	Ɛwyage Jisɔs agaré bɔɔ́ bimbɔ aké, “Jwɔ́lege mme”. Ne asɛ́ ntoó brɛd ɛyimbɔ ɛ́kénéama áchyɛge matame mbaá Ɛsɔwɔ, agya, achyɛɛ́ baá utɔɔ́ bií nnó ákáré mbaá bɔɔ́ bina, ne ápyɛ wyɛmbɔ. 
MRK.8.7	Ne ɛbwɔ́ ábɔ́ awya ntó ukɛkɛ baá meshuú. Jisɔs asɛ achyɛɛ́ matame mbaá Ɛsɔwɔ né uno bi, agaré baá utɔɔ́ bií nnó ákáré mbaá bɔɔ́. 
MRK.8.8	Yɛ́ndémuú ányɛɛ́ ágbeé ne baá utɔɔ́ Jisɔs ánywéré uba bi ulaá ugbeé usá ukeneama. 
MRK.8.9	Mpa bɔɔ́ bi ányɛ́ alú dɛlé bɔɔ́ anií. Ánérégé Jisɔs aké ákere meso né upú bwɔ́. 
MRK.8.10	Tɛ́nétɛ́né yimbɔ Jisɔs ne baá utɔɔ́ bií ákpɛ mmu ɛ́kpée áchyaá áfɛ́ né gebagé mewaá ɛyigé akuú nnó Dalmanuta.
MRK.8.11	Bɔɔ́ Farasi fɔ ábɔ́ áfɛ́ mbaá Jisɔs álɔ manyɛ́ mbeé ne ji. Ɛbwɔ́ abɔ akɛle meti mamua ji. Ágií ji áké, “Pyɛ ufélekpa ɛse dégɛ́, manlɛre nnó Ɛsɔwɔ ne atɔ́me wɔ.” 
MRK.8.12	Jisɔs awuúgémbɔ, ashulé gefere ne agií ɛbwɔ́ aké, “Ulannó njyɛ ɛnina fi nekɛlege ufélekpa? Ngarege ɛnyú wáwálé nnó yɛ́ úma degɛné fɔ́.”
MRK.8.13	Ájɔgé mbɔ alya ɛbwɔ́, áma jyɛ kpɛ mmu ɛkpeé, achya afɛ́ ɛgbɛ gentógé mewaá.
MRK.8.14	Baá utɔɔ́ Jisɔs ábɔ́ ájinte mankpa gejamégé brɛd ne ábɔ́ áwya le maá ntó brɛd ama né ɛkpeé. 
MRK.8.15	Jisɔs akwelé ɛbwɔ́ mbeé aké, “Sɛge gébé ne yis bɔɔ́ Farasi ne mfwa Hɛrɔd.”
MRK.8.16	Ne ɛbwɔ́ álɔ manjɔgé ɛbwɔ́ ɛbwɔ́ áké, “Ndɔfɔ ajɔ́gé mbɔ lé délá depɔ́ yɛ́ ne brɛd?”
MRK.8.17	Jisɔs akaá genó ɛyigé ɛbwɔ́ ajɔgé ne agií aké, “Ulannó ɛnyú dejɔge mechɔ brɛd ayi ɛnyú dela pɔ́ ne ji? Nnó ɛnyú delú daŋkaá ula mechɔ ɛwé? Matɔɔ́ nyú álu wyɛ séséleé? Délú daŋkaá gefɔ́ge muú ayi me nlu? 
MRK.8.18	Ɛnyú déwyaá amɛ dégɛne fɔ́ mbaá? Ɛnyú déwyaá matu déwuú fɔ́? Dékágé fɛre fɔ́ depɔ tiré na? 
MRK.8.19	Gébégé nkare ntoó brɛd ɛ́ta mbaá bɔɔ́ dɛle bɔ́ átáa ányɛɛ́, ayi ábɔ́ álaá gbeé usa unií?” Ne ɛbwɔ́ áshuú ji meko aké, “Usá úfyaneupeá.”
MRK.8.20	Jisɔs ama agií ɛbwɔ́ nnó, “Ne gébégé nkaré ntó, ntoó brɛd yimbɔ ɛ́kénéama mbaá bɔ dɛlé bɔɔ́ ani ányɛɛ́, ayi alaá ɛnyú dénywere nyá, álaá usá unií?” Ɛbwɔ́ áshuú meko áké, “Usá ukeneama.”
MRK.8.21	Jisɔs agií ɛbwɔ́ ake, “Ɛnyú degɛ nkane nsɛle baá nto brɛd nchyɛɛ́ gejame bɔɔ́ menyɛɛ́ wɔ́, tɛ fi, délu daŋkaá gefɔ́gé muú ɛyi me nlu?”
MRK.8.22	Gébégé Jisɔs ne baá utɔɔ́ bií ákwɔne né Bɛtsada, bɔɔ́ fɔ ásɛ muú amɛ nónómé áfɛ́ ne ji mbaá Jisɔs ánɛ ji mmyɛ nnó atá ji. 
MRK.8.23	Jisɔs agbaré ji ɛbwɔɛbwɔ áfɛ́ mekpo meti, ɛfɛɛ́ ne akpó ji matyɛ amɛ. Anɛré ji amu né amɛ, agií ji aké, “Nnó ɔgɛne mbɔ genó fɔ́?”
MRK.8.24	Mende yimbɔ apɛ amɛ mfaá aké, “Ngɛne bɔɔ́ yɛ́mbɔ álu lé ɛké unɔɔ́ ɛbi ukɛne ugyage.”
MRK.8.25	Ama ata ji amu né amɛ nana mende yimbɔ aké apɛle amɛ ji ánené alɔ mángɛne mbaá, ne agɛne yɛ́nde genó cháŋéné. 
MRK.8.26	Jisɔs agare nnó, “Cho mmu gepú jyɛ, ɛkagé ɔkere né melɔ.”
MRK.8.27	Jisɔs ne baá utɔɔ́ bií ájyɛ́ né baá malɔ́ fɔ kwɔ́kwɔ́lé ne melɔ Kaisaria Filipi. Ndɛre ɛbwɔ́ akɛne ájyɛ, agií baá utɔɔ́ bií aké, “Ndé gefɔgé muú ayi bɔɔ́ ájɔɔ́gé nnó me nlu?”
MRK.8.28	Baá utɔɔ́ bií áshuú ji meko áké, “Bɔɔ́ bifɔ áke ɔlu Jɔn menwyaá bɔɔ́ manaá Ɛsɔwɔ, abifɔ áke ɔlu Ɛlija ne abifɔ áke ɔlu muú ɛkpávé Ɛsɔwɔ ama.”
MRK.8.29	Ajɔ́gémbɔ, Jisɔs agií ɛbwɔ́ aké ne “Yɛ́ ɛnyú ambɔɔ́ deké me nlu waá”? Pita ashuú ji meko aké, “Wɔ ɔlu Muú yi Ɛsɔwɔ akweré ji ɛlá gefwa.”
MRK.8.30	Jisɔs akwelé baá utɔɔ́ bií mbeé nnó ɛ́kágé ágaré muú fɔ, muú ayi ji alu.
MRK.8.31	Jisɔs alɔ mangaré nnó, Maá Ntɛ Mekwaá abɔ́ mangɛ́ gejamégé ɛfwyale, ɛle ákpakpa melɔ, ne anɔɔ́ baá bi ápyɛ upɛ ne anlɛré mabɛ Ɛsɔwɔ, áshya nyɛ ji, áwáne nyɛ ji. Yɛ́mbɔ ndɔ ɛlɛɛ́ ɛkwɔnegé akwilege nyɛ né negbo. 
MRK.8.32	Ne Jisɔs agaré ɛbwɔ́ mechɔ ɛwe gbɔgɔnɔ. Ajɔ́ge mbɔ, Pita asɛ ji átɛné ɛgbɛ. Alɔ manshule ji ndo nnó ajɔge se gefɔge mechɔ ɛwémbɔ. 
MRK.8.33	Yɛ́mbɔ Jisɔs abwɔlé ushu apɛ baá utɔɔ́ bií ne ashule Pita ndo aké ne ji, “Kwilé me mbɛ ushu danchɔmeló. Ɔfɛ́rege unó nkane mekwaá, ɔfɛrégé fɔ́ ɛké Ɛsɔwɔ.” 
MRK.8.34	Ne Jisɔs akuú gejamégé bɔɔ́ bimbɔ ne baá utɔɔ́ bií, ajɔɔ́ ne ɛbwɔ́ aké, “Yɛ́ mbɔgé muú ɛnyú akɛlege mambɛ menkwɔle wa, abɔ manjinte gemɛ jií akpa gekwa ji akame yɛ negbo ne akwɔ́légé me. 
MRK.8.35	Mbɔgé muú akɛlege mampoó geŋwá jií ɛbyɛ́nnó aníige nyɛ geji, ne mbɔgé muú akamégé manchyɛɛ́ geŋwá jií getú ya ne abya melɔ́mélɔ́, apomé nyɛ. 
MRK.8.36	Ndé nsá ayi muú ábɔ́ɔ, mbɔgé abɛge ne unó mme uko ne aníige geŋwá jií? 
MRK.8.37	Ndé genó muú ákage bɔ achyɛ mankwɔré ne geŋwá jií? 
MRK.8.38	Kaáge nnó mbɔgé mmyɛ́ ɛ́gbóo muú gétuú ya ne mekomejɔɔ́ wa né mbɛ ushu njyɛ ɛniné na, ɛniné nétií meso ne Ɛsɔwɔ, népyɛɛ́ gabogabo, mbɔntó ne Maá Ntɛ Mekwaá mmyɛ ɛgbóo nyɛ́ ji mansɛ muú yimbɔ ndɛre muú wuú gébégé aké achwɔ́ ne makiɛ́nné ukpea jií ne ɛnoge ɛwé Ntɛ wuú achyɛɛ́ ji.”
MRK.9.1	Jisɔs ama jɔɔ́ ne bɔɔ́ bimbɔ aké, “Ngarege ɛnyú wáwálé nnó, gentɔgé bɔɔ́ álú mbɔ fáná, abi álá gbóo fɔ kpaá tɛ ágɛne nyɛ gefwage Ɛsɔwɔ ndɛre gechwɔɔ́ ne ɛshyɛ wuú.”
MRK.9.2	Ndɔ ɛ́kéné ɛ́kógé Jisɔs asɛ Pita, Jɛmsi ne Jɔn ákwɔ́ áfɛ́ mfaá Mekwɛ fɔ kpaá. Ájyɛge ájwɔlé ɛbwɔ́ ɛbwɔ́ áke ápɛle menyammyɛ Jisɔs alɔ manshwanege né mbɛ ushu bwɔ́. 
MRK.9.3	Gefɔɔ́ ɛyigé mandeé ji akpea yɛ muú ayi akage shwɔne áji nnó ábɛ́ pópó mbɔ apɔ́, yɛ ɛ́bɛ́lé ne uka. 
MRK.9.4	Áké ápɛ́le ágɛ́ Ɛlija ne Mosis ákwɔ fwɛ́ɛ ájɔɔ́ge mejɔɔ́ ne Jisɔs. 
MRK.9.5	Pita ajɔɔ́ ne Jisɔs aké, “Ata, ɛlɔ́ ndɛre ɛsé délú fa, gɔ́ ɛse détɛ́né óto úlɛɛ́, géma ɛta wyɛ, géma ɛta Mosis, géma ɛta Ɛlija.” 
MRK.9.6	Pita akágé se genó ɛyigé ji ajɔ́ɔge néndé ɛfɔ́ ɛ́kwɔ́ ɛbwɔ́ matɔɔ́ dɔɔ́.
MRK.9.7	Ndɛre ajɔɔ́ge mbɔ, áké ápɛlé gekó gekweré ɛbwɔ́ mme ne meko atané né mmu gekó ɛyigembɔ aké, “Gɛ́ge maá wa ayi mbwi metɔɔ́ na, wuúge ne ji.” 
MRK.9.8	Tɛ́nétɛ́né yimbɔ áké amagé pɛ ágɛ sé yɛ muú fɔ wɔ́ ɛkosé Jisɔs jimbií ne ɛbwɔ́ ambɔɔ́.
MRK.9.9	Ndɛre ɛbwɔ́ áshulege mékwɛ́ ájyɛɛ́, Jisɔs áji ɛbwɔ́ ɛtu aké ɛ́kagé ágáré muú fɔ genó ɛyige ɛbwɔ́ ágɛné kpaá tɛ ji Maá Ntɛ Mekwaá akwilége né negbo.
MRK.9.10	Áwúgé depɔ tire Jisɔs ajɔɔ́, ábele wyɛ́ détí né mmu matɔɔ́ bwɔ́, ne ágiíge atɛ nkane ulaá mankwilé né negbo útɛné. 
MRK.9.11	Ne baá utɔɔ́ Jisɔs bimbɔ ágií ji áké, “Ulannó ánlɛré mabɛ́ Ɛsɔwɔ ájɔɔ́ áké Ɛlija abɔ́ mambɔ mbɛ achwɔ́ ne Muú yi Ɛsɔwɔ akwere ji ɛla gefwa?”
MRK.9.12	Ɛfɛɛ́ Jisɔs akamé aké, “Ɛ́lú wáwálé nnó, Ɛlija abɔ́ mambɔ mbɛ achwɔ́ akwyɛɛ́ unó uko abelé, yɛ́mbɔ ulannó ásáme ntó né mmu ŋwɛ Ɛsɔwɔ nnó, ‘Maá Ntɛ Mekwaá abɔ mangɛ gejamégé ɛfwyale ne ápaá nyɛ ji, áma shyá jí?’ 
MRK.9.13	Yɛ́mbɔ ngárege ɛnyú wáwálé nnó, Ɛlija achwɔ́ mɛ́ ne bɔɔ́ ápyɛ gabo ne ji nkane ɛjií ɛbwɔ́ wyɛ ndɛre abɔ asamé né mmu ŋwɛ Ɛsɔwɔ atomé ne ji.”
MRK.9.14	Ɛbwɔ́ ákérégé meso, ágɛ gejamégé bɔɔ́ ndɛre ánɔɔ́ baá utɔɔ́ abifɔ né mme ánlɛre mabɛ Ɛsɔwɔ anyɛɛ́ mbeé ne ɛbwɔ́. 
MRK.9.15	Ne bɔɔ́ bimbɔ áké agɛ́ne Jisɔs ácháné ala ámɛ makpo faŋ álomé ájyɛ táme ji. 
MRK.9.16	Jisɔs agií ánlɛré mabɛ Ɛsɔwɔ aké, “Nde ɛnyú denyɛɛ́ mbeé ne ɛbwɔ́?”
MRK.9.17	Ne mende fɔ né geluagé njune bɔɔ́ bimbɔ aké, “Ménlɛré nchwɔ́ ne maá wa né ɛta wyɛ ayi meló nchyɛ apyɛ́ ji álá jɔ́gé mejɔɔ́. 
MRK.9.18	Yɛ́ndégébé meló nchyɛ yimbɔ akwilégé ji mmyɛ, apyɛ ji akwe mme, génfwéné gétánege ji meno, anyɛ́ máŋɛ́né ala nɔ́geé. Nnɛ baá utɔɔ́ byɛ mmyɛ nnó áféré meló nchyɛ yimbɔ, ápulé ɛ́pwɔ.”
MRK.9.19	Jisɔs ashuú ɛbwɔ́ meko aké, “Ɛ ɛ́ ndé gefɔge njyɛ ɛni nelá fyɛɛ́ metɔɔ́ ne Ɛsɔwɔ? Nkoge mbɔ metɔɔ́ ne ɛnyú nnó? Mmage bɛ́ ne ɛnyú ndɔ ɛnií ne défyɛɛ́ matɔɔ́ ne Ɛsɔwɔ? Chwɔ́ge me ne maá yimbɔ.”
MRK.9.20	Áchwɔ́ ne maá yimbɔ mbaá Jisɔs.
MRK.9.20	Ndɛre meló nchyɛ yimbɔ agɛ́né Jisɔs, apyɛ maá yimbɔ akwé mme achuú gbok! gbok, genfwéné getanege meno. 
MRK.9.21	Jisɔs agɛ́gé mbɔ agií ntɛ maá yimbɔ aké, “Nemeé niné na nébɛle mɛ́ ji mmyɛ nnó?”
MRK.9.21	Mende yimbɔ aké, “Nelɔ ji tɛ dembáné.” 
MRK.9.22	“Meló nchyɛ yimbɔ ákɛ́lege manwá ji, apyɛ́ ji akwéne gébé ɛyigé fɔ né mewɛ gebé ɛyifɔ né nnyi, Áta gɛ́ ɛsé meshwɛ ɔpoó ɛsé mbɔgé ɔkage pyɛ.”
MRK.9.23	Jisɔs agií ji aké, “Ndé genó wɔ ɔ́jɔ́ge! Nnó mbɔgé ɔkage pyɛ? Ɛsɔwɔ apyɛ yɛ́ndégenó ɛyi gejwɛregé ne muú ayi áfyɛɛ́ metɔɔ́ ne ji.”
MRK.9.24	Ntɛ maá yimbɔ ala tɛ́nétɛ́né aké, “Me nkamé ne Ɛsɔwɔ, Ata, poó me nkame ne metɔɔ́ ɛma.”
MRK.9.25	Gébégé Jisɔs agɛ́né nnó gejamégé bɔɔ́ áboó áchwɔɔ́ ji mmyɛ, anyá meló nchyɛ yimbɔ aké, “Wɔ mbú ne álú, nnyá wɔ tánege ji mmyɛ. Ɔjyɛ́ mbɔ ɔkerege sé.”
MRK.9.26	Meló nchyɛ yimbɔ apyɛ maá yimbɔ akalé akwé mme ne alé táne ji mmyɛ. Átánégé, maá yimbɔ ala mme nyamé ɛké mewu muú ne bɔɔ́ ágɛ́gé mbɔ áfɛ́rege nnó ágbó. 
MRK.9.27	Jisɔs agbaré ji ɛbwɔ, abwɛɛ́ ji akwilé tɛné.
MRK.9.28	Ne Jisɔs ne baá utɔɔ́ bií ákerégé mmu, ágií ji bibií aké, “Ulannó ne ɛsé dépulé meló nchyɛ yimbɔ mambuú apwɔ?”
MRK.9.29	Jisɔs agare ɛbwɔ́ aké, wyɛ lé mmyɛmenɛne ne ɛkage fɛré gefɔgé meló nchyɛ yina. 
MRK.9.30	Jisɔs ne baá utɔɔ́ bií ályá mbaá yimbɔ ákoó koóge né gebagé mewaá Galilií. Ji ákɛ́légé fɔ́ nnó muú akaá mbaá ayi ji alú. 
MRK.9.31	Nénde ji abɔ́ alɛrege ɛbwɔ́ nnó, “Meso gébé áchyɛ́ge nyɛ Maá Ntɛ Mekwaá né amu bɔɔ́ nchyɛ, áwáne nyɛ ji. Yɛ́mbɔ ndɔ ɛlɛɛ́ ɛkwɔnégé, ji akwilege nyɛ né negbo.”
MRK.9.32	Yɛlé ji agaré neka ɛni, baá utɔɔ́ bií ákaá ula wɔ́, ne ámá áfɔ́ɔ mangií ji ula neka ɛníné na.
MRK.9.33	Ɛbwɔ́ ákwɔ́négé né melɔ Kapanɔm, ájyɛ kpɛ né gepú ɛyige ɛbwɔ́ ájwɔle. Jisɔs agií baá utɔɔ́ bií aké, “Ndé ɛnyú denyɛ́ nyɛ mbeé né meti gébégé dechwɔɔ́.”
MRK.9.34	Áwúgé mbɔ, ákwené nyámé getúgé ɛbwɔ́ ábɔ́ ányɛɛ́ mbeé mechɔ́ dékpakpa. 
MRK.9.35	Ájwɔ́légé ka, akuú baá utɔɔ́ bií makpo áfyaneápeá, áchwɔge, ajɔɔ́ ne ɛbwɔ́ aké, “Mbɔge muú akɛlege mambɛ́ muú kpaá né geluage nyú, abɔ́ mambɛ ndɛre maá defwɛ́ akpáné defwɛ mbaá abifɔ.” 
MRK.9.36	Ajɔge mbɔ, akuú maá fɔ kɔɔ́ achwɔ́ tɛ́né né metɔɔ́ metɔɔ́ ɛbwɔ́, akpa maá yimbɔ né amu jií ajɔɔ́ ne baá utɔɔ́ bií aké, 
MRK.9.37	“Yɛ́ndémuú ayi akamege mampyɛ galɔ́gálɔ́ ne mamane kɔɔ́ nkane ayina né mabɔ ma, ɛbyɛnnó apyɛmbɔ lé ne me ne yɛ́ndémuú ayi apyɛ galɔ́gálɔ́ ne me ntó, ɛbyɛnnó apyɛmbɔ lé ne ntɛ waá yi átɔmé me.”
MRK.9.38	Ne Jɔn akuú Jisɔs aké, “Ménlɛré, ɛsé degɛ́ mende fɔ asɛle mabɔ myɛɛ́ aferege bɔɔ́ aló nchyɛ né mmyɛ. Degɛ́gémbɔ, dégbɛ́ ji gétúgé álá pɔ́ fɔ́ né geluá gesé.”
MRK.9.39	Jisɔs ajɔɔ́ ne ɛbwɔ́ aké, “Dégbɛgé fɔ gefɔgé muú yimbɔ. Néndé yɛ muú yi asɛle mabɔ ma apyɛɛ́ ufélekpá ne ɛ́wyagé ajɔge gabo getú ya apɔ́, 
MRK.9.40	nénde muú yi álá paá ɛsé, alu awesé. 
MRK.9.41	Ngarege ɛnyú wáwálé nnó yɛ muú ayi achyɛge ɛnyú ŋkɔ manaá né mabɔ ama gétúgé délu bɔɔ́ ba ayi álá abɔɔ́ nyɛ nsá apɔ́.” 
MRK.9.42	Jisɔs ámá jɔɔ́ aké, “Yɛ́ndémuú ayi apyɛɛ́ mamane kɔɔ́ nkane ayina ayi áfyɛɛ́ metɔɔ́ ne me nnó apyɛ gabo, ɛ́lú galɔ́gálɔ́ nnó áshií ji gekpɛ́kpɛ́gé ntaá né gemɛ, áŋmé ji né gentoógé ɛbɛɛ́ mega. 
MRK.9.43+MRK.9.44	Ama jyɛ mbɛ aké, mbɔgé ɛbwɔ wyɛ ɛpyɛ́ wɔ nnó ɔkwéné mabɛ́ Ɛsɔwɔ, sɔ́ ɛwu ɔfómé, ɛ́lú galɔ́gálɔ́ nnó ɔkpɛ né geŋwá gechúchúle ne nnó ɔkpɛ né ntoné mewɛ ɛwé ɛ́lá nómégé ne amu apea. 
