MAT.1.1	Inan binndi kollooji inɗe maamiraaɓe Iisaa Almasiihu, dimaaɗo ley lenyol Daawda, taan Ibrahiima:
MAT.24.45	—Ndelle, moy woni golloowo koolniiɗo, jom hakkillo? Oon woni mo joomum halfini gollooɓe muuɗum faa hokka ɗum'en nyaamdu muɓɓen e wakkati kaanɗo. 
MAT.24.46	Barke woodanii golloowo mo joomum warti, tawi ina waɗa no yamiraa noon. 
MAT.24.47	Goonga kaalanammi on: joomiiko oon halfinan mo jawdi muuɗum fuu. 
MAT.24.48	Ammaa si golloowo oon wo bonɗo, wi'ii ley ɓernde mum joomum ɓooyan wartaay, 
MAT.24.49	de fuɗɗi ina fiya banndiraaɓe muuɗum gollooɓe, ina nyaamda ina yarda e sulotooɓe, 
MAT.24.50	ndeen kaa, joomiiko wartan nyalooma mo o anndaa e wakkati mo o miilaaki. 
MAT.24.51	Joomiiko oon jukkoto mo jukkungo naawngo, watta mo hakkunde munaafiki'en. Toon bojji e ŋerƴundurde nyiiƴe ngoni.
MAT.25.1	—Inan no laamu Laamɗo nanndi: wo hono surbaaɓe sappo hooƴuɓe fitillaaji muɓɓen de njehi faa njaɓɓowoo ɓaŋuɗo.
MAT.25.2	Njoyo maɓɓe ngalaa hakkillo, njoyo maɓɓe du ina ngoodi hakkillo. 
MAT.25.3	Ɓe ngalaa hakkillo ɓeen kooƴi fitillaaji tawi njooɓaaki nebbam. 
MAT.25.4	Jom'en hakkillo ɓeen kaa njaadi paali nebbam e fitillaaji muɓɓen. 
MAT.25.5	Nde ɓaŋuɗo oon jenngunoo waraay ndeen, ɓe fuu ɓe ŋoŋi, ɓe ɗaanii. 
MAT.25.6	Faa hakkunde jemma, ƴeewnaango nanaa, wi'i: «Inan ɓaŋuɗo oon! Njaltee! Njaɓɓowee mo!» 
MAT.25.7	Ndeen surbaaɓe ɓeen fuu pini, ina moƴƴina fitillaaji muɓɓen. 
MAT.25.8	Surbaaɓe ɓe ngalaa hakkillo ɓeen mbi'i jom'en hakkillo ɓeen: «Njeɗee min nebbam mooɗon ɗaam, sabo inan fitillaaji amin ina nyifa.» 
MAT.25.9	Jom'en hakkillo ɓeen njaabii, mbi'i: «Gasataa, sabo ko min njogii ɗuum heƴataa en, en fuu. Njehee to sonnooɓe, coodowon!» 
MAT.25.10	Ko ɓe njehi faa ɓe coodowa nebbam ɗuum, ɓaŋuɗo oon yottii. Segilinooɓe ɓeen naatidi e makko e ley suudu weltaare nduun, de dammbugal ngaal ommbaa. 
MAT.25.11	Faa ɓooyi seeɗa, surbaaɓe heddiiɓe ɓe cegilaaki ɓeen ngarti, keddii ina nodda, ina mbi'a: «Joomii amin, joomii amin, omtan min!» 
MAT.25.12	Ammaa o jaabii ɓe, o wi'i: «Goonga kaalanammi on: mi anndaa on.»
MAT.25.13	Iisaa sakitii wi'i:
MAT.25.13	—Kakkilon ndelle, sabo on anndaa nyalaande naa wakkati mo Ɓii Neɗɗo wartata oon.
MAT.25.14	—Laamu Laamɗo ina nanndi e gorko cegiliiɗo faa dilla, noddi maccuɓe mum, de halfini ɗum'en jawdi mum. 
MAT.25.15	O halfini gooto maɓɓe mutakal kaŋŋe keme joy, goɗɗo keme ɗiɗi, tataɓo oon hemre, mono fuu ko fotata e muuɗum. Caggal ɗuum, o dilli. Wakkati oon ni, 
MAT.25.16	kalfinaaɗo mutakal kaŋŋe keme joy oon yehi luumorii ɗum, heɓi mutakal keme joy goɗɗe. 
MAT.25.17	Jom keme ɗiɗi oon du waɗi noon, tinii kam du mutakal keme ɗiɗi goɗɗe. 
MAT.25.18	Ammaa jom mutakal hemre oon yehi wasowi ngayka, uwi toon ko joomum oon hokkunoo ɗum.
MAT.25.19	Faa ɓooyi caggal majjum, joomii ɓe oon warti, noddi ɓe, faa ndaara hiisa ceede ɗeen. 
MAT.25.20	Kalfinaaɗo mutakal kaŋŋe keme joy oon wari, waddi mutakal keme joy goɗɗe, wi'i: «Joomam, a halfinii kam mutakal keme joy. Ndaar, mi tinorake ɗe mutakal keme joy goɗɗe.» 
MAT.25.21	Joomiiko oon wi'i mo: «Gasii. Wo a maccuɗo lobbo, koolniiɗo. Saabe a hoolnake e ko famɗi, mi halfinte ko heewi. War naatu faa ceyodoɗen!» 
MAT.25.22	Kalfinaaɗo mutakal keme ɗiɗi oon wari kam du, wi'i: «Joomam, a halfinii kam mutakal kaŋŋe keme ɗiɗi. Ndaar, mi tinorake ɗe mutakal keme ɗiɗi goɗɗe.» 
MAT.25.23	Joomiiko oon wi'i mo: «Gasii. Wo a maccuɗo lobbo, koolniiɗo. Saabe a hoolnake e ko famɗi, mi halfinte ko heewi. War naatu faa ceyodoɗen!» 
MAT.25.24	Kalfinaaɗo mutakal kaŋŋe hemre oon wari kam du, wi'i: «Joomam, miɗo anndunoo a gorko tiiɗuɗo alhaali: aɗa taƴa ko a aawaay, aɗa hawrundura to a sarkaay aawdi. 
MAT.25.25	Saabe ɗum, kulumi, njahumi iroymi kaŋŋe maa oon. Haya, inan giney maa.» 
MAT.25.26	Joomiiko jaabii mo, wi'i: «Maccuɗo bonɗo, jaayɗo! Aɗa anndunoo miɗo taƴa ko mi aawaay, miɗo hawrundura to mi saakaay aawdi. 
MAT.25.27	Ndelle, aɗa haannoo wattude kaŋŋe am oon to tinooɓe buuɗi, faa danya ko tinoriimi si mi wartii. 
MAT.25.28	Joonin, teetee mo mutakal hemre kaŋŋe oon, kokkon ɗum jom mutakal kaŋŋe keme joy oon. 
MAT.25.29	Sabo jogiiɗo fuu ɓeydante faa heewa. Ammaa mo walaa oon, fay seeɗa ko jogii ɗuum teetete. 
MAT.25.30	Maccuɗo jaayɗo oon kaa, paɗɗee ɗum yaasin e ley nimre ndeen. Toon bojji e ŋerƴundurde nyiiƴe ngoni.»
MAT.25.31	—Nde Ɓii Neɗɗo wardi e teddeengal muuɗum, kam e maleyka'en fuu, jooɗoto e jooɗorgal laamu muuɗum teddungal ngaal. 
MAT.25.32	Yimɓe adunaaru ɓeen fuu kawrundurte yeeso makko, o sennda ɓe hono no duroowo senndirta baali e be'i ni: 
MAT.25.33	o heedina baali ɗiin e junngo makko nyaamo, o heedina be'i ɗiin e junngo makko nano. 
MAT.25.34	Ndeen Kaananke oon wi'ata wonɓe junngo mum nyaamo ɓeen: «Ngaree, onon ɓe Baaba am barkini, njaɓee laamu mo ndesanaɗon gilla e fuɗɗoode adunaaru ndu. 
MAT.25.35	Sabo mi yolbiino, de on nyaamnii kam. Mi ɗomɗiino, de on njarnii kam. Mi laatakeno beero, de on njaɓɓake kam. 
MAT.25.36	Mi holiino, de on koltinii kam. Mi nyawiino, de on cawrii kam. Mi uddanooma ley kasu, de on ndaarowii kam.» 
MAT.25.37	E wakkati oon, fonnditiiɓe ɓeen njaabotoo mo, mbi'a: «Joomiraaɗo, ndey min nji'i aɗa yolbi, de min nyaamni ma naa aɗa ɗomɗi, de min njarni ma? 
MAT.25.38	Ndey min nji'i a beero, de min njaɓɓii ma, naa a kolɗo, de min koltini maa? 
MAT.25.39	Ndey min nji'i a nyawɗo naa a uddaaɗo ley kasu, de min ngari ndaarude ma?» 
MAT.25.40	Kaananke oon jaaboto ɓe wi'a: «Goonga kaalanammi on: ko ngaɗanɗon gooto e ɓurɗo famɗude ley sakiraaɓe am ɓeen fu, wo miin ngaɗanɗon.»
MAT.25.41	Caggal ɗuum, o wi'an wonɓe junngo makko nano ɓeen: «Mboɗɗee kam, onon huɗaaɓe Laamɗo! Njehee ley yiite duumiinge nge Laamɗo resani Ibiliisa e maleyka'en muuɗum ngeen! 
MAT.25.42	Sabo mi yolbiino, de on nyaamnaay kam. Mi ɗomɗiino, de on njarnaay kam. 
MAT.25.43	Mi weeriino, de on njippinaay kam. Mi holiino, de on koltinaay kam. Mi nyawiino, mi uddanooma, de on ngaraay ndaarude kam.» 
MAT.25.44	Ndeen, ɓe njaaboto mo kamɓe du, ɓe mbi'a: «Joomiraaɗo, ndey min nji'i aɗa yolbi naa aɗa ɗomɗi naa aɗa weeri naa aɗa holi naa aɗa nyawi naa aɗa ommbaa ley kasu, de min mballaay ma?» 
MAT.25.45	O jaaboto ɓe, o wi'a: «Goonga kaalanammi on: ko on ngaɗanaay gooto e ɓurɓe famɗude ɓee ɗo ɗuum, wo miin woni on ngaɗanaay.» 
MAT.25.46	Ndeen, ɓe njahan ley jukkungo duumiingo, de fonnditiiɓe ɓeen keɓa nguurndam nduumiiɗam.
MAT.26.1	Nde Iisaa timminnoo waajuuji ɗiin fuu, wi'i taalibaaɓe muuɗum ɓeen:
MAT.26.2	—Oɗon anndi balɗe ɗiɗi keddanii en e iidi Faltagol
MAT.26.3	E wakkati oon, hooreeɓe almaami'en e mawɓe Alhuudiyankooɓe ɓeen kawritowi galle Almaami Mawɗo bi'eteeɗo Kayafas. 
MAT.26.4	Ɓe fuu ɓe ndawridi faa ɓe nanngira Iisaa hiila, ɓe mbara ɗum. 
MAT.26.5	Ammaa ɓe mbi'i:
MAT.26.5	—Taa ngaɗen ɗum ley iidi ndi de yimɓe muurta.
MAT.26.6	Tawi Iisaa ina woni ley Baytaniya to suudu Simon noddirteeɗo ceppinɗo. 
MAT.26.7	Debbo gomma ɓattitii ɗum ina jogii faandu nebbam uurɗam, tiiɗuɗam coggu sanne. O tawi Iisaa ina nyaama, o joori ɗam dow hoore muuɗum. 
MAT.26.8	Nde taalibaaɓe ɓeen nji'unoo ɗum ndeen, mettaa, ina mbi'a:
MAT.26.8	—Ɗume saabii de nebbam ɗaam bonniraa ni? 
MAT.26.9	Iɗam waawnoo sonneede ceede keewɗe, de ceede ɗeen kokkee talkaaɓe.
MAT.26.10	Iisaa faamii ko ɓe kaalata ɗuum, wi'i ɓe:
MAT.26.10	—Ko waɗi de oɗon torra debbo o? O gollanii kam gollal lobbal. 
MAT.26.11	Si goonga, talkaaɓe ina tawdee e mooɗon wakkati fuu. De miin kaa, mi tawdataake e mooɗon wakkati fuu. 
MAT.26.12	O joorii nebbam uurɗam ɗam dow ɓanndu am faa o segilanoo kam uweede. 
MAT.26.13	Goonga kaalanammi on: ɗo Kabaaru Lobbo waajaa e adunaaru ndu fuu, ko debbo o waɗi ɗuum fillitete, faa o miccitee.
MAT.26.14	Ndeen Yahuuda Isikariyotto, gooto e taalibaaɓe sappo e ɗiɗo ɓeen, yehi to hooreeɓe almaami'en, 
MAT.26.15	wi'i ɗum'en:
MAT.26.15	—Ɗume kokkoton kam si mi waddanii on Iisaa?
MAT.26.15	Ndeen ɓe njoɓi mo buuɗi cardi capanɗe tati. 
MAT.26.16	Gilla ndeen, Yahuuda ina filoo wakkati faa jamboo Iisaa.
MAT.26.17	Nyalaande go'aɓerde iidi buuru mo wattaaka rabilla, taalibaaɓe ɓeen ngari, ƴami Iisaa, mbi'i ɗum:
MAT.26.17	—Toy njiɗɗaa min cegilanowe hiraande iidi Faltagol ndeen?
MAT.26.18	O jaabii ɓe, o wi'i:
MAT.26.18	—Njehee ngalluure toon, naaton suudu maani, mbi'on ɗum: «Moodibbo wi'i wakkati muuɗum yonii. Wo to suudu maaɗa waɗata iidi Faltagol, kam e taalibaaɓe muuɗum.»
MAT.26.19	Taalibaaɓe ɓeen ngaɗi ko Iisaa yamiri ɗum'en, cegilii hiraande ndeen.
MAT.26.20	Nde hiirnoo fu, Iisaa jooɗodii e taalibaaɓe sappo e ɗiɗo ɓeen faa ɓe kiirtoo. 
MAT.26.21	Nde ɓe kiirtotonoo ndeen, o wi'i:
MAT.26.21	—Goonga kaalanammi on: gooto mooɗon jamboto kam.
MAT.26.22	Ɓe cunii sanne, heddii iɓe ƴamira mo gooto gooto, mono fuu ina wi'a:
MAT.26.22	—Joomam, kori wanaa miin?
MAT.26.23	O jaabii, o wi'i:
MAT.26.23	—Cuuwidinɗo e am junngo muuɗum ley le'al ngal, oon jambotoo kam. 
MAT.26.24	Tilay Ɓii Neɗɗo yoppira adunaaru no haaliraa ley Binndi ɗiin ni. Ammaa bone woodanii jambotooɗo Ɓii Neɗɗo oon! Gorko oon, si rimaakano fey ɓuri woodde e muuɗum.
MAT.26.25	Yahuuda jamboytooɗo mo oon hooƴi haala, ƴami mo, wi'i:
MAT.26.25	—Moodibbo, kori wanaa miin?
MAT.26.25	O jaabii ɗum, o wi'i:
MAT.26.25	—Aan e hoore maa haali.
MAT.26.26	Nde ɓe nyaamannoo ndeen, Iisaa hooƴi buuru, yetti Laamɗo, heltii, hokki taalibaaɓe muuɗum ɓeen, wi'i:
MAT.26.26	—Njaɓee, nyaamee. Ɗum woni ɓanndu am.
MAT.26.27	Caggal ɗuum, o hooƴi horde cabijam, o yetti Laamɗo, o hokki ɓe, o wi'i:
MAT.26.27	—Njaree, on fuu. 
MAT.26.28	Ɗum woni ƴiiƴam am tabintinoojam amaana Laamɗo. Ɗam rufete saabe heewɓe faa hakkeeji muɓɓen njaafee. 
MAT.26.29	Miɗo haalana on: mi yarataa cabijam ɗam katin si wanaa nyannde nde njardowammi e mooɗon kesam ley laamu Baaba am.
MAT.26.30	Caggal ɓe njimii Jabuura,
MAT.26.31	Wakkati oon, Iisaa wi'i ɓe:
MAT.26.31	—Ley jemma o, on fuu on njoppan kam, sabo ina winndaa: «Mi fiyan duroowo piiɗe maayde, de coggal baali ngaal sankitoo.»
MAT.26.31	Iisaa ɓeydi, wi'i:
MAT.26.32	—Ammaa nde iirtinowaami fu, mi artoyto on Galili.
MAT.26.33	Ndeen Piyeer hooƴi haala, wi'i mo:
MAT.26.33	—Fay si ɓe fuu ɓe njoppi ma, miin kaa abada mi yoppataa ma.
MAT.26.34	Iisaa jaabii mo, wi'i:
MAT.26.34	—Goonga kaalanammaami: jemma o pay, fadde ndontoori joggude a wi'an a anndaa kam kile tati.
MAT.26.35	Piyeer wi'i mo:
MAT.26.35	—Fay si tilsi mi maaydan e maaɗa, abada mi wi'ataa mi anndaa ma.
MAT.26.35	Taalibaaɓe ɓeen fuu mbi'i hono noon.
MAT.26.36	Caggal ɗuum, Iisaa yottodii e maɓɓe nokku bi'eteeɗo Geccemane, wi'i ɓe:
MAT.26.36	—Njooɗee ɗo, faa mi yaha mi waɗowa du'aare.
MAT.26.37	O yaadi e Piyeer e ɓiɓɓe Jebede ɗiɗo ɓeen, ɓernde makko fuɗɗi maatude mettorgal e kaaɗeefi. 
MAT.26.38	Wakkati oon, o wi'i ɓe:
MAT.26.38	—Mettorgal ina mawni e am sanne faa ina nesa warude kam. Keddee ɗo, ndoomidee e am, kakkilen.
MAT.26.39	O toowti seeɗa, o hippi yeeso makko e leydi, imo du'oo, imo wi'a:
MAT.26.39	—Baabiiwo, si tawii ina laatoo, woɗɗinam horde torra nde. Ammaa taa laatoroo no muuyirmi, laatoroo no muuyirɗaa aan.
MAT.26.40	O warti, o tawi iɓe ɗaanii. O wi'i Piyeer:
MAT.26.40	—On ngalaa semmbe faa ndoomidon e am fay haddi wawtu gooto naa? 
MAT.26.41	Kakkilee, ndu'ee, taa on njarribe. Sabo hakkillo ina heewi anniya lobbo, ammaa terɗe ina lokkiɗi.
MAT.26.42	O yehi katin, o du'ii, o wi'i:
MAT.26.42	—Baabiiwo, si tawii horde bone nde waawaa woɗɗineede si wanaa mi yara ɗum fu, muuyɗe maa laatoo.
MAT.26.43	O warti, o tawi ɓe ɗaantake, sabo ɗoyngol maɓɓe na teddi sanne. 
MAT.26.44	O yehi katin, o du'ii tataɓerde hono no o du'orinoo ni. 
MAT.26.45	Caggal ɗuum, o warti to taalibaaɓe ɓeen, o wi'i ɗum'en:
MAT.26.45	—On ɗaani, oɗon ŋootta naa? Ndaaree, wakkati o yottake! Ɓii Neɗɗo wattete e juuɗe luttuɓe. 
MAT.26.46	Ummee njehen! Inan jambotooɗo kam oon ina ɓattitii.
MAT.26.47	O tilaaki haalude, faa Yahuuda, gooto e sappo e ɗiɗo ɓeen, yottii ina wondi e yimɓe heewɓe jogiiɓe kaafaaje e cabbi. Wo ɓe nulaaɓe hooreeɓe almaami'en e mawɓe Alhuudiyankooɓe. 
MAT.26.48	Jambotooɗo mo oon hokkiino ɓe filnde, wi'i:
MAT.26.48	—Mo mucciimi fu, oon woni kanko. Nanngon ɗum.
MAT.26.49	Wakkati oon pay, Yahuuda ɓattitii Iisaa, wi'i ɗum:
MAT.26.49	—Foofoo Moodibbo!
MAT.26.49	O muccii ɗum. 
MAT.26.50	Iisaa jaabii mo, wi'i:
MAT.26.50	—Giɗo am, waɗu ko waddi maa ɗuum.
MAT.26.50	Wakkati oon, ɓe ɓattitii Iisaa, ɓe nanngi ɗum, ɓe tiigii ɗum. 
MAT.26.51	Gooto e wonduɓe e Iisaa ɓeen soorti kaafaahi mum, soppi maccuɗo Almaami Mawɗo, taƴi nowru muuɗum. 
MAT.26.52	Ndeen, Iisaa wi'i mo:
MAT.26.52	—Soornu kaafaahi maa ki e hulgo muuɗum, sabo kamreteeɗo kaafaahi fuu, kaafaahi halkata ɗum. 
MAT.26.53	Maa du aɗa miila joonin mi waawaa noddude Baaba am nulda kam ko ɓuri konuuji sappo e ɗiɗi maleyka'en naa? 
MAT.26.54	Ammaa si ɗum laatorake noon, noy ko winndaa e ley Binndi ɗiin ɗuum tabitirta? Ɗi mbi'ii sanaa ɗum laatoroo noon.
MAT.26.55	E wakkati oon, o wi'i jamaa oon:
MAT.26.55	—Ko waɗi de ngarduɗon e kaafaaje e cabbi faa nanngon kam hono wo mi gujjo? Nyannde fuu miɗo jooɗinoo ley suudu dewal mawndu nduun, miɗo janngina, de on nanngaay kam. 
MAT.26.56	Ammaa ɗum fuu waɗan faa Binndi annabaaɓe ɗiin tabita.
MAT.26.56	Ndeen, taalibaaɓe ɓeen fuu njoppi mo, ndoggi.
MAT.26.57	Nannguɓe Iisaa ɓeen njaari ɗum to Kayafas Almaami Mawɗo oon. Tawi jannginooɓe Tawreeta e mawɓe lenyol ɓeen kawritii toon. 
MAT.26.58	Piyeer le, ina jokki mo to toowti seeɗa, faa e taliyaare galle Almaami Mawɗo oon. O naati ley galle oon, o jooɗodii e doomooɓe ɓeen faa o yi'a no ɗum sakitortoo.
MAT.26.59	Wooɗi, hooreeɓe almaami'en e jeyaaɓe e waalde Saahiiɓe ndeen fuu ina piloo fewre nde pelda Iisaa faa waree, 
MAT.26.60	de ɓe keɓaay. Fay ko heewɓe ngari seedanaade mo pene ɗuum, sabaabu baawɗo warude mo fuu walaa. Sakitii, worɓe ɗiɗo ngari, 
MAT.26.61	mbi'i:
MAT.26.61	—Kanko wi'unoo imo waawi liɓude suudu dewal Laamɗo, de o nyiɓtoo ndu ley balɗe tati.
MAT.26.62	Almaami Mawɗo oon ummii, wi'i Iisaa:
MAT.26.62	Walaa ko njaabotoɗaa naa? Ko yimɓe ɓe ceedante ɗuum wo ɗume?
MAT.26.63	Ɗum fuu imo deƴƴinii. Almaami Mawɗo oon wi'i mo:
MAT.26.63	—Miɗo yamire e innde Laamɗo buurɗo, kaalanaa min si tawii aan woni Almasiihu, Ɓii Laamɗo oon.
MAT.26.64	O jaabii ɗum, o wi'i:
MAT.26.64	—Aan e hoore maa haali. Katin, miɗo wi'a on: gilla joonin, on nji'an Ɓii Neɗɗo ina jooɗii gere nyaamo Jom baawɗe oon. O warowan dow duule kammu.
MAT.26.65	Haalaaji makko ɗiin metti Almaami Mawɗo oon faa seeki kaddule muuɗum, wi'i:
MAT.26.65	—O mbonkake Laamɗo! Walaa fuu ko kaajaraɗen seedeeɓe katin! On narrii noppi mooɗon ko o mbonkii Laamɗo ɗuum. 
MAT.26.66	Ɗume miiliɗon?
MAT.26.66	Ɓe njaabii, ɓe mbi'i:
MAT.26.66	—Imo haani wareede.
MAT.26.67	Caggal ɗuum, ɓe tutti e yeeso makko, ɓe culkii mo. Woɓɓe maɓɓe ina peenya mo, 
MAT.26.68	ina mbi'a:
MAT.26.68	—Hey Almasiihu! Si a annabaajo, haalan min moy fiyi ma!
MAT.26.69	Tawi Piyeer ina jooɗii yaasin suudu nduun ley taliyaare galle oon. Gooto e horɓe wonɓe ɗoon ɓattitii mo, wi'i:
MAT.26.69	—Aan, aɗa wondunoo e Iisaa Galilinkeejo oon.
MAT.26.70	O yeddi ɗum hakkunde yimɓe fuu, o wi'i:
MAT.26.70	—Mi faamaay ko kaalataa ɗuum.
MAT.26.71	Caggal ɗuum, o fonndii to dammbugal galle toon. Korɗo goɗɗo yi'i mo, wi'i wonɓe ɗoon ɓeen:
MAT.26.71	—Gorko o ina wondunoo e Iisaa Nasaraatuujo oon.
MAT.26.72	Piyeer yeddi katin, wi'i:
MAT.26.72	—Mi hunake, mi anndaa gorko o.
MAT.26.73	Faa ɓooyti seeɗa, dariiɓe ɗoon ɓeen ɓattii Piyeer, mbi'i ɗum:
MAT.26.73	—Tannyoral, aan du wo a gooto maɓɓe, sabo ɗemngal maa ngal hollii to ƴuuruɗaa.
MAT.26.74	E ley ɗuum, Piyeer fuɗɗi hunaade e huttaade, ina wi'a:
MAT.26.74	—Mi anndaa gorko o!
MAT.26.74	Wakkati oon pay, ndontoori joggi. 
MAT.26.75	De Piyeer miccitii ko Iisaa wi'unoo ɗuum: «Fadde ndontoori joggude, a wi'an a anndaa kam kile tati.» O wurtii yaasin, imo woya bojji cattuɗi.
MAT.27.1	Gilla fajiri, hooreeɓe almaami'en e mawɓe lenyol ɓeen fuu kawriti, ndarni anniya warude Iisaa. 
MAT.27.2	Ɓe kaɓɓi mo, ɓe njaari mo, ɓe ngatti mo e juuɗe Pilaatu goforneer oon.
MAT.27.3	Nde Yahuuda jambiiɗo Iisaa oon yi'unoo no Iisaa saroraa wo bareteeɗo fu, mimsiti. O wartiri buuɗi cardi capanɗe tati ɗiin to hooreeɓe almaami'en e mawɓe lenyol ɓeen. 
MAT.27.4	O wi'i ɗum'en:
MAT.27.4	—Mi luttii ko njambiimi mo walaa feloore ɗuum!
MAT.27.4	Ɓe njaabii mo, ɓe mbi'i:
MAT.27.4	—Ko jomi min? Wo aan ɗum woodani.
MAT.27.5	Yahuuda faɗɗi ceede ɗeen ley suudu dewal mawndu nduun, dilli. Ndeen yehi, hooƴi ɓoggol, waritowii. 
MAT.27.6	Hooreeɓe almaami'en ɓeen kooƴi ceede ɗeen, mbi'i:
MAT.27.6	—Dagaaki ceede ɗe ngattee ley keesu oon, sabo wo ɗum njobdi ƴiiƴam.
MAT.27.7	Ɓe ndawridi dow majjum, de ɓe kooƴi ceede ɗeen, ɓe coodi ngesa mahoowo looɗe, ɓe ngaɗi nga caabeeje weerɓe. 
MAT.27.8	Ɗum waɗi de ngesa ngaan ina wi'ee «Ngesa Ƴiiƴam» faa hannden. 
MAT.27.9	Noon haala ka annabi Yeremiya haalnoo kaan tabintiniraa nde wi'unoo:
MAT.27.9	«Ɓe kooƴii buuɗi cardi capanɗe tati,
MAT.27.9	coggu mo yimɓe Israa'iila kiisorii yonki makko,
MAT.27.10	ɓe coodi ɗum ngesa mahoowo looɗe,
MAT.27.10	hono no Joomiraaɗo yamiri kam ni.»
MAT.27.11	Iisaa darii yeeso goforneer oon. Oon ƴami mo, wi'i:
MAT.27.11	—Aan woni kaananke Alhuudiyankooɓe oon naa?
MAT.27.11	O jaabii, o wi'i:
MAT.27.11	—Aan e hoore maa haali.
MAT.27.12	Ammaa nde hooreeɓe almaami'en e mawɓe lenyol ɓeen pelannoo mo ndeen, o nootaaki fay huunde. 
MAT.27.13	Ndeen Pilaatu wi'i mo:
MAT.27.13	—A nanataa ko ɓe ceedante ɗuum fuu naa?
MAT.27.14	Ammaa o jaabaaki faa'e. Ɗum haaynii goforneer oon sanne.
MAT.27.15	Wakkati Iidi Faltagol fuu, goforneer oon ina woowi yoofande yimɓe ɓeen kasuujo gooto mo njiɗi yoofaneede. 
MAT.27.16	Wakkati oon, ina woodi kasuujo jom innde, bi'eteeɗo Iisaa Barabas. 
MAT.27.17	E ley ko jamaa oon hawriti ɗuum, Pilaatu ƴami ɓe, wi'i:
MAT.27.17	—Moy njiɗuɗon mi yoofana on: Iisaa Barabas naa Iisaa bi'eteeɗo Almasiihu oon?
MAT.27.18	Si goonga, Pilaatu faamii wo kiram waɗi de ɓe kokkitiri Iisaa. 
MAT.27.19	Katin du, wakkati o jooɗinoo ley sarordu oon, jom suudu makko neli e makko, wi'i:
MAT.27.19	—Celaa gorko ponnditiiɗo oon, sabo jemma hankin koyɗi makko tampinii kam sanne.
MAT.27.20	Hooreeɓe almaami'en e mawɓe lenyol ɓeen ndunƴi jamaa oon nyaagoo Pilaatu yoofana ɓe Barabas, de wara Iisaa. 
MAT.27.21	Goforneer oon ƴamtindii ɓe:
MAT.27.21	—Moy e ɗiɗo ɓeen njiɗuɗon mi yoofana on?
MAT.27.21	Ɓe njaabii, ɓe mbi'i:
MAT.27.21	—Barabas!
MAT.27.22	Pilaatu ƴami ɓe, wi'i:
MAT.27.22	—Ndelle, noy ngaɗammi Iisaa bi'eteeɗo Almasiihu oon?
MAT.27.22	Ɓe fuu ɓe njaabii, ɓe mbi'i:
MAT.27.22	—Tontu mo e leggal palaangal!
MAT.27.23	O ƴami ɓe, o wi'i:
MAT.27.23	—Ɗume o waɗi ko boni?
MAT.27.23	De ɓe ɓeydi ƴeewnaade semmbe, iɓe mbi'a:
MAT.27.23	—Tontu mo e leggal palaangal!
MAT.27.24	Ndeen Pilaatu yi'i walaa ko waawi, tawi du muurtere ina ummoo. O hooƴi ndiyam, o looti juuɗe makko yeeso yimɓe ɓeen, o wi'i ɓe:
MAT.27.24	—Miin kaa, baka am walaa e rufugol ƴiiƴam gorko o. Wo onon ɗum woodani.
MAT.27.25	Ɓe fuu ɓe njaabii, ɓe mbi'i:
MAT.27.25	—Ƴiiƴam makko ina yowii dow amin, minen e ɓiɓɓe amin!
MAT.27.26	Ndeen, Pilaatu yoofani ɓe Barabas, de yamiri Iisaa fiyee dorri. Caggal ɗuum, o hokkitiri ɗum tontowee e leggal palaangal.
MAT.27.27	Sordaasiiɓe goforneer ɓeen njaari Iisaa to galle laamorde ley huɓeere toon. Ɓe ngaddi fedde sordaasiiɓe ɓeen fuu piilii mo. 
MAT.27.28	Ɓe ɓorti mo kaddule makko, ɓe ɓorni mo saaya mboɗeeha.
MAT.27.29	Caggal ɗuum, ɓe canyi taarde gi'e, ɓe kippi e hoore makko, ɓe ngatti loosol e junngo makko nyaamo. Ndeen ɓe kofii yeeso makko, iɓe njalnoroo mo, iɓe mbi'a:
MAT.27.29	—Foofoo, kaananke Alhuudiyankooɓe!
MAT.27.30	Ɓe tutti dow makko, ɓe kooƴi loosol ngool iɓe piya mo hoore. 
MAT.27.31	Nde ɓe tilinoo jalnoraade mo ndeen, ɓe itti saaya kaan, ɓe ɓorni mo kaddule makko. Ndeen ɓe njaari mo faa ɓe tontowa mo e leggal palaangal.
MAT.27.32	Nde ɓe njaltannoo ngalluure ndeen fu, ɓe kawri e gorko jeyaaɗo Sireene bi'eteeɗo Simon. Sordaasiiɓe ɓeen ndoolɗi mo o wakkoo leggal Iisaa palaangal ngaal. 
MAT.27.33	Ɓe njottowii nokku bi'eteeɗo Golgata (maanaa majjum woni «Nokku Laalagal Hoore»). 
MAT.27.34	Ɓe kokki Iisaa cabijam njillunduraaɗam e kaankaanngel faa o yara. Nde o meeɗunoo ɗum ndeen, o salii yarude.
MAT.27.35	Nde ɓe tontunoo mo e leggal palaangal ndeen, ɓe pecciri kaddule makko cumnal. 
MAT.27.36	Caggal ɗuum, ɓe njooɗii toon iɓe ndooma mo. 
MAT.27.37	Ɓe mbinndi sabaabu ko tonti mo, ɓe takki ɗum ɗo tiimtude hoore makko ɗoon. Binndi dow maggal na mbi'a: 
MAT.27.38	Tawi du, yanooɓe ɗiɗo tontidaa e makko, gooto gere nyaamo makko, gooto du gere nano makko. 
