GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
LEV.5.18	Wozisa kumbingeleli inkunzi yemvu egqibeleleyo yasempahleni emfutshane, ngokulinganisela kwakho, ibe lidini letyala; umbingeleli amcamagushele ngokulahleka kwakhe alahleke ngako, engazi; woxolelwa ke. 
LEV.5.19	Lidini letyala ke elo; unetyala okunene kuYehova.
LEV.6.1	Wathetha uYehova kuMoses, esithi, 
LEV.6.2	Xa ubani athe wona ngokumeneza, emeneza kuYehova, wayikhanyela kummelwane wakhe into ebibekwe kuye, nokuba yinto esisibambiso, nokuba yinto exhakamfulweyo, nokuba umcudisile ummelwane wakhe, 
LEV.6.3	nokuba ufumene into ebidukile wayikhanyela, wafunga ubuxoki ezintweni zonke azenzileyo, esona ngazo: 
LEV.6.4	wóthi, xa athe wona, wazeka ityala, ayibuyise loo nto ixhakamfulweyo, abeyixhakamfule, nento ecudisiweyo, abeyicudisile, nento ebekiweyo, ebibekiwe kuye, nento ebidukile wayifumana, 
LEV.6.5	nento yonke abeyifungele ubuxoki. Woyibuyekeza ngangenani layo, ongeze phezu kwalo isahlulo sesihlanu salo, ayinike osukuba engumniniyo ngomhla wedini lakhe letyala. 
LEV.6.6	Wólizisa idini letyala lakhe kuYehova, kumbingeleli, inkunzi yemvu egqibeleleyo yasempahleni emfutshane, ngokulinganisela kwakho, ibe lidini letyala. 
LEV.6.7	Umbingeleli womcamagushela phambi koYehova, axolelwe ke ezintweni zonke azenzileyo, wazeka ityala ngazo.
LEV.6.8	Wathetha uYehova kuMoses, esithi, 
LEV.6.9	Wisela uAron noonyana bakhe umthetho, uthi, Nguwo lo umyalelo wedini elinyukayo: lona idini elinyukayo lotsha eziko phezu kwesibingelelo ubusuku bonke kude kuse, nomlilo wesibingelelo uhlale usitsha kulo. 
LEV.6.10	Umbingeleli makambathe ingubo yakhe yelinen emhlophe, ambathe nebhulukhwe yelinen emhlophe enyameni yakhe, asuse uthuthu lomlilo odle idini elinyukayo phezu kwesibingelelo, alubeke ecaleni lesibingelelo; 
LEV.6.11	ahlube iingubo zakhe ezo, ambathe ngubo zimbi, aphume nothuthu, aye nalo ngaphandle kweminquba, endaweni emhlophe. 
LEV.6.12	Ke umlilo ophezu kwesibingelelo mawuhlale usitsha kuso, ungacimi; umbingeleli abáse iinkuni phezu kwawo imiso ngemiso, acwangcise phezu kwawo idini elinyukayo, aqhumisele phezu kwalo ngamanqatha ombingelelo woxolo. 
LEV.6.13	Umlilo wohlala usitsha esibingelelweni, ungacimi.
LEV.6.14	Nguwo lo umyalelo womnikelo wokudla: oonyana baka-Aron mabawusondeze phambi koYehova, phambi kwesibingelelo; 
LEV.6.15	asube kuwo, azalise isandla emgubeni ocoliweyo womnikelo wokudla, naseolini yawo, nasentlakeni emhlophe yonke ephezu komnikelo wokudla, aqhumisele 
LEV.6.16	Okuseleyo kuwo kodliwa nguAron noonyana bakhe, kudliwe kungenagwele endaweni engcwele, bakudle entendelezweni yentente yokuhlangana. 
LEV.6.17	Makungosiwa okunegwele; sisabelo sabo endibanike sona ekudleni kwasemlilweni; yingcwele kangcwele, njengedini lesono, nanjengedini letyala. 
LEV.6.18	Yonke into eyindoda phakathi koonyana baka-Aron yowudla. Ngummiselo ongunaphakade ezizukulwaneni zenu wasekudleni kwasemlilweni kukaYehova: bonke abasukuba bezichukumisa ezo nto boba ngcwele.
LEV.6.19	Wathetha uYehova kuMoses, esithi, 
LEV.6.20	Nguwo lo umsondezo ka-Aron noonyana bakhe, abowusondeza kuYehova ngomhla wokuthanjiswa kwakhe: isahlulo seshumi se-efa* yomgubo ocoliweyo, ube ngumnikelo wokudla wamaxesha onke, ube sisiqingatha kusasa, ube sisiqingatha ngokuhlwa; 
LEV.6.21	wenziwe ngeoli epanini, uwuzise ukroqiwe, uwusondeze ungamaqhekeza ngokomnikelo wokudla wamaqhekeza, ube livumba elithozamisayo kuYehova. 
LEV.6.22	Umbingeleli othanjisiweyo esikhundleni sakhe wowenza koonyana bakhe. Ngummiselo ongunaphakade kuYehova: koqhunyiselwa ngawo uphela; 
LEV.6.23	wonke umnikelo wokudla wombingeleli kuqhunyiselwe ngawo uphela, ungàdliwa.
LEV.6.24	Wathetha uYehova kuMoses, esithi, 
LEV.6.25	Thetha kuAron nakoonyana bakhe, uthi, Nguwo lo umyalelo wedini lesono: apho kuxhelelwa khona idini elinyukayo, loxhelelwa khona idini lesono phambi koYehova; liyingcwele kangcwele lona. 
LEV.6.26	Umbingeleli olenzayo idini lesono wolidla; lodliwa endaweni engcwele, entendelezweni yentente yokuhlangana. 
LEV.6.27	Bonke abasukuba bechukumisa inyama yalo boba ngcwele; nabasukuba bechaphazela iingubo ngegazi lalo, boyihlamba loo nto ichatshazelweyo endaweni engcwele. 
LEV.6.28	Ke yona impahla yodongwe eliphekwe ngayo mayiqhekezwe; ukuba lithe laphekwa ngempahla yobhedu, yoguxwa, ixukuxwe ngamanzi. 
LEV.6.29	Yonke into eyindoda phakathi kwababingeleli yolidla: liyingcwele kangcwele lona. 
LEV.6.30	Ke lonke idini lesono, ekuziswe inxalenye yegazi lalo ententeni yokuhlangana, ukuba kucanyagushwe engcweleni, malingàdliwa, malitshiswe ngomlilo.
LEV.7.1	Nguwo lo umyalelo wedini letyala: liyingcwele kangcwele lona. 
LEV.7.2	Apho kuxhelelwa khona idini elinyukayo, loxhelelwa khona idini letyala, negazi lalo litshizwe lijikelezise esibingelelweni. 
LEV.7.3	Wosondeza onke amanqatha alo akulo, umsila, nomhlehlo ogubungela izibilini, nezintso zombini, 
LEV.7.4	nenqatha lazo, nelisemihlubulweni, nomhlehlo ophezu kwesibindi, ewususa ngasezintsweni; 
LEV.7.5	aqhumisele ngezo nto umbingeleli esibingelelweni. Kukudla kwasemlilweni kuYehova, lidini letyala ke elo. 
LEV.7.6	Yonke into eyindoda phakathi kwababingeleli yolidla; lodliwa endaweni engcwele; liyingcwele kangcwele lona.
LEV.7.7	Njengoko linjalo idini lesono, linjalo idini letyala: mnye umyalelo kuwo 
LEV.7.8	Umbingeleli osondeza idini elinyukayo lomntu, isikhumba sedini elinyukayo alisondezayo soba sesombingeleli. 
LEV.7.9	Nomnikelo wonke wokudla owosiwa ezikweni lezonka, nawo wonke owenzelwa epanini nasembizeni, woba ngowombingeleli owusondezayo. 
LEV.7.10	Ke umnikelo wonke wokudla ogalelwe ioli, nowomileyo, woba ngowoonyana bonke baka-Aron, omnye abe njengomnye.
LEV.7.11	Nguwo lo umyalelo wombingelelo woxolo, aya kuwusondeza kuYehova. 
LEV.7.12	Ukuba úthe wasondeza ngenxa yombulelo, wosondeza phezu kombingelelo wombulelo imiqhathane engenagwele egalelwe ioli, nezonkana ezisicaba ezingenagwele, zithanjiswe ioli, nomgubo ocoliweyo, okroqiweyo, oyimiqhathane egalelwe ioli. 
LEV.7.13	Kunye nemiqhathane yesonka esingenagwele, wosondeza umsondezo wakhe phezu kombingelelo wakhe wombulelo ongowoxolo; 
LEV.7.14	asondeze ube mnye othatyathwe emsondezweni wonke, ube ngumrhumo kuYehova, ube ngowombingeleli olitshizayo igazi lombingelelo woxolo. 
LEV.7.15	Nenyama yombingelelo wakhe wombulelo ongowoxolo yodliwa ngomhla wokusondeza kwakhe, kungashiywa nento kuyo kude kuse.
LEV.7.16	Ke ukuba umbingelelo womsondezo wakhe uthe waba ngowesibhambathiso, nokuba ngowokuqhutywa yintliziyo, wodliwa ngomhla wokusondeza kwakhe umbingelelo wakhe; okuseleyo kuwo kudliwe ngengomso. 
LEV.7.17	Ke okuseleyo enyameni yombingelelo kwada kwangumhla wesithathu makutshiswe ngomlilo. 
LEV.7.18	Ukuba kuthe kwadliwa, nokuba yintwana le yenyama yombingelelo wakhe woxolo, ngomhla wesithathu, awusayi kumkholekisa owusondezayo, awusayi kubalelwa kuye; woba yimbozisa. Ubani odlayo kuwo wobuthwala ubugwenxa bakhe.
LEV.7.19	Nenyama efike entweni yonke eyinqambi mayingadliwa; yotshiswa ngomlilo. Ke yona inyama, bonke abahlambulukileyo boyidla inyama; 
LEV.7.20	ubani osukuba esidla inyama yombingelelo woxolo ongokaYehova, enobunqambi bakhe, loo mntu wonqanyulwa, angabikho ebantwini bakowabo. 
LEV.7.21	Xa athe ubani wachukumisa into eyinqambi, nokuba bubunqambi bomntu, nokuba bubunqambi bezinto ezizitho ziné eziziinqambi, nokuba yinto yonke enezothe eyinqambi, waza wadla inyama yombingelelo woxolo ongokaYehova, wonqanyulwa loo mntu, angabikho ebantwini bakowabo.
LEV.7.22	Wathetha uYehova kuMoses, esithi, 
LEV.7.23	Thetha koonyana bakaSirayeli, uthi, Ize ningadli nqatha lankomo, namvu, nabhokhwe. 
LEV.7.24	Inqatha lento ezifeleyo, nenqatha lento eqwengiweyo, ningásebenza ngalo emisebenzini yonke; ke ukulidla ningalidli. 
LEV.7.25	Kuba bonke abalidlayo inqatha lezinto ezizitho ziné, abazisondezileyo zaba kukudla kwasemlilweni kuYehova, loo mntu ulidlayo wonqanyulwa, angabikho ebantwini bakowabo.
LEV.7.26	Ize ningadli gazi emakhayeni enu onke, nelantaka, nelazinto zizizitho ziné. 
LEV.7.27	Wonke ubani osukuba esidla nto iligazi, loo mntu wonqanyulwa, angabikho ebantwini bakowabo.
LEV.7.28	Wathetha uYehova kuMoses, esithi, 
LEV.7.29	Thetha koonyana bakaSirayeli, uthi, Lowo usondeza umbingelelo wakhe woxolo kuYehova, ukuwuzisa umsondezo wakhe kuYehova, wówuthabatha kumbingelelo wakhe woxolo lowo. 
LEV.7.30	Izandla zakhe zókuzisa ukudla kwasemlilweni kukaYehova: inqatha eliphezu kwencum wolizisa kunye nencum, ukuba litshangatshangiswe libe ngumtshangatshangiso phambi koYehova. 
LEV.7.31	Umbingeleli woqhumisela ngenqatha elo esibingelelweni; ke yona incum ibe yeka-Aron neyoonyana bakhe; 
LEV.7.32	umlenze wasekunene niwunike umbingeleli, ube ngumrhumo kumbingeleli emibingelelweni yenu yoxolo. 
LEV.7.33	Lowo phakathi koonyana baka-Aron, usondeza igazi lombingelelo woxolo nenqatha, umlenze wasekunene woba ngowakhe, ube sisabelo sakhe. 
LEV.7.34	Kuba incum yomtshangatshangiso, nomlenze womrhumo, ndiwuthabathile koonyana bakaSirayeli emibingelelweni yabo yoxolo; ndiwuniké uAron umbingeleli, noonyana bakhe, ukuba ube ngummiselo ongunaphakade koonyana bakaSirayeli.
LEV.7.35	Ezo nto ngumxhesho ka-Aron, nomxhesho woonyana bakhe, ekudleni kwasemlilweni kukaYehova, ngomhla awabasondezáyo ukuba babe ngababingeleli kuYehova; 
LEV.7.36	awawisa umthetho uYehova, ngomhla wokubathambisa kwakhe, ukuba bawunikwe ngoonyana bakaSirayeli; ube ngummiselo ongunaphakade lowo ezizukulwaneni zabo.
LEV.7.37	Nguwo lowo umyalelo wedini elinyukayo, nowomnikelo wokudla, nowedini lesono, nowedini letyala, nowokumisela, 
LEV.7.38	nowombingelelo woxolo, awamwisela umthetho ngawo uYehova uMoses, entabeni yaseSinayi, ngomhla wokubawisela kwakhe umthetho oonyana bakaSirayeli, ukuba basondeze imisondezo yabo kuYehova, entlango yaseSinayi.
LEV.8.1	Wathetha uYehova kuMoses, esithi, 
LEV.8.2	Thabatha ooAron noonyana bakhe kunye naye, nezambatho ezo, neoli yokuthambisa, nenkunzi entsha yenkomo yedini lesono, neenkunzi zezimvu zibe mbini, nengobozi yezonka ezingenagwele; 
LEV.8.3	ulibizele ndawonye lonke ibandla emnyango wentente yokuhlangana.
LEV.8.4	Wenza uMoses ngoko uYehova wamwisela umthetho ngako; walibizela ndawonye ibandla emnyango wentente yokuhlangana. 
LEV.8.5	Wathi uMoses kwibandla, Yiyo le into awise umthetho ngayo uYehova ukuba yenziwe. 
LEV.8.6	UMoses wabasondeza ke ooAron noonyana bakhe, wabahlamba ngamanzi. 
LEV.8.7	Wamnxiba ingubo yangaphantsi, wambhinqisa umbhinqo, wamambathisa ngengubo yokwaleka, wamnxiba iefodi, wambhinqisa umbhinqo we-efodi, wayibhinqa ngawo; 
LEV.8.8	wamnxiba ubengo; elubengweni wafaka iiUrim neeTumim;* 
LEV.8.9	wamfaka unkontsho entloko; elunkontshweni ngaphambili wabeka imbasa yegolide, isithsaba esingcwele, njengoko uYehova wamwiselayo umthetho uMoses.
LEV.8.10	Wayithabatha uMoses ioli yokuthambisa, wawuthambisa umnquba neento zonke ezikuwo, wazingcwalisa; 
LEV.8.11	wafefa ngenxalenye yayo esibingelelweni izihlandlo zosixhenxe, wasithambisa isibingelelo nempahla yaso yonke, nohehema lwesitya sokuhlambela, noseko lwalo, ukuba zingcwaliswe ezo zinto. 
LEV.8.12	Wagalela inxalenye yeoli yokuthambisa kuAron entloko, wamthambisa ukuba angcwaliswe.
LEV.8.13	UMoses wabasondeza oonyana baka-Aron, wabanxiba iingubo zangaphantsi, wababhinqisa umbhinqo, wababopha iminqwazi, njengoko uYehova wamwisela umthetho uMoses.
LEV.8.14	Wasondeza inkunzi entsha yenkomo yedini lesono, bacinezela ooAron noonyana bakhe ngezandla zabo phezu kwentloko yenkunzi entsha yedini lesono. 
LEV.8.15	Yaxhelwa ke; walithabatha uMoses igazi, walidyobha wajikelezisa ezimpondweni zesibingelelo ngomnwe wakhe, isibingelelo wasihlambulula sona, waliphalazela igazi esisekweni sesibingelelo, wasingcwalisa, ukuba asicamagushele. 
LEV.8.16	Wawathabatha onke amanqatha asezibilinini, nomhlehlo wesibindi, nezintso zombini, nenqatha lazo, waqhumisela ngezo zinto uMoses esibingelelweni. 
LEV.8.17	Ke inkunzi entsha yenkomo, nesikhumba sayo, nenyama yayo, nomswane wayo, wayitshisa ngomlilo ngaphandle kweminquba, njengoko uYehova wamwisela umthetho uMoses.
LEV.8.18	Wayisondeza inkunzi yemvu yedini elinyukayo; bacinezela ooAron noonyana bakhe ngezandla zabo phezu kwentloko yenkunzi yemvu. 
LEV.8.19	Yaxhelwa ke; uMoses walitshiza igazi, wajikelezisa esibingelelweni; 
LEV.8.20	inkunzi yemvu wayityatya; waqhumisela uMoses ngentloko, nenyama, nenqatha. 
LEV.8.21	Wazihlamba izibilini neentungo ngamanzi, waqhumisela uMoses ngenkunzi yemvu iphela esibingelelweni. Lidini elinyukayo elo lokuba livumba elithozamisayo; kukudla kwasemlilweni oko kuYehova, njengoko uYehova wamwisela umthetho uMoses.
LEV.8.22	Wayisondeza neyesibini inkunzi yemvu, inkunzi yemvu yokumisela; bacinezela ooAron noonyana bakhe ngezandla zabo phezu kwentloko yenkunzi yemvu. 
LEV.8.23	Yaxhelwa ke; wacaphula uMoses egazini layo, walidyobha esithinzini sendlebe yasekunene ka-Aron, nasesithupheni sesandla sakhe sokunene, nakubhontsi wonyawo lwakhe lwasekunene. 
LEV.8.24	Wasondeza oonyana baka-Aron, uMoses wadyobha inxalenye yegazi esithinzini sendlebe yabo yasekunene, nasesithupheni sesandla sabo sokunene, nakubhontsi wonyawo lwabo lwasekunene. UMoses walitshiza igazi, wajikelezisa esibingelelweni.
LEV.8.25	Walithabatha inqatha, nomsila, namanqatha onke asezibilinini, nomhlehlo wesibindi, nezintso zombini, nenqatha lazo, nomlenze wasekunene; 
LEV.8.26	engobozini yezonka ezingenagwele, ephambi koYehova, wathabatha umqhathane ongenagwele wamnye, nomqhathane wesonka esineoli wamnye, nesonkana esisicaba sasinye, wabeka phezu kwamanqatha naphezu komlenze wasekunene. 
LEV.8.27	Wazibeka zonke ezo zinto ezandleni zika-Aron, nasezandleni zoonyana bakhe, wazitshangatshangisa, zaba ngumtshangatshangiso phambi koYehova. 
LEV.8.28	Wazithabatha uMoses ezandleni zabo, waqhumisela ngazo esibingelelweni, phezu kwedini elinyukayo: zaba lumiselo, laba livumba elithozamisayo, kwaba kukudla kwasemlilweni kuYehova oko. 
LEV.8.29	Wayithabatha uMoses incum, wayitshangatshangisa, yaba ngumtshangatshangiso phambi koYehova; inkunzi yemvu yomiselo yasisabelo sikaMoses, njengoko uYehova wamwisela umthetho uMoses.
LEV.8.30	Wacaphula uMoses eolini yokuthambisa, nasegazini elisesibingelelweni, wafefa kuAron nasezambathweni zakhe, nakoonyana bakhe, nasezambathweni zoonyana bakhe kunye naye, wamngcwalisa uAron nezambatho zakhe, noonyana bakhe nezambatho zoonyana bakhe kunye naye.
LEV.8.31	Wathi uMoses kooAron noonyana bakhe, Yiphekeni inyama emnyango wentente yokuhlangana, niyidle khona apho, nesonka esisengobozini yomiselo, njengoko ndawisayo umthetho, ndisithi, OoAron noonyana bakhe boyidla. 
LEV.8.32	Into eseleyo yenyama neyesonka noyitshisa ngomlilo. 
LEV.8.33	Ize ningaphumi emnyango wentente yokuhlangana, imihla esixhenxe, kude kube ngumhla wokuzaliseka kwemihla yokumiselwa kwenu; kuba bonimisela imihla esixhenxe. 
LEV.8.34	Njengoko kwenziwe ngako namhla, uYehova uwise umthetho ukuba kwenjiwe njalo ukunicamagushela. 
LEV.8.35	Nòhlala emnyango wentente yokuhlangana, imini nobusuku, imihla esixhenxe, nigcine isigxina sikaYehova, ukuze ningafi; kuba ndiwiselwe umthetho ngokunjalo.
LEV.8.36	Benza ooAron noonyana bakhe zonke izinto abewise umthetho ngazo uYehova ngesandla sikaMoses.
LEV.9.1	Kwathi ngomhla wesibhozo, uMoses wabiza uAron noonyana bakhe, namodada amakhulu akwaSirayeli. 
LEV.9.2	Wathi kuAron, Zithabathele ithole, inkonyana yenkomo, ibe lidini lesono, nenkunzi yemvu ibe lidini elinyukayo, ezo zinto zigqibelele, uzisondeze phambi koYehova; 
LEV.9.3	uthethe koonyana bakaSirayeli, uthi, Thabathani inkunzi exhonti yebhokhwe, ibe lidini lesono; nethole nemvana ezimnyaka mnye, ezigqibeleleyo, zibe lidini elinyukayo; 
LEV.9.4	nenkomo nenkunzi yemvu, zibe ngumbingelelo woxolo wokubingelelwa phambi koYehova; nomnikelo wokudla ogalelwe ioli: ngokuba namhla uYehova uya kubonakala kuni.
LEV.9.5	Bakuthabatha oko uMoses wawisa umthetho ngako, bakuzisa phambi kwentente yokuhlangana; lasondela lonke ibandla, lema phambi koYehova. 
LEV.9.6	Wathi uMoses, Lilo eli ilizwi uYehova awise umthetho ngalo ukuba nilenze: bobonakala ke ubuqaqawuli bukaYehova kuni. 
LEV.9.7	Wathi uMoses kuAron, Sondela esibingelelweni, wenze idini lakho lesono, nedini lakho elinyukayo, uzicamagushele okwakho nokwabantu; wenze umsondezo wabantu, ubacamagushele, njengoko uYehova wawisayo umthetho.
LEV.9.8	Wasondela ke uAron esibingelelweni, walixhela ithole ledini lesono elilelakhe. 
LEV.9.9	Balisondeza oonyana baka-Aron igazi kuye, wawuthi nkxu umnwe wakhe egazini, walidyobha ezimpondweni zesibingelelo, waliphalazela igazi esisekweni sesibingelelo. 
LEV.9.10	Ke inqatha, nezintso, nomhlehlo osesibindini, edinini lesono, waqhumisela ngezo zinto esibingelelweni, njengoko uYehova wamwisela umthetho uMoses. 
LEV.9.11	Ke inyama nesikhumba wazitshisa ngomlilo ngaphandle kweminquba.
LEV.9.12	Walixhela idini elinyukayo, oonyana baka-Aron balizisa kuye igazi; walitshiza wajikelezisa esibingelelweni. 
LEV.9.13	Balizisa kuye nedini elinyukayo ngeenyama zalo, nentloko 
LEV.9.14	Wazihlamba izibilini neentungo, waqhumisela ngezo zinto phezu kwedini elinyukayo esibingelelweni.
LEV.9.15	Wasondeza umsondezo wabantu, wathabatha ibhokhwe yedini lesono eyeyabantu, wayixhela, wenza idini lesono njengelokuqala. 
LEV.9.16	Wasondeza nedini elinyukayo, walenza ngokwesiko. 
LEV.9.17	Wawusondeza umnikelo wokudla, wazalisa isandla sakhe ngawo, waqhumisela ngawo esibingelelweni, ngaphezu kwedini elinyukayo lakusasa.
LEV.9.18	Wayixhela inkomo nenkunzi yemvu yombingelelo woxolo ongowabantu, balizisa oonyana baka-Aron igazi kuye, walitshiza, wajikelezisa esibingelelweni; 
LEV.9.19	namanqatha enkomo nawenkunzi yemvu, nomsila wayo, nomhlehlo, nezintso, nomhlehlo wesibindi. 
LEV.9.20	Bawabeka loo manqatha phezu kwazo iincum, waqhumisela ngamanqatha esibingelelweni. 
LEV.9.21	Ke iincum ezo, nomlenze lowo wasekunene, wazitshangatshangisa uAron zaba ngumtshangatshangiso phambi koYehova, njengoko wamwiselayo umthetho uMoses.
LEV.9.22	UAron waziphakamisela ebantwini izandla zakhe, wabasikelela; wehla ke ekulenzeni idini lesono, nedini elinyukayo, nombingelelo woxolo.
LEV.9.23	Bangena ooMoses noAron ententeni yokuhlangana; baphuma ke babasikelela abantu: babonakala ubuqaqawuli bukaYehova kubo bonke abantu. 
LEV.9.24	Kwaphuma umlilo ebusweni bukaYehova, walidla idini elinyukayo, namanqatha aphezu kwesibingelelo; babona bonke abantu, baduma, bawa ngobuso.
LEV.10.1	Ke kaloku oonyana baka-Aaron abangooNadabhi noAbhihu bathabatha elowo ugcedevu lwakhe, babeka umlilo kulo, babeka phezu kwawo isiqhumiso, basondeza phambi koYehova umlilo ongesesikweni, abengabawiselanga mthetho ngawo. 
LEV.10.2	Kwaphuma umlilo ebusweni bukaYehova, wabadla; bafa phambi koYehova. 
LEV.10.3	Wathi uMoses kuAron, Yilaa nto wayithethayo uYehova, wathi, Ndozingcwalisela abasondela kum, ndizizukise ebusweni babantu bonke; wathi cwaka uAron.
LEV.10.4	UMoses wabiza uMishayeli noElitsafan, oonyana bakaUziyeli, uyisekazi ka-Aron, wathi kubo, Sondelani nibathwale abazalwana benu, nibasuse phambi kwengcwele, nibasé ngaphandle kweminquba. 
LEV.10.5	Basondela ke, babathwalela ngaphandle kweminquba, beneengubo zabo zangaphantsi, njengoko watshoyo uMoses. 
LEV.10.6	Wathi uMoses kuAron, nakuElazare, nakuItamare, oonyana bakhe, Musani ukuziyeka ziyakazele iinwele zenu, ningazikrazuli iingubo zenu, ukuze ningafi, nokuze umsindo ungalifikeli ibandla lonke; abazalwana benu, yonke indlu kaSirayeli, bangákulilela bona ukutshisa akutshisileyo uYehova. 
LEV.10.7	Ize ningaphumi emnyango wentente yokuhlangana, hleze nife; kuba ioli yokuthambisa kaYehova iphezu kwenu. Benza ke ngokwelizwi likaMoses.
LEV.10.8	Wathetha uYehova kuAron, esithi, 
LEV.10.9	Musa ukusela wayini nasiselo sinxilisayo, wena noonyana bakho kunye nawe, ekungeneni kwenu ententeni yokuhlangana, ukuze ningafi. Ngummiselo ongunaphakade ezizukulwaneni zenu ke lowo; 
LEV.10.10	ukuze kwahlulwe okungcwele kokuhlambelayo, nokuyinqambi kokuhlambulukileyo; 
LEV.10.11	nokuze bayalwe oonyana bakaSirayeli ngemimiselo yonke awayithethayo uYehova kubo ngoMoses.
LEV.10.12	Wathetha uMoses kuAron, nakuElazare nakuItamare, oonyana bakhe abaselayo, wathi, Thabathani umnikelo wokudla oseleyo ekudleni kwasemlilweni kukaYehova, niwudle ungenagwele ecaleni lesibingelelo; kuba uyingcwele kangcwele lowo. 
LEV.10.13	Nize niwudle endaweni engcwele, kuba úmiselwe wena, úmiselwe oonyana bakho, ekudleni kwasemlilweni kukaYehova; kuba ndiwiselwe umthetho ngokunjalo.
LEV.10.14	Ke incum yomtshangatshangiso nomlenze womrhumo, ezo nto nozidla endaweni emhlophe, wena noonyana bakho neentombi zakho kunye nawe; kuba zimiselwe wena, zimiselwe oonyana bakho; zenizinikiweyo emibingelelweni yoxolo yoonyana bakaSirayeli. 
LEV.10.15	Umlenze womrhumo nencum yomtshangatshangiso yoziswa nokudla kwasemlilweni kwamanqatha, ukuba itshangatshangiswe ibe ngumtshangatshangiso phambi koYehova, ibe ngowakho noonyana bakho kunye nawe; ibe ngummiselo ongunaphakade, njengoko uYehova wawisayo umthetho.
LEV.10.16	Ibhokhwe yedini lesono wayifuna kunene uMoses. Yini? Itshisiwe. Waba noburhalarhume ngakuElazare noItamare, oonyana baka-Aaron abaseleyo, esithi, 
LEV.10.17	Kutheni na le nto ningalidlanga idini lesono endaweni engcwele? Kuba liyingcwele kangcwele; uniniké lona ukuze nibuthwale ubugwenxa bebandla, ukuze nilicamagushele phambi koYehova. 
LEV.10.18	Yabonani, alingeniswanga igazi lalo engcweleni phakathi; ninge nilidlile okunene engcweleni, njengoko ndawisa umthetho. 
LEV.10.19	Wathetha uAron kuMoses, esithi, Yabona, namhlanje basondeze idini labo lesono, nedini labo elinyukayo phambi koYehova; ndahlelwa zezi zinto. Ukuba bendilidlile idini lesono namhla, bekuya kulunga yini na emehlweni kaYehova? 
LEV.10.20	Weva uMoses; kwalunga emehlweni akhe.
LEV.11.1	Wathetha uYehova kuMoses nakuAron, esithi kubo, 
LEV.11.2	Thethani koonyana bakaSirayeli, nithi, Zizo ezi izinto eziphilileyo enodla zona ezintweni zonke ezizitho ziné ezisehlabathini: 
LEV.11.3	zonke izinto ezithiwe gqiphu uphuphu, ezimpuphu zicandwe kubini, ezetyisa umtyiso, ezintweni ezizitho ziné, nozidla ezo. 
LEV.11.4	Zezi zodwa eningayi kuzidla kwezetyisa umtyiso, nakwezithiwe gqiphu uphuphu: inkamela, ngokuba ityisa umtyiso, ke ayiluthe gqiphu uphuphu, iyinqambi kuni; 
LEV.11.5	nembila, ngokuba ityisa umtyiso, ke ayiluthe gqiphu uphuphu, iyinqambi kuni; 
LEV.11.6	nomvundla, ngokuba utyisa umtyiso, ke awuluthe gqiphu uphuphu, uyinqambi kuni; 
LEV.11.7	nehagu, ngokuba iluthe gqiphu uphuphu, ke ilucande kubini uphuphu, yabe ingawutyisi umtyiso, iyinqambi kuni. 
LEV.11.8	Inyama yezo nto ize ningayidli, nesidumbu sazo ningasichukumisi; ziziinqambi kuni.
LEV.11.9	Ezintweni zonke ezisemanzini nozidla ezi: zonke izinto ezinamaphiko namaxolo emanzini, ezilwandleni nasemilanjeni, nozidla zona. 
LEV.11.10	Ke zonke izinto ezingenamaphiko namaxolo ezilwandleni nasemilanjeni, enyakanyakeni yonke esemanzini, nasezintweni eziphilileyo ezisemanzini, 
LEV.11.11	zoba nezothe kuni, zibe nezothe kuni. Nize ningayidli inyama yazo; nezidumbu zazo zibe nezothe kuni. 
LEV.11.12	Zonke izinto ezingenamaphiko namaxolo emanzini zoba nezothe kuni.
LEV.11.13	Zezi ezintakeni ezoba nezothe kuni; zezingadliwa, zinezothe zona: ixhalanga, 
LEV.11.14	nosilwangangubo, nonomakhwezana; 
LEV.11.15	noontloyiya ngohlobo lwabo; nehlungulu lonke ngohlobo lwalo; 
LEV.11.16	nenciniba, nesihuluhulu, nengabangaba, nentambanane ngohlobo lwayo; 
LEV.11.17	nesikhova, nogwidi, nefubesi, 
LEV.11.18	nenkuku yamanzi, nengcwangube, nenkqo; 
LEV.11.19	nengwamza, nokhwalimanzi ngohlobo lwakhe, nobhobhoyi, nelulwane.
LEV.11.20	Yonke inyakanyaka enamaphiko, ehamba ngazitho ziné, yoba nezothe kuni. 
LEV.11.21	Zezi zodwa enozidla kwinyakanyaka yonke enamaphiko, ehamba ngazitho ziné, enemilenze yomibini entla kweenyawo zayo, yokuba itshakace ngayo emhlabeni; 
LEV.11.22	zezi ke kuzo enozidla: inkumbi ngohlobo lwayo, nesibotho ngohlobo lwaso, nomqhathu ngohlobo lwawo, nomcikwane ngohlobo lwawo. 
LEV.11.23	Ke yonke inyakanyaka enamaphiko, enazitho ziné, yoba nezothe kuni.
LEV.11.24	Ngenxa yayo noba ziinqambi; abachukumisa isidumbu sayo boba ziinqambi, bahlwise; 
LEV.11.25	bonke abasusa nto yesidumbu sayo, bohlamba iingubo zabo, babe ziinqambi, bahlwise. 
