MAT.1.1	Kɛse ɓo mɛtjil Isa al‑Masige. Naan̰ *goon Daud ɔɔ goon *Abraam.
LUK.19.38	Naaɗe ɗeek ɔɔ:
LUK.19.39	Gɔtn se *Parizigen kandum maakŋ jee dɛnge tu se, ɗeek Isa ki ɔɔ: «Debm dooy jeege, jee mɛti ki se, uunɗen kaamɗe kꞋdoa!» 
LUK.19.40	Isa tɛrlɗen ɔɔ: «ꞋBooyki mꞋasen taaɗa: kɛn naaɗe jaay doga kic lɛ, kogen tooɗ ɓaa se ɓo Ꞌtɔɔɗn tɔɔyɔ.»
LUK.19.41	Kɛn Isa aan cɛɛ Jeruzalɛm ki jaay uun kaamin̰ aak gɛgɛr se, naan̰ baag keeme, 
LUK.19.42	ɗeek ɔɔ: «Jeruzalɛm, bɛɛki num, ɓii jaaki se ɓo naai Ꞌjeel ɗoobm kɛn naai an Ꞌkɔŋ lapia naɓo aaca, nakŋ se naai ɔŋ aak ɔk te mɛtin̰ eyo. 
LUK.19.43	Ɗeere, ɓiigen utu aɗe ɓaa naan ki se, jee wɔɔyige utu kiin̰ gurugŋ nakŋ kɛn Ꞌgaasn jeeige kɔŋ teec eyo, jaay ɓo naaɗe utu ai kooco. 
LUK.19.44	Jee wɔɔyige se utu ai tɛrɛcɛ ɔɔ an tɔɔl ute jeeige ɔɔ ɓeigen jꞋiin̰in̰ se, naaɗe utu an̰ ru naŋ tak tak ɔɔ ko gam tap ɓo jꞋan̰ kɔŋ do naapin̰ ki eyo. Taa ɓii kɛn Raa ɓaayo kaaka se lɛ, naai Ꞌjeel te eyo.»
LUK.19.45	Naan̰ kɛn se, Isa ɓaa ɛnd daan bɔɔr Ɓee Raa ki, ɔɔ naan̰ baag tuur jeegen ɓaano te nakɗege gɛn zoa. 
LUK.19.46	Naan̰ taaɗɗen ɔɔ: «Taar se kꞋraaŋin̰ga raaŋ maakŋ Kitap ki, jꞋɔɔ: 
LUK.19.47	Ɓii‑raa, Isa se lee dooy jeege daan bɔɔr Ɓee Raa ki; gɔtn se *magal jee tɛɗn sɛrkɛ Raage tu, jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage ute magal Yaudge se, je ɗoobm an̰ tɔɔlɔ. 
LUK.19.48	Naɓo nakŋ jaay naaɗe an̰ tɛɗn don̰ ki se, naaɗe ɔŋ te ɗoobin̰ eyo, taa jeege paac je ɓo gɛn kiŋg booy taarin̰ kɛn naan̰ lee dooyɗe se sum.
LUK.20.1	Ɓii kalaŋ kɛn Isa dooy dooy jeege daan bɔɔr *Ɓee Raa ki, ɔɔ taaɗɗen taaɗn Labar Jiga se, gɔtn se, *magal jee tɛɗn sɛrkɛ Raage tu, jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage ute magal taa ɓee Yaudge se, ɓaaɗo ɔŋin̰a, 
LUK.20.2	ɔɔ tɔnd mɛtin̰a ɔɔ: «ꞋTaaɗjen tu, naai tap ɓo tɔɔgi se ɔŋin̰o gay jaay ɔli Ꞌtɛɗ nakgen bin se? Ey lɛ, kɛn ɛɗi tɔɔgɔ jaay ɔɔ Ꞌtɛɗn naan̰ se, tap ɓo naŋa?» 
LUK.20.3	Isa tɛrlɗen ɔɔ: «Maam kic mꞋɔk taara kalaŋ, mꞋje tɔnd mɛtse. ꞋTaaɗumki tu: 
LUK.20.4	kɛn ɔlo Jan‑Batist jaay *batiz jeege se, *Raa, lɔɓu jikilimge?»
LUK.20.5	Gɔtn se, naaɗe baag saapa ɔɔ taaɗ te naapa ɔɔ: «Naan̰ se, jꞋan̰ki tɛrl jꞋɔɔki ɗio? Kɛn kꞋtaaɗkiga jꞋɔɔki: ‹Raa› lɛ, naan̰ ajeki ɗeekŋ ɔɔ: ‹Gɛn ɗi jaay Ꞌbaate Ꞌkuunki taar Jan se?› 
LUK.20.6	Num kɛn kꞋtaaɗkiga jꞋɔɔki: ‹Jikilimge ɓo ɔlin̰o› lɛ, jee dɛnge se ajeki tund tɔɔl ute koa, taa jeege se lɛ paac jeel maakɗe ki Jan‑Batist se, naan̰ debm taaɗ taar teeco taar Raa ki.» 
LUK.20.7	Gɔtn se, naaɗe tɛrlin̰ ɔɔ: «Gɔtn naan̰ ɓaano se, naaje kꞋjeel eyo.» 
LUK.20.8	Isa tɛrlɗen ɔɔ: «Maam kic num, mꞋasen kɔŋ taaɗn debm kɛn ɛɗum tɔɔgɔ gɛn tɛɗn nakgen se eyo.»
LUK.20.9	Gɔtn se, Isa baag taaɗn jeege tu ute kaal naagŋ taara ɔɔ: «Gaaba kalaŋ tɛɗ jinɛn bin̰, ɔn̰in̰ kaam ji jeege ɔɔ taaɗɗen ɔɔ: kɛn jinɛnɛ se jaay oojga num naase kic aki kɔŋ bɛɗse. Ɔɔ naan̰ iin̰ ɓaa mɛrtɛ se gɛn tɛrl kɛskɛ eyo. 
LUK.20.10	Kɛn kaaɗn kugŋ koojn̰ bin̰ jaay aan se, naan̰ ɔlo debm tɛɗn naabin̰ gɔtn jeege tun lee tɛɗin̰ naaba maakŋ jinɛnin̰ ki se, taa an̰o Ꞌkɔkŋ bɛɗin̰a. Num gaŋ jee se ɔk tɔnd dɛrɛŋ debm kɛn naan̰ ɔlin̰o naaba se ɔɔ ɔn̰in̰ ɓaa jin̰ sik. 
LUK.20.11	Kɛn mɛl jinɛnɛ jaay aakin̰ naan̰ ɓaaɗo jin̰ sik se, naan̰ ɔl debm tɛɗn naabm kuuy daala. Naan̰ kic kɛn ɓaa aan se, naaɗe naajin̰a ɔɔ tɔnd dɛrɛŋin̰a tuurin̰ ɓaa jin̰ sik. 
LUK.20.12	Tɛr naan̰ ɔl debm tɛɗn naabm kuuy gɛn k‑mɔtɔge. Naan̰ se, naaɗe tɔnd awarin̰a ɔɔ tuurin̰ naatn.
LUK.20.13	«Gɔtn se, mɛl jinɛnɛ se baag taaɗ ute maakin̰ ɔɔ: ‹Kɛse tap ɓo mꞋan̰ tɛɗn mꞋɔɔ ɗi? Ɓɔrse maam mꞋaɗen kɔl goon maak‑jema; bin sum ɓo sɔm naaɗe Ꞌtookŋ kuun taarin̰a.› 
LUK.20.14	Num kɛn goon maak‑jen̰ jaay ɓaa ɔŋɗe se, ɔɔ jee tɛɗn naabge maakŋ jinɛnɛ ki jaay aakin̰ se, naaɗe baag taaɗn ute naapa ɔɔ: ‹Naan̰ se ɓo, kɛn bubin̰ ooyga num utu Ꞌtɛɗ mɛl jinɛnɛ se; iin̰ki kꞋtɔɔlin̰ki ɔɔ jinɛnɛ se, ajeki kɔɔpm naajege tu!› 
LUK.20.15	Bin se, naaɗe ɔk teecn̰sin̰ naatn maakŋ jinɛnɛ ki se ɔɔ ɓaa tɔnd tɔɔlin̰a.»
LUK.20.15	Isa tɔnd mɛtɗe ɔɔ: «Bin se, kɛn mɛl jinɛnɛ jaay ɓaaɗoga num, jee se naan̰ aɗen tɛɗn ɔɔ ɗi? 
LUK.20.16	Kɛn naan̰ jaay ɓaaɗoga se, jee se naan̰ aɗen tɔɔl naatn, ɔɔ jinɛnin̰ se lɛ naan̰ an̰ kɛɗin̰ kaam ji jeege tun kuuy.» Kɛn jeege jaay booy taar kɛn Isa taaɗɗen bin se, naaɗe ɗeek ɔɔ: «Nakgen bin se, ɔn̰te Ꞌkaana!» 
LUK.20.17	Gɔtn se, Isa aakɗe daan kaamɗe ki tɛn̰ɛn̰ ɔɔ ɗeekɗen ɔɔ: «Taar kɛn Raa taaɗn maakŋ Kitap ki gɔtn ese, je ɗeekŋ ɔɔ ɗi kɛn ɔɔ:
LUK.20.19	Gɔtn ese sum ɓo, jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage ute *magal jee tɛɗn sɛrkɛ Raage tu jaay booy taar se, naaɗe naar je an̰ kɔkɔ, naɓo naaɗe ɓeer jeege tu. Ey num, kaal naagŋ taar kɛn Isa taaɗ se, naaɗe jeelga, kɛse naan̰ taaɗ ute naaɗe.
LUK.20.20	Naan̰ kɛn se, jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage ute *magal jee tɛɗn sɛrkɛ Raage tu se baagin̰ tɔnd baala; naaɗe ɔlin̰ jeege gɔtin̰ ki ɔɔ jee se aal raay aan gɔɔ naaɗe jee tɛɗn nakgen ute ɗoobin̰a. Naaɗe je kɛn Isa jaay taaɗ tujn̰ga num, naaɗe an̰ kɔkŋ kɔlin̰ kaam ji magal taa naaŋ gɔtn ese. 
LUK.20.21	Naaɗe ɓaaɗo taaɗin̰ ɔɔ: «Debm dooy jeege, naaje kꞋjeeli naai se Ꞌtaaɗ taara ɔɔ Ꞌdooy jeege ute ɗoobin̰a, ɔɔ naai lɛ Ꞌtaaɗ Ꞌbɛɛr nam ki eyo; ɗoobm Raa se naai Ꞌdooyin̰ jeege tu ute kɛn mɛt ki. 
LUK.20.22	Ɓɔrse, Ꞌtaaɗjen tu: do *Ko Taar naajege tu se, Sezar se jꞋan̰ kɔgŋ miiri, lɔɓu jꞋan̰ kɔg ey lɛ?» 
LUK.20.23	Gaŋ Isa jeel raayɗe se, ɗeekɗen ɔɔ: 
LUK.20.24	«Uun Ꞌɓaankiro te tamma kalaŋ, mꞋan̰ kaak tu.» Naaɗe uun ɓaano ute tamma se Isa ki ɔɔ naan̰ tɔnd mɛtɗe ɔɔ: «Kaam‑nirl doa te ro kɛn kꞋraaŋin̰ maak ki se tap ɓo gɛn naŋa?» Naaɗe tɛrlin̰ ɔɔ: «Gɛn Gaar Sezar.» 
LUK.20.25	Gɔtn se naan̰ tɛrlɗen ɔɔ: «Kɛn bin num, nakŋ gɛn Gaar Sezar se, ɛɗin̰ki nakin̰a, ɔɔ gɛn Raa lɛ, ɛɗin̰ki nakin̰ kici.» 
LUK.20.26	Ute taar kɛn Isa jaay taaɗɗen naan jeege tu se, naaɗe ɔŋin̰ naan̰ taaɗ tujin̰ te eyo. Num taar kɛn naan̰ tɛrlɗesin̰ se, ɔkɗen taaɗ eyo ɔɔ gɔtn se ɔlɗe naaɗe do ɗɛk.
LUK.20.27	Gɔtn se jeegen kꞋdaŋɗe *Sadusege se, kandum bini, ɓaaɗo ɔŋ Isa. Ɔɔ naaɗe se ɓo kɛn naaj ɔɔ jeegen ooyga kooy se, aɗe kɔŋ dur daan yoge tu ey sum. Taa naan̰ se ɓo, naaɗe tɔnd mɛtn Isa ɔɔ: 
LUK.20.28	«Debm dooy jeege, *Musa raaŋjeno maakŋ Kitap ki ɔɔ: kɛn deba ɔk mɛnda jaay ooy ɔn̰ te goon ey se, bɛɛki num, gɛnaan̰ se Ꞌkɔkŋ mɛndin̰a taa koojn̰ mɛtjili gɛnaan̰ kɛn ooy se. 
LUK.20.29	ꞋƁooyo, gɛnaage cili, kon̰ɗe kalaŋ. Debm deet deet se ɔk mɛnda, naɓo ooy ooj te goon eyo. 
LUK.20.30	Debm k‑dige se kic ɓaaɗo ɔk mɛnd se. 
LUK.20.31	Ɔɔ debm gɛn k‑mɔtɔge tu se kic ɓo ɓaaɗo ɔk mɛnd se, bini ɔl naaɗen cili se tɔkŋ naamga mɛnd se paac. Naɓo maakɗe ki se, deb kalaŋ tap ɓo ooj te goon eyo. 
LUK.20.32	Ɔɔ kaam mɔɔtn se, mɛnda se kic ɓaaɗo ooyo. 
LUK.20.33	Bin se, ɓii kɛn jaay jeegen ooyga kooy aɗe dur daan yoge tu se, mɛnd se tap ɓo Ꞌtɛɗn mɛnd naŋa? Taa naaɗen cili se lɛ, tɔk naamin̰ga paac.»
LUK.20.34	Gaŋ Isa tɛrlɗen ɔɔ: «ꞋBooyki: jee do naaŋ ki ara se, gaabge ute mɛndge se lee tɔkŋ naapa. 
LUK.20.35	Num ɓii kɛn Raa dur jeegen ooyga kooy daan yoge tu se jee kɛn naan̰ bɛɛr tɔɔɗɗenga tɔɔɗn kɛn ɓaa tiŋg maakŋ duni kɛn kuuy se, naaɗe se Ꞌkɔŋ tɔkŋ naap ey sum. 
LUK.20.36	Anum mɔɔtn naaɗe Ꞌkɔŋ kooy eyo, taa naaɗe se Ꞌtec aan gɔɔ *kɔɗn Raage. Ɔɔ naaɗe se Ꞌtɛɗga gaan Raage taa naaɗe duroga daan yoge tu se. 
LUK.20.37	Ɔɔ mɛtn taar jeegen utu Ꞌdur daan yoge tu se, Musa mala, taaɗin̰ga taaɗ do dɔkin̰a, kaaɗ kɛn naan̰ aako pooɗo ɔk kɔk maakŋ ji kaag ki. Naan̰ kɛn se ɓo, Musa daŋ Mɛljege Raa ɔɔ Raa gɛn *Abraam, Raa gɛn Isaka ɔɔ Raa gɛn *Yakub. 
LUK.20.38	Raa se, naan̰ Raa jeegen ooyga kooy eyo, num naan̰ se, Raa jee zɛɛrɛ; gɔtn naan̰ ki se, jeege paac utu iŋg zɛɛrɛ.» 
LUK.20.39	Gɔtn ese, jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage kandum, ɗeekin̰ ɔɔ: «Debm dooy jeege, taari se, naai taaɗin̰ga jig aak eyo.» 
LUK.20.40	Taa naan̰ se, gɛn tɔnd mɛtin̰ do taarge tun kuuy se, mɔɔtn nam tɔnd te mɛtin̰ ey sum.
LUK.20.41	Tɛr Isa tɔnd mɛtɗe ɔɔ: «ꞋTɛɗ ɔɔ ɗi jaay naase Ꞌtaaɗki ɔɔki al‑Masi, naan̰ Goon Daud se? 
LUK.20.42	Taa Daud mala, taaɗ maakŋ Kitapm Kaa Keem Raa ki ɗeek ɔɔ:
LUK.20.44	«Kɛn Daud jaay ɓo daŋin̰ Mɛlum se, anum tɛɗ ɔɔ ɗi jaay Mɛlin̰ Ꞌtɛɗn goon Daud se?»
LUK.20.45	Kaaɗ kɛn jee dɛnge paac iŋg booy booy taarin̰ se, Isa ɗeek jeege tun mɛtin̰ ki ɔɔ: 
LUK.20.46	«Ɔɔɗki dose ro jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage se, taa naaɗe se je lee te kal magalɗege gɛn magal roɗe, ɔɔ kɛn ɓaaga bɔɔr ki se, naaɗe je jeege aɗen tɛɗn tɔɔsɛ naaɗe ki. Ɔɔ kɛn naaɗe jaay aanga maakŋ *ɓee kɛn Yaudge lee tusn maak ki se, naaɗe je kiŋg gɔtn naan ki ɔɔ kɛn aanga gɔtn kɔs ki se, naaɗe je gɔtn naan ki kici. 
LUK.20.47	Naaɗe se ɓo jee kɛn ɔs naŋ ji mɛnd‑daayge ɔɔ kɛn naaɗe jaay ɓaaga keem Raa num, naaɗe uulu uulu taa jeege aɗe kaaka. Num gaŋ naaɗe se, Raa utu aɗe dabar kusin̰ aak eyo.»
LUK.21.1	Gɔtn se, daan bɔɔr *Ɓee Raa ki se, Isa uun kaamin̰ aak jee maalgen ɔmb kɔmb sɛrkɛ Raa ki maakŋ tukul kaag ki se. 
LUK.21.2	Maakɗe ki se, naan̰ aak mɛnd‑daay kalaŋ kic kɛn ɔɔɗ kɔɔɗ yɛɛɓin̰a ɓaaɗo ɔmb tammage sɛɛm sɛɛm dio. 
LUK.21.3	Ɔɔ Isa ɗeekɗen ɔɔ: «ꞋBooyki bɛɛ, mꞋasen taaɗa: mɛnd‑daay kɛn daay naŋ takŋ ese se, ɔmbga dɛn cir jee ɓaa se paac. 
LUK.21.4	Taa jeegen se paac se ɛɗ do nak dɛnɗe ki, gaŋ mɛnd‑daay se nakŋ naan̰ ɔkŋ kɛn an tiŋg se ɓo, naan̰ ɓaaɗo ɔmbin̰ paac.»
LUK.21.5	Gɔtn se jee mɛtin̰ge taaɗ ɔɔ: «*Ɓee Raa se, ute kogen jꞋiin̰in̰ga ute nakgen jeege ɓaano *sɛrkɛ Raa ki jaay kꞋtamarin̰ tɛɗ aak bɛɛ bɛɛ se.» Gaŋ Isa ɗeekɗen ɔɔ: 
LUK.21.6	«Ɓii kalaŋ se, ɓee kɛn aakin̰ki ɗaar aak bɛɛ bɛɛ se, jeege utu an̰ ru naŋ tak. Kon̰gen rɛɛs aak bɛɛ bɛɛ se, utu wɔɔkŋ kalaŋ kalaŋ ɔɔ ko tap ɓo Ꞌkɔŋ tooɗn do naapin̰ ko ki eyo.»
LUK.21.7	Gɔtn se, jee mɛtin̰ ki se tɔnd mɛtin̰a ɔɔ: «Debm dooyje, Ꞌtaaɗjen tu, nakgen se Ꞌkaan nuŋ ki? Ɔɔ naan̰ se Ꞌtɛɗn ɔɔ ɗi jaay ɓo naaje jꞋan kaakŋ jeel ro ki se?» 
LUK.21.8	Isa taaɗɗen ɔɔ: «Ɔndki kɔndɔ! Ɔn̰te Ꞌkɔn̰ki jeege asen kaan̰ dala. Taa jeege dɛna utu aɗe ɓaa ute roma ɔɔ utu asen taaɗn ɔɔ: ‹Maam ɓo *al‑Masi› ɔɔ: ‹Ɓɛrɛ, kaaɗn dunia aan naŋ se, ɔɔpga gɔɔrɔ.› Jee bin se, ɔn̰te Ꞌtookki taarɗe.
LUK.21.9	«Kɛn Ꞌbooykiga jeege jaay baaga kɔɔsn maan bɔɔrɔ, ɔɔ jeege baagga tɛɗn pitini te naapa num, ɔn̰te Ꞌɓeerki. Taa nakgen se jaay utu Ꞌkaana naɓo, duni se Ꞌkɔŋ naŋ ey ɓɔrtɔ.»
LUK.21.10	Tɛr Isa taaɗɗen ɔɔ: «Naase utu aki kaakŋ jee taa naaŋ kaam kalaŋ utu kiin̰ bɔɔrɔ ute jee taa naaŋ kuuy. Taa naaŋ gaar kaam kalaŋ utu kiin̰ bɔɔrɔ te taa naaŋ gaar kɛn kuuy. 
LUK.21.11	Maakŋ naaŋge tun mɛtin̰ naaŋa utu Ꞌte makɔn̰ɔ ɔɔ gɔtgen mɛtin̰ge se ɓo utu Ꞌtɔɔlɔ ɔɔ kɔɔn̰gen ɗɛt ɗɛt se utu Ꞌkaan do jeege tu. Maakŋ raa ki se, naase utu aki kaakŋ nakŋ‑kɔɔɓgen magal magal kɛn utu Ꞌteecn̰ nirl jeege.
LUK.21.12	«Kɔr jaay nakgen se Ꞌkaan se, naase jꞋutu jꞋasen tɔkɔ, jꞋasen dabara ɔɔ jꞋutu jꞋasen kɔjn̰ bɔɔrɔ maakŋ *ɓee kɛn Yaudgen lee tusn maak ki se ɔɔ jꞋutu jꞋasen tɔl daŋgay ki. Ɔɔ taa maam se, jꞋutu jꞋasen ɓaa naan gaarin̰ge tu ute naan magal taa naaŋge tu. 
LUK.21.13	Kɛn nakgen se jaay Ꞌkaan dose ki se, naase amki tɛɗn saaɗumge. 
LUK.21.14	Kɛn Ꞌɓaaki ɓaa se ɔndin̰ki dose ki jiga ɔɔ ɔn̰te Ꞌsaapki do taar kɛn naase anki nakŋ dose, 
LUK.21.15	num maam mala ɓo mꞋutu mꞋasen kɛɗn jeel‑taara ute taargen naase aki ɓaa taaɗa; kɛn naase jaay Ꞌbaagkiga taaɗa se, jee taamooysege se paac Ꞌkɔŋ naajn̰ do taarse ki eyo ɔɔ Ꞌkɔŋ ɗoobm kɛn asen Ꞌkɔŋ tɛrl taar eyo. 
LUK.21.16	Ɔɔ tɛr kɛn̰sege ute bubsege, gɛnaasege, taassegen gɔɔrɔ ute mɛɗsege se, utu asen tɔkŋ tɔl ji jee wɔɔysege tu ɔɔ maakse ki se, jee mɛtin̰ge jꞋutu jꞋaɗen tɔɔlɔ.
LUK.21.17	«Taa maam se, jeege paac utu asen kɔɔɗn kundu. 
LUK.21.18	Naɓo bɛɛkŋ dose kic ɓo, kalaŋ Ꞌkɔŋ kut eyo. 
LUK.21.19	Ɔkki maakse tɔɔgɔ. Aayki kaamse ɔɔ naase aki kɔŋ *kaajn̰ gɛn daayum.»
LUK.21.20	Tɛr Isa taaɗɗen daala ɔɔ: «Kɛn naase jaay aakkiga asgarge ɓaaɗo ɔl gurugga Jeruzalɛm num, Ꞌjeelki kɛse kaaɗn tɛrɛcin̰, ɓɛrɛ aanga. 
LUK.21.21	Bin se, jee kɛn iŋg taa naaŋ Jude ki se kꞋjꞋaan̰ kꞋjꞋook maakŋ koge tu ɔɔ jeegen iŋg maakŋ gɛgɛr kɛn Jeruzalɛm ki se, kꞋjꞋaan̰ kꞋteecn̰ naatn ɔɔ jeegen naatn lɛ, jꞋɔn̰te tɛrlo ɓeene. 
LUK.21.22	Taa ɓii kɛn se ɓo, *Raa utu Ꞌkɔjn̰ bɔɔrɔ do jeege tu aan gɔɔ kɛn Kitapm Raa taaɗno. 
LUK.21.23	Ɓii kɛn se, mɛndgen mɛndkaamge ute ko gaangen gɛnɗege aay kaay si se, aɗen tɛɗn ɔɔn̰ aak eyo. Taa Raa se, maakin̰ taarin̰ do jeege tun taa naaŋ kɛn gɔtn ese ɔɔ naaɗe se, utu Ꞌkɔɔɗn yɛɛɓɗe dɛna. 
LUK.21.24	Jee Jeruzalɛm ki se, jꞋutu jꞋaɗen tɔɔl ute gɔrɗ‑jɛrlɛ ɔɔ jꞋaɗen dirin̰ ɓulu ɔɔ jꞋaɗen wɔɔkŋ maakŋ naaŋge tu paac. Ɔɔ Jeruzalɛm se, jꞋutu jꞋan̰ kɔsɔ, ɔɔ jeegen Yaudge ey se utu kiŋg doɗe ki bini kaaɗɗe utu Ꞌkaas jaayo.»
LUK.21.25	Tɛr Isa taaɗɗen daala ɔɔ: «Naan̰ kɛn se, daan kaaɗ ki, laap ki ɔɔ maakŋ k‑dijge tu se utu aki kaakŋ nakŋ‑kɔɔɓge. Ɔɔ kuulu utu Ꞌkɔl do baar ki ɔɔ Ꞌtɛɗn maane Ꞌtɔnd te naapa Ꞌkeem makɔn̰ pum pum ɔɔ Ꞌtɛɗn jeegen do naaŋ ki paac se, ɓeere aɗen kɔkɔ ɔɔ nirlɗe utu Ꞌteece. 
LUK.21.26	Jeege jaay Ꞌkaakŋ nakgen ɔɔn̰ utu ɓaaɗo do naaŋ ki se, jee mɛtin̰ge se ɓeere sum ɓo utu aɗen tɔɔlɔ, taa nakgen ɔk tɔɔgɔ maakŋ raa ki paac se, utu Ꞌtea. 
LUK.21.27	Gɔtn se, jeege Ꞌkaakŋ Goon Deba utu aɗe bɔɔy maakŋ gapara ki aɗe ɓaa ute tɔɔgŋ Raa, kɛn Ꞌtɛɗn gɔtɔ wɔɔr kɛlɛŋ. 
LUK.21.28	Kɛn nakgen se jaay baagga kaan num, Ꞌɗaapki rose ɔɔ uunki dose raan, taa Raa se ɔɔpga gɔɔrɔ asen kɔɔɗn dose.»
LUK.21.29	Tɛr Isa aalɗen naagŋ taara ɔɔ: «Aakki tu ko ba ute kaaggen kuuy paac se. 
LUK.21.30	Kɛn naaɗe jaay baagga dɔɔb kamba num, naase Ꞌjeelki ɔɔki mɛt‑kijiri aanga ɔɔ ɓara ɔɔpga gɔɔrɔ. 
LUK.21.31	Bin num, naase kic ɓo aakkiga nakgen se jaay baagga kaan se, Ꞌjeelki *maakŋ Gaar Raa se ɔɔpga gɔɔrɔ. 
LUK.21.32	ꞋBooyki bɛɛ mꞋasen taaɗa: jee duni kɛn ɓɔrse se Ꞌkooy naŋ ey sum ɓo, nakgen se paac utu Ꞌkaana. 
LUK.21.33	Maakŋ raa ute do naaŋa se utu Ꞌdeele, num taarumge se, Ꞌkɔŋ deel eyo.»
LUK.21.34	Isa taaɗɗen daala ɔɔ: «Ɔndki kɔndɔ. Ɔn̰te Ꞌdɛrlki rose gɛn kaay koono, ro kɔs magal ki ɔɔ ɔn̰te kuunki nirlse do nakge tun *duni ki; ey num ɓii kɛn *Goon Deba aɗe ɓaa se, asen kɔkŋ do jise ki, 
LUK.21.35	aan gɔɔ gakala lee tɔnd daage se. Jeege paac do naaŋ ki se kic ɓo nakŋ se utu aɗen kaan doɗe ki bini. 
LUK.21.36	Num naase iŋgki do mɛtɛkse ki; eemki Raa daayum taa nakgen se kɛn aan dose kic ɓo asen tɛɗ ɗim eyo. Ɔɔ ɓii kɛn naane se, naase aki ɓaa ɗaar naan Goon Deb ki.»
LUK.21.37	Ɓii‑raa Isa lee dooy jeege daan bɔɔr *Ɓee Raa ki ɔɔ kɛn aanga nɔɔr num, naan̰ teec ɓaa lee tooɗ do *kɔsn ɔlib ki. 
LUK.21.38	Kɛn gɔtɔ iipga num, jeege paac ɓaaɗo lee ɔŋin̰ daan bɔɔr Ɓee Raa ki gɛn booy taarin̰a.
LUK.22.1	Ɓii laa mappan ɔk ɔrɔm eyo kɛn kꞋdaŋin̰ *laa Paak jaay ɔɔp gɔɔr se, 
LUK.22.2	gɔtn se, *magal jee tɛɗn sɛrkɛ Raage tu ute jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage je ɗoobm an goon̰ kɔkŋ Isa taa an̰ ɓaa tɔɔlɔ, naɓo naaɗe ɓeer ɓeer jeege tu.
LUK.22.3	Gɔtn se *Ɓubm sitange ɓaaɗo ɛnd maakŋ Judas, kɛn kꞋdaŋin̰ Iskariɔt se ɔɔ naan̰ kic mɛtn jee Isagen kɛn sik‑kaar‑dio. 
LUK.22.4	Naan̰ ɓaa taaɗ ute magal jee tɛɗn sɛrkɛ Raage tu ute magal jee kɛn lee bɔɔb *Ɓee Raa se, taa Ꞌkɔŋ raay kɛn naan̰ an kɔkŋ Isa aɗesin̰ kɛɗa. 
LUK.22.5	Kɛn naaɗe booy taar se, maakɗe raapo ɔɔ naaɗe taaɗin̰ga taaɗ ɔɔ utu an̰ kɛɗn gurs. 
LUK.22.6	Naan̰ kɛn se, Judas tooko ɔɔ baag toom Isa taa kɛn naan̰ jaay aak jeege gɔtɔ num, naan̰ aɗesin̰ taaɗa ɔɔ naaɗe an̰ kɔkɔ.
LUK.22.7	Ɓii gɛn laa mappan ɔk ɔrɔm ey jaay aan se, ɓii kɛn se ɓo bɛɛki num, kꞋtɔjn̰ gaan baatge gɛn laa Paak gɛn Yaudge. 
LUK.22.8	Taa naan̰ se ɓo, Isa ɔl Piɛr ute Jan ɗeekɗen ɔɔ: «ꞋƁaa Ꞌtɛɗjeki kɔsɔ gɛn laa Paak taa jꞋaki ɓaa kɔsɔ.» 
LUK.22.9	Naaɗe tɔnd mɛtin̰ ɔɔ: «Naai Ꞌje jꞋaisin̰ tɛɗn kaam gay?» 
LUK.22.10	Isa tɛrlɗen ɔɔ: «ꞋƁooyki: kɛn Ꞌɓaaki ɓaa maakŋ gɛgɛr ki se, naase aki dɔɔɗn ute gaaba uuno kɔɔyɔ ɗooc te maane se. Ɔkki mɛtin̰a ɔɔ Ꞌɓaaki maakŋ ɓee kɛn naan̰ an kɛnd maak ki se. 
LUK.22.11	Kɛn aankiga num, Ꞌtaaɗki mɛl ɓee ki se ɔɔki: ‹Debm dooy jeege ɔljeno ɔɔ kꞋtɔnd mɛti ɔɔ ɓee gay jaay ɓo naan̰ an kɔsn kɔsn laa Paak te jee mɛtin̰ ki se?› 
LUK.22.12	Num naan̰ asen taaɗn ɓee magala kɛn jꞋiin̰in̰ do ɓee ki raan, ɔɔ maakŋ ɓee se, nakin̰ge paac aas kart. Gɔtn ese ɓo ajeki tɛɗn kɔsn gɛn laa Paak.» 
LUK.22.13	Kɛn naaɗe ɓaa aan se, ɔŋ nakge se paac aan gɔɔ kɛn Isa taaɗɗeno. Gɔtn se ɓo naaɗe tɛɗ kɔsn gɛn laa Paak.
LUK.22.14	Kɛn kaaɗn kɔsɔ jaay aan se, Isa ɓaaɗo iŋg kaaɗn tabil ki ute jee kaan̰ naabin̰ge. 
LUK.22.15	Gɔtn se Isa ɗeekɗen ɔɔ: «Maam mꞋje ute maakum paac mꞋkɔsn *laa Paak ute naase jaay ɓo mꞋdabara. 
LUK.22.16	ꞋBooyki mꞋasen taaɗa: maam mɔɔtn tap ɓo Laa Paak se, mꞋkɔŋ kɔs ey sum, bini nakŋ kɛn Laa Paak je taaɗa se utu Ꞌkaan ɗoobin̰ ki *maakŋ Gaar Raa ki.»
