MAT.1.1	Abraham chapa Devid, ava Chapa Jisu Khrista ki charuwl Laaika. 
MRK.14.27	Ungta Jisu ngi mhin inni theda, “Naanna akheng inni tluw chtir naan di; mleija hanto kjit dok da, ‘Neiji jao krung prei nik di, ungu mjao rek ava kinvei tir chra.’ 
MRK.14.28	Pdainu Neiji krin kardel diltha, naan aduwnni Galil tha vang nik di.” 
MRK.14.29	Pdainu Pitor ri Mhin theda, “Mmaan mkheng ktluw kurthuwk daat joso nea tluw ni maang.” 
MRK.14.30	Ungbi Jisu ngi mhin theda, “Kinditti, Neiji ahin kthea, snii jaan kat ti harkhuwng ngi vei knii mkhuwn du ngi, nangva vei kdum mmat na di.” 
MRK.14.31	Pdainu mma ngi kheel setti theda, “Nah adiyo ṭhi kma donle, amat ni maang.” Ungta mkheng inni anto the sap lamda.
MRK.14.32	Ungta mmaanni Getsamani tdit mun thung va lamda; ungu msiikhu rek hin Mma ngi theda, “Neiji kṭhil chaak slii arlaanni, hava thu eku ong daat in.” 
MRK.14.33	Ungta Mma ngi Pitor, Jeems, ungu Johon ṭhi da, mun ava thung ngi kheel sii ki kja kakham pṭhun da. 
MRK.14.34	Ungta Mma ngi mhin inni theda, “Kdiyou daat rang ngi kraothla ava kja kcha a; hava thu am inra, mik khut ahar chaan.” 
MRK.14.35	Ungu Mma ngi kla betti va kursown thida, dul leen tpee da ṭhil chda, “Mkurthut de rang ta, hava ṭhang nga mhai sown pik cha.” 
MRK.14.36	Ungta Mma ngi theda, “Abba, Apah, Nah ahinva mkheng nga kurthuwk lu; hava kihin ki tong ava mhailo pik cha; anto daat joso Nei kuplung bin rang pme, pdainu Nah aplung bin daat ra.” 
MRK.14.37	Ungu Mma ngi marvan thungta, siikhu rekka ki iip daatti pha lamda, ungbi Mma ngi Pitor hin theda, “Simon ki iip slii daat im ti mo? ṭhang khat pang thung ngi mik khut har pchaang mti mo? 
MRK.14.38	Kepthleem thu atlaak ma nraan, mik khut ahar inra aṭhil chaan; pthla va mngeenna pdainu daksaa va ksowlla.” 
MRK.14.39	Ungta Mma ngi va nowl da mdo ṭhil ksa pauna ava hep daatti ṭhil chnowl da. 
MRK.14.40	Ungu Mma ngi marvan thungta, ki iip daatti pha nowl lamda, mleija mmik inna kdung ngi rik da; mdo arthaan nraan dei chlam me. 
MRK.14.41	Ungta mvei kdum na marvan thu, mhin inni theda, “Ki iip tlit daatti karnga in pti mo? Ko khoppa; ṭhang kvei dokka; Mii Chapa ava krokma mii ava ngi pnu ktong rek khut thu mparlaan dokka. 
MRK.14.42	Ekardel in, vang in che; asuw in, mukrokma ava knaija!”
MRK.14.43	Ungta tun kat daatti,Mma ngi mpau slii daat arlaanni, sowm lei knii arlakki khat, Juda ava ngi thiimpu kinreel rek leh Nowlam chukpu rek ungu kver rek hinki mii knempok ṭhi da, kaang ksaang leh kchung rek sin lamda thleng da. 
MRK.14.44	Tunva krokma mii ava ngi titinna khat pii lamda theda, “Neiji miilai khat kdo put ra, Mma ava akjowng inra aseel psuk chaan.” 
MRK.14.45	Ungu mma ngi arva da, “Chukpu!” kdingi theda, put da. 
MRK.14.46	Ungta mmaanni khut kjownni kjowng lamda. 
MRK.14.47	Pdainu krip daat rek arlakki khatti, mkaang ksaang maklee thungta, thiimpu kinreel suwk khat knaa sel buk da 
MRK.14.48	Ungbi Jisu ngi mhin thaanni theda, “Naanni kuppru hal chda kthleng lulu ngi, kaang ksaang rek leh kchung rek sin in ti mukukjowng ra kthleng in pti mo? 
MRK.14.49	Nit kurnowlli luwbuk Inn thu kpurchuk ra aju am ṭhiinnu, ungu naan ruk va mukjowng maan ti. Pdainu Laaika mkurkhum na kurthuwk so.” 
MRK.14.50	Ungta mkheng inni ma pthii lamda chen chtir lamda. 
MRK.14.51	Ungta kseenao khatti mdona ktaakki buw laak khatti mdak kparyeel da, Jisu dil ṭoi da, ungbi mma ruk kjown kthen lamda. 
MRK.14.52	Pdainu mbuw laak var pthii thida mchai daatti chen chda.
MRK.14.53	Ungta mmaanni Jisua thiimpu kparthaang hin ṭhi lamda; thiimpu kinreel rek, kver rek, Nowlam chukpu rek mkheng thuwk kurbuk lamda. 
MRK.14.54	Ungu Pitor va lam karlatti, thiimpu kparthaang dulbuk kpha dekki mdil ṭoi da; ungta kseel mii rek tu mdak kpurlum ra mei tur oida ku ong lamda. 
MRK.14.55	Tunva thiimpu kinreel rek leh karseel lop mkheng ngi Jisu rinpaumin kro kma ngi, mdo eayo nraan ki mlam thlaam lamda; pdainu mmaanni khdaat pre pha lamme. 
MRK.14.56	Mleija Mma krokma ngi mii knempokki kindit kma sakhi pii lamda, pdainu mdo theenna kinṭim sii me. 
MRK.14.57	Ungta Mma krokma mii angṭhe ngi rip da kindit kma sakhi hanto pii lamda, 
MRK.14.58	“Neenni Mma do the karyaak in, ‘Khut do sak hava luwbuk Inn ava Neiji ea krep thi nik donle, khut do sak ma khat nowl nii kdum thung ngi Neiji sa nik di’ dida theda.” 
MRK.14.59	Ava daat ruk va mrinpaumin mdo theenna kinṭim siime. 
MRK.14.60	Ungta mṭim merri thiimpu kparthaang ngi rip da, Jisu hin paukhewl da, “Nang va arthawng nim ti mo? Hava mii rekki arin paumin mdo rot maanna talu lei da?” 
MRK.14.61	Pdainu Mma ngi karthawng kma rim kdi am chda. Veikhat nowlli thiimpu kparthaang ngi Mhin paukhewl da, “Nah suw kṭha Chapa Khrista pti mo?” 
MRK.14.62	Ungbi Jisu ngi theda, “Nei ping; Mii Chapa ngi ru ktang chang ktong tha ku ong donle, parwaan ki armei thu kurjung nang ngi dei na di.” 
MRK.14.63	Ungta thiimpu kparthaang ngi mdona jen thida theda, “Talu lei nenni sakhi murson ta thlaam raan da? 
MRK.14.64	Isowr kjowm cha ngi mpau pda naanni aryaak sap inna. Naanva tak heppi areel inna?” Mkheng inni mdo aeyo nuwm lei inni psul sap lamda. 
MRK.14.65	Mii angṭhe va mleen ptil kbal kupthot pṭhun da, mmai kuhuwm lamda, prei lamda, “Apurphuwng,” kdingi the lamda. Ungu kseel rek va tuthuw chlam da.
MRK.14.66	Ungta Pitor ri dulbuk thu ma am daat arlaanni, thiimpu kparthaang sra owr snu miilai khatti; 
MRK.14.67	Pitor ri mei mdo tur oi dei da, mhin suw rim thida theda, “Nang rukka Nasareth ki Jisu ava dil kṭoi pti.” 
MRK.14.68	Pdainu mma ngi mat da, “Nah ado thea neiva tdee dee ngi dei maang kdei ruk kurthuwk maang,” dida theda. Ungta mma ngi paltong lam ktong tha vang thuwk da. 
MRK.14.69	Ungta sra owr snu ava ngi dei da, ungbi mbe ngi krip daat rek hin theda, “Hava miilai rukka mmaan arlakki khat,” dida kthe pṭhun nowl da. 
MRK.14.70	Pdainu mma ngi mat nowl da. Ungta ma am bongle mbe ngi krip daat rekki Pitor hin the nowl lamda, “Ksoi liit kma nang rukka mmaan arlakki khat munna; mleija nang rukka Galil mii pti.” 
MRK.14.71	Pdainu mma ngi mdaksaa kartham da kthe pṭhun da, “Naan do the hava Miilai ava neiji dei chliit maang.” 
MRK.14.72	Ungta tun kat daatti harkhuwng ngi mvei knit na khuwng da. Ungbi Pitor ri Jisu pauthe ava bin phaak da, “Harkhuwng ngi vei knii mkhuwn du ngi nangva vei kdum mro nim ti.” Ungu mma ngi mning ksiinni ṭap da.
MRK.15.1	Ungta jiingsun mpha mvee daat le, thiimpu kinreel rekki, kver rek leh Nowlam chukpu rek, ungu karseel lop mkheng tu kurkuk lamda, karkhal nlamda; ungu Jisua bowl lamthida Pilat hin parlaan lamda. 
MRK.15.2	Ungta Pilat ti Mhin paukhewl da, “Nah Jihudia rek Kruwng pti mo?” Ungbi Mma ngi mhin arthawng da, “Nah dothe ava ping.” 
MRK.15.3	Ungu thiimpu kinreel rekki do knempokki mraal pii lamda. 
MRK.15.4	Ungta Pilat ti Mhin paukhewl nowl da, “Nangva arthawng nim ti mo? Asuw, mmaanva akro kma ngi tija thu araal atpiik lamma.” 
MRK.15.5	Pdainu Jisu va do khat lee arthawng purjom me, ava leiji Pilat ta ngak chda.
MRK.15.6	Tunva kmaal lu kchok thungva rowng inn thungki mmaan do ngei miilai khat khat mdo pthuw kcholu. 
MRK.15.7	Ungta rowng inn thung ngi, paam kurlownni mii ke eayou, jai klah rek arlakki, Barabas tdit miilai khat amda. 
MRK.15.8	Ungu kurtuwl mii rekki Pilat hin hang lamda, chodu chodilli mdo pthuw kcho nopa ava mdo tlot pik nlam ra kaktham pṭhun lamda. 
MRK.15.9	Ungbi mma ngi mhin inni arthawngda, “Naan tummi jehudia rek kruwng kdo pthuw ra angei inna?” 
MRK.15.10	Mleija thiimpu kinreel rek kheithe ngi Mma ava mhin mdo parlaan in tdit deida. 
MRK.15.11	Pdainu makchang ra Barabas mdo pthuw nra, thiimpu kinreel rekki kurtuwl mii rek ksop lamda. 
MRK.15.12	Ungta Pilat ti mhin inni the nowl da, “Ava mkurthut tu naanni Jihudia rek Kruwng ado dit in Mma ava neiva tak pardit nik di?” 
MRK.15.13	Ungbi mmaanni owng nowl lamda, “Mma ava khros leen apthoi.” 
MRK.15.14	Ungu Pilat ti mhin thaanni theda, “Talu lei, Mma va talu kṭha kma mtlot da?” Pdainu mmaanni kheel set setti owng lamda, “khros leen apthoi.” 
MRK.15.15	Ava leiji Pilat ti kurtuwl mii rek plung pngam nuwm da, mtum raan Barabas pthuwk thida; Jisua mmeel kthii lang lang ngi bun da khros leen mdo pthoi nraan mma ngi mhin inni parlaan da.
MRK.15.16	Ungta rawlmii rekki Mma ava rawlmii ki lusang mun thu ṭhi lamda; ungu rawlmii kunpun lop mkheng own purkuk lamda. 
MRK.15.17	Ungu mmaanni kning ngi ksen phrik kturrown pnaak lamda, ungu tarliing teher luwkhum pkhum lamda. 
MRK.15.18	Ungta mmaanni luwbuk lamda, “Jihudia rek Kruwng roi ksotti ring cha,” kdingi kthe pṭhun lamda. 
MRK.15.19	Ungta mmaanni riijei khatti mluw tha prei lamda, mleen ptil kbal pthot lamda, ungu mning er inni pkhup pi tardiil lamda, luwbuk lamda. 
MRK.15.20	Ungta mmaanni mipnii chaak dok dil thaan, kning ngi ksen phrik kturrown ava khowk pthii lam thida, mdaksaa dona pihiil lamda. Ungu khros leen mdo pthoi nraan ṭhi lamda.
MRK.15.21	Ungu mmaanni Syrini ki Alekjander leh Ruphas pah Simon, paam khat ki kipjiin kthleng cha, mma ava Jisu khros kukdom ṭhi ra pnam psuk lamda. 
MRK.15.22	Ungta mmaanni Jisua Golgotha ‘Luwruh kdimna mun’ ava thang ngi hanṭhi lamda. 
MRK.15.23	Ungu mmaanni myrrh tdit doi ava tu tpurchuwm ju pii lamda, pdainu Mma va nee me 
MRK.15.24	Ungta mmaanni khros leen pthoi lamda, mdo mna them lamda, ku ngi tak kphang chrang kdingi pchel piik sut nlam da. 
MRK.15.25	Ungu mmaanni khros leen mupthoi in mpha thungva ṭhang kdum ktla. 
MRK.15.26	Ungu Mma kusnuwm kma ngi, “Jihudia rekki Kruwng,” kdingi kjit lamda. 
MRK.15.27	Ungta Mma tu kilṭhi ngi, kuppru rek miilai knii, khatti mchang ktong tha khatti mlee ktong tha pthoi kthen lamda. 
MRK.15.28	Laaika mkurkhum na ngi theda, “Mma ava pnu ktong rek tu tai kthen da.” 
MRK.15.29	Ungu mbe ngi kurlon rekki mluw in hai lamda ning er ri hanto the lamda, “Eh! luwbuk Inn ea krep thida nii kdum daat thung ngi ksa rang daat lo! 
MRK.15.30	adaksaa kartlan ra khros leen ki arjung ṭum lo!” 
MRK.15.31	Anto lulu ngi thiimpu kinreel rek leh Nowlam chukpu rekki kipnii chaakki khat leh khatti the lamda, “Mma va mii ktlokka ktlen thida, mdaksaa ava kartlan pchaang me. 
MRK.15.32	Isreel rek Kruwng Khrista ava ngi khros leenki tun tunni arjung ṭum so, mbi ava kdeiji neenni rin chnikaan di!” Ungta Mma tu khros leenni kukthoi vee rek ruk va ning er pau the psuk lamda.
MRK.15.33	Ungu ṭhang truk mphaak thungta, ṭhang tku kpha dekki, paam mkheng nga pum jiing ngi jiing chda. 
MRK.15.34	Ungta ṭhang tku mphaak le Jisu ngi krowl kparyaa ngi owng da, “Eloi, Eloi, lama sabath thani?” Ava ki mleija “Nei ki Isowr, Nei ki Isowr, talu lei Neia atmaak pthia?” 
MRK.15.35	Ungbi mbe tha krip daat mii angṭhe ngi aryaa thida the lamda, “Asuw in, Mma ngi Elija mo ownna.” 
MRK.15.36	Ungu marlak inni krip daat miilai khatti chen teng da, buwphown ava ju kdor thung ngi puhuwm thida, kchung leen daar da mdo neek ra mhan piik chunni theda, “Ardaan, Elija ngi arjung ṭum don kupṭum sik rang mo suw lap in che.” 
MRK.15.37	Ungta Jisu ngi krowl kparyaa ngi owng thida, mṭut na tdaal ṭen chda. 
MRK.15.38	Ungu luwbuk Inn thungki buwkhaar ava karthak ki ngi kurdu kpha karjen bak chda. 
MRK.15.39	Ungta Mma maiṭhuwm mi krip daat rawlmii rek arlakki klin khatti, Jisu ngi mṭut na tdaal ṭen da mdiyo ava mdee thungta, theda, “Kindit katti hava Miilai ava Isowr Chapa thide!”
MRK.15.40	Ungu lam kla ngi snu rek angṭhe ngi sut pṭoi da, marlak inki ava Magdaleni Mery, Jeems naopa Josi nuh Mery, Salomi, 
MRK.15.41	mmaanni Galil paam ki kupṭhunni mdil ṭoi lamda Mhin sok lo pik chlam da. Ungta Jerusalem kpha ngi Mma dil kṭoi snu rek ava mii knem pok.
MRK.15.42	Ungta khuw jiing rui rui da, sabath nit ava du ngi mdo purchuwl naan mkurthut leiji, 
MRK.15.43	Isowr Kruwngpaam kurjung ra ksuw pṭoi cha, karseel lop thungki takjat kirvei miilai khat Arimathia ki Joseph pi, plung kta ngar ri, Pilat hin va da, Jisu kluwng ṭhil chda. 
MRK.15.44	Ungu Pilat ti kdiyou dok maryaak thungta, ngak chda; rawlmii klin khat hin kdiyou dok mo, kdingi khewl da. 
MRK.15.45	Ungta mma ngi rawlmii klin khat hinki kdiyou dok maryaak dilli, Jisu kluwng ava Joseph hinni mdo piik nra rot pik da. 
MRK.15.46	Ungu mma ngi plabuw ktarnaal dang ren da, han pṭum da, plabuw ktarnaal dang ngi klum thida, lung kreu da mdo vu thlaan khat ava thung ngi pi iip da; ungta thlaan thurngot ava lung khatti arkam da. 
MRK.15.47	Ungu Magdaleni Mery leh Josi nuh Mery va mdo pi ii naanna dei chlam da.
MRK.16.1	Ungu sabath nit mvee dok thungta, Magdaleni Mery leh Jeems nuh Mery ungu Salomi, mmaanni mdo pbul chaak raan reidii mikrim kdi lang lang ren lamda. 
MRK.16.2	Ungta mmaanni hapta ki mnii khat na thok, jiingsun kpanma ngi, kniw mthuw ser ser leh thlaan tha va lamda. 
MRK.16.3	Ungu mmaanni khat leh khatti hanto the lamda, “Thlaan thurngot lung nga ku ngi mi kpurlu pik chraan da?” 
MRK.16.4	Ungta mmaanni thlaan mhan sut in thungta, mleija lung ava kpurlup dok da. 
MRK.16.5	Ungu mmaanni thlaan thung ngi mvan luwn thungta, dona kpowl dang ngi kirsim tartlaang nao mchang ktong tha kukong daat dei lamda; ungbi ngak chlam da. 
MRK.16.6	Ungta Mma ngi mhin thaanni theda, “Ngak maan, khros leen mdo pthoi yown Nasareth ki Jisu kthlaam in pti. Mma kardel dok, hava thung ngi Mma ame; mmaan do pi ii na mun ava asuwn. 
MRK.16.7	Pdainu vang inra, msiikhu rek leh Pitor hin Mma ava mdu inni Galil tha kvang nga adi inra athe pik chaan; Mma ngi mdo the dok heppi, ava tha naanni tdee pha chnaan di.” 
MRK.16.8	Ungbi mmaanni thlaan thungki kurlou lamda vang lamda; mleija mmaanna kunchun lamda ngak chlam da; ungta mṭit lei inni ku mii khat lee hin pau khat lee song lamme.
MRK.16.9	Tunva hapta ki mnii khat na thok jiingsun kpanma ngi mrin kardel mpha thu, tarnam tikheu mdo rei pthii pik, Magdaleni Mery hin ru kri ver ri ktardet da. 
MRK.16.10	Ungbi kurnung karbaang da kṭap mma miiṭhi rek hin vang da song chda. 
MRK.16.11	Pdainu snu mdak katti kring karheel dok, ungu kdee chaak pi dida mthe kpha thu rin chlamme.
MRK.16.12	Hava dil tha Mma ngi mrungchen kartleiji knii rek hin ktardet da, mleija mmaanna mkhuwpaam thuwnni chet meek lamda. 
MRK.16.13	Ungbi mmaanni mdil in kinle lamda mmiiṭhi rek hin song lamda, pdainu mmaanni rin chlamme.
MRK.16.14	Ava dil tha sowm lei khat rekki tebol be ngi mu kon daat arlaan inni Mma ngi mhin inni ktardet da; muplung ril in kapchai ungu mdo rin de maan leiji Mma ngi rai chlam da, mleija mrin kardel dok dil tha, mmaanni kdei rek pauson ava rin chlamme. 
MRK.16.15	Ungta Mma ngi mhin inni theda, “Dultipaam mkheng thu echet inra, dulti mii rek mkheng hin kṭha paumin aparyaam in. 
MRK.16.16	Ku mii khatti rin chda baptis mtlot bi, ava kaktlan pik ra, pdainu krin kma mii ava mraal kpii ra. 
MRK.16.17	Ungu krin cha mii rek hin va Nei kbii tinna ngi kthlop lamra: Nei kmiing ngi tarnam rek krei pthii lamra; plei ren ni kpau lamra; 
MRK.16.18	mmaanni pruwl rek chom da, ungu diyo na doi knee kurthuwk lam joso, sul kurnul lam nime; mmaanni kukoi rek leen mkhut kikhiing lamra, ungta mii rek kapdam lamra.”
MRK.16.19	Ava dilli Mukpu Jisua, mmaan hin pau msaam dok dil thang ngi, parwaan tha hungkal chda, ungu Isowr chang ktong tha ku ong da. 
MRK.16.20	Ungta mmaanni mmun ktai thu chet lamda paryaam lamda, mmaan thung ngi Mukpu ngi nong mtlot khim khai thu, paumin ava titinna rekki tipnet pik lamda. Amen.
LUK.1.1	Mrot khim khai thu mii knempok ki nenni tup ṭut dok in mkheng hot na lamda, 
LUK.1.2	mupṭhun daat ki mikki sakhi kurthuwk rek ungu pauna ktlo rekki nen nhin inni mido tparlaan in heppi, 
LUK.1.3	nei ktum rukku kṭha kurthuwkka, mpha mruk karvang dok thung ngi, do mkheng nga knai tekki pṭoi chnu, kheel sii ngi kinreel Theophilas nah atumra, parnaak jik nu akikjit pikka, 
LUK.1.4	hava le mlei thung ngi nah do aryaak dok mkindit ava ado dee ra. s1 Baptis Kuptlot Johon ṭou nra mdo Thethut
LUK.1.5	Judia ki kruwng Herod nit rek thung ngi,Abija rilam thungki mmiing Sakharija tdit thiimpupa khat amda; Ungta Aron chanu mmiing Elijabeth tdit mnu mei khat thloi da. 
LUK.1.6	Ungta mikniing inni Isowr maiṭhuwm thung ngi rinkindit ti am lamda, paureen rek mkheng thu chet lamda, ungu karmang deekki Mukpu Nowlam pṭoi lamda. 
LUK.1.7	Pdainu nao khat lee thloi chlamme, mleija Elijabeth ta nao kuplu kma kurthuwk da, mikniing inni mkum inna der chlam da.
LUK.1.8	Tunva thiimpu khat kurthuwk ki Isowr maiṭhuwm mi luwbuk Inn thu mnit ki sok mlo chaak slii arlaanni hanto thuwk da. 
LUK.1.9	Thiimpu rekki mdo tlot kcho in nopa khat pchel piik msut in thungta, Mukpu luwbuk Inn thung ngi mikrim kdi rei dii lulu kṭong ava kapkaa rang nga mma kchol lamda, ungbi mma ngi Mukpu luwbuk Inn thu van lut da. 
LUK.1.10	Ungta kurtuwl mii rek mkheng ava mma ngi mikrim kdi reidii kṭong mapkaak arlaanni duwn tha ṭhil chlam da.
LUK.1.11	Ungta mikrim kdi reidii kṭong mdo pkaak naan kchiir suwlbuwr chang ktong tha Mukpu waan tamsii khat rip da mhin ktardet da. 
LUK.1.12	Ungu Sakharija ngi Mma mdee thungta, kdung ngi piir da ṭi chda. 
LUK.1.13	Pdainu waan tamsii ngi mhin theda, “ṭi ma Sakharija! Ado ṭhil chaakka ataryaak pikka, ungta anumei Elijabeth ti chapa khat akuhur pik ra, ungu mmiing ava Johon di nadi. 
LUK.1.14	Ungta plung ngam mi kanpa ndi, ungu mma ṭou nitti mii knempok ki kanpa chra. 
LUK.1.15	Mma ava Mukpu maiṭhuwm mi klin lang lang kurthuwk ra, mma ngi rik rou dii knee mata kipri tlo nime; mnuh poi thungki kupṭhun ni pthla kchiir ri pum dimmi kdim chra. 
LUK.1.16	Ungta mma ngi Isreel nao rek mii knempok ava, mmaan ki Isowr Mukpu ktong tha kpinle ra. 
LUK.1.17	Ungta Mdu sukki Elijah ki rutan leh pthla ngi kvangra, Mpahle ngi mnaole hin plung mdo pinlet nra ungta, pau kleek rek ava kindit lousing ktong tha kṭhii ra, Mukpu ktongtha mii rek kurchuwl nra kpurthlon pik ra.”
LUK.1.18	Ungbi Sakharija ngi waan tamsii hin theda, “Tak heppi neiva hava dei nik da? Mleija neia kder kcha ping, ungu knumei rukka kum kder cha.”
LUK.1.19	Ungta waan tamsii ngi mhin arthawng da, “Neia Isowr am na thung ngi krip Gabriel ava ping; hava kṭha paumin ahin ksin ra, ungu ksong ra Neia mdo tsi. 
LUK.1.20	Ungta asuw, havale mvee dok du khim khai, rim kdi am chna di, pau dei nim ti, mleija mmaan mpha thu kurkhum rang ki Nei kpauna rek ava rin cha mti.” 
LUK.1.21	Ungta mii rek va Sakharija arda daat lamda, luwbuk Inn thung ngi mukto dok leiji mmaanna ngak chlam da. 
LUK.1.22	Ungu mma ngi duwn tha marvan thuw thungta, mhin inni pau chip pchaang mda, ungbi luwbuk Inn thung ngi mik kleng mun na kdi ngi bin lamda; ungta mhin inni khutti partam da mpau kthuwk kma ngi am chda. 
LUK.1.23	Ungu msoklo ava mṭut thungta mma ngi mi inn tha vang da.
LUK.1.24	Hava nit dil tha mnumei Elijabeth ti nao hur da, ungu thla parnga lik thung ngi kurdowl da, theda, 
LUK.1.25	“Hanto Mukpu ngi mbom chda, mii rek do sut na thung ki ning kja mlo pthii pik chda.
LUK.1.26	Thla truk diltha waan tamsii Gabriel li Isowr hinki Galil ki Nasareth khuwpii tha Pthla ngi siida. 
LUK.1.27	Devid charuwl thungki mmiing Joseph mdo dit pselpa khat ava ngi mmiing Mery tdit ktlang dang snu ava hin inn thlot dok da. 
LUK.1.28	Ungta Mma ngi mhin arjungda theda, “Kdaai am so, O mdo san khat nang, Mukpu ngi atṭhia!” 
LUK.1.29	Pdainu mma ngi kdung plung pja da theda, hava mdo turvuija talu lei ki da kdingi plung ngi bin da. 
LUK.1.30	Ungta waan tamsii ngi mhin theda, “ṭi ma, Mery, Isowr dosan nang ngi aphaak chaakka. 
LUK.1.31	Ungu asuw, apoi thung ngi nao hur ti don Chapa khat plu na di, ungta mmiing ava Jisu di na. 
LUK.1.32	Mma ava klin langlang ra, Ungu kparthaang sii ki Chapa kdira; ungta Mma hin Mukpu Isowr ri, mpah Devid ko onna Mhin kpii ra, 
LUK.1.33	Ungta Mma ngi Jakob charuwl tunni kṭuw knai kma kpaal ra; ungu Mma Kruwngpaam ava kṭuw tdit amnime.”
LUK.1.34	Ungbi Mery ngi waan tamsii hin theda, “Hava tak heppi kurthuwk rang, neia innpu kdo thloi mak pa?”
LUK.1.35	Ungta waan tamsii ngi mhin theda, “Pthla kchiir nah aleen kurjung ra, ungu kparthaang sii rutan ava ngi aju kupkhum ra; ava leiji Isowr Chapa Kchiir nao khat plu nadi. 
LUK.1.36	Ungta asuw, nah arilam kthuwk snu khat Elijabeth ruk va kum mder chaak dil thang ngi mma ngi nao mdo hur ava hava ngi mthla truk na a. 
LUK.1.37	Mleija Isowr hinva kurthuwk kma ra do khat lee ame.”
LUK.1.38	Ungbi Mery ngi theda, “Asuw, neia Mukpu ki khut do seem sra owr khat ping; Nah pauna dil kṭoiji ki hinni kurthuwk so,” Ungta mma hinki waan tamsii ava sunda.
LUK.1.39	Ava nit rek dil tha Mery ngi kardel da Judia khuwpii khat mulpaam tha kuknotti vangda. 
LUK.1.40	Ungta mma ngi Sakharija inn thu lut da Elijabeth arvui chda. 
LUK.1.41	Ungu Mery do arvui Elijabeth ti maryaak thungta, mpoi thung ki nao ava kunchowm da, ungu Elijabeth ta pthla kchiir ri dim chda. 
LUK.1.42	Ungbi mma ngi kdung owngda, theda, “Nah snu rek arlakki asuw kṭha, ungu apoi thungki thei ava msukṭha! 
LUK.1.43	Ungta talu leiji hava ado trot pikda, ditta neiki Mukpu nuh ava ngi nei kihinni athlen daatta? 
LUK.1.44	Mleija asuw, nah do arvui chaak kaknaa thung ngi mthlen daat le, kpoi thungki nao ava mkanpatti kunchowm da. 
LUK.1.45	Ungta Mukpu hinki pau ava kurkhum ra dida krin cha mii ava msukṭha.”
LUK.1.46	Ungta Mery ngi theda,
LUK.1.46	“Kraothla ngi Mukpu panpaak da,
LUK.1.47	Ungu kapthla ngi nei makaktlan pik Isowr panpaak chda,
LUK.1.48	mleija ktuwl kcha Mma ki sra owr nei ava msut pik chda.
LUK.1.48	Mleija asuwn;
LUK.1.48	tun ki kupṭhunni charuwl mii mkheng ngi
LUK.1.48	asuwkṭha a,
LUK.1.48	di donle mo ko own chra.
LUK.1.49	Mleija mruktang Mma ava ngi nei ktummi,
LUK.1.49	klin lang lang nong mtlot pik da,
LUK.1.49	Ungta Mma miing ava Kchiir kurthuwk.
LUK.1.50	Ungta Mma plungnee ava Mma kṭi charuwl rek
LUK.1.50	khat thungki ngi,
LUK.1.50	charuwl khat kpha ngi
LUK.1.50	am da.
LUK.1.51	Mkhut ti Mma rutan ava tdet da,
LUK.1.51	ungta plung ngi purdun susu kpohok mii rek ava,
LUK.1.51	Mma ngi kpinvei pthii ra,
LUK.1.52	rutan kthloi rek ava Mma ngi mkon naan thungki kupchowm pthiira,
LUK.1.52	ungta kchowm langlang ngi ka am rek mii ava kikhiing ra.
LUK.1.53	Poi ktham rek ava do kṭha ngi papa da ungu,
LUK.1.53	suwang rekka ktlong ngi sii pthiida.
LUK.1.54	Mma ngi muplungnee mdobin phaak leiji,
LUK.1.54	msra owr Isreel bomda,
LUK.1.55	Mleija nenki npah le hin mdo the heppi,
LUK.1.55	Abraham leh mma charuwl rek hin tha kṭuw knai kma ngi mdo the!”
LUK.1.56	Mery ngi thla kdum arveelli Elijabeth am ṭhi da, thida mi inn tha vang kinle da.
LUK.1.57	Tunva Elijabeth ti nao mdo pluk na ki mpha arvang da, chapa khat mma ngi pluda. 
LUK.1.58	Ungta Mukpu plungnee klin langlang mma hin mdo tdet ava mrilam kthuwk rekki maryaak in thungta, mma tu kilṭhi ngi kanpa chlam da. 
LUK.1.59	Ungta mnii tret na ngi nao ava vunmor kreen ra arva lamda. Ungu mpah miing kdu jikki mmiing ava Sakharija di lam donle mdo thowl raan, 
LUK.1.60	Pdainu mnuh ngi theda, “Anto rang pme Johon dida ti the raan.” 
LUK.1.61	Ungbi mmaanni mhin the lamda, “Nah arilam thu miing kuhur ku khat lee ktaak pa.” 
LUK.1.62	Ungta mmaanni mpah hin partam lamda mmiing ava ku rangda kdingi khewl lamda. 
LUK.1.63	Ungu mma ngi mdo kjit nra phel khat ṭhil lamda, ungu kjit da, “Mmiing ava Johon ra.” 
LUK.1.64	Ungta tun kat daatti mner kparvang da, ungu miplei kurkol da, mma ngi Isowr panpaak da theda, 
LUK.1.65	ungta mveen rek mkheng ngi ṭi lamda. Ungta Judia mulpaam mkheng thung ngi hava ki pau ava karvel da. 
LUK.1.66	Ungta karyaa mii rek mkheng ngi muplung in thung ngi arkhii lamda, the lamda, “Hava naova tak hep kdu lu rang ki da?” Mleija Mukpu khut ti mma ava ṭhida.
LUK.1.67	Ungta mma pah Sakharija ava Pthla kchiir ri dim chda,
LUK.1.67	pauphuwng da theda,
LUK.1.68	“Isreel Mukpu Isowr ava msuw kṭha,
LUK.1.68	mleija mmii rek kaktlan pik rang ngi velda.
LUK.1.69	Ungta Mma sra owr Devid inn thu,
LUK.1.69	nen ntum raan tkirliin nraan ki,
