GEN.1.1	La început Dumnezeu a creat cerul și pământul.
EXO.34.12	Ia seama la tine însuți, ca nu cumva să faci legământ cu locuitorii țării în care mergi, ca nu cumva să fie o cursă în mijlocul tău;
EXO.34.13	Ci să distrugeți altarele lor, să spargeți idolii lor și să le tăiați dumbrăvile,
EXO.34.14	Pentru că nu te vei închina niciunui alt dumnezeu, pentru că DOMNUL, a cărui nume 
EXO.34.15	Nu cumva să faci legământ cu locuitorii țării și ei să curvească după dumnezeii lor și să aducă sacrificiu dumnezeilor lor și 
EXO.34.16	Și să iei dintre fiicele lor pentru fiii tăi și fiicele lor să curvească după dumnezeii lor și să facă pe fiii tăi să curvească după dumnezeii lor.
EXO.34.17	Să nu îți faci dumnezei turnați.
EXO.34.18	Ține sărbătoarea azimelor. Mănâncă șapte zile azimă cum ți-am poruncit, în timpul lunii Abib, pentru că în luna Abib ai ieșit din Egipt.
EXO.34.19	Tot ce deschide pântecele 
EXO.34.20	Dar să răscumperi pe întâiul născut al măgăriței cu un miel; și dacă nu 
EXO.34.21	Să lucrezi șase zile, dar să te odihnești în a șaptea zi; să te odihnești în timpul aratului și al secerișului.
EXO.34.22	Și să ții sărbătoarea săptămânilor, ale primelor roade ale secerișului grâului și sărbătoarea recoltei la sfârșitul anului.
EXO.34.23	De trei ori într-un an toți copiii tăi de parte bărbătească să se arate înaintea Domnului DUMNEZEU, Dumnezeul lui Israel.
EXO.34.24	Pentru că voi arunca afară națiunile dinaintea ta și voi lărgi hotarele tale; niciun om nu va dori țara ta, când te vei urca să te arăți înaintea DOMNULUI Dumnezeul tău, de trei ori într-un an.
EXO.34.25	Să nu oferi sângele sacrificiului meu cu dospeală; nici să nu fie lăsat sacrificiul sărbătorii paștelui până dimineața.
EXO.34.26	Să aduci primul dintre primele roade ale pământului tău la casa DOMNULUI Dumnezeul tău. Să nu fierbi un ied în laptele mamei sale.
EXO.34.27	Și DOMNUL i-a spus lui Moise: Scrie-ți aceste cuvinte; căci după tonul acestor cuvinte am făcut un legământ cu tine și cu Israel.
EXO.34.28	Iar el a fost acolo cu DOMNUL patruzeci de zile și patruzeci de nopți; nici nu a mâncat pâine, nici nu a băut apă. Și el a scris pe table cuvintele legământului, cele zece porunci.
EXO.34.29	Și s-a întâmplat, când a coborât Moise de pe Muntele Sinai, și cele două table ale mărturiei 
EXO.34.30	Și când Aaron și toți copiii lui Israel au văzut pe Moise, iată, pielea feței sale strălucea; și s-au temut să se apropie de el.
EXO.34.31	Și Moise i-a chemat; și Aaron și toți conducătorii adunării s-au întors la el; și Moise a vorbit cu ei.
EXO.34.32	Și după aceea toți copiii lui Israel s-au apropiat, și le-a dat în poruncă tot ceea ce DOMNUL vorbise cu el în muntele Sinai.
EXO.34.33	Și 
EXO.34.34	Dar când Moise a intrat înaintea DOMNULUI ca să vorbească cu el, el a scos vălul, până când a ieșit. Și a ieșit și le-a spus copiilor lui Israel 
EXO.34.35	Și copiii lui Israel au văzut fața lui Moise, că pielea feței lui Moise strălucea; și Moise a pus vălul peste fața sa din nou, până când a intrat să vorbească cu el.
EXO.35.1	Și Moise a adunat toată adunarea copiilor lui Israel și le-a spus: Acestea 
EXO.35.2	Șase zile se va face lucrarea, dar ziua a șaptea vă va fi o zi sfântă, un sabat de odihnă DOMNULUI: oricine va face 
EXO.35.3	Să nu aprindeți foc în locuințele voastre în ziua de sabat.
EXO.35.4	Și Moise a vorbit întregii adunări a copiilor lui Israel, spunând: Acesta este lucrul pe care Domnul l-a poruncit, spunând:
EXO.35.5	Luați dintre voi ofrandă DOMNULUI; oricine 
EXO.35.6	Și albastru și purpuriu și stacojiu și in subțire și 
EXO.35.7	Și piei de berbeci vopsite roșu și piei de bursuc și lemn de salcâm,
EXO.35.8	Și untdelemn pentru lampă și mirodenii pentru untdelemnul pentru ungere și pentru tămâia dulce,
EXO.35.9	Și pietre de onix și pietre să fie montate pentru efod și pentru pieptar.
EXO.35.10	Și fiecare 
EXO.35.11	Tabernacolul, cortul lui și acoperământul lui, copcile lui și scândurile lui, drugii lui, coloanele lui și soclurile lui,
EXO.35.12	Chivotul și drugii lui, cu șezământul milei și perdeaua acoperământului,
EXO.35.13	Masa și drugii ei și toate vasele ei și pâinile punerii înainte,
EXO.35.14	Sfeșnicul de asemenea pentru lumină și vasele lui și lămpile lui, cu untdelemnul pentru lumină.
EXO.35.15	Și altarul tămâiei și drugii lui și untdelemnul pentru ungere și tămâia dulce și perdeaua pentru ușă la intrarea în tabernacol,
EXO.35.16	Altarul ofrandei arse, cu grătarul de aramă, drugii lui și toate vasele lui, ligheanul și piciorul lui,
EXO.35.17	Perdelele curții, stâlpii ei și soclurile lor și perdeaua pentru ușa curții,
EXO.35.18	Țărușii tabernacolului și țărușii curții și frânghiile lor,
EXO.35.19	Hainele serviciului, pentru a face serviciul în 
EXO.35.20	Și toată adunarea copiilor lui Israel a plecat din prezența lui Moise.
EXO.35.21	Și a venit fiecare 
EXO.35.22	Și au venit, deopotrivă bărbați și femei, atâția câți au fost cu inimă voitoare, 
EXO.35.23	Și toți la care s-a găsit albastru și purpuriu și stacojiu și in subțire și 
EXO.35.24	Și fiecare 
EXO.35.25	Și toate femeile care au fost înțelepte în inimă au tors cu mâinile lor și au adus ceea ce au tors, 
EXO.35.26	Și toate femeile ale căror inimi le-au stârnit la înțelepciune au tors 
EXO.35.27	Și conducătorii au adus pietre de onix și pietre să fie montate pentru efod și pentru pieptar;
EXO.35.28	Și mirodenii și untdelemn pentru lumină și pentru untdelemnul pentru ungere și pentru tămâia dulce.
EXO.35.29	Copiii lui Israel au adus din bunăvoință o ofrandă DOMNULUI, fiecare bărbat și femeie, a cărui inimă i-a făcut voitori să aducă pentru toate felurile de lucrări, pe care DOMNUL le poruncise a fi făcute prin mâna lui Moise.
EXO.35.30	Și Moise le-a spus copiilor lui Israel: Vedeți, DOMNUL a chemat pe nume pe Bețaleel, fiul lui Uri, fiul lui Hur, din tribul lui Iuda;
EXO.35.31	Și l-a umplut cu duhul lui Dumnezeu în înțelepciune, în înțelegere și în cunoaștere și în orice fel de meșteșug;
EXO.35.32	Și pentru a concepe lucruri iscusite, pentru a lucra în aur și în argint și în aramă,
EXO.35.33	Și în tăierea pietrelor, pentru a fi montate și în sculptarea lemnului, pentru a face orice fel de lucrare iscusită.
EXO.35.35	I-a umplut cu înțelepciune a inimii, pentru a lucra tot felul de lucrări, ale gravorului și ale meșteșugarului iscusit și ale lucrătorului în broderie, în albastru și în purpuriu, în stacojiu și în in subțire și ale țesătorului, chiar al celor ce fac orice fel de lucrare și al celor ce concep o lucrare iscusită.
EXO.36.1	Atunci Bețaleel și Aholiab și fiecare bărbat înțelept în inimă, în care DOMNUL a pus înțelepciune și înțelegere ca să cunoască cum să lucreze orice fel de lucrare pentru serviciul sanctuarului, au lucrat conform cu tot ceea ce DOMNUL poruncise.
EXO.36.2	Și Moise a chemat pe Bețaleel și pe Aholiab și pe fiecare bărbat înțelept în inimă, în a cărui inimă DOMNUL pusese înțelepciune, pe fiecare a cărui inimă îl stârnise să vină la lucrare, ca să o facă;
EXO.36.3	Și au primit de la Moise toată ofranda, pe care copiii lui Israel au adus-o pentru lucrarea serviciului sanctuarului, pentru a-l face în 
EXO.36.4	Și toți bărbații înțelepți, care lucrau toată lucrarea sanctuarului, au venit fiecare bărbat de la lucrarea lui pe care o făceau;
EXO.36.5	Și i-au vorbit lui Moise, spunând: Poporul aduce 
EXO.36.6	Și Moise a dat poruncă și au făcut ca aceasta să fie proclamată prin toată tabăra, spunând: Nici bărbat, nici femeie să nu mai facă nicio lucrare pentru ofrandă pentru sanctuar. Astfel poporul a fost oprit să aducă.
EXO.36.7	Căci materialul lor era suficient pentru toată lucrarea, să o facă și 
EXO.36.8	Și fiecare om înțelept în inimă printre cei ce lucrau lucrarea tabernacolului a făcut zece covoare 
EXO.36.9	Lungimea unui covor 
EXO.36.10	Și el a prins cele cinci covoare
EXO.36.11	Și a făcut cheutori albastre la marginea unui covor, pe marginea împreunării; și tot așa a făcut pe marginea din capăt a 
EXO.36.12	Cincizeci de cheutori a făcut pe un covor și cincizeci de cheutori a făcut pe marginea covorului care 
EXO.36.13	Și a făcut cincizeci de copci din aur și a prins covoarele unul de celălalt cu copcile; astfel a devenit un 
EXO.36.14	Și a făcut covoare 
EXO.36.15	Lungimea unui covor 
EXO.36.16	Și a îmbinat cinci covoare între ele și șase covoare între ele.
EXO.36.17	Și a făcut cincizeci de cheutori pe marginea din capăt a covorului în îmbinare și cincizeci de cheutori a făcut pe marginea covorului care se îmbină cu al doilea.
EXO.36.18	Și a făcut cincizeci de copci 
EXO.36.19	Și pentru acoperiș, a făcut un acoperământ 
EXO.36.20	Și a făcut, pentru tabernacol, scânduri 
EXO.36.21	Lungimea unei scânduri 
EXO.36.22	O scândură avea două cepuri, la distanță egală unul de celălalt; astfel a făcut pentru toate scândurile tabernacolului.
EXO.36.23	Și a făcut scânduri pentru tabernacol: douăzeci de scânduri pe partea de sud, spre sud;
EXO.36.24	Și patruzeci de socluri de argint a făcut sub cele douăzeci de scânduri: două socluri sub o scândură pentru cele două cepuri ale ei și două socluri sub altă scândură pentru cele două cepuri ale ei.
EXO.36.25	Și pentru cealaltă parte a tabernacolului, 
EXO.36.26	Și cele patruzeci de socluri ale lor din argint: două socluri sub o scândură și două socluri sub altă scândură.
EXO.36.27	Și pentru părțile tabernacolului care sunt spre vest a făcut șase scânduri.
EXO.36.28	Și două scânduri a făcut pentru colțurile tabernacolului pe cele două părți.
EXO.36.29	Și au fost îmbinate între ele, dedesubt, și au fost îmbinate împreună la capul acesteia, într-un 
EXO.36.30	Și 
EXO.36.31	Și a făcut drugi de lemn de salcâm, cinci pentru scândurile uneia din părțile tabernacolului.
EXO.36.32	Și cinci drugi pentru scândurile celeilalte părți a tabernacolului și cinci drugi pentru scândurile tabernacolului pentru părțile spre vest.
EXO.36.33	Și a făcut drugul din mijloc să treacă prin scânduri de la un capăt la celălalt.
EXO.36.34	Și a placat scândurile cu aur și le-a făcut inelele 
EXO.36.35	Și a făcut o perdea albastră și purpurie și stacojie și in subțire răsucit; 
EXO.36.36	Și i-a făcut patru piloni 
EXO.36.37	Și a făcut pentru ușa tabernacolului o perdea albastră și purpurie și stacojie și 
EXO.36.38	Și cei cinci stâlpi ale acestuia cu cârligele lor; și a placat capitelurile lor și vergelele lor cu aur; dar cele cinci socluri ale lor 
EXO.37.1	Și Bețaleel a făcut chivotul 
EXO.37.2	Și l-a îmbrăcat cu aur pur pe dinăuntru și pe dinafară și i-a făcut o coroană de aur de jur împrejur.
EXO.37.3	Și i-a turnat patru inele de aur, cele patru colțuri ale lui: două inele pe una din părțile lui și două inele pe cealaltă parte a lui.
EXO.37.4	Și a făcut drugi 
EXO.37.5	Și el a pus drugii în inele pe părțile laterale ale chivotului, ca să poarte chivotul.
EXO.37.6	Și a făcut acoperământul milei 
EXO.37.7	Și a făcut doi heruvimi 
EXO.37.8	Un heruvim la un capăt de o parte și un alt heruvim la 
EXO.37.9	Și heruvimii își întindeau aripile 
EXO.37.10	Și a făcut masa 
EXO.37.11	Și a îmbrăcat-o cu aur pur și i-a făcut de jur împrejur o coroană de aur.
EXO.37.12	De asemenea i-a făcut o margine cât un lat de palmă de jur împrejur; și a făcut o coroană de aur pentru marginea ei de jur împrejur.
EXO.37.13	Și a turnat pentru ea patru inele de aur și a pus inelele în cele patru colțuri care 
EXO.37.14	Inelele erau în fața marginii 
EXO.37.15	Și a făcut drugii 
EXO.37.16	Și a făcut vasele care 
EXO.37.17	Și a făcut sfeșnicul 
EXO.37.18	Și șase brațe ieșeau din laturile lui: trei brațe ale sfeșnicului dintr-o parte a lui și trei brațe ale sfeșnicului din cealaltă parte a lui;
EXO.37.19	Trei cupe făcute asemenea migdalelor pe un braț, un nod și o floare; și trei boluri făcute asemenea migdalelor pe alt braț, un nod și o floare; astfel 
EXO.37.20	Și pe sfeșnic 
EXO.37.21	Și un nod sub două brațe ale lui și un nod sub două brațe ale lui și un nod sub două brațe ale lui, conform celor șase brațe ieșind din acesta.
EXO.37.22	Nodurile lor și brațele lor erau la fel; toate acestea 
EXO.37.23	Și a făcut cele șapte lămpi ale lui și mucările lui și cenușarele lui, 
EXO.37.25	Și a făcut altarul pentru tămâie 
EXO.37.26	Și l-a îmbrăcat cu aur pur, 
EXO.37.27	Și a făcut două inele din aur pentru acesta sub coroana lui, lângă cele două colțuri ale lui, pe cele două părți ale lui, să fie locuri pentru drugi pentru a-l purta cu totul.
EXO.37.28	Și a făcut drugii 
EXO.37.29	Și a făcut untdelemnul sfânt pentru ungere și tămâia pură din mirodenii dulci, conform artei parfumierilor.
EXO.38.1	Și el a făcut altarul ofrandei arse 
EXO.38.2	Și a făcut coarnele lui pe cele patru colțuri ale acestuia; coarnele lui erau din aceeași bucată și l-a placat cu aramă.
EXO.38.3	Și a făcut toate vasele altarului, căldările și lopețile și oalele 
EXO.38.4	Și a făcut pentru altar un grătar din aramă în formă de rețea sub marginea de sus a lui în jos, până la mijlocul acestuia.
EXO.38.5	Și a turnat patru inele pentru cele patru capete ale grătarului din aramă, 
EXO.38.6	Și a făcut drugii 
EXO.38.7	Și a pus drugii în inele pe laturile altarului, pentru a-l purta cu totul; a făcut altarul gol pe dinăuntru 
EXO.38.8	Și a făcut ligheanul 
EXO.38.9	Și a făcut curtea: pe partea de sud spre sud, perdelele curții 
EXO.38.10	Stâlpii lor 
EXO.38.11	Și pentru partea de nord 
EXO.38.12	Și pentru partea de vest 
EXO.38.13	Și pentru partea de est spre est, cincizeci de coți.
EXO.38.14	Perdelele uneia din părțile 
EXO.38.15	Și pentru cealaltă parte a porții curții, de o parte și de alta, 
EXO.38.16	Toate perdelele curții de jur împrejur 
EXO.38.17	Și soclurile pentru stâlpi 
EXO.38.18	Și perdeaua pentru poarta curții 
EXO.38.19	Și stâlpii lor 
EXO.38.20	Și țărușii tabernacolului și ai curții de jur împrejur 
EXO.38.21	Aceasta este socoteala tabernacolului, al tabernacolului mărturiei, așa cum a fost socotită, conform poruncii lui Moise, 
EXO.38.22	Și Bețaleel, fiul lui Uri, fiul lui Hur, din tribul lui Iuda, a făcut tot ceea ce DOMNUL a poruncit lui Moise.
EXO.38.23	Și cu el 
EXO.38.24	Tot aurul care a fost folosit pentru lucrare în toată lucrarea 
EXO.38.25	Și argintul de la cei ce au fost numărați din adunare 
EXO.38.26	O beka pentru fiecare bărbat, 
EXO.38.27	Și din cei o sută de talanți de argint au fost turnate soclurile sanctuarului și soclurile perdelei; o sută de socluri din o sută de talanți, un talant pentru un soclu.
EXO.38.28	Și din o mie șapte sute șaptezeci și cinci de șekeli el a făcut cârlige pentru stâlpi și a placat capitelurile lor și le-a înfășurat.
EXO.38.29	Și arama ofrandei 
EXO.38.30	Și cu aceasta a făcut soclurile ușii tabernacolului întâlnirii și altarul de aramă și grătarul de aramă pentru acesta și toate vasele altarului,
EXO.38.31	Și soclurile curții de jur împrejur și soclurile porții curții și toți țărușii tabernacolului și toți țărușii curții de jur împrejur.
EXO.39.1	Și din albastru și purpuriu și stacojiu, au făcut haine pentru serviciu, pentru a face serviciul în 
EXO.39.2	Iar el a făcut efodul 
EXO.39.3	Și au bătut aurul în plăci subțiri și l-au tăiat 
EXO.39.4	Ei au făcut umerarii pentru acesta, ca să 
EXO.39.5	Și brâul 
EXO.39.6	Și au lucrat pietre de onix montate în broșe din aur, gravate precum sigiliile sunt gravate, cu numele copiilor lui Israel.
EXO.39.7	Și le-a pus pe umerii efodului, 
EXO.39.8	Și a făcut pieptarul 
EXO.39.9	Era pătrat; au făcut pieptarul dublu: o palmă 
EXO.39.10	Și au montat în acesta patru rânduri de pietre; 
EXO.39.11	Și al doilea rând, un smarald, un safir și un diamant.
EXO.39.12	Și al treilea rând, un hiacint, o agată și un ametist.
EXO.39.13	Și al patrulea rând, un beril, un onix și un jasp, 
EXO.39.14	Și pietrele 
EXO.39.15	Și au făcut peste pieptar lanțuri la margini, 
EXO.39.16	Și au făcut două broșe 
EXO.39.17	Și au pus cele două lanțuri împletite din aur în cele două inele la capetele pieptarului.
EXO.39.18	Și cele două capete ale celor două lanțuri împletite ei le-au fixat în cele două broșe și le-au pus pe umerarii efodului, înaintea acestuia.
EXO.39.19	Și au făcut două inele din aur și 
EXO.39.20	Și au făcut 
EXO.39.21	Și au legat pieptarul prin inelele sale la inelele efodului cu un șnur albastru, ca să fie deasupra brâului 
EXO.39.22	Și el a făcut roba efodului 
EXO.39.23	Și 
EXO.39.24	Și au făcut pe marginile robei rodii albastre și 
EXO.39.25	Și au făcut clopoței 
EXO.39.26	Un clopoțel și o rodie, un clopoțel și o rodie, de jur împrejurul tivului robei pentru a servi, precum DOMNUL i-a poruncit lui Moise.
EXO.39.27	Și au făcut tunici 
EXO.39.28	Și o mitră 
EXO.39.29	Și un brâu 
EXO.39.30	Și au făcut placa sfintei coroane 
EXO.39.31	Și au prins de aceasta un șnur albastru, ca să 
EXO.39.32	Astfel a fost terminată toată lucrarea tabernacolului cortului întâlnirii; și copiii lui Israel au făcut conform cu tot ceea ce DOMNUL i-a poruncit lui Moise, astfel au făcut ei.
EXO.39.33	Și au adus tabernacolul la Moise, cortul și toată mobila lui, copcile lui, scândurile lui, drugii lui și stâlpii lui și soclurile lui,
EXO.39.34	Și acoperământul din piei roșii de berbeci și acoperământul din piei de bursuci și perdeaua acoperământului,
EXO.39.35	Chivotul mărturiei și drugii lui și șezământul milei,
EXO.39.36	Masa și toate vasele ei și pâinile punerii înainte,
EXO.39.37	Sfeșnicul pur, cu lămpile lui, 
EXO.39.38	Și altarul din aur și untdelemnul pentru ungere și tămâia dulce și perdeaua pentru ușa tabernacolului,
EXO.39.39	Și altarul din aramă și grătarul lui din aramă și drugii lui și toate vasele lui, ligheanul și piciorul lui,
EXO.39.40	Perdelele curții, stâlpii ei și soclurile ei și perdeaua pentru poarta curții, frânghiile ei și țărușii ei și toate vasele serviciului tabernacolului, pentru cortul întâlnirii,
EXO.39.41	Hainele serviciului pentru a face serviciu în 
EXO.39.42	Conform cu tot ceea ce DOMNUL i-a poruncit lui Moise, așa au făcut copiii lui Israel toată lucrarea.
EXO.39.43	Și Moise a privit la toată lucrarea și, iată, ei au făcut-o precum DOMNUL a poruncit, chiar așa au făcut-o; și Moise i-a binecuvântat.
EXO.40.1	Și DOMNUL i-a vorbit lui Moise, spunând:
EXO.40.2	În prima zi a primei luni ridică tabernacolul cortului întâlnirii.
EXO.40.3	Și pune înăuntru chivotul mărturiei și acoperă chivotul cu perdeaua.
EXO.40.4	Și adu înăuntru masa și așază în ordine lucrurile care trebuie să fie așezate în ordine pe ea; și adu înăuntru sfeșnicul și aprinde-i lămpile.
EXO.40.5	Și așază altarul din aur pentru tămâie înaintea chivotului mărturiei și pune perdeaua ușii tabernacolului.
EXO.40.6	Și așază altarul ofrandei arse înaintea ușii tabernacolului cortului întâlnirii.
EXO.40.7	Și așază ligheanul între cortul întâlnirii și altar și pune apă în el.
EXO.40.8	Și pune curtea de jur împrejur și atârnă perdeaua la poarta curții.
EXO.40.9	Și ia untdelemnul pentru ungere și unge tabernacolul și tot ce 
EXO.40.10	Și unge altarul ofrandei arse și toate vasele lui și sfințește altarul; și va fi un altar preasfânt.
EXO.40.11	Și unge ligheanul și piciorul său și sfințește
EXO.40.12	Și adu pe Aaron și pe fiii săi la ușa tabernacolului întâlnirii și spală
EXO.40.13	Și pune sfintele veșminte peste Aaron și unge-l și sfințește
EXO.40.14	Și adu pe fiii săi și îmbracă-i cu haine;
EXO.40.15	Și unge-i, precum ai uns pe tatăl lor, ca ei să îmi servească în serviciul de preot, pentru că ungerea lor va fi cu adevărat o preoție veșnică prin toate generațiile.
EXO.40.16	Astfel a făcut Moise, conform cu tot ceea ce DOMNUL i-a poruncit, așa a făcut el.
EXO.40.17	Și s-a întâmplat, în prima lună, în al doilea an, în prima 
EXO.40.18	Și Moise a ridicat tabernacolul și a fixat soclurile acestuia și a așezat scândurile lui și i-a pus drugii și i-a înălțat stâlpii.
EXO.40.19	Și a întins cortul peste tabernacol și a pus acoperământul cortului deasupra acestuia, precum DOMNUL i-a poruncit lui Moise.
EXO.40.20	Și a luat și a pus mărturia în chivot și a pus drugii la chivot și a pus șezământul milei deasupra, peste chivot.
EXO.40.21	Și a adus chivotul în tabernacol și a pus perdeaua acoperământului și a acoperit chivotul mărturiei, precum DOMNUL a poruncit lui Moise.
EXO.40.22	Și a pus masa în cortul întâlnirii, pe partea tabernacolului spre nord, dincoace de perdea.
EXO.40.23	Și a pus pâinea prezentării în ordine pe aceasta înaintea DOMNULUI, precum DOMNUL i-a poruncit lui Moise.
EXO.40.24	Și a pus sfeșnicul în cortul întâlnirii, lângă masă, pe partea tabernacolului spre sud.
EXO.40.25	Și a aprins lămpile înaintea DOMNULUI, precum DOMNUL i-a poruncit lui Moise.
EXO.40.26	Și a pus altarul din aur în cortul întâlnirii înaintea perdelei;
EXO.40.27	Și a ars tămâie dulce pe acesta, precum DOMNUL i-a poruncit lui Moise.
EXO.40.28	Și a pus perdeaua 
EXO.40.29	Și a pus altarul ofrandei arse 
EXO.40.30	Și a așezat ligheanul între cortul întâlnirii și altar și a pus apă acolo pentru spălare.
EXO.40.31	Și Moise și Aaron și fiii săi și-au spălat mâinile și picioarele acolo;
EXO.40.32	Când au intrat în cortul întâlnirii și când s-au apropiat de altar, s-au spălat, precum DOMNUL i-a poruncit lui Moise.
EXO.40.33	Și a înălțat curtea de jur împrejurul tabernacolului și altarului și a atârnat perdeaua porții curții. Astfel Moise a terminat lucrarea.
EXO.40.34	Atunci un nor a acoperit cortul întâlnirii și gloria DOMNULUI a umplut tabernacolul.
EXO.40.35	Și Moise nu a fost în stare să intre în cortul întâlnirii, deoarece norul a rămas peste el și gloria DOMNULUI a umplut tabernacolul.
EXO.40.36	Și după ce norul s-a ridicat de pe tabernacol, copiii lui Israel au mers înainte în toate călătoriile lor;
EXO.40.37	Dar dacă norul nu s-a ridicat, nu au călătorit până în ziua în care acesta s-a ridicat.
EXO.40.38	Căci norul DOMNULUI 
LEV.1.1	Și DOMNUL l-a chemat pe Moise și i-a vorbit din tabernacolul întâlnirii, spunând:
LEV.1.2	Vorbește copiilor lui Israel și spune-le: Dacă cineva dintre voi aduce un dar DOMNULUI, să aduceți darul vostru dintre vite, din cireadă și din turmă.
LEV.1.3	Dacă darul lui 
LEV.1.4	Și să își pună mâna pe capul ofrandei arse; și îi va fi primită să facă ispășire pentru el.
LEV.1.5	Și să înjunghie taurul înaintea DOMNULUI; și preoții, fiii lui Aaron, să aducă sângele și să stropească sângele de jur împrejur pe altarul care 
LEV.1.6	Și să jupoaie ofranda arsă și să o taie în bucățile ei.
LEV.1.7	Și fiii preotului Aaron să pună foc peste altar și să pună lemnele în ordine pe foc;
LEV.1.8	Și preoții, fiii lui Aaron, să pună bucățile, capul și grăsimea în ordine peste lemnele care sunt pe focul de pe altar;
LEV.1.9	Dar măruntaiele lui și picioarele lui să le spele în apă; și preotul să ardă totul pe altar, 
LEV.1.10	Și dacă darul lui 
LEV.1.11	Și să îl înjunghie pe partea altarului dinspre nord înaintea DOMNULUI; și preoții, fiii lui Aaron, să stropească sângele lui pe altar de jur împrejur.
LEV.1.12	Și să îl taie în bucățile lui cu capul lui și grăsimea lui; și preotul să le pună în ordine pe lemne, în focul de pe altar;
LEV.1.13	Dar să spele măruntaiele și picioarele cu apă și preotul să le aducă pe toate și să 
LEV.1.14	Și dacă sacrificiul ars pentru darul său DOMNULUI 
LEV.1.15	Și preotul să îl aducă la altar și să îi smulgă capul și să 
LEV.1.16	Și să îi smulgă gușa cu penele ei și să o arunce lângă altar în partea de est, lângă locul cenușii;
LEV.1.17	Și să despice 
LEV.2.1	Și când va aduce cineva un dar de mâncare DOMNULUI, darul lui să fie 
LEV.2.2	Și să îl aducă fiilor lui Aaron, preoții, și să ia din el, din făină, o mână a sa plină și din untdelemnul lui, cu toată tămâia lui; și preotul să ardă amintirea lui pe altar, 
LEV.2.3	Și rămășița din darul de mâncare 
LEV.2.4	Și dacă aduci ca dar, un dar de mâncare copt în cuptor, 
LEV.2.5	Și dacă darul tău 
LEV.2.6	Să îl împarți în bucăți și să torni untdelemn peste el, 
LEV.2.7	Și dacă darul tău 
LEV.2.8	Și să aduci DOMNULUI darul de mâncare ce este făcut din aceste lucruri; și când acesta este prezentat preotului, el să îl aducă la altar.
LEV.2.9	Și preotul să ia din darul de mâncare o amintire din acesta și să 
LEV.2.10	Și ce rămâne din darul de mâncare 
LEV.2.11	Niciun dar de mâncare, pe care îl aduceți DOMNULUI, să nu fie făcut cu dospeală, 
LEV.2.12	Cât despre ofranda primelor roade, să le aduceți DOMNULUI, dar să nu fie arse pe altar pentru o aromă dulce.
LEV.2.13	Și fiecare dar al darului tău de mâncare să îl sărezi cu sare; și să nu permiți sării legământului Dumnezeului tău să lipsească din darul tău de mâncare; cu toate darurile tale să oferi sare.
LEV.2.14	Și dacă aduci DOMNULUI un dar de mâncare din primele tale roade, să oferi spice verzi de grâne uscate în foc pentru darul de mâncare din primele roade, sau grăunțe din spice pisate și coapte.
LEV.2.15	Și să pui untdelemn pe el și să pui tămâie pe el, 
LEV.2.16	Și preotul să ardă amintirea acesteia, 
LEV.3.1	Și dacă darul său este un sacrificiu al ofrandei de pace, dacă 
LEV.3.2	Și să își pună mâna sa pe capul darului său și să îl înjunghie 
LEV.3.3	Și să aducă din sacrificiul ofrandei de pace, ofrandă făcută prin foc DOMNULUI; grăsimea care acoperă măruntaiele și toată grăsimea care 
LEV.3.4	Și cei doi rinichi și grăsimea care 
LEV.3.5	Și fiii lui Aaron să le ardă pe altar pe sacrificiul ars, pe lemnele de pe foc; 
LEV.3.6	Și dacă darul lui, ca un sacrificiu al ofrandei de pace pentru DOMNUL, 
LEV.3.7	Dacă aduce un miel, ca ofrandă a sa, atunci să îl aducă înaintea DOMNULUI.
LEV.3.8	Și să își pună mâna pe capul darului său și să îl înjunghie înaintea tabernacolului întâlnirii; și fiii lui Aaron să stropească sângele lui pe altar, de jur împrejur.
LEV.3.9	Și să aducă din sacrificiul ofrandei de pace, ofrandă făcută prin foc pentru DOMNUL; grăsimea acestuia 
LEV.3.10	Și cei doi rinichi și grăsimea care 
LEV.3.11	Și preotul să le ardă pe altar, 
LEV.3.12	Și dacă darul său 
LEV.3.13	Și să își pună mâna pe capul ei și să o înjunghie înaintea tabernacolului întâlnirii; și fiii lui Aaron să stropească sângele ei pe altar, de jur împrejur.
LEV.3.14	Și să aducă darul său din aceasta, ofrandă făcută prin foc DOMNULUI; grăsimea care acoperă măruntaiele și toată grăsimea care 
LEV.3.15	Și cei doi rinichi și grăsimea care 
LEV.3.16	Și preotul să le ardă pe altar; 
LEV.4.1	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.4.2	Vorbește copiilor lui Israel, zicând: Dacă un suflet va păcătui din ignoranță împotriva oricăreia dintre poruncile DOMNULUI, 
LEV.4.3	Dacă preotul, care este uns păcătuiește conform cu păcatul poporului, atunci el să aducă DOMNULUI pentru păcatul său, pe care l-a păcătuit, un taur tânăr, fără cusur, DOMNULUI, ca ofrandă pentru păcat.
LEV.4.4	Și să aducă taurul la ușa tabernacolului întâlnirii înaintea DOMNULUI; și să își pună mâna pe capul taurului și să înjunghie taurul înaintea DOMNULUI.
LEV.4.5	Și preotul, care este uns, să ia din sângele taurului și să îl aducă la tabernacolul întâlnirii;
LEV.4.6	Și preotul să își înmoaie degetul în sânge și să stropească din sângele 
LEV.4.7	Și preotul să pună 
LEV.4.8	Și să scoată din el toată grăsimea taurului pentru ofranda pentru păcat; grăsimea care acoperă măruntaiele și toată grăsimea care 
LEV.4.9	Și cei doi rinichi și grăsimea care 
