GEN.1.1	La început
1KI.1.30	că, așa
1KI.1.31	Bat-Șeba s-a plecat cu faţa la pământ și s-a închinat înaintea împăratului. Și a zis: „Trăiască
1KI.1.32	Împăratul David a zis: „Chemaţi-mi pe preotul Ţadoc, pe prorocul Natan și pe Benaia, fiul lui Iehoiada.” Ei au intrat și s-au înfăţișat înaintea împăratului. 
1KI.1.33	Și împăratul le-a zis: „Luaţi
1KI.1.34	Acolo, preotul Ţadoc și prorocul Natan să-l
1KI.1.35	Să vă suiţi apoi după el, ca să vină să se așeze pe scaunul meu de domnie și să împărăţească în locul meu. Căci porunca mea este ca el să fie căpetenia lui Israel și Iuda.” 
1KI.1.36	Benaia, fiul lui Iehoiada, a răspuns împăratului: „Amin! Așa să vrea Domnul Dumnezeul domnului meu, împăratul. 
1KI.1.37	Domnul să fie cu Solomon cum
1KI.1.38	Atunci, preotul Ţadoc s-a coborât împreună cu prorocul Natan, cu Benaia
1KI.1.39	Preotul Ţadoc a luat cornul cu untdelemn
1KI.1.40	Tot poporul s-a suit după el și poporul cânta din fluier și se desfăta cu mare bucurie; se clătina pământul de strigătele lor.
1KI.1.41	Zvonul acesta a ajuns până la Adonia și la toţi cei poftiţi care erau cu el tocmai în clipa când sfârșeau de mâncat. Ioab, auzind sunetul trâmbiţei, a zis: „Ce este cu vuietul acesta de care răsună cetatea?” 
1KI.1.42	Pe când vorbea el încă, a venit Ionatan, fiul preotului Abiatar. Și Adonia a zis: „Apropie-te, că ești un om
1KI.1.43	„Da”, a răspuns Ionatan lui Adonia, „domnul nostru împăratul David a făcut împărat pe Solomon. 
1KI.1.44	A trimis cu el pe preotul Ţadoc, pe prorocul Natan, pe Benaia, fiul lui Iehoiada, pe cheretiţi și peletiţi și l-au pus călare pe catârul împăratului. 
1KI.1.45	Preotul Ţadoc și prorocul Natan l-au uns împărat la Ghihon. De acolo s-au suit veselindu-se și cetatea a fost pusă în mișcare: acesta este vuietul pe care l-aţi auzit. 
1KI.1.46	Solomon s-a și așezat
1KI.1.47	Și slujitorii împăratului au venit să binecuvânteze pe domnul nostru împăratul David, zicând: ‘Dumnezeul tău să facă numele lui Solomon mai
1KI.1.48	Iată ce a zis și împăratul: ‘Binecuvântat să fie Domnul Dumnezeul lui Israel, care mi-a dat
1KI.1.49	Toţi cei poftiţi de Adonia s-au umplut de spaimă; s-au sculat și au plecat care încotro. 
1KI.1.50	Adonia s-a temut de Solomon; s-a sculat și el, a plecat și s-a apucat
1KI.1.51	Au venit și au spus lui Solomon: „Iată că Adonia se teme de împăratul Solomon și s-a apucat de coarnele altarului zicând: ‘Să-mi jure împăratul Solomon azi că nu va omorî pe robul său cu sabia!’” 
1KI.1.52	Solomon a zis: „Dacă va fi om cinstit, un
1KI.1.53	Și împăratul Solomon a trimis niște oameni care l-au coborât de pe altar. El a venit și s-a închinat înaintea împăratului Solomon, și Solomon i-a zis: „Du-te acasă.”
1KI.2.1	David se apropia de clipa
1KI.2.2	„Eu
1KI.2.3	Păzește poruncile Domnului Dumnezeului tău, umblând în căile Lui și păzind legile Lui, poruncile Lui, hotărârile Lui și învăţăturile Lui, după cum este scris în legea lui Moise, ca să izbutești
1KI.2.4	și pentru ca Domnul să împlinească
1KI.2.5	Știi ce mi-a făcut
1KI.2.6	Fă după înţelepciunea
1KI.2.7	Să te porţi cu bunăvoinţă cu fiii lui Barzilai
1KI.2.8	Iată că ai lângă tine pe Șimei
1KI.2.9	Acum, tu să nu-l lași nepedepsit
1KI.2.10	David a adormit
1KI.2.11	Vremea cât a împărăţit
1KI.2.12	Solomon a șezut
1KI.2.13	Adonia, fiul Haghitei, s-a dus la Bat-Șeba, mama lui Solomon. Ea i-a zis: „Vii
1KI.2.14	Și a adăugat: „Am să-ţi spun o vorbă.” Ea a zis: „Vorbește!” 
1KI.2.15	Și el a zis: „Știi că împărăţia era
1KI.2.16	Acum îţi cer un lucru: nu-ţi întoarce faţa!” Ea i-a răspuns: „Vorbește!” 
1KI.2.17	Și el a zis: „Spune, te rog, împăratului Solomon – căci nu se poate să nu te asculte – să-mi dea de nevastă pe
1KI.2.18	Bat-Șeba a zis: „Bine! Voi vorbi împăratului pentru tine.” 
1KI.2.19	Bat-Șeba s-a dus la împăratul Solomon să-i vorbească pentru Adonia. Împăratul s-a sculat s-o întâmpine, s-a închinat
1KI.2.20	Apoi a zis: „Am să-ţi fac o mică rugăminte: să mă asculţi!” Și împăratul i-a zis: „Cere, mamă, căci te voi asculta.” 
1KI.2.21	Ea a zis: „Abișag, Sunamita, să fie dată de nevastă fratelui tău Adonia.” 
1KI.2.22	Împăratul Solomon a răspuns mamei sale: „Pentru ce ceri numai pe Abișag, Sunamita, pentru Adonia? Cere și împărăţia pentru el, căci este fratele meu mai mare decât mine – pentru el, pentru preotul Abiatar
1KI.2.23	Atunci, împăratul a jurat pe Domnul zicând: „Să mă pedepsească Dumnezeu cu toată
1KI.2.24	Acum, viu este Domnul, care m-a întărit și m-a suit pe scaunul de domnie al tatălui meu David și care mi-a făcut o casă după făgăduinţa
1KI.2.25	Și împăratul Solomon a trimis pe Benaia, fiul lui Iehoiada, care l-a lovit, și Adonia a murit.
1KI.2.26	Împăratul a zis apoi preotului Abiatar: „Du-te la Anatot
1KI.2.27	Astfel, Solomon a scos pe Abiatar din slujba de preot al Domnului, ca să împlinească
1KI.2.28	Vestea aceasta a ajuns până la Ioab, care luase partea
1KI.2.29	Au dat de știre împăratului Solomon că Ioab a fugit la cortul Domnului și că este la altar. Și Solomon a trimis pe Benaia, fiul lui Iehoiada, zicându-i: „Du-te și lovește-l!” 
1KI.2.30	Benaia a ajuns la cortul Domnului și a zis lui Ioab: „Ieși, căci așa poruncește împăratul!” Dar el a răspuns: „Nu! Vreau să mor aici.” Benaia a spus lucrul acesta împăratului, zicând: „Așa a vorbit Ioab și așa mi-a răspuns.” 
1KI.2.31	Împăratul a zis lui Benaia: „Fă
1KI.2.32	Domnul va face ca sângele lui să cadă
1KI.2.33	Sângele lor să cadă peste capul lui Ioab și peste capul urmașilor
1KI.2.34	Benaia, fiul lui Iehoiada, s-a suit, a lovit pe Ioab și l-a omorât. El a fost îngropat în casa lui, în pustie. 
1KI.2.35	Împăratul a pus în fruntea oștirii pe Benaia, fiul lui Iehoiada, în locul lui Ioab, iar în locul lui Abiatar
1KI.2.36	Împăratul a chemat pe Șimei
1KI.2.37	Să știi bine că, în ziua când vei ieși și vei trece pârâul
1KI.2.38	Șimei a răspuns împăratului: „Bine! Robul tău va face cum spune domnul meu împăratul.” Și Șimei a locuit multă vreme la Ierusalim. 
1KI.2.39	După trei ani, s-a întâmplat că doi slujitori ai lui Șimei au fugit la Achiș
1KI.2.40	Șimei s-a sculat, a pus șaua pe măgar și s-a dus la Gat, la Achiș, să-și caute slujitorii. Șimei s-a dus și și-a adus înapoi slujitorii din Gat. 
1KI.2.41	Au dat de veste lui Solomon că Șimei a plecat din Ierusalim la Gat și că s-a întors. 
1KI.2.42	Împăratul a chemat pe Șimei și i-a zis: „Nu te-am pus eu să juri pe Domnul și nu ţi-am spus eu hotărât: ‘Să știi că vei muri în ziua când vei ieși să te duci într-o parte sau alta’? Și nu mi-ai răspuns tu: ‘Bine, am înţeles’? 
1KI.2.43	Pentru ce atunci n-ai ascultat de jurământul Domnului și de porunca pe care ţi-o dădusem?” 
1KI.2.44	Și împăratul a zis lui Șimei: „Știi înăuntrul inimii tale tot
1KI.2.45	Dar împăratul Solomon va fi binecuvântat și scaunul
1KI.2.46	Și împăratul a poruncit lui Benaia, fiul lui Iehoiada, care a ieșit și a lovit pe Șimei, și Șimei a murit.
1KI.2.46	Astfel, împărăţia
1KI.3.1	Solomon
1KI.3.2	Poporul
1KI.3.3	Solomon iubea
1KI.3.4	Împăratul s-a dus
1KI.3.5	La Gabaon
1KI.3.6	Solomon
1KI.3.7	Acum, Doamne, Dumnezeul meu, Tu ai pus pe robul Tău să împărăţească în locul tatălui meu David, și eu nu sunt decât un tânăr
1KI.3.8	Robul Tău este în mijlocul poporului pe care l-ai
1KI.3.9	Dă dar
1KI.3.10	Cererea aceasta a lui Solomon a plăcut Domnului. 
1KI.3.11	Și Dumnezeu a zis: „Fiindcă lucrul acesta îl ceri, fiindcă nu ceri
1KI.3.12	voi
1KI.3.13	Mai mult, îţi voi da
1KI.3.14	Și, dacă vei umbla în căile Mele, păzind legile și poruncile Mele, cum
1KI.3.15	Solomon s-a
1KI.3.16	Atunci au venit două femei curve la împărat și s-au înfăţișat
1KI.3.17	Una din femei a zis: „Rogu-mă, domnul meu, eu și femeia aceasta locuiam în aceeași casă și am născut lângă ea în casă. 
1KI.3.18	După trei zile, femeia aceasta a născut și ea. Locuiam împreună, niciun străin nu era cu noi în casă, nu eram decât noi amândouă. 
1KI.3.19	Peste noapte, fiul acestei femei a murit, pentru că se culcase peste el. 
1KI.3.20	Ea s-a sculat pe la mijlocul nopţii, a luat pe fiul meu de lângă mine, pe când dormea roaba ta, și l-a culcat la sânul ei, iar pe fiul ei, care murise, l-a culcat la sânul meu. 
1KI.3.21	Dimineaţa, m-am sculat să dau ţâţă copilului, și iată că era mort. M-am uitat cu luare aminte la el dimineaţa, și iată că nu era fiul meu pe care-l născusem.” 
1KI.3.22	Cealaltă femeie a zis: „Ba nu; fiul meu este cel viu, iar fiul tău e cel mort.” Dar cea dintâi a răspuns: „Ba nicidecum! Fiul tău este cel mort, iar fiul meu este cel viu.” Așa au vorbit ele înaintea împăratului. 
1KI.3.23	Împăratul a zis: „Una zice: ‘Fiul meu este cel viu, iar fiul tău este cel mort.’ Și cealaltă zice: ‘Ba nicidecum! Fiul tău este cel mort, iar fiul meu este cel viu.’” 
1KI.3.24	Apoi a adăugat: „Aduceţi-mi o sabie.” Au adus o sabie înaintea împăratului. 
1KI.3.25	Și împăratul a zis: „Tăiaţi în două copilul cel viu și daţi o jumătate uneia și o jumătate celeilalte.” 
1KI.3.26	Atunci, femeia al cărei copil era viu a simţit că i
1KI.3.27	Și împăratul, luând cuvântul, a zis: „Daţi celei dintâi copilul cel viu și nu-l omorâţi. Ea este mama lui.” 
1KI.3.28	Tot Israelul a auzit de hotărârea pe care o rostise împăratul. Și s-au temut de împărat, căci au văzut că înţelepciunea
1KI.4.1	Împăratul Solomon era împărat peste tot Israelul. 
1KI.4.2	Iată căpeteniile pe care le avea în slujba lui: Azaria, fiul preotului Ţadoc, 
1KI.4.3	Elihoref și Ahia, fiii lui Șișa, erau logofeţi; Iosafat
1KI.4.4	Benaia
1KI.4.5	Azaria, fiul lui Natan, era mai-mare
1KI.4.6	Ahișar era mai-mare peste casa împăratului și Adoniram
1KI.4.7	Solomon avea doisprezece îngrijitori peste tot Israelul. Ei îngrijeau de hrana împăratului și a casei lui, fiecare timp de o lună din an. 
1KI.4.8	Iată-le numele:
1KI.4.8	Fiul lui Hur, în muntele lui Efraim. 
1KI.4.9	Fiul lui Decher, la Macaţ, la Saalbim, la Bet-Șemeș, la Elon și la Bet-Hanan. 
1KI.4.10	Fiul lui Hesed, la Arubot; el avea Soco și toată ţara Hefer. 
1KI.4.11	Fiul lui Abinadab avea tot ţinutul Dorului. Tafat, fata lui Solomon, era nevasta lui. 
1KI.4.12	Baana, fiul lui Ahilud, avea Taanac și Meghido și tot Bet-Șeanul de lângă Ţartan sub Izreel, de la Bet-Șean până la Abel-Mehola, până dincolo de Iocmeam. 
1KI.4.13	Fiul lui Gheber, la Ramot din Galaad; el avea târgurile
1KI.4.14	Ahinadab, fiul lui Ido, la Mahanaim. 
1KI.4.15	Ahimaaţ, în Neftali. El luase de nevastă pe Basmat, fata lui Solomon. 
1KI.4.16	Baana, fiul lui Hușai, în Așer și la Bealot. 
1KI.4.17	Iosafat, fiul lui Paruah, în Isahar. 
1KI.4.18	Șimei, fiul lui Ela, în Beniamin. 
1KI.4.19	Gheber, fiul lui Uri, în ţara Galaadului; el avea ţinutul
1KI.4.20	Iuda și Israel erau în număr foarte mare, ca nisipul
1KI.4.21	Solomon
1KI.4.22	În fiecare zi, Solomon mânca treizeci de cori de floare de făină și șaizeci de cori de altă făină, 
1KI.4.23	zece boi grași, douăzeci de boi de păscut și o sută de oi, afară de cerbi, căprioare, ciute și păsări îngrășate. 
1KI.4.24	Stăpânea peste toată ţara de dincoace de râu, de la Tifsah până la Gaza, peste toţi împăraţii
1KI.4.25	Iuda și Israel, de la Dan
1KI.4.26	Solomon
1KI.4.27	Îngrijitorii
1KI.4.28	Aduceau și orz și paie pentru armăsari și fugari, în locul unde se afla împăratul, fiecare după poruncile pe care le primise.
1KI.4.29	Dumnezeu
1KI.4.30	Înţelepciunea lui Solomon întrecea înţelepciunea tuturor fiilor Răsăritului
1KI.4.31	El era mai înţelept
1KI.4.32	A rostit
1KI.4.33	A vorbit despre copaci, de la cedrul din Liban până la isopul care crește pe zid, a vorbit, de asemenea, despre dobitoace, despre păsări, despre târâtoare și despre pești. 
1KI.4.34	Veneau
1KI.5.1	Hiram
1KI.5.2	Solomon
1KI.5.3	„Știi că tatăl meu David n-a putut să zidească o casă Domnului Dumnezeului lui, din pricina războaielor
1KI.5.4	Acum, Domnul Dumnezeul meu mi-a dat odihnă
1KI.5.5	Iată
1KI.5.6	Poruncește acum să se taie pentru mine cedri
1KI.5.7	Când a auzit Hiram cuvintele lui Solomon, a avut o mare bucurie și a zis: „Binecuvântat să fie astăzi Domnul, care a dat lui David un fiu înţelept drept căpetenie a acestui mare popor!” 
1KI.5.8	Și Hiram a trimis răspuns lui Solomon: „Am auzit ce ai trimis să mi se spună. Voi face tot ce vei vrea în ce privește lemnele de cedru și lemnele de chiparos. 
1KI.5.9	Slujitorii mei le vor coborî din Liban la mare și
1KI.5.10	Hiram a dat lui Solomon lemne de cedru și lemne de chiparos cât a voit. 
1KI.5.11	Și Solomon
1KI.5.12	Domnul a dat înţelepciune lui Solomon, cum
1KI.5.13	Împăratul Solomon a luat din tot Israelul oameni de corvoadă, în număr de treizeci de mii. 
1KI.5.14	I-a trimis în Liban, câte zece mii pe lună, cu schimbul; o lună erau în Liban și două luni erau acasă. Adoniram era mai-mare peste
1KI.5.15	Solomon
1KI.5.16	afară de căpeteniile, în număr de trei mii trei sute, puse de Solomon peste lucrări și însărcinate cu privegherea lucrătorilor. 
1KI.5.17	Împăratul a poruncit să se scoată pietre mari și măreţe, cioplite
1KI.5.18	Lucrătorii lui Solomon, ai lui Hiram și ghibliţii le-au cioplit și au pregătit lemnele și pietrele pentru zidirea casei.
1KI.6.1	În
1KI.6.2	Casa
1KI.6.3	Pridvorul dinaintea templului casei avea o lungime de douăzeci de coţi în lăţimea casei și zece coţi lărgime în faţa casei. 
1KI.6.4	Împăratul a făcut casei ferestre
1KI.6.5	A zidit, lipite de zidul casei, mai multe rânduri
1KI.6.6	Catul de jos era lat de cinci coţi, cel de la mijloc de șase coţi, iar al treilea de șapte coţi, căci pe partea de afară a casei a făcut arcade strâmte împrejur, ca grinzile să nu fie prinse în zidurile casei. 
1KI.6.7	Când s-a zidit casa
1KI.6.8	Intrarea odăilor din catul de jos era în partea dreaptă a casei; în catul de la mijloc te suiai pe o scară cotită și, tot așa, de la catul de mijloc, la al treilea. 
1KI.6.9	După ce a isprăvit
1KI.6.10	A făcut de cinci coţi de înalte fiecare din caturile dimprejurul întregii case și le-a legat de casă prin lemne de cedru. 
1KI.6.11	Domnul a vorbit lui Solomon și i-a zis: 
1KI.6.12	„Tu zidești casa aceasta! Dacă vei
1KI.6.13	voi
1KI.6.14	După ce a isprăvit
1KI.6.15	Solomon i-a îmbrăcat zidurile pe dinăuntru cu scânduri de cedru, de la pardoseală până la tavan, a îmbrăcat astfel în lemn partea dinăuntru și a acoperit pardoseala casei cu scânduri de chiparos. 
1KI.6.16	A îmbrăcat cu scânduri de cedru cei douăzeci de coţi ai fundului casei, de la pardoseală până în creștetul zidurilor, și a păstrat locul acesta, ca să facă din el Sfânta Sfintelor
1KI.6.17	Cei patruzeci de coţi de dinainte alcătuiau Casa, adică Templul. 
1KI.6.18	Lemnul de cedru dinăuntru avea săpături de colocinţi și flori deschise; totul era de cedru, nu se vedea nicio piatră. 
1KI.6.19	Solomon a pregătit Locul Preasfânt înăuntru, în mijlocul casei, ca să așeze acolo chivotul legământului Domnului. 
1KI.6.20	Locul Preasfânt avea douăzeci de coţi lungime, douăzeci de coţi lăţime și douăzeci de coţi înălţime. Solomon l-a căptușit cu aur curat. A făcut înaintea Locului Preasfânt un altar de lemn de cedru și l-a acoperit cu aur. 
1KI.6.21	Partea dinăuntru a casei a căptușit-o cu aur și a prins perdeaua dinăuntru în lănţișoare de aur înaintea Locului Preasfânt, pe care l-a acoperit cu aur. 
1KI.6.22	A căptușit toată casa cu aur, casa întreagă, și a acoperit cu aur tot altarul
1KI.6.23	În Locul Preasfânt a făcut
1KI.6.24	Fiecare din cele două aripi ale unuia din heruvimi avea cinci coţi, ceea ce făcea zece coţi de la capătul uneia din aripile lui până la capătul celeilalte. 
1KI.6.25	Al doilea heruvim avea tot zece coţi. Măsura și chipul erau aceleași pentru amândoi heruvimii. 
1KI.6.26	Înălţimea fiecăruia din cei doi heruvimi era de zece coţi. 
1KI.6.27	Solomon a așezat heruvimii în mijlocul casei, în partea dinăuntru. Aripile lor erau întinse
1KI.6.28	Solomon a acoperit și heruvimii cu aur. 
1KI.6.29	Pe toate zidurile casei de jur împrejur, în partea din fund și în faţă, a pus să sape chipuri de heruvimi, de finici și de flori deschise. 
1KI.6.30	A acoperit pardoseala casei cu aur, în partea din fund și în faţă. 
1KI.6.31	La intrarea Locului Preasfânt a făcut două uși din lemn de măslin sălbatic; pragul de sus și ușorii ușilor erau în cinci muchii. 
1KI.6.32	Cele două uși erau făcute din lemn de măslin sălbatic. A pus să sape pe ele chipuri de heruvimi, de finici și de flori deschise și le-a acoperit cu aur, a întins aurul și peste heruvimi, și peste finici. 
1KI.6.33	A făcut, de asemenea, pentru poarta Templului niște ușori de lemn de măslin sălbatic, în patru muchii, 
1KI.6.34	și cu două uși de lemn de chiparos; fiecare
1KI.6.35	A pus să sape pe ele chipuri de heruvimi, de finici și de flori deschise și le-a acoperit cu aur, pe care l-a întins pe săpătura de chipuri. 
1KI.6.36	A zidit și curtea dinăuntru din trei rânduri de pietre cioplite și dintr-un rând de grinzi de cedru. 
1KI.6.37	În anul al
1KI.6.38	și în anul al unsprezecelea, în luna Bul, care este a opta lună, casa a fost isprăvită în toate părţile ei și așa cum trebuia să fie. În timp de șapte
1KI.7.1	Solomon și-a mai zidit și casa lui și a ţinut treisprezece
1KI.7.2	A zidit mai întâi casa din pădurea Libanului: lungă de o sută de coţi, lată de cincizeci de coţi și înaltă de treizeci de coţi. Se sprijinea pe patru rânduri de stâlpi de cedru și pe stâlpi erau grinzi de cedru. 
1KI.7.3	A acoperit cu cedru odăile care erau sprijinite de stâlpi și care erau în număr de patruzeci și cinci, câte cincisprezece de fiecare cat. 
1KI.7.4	Erau trei caturi și fiecare din ele avea ferestrele faţă în faţă. 
1KI.7.5	Toate ușile și toţi ușorii erau din bârne în patru muchii și, la fiecare din cele trei caturi, ușile erau faţă în faţă. 
1KI.7.6	A făcut un pridvor de stâlpi, lung de cincizeci de coţi și lat de treizeci de coţi, și un alt pridvor înainte cu stâlpi și trepte în faţă. 
1KI.7.7	A făcut pridvorul scaunului de domnie, unde judeca, pridvorul judecăţii, și l-a acoperit cu cedru, de la pardoseală până în tavan. 
1KI.7.8	Casa lui de locuit a fost zidită în același fel, într-o altă curte, în dosul pridvorului. Și a făcut o casă la fel cu pridvorul acesta pentru fata lui Faraon pe care
1KI.7.9	Pentru toate aceste clădiri a întrebuinţat pietre minunate, cioplite după măsură, ferestruite cu fierăstrăul înăuntru și în afară, și aceasta din temelii până la streașină și afară până la curtea cea mare. 
1KI.7.10	Temeliile erau de pietre foarte de preţ și mari, pietre de zece coţi și pietre de opt coţi. 
1KI.7.11	Deasupra erau iarăși pietre foarte de preţ, tăiate după măsură, și lemn de cedru. 
1KI.7.12	Curtea cea mare avea de jur împrejurul ei trei șiruri de pietre cioplite și un șir de bârne de cedru, ca și curtea dinăuntru a Casei Domnului și
1KI.7.13	Împăratul Solomon a trimis și a adus din Tir pe Hiram
1KI.7.14	fiul
1KI.7.15	A turnat cei doi
1KI.7.16	A turnat două coperișuri de aramă, ca să le pună pe vârfurile stâlpilor; cel dintâi era înalt de cinci coţi și al doilea era înalt de cinci coţi. 
1KI.7.17	A mai făcut niște împletituri în chip de reţea, niște ciucuri făcuţi cu lănţișoare, pentru coperișurile de pe vârful stâlpilor, șapte pentru coperișul dintâi și șapte pentru coperișul al doilea. 
1KI.7.18	A făcut câte două șiruri de rodii împrejurul uneia din reţele ca să acopere coperișul de pe vârful unuia din stâlpi; tot așa a făcut și pentru al doilea. 
1KI.7.19	Coperișurile de pe vârful stâlpilor, în pridvor, erau lucrate așa de parcă erau niște crini și aveau patru coţi. 
1KI.7.20	Coperișurile de pe cei doi stâlpi erau înconjurate de două sute
1KI.7.21	A așezat
1KI.7.22	În vârful stâlpilor era o lucrătură în chip de crini. Astfel s-a isprăvit lucrarea stâlpilor.
1KI.7.23	A făcut marea
1KI.7.24	Sub buza ei erau săpaţi niște colocinţi, câte zece la fiecare cot, de jur
1KI.7.25	Era așezată pe doisprezece boi
1KI.7.26	Grosimea ei era de un lat de mână și marginea ei era ca marginea unui potir, făcută ca floarea crinului. Avea o încăpere de două
1KI.7.27	A mai făcut zece temelii de aramă. Fiecare temelie era lungă de patru coţi, lată de patru coţi și înaltă de trei coţi. 
1KI.7.28	Iată cum erau temeliile acestea. Erau făcute din tăblii, legate la colţuri cu încheieturi. 
1KI.7.29	Pe tăbliile dintre încheieturi erau niște lei, boi și heruvimi și, pe încheieturi, deasupra și dedesubtul leilor și boilor, erau niște împletituri care atârnau în chip de ciucuri. 
1KI.7.30	Fiecare temelie avea patru roţi de aramă, cu osii de aramă; și la cele patru colţuri erau niște poliţe turnate sub lighean și lângă ciucuri. 
1KI.7.31	Gura temeliei dinăuntrul coperișului până sus era de un cot; gura aceasta era rotundă, ca pentru lucrările de felul acesta, și era lată de un cot și jumătate; avea și săpături. Tăbliile erau în patru muchii, nu rotunde. 
1KI.7.32	Cele patru roţi erau sub tăblii și osiile roţilor erau prinse de temelie; fiecare era înaltă de un cot și jumătate. 
1KI.7.33	Roţile erau făcute ca ale unui car. Osiile, obezile, spiţele și butucii lor erau toate turnate. 
1KI.7.34	La cele patru colţuri ale fiecărei temelii erau niște poliţe dintr-o bucată cu temelia. 
1KI.7.35	Partea de sus a temeliei se sfârșea cu un cerc înalt de o jumătate de cot și își avea proptelele cu tăbliile ei făcute dintr-o bucată cu ea. 
1KI.7.36	Pe plăcile proptelelor și pe tăblii a săpat heruvimi, lei și finici, după locurile goale, și ciucuri de jur împrejur. 
1KI.7.37	Așa a făcut cele zece temelii; turnătura, măsura și chipul erau la fel pentru toate. 
1KI.7.38	A mai
1KI.7.39	A pus cinci temelii pe partea dreaptă a casei și cinci temelii pe partea stângă a casei, iar marea de aramă a pus-o în partea dreaptă a casei la miazăzi-răsărit. 
1KI.7.40	Hiram a făcut cenușarele, lopeţile și lighenele.
1KI.7.40	Așa a sfârșit Hiram toată lucrarea pe care i-o dăduse împăratul Solomon s-o facă pentru Casa Domnului: 
1KI.7.41	doi stâlpi, cu cele două coperișuri și cu cununile lor de pe vârful stâlpilor; cele două reţele
1KI.7.42	cele patru sute de rodii pentru cele două reţele, câte două rânduri de rodii de fiecare reţea, ca să acopere cele două cununi ale coperișurilor de pe vârful stâlpilor; 
1KI.7.43	cele zece temelii și cele zece lighene de pe temelii; 
1KI.7.44	marea și cei doisprezece boi de sub mare; 
1KI.7.45	cenușarele
1KI.7.46	Împăratul a pus să le toarne în câmpia
1KI.7.47	Solomon a lăsat toate aceste unelte necântărite, căci erau foarte multe, și greutatea aramei nu se putea socoti. 
1KI.7.48	Solomon a mai făcut toate celelalte unelte pentru Casa Domnului: altarul
1KI.7.49	sfeșnicele de aur curat, cinci la dreapta și cinci la stânga, înaintea Locului Preasfânt, cu florile, candelele și mucările de aur; 
1KI.7.50	lighenele, cuţitele, potirele, ceștile și căţuile de aur curat și ţâţânile de aur curat pentru ușa dinăuntrul casei, la intrarea în Locul Preasfânt, și pentru ușa casei de la intrarea Templului. 
1KI.7.51	Astfel s-a isprăvit toată lucrarea pe care a făcut-o împăratul Solomon pentru Casa Domnului. Apoi a adus argintul, aurul și uneltele pe care le hărăzise
1KI.8.1	Atunci, împăratul Solomon
1KI.8.2	Toţi bărbaţii lui Israel s-au strâns la împăratul Solomon, în luna Etanim, care este a șaptea lună, în timpul praznicului
1KI.8.3	Când au venit toţi bătrânii lui Israel, preoţii
1KI.8.4	Au adus chivotul Domnului, cortul
1KI.8.5	Împăratul Solomon și toată adunarea lui Israel chemată la el au stat înaintea chivotului. Au jertfit
1KI.8.6	Preoţii au dus
1KI.8.7	Căci heruvimii aveau aripile întinse peste locul chivotului și acopereau chivotul și drugii lui pe deasupra. 
1KI.8.8	Se dăduse drugilor
1KI.8.9	În chivot
1KI.8.10	În clipa când au ieșit preoţii din Locul Sfânt, norul a umplut
1KI.8.11	Preoţii n-au putut să rămână acolo să facă slujba din pricina norului, căci slava Domnului umpluse Casa Domnului.
1KI.8.12	Atunci
1KI.8.13	Eu am zidit
1KI.8.14	Împăratul și-a întors faţa și a binecuvântat
1KI.8.15	Și el a zis: „Binecuvântat
1KI.8.16	‘Din
1KI.8.17	Tatăl meu David avea de gând
1KI.8.18	Și Domnul
1KI.8.19	Numai că nu tu
1KI.8.20	Domnul a împlinit cuvintele pe care
1KI.8.21	Am rânduit un loc pentru chivot, unde este legământul
1KI.8.22	Solomon s-a așezat înaintea altarului
1KI.8.23	și a zis:
1KI.8.23	„Doamne, Dumnezeul lui Israel! Nu
1KI.8.24	Astfel, ai ţinut cuvântul dat robului Tău David, tatăl meu, și ce ai spus cu gura Ta împlinești în ziua aceasta cu puterea Ta. 
1KI.8.25	Acum, Doamne, Dumnezeul lui Israel, ţine făgăduinţa pe care ai făcut-o tatălui meu, David, când ai zis: ‘Nu
1KI.8.26	O, Dumnezeul lui Israel, împlinească-se făgăduinţa
1KI.8.27	Dar ce! Va locui
1KI.8.28	Totuși, Doamne, Dumnezeul meu, ia aminte la rugăciunea robului Tău și la cererea lui; ascultă strigătul și rugăciunea pe care Ţi-o face astăzi robul Tău. 
1KI.8.29	Ochii Tăi să fie zi și noapte deschiși asupra casei acesteia, asupra locului despre care ai zis: ‘Acolo va fi Numele Meu!’ Ascultă rugăciunea pe care Ţi-o face robul Tău în locul
1KI.8.30	Binevoiește și ascultă
1KI.8.31	Dacă va păcătui cineva împotriva aproapelui său și va fi silit să
1KI.8.32	ascultă-l din ceruri, lucrează și fă dreptate robilor Tăi; osândește
1KI.8.33	Când
1KI.8.34	ascultă-i din ceruri, iartă păcatul poporului Tău Israel și întoarce-i în ţara pe care ai dat-o părinţilor lor! 
1KI.8.35	Când
1KI.8.36	ascultă-i din ceruri, iartă păcatul robilor Tăi și al poporului Tău Israel, învaţă-i
1KI.8.37	Când foametea
1KI.8.38	dacă un om, dacă tot poporul Tău Israel va face rugăciuni și cereri și fiecare își va cunoaște mustrarea cugetului lui și va întinde mâinile spre casa aceasta, 
1KI.8.39	ascultă-l din ceruri, din locul locuinţei Tale, și iartă-l; lucrează și răsplătește fiecăruia după căile lui, Tu, care cunoști inima fiecăruia, căci numai Tu cunoști
1KI.8.40	ca să se teamă
1KI.8.41	Când străinul, care nu este din poporul Tău Israel, va veni dintr-o ţară depărtată pentru Numele Tău, 
1KI.8.42	căci se va ști că Numele Tău este mare, mâna
