GEN.1.1	Ла ынчепут
JOS.1.11	„Тречець прин табэрэ ши ятэ че сэ порунчиць попорулуй: ‘Прегэтици-вэ меринде, кэч песте трей
JOS.1.12	Иосуа а зис рубеницилор, гадицилор ши жумэтэций дин семинция луй Манасе: 
JOS.1.13	„Адучеци-вэ аминте
JOS.1.14	Невестеле воастре, прунчий воштри ши вителе воастре сэ рэмынэ ын цара пе каре в-а дат-о Мойсе динкоаче де Йордан, дар вой, тоць бэрбаций войничь, сэ тречець ынармаць ынаинтя фрацилор воштри ши сэ-й ажутаць, 
JOS.1.15	пынэ че Домнул ва да одихнэ фрацилор воштри ка ши воуэ ши пынэ че вор фи ши ей ын стэпыниря цэрий пе каре ле-о дэ Домнул Думнезеул востру. Апой
JOS.1.16	Ей ау рэспунс луй Иосуа ши ау зис: „Вом фаче тот че не-ай порунчит ши не вом дуче орьунде не вей тримите. 
JOS.1.17	Те вом аскулта ын тотул, кум ам аскултат пе Мойсе. Нумай Домнул Думнезеул тэу сэ фие
JOS.1.18	Орьче ом каре се ва рэзврэти ымпотрива порунчий тале ши каре ну ва аскулта де тот че-й вей порунчи сэ фие педепсит ку моартя! Ынтэреште-те нумай ши ымбэрбэтязэ-те!”
JOS.2.1	Иосуа, фиул луй Нун, а тримис ын аскунс дин
JOS.2.2	С-а дат
JOS.2.3	Ымпэратул Иерихонулуй а тримис ла Рахав сэ-й спунэ: „Скоате афарэ пе бэрбаций каре ау венит ла тине ши каре ау интрат ын каса та, кэч ау венит сэ искодяскэ цара.” 
JOS.2.4	Фемея
JOS.2.5	ши, фииндкэ поарта а требуит сэ се ынкидэ ноаптя, бэрбаций ачештя ау ешит афарэ; ну штиу унде с-ау дус: грэбици-вэ де-й урмэриць ши-й вець ажунӂе.” 
JOS.2.6	Еа ый суисе
JOS.2.7	Оамений ачея й-ау урмэрит пе друмул каре дуче ла вадул Йорданулуй ши, дупэ че ау ешит ей, с-а ынкис поарта. 
JOS.2.8	Ынаинте де а се кулка искоаделе, Рахав с-а суит ла ей пе акопериш 
JOS.2.9	ши ле-а зис: „Штиу кэ Домнул в-а дат цара ачаста, кэч не-а апукат гроаза
JOS.2.10	Фииндкэ ам аузит кум, ла еширя воастрэ дин Еӂипт, Домнул а секат
JOS.2.11	Де кынд ам
JOS.2.12	Ши акум, вэ рог, жураци-мь
JOS.2.13	кэ вець лэса ку вяцэ пе татэл меу, пе мама мя, пе фраций мей, пе сурориле меле ши пе тоць ай лор ши кэ не вець скэпа де ла моарте.” 
JOS.2.14	Бэрбаций ачея й-ау рэспунс: „Сунтем гата сэ мурим пентру вой, дакэ ну не даць пе фацэ; ши кынд Домнул не ва да цара ачаста, не вом пурта ку тине ку бунэвоинцэ
JOS.2.15	Еа й-а коборыт
JOS.2.16	Ши ле-а зис: „Дучеци-вэ спре мунте, ка сэ ну вэ ынтылняскэ чей че вэ урмэреск, аскундеци-вэ аколо трей зиле, пынэ се вор ынтоарче, дупэ ачея сэ вэ ведець де друм.” 
JOS.2.17	Бэрбаций ачея й-ау зис: „Ятэ кум вом фи дезлегаць
JOS.2.18	Ла интраря
JOS.2.19	Дакэ вреунул дин ей ва еши пе поарта касей тале, ка сэ мяргэ афарэ пе улицэ, сынӂеле луй
JOS.2.20	Ши, дакэ не вей да пе фацэ, вом фи дезлегаць де журэмынтул пе каре не-ай пус сэ-л фачем.” 
JOS.2.21	Еа а рэспунс: „Фие дупэ кувинтеле воастре.” Шь-а луат рэмас-бун де ла ей ши ей ау плекат. Еа а легат фуния кэрэмизие ла ферястрэ. 
JOS.2.22	Ей ау плекат ши ау ажунс ла мунте, унде ау рэмас трей зиле, пынэ с-ау ынторс чей каре-й урмэряу. Чей каре-й урмэряу й-ау кэутат пе тот друмул, дар ну й-ау гэсит. 
JOS.2.23	Чей дой оамень с-ау ынторс, с-ау коборыт дин мунте ши ау трекут Йорданул. Ау венит ла Иосуа, фиул луй Нун, ши й-ау историсит тот че ли се ынтымпласе. 
JOS.2.24	Ей ау зис луй Иосуа: „Ку адевэрат, Домнул
JOS.3.1	Иосуа, скулынду-се дис-де-диминяцэ, а порнит дин Ситим
JOS.3.2	Дупэ трей
JOS.3.3	ши ау дат попорулуй урмэтоаря порункэ: „Кынд
JOS.3.4	Дар
JOS.3.5	Иосуа а зис попорулуй: „Сфинцици-вэ
JOS.3.6	Ши Иосуа а зис преоцилор: „Луаць
JOS.3.7	Домнул а зис луй Иосуа: „Астэзь, вой ынчепе сэ те ыналц
JOS.3.8	Сэ дай урмэтоаря порункэ преоцилор
JOS.3.9	Иосуа а зис копиилор луй Исраел: „Апропияци-вэ ши аскултаць кувинтеле Домнулуй Думнезеулуй востру.” 
JOS.3.10	Иосуа а зис: „Прин ачаста вець куноаште кэ Думнезеул
JOS.3.11	Ятэ, кивотул легэмынтулуй Домнулуй
JOS.3.12	Акум, луаць
JOS.3.13	Ши де ындатэ
JOS.3.14	Попорул а ешит дин кортурь ка сэ трякэ Йорданул ши преоций каре дучяу кивотул
JOS.3.15	Кынд преоций каре дучяу кивотул ау ажунс ла Йордан ши кынд ли с-ау ынмуят пичоареле
JOS.3.16	апеле каре се кобоарэ дин сус с-ау оприт ши с-ау ынэлцат грэмадэ, ла о фоарте маре депэртаре де лынгэ четатя Адам, каре есте лынгэ Цартан
JOS.3.17	Преоций каре дучяу кивотул легэмынтулуй Домнулуй с-ау оприт пе ускат, ын мижлокул Йорданулуй, ын тимп че тот Исраелул
JOS.4.1	Дупэ че а испрэвит тот попорул де трекут
JOS.4.2	„Я
JOS.4.3	Дэ-ле порунка урмэтоаре: ‘Луаць де аич, дин мижлокул Йорданулуй, дин локул унде с-ау оприт
JOS.4.4	Иосуа а кемат пе чей дойспрезече бэрбаць пе каре й-а алес динтре копиий луй Исраел, кыте ун бэрбат де фиекаре семинцие, 
JOS.4.5	ши ле-а зис: „Тречець ынаинтя кивотулуй Домнулуй Думнезеулуй востру, ын мижлокул Йорданулуй, ши фиекаре дин вой сэ я о пятрэ пе умэр, дупэ нумэрул семинциилор копиилор луй Исраел, 
JOS.4.6	пентру ка ачеста сэ фие ун семн де адучере аминте ын мижлокул востру. Кынд
JOS.4.7	сэ ле спунець: ‘Апеле Йорданулуй
JOS.4.8	Копиий луй Исраел ау фэкут аша кум ле порунчисе Иосуа. Ау луат доуэспрезече петре дин мижлокул Йорданулуй, кум спусесе луй Иосуа Домнул, дупэ нумэрул семинциилор копиилор луй Исраел, ле-ау луат ку ей ши ле-ау пус ын локул унде авяу сэ рэмынэ песте ноапте. 
JOS.4.9	Иосуа а ридикат ши ел доуэспрезече петре ын мижлокул Йорданулуй, ын локул унде се оприсерэ пичоареле преоцилор каре дучяу кивотул легэмынтулуй, ши еле ау рэмас аколо пынэ ын зиуа де азь. 
JOS.4.10	Преоций каре дучяу кивотул ау стат ын мижлокул Йорданулуй пынэ ла деплина ымплинире а челор че порунчисе луй Иосуа Домнул сэ спунэ попорулуй, потривит ку тот че порунчисе Мойсе луй Иосуа. Ши попорул с-а грэбит сэ трякэ. 
JOS.4.11	Дупэ че а испрэвит де трекут тот попорул, кивотул Домнулуй ши преоций ау трекут ынаинтя попорулуй. 
JOS.4.12	Фиий луй Рубен, фиий луй Гад ши жумэтате дин семинция луй Манасе ау трекут
JOS.4.13	Апроапе патрузечь де мий де бэрбаць прегэтиць де рэзбой ау трекут гата де луптэ ынаинтя Домнулуй ын кымпия Иерихонулуй. 
JOS.4.14	Ын зиуа ачея, Домнул а ынэлцат
JOS.4.15	Домнул а зис луй Иосуа: 
JOS.4.16	„Порунчеште преоцилор каре дук
JOS.4.17	Ши Иосуа а порунчит преоцилор: „Ешиць дин Йордан.” 
JOS.4.18	Кынд ау ешит преоций каре дучяу кивотул легэмынтулуй Домнулуй дин мижлокул Йорданулуй ши кынд ау кэлкат ку талпа пичоарелор пе ускат, апеле Йорданулуй с-ау ынторс ла локул лор ши с-ау ревэрсат
JOS.4.19	Попорул а ешит дин Йордан ын зиуа а зечя а луний ынтый ши а тэбэрыт ла Гилгал
JOS.4.20	Иосуа а ридикат ла Гилгал челе
JOS.4.21	Ел а зис копиилор луй Исраел: „Кынд вор
JOS.4.22	сэ ынвэцаць пе копиий воштри ши сэ ле спунець: ‘Исраел
JOS.4.23	Кэч Домнул Думнезеул востру а секат ынаинтя воастрэ апеле Йорданулуй пынэ че аць трекут, дупэ кум фэкусе Домнул Думнезеул востру ла Маря Рошие, пе каре а секат-о
JOS.4.24	пентру ка
JOS.5.1	Кынд ау аузит
JOS.5.2	Ын время ачея, Домнул а зис луй Иосуа: „Фэ-ць ниште куците
JOS.5.3	Иосуа шь-а фэкут ниште куците де пятрэ ши а тэят ымпрежур пе копиий луй Исраел пе дялул Аралот. 
JOS.5.4	Ятэ причина пентру каре й-а тэят Иосуа ымпрежур. Тот
JOS.5.5	Тот попорул ачела ешит дин Еӂипт ера тэят ымпрежур, дар тот попорул нэскут ын пустиу, пе друм, дупэ еширя дин Еӂипт, ну фусесе тэят ымпрежур. 
JOS.5.6	Кэч копиий луй Исраел умбласерэ патрузечь
JOS.5.7	Ын локул лор а ридикат пе
JOS.5.8	Дупэ че а испрэвит де тэят ымпрежур пе тот попорул, ау рэмас пе лок ын табэрэ пынэ ла виндекаре
JOS.5.9	Домнул а зис луй Иосуа: „Астэзь, ам ридикат окара
JOS.5.10	Копиий луй Исраел ау тэбэрыт ла Гилгал ши ау прэзнуит Паштеле ын а пайспрезечя
JOS.5.11	А доуа зи де Паште ау мынкат дин грыул цэрий, азиме ши боабе прэжите; кяр ын зиуа ачея ау мынкат. 
JOS.5.12	Мана
JOS.5.13	Пе кынд Иосуа ера лынгэ Иерихон, а ридикат окий ши с-а уйтат. Ши ятэ кэ ун ом
JOS.5.14	Ел а рэспунс: „Ну, чи Еу сунт Кэпетения оштирий Домнулуй ши акум ам венит.” Иосуа с-а
JOS.5.15	Ши Кэпетения оштирий Домнулуй а зис луй Иосуа: „Скоате-ць
JOS.6.1	Иерихонул ера ынкис ши ынтэрит де тяма копиилор луй Исраел. Нимень ну ешя дин ел ши нимень ну интра ын ел. 
JOS.6.2	Домнул а зис луй Иосуа: „Ятэ, дау
JOS.6.3	Ынконжураць четатя вой, тоць бэрбаций де рэзбой, дынд окол четэций о датэ. Аша сэ фачь шасе зиле. 
JOS.6.4	Шапте преоць сэ поарте ынаинтя кивотулуй шапте трымбице де корн де бербек; ын зиуа а шаптя, сэ ынконжураць четатя де шапте орь, ши преоций
JOS.6.5	Кынд вор суна лунг дин корнул де бербек ши кынд вець аузи сунетул трымбицей, тот попорул сэ скоатэ марь стригэте. Атунч, зидул четэций се ва прэбуши ши попорул сэ се суе фиекаре дрепт ынаинте.” 
JOS.6.6	Иосуа, фиул луй Нун, а кемат пе преоць ши ле-а зис: „Луаць кивотул легэмынтулуй ши шапте преоць сэ поарте челе шапте трымбице де корн де бербек ынаинтя кивотулуй Домнулуй.” 
JOS.6.7	Ши а зис попорулуй: „Порниць, ынконжураць четатя ши бэрбаций ынармаць сэ трякэ ынаинтя кивотулуй Домнулуй.” 
JOS.6.8	Дупэ че а ворбит Иосуа попорулуй, чей шапте преоць каре пуртау ынаинтя Домнулуй челе шапте трымбице де корн де бербек ау порнит ши ау сунат дин трымбице. Кивотул легэмынтулуй Домнулуй мерӂя ын урма лор. 
JOS.6.9	Бэрбаций ынармаць мерӂяу ынаинтя преоцилор, каре сунау дин трымбице, ши коада
JOS.6.10	Иосуа дэдусе порунка ачаста попорулуй: „Вой сэ ну стригаць, сэ ну ви се аудэ гласул ши сэ ну вэ ясэ о ворбэ дин гурэ, пынэ ын зиуа кынд вэ вой спуне: ‘Стригаць!’ Атунч сэ стригаць.” 
JOS.6.11	Кивотул Домнулуй а ынконжурат четатя ши й-а дат окол о датэ, апой ау интрат ын табэрэ ши ау рэмас ын табэрэ песте ноапте. 
JOS.6.12	Иосуа с-а скулат ку ноаптя-н кап ши преоций
JOS.6.13	Чей шапте преоць каре пуртау челе шапте трымбице де корн де бербек ынаинтя кивотулуй Домнулуй ау порнит ши ау сунат дин трымбице. Бэрбаций ынармаць мерӂяу ынаинтя лор, ши коада оштирий веня дупэ кивотул Домнулуй; ын тимпул мерсулуй, преоций сунау дин трымбице. 
JOS.6.14	Ау ынконжурат четатя о датэ, а доуа зи; апой с-ау ынторс ын табэрэ. Ау фэкут ачелашь лукру тимп де шасе зиле. 
JOS.6.15	Ын зиуа а шаптя, с-ау скулат ын зорий зилей ши ау ынконжурат ын ачелашь фел четатя де шапте орь; ачаста а фост сингура зи кынд ау ынконжурат четатя де шапте орь. 
JOS.6.16	А шаптя оарэ, пе кынд преоций сунау дин трымбице, Иосуа а зис попорулуй: „Стригаць, кэч Домнул в-а дат четатя ын мынэ! 
JOS.6.17	Четатя сэ фие датэ Домнулуй спре нимичире, еа ши тот че се афлэ ын еа, дар сэ лэсаць ку вяцэ пе курва Рахав ши пе тоць чей че вор фи ку еа ын касэ, пентру кэ а аскунс
JOS.6.18	Ферици-вэ нумай де чея че ва фи дат спре нимичире
JOS.6.19	Тот арӂинтул ши тот аурул, тоате лукруриле де арамэ ши де фер сэ фие ынкинате Домнулуй ши сэ интре ын вистиерия Домнулуй.” 
JOS.6.20	Попорул а скос стригэте ши преоций ау сунат дин трымбице. Кынд а аузит попорул сунетул трымбицей, а стригат таре, ши зидул
JOS.6.21	ши ау нимичит-о
JOS.6.22	Иосуа а зис челор дой бэрбаць каре искодисерэ цара: „Интраць ын каса курвей ши скоатець дин еа пе фемея ачея ши пе тоць ай ей, кум
JOS.6.23	Тинерий, искоаделе, ау интрат ши ау скос пе Рахав, пе татэл
JOS.6.24	Четатя ау арс-о ымпреунэ ку тот че се афла ын еа; нумай арӂинтул
JOS.6.25	Иосуа а лэсат ку вяцэ пе курва Рахав, каса татэлуй ей ши пе тоць ай ей; еа а локуит
JOS.6.26	Атунч а журат Иосуа ши а зис: „Блестемат
JOS.6.27	Домнул
JOS.7.1	Копиий луй Исраел ау пэкэтуит ку привире ла лукруриле дате спре нимичире. Акан
JOS.7.2	Иосуа а тримис дин Иерихон ниште бэрбаць ла Ай, каре есте лынгэ Бет-Авен, ла рэсэрит де Бетел. Ши ле-а зис: „Суици-вэ ши искодиць цара.” Ши оамений ачея с-ау суит ши ау искодит четатя Ай. 
JOS.7.3	С-ау ынторс ла Иосуа ши й-ау спус: „Деӂяба май фачь сэ май мяргэ тот попорул; доуэ сау трей мий де оамень вор ажунӂе ка сэ баць четатя Ай; ну остени тот попорул, кэч оамений ачея сунт пуцинь ла нумэр.” 
JOS.7.4	Апроапе трей мий де оамень ау порнит, дар ау луат-о ла
JOS.7.5	Оамений дин Ай ле-ау оморыт апроапе трейзечь ши шасе де оамень; й-ау урмэрит де ла поартэ пынэ ла Шебарим ши й-ау бэтут ла вале. Попорул а рэмас ынкременит ши ку инима моале
JOS.7.6	Иосуа шь-а сфышият
JOS.7.7	Иосуа а зис: „Ах! Доамне Думнезеуле
JOS.7.8	Дар, Доамне, че вой зиче дупэ че Исраел а дат досул ынаинтя врэжмашилор луй? 
JOS.7.9	Канааниций ши тоць локуиторий цэрий вор афла; не вор ынконжура ши не вор штерӂе
JOS.7.10	Домнул а зис луй Иосуа: „Скоалэ-те! Пентру че стай кулкат астфел пе фаца та? 
JOS.7.11	Исраел
JOS.7.12	Де ачея
JOS.7.13	Скоалэ-те, сфинцеште
JOS.7.14	Сэ вэ апропияць мыне диминяцэ дупэ семинцииле воастре; ши семинция пе каре о ва арэта Домнул
JOS.7.15	Чине
JOS.7.16	Иосуа с-а скулат дис-де-диминяцэ ши а апропият пе Исраел, дупэ семинцииле луй, ши а фост арэтатэ прин сорць семинция луй Иуда. 
JOS.7.17	А апропият фамилииле луй Иуда ши а фост арэтатэ прин сорць фамилия луй Зерах. А апропият фамилия луй Зерах пе касе ши а фост арэтатэ прин сорць каса луй Забди. 
JOS.7.18	А апропият каса луй Забди пе бэрбаць ши а фост арэтат прин сорць Акан
JOS.7.19	Иосуа а зис луй Акан: „Фиуле
JOS.7.20	Акан а рэспунс луй Иосуа ши а зис: „Есте адевэрат кэ ам пэкэтуит ымпотрива Домнулуй Думнезеулуй луй Исраел, ши ятэ че ам фэкут. 
JOS.7.21	Ам вэзут ын прадэ о манта фрумоасэ де Шинеар, доуэ суте де сикли де арӂинт ши о плакэ де аур ын греутате де чинчзечь де сикли; ле-ам пофтит ши ле-ам луат; ятэ, сунт аскунсе ын пэмынт ын мижлокул кортулуй меу ши арӂинтул есте пус суб еле.” 
JOS.7.22	Иосуа а тримис ниште оамень, каре ау алергат ын корт, ши ятэ кэ лукруриле ерау аскунсе ын кортул луй Акан ши арӂинтул ера суб еле. 
JOS.7.23	Ле-ау луат дин мижлокул кортулуй, ле-ау адус луй Иосуа ши тутурор копиилор луй Исраел ши ле-ау пус ынаинтя Домнулуй. 
JOS.7.24	Иосуа ши тот Исраелул, ымпреунэ ку ел, ау луат пе Акан, фиул луй Зерах, арӂинтул, мантауа, плака де аур, пе фиий ши фийчеле луй Акан, боий луй, мэгарий, оиле, кортул луй ши тот че ера ал луй ши й-ау суит ын валя Акор
JOS.7.25	Иосуа а зис: „Пентру че не-ай
JOS.7.26	ши ау ридикат
JOS.8.1	Домнул а зис луй Иосуа: „Ну
JOS.8.2	Сэ фачь четэций Ай кум ай фэкут
JOS.8.3	Иосуа с-а скулат ку тоць оамений де рэзбой ка сэ се суе ымпотрива четэций Ай. А алес трейзечь де мий де бэрбаць витежь, пе каре й-а порнит ноаптя 
JOS.8.4	ши ле-а дат урмэтоаря порункэ: „Аскултаць! Сэ
JOS.8.5	Яр еу ши тот попорул каре есте ку мине не вом апропия де четате. Ши кынд вор еши ынаинтя ноастрэ ка ынтыяш датэ, ной о с-о луэм ла фугэ
JOS.8.6	Ей не вор урмэри пынэ кынд ый вом траӂе департе де четате, кэч вор зиче: ‘Фуг динаинтя ноастрэ ка ынтыяш датэ!’ Ши вом фуӂи динаинтя лор. 
JOS.8.7	Вой сэ ешиць атунч де ла пындэ ши сэ пунець мына пе четате, ши Домнул Думнезеул востру о ва да ын мыниле воастре. 
JOS.8.8	Дупэ че вець луа четатя, сэ-й пунець фок, сэ фачець кум а зис Домнул: ачаста есте порунка
JOS.8.9	Иосуа й-а порнит ши с-ау дус де с-ау ашезат ла пындэ ынтре Бетел ши Ай, ла апус де Ай. Яр Иосуа а петрекут ноаптя ачея ын мижлокул попорулуй. 
JOS.8.10	Иосуа с-а скулат дис-де-диминяцэ, а черчетат попорул ши а порнит ымпотрива четэций Ай ын фрунтя попорулуй, ел ши бэтрыний луй Исраел. 
JOS.8.11	Тоць
JOS.8.12	Иосуа а луат апроапе чинч мий де оамень ши й-а пус ла пындэ ынтре Бетел ши Ай, ла апус де четате. 
JOS.8.13	Дупэ че с-а ашезат тоатэ табэра ла мязэноапте де четате ши чей де пындэ ла апус де четате, Иосуа а ынаинтат ын ноаптя ачея ын мижлокул вэий. 
JOS.8.14	Кынд а вэзут ымпэратул четэций Ай лукрул ачеста, оамений дин Ай с-ау скулат ын грабэ дис-де-диминяцэ ши ау ешит ынаинтя луй Исраел, ка сэ-л батэ. Ымпэратул с-а ындрептат, ку тот попорул луй, спре ун лок хотэрыт, ынспре кымпие, ши ну штия
JOS.8.15	Иосуа ши тот Исраелул с-ау префэкут
JOS.8.16	Атунч, тот попорул каре ера ын четате с-а стрынс ка сэ-й урмэряскэ. Ау урмэрит пе Иосуа ши ау фост трашь департе дин четате. 
JOS.8.17	Н-а рэмас ничун ом ын Ай ши ын Бетел каре сэ ну фи ешит ымпотрива луй Исраел. Ау лэсат четатя дескисэ ши ау урмэрит пе Исраел. 
JOS.8.18	Домнул а зис луй Иосуа: „Ынтинде спре Ай сулица пе каре о ай ын мынэ, кэч ам с-о дау ын мына та!” Ши Иосуа а ынтинс спре четате сулица пе каре о авя ын мынэ. 
JOS.8.19	Де ындатэ че шь-а ынтинс мына, бэрбаций каре стэтяу ла пындэ ау ешит репеде дин локул унде ерау, ау пэтрунс ын четате, ау луат-о ши с-ау грэбит де й-ау пус фок. 
JOS.8.20	Оамений дин Ай, уйтынду-се ынапой, ау вэзут фумул четэций суинду-се спре чер ши н-ау май путут сэ скапе ын ничо парте. Попорул каре фуӂя спре пустиу с-а ынторс ымпотрива челор че-л урмэряу, 
JOS.8.21	кэч Иосуа ши тот Исраелул, вэзынд четатя луатэ де чей че стэтяу ла пындэ ши фумул четэций суинду-се ын сус, с-ау ынторс ши ау бэтут пе оамений дин Ай. 
JOS.8.22	Чейлалць, де асеменя, ле-ау ешит ынаинте дин четате ши оамений дин Ай ау фост ынконжураць де Исраел дин тоате пэрциле. Исраел й-а бэтут фэрэ сэ ласе унул ку вяцэ
JOS.8.23	пе ымпэратул дин Ай л-ау принс виу ши л-ау адус ла Иосуа. 
JOS.8.24	Дупэ че а испрэвит Исраел де учис пе тоць локуиторий дин Ай, ын кымп ши ын пустиу, унде ый урмэрисерэ ей, ши дупэ че тоць ау фост трекуць ын тотул прин аскуцишул сабией, тот Исраелул с-а ынторс ла Ай ши а трекут четатя прин аскуцишул сабией. 
JOS.8.25	Ын тотал ау фост доуэспрезече мий де иншь учишь ын зиуа ачея, бэрбаць ши фемей, тоць оамень дин Ай. 
JOS.8.26	Иосуа ну шь-а трас мына пе каре о циня ынтинсэ ку сулица пынэ че тоць локуиторий ау фост нимичиць ку десэвыршире. 
JOS.8.27	Исраел
JOS.8.28	Иосуа а арс четатя Ай ши а фэкут
JOS.8.29	А спынзурат
JOS.8.30	Атунч, Иосуа а зидит ун алтар Домнулуй Думнезеулуй луй Исраел пе мунтеле Ебал
JOS.8.31	кум порунчисе копиилор луй Исраел Мойсе, робул Домнулуй, ши кум есте скрис ын картя
JOS.8.32	Ши аколо Иосуа а скрис
JOS.8.33	Тот Исраелул, бэтрыний, май-марий оштий ши жудекэторий луй стэтяу де амындоуэ пэрциле кивотулуй, ынаинтя преоцилор, дин нямул левицилор, каре
JOS.8.34	Иосуа а читит
JOS.8.35	Н-а рэмас нимик дин тот че порунчисе Мойсе пе каре сэ ну-л фи читит Иосуа ын фаца ынтреӂий адунэрь а луй Исраел, ын фаца фемеилор
JOS.9.1	Ла аузул ачестор лукрурь, тоць ымпэраций каре ерау динкоаче де Йордан, ын мунте ши ын вале ши пе тоатэ коаста
JOS.9.2	с-ау унит
JOS.9.3	Локуиторий
JOS.9.4	ау ынтребуинцат ун виклешуг ши ау порнит ла друм ку меринде пентру кэлэторие. Ау луат ниште сачь векь пе мэгарий лор ши ниште бурдуфурь векь пентру вин, рупте ши кырпите, 
JOS.9.5	яр ын пичоаре пуртау ынкэлцэминте веке ши кырпитэ ши ерау ымбрэкаць ку ниште хайне векь пе ей, яр тоатэ пыня пе каре о авяу пентру хранэ ера ускатэ ши мучегэитэ. 
JOS.9.6	С-ау дус ла Иосуа, ын
JOS.9.7	Бэрбаций луй Исраел ау рэспунс хевицилор
JOS.9.8	Ей ау зис луй Иосуа: „Ной
JOS.9.9	Ей й-ау рэспунс: „Робий тэй вин динтр-о царэ фоарте
JOS.9.10	ши де че а
JOS.9.11	Ши бэтрыний ноштри ши тоць локуиторий дин цара ноастрэ не-ау зис: ‘Луаць ку вой меринде пентру кэлэторие, дучеци-вэ ынаинтя лор ши спунеци-ле: «Ной сунтем робий воштри; акум деч фачець легэмынт ку ной.»’ 
JOS.9.12	Ятэ пыня ноастрэ: ера калдэ кынд ам луат-о ка меринде де акасэ, ын зиуа кынд ам плекат сэ веним ла вой, ши акум с-а ускат ши с-а мучегэит. 
JOS.9.13	Бурдуфуриле ачестя де вин, кынд ле-ам умплут, ерау ной де тот ши ятэ-ле, с-ау рупт; хайнеле ши ынкэлцэминтя ноастрэ с-ау ынвекит де лунӂимя пря маре а друмулуй.” 
JOS.9.14	Бэрбаций луй Исраел ау луат дин меринделе лор ши н-ау
JOS.9.15	Иосуа а фэкут паче
JOS.9.16	Ла трей зиле дупэ ынкееря ачестуй легэмынт, копиий луй Исраел ау афлат кэ ерау вечинь ку ей ши кэ локуяу ын мижлокул лор. 
JOS.9.17	Кэч копиий луй Исраел ау плекат ши а трея зи ау ажунс ла четэциле лор; четэциле лор ерау
JOS.9.18	Дар ну й-ау бэтут, пентру кэ
JOS.9.19	Тоате кэпетенииле ау зис ынтреӂий адунэрь: „Ле-ам журат пе Домнул Думнезеул луй Исраел, ши акум ну путем сэ не атинӂем де ей. 
JOS.9.20	Ятэ че ле вом фаче: ый вом лэса ку вяцэ, ка сэ н-адучем песте
JOS.9.21	„Сэ трэяскэ”, ле-ау зис кэпетенииле. Дар ау фост ынтребуинцаць ла тэят лемне
JOS.9.22	Иосуа й-а кемат ши ле-а ворбит астфел: „Пентру че не-аць ыншелат зикынд: ‘Сунтем
JOS.9.23	Акум сунтець блестемаць
JOS.9.24	Ей ау рэспунс луй Иосуа ши ау зис: „Робий тэй ау аузит де порунчиле
JOS.9.25	Ши акум, ятэ-не ын мыниле
JOS.9.26	Иосуа ле-а фэкут аша кум хотэрысе; й-а избэвит дин мына копиилор луй Исраел, каре ну й-ау оморыт, 
JOS.9.27	дар дин зиуа ачея й-а пус сэ тае лемне
JOS.10.1	Адони-Цедек, ымпэратул Иерусалимулуй, а афлат кэ Иосуа
JOS.10.2	Атунч й-а фост фоарте маре
JOS.10.3	Адони-Цедек, ымпэратул Иерусалимулуй, а тримис сэ спунэ луй Хохам, ымпэратул Хебронулуй, луй Пиреам, ымпэратул Иармутулуй, луй Иафиа, ымпэратул Лакисулуй, ши луй Дебир, ымпэратул Еглонулуй: 
JOS.10.4	„Суици-вэ ла мине ши ажутаци-мэ, ка сэ батем Габаонул, кэч а фэкут паче
JOS.10.5	Чей чинч ымпэраць ай аморицилор: ымпэратул Иерусалимулуй, ымпэратул Хебронулуй, ымпэратул Иармутулуй, ымпэратул Лакисулуй ши ымпэратул Еглонулуй, с-ау адунат
JOS.10.6	Оамений дин Габаон ау тримис сэ спунэ луй Иосуа, ын табэра
JOS.10.7	Иосуа с-а суит дин Гилгал, ел ши тоць оамений де рэзбой
JOS.10.8	Домнул а зис луй Иосуа: „Ну те теме
JOS.10.9	Иосуа а венит фэрэ весте песте ей, дупэ че а мерс тоатэ ноаптя де ла Гилгал. 
JOS.10.10	Домнул й-а пус
JOS.10.11	Пе кынд фуӂяу ей динаинтя луй Исраел ши се коборау дин Бет-Хорон, Домнул
JOS.10.12	Атунч, Иосуа а ворбит Домнулуй ын зиуа кынд а дат Домнул пе амориць ын мыниле копиилор луй Исраел ши а зис ын фаца луй Исраел:
JOS.10.12	„Опреште-те, соаре
JOS.10.12	Ши ту, лунэ, асупра вэий
JOS.10.13	Ши соареле с-а оприт ши луна шь-а ынтрерупт мерсул,
JOS.10.13	Пынэ че попорул шь-а рэзбунат пе врэжмаший луй.
JOS.10.13	Лукрул ачеста ну
JOS.10.13	Соареле с-а оприт ын мижлокул черулуй ши ну с-а грэбит сэ апунэ апроапе о зи ынтрягэ. 
JOS.10.14	Н-а май
JOS.10.15	Ши Иосуа
JOS.10.16	Чей чинч ымпэраць ау фуӂит ши с-ау аскунс ынтр-о пештерэ ла Македа. 
JOS.10.17	С-а спус лукрул ачеста луй Иосуа, зикынд: „Чей чинч ымпэраць се афлэ аскуншь ынтр-о пештерэ ла Македа.” 
JOS.10.18	Иосуа а зис: „Прэвэлиць ниште петре марь ла интраря пештерий ши пунець ниште оамень сэ-й пэзяскэ. 
JOS.10.19	Ши вой ну вэ оприць, чи урмэриць пе врэжмаший воштри ши батеци-й пе динапой; ну-й лэсаць сэ интре ын четэциле лор, кэч Домнул Думнезеул востру й-а дат ын мыниле воастре.” 
