GEN.1.1	La
EXO.29.44	Și voi sfinți cortul întâlnirii și altarul și voi sfinți
EXO.29.45	Și
EXO.29.46	Și vor cunoaște că eu
EXO.30.1	Și să faci un altar
EXO.30.2	Lungimea lui să fie de un cot, lățimea lui de un cot; să fie pătrat; și înălțimea lui de doi coți; coarnele lui să fie dintr‐o bucată cu el. 
EXO.30.3	Și să‐l îmbraci cu aur curat, acoperișul lui și pereții lui de jur împrejur și coarnele lui; și să‐i faci o cunună de aur de jur împrejur. 
EXO.30.4	Și să‐i faci două verigi de aur sub cununa lui pe cele două laturi ale lui; să le faci în cele două colțuri ale lui și să fie pentru petrecerea prin ele a pârghiilor cu care să‐l poarte. 
EXO.30.5	Și să faci pârghiile din lemn de salcâm și să le îmbraci cu aur. 
EXO.30.6	Și să‐l pui dinaintea perdelei care este înaintea chivotului mărturiei în fața
EXO.30.7	Și Aaron va face să fumege pe el tămâia
EXO.30.8	Și când Aaron va aprinde candelele între amândouă serile, o va face să fumege, o tămâie necurmată înaintea Domnului în neamurile voastre. 
EXO.30.9	Să nu aduceți nicio tămâie străină
EXO.30.10	Și Aaron
EXO.30.11	Și Domnul a vorbit lui Moise zicând: 
EXO.30.12	Când
EXO.30.13	Aceasta
EXO.30.14	Orice ins care va trece la cei numărați de la douăzeci de ani și mai sus va da darul ridicat al Domnului. 
EXO.30.15	Bogatul
EXO.30.16	Și vei lua argintul de ispășire de la copiii lui Israel și‐l vei da
EXO.30.17	Și Domnul a vorbit lui Moise zicând: 
EXO.30.18	Să
EXO.30.19	Și Aaron și fiii lui își vor spăla
EXO.30.20	Când vor intra în cortul întâlnirii, se vor spăla cu apă, ca să nu moară; sau când se vor apropia de altar ca să slujească pentru ca să ardă o jertfă arsă în foc pentru Domnul. 
EXO.30.21	Și își vor spăla mâinile și picioarele ca să nu moară. Și
EXO.30.22	Și Domnul a vorbit lui Moise, zicând: 
EXO.30.23	Ia‐ți și tu cele mai bune mirodenii
EXO.30.24	și casia
EXO.30.25	Și să faci din ele un untdelemn pentru ungerea sfântă, o unsoare amestecată după meșteșugul făcătorului de mir. Acesta va fi
EXO.30.26	Și
EXO.30.27	și masa și toate uneltele ei și sfeșnicul și uneltele lui și altarul tămâiei 
EXO.30.28	și altarul arderii de tot și toate uneltele lui și spălătorul și piciorul lui. 
EXO.30.29	Și să le sfințești ca să fie prea sfinte: orice
EXO.30.30	Și să ungi
EXO.30.31	Și să vorbești copiilor lui Israel zicând: Acesta îmi va fi un untdelemn de ungere sfântă în neamurile voastre. 
EXO.30.32	Să nu se toarne pe carne de om și să nu faceți unul ca el după amestecătura lui: este
EXO.30.33	Oricine
EXO.30.34	Și Domnul a zis lui Moise: Ia mirodenii
EXO.30.35	Și să faci din ele o tămâie, o mireasmă după
EXO.30.36	Și vei pisa mărunt din ea, și vei pune din ea înaintea mărturiei în cortul întâlnirii unde
EXO.30.37	Și tămâia pe care o vei face să
EXO.30.38	Oricine
EXO.31.1	Și Domnul a vorbit lui Moise zicând: 
EXO.31.2	Vezi
EXO.31.3	Și l‐am umplut
EXO.31.4	ca să facă născociri, ca să lucreze în aur și în argint și în aramă, 
EXO.31.5	ca să taie pietre pentru legat și să taie lemne, ca să lucreze tot felul de lucrări. 
EXO.31.6	Și iată am dat cu el pe Oholiab
EXO.31.7	cortul
EXO.31.8	și masa
EXO.31.9	și altarul
EXO.31.10	și hainele
EXO.31.11	și
EXO.31.12	Și Domnul a vorbit lui Moise zicând: 
EXO.31.13	Și tu vorbește copiilor lui Israel zicând: Cu adevărat
EXO.31.14	Să păziți
EXO.31.15	Șase
EXO.31.16	Și copiii lui Israel să păzească sabatul ca să țină sabatul în neamurile lor, drept legământ veșnic. 
EXO.31.17	Este un semn
EXO.31.18	Și după ce a sfârșit de vorbit cu Moise pe muntele Sinai, i‐a dat cele două table
EXO.32.1	Și când a văzut poporul că Moise întârzia
EXO.32.2	Și Aaron le‐a zis: Scoateți cerceii
EXO.32.3	Și tot poporul și‐a smuls toți cerceii de aur care erau în urechile lor și i‐au adus lui Aaron. 
EXO.32.4	Și
EXO.32.5	Și Aaron a văzut și a zidit un altar înaintea lui și Aaron a făcut o strigare
EXO.32.6	Și a doua zi s‐au sculat de dimineață și au jertfit arderi de tot și au adus jertfe de pace; și poporul
EXO.32.7	Și Domnul a zis lui Moise: Du‐te
EXO.32.8	Curând s‐au abătut de la calea pe care le‐am poruncit‐o
EXO.32.9	Și Domnul a zis lui Moise
EXO.32.10	Și acum lasă‐mă
EXO.32.11	Și
EXO.32.12	Pentru ce
EXO.32.13	Adu‐ți aminte de Avraam, de Isaac și de Israel, robii tăi, cărora le‐ai jurat
EXO.32.14	Și Domnul s‐a căit
EXO.32.15	Și
EXO.32.16	Și tablele
EXO.32.17	Și Iosua a auzit glasul poporului când chiuiau și a zis lui Moise: E chiot de război în tabără. 
EXO.32.18	Și el a zis: Nu e sunetul unui răspuns de putere, nici sunetul unui răspuns de slăbiciune: aud un glas de cântare care‐și răspunde rând pe rând. 
EXO.32.19	Și a fost 
EXO.32.20	Și a luat
EXO.32.21	Și Moise a zis lui Aaron: Ce
EXO.32.22	Și Aaron a zis: Să nu se aprindă mânia domnului meu! Tu
EXO.32.23	Și mi‐au zis: Fă‐ne
EXO.32.24	Și le‐am zis: Cine are aur? Ei l‐au smuls și mi l‐au dat și eu l‐am aruncat în foc și a ieșit
EXO.32.25	Și Moise a văzut că poporul era neînfrânat
EXO.32.26	Și Moise a stătut în poarta taberei și a zis: Cine este pentru Domnul, la mine! Și toți fiii lui Levi s‐au strâns la el. 
EXO.32.27	Și le‐a zis: Așa zice Domnul Dumnezeul lui Israel: Fiecare să‐și pună sabia pe coapsă și mergeți încoace și încolo din poartă în poartă prin tabără și fiecare să
EXO.32.28	Și fiii lui Levi au făcut după cuvântul lui Moise și cam trei mii de bărbați au căzut din popor în ziua aceea. 
EXO.32.29	Și
EXO.32.30	Și a fost 
EXO.32.31	Și Moise
EXO.32.32	Și acum dacă le vei ierta păcatul,… iar dacă nu, șterge‐mă
EXO.32.33	Și Domnul a zis lui Moise: Pe
EXO.32.34	Și acum mergi și du pe popor unde ți‐am spus. Iată
EXO.32.35	Și Domnul a lovit pe popor pentru că făcuseră
EXO.33.1	Și Domnul a zis lui Moise: Pleacă, suie‐te de aici, tu și poporul
EXO.33.2	Și
EXO.33.3	în
EXO.33.4	Și poporul a auzit acest cuvânt rău. Și s‐au jelit
EXO.33.5	Și Domnul zisese lui Moise: Spune copiilor lui Israel: Voi sunteți
EXO.33.6	Și copiii lui Israel și‐au scos podoabele lor de la muntele Horeb înainte.
EXO.33.7	Și Moise a luat cortul și l‐a întins afară din tabără, departe de tabără, și
EXO.33.8	Și a fost 
EXO.33.9	Și a fost 
EXO.33.10	Și tot poporul a văzut stâlpul de nor stând la intrarea cortului și tot poporul s‐a sculat și s‐au închinat
EXO.33.11	Și
EXO.33.12	Și Moise a zis Domnului: Vezi, tu
EXO.33.13	Și acum, te rog, dacă
EXO.33.14	Și el a zis: Fața
EXO.33.15	Și el i‐a zis: Dacă
EXO.33.16	Căci în ce se va cunoaște atunci că am aflat har în ochii tăi, eu și poporul tău? Oare
EXO.33.17	Și Domnul a zis lui Moise: Voi face
EXO.33.18	Și el a zis: Arată‐mi, te rog, slava
EXO.33.19	Și el a zis: Voi
EXO.33.20	Și a zis: Tu nu‐mi poți vedea fața, căci omul
EXO.33.21	Și Domnul a zis: Iată un loc lângă mine și să stai pe stâncă. 
EXO.33.22	Și va fi 
EXO.33.23	Și‐mi voi trage mâna și mă vei vedea pe dinapoi, dar fața mea nu
EXO.34.1	Și Domnul a zis lui Moise: Taie‐ți
EXO.34.2	Și fii gata mâine dimineață și suie‐te dimineață pe muntele
EXO.34.3	Și niciun om să nu se
EXO.34.4	Și a tăiat două table de piatră asemenea celor dintâi; și Moise s‐a sculat dis‐de‐dimineață și s‐a suit pe muntele Sinai, cum îi poruncise Domnul, și a luat în mână cele două table de piatră. 
EXO.34.5	Și Domnul s‐a pogorât în nor și a stătut acolo cu el și a vestit
EXO.34.6	Și Domnul a trecut pe dinaintea feței lui și a vestit: Domnul, Domnul, Dumnezeu
EXO.34.7	păstrând
EXO.34.8	Și Moise s‐a grăbit și s‐a plecat
EXO.34.9	Și a zis: Dacă am aflat har în ochii tăi, Doamne, te rog, să meargă
EXO.34.10	Și el a zis: Iată
EXO.34.11	Păzește
EXO.34.12	Ferește‐te
EXO.34.13	Ci să le dărâmați altarele
EXO.34.14	Căci nu te vei închina la alt
EXO.34.15	Ca
EXO.34.16	și să iei din fetele lor
EXO.34.17	Să
EXO.34.18	Să ții sărbătoarea azimilor
EXO.34.19	Tot
EXO.34.20	Și
EXO.34.21	Șase
EXO.34.22	Și
EXO.34.23	De trei ori
EXO.34.24	Căci voi izgoni
EXO.34.25	Să
EXO.34.26	Să aduci în casa Domnului Dumnezeului tău pârga
EXO.34.27	Și Domnul a zis lui Moise: Scrie‐ți aceste cuvinte
EXO.34.28	Și a fost
EXO.34.29	Și a fost 
EXO.34.30	Și Aaron și toți copiii lui Israel au văzut pe Moise și iată pielea feței lui strălucea și s‐au temut să se apropie de el. 
EXO.34.31	Și Moise i‐a chemat și Aaron și toți mai marii adunării s‐au întors la el și Moise le‐a vorbit. 
EXO.34.32	Și după aceasta toți copiii lui Israel s‐au apropiat și
EXO.34.33	Și Moise a încetat de vorbit cu ei și și‐a pus o mahramă
EXO.34.34	Și Moise, când
EXO.34.35	Și copiii lui Israel vedeau fața lui Moise, că pielea feței lui Moise strălucea. Și Moise iarăși își punea mahrama peste față până intra să vorbească cu El.
EXO.35.1	Și Moise a strâns toată adunarea copiilor lui Israel și le‐a zis: Acestea
EXO.35.2	Șase
EXO.35.3	Să
EXO.35.4	Și Moise a vorbit către toată adunarea copiilor lui Israel zicând: Acesta
EXO.35.5	Luați dintre voi un dar ridicat pentru Domnul: fiecare
EXO.35.6	și albastru și purpură și carmezin și in subțire și 
EXO.35.7	și piei de berbece roșite și piei de vițel de mare și lemn de salcâm 
EXO.35.8	și untdelemn pentru lumină și mirodenii
EXO.35.9	și pietre de onix și pietre de legat pentru efod și pentru pieptar. 
EXO.35.10	Și
EXO.35.11	locașul
EXO.35.12	chivotul
EXO.35.13	masa
EXO.35.14	și
EXO.35.15	și
EXO.35.16	altarul
EXO.35.17	perdelele
EXO.35.18	țărușii locașului și țărușii curții și sforile lor; 
EXO.35.19	hainele
EXO.35.20	Și toată adunarea copiilor lui Israel a plecat dinaintea lui Moise. 
EXO.35.21	Și fiecare om, pe care‐l trăgea inima și fiecare om, pe care‐l îndemna
EXO.35.22	Și au venit bărbați și femei; fiecare pe care‐l trăgea inima a adus verigi de nas și cercei și inele și salbe, tot felul de scule de aur; fiecine care a legănat un dar legănat de aur pentru Domnul. 
EXO.35.23	Și
EXO.35.24	Și oricine care a ridicat un dar ridicat de argint și aramă, a adus darul ridicat al Domnului. Și fiecare la care s‐a aflat lemn de salcâm pentru tot felul de lucru la slujbă, l‐a adus. 
EXO.35.25	Și fiecare femeie care avea inima înțeleaptă
EXO.35.26	Și toate femeile înțelepte pe care le trăgea inima au tors 
EXO.35.27	Și
EXO.35.28	și mirozne
EXO.35.29	Copiii lui Israel, fiecare bărbat și femeie a căror inimă îi îndemna să aducă pentru tot lucrul pe care‐l poruncise Domnul prin Moise să se facă, au adus un dar de bună voie pentru
EXO.35.30	Și Moise a zis copiilor lui Israel: Vedeți, Domnul
EXO.35.31	Și l‐a umplut cu Duhul lui Dumnezeu în înțelepciune, în pricepere și în cunoștință și în tot felul de lucrare 
EXO.35.32	și să facă născociri, ca să lucreze în aur și în argint și în aramă 
EXO.35.33	și să taie pietre pentru legat și să taie lemnul, ca să facă tot felul de lucruri măiestrite. 
EXO.35.34	Și lui și lui Oholiab
EXO.35.35	I‐a umplut
EXO.36.1	Și Bețaleel și Oholiab și orice bărbat care era cu inimă înțeleaptă
EXO.36.2	Și Moise a chemat pe Bețaleel și pe Oholiab și pe orice bărbat care era cu inimă înțeleaptă, în a cărui
EXO.36.3	Și au luat dinaintea lui Moise tot darul ridicat pe care‐l aduseseră
EXO.36.4	Și toți oamenii înțelepți care lucrau tot lucrul sfântului locaș au venit fiecare de la lucrul său pe care‐l făcea. 
EXO.36.5	Și au vorbit lui Moise zicând: Poporul
EXO.36.6	Și Moise a poruncit și a făcut să treacă un glas prin tabără zicând: Nici bărbat nici femeie să nu mai facă vreo lucrare pentru darul ridicat al sfântului locaș. Și poporul a încetat să aducă. 
EXO.36.7	Și lucrul era de ajuns pentru lucrarea de făcut și era chiar prea mult.
EXO.36.8	Și
EXO.36.9	Lungimea fiecărui covor era de douăzeci și opt de coți, lățimea unui covor de patru coți: o singură măsură pentru toate covoarele. 
EXO.36.10	Și a împreunat cinci covoare unul cu altul și a împreunat cinci covoare unul cu altul. 
EXO.36.11	Și a făcut chiotori de fir albastru pe marginea unui covor de la marginea împreunării; tot așa a făcut la marginea covorului care era cel din urmă în împreunarea a doua. 
EXO.36.12	A făcut cincizeci
EXO.36.13	Și a făcut cincizeci de copci de aur și a împreunat covoarele unul cu altul cu copcile și locașul era unul singur. 
EXO.36.14	Și
EXO.36.15	Lungimea unui covor era de treizeci de coți și lățimea unui covor de patru coți; o singură măsură pentru cele unsprezece covoare. 
EXO.36.16	Și a împreunat cinci covoare deosebit și șase covoare deosebit. 
EXO.36.17	Și a făcut cincizeci de chiotori pe marginea covorului care era cel din urmă în împreunare, și cincizeci de chiotori pe marginea covorului care era în împreunarea cealaltă. 
EXO.36.18	Și a făcut cincizeci de copci de aramă ca să împreune cortul ca să fie unul singur. 
EXO.36.19	Și a făcut
EXO.36.20	Și a făcut scândurile
EXO.36.21	Lungimea unei scânduri era de zece coți și lățimea unei scânduri de un cot și jumătate. 
EXO.36.22	Erau două urechi la fiecare scândură legate una cu alta. Așa a făcut la toate scândurile locașului. 
EXO.36.23	Și a făcut scândurile pentru locaș: douăzeci de scânduri pentru latura de miazăzi, înspre miazăzi. 
EXO.36.24	Și a făcut patruzeci de picioare de argint sub cele douăzeci de scânduri, două picioare sub o scândură pentru cele două urechi ale ei și două picioare sub cealaltă scândură pentru cele două urechi ale ei. 
EXO.36.25	Și pentru cealaltă lature a locașului dinspre miazănoapte a făcut douăzeci de scânduri 
EXO.36.26	și cele patruzeci de picioare de argint ale lor: două picioare sub o scândură și două picioare sub cealaltă scândură. 
EXO.36.27	Și pentru partea din fund a locașului înspre apus a făcut șase scânduri. 
EXO.36.28	Și a făcut două scânduri pentru cele două unghiuri ale locașului în partea din fund. 
EXO.36.29	Și erau împreunate jos și erau unite desăvârșit împreună sus într‐un cerc: așa a făcut cu amândouă în cele două colțuri. 
EXO.36.30	Și erau opt scânduri și picioarele lor de argint: șaisprezece picioare: sub fiecare scândură două picioare. 
EXO.36.31	Și a făcut drugi
EXO.36.32	și cinci drugi pentru scândurile de la cealaltă latură a locașului și cinci drugi pentru scândurile locașului din partea din fund spre‐apus. 
EXO.36.33	Și a făcut drugul de la mijloc ca să treacă prin mijlocul scândurilor de la un capăt la celălalt. 
EXO.36.34	Și a îmbrăcat scândurile cu aur și a făcut verigile lor de aur ca să petreacă drugii prin ele și a îmbrăcat drugii cu aur. 
EXO.36.35	Și a făcut perdeaua
EXO.36.36	Și i‐a făcut patru stâlpi de salcâm și i‐a îmbrăcat cu aur; cârligele lor erau de aur; și a turnat pentru ele patru picioare de argint. 
EXO.36.37	Și a făcut o perdea
EXO.36.38	Și cei cinci stâlpi ai ei cu cârligele lor; și le‐a îmbrăcat căpătâiele și bețele de legătură cu aur; și cele cinci picioare ale lor erau de aramă.
EXO.37.1	Și Bețaleel a făcut chivotul
EXO.37.2	Și l‐a îmbrăcat cu aur curat pe dinăuntru și pe dinafară și a făcut o cunună de aur pe el de jur împrejur. 
EXO.37.3	Și a turnat pentru el patru verigi de aur la cele patru picioare ale lui: două verigi la o latură a lui și două verigi la cealaltă latură a lui. 
EXO.37.4	Și a făcut pârghii din lemn de salcâm și le‐a îmbrăcat cu aur. 
EXO.37.5	Și a petrecut pârghiile prin verigile din laturile chivotului ca să poarte chivotul. 
EXO.37.6	Și a făcut un scaun al îndurării
EXO.37.7	Și a făcut doi heruvimi de aur; i‐a făcut de aur bătut la amândouă capetele scaunului îndurării: 
EXO.37.8	un heruvim la un capăt și un heruvim la alt capăt; a făcut cei doi heruvimi ieșind din scaunul îndurării la amândouă capetele lui. 
EXO.37.9	Și heruvimii își întindeau aripile în sus acoperind cu aripile lor scaunul îndurării și fețele lor erau una către alta; fețele heruvimilor erau spre scaunul îndurării. 
EXO.37.10	Și a făcut masa
EXO.37.11	Și a îmbrăcat‐o cu aur curat și a făcut pe ea o cunună de aur de jur împrejur. 
EXO.37.12	Și i‐a făcut un pervaz lat de o palmă de jur împrejur; și a făcut o cunună de aur pentru pervazul ei de jur împrejur. 
EXO.37.13	Și i‐a turnat patru verigi de aur și a pus verigile la cele patru colțuri care erau la cele patru picioare ale ei. 
EXO.37.14	Și verigile erau lângă pervaz ca să petreacă prin ele pârghiile ca să poarte masa. 
EXO.37.15	Și a făcut pârghiile din lemn de salcâm și le‐a îmbrăcat cu aur ca să poarte masa. 
EXO.37.16	Și a făcut uneltele care erau pe masă, ceștile
EXO.37.17	Și a făcut sfeșnicul
EXO.37.18	Și șase brațe ieșeau din laturile lui, trei brațe ale sfeșnicului dintr‐o latură a lui și trei brațe ale sfeșnicului din cealaltă latură a lui. 
EXO.37.19	A făcut trei potirașe în chipul florilor de migdal într‐un braț, o gămălioară și o floare și trei potirașe în chipul florilor de migdal în celălalt braț, o gămălioară și o floare; așa era la cele șase brațe care ieșeau din sfeșnic. 
EXO.37.20	Și în sfeșnic erau patru potirașe în chipul florilor de migdal, gămălioarele lor și florile lor; 
EXO.37.21	și o gămălioară sub două brațe ale lui și o gămălioară sub două brațe ale lui și o gămălioară sub două brațe ale lui: la cele șase brațe care ieșeau din el. 
EXO.37.22	Gămălioarele lor și brațele lor ieșeau din el, totul bătut, dintr‐o bucată, de aur curat. 
EXO.37.23	Și a făcut cele șapte candele ale lui și mucările lui și vasele lui pentru mucuri din aur curat. 
EXO.37.24	L‐a făcut dintr‐un talant de aur curat cu toate uneltele lui.
EXO.37.25	Și
EXO.37.26	Și l‐a îmbrăcat cu aur curat, vârful lui și laturile lui de jur împrejur și coarnele lui. Și i‐a făcut o cunună de aur de jur împrejur. 
EXO.37.27	Și a făcut două verigi de aur pentru el sub cununa lui, în cele două unghiuri ale lui, de amândouă laturile lui ca să petreacă prin ele pârghiile cu care să‐l poarte. 
EXO.37.28	Și a făcut pârghiile din lemn de salcâm și le‐a îmbrăcat cu aur. 
EXO.37.29	Și
EXO.38.1	Și
EXO.38.2	Și a făcut coarnele lui în cele patru unghiuri ale lui; coarnele lui ieșeau din el și l‐a îmbrăcat cu aramă. 
EXO.38.3	Și a făcut toate uneltele altarului: oalele și lopețile și farfuriile și furculițele și tigăile pentru cărbuni; toate uneltele lui le‐a făcut de aramă. 
EXO.38.4	Și a făcut pentru altar un grătar de aramă de rețea sub marginea lui, jos, până la mijlocul lui. 
EXO.38.5	Și a turnat patru verigi pentru cele patru capete ale grătarului de aramă ca să petreacă pârghiile prin ele. 
EXO.38.6	Și a făcut pârghiile din lemn de salcâm și le‐a îmbrăcat cu aramă. 
EXO.38.7	Și a pus pârghiile în verigile de la laturile altarului cu care să‐l poarte. L‐a făcut scobit din scânduri. 
EXO.38.8	Și a făcut spălătorul
EXO.38.9	Și a făcut curtea
EXO.38.10	Cei douăzeci de stâlpi ai lor și cele douăzeci de picioare ale lor, de aramă; cârligele stâlpilor și bețele lor de legătură erau de argint. 
EXO.38.11	Și pentru latura dinspre miazănoapte o sută de coți; cei douăzeci de stâlpi ai lor și cele douăzeci de picioare ale lor, de aramă; cârligele stâlpilor și bețele lor de legătură erau de argint. 
EXO.38.12	Și pentru latura dinspre apus perdele de cincizeci de coți; cei zece stâlpi ai lor și cele zece picioare ale lor; cârligele stâlpilor și bețele lor de legătură erau de argint. 
EXO.38.13	Și pentru latura de răsărit spre răsărit cincizeci de coți. 
EXO.38.14	Perdelele pe o aripă 
EXO.38.15	și pe cealaltă aripă de partea aceasta și de partea aceea a porții curții perdele de cincisprezece coți, cei trei stâlpi ai lor și cele trei picioare ale lor. 
EXO.38.16	Toate perdelele curții de jur împrejur erau de in subțire răsucit. 
EXO.38.17	Și picioarele stâlpilor erau de aramă, cârligele stâlpilor și bețele lor de legătură de argint și îmbrăcarea căpătâielor lor de argint; și toți stâlpii curții erau încinși împreună cu argint. 
EXO.38.18	Și perdeaua porții curții era de broderie de albastru și purpură și carmezin și in subțire răsucit: și lungimea era de douăzeci de coți și înălțimea ca lățimea, de cinci coți, după măsura perdelelor curții. 
EXO.38.19	Și stâlpii lor erau patru și picioarele lor patru, de aramă; cârligele lor de argint și îmbrăcătura căpătâielor lor și bețele lor de legătură de argint. 
EXO.38.20	Și toți țărușii
EXO.38.21	Acestea sunt lucrurile numărate ale locașului
EXO.38.22	Și
EXO.38.23	Și cu el era Oholiab, fiul lui Ahisamac din seminția lui Dan, tăietor de pietre și născocitor și lucrător în broderie în albastru și în purpură și în carmezin și în in subțire. 
EXO.38.24	Tot aurul întrebuințat în lucrarea pentru tot lucrul sfântului locaș, aurul darului ridicat a fost douăzeci și nouă de talanți șapte sute treizeci de sicli, după siclul
EXO.38.25	Și argintul celor ce au fost numărați ai adunării a fost o sută de talanți și o mie șapte sute șaptezeci și cinci de sicli, după siclul sfântului locaș: 
EXO.38.26	o becă
EXO.38.27	Și cei o sută de talanți de argint au fost pentru turnarea picioarelor
EXO.38.28	Și din cei o mie șapte sute șaptezeci și cinci de sicli a făcut cârligele stâlpilor și a îmbrăcat căpătâiele lor și i‐a legat cu 
EXO.38.29	Și arama darului ridicat a fost șaptezeci de talanți și două mii patru sute de sicli. 
EXO.38.30	Și cu ea a făcut picioarele pentru intrarea cortului întâlnirii și altarul de aramă și grătarul de aramă pentru el și toate uneltele altarului 
EXO.38.31	și picioarele curții de jur împrejur și picioarele porții curții și toți țărușii locașului și toți țărușii curții de jur împrejur.
EXO.39.1	Și din albastru
EXO.39.2	Și
EXO.39.3	Și au bătut aurul în plăci subțiri și le‐au tăiat în fire ca să lucreze în albastru și în purpură și în carmezin și în in subțire, lucru de lucrător iscusit. 
EXO.39.4	I‐au făcut umerari împreunați unul cu altul; se împreunau la amândouă capetele lui. 
EXO.39.5	Și cingătoarea țesută cu iscusință, care era deasupra lui, era din aceeași 
EXO.39.6	Și
EXO.39.7	Și le‐a pus pe umerarii efodului ca pietre de amintire
EXO.39.8	Și
EXO.39.9	Era pătrat; au făcut pieptarul îndoit; lungimea lui era de o palmă și lățimea lui de o palmă, îndoit. 
EXO.39.10	Și
EXO.39.11	Și al doilea șir: carbuncul, safir și diamant. 
EXO.39.12	Și al treilea șir: opal, agat și ametist. 
EXO.39.13	Și al patrulea șir: hrisolit, onix și iaspis prinse în legături de aur în ferecăturile lor. 
EXO.39.14	Și pietrele erau după numele copiilor lui Israel, douăsprezece, după numele lor, ca săpătura de pecete, fiecare după numele său, pentru cele douăsprezece seminții. 
EXO.39.15	Și au făcut pe pieptar lănțișoare în chip de sfoară, lucru de împletitură din aur curat. 
EXO.39.16	Și au făcut două ferecături de aur și două verigi de aur și au pus cele două verigi la cele două capete ale pieptarului. 
EXO.39.17	Și au pus cele două 
EXO.39.18	Și cele două capete ale celor două 
EXO.39.19	Și au făcut două verigi de aur și le‐au pus la cele două capete ale pieptarului, la marginea lui pe dinăuntru înspre efod. 
EXO.39.20	Și au făcut două verigi de aur și le‐au pus pe cei doi umerari ai efodului dedesubt, în partea dinainte a lui, tocmai la împreunarea lui deasupra cingătorii țesute cu iscusință a efodului. 
EXO.39.21	Și au legat pieptarul cu verigile lui de verigile efodului cu sfoară de albastru, ca să stea nemișcat deasupra cingătorii efodului și ca pieptarul să nu se miște de pe efod; după cum poruncise Domnul lui Moise.
EXO.39.22	Și
EXO.39.23	Și gura mantiei la mijlocul ei era ca gura unei platoșe; și era o tivitură de jur împrejurul gurii ca să nu se sfâșie. 
EXO.39.24	Și au făcut pe marginile mantiei mere granate de albastru și purpură și carmezin răsucit. 
EXO.39.25	Și au făcut clopoței
EXO.39.26	un clopoțel și un măr granat, un clopoțel și un măr granat, pe marginile mantiei, de jur împrejur pentru slujbă; după cum poruncise Domnul lui Moise.
EXO.39.27	Și
EXO.39.28	și
EXO.39.29	și
EXO.39.30	Și
EXO.39.31	Și au legat de ea o sfoară de albastru, ca s‐o lege de mitră deasupra ei; după cum poruncise Domnul lui Moise.
EXO.39.32	Și tot lucrul locașului cortului întâlnirii a fost sfârșit; și copiii lui Israel au făcut după toate
EXO.39.33	Și au adus locașul lui Moise: cortul și toate uneltele lui, cârligele lui și scândurile lui, drugii lui și stâlpii lui și picioarele lui 
EXO.39.34	și acoperământul de piei de berbece vopsite cu roș și acoperământul de piei de vițel de mare și perdeaua despărțitoare; 
EXO.39.35	chivotul mărturiei și pârghiile lui și scaunul îndurării; 
EXO.39.36	masa, toate uneltele ei și pâinea punerii înainte; 
EXO.39.37	sfeșnicul curat, candelele lui, candelele de așezat în rând și toate uneltele lui și untdelemnul pentru lumină 
EXO.39.38	și altarul de aur și untdelemnul ungerii și tămâia mirositoare și perdeaua pentru intrarea cortului; 
EXO.39.39	altarul de aramă și grătarul lui de aramă, pârghiile lui și toate uneltele lui; spălătorul și piciorul lui; 
EXO.39.40	perdelele curții, stâlpii ei și picioarele ei și perdeaua pentru poarta curții, funiile ei și țărușii ei și toate uneltele de slujbă ale locașului pentru cortul întâlnirii, 
EXO.39.41	hainele lucrate cu iscusință pentru slujba în sfânta, hainele sfinte pentru Aaron, preotul, și hainele fiilor lui ca să fie în slujba de preoți. 
EXO.39.42	După toate cele ce poruncise Domnul lui Moise, așa au făcut
EXO.39.43	Și Moise a văzut toată lucrarea și, iată, o făcuseră cum poruncise Domnul, așa o făcuseră. Și Moise i‐a binecuvântat
EXO.40.1	Și Domnul a vorbit lui Moise zicând: 
EXO.40.2	În ziua lunii întâi, la întâi
EXO.40.3	Și
EXO.40.4	Și
EXO.40.5	Și
EXO.40.6	Și să pui altarul arderii de tot înaintea intrării locașului cortului întâlnirii. 
EXO.40.7	Și
EXO.40.8	Și să așezi curtea de jur împrejur și să atârni perdeaua la poarta curții. 
EXO.40.9	Și să iei untdelemnul ungerii și să ungi
EXO.40.10	Și să ungi altarul arderii de tot și toate uneltele lui; și să sfințești altarul, și altarul
EXO.40.11	Și să ungi spălătorul și piciorul lui și să‐l sfințești. 
EXO.40.12	Și să apropii
EXO.40.13	Și să îmbraci pe Aaron cu hainele sfinte și să‐l ungi
EXO.40.14	Și să apropii pe fiii lui și să‐i îmbraci cu cămășile. 
EXO.40.15	Și să‐i ungi cum ai uns și pe tatăl lor, ca să‐mi fie în slujba de preoți; și ungerea lor le va fi o preoție
EXO.40.16	Și Moise a făcut așa; după toate cele ce poruncise Domnul, așa a făcut. 
EXO.40.17	Și a fost 
EXO.40.18	Și Moise a așezat locașul și i‐a pus picioarele și i‐a așezat scândurile și i‐a pus drugii și i‐a așezat stâlpii. 
EXO.40.19	Și a întins cortul deasupra locașului și a pus acoperământul cortului deasupra peste el; după cum poruncise Domnul lui Moise. 
EXO.40.20	Și a luat și a pus mărturia
EXO.40.21	Și a adus chivotul în locaș și a atârnat
EXO.40.22	Și
EXO.40.23	Și
EXO.40.24	Și
EXO.40.25	Și
EXO.40.26	Și
EXO.40.27	Și
EXO.40.28	Și
EXO.40.29	Și
EXO.40.30	Și
EXO.40.31	Și Moise și Aaron și fiii lui și‐au spălat mâinile și picioarele din el. 
