GEN.1.1	La început, Dumnezeu
2SA.23.4	atunci când răsare soarele într‑o dimineață senină;
2SA.23.4	el seamănă cu razele soarelui după ploaie,
2SA.23.4	care fac să crească iarba din pământ.»
2SA.23.5	Nu este așa Casa mea față de Dumnezeu?
2SA.23.5	Căci El a încheiat cu mine un legământ veșnic,
2SA.23.5	bine întocmit în toate privințele și bine păzit.
2SA.23.5	Nu va face El să răsară din acesta
2SA.23.5	tot ce este spre mântuirea și bucuria mea?
2SA.23.6	Însă ticăloșii sunt toți ca niște spini buni de aruncat,
2SA.23.6	pe care nu poți să‑i iei cu mâna.
2SA.23.7	Oricine îi atinge folosește o unealtă de fier
2SA.23.7	sau mânerul unei sulițe
2SA.23.7	și‑i arde pe loc.“
2SA.23.8	Acestea sunt numele vitejilor lui David:
2SA.23.8	Ioșeb-Bașebet
2SA.23.9	După el era Elazar, fiul lui Dodo, urmașul lui Ahohi. El a fost unul dintre cei trei viteji care, împreună cu David, i‑au înfruntat pe filistenii adunați acolo
2SA.23.10	El s‑a ridicat și a ucis la filisteni până când i‑a obosit mâna și i‑a rămas înțepenită pe sabie. 
2SA.23.11	După el era Șama, fiul hararitului Aghe. Filistenii se strânseseră la Lehi. Acolo se afla o bucată de pământ plină cu linte, și poporul fugea dinaintea filistenilor. 
2SA.23.12	Însă 
2SA.23.13	Trei dintre cele treizeci de căpetenii au coborât și au venit la David, pe vremea secerișului, la peștera Adulam, în timp ce o trupă de filisteni își așezase tabăra în valea Refaim. 
2SA.23.14	David se afla atunci în fortăreață
2SA.23.15	Lui David i s‑a făcut sete și a întrebat: „Cine îmi va aduce apă din puțul de lângă poarta Betleemului?“ 
2SA.23.16	Cei trei viteji au răzbit prin tabăra filistenilor, au scos apă din puțul de lângă poarta Betleemului și au adus‑o cu bine la David. Însă David n‑a vrut s‑o bea, ci a vărsat‑o înaintea 
2SA.23.17	zicând: „Departe de mine, 
2SA.23.18	Abișai, fratele lui Ioab, fiul Țeruiei, era căpetenia celor trei. El și‑a învârtit sulița peste trei sute de oameni, străpungându‑i. Și astfel el și‑a făcut un nume alături de cei trei. 
2SA.23.19	Era respectat de către
2SA.23.20	Benaia, fiul lui Iehoiada, era un viteaz din Kabțeel care a făcut mari isprăvi. El i‑a ucis pe 
2SA.23.21	El a ucis un egiptean impresionant. Egipteanul avea în mână o suliță. 
2SA.23.22	Astfel de isprăvi făcea Benaia, fiul lui Iehoiada, făcându‑și un nume alături de cei trei viteji. 
2SA.23.23	Era respectat mai mult între
2SA.23.24	Dintre cei treizeci făceau parte:
2SA.23.24	Asael, fratele lui Ioab;
2SA.23.24	Elhanan, fiul lui Dodo din Betleem;
2SA.23.25	haroditul Șama;
2SA.23.25	haroditul Elika;
2SA.23.26	paltitul Heleț;
2SA.23.26	Ira, fiul tekoanitului Icheș;
2SA.23.27	Abiezer din Anatot;
2SA.23.27	hușatitul Mebunai;
2SA.23.28	ahohitul Țalmon;
2SA.23.28	netofatitul Maharai;
2SA.23.29	Heled, fiul netofatitului Baana;
2SA.23.29	Itai, fiul lui Ribai, din Ghiva fiilor lui Beniamin;
2SA.23.30	piratonitul Benaia;
2SA.23.30	Hidai din uedurile
2SA.23.31	arbatitul Abi‑Albon;
2SA.23.31	barhumitul Azmavet;
2SA.23.32	șaalbonitul Eliahba;
2SA.23.32	fiii lui Iașen;
2SA.23.32	Ionatan, 
2SA.23.33	fiul hararitului Șama;
2SA.23.33	Ahiam, fiul hararitului Șarar;
2SA.23.34	Elifelet, fiul maacatitului Ahasbai;
2SA.23.34	Eliam, fiul ghilonitului Ahitofel;
2SA.23.35	carmelitul Hețrai;
2SA.23.35	arbitul Paarai;
2SA.23.36	Igal, fiul lui Natan din Țoba;
2SA.23.36	gaditul Bani;
2SA.23.37	amonitul Țelek;
2SA.23.37	beerotitul Naharai, cel ce‑i ducea armele lui Ioab, fiul Țeruiei;
2SA.23.38	itritul Ira,
2SA.23.38	itritul Gareb
2SA.23.39	și hititul Urie.
2SA.23.39	Erau cu toții 
2SA.24.2	Regele le‑a zis lui Ioab și conducătorilor oștirii care erau cu el:
2SA.24.2	– Mergeți prin toate semințiile lui Israel, de la Dan până la Beer-Șeba
2SA.24.3	Dar Ioab i‑a zis regelui:
2SA.24.3	–  
2SA.24.4	Însă porunca regelui dată lui Ioab și conducătorilor oștirii a rămas de neclintit. Prin urmare, Ioab și conducătorii oștirii au ieșit dinaintea regelui ca să numere poporul, pe Israel. 
2SA.24.5	După ce au trecut Iordanul, și‑au așezat tabăra la Aroer, la sud
2SA.24.6	Apoi au ajuns în Ghilad și în teritoriul lui Tahtim-Hodși, apoi la Dan‑Iaan și prin împrejurimi până înspre Sidon. 
2SA.24.7	Au ajuns până la fortăreața Tyrului și în toate cetățile hiviților și ale canaaniților, apoi s‑au îndreptat înspre Beer-Șeba, în partea de sud a lui Iuda. 
2SA.24.8	Au străbătut astfel toată țara și, după nouă luni și douăzeci de zile, s‑au întors la Ierusalim. 
2SA.24.9	Ioab i‑a dat regelui rezultatul
2SA.24.10	David s‑a simțit mustrat în inima lui după ce făcuse numărătoarea poporului. El I‑a zis 
2SA.24.11	În dimineața următoare, când David s‑a trezit, Cuvântul 
2SA.24.12	„Du‑te și spune‑i lui David: «Așa vorbește 
2SA.24.13	Gad a venit la David și l‑a înștiințat, zicându‑i:
2SA.24.13	– Ce alegi? Șapte ani de foamete în țară, trei luni în timpul cărora să fugi dinaintea vrăjmașilor tăi, și ei să te urmărească sau trei zile în timpul cărora molima să fie în țară? Acum gândește‑te și vezi ce trebuie să răspund Celui Ce m‑a trimis!
2SA.24.14	David i‑a zis lui Gad:
2SA.24.14	– Sunt într‑o mare strâmtorare. Mai bine să cădem în mâna 
2SA.24.16	În timp ce Îngerul avea mâna întinsă spre Ierusalim și‑l distrugea, 
2SA.24.17	Văzându‑l pe Îngerul Care lovea poporul, David I‑a zis 
2SA.24.18	Gad a venit la David în acea zi și i‑a zis:
2SA.24.18	– Suie‑te și ridică‑I 
2SA.24.19	David s‑a suit 
2SA.24.20	Aravna s‑a uitat și l‑a văzut pe rege și pe slujitorii săi, îndreptându‑se spre el. El a ieșit din arie și s‑a plecat cu fața la pământ înaintea regelui.
2SA.24.21	Aravna a întrebat:
2SA.24.21	– De ce a venit stăpânul meu, regele, la robul său?
2SA.24.21	David a răspuns:
2SA.24.21	– Ca să cumpăr de la tine aria pentru a zidi un altar 
2SA.24.22	Aravna i‑a zis lui David:
2SA.24.22	– Să ia stăpânul meu, regele, și să ofere ca jertfă ceea ce crede că este bine.
2SA.24.23	O, rege, Aravna îi dă regelui totul.
2SA.24.23	Apoi Aravna i‑a zis regelui:
2SA.24.23	– Fie ca 
2SA.24.24	Însă regele i‑a zis lui Aravna:
2SA.24.24	– Nu, ci trebuie s‑o cumpăr de la tine, 
2SA.24.24	Astfel, David a cumpărat aria și boii cu cincizeci de șecheli de argint.
2SA.24.25	David a zidit acolo un altar 
1KI.1.1	Regele David îmbătrânise și acum era înaintat în vârstă. L‑au acoperit cu pături, dar nu se putea încălzi. 
1KI.1.2	Slujitorii săi i‑au zis: „Să se caute pentru stăpânul nostru, regele, o tânără fecioară, care să stea înaintea regelui și care să‑i fie servitoare. Ea să se culce la pieptul tău și stăpânul nostru, regele, se va încălzi.“ 
1KI.1.3	Ei au căutat în tot teritoriul lui Israel o tânără frumoasă și au găsit‑o pe Abișag șunamita, pe care au adus‑o la rege. 
1KI.1.4	Tânăra era foarte frumoasă. Ea i‑a devenit regelui servitoare și s‑a îngrijit de el, dar regele n‑a cunoscut‑o
1KI.1.5	Adonia, fiul Haghitei, s‑a îngâmfat, zicând: „Eu voi deveni rege!“ El și‑a pregătit un car, călăreți
1KI.1.6	Tatăl său nu‑l mustrase niciodată și nu‑i zisese: „De ce faci astfel?“ El s‑a născut după Absalom și era, de asemenea, foarte frumos la chip.
1KI.1.7	El a vorbit cu Ioab, fiul Țeruiei, și cu preotul Abiatar, iar aceștia l‑au sprijinit pe Adonia. 
1KI.1.8	Dar preotul Țadok, Benaia, fiul lui Iehoiada, profetul Natan, Șimei, Rei
1KI.1.9	Adonia a înjunghiat oi, vite și viței îngrășați, lângă Piatra lui Zohelet, care se află în apropiere de En‑Roghel. El i‑a invitat pe toți frații săi, fiii regelui, și pe toți bărbații lui Iuda, slujitorii regelui. 
1KI.1.10	Dar pe profetul Natan, pe Benaia, pe viteji și pe Solomon, fratele său, nu i‑a invitat.
1KI.1.11	Natan i‑a zis Batșebei, mama lui Solomon: „N‑ai auzit că Adonia, fiul Haghitei, s‑a făcut rege? Stăpânul nostru David nu știe acest lucru! 
1KI.1.12	Prin urmare, dă‑mi voie să te sfătuiesc cum să‑ți scapi viața, tu și fiul tău Solomon. 
1KI.1.13	Du‑te, intră la regele David și spune‑i: «O, rege, stăpânul meu, oare nu i‑ai jurat tu însuți slujitoarei tale că Solomon, fiul meu, va domni după tine și că el va urma la tron? Atunci de ce domnește Adonia?» 
1KI.1.14	În timp ce vei vorbi acolo cu regele, eu însumi voi veni după tine și voi întări cuvintele tale.“
1KI.1.15	Batșeba s‑a dus în odaia regelui. Regele era foarte bătrân, iar Abișag șunamita se îngrijea de el. 
1KI.1.16	Batșeba s‑a plecat și s‑a închinat înaintea regelui.
1KI.1.16	Regele a zis:
1KI.1.16	– Ce dorești?
1KI.1.17	Ea a răspuns:
1KI.1.17	– Stăpânul meu, tu însuți ai jurat slujitoarei tale pe 
1KI.1.18	Totuși, acum Adonia domnește, iar stăpânul meu, regele, nu știe acest lucru. 
1KI.1.19	El a înjunghiat boi, viței îngrășați și o mulțime de oi și i‑a invitat pe toți fiii regelui, pe preotul Abiatar și pe Ioab, conducătorul oștirii. Dar pe Solomon, robul tău, nu l‑a invitat. 
1KI.1.20	O, rege, stăpânul meu, ochii întregului Israel sunt ațintiți spre tine ca să le spui cine va urma să domnească după stăpânul meu, regele. 
1KI.1.21	Altfel, se va întâmpla că, atunci când stăpânul meu, regele, va adormi alături de părinții săi, eu și fiul meu Solomon vom fi priviți ca niște vinovați.
1KI.1.22	În timp ce vorbea cu regele, iată că a venit și profetul Natan.
1KI.1.23	L‑au înștiințat pe rege, zicând:
1KI.1.23	– Iată că a sosit profetul Natan.
1KI.1.23	Acesta a venit în prezența regelui și s‑a plecat înaintea regelui cu fața la pământ.
1KI.1.24	Natan a zis:
1KI.1.24	– O, rege, stăpânul meu, oare ai spus tu: „Adonia va domni după mine și el va ședea pe tronul meu“? 
1KI.1.25	Căci el a coborât astăzi, a înjunghiat boi, viței îngrășați și o mulțime de oi și i‑a invitat pe toți fiii regelui, pe conducătorii oștirii și pe preotul Abiatar. Iată, ei mănâncă și beau înaintea lui și strigă: „Trăiască regele Adonia!“ 
1KI.1.26	Cu toate acestea, pe mine, robul tău, pe preotul Țadok, pe Benaia, fiul lui Iehoiada, și pe Solomon, robul tău, nu ne‑a invitat. 
1KI.1.27	Oare din porunca stăpânului meu, regele, s‑a înfăptuit acest lucru? Să nu‑i fi făcut cunoscut robului tău cine va sta pe tronul stăpânului meu, regele, după el?
1KI.1.28	Regele David a zis:
1KI.1.28	– Chemați‑o la mine pe Batșeba!
1KI.1.28	Ea a intrat și s‑a înfățișat înaintea regelui.
1KI.1.29	Regele a jurat, zicând:
1KI.1.29	– Viu este 
1KI.1.30	că voi face astăzi așa cum ți‑am jurat pe 
1KI.1.31	Batșeba s‑a plecat cu fața la pământ și s‑a închinat înaintea regelui.
1KI.1.31	Apoi a zis:
1KI.1.31	– Să trăiască pe vecie stăpânul meu, regele David!
1KI.1.32	Regele David a zis:
1KI.1.32	– Chemați‑i pe preotul Țadok, pe profetul Natan și pe Benaia, fiul lui Iehoiada!
1KI.1.32	Ei au venit înaintea regelui, 
1KI.1.33	iar regele le‑a zis:
1KI.1.33	– Luați‑i cu voi pe slujitorii stăpânului vostru, puneți‑l pe fiul meu Solomon să călărească pe catârul meu și coborâți‑l la Ghihon. 
1KI.1.34	Preotul Țadok și profetul Natan să‑l ungă acolo ca rege peste Israel. Să sunați din trâmbiță
1KI.1.35	Apoi să vă suiți după el. El să vină și să se așeze pe tronul meu, căci el va domni în locul meu, întrucât cu privire la el am poruncit să fie conducător peste Israel și peste Iuda.
1KI.1.36	Benaia, fiul lui Iehoiada, i‑a răspuns regelui, zicând:
1KI.1.36	– Amin! Așa să hotărască 
1KI.1.37	După cum 
1KI.1.38	Preotul Țadok, profetul Natan, Benaia, fiul lui Iehoiada, cheretiții și peletiții
1KI.1.39	Preotul Țadok a luat cornul
1KI.1.40	Tot poporul s‑a suit după el, cântând din fluiere și bucurându‑se nespus de mult; se despica pământul de strigătul lor.
1KI.1.41	Adonia și toți oaspeții care erau cu el au auzit 
1KI.1.42	În timp ce vorbea el, a venit Ionatan, fiul preotului Abiatar.
1KI.1.42	Adonia i‑a zis:
1KI.1.42	– Vino, căci tu ești un om vrednic și aduci vești bune.
1KI.1.43	Ionatan a răspuns și i‑a zis lui Adonia:
1KI.1.43	– Nicidecum. Stăpânul nostru, regele David, l‑a făcut rege pe Solomon. 
1KI.1.44	Regele i‑a trimis cu el pe preotul Țadok, pe profetul Natan, pe Benaia, fiul lui Iehoiada, pe cheretiți și pe peletiți, iar ei l‑au pus să călărească pe catârul regelui. 
1KI.1.45	Preotul Țadok și profetul Natan l‑au uns rege la Ghihon și au plecat de acolo bucuroși, iar cetatea freamătă. Aceasta era zarva pe care ați auzit‑o. 
1KI.1.46	De asemenea, Solomon s‑a așezat pe tronul regal. 
1KI.1.47	Iar slujitorii regelui au venit să‑l binecuvânteze pe stăpânul nostru, regele David, zicând: „Dumnezeul tău să facă numele lui Solomon mai vestit decât numele tău și să‑i înalțe tronul mai presus decât tronul tău.“ Apoi regele s‑a închinat în patul său. 
1KI.1.48	Regele a mai zis astfel: „Binecuvântat să fie 
1KI.1.49	Tremurând, toți oaspeții care erau cu Adonia s‑au ridicat și fiecare a plecat în drumul lui. 
1KI.1.50	Adonia s‑a temut de Solomon. El s‑a ridicat, s‑a dus 
1KI.1.51	Lui Solomon i s‑a spus: „Iată, Adonia se teme de regele Solomon și s‑a apucat de coarnele altarului, zicând: «Să‑mi jure regele Solomon astăzi că nu‑l va omorî pe robul său cu sabia!»“ 
1KI.1.52	Solomon a zis: „Dacă este un om vrednic, niciun fir de păr nu‑i va cădea la pământ, dar, dacă se va găsi răutate în el, va muri.“ 
1KI.1.53	Regele Solomon a trimis să‑l coboare de la altar. El a venit și s‑a plecat înaintea regelui Solomon, iar Solomon i‑a zis: „Du‑te acasă.“
1KI.2.1	Când se apropia vremea să moară, David i‑a poruncit fiului său, Solomon, zicând: 
1KI.2.2	„Eu mă duc pe calea întregului pământ. Întărește‑te și fii bărbat! 
1KI.2.3	Păzește îndatoririle 
1KI.2.4	și pentru ca 
1KI.2.5	Tu știi ceea ce mi‑a făcut Ioab, fiul Țeruiei, ce le‑a făcut celor doi conducători ai oștirilor lui Israel, lui Abner, fiul lui Ner, și lui Amasa, fiul lui Ieter. I‑a ucis și a vărsat sânge de război în timp de pace. A pus astfel sângele de război pe teaca de la brâu și pe sandalele lui din picioare. 
1KI.2.6	Fă‑i după înțelepciunea ta, dar nu‑i coborî în pace perii albi în Locuința Morților
1KI.2.7	Arată‑le însă bunătate fiilor lui Barzilai ghiladitul. Ei să fie printre cei care mănâncă la masa ta, căci mi‑au fost alături atunci când fugeam de fratele tău Absalom.
1KI.2.8	Iată, îl ai cu tine pe Șimei, fiul lui Ghera, beniamitul din Bahurim. El a rostit blesteme aspre împotriva mea în ziua în care mergeam la Mahanayim, dar, când a coborât în întâmpinarea mea la Iordan, i‑am jurat pe 
1KI.2.9	Tu însă să nu‑l lași nepedepsit, căci ești un om înțelept și vei ști ce să‑i faci. Cu sânge să‑i cobori perii albi în Locuința Morților!“
1KI.2.10	Apoi David a adormit alături de părinții săi și a fost înmormântat în Cetatea lui David. 
1KI.2.11	El a domnit peste Israel timp de patruzeci de ani: la Hebron a domnit șapte ani, iar la Ierusalim a domnit treizeci și trei de ani. 
1KI.2.12	Astfel, Solomon i‑a urmat la tron tatălui său, David, și domnia lui s‑a întărit foarte mult.
1KI.2.13	Adonia, fiul Haghitei, a venit la Batșeba, mama lui Solomon.
1KI.2.13	Ea l‑a întrebat:
1KI.2.13	– Vii cu pace?
1KI.2.13	El a răspuns:
1KI.2.13	– Cu pace.
1KI.2.14	Apoi el a zis:
1KI.2.14	– Am ceva să‑ți spun.
1KI.2.14	Ea a zis:
1KI.2.14	– Vorbește.
1KI.2.15	El a zis:
1KI.2.15	– Tu știi că domnia era a mea și că tot Israelul își îndreptase fața spre mine ca să fiu rege. Dar domnia i‑a revenit fratelui meu, căci a primit‑o de la 
1KI.2.16	Acum, doresc să‑ți cer o favoare. Să nu‑mi întorci fața!
1KI.2.16	Ea i‑a zis:
1KI.2.16	– Vorbește.
1KI.2.17	El a zis:
1KI.2.17	– Spune‑i, te rog, regelui Solomon să mi‑o dea de soție pe Abișag șunamita, fiindcă el nu te va refuza.
1KI.2.18	Batșeba a răspuns:
1KI.2.18	– Bine, îi voi vorbi regelui pentru tine.
1KI.2.19	Batșeba s‑a dus la regele Solomon ca să vorbească pentru Adonia. Regele s‑a ridicat s‑o întâmpine, s‑a plecat înaintea ei și apoi s‑a așezat pe tron. El a poruncit să se aducă un tron pentru mama lui, iar ea s‑a așezat la dreapta lui.
1KI.2.20	Apoi ea a zis:
1KI.2.20	– Doresc să‑ți cer o mică favoare. Să nu‑mi întorci fața!
1KI.2.20	Regele i‑a răspuns:
1KI.2.20	– Cere, mamă, căci nu‑ți voi întoarce fața.
1KI.2.21	Ea a zis:
1KI.2.21	– Abișag șunamita să‑i fie dată de soție fratelui tău Adonia.
1KI.2.22	Regele Solomon a răspuns și i‑a zis mamei sale:
1KI.2.22	– De ce o ceri 
1KI.2.23	Atunci regele Solomon a jurat pe 
1KI.2.24	Viu este 
1KI.2.25	Regele Solomon l‑a trimis pe Benaia, fiul lui Iehoiada, ca să‑l omoare. Și astfel 
1KI.2.26	După aceea, regele i‑a zis preotului Abiatar: „Du‑te la proprietățile tale de la Anatot, căci meriți să mori, dar nu te voi omorî astăzi, deoarece ai purtat Chivotul 
1KI.2.27	Astfel, Solomon l‑a alungat pe Abiatar din slujba de preot al 
1KI.2.28	Când a primit vestea, Ioab, care trecuse de partea lui Adonia, deși nu trecuse de partea lui Absalom, a fugit la Cortul 
1KI.2.29	Regele Solomon a fost înștiințat că Ioab a fugit la Cortul 
1KI.2.30	Benaia a ajuns la Cortul 
1KI.2.30	– Așa vorbește regele: „Ieși afară!“
1KI.2.30	Dar el a răspuns:
1KI.2.30	– Nu! Vreau să mor aici.
1KI.2.30	Benaia s‑a întors la rege cu acest mesaj, zicând:
1KI.2.30	– Așa a vorbit Ioab și așa mi‑a răspuns.
1KI.2.31	Regele i‑a zis:
1KI.2.31	– Fă așa cum a zis. Năpustește‑te asupra lui și apoi îngroapă‑l. Să îndepărtezi astfel de peste mine și de peste familia tatălui meu sângele pe care l‑a vărsat Ioab fără motiv. 
1KI.2.32	 îl va pedepsi pentru sângele vărsat, pentru că i‑a lovit pe cei doi bărbați care erau mai drepți și mai buni decât el și i‑a ucis cu sabia pe Abner, fiul lui Ner, conducătorul oștirii lui Israel, și pe Amasa, fiul lui Ieter, conducătorul oștirii lui Iuda, fără ca tatăl meu, David, să știe acest lucru. 
1KI.2.33	Sângele lor să se întoarcă asupra capului lui Ioab și asupra capului seminței lui pentru totdeauna, dar asupra lui David, a seminței
1KI.2.34	Atunci Benaia, fiul lui Iehoiada, s‑a suit, s‑a năpustit asupra lui Ioab și l‑a omorât. Acesta a fost îngropat apoi în proprietatea
1KI.2.35	Regele l‑a numit pe Benaia, fiul lui Iehoiada, conducător al oștirii în locul lui Ioab, iar pe preotul Țadok l‑a pus în locul lui Abiatar.
1KI.2.36	Apoi regele a trimis să‑l cheme pe Șimei și i‑a zis:
1KI.2.36	– Zidește‑ți o casă în Ierusalim și locuiește acolo, dar să nu pleci de acolo în altă parte. 
1KI.2.37	Fii sigur că, în ziua în care vei pleca și vei trece uedul
1KI.2.38	Șimei i‑a răspuns regelui:
1KI.2.38	– Bine, robul tău va face așa cum a zis stăpânul meu, regele.
1KI.2.38	Astfel, Șimei a locuit multe zile la Ierusalim. 
1KI.2.39	Trei ani mai târziu însă doi dintre slujitorii lui Șimei au fugit la Achiș, fiul lui Maaca, regele Gatului. L‑au înștiințat pe Șimei, zicând: „Iată că slujitorii tăi sunt în Gat.“ 
1KI.2.40	Atunci Șimei s‑a ridicat, și‑a înșeuat măgarul și s‑a dus la Achiș, la Gat, ca să‑și caute slujitorii. Șimei a plecat și și‑a adus slujitorii înapoi de la Gat.
1KI.2.41	I s‑a spus lui Solomon că Șimei a plecat din Ierusalim la Gat și că s‑a întors. 
1KI.2.42	Atunci regele a trimis și l‑a chemat pe Șimei. El i‑a zis: „Oare nu te‑am pus eu să juri pe 
1KI.2.43	De ce nu ți‑ai ținut jurământul făcut 
1KI.2.44	Apoi regele i‑a zis lui Șimei: „Tu știi în inima ta tot răul pe care i l‑ai făcut tatălui meu, David. Acum 
1KI.2.45	Dar regele Solomon va fi binecuvântat, iar tronul lui David va fi păzit înaintea 
1KI.2.46	Și regele i‑a poruncit lui Benaia, fiul lui Iehoiada, 
1KI.3.1	Solomon s‑a înrudit cu Faraon, regele Egiptului. El a luat‑o de soție pe fiica acestuia și a adus‑o în Cetatea lui David până când a terminat de zidit palatul, Casa 
1KI.3.2	Poporul încă mai aducea jertfe pe înălțimi, căci încă nu fusese zidită o Casă pentru Numele 
1KI.3.3	Solomon Îl iubea pe 
1KI.3.4	Regele s‑a dus la Ghivon ca să aducă jertfe acolo, căci era cea mai importantă înălțime. El a adus pe altarul de acolo o mie de arderi‑de‑tot.
1KI.3.5	La Ghivon, 
1KI.3.5	– Cere ce vrei să‑ți dau!
1KI.3.6	Solomon a răspuns:
1KI.3.6	– Tu ai arătat o mare îndurare
1KI.3.7	, Dumnezeul meu, Tu l‑ai făcut rege pe robul Tău în locul tatălui meu, David. Însă eu sunt tânăr și nu știu să conduc.
1KI.3.8	Robul Tău se află în mijlocul poporului pe care l‑ai ales, un popor atât de numeros, încât nu poate fi calculat sau numărat. 
1KI.3.9	Dă‑i robului Tău o inimă care ascultă, ca să judec poporul Tău și să pot deosebi între bine și rău. Căci cine este în stare să judece acest popor numeros al Tău?
1KI.3.10	Stăpânului I‑a plăcut lucrul pe care l‑a cerut Solomon.
1KI.3.11	Dumnezeu i‑a zis:
1KI.3.11	– Pentru că ai cerut acest lucru și nu ai cerut pentru tine nici viață lungă, nici bogății și nici moartea dușmanilor tăi, ci ai cerut pricepere, ca să asculți la judecată, 
1KI.3.12	iată, voi face după cum ai cerut. Îți voi da o inimă înțeleaptă și pricepută cum n‑a avut nimeni înaintea ta și nici nu se va mai ridica după tine nimeni asemenea ție. 
1KI.3.13	Mai mult, îți voi da și ceea ce nu ai cerut: atât bogății, cât și glorie, așa încât nu va fi niciun alt rege ca tine în toate zilele tale. 
1KI.3.14	Și, dacă vei umbla pe căile Mele, păzind hotărârile și poruncile Mele, așa cum a făcut tatăl tău, David, îți voi lungi zilele.
1KI.3.15	Solomon s‑a trezit și iată că fusese un vis. El s‑a întors la Ierusalim, s‑a înfățișat înaintea Chivotului Legământului cu Stăpânul și a adus arderi‑de‑tot și jertfe de pace
1KI.3.16	Atunci au venit înaintea regelui două prostituate.
1KI.3.17	Prima femeie a zis:
1KI.3.17	– Ah, stăpânul meu, eu și femeia aceasta locuim în aceeași casă. Eu am născut lângă ea în casă, 
1KI.3.18	iar la trei zile după ce am născut eu, a născut și femeia aceasta. Eram împreună; nu mai era nimeni cu noi în casă; eram doar noi două în casă. 
1KI.3.19	În timpul nopții, fiul acestei femei a murit, din cauză că se culcase peste el. 
1KI.3.20	Ea s‑a sculat în miezul nopții, l‑a luat pe fiul meu de lângă mine, în timp ce slujitoarea ta dormea, și l‑a așezat la sânul ei; iar pe fiul ei mort l‑a așezat la sânul meu. 
1KI.3.21	Când m‑am trezit dimineața ca să‑mi alăptez fiul, iată că el era mort. M‑am uitat la el cu atenție dimineața, și iată că nu era fiul meu, pe care‑l născusem.
1KI.3.22	Cealaltă femeie a zis:
1KI.3.22	– Ba nu! Fiul meu este cel viu, iar fiul tău este cel mort!
1KI.3.22	Dar aceasta a răspuns:
1KI.3.22	– Ba nu! Fiul tău este cel mort, iar fiul meu este cel viu!
1KI.3.22	Așa au vorbit ele înaintea regelui.
1KI.3.23	Atunci regele a zis:
1KI.3.23	– Aceasta zice: „Fiul meu este cel viu, iar fiul tău este cel mort!“, iar cealaltă zice: „Ba nu! Fiul tău este cel mort, iar fiul meu este cel viu!“
1KI.3.24	Apoi regele a zis: „Aduceți‑mi o sabie!“ Ei au adus o sabie înaintea regelui. 
1KI.3.25	Regele a zis: „Tăiați copilul cel viu în două și dați‑i o jumătate uneia și o jumătate celeilalte!“
1KI.3.26	Atunci femeia al cărei fiu era cel viu i‑a vorbit regelui, căci a cuprins‑o mila pentru fiul ei, și a zis:
1KI.3.26	– Te rog, stăpânul meu, dă‑i ei nou‑născutul viu și să nu cumva să‑l omori!
1KI.3.26	Cealaltă însă zicea:
1KI.3.26	– Să nu fie nici al meu, nici al tău! Tăiați‑l în două!
1KI.3.27	Regele a răspuns și a zis:
1KI.3.27	– Dați primei femei nou‑născutul cel viu și să nu cumva să‑l omorâți! Ea este mama lui.
1KI.3.28	Tot Israelul a auzit judecata pronunțată de rege. Ei s‑au temut de el, căci au văzut că înțelepciunea lui Dumnezeu era în lăuntrul lui, ca să facă dreptate.
1KI.4.1	Regele Solomon domnea peste tot Israelul. 
1KI.4.2	Aceștia erau dregătorii pe care‑i avea 
1KI.4.2	Azaria, fiul preotului Țadok;
1KI.4.3	Elihoref și Ahia, fiii lui Șișa, erau scribi;
1KI.4.3	Iehoșafat, fiul lui Ahilud, era cronicar;
1KI.4.4	Benaia, fiul lui Iehoiada, era conducătorul oștirii;
1KI.4.4	Țadok și Abiatar erau preoți;
1KI.4.5	Azaria, fiul lui Natan, era 
1KI.4.5	Zabud, fiul lui Natan, era preot și prieten al regelui;
1KI.4.6	Ahișar răspundea de palat, iar Adoniram, fiul lui Abda, era mai mare peste oamenii de corvoadă.
1KI.4.7	Solomon avea doisprezece administratori peste tot Israelul, care asigurau hrana regelui și a familiei sale. Fiecare asigura hrana timp de o lună pe an. 
1KI.4.8	Acestea sunt numele lor:
1KI.4.8	Ben‑Hur – pe muntele lui Efraim;
1KI.4.9	Ben‑Deker – în Makaț, în Șaalbim, în Bet‑Șemeș și în Elon Bet‑Hanan;
1KI.4.10	Ben‑Hesed – în Arubot; (Soco și toată țara Hefer erau ale lui);
1KI.4.11	Ben‑Abinadab avea toate înălțimile Dorului
1KI.4.12	Baana, fiul lui Ahilud – în Taanah, în Meghido și în tot Bet‑Șanul care este lângă Țortan, sub Izreel; apoi de la Bet‑Șan până la Abel-Mehola, până dincolo de Iokmeam;
1KI.4.13	Ben‑Gheber – în Ramotul Ghiladului; el avea așezările lui Iair, fiul lui Manase, care sunt în Ghilad, precum și ținutul Argob, care este în Bașan – șaizeci de cetăți mari cu ziduri și zăvoare de bronz;
1KI.4.14	Ahinadab, fiul lui Ido – în Mahanayim;
1KI.4.15	Ahimaaț – în Neftali; el o luase de soție pe Basmat, fiica lui Solomon;
1KI.4.16	Baana, fiul lui Hușai – în Așer și în Bealot;
1KI.4.17	Iehoșafat, fiul lui Paruah – în Isahar;
1KI.4.18	Șimei, fiul lui Ela – în Beniamin;
1KI.4.19	Gheber, fiul lui Uri – în ținutul Ghiladului, țara lui Sihon, regele amoriților, și a lui Og, regele Bașanului; era singurul administrator în acest ținut.
