MAT.1.1	Mukanda wa kibuti kia Yesu Klisto, muana wa Davidi, muana wa Abalahama.
MRK.8.7	Nu babezaga na tuabiena tukeke tugu: abisegeide, nu abakakizizie buno babakasebio. 
MRK.8.8	Nu balile, nu bembukile: nu basongezie mbobu za tumpampa zabeide nzi mutubakamo. 
MRK.8.9	Nu babo baliaga babezaga bakuka bantu tununu tunazi, nu alagane nabo. 
MRK.8.10	Nu kazanga kongo eingide mu buato na beigisibua bage, nu babasile mu ndenge za Delamanuta.
MRK.8.11	Nu baFalese babasile, nu balingile kumubuzia, balondaga kalolesio kueli kakutuka kuigulu, bamulindikaga. 
MRK.8.12	Nu egemu­kidue bubibu mu mutima, nu atendile bune, Kubuni kibuti kikino kikulonda kalolesio? Lebelebe nkumutenda buno, kibuti kikino takikalolesibua kalolesio. 
MRK.8.13	Nu abasigile, nu eingide lingo mu buato, nu endile ku lisilia.
MRK.8.14	Nu beibilide kueka tumpampa; tondo bendile na kamozi tugu mu buato. 
MRK.8.15	Nu abakakizizie bune, Idangazi na mugago wa baFalese nu wa Helode, 
MRK.8.16	Nu bakanizanizie buabo buabo, batendile bune, Tatuli na tumpampa. 
MRK.8.17	Nu Yesu amenyine, nu abatendile bune, kimukuakanizania kubuno tamuli na tumpampa? Ndi tamumenya, aba tamumenyinina? Ndi mitima zeinyu zikili mibibu? 
MRK.8.18	Muli na meiso tamukumona? Nu muli na matuzi, tamukungua? aba tamukukengela? 
MRK.8.19	Ganabunguide tumpampa tutano ku bantu bakuka tununu tutano, nzi inga zizeide na mbobu zimuasongezie? Nu bamutendile bune, Ikumi neibili. 
MRK.8.20	Nu nkungu za tumpampa mutubakamo kukasa bantu bakuka tununu tunazi, nzi inga zizeide na mbobu zimuasongezie? Nu bamutendile bune, Mutubakamo. 
MRK.8.21	Nu abatendile bune, Ndi tamumenyinina aba nu kano kaluma?
MRK.8.22	Nu babasile ku Betesaida nu bamuvuilide na kiuku, nu bamusegile buno itubie kukio. 
MRK.8.23	Nu akatile kiuku geikoko, nu endile nage kuisula lia muino; nu gamusuilide matazi ku meiso, nu abikile maboko gantata geitoe liage, amubuzizie bune, Ndi use wamona busoga? 
MRK.8.24	Nu alolile kuigulu, atendile bune, Nise namona bantu anga miti zikuenda. 
MRK.8.25	Kububo abikile lingo ma­boko mage ku meiso mage; nu alolile kizungululu, nu onizibue, nu amonine binsania busoga. 
MRK.8.26	Nu amusingile ku numba zage, amutendile bune, Ntubase mu muino.
MRK.8.27	Nu Yesu endile na beigisibua bage mu mino za Kaisalia Filipo: abuzizie beigisibua bage mu nzila, bune, Bantu bekutenda buno, nili nazi? 
MRK.8.28	Nu bamutendile bune, Yoana Mubatizi; nu bango buno, Eliya; bango buno, umozi wa balengania. 
MRK.8.29	Nuwe ababuzizie buno, Tondo inyue mukutenda nili nazi? Petelo amuakuide bune, Uwe u Klisto. 
MRK.8.30	Nu abakakizizie buno, taba­sambalile muntu umozi musagu wage. 
MRK.8.31	Nu alingile kubeigisia buno, buatunganana Muana wa muntu kubabazibua bubibu, nu kusombua na bakulu, na basankoga nu na basanzi, nu kuitua, nu kusila kua bindi bisatu nti ayuke. 
MRK.8.32	Nu ntana kiampa kiabisile. Nu Petelo amulutile, nu alingile kumuzugila. 
MRK.8.33	Tondo agalukile, nu alolile beigisibua bage, azugide Petelo, nu amutendile bune, Enda kumbusa kuane, Satana; kubuno ntukukengela bitondo bia Kalaga, tondo bia bantu. 
MRK.8.34	Nu amanine musanganano, nu beigisibua bage, nu abatendile bune, Ndi muntu ekutunda kunyanga, eitune wenyene, eke muti wa magu, nu anyange. 
MRK.8.35	Kubuno muntu unsania ukutunda konia kalamo kage akakazimizia; nu muntu unsania ukukazimizia ku kabamba kane, nu ku musagu musoga wono nti akakonia. 
MRK.8.36	Kubuno mutali mukizi wa muntu, ndi angata kisi kinsania, nu kumbusa kuzimizia kalamo kage? 
MRK.8.37	Aba muntu anagulania kikizi na kalamo kage? 
MRK.8.38	Kubuno muntu unsania ukankuaga nsoni nu ukakuaga nsoni kuidagi liane mu kibuti kikino kia butazi nu bubi, buno nuwe Muana wa muntu nti akamukua nsoni, gakavua mu lutanuno lueIsi na migenzi zage zasililila.
MRK.9.1	Nu abatendile bune, Lebelebe nkumubula buno, bamozi bemana gano, tabakakua aba nu gabakamona ku bukota bua Kalaga busavua na magala.
MRK.9.2	Nu kusila kua bindi mutuba Yesu atolile Petelo, nu Yakobo, nu Yoana, nu endile nabo gantata ga muiduko munene nabo bebenyene: nu kilungi kiage kiabagalukide; 
MRK.9.3	nu nsulu zage zakelimine, zabe­zaga zenga nunse, butanamenya mukulumizi wa ga kisi kuzengia. 
MRK.9.4	Nu babasidue na Eliya nu Mose: nu besatenda na Yesu. 
MRK.9.5	Nu Petelo akuide Yesu bune, Labi, buli busoga ndi tuikala gano: nu tobakazi nusu isatu; lumozi luobe, nu lumozi lua Mose, nu lumozi lua Eliya. 
MRK.9.6	Kubuno ntamenyaga buakuakula; kubuno bakule boba nunse. 
MRK.9.7	Nu kimpa kiabakukide; nu iyuki liatukile mu kimpa bune, Wono eli Muana wane, u Ngoli zane: munguililazi. 
MRK.9.8	Nu kazanga kongo gabagebilegebile, tabamonine ku muntu, umpanga Yesu nabo.
MRK.9.9	Nu gababezaga bese bakumba muiduko, abakakizizie bune, Tamusambalile muntu ku bumuamonakubo, aba Muana wa muntu gakayuka ku bakuzi. 
MRK.9.10	Nu bakokomezizie idagi lilio, babuzanizie buabo buabo, buno kuyuka ku bakuzi kuli buni? 
MRK.9.11	Nu bamu­buzizie bune, Kubuni basanzi bekutenda buno Eliya atunganana kulinga kuvua? 
MRK.9.12	Nu abatendile bune, Lebelebe Eliya akalinga kuvua, nu kukunga binsania: nu buni buasanzidue Muana wa muntu, buno ababazibue nunse nu kusombua? 
MRK.9.13	Tondo nkumutenda buno, Eliya avule kalazi, nu bamukitile anga bubatundaga anga buasanzilue.
MRK.9.14	Nu gabasile beigisibua bage, bamonine ku musanganano munene wabatimbikania, nu basanzi babuzanizie nabo. 
MRK.9.15	Nu kazanga kongo musanganano wamumonineko nu bangamine nunsa­nia, nu beitumine lubilo kuko nu bamusekeide. 
MRK.9.16	Nu ababuzizie bune, Buni bumukubuzania nabo? 
MRK.9.17	Nu muntu umozi mu wozo musanganano amutendile bune, Musozi, nakuvuilide na muana wane wamulume, nu abezaga na musumbu wa kaluma; 
MRK.9.18	nu gakumu­buila, nu nti amugusia; nu nti esabasa iyulo, nu kukeketa meinyo, nu ese onda: nu natendile ku beigisibua bobe buno bamutikie; nu tabavuamine. 
MRK.9.19	Nu Yesu abakuide bune, Inyue kibuti kikio kiteli na bukatizio ndi nkeikalaga neinyu kankanka? Gani ganka­kutilua? Vuazi nage kundi. 
MRK.9.20	Nu bavule nage kueli: nu gamu­monineko, kazanga kongo musumbu amugusizie nunse, nu aguide gansi, nu ebulubutizie, nu abasile iyulo. 
MRK.9.21	Nu abuzizie isi nkungu nkizi zamulingile wono musumbu? Nu amutendile bune, Kutukila ku buana buage. 
MRK.9.22	Nu mambizi meingi ekumutumbaga ga keiya nu mu mazi, buno amubigie: tondo ndi unavuama kukita, tukuile kiombo, nu tukasie. 
MRK.9.23	Nu Yesu amutendile bune, Ndi una­vuama! Bunsania bunakulungana ku wozo wakatizia. 
MRK.9.24	Kazanga kongo isi wa wozo muana alalukile, nu atendile bune, Nakatizia, nkasie ku kutakatizia kuane. 
MRK.9.25	Nu gamonine Yesu ku musanga­nano use wakundamana azanzuide wozo musumbu, amutendile bune, Uwe musumbu wa kaluma, nu kimbula matuzi, nakukakizia buno, tuka mu wono nu ntuingile mueli lingo. 
MRK.9.26	Nu alalukile, nu amugusizie nunse, nu atukile; nu abeide anga mukuzi; nu beingi batendile bune, Akua. 
MRK.9.27	Tondo Yesu amukatile geikoko, nu amu­zanzuide, nu emene. 
MRK.9.28	Nu geingide mu numba beigisibua bage ba­muvuilide ku lumbisombiso, Kubuni tatuavuamine kumutikia? 
MRK.9.29	Nu abatendile bune, Bubuno tabunamoneka tugu kute ku kusega.
MRK.9.30	Nu batukile kuko, batingile mu Galela; nuwe ntatundaga muntu kumenya bubo. 
MRK.9.31	Kubuno eigisagia beigisibua bage buno, Muana wa muntu asila kugabulua ku maboko ma bantu, nubo bamuite; nu gasile kuitua, kusila kua bindi bisatu nti ayuke. 
MRK.9.32	Tondo tabamenyinine bubo, nu bakule boba kumubuzia.
MRK.9.33	Nu babasile ku Kapenuma; nu gababeide bese mu numba, ababuzizie bune, Kikizi kimuakananizanagia mu nzila? 
MRK.9.34	Tondo beikeide kibibi: kubuno babezaga bakuakanania mu nzila buno, nazi uli munene. 
MRK.9.35	Nu ekede gansi, nu amanine babo ikumi na babili, nu abatendile bune, Ndi muntu ekutunda kuba mutangi, abe muzinda ku bansania, nu mukambi wa bansania. 
MRK.9.36	Nu atolile muana muto, nu amubikile munkatini muabo: nu amukatile geikoko, nu abatendile bune, 
MRK.9.37	Na muntu na muntu wasekela muana muto anga wono muizina liane, nti ansekela: nu wozo wansekela nti ntansekela, tondo nti asekela wozo wansingile.
MRK.9.38	Yoana amutendile bune, Musozi, tuamonine ku muntu umozi watikagia basumbu kuizina liobe; tondo tuamuzugide, kubuno ntakutuyanga. 
MRK.9.39	Tondo Yesu abatendile bune, Tamumuzugile: kubuno takuli muntu unakita mugeleko kuizina liane, nu kuntenda bubi. 
MRK.9.40	Kubuno wozo utakututuna, nti tuli nabo bumozi. 
MRK.9.41	Kubuno unsania ukamunusagia kituma kia mazi ma kunua, kubuno muli bantu ba Klisto, lebelebe nkumutenda buno, ntakaziminua na lukalilo luage lusoga. 
MRK.9.42	Nu unsania ukeinagia umozi wa ku babano bana bato bakunkatizia mutima, buatunganana akandue ikozi lia kugoga muikosi liage, nu kuisoa mu kitatenge. 
MRK.9.43	Nu ndi kuboko kuobe kuakuinia mutima, nti wakusesa; gunulumba wingila kitunga mu kalamo, kutinga kuba na maboko mabili nu kutumbua mu kiziba kia keiya katakuzimaga. 
MRK.9.44	Mukuso wabo tagukue, nu keiya takazime. 
MRK.9.45	Ndi kugulu kuobe kuakuinia mutima, nti wakusesa; gunulumba wingila kitunga mu kalamo, kutinga kuba na magulu mabili nu kutumbua mu kiziba kia keiya. 
MRK.9.46	Nu mukuso wabo tagukue nu keiya takazime. 
MRK.9.47	Nu ndi liso liobe liakuinia mutima, nti walitikia, gunulumba wingila mu bukota bua Kalaga na liso limozi kutinga kuba na meiso mabili nu kutumbua mu kiziba kia keiya; 
MRK.9.48	nu mukuso wabo tagukue nu keiya takazime. 
MRK.9.49	Kubuno na muntu na muntu nokalungua na keiya. 
MRK.9.50	Munkange uli musoga; tondo ndi munkange taguli na nse lingo, gunasuagibua na kikizi? mube na munkange mu muli, nu mube na bubobelelo bueinyu bueinyu.
MRK.10.1	Nu atukile kuko, nu abasile ku miaga za Yudaya nu ku lisilia lia Yadene: nu musanganano munene wamuendeide lingo, nu abeigisizie lingo anga buagomezie.
MRK.10.2	Nu baFalese bamuvuilide kumubuzia bune, Ndi buakulungana ku mulembe muntu kutikia mukikulu wage? bamulindikile. 
MRK.10.3	Nuwe abakuide bune, Buni buamukakizizie Mose? 
MRK.10.4	Nu bamutendile bune, Mose atusengezizie kusanza mukanda wa kuita isonga, nu nti wamutikia. 
MRK.10.5	Tondo Yesu abatendile bune, Ku bubibu bua mitima zeinyu amusanzide kuko kukakizia. 
MRK.10.6	Tondo kutukila kulinga kua kubumbua kua kisi, mubumbi abumbile wamulume nu mukikulu. 
MRK.10.7	Kubuno muntu akasiga isi nu nina, nu akalandana na mukikulu wage; 
MRK.10.8	nubo babili bakaba mubili umozi; aba tabeli babili lingo, tondo beseli mubili umozi. 
MRK.10.9	Umpanga kikio kiakulumanizie Kalaga, muntu ntanakilekanukia. 
MRK.10.10	Nu mu numba beigisibua bage bamubuzizie lingo kitondo kikio. 
MRK.10.11	Abatendile bune, Unsania ukatikagia mukikulu wage, nu kusonga ungo, nti amuitila meiga: 
MRK.10.12	nu ndi mukikulu wenyene atuka kuiba wage, nu kusongua nongo, nti eita meiga.
MRK.10.13	Nu bamuvuilide na bana bato, buno eitubie kubeli: nu beigisibua babazugide. 
MRK.10.14	Tondo gamonine Yesu ku bubo, ongilue, nu abatendile bune, Sigazi bana bato bavue kundi; tamunabazugila: kubuno beli anga babano bukota bua Kalaga buli buabo. 
MRK.10.15	Lebe­lebe nkumubula bune, Unsania uteitabizia bukota bua Kalaga anga muana muto, ntakeingila nunse mubo. 
MRK.10.16	Nu abalelile, nu abikile maboko gantata gabo, nu abakitile mponga.
MRK.10.17	Nu gendaga mu nzila, muntu umozi eitumine lubilo kueli, nu amukomine mazu, amubuzizie bune, Musozi Musoga, buni bunikita nipiene kalamo katanakuzinda? 
MRK.10.18	Nu Yesu amutendile bune, Buni bukumana musoga? Takuli umozi musoga tugu Kalaga wewenyene. 
MRK.10.19	Wizi makakizio buno, Ntuite, Ntuite meiga, Ntuibe, Ntueke munyobe buza, Ntuengelele, Anza so nu nyoko. 
MRK.10.20	Nu amutendile bune, Musozi nanzile mamano mansania kutu­kila ku kubutua kuane. 
MRK.10.21	Nu Yesu gamulolile amutundile, nu amutendile bune, Wagelelua ku bumozi tugu: enda, ukunzie binsania biguli nabio, ubikase bazambi, bubo ukaba neisuku mui­gulu: nu uvue unyange. 
MRK.10.22	Tondo abeide na kabebe ku bubo, nu endile: kubuno abezaga na bikulo bingi.
MRK.10.23	Nu Yesu alolile ku ntungo insania nu atendile beigisibua bage bune, Kuingila kua bagumi mu bukota bua Kalaga kuli kubibu! 
MRK.10.24	Nu beigisibua bangamine na bubo buatendile. Tondo Yesu abakuide lingo bune, Bana, kuingila kua babo bakulemanina bikulo mu bukota bua Kalaga kuli kubibu! 
MRK.10.25	Buli neibineibi ngamia kuingila muitengu lia nsinge, ku mugumi kuingila mu bukota bua Kalaga. 
MRK.10.26	Nu babo bangamine nunse, nu bamutendile bune, Umpanga nazi unavuama konibua? 
MRK.10.27	Yesu abalolile, nu atendile bubo, Bubuno tabunakulungana ku bantu, tondo bunakulungana ku Kalaga; kubuno bunsania bunakulungana ku Kalaga. 
MRK.10.28	Petelo alingile kumutenda bune, U nguilila, isue tuasigile binsania, nu tuakuyangile. 
MRK.10.29	Yesu atendile bune, Lebelebe nkumubula bune, Takuli muntu wasigile numba zage, aba bato bage, aba babitu bage, aba nina, aba isi, aba bana, aba masoa, ku kabamba kane, nu ku kabamba ka musagu musoga, 
MRK.10.30	tondo atalikilue mambizi lukama ku nkungu zeno, numba, nu bato bage, nu ba nina, nu bana, nu masoa, na mbabazio; nu mu nkiko zikavua kalamo katanakuzinda. 
MRK.10.31	Tondo beingi balingaga bakaba bazinda; nu beingi bazindaga bakaba batangi.
MRK.10.32	Nu babezaga mu nzila, bendile ku Yelusalema; nu Yesu abatangile: nu bangamine; nu babo bamuyangaga bakule boba.
MRK.10.32	Nu atolile lingo babo ikumi na babili, nu alingile kubasambalila bibio biamubasile, 
MRK.10.33	atendile bune, Unguililazi, tuabakama ku Yelusalema; nu Muana wa muntu agabulue ku basankoga banene nu ku basanzi; nu bamusungie buno akue, nu bamugabule ku baBilongo: 
MRK.10.34	nu bamuililike, nu kumusuila matazi, nu kumusu­sula, nu bamuite; nu kusila kua bindi bisatu nti ayuke.
MRK.10.35	Nu Yakobo nu Yoana, bana ba Zebedayo, bamuvuilide, nu bamutendile bune, Musozi, tukutunda utukitile butukukusega. 
MRK.10.36	Nu abatendile bune, Mukutunda nimukitile buni? 
MRK.10.37	Nu bamu­tendile bune, Utuitabizie umozi kuikala ku kuboko kuobe kua seidume, nu ungo ku kuboko kuobe kua seikazi, mu lutanuno luobe. 
MRK.10.38	Tondo atendile bune, Tamuizi kimukusega. Ndi munavuama kunua ku kituma kikio kinkunua kukio? aba bubatizio bunkuba­tizibua? 
MRK.10.39	Nu bamutendile bune, Tunavuama. Nu Yesu aba­tendile bune, Muanue ku kituma kinanue kukio; nu bubatizio bunkubatizibua muabatizibue mubo; 
MRK.10.40	tondo kuikala ku kuboko kuane kua seidume aba ku kuboko kuane kua seikazi nsinavuama kumukasa; tondo kuikala kuko kuli bantu balongekeidue. 
MRK.10.41	Nu gongule babo ikumi ku bubo, bongedue Yakobo nu Yoana. 
MRK.10.42	Nu Yesu abamanine, nu abatendile bune, Muizi buno bakota ba ba­Bilongo bekubangata; nu bakota babo bakubakitia. 
MRK.10.43	Tondo tabubo gamusamba: tondo unsania ukutunda kuba munene, abe mukambi wa banyage; 
MRK.10.44	nu unsania ukutunda kuba mutangi gamusamba, abe mukambi wa bansania. 
MRK.10.45	Kubuno Muana wa muntu ntavule kukambilua, tondo kukamba, nu kukasana kalamo kage kuba bukuluzi bua beingi.
MRK.10.46	Nu babasile ku Yeliko: aba gabezaga esatuka ku Yeliko, gamozi na beigisibua bage nu musanganano munene, muana wa Timayo, izina liage Batimayo, wozo musegi kiuku, abezaga muntungo mua nzila. 
MRK.10.47	Nuwe gongule buno Yesu wa Nazaleta alingile, kulaluka neiyuki inene, nu atendile bune, Yesu, muana wa Davidi, nkue kiombo. 
MRK.10.48	Nu beingi bamuzugide buno, eikale kibibi: tondo eitide kulaluka neiyuki inene bune, Uwe Muana wa Davidi, nkue kiombo. 
MRK.10.49	Nu Yesu emanukile, nu amutendile bune, Mumanazi. Nu bamanine wozo kiuku, nu bamutendile bune, Kokomezia mutima: emanuka, ekukumana. 
MRK.10.50	Nu we ateide nsulu zage, emanukile, nu avule ku Yesu. 
MRK.10.51	Nu Yesu amuakuide bune, Kikizi kiukutunda nikukitile? Nu wozo kiuku amutendile bune, Laboni, nkutunda namona. 
MRK.10.52	Nu Yesu amutendile bune, Enda tugu; bukatizio buobe buakonia. Nu kazanga kongo amo­nine, nu amuyangile mu nzila.
MRK.11.1	Nu gababasile buigi na Yelusalema, nu kubasa Betepage nu Betania, ku muiduko wa Oleve, asingile beigisibua bage babili, 
MRK.11.2	nu abatendile bune, Endazi ku muino uli luabusio lueinyu: nu kazanga kongo gamuabase mugo, muamone ku muana wa mpunda asuikua, utetetelagua geli, nti muazisula, nu nti muavua nazo. 
MRK.11.3	Nu ndi muntu amubuzia bune, Kimukukitila bubo? mua­mutenda buno, Mukota akuiyaninazo; nu kazanga kongo azisinge kuno. 
MRK.11.4	Nu bendile, nu bamonine ku wozo muana wa mpunda asuikua ga muingilo kumbuga kua numba; bazisulile. 
MRK.11.5	Tondo kuabezaga kuemana bantu bamozi babatendile bune, Kikizi kimu­kusulila zezo mpunda? 
MRK.11.6	nu babatendile anga buabalagile Yesu: nu babasigile. 
MRK.11.7	Nu bavule na wozo muana wa mpunda ku Yesu, nu babikile nsulu zabo gantata gazo; nu eikede gantata gazo. 
MRK.11.8	Nu beingi banzile nsulu zabo mu nzila; nu bango banzile ntabi za miti zibasesaga mu masoa. 
MRK.11.9	Nu babo bendaga luabusio, nu babo bamuyangaga, balalukile neiyuki bune, Hosana; mbogimbogi ku wozo ukuvua muizina lia Mukota; 
MRK.11.10	mbogimbogi ku bukota bukuvua ku buangato bua tateisue Davidi, Hosana mu meigulu.
MRK.11.11	Nu abasile ku Yelusalema, mu numba za kukumbamina Kalaga; nu gasilile kulola binsania kundenge insania, kubuno zabezaga nkungu zeigolo endile ku Betania neikumi na babili.
MRK.11.12	Nu gabeide nindunindu, gabatukile mu Betania, akule na nzala, 
MRK.11.13	Nu amonine ku muti wa figi bulazi uli na nsamba, endile buno, embe anamona biguma kugo: nu gabasile gago, ntamonine kampa tugu nsamba; kubuno tazabezaga nkungu za kukolama biguma. 
MRK.11.14	Nu akuide bune, Kutukila lelo aba nu ku nkiko zitana­kuzinda, muntu ntakalia ku biguma biobe, nu beigisibua bage bongule ku bubo.
MRK.11.15	Nu babasile ku Yelusalema; nu eingide mu numba za kuku­mbamina Kalaga, nu alingile kuimbia babo bakunzagia nu bakunzaga mu numba zezo, nu eidukizie meza ma bagulania ba falanga, nu bisumbi bia bakunzia ba nkulimba; 
MRK.11.16	nu ntazigile muntu kuvua na kena mu numba za kukumbamina Kalaga. 
MRK.11.17	Nu abeigisizie bune, Ndi tabuasanzilue bune, Numba zane zikamanua numba za masego ku babilongo bansania? Tondo inyue muazigalukia anga numba za banyagi.
MRK.11.18	Nu basankoga banene nu basanzi gabongule ku bubo, balondile bubamuita: kubuno bamukule boba, kubuno musanganano unsania wangamine na meigisia mage.
MRK.11.19	Nu busi na busi muigolo endaga kuisula lia muino.
MRK.11.20	Nu gababezaga bese batinga nindunindu, bamueine ku wozo muti wa figi woma kutukila ku mizi aba nu ku ntabi. 
MRK.11.21	Nu Petelo akengeide bubo buatendile, nu atendile bune, Labi; lola, wozo muti wa figi uwasuililagile woma. 
MRK.11.22	Nu Yesu abakuide bune, Mube na bukatizio ku Kalaga. 
MRK.11.23	Lebelebe nkumubula bune, Unsania ukatendaga buno muiduko wono bune, Tutumuka nu wiyise mu kitatenge; ntabe na kangonongono mu mutima wage, tondo akatizie buno, bubo buatendaga buakitue, nu amone ku bubo buatendaga. 
MRK.11.24	Tondo ububo bunkumubula bune, Binsania bimukutunda bise­gazi, mukatizie buno muabimone, nu biabe bienyu. 
MRK.11.25	Nu gamu­kuemana ku masego, sigilinanazi, ndi uli na kitondo ku munyobe; bubo Soinyue uli muigulu amusigilile misako za buagi bueinyu. 
MRK.11.26	Tondo ndi inyue tamukusigilila, Soinyue uli muigulu ntamusigilile misako za buagi bueinyu.
MRK.11.27	Nu babasile ku Yelusalema lingo: nu gatabangaga mu numba za kukumbamina, basankoga banene, nu basanzi, nu bakulu bamu­vuilide; 
MRK.11.28	nu bamutendile bune, Ku buangato bukizi bukukitila ku bubuno? 
MRK.11.29	Nu Yesu abatendile bune, Nne nkumubuzia bumozi, nu muanakulebo, nti namubula nunne buangato bunku­kitila ku bubo. 
MRK.11.30	Bubatizio bua Y oana buatukile muigulu, aba ku bantu? Nakulazi. 
MRK.11.31	Nu babuzanizie buabo buabo, batendile bune, Ndi tuatenda buno buatukile kuigulu; nti atenda buno, Kubuni tamuamukatizizie? 
MRK.11.32	Tondo ndi tuatenda buno, Buatu­kile ku bantu-bakule bantu boba: kubuno bansania bakukatizia buno Yoana eli mulengania. 
MRK.11.33	Nu bakuide Yesu bune, Tatuizi. Nu Yesu abatendile bune, Nunne lingo nsikumubula ku buangato bukizi bunkukitila ku bubuno.
MRK.12.1	Nu alingile kubeisa misumo. Muntu umozi ayikile isoa lia mizigi za biguma, nu atimbizie mukolo, nu ombile itengu lia kuyika biguma bia mizigi, nu akitile numba kuigulu za mulangi, nu endile mu kingo kisi. 
MRK.12.2	Nu mu nkungu za kukola asingile mukobe ku bakambi buno, embe anamona ku biguma ku bakambi beisoa. 
MRK.12.3	Nu bamukatile, nu bamususuide, nu bamusubizie nteli na kampa. 
MRK.12.4	Nu asingile lingo ungo mukobe; nu bamusumitile kuitoe nu bamubabazizie nunse. 
MRK.12.5	Nu asingile ungo; nu bamuitile: nu bango beingi babalibuide nu bango babeitile. 
MRK.12.6	Tondo abezaga na ungo, umozi tugu, muana wage watunda: nu amusingile kubeli, nu atendile bune, Embe bananza muana wane. 
MRK.12.7	Tondo babo bakambi batendile bune, Wozo umupieni wage, vuazi, tumuitazi, nu tupiene bupieni buage. 
MRK.12.8	Nu bamukatile, nu bamuitile, nu bamuisile ku lutikilo luisoa. 
MRK.12.9	Nu buni bukakita wozo mukota weisoa lia biguma? akavua nu akabigia bakambi, nu akakasa bango lilio isoa. 
MRK.12.10	Ndi tamuasomine ku masanzo mamo:
MRK.12.10	Ikozi liasombagua na bobaki,
MRK.12.10	Uliabede ikozi inene lia kapindapinda;
MRK.12.11	Bubo buatukile ku Mukota,
MRK.12.11	Nubo bukutuganiagania?
MRK.12.12	Nu balondile bubamukata; tondo bakule musanganano boba; kubuno bamenyine wozo musumo wabeisaga: bamusigile, nu bendile.
MRK.12.13	Nu bamusingide baFalese bamozi nu baHelode, bavule bubanamukandika bitondo. 
MRK.12.14	Nu gabasilile, bamutendile bune, Musozi, tuizi buno uli bulili, nu ntukuikutia ku kitondo kia muntu umozi; kubuno ntukulola ku kilungi kia bantu, tondo ukuigisia meigisia ma Kalaga mu bulili: Ndi buakulungana ku mulembe kuliga idigo ku Kaisa, aba kutaliga? 
MRK.12.15	Tumukase, aba tatumu­kase? Tondo amenyine kuengelela kuabo, abatendile bune, kubuni kumukundindikila? Vuazi na falanga zeidigo, buno nizimoneko.
MRK.12.16	Nu bamuvuilide nazo, nu ababuide bune, Kikino kisusania nu mamano masanzo bili bia nazi? Nu bamutendile bune, Bili bia Kaisa. 
MRK.12.17	Nu Yesu abatendile bune, Kasazi Kaisa bia Kaisa, nu ku Kalaga bia Kalaga. Nu bangamine nage nunse.
MRK.12.18	Nu Basodoke bamuvuilide, babo bakutendaga buno, takuli iyukilo; bamubuzizie bune, 
MRK.12.19	Musozi, Mose atusanzide buno, Ndi iselenzi wa muntu akua, nu kusiga mukikulu, nu ndi ntasiga muana, nti muto wage ayana wozo mukikulu, nu abutile iselenzi bana. 
MRK.12.20	Mutuli muabezaga mutuba kamo bandemozi: nu mutangi asongile mukikulu nu akule ntasigile bana; 
MRK.12.21	nu wababili amuyanine, nu akule, nuwe ntasigile bana; nu wozo wa basatu bubo nuwe: 
MRK.12.22	nu babo bansania mutuba kamo, tabasigile bana. Nu bubo, nuwe mukikulu akule. 
MRK.12.23	Muiyukilo wozo mukikulu akaba wa nazi? kubuno babo mutuba kamo bamusongile. 
MRK.12.24	Yesu abatendile bune, Ndi tamukuibaga bubuno, kubuno tamuizi ma­sanzo, aba magala ma Kalaga. 
MRK.12.25	Kubuno gabakayuka ku bakuzi, tabakasonga, aba tabakasongua; tondo babe anga migenzi za mui­gulu. 
MRK.12.26	Tondo ku kitondo kia bakuzi buno bakayuka; ndi tamu­somaga mu mukanda wa Mose ku kitondo kia kiziki kia guluminaga keiya mu muti, buamutendile Kalaga bune, Nne nili Kalaga wa Abalahama, nu Kalaga wa Isaka, nu Kalaga wa Yakobo? 
MRK.12.27	We nteli Kalaga wa bakuzi, tondo wa balami: bubo mukuibaga nunse.
MRK.12.28	Nu umozi wa ku basanzi abasile, nu ongule kubakutenda, nu amenyine buno abakula busoga, amubuzizie bune, Kukakizia kukizi kutangi? 
MRK.12.29	Yesu atendile bune, Kutangi ukukuno, Unguilila Isalele, wozo Mukota, Kalaga weitu, eli Mukota umozi tugu: 
MRK.12.30	nu tunda Mukota, Kalaga wobe na mutima wobe unsania, nu mu kalamo kobe kansania, nu mu menge mobe mansania, nu na magala mobe mansania.
MRK.12.31	Nu kuibili kuli bubo, Tunda munyobe anga buwi­tunda uwenyene.
MRK.12.32	Nu musanzi amutendile bune, Bulili, Musozi, watenda buligo, buno Kalaga eli umozi tugu aba takuli ungo, tugu we: 
MRK.12.33	nu nti wamu­tunda mu mutima wobe unsania, nu mu menge mobe mansania, nu na magala mobe mansania, nu kutunda munyobe anga buwitunda uwenyene buatinga kayulo kakugisibua nu bisansa binsania. 
MRK.12.34	Nu gamonine Yesu buno atendile na menge, amutendile, Uwe ntuli bulazi na bukota bua Kalaga. Nu takuli muntu wagelekile kumu­buzia lingo.
MRK.12.35	Nu Yesu akuide geigisagia mu numba za kukumbamina bune, Kubuni basanzi bekutenda buno Klisto eli muana wa Davidi? 
MRK.12.36	Kubuno Davidi wenyene atendile mu magala ma Muuza Wasililila bune,
MRK.12.36	Mukota atendile ku Mukota wane,
MRK.12.36	Ikala ku kuboko kuane kua seidume,
MRK.12.36	Aba nu ganangate beiti bobe. 
MRK.12.37	Davidi wenyene amumanine Mukota; nu buni bueseli muana wage? Nu bantu beingi ba wozo musanganano munene bamungui­lide na mbogimbogi.
