MAT.1.1	Niján jíri linébaanfaangu Jesucrístu le jádaangiñebei meja ladǘgawagun Davíd lúma Abrahám.
LUK.13.34	—¡O jugúya Jerusalénna! Áfaragua jumáaña profétagu, chǘgua jugúya dǘbü jawágun ja loúnajabaña Búngiu láu ugánu buíti jun! ¡Sarágu weíyaasu nálugun natoúnigirunün quei tatoúnigiruniña gáyu tirájüñü lábugiñe tarǘna, májatün! 
LUK.13.35	Ígira láadün Búngiu, áni naríñajare jun luágu maríjindügüya jumáadina lan daríme lachǘlürün dan lun jaríñagun. “Biníwati le ñǘbinbei lídan líri Wabúreme.”
LUK.14.1	Luágu ában wéyu le eméraaguagülei, ába lídin Jesúsu eíga lúbiñe ában fariséo weíriguti, sun ja ñíbaña, jaríaguñein Jesúsu. 
LUK.14.2	Ñíñein gíñe ában wügǘri láu sándi le ílu, 
LUK.14.3	ábati lálügüdüniña Jesúsu arúfudajatiña lilúrudun Moisés jáma fariséogu, laríñaga joun.
LUK.14.3	—¿Gayáraati lareídawaguágüdün ában wügǘri lídan wéyu le eméraaguagülei ódi siñáti?
LUK.14.4	Ába jeréderun maníñu. Ábati lanǘgüni Jesúsu sánditi ligía, ába lareídaguagüdüni, ába laríñagun lun lun lídin. 
LUK.14.5	Ába laríñagun joun fariséogu.
LUK.14.5	—Furúmieguarügü jídaangiñe, ánjein eíguada lilǘgün bágasu o lilǘgün lan burígü lídoun ában wélu lídan wéyu le eméraaguagülei, laságarubei ñígiñe furése.
LUK.14.6	Maríñagun jáña ni cáta.
LUK.14.7	Dan le laríjini Jesúsu janúadajani amísurajoútiña ubáraü buri le joúnbei ja weírigubaña, ába laríñagun joun.
LUK.14.8	—Dánme le bamísurajoún lídoun ában fédu lánina maríei, máluajabeí lubuídun-ágei ubáraü, ñǘbin liñeín ábanya amísurajoúti weírigutimáati bueí, 
LUK.14.9	ábame liábin le amísurajabalün, laríñagame bun. “Rúbei bubára lun wügǘri le.” Ábameti bídin láu busíganu añúura lídan lǘnabun-ágei ubáraü. 
LUK.14.10	Dánme le bamísurajoún lídoun ában fédu, ñurúba lídan lǘnabun-ágei ubáraü, lun dánme lan le liábin le amísurajabalibu, laríñagame bun. “Numáda, sügǘba lídoun ában ubáraü weírigutimaati.” Ítara lúba berésibirun inébesei jagíbugiñe sun ja ñúnbaña luágu dábula. 
LUK.14.11	Le anáanguti lúngua weíri, lǘnabudúba, le ǘnabuti lanáangun lúngua, weíribei lanügǘn.
LUK.14.12	Aríñagati gíñe lun wügǘri le amísurajabalin.
LUK.14.12	—Dánme le bíchugun ában adíneruni o fédu, mamísuraja báña bumádagu, ni bamúlenu, ni bíbugañanu, ni jíbiri bidújeñu, ni bubésinanigu ja rísitiña, ladǘga jamísurajabadibu gíñe, bibíjubati bafáyeiruaja. 
LUK.14.13	Dánme le badǘgün fédu, amísuraja báña gudémetiña, siñáguatiña úngua, danímaatiña, maríjintiña. 
LUK.14.14	Ábame gúnda ban, ladǘga siñáti jafáyeirunibu, bibíjubeiti bafáyeiruaja lídaanme le jásaarun ja richáguabaña ligíbugiñe Búngiu lídaangiñe oúweni.
LUK.14.15	Dan le lagáambunbalin ában jádaangiñe ja ñúnbaña luágu dábula cátei le, ába laríñagun lun Jesúsu.
LUK.14.15	—Gúndaabaña gürígia ja eígibaña lídan larúeijan Búngiu.
LUK.14.16	Ábati laríñagun Jesúsu lun.
LUK.14.16	—Ñíñein ában wügǘri, íchuguti ában oúnwenbun adíneruni, ába loúnajan amísuraja sarágu gürígia. 
LUK.14.17	Óra lun adíneruni, aba loúnajani lumúsun aríñaga joun amísurajoútiña. “Queímoun, aráanseeli sun cátei.” 
LUK.14.18	Súngubei, ába jaríñagun luágu siñá lan joúdin. Laríñaga furúmiñeti. “Sun líña nagáñijan ában fulásu, mósu nídin aríjei, ferúduna bána, siñáti nídin.” 
LUK.14.19	Laríñaga ában. “Agáñijaadina seíngü féru bágasu lánina wadágimanu, neíbuga oúchaña, adǘgabá fuleísei nun, ferúduna bána, siñáti nídin.” 
LUK.14.20	Laríñagaya ában. “Sun líña namárieidun, ligía siñá lubei nídin.” 
LUK.14.21	Dan le lagíribudun músu, ába labájüdaguni sun cátei le lun liyúbudiri. Ábati lagáñidun liyúbudiri, ába laríñagun lun músu. “Beíba lídan sun ǘma le ubúrugubei, banǘgañame gudémetiña, siñáguatiña úngua, danímaatiña, jáma maríjintiña.” 
LUK.14.22	Lárigiñe ladǘgüni, ába laríñagun músu lun liyúbudiri. “Nabúreme, adǘga náali le bubeíbei nun, níjein mémegua ubáraü.” 
LUK.14.23	Ábati laríñagun iyúbudiri lun músu ligía. “Beíba lídan sun ǘma boúgudin lueí ubúrugu, lúma sun fulásu geyégua láu, ábame bafósuruniña sun ja badárirun lun jayábin lídoun nufédun, buin támuga núban. 
LUK.14.24	Ladǘga naríñajare jun luágu úabei lan ni ában jádaangiñe ja namísurajabaña eígiti lídan nadíneragüdün.”
LUK.14.25	Sarágu jáña gürígia afálaruti Jesúsu, ába lagáraragun, ába laríñagun joun.
LUK.14.26	—Siñáti nánigubei lan le jínsiñejabutimaati lun lúguchi, o lúguchu, o lúmari, o lisáanigu, o líbugañanu jáma lamúlenu, o lítunu, o libágari guánarügü, sügǘ náu. 
LUK.14.27	Le gíñe májabei lasúfurirun nueígiñe queísigubeirügü jamúga ában wügǘri le anǘgüti lugúruwan, siñáti náni lan disípulu. 
LUK.14.28	Ánjein arítagua ában jídaangiñe ladǘgün ában wáyelesi, ¿ma funági lañúuruba furúmiñe asáminara átiribei lan lagástarun lun laríjini ánjein gabáfu lubeí lun lagúmuchuni? 
LUK.14.29	Ladǘga ánjein líchiga ébuu, lárigiñeme lásiñerei wadágimanu agúmucha, jéjerajaba ja aríjubalin láu, 
LUK.14.30	jaríñagame. “Guméseti wügǘri le ában wadágimanu, siñá lumuti agúmucha.” 
LUK.14.31	Ánjein lawúribuja lubeí ában urúei lúma ámu urúei, ¿ma funági ñurúti furúmiñe lun lasáminarun ánjein gayáraabei lubeí lageíndagun jáu díisi mílu súdaara lúma le jáubei wein mílu? 
LUK.14.32	Ánjeinti arítagua luágu siñábei lan, dánme le dísegili le ában urúei, ábame loúnajan aríñaga lun lun mawúribujan jamá, lun jebélurun lídoun idíli. 
LUK.14.33	Ítara líña lubeíti, furúmieguarügü jídaangiñe le mígirunti sun le lúmabei lun lafálarunina, siñáti nánibei lan disípulu.
LUK.14.34	‘Buíti sálu, ánjein leféridira lubásuan, ¿cábagi un ju lan? 
LUK.14.35	Mabuídunjali ni lun lábunawagún nádü lídan, ni lun lidérebugu múa, fíwarügaalime. Agáamba jumána, jugúya le garígeirugubei lun jagáambun.
LUK.15.1	Luágu ában wéyu, ába jayárafadun sarágu agúburajatiña liseínsuna gumádi jáma gafígountiña lun Jesúsu lun jagáambuni. 
LUK.15.2	Ába jadímurejan fariséogu jáma arúfudajatiña lilúrudun Moisés luágu Jesúsu lueígiñe cátei le, jaríñaga.
LUK.15.2	—Wügǘri le, resíbi lumútiña gafígountiña, jou ligía jáma.
LUK.15.3	Ábati líchuguni Jesúsu jémpulu le joun, laríñaga.
LUK.15.4	—¿Ca jídaangiñe, lun jamúga galǘgüniña lan san mudún, leféridira ában jádaangiñe, mígirun lubáña gádürü-wein-díisi-néfu ñi, lubárua, lun lídin áluajoun mudún to eféridiruboun? 
LUK.15.5	Dan le ladárirunun, ába lanǘgünun légewagu láu ugúndani. 
LUK.15.6	Dan le lachǘlürün lúbiñoun, ába loúndaruniña lumádagu jáma lubésinanigu, laríñaga joun. “Gúnda jumá úara núma, ladǘga darína nilǘgün mudún tó yebe eféridiruboun nueí.” 
LUK.15.7	Naríñajare jun luágu ítara méme líña weíritima lan ugúndani siélu luágu ában gafígounti le asáansiruti luríban ligáburi lun lafálaruni Búngiu, sügǘ láu jawágu gádürü-wein-díisi-néfu gürígia richágutiña ligíbugiñe Búngiu ja memégeirunbaña jasáansiruni jagáburi.
LUK.15.8	‘¿Ca wǘri to níjeinti jamúga díisi murúsun seínsu túma, leféridira ában lídaangiñe tueí, lun mébedun tan lámpu, ába tabuídajanun múna áluajei buídu darí lun tadáriruni? 
LUK.15.9	Dan le tadáriruni, ába toúndaruniña tumádagu jáma tubésinanigu, taríñaga joun. “Gúnda jumá núma, ladǘga darína seínsu lé yebe neféridirubei.” 
LUK.15.10	Naríñajare jun luágu ítara líña lan gíñe ugúndani jádan láni Búngiu ánjeligu luágu ában gafígounti le asáansiraguti luríban ligáburi lun lafálaruni Búngiu.
LUK.15.11	Rúlumuti gíñe Jesúsu jémpulu le joun, laríñaga.
LUK.15.11	—Ñíñein méja ában wügǘri jáu bián lirájüñü. 
LUK.15.12	Ába laríñagun le amúleñein lun lúguchi. “Núguchi, rúbei alágan le yúbei nun nun guetó.” Ába lafánreinjani úguchili alágan jádan biángubei. 
LUK.15.13	Málüti lueígiñe, ába loúndaruni amúleñein sun lumégegun, ába lídin díse lídoun ámu fulásu, ába lagástaruni liseínsun ñi lídan ában ibágari mabuídunti. 
LUK.15.14	Dan le gumújali sun liseínsun, ába ladágarun ában lemégeirun eígini lídan fulásu ligía, ába ladáiragun lúngua lídan ában oúnwenbun mégei. 
LUK.15.15	Ábati lídin áluaja wadágimanu lúma ában lílana fulásu ligía, ába loúnajani wügǘri ligía oúnigiraña lilǘgüniña büíruju. 
LUK.15.16	Weíriti liláma darí lun lawámadun lun lun leígini jeígin büíruju, míchugúnwati lun. 
LUK.15.17	Ábati lasáminarun, laríñaga lúnguarügü. “¡Sarágu ñadágimeintiña lúbiñe núguchi ígiraguati eígini joun, áu ya, oúwe niláma! 
LUK.15.18	Nagíribuda le ñíjin lubeí núguchi, naríñagame lun. Núguchi, afígounjaadina ligíbugiñe Búngiu lúma bigíbugiñe. 
LUK.15.19	Madǘnaali lun nanáangun núngua quei biraǘ, barǘbana quei ában jádaangiñe ñadágimeintiña búma.” 
LUK.15.20	Ába lárügüdün ǘma lun lagíribudun lúbiñoun lúguchi.
LUK.15.20	‘Dísegi líña, ába laríjini úguchili irájü le, ába lagúdemedun lun. Ába leíbaagun lubároun, ába loúburuni, ába lachúuruni. 
LUK.15.21	Ábati laríñagun isáani lun. “Núguchi, afígounjaadina ligíbugiñe Búngiu lúma bigíbugiñe, madǘnaali lun nanáangun núngua quei biraǘ.” 
LUK.15.22	Ába laríñagun úguchili joun lumúsuniña. “Sagájumoun tubuídun-ágei anáanguni furése, daǘguagüda jumeí. Daǘjuma giñe ában bágü luágu lújabu túma geídi luágu lugúdi. 
LUK.15.23	Áfara jumeí liraǘraü bágasu le dibúnetimaabei. ¡Weíga, eféduja wagíame!, 
LUK.15.24	ladǘga niraǘ le, rúnaali yebe quei jiláali áni chülǘguaya, féridijalí yebe áni daríwama.” Ába jagúmeserun eféduja.
LUK.15.25	‘Súnti buga dan le, níjeinti buga íbugañaü áraabu. Dánti le lagíribudun, dan le lachǘlürün tubádun múna, ába lagáambuni áfaruni lúma abínajani. 
LUK.15.26	Ábati lagúarun lun ában jádaangiñe músu, ába lálügüduni ca lan susérebei. 
LUK.15.27	Ába laríñagun lun. “Chülǘjali bamúlen, áfaragüdalá búguchi liraǘraü bágasu le dibúnetimaabei, ladǘga lachǘlürün láu magádiei.” 
LUK.15.28	Ába lagáñidun íbugañaü, májaali lebélurun. Ába láfuridun lúguchi, ába layúmuragun lun lun lebélurun. 
LUK.15.29	Ába laríñagun lun lúguchi. “Subúdi bumúti luágu seríwijadina lan bun sarágu dan, madǘraagunganeí le bubeíbei ni ában weíyaasu, míchugidibu ni ában liraǘraü gábara nun lun nefédujan jáma numádagu. 
LUK.15.30	Guetóti, láu liábin biraǘ le, le achágarubalin biseínsun jáma würíña wuríbatiña, ¡áfaragüdabá bágasu le dibúnetimaabei!” 
LUK.15.31	Ábati laríñagun úguchili lun. “Niraǘ, amǘrü númañadibu súnwandan, sun le náni, báni. 
LUK.15.32	Ánjein guetó, lúnti wadǘgün fédu lúma lun wagúndaarun ladǘga bamúlen lé yebe rúwamaalíbei quei jiláali, chülǘguaya, féridijalí yebe, áni daríwama.”
LUK.16.1	Aríñagati gíñe Jesúsu joun láni disípulugu.
LUK.16.1	—Ñíñein méja ában iyúbudiri rísiti, ñíñein gíñe ában loúniri lumégegun, ába jayábin aríñaga lun luágu lachágaruñein lan oúnigiruti ligía lirísin. 
LUK.16.2	Ábati lagúarun iyúbudiri lun, ába laríñagun lun. “Ída liñásan cátei le, le aríñawagúbei nun buágu? Rúba fe nun luágu buwádigimari, ladǘga masígijadibu oúnigirei nílagu.” 
LUK.16.3	Ábati leréderun oúnigiruti ligía asáminara, laríñaga lúnguarügü. “¿Cábati nadǘga guetó lárigiñe gidála lan niyúbudiri wadágimanu nueí? Méretina lun nadǘgün wadágimanu jǘrüti, áni nibúsigaritina lun namúriajan. 
LUK.16.4	Subúdi náali cába lan nadǘga lun ñí jama erésibirutina jábiñe dánme mawádigimarijadina.” 
LUK.16.5	Ába loúnajan jawágu ja adúweirubalin liyúbudiri lun jayábin lun ában ában. Ába lálügüdüni le furúmiñeti, laríñaga lun. “¿Átiri badúweiruni niyúbudiri?” 
LUK.16.6	Ába laríñagun lun. “Dúwei numúti san barín agǘlei.” Ábati laríñagun oúnigiruti ligía lun. “Nuján bigáradan, ñurúba furése, badǘgame ában luágurügü dimí-san.” 
LUK.16.7	Lárigiñe, ábaya lálügüdün ában, laríñaga lun. “Ángi amǘrü, ¿átiri badúweijan?” Laríñaga lun. “San ságü türígu.” Laríñagati lun. “Nuján bigáradan, adǘgabá ában luágurügü gádürü-wein.” 
LUK.16.8	Ába lasúbudiruni iyúbudiri luágu chu lan láu oúnigiruti ligía lídan ligáburi ladǘgüni cátei.
LUK.16.8	Ligía laríñagun Jesúsu.
LUK.16.8	—Gürígia wuríbatiña ja lánina uboú le, chúti jáu lídan jáni jáma ámu sügǘ jáu ja lánina larúgounga, ja lirájüñü Búngiu. 
LUK.16.9	Siñáti leménigidún luágu irísini lánina uboú le, aríñagatina lubeíti jun lun jayúsuruni jirísin lun jadǘgün buíti, lun dánme lan le lagúmuchun jibágari, jerésibirúba tídan múna to magúmuchaditu, yágüta siélu.
LUK.16.10	‘Le adǘgüti buíti láu le murúsunrügüti, ladǘgüba gíñe buíti láu le gíbeti, le madǘgünti buíti láu le murúsunrügüti, madǘgünbei gíñe buíti láu le gíbeti. 
LUK.16.11	Ánjaün lubeíti madǘgün buíti láu buri irísini le láni uboú le, le uágubei siñá lan leménigidún, ¿cábagi afíñera juágu lun ledéregerun irísini inárüniti lábugiñe jaríaajan? 
LUK.16.12	Ánjaünti madǘgün buíti láu jemégen ámu, ¿cábagi íchigei le jáni guánarügü jun?
LUK.16.13	‘Siñáti lesériwidun ában gürígia joun bián iyúbudirigu, ladǘga liyéreeguduba ában lun, línsiñedame le ában lun, o úarabei lan lun ában, lanǘgeime le ában quei ni cáta. Siñáti lesériwidúniwa lun Búngiu lúma lun seínsu.
LUK.16.14	Agáambagu jáña fariséogu lun sun cátei le, ába jéjerajan láu Jesúsu, ladǘga jínsiñe lan seínsu joun. 
LUK.16.15	Ábati laríñagun Jesúsu joun.
LUK.16.15	—Jugúya gürígia ja arúfudagubaña joúngua quei buítiña jagíbugiñe gürígia, ánjeinti Búngiu, subúdi lumútu janígi luágu wuríba tan. Le cátei le janǘgübei gürígia quei weíriti cátei, iyéreeguti lun Búngiu.
LUK.16.16	‘Níjein meja lilúrudun Moisés lúma jarúfudajan profétagu darí lúmoun lidáani Juan. Lúmagiñe dan ligía, lapúrichijoún ugánu buíti le luáguti larúeijan Búngiu, sun gürígia joúchatiña lun jebélurun lídoun.
LUK.16.17	‘Méreenguntimaati lun lagúmuchagun siélu lúma uboú, máma lun magúnfulirun lan liñǘraü-ágei dimúrei lídaangiñe lilúrudun Búngiu.
LUK.16.18	‘Ánjoun lígira ában wügǘri lúmari, lagámarida ámu, ladǘgüñein figoú le gíribei adultériu, le gíñe agámariduti ában wǘri to ígiraguaaru, ladǘgüña gíñe adultériu.
LUK.16.19	Aríñagati gíñe Jesúsu.
LUK.16.19	—Ñíñein méja ában wügǘri rísiti, anáanguni fínutu to wéndegutu ladáüraguboun, ságüja wéyu ladáagun fédu láu sarágu wéndegu. 
LUK.16.20	Ñíñein gíñe ában gudémeti gíriti Lázaro, sun lúra láu gumeín, 
LUK.16.21	lañúurati buri múarugu tubéneri lúban rísiti ligía áluga leígini lífe eígini le eíguaduti lueígiñe lidábulan rísiti. Weíriti lasúfurirun darí lun lawánduni jayábin oúnli éjelujei lugúmein. 
LUK.16.22	Luágu ában wéyu, ába loúnwen fugiábu ligía, ába janǘgüni ánjeligu lúmoun Abrahám, le ñíjin jabeí jiláaña buítiña, ába gíñe loúnwen rísiti, ába lábunajoún. 
LUK.16.23	Dan le lasúfuriruña lan rísiti ligía lídan fulásu le ñíjin jabeí jiláaña wuríbatiña, ába liñúruni laríjin, ában laríjini Abrahám dísegiñe, láu Lázaro lúma. 
LUK.16.24	Ábati lagúaragun, laríñaga. “¡Núguchi Abrahám, gudémená bun! Oúnajabeí Lázaro lun ladǘdüragüdüni ligíbu lújabu láu dúna, ñǘbin lámuga éderei tuágu niñéñe, ladǘga nasúfuriruña sarágu lídan wátu geméti le.” 
LUK.16.25	Ába laríñagun Abrahám lun. “Niraǘ, jarítaguabá luágu buídu lán meja dan bun lídan bibágari, ánjein lun Lázaro, wuríbati meja dan. Guetó, buíti dan lun ya, bugúya asúfurira. 
LUK.16.26	Boúgudigiñe lueí sun le, níjein ában baráangu afánreinraguáwa júma, ja jamúga buséntiña joúdin yágiñe lun ñíjin, siñáti, ni ja ñíbaña, siñáti jayábin ñájoun.” 
LUK.16.27	Ábati laríñagun rísiti. “Amúriajatina búma, Núguchi Abrahám, lun boúnajani Lázaro lúbiñe núguchi, 
LUK.16.28	añájein seíngü namúlenu ñi, lun ladímurejan joun, mayábin jamámuga gíñe lídoun fulásu lánina asúfuriruni le.” 
LUK.16.29	Ába laríñagun Abrahám lun. “Níjein le labǘrüjabei Moisés jáma profétagu jáma ñi, ¡adǘga jamá gásu láu!” 
LUK.16.30	Ába loúnabun rísiti, ába laríñagun. “Binárün, núguchi Abrahám, láu sun líra, ánjein ñǘdün ában jádaangiñe jiláaña adímureja joun, lasáansiraguba jagáburi.” 
LUK.16.31	Laríñaga Abrahám lun. “Ánjein mája jabeí jadǘgün gásu láu le laríñagubei Moisés jáma profétagu, mafíñebañá giñe láu sun lásaarun ában jádaangiñe jiláaña lun lídin adímureja joun.”
LUK.17.1	Ába laríñagun Jesúsu joun láni disípulugu.
LUK.17.1	—Súnwandan níjeinbei lán buri cátei afígougüdüti gürígia, ¡áni fugiábu gürígia le afígougüdüti ámu! 
LUK.17.2	Buítimaati jamúga lun lun lagurún baránajoun láu ában dǘbü le lamúlija awási güráñu luágu ligíina sügǘ láu lafígoungüdün ában jádaangiñe ja ñǘbürigiñabaña lídan jafíñen nuágu. 
LUK.17.3	Ítara líña lubeíti toúnigi jumá.
LUK.17.3	‘Ánjein adǘga bamúlen o bíbugaña wuríbani bun, wéridibeí, ánjein asáansiragua ligáburi, ferúdunabeí, 
LUK.17.4	ánjein adǘga wuríbani bun sédü weíyaasu lídan ában wéyu, sédü weíyaasu liábin aríñaga bun luágu madǘgündügüya láali lan, lúnti ferúduna báni.
LUK.17.5	Ába jaríñagun apóstolugu lun Jesúsu.
LUK.17.5	—Wabúreme, rúba lánwoun wafíñen.
LUK.17.6	Ábati laríñagun Wabúreme Jesúsu joun.
LUK.17.6	—Lun jamúga níjein lan murúsuraü afíñeni jídan—gayáraati jamúga ñǘraüraü lan queísi ában tíla mostása—gayáraati jamúga jaríñagun tun tídibu wéwe to. “Gidába yágiñe láu sun bílagüle, beíba ájücha baránaja”, áni lasúsereduña jamúga.
LUK.17.7	‘Ánjein níjein lubeí lumúsun ában jídaangiñe, dan le lagíribudun áraabugiñe lárigiñe lawoújan o loúnigirun lan anímaalu, ¿laríñaguba funági lun músu ligía. “Belúba, ñurúba eíga”? 
LUK.17.8	Uá, aríñagarügübei lun. “Aráansebeí neígin, aráanseñu amǘrüme lun beténirun nun sun anája lan eíga lúma áta, lárigiñeme, gayáraajalíme beígin lúma bátun.” 
LUK.17.9	¿Teínqui lumúti funági iyúbudiri músu luágu ladǘgüni le lubeíbei lun? Uá. 
LUK.17.10	Jugúya giñéti, dánme lásurun jadǘgüni le uágubei laríñaga Búngiu jun lun jadǘgüni, lúnti jaríñagun. “Músu moúntiña wagía, ladǘga lé rügǘñein lúnbei wadǘgüni wadǘga.”
LUK.17.11	Lídan lasígiruni Jesúsu luweíyasun Jerusaléoun, ába lásügürün labádinaguagiñe Samária lúma Galiléa. 
LUK.17.12	Dan le lachǘlürünbei lídan ában liraǘraü fulásu, ába jayábin díisi wügǘriña gawágutiña gumeín, lubároun. Ába jeréderun díse lueí, 
LUK.17.13	ába jagúaragun lun ítara.
LUK.17.13	—¡Jesúsu, Maésturu, gudéme wamá bun!
LUK.17.14	Dan le laríjinbaliña Jesúsu, ába laríñagun joun.
LUK.17.14	—Jeíba arúfudagua júngua joun fádirigu.
LUK.17.14	Dánti le ídirina jamá, ába jareídagun. 
LUK.17.15	Ñíñeinti ában jádaangiñe, dan le laríjinbei luágu areídaguaali lan, ába lagíribudun le ñíjin lubeí Jesúsu, adímurejeina buíti luágu Búngiu láu umálali jéreti. 
LUK.17.16	Ába lájuduragun dagá ligíbu múarugu lun líchuguni eteíngiruni lun. Áni Samariána wügǘri ligía. 
LUK.17.17	Ábati laríñagun Jesúsu.
LUK.17.17	—¿Ma díisiñanu areídagutiña? ¿Jagáñagi ja jíbiri néfu? 
LUK.17.18	¿Niján gubeírügü teréncha le agíribuda eteíngirei Búngiu?
LUK.17.19	Ábati laríñagun lun wügǘri ligía.
LUK.17.19	—Sarába, beíba, areídaguaadibu ladǘga bafíñen.
LUK.17.20	Ába jálügüdüni fariséogu Jesúsu ídaba lan lagúmesera larúeijan Búngiu, ába laríñagun joun.
LUK.17.20	—Dánme le lagúmeserun larúeijan Búngiu, marijínbei, 
LUK.17.21	maríñawagúnbei. “Niján”, o “Níngitan”, ladǘga lídan linárün cátei, níjeinjali larúeijan Búngiu jagánagua.
LUK.17.22	Ábati laríñagun joun láni disípulugu.
LUK.17.22	—Lachǘlürüba dan lun meménija lánme janígi lun júmabadina lan, íbini luágurügü ában wéyu, masúseredunbei lídan dan ligía. 
LUK.17.23	Laríñawagúba jun. “Niján Crístu ya”, o “Níngitan yágüta.” Iyéenibei, mídin jumá járigi, mafálarun jumáñame. 
LUK.17.24	Ladǘga ítara quei larijín ában labírijaníga lueígiñe ában loúba siélu lun luágun le ában, ítara lúba dánme le nagíribudun uboúagun, áu le Wügǘri Garaǘwarügüti. 
LUK.17.25	Lúnti nasúfurirun sarágu furúmiñe, mebéresen jagíame gürígia ja lánina dan le náu. 
LUK.17.26	Queí meja lasúseredun lídan lidáani Noé, ítara lúba gíñe lasúseredun lídan búrime wéyu le niábingüle, áu le Wügǘri Garaǘwarügüti. 
LUK.17.27	Dán meja ligía, jerédera meja gürígia eíga, áta, agámarida, íchaajaña jarájüñü lun jamárieidun darí wéyu le lebélurun Noé tídoun ugúnein to árca. Ába liábin gúnran, ába jañáradagun súngubei. 
LUK.17.28	Ítara lúba gíñe quei lasúseredun lídan lidáani Lot. jerédera gürígia eíga, áta, agáñija, alúguraja, ábunagua, adáagua múna. 
LUK.17.29	Dan le láfuridunbei Lot ubúrugugiñe Sodóma, ába láburujan wátu geméti lúma súfuru siélugiñe, ába láfaraguniña súngubei. 
LUK.17.30	Ítara lúba dánme le niábin, áu le Wügǘri Garaǘwarügüti.
LUK.17.31	‘Lídaanme wéyu ligía, le gürígia le boúgudibei tueí lúban, ánjein níjein lubeí lumégegun múnada, mebéluralá aságarei. Le gürígia le áraabubei lídan óra ligía, magíribudalá lúbiñoun. 
LUK.17.32	Jarítagua jumá luágu le asúseredubei tun lúmari Lot. 
LUK.17.33	Le áluguti leséfuruni libágari ya uboúagu, leféridirubei ibágari magúmuchaditi, le ánjabei leféridiruni libágari ya uboúagu, nueígiñe, libíjuba ibágari magúmuchaditi.
LUK.17.34	‘Naríñajare jun luágu áriebu lánme ligía, ñíbaña biáma gürígia arúmuga tídan ában meme gabána, lanügǘba ában jádaangiñe, ígirúame le ában según jafíñen nuágu. 
LUK.17.35	Ñíbaña biáma würíña amúlija lídan ában, tanügǘba ában jádaangiñe, ígirúame to ában. 
LUK.17.36	Ñíbaña biáma wügǘriña áraabu, lanügǘba ában jádaangiñe, igirúame le ában.
LUK.17.37	Dan le jagáambunbalin cátei le, ába jálügüdüni, jaríñaga lun.
LUK.17.37	—¿Jalíabasan lasúsereda buri cátei le, Wabúreme?
LUK.17.37	Laríñaga joun.
LUK.17.37	—Le ñí lumuti lúgubu jiláali, ñíba joúndaragua wadúbi.
LUK.18.1	Ába labájüdagun Jesúsu ában jémpulu joun, lun larúfudajan joun luágu lúnti lan jayúmuragun lun Búngiu súnwandan, láu gurásu. 
LUK.18.2	Laríñaga joun.
LUK.18.2	—Ñíñein meja ában agúseragüdüti lídan ában fulásu, minébe líña Búngiu lun, mebéresen ligía láu ni ában gürígia. 
LUK.18.3	Ñíñoun gíñe ában wǘri lídan fulásu ligía, jilá meja túmari, ságü wéyu tídin lúmoun agúseragüdüti le lun líchuguni tirícha tun luágu ában tuwúribun lúma tágani. 
LUK.18.4	Luágu sarágu dan, májati yebe leténirun tun, lárigiñe, ába laríñagun lúnguarügü. “Láu sun minében lan Búngiu nun, mebéresen áu láu ni ában, 
LUK.18.5	quei nuján méme lan wǘri to ásüdagüda nichǘgü, neséfuraaru, jebé lámuga tiábin, gumú líñein nugúraasun.”
LUK.18.6	Ába laríñagun Jesúsu.
LUK.18.6	—Niján laríñagubei agúseragüdüti le wuríbabei, 
LUK.18.7	gúbumeti leséfuraña Búngiu lánigu ja ayúmuragutiña lun wéyuagu, áriebu. ¿Lǘbei lubá líderaguniña? 
LUK.18.8	Uá, madárasanbei. Láu sun le, dánme le nagíribudun, áu le Wügǘri Garaǘwarügüti, uboúagun, ¿nadáriruba funásan afíñeni jádan gürígia ja yábaña, nuágu?
LUK.18.9	Rúyati Jesúsu ában jémpulu joun ja jarítaguabaña luágu richágua jamá ligíbugiñe Búngiu, janǘgaña ámu gürígia quei ni cáta. Laríñaga.
LUK.18.10	—Ñǘdütiña bián wügǘriña témpulurugu ayúmuragua lun Búngiu, ában fariséo, ában agúburajati liseínsuna gumádi. 
LUK.18.11	Le fariséo, rára líña layúmuragun, laríñaga. “Búngiu, teínqui numútibu luágu mítaran nan quei jíbiri gürígia—jíwerutiña, wuríbatiña, salúfuritiña, mítaraantina gíñe quei agúburajati liseínsuna gumádi le. 
LUK.18.12	Ayúnaratina bián weíyaasu lídan dimáasu lun nagúnfulirun búma, rúnumuti gíñe díisi gáwanün lídaangiñe ságü fiádürü le ebélurubei nun, bun.” 
LUK.18.13	Ánjeinti agúburajati liseínsuna gumádi, ába leréderun díse, mabúseerunti ni lun liñúruni laríjin siélun, le luweírin lǘnabun lanáangun lúngua. Aboújarügüleí laníguagu láu igárigu, laríñaga. “¡Búngiu, gudémená bun, nugúya le gafígounti!” 
LUK.18.14	Naríñajare jun luágu giríbu lan agúburajati ligía lúbiñoun, resíbiñuleí Búngiu, máma fariséo ligía. Ladǘga le anáanguti lúngua weíri, ñǘraübei lanügǘn, ánjein le ñǘraübei lanáangun lúngua, weíribei lanügǘn.
LUK.18.15	Anaajoúatiña gíñe irájüñü lun Jesúsu lun lagúrurun jawágu, dan le jaríjinbalin disípulugu cátei le, ába jadeínjan joun ja anáajabaliña irájüñü. 
