MAT.1.1	Bɨ səŋ bɨ̂tà bɨ atsə bɨ Yesu Kristo, yìi mə à lɛ mfɛ̀'ɛ̀ a atsə David, mu Abraham aa mə:
LUK.12.47	Ŋ̀gàŋàfà'à yìi mə à zi annù yìi mə Masà yì a lɔ̀ɔ̀ aa, la kaa wa'à nû yì taŋtə̀ kə̀ ŋkɨɨ mfa'a annù yìi mə a lɔ̀ɔ̀ aa, bɨ ka yǐ naŋsə ghɔ̀ɔ̀ yi.
LUK.12.48	“Lâ ŋ̀gàŋàfà'à yìi mə kaa à sɨ̀ zi annù yìi mə Masa yì a lɔ̀ɔ̀, m̀fa'a annù yìi mə boŋ bɨ ghɔɔ yi ghu aa, bɨ ka yǐ ghɔ̀ɔ̀ yi tâ à kə'ətə̀. Ŋù yìi mə bɨ fâ àyoo ghu mbo a gha'atə̀ aa, bɨ ka yǐ kɨɨ lɔ̀ɔ̀ a ŋkwɛrə̂ àyoo ghu mbo tâ à gha'atə̀; ŋù yìi mə bə̌ fa njoo jì ghà'àtə̀ ghu mbo aa, bɨ bɛ mə à ka bìnsə̀ jìi mə ji gha'atə ntsyà.
LUK.12.49	“Mə̀ lɛ nzì aa a ŋghɨ̀rə mə tâ m̀bi ŋka ŋkhɨ; ǹyə'ətə̀ nɨ mə boŋ ɨ lɛɛ̀ m̀bàa ntɛ'ɛ nlɔgɨnə ŋka ŋkhɨ! 
LUK.12.50	Mə̀ tswe nɨ̀ ŋkì yìi mə mə̀ tswe nɨ̂ ŋkwɛ̀rə̀ aà; kaa mbə ntɨɨ̀ gha ɨ wa'à nɨ̂ m̀bɔɔnə tswê ǹywe'e a noò yìi mə mə̀ ka yǐ màŋsə̀ aà! 
LUK.12.51	Nɨ laà mɔɔntə nɨ mə mə̀ sɨgə fàa a atu nsyɛ aa a mfa m̀bɔɔnə aa ɛ? Ŋ̀gaŋ, mə̀ swòŋə a mbo bù mə mə̀ bàŋnə nzì aa nɨ̂ àyàtə̀; 
LUK.12.52	ǹloŋ mə, ǹlɔgɨnə tsɨ̂tsɔ̀ŋ, a nda yìi bə̀ tswe ghu bi ntaà aa, bɨ ka yàtə tâ bì bi baa ka tonə nɨ̂ bì bi tarə̀; 
LUK.12.53	bɨ ka yàtə̀ waa, tâ tà bo mû yì yî m̀bâŋnə̀ ka ntonə, tâ ma bo mû yì yî màŋgyɛ̀ ka ntonə, tâ manə̀ bo ŋ̀gwɛ mû yì kɨ ŋka ntonə.”
LUK.12.54	Yesu a ghɛɛ̀ nɨ̂ m̀bìì ǹswoŋə a mbo ǹnɔ̀ɔ̀ bə̂ wa mə, “Nɨ̀ bə yə tâ m̀bà'à ɨ̀ ka ŋkɔ'ɔ a mbɨ̂ ǹtso nòò boŋ nɨ̀ burə nswoŋ mə, ‘mbə̀ŋ ɨ̀ ka loo’; nɨ̀ swòŋə a kɨ̂ m̀fɛ'ɛ maa ajàŋə̀. 
LUK.12.55	Nɨ̀ bə yə tâ àfìsə̀ à ka nzi a mbɨ ntii, boŋ nɨ swoŋə mə, ‘àbabə yì tɨ̀ɨ̀ a ka zì’; a kɨ̂ m̀fɛ'ɛ maa ajàŋə̀. 
LUK.12.56	Ŋ̀gǎŋabagɨlə̀! Nɨ̀ zi aa tsi'ì ǹtɔ'ɔtə ɨ̀lènsə̀ jìi mə nɨ yə ɨ fɛ'ɛ̀ nɨ a nsyɛ bo bɨ̀ a mbà'à àbùrə̀, a ghɨ̀rə akə̀ mə tâ nɨ̀ tsuu a ntɔ'ɔtə ɨnnù jìi mə ɨ fɛ̀'ɛ̀ fàa nɨ yulà ŋ̀gù'ù aa zi aa ɛ?
LUK.12.57	Nɨ̀ tuù ǹlɔ̀ɔ̂ ànnù jî tsinə a ŋghɨ̀rə aa a ya? 
LUK.12.58	Bu ŋù yìi mə à nɨ̀ŋə ɨsa'a a nu wo aa, mbə bù yu ka ŋghɛɛ a nsi ŋ̀gàŋnsa'a mɨ̀sa'a, ò ywe'etə̀ mə mbə bǔ yu mâŋsə̀ a mânjì. Tâ à wa'à gho a mbo ŋ̀gàŋnsa'a mɨ̀sa'a wa fa, tâ ŋ̀gàŋnsa'a mɨ̀sa'a wa tâ à fa gho a mbo ŋù bɨ̀burə̀sì tâ ŋù bɨ̀bùrə̂sì wa à nɨŋə gho a atsaŋə̀. 
LUK.12.59	Mə̀ swǒŋ tsi'ì ànnù nɨ̂koŋ a mbo wò mə ò bə kuu wa atsaŋ boŋ ò ka tɨgə tswe ghu ɨ ywe'e a noò yìi ò ka yǐ màŋsə tu ŋkabə yìi mə o tswa nii ghu aa tsi'ì ǹtsɨ̀m, ɨ sɨgə ywe'e nɨ̂ ànini yìi a lwi'i aà.”
LUK.13.1	À lɛ mbə maà noò aa, bə̀ bî mɔ'ɔ lɛ nswoŋ a mbo Yesu àjàŋ yìi mə Pilato à lɛ nswoŋ bɨ zwitə baGalilea bî mɔ'ɔ a noò yìi mə bɨ lɛ nzì ŋ̀ka nzwitə njoo mmà'à Nwì aà. 
LUK.13.2	Yesu a kwi'i a mbo bo mə, “Nɨ̀ mɔ̀ɔ̀ntə mə ma buù baGalilea lɛ ŋkwo aa nloŋ mə bo lɛ mbə ŋgǎŋghɨ̀rə̂ ɨ̀nnù jî bɨ ntsyàtə baGalilea bî mɔ'ɔ bɨ̀tsɨ̀m aa ɛ? 
LUK.13.3	Mə̀ swòŋə a mbo bù mə, Ŋ̀gaŋ; mə̀ swoŋ a mbo bù mə nɨ̀ bə tuu mɨ̂ntɨɨ̀ muu bəŋkə mmà'àtə ɨbɨ̂ ghuu boŋ bù bɨ tsɨ̀m nɨ̀ ka yǐ kɨɨ kwo tsǒ bo. 
LUK.13.4	Kə̀ nɨ̀ wà'àtə mə akə nloŋ baSiloam bya nɨ̀ghum ntsò ji nɨfwaa, bìi mə àtu nda nɨ̀kàŋ ya ɨ̀ lɛ ŋwò ǹzwitə aa, nɨ̀ mɔ̀ɔ̀ntə mə bo lɛ mbə ŋgǎŋghɨ̀rə̂ ɨ̀nnù jì bɨ ntsyàtə bə̀ bɨ̀tsɨ̀m bìi bɨ lɛ ntswe a Yerusalem aa ɛ? 
LUK.13.5	Mə̀ swòŋə a mbo bù mə Ŋ̀gaŋ; nɨ̀ bə tuu mɨ̂ntɨɨ̀ muu bəŋkə boŋ nɨ̀ ka yǐ kɨɨ kwo maa ajàŋə̀.”
LUK.13.6	A bû ǹswoŋ nɨghàà nî nanaa a mbo bo mə: “Ŋù yî mɔ̀'ɔ à lɛ mbě ati ajɔ̀ɔ̀ a mûm ŋ̀kya yu; à lɛɛ̀ ǹzi a lèntə, nyə mə kaa a lɛ wa'à koonə̀. 
LUK.13.7	A swoŋ a mbo ŋù lèntə̂ ŋ̀kya wa mə, ‘Yə̂, àa ɨ̀lòò ji tarə mə mə̀ zì mə̂ ǹlentə ati yû, kaa wa'ǎ ajɔ̀ɔ̀ ghu atu yə̂. Wǎ mmà'a a nsyɛ̂; a tàsə adɨgə nsyɛ yù aa a ya aa ɛ?’ 
LUK.13.8	Ŋ̀gàŋnlèntə̂ ŋ̀kya wa a kwi'i mə, ‘Taà, mà'àtə tâ yuà àlòò a ku'usə ntsyà, mə̀ ka toŋ m̀fə̀ŋ ɨ karəsə ɨ nɨŋ ntsà'à ghu. 
LUK.13.9	Bɛɛ mə a bə fìi alòò, sɨ̀ yə mə a ka koonə mɨ̂ntà lɛ, bɛɛ a tuu koonə, boŋ ò ka tɨgə wǎ mmà'à a nsyɛ̂.’”
LUK.13.10	À lɛ mbə a njwîŋgɔ̀ŋ yî mɔ̀'ɔ Yesu a tswê a mûm ǹdâŋghòtə ŋka ndɨ'ɨ nɨ̂ ànnù Nwî ghu. 
LUK.13.11	Màŋgyɛ̀ yî mɔ̀'ɔ à lɛ ntswe ghu yìi mə àzwì yî bɨ a lɛ ntswe ghu nu, ŋ̀ghɨ̀rə̀ a ghɔɔ̀ a atû ɨ̀lòò nɨghûm ǹtsò ji nɨfwaà; ǹtɨgə ŋgɨmnə ntəə, kaa wa'ǎ a sentə ɨ̀bɨ̀ɨ nû yi zî. 
LUK.13.12	Nòò yìi Yesu à lɛ nyə yi aa, nswoŋ mə, “Màŋgyɛ̀, wa nɨ̀ ghɔ̀ɔ̀ no nya nɨ mà'àtə̀ mə̂ ghô.” 
LUK.13.13	À lɛ ŋghɛ̀nsə abô yi nnɔŋsə ghu nu, a burə̀ ǹtɨgə nsentə nû yì, ntsinə ntəə, ǹtɨgə ŋgha'asə nɨ̂ Nwî.
LUK.13.14	Ǹdɨɨ̀ ǹdâŋghòtə̀ lɛ nlwìsə ntɔŋ nloŋ mə Yesu à lɛ ŋghùrə mâŋgyɛ̀ wa a njwîŋgɔ̀ŋ aà, ǹtɨgə nswoŋə a mbo bə̀ bìi bɨ lɛ ntswe ghu aa mə, “Ǹjwi ɨfà'à ɨ tswe ghu aa ji nto'o; nɨ̀ ka nzi nɨ̂ ǹjwi mà jû tâ bɨ̀ ghurə ghuu, ntsee bə a njwîŋgɔ̀ŋ kɨ zì.”
LUK.13.15	M̀mà'àmbi à lɛ ŋkwi'i ghu mbo mə, “Wò ŋ̀gàŋàbagɨlə̀! Ŋù nɨ̀bù yî tsù à sɨ mbɔ̀ŋ yì kə̀ jàkâsì yì fɛɛ mfi'sə a tà a njwîŋgɔ̀ŋ, ŋ̀ghɛɛ nɨ yu a ntsǔ ŋkì mə tâ ɨ̀ no ŋkì aa ɛ? 
LUK.13.16	Lâ, yə̂ nɨ̀, a nɨ mu Abraham yî mɔ̀'ɔ à ghuà yìi mə Satan à lɛ ŋkòò nɨ̂ àtsaŋ, ɨlòò nɨghûm ǹtsò nɨ̀fwaa, a sɨ̀ ku'ùnə̀ mə mbə bɨ kɛtə atsaŋə̀ yi ya a njwîŋgɔ̀ŋ aa ɛ?” 
LUK.13.17	À kwì'ì mə̂ ma mùu ajàŋ aa, atu ŋgàŋkɨ̂bàâ ji jya a lɛ ndɨ̀rə̀; bə̀ bya bɨ̀tsɨ̀m bɨ tɨgə̀ ǹdorətə nloŋ ɨnnù jî yɛ̌yɛrə jya mɛ à lɛ ŋghɨ̀rə̀ aà.
LUK.13.18	Yesu a tɨgə̀ ǹswoŋ mə, “Ànnù nɨfɔ̌ aburə a bə aa tsǒ àkə̀ aa ɛ? Kə̀ m̀bə mə̀ fɨgɨ̀nə̀ aa nɨ̂ àkə̀ aa ɛ? 
LUK.13.19	A bə aa tsi'ì tsǒ àbùrə mâghum, yìi mə ŋù à lɛ nlɔ̀gə̀ ŋ̀ghɛɛ mbwe'e a mûm ŋ̀kya yu; fɨ too ŋkɔ'ɔ ntɨgə mbə ati, bɨ̀sɨŋ bɨ tɨgə̀ ǹzi ŋghùrə̀ nɨ̂ ǹdâ jyaa nɨ̂ ǹtaà ji.”
LUK.13.20	Yesu a ku'ùsə̀ ǹswoŋ mə, “M̀bə̂ mə̀ fɨgɨ̀nə̀ ànnù nɨfɔ̀ Nwî aa nɨ̂ àkə̀ aa ɛ? 
LUK.13.21	A bə aa tsi'ì tsǒ m̀bɛ̀'ɛ̀ àbaa yìi mə màŋgyɛ̀ a lɛ nlɔ̀gə̀ ǹnɨŋə a mum àbaa yì ghà'àtə̀ a ghɨrə̀ àbaa ya a tɨ̀gə̀ ŋ̀kɔ'ɔ ŋgha'a ŋgha'a aà.”
LUK.13.22	Yesu à lɛ mbù ŋ̀ghɛɛ ntsyà a mûm ɨ̀la'a jì wè bo bɨ̀ jì kə̀kə̂, ǹdɨ'ɨ nɨ nɨ̀ghàà nɨ Nwî ghu, a ajàŋ mə à lɛ sɨ kɔ'ɔ ŋghɛɛ nɨ a Yerusalem aà. 
LUK.13.23	Ŋù yì mɔ'ɔ a betə̀ ghu mbo mə, “Taà, â ka yǐ yweenə tsi'ì m̀bùmtə̀ bə̂ aa ɛ?” Yesu a kwi'i mə, 
LUK.13.24	“Nɨ̀ ka ŋgaansə mɨtɨ̀ɨ̂ muu a ŋkuu nɨ̂ ǹtsǔ nda yì kə̀'ə̀tə̀ wâ; ǹloŋ mə bə̀ bì ghà'àtə̀ ka yǐ kɨ ywe'etə a ŋkuu ghu, kaa wa'à bàŋnə̀ ǹzi a ŋkuù. 
LUK.13.25	Nòò yìi mə mbɔ̂ŋ ǹda à bɨ̀ɨ̀nə̀ mə̂ ǹtsetə abà'à aa, bəə boŋ bù ka tɨgə təə a abɛɛ tɨgə kwɛ̀ntə̀ nɨ̂ àbà'à ya ɨ swoŋə nɨ mə, ‘Taà, ŋa'à bì'ì kuu!’ Tâ à kwi'i a mbo bù mə, ‘Kaa mə̀ sɨ̀ adɨgə yìi nɨ̀ lo ghu aa zî.’ 
LUK.13.26	Tâ nɨ̀ lɔgɨnə ŋka nswoŋə nɨ mə, ‘bì'ì lɛ sɨ jɨ ŋkɨɨ no bi'inə̀, ò kɨɨ̀ ǹdɨ'ɨ nɨ̂ ànnù Nwî a mûm àla'a bì'ì.’ 
LUK.13.27	Lâ tâ à swoŋə a mbo bù mə, ‘Kaa mə̀ sɨ̀ adɨgə yìi nɨ̀ lo ghu aa zî.’ Nɨ̀ lo ghuu a mbɛ̀ɛ mə̀ ŋ̀ghɛɛ mba ŋgǎŋmbu'u ɨ̀nnù jì bɨ̀!’ 
LUK.13.28	Nɨ̀ ka yǐ tɨgə yə̀'ə ɨ kurə nɨ̂ mɨ̀sɔ̀ŋə̂ muu, a noò yìi mə nɨ̀ ka yǐ yə Abraham bo Isaac nɨ Yakob, nɨ̂ ŋ̀gǎŋntoo Nwî tsɨ̀m tâ tswe a mum nɨ̀fɔ̀ nɨ Nwî. Tâ bɨ̀ baŋnə ntii ghuu mfɛ'ɛsə a abɛɛ! 
LUK.13.29	Bə̀ ka yǐ lo a mbɨ nsa'a noò bo bɨ a mbɨ ntso nòò, a mbɛ̀ɛ̀ m̀bɨtu bo bɨ̀ mbɨntii, ɨ zǐ tswe a atu atɛtə̀, ɨ tɨgə jɨ nɨ̂ àdinà a mûm ànnù nɨfɔ̀ Nwî. 
LUK.13.30	Yə̂, bə̀ bî mɔ'ɔ bìi à nɨ bɨlwì'ì bɨ njɨ̀m tsɨ̂tsɔ̀ŋ aa ka yǐ tɨgə bə bɨ̂tsyà bɨ mbìì, tâ bə̀ bî mɔ'ɔ bìi mə à nɨ bɨtsyà bɨ mbìì tsɨ̂tsɔ̀ŋ aa tâ bɨ̀ tɨgə bɨ̂lwì'ì bɨnjɨ̀mə̀.”
LUK.13.31	Tsi'ì maa noò baFarɨsai bî mɔ'ɔ bɨ lɛ nzì a mbɛ̀ɛ Yesu, ǹswoŋ ghu mbo mə, “Lò faà mə ŋghɛɛ a adɨgə yi dàŋ ǹloŋ mə Herod a lɔ̀ɔ nzwitə wò.”
LUK.13.32	Yesu a kwi'i a mbo bò mə, “Nɨ̀ ghɛɛ nswoŋə a mbo nɨ̀màŋ ma nya mə, ‘Yə̂, sìi mə fi'i ɨzwì jî bɨ a mum mɨ̀ntɨɨ bə̀, ŋ̀kɨɨ ŋghurə nɨ mɨ̀ghɔ̀ɔ̂ myaa, ɨ ghɛ̀ɛ ywe'e a yɔɔ, a tɨ bə nɨ̂ ǹjwi ji tarə, mə̀ mâŋsə ɨfà'â ghâ.’ 
LUK.13.33	Lâ mə̀ tswe nɨ̀ ŋ̀ghɛ̀ɛ nɨ̀ m̀bìì sii, bo a yɔɔ, nɨ̂ ǹjwi yìi ɨ̀ yòŋtə aà; kaa a sɨ̀ tsinə̀ mə mbə bɨ zwitə̀ ŋ̀gàŋntoò Nwì a adɨgə dàŋ ǹtsyatə a Yerusalem. 
LUK.13.34	Wɛɛ, Yerusalem! Yerusalem! O zwitə ŋgǎŋntoo Nwî, ǹtumtə nɨ̂ bə̀ bìi mə a too aa nɨ̀ ŋ̀gɔ̀'ɔ̀! Ŋ̀gàà jî ghà'àtə̀ mə̀ lɔ̀ɔ̀ mə̂ mə mə zutə ghuu tsǒ mə ŋ̀gu zutə bɔɔ̀ bi a mɨbǎ yuu aa, kaa nɨ̀ wa'à biì. 
LUK.13.35	Tsɨ̂tsɔ̀ŋ bɨ ka mè'è ghuu bo bɨ̀ ndâ yùù. Mə̀ bû ǹswoŋ a mbo bǔ mə, ka nɨ̀ ka wa'à gha bù ǹyə nywe'e a noò yìi mə nɨ̀ ka yǐ tɨgə swoŋə nɨ mə, ‘Mbɔɔnə a mbo ŋù yìi mə a zì nɨ̂ Ɨ̀kûm M̀mà'àmbi aà!’”
LUK.14.1	A bə nɨ̂ ǹjwîŋgɔ̀ŋ yî mɔ̀'ɔ Yesu a ghɛɛ̀ a njɨ a nda ǹsa'à àla'a yì mɔ̀'ɔ mə à lɛ mbə ŋû baFarɨsai, à tswè mə̂ ghu aa, bɨ ka ŋ̀kəənsə nii. 
LUK.14.2	Ŋù yì mɔ'ɔ à lɛ ntswe ghu mə nû yì ɨ̀ lɛ ŋkɔ'ɔkə, 
LUK.14.3	Yesu a betə̀ ŋ̀gǎŋdɨ'ɨ Nɔ̀ŋsə bo bɨ̀ baFarɨsai bìi mə bɨ lɛ ntswe ghu aa mə, “Nɔ̀ŋsə̀ à laa ndɨ'ɨ mə mbə bɨ ghurə̀ ŋû a njwîŋgɔ̀ŋ kə̀ ŋ̀gaŋ aa ɛ?” 
LUK.14.4	Bo tswê waa atsitsi kaa wa'à akwi'i fâ. Yesu a lɔ̀gə̀ ŋû nɨ̀ghɔ̀ɔ̀ wa ŋghùrə̀ yi ntɨgə nswoŋ mə tâ à ghɛɛ yi. 
LUK.14.5	Yesu a tɨgə̀ ǹswoŋ a mbo bo mə, “Ŋù nɨ̀bù à tswe ghu mə mbə mû yì kə̀ m̀bɔ̀ŋ yì wô a mûn àtaa a njwîŋgɔ̀ŋ kaa a wa'à bùrə̀ ŋ̀waŋsə ŋghɛ̀ɛ̀ mfi'isə aa ɛ?” 
LUK.14.6	Kaa bɨ lɛ ŋwa'à nɨ̂ àkwi'i nɨ̂ àbetə̀ ma yû tswê.
LUK.14.7	Yesu a ghɛɛ̀ nɨ̂ m̀bìì ǹnaa nɨghàà nî nanaa a mbo bə̀ bya bìi bɨ lɛ ntwoŋə waa wa nda aa, ǹyoŋə ajàŋ yìi mə à lɛ nyə bo tsɔ'ɔ̀ nɨ̂ ɨ̀lə̀ŋ jî kɔ̀'ɔ̀nə̀ a ntswe ghu aa, nswoŋ a mbo bo mə 
LUK.14.8	“M̀bə ŋù a twoŋə gho a adɨgə adinà nɨyɔ'ɔ, ò tsuu ghɛ̀ɛ tswe nɨ̂ àlə̀ŋ yî kɔ̀'ɔ̀nə̀, m̀bɨ̀'ɨ̀ ŋù yìi mə à kɔ̀'ɔ̀nə ntsyàtə̀ gho aa, a bû ǹyoŋ; 
LUK.14.9	boŋ ŋù wa mə à kà'a adinà ya ntwoŋə ghuu yu bɨ̂tsɨ̀mə̀ aa, à ka zǐ a mbo wò swoŋ mə, ‘Bɨ̀ɨ̀nə mfa aləŋ ya a mbo waà ŋù’, boŋ ò ka bɨ̀ɨ̀nə maà noò nɨ̂ àdɨ̀rə atu a ntswe nɨ̂ àlə̀ŋ yìi mə kaa a sɨ̀ kɔ'ɔnə̀ aà. 
LUK.14.10	Lâ m̀bə bɨ twoŋə gho nɨ̂ àdɨ̀gə adinà, ò ghɛɛ ò tswê nɨ̂ àlə̀ŋ yìi mə a tswe a njɨ̀m kaa wa'à kɔ'ɔnə̀ aà, ta bɛɛ mə mbɔ̂ŋə̀ àdinà wa a zi nyə gho, boŋ à ka swoŋ a mbo wò mə, ‘Ǹsû ghà, kɔ'ɔ ntswe nɨ̂ àlə̀ŋ yî ŋɛ̀nə̀ yî’; maa noò boŋ bɨ ka fa aghu'usə̀ a mbo wò a tɨtɨ̀ɨ bə̀ bìi mə bǔ bo ka tswe wa atu atɛtə̀ aà. 
LUK.14.11	Ǹloŋ mə ŋù ǹtsɨ̀m yìi mə a ŋee nɨ̂ nû yì aa, bɨ ka sɨgɨsə yi, ŋù yìi mə a bàŋnə̀ ǹsɨgɨsə nɨ̂ ɨ̀bɨɨ nû yi a nsyɛ aa, bɨ ŋɛntə̀ yi.”
LUK.14.12	Yesu a ghɛ̀ɛ̀ nɨ̂ m̀bìì ǹswoŋ a mbo ŋù wa mə à lɛ ntwoŋə yi mə tâ à zi njɨ aa mə, “M̀bə ò ka ntwoŋə bə̂ a adɨgə adinà, ò tsuù tsi'ì ɨ̀kà'â jo, kə̀ bɔɔ bɨ maà bo, kə̌ ŋgǎŋgwɛ̀'ɛ̂ jo, kə̌ ŋgǎŋmbɛ̀ɛ̂ ǹdùgə̂ jo jì wè ɨ twoŋə. Nloŋ mə ò bə ghɨ̀rə̀ ma la boŋ bo kɨ ŋkà'â yaa adinà ŋkɨ ntwoŋə ghô, tâ ma ya a bə mɨtunɨ̀ mô. 
LUK.14.13	La mbə ò ka'a adinà, ò twôŋ ŋ̀gǎŋə̂fum, bɨ̀Tsə̀ŋkərə̀, bɨ̀bwènkə̀ bo bɨ̀ bɨ̀fə̀'ə̀nə̀. 
LUK.14.14	Ò bə twoŋ ɨ̀jàŋ bə̂ ma jû boŋ ò ka tswe nɨ̂ m̀bɔɔnə, nloŋ mə kaa mbə bɨ wa'à nɨ̂ àyoò tsu a ŋghɨ̀rə a ntwu wò ghu aà. Ò ka yǐ kwɛrə mɨtunɨ mɨ afà'â mo wa noò mə bə̀ bìi mə ɨ̀nnû jyaa ɨ tsinə bɨ ka yǐ yweenə nɨ nɨ̀wo aà.”
LUK.14.15	Ŋù yì mɔ'ɔ yìi mə bo bɨ̀ Yesu lɛ ntswe wa atu tɛbəl njɨ aa à yù'ù mə annù ya mə Yesu à lɛ nswoŋə aa, ǹswoŋ a mbo Yesu mə, “M̀bɔɔnə a mbo ŋù yìi mə à ka yǐ jɨ abaa a mûm ànnù nɨfɔ̀ Nwî aà!” 
LUK.14.16	Lâ Yesu a swoŋ ghu mbo mə, “Ŋù yì mɔ̀'ɔ à lɛ ŋkà'a adinà yî wè ǹtwoŋ bə̂ bì ghà'àtə̀; 
LUK.14.17	ǹjwî àdinà ya ɨ̀ kù'ù mə̂, a toò ŋ̀gǎŋafà'â ji nswoŋ mə tâ bo ghɛɛ a mbo bə̀ bya mə bɨ twoŋə waa wa adɨgə adinà aa, ǹswoŋ mə, ‘Zî nɨ̀; nòò ǹjɨ̂ àdinà ya à kù'ù mə̂.’ 
LUK.14.18	La bo bɨtsɨ̀m, yî mɔ̀'ɔ, yî mɔ̀'ɔ, bɨ lɔgɨ̀nə̀ ŋ̀ka nswoŋə nɨ̂ ɨ̀nnù jìi mə ɨ ghɨrə mə kaa mbə bo wa'à zì aà. Yì ǹtsyàmbìì a swoŋ ghu mbo mə, ‘Mə̀ yuu àbwènə nsyɛ̂ yâ, ǹtswe nɨ̂ ŋ̀ghɛɛ nlèntə̂; mə̀ bù'û m̀bo mə tâ ò ghɛɛ nswoŋ a mbo Taà ghò mə kaa mə̀ ka wa'à zì.’ 
LUK.14.19	Yì mɔ̀'ɔ a swoŋ yìi ŋgaa mə, ‘Mə̀ yuu bɨ̂kaù bɨ nlɨgə̀ ǹsòò bi nɨghum ǹtswe nɨ̂ ŋ̀ghɛɛ nlèntə̂; mə̀ jə̀ŋnə̂, ghɛ̀ɛ nswoŋ ghu mbo mə kaa mə̀ ka wa'à zì.’ 
LUK.14.20	Yì mɔ̀'ɔ a swoŋ mə, ‘Wa mə̀ yɔ̀'ɔ ŋgwɛ̂ ghà, kaa mânjì ǹzi kaa a wa'à bə̂.’ 
LUK.14.21	Ŋ̀gàŋàfà'à wa a bɨɨ̀ ŋ̀kɛ'ɛnə ɨ̀nnù tsɨ̀m a mbo Masa yì, ǹtɔ̂ŋ yì ɨ lwî, a swoŋ a mbo ŋ̀gàŋàfà'à wa mə, ‘Wàŋsə mfɛ̀'ɛ ŋghɛ̀ɛ a ɨtu mɨ̂ŋfâŋnə̀ bo bɨ̀ a ɨtəə̀ ǹdorə ɨtsɨ̀m a mûm ǹjɔ̀'ɔ̀ àla'a, ǹtwoŋ ŋgàŋə̂mfum nɨ bɨ̀Tsə̀ŋkərə̀, nɨ bɨ̀fə̀'ə̀nə̀, bo bɨ̀ bɨ̀bwènkə̀.’ 
LUK.14.22	Ŋ̀gàŋàfà'à wa à ghɛ̀ɛ̀ mə̂ m̀bɨɨ nswoŋ mə, ‘Taà, wa ànnù yìi mə ò swoŋ mə tâ mə̀ ghɛɛ ŋghɨ̀rə̀ aa, mə̀ ghɨ̀rə̀ mə̂, lâ àbwarə a burə̀ a mbo bə̀ bî ghà'àtə̀.’ 
LUK.14.23	Tâfà'à wa a ghɛɛ̀ nɨ̂ m̀bìì ǹswoŋ a mbo ŋ̀gàŋàfà'â yì wa mə, ‘Ghɛ̀ɛ nɨ̂ ɨ̀yàa ɨtsɨ̀m bo bɨ̀ a mum mɨ̀fu'u mɨ̀tsɨ̀m, ŋ̀gaansə bə̂ bìi mə ò yə aa mə tâ bo zi, ta tâ ǹdâ yà ɨ̀ luu. 
LUK.14.24	Mə̀ swoŋ tsi'ǐ annù nɨ̂koŋ a mbo wò mə, kaa ŋù wa yì tsù mə bɨ kɨ̀ fòo ntwoŋə aa kaa à ka wa'ǎ ayoo wa adɨgə adinǎ mə̀ ywe'etə̀.
LUK.14.25	Ǹnɔ̀ɔ̀ bə̂ ɨ lɛ sɨ yòŋə̀ nɨ a njɨm Yesu; a karəkə̀ yi nswoŋ a mbo bo mə, 
LUK.14.26	“Ŋù à bə kɨ yòŋə̀ naa, ɨ tuu taà yì, nɨ̂ ǹdè yì, nɨ̂ ŋ̀gwɛ̂ yì, nɨ bɔɔ̀ bim nɨ bɔɔ bɨ maà yi bî bâŋnə̀ nɨ bì bâŋgyɛ̀ ɨ tuu, ɨ tuu ɨbɨɨ nû yi yumbɔŋ, ɨ kɨɨ tuu boŋ kaa mbə wa'ǎ ŋgàŋyəgə̂nnù ghà bə̂. 
LUK.14.27	Ŋù yìi mə à sɨ̌ ati bàŋnə̀ bàŋnə̂ yi be'è ŋ̀ka nyoŋə naa laa, kaa m̀bə wa'ǎ ŋgàŋyəgə̂nnû ghà bə̂. 
LUK.14.28	Ǹloŋ mə ŋù nɨ̀bù yìi mə a lɔ̀ɔ mbɔɔ ǹdânɨ̀kàŋ kaa wa'à fòò ǹtswe a nsyɛ, ǹtaŋtə nduu njoo jìi mə yu ka màŋsə nda ya ghu mbɔŋ nlɔ̀gɨ̀nə̀ aa, à nɨ̂ wò lɛ? 
LUK.14.29	À bə tuu maa ajàŋ taŋtə, ɨ bàŋnə fòo tumə atsənda, tsuu ŋghɛ̀ɛ̀ nɨ̀ m̀bìì a màŋsə̂ ǹda ya ɨ zi, boŋ bə̀ bɨ̀tsɨ̀m bìi mə bɨ yə nda ya aa bɨ ka kɨ wyɛ̀ nii, 
LUK.14.30	ɨ swoŋə nɨ mə, ‘Ŋù ghû à kɨ̀ lɔ̀gɨ̀nə̂ ŋ̀ghùrə̂ ǹdâ, ɨ̀ tsyà mə̂ yi a mmàŋsə̂.’ 
LUK.14.31	Kə̀ m̀fɔ̀ yî mɔ̀'ɔ à tswe ghu mə mbə a ka ŋghɛɛ a mmà'â ǹtsò bô m̀fɔ̀ yî mɔ̀'ɔ, kaa wa'à a nsyɛ tswê, ǹtaŋtə mə mbə yu lɔgə̀ bə̌ ntsù'ù nɨghum mmɨrə ŋgha'a a mfɔ̀ yî mɔ'ɔ yìi mə à tswe nɨ̀ bə̌ ntsù'ù mɨghum mi mbaa aa ɛ? 
