GEN.1.1	Lo yaþoodat Luwah ndah dørãg kï døning.
DEU.28.40	Kag olibieg a în ngãibe kam døningt loi, na a wur roi kï yiba al, kïta kand kag olibieg loi a urïn kø. 
DEU.28.41	A i ooj ngan kïdïngã kï kïdëg, na a în kï loi al, kïta a awïn sed þert. 
DEU.28.42	Kïbetg a san kand kagg kï kand nyag tube 'nten døningt loi.
DEU.28.43	Mbah'n ndï þe loi a aw kïtag kïndøgndøg na î tøgi, a i tel kï ber kïndøgndøg.
DEU.28.44	A i tïna nya jiat, na a tïna nya jiit al, a i dø, na a in þonga. 
DEU.28.45	Ndølg'n non tube a ðen døit, a tuþan goi mbã dan kumi ndo kad i tuj kø, kïta i tel roi go ndï tat lo Bïraþe Luwah loi al, na i ngomgo mberkïndag kï tagkïgang în ndai mbera al. 
DEU.28.46	Ndølg'n non a ton døit kï ngakai tit nyakøj kï nya kïyaya mbãkïnõt.
DEU.28.47	I ða kïlaþer ad Bïraþe Luwah loi kï ronel kï kamnda al kïta nyag loi kï ton mbuj 
DEU.28.48	Kïtø 'nten a i ða þer lo madngétaig'n Bïraþe a lad døit kï þoo kï kïnda man kï ro kï kari kï nal nya kïðen. A la jug hand køit mbã kad i nuj kø.
DEU.28.49	Bïraþe a ad girrdeg mad þai ko sãi døngoi døningt so døit kanangbe tit kuro be, girrdeg'n i ger ta þe loa al, 
DEU.28.50	girrdeg'n takuma ngang in a øsïgon de kïtag al, a oo kumtondo lo ngon al tø. 
DEU.28.51	A san ngan nyakulg loi kï kand døning loi mbã tujin, ad þoo a tølsï, a nyan nyako, ke man nduu, ke yib, ke ngan mangg loi kï ngan batg loi al mbã kad nujin kø. 
DEU.28.52	A lan na gugïn dø þeg loi mbã kad ndogbørr ngomdøbe loi kïngal kï kïngang so, îgïn i þakuld. Ã a lan'na gugïn dø þeg loi tube kam døningt loi tube kï Bïraþe Luwah loi adi. 
DEU.28.53	Dø ndøt'n madngétaig a gugïn døi, a ðan sei nyakïto ye, a i sa ngan'g kï teen kamit, dan ngani kïdïngã kï kïdë'n Bïraþe Luwah loi adi. 
DEU.28.54	Dekïdïngã mad kusït kï i de kïsøl kï hal kïsayelel kaa, a oo kumtondo lo ngonkõn al, ke nën kï ngetar lon, ke ngonïn kïdøboit kï nãi roat. 
DEU.28.55	A ndig al kad n'ad kïkïða kudt dan nganïn'n ndï sa kïta nyasaa kïðang goto kam daiyot kï kamkøl lon madngétasï gugïn døsï gej kam þegt losï tube. 
DEU.28.56	Dekïdë mad kusït kï mand ngãi, kï hal kïsayelel kïtai'n a asï nda danjan ningt al kïta roa kïsøl kï hala kïsayelel, a oo kumtondo lo ngawïn ngetar lon al, ke ngonïn kïdïngã ke kïdë. 
DEU.28.57	Ke koi kï tee kamat kï ngana kï oojd kaa ne, a sad gid tilt kïta nyag kï nal kam daiyot kï kamkøl lon madngétasï gugïn døsï gej kam þegt losï tube.
DEU.28.58	Îla oo go roi maj, i hø ðago tag tube lo mberkïnda 'nten in ndangïn kam maktubt 'nten kïtakad i þool tø kïko kï kïkootþool 'nten, ad i tø Bïraþe Luwah loi, al a ne, 
DEU.28.59	Bïraþe a ndai, î kï ngani, kï yokoosï kïyaya, yokoosï kïngang kï to kaglo ngãi kï mõig kï to ngãi kaglo ngãi tø. 
DEU.28.60	A ad yokoosï tube kï Ejipt't ðen kï døit, îgïn i þoold, a høin sem. 
DEU.28.61	Kïtøi 'nten mõig kïdangdang kï yokoosïg'n ndangïn kam maktub mberkïnda 'nten, Bïraþe a la kïdøit mbã kad i goto.
DEU.28.62	Ke neni î ngãibe tit kïmëg kïdørãt kaa ne, a nãi tëbe kïta i tel roi go ndï tat lo Bïraþe Luwah loi al.
DEU.28.63	Tit'n Bïraþe ðan ronel sesï kï n'øjsï kamkë kad i bïlan ngãi ye, titbe tø la Bïraþe a ðan ronel kï n'nujsï kad i goton. A netsï rup kø døningt'n i ndï awïnt kïta taa nyakagþet. 
DEU.28.64	Bïraþe a tïndai tîi ku girrdegt tube kø døngoi døningt kïmad mbã kï kïmadt, nu la a i ða þer lo luwahg'n în kï bøwig gerïnd al, ad i yo kagg kï mbalg. 
DEU.28.65	A i ngah kamkïsokïber ku girrdegt'n non al, danjai a ngah lo taakò al tø. Nu la Bïraþe a ad kami dai ta paa, a ad kumi më; a ad roi oi siw. 
DEU.28.66	Kami a ða bisïsï lo ndiit kïdø dõ, þool a ðai ndø ho kàda ho, kami a dai tapa dø jindiit. 
DEU.28.67	Kisî a i el an: Kad lo søl dømt, na lokïsøle a el an: Kad loti dømt kïta þool'n ðoosï kami kï kïta nyag kï ood kï kumi. 
DEU.28.68	Bïraþe a tel sei kï Ejipt't gog kï tø, ðob'n m'eli taa kete m'an: A ooa gog al. Nu la a i sahn ðob ndugo rosï kï nyambøj tit þerg kïdïngã kï kïdë, na de kï a ndugosï goto. 
DEU.28.69	Tag 'nten la în tag kï kam kunkøt'n Bïraþe un sed ngan Israelg kam døningt kï Moab, na nda mbera Moij, ndad mber dø kunkøt'n un sed dø mbalt kï Horeb.
DEU.29.1	'Nten la în tag lo kunkø'n Bïraþe nda mbera Moij kad un kï Israelag kam døning Moabt, go kunkøt kï un sed mbal Horebt. 
DEU.29.2	Moij kun Israelag tube na eld an: Oon nyag tube'n Bïraþe ða kï Paraõ kï þerg loa kï døning loa tube takumsï kam døning Ejipt't. 
DEU.29.3	Nyanág kïbobo kï nyakøjg kï nyag kï yaya kïbobo'n non, îgïn oon kï kumsï, 
DEU.29.4	na mbã Bïraþe adsï ngarkam kad i gerïn ne girr nya, awïn kï mbi kad oon ne dø ta al. 
DEU.29.5	M'ørrsï ta ðob kam dïlalot asï þal døsøø, na kubg losï ngisï al, sa kï njasït riyo al ho. 
DEU.29.6	I san bïnã al ho, i ãin kasïnduu, ke kasï kï ong al kïtakad i gerïn ne kad mî Bïraþe Luwah losï. 
DEU.29.7	Kamla i ðen kam lot'n ðan, na Siõ ngar kï Hesbon kï Og ngar kï Basan teen ðøøn sej, na tetðøø, 
DEU.29.8	kï taa døning lod j'ad Rubeniag kï Gadiag kï nusï girr Manase nyandubat.
DEU.29.9	Kïtø 'nten i ngomïn go tag lo kunkø 'nten, i høn ðagoot kïtakad maj urrsï dø kïlaðasït tube. 
DEU.29.10	Kamla Moij el an: Þone, în tube i ðan nõ Bïraþe Luwaht losï, in kï bïradø girrkoojg losï kï kïbog losï kï mbaiþeg losï kï dekïdïngãg lo Israel tube. 
DEU.29.11	Ngansïg kï nësïg kï mbah kï ndï kam londït loi, ngega kir loi kï ngeto man loi, 
DEU.29.12	kad and kam kunkøt lo Bïraþe Luwah loi'n, in un adi kï yokïnda þone, 
DEU.29.13	kad n'ndai þone kad î girrdeg lon, na nî kï døn, nî Luwah loi tit'n ndan yo ad bøwig Abraham, Isaak kï Jakab. 
DEU.29.14	I kïtasï kïðabe hã m'unïn køm m'ad kï yokïnda al. 
DEU.29.15	Na i nat kï de'n ða nat sej þone al, kï de'n ða sej nõ Bïraþe Luwaht þone tø.
DEU.29.16	I gerïn tit'n kï ndïn Ejipt't tit'n kï tøin ku girrdeg'n i ndan døningg lod i gangïn. 
DEU.29.17	Oon nyag kïyerr lod'n ðan kï kag kï mbal kï nar arjã kï nar ør kam þegt lod. 
DEU.29.18	Oon go rosï maj, na þeta dekïdïngã ke dekïdë, ke girrnooj, ke girrkooj mad kusït ngarkama nyàgo Bïraþe luwah loj kø, na aw ða þer lo yog lo girrdeg'n non. Ot kadïn ngïr kag kï tee kï wong kï kand kï katbang þa kusït 
DEU.29.19	ad de mad oo dø tag lo kunkø kï yokïnda 'nten î kï døn hit ron kamïnt an: Ke neni m'ndia kïgo kammt kï kongkong kaa m'a m'ngah lapia. 
DEU.29.20	Bïraþe a nyàgo majal lo de'n non al, na sa wong kï jang lo Bïraþe a su luilui dø det'n non, ndølg tube'n ndangïn taa kam maktub 'nten a son døat, Bïraþe a tøl tøa kø girr dørãt. 
DEU.29.21	Bïraþe a ørr de'n non ta dang ku girr Israelagt, kad nya kïto ðaa kïgo ndølgt tube lo kunkø kï ndang kam maktub mberkïnda 'nten. 
DEU.29.22	Ngaka kï a ðen, ngansïg kï a þai gosït kï mbah kï a ðe ko døningt kï sãi, lon oon yokoosï kï døningt kï mõig'n Bïraþe ndan deg kï døningt'n ðan, lon oon døning kïtaagbe kï supïr kïkat, 
DEU.29.23	got horrt duwïn nyako tit al, ndøøn nya mad kam al, mu mad þa tit al, nuj tit Sodom kï Gomorr. Adma kï Seboim'n Bïraþe nujd kï wong lon kï gøl søkïr. 
DEU.29.24	Ã girrdeg tube a elïn anan: Kïtøði Bïraþe a ðan nya kïtitbe kï døning'n ðan a? Girr wong kï tïngabil kïbobe 'nten i ði a? 
DEU.29.25	Deg a turïn anan: Kïtø nyan go kunkø lo Bïraþe Luwah lo bøwdg'n un sed'd lon teen sed døning Ejipt't kïtïga. 
DEU.29.26	Kïtø awïn ðan þer lo yog, øsïn død ber nõdt tø, yog'n gerïnd al, Bïraþe adïnd al tø, 
DEU.29.27	na Bïraþe net deg'n ðan døningt lod kø kï wong kïtalsøkïr kï kïtïngabil, lad kø døningt kïðang tit'n ndï oon ne þone. 
DEU.29.28	Nya kïmund i lo Bïraþe Luwah loj, na nyag kï tee dø i lo nganjg mbãkïnõt kad kï hø ðagoot tagt tube lo mberkïnda 'nten.
DEU.30.1	Lon nyag 'nten tube a teen døit, majkurr kï ndøl'n nda nõit, îla i ga kami dø tat 'nten ku girrdegt'n m'tuþai dandt, 
DEU.30.2	îla i tel kï ro Bïraþe Luwaht loi, na i tel roi go tat loa kï ngarkami tube, î kï nganig, go nyag tube'n m'ndai mbera þone a ne, 
DEU.30.3	Bïraþe loi a tel sei þert, a oo kumtondo loi, a tel kawi kïnat ku girrdegt tube'n Bïraþe Luwah tïnda tîd kudt. 
DEU.30.4	Ke deg loi'n tïnda tînd mbã døngoi dørãt kaa, nu la Bïraþe Luwah loi a kawsï kïnat, ko nu tø a ørrsï ðe sesï. 
DEU.30.5	Bïraþe Luwah loi a ðe sesï kam døningt'n bøwsïg taan kad i taan ho. A ða sei maj, na a adi i bïla kïdøtdøt mbã tøi bøwig. 
DEU.30.6	Bïraþe Luwah loi a ar ngarkami kï ngarkam ngakai kad i tar Bïraþe Luwah loi kï ngarkami tube kï roi tube'n i ndïn kï døi dõ.
DEU.30.7	Bïraþe Luwah loi ad ndølg'n non tube son dø madngétaigt'n øsin ta, na dan roi ndo. 
DEU.30.8	Na î, a i tel roi go ndi tat lo Bïraþe gog, a i ða kïgo mberkïndat loa tube'n m'ndasï þone. 
DEU.30.9	Bïraþe Luwah loi a ad maj urri kï dumbit dø kïlaða jiit tube kï ngan kami kï ngan nyaklug loi kï kand døning loi kïta Bïraþe a ða ronel gog dø majkurr loi tit'n ðan ronel kï bøwi kï maði, 
DEU.30.10	îla i tel roi go ndï tat lo Bïraþe Luwah loi, i ngomgo mberkïndag loa kï takï gang loa'n ndangïn taa kam maktub mberkïndat 'nten, îla i tel kï ro Bïraþe Luwaht loi kï ngarkami tube kï roi tube.
DEU.30.11	Mberkïnda'n m'ndï ndai þone, a tøi tøgi al, i sãi sei al tø. 
DEU.30.12	I kam dørã al kad el an: Nõ a aw dørã kad ðe sia rojt, kad j'oo dø na kï ðagoot a? 
DEU.30.13	I gid bahbot al tø kad el an: Nõ a gang bahbo kad ðe sia rojt j'oo taa, na kï ðagoot a? 
DEU.30.14	Ta i roit nderrbe, ta i kam tait, i ngarkamit kad i hø ðagoot. I køt kumkajir.
DEU.30.15	Oo, þone m'nda kumkajir kï majkurr kï koi kïndøl nõit. 
DEU.30.16	M'ndai mber þone kad i tar Bïraþe Luwah loi, i ndia kï go ðobgt loa, i ngomgo ndikung, kï mberkïndag loa, kï tagkïgang loa kïtakad i ndïn kï døi dõ, i bïla kï døtdøt, na kï Bïraþe loi ad maj urri kam døningt'n i ndï andt kïta taa nyakagþet. 
DEU.30.17	Na îla ngarkami nyàgoa, ad oo dø ta loa al, ad de mad gooli mbã øsï døi ber nõi yogt, i ða þer lod, 
DEU.30.18	m'elsï m'tøsï wakïsï, rota a i nujïn, a i ða ndø ngãi døningt'n i ndï gangïn bah Jurrdë kïta kandt kad i taan. 
DEU.30.19	Þone m'kun dørã kï døning kad manaj døsït, m'ndah kumkajir kï koi ho, m'ndah majkurr kï ndøl ho nõit. I køt kumkajir kad i ndïn kï døi dõ, în kï ngakai, 
DEU.30.20	kad i tar Bïraþe Luwah loi, i tel roi go ndï tat loa, i tïnyan na sia. Kïtø telrogotat'n non i kumkajir loi, kï ndøig kïngãi. Titbe la a asïn ndïn kam døningt'n Bïraþe un køn kï'n ad bøwig: Abraham, Isaak kï Jakob.
DEU.31.1	Moij aw eltag 'nten kï Israelag tube an: 
DEU.31.2	Þone m'ða þal þu kï døjoo, nëbe kï nõt m'asï tee ho kand ho al, na Bïraþe elïm an: A i gang bah Jurrdë'n ðan al. 
DEU.31.3	Bïraþe Luwah loi kï døn a gang bah nõit, a nuj girrdeg'n non nõit kad i taa lo lod, na Jojue a ndia nõit tit'n Bïraþe elïn. 
DEU.31.4	Bïraþe a ða kï girrdeg'n non tit'n ða kï ngar kï Sihõ kï Og ngar lo Amoriag'n nujd kï døning lod. 
DEU.31.5	Bïraþe a lad jisït kad i ðan sed kïgo tat'n m'ndasï mbera. 
DEU.31.6	Iren kamsï, i høn tøgsï bá, ot þoolïn, ot kad kïngasa gasï kïtatød, kïta Bïraþe Luwah loi kï døn a ndia nat sei, a nyài kïnõbe al, a lai kø al tø.
DEU.31.7	Moij kun Jojue ela ta nõ Israelagt tube an: Ire kami, i høtøgibá, îla a ad'd taan døning'n non nyakagþet ye. 
DEU.31.8	Bïraþe kïdøn a ndia nõit, î kïþe kïdøn a i nat sei, a nyài kïnõbe al, lai kø al tø. Ot þool, ot kad kami gang man.
DEU.31.9	Moij ndang mberkïnda 'nten kam maktubt, na la ji Lebiagt ngéjamosï'n ton sund kunkø lo Bïraþe, kï kïbog tube lo Israel. 
DEU.31.10	Moij ndad mber an: Døboi þal kïtanãimïta kïðen, kaglo þal taanyadõt, kaglo ða nah kujkámt, 
DEU.31.11	lon Israelag tube a ðen kï nõ Bïraþe Luwaht loi kam lot'n køt a ne, a i da mberkïnda 'nten nõ Israelgt tube kad oon maj. 
DEU.31.12	A i kaw deg tube kï nat, kïdïngãg kï kïdëg, ngan'g kïmbah ngéndï kam þet loi, kad i oon dø, na i ndoon þool Bïraþe Luwah losï, kï ngomïn go, na høn ða got tagt tube lo mberkïnda 'nten. 
DEU.31.13	Ngandg'n gerïn al a oon dø, a ndoon þool Bïraþe Luwah losï kaglo tube kï a i ndïn ne kï døsï dõ kam døningt kï a i taan nyakagþe got'n i gangïn ne bah Jurrdë woi.
DEU.31.14	Bïraþe el Moij an: Oo ndø koii i nderrbe. I kun Jojue, na awïn kam kujkub ndødnat kïtakad m'ndaa mber tag lom. Moij kï Jojue awïn kam kujkub ndødnat, 
DEU.31.15	na Bïraþe tee kam kujkubt kam pilie kilndiit, na pilie kïndiit duba tabit kujkubt.
DEU.31.16	Bïraþe el Moij an: Oo, a i to nat kï bøwig na deg'n ðan a þain kad ðan kaya kï luwahg kï mbahg kam døningt'n i ndï andïnt. A nyàmïn kø, na a gangïn na kï kunkø'n m'un sed. 
DEU.31.17	Ndøt'n non wong lom kï tïngabil a þai so dødt, m'a m'ya takum kø rodt. A sand na nya kï majal kïdangdang kï kamkølg a ðen dødt mbã a elïn ndøt'n non anan: Nya kï majal 'nten a ðen døjt kïta Luwah loj goto denjt, titbe ale? 
DEU.31.18	Ndøt'n non m'a m'þø takumm rodt kø rota, kïtø majal tube'n kï ðan kïta awïn go Luwahgt kïðang. 
DEU.31.19	Tajigla i ndangïn pa 'nten kad ndoon Israelag, i nda pa 'nten tadt kïtakad tel nya manaj lom kïdø Israelagt. 
DEU.31.20	Kïtø lon m'and sed woi kam døningt'n m'unïn køm kï yokïnda m'ad bøwdg kï m'ad'd døning'n mba kï tej nünt, a san a ndenïn, rod a bo mbulmbul, kamla a tel awïn go luwaht kïðang, ðan þer lod. A kidmïn na a gangïn na kï kunkø lom. 
DEU.31.21	Kamla lon nyag kï majal kï kamkølg son dødt ngãibe son dødt pa 'nten a i nyamnaj kï dødt ( pa 'nten a to ta ngakadt kad kamd oi dø al) kïta m'ger køjtaða lod'n ndï øjïn þone, kete lon m'and sed kam døningt al þaitø, døning'n munïn køm kï yo kïnda kï m'ad'd. 
DEU.31.22	Titbe Moij ndang pa 'nten ndøt'n non na ndoo Israelag. 
DEU.31.23	Bïraþe ndamber Jojue ngon Nun an: Ire kami, i høtøgibá, kïta î la a and kï Israelag kam døning'n m'unïn kø kï yokïnda kï m'ad'd na m'a mî nat sei nat.
DEU.31.24	Lon Moij tïga tag lo mberkïnda 'nten kam maktub kïtaagbe ye, 
DEU.31.25	Moij ndah Lebiag ngéto sund kunkø lo Bïraþe an: 
DEU.31.26	Unïn maktub mberrkïnda 'nten, i lan kad sund kunkøt lo Bïraþe Luwah losï kad i nya manaj døsït nu, 
DEU.31.27	kïta m'ger taaðøø loi kï døngang loi. Îla i taaðøø Bïraþe lon mî'n kï døm dõ kusït þaitø a ne, dø koimt a to titbãi a? 
DEU.31.28	I kawïn bïrabøwg lo girrdeg losï tube kï romt kï mbaiþe losï kad m'eltag 'nten kï mbidt, na m'a m'un kumm dørãt kïdøning kad în ngémanaj dødt, 
DEU.31.29	kïtam'ger go koimt a ne, a i tujïn rosï, a i tøn ðob'n m'ndasï mbera, na majal a ngahsï kam ndøgt kï a ðen kïta ðan majal takum Bïraþet kad i søkïna kïtakul kïlaða jisï. 
DEU.31.30	Kamla Moij eltag kï kam pat 'nten kï mbi ngékawnat lo Israel.
DEU.32.1	Dørãg, i nelïn mbisï na m'a m'elta.
DEU.32.1	Døning, oo dø ta kï tamt.
DEU.32.2	Ad nyandoo lom ur tit ndii kï ked be.
DEU.32.2	Ad ta lom hø tit tal
DEU.32.2	Tit ndii kï nyum kï dø mut kïmbool
DEU.32.2	Tit ndii kï tuso dø mbi kámgt be.
DEU.32.3	Kïtø m'a m'la mber tø Bïraþe,
DEU.32.3	Øsïn gon Luwah loj
DEU.32.4	Î la i mbal, kïlaðaa asïnatap.
DEU.32.4	Kïtø ðobg loa in kïdenesew
DEU.32.4	I Luwah kï ro, i kïkanj majal,
DEU.32.4	I kïdenesew, na i rota.
DEU.32.5	In kï død tujïn rod
DEU.32.5	În ngana al kïtø majal lod.
DEU.32.5	I girrdeg kï ngom kï ðug gøligøli
DEU.32.6	Kï ðob kïtitbe la i ban ne Bïraþe yo?
DEU.32.6	În deg kï þoodg, døsï goto.
DEU.32.6	Ngedahsï adsï ngang ale?
DEU.32.6	Î la þahsï i bøwsï ale?
DEU.32.7	I ga kami dø ndøgt kïmaði,
DEU.32.7	I gah dø þalgt kï ngakat kï ngaka,
DEU.32.7	I ndïje bøwi na a i øji,
DEU.32.7	Kïbog loi tø a elin.
DEU.32.8	Lon Ngetøitøi ad nyanduba girrdeg
DEU.32.8	Lon gang ngan deg nat,
DEU.32.8	Nda dobnin'g lo girrdeg kïdangdang
DEU.32.8	kïgo kør deg kï Israelt
DEU.32.9	Kïtø gaj lo Bïraþe i deg loa,
DEU.32.9	Jakob i gaj nyanduba loa.
DEU.32.10	Ngaha kam dïlalot'n nél lat bibi
DEU.32.10	Gug døa, na oo goa,
DEU.32.10	ngoma tit kørkumïn be.
DEU.32.11	Tit kuro'n oon go kuj lon,
DEU.32.11	ørr bøgïn gugïn dø nganïn.
DEU.32.11	Tee bøgïn øidïn ad nganïn to dø bøgïnt.
DEU.32.12	Bïraþe kïkïðanbe la ørr ta ðob,
DEU.32.12	luwah mad kïmbah goto sia.
DEU.32.13	Ada aw dø logt kï dõ kï døningt,
DEU.32.13	Israel sa kand nya kï ndøøt
DEU.32.13	Ada ning tej kï kam mbalt
DEU.32.13	Yib tee kam mbalt kïngang.
DEU.32.14	Yib mangg kïmbàh batg
DEU.32.14	nat kï mbool ngan batg
DEU.32.14	Þut nyakulg kï Basan nat kï binyag
DEU.32.14	nat kï nyako gem kïmaj.
DEU.32.14	Ãi man nduu kïkïre.
DEU.32.15	Israel bo lublub na þa kï njan,
DEU.32.15	Roi bo mbulmbul, mbooli i ngãi.
DEU.32.15	Na nya Luwah Ngendahn kø,
DEU.32.15	Kid Mbal kaj lon.
DEU.32.16	Søkïna ad jang ðaa kïta luwah kïðang,
DEU.32.16	Adïna þawong kïta kïlaðad kïyerr.
DEU.32.17	Jan kadkari adïn ndil kïyerr, îgïn în luwah al.
DEU.32.17	Adïn kadkarig luwahg'n gerïnd al,
DEU.32.17	Luwah kïkij'n ðen tajigla þaitø
DEU.32.17	în bøwsïg þoolïnd al bat.
DEU.32.18	I nya mbal kï ngekooji kø,
DEU.32.18	kami oi dø Luwaht kï ngeþahi
DEU.32.19	Bïraþe oo kïlaða, na mbetd
DEU.32.19	kïta søkï'n ngana kïdïngãg kïdëg søkïna.
DEU.32.20	El an: M'a þø takumm kø rodt
DEU.32.20	kad m'oo ke døboid a to titbãi a?
DEU.32.20	Kïtø în ngaka kïðug gøligøli,
DEU.32.20	In ngan'g'nrota goto kamdt.
DEU.32.21	Søkmïn kï nya kï i Luwah al ad jang ðam
DEU.32.21	ndun wong lom kïta yog lod.
DEU.32.21	Mî tø m'a m'søkïd ad jang ðad
DEU.32.21	kïta deg'n in girrdeg al,
DEU.32.21	M'a m'ndu wong lod kïta girrde
DEU.32.21	kï goosï losï goto
DEU.32.22	Horr ndï õ kïta wong lom kï tïngabil
DEU.32.22	Ndï õ mbã koo, ndï õ døning
DEU.32.22	kï kand nyag kï tit, ndï õ girr mbalbog.
DEU.32.23	M'a m'ü nyag kï majal kïdødt
DEU.32.23	M'a m'ur kïrãg lom tube kï dødt
DEU.32.24	A nyàmïn kïta þoo kï õd
DEU.32.24	Yokoosï kïmajal a tøld
DEU.32.24	M'a m'la kï nyag ngekørrkødber kam buningt.
DEU.32.25	Nyakat a tøld kø tïga
DEU.32.25	kam kujt þool a tøld søkïr
DEU.32.25	A nujïn takïðabe, basa kï ngomand,
DEU.32.25	Ngon kï tambaht kï bïga kï dø ndà 
DEU.32.26	M'el m'an: M'a m'tîda m'tîd kø sãi,
DEU.32.26	M'a m'ørr ga kam kø ku degt
DEU.32.27	Na m'oo m'an: Madngeta a kidïm
DEU.32.27	ngendøø a ger girr nya 'nten al
DEU.32.27	ad oo anan: Kï tetðøø kïta tøg jij
DEU.32.27	na î Bïraþe hã i ða nya 'nten al
DEU.32.28	I girrdeg kï takøj lod goto
DEU.32.28	ger girr nya goto kamdt tø.
DEU.32.29	Neni gerïn girr nya a ne, ni a gerïn
DEU.32.29	girr nya 'nten, na a gan ta dø nyat kï a tee dødt
DEU.32.30	Titbãi de kïðabe asï tuþa deg dub
DEU.32.30	ke deg joo be asïn tuþan deg dub kïlah a?
DEU.32.30	Kïtø mbal lod ndugod kø
DEU.32.30	Bïraþe tî nyad kïnõbe
DEU.32.31	Kïtø mbal lo girrdeg i tit mbal loj
DEU.32.31	Madngétaj kïdød oo titbe 
DEU.32.32	Kïtø dî nduu lo i dî nduu kï Sodom,
DEU.32.32	I kam ndøøgt lo Gomorr
DEU.32.32	Kand nduu lod i kand nduu lod,
DEU.32.32	î dî nduu kï Sodom
DEU.32.32	Bïra kand nduu lod î kï katbang
DEU.32.33	Kasï nduu lod i wong li
DEU.32.33	I wong ngandam kïmajal
DEU.32.34	M'ngom nya 'nten romt ale?
DEU.32.34	M'þøa kam longom nyamajgt lom ale?
DEU.32.35	Ndangra i lom, m'am'ga gïra,
DEU.32.35	Lon gan ne gigt kïta ndø nuj kø lod i nderrbe,
DEU.32.35	Nyakïto kï a ðad a to køkï al.
DEU.32.36	Bïraþe a gang lo deg lon
DEU.32.36	lon oo tøgd goto, de kïða nãi al,
DEU.32.36	þer ke detanyan.
DEU.32.37	Kamla a el an: Yog lod'n ðah
DEU.32.37	mbal'n yan rod tit i ðah a?
DEU.32.38	Yog lod'n non san mbool dã kadkari kïjakø
DEU.32.38	na ãin kasï nduu kadkari nyakãi lod a?
DEU.32.38	Ad'd þai dõ kad sesï, ad'd
DEU.32.38	telïn loyaro
DEU.32.39	Oon tajigla, i mî la mî Bïraþe
DEU.32.39	Luwah mad kïðang goto
DEU.32.39	M'tøl na m'ad kumkajir
DEU.32.39	M'ad dø na m'yoot
DEU.32.39	De kï asï kug nya kørr jimt goto
DEU.32.40	Kïtø m'la jim kïdõ dørã
DEU.32.40	m'ndan yo m'an: M'ndï kï døm dõ mbãkïnõt
DEU.32.41	Îla m'a m'øl ta kiyaðøø lom
DEU.32.41	ad ndulo at pepep na takïgang i jimt a ne,
DEU.32.41	M'a m'nda ngïra dø madngétamt,
DEU.32.41	M'a m'ga kïrã ngékøsïmta
DEU.32.42	M'a m'ad mosï ða kïrãg lom tit
DEU.32.42	kasï be, na kiyaðøø lom a sa dãd,
DEU.32.42	mosï deg kï tølïnd, kï hønd loðøøt,
DEU.32.42	deg'n bisï død ngal ngãi al.
DEU.32.43	În girrdeg, i ndubïn deg lo Bïraþe
DEU.32.43	Kïtø Luwah nda ngïra dø mosï þergt lon
DEU.32.43	Ndangïra dø madngétangt
DEU.32.43	Na oo kumtondo lo døning lon kï deg lon.
DEU.32.44	Moij nat kï Jojue ngon Nun, eltag tube kïkam pat 'nten mbi degt 
DEU.32.45	na lon Moij tïga keltag 'nten tube nõ Israel kïtaagbe ye, 
DEU.32.46	eld an: I ndan kamsï dø tagt 'nten tube'n m'manaja kusït þonee kad i ndan mbera ngansïg kïtakad ngomïn go kï hø ðan go tag tube lo mberkïnda 'nten. 
DEU.32.47	Kïtø i nya kïkari rosït al, i kumkajir losï. Kïtakula a i ndïn ne kï døsï ndø ngãi kam døningt'n a i gangïn bah Jurdë kïta taa nyakagbþet.
DEU.32.48	Ndøt'n non la Bïraþe elta Moij an: 
DEU.32.49	Aw dø mbalbo Abarim, mbalbo Nebo, kam døning Moab su mba nõ Jeriko, na i nøl døning kanan in m'ndï m'ad Israelag nyakagþet 
DEU.32.50	A i oi dø mbalbot'n i ndï al døt, a awïn sei, ro degt loi tit'n ngonkõi Aarõ oin dø mbalbot kï Horr, na awïn sia ro degt loa, 
DEU.32.51	kïta i ðan majal ndoormïm ne dan Israelagt kad man kï Meriba, ad i Kades, kam dïlalot kï Sin, kïta i øsïn gonïm dan Israelagt al. 
DEU.32.52	A oo døning'n ðan nõit na a and kam døningt'n m'ndï m'ad Israelag al.
DEU.33.1	'Nten la i njang dø'n Moij de lo Luwah njangïn dø Israelag kete nõ koint ye. El an: Bïraþe ðe ko mbalbot kï Sinait 
DEU.33.2	Þai dødt ko Seir ðe rodt.
DEU.33.2	Kunja unj dø mbalbot kï Parã,
DEU.33.2	Ðe kokïro degt kïjaþat kï dubkïlah
DEU.33.2	Na ndõ horr i jikõat kïtatød.
DEU.33.3	Bïraþe tar deg lon kïjaþat tube'n in kam jiat.
DEU.33.3	Ndian dø bang njait, taan ta loi
DEU.33.4	Moij adj mberkïnda,
DEU.33.4	Nyanduba lo ngékawna lo Jakob
DEU.33.5	Bïraþe i ngar kam Israelt
DEU.33.5	Lon bïradø lo deg kawïn na kïnat
DEU.33.5	Girr deg lo Israel tube
DEU.33.6	Kï Rubë ndï døn dõ ka oi al,
DEU.33.6	kad deg loa în tëbe al.
DEU.33.7	Moij elta dø Judat an:
DEU.33.7	A Bïraþe oo dø ndi Juda,
DEU.33.7	I tel sia kï ro degt loa
DEU.33.7	Ðøø kï jin kïta Israel
DEU.33.7	I ða sia kad tuþa madngetan.
DEU.33.8	Elta dø Lebit an:
DEU.33.8	Adïn Tumin kï Urim ji degt kïjaþat
