GEN.1.1	Maawac tahsh kihci niikaan, Kishemanitoo okii oshihtoon kiishik, ahkiini kaye. 
1SA.15.16	Miitahsh Saamiyoo kaa'inaatc Swaalan 
1SA.15.17	Miihsh Saamiyoo kaa⁠ihkitotc, “Aana hsa wiin kiin iko aapitink ekii akaahsenintisoyan, kii⁠ani ishihseni kiin ci⁠okimaahkantawatwaa Isriyalak 
1SA.15.18	KaaTipenciketc ohsha kikii ishinisha'ok kekoon ci⁠wii ishihcikewatc ekii inihk, ‘Maacaan awi caaki' kaa⁠macaatisiwaatc pemaatisiwaatc Amalehk kaatinowiwaatc, miikaash, wawiinke hsa piko caaki'.’ 
1SA.15.19	Wekonen itahsh kaa⁠onci na'ihtawaahsiwatc kaaTipenciketc i'i kaakii inihk; mii hsa kaa⁠ishihcikeyan awahshime ekii aahskonentamowatc otaya'iimiwaan, ekii ishihcikeyan noociko enaahsamiitc kaaTipenciketc,” okii'inaan.
1SA.15.20	Miihsh o'o Swaalan kaa⁠ishi nahkwehtaakotc, “Ninkii na'ihtawaa ohsha kaaTipenciketc, ekii ishihcikewak aaniin kaakii'ishitc ahpii kii⁠maacinisha'otc, ekiih piinak a'a kihciokimaa Ekak 
1SA.15.21	Nintininiimak itahsh kaawiin okii nihsaahsiwaawaa' maanahcaanihsha', pishihkiwa' kaye, kaawiin kaye okii nihshiwanaacihtoohsiinaawaan kekoonan maawac wenishihshininikin. Miiwan tahsh ini kaa⁠miinintc Kishemanitoo ci⁠pakitinaahsoohtamawintc kaaTipenciketc kiKishemanitoom o'omaa ootenaank Kilkal 
1SA.15.22	Miitahsh Saamiyoo kaa⁠ihkitotc, “Nawac ina kaaTipenciketc ominwentaanan kaa‑ankwaahkitenikin kaa⁠pakitinamawintc, kaa⁠pakitinaahsoohtamawintc kaye, ahpiihc wiin ci⁠na'ihtawintipan aaniin ehkitotc? Inashke nawac ohsha onishihshin awiya ci⁠na'ihtankipan ahpiihc wiin ci⁠pakitinaahsohpan, nawac kaye onishihshin awiya ci⁠pisintankipan ahpiihc wiin ci⁠pakitinikaatenikipan opimitewiniwaa aape maanahcaanihshak. 
1SA.15.23	I'i hsa shashiipihtamowin mii 'i enentaakwahk i'i maci'ishihcikewin kaa⁠kakanoonintwaa manitoohkaanak. Kihci inenintisowin hsa inentaakwan taapishkoo awiya kaa⁠manitoohketc. E⁠aanawentamowatc itahsh kaaTipenciketc kaakii inihk, kewiin hsa kitaanawenimik o'o kaashi kihciokimaawiwatc,” okii'inaan.
1SA.15.24	Miihsh Swaalan kaa'ikotc, “Ninkii macitootam; Tepwe iinsan ninkii mamaashiihkantamowaanan kaaTipenciketc otinaahkonikewinan, ini hsa kaye kaakii'ishiyan; onsaam aaniihsh ninkiih kohsaak pemaatisiwaatc, ninkiih pisintawaak kaye aaniin kaakii'ishiwaatc. 
1SA.15.25	Taka tahsh noonkom poonentamawihshin o'o kaashi macitootamaan, taka kaye kika kiiwe wiiciiwin, ci⁠anami'ehtawak kaaTipenciketc,” okii'ikoon.
1SA.15.26	Miihsh Saamiyoo kaa'inaatc Swaalan, “Kaawiin kiwiih kiiwe wiiciiwihsinoon; onsaam aaniihsh kikii aanawentamowaan kaakii inihk kaaTipenciketc; kewiin iitok kitaanawenimik o'o kaashi kihciokimaahkantawimatc Isriyala',” okii'inaan.
1SA.15.28	Miihsh kaa'inaatc Swaalan, “KaaTipenciketc ohsha kipiikopitamaak i'i kitookimaawiwin o'omaa Isriyalihkaank noonkom kaa⁠kiishikaninik; omiinaan ohsha kiicipimaatisiin nawac sesekaa ininiiwinitc ahpiihc kiin. 
1SA.15.29	A'a hsa Kehci inentaakositc i'imaa Isriyalihkaank kaawiin ta⁠kiiwanimohsii, kaawiin kaye ta‑aantentansii, kaawiin iitok tino ininiiwihsii ci⁠aantentankipan,” kii‑ihkito.
1SA.15.30	Miihsh Swaalan kaa⁠ihkitonitc, “Niin hsa ninkii macitootam; taka hsa noonkom kihtenimihshin enaahsamiiwaatc oko kaa⁠niikaanisiwaatc Isriyalak, iki kaye Isriyalak. Taka tahsh kiiwe wiiciiwihshin ci⁠anta anami'ehtawak kaaTipenciketc kiKishemanitoom,” okii'ikoon. 
1SA.15.31	Miitahsh Saamiyoo kaa⁠ishi kiiwe wiiciiwaatc Swaalan, miihsh kaye kaa⁠ishi anami'ehtawaanitc kaaTipencikenitc.
1SA.15.32	Miitahsh o'o Saamiyoo kaa⁠ihkitotc, “Piitamawihshik a'a Ekak kaa⁠kihciokimaahkantawaatc Amalehk kaatinowinitc.” Ekakoon itahsh kii⁠minwentamoon ehpi naasihkaakotc ekii inentaminitc, “Tepwe maawiin kaawiin ninka wiihsakaahpinanikoohsii.” 
1SA.15.33	Miihsh o'o Saamiyoo kaa'inaatc, “Kipashipa'ikewihkomaanink hsa niipiwa' ihkwewak kaa⁠onci ayaawaahsikwaa oniicaanihsiwaa', mii hsa peshikwan kimaamaa kewiin keshi'ayaawaahsik oniicaanihsa'.” Miitahsh Saamiyoo kaa⁠ishi piihsishwaatc Ekakoon enaahsamiinitc kaaTipencikenitc i'imaa Kilkalhkaank.
1SA.15.34	Miitahsh i'i Saamiyoo kaa⁠ishi kiiwetc ootenaank Oremaa 
1SA.15.35	Kaawiin itahsh Saamiyoo miinawaa okii onci waapamaahsiin Swaalan piinihsh ekii otihsaapantank eh⁠kiishikaninik kii‑ishkwaa pimaatisitc; aana hsa ekii mamawimaatc Swaalan. KaaTipenciketc hsa kewiin kii⁠maanentam ekii kihciokimaawi'aatc Swaalan ci⁠tipenimaanitc Isriyala'.
1SA.16.1	KaaTipencikenitc itahsh Saamiyoo okii'ikoon, “Aaniin hsa minihk waa⁠mawimatc Swaal 
1SA.16.2	Saamiyoo 
1SA.16.2	Miihsh o'o kaa⁠ishi nahkwehtaakotc kaaTipencikenitc, “Noonshe pishihkiinhs hsa maaciish, o'o hsa ihkitoohkan; mii hsa kaa⁠onci piishaayan ewiih pakitinaahsoohtamawak kaaTipenciketc. 
1SA.16.3	Cehsi 
1SA.16.4	Miihsh Saamiyoo kaa⁠ishihciketc kaakii'ikotc kaaTipencikenitc ekii ishi takohshink i'imaa ootenaank Pehtalihemink 
1SA.16.5	Mii hsa kaa⁠ihkitotc, “Eya', pisaan nimpi takohshin, nimpi anta pakitinaahsoohtamawaa kaaTipenciketc kaa⁠onci piishaayaan. Pehki'itisok itahsh cishi wiiciiwiyek kaawiih tashi pakitinaahsoyaan.” Okiih pehki'aan hsa kaye Cehsiwan i'i kaye okosihsini ekii ishi wiishaamaatc kaakii wii ishi pakitinaahsotc.
1SA.16.6	Ahpii hsa weti kaa‑ani takohshinowaatc Saamiyoo okii waapamaan Iilaaipan 
1SA.16.7	KaaTipencikenitc hsa okii'ikoon, “Keko wiin aaniin eshinaakositc ishi kanawaapamaahken, aaniin kaye ehkoositc aaniihsh aasha niin ninkii aanawenimaa. Niin kaaKishemanitoowiyaan kaawiin nintishi kanawaapamaahsii inini, ininiwan kaashi kanawaapamikotc; inini hsa saakicaya'ii ishi kanawaapancike, Kishemanitoo tahsh wiin ote'imaa okanawaapantaan,” okii'ikoon.
1SA.16.8	Cehsiwan hsa okii antomaani kotak okosihsini Apinataap 
1SA.16.9	Cehsiwan itahsh okii ani'ininaani Shama 
1SA.16.10	Cehsiwan tahsh minciniishwaahso (7) okosihsini kiih⁠piishaawa' eshi'ayaatc Saamiyoo ci⁠waapamaatc. Mii hsa kaa'inaatc Cehsiwan, “KaaTipenciketc ohsha kaawiin o'o otoonaapamaahsii',” okii'inaan. 
1SA.16.11	Miitahsh kaa‑ani'inaatc, “Mii na 'i ehta entahshiwaatc kikosihsak?”
1SA.16.11	Miihsh o'o Cehsiwan kaa⁠ishi nahkwehtaakotc, “Keyaapi hsa peshik ayaa maawac kaa⁠ohshiimenshimaawitc; weti tahsh ayaa kaashi naanaakaci'aatc maanahcaanihsha',” okii'ikoon.
1SA.16.11	O'ohsh Saamiyoo kii‑ihkito, “Taka hsa antomihk ci⁠piishaatc, kaawiin hsa kika onapihsiimin paanimaa kiih⁠takohshink,” kii‑ihkito. 
1SA.16.12	Miitahsh Cehsiwan kaa⁠ishi antomaanitc ci⁠piicikaniwinitc ini okosihsini. Aahpici hsa kii⁠minonaakosiwan, kii⁠mino'ayaawinaakosiwan kaye, kii⁠minwaapewiwan kaye. KaaTipencikenitc tahsh Saamiyoo okii'ikoon, “Mii ohsha wa'a kaa⁠onaapamak, siikinamaw pimiteni ohtikwaanink,” okii'ikoon. 
1SA.16.13	Mii hsa tahsh Saamiyoo kaa⁠ishi siikinank pimiteni ohtikwaaninink mekweya'ii eshi'ayaanitc wiicihkiweyini. I'i hsa ahpii eh⁠kiishikaninik, kaaTipencikenitc otAhcaahkoni okii mashkawi naasihkaakoon a'a Tepit 
1SA.16.14	Swaal 
1SA.16.15	Miitahsh otanohkii'aakana' kaa'ikotc, “Inashke hsanaa Kishemanitoo maci'ahcaahkwan kitishinisha'amaak ci⁠kakwaatakentamo'imihk. 
1SA.16.16	Taka hsa anoonihshinaam ci⁠nanaantone'wankitc awiya ke⁠nihtaa kitohciketc matweyaapiikipicikanan. Kika kitohcikehtamaak itahsh ahpii otihsimihk maci'ahcaahkwan ke⁠piicinisha'amawihk kaaTipenciketc, miihsh papenak ci‑inamanci'oyan,” okii'ikoo'.
1SA.16.17	Miitahsh Swaal kaa⁠ishi anoonaatc ekii'inaatc, “Ontinamawihshik awiya ke⁠nihtaa kitohciketc, o'omaa tahsh piinaahkek eshi'ayaawak,” kii‑ihkito.
1SA.16.18	Peshik itahsh otanohkii'aakanan okii'ikoon, “Ninkii waapamimaan hsa Cehsi 
1SA.16.19	Miitahsh Swaal kaa⁠ishi ishinisha'waatc awiya' o'o ci⁠awi'inaanitc Cehsiwan, “Taka piicinisha'o kikosihs Tepit 
1SA.16.20	Miitahsh Cehsi kaa⁠ishinisha'waatc Tepitoon ci‑ishiwitamawaanitc Swaalan ci⁠tako piinaanitc maanatihkoonhsan, pahkweshikanan kaye ekiih pihciwane'aatc maanshimihtatimoonk, peshikooshkimot kaye shoominaapooni. 
1SA.16.21	Ahpii tahsh Swaal wetihsikotc Tepitoon, mii 'i kaa⁠ishi maatanohkiihtaakotc. Wiinke okiih saaki'aan, ekiih tinowi'aatc ci⁠pimiwitoonitc omiikaasoowayaan. 
1SA.16.22	Miitahsh Swaal kaakii anoohkiitc ci⁠awi'inimintc Cehsiwan, “Taka pakitin Tepit o'omaa ci⁠ayaatc ci⁠anohkiihtawitc, wiinke ohsha niminwaapamaa,” kii‑ihkito. 
1SA.16.23	Ahpii tahsh iko maci'ahcaahkwan e⁠otihsikotc Kishemanitoon eh⁠piicinisha'amaakotc, mii hsa 'i Tepitoon kaa⁠ishi otaahpinaanitc omatweyaapiikipicikanini ekiih kitohcikenitc. Miitahsh kaa⁠ishi nakanikotc ini maci'ahcaahkwan, papenak kaye ekii inamanci'otc, ekii aahtemanci'otc.
1SA.17.1	Pilistii 
1SA.17.2	A'a tahsh wiin Swaal 
1SA.17.3	Akaamaya'ii ihsa Pilistii kaatinowinitc kii‑ishi'ayaawa' e⁠matwe pihkwatinaanik, kewiinawaa tahsh o'omaa nahke eshi pihkwatinaanik kii‑ishi'ayaawak. Naawaya'ii tahsh kii‑ishi pahsatinaani.
1SA.17.4	Kiih⁠soonkisi hsa Kalaait 
1SA.17.5	Omiikaasowi kikishkikan hsa kaahpaapihkonk kii⁠onci oshihcikaateni ninkotwaahk niishtanashinaanaan (125) tahso tipaapiishkoocikan ekii ahpiihtinikwaninik. Otaanohkwaan kaye kaahpaapihkonk kii⁠onci oshihcikaateni. 
1SA.17.6	Ohkaatink itahsh kaye kaahpaapihkowayaan okiih kikishkaan, otoosaawaapihkowi moohkomaan otinimaakaniniink ekii ishi pimiwanetc. 
1SA.17.7	Ociipowepinikanaahk itahsh kii‑inikohkwaahkwanini taapishkoo ishiikinohkewaahtik, eshi piiwaapihkowaninik itahsh wiin mitaahshinaano tipaapiishkoocikan (15) kii⁠ahpiihtinikwanini. Awiyan kii⁠niikaaniiwan eh⁠pimiwitoonitc nakaa'ikan. 
1SA.17.8	Miitahsh Kalaait kii⁠matwe niipawi ekiih shaakowaanaatc Isriyala' 
1SA.17.9	Kiishpin itahsh shaakooci'itc, nihshitc kaye, mii hsa 'i niinawint ci⁠tipenimiyaank. Kiishpin itahsh wiin shaakooci'ak, nihsak kaye, mii hsa 'i kiinawaa meshkwac ci⁠tipenimikooyek, ci⁠pamiihtawiyaank kaye,” kii⁠nihtaa ihkito. 
1SA.17.10	Miitahsh kaa‑ani ihkitotc, “Noonkom hsa kaa⁠kiishikahk nimaanenimaak enentaakosiwaatc Isriyalak. Miishihshik inini ke⁠miikaatiyaank!” kii⁠matwe ihkito. 
1SA.17.11	Ahpii tahsh Swaal kahkina kaye Isriyalak e⁠noontawaawaatc o'o e⁠ihkitonitc, mii hsa 'i kaa⁠ishi wawaanentamowaatc ekiih sekisiwaatc.
1SA.17.12	Tepit 
1SA.17.13	I'i tahsh nihsin kaakiih sasiihkisinitc okosihsa' okii wiiciiwaani Swaalan ekii anta miikaasonitc. Ini tahsh maawac iko sesiihkisinitc okosihsan Iilaaip 
1SA.17.14	Tepit itahsh maawac kii⁠ohshiimenshimaawi. I'i hsa nihsin kaakiih sasiihkisinitc okii wiiciiwaani Swaalan. 
1SA.17.15	Tepit tahsh kii‑ishi aayaashawishkaa ekii ayonciitc Swaalan eshi'ayaanitc ekii naanaakacihtamawaatc oteten omaanahcaanihshimini weti ootenaank Pehtalihemink.
1SA.17.16	Niimitana (40) tahso kiishik hsa ini kihci Pilistiiwininiwan kiih⁠piishaawan entahso kikishep, entahso onaakohsh kaye ekii matwe oshikaapawinitc.
1SA.17.17	Cehsi tahsh okii'inaan Tepitoon, “Taka noonkom ishiwitaw kihsayenhsak peshikooshkimot ono kaa⁠kaahpitenikin kihtikaanenhsan, mitaahso kaye pahkweshikana'. Ahpahtoon weyiip kaashi kapehshiwaatc kihsayenhsak. 
1SA.17.18	Maaciitoon hsa kaye i'i ciihs 
1SA.17.19	Swaalan ohsha owiiciiwaawaan, i'i kaye kahkina ininiwa' Isriyala' weti kaashi pahsatinaanik Iilah 
1SA.17.20	Wiipa tahsh kikishep Tepit kii⁠wanishkaa ekiih kanawenta'aatc okanawi maanahcaanihshiwen, miitahsh kaa⁠ishi maaciitootc miicim ekii ishihciketc oteten kaakii'ikotc. E⁠ani takohshink tahsh weti kaakii ishi'ayaanitc Isriyala', mekwaa hsa kiih⁠tanahkamikisiwa' eh⁠kwayaanciihtaanitc ewii miikaasonitc, e⁠miikaasowi shaahshaakowenitc kaye. 
1SA.17.21	Isriyalak hsa i'i kaye Pilistii kaatinowinitc kii⁠oshi ayaawak ekii wewentaahsami ayaawaatc ewii miikaatiwaatc. 
1SA.17.22	Tepit tahsh okii nakataan miicim kaakiih pimiwitootc ekiih kanawenta'aatc kaakiih kanawentaminitc aya'iiman kekoonan, ekii ahpahtootc kaawiih tashiihkotaatiwintc ewiih pooshoo'aatc ohsayenhsa'. 
1SA.17.23	Mekwaa tahsh eh⁠kakanoonaatc ohsayenhsa' inashke hsa maawac kaakii soonkisinitc Pilistii kaatinowinitc Kalaait 
1SA.17.24	Ahpii tahsh iki Isriyalak e⁠waapamaawaatc ini ininiwan; mii hsa kaa⁠ishi maaciipa'iwewaatc wiinke ekiih sekisiwaatc. 
1SA.17.25	Miihsh kaa⁠ihkitowaatc, “Kiwaapamaa na a'a inini kaa⁠pinaakositc, mii ohsha 'i kekeht ewiih pi maanenimaatc Isriyala'. Kihciokimaa Swaal hsa wiinke oka kihci wenootisii'aan awenenan ininiwan ke⁠nihsaanitc ini mihsaapewan. Oka tako miinaan ini ininiwan otaanihsan ci⁠wiiwitc, kaawiin kaye memwehc oka tipa'asiin taakihs i'imaa Isriyalihkaank,” kii‑ihkitowak.
1SA.17.26	Miitahsh Tepit kaa'inaatc ininiwa' kaakii wiicikaapawihtawaatc, “Aaniin itahsh ke⁠tootawintipan inini ke⁠nihsaatc ini mihsaapewan, kaahsiinank kaye i'i kaashi miihkinsomimintc Isriyala'? Awenen hsa a'a tino kaa⁠kihkinawaatashakeshwaahsiwintc Pilistii kaatinowitc ci⁠maanenimaahpan oshimaakanihshiimini pemaatisinitc Kishemanitoon?” kii‑ihkito. 
1SA.17.27	Mii hsa kaa⁠ishi wiintamaakotc aaniin ke⁠tootawimintc awiyan iko ke⁠nihsaanitc Kalaaitoon.
1SA.17.28	Ini hsa ohsayenhsan Iilaaip eshinihkaasonitc okii noontaakoon eh⁠kakanoonaatc ininiwa'. Tepit hsa okii nishki'aan Iilaaipan ekii'ikotc, “Wekonen kaa⁠onci piishaayan? Awenen tahsh kaah⁠kanawenta'atc maanahcaanihsha' weti pikwatahkamik? Kikihkenimin ohsha e⁠kihci inenintisoyan, noociko kaye eshi'ayaak kite'; mii hsa kaa⁠onci piishaayan ewii waapankeyan miikaatinaaniwank,” okii'ikoon.
1SA.17.29	Miihsh Tepit kaa⁠ihkitotc, “Aaniin tahsh eshi mamaashiiyaan, nimihci kakwetwe ohsha,” kii‑ihkito. 
1SA.17.30	Kaawiin tahsh awahshime okii inaahsamikaapawihtawaahsiin ohsayenhsan, pehkaanisinitc ihsa awiyan okii naasihkawaan. Mii hsa peshikwan kaa⁠ihkitotc. Miihsh peshikwan kaa'ikotc ininiwa' kaakiih kanoonikotc.
1SA.17.31	Ahpii hsa kaa⁠noontawintc aaniin Tepit kaa⁠ihkitotc; Swaalan hsa kii⁠wiintamawimaawaan. Miitahsh Swaalan kaa⁠ishi antomikotc a'a Tepit.
1SA.17.32	Miitahsh Tepit kaa'inaatc Swaalan, “Taka keko awiya oka seki'ikohsiin iniweniwan Pilistii kaatinowinitc. Niin hsa pemiihtawinaan ninka ishaa ci⁠anta miikaanak a'a Pilistii kaatinowitc,” okii'inaan.
1SA.17.33	Miihsh o'o kaa'ikotc, “Kaawiin etatawe kitaa kashkihtoohsiin ci⁠miikaanatipan a'a Pilistii kaatinowitc. Keyaapi iitok kiin kikwiiwisenhsiw, wiin tahsh wiin kiih⁠kwiiwisenhsiwitc kii⁠onci miikaasowininiiwi,” okii'ikoon.
1SA.17.34	Tepit hsa o'o okii ishi nahkwehtawaan, “Niin hsa kaa⁠pamiihtawinaan, ninkiih kanawenimimaa' nintete omaanahcaanihshima'. Ahpii hsa ko mihshipishiw, komaa kaye mahkwa kii⁠otihshiyamintc, e⁠onci manipinaatc itahsh maanahcaanihshenhsan kaashi ayaanitc maanahcaanihsha', e⁠maaciinaatc itahsh, 
1SA.17.35	mii hsa 'i kaa⁠ishi piminisha'wak ekii miikaanak, ekii mahkamak ini kaakii maaciinaatc ekiih shaapwii'imak. Kiishpin tahsh eh⁠pasikwiitc ewii miikaashitc, mii 'i kaa⁠ishi saki miihshitoonenak, e⁠pahkihte'wak, miitahsh eshi nihsak. 
1SA.17.36	Kaa⁠pamiihtawihk ohsha minciniish mihshipishiwan, mahkwan kaye okii nihsaa'. Mii hsa tahsh peshikwan ke⁠tootawak kaa⁠kihkinawaatashakeshwaahsiwintc Pilistii kaatinowitc; onsaam aaniihsh omaanenimaa' oshimaakanihshiimini Kaa⁠pimaatisinitc Kishemanitoon,” okii'inaan. 
1SA.17.37	Miitahsh kaa‑ani ihkitotc, “KaaTipenciketc ohsha ninkiih shaapwii'ik ci⁠saaminihsinik mihshipishiwan, mahkwan kaye. Miihsh peshikwan keshi shaapwii'itc ini onci Pilistii kaatinowinitc.”
1SA.17.37	O'ohsh Swaalan okii'ikoon, “Haw, maacaan, kaaTipenciketc hsa kika wiiciiwik,” okii'ikoon.
1SA.17.38	Miitahsh kaa⁠ishi miinikotc omiikaasowi kikishkikanini kaakiih piiwaapihkowaninik: miikaasowaanohkwaan osaawaapihkonk kaakii onci oshihcikaatenik, miikaasoowayaanini kaye okiih pihsihkamoo'ikoon ci⁠kikishkank. 
1SA.17.39	Miihsh Tepit kaa⁠ishi pisihkank opashipa'ikewihkomaanini wakici miikasoowayaanink, miitahsh kaa⁠ishi kakweci pimohsetc, kaawiin hsa tahsh okii nanamaashkansiinan. Miihsh kaa'inaatc Swaalan, “Kaawiin nintaa kashki'ohsii o'o ishi'oyaan, kaawiin kaye ninanamaayentansiinan,” okii'inaan. Miihsh Tepit kahkina kaa⁠ishi kiihcikoshkank. 
1SA.17.40	Miitahsh Tepit kaa⁠ishi otaahpinank omihtikoom, ekiih kakiikinaatc kaye naanan (5) ahsinii' kaakii maminwaapihkisinitc ekiih piina'waatc mashkimotensink tino kaakii ayaawaatc okanawi maanahcaanihshiwek. Owepanashkwaan kaye ekiih tahkonank. Miitahsh i'i kaa⁠ishi anta nakishkawaatc ini Pilistii kaatinowinitc.
1SA.17.41	Ini tahsh kihci Pilistii kaatinowinitc kiih⁠pinaakosiwan ekiih pinaasihkaakotc Tepit 
1SA.17.42	Ahpii tahsh kaa⁠waapamikotc ini Pilistii kaatinowinitc kaawiin hsa okii ciihkinaakohsiin; onsaam aniihsh kiih⁠kwiiwisenhsiwinaakosi, kiminonaakosi kaye, kii⁠minwaapewinaakosi kaye. Miihsh kaa⁠ishi maanenimikotc. 
1SA.17.43	Miihsh o'o kaa'ikotc, “Nintanimohshiw ina, mihtikoon kaa⁠onci tahkonaman.” Wiinke kaye okii kihci maci'inaahpinemikoon ekii ahpimonitc omanitoomini. 
1SA.17.44	Miitahsh kaye kaa'ikotc, “Ampe hsa piishaan, ninka ahshamaak hsa pinehshiinshak kaa⁠papaamihsewaatc kiwiiyaw, iki kaye aya'aawihshak mihshawahkamik kaa‑ayaawaatc,” okii ishi miihkinsomikoon.
1SA.17.45	Miitahsh o'o Tepit kaa⁠ishi nahkwehtawaatc Pilistii kaatinowinitc, “Kiin tahsh kipinaasihkawihsh e⁠ayaayan pashipa'ikewihkomaan, ciipowepinikan kaye, i'i kaye ciipowepinikanenhs. Niin itahsh wiin kipinaasihkawin otishinihkaasowinink kaaTipenciketc kaaMaawaci mashkawisiitc, kaa⁠oKishemanitoomiwaatc Isriyali shimaakanihshak kaa⁠maanenimimatc. 
1SA.17.46	Noonkom ohsha kaa⁠kiishikaninik kaaTipenciketc nimiinik ci⁠shaakooci'inaan. Kika kawiwepakanaamin, kiwiih kiishkikweka'on kaye. Noonkom kaye kaa⁠kiishikahk niwii'ahshamaak pinehshiinshak ishpimink kaa⁠papaamihsewaatc, iki kaye aya'aawihshak niwii'ahshamaak iniweniwan owiiyawiwaan Pilistiiwishimaakanihshak. Kahkina hsa tahsh o'omaa ahkiink kaa‑ayaawaatc oka kihkentaanaawaa Kishemanitoon e⁠ayaanitc o'omaa Isriyalahkiink 
1SA.17.47	Oko hsa kahkina o'omaa eyaawaatc oka kihkentaanaawaa kaaTipencikenitc eyaapacihtoohsinik pashipa'ikewihkomaan, ciipowepinikan kaye awiyan kii⁠shaakooci'aanitc. KaaTipenciketc ohsha o'oweni omiikaasowin, niwii miinikonaan ohsha ci⁠shaakooci'ikooyek,” okii'inaan.
1SA.17.48	Pilistii kaatinowinitc itahsh pehsho okiih pinaasihkaakoon ewii miikaanikotc. Miitahsh Tepit kaakii ahpahtootc eshi miikaatiwintc ekii anta nakishkawaatc. 
1SA.17.49	Miihsh kaakii antonaatc ahsiniin omashkimootensink, ekii aapaci'aatc ekiih wepanashkwaanaatc, mayaa ekii miihkwakanaamaatc Pilistii kaatinowinitc oskahtikoniink. Ini tahsh ahsiniin kiih⁠kontaawihsewan oskahtikoniink; mii hsa kaa⁠ishi animihkopankihshininitc mihtahkamik. 
1SA.17.50	 Miitahsh Tepit kaakiih shaakooci'aatc ini Pilistii kaatinowinitc owepanashkwaan ekii aapacihtootc, ahsiniin kaye, mayaa ekii naawahpiskahtikwekanaamaatc, miihsh kaa⁠ishi niiwana'waatc. Kaawiin itahsh pashipa'ikewihkomaan okii ayaahsiin Tepit. 
1SA.17.51	 Kii⁠ahpahtoo tahsh eshi pimihshininitc Pilistii kaatinowinitc, ekii otaahpinamawaatc opashipa'ikewihkomaanini eshi piintenik ekii nihsaatc. Mii hsa 'iweni kaa‑aapacihtootc e⁠kiishkikweka'waatc.
1SA.17.51	I'i hsa Pilistii kaatinowinitc ewaapamaanitc osoonkisiimini e⁠niponitc, mii hsa 'i kaa⁠ishi tapasiinitc. 
1SA.17.52	Iki hsa tahsh Isriyalak, Coota ahkiink 
1SA.17.53	Ahpii tahsh Isriyalak kaah⁠pitakohshinowaatc kii‑ishkwaa piminisha'waawaatc Pilistii kaatinowinitc, mii hsa 'i kaa⁠ishi otaahpinamowaatc kahkina kekoonini kaakii ishi kapehshinihpan. 
1SA.17.54	Tepit tahsh wiin okii ishiwitoon Pilistii kaatinowinitc ohtikwaanini weti kihci ootenaank Ceroosalamink 
1SA.17.55	Ahpii hsa Swaal 
1SA.17.55	Miihsh o'o kaa'ikotc, “Kehcinaac hsa ko eshi pimaatisiyan kihciokimaa, kaawiin hsa ninkihkenimimaahsiin wekosihsimikotc,” okii'ikoon.
1SA.17.56	Miihsh Swaal kaa'inaatc, “Maacaan anta kihkenimim awenenan wekosihsimikotc a'a oshkiniiki,” okii'inaan.
1SA.17.57	Ahpii tahsh Tepit kaah⁠pitakohshink eshi kapehshiwintc kaa⁠ishkwaa nihsaatc Pilistii kaatinowinitc, Aapinaran 
1SA.17.58	Miitahsh kaa⁠ishi kakwecimikotc, “Oshkiniiki, awenen wekosihsimihk?”
1SA.17.58	Miihsh kaa'inaatc, “A'a hsa nintookosihsimik kitanohkii'aakan Cehsi eshinihkaasotc wenciitc Pehtalihemink,” okii'inaan.
1SA.18.1	Ahpii hsa Tepit 
1SA.18.2	Swaalan hsa tahsh okiih kihciwinikoon i'i eh⁠kiishikaninik, kapeya'ii i'imaa ci⁠ayaatc ekiih pakitinikohsik otetehkaank cishi kiiwetc. 
1SA.18.3	Miitahsh Cwaanahtanan kaakii nehpici'ikotc Tepit ewii saaki'ikotc aaniihsh eshi saaki'itisonitc okii ishi saaki'ikoon. 
1SA.18.4	Miihsh kaakiih kiihcikoshkaminitc okashkiikiiwinini ekii miinikotc, tako kaye oshimaakanihshiiwi naapishkikanini. Okii miinikon kaye opashipa'ikewihkomaanini, omihtikwaapiini kaye, okihcihpisonini kaye. 
1SA.18.5	Aanti tahsh iko Tepit kaakii ishinisha'okotc Swaalan, wiinke hsa kii⁠minohseni. Miitahsh kaakii inahsikotc ci⁠shimaakanihshiiwikimaawitc. Kahkina tahsh pemaatisinitc okii minwaapantamini o'o, i'i kaye shimaakanihshiiwikimaa'.
1SA.18.6	Ahpii kaah⁠pikiiwenitc ininiwa' Tepit kii‑ishkwaa nihsaatc Pilistii kaatinowinitc, ihkwewa' ihsa misiwe Isriyali ootenaahkaank kiihpi onciiwa' ekii anta nakishkawaanitc Swaalan ekii nikamonitc, ekii niiminitc kaye. Kiih⁠ciihkihtaakosiwa' kaye e⁠nikamonitc ekii aapaci'aanitc matwehsicikana', matweyaapiikipicikanenhsa' kaye. 
1SA.18.7	 E⁠niiminitc itahsh mii 'owe kaa⁠ina'aminitc,
1SA.18.7	“Swaal wiin mitaahswaahk onihsaa',
1SA.18.7	Tepit itahsh wiin mitaahciink mitaahswaahk onihsaa'.”
1SA.18.8	Swaal tahsh wiinke kii⁠nishkaatisi, kaawiin okii minohtansiin o'o kaakii ihkitowintc, miihsh o'o kaa⁠ihkitotc, “Tepitoon hsa otinakimaawaan mitaahciink mitaahswaahk enihsaanitc, mitaahswaahk itahsh niin ehta. Wekonen itahsh ehtako keyaapi ke⁠ayaahpan, mii ehtako nintookimaawiwin,” kii‑inentam. 
