MAT.1.1	Amo ini an mga kalulululuhi ni Jesu-Cristo na kalahi ni David kag kalahi man ni Abraham.
MRK.7.1	Sadtoʼn panahon may nagtiripon patalibod ni Jesus na mga Pariseo kag san iba na mga paratukdo san Kasuguan na naghali sa Jerusalem. 
MRK.7.2	Didto nagmangno sinda na an iba niya na mga disipulos nagakaraon na bagaʼn maati an kamot kay antes sinda magkaon wara mahugasi an mga kamot susog sa kaugalian san mga Judio. 
MRK.7.3	Niyan an tanan na mga Judio kag lalo na an mga Pariseo antes magkaon nagahugas anay san kamot susog sa kaugalian san inda mga kalulululuhan. 
MRK.7.4	Amo man pag-abot ninda hali sa merkado nagahugas anay sa tama na paagi antes magkaon. Damo pa gayod sindaʼn ginasunod na mga kasadto na kaugalian pareho san paghugas san ginainuman, mga kuron, mga kaldero (kag mga higdaan).
MRK.7.5	Kaya hinunga si Jesus sani na mga Pariseo kag mga paratukdo san Kasuguan, “Nano kay an imo mga disipulos dili nagasunod san kaugalian san mga kalulululuhi kundi nagakaraon na dili nagahugas san mga kamot sa tama na paagi?”
MRK.7.6	Nagsabat si Jesus, “Tama si Isaias san nagsabi siya manungod sa iyo mga pakitaʼn-tawo lang sugad san nasurat,
MRK.7.6	‘Ini na mga tawo ginagalangan ako sa surmaton lang, pero habo an inda mga tagipusuon magsunod sa akon.
MRK.7.7	Waraʼn kapuslanan an inda pagsamba sa akon kay an ginatukdo ninda hali lang sa kaisipan san tawo, dili sa Dios.’
MRK.7.8	Ginpabayaan na ngani niyo an Kasuguan san Dios kag ginapalabi lugod an kaugalian san tawo.”
MRK.7.9	Nagpadayon pa siya, “Mahusay gayod an iyo pagsikway san Kasuguan san Dios para lang masunod an iyo kaugalian! 
MRK.7.10	Halimbawa, nagsabi si Moises,
MRK.7.10	‘Galangon mo an imo ama kag iloy,’
MRK.7.10	kag
MRK.7.10	‘An nagapakaraot sa iya ama kag iloy dapat gayod ipapatay.’
MRK.7.11	Pero kamo naman nagasabi, ‘Kun may magsabi sa iya ama o iloy: Abir an nano man na adi sa akon na ikakabulig sa iyo, 
MRK.7.12	ina an ginatawag ko Corban’ (na an gusto sabihon, halad ina sa Dios), kaya ginabawal na sa iya an paghimo sin nano pa man para sa iya ama kag iloy. 
MRK.7.13	Sani na paagi ginabalewara niyo an surmaton san Dios tungod san kaugalian na gintukdo sa iyo hasta sa iyo mga lahi. Damo pa kamoʼn ginapanghimo na pareho sani.”
MRK.7.14	Ginpahalapit gihapon ni Jesus an mga tawo kag sinabihan, “Pamatii ako kag sabuta niyo tanan! 
MRK.7.15	Waraʼn hali sa guwa san tawo na nakapaati pagsulod sani sa iya kundi an nagaluwas sa tawo an nakapaati sa iya. 
MRK.7.16	An sin-o man na makabati, magpamati sin maayo!”
MRK.7.17	San pagbayai niya sa katawuhan nagsulod siya sa balay. Tapos naghunga an mga disipulos manungod sa iya gin-istorya. 
MRK.7.18	Ginsabat niya sinda, “Nano, dili pa man kamo nakasarabot? Dili ba niyo aram na an nano man na hali sa guwa na nakasulod sa tawo dili makapaati sa iya, 
MRK.7.19	tungod na dili ini nagsulod sa iya tagipusuon kundi sa iya tiyan tapos maluwas sa iya lawas?” (Kaya sani ginapatunayan ni Jesus na an tanan na mga pagkaon makakaon.) 
MRK.7.20	Nagpadayon pa siya, “An nano man na nagaluwas na hali sa tagipusuon san tawo amo an nakapaati sa iya. 
MRK.7.21	Kay an ada sa tagipusuon san tawo nagahali an mga maraot na kaisipan, pagdurog sa dili asawa, pangawat, pagpatay, 
MRK.7.22	panambay, pagkapaslo sa kwarta, grabe na karautan, pagpanluko, maraot na pagkabuhay, pagkaawa, pagpakaraot sa kapwa, mapahitaason kag kabuangan. 
MRK.7.23	Ini tanan na mga karautan nagahali sa kabubut-on san tawo kag amo ini an nakapaati sa iya.”
MRK.7.24	Naghali si Jesus didto kag pumakadto sa Tiro kag Sidon. Sumulod siya didto sa usad na balay kay habo na may makaaram na adto siya pero wara siya katago. 
MRK.7.25	Niyan may babayi didto na may daragita na nasudlan sin maraot na espirito. Pakabarita sani na babayi na adto si Jesus kumadto dayon siya kag lumuhod sa may tiilan ni Jesus. 
MRK.7.26	Griego idtoʼn babayi pero nabuhay siya sa Fenicia na adto sa Siria. Nakimaluoy man siya kan Jesus na pahalion an maraot na espirito na nagsulod sa iya anak. 
MRK.7.27	Sinabihan naman niya an babayi, “An mga kabataan anay an pakaunon kay dili tama na kuhaon an pagkaon sa inda kag ibahog lugod sa kaiduan.”
MRK.7.28	Pero sinabat siya san babayi, “Tama, Ginoo, pero an mga ido sa sirong san lamesa nababahugan man ngani san nagakatarakdag na mga mumho san mga bata.”
MRK.7.29	Tapos ginsabihan siya ni Jesus, “Tia, dahilan sani na pagsabi mo makauli ka na. An maraot na espirito naghali na sa imo bata.”
MRK.7.30	Umuli na an babayi kag inabtan niya na an bata nakahigda na sa katri kag wara na an maraot na espirito.
MRK.7.31	Pagbalik ni Jesus hali sa Tiro nag-agi siya sa Sidon pakadto sa Danaw san Galilea hasta sa mga lugar san Decapolis. 
MRK.7.32	Didto may mga tawo na dinarhan siya sin apa na lalaki kag nakimaluoy sinda na dapatan lang ni Jesus san iya kamot an tawo agod mag-ayo ini.
MRK.7.33	Gin-agda ini ni Jesus na mag-upod sa iya kag binulag sa kadamuan. Tapos sinulod niya an iya mga tudlo sa mga talinga san tawo. Pakatapos nagluda kag gindutdot an dila sani. 
MRK.7.34	Pakahimo sani humangad si Jesus sa langit, nagginhawa sin halawig kag nagsabi, “Effata!” na an gusto sabihon “Mag-abri!” 
MRK.7.35	Insigida nakabati an tawo, nakahiwag man an iya dila kag nakasurmaton sin klarado.
MRK.7.36	Ginpadaanan ni Jesus an kadamuan na dili gayod magpanumat bisan kanin-o. Pero kun sing-ano an kapadaan niya mas lalo man lugod na inda ini ginpamarita. 
MRK.7.37	Kaya grabe gayod an inda pagngalas kan Jesus kag nagasabi, “Ginhimuan niya sin maayo an tanan. Ginapabati niya an mga bungol kag ginapasurmaton an mga apa.”
MRK.8.1	Sadto na panahon may nagtiripon gihapon kan Jesus na pagkadamu-damo na katawuhan. Adto sinda kaupod niya sa sulod sin tulo ka adlaw kaya nagkaurubusan gayod sinda sin balon. Ginpahalapit ni Jesus an iya mga disipulos kag sinabihan sinda, 
MRK.8.2	“Kaluoy ko sa mga katawuhan tungod na nakiupod sinda sa akon sa sulod sin tulo na ka adlaw yana kag waraʼn makaon. 
MRK.8.3	Kun paulion ko sinda na gutom basi magkadirismayo sinda sa dalan kay an iba sa inda hali pa sa harayo na lugar.”
MRK.8.4	Nagsabat an iya mga disipulos, “Adi kita sa kabukidan kaya diin kita makuha didi sin makaigo na pagkaon para ipakaon sani na mga katawuhan?”
MRK.8.5	Naghunga naman siya sa inda, “Pira ka bilog na tinapay an ada sa iyo?”, “Pito lang,” an inda sabat.
MRK.8.6	Ginpairingkod ni Jesus an mga katawuhan sa duta. Tapos kinuha niya an pito ka bilog na tinapay. Pakapasalamat gin-utud-utod an tinapay kag ginbarahin sa iya mga disipulos agod ipanghatag ninda sa katawuhan. 
MRK.8.7	Igwa man sinda sin pira ka bilog na isda. Pakapasalamati man sani ni Jesus ginsugo niya an mga disipulos na ipanghatag sa mga tawo. 
MRK.8.8	Nagkaraon sinda tanan kag nagkaburusog. Pagkatapos an nabilin na mga tinapay kag isda ginpunpon san mga disipulos kag nakapuno pa sin pito na bangkat. 
MRK.8.9	Mga upat ka libo na mga tawo an adto didto. Pagkabusog na san mga tawo pinauli na sinda ni Jesus 
MRK.8.10	kag sadto mismo nagsakay siya sa dako na baruto kaupod an iya mga disipulos kag nagkadto sinda sa lugar san Dalmanuta.
MRK.8.11	Pag-abot ninda didto nagkadto naman an mga Pariseo kan Jesus kag nagtuna pakigsuay sa iya. Nangayo sinda na maghimo siya sin milagro bilang tanda na hali sa langit an iya poder. Ini pagporbar lang sa iya. 
MRK.8.12	Naghangos naman sin halawig si Jesus na nagsabi, “Nano kay nagahanap kamo sin tanda? Tandai an sasabihon ko, wara sin nano man na tanda na igapakita sani na katawuhan.” 
MRK.8.13	Tapos binayaan sinda ni Jesus kag nagsakay gihapon sa dako na baruto patabok.
MRK.8.14	Niyan didto sa baruto nalimtan gali san mga disipulos magdara sin balon. Usad lang ka bilog na tinapay an dara didto ninda. 
MRK.8.15	Didi ginpadaanan sinda ni Jesus, “Paghimat kamo! Likayi niyo an lebadura san mga Pariseo kag amo man ni Herodes.”
MRK.8.16	Nag-iristoryahan sinda, “Tungod na wara kita sin tinapay kaya nagsabi siya sana.”
MRK.8.17	Naaraman ni Jesus kaya hinunga sinda, “Nano kay ginairistoryahan niyo na wara kamoʼn dara na tinapay? Dili pa ba niyo naiintyindihan? Wara pa ba kamoʼn pagkasabot? Matugas lang gihapon kamo? 
MRK.8.18	Nano, dili kamo nakagamit san mga mata para makita? May talinga man kamo, kaya nano, dili kamo nakagamit sani para mamati? Dili ba niyo nadudumduman? 
MRK.8.19	San utud-utudon ko an lima ka bilog na tinapay para sa lima ka libo ka tawo, pira ka bangkat an iyo natipon?”
MRK.8.19	An sabat ninda, “Dose.”
MRK.8.20	“San hinimo ko naman sa pito ka bilog na tinapay para sa upat ka libo, pira pa ka bangkat an iyo natipon?”
MRK.8.20	Nagsabat gihapon sinda, “Pito.”
MRK.8.21	Ginhunga pa gihapon sinda ni Jesus, “Wara pa ba kamo kasabot?”
MRK.8.22	Pagdungka ninda sa Betsaida may buta na lalaki na gindara san iba na mga tawo kan Jesus kag nakimaluoy sinda para dapatan ini. 
MRK.8.23	Kinabit an buta paluwas san baryo. Didto ginludaan ni Jesus an mata san buta, gindapatan san iya kamot kag hinunga, “May nakikita ka ba?”
MRK.8.24	An tawo na nakaaninag pa lang nagsabat, “Nakakita na akoʼn mga tawo pero baga sinda an mga kahoy na nagaralakat.”
MRK.8.25	Tapos dinapatan gihapon ni Jesus an mata san lalaki kag ini nakakita na sin maayo. Nagpawa na an iya pangita san tanan na bagay. 
MRK.8.26	Kaya pinauli siya ni Jesus na ginasabi, “Ayaw na pagbalik didto sa baryo.”
MRK.8.27	Nagpauruunhan sinda Jesus pakadto sa mga baryo san Cesarea Filipo. Sa inda pagalakat hinunga niya an mga disipulos, “Sumati daw niyo ako kun nano an pagkakilala sa akon san mga tawo.”
MRK.8.28	Nagsabat sinda, “An sabi san iba ikaw kuno si Juan na Parabunyag, an iba man nagasabi na ikaw kuno si Elias, kag may nagasarabi pa na ikaw kuno usad san mga kasadto na mga propeta.”
MRK.8.29	“Pero kamo naman, nano an pagkakilala niyo sa akon?” naghunga gihapon si Jesus.
MRK.8.29	Nagsabat naman si Pedro, “Ikaw an Cristo na gintuga san Dios na ipapakadi.”
MRK.8.30	Ginpadaanan naman niya sinda na dili gayod magpanumat bisan kanin-o man manungod sa iya.
MRK.8.31	Nagtuna si Jesus pagtukdo sa inda na siya na Anak San Tawo dapat magtios sin grabe, pagapaambutan san mga kamagurangan na namumuno san mga Judio, mga namumuno san kapadian kag mga paratukdo san Kasuguan. Tapos papatayon siya pero pakalipas sin tulo ka adlaw mabubuhay gihapon. 
MRK.8.32	Hayag na sinabi niya ini. Tapos ginbulag anay siya ni Pedro sa kadamuan kag nagtuna pagsaway sa iya.
MRK.8.33	Pero paglingi sinud-ong ni Jesus an iya mga disipulos kag gin-uritan si Pedro na an sabi, “Layas dida, Satanas! An imo ginaisip dili makaDios kundi makatawo.”
MRK.8.34	Ginpahalapit ni Jesus an mga tawo kaupod an iya mga disipulos kag ginsabihan sinda, “Kun may gusto mag-upod sa akon bilang disipulos ko dili dapat niya sundon an sadiri niya na kabubut-on kundi sundon lugod an kaburut-on ko kag pas-anon an iya krus na amo an pagtios tungod sa akon. 
MRK.8.35	Nasabi ko ini kay an nagahandom na masalbar an iya buhay para sa iya sadiri mawawar-an lugod sani, pero an maghalad san iya buhay alang-alang sa akon kag sa Maayo Na Barita masasalbar lugod sani. 
MRK.8.36	Kay nano man an pakinabang san tawo kun mapasa iya an bilog na kinab-an kag an kabalyo sani an pagkawara san iya buhay? Syimpre wara gayod! 
MRK.8.37	Kay wara man siyaʼn mahatag agod mapabalik ina na buhay. 
MRK.8.38	Kaya kun may tawo na ikakaalo ako kag san akon mga surmaton sani na makalalaw-ay kag makasasala na panahon, ikakaalo ko man siya bilang Anak San Tawo pagbalik ko sa kapawa san glorya san akon Ama kag kaupod an mga banal na anghel.”
MRK.9.1	Nagpadayon si Jesus pag-istorya, “Ginasiguro ko sa iyo na igwa sin pira sa iyo na nagatindog didi na dili mamamatay hasta makita an pag-abot san kahadian san Dios na magaabot na may kagamhanan.”
MRK.9.2	Pagkalipas sin unom ka adlaw gin-agda ni Jesus sinda Pedro, Santiago kag Juan pagsagka kaupod niya sa hataas na bukid na sinda-sinda lang gayod. Didto sa atubangan mismo ninda nag-iba an hitsura ni Jesus. 
MRK.9.3	Nagputi-puti na nagakinang-kinang an iya bado kag wara na sin makapaputi pa gayod sin pareho sadto didi sa kinab-an. 
MRK.9.4	Myintras sinda nagamiron nagpakita sa inda sinda Elias kag Moises kag nakisurmaton sinda kan Jesus.
MRK.9.5	Didi ginsabihan ni Pedro si Jesus, “Maestro, maayo man na adi kita. Tugutan kami na magtindog didi sin tulo na kubung-kubong na an usad sa imo, usad naman kan Moises kag usad pa kan Elias.” 
MRK.9.6	Nasabi ini ni Pedro kay nagkaharadlok gayod sinda kaya dili niya aram kun nanoʼn sabihon.
MRK.9.7	Taud-taod may dampog na nahandungan sinda kag didto may nabati sinda na boses, “Amo ini an akon pinalangga na Anak. Pamatii niyo siya!”
MRK.9.8	Paglingat-lingat dayon ninda sa patalibod wara sinda sin iba na nakita kundi si Jesus lang.
MRK.9.9	Paglugsad na ninda hali sa bukid ginpadaanan naman niya sinda na, “Ayaw gayod kamo pagpanumat bisan kanin-o san iyo nakita hasta ako na an Anak San Tawo mabuhay gihapon hali sa pagkamatay.”
MRK.9.10	Tinandaan ninda sin maayo an padaan ni Jesus pero nagpahurunga-hunga kun nano an gusto sabihon san “pagkabuhay gihapon hali sa pagkamatay.” 
MRK.9.11	Tapos hinunga ninda si Jesus, “Nano kay nagasarabi an mga paratukdo san Kasuguan na dapat mauuna anay pagpakadi si Elias antes an Cristo?”
MRK.9.12	“Matuod,” an sabat niya, “Mauuna si Elias pag-abot para kitaon na an tanan-tanan nasa tama na kamutangan. Pero nano kay nasabi sa Banal Na Kasuratan na ako na Anak San Tawo magatios gayod kag igasikway? 
MRK.9.13	Tandai an sasabihon ko, nag-abot na si Elias kag gintratar siya san mga tawo sugad san gusto ninda susog sa nasurat sa Banal Na Kasuratan manungod sa iya.”
MRK.9.14	Paglugsad na ninda Jesus sa bukid kag nagapahalapit man gihapon sa iba na mga disipulos, nakita ninda na damu-damo anmga tawo patalibod kag may mga paratukdo man san Kasuguan na nakigsuay pa sa inda. 
MRK.9.15	Pakalantaw san mga tawo kan Jesus nagkangarawa sinda kag nagdaralagan pakadto sa iya agod kumustahon siya.
MRK.9.16	Naghunga si Jesus, “Nano an ginapakigsuayan niyo sa inda?”
MRK.9.17	May tawo sa kadamuan na nagsabat, “Maestro, ginpakadi ko sa imo an akon anak na lalaki kay ginsudlan siya sin maraot na espirito na nakapaapa sa iya. 
MRK.9.18	Kun ginaataki siya ginasagmok siya sa duta, nagabura an iya ba-ba, nagapagot an iya ngipon kag nagapanugas san iya lawas. Nakimaluoy ako sa imo mga disipulos na pahalion an maraot na espirito pero wara sindaʼn nahimo.”
MRK.9.19	Sinabat naman sinda ni Jesus, “Mga waraʼn pagtuod, hasta san-o ta kamo dapat pagatiusan? Nano, dapat ako makiupod sa iyo hasta na lang? Sige, pakadia niyo siya sa akon.”
MRK.9.20	Kaya dinara ninda an bata sa iya. Pakakita lang san maraot na espirito kan Jesus ginauy-og dayon an bata na natumba sa duta na nagaligid-ligid kag nagabura an baba.
MRK.9.21	Hinunga ni Jesus an ama, “Kasan-o pa nagtuna ini na nangyayari sa iya?”
MRK.9.21	“Tuna san dyutay pa siya na bata,” an sabat san ama. 
MRK.9.22	“Pirme siya sani ginalabog sa kalayo kag tubig para patayon. Kaya kun may mahimo ka man lang, maluoy ka sa amon kag buligi man kami.”
MRK.9.23	“‘Kun may mahimo’?” an sabat ni Jesus! “An tanan mahihimo kun may pagtuod.”
MRK.9.24	Insigida sumiyak an ama san bata, “Nagatuod po ako. Punui man an kakulangan san akon pagtuod.”
MRK.9.25	Pakakita ni Jesus na nagadamo an mga miron na nagadiris-ukan patalibod, sinaway niya an maraot na espirito, “Ikaw na espirito na nakapaapa kag nakapabungol, magluwas ka sa bata kag ayaw na gayod pagsulod pa.”
MRK.9.26	Pakasiyak san maraot na espirito gin-uy-og sin makusog an bata kag naghali na. An bata nakahigda didto na bagaʼn patay na, kaya an kadamuan nagasarabi, “Patay na siya.” 
MRK.9.27	Pero kinaptan siya ni Jesus sa kamot, binangon kag nakatindog na siya.
MRK.9.28	Pagsulod na gihapon ni Jesus sa balay kag sinda-sinda na lang san iya mga disipulos naghunga sinda, “Nano kay wara namon mapaluwas idtoʼn demonyo?”
MRK.9.29	Ginsabat sinda ni Jesus, “Amo ini an klase san maraot na espirito na napapahali lang paagi sa pagpangadyi.”
MRK.9.30	Paghali ninda sadto na lugar nag-agi sinda sa Galilea pero habo si Jesus na maaraman pa ini san mga tawo, 
MRK.9.31	kay ginatukduan niya an iya mga disipulos. Ginasabi niya, “Ako na Anak San Tawo iintriga sa gahom san katawuhan tapos igapapatay ako pero pag-ikatulo ka adlaw mabubuhay gihapon.” 
MRK.9.32	Dili pa gihapon ninda nasabutan an iya gusto sabihon kag nahahadlok sinda maghunga sa iya.
MRK.9.33	Pag-abot ninda sa Capernaum, nagsulod sinda sa balay. Didto hinunga sinda ni Jesus, “Nano an ginaparasuruayan niyo sa dalan?” 
MRK.9.34	Waraʼn nagsabat sa inda kay an ginasuruayan ninda kun sin-o gayod sa inda an pinakalabaw sa tanan.
MRK.9.35	Kaya nag-ingkod si Jesus, tinawag an dose kag sinabihan, “An gusto mag-una kinahanglan na magpaurhi anay kag magin suruguon san tanan.”
MRK.9.36	Tapos nagkuha siya sin bata kag pinatindog niya sa atubangan ninda. Kinugos niya ini, 
MRK.9.37	kag nagsabi, “An makaako sin pareho sani na bata sa ngaran ko ginaako man ako kag an mag-ako sa akon dili lang ako an iya ginaako kundi an nagsugo sa akon.”
MRK.9.38	Niyan may ginsumat si Juan sa iya, “Maestro, nakakita kami sin lalaki na nagapaluwas sin mga demonyo sa lawas san mga tawo paagi sa imo ngaran. Kaya ginbawalan namon siya kay dili man naton kaupod.”
MRK.9.39	Pero sinabihan sinda ni Jesus, “Ayaw niyo siya pagbawali kay wara sin tawo na pakatapos maghimo sin milagro sa ngaran ko mapakaraot dayon sa akon. 
MRK.9.40	An dili nagakontra sa aton apin sa aton. 
MRK.9.41	Idtoʼn maghatag sa iyo sin tubig na irimnon tungod kay mga sakop kamo ni Cristo sigurado gayod na makabaton siyaʼn balos.”
MRK.9.42	“Kun may nakapakasala sani na mga kabataan na may pagtuod sa akon maayo pa na bitayan idto sin dako na gilingan na bato sa liog kag ipilak sa dagat. 
MRK.9.43	Kun an imo kamot amo an makapakasala sa imo, utuda ina! Maayo pa na mabuhay ka na pungkol ki sa may duha na kamot kag mapaimpyerno ka sa kalayo na dili gayod napaparong. 
MRK.9.44	Didto an mga ulod waraʼn udong sin kakakutkot san mga lawas kag dili man gayod napaparong an kalayo. 
MRK.9.45	Kun an imo tiil amo man an makapakasala sa imo, utuda ina! Maayo pa na mabuhay ka na pilay ki sa duha an tiil mo kag mapaimpyerno ka lugod. 
MRK.9.46	Didto an mga ulod waraʼn udong sin kakakutkot san mga lawas kag dili man gayod napaparong an kalayo. 
MRK.9.47	Kun an imo naman mata an dahilan san imo pagkasala, lukata! Mas maayo pa na makasulod ka sa kahadian san Dios na may usad lang an mata ki sa duha an imo mata kag mapaimpyerno ka. 
MRK.9.48	Didto
MRK.9.48	‘an mga ulod waraʼn udong sin kakakutkot san mga lawas kag dili man gayod napaparong an kalayo.’
MRK.9.49	“An tanan magapalinis paagi sa kalayo pareho san pagpabanal san sakripisyo paagi san asin. 
MRK.9.50	Maayo an asin pero kun an asin mawar-an sin arat pan-o pa ini mapaarat gihapon? Magin pareho lugod kamo san asin kag dili na kamo magsaramok.”
MRK.10.1	Paghali ninda Jesus sa Capernaum nagpakadto sa probinsya san Judea kag hasta sa unhan san suba san Jordan. Damu-damo man na mga tawo an nagtiriripon kan Jesus kag pareho san dati na iya ginahimo gintukduan niya sinda.
MRK.10.2	May mga Pariseo na naghalapit sa iya kag naghunga agod maporbaran siya. “Nano, kontra sa Kasuguan na bulagan san lalaki an iya asawa?”
MRK.10.3	Ginsabat sinda ni Jesus, “Nano an ginmanda ni Moises sa iyo?”
MRK.10.4	Nagsabat sinda, “Gintugutan ni Moises na pahalion san lalaki an iya asawa pakasurat na niya san kasuratan sa pakigbulag kag ginhatag ini sa iya.”
MRK.10.5	Niyan ginsabihan sinda ni Jesus, “Dahilan sa iyo kasutilan kaya ginsurat niya ini na sugo. 
MRK.10.6	Pero sa katuna-tunai pa san paglalang susog sa Kasuratan, ‘ginlalang san Dios an mga tawo na magin lalaki kag babayi.’
MRK.10.7	‘Dahilan sani pagabayaan san lalaki an iya ama kag iloy, 
MRK.10.8	kag makig-upod sa iya asawa,’
MRK.10.9	Kun kaya an ginbiyo san Dios dili dapat pagbulagon san tawo.”
MRK.10.10	Pagbalik ninda Jesus sa balay naghurunga gihapon sa iya an mga disipulos manungod sani. 
MRK.10.11	Ginsabat niya sinda na “An lalaki na makigbulag sa iya asawa kag mag-asawa sa iba nagakasala sin pagpanambay kontra sa iya asawa. 
MRK.10.12	Amo man kun an babayi bulagan an iya asawa kag magpaasawa sa iba siya man nagakasala sin pagpanambay.”
MRK.10.13	May mga tawo na nagadara kan Jesus sin tigdyutay na kabataan agod madapatan niya pero pakakita sani san mga disipulos ginsaway idtoʼn mga katawuhan. 
MRK.10.14	San makita ni Jesus an inda hinimo naurit kag sinabihan sinda, “Ayaw niyo pag-ulanga an mga tigdyutay na kabataan kundi pakadia sa akon kay para sa pareho sani na mga bata an kahadian san Dios. 
MRK.10.15	Ginasiguro ko sa iyo na an sin-o man na dili magpasakop sa paghadi san Dios na pareho sin dyutay na bata dili makasulod sana na kahadian.” 
MRK.10.16	Tapos ginkugos niya an mga kabataan, gindapatan san iya kamot kag ginbendisyunan.
MRK.10.17	San magtuna na si Jesus paglakat, may lalaki na nagdalagan pakadto sa iya, nagluhod sa atubangan niya kag naghunga, “Maayo na maestro, nano an dapat ko himuon agod masadiri ko an buhay na waraʼn katapusan?”
MRK.10.18	Ginhunga siya ni Jesus, “Nano kay ginatawag mo ako na maayo? Waraʼn iba na maayo kundi an Dios lang. 
MRK.10.19	Aram mo na an mga Kasuguan: ‘Dili ka magpatay, dili ka magpanambay, dili ka magpangawat, dili ka magtestigos sin kabuwaan, dili ka magdaya, galangan mo an imo ama kag iloy.’,”
MRK.10.20	Ginsabihan siya san lalaki, “Maestro, gintuman ko ina tanan tuna san bata pa ako.”
MRK.10.21	Sinud-ong siya ni Jesus na may pagkamuot kag sinabihan, “Igwa pa sin kulang sa imo. Mag-uli ka, ibaligya an tanan mo na kasadirihan tapos ipanghatag sa pobre an kabaklanan kay magkakaigwa ka sin kayamanan kaupod sa Dios sa langit. Pakatapos bumalik ka kag mag-upod sa akon.”
MRK.10.22	Naglain an buot san lalaki pakabati niya sadto kag mamunduon na naglakat dahilan na mayaman-yaman siya.
MRK.10.23	Paglingi ni Jesus sa iya mga disipulos sinabihan, “Malisod gayod sa mga mayaman an pagsulod sa kahadian san Dios!”
MRK.10.24	Nagkangarawa an mga disipulos sa iya mga surmaton. Pero nagpadayon pagsurmaton sa inda si Jesus, “Mga anak, malisod gayod an pagsulod sa kahadian san Dios! 
MRK.10.25	Mas masayon pa makaagi an kamelyo sa luho san dagom ki sa pagsulod san mayaman sa kahadian san Dios.”
MRK.10.26	Mas lalo na nagkangarawa an iya mga disipulos. Kaya naghunga sinda, “Kun sugad sin-o man gali an masasalbar?”
MRK.10.27	Ginsud-ong sinda ni Jesus kag ginsabihan, “Dili kaya an mga tawo na mahimo sani pero kaya san Dios kay siya an makahimo san tanan.”
MRK.10.28	Didi nagsabi si Pedro, “Kitaa. Ginbayaan namon an tanan agod mag-upod sa imo.”
MRK.10.29	Nagsabat si Jesus, “Matuod na ginasabi ko sa iyo, waraʼn nabaya san panimalay, mga kamaranghod, ama, iloy, mga anak, o kasadirihan dahilan sa akon kag sa pagpalukop san Maayo Na Barita 
MRK.10.30	na dili makabaton sin ginatus-gatos sani na panahon sin mga panimalay, mga kamaranghod, mga ama, mga iloy, mga kabataan kag mga kasadirihan na may kaupod man na kasakitan kag sa maabot na panahon magkakaigwa naman sin buhay na waraʼn katapusan. 
MRK.10.31	Damo ugaling na mga kilala na tawo yana an mapapaubos kag an mapapaitaas naman an mga dili kilala na tawo yana.”
MRK.10.32	San nagasaragka na sinda pakadto sa Jerusalem nauna si Jesus. Nagkangarawa an mga disipulos kag nagkaharadlok idtoʼn mga tawo naman na nagasurunod sa inda. Ginbulag gihapon ni Jesus an dose na disipulos kag ginpahayagan sinda kun nano an mangyayari sa iya. 
MRK.10.33	“Tandai pa niyo an sasabihon ko, yana nagasagka kita pa-Jerusalem kag pag-abot didto ako na Anak San Tawo igaintriga sa mga pinakapuno san kapadian kag sa mga paratukdo san Kasuguan. Tapos magahusgar sinda na patayon ako kaya iintriga naman sa mga dili-Judio. 
MRK.10.34	Kun ada na ako sa inda, sinda magatuya-tuya, magaluda, magabunal kag magapatay sa akon pero sa ikatulo na adlaw mabubuhay ako gihapon.”
MRK.10.35	Naghalapit kan Jesus an magmanghod na sinda Santiago kag Juan na mga anak ni Zebedeo tapos ginsabihan siya, “Maestro, gusto namon na himuon mo an pagahangyuon namon sa imo.”
MRK.10.36	Ginhunga niya sinda, “Nano an gusto niyo na himuon ko para sa iyo?”
MRK.10.37	Nagsabat sinda, “Tuguti na makaingkod kami sa magluyo mo kun magahadi ka sa imo glorya didto sa Jerusalem.”
MRK.10.38	Didi ginsabihan sinda ni Jesus, “Dili niyo aram kun nano an iyo ginahangyo kay dapat anay ako magtios antes magahadi. Nano, makainom kamo sa kupa na akon pagainuman? Nano, makaako man kamo san pagbunyag na para sa akon?”
MRK.10.39	Nagsabat man sinda, “Opo.”
MRK.10.39	Tapos, ginsabihan naman sinda ni Jesus, “Amo ngani, pagainuman man niyo an kupa na akon pagainuman kag kamo pagabunyagan pareho san pagbunyag sa akon. 
MRK.10.40	Ugaling wara akoʼn poder na magpili kun sin-o an papaingkudon sa akon magluyo kundi ina para sadtoʼn natiganahan na.”
MRK.10.41	Pakabati sani san napulo nagtuna sinda magkaururit kanda Santiago kag Juan. 
MRK.10.42	Kaya ginpahalapit sinda tanan ni Jesus kag ginsabihan, “Aram niyo na an mga namumuno sa mga dili-Judio amo an nagadaog sa inda kag an mga bantog amo an nagasakop sa inda. 
MRK.10.43	Pero dili ina dapat na mangyari sa iyo kundi an nagahandom magin pinakalabaw sa iyo kinahanglan magin suruguon niyo, 
MRK.10.44	kag an gusto magpalabaw sa iyo kinahanglan magpauripon man siya sa tanan. 
MRK.10.45	Nasabi ko ini kay ako na Anak San Tawo nagpakadi sa kinab-an dili agod sirbihan kundi magsirbe kag ihalad an akon buhay bilang pagtubos para sa kadamuan.”
MRK.10.46	Nakaagi sinda Jesus sa Jerico kag san mahali na kaupod san damo na mga tawo nalabayan ninda an anak ni Timeo na si Bartimeo. Buta siya kag ada na nakaingkod sa may higad san kamino nagapakilimos. 
