MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
MRK.10.20	Ja jae jeí Ichupe: Ore poro mboejára, umimbae ambuayepá vaecue che pyajú guivé voí. 
MRK.10.21	Upei catu Jesús omaê jesé ja ojayjú gui ichupe oguerojorŷ jeivo: Peteî mbaénte oime reicôtevêva. Terejónte, eñemû opa mbae rerecóva reje, ja emeê jepycué umi mboriajú cuerape, ja upeicharamo rereco vaerâ nembaeteérâ iñongatupŷrâ yvagape, ja eyo Che rapycuéri Che reŷí rejeguarâ. 
MRK.10.22	Ja ipyambyasŷ eterei jae jei jague reje Jae ichupe upeicha, ja ojo iñangau: jetambae rerecojá reje co caraí guasú.
MRK.10.23	Upei catu Jesús omaê pypé iyerecuévo jei jemimboe cuerape: Jasŷpe oikéne umi mbaererecojá Tûpâ Ñandeyára reco marangatújápe. 
MRK.10.24	Ja jemimboe cuera ojecharâmô co iñeêngué jei vaecue reje Jae. Upévareje Jesús jei yeby ichupecuera: Che raŷ cuera; mbae jypyú co yaiké jaguâ Tûpâ Ñandeyára reco marangatujápe. 
MRK.10.25	Ojasa voívé peteî camello pe okê ipychiî rupi (pe jérava Yu resá) oiké jaguâ gui pe teco marangatu Tûpâ Ñandeyára rejeguape peteî mbaererecojá. 
MRK.10.26	Upei catu ojecharâmô tuvichaité jaecuera ja jei oyoupe: ¿Upeicharamo avápa icatune ojupitŷ co teco mârâ ŷ jaguâ me? 
MRK.10.27	Upei catu Jesús omaê jesecuera ja jeí ichupecuera: Añeté catu mbae icatuŷva umi ybypórape upéva. Tûpâ Ñandeyárape ndaupéichái. Opambae voí icatu Tûpâ Ñandeyára. 
MRK.10.28	Upei catu Pedro oñypyrú jei: Coina ape ore rojeyapá opambae, ja royú Nde rapycuéri. 
MRK.10.29	Ja Jesús jei ichupe: Añeté co Che jaéva peême. Ndipóri ojeya vaecue joga cuera, tybyra cuerape, tera teindŷra cuerape terâ isype, terâ itúvape terâ tayra cuerape terâ iñû cuera Che rejejápe ja co Evangelio rejejápe, 
MRK.10.30	omboyuapy ŷ vaerâ oyoari ichupe cien yeby, co ybyari voí oicové yavé, oga cuera, ja tybyra cuera ja teindŷra cuera, ja isŷ cuera ja taŷra cuera, ja iñû cuera, upeyavévé voí oimene ombojasa asy vaerâ ichupe, ja coágui rire pe tetâ yvapegua yaja jaguâme ojupityne pe tecové apyraŷva. 
MRK.10.31	Opaichavévonte oimene jeta tenondegua opytá vaerâ tapycuepe, ja oimene tapycuegua oñemoî vaerâ tenondepe.
MRK.10.32	Ja oguata oicovo jaecuera pe tapepe ojo jaguâ Jerusalempe. Jesús voí ojo jaeñó jenondepe cuera. Jaecuera voi ojecharâmô oicovo, ja oime yepe umi ojova japycueri okyjŷyéva jicuai. Upei catu Jae ojenôi yeby Jendápe umi docepe, ja oñypyrú jei ichupecuera pe oyeju voí vaerâ reje Ichupe: 
MRK.10.33	Coina ape, jei, yaja ñaina Jerusalempe ja co Caraí Raŷ oñemeêne umi pai ruvicha ja umi escriva iñarandu reiva po guŷpe, ja omoî vaíne Ichupe, oyuca jaguâicha Ichupe, ja jaecuera omeêne Ichupe umi pytagua po guŷpe, 
MRK.10.34	ja umia oyaóne Ichupe ja oindybúne Jesé, ja oinûpâne Ichupe ja oyucáne Ichupe, upei catu Jae oicove yebyne pe mbojapy arajápe.
MRK.10.35	Uperamo oñemboya Jendápe Santiago ja Juan, pe Zebedeo raŷ cuera, ja jei Ichupe: Nde, ore poromboejára, roipota nde reyapo oreve mbae royeruré jaichaguánte voí. 
MRK.10.36	Ja Jae jei ichupecuera: ¿Mbae mbaépa peipota ayapo peême? 
MRK.10.37	Ja jei Ichupe: Emeêmo oréve, to roguapy peteî Nde acatua coty ja ambue Nde asu coty upe Nde reco yeguaite jaguâme. 
MRK.10.38	Ja Jesús jei ichupecuera: Peê nda peicuaai co peyeruréva. ¿Icatúpane peê peŷú pe mbayru Che jaŷú jaguâ gui terâpa icatune peñe mongaraí co Che añemongarai jaguâme? 
MRK.10.39	Ja jaecuera jei: Ore icatune. Ja Jesús jei ichupecuera: Añete co mbayrú Che jaŷújarâ gui voí peê avei peŷúne, ja pe Che añemongarai jaguâme voí peê peñe mongaraíne avei. 
MRK.10.40	Opaichavévonte peguapŷ jaguâ Che acatua coty terâ Che asu coty nda iyái Cheve ameê jaguâ peême, umi oñemboescoíjarâme voí oñemeê vaerá. 
MRK.10.41	Ja umi diez ambue ojenduma ramo upea, oñypyrú ipochy Santiago ja Juanpe. 
MRK.10.42	Upei catu Jesús ojenôi ichupecuera ja jei: Peê peicuaa voí umi oyejechacuaáva mburuvicha guasu ramo umi ybypóra cuera apytepe oñembo caraí guasú jiari cuera, ja umi tuvichavéva iyapytepe cuera oñemo mbaeguasu oguerecovo ichupecuera ipo guŷpe cuera. 
MRK.10.43	Upeicharamo yepe nda upeicha vaerâi pene paûme cuera voí. Upe oñemo mbaeguasuva pene paûme, toico pene rembiyocuai ramo, 
MRK.10.44	ja oimeraêva peêcuerava oicoseva tenonderâ penepaûme toico upeva opavave rembiguai. 
MRK.10.45	Co Caraí Raŷ voí ndoui catu oyocuai jagua avavépe, Jae ou voí oyeyocuaiucá jagua umi ambuecue cuerape ja omeê jaguâ oguecove jeta ybypóra repyrâ.
MRK.10.46	Uperire ôguajê Jericope, ja osê yeby pypé Jerico gui jemimboe cuera ndive ja jeta iyaty vaecue Jesé, sapya oî pe Bartimeo, Timeo raŷ pe jesápysóŷva oguapy vaecue jina pe tape yképe oyerurévo tûpâmbae reje. 
MRK.10.47	Ja ojendúma ramo jaejá Jesús Nazareno, oñypyrú osapucai jeivo: Nde, Jesús, David Ray, che poriajúverecomí chéve! 
MRK.10.48	Ja jeta oyaó ramo yepe ichupe okîrîrî jaguâ jâtâvente osapucai jae: Nde, David Ray, che poriajúverecomí cheve! 
MRK.10.49	Upei catu Jesús opytá ja jei: Pejenôinte ichupe! Ja ojenôi pe jesápysóŷvape, ja jei ichupe: Nde pyá guasúnte! Epuâ catu! ne renôi jina. 
MRK.10.50	Upei catu jae omombo pe oñañuâ jague jina, ja opuâ oñemboŷ ja ou Jesús rendape. 
MRK.10.51	Ja oñeê Jesús ja jei ichupe: ¿Mbae pico reipota ayapo ndeve? Je pe jesaŷva jei ichupe: Nde, ore poro mboejára, toyeby cheve che resápysó! 
MRK.10.52	Ja Jesús jei ichupe: Terejónte! Co nde reyerovia já reje reñemyatyrômbáma. Ja upevove jesápysó pôrâ yebyma, ja ojo japycueri pe tapépe.
MRK.11.1	Uperire jiâgui oyeóivo Jerusalemgui ja ôguajêma ramo Betfage ja Betaníape pe itáatŷra Olivas ypŷpé Jae omondo tenonde mocoî jemimboe cuéravape, 
MRK.11.2	jeivo ichupecuera: Tapejó pe tenda oiva coa rovai ja peiké vove upepe, peyujúne peteî mburicá raŷ oñeñapŷtîva ndo yupiri jague avave gueteri. 
MRK.11.3	Peyoránte ichupe ja peru ape; ja sapya oime ramo oporandúva: ¿Maerâpa peyapo upeicha? peyente ichupe: Oime Ñandeyára oicôtevê jese, ja upevove oguerúrucáne ichupe ape. 
MRK.11.4	Upeicha ojo jaecuera ja oyuju pe mburicá raŷ oñeñapytîva pe tetâ rokê ypype ocape tape râcâmbŷpe. Ja oyorá ramo jina ichupe, 
MRK.11.5	peteiva umi oñemboŷva jicuai upepe jei ichupecuera: ¿Maerápa peyorá pe mburicá raŷ? 
MRK.11.6	Ja jaecuera jei ichupecuera, jeiuca jagueichante Jesús. Ja upei catu ndoyocovei ichupecuera. 
MRK.11.7	Ja oguerú pe mburicá raŷ Jesúspe ja omoî iyao cuera jiari, ja Jesús oyupi jiari. 
MRK.11.8	Ja oime jeta avei omuâsâiva jicuai iyao cuera pe tape reje, ja oime ambue cuera omuâsâiva jicuai ybyra râcâ joguéva oikytî vaecue umi ñû gui, 
MRK.11.9	ja umi ojóva jina tenondepe ja umi ouva jina japycuépe osapucai: Hosanna! Ñambueténa Ichupe! Imombeucatupyrâ pe oúva Ñandeyára rérape! 
MRK.11.10	Imombeu catupyrâ pe ñande ru ypycue David reco marangatu oicótava jina. Hosanna yvatevejápe yvágape!
MRK.11.11	Ja upeicha ôguajê Jerusalempe ja Jae oike pe tûpâope ja omaêma ramo iyerecuevo opambae reje caaruetéma gui osê yeby ja ojo Betaniape umi doce jemimboe cuera ndive.
MRK.11.12	Ja pe ára ambuepe osêvo Betania gui Jae iñembyajŷi, 
MRK.11.13	ja ojecha mombyry guive yepe peteî higo râcâ jogue pyaju jobŷva ja ojo oijape, yajecha ndoyujuipa jiácué. Ja ôguajê ramo oijape ndoyujui mbaeve jogue pyaju mante: nôguajêi voí jiá jaguâ gueteri. 
MRK.11.14	Upeicharamo Jae jei ichupe: Máramové ani oico ndereje mbaeveichagua yvá jou vaerâ avave. Ja jemimboe cuera ojendu co jeiva.
MRK.11.15	Upeguirire ôguajê Jerusalempe ja Jae oike petûpâope ja oñypyrú omosê opava umi oñemûvape jina pe tûpâo ryepype, ja omboŷké ichugui cuera iñemûja ja omboŷképa umi oguapŷjá umi oñemûva pycasuro reje, 
MRK.11.16	ja oyoco ichupecuera ani jaguâ avave oguerajá mbaeveichagua mbayru pe tûpâo ryepy rupi. 
MRK.11.17	Ja Jae omboe ichupecuera, jeivo: ¿Ndo yeéipa pe Santa Escriturape: Co Che roga oñembo jéra vaerâ oga ñañemboejá opavave ybypóra peguârâ? Peê voí peyapo ichupe mondajá cuára ramo. 
MRK.11.18	Uperamo umi pai ruvicha ja escriva iñarandu reivacuera ojendu iñeê, ja upegui ojecá iya jaguâ ichupecuera oyuca jaguâ Ichupe okyjŷyé járeje Ichugui ja ojecharâmô yoa járeje opa umi ambuecuecuera pe jemimboecue reje.
MRK.11.19	Ja caarúetéma ramo yepi Jae osê pe tetâ gui.
MRK.11.20	Ja ojasávo pyjarevé ojecha pe higo râcâ ipirupáma jague japó guive yepe. 
MRK.11.21	Ja Pedro imanduá ja jei: Nde, ore poro mboejára maêké pe higo râcâ, reñeê pochŷ jague, ipirupáma. 
MRK.11.22	Upei catu Jesús jei ichupecuera: Peyeroviánte Tûpâ Ñandeyára reje. 
MRK.11.23	Añeté Che jae peême, oime ramo jei vaecue co itáatŷrape: Eyeí upegui ja eñemombó ŷguasupe, ja oyeroviaité ramo ipyaité guive okyjŷyé ŷ reje oico vaerâjá pe jae jei vaecue, oyeyapone jecópe catuetei. 
MRK.11.24	Upeareje Che jae peême opambae peñemboe jague ja peyerure jague peroviá ramo pejupitŷmajá oñemeêne peême. 
MRK.11.25	Upeicha avei peñemboe ramo peñemboŷjápe peñembojesarai oime ramo pemboya vaerâ pende rapichá reje, icatu jaguâ pe pende Ru oiva yvape oñembo jesarai avei pe pemoñemyrô avei Ichupe. 
MRK.11.26	Ja peêcuera peñembo jesarai ŷ ramo, upeicha avei pende Ru yvape oiva noñembo jesarai chene pemoñemyrô jague Ichupe.
MRK.11.27	Uperire oyeby yeby Jerusalempe, ja oguata oicovo pe tûpâo ryepy rupi, ja ou Jendápe umi pai ruvicha ja umi escriva iñarandú reíva cuera, ja umi caraí ituyáva, 
MRK.11.28	ja jei Ichupe: ¿Mbaéichapa rereco Nde pope reyapo jaguâ âmbae? ¿terâpa avá omeê ndeve nde pope reyapo jaguâ âmbae? 
MRK.11.29	Upei catu Jesús jei ichupecuera: Taporandú peême peteî mbae. Peyénte Cheve, ja, upeicharamo, Che amombeúne peême mbaéichapa arecó Che pope ayapo jaguâ âmbae. 
MRK.11.30	¿Pe Juan omongaraí jague yvagapegua rejeguápa terâpa ybypóra rejeguacuera? Peyémí Cheve. 
MRK.11.31	Ja jaecuera oñomongueta oñondive jeivo: Sapya yae ramo yvagapegua rejeguajagué, Jae jeine ¿Mbaeguípa, upeicharamo, nda peroviai raé ichupe? 
MRK.11.32	¿ja sapya ñande yaé ramo ybypóra cuera rejeguajague, yakyjŷyé umi japicha cueragui, opavavé jei jague reje Juan oñemoñeêjara rejegua jague añete. 
MRK.11.33	Upévareje jeí Jesúspe: Ore ndo roicuaai. Upei catu Jesús jei ichupecuera: Upeicha avei Che ndae moai mbaeicharupípa areco Che pópe ayapo jaguâ âmbae.
MRK.12.1	Uperire Jae oñypyrú oñeê ichupecuera mbaeraângá ñeê rupi: Oime vaecue peteî carai oñotŷ vaecue guaú peteî parraltŷ, ja omongorá ja oyoó jiacue oñami jaguâ ja omopuâ omaña jaguâ yvaté ja oiporuruca imbaapojarâme cuera, ja upei jaeae oyeí tetâ ambuepe. 
MRK.12.2	Ja jiayúma ramo guaú pe parralá ombou peteî jembiyocuáipe umi ombaapóva rendape oyerure jaguâ pe parralácué gui pe iya vaerâ ichupe voí. 
MRK.12.3	Ja jaecuera oipyjy ichupe guaú ja oinûpâ ichupe, ja omondo yeby nandí. 
MRK.12.4	Ja uperire ombou yeby Jendápe cuera tembiyocuaipe ambue ja oñâcâyocá ichupe, ja omomârâ vaí ichupe, 
MRK.12.5	ja uperire guaú ombou ambuépe, ja upévape oyuca ja ambuecue jetape ombou ja oime oicutu vaecue ja oime ambuecue oyucá vaecue. 
MRK.12.6	Ja oime guau oguereco peteîme gueteri ombou vaerâ, pe tayra ojayjuetéva, upevape guau ipajaité ombou Jendápe cuera jeivo: Icatu oyepoŷjúne che raŷ gui. 
MRK.12.7	Opaichavévonte guaú, umi ombaapóva cuera jei oyoupe: Peina upéva pe mbae rerecojá yárarâ, yaja yayuca ichupe, opyta jaguâ ñandeve co imbae rângue. 
MRK.12.8	Upei catu guaú oipyjy ichupe ja oyucá ichupe ja omombo jetecue pe parraltŷ gui ocápe. 
MRK.12.9	¿Mbae pipo, upeicharamo, oyapone pe parraltŷ yára? Oune guaú ja oyucáne umi ombaapóvape cuera ja omeêne iparraltŷ ambuecuecuera pópe jecovia cuera ramo. 
MRK.12.10	¿Máramo na pemoñeêi chépane racaé pe cuatia Santa Escritura peguare oyeé jague: Pe itá omombo reí vaecue umi oyogapo vaecue jicuai upeva catu oñemoîne yvate pe oga racuajápe. 
MRK.12.11	Ñandeyára porupi oico upéva ja mbae jechapyrâ voí ñande resápe. 
MRK.12.12	Ja oipyjyse moa ramo yepe Ichupe okyjŷyé umi ambuecuecuera gui. Ojechacuaa voí Jae jei jague jesecuera pe mbaeraânga ñeême. Upévareje ojeyá Ichupe ja oyeói.
MRK.12.13	Ja upegui ombou Jendápe peteîva umi fariseo cuérava ja umi herodiano cuérava oñapytî potávo Ichupe iñeéme. 
MRK.12.14	Upearâ ou Jendápe ja jei Ichupe: Ore poro mboejára, ore roicuaa Ndejá carai umi oñeê jecoitepe rejeguáva, ja reyepoyjú ŷ vajá avave gui, ja Nde voí ne remaêvái ybypóra apé reje, ja añetejápe remboejá jecópe Tûpâ Ñandeyára rapé reje. Upeicharamo erente oreve ñameê vaerâpa Cesarpe pe mbaerepy mburuvicha oyeruréucáva terâpa ajaniri? 
MRK.12.15	¿Ñameê vaerâpa terâpa na ñameê vaerâi? Ja Jae ojechacuaa voí jovamocoijá, ja upeareje jei ichupecuera: ¿Maerâpa pe Che mbuajei Cheve? Perunte Cheve pirá pirémi tajecha. 
MRK.12.16	Ja oguerú Ichupe peteî ja Jae jei ichupecuera: ¿Máva raângápa coa? ¿ja mbaépa co oyejaíva jesé? 
MRK.12.17	Ja jaecuera jei: Cesar mbae. Ja Jesús jei ichupecuera: Cesar mbae, upeicharamo, pemeênte Cesarpe jecópe, ja pe Tûpâ Ñandeyára mbae pemeê Ñandeyárape. Ja ojecharâmôite Ichupe.
MRK.12.18	Uperire ou Jendápe saduceo cuera: umia catu umi jeiva ndoicoi jaguâ yaicove yeby jaguâ ára umi omano vaecue paûgui. Ja oporandu Ichupe jeivo: 
MRK.12.19	Ore poro mboejára, pe Moises omoí vaecue cuatiápe co jembiapoucapŷ ñandéve. Sapya omano ramo peteî cuimbae ja ojeya ityreŷ jembireco ja nda itaŷrai ipypé, pe itybŷra tomendá jembirecocue reje jae imemby jaguâ ichugui, itykeŷra recoviárâ. 
MRK.12.20	Oime guaú vaecue siete cuimbae oyuejegua ja pe iyŷpycue omendá cuña reje, ja omano nda itaŷrai. 
MRK.12.21	Ja pe itybyra mocoîjá omenda jesé ja omano jae avei ojeya ŷ reje taŷra. Ja pe mbojapyjá upeicha avei, 
MRK.12.22	ja umi sietevé nda itaŷrai ipypé. Ja ipajaitépe omano pe cuña avei. 
MRK.12.23	Upeicharamo pe yaicove yeby jaguâ árape ¿máva ichuguicuera rembirecópane pe cuña? Umi sietevé voí omendama racaé jesé. 
MRK.12.24	Upei catu Jesús jei ichupecuera: ¿Nda jaéipa coa reje peê peyabŷjá nda peicuaai járeje Santa Escritura ja nda peicuaai járeje Tûpâ Ñandeyára ipuacacué. 
MRK.12.25	Upepe voí oicové yeby ramo umi omano vaecue paûgui, umi ybypóra nomendaichene, ja noñemendai chene. Oicone oico jaichante umi yvapegua oiva yvagape. 
MRK.12.26	Ja umi omano vaecue oicove yeby vaerâ gui ¿nda pemoñeêipa racaé pe Moises cuatia pe yuapecápe oyeju vaecue gui oñeê ramo guaré ichupe Tûpâ Ñandeyára jeivo: Che jae Abraam Tûpâ Ñandeyára, ja Che Isaac Tûpâ Ñandeyára, ja Che Jacob Tûpâ Ñandeyára. 
MRK.12.27	Jae nda jaei umi omano vaecue Tûpâ Ñandeyára, umi oicovéva jina Tûpâ Ñandeyára Jae. Tuvicha voí peyabŷ peê.
MRK.12.28	Uperamo oñemboyá peteî umi escriva iñarandu reí cuérava ojendu vaecue oyoabŷ ramo jicuai, ja oicuaa vaecue Jae ombojovai jague catuetei ichupecuera, ja oporandú Ichupe: ¿Máva umi Tûpâ Ñandeyára rembiapoucapŷ guípa pe tuvichavéva? 
MRK.12.29	Ja Jesús jei ichupe: Pe Tûpâ Ñandeyára rembiapoucapŷ tuvichavéva cóva catu: Pejendu catu peê Israel cuérava, Ñandeyara pe Tûpâ Ñandeyára jae Tûpâ Ñandeyára peteî añónte, 
MRK.12.30	ja rejayjú vaerâ Tûpâ Ñandeyárape nde pyaité guive ja ne anga guive ja ne aranducué rejeve, ja ne mbaraeté rejeve. 
MRK.12.31	Ja cóva catu pe mocoíjá: Rejayjú vaerâ nde rapichape nde reyejayjú jaicha avei. Uperire ndipóri Tûpâ Ñandeyára ñeê ambue tuvichavéva cova gui. 
MRK.12.32	Upei catu pe iñarandúva jei Ichupe: Ipôrâite, ore poro mboejara, nde ere jecópe, Jae peteîntejá ja ndipórijá ambue Jaeriregua, 
MRK.12.33	ja yajayjú ramo Ichupe ñande pyaité guive ja ñane mbaecuaa rejeve ja ñane mbaretecue rejeve, ja yajayjú ramo ñande rapichape yayejayjú jaicha avei: umia catu ipôrâve opa umi ñane rymbá yayucáva ja yajesŷva ñane cuameêmbyrâ Ñandeyárape gui. 
MRK.12.34	Upei catu Jesús ojechacuaa ramo jae oñeê pôrâ jagué jecoitépe jiarandú cue gui voí, jei ichupe: Ne reimei mombyry pe Tûpâ Ñandeyára reco marangatu gui. Ja uperire ndiporivéima oporanduséva Ichupe mbaeve reje, oyepoŷjúnte Ichugui.
MRK.12.35	Uperire sapya omboe pype Jesús pe tûpâope, Jae oporandú: ¿Mbaeichapa jei umi escriva iñarandú reíva cuera pe Cristo David Ray vaerâjá? 
MRK.12.36	Oime pe David voínte jei vaecue Espiritu Santo rupi: Ñandeyára jei che Yárape: Eguapy catu Che acatua coty amoîmbá meve umi ne ñamotareŷvape Nde pŷ guŷpe. 
MRK.12.37	Upeicha David voínte jei Jae iyárajá. ¿Mbaéichapa, upeicharamo, icatúne itaŷra avei? Uperamo oime umi mboriaju cuera obyá etereíva ojendú pypé Ichupe.
MRK.12.38	Uperire Jae jei imboejápe: Peyererecóke umi escriva iñarandú reíva cuera gui, umi oicoséva oparupi iyao pucu rejeve ja obyáva oñetûpânôi ramo tapé rupi, 
MRK.12.39	ja oipyjyséva umi tenda guapŷ jaguâ ipôrâvéva tûpâope, ja umi tenda ipôrâveva caruguasu jápe; 
MRK.12.40	umíva voí joúpá rei jicuai umi cuña iména omano vaecue róga oñemboé pucu pucu jaguâ rejejápe ramo vaicha. Umichagua tecovépe oimene oyeyopŷ pojyieté jaguâ ára.
MRK.12.41	Uperamo Jae oguapy jina pe tûpâmbae ryrú renondepe, ja omaé jina umi oúva jicuai omoi ramo mbaerepy pe tûpâmbae ryrúpe, ja jeta oime umi mbaererecojá omoîva jeta. 
MRK.12.42	Upeyave ou avei peteî cuña iporiaju ja ityreŷ omoîva mocoî pirá pirémi omboyoyáva peteî realpe. 
MRK.12.43	Upei catu jae omaêucá jemimboe cuerape ja jei ichupecuera: Añeté Che jae peême co cuña mboriaju ityreŷ omoî jetavéjá umi ambuecue omoî vaecue gui pe tûpâmbae ryrúpe. 
MRK.12.44	Umi ambuecuera catu omoî jicuai pe jembŷva gui ichupecuera. Cóva catu opa iporiaju rejeve omoîmba pe oguerecómíva jembiumi repyrâ rângue yepe.
MRK.13.1	Upegui osê ramo Jae pe tûpâo gui peteîva jemimboe cuérava jei Ichupe: Nde, ore poro mboejára, emaêke mbaeichagua tuvicha umi itá ja umi oga guasu! 
MRK.13.2	Ja Jesús jei ichupe: ¿Pejechápa umi oga cacuaá? Ndo pytáichene coápe oyoari umi itá oyeity ŷ vaerâ. 
MRK.13.3	Uperire oguapy jina pe itáatŷra Olivas ári pe tûpâo rovai, ja oporandú Ichupe jaeñojápe Pedro ja Santiago ja Juan ja Andres jeivo: 
MRK.13.4	Eréna oreve aracaépa oicone co âmbae ja ¿mbaé mbae jechapyrâ rupipa oyecuaane oicota jaguâ âmbae? 
MRK.13.5	Ja Jesús oñypyrú jei ichupecuera: Peyerereco ani jaguâ avave pene mombiá. 
MRK.13.6	Jeta oimene ou vaerâ Che rérape jeivo: Che jae, ja omombiáne jetávape. 
MRK.13.7	Ja uperamo pejendu ramo oicojá ñoraŷrô guasu ja pejendu ramo jêrâcuâ oicótaja ñoraŷrô guasu ani peyepyapŷ, tecôtevê voí upeicha oico. Opaichavévonte ndajaei vaerâ gueteri pe opambae oñemombá jaguâ ára.
MRK.13.8	Oñopuâne umi ybypóra oyueje cuera ja umi mburuvicha guasu oyueje cuera: oicone yby ryrŷi jeta Jendápe, ja oicone ñembyajŷi guasú. Umi mbae tenonderânte umi ára vaí jaguâ. 
MRK.13.9	Uperamo yepe peyererecó peê! Pene moinguéne peême peñeñapytîjape mburuvicha renondepe ja umi tûpâópe yepe pene nûpâne ja pene jenoîne peyejechauca jaguâ umi mburuvicha ja umi mbururvicha guasu yepe renondepe Che réra rejejape peicuaaucá jaguâ ichupecuera yepe peê Che rejeguajá.
MRK.13.10	Upeicharamo yepe tecôtevê raê oñemo jêrâcuâ co Evangelio opa tetâ rupi guape. 
MRK.13.11	Uperamo pende rerája ramo jina penemeê jaguâ mburuvicha po guype, ani peñembopyaé pe ere vaerâ gui, peñeênte upe oñemeê vaerâ peême upeyave. Ndajaeichene voí peê cuera peñeêva, pe Espiritu Santonte. 
MRK.13.12	Oimene umi tykeŷra oñomeêne tybyra cuerape oyucaucávo ichupecuera, ja umi tuva itaŷracuerape, ja umi taŷra cuera opuâne ituva cuera reje ja oyucaucane ichupecuera. 
MRK.13.13	Ja peê peñe ñamotareŷne opáva gui peê Che réra rejeguajáreje. Upeicharamo yepe upe oguero puacá vaerâ ipajaite peve, upéva catu osê vaerâ imârâ ŷ reje. 
MRK.13.14	Ja peê pejecha ramo pe oporombuaijára itieŷva oñemboŷ ramo oi ŷ jaguâme (tojechacuaa pôrâ pe omoñeêva co cuatia) uperamo toñeguajê umi Judeape oiva itáatŷra peve, 
MRK.13.15	ja pe oiva ogaári ani ogueyŷ cotype, ja ani oiké ôguenojê jaguâ mbaeve jogagui. 
MRK.13.16	Ja pe oiva ñûme ani oyeby japycuerépe iyao piari. 
MRK.13.17	Angai umi jygué guasúva, ja umi omocambúva umia árape! 
MRK.13.18	Peñemboe catu ani tecôtevê peñeguajê roŷ yavé. 
MRK.13.19	Añeté catu oicone uperamo ára pojyi oyejasa asŷeté jaguâme ára máramo voí ndoicoi jagueichagua co yby ñypyrûmbŷ guive oñemoña ypy guive Tûpâ Ñandeyára coanga peve, ára voí umia maramove ndoicoi jaguâichagua. 
MRK.13.20	Ja Ñandeyára omombykŷucá ŷ rire umi ára vaí mo ndipori chene osê vaerâ imârâ ŷ reje. Upeicharamo yepe umi ojenoî vaecue rejejape umi oiporavó vaecue voí, Jae omombykŷmane raé voí umi ára vaí. 
MRK.13.21	Uperamo oime ramo jeíva peême: Coina ape oi Cristo, terâ Peina upepe, ani perovia jeíva. 
MRK.13.22	Opuâne voí Cristo guaúva, ja oporo mombeujára yapuva, ja ojechaucáne mbae jechapyrâ ja mbaeguasu imombeupyrâ omombia jaguâicha icatu ramo umi iporavópyrépe yepe. 
MRK.13.23	Peyererecókénte! che pomomarandupáma voí tenonde guive peême opa âmbae reje. 
MRK.13.24	Umia árape voí upe oyejasa asŷ rire, iñypytûmbáne pe cuarajŷ, ja pe yasy ndojesapévei chene, 
MRK.13.25	ja oimene yasy tata joa vaerâ yvagui, ja umi mbaeguasu arapegua yepe oñemomŷimbáne. 
MRK.13.26	Upei catu ojecháne pe Caraí Raŷ ou ramo umi araí apytepe ituvicha guasu cue ja iyeguaité rejeve. 
MRK.13.27	Uperamo omboune jembiyocuai yvapeguape ja ombyatŷne umi iporavópyrépe umi irundy ybytú cotŷ guivó co yby ŷva guive pe ára ŷva peve. 
MRK.13.28	Tapomboemi peême pe higo râcâ yoguajá reje. Pe jâcâ ikyryî ramo ja jokŷ ramo jogué, peicuaa voí jiâguimája ára racu. 
MRK.13.29	Upeicha avei pejecha ramo peê oyeju ramo umi mbae peicuaa vaerâ jiâguímajá Jae, oimaja yepe pene rokême. 
MRK.13.30	Añeté Che jae peême ndo jasai jaguâ co ñande cuera rejegua co tetâmegua coangagua oyeyapopá peve coambae. 
MRK.13.31	Opane pe yvaga ja co yby, Che ñeê voínte máramo ndopai chene. 
MRK.13.32	Upeicharamo yepe avave ndoicuaai aracaépa ôguajê vaerâ jiára, terâ aracaépa oyeju vaerâ umi mbae, umi yvapegua oiva yvape yepe ndoicuaai, pe Túva añónte oicuaa. 
MRK.13.33	Peyererecóke, pemaña, ja peñemboe, nda peicuaai guive aracaépa ôguajê jiára. 
MRK.13.34	Peteî caraí ojo vaicha mombyry ojeya vaecue joga ja omeêmba vaecue jembiguai cuera po guype peteî teîme jaecuérava jembiapo cuerarâ, pe okê rerecuape omañaucá tapiá. 
MRK.13.35	Pemaña peê upeicharamo. Peê nda peicuaai aracaépa ou vaerâ pe oga yára, oúpa caaru pytû, terâpa pyjare pyté, terâpa ryguasu sapucai ramo, terâpa pyjarevé. 
MRK.13.36	Chake! Anitere sapya ou ramo pende yuju pende kéra. 
MRK.13.37	Ja co Che jaéva peême Che jae upeicha avei opavavépe: Pemañakente!
MRK.14.1	Upegui mocoî coêjape oico vaerâ pe pascua ja pe areté guasu mbuyape caraípegua, ja umi pai ruvicha ja umi escriva iñarandú reíva cuera oñejaâ oicovo oipyjy jaguâ Ichupe pichyguŷpe oyuca jaguâ Ichupe. 
MRK.14.2	Jeinte: Ani yayapo areté árape anichene jaguâ oico aybú co tetâ-ŷ-gua cuera gui. 
MRK.14.3	Uperamo oime sapya peteî árape Jae oi Betaniape, pe leproso pe iyaipáva Simon rogape, ja oguapy pypé jina carujápe ou peteî cuña mbayrú pôjâ jyâcuâ pôrâva jepy etereíva rejéve, ja oipea jyrú ja oñojê iñâcâreje. 
MRK.14.4	Ja oime upepe ipochy etereíva ipyápe ja jei: ¿Maerâpa oñemombo reí upeicha co ñandy jyâcuâ? 
