MAT.1.1	BONKANDA wa lioci ja Yesu Masiya, bona owa Dawidi, bona owa Abalayama. 
LUK.2.35	onde, l’ifaka ifotuwana botema’oke mongo; wae nkai ienya lima betema beuke. 
LUK.2.36	Ko bont’omo aki eko, otangema Ana, boteli ow’omoto, bona owa Fanwele, ow’oloi w’Asela, (ende aokita ekota mongo, ko aki la bome années nsambo lim’ak’iy’oalanaka, 
LUK.2.37	ko aki etuka années ntuku mwambi l’inei), ko bomot’oko ntimanak’ilombe ya Nzakomba, aomemya Nzakomba la nkakila ea toma ko la mbaonda l’otso la mbile. 
LUK.2.38	Aki’nd’oyaka nda heure eko, aosima Nzakomba boya, ko aotefela nd’eloko ekae ele bant’auma balendeza esikwelo ea Yelusalema. 
LUK.2.39	Ko ak’iy’osizaka baoyi’auma eleng’ele bisekyelo bia Yawe, baoluta nda Ngalilaya, nd’onang’okiyo mongo, wete Nazaleta.
LUK.2.40	Ko bona aosekwa, aokaka l’ekemo, aokama la wanya; ko boya wa Nzakomba boki el’ende.
LUK.2.41	Ko ise la nyango ekae bacwaka wengi année nda Yelusalema nd’elambo e’Efendelo. 
LUK.2.42	Ko aki’nde années jom l’ife, bacwaki eko nd’elenge e’elambo; 
LUK.2.43	ko ak’iy’okokyaka bembile, ko baoluta, bonol’oko Yesu aocikala nd’afeka nda Yelusalema; ko ise la nyango ekae ntabeaki; 
LUK.2.44	lolo iyo baokanela wae ayokende l’iyo nd’olongo, ko baocwa lokendo ja mbil’emoko; ko baoloasa ele bioto l’alongo bakiyo: 
LUK.2.45	ko ak’iyo ntabotana, baoluta nda Yelusalema wae boase. 
LUK.2.46	Ko nd’afeka ba bembil’esato, baolotana nd’ilombe ya Nzakomba, aokit’ase nd’etei e’alaki, aolokoza baoyi’akiyo, ko aolauol’iyo biuo; 
LUK.2.47	ko bant’auma bandokak’ende baokamwa la wanya bokae l’elenge eki’nd’oambaka. 
LUK.2.48	Ko ak’iy’oene, baokamwa; ko nyango ekae aolokela, Bona, otokeelaki ngone lae? bala, emi l’ise eke tokasaki la lokeseli mongo. 
LUK.2.49	Ko aolakela, Lonjasaki ngamo? Kamb’inyo ntaleaki wae mpokambe belemo, imola nko bia Fafa? 
LUK.2.50	Ko iyo ntabakotola ncina ea joi liki’nd’oasangelaka. 
LUK.2.51	Ko aokitela l’iyo, ko aoya nda Nazaleta; ko aolafika; ko nyango ekae aofonga baoyi’ane bauma nd’otema’okae.
LUK.2.52	Ko Yesu aokaka la wanya la lisekwa, ko la losimo ele Nzakomba l’ele banto.
LUK.3.1	NDA année ea jom l’itano ea likulaka ja Tibelia Kaisala, aki Pontio Pilato gouverneur ea Yudea, ko Elode vice-gouverneur ea Ngalilaya, ko bokune’okae Filipo vice-gouverneur ea Itulaya, la Tulakoniti; ko Lusania vice-gouverneur ea Abilene, 
LUK.3.2	nd’ekeke eki Anasa la Kayapa nkanga ya joso mongo, joi ja Nzakomba joya ele Yoane bona owa Zekalaya nd’etekeleke. 
LUK.3.3	Ko ende aoya nda bise biuma bikotutsi la Yoladane, aosanga nsango ea inamelo ea mbututala ele etungwelo lima baoyi’obe; 
LUK.3.4	ngole joi jokotama nd’onkanda w’aoyi ba Yesaya ow’oteli,
LUK.3.4	Lofoso j’ont’omo obeleza nd’etekeleke,
LUK.3.4	Loongya mboka ea Yawe,
LUK.3.4	Locilaza mboka ikande ci.
LUK.3.5	Wengi wao wifosakela,
LUK.3.5	Ko ngongo iuma la bekonji beuma bifokitezama;
LUK.3.5	Ko bakumba bifosembwa ci,
LUK.3.5	Ko mboka ya kootoko-kootoko ifoyala tande;
LUK.3.6	Ko bant’auma bifena loiko ja Nzakomba.
LUK.3.7	Ko aosangela banto ba bitukuluku bacwaki oinama l’ende, Inyo bana ba njwa, olakak’inyo wete lolote nkele eoya na? 
LUK.3.8	Locw’amuka bandeji l’eututaelo ea baoyi’obe, ko taloangake okela nd’etema’ekinyo, Iso tole l’Abalayama ise ekiso; el’emi nsangel’inyo, Nzakomba aemeya bana b’Abalayama lima bikenje bine. 
LUK.3.9	Aeyoko yanda yolilama nda wili wa betamba; nd’ewela eko, wengi botamba bofocw’amuka b’olotsi wumbama, ko wusama nda tsa. 
LUK.3.10	Ko banto ba bitukuluku baolouola, baokela, Iso tifokela na? 
LUK.3.11	Ko aolamba, aokela, Ole l’enkot’efe, kela akafe l’ende ofoate; ko ole la toma ta ndala, akele o ngoko. 
LUK.3.12	Ko batakanyi ba mpuci bayaki oinama ngoko, ko iyo baolokela, Bolaki, iso tifokela na? 
LUK.3.13	Ko aolakela, Talokolake mpuci endekola ek’iy’oelezak’inyo. 
LUK.3.14	Ko soldats baoya o ngoko, baolouola, baokela, L’iso tifokela na? Ko aolakela, Talofunzake banto, ko talofatake banto, ko talokinake bofuto bokinyo.
LUK.3.15	Ko aki banto olendezaka, ko bant’auma bakakaza nd’etema’ekiyo nd’ewela ea Yoane, wete nkina ale Masiya: 
LUK.3.16	Yoane mongo aolamba, aolakela iy’auma, Nsosolo emi njin’inyo nd’asi; lolo omo ifoya ondekol’emi la mpamba, mpeji wae ntungole bekulu bia bikoto bikae: ende ifin’inyo nda Bolimo w’olotsi ko la tsa: 
LUK.3.17	ifufake ile nda likata likande, ko ifofetola ilombe ifuf’ende loso mpetola mongo, ko ifotakanya loso nd’ilombe ikande ya efongelo; lolo ifocumba mposo la tsa totafofyamaka.
LUK.3.18	Aosanga nsango e’olotsi el’anto l’aoyi’amo bauke; 
LUK.3.19	lolo Elode owa vice-gouverneur, nd’ewel’eki Yoane ofelak’ende nd’eloko ea Elodia, waji owa bokune’okae, ko la nd’eloko ea baoyi’auma b’obe baki Elode okelaka, 
LUK.3.20	aokokya joi line o ngoko nd’aoyi’auma, wete aokomba Yoane nd’ilombe ya njanga.
LUK.3.21	Ko joi joliela, aki bant’auma oinamaka nd’asi, wae Yesu aolinama ngoko, ko ayoonde, loola lokombwa, 
LUK.3.22	ko Bolimo w’olotsi aokitela el’ende la jonge, ngol’embenga, ko lofoso loyaki lima loola wae, We ole bon’okami ow’eefe, w’onjoky’emi ekemo mongo.
LUK.3.23	Ko Yesu mongo, aki’nd’oangaka bolemo, aki nga années ntuk’isato, bona (ngoki banto okanelaka) owa Yosefa, bon’owa Eli, 
LUK.3.24	bon’owa Matata, bon’owa Lewi, bon’owa Meleki, bon’owa Yanai, bon’owa Yosefa, 
LUK.3.25	bon’owa Matatia, bon’owa Amosa, bon’owa Nauma, bon’owa Elesi, bon’owa Naga, 
LUK.3.26	bon’owa Mata, bon’owa Matatia, bon’owa Simi, bon’owa Yoseke, bon’owa Yoda, 
LUK.3.27	bon’owa Yoana, bon’owa Lesa, bon’owa Zelubabela, bon’owa Salatiele, bon’owa Neli, 
LUK.3.28	bon’owa Meleki, bon’owa Adi, bon’owa Kosama, bon’owa Elemadama, bon’owa Ele, 
LUK.3.29	bon’owa Yose, bon’owa Eliezala, bon’owa Yolima, bon’owa Matata, bon’owa Lewi, 
LUK.3.30	bon’owa Simona, bon’owa Yudase, bon’owa Yosefa, bon’owa Yonama, bon’owa Eliyakima, 
LUK.3.31	bon’owa Melea, bon’owa Mena, bon’owa Matata, bon’owa Natana, bon’owa Dawidi, 
LUK.3.32	bon’owa Yisai, bon’owa Obede, bon’owa Boaza, bon’owa Salamona, bon’owa Nasona, 
LUK.3.33	bon’owa Aminadaba, bon’owa Aluni, bon’owa Eselone, bon’owa Pelese, bon’owa Yuda, 
LUK.3.34	bon’owa Yakoba, bon’owa Yisaka, bon’owa Abalayama, bon’owa Tela, bon’owa Naola, 
LUK.3.35	bon’owa Selunga, bon’owa Lu, bon’owa Pelege, bon’owa Ebele, bon’owa Sela, 
LUK.3.36	bon’owa Kenana, bon’owa Alufakasada, bon’owa Seme, bon’owa Noa, bon’owa Lemeke 
LUK.3.37	bon’owa Metusela, bon’owa Anoka, bon’owa Yelede, bon’owa Malalele, bon’owa Kenana, 
LUK.3.38	bon’owa Enosa, bon’owa Sete, bon’owa Adama, bon’owa Nzakomba.
LUK.4.1	KO Yesu aokama la Bolimo w’olotsi, ko aoluta lima Yoladane, ko aotombama l’olimo nd’etekeleke, 
LUK.4.2	aomekama la Satana bembile ntuk’inei. Ko ntaleki yomba ya ndala nye nda bembile beko; ko aki bembil’eko osile, aoloka nzala. 
LUK.4.3	Ko Satana aolokela, Nga w’ole Bona owa Nzakomba, sanga wae ekenje ene efaningwa mampa. 
LUK.4.4	Ko Yesu aolamba, Joi jokotama, Bonto ntaikaka la mampa kika, [lolonde la wengi joi ja Nzakomba.] 
LUK.4.5	Ko aolotomba nd’aliko, ko aoloeneya bakulaka bauma ba bise biuma nkakoyoko. 
LUK.4.6	Ko Satana aolokela, Emi njifokoka mpifo ene euma, la jilangi ja bakulak’ako; eki mpifo eko okaemaka el’emi; ko nka bonto olang’emi ndoka. 
LUK.4.7	Ko ayak’onkusamel’emi, mpifo ene euma ifoyalema ekawe. 
LUK.4.8	Ko Yesu aolamba, aolokela, Joi jokotama, Memya Yawe Nzakomba eke, ko osaela nk’ende kika. 
LUK.4.9	Ko aolotomba nda Yelusalema, ko aoloila nd’aliko b’ilombe ya Nzakomba nda nsonge, ko aolokela, Nga w’ole Bona owa Nzakomba, usa we mongo lim’endo; 
LUK.4.10	ele joi jokotama,
LUK.4.10	Ende ifotoma bikima bikae bia loola nd’eloko eke, wae bakesanya:
LUK.4.11	koko,
LUK.4.11	Bifokotomba nd’akata’akiyo,
LUK.4.11	Nyango likaka like lifoiman’ekenje.
LUK.4.12	Ko Yesu aolamba, aokela, Joi jokotama, Tomekake Yawe Nzakomba ekawe.
LUK.4.13	Ko aki Satana osizaka bemeka beuma, aoliman’el’ende fele.
LUK.4.14	Ko Yesu aoluta nda Ngalilaya la mpamba ea Bolimo; ko lokumo lokae lokumyama nda bise bikotutsi. 
LUK.4.15	Ko aolaka nda basunagoga bakiyo, ko iy’auma baolomemya.
LUK.4.16	Ko aoya nda Nazaleta, wiji bok’iy’oongolaka; ko nd’elenge eki’nde aolotswa nda sunagoga nda mbile ea Sabata, ko aolemala wae aand’onkanda. 
LUK.4.17	Ko baolokitsa bonkanda w’oteli Yesaya. Aoumbol’onkanda, ko aolen’itenela ikotama joi line,
LUK.4.18	Bolimo wa Yawe bole l’emi,
LUK.4.18	Eki’nd’ombisaka l’auta wae nsangele banto b’eola bosako w’olotsi:
LUK.4.18	Antomaki osanga etungwelo ele njanga,
LUK.4.18	L’enelo ele bawei’aiso,
LUK.4.18	Oelola banto bak’iy’otukaka,
LUK.4.19	Osanga ekeke ea Yawe esimam’olotsi.
LUK.4.20	Ko aoumb’onkanda, aoluteya ele bosali, ko aokit’ase; ko bant’auma baki nda sunagoga baoloaka baiso’akiyo. 
LUK.4.21	Ko aang’oakela, Mbil’ene ekotelo ene eoliela nd’atoi’akinyo. 
LUK.4.22	Ko bant’auma baolokoza, ko baokamwa nd’eloko ea baoyi b’oya bandolaki lim’omwa’okae: ko baokela, One afa bona owa Yosefa nde? 
LUK.4.23	Ko aolakela, Nsosolo, inyo lifoncwela joi line, Nkanga e’ete, bikya we mongo: baoyi’aso bak’is’okaka baokelama nda Kapalanauma, kelaka endo ngoko nd’ese eke mongo. 
LUK.4.24	Ko aokela, Nsosolo, nsangel’inyo, Boteli ntasimamaka nd’ese ekae mongo. 
LUK.4.25	Lolo nsangel’inyo la nsosolo, Bamato ba bituka baki’auke nda Yisalaele nd’embile beki Eliya, nd’ekeke eki loola okombamaka années isato la nsanza botoa, aki eto ea nzala e’enene okwelak’ese euma; 
LUK.4.26	lolo Eliya ntatomamaki el’omo owa bamato’ako, lolonde aotomama nda Salepata kika, nd’ese ea Sidona, ele bomot’omo oki etuka. 
LUK.4.27	Ko banto b’aeka bauke baki nda Yisalaele nd’ekek’eki Elisa ow’oteli; ko nk’omo owa b’aeka’ako ofetswaki, lolonde Namana bosi Sulia kika. 
LUK.4.28	Ko bant’auma baki nda sunagoga baokama la nkele, ek’iy’ookaka baoyi’ane; 
LUK.4.29	ko baolemala, baolooza lim’onanga, ko baolotomba nd’ompempe wa ngongo eki bonanga’okiyo okotongi, wete bouse nd’ase la besunangongo. 
LUK.4.30	Lolo aotuwana nd’etei ekiyo, ko aokenda.
LUK.4.31	Ko aokitela nda Kapalanauma, bonanga wa Ngalilaya. Ko aolalaka nda mbile ea Sabata: 
LUK.4.32	ko baokamwa la lilako likae; eki joi likae liki la mpamba. 
LUK.4.33	Ko bonto aki nda sunagoga, oki la bokali wa linyamo; ko aobeleza la lofoso ja bolo, 
LUK.4.34	Cika! iso la we tole ngamo? Yesu owa Nazaleta, oyaki wae otofite? njokea we, ole owa boeko owa Nzakomba. 
LUK.4.35	Ko Yesu aolofela, aokela, Ambya lofoso, ko ola lim’el’ende. Ko aki demona ounzak’ende nd’ase nd’etei ekiyo, aolola lim’el’ende, ko ntooky’ende eefe. 
LUK.4.36	Ko iy’auma baokamwa, baotefelana, baokela, Joi line lile na? el’ende aosangela bekali bia linyamo la mpifo la mpamba, ko bolaka. 
LUK.4.37	Ko lokumo lokande lokumyama nda bise biuma biki ntutama.
LUK.4.38	Ko aolola lima sunagoga, ko aolotswa nd’ilombe ya Simona. Ko nyango ea waji owa Simona aoloka nkangi ea angala e’enene: ko baoloonda nd’eloko ekae. 
LUK.4.39	Aolemala el’ende, ko aofela nkangi ea angala, ko eolocika: ko aetswa nkako, ko aolasaela.
LUK.4.40	Ko aki jefa oile, iy’auma baki la banto ba nkangi ya bilenge la bilenge, baolayela el’ende; ko aolafy’akata bakae el’iy’auma, ko aolaikya. 
LUK.4.41	Ko bademona baolola lim’ele bant’auke, baobeleza, baokela, W’ole Bona owa Nzakomba, Ko aolafela, ko ntacik’iyo wete batefela nye, ek’iy’oeaka wae ale Masiya.
LUK.4.42	Ko aki nkesa okya, aolola ko aocwa nd’etekeleke: ko banto ba bitukuluku baoloasa, ko baoya el’ende, ko bakelaki wete bosuke, wae afiman’el’iyo. 
LUK.4.43	Lolo aolakela, Bolotsi wae nsange nsango e’olotsi ea likulaka ja Nzakomba nd’enanga bemo ngoko: el’emi ntomamaki la ncin’ene.
LUK.4.44	Ko ayosange nsango nda basunagoga ba Ngalilaya.
LUK.5.1	KOKO aki etukuluku ea banto okam’el’ende, wae boke joi ja Nzakomba, akemi nd’eselo ea lieke ja Ngenesaleta; 
LUK.5.2	ko aolena biat’efe besemi nd’esemelo ea lieke; lolo baasi ba nse baosafwa lima biato, ko bayosole betai’ekiyo. 
LUK.5.3	Ko aokondela nd’omo wa biato beko, boki wa Simona, ko aolouola wae asemwa isisi lim’okili. Ende aokit’ase ko aolak’anto b’etukuluku lima wato. 
LUK.5.4	Ko aki’nd’osizaka lotefela, aokela Simona, Lotomba wato nd’asi ba njindo, ko lokiteza betai’ekinyo, loome nse. 
LUK.5.5	Ko Simona aolamba, aokela, Nkolo, tasaki bots’otso, ko ntatoata nse nye; lolonde la joi like njifokiteza betai. 
LUK.5.6	Ko ak’iy’okelaka ngoko, baokomba bouke wa nse l’etai; ko betai’ekiyo beanga jatsa; 
LUK.5.7	ko baoleta l’akata balongo bakiyo baki nda wato bomo, wete baye bakambya. Ko baoya, baokondeza nse nda biato bek’efe to, wae beanga loina. 
LUK.5.8	Lolo Simona Petelo, aki’nd’oenaka joi liko, aokwa nd’aongo ba Yesu, aokela, Imana el’emi, O Nkolo, el’emi nde bonto ow’obe. 
LUK.5.9	Nd’ewel’eki’nde okamwaka, ende l’iy’auma baki l’ende, l’ofula wa nse bok’iy’oomaka; 
LUK.5.10	ko la Yakobo la Yoane bana ba Zebedayo, baamanaki la Simona nda jasi ja nse, baokamwa ngoko. Ko Yesu aokela Simona, Tawokake booma; lim’aeyoko wifoyalema wasi ow’anto. 
LUK.5.11	Ko ak’iy’osemyaka biato bekiyo nd’okili, baosundola toma touma, ko baolokima.
LUK.5.12	Koko aki’nde nd’onang’omo, bala bont’omo aki eko la jonge liuma lifitana l’aeka; ko aki’nd’oenaka Yesu, aokwa mbosama, ko aoloonda, aokela, Nkolo, ayaka olanga, ompetoleya. 
LUK.5.13	Ko aosembya likata likae, ko aolofomwa, aokela, Ndanga, fetswaka. Ko nkakoyoko baeka baolimana el’ende. 
LUK.5.14	Ko aolokela, Tosangelake bont’omoko: lolo kenda, eneya nkanga jonge like, ko nd’eloko ea efetswelo eke lekya nganji iki Mose osiselaka nga lotaza el’iyo. 
LUK.5.15	Lolo lokumo lokae lokumyama bouke mongo; ko bitukuluku bi’anene bi’anto baotakana wae bokoza, ko baikyama lima tongoi tokiyo. 
LUK.5.16	Lolo ende aolimana, ko aocwa nda bitekeleke, ko ayoonde.
LUK.5.17	Koko nda mbil’emo ayolake lilako; ko Bafalusi l’alaki ba bisekyelo bakokit’as’eko, bayaki lima benanga biuma bia Ngalilayala Yudea ko lima Yelusalema: ko mpamba ea Yawe eki l’ende wae aikya banto. 
LUK.5.18	Ko bala, banto baoyela bonto oki la nkangi ea nkataana nda ntange; ko basaki wete botswey’ende nd’ilombe, ko boambya nda joso likae. 
LUK.5.19	Ko ak’iyo ntaben’otswelo, likambo ja etukuluku, baounda nda nsamba e’ilombe, ko ak’iy’oteolaka nsamba e’ilombe, baolokiteza nda ntange ekae nd’etei nda joso ja Yesu. 
LUK.5.20	Aki’nd’oene imeezo ekiyo, aokela, Bonto, otungwa lima baoyi’obe’akawe. 
LUK.5.21	Ko bakoci b’enkanda l’afalusi baanga lokakaza, baokela, Bont’one osaola Nzakomba isaola ale na? Omo otungol’anto lima baoyi’obe na, imola nko Nzakomba kika? 
LUK.5.22	Lolo Yesu aokotola bakakaza’akiyo, aolamba, aokela, Inyo lokakaza nd’etema ekinyo lae? 
LUK.5.23	Nkina nkele, Otungwa lima baoyi’obe bakawe; la nkele, Betswa, ambola ntange ekawe, ko kenda; oleki ikao nd’etefelo na? 
LUK.5.24	Lolo nd’ewela wae lea Bona ow’onto ale la mpamba nd’okili wae atungol’anto lima baoyi’obe (aokela bonto owa nkangi ea nkataana), Nkokela we, Betswa, ambola ntange ekawe, ko kenda nd’ilombe ikawe. 
LUK.5.25	Ko nkakoyoko aolemala nda joso likiyo, ko aolambola ntange eki’nd’okeci, ko aocwa nd’ilombe ikande, aomemya Nzakomba. 
LUK.5.26	Ko iy’auma baokamwa, ko baofika Nzakomba; ko baokama l’ooma, baokela, Tolena baoyi b’eleng’enkina mbil’ene.
LUK.5.27	Ko nd’afeka b’aoyi’ane aolola; ko aolena botakanyi owa mpuci otangema Lewi, akokit’ase nd’itenela ifut’iyo mpuci, ko aolokela, Onkim’emi. 
LUK.5.28	Ko aosundola toma touma, aolemala, ko aolokima.
LUK.5.29	Ko Lewi aololambela elambo e’enene nd’ilombe ikae; ko etukuluku e’enene ea batakanyi ba mpuci l’ant’ankina bakokit’ase l’iyo baleki toma. 
LUK.5.30	Ko Bafalusi l’akoci b’enkanda bakiyo baomemesanela bakimi bakae, baokela, Inyo lola ko lomela la batakanyi ba mpuci l’ant’obe lae? 
LUK.5.31	Ko Yesu aolamba, aolakela, Banto bakema bolo ntabelaka nkanga e’ete; lolonde bandoka nkangi. 
LUK.5.32	Nciyaki oeta banto bandeji, lolonde bant’obe nd’eututaelo.
LUK.5.33	Ko iyo baokela, Bakimi ba Yoane bakila toma bekila beuke, ko baoonda beondo, ko bakimi ba Bafalusi o ngoko; lolo bake baleka ko bamelaka. 
LUK.5.34	Ko Yesu aolakela, Lifokiza balongo ba wengi owa waji toma nd’ekeke ekit’ase wengi l’iyo nde? 
LUK.5.35	Lolo ekeke ifoya endimana wengi lim’el’iyo, mpanga bakile toma nd’embile beko. 
LUK.5.36	Ko aolasangela esonganya, aokela, Nk’onto otena ebolo lim’onkoto w’aeyoko wae asamb’eko nd’onkoto w’ojwela; ng’akel’o ngoko, siki akanjola bonkoto w’aeyoko, ko ebolo lim’onkoto w’aeyoko efosongane la bonkoto w’ojwela. 
LUK.5.37	Ko nk’onto ondila basanga b’aeyoko nda bikucu bia kalakala, nyango basanga b’aeyoko bafoole bikucu, ko basanga mongo bafutele, ko bikucu bifofitane. 
LUK.5.38	Lolonde bilaka basanga b’aeyoko nda bikucu bi’aeyoko. 
LUK.5.39	Ko nk’onto omelaki basanga ba kalakala aut’olanga b’aeyoko; el’ende aokela, Ba kalakala baolekol’olotsi.
LUK.6.1	KOKO aotuwana basala b’asangu nda mbile ea Sabata; ko bakimi’akae baomuka basangu, baonokola bako nd’akat’akiyo, ko baleki. 
LUK.6.2	Lolo Bafalusi bamo baokela, Inyo lokela joi lifeji la mbile ea Sabata lae? 
LUK.6.3	Ko Yesu aolamba, aokela, Inyo lotafoanda joi liki Dawidi okelaka, aki’nde la nzala, ende mongo l’iy’aki l’ende? 
LUK.6.4	elenge eki’nd’otswaka nd’ilombe ya Nzakomba, ko aokola ko aola mampa y’oeko, ko aoka iko el’iy’aki l’ende, mampa iko ifeji wae banto bale, imola nko nkanga kika? 
LUK.6.5	Ko aolakela, Bona ow’onto ale Nkolo ea Sabata.
LUK.6.6	Koko nda mbil’enkina ea Sabata, aolotswa nda sunagoga, ko aolaka lilako; ko bont’omo aki eko, ko likata likae j’elome jonyeela. 
LUK.6.7	Ko bakoci b’enkanda la Bafalusi baoloteemeza, nkina aikya nda Sabata; wae bofots’ende joi. 
LUK.6.8	Lolo ende eaki nkai ikiyo; ko aokela bonto onyeela likata, Emala ko yala nd’etei. Ko aolemala o njemala. 
LUK.6.9	Ko Yesu aolakela, Nduol’inyo, Lindeji l’esekyelo ea mbile ea Sabata na? nkakela e’olotsi, nkina nkakela e’obe? mbaikya, nkina mbaoma? 
LUK.6.10	Ko aolaala, iy’auma; ko aolokela, Sembola likata like. Aokela o ngoko; ko likata likae joika. 
LUK.6.11	Lolo iyo baokama la nkele; ko baoluwana elenge e iy’okeela Yesu joi.
LUK.6.12	Koko nd’embile bene, aocwa nda ngongo oonda; ko ayoonde Nzakomba bots’otso. 
LUK.6.13	Ko aki nkesa okya, aoleta bakimi’akae; ko aosona lim’el’iyo banto jom l’afe, baki’nd’otangaka Bikima: 
LUK.6.14	Simona, oki’nd’ilaka lina Petelo, l’Andelo okosangi l’ende nd’ooci, la Yakobo la Yoane, la Filipo la Balutolomayo, 
LUK.6.15	la Matayo la Toma, la Yakobo bona owa Alafayo, la Simona otangema owa Zelote, 
LUK.6.16	la Yuda bokune owa Yakobo, la Yudasa bosi Keliota, ondoangelaki: 
LUK.6.17	ko aokitela l’iyo, ko aolemala nd’itenela y’esobe, ende l’etukuluku e’akimi bakae, ko la bouke w’anto lima Yudea la Yelusalema, la bise bia Tula la Sidona, bayaki wae bookoza, ko baikyame lima nkangi ikiyo; 
LUK.6.18	ko iy’aki la bekali bia linyamo baoikyama. 
LUK.6.19	Ko banto b’etukuluku euma basaki wae bofomwa; eki mpamba olaka lim’el’ende, ko aolaikya iy’auma.
LUK.6.20	Ko aosangya baiso’akae ele bakimi’akae, aokela, Inyo b’eola, lokem’ekemo: ele likulaka ja Nzakomba lile likinyo. 
LUK.6.21	Iny’andoka nzala aeyoko, lokem’ekemo; el’inyo lifokinda. Iny’alela mpisali aeyoko, lokem’ekemo; el’inyo lifoseka tola. 
LUK.6.22	Wenaka banto baolin’inyo tu, ko baotandol’inyo, ko baotang’inyo lotango, ko baolimola baina’akinyo nga bobe nd’eloko ea Bona ow’onto, inyo lokem’ekemo. 
LUK.6.23	Losalangana nda bembile beko, ko lotatamba l’osalangano; la ncina wae ndako ekinyo el’enene nda loola; eki baise’akiyo okeelaka bateli o ngoko. 
LUK.6.24	Lolonde elo el’inyo baaci! el’inyo losila jamba ncicimya e’etema’ekinyo. 
LUK.6.25	Elo el’inyo bakinda mbimbi aeyoko! el’inyo lifoka nzala. Elo el’inyo baseka tola aeyoko! el’inyo lifokesela la lokeseli, ko lifolela mpisali. 
LUK.6.26	Elo el’inyo, ee banto osim’inyo bolotsi! eki baise’akiyo okeelaka bateli ba mpafomba o ngoko.
LUK.6.27	Lolo nsangel’iny’andokoza, Loka baini’akinyo eefe, ko lokel’olotsi el’iyo bandin’inyo tu; 
LUK.6.28	losakel’iyo batol’inyo bitoli bokako wa swa, loondel’iyo banyokol’inyo. 
LUK.6.29	Ayaka bonto akosakola lotaka nda litama limoko, w’otumya litama linkina o ngoko; ko ayaka bonto akofonola bonkoto w’aliko, tawofekezake bonkoto w’etei o ngoko. 
LUK.6.30	Kaya wengi bonto okolomba; ko ayaka bonto akola toma toke, tawetake toko lenkina. 
LUK.6.31	Ko elenge elang’inyo banto bakeel’inyo, lakeel’iyo nk’eleng’eko. 
LUK.6.32	Nkina banto bok’inyo eefe, ko inyo lolok’iyo eefe, ndako eat’inyo na? ele bakeli b’obe bokan’eefe l’anto bandok’iyo eefe. 
LUK.6.33	Nga lokel’olotsi ele banto bakeel’inyo bolotsi, ndako eat’inyo na? ele banto b’obe bakela o ngoko. 
LUK.6.34	Ko nga losombya nsombi el’iyo bandendez’inyo wete lifamba lenkina ndako eat’inyo na? ele banto b’obe basombya banto b’obe nsombi, wae bambe lenkina o ngoko. 
LUK.6.35	Lolo loka baini’akinyo eefe, ko lakeele bolotsi, ko losombya nsombi, nk’okakaano; ko ndako ekinyo ifoyala enene, ko inyo lifoyalema bana ba Oleki ndekola; el’ende akela baoyi ba liota el’iyo bafoke liota ko ele banto b’obe. 
LUK.6.36	Lok’anto isei, o ng’ondoka Ise ekinyo isei. 
LUK.6.37	Ko talezake banto baoyi, ko inyo lofezama l’aoyi; ko talumbake banto bakambo, ko inyo lofaumbama likambo: lotungol’anto, ko inyo lifotungwa: 
LUK.6.38	lokaya, ko lifokaem’el’inyo; bifoka inyo nda ntolo ikinyo jeza j’olotsi, linyekama, lifukusama, ko lifukumwa. El’iyo bifelez’inyo lenkina ng’ok’iny’oezaka.
LUK.6.39	Ko aolasangela esonganya, aokela, Bawei’aiso balondeya bawei’aiso mboka nde? bafaokwa iy’ak’afe nda lifoku nde? 
LUK.6.40	Bokimi ntalekolaka bolaki’okande: lolonde wengi’onto, a end’oelama, aoyalema o ngol’olaki’okae. 
LUK.6.41	Ko oal’ifufumbu ile nda liso ja lilongo like, lolo ofokanela botondo bole nda liso likawe mongo lae? 
LUK.6.42	Na, okela lilongo like, Lilongo, kela nkoleza ifufumbu ile nda liso like, ko we mongo ofene botondo bole nda liso like mongo ngamo? We bokakatano, oza botondo bole nda liso like mongo nda joso, mpanga wene fole wae woza ifufumbu ile nda liso ja lilongo like. 
LUK.6.43	Ele nk’otamba w’olotsi bocwa bamuka b’obe; ko nk’otamba w’obe bocwa bamuka b’olotsi. 
LUK.6.44	Ele wengi botamba weana l’amuka bakae mongo. Banto bafomuke bateli lima bafengolankoi, ko bafomuke bamuka ba bokoli wa vina lim’aeke. 
LUK.6.45	Bonto ow’olotsi lima liaci j’aoyi b’olotsi ja botema’okae ozaka joi lil’olotsi; ko ow’obe lima liaci j’aoyi’obe ozaka joi lil’obe: ele bomwa botefela lim’ofula w’otema.
LUK.6.46	Ko lonjet’emi Nkolo, Nkolo, ko lofokele baoyi batefel’emi, lae? 
LUK.6.47	Wengi’onto oya el’emi, ko aoloka baoyi’akami, ko aokel’ako, njifeney’inyo osongi l’ende: 
LUK.6.48	asongi l’onto otonga ilombe ikae, ko aocima njindo mongo, ko aolemy’ilombe nd’ekenje; ko aki mpela oya, ntando eokunjwa nd’ilombe iko, ko ntefukyeya nye eki iko ikotongi bolotsi mongo. 
LUK.6.49	Lolo ondoka baoyi’akami, ko afokele bako, asongi l’onto otongak’ilombe ikae nd’amoci nk’ekemyelo; ntando eokunjwa nd’ilombe, ko iokwa nkakoyoko: ko efitanelo e’ilombe iko eolekola.
LUK.7.1	AKI Yesu osizaka bitefelo bikae biuma nd’atoi b’anto, aomotswa Kapalanauma.
