MAT.1.1	Книга
MAT.21.22	Крај на понеделникот
MAT.21.23	И кога дојде Он во храмот и поучуваше, пристапија
MAT.21.24	А Исус им одговори и рече: – Ќе ве прашам и Јас еден збор: ако Ми одговорите на него и Јас ќе ви кажам, со каква власт го правам тоа;
MAT.21.25	крштението Јованово од каде беше: од небото или од луѓето? А тие размислуваа помеѓу себе и велеа: ако кажеме – од небото, ќе ни рече: па зошто не му поверувавте?
MAT.21.26	А, ако речеме – од луѓето, се плашиме од народот, оти сите го сметаат Јована за пророк.
MAT.21.27	Па, одговарајќи Му на Исуса, рекоа: – Не знаеме. А Он им рече: – И Јас не ви кажувам со каква власт го правам тоа.
MAT.21.27	Крај на вторникот
MAT.21.28	Акако ви се чини? Еден
MAT.21.29	Тој одговори и рече: – Не сакам! Но потоа се покаја и отиде.
MAT.21.30	Па кога дојде и при вториот, му го рече истото. Тој одговори и рече: – Ќе отидам, господаре! Ама не отиде.
MAT.21.31	Кој од двајцата ја исполни татковата волја? Му одговорија: – Првиот. Тогаш Исус им рече: – Вистина ви велам, дека цариниците и блудниците ќе влезат пред вас во царството Божјо;
MAT.21.32	зашто, дојде при вас Јован по праведен пат и вие не му поверувавте, а цариниците и блудниците му поверуваа; вие, пак, иако видовте, не се покајавте отпосле, за да му поверувате.
MAT.21.32	Крај на средата
MAT.21.33	Чујте друга парабола: Имаше еден човек
MAT.21.34	И кога наближи времето за берење, тој ги испрати при лозарите своите слуги, за да му ги приберат плодовите.
MAT.21.35	Но лозарите, кога ги фатија неговите слуги, едниот го претепаа, другиот го убија, а третиот со камења го засипаа.
MAT.21.36	Тој испрати сега други слуги, повеќе од првите, но и со нив направија исто.
MAT.21.37	Најпосле го испрати при нив својот син, велејќи: – Ќе се засрамат од сина ми.
MAT.21.38	Ама лозарите, штом го видоа сина му, си рекоа помеѓу себе: – Овој е наследникот; ајде да го убиеме и да го присвоиме наследството негово.
MAT.21.39	Па штом го фатија, го изведоа надвор од лозјето и го убија.
MAT.21.40	А кога ќе дојде господарот на лозјето, што ќе им направи на тие лозари?
MAT.21.41	Му одговорија: – Злосторниците ќе ги погуби, а лозјето ќе го даде на други лозари, што ќе му ги даваат плодовите навреме.
MAT.21.42	А Исус им рече: – Зар не сте читале во Книгите: „каменот, што го отфрлија ѕидарите, стана камен аголен: тоа е од Господа и прекрасно е во очите наши“.
MAT.21.42	Крај на неделата и на светителот
MAT.21.43	Затоа ви велам, дека
MAT.21.43	Крај на Велики Понеделник, на утрената.
MAT.21.44	И кој ќе падне врз тој камен, – ќе се разбие; а врз кого тој ќе падне, – ќе го здроби.
MAT.21.45	И, слушајќи ги Неговите параболи, првосвештениците и фарисеите разбраа дека говори за нив,
MAT.21.46	и гледаа да Го фатат, но се плашеа од народот, зашто Го сметаа за пророк.
MAT.21.46	Крај на четвртокот
MAT.22.1	И, одговарајќи Исус, повторно, им говореше во параболи и велеше:
MAT.22.2	– Царството небесно прилега на човек-цар, кој му направи свадба на својот син,
MAT.22.3	и ги испрати своите слуги да ги повикаат поканетите на свадба; а тие не сакаа да дојдат.
MAT.22.4	Повторно испрати други слуги и им рече: – Кажете им на поканетите: ете, приготвив јадење; јунците мои и сѐ што е угоено се заклани, и сѐ е готово; дојдете на свадба.
MAT.22.5	Но тие не сакаа да знаат за тоа, туку си отидоа: кој на нива, кој по трговија;
MAT.22.6	а некои, пак, ги фатија неговите слуги, ги исмеаја и ги убија.
MAT.22.7	Штом чу за тоа царот, се налути, испрати своја војска, па ги погуби убијците и им го изгоре нивниот град.
MAT.22.8	Тогаш им рече на слугите свои: – Свадбата е готова, но поканетите не беа достојни.
MAT.22.9	Затоа, одете по раскрсниците и колку души ќе најдете, поканете ги на свадба.
MAT.22.10	И откако излегоа слугите на раскрсниците, ги собраа сите што ги најдоа – и лоши и добри; и се наполни свадбениот дом со гости.
MAT.22.11	Кога влезе, пак, царот да ги види гостите, забележа еден необлечен во свадбена облека,
MAT.22.12	па му рече: – Пријателе, како влезе овде, необлечен во свадбена облека? А тој молчеше.
MAT.22.13	Тогаш царот им рече на слугите: – Врзете му ги рацете и нозете, земете го и фрлете го во крајната темнина; таму ќе биде плач и крцкање со заби;
MAT.22.14	зашто, мнозина се повикани, а малцина избрани.
MAT.22.14	Крај на неделата
MAT.22.15	Т огаш фарисеите отидоа и се договорија како да Го фатат во некој збор.
MAT.22.16	И ги испраќаа при Него своите ученици, заедно со некои иродовци, говорејќи: – Учителе, знаеме дека си правичен и навистина ги учиш луѓето на патот Божји, и не се плашиш од никого, бидејќи не гледаш кој е кој;
MAT.22.17	затоа кажи ни; како Ти се чини: треба ли да се дава данок на царот или не?
MAT.22.18	Но Исус го разбра лукавството нивно и рече: – Што Ме искушувате, лицемери?
MAT.22.19	Покажете Ми една даночна пара! Тие Му донесоа еден пенез.
MAT.22.20	И им рече: – Чиј е овој лик и натпис?
MAT.22.21	Тие Му одговорија: – На царот. Тогаш им рече: – Подајте го царевото на царот, а Божјото на Бога!
MAT.22.22	И штом го чуја тоа, тие се восхитија, Го оставија и си отидоа.
MAT.22.22	Крај на саботата
MAT.22.23	Во истиот ден пристапија кон Него и садукеите,
MAT.22.24	– Учителе, Мојсеј рече: ако умре некој без деца, тогаш брат му нека ја земе жената негова и нека го подигне потомството на брата си.
MAT.22.25	При нас беа седуммина браќа: првиот се ожени и умре; па, бидејќи немаше пород, ја остави жената своја на брата си;
MAT.22.26	исто така направи и вториот, и третиот, дури и седмиот;
MAT.22.27	а по сите нив, умре и жената.
MAT.22.28	При воскресението, на кого од седумтемина ќе биде таа жена, бидејќи со сите живеела?
MAT.22.29	Исус им одговори: – Се лажете, оти не ги познавате Книгите, ниту силата Божја;
MAT.22.30	зашто при воскресението, луѓето ниту ќе се женат, ниту ќе се мажат, а ќе живеат како ангели Божји на небесата.
MAT.22.31	А за воскресението на мртвите, не сте читале ли што ви рекол Бог, Кој вели:
MAT.22.32	„Јас сум Бог Авраамов, Бог Исааков, и Бог Јаковов“. Бог не е Бог на мртвите, туку на живите.
MAT.22.33	И народот, слушајќи го тоа, се восхитуваше на Неговата наука.
MAT.22.33	Крај на петокот
MAT.22.34	Афарисеите, кога чуја дека ги посрами садукеите, се здружија со нив.
MAT.22.35	И еден од нив, законик,
MAT.22.36	– Учителе, која заповед е најголема во Законот?
MAT.22.37	А Исус му одговори: – Возљуби го Господа својот Бог, со сето свое срце, и со сета своја душа, и со сиот свој разум!
MAT.22.38	Оваа е првата и најголема заповед;
MAT.22.39	а втората е слична на неа: – Возљуби го својот ближен како себе си!
MAT.22.40	На тие две заповеди се крепат целиот Закон и Пророците.
MAT.22.41	И кога се собраа фарисеите, Исус ги праша и рече:
MAT.22.42	– Што мислите за Христа? Чиј е син? Му одговорија: Давидов.
MAT.22.43	Им рече: – Како тогаш Давид, вдахновен, Го нарече Господ, велејќи:
MAT.22.44	„Му рече Господ на Мојот Господ: седи од Мојата десна страна, додека не ги положам Твоите непријатели во подножјето на нозете Твои“.
MAT.22.45	И така, ако Давид Го нарече Господ, како тогаш да Му е Он син?
MAT.22.46	И никој не можеше да Му одговори ни збор, и од тој ден никој веќе не се осуди да Го праша.
MAT.22.46	Крај на неделата
MAT.23.1	Тогаш Исус
MAT.23.2	говорејќи: – На Мојсеевото седиште седнаа книжниците и фарисеите.
MAT.23.3	Затоа, сѐ што ќе ви кажат да пазите, пазете и извршувајте; а според делата нивни не постапувајте, оти тие говорат, а не извршуваат;
MAT.23.4	врзуваат бремиња тешки и мачни за носење и ги клаваат врз плеќите на луѓето, а сами не сакаат ни со прст да ги помрднат;
MAT.23.5	и сите свои дела ги прават за да ги видат луѓето; ги рашируваат своите записи и прават големи поли на својата облека;
MAT.23.6	сакаат први места по гозбите и предни места во синагогите,
MAT.23.7	и поздрави по улиците, и да им велат луѓето: учителе, учителе!
MAT.23.8	А вие, немојте да се викате учители, зашто еден е вашиот Учител – Христос, а вие сите сте браќа;
MAT.23.9	и никого не викајте на земјата свој татко, оти еден е вашиот Отец, Кој е на небесата;
MAT.23.10	и наставници немојте да се викате, зашто еден е вашиот Наставник – Христос.
MAT.23.11	Но поголемиот меѓу вас, да ви биде слуга;
MAT.23.12	зашто, кој се воздига – ќе биде понизен; а кој се понизува – ќе биде воздигнат.
MAT.23.12	Крај на саботата
MAT.23.13	Тешко
MAT.23.14	Тешко вам, книжници и фарисеи, лицемери, оти ги подјадувате домовите на вдовиците и лицемерно долго се молите; заради тоа ќе добиете поголема осуда.
MAT.23.15	Тешко вам, книжници и фарисеи, лицемери, зашто обиколувате по море и по суша за да добиете еден следбеник и кога ќе успеете во тоа, тогаш го правите син на пеколот, двапати полош од вас.
MAT.23.16	Тешко вам, водачи слепи, кои велите: – ако се заколне некој во храмот, не е ништо; но, ако се заколне некој во храмовото злато, виновен е.
MAT.23.17	Безумни и слепи! Навистина, што е поголемо: златото или храмот, којшто го осветува златото?
MAT.23.18	Исто така велите: – ако некој се заколне во жртвеникот, ништо не е; но, ако некој се заколне во дарот што е на него, виновен е.
MAT.23.19	Безумни и слепи! Навистина, што е посвето: дарот или жртвеникот, којшто го осветува дарот?
MAT.23.20	А кој ќе се заколне во жртвеникот, се колне во него и во сѐ што е врз него;
MAT.23.21	и кој ќе се заколне во храмот, се колне во него и во Оној Кој живее во него;
MAT.23.22	и кој ќе се заколне во небото, се колне во престолот Божји и во Оној што седи на него.
MAT.23.22	Крај на понеделникот
MAT.23.23	Т ешко
MAT.23.24	Водачи слепи! Вие комарецот го прецедувате, а камилата ја проголтувате.
MAT.23.25	Тешко вам, книжници и фарисеи, лицемери, зашто ја чистите чашата и чинијата однадвор, додека внатре тие се полни со грабеж и неправда.
MAT.23.26	Слеп фарисеју, очисти ја чашата и чинијата, најнапред внатре, за да бидат чисти и однадвор.
MAT.23.27	Тешко вам книжници и фарисеи, лицемери, оти многу личите на варосани гробови, кои однадвор изгледаат убаво, а внатре се полни со мртовечки коски и секаква нечистотија;
MAT.23.28	така и вие, однадвор им се покажувате на луѓето како праведни, а внатре сте полни со лицемерност и беззаконие.
MAT.23.28	Крај на вторникот
MAT.23.29	Тешко
MAT.23.30	и велите: – ако живеевме во дните на нашите татковци, немаше да станеме нивни соучесници во крвта на пророците;
MAT.23.31	а со тоа сведочите сами против себе, дека сте синови на оние што ги убиле пророците.
MAT.23.32	Дополнете ја и вие мерата на татковците ваши.
MAT.23.33	Змии, породи ехидни, како ќе побегнете од пресудата за во пеколот?
MAT.23.34	Затоа, ете, Јас праќам при вас пророци и мудреци и книжници; едните ќе ги убиете и распнете, а другите ќе ги биете по синагогите и ќе ги прогонувате од град во град;
MAT.23.35	за да падне врз вас сета праведна крв што е пролеана на земјата, од крвта на праведниот Авел, па до крвта на Захарија, синот Варахиин, кого го убивте меѓу храмот и жртвеникот.
MAT.23.36	Вистина ви велам: сето тоа ќе падне врз овој род.
MAT.23.37	Ерусалиме, Ерусалиме, ти што ги убиваш пророците и со камења ги засипуваш испратените при тебе! Колкупати сакав да ги соберам чедата твои како квачка што ги собира пилињата свои под крилја, и вие не сакавте.
MAT.23.38	Ете, ви се остава вашиот дом пуст.
MAT.23.39	Оти, ви велам: нема да Ме видите отсега додека не кажете: благословен е Оној Кој доаѓа во името Господово.
MAT.23.39	Крај на средата и на Велики Вторник, на утрената
MAT.24.1	И откако излезе Исус од храмот и си одеше, се приближија до Него
MAT.24.2	А Исус им рече: – Го гледате ли сето тоа? Вистина ви велам: нема да остане тука ни камен на камен, а да не биде урнат.
MAT.24.3	И кога седеше
MAT.24.4	А Исус им одговори и рече: – Пазете се, да не ве излаже некој;
MAT.24.5	зашто мнозина ќе дојдат во Мое име, говорејќи: јас сум Христос; и ќе прелажат мнозина.
MAT.24.6	Ќе слушате за војни и гласови за војни. Гледајте да не се уплашите, оти сето тоа треба да биде; ама тоа уште не е крајот.
MAT.24.7	Зашто, ќе се дигне народ против народ, и царство против царство; и наместа ќе има глад, помор и потреси;
MAT.24.8	а сето тоа е почеток на болките.
MAT.24.9	Тогаш ќе ве предадат на маки и ќе ве убијат; и ќе бидете мразени од сите народи, заради Моето име.
MAT.24.10	Тогаш мнозина ќе се соблазнат и еден со друг ќе се предаваат, и еден со друг ќе се мразат;
MAT.24.11	многу лажни пророци ќе се појават и ќе прелажат мнозина;
MAT.24.12	и бидејќи беззаконијата ќе се умножат, кај мнозина љубовта ќе олади.
MAT.24.13	Акој претрпи
MAT.24.13	Крај на саботата
MAT.24.14	И ќе биде проповедано ова Евангелие на царството по целиот свет, за сведоштво на сите народи; и тогаш ќе дојде крајот.
MAT.24.15	Па така, штом ќе ја види те „мерзоста на запустението“ да стои на свето место, за која е зборувано преку пророкот Даниил – кој чита, нека разбере, –
MAT.24.16	тогаш оние, што се наоѓаат во Јудеја, да бегаат по планините;
MAT.24.17	кој е на покривот, нека не слегува да земе нешто од куќата своја;
MAT.24.18	и кој е на нива, нека не се враќа дома, за да ги земе алиштата свои.
MAT.24.19	Но, тешко на бремените и на оние што дојат во тие дни.
MAT.24.20	Затоа, молете се, да не биде бегањето ваше зиме, или во сабота;
MAT.24.21	оти тогаш ќе биде мака, каква што не била од почетокот на светот па досега, а и нема да биде.
MAT.24.22	И, ако не се скратеа оние дни, никој не би се спасил; но, заради избраните ќе се скратат тие дни.
MAT.24.23	Тогаш, ако ви каже некој: – еве, овде е Христос, или таму е, не верувајте;
MAT.24.24	оти, ќе се појават лажни христоси и лажни пророци, и ќе покажат големи знаци и чуда, за да ги прелажат, ако е можно, избраните.
MAT.24.25	Ете, претходно ви кажав.
MAT.24.26	И така, ако ви речат: – ете, во пустината е Он, – не излегувајте; ете, во тајна соба е, – не верувајте.
MAT.24.27	Зашто, како
MAT.24.28	Оти, каде што е трупот, таму се собираат и орлите.
MAT.24.28	Крај на четвртокот
MAT.24.29	И веднаш, по маките во тие дни, сонцето ќе потемни и месечината нема да ја дава својата светлина, и ѕвездите ќе попаѓаат од небото, и силите небески ќе се разнишаат.
MAT.24.30	Тогаш ќе се јави на небото знакот на Синот Човечки и ќе се расплачат сите земни племиња, и ќе Го видат Синот Човечки како доаѓа на небеските облаци, со голема слава и сила;
MAT.24.31	и ќе ги испрати Своите ангели со голем трубен глас, и ќе ги соберат Неговите избраници од четирите ветра, од едниот до другиот крај на небесата.
MAT.24.32	Со смоквата направете споредба: штом ќе се подмладат нејзините гранки и ќе пуштат лисја, знаете, дека е близу летото;
MAT.24.33	така и вие, кога ќе го видите сето тоа, знајте, дека е близу пред врата.
MAT.24.33	Крај на петокот
MAT.24.34	Вистина
MAT.24.35	Небото и земјата ќе преминат, ама зборовите Мои нема да преминат.
MAT.24.35	Крај на Велики Понеделник, на литургијата
MAT.24.36	Аза тој ден и час
MAT.24.37	но, како што беше во деновите на Ное, така ќе биде и при доаѓањето на Синот Човечки;
MAT.24.38	оти, како што во деновите пред потопот јадеа и пиеја, се женеа и се мажеа до оној ден, кога Ное влезе во ковчегот,
MAT.24.39	и не узнаа додека не дојде потопот и истреби сѐ, – така ќе биде и доаѓањето на Синот Човечки;
MAT.24.40	тогаш ќе бидат двајца на нива: еден ќе се земе, а другиот ќе се остави;
MAT.24.41	две жени ќе мелат на мелница: едната ќе се земе, а другата ќе се остави.
MAT.24.41	Читај во петокот
MAT.24.42	Па така,
MAT.24.43	Знајте го и ова, дека, ако домаќинот на куќата знаеше во кој час ќе дојде крадецот, тој ќе стоеше буден и немаше да дозволи да му ја поткопаат куќата.
MAT.24.44	Затоа, бидете и вие готови, зашто во кој час и не мислите, ќе дојде Синот Човечки.
MAT.24.44	Крај на саботата
MAT.24.45	Кој е, пак, тој верен и благоразумен слуга, кого што ќе го постави господарот негов над слугите свои, да им дава навреме храна?
MAT.24.46	Блазе на тој слуга, кого што, кога ќе дојде господарот негов, ќе го најде да постапува така;
MAT.24.47	вистина ви велам, дека над целиот свој имот ќе го постави него.
MAT.24.47	Крај на светителот
MAT.24.48	Ако, пак, тој слуга, бидејќи лош, рече во срцето свое: господарот мој уште за долго време нема да дојде,
MAT.24.49	па почне да ги бие другарите свои и да јаде и пие со пијаниците,
MAT.24.50	господарот на тој слуга ќе дојде во ден, кога не го очекувал, и во час, што не го знаел;
MAT.24.51	и ќе го исече на половина, и ќе му даде еднаква награда со лицемерите; таму ќе биде плач и крцкање со заби.
MAT.24.51	Крај на петокот
MAT.25.1	Тогаш
MAT.25.2	Петте од нив беа мудри, а петте – неразумни.
MAT.25.3	Неразумните, откако ги зедоа светилниците свои, не понесоа со себе масло;
MAT.25.4	а мудрите, заедно со светилниците, зедоа во садовите свои и масло;
MAT.25.5	и, бидејќи младоженецот се забави, сите задремаа и заспаа.
MAT.25.6	А на полноќ се чу викање: – Ете, младоженецот доаѓа, излезете да го пречекате.
MAT.25.7	Тогаш сите тие девојки станаа и ги подготвија своите светилници.
MAT.25.8	Неразумните, пак, им рекоа на мудрите: – Дајте ни од маслото ваше, зашто нашите светилни ци гаснат.
MAT.25.9	Мудрите им одговорија и рекоа: – Да не би да не ни стигне и нам и вам; подобро отидете кај продавачите и купете си.
MAT.25.10	А кога отидоа тие да купат, пристигна младоженецот и подготвените влегоа со него на свадбата, и вратите се затворија.
MAT.25.11	Потоа дојдоа и другите девојки и викаа: – Господаре, господаре, отвори ни!
MAT.25.12	А тој им одговори и рече: – Вистина, ви велам: не ве познавам.
MAT.25.13	И така, бидете будни, оти не го знаете ни денот ни часот, кога ќе дојде Синот Човечки.
MAT.25.13	Крај на саботата
MAT.25.14	Зашто, Он ќе постапи како човек, кој, тргнувајќи
MAT.25.15	и на едниот му даде пет таланти, на вториот два, на третиот еден; секому според силата негова; и веднаш замина.
MAT.25.16	Оној, што зеде пет таланти, отиде, ги употреби во работа и спечали други пет таланти;
MAT.25.17	исто така и оној што зеде два таланта, спечали други два;
MAT.25.18	а оној што доби еден талант, отиде и го закопа в земја и го сокри среброто на својот господар.
MAT.25.19	По долго време, дојде господарот на тие слуги и им побара сметка.
MAT.25.20	И кога пристапи оној што беше примил пет таланти, донесе уште други пет и рече: – Господаре, ти ми предаде пет таланти; ете, сум спечалил и други пет.
MAT.25.21	Господарот му рече: – Убаво, добар и верен слуго! Во малку си бил верен, над многу ќе те поставам; влези во радоста на својот господар.
MAT.25.22	Дојде, исто така, и оној што беше примил два таланта и рече: – Господаре, ти ми предаде два таланта; ете, со нив спечалив други два.
MAT.25.23	Господарот му рече: – Убаво, добар и верен слуго! Во малку си бил верен, над многу ќе те поставам; влези во радоста на својот господар!
MAT.25.24	Пристапи и оној што беше зел еден талант и рече: – Господаре, те знев дека си жесток човек: жнееш каде што не си сеел и собираш каде што не си веел;
MAT.25.25	па се уплашив и отидов, та го сокрив твојот талант в земја; ете ти го твоето.
MAT.25.26	А господарот му одговори и рече: – Лукав и мрзлив слуго! Ти знаеш дека жнеам, каде што не сум сеел и собирам каде што не сум веел;
MAT.25.27	затоа требаше моето сребро да го дадеш на трговците, па јас, кога ќе дојдам, ќе си го приберам своето, со добивка;
MAT.25.28	земете го од него талантот и дајте му го на оној што има десет таланти;
MAT.25.29	зашто, секому што има, ќе му се даде и преумножи, а од оној што нема, ќе се одземе и тоа што го има;
MAT.25.30	а лошиот слуга фрлете го во крајна темнина; таму ќе биде плач и крцкање со заби. Откако го рече тоа, извика: – Кој има уши да слуша, нека чуе!
MAT.25.30	Крај на неделата
MAT.25.31	Акога
MAT.25.32	и ќе се соберат пред Него сите народи; па ќе ги оддели едни од други, како што овчарот ги одделува овците од козите;
MAT.25.33	и ќе ги постави овците од Својата десна страна, а козите од левата.
MAT.25.34	Тогаш Царот ќе им каже на оние што Му се од десната страна: – Дојдете, благословени од Мојот Отец; наследете го царството, подготвено за вас од почетокот на светот;
MAT.25.35	оти, гладен бев, и Ми дадовте да јадам; жеден бев и Ме напоивте, странец бев и Ме примивте;
MAT.25.36	необлечен бев и Ме облековте; болен бев и Ме посетивте; в затвор бев и дојдовте при Мене.
MAT.25.37	Тогаш праведниците ќе Му одговорат и речат: – Господи, кога Те видовме гладен и Те нахранивме, или жеден и Те напоивме?
MAT.25.38	Кога Те видовме странец и Те прибравме, или необлечен и Те облековме?
MAT.25.39	Кога Те видовме болен, или во затвор и Те посетивме?
MAT.25.40	А Царот ќе им одговори и рече: – Вистина, ви велам: доколку сте го направиле тоа на еден од тие Мои најмали браќа, Мене сте Ми го направиле.
MAT.25.41	Тогаш ќе им каже и на оние што се од левата страна: – Одете од Мене, проклети, во вечен оган, подготвен за ѓаволот и неговите ангели.
MAT.25.42	Зашто, гладен бев и не Ми дадовте да јадам, жеден бев и не Ме напоивте;
MAT.25.43	странец бев и не Ме прибравте; необлечен бев и не Ме облековте; болен и во затвор бев и не Ме посетивте.
MAT.25.44	Тогаш и тие ќе Му одговорат и речат: – Господи, кога Те видовме гладен, или жеден, или странец, или необлечен, или болен; или в затвор и не Те послуживме?
MAT.25.45	Тогаш ќе им одговори и рече: – Доколку не сте го направиле тоа на еден од овие најмали браќа и Мене не сте Ми го направиле.
MAT.25.46	И тие ќе отидат во вечна мака, а праведниците – во живот вечен.
MAT.25.46	Крај на месопусната недела
MAT.26.1	И кога ги заврши Исус овие зборови, им рече на учениците Свои:
MAT.26.2	– Знаете
MAT.26.2	Крај на Велики Вторник
MAT.26.3	Тогаш првосвештениците и книжниците, и старешините народни се собраа во дворот на првосвештеникот, по име Кајафа,
MAT.26.4	и се советуваа како да Го фатат Исуса на измама и да Го убијат;
MAT.26.5	но рекоа: – Само не на празникот, за да не стане бунт во народот.
MAT.26.6	Акога беше Исус
MAT.26.7	се приближи до Него една жена, која носеше шише со скапоцено миро, и го изли врз главата Негова, кога Он седеше на трпезата.
MAT.26.8	Штом го видоа тоа, учениците Негови се расрдија и рекоа: – Какво е тоа растурање?
MAT.26.9	Оти тоа миро можеше да се продаде многу скапо и парите да се разделат на сиромаси.
MAT.26.10	Но Исус, разбирајќи го тоа, им рече: – Зошто ја буните жената? Таа направи добро дело за Мене;
MAT.26.11	оти сиромасите ги имате секогаш покрај себе, а Мене Ме немате секогаш;
MAT.26.12	таа, изливајќи го тоа миро врз телото Мое, Ме подготви за погребение.
MAT.26.13	Вистина, ви велам: каде и да биде проповедано ова Евангелие, по цел свет ќе се прикажува за нејзин спомен, што направи таа.
MAT.26.14	Тогаш еден од дванаесетте, по име Јуда Искариот, отиде при првосвештениците,
MAT.26.15	и им рече: – Што ќе ми дадете, па да ви Го предадам? А тие му предложија триесет сребреници.
MAT.26.16	И оттогаш тој бараше погодно време за да Го предаде.
MAT.26.16	Крај на Велика Среда
MAT.26.17	А во првиот ден на празникот Бесквасници, пристапија кон Исуса учениците и Му рекоа: – Каде сакаш да Ти приготвиме да јадеш пасха?
MAT.26.18	Он рече: – Одете в град, при тој и тој човек, и кажете му: Учителот вели: времето Ми наближи, при тебе ќе ја направам Пасхата со учениците Свои.
MAT.26.19	Учениците направија како што им заповеда Исус и ја приготвија пасхата.
MAT.26.20	А штом се стемни, Он седна на трпезата со дванаесетте.
MAT.26.20	Премини за Вел. Четврток, на зачало 44-то од Јована. И повторно читај одовде.
MAT.26.21	И кога јадеа, им рече: – Вистина ви велам: еден од вас ќе Ме предаде.
MAT.26.22	Тие многу се нажалија и секој од нив почна да Го прашува: – Да не сум јас, Господи?
MAT.26.23	А Он им одговори и рече: – Оној што ќе брцне рака со Мене во чинијата, тој ќе Ме предаде.
MAT.26.24	Синот, пак, Човечки доаѓа, како што е напишано за Него; но тешко му на оној човек преку кого Синот Човечки ќе се предаде; добро ќе беше за тој човек, ако не беше се родил.
MAT.26.25	А Јуда, којшто Го предаде, одговори и рече: – Да не сум јас, Рави? Му одговори: – Ти рече.
MAT.26.26	И кога јадеа, Исус зеде леб, го благослови и рече: – Земете, јадете, ова е Моето тело!
MAT.26.27	И откако ја зеде чашата, заблагодари, им даде и рече: – Пијте од неа сите;
MAT.26.28	зашто оваа е Мојата крв на Новиот завет, која се пролева за мнозина, за простување на гревовите!
MAT.26.29	И ви велам, оти отсега нема да пијам од овој лозов плод, сѐ до оној ден, кога ќе пијам нов со вас, во царството на Мојот Отец.
MAT.26.30	И откако испеаја благодарствена песна, се искачија на Маслиновата Гора.
MAT.26.31	Тогаш им рече Исус: – Сите вие ќе се соблазните заради Мене во оваа ноќ; зашто е напишано: „ќе го поразам пастирот и овците од стадото ќе се разбегаат“.
MAT.26.32	А по воскресението Свое, ќе отидам во Галилеја, порано од вас.
MAT.26.33	Тогаш Петар Му одговори и рече: – Дури и сите да се соблазнат заради Тебе, јас никогаш нема да се соблазнам.
MAT.26.34	Исус му рече: – Вистина ти велам: дека оваа ноќ, уште пред да пропее петел, трипати ќе се одречеш од Мене.
MAT.26.35	Петар Му рече: – Ако затреба, дури и да умрам со Тебе, нема да се откажам од Тебе. Истото го рекоа и сите ученици.
MAT.26.36	Потоа, отиде Исус со нив на едно место, наречено Гетсиманија, и им рече на учениците: – Поседете тука, додека отидам онаму да се помолам.
MAT.26.37	И кога ги поведе со Себе Петра и двајцата Заведееви синови, се нажали и почна да тагува.
MAT.26.38	Тогаш им рече Исус: – Смртно е нажалена Мојата душа; останете тука и бидете будни со Мене.
MAT.26.39	И откако се поодалечи малку, падна ничкум; се молеше и говореше: – Оче Мој, ако е можно, нека Ме одмине оваа чаша; но не како Јас што сакам, туку како Ти!
MAT.26.39	Престани овде за Вел. Четврток и премини на зачало 109-то според Лука.
MAT.26.39	И повторно читај одовде.
MAT.26.40	Па дојде при учениците и ги затече како спијат, и му рече на Петра: – Толку ли не можевте еден час да бидете будни со Мене?
MAT.26.41	Бидете будни и молете се, за да не паднете во искушение: духот е бодар, но телото е слабо.
MAT.26.42	Повторно, пак отиде и се помоли, говорејќи: – Оче Мој, ако не може да одмине од Мене оваа чаша, без да ја испијам, тогаш нека биде волјата Твоја.
MAT.26.43	И кога дојде, пак ги најде да спијат, оти очите им беа натежнале.
MAT.26.44	И откако ги остави, отиде и се помоли по третпат, изговарајќи ги истите зборови.
MAT.26.45	Потоа дојде при учениците Свои и им рече: – Спијте и почивајте! Ете, наближи часот и Синот Човечки се предава во рацете на грешници;
MAT.26.46	станете да одиме! Ете, наближи оној што Ме предава;
MAT.26.47	и додека Он уште говореше, ете, Јуда, еден од дванаесетте, дојде, и со него многу луѓе со ножеви и колови, од страна на првосвештениците и старешините народни.
MAT.26.48	А оној, што Го предаваше, им беше дал знак, велејќи: Кого што ќе Го целивам, Он е, фатете Го!
MAT.26.49	И веднаш се приближи до Исуса и Му рече: – Радувај се, Рави! И Го целива.
MAT.26.50	А Исус му рече: – Пријателе, зошто си дошол? Тогаш пристапија, ставија раце на Исуса и Го фатија.
