GEN.1.1	Nutem etellrani Agayutem ellarpak nuna-llu piliaqellruak. 
JDG.6.37	Tangerrluku, elliigua qivyumek nunamun mukaarkanek carririvikelallemten̄un. Tua-llu unuakumi yukutareskaku qivyuq kiingan, kinerrluku-llu cailkaq tamarmi, nutaan nallunriciiqaqa elpenun aviutarkaucia Israel-aaq wiinga aturlua, qanellrucirpetun.” 
JDG.6.38	Tuatqapiar-llu piuq. Gideon-aaq maktellermini unuakuayaarmi ciurluku-llu qivyuq yukutamek qantam imarkanranek mermek. 
JDG.6.39	Gideon-aaq-llu qanertuq Agayutmun, “Qenngucaaqunii; ataucirqumek cali qanercessnga. Kaigavikamken naspaavkarnga ataucirqumek qivyuq aturluku. Maa-i qivyuq kiingan kinerceskiu, cailkaq-llu mecungevkarluku.” 
JDG.6.40	Agayun-llu tuaten piuq tuani unugmi. Unuakumi tua-i qivyuq kiimi kinertellruuq, tau͡g­ken tamarmi cailkaq mecungluni yukutamek.
JDG.7.1	Tua-llu erenret iliitni Gideon-aaq tamarmeng-llu anguyagtai makcara'arluteng pelatekiurtut Harod Spring-am canianun. Midianite-at pelatekarviat kuignayugmi neglirneratni uitaluni caniani Pengum Moreh-m.
JDG.7.3	Qanruski yuut tamalkuita niitelluki, ‘Kina alingelria kingunerminun uterrli, wangkuta maanciiqukut Ingrimi Gilead-aami.’” Tua-i tiissitsaat yuinaat malrugnek tiissitsaagnek cipluku (22,000) utertut, qulen-llu tiissitsaat uitaluteng (10,000).
JDG.7.4	Tua-llu cali 
JDG.7.5	Gideon-aam atrautai mermun, 
JDG.7.6	Yuinaat akimiaren (300) unatmegteggun mermek qaluciluteng mellruut; ilait-llu tamarmeng ciisqumiggluteng pull'uteng mertut. 
JDG.7.7	-llu qanertuq Gideon-aamun, “Aviuciiqamken cirlakevkarluki-llu Midianite-at anguyagtet yuinaat akimiaren (300) aturluki mellret unatmeggnek. Qanruski ilait utercesqelluki kingunritnun.” 
JDG.7.8	Tua-i Gideon-aam tamalkuita Israelite-at utercetai, uitalluki tau͡gaam yuinaat akimiaret (300), aulukestait tamalkuita aklumeng cupu'uryarat-llu. Pelatekarviat Midianite-at kana-i uitauq aciatni kuignayugmi.
JDG.7.9	Unuan 
JDG.7.10	Tau͡gaam alingekuvet curullerkarpenek, atraa pelatekarvigmun Purah pisten malikluku. 
JDG.7.11	Niiciiqaten camek qalaruciat, tua-i-llu caceturiciquten curullerkarpenun.” Tua-i Gideon-aaq atrartuq Purah pisten̄i malikluku elatiinun inglumi pelatekarviata. 
JDG.7.12	Midianite-at, Amalekite-at, tamarmeng-llu mertailngurmek nunamek kingunelget yuut uitaut sagqurluteng kuignayugmi petgertayulitun amllertaluteng, ungungssiutait-llu naaquciinateng, qau͡gyatun imarpiim sen̄iinelngurtun amllerameng.
JDG.7.13	Gideon-aaq tekitellermini, niituq angutmek qanemcilriamek yugnikekminun qavanguminek. Qanerluni, “Qavangurturtua mukaarkamek barley-mek pilimalriamek kelipamek akalriamek pelatekaumavimtenun, pelatekamun-llu tull'uni. Pelatekaq-llu im'uq cailkami-llu uitaqerluni.”
JDG.7.14	Yugnikek'ngaa qanertuq, “Tauna Israelite-at nuussirpakaat, Gideon-aaq Joash-am qetunraa! Allaunrituq! Cirlakutmek Agayutem cikiraa Midian-aanun tamalkuitnun-llu anguyagtemten̄un.”
JDG.7.15	Gideon-aam-llu niicamiu man'a angutem qavangua taikaniumallra-llu, ciisqumiggluni ciktaartuq 
JDG.7.16	Avgai-llu yuinaat akimiaren (300) anguyagtet pingayuirrluki, cupu'uryaranek-llu tegumiirluki imailngurnek-llu mer'utnek, ekualrianek kumarutnek imirluki. 
JDG.7.17	Qanrutai-llu, “Tekiskuma iquanun pelatekaumaviim, tangvakicia, pillemtun-llu pikici. 
JDG.7.18	Malima-llu cupkumteki cupu'uryaraput, cupkiciki cupu'uryaraci pelatekaumavik kassugarrluku, qayagpagluci, ‘
JDG.7.19	Gideon-aaq-llu malini-llu yuinaat talliman (100) amllertalriit tekitut elatiinun pelatekaumaviim unuk qukaqatartelluku, nayurta cimiqanrakun. Tua-i-llu cupu'uryarat qalriagait navegluki-llu tegumiateng mer'utet, 
JDG.7.20	Malruin-llu malikellriit tuaten cali piluteng. Tamarmeng kumarutet ekualriit tegumiaqluki iqsulirnerkun, tallirpilirnerkun-llu cupu'uryarat, qayagpagtut-llu, “Nuussirpak 
JDG.7.21	Tamarmeng-llu nangengqaut uitallerkiurumallermeggni kassugulluku pelatekaumavik, anguyagtet-llu tamarmeng aqvaqurluteng ayaguraut qayagpagaluteng. 
JDG.7.22	Gideon-aam anguyagtain qalriavkallratki cupu'uryarat, 
JDG.7.23	Anguyagtet-llu kinguveqellriartainek Naphtali-m, Asher-aam, tamiinek-llu Manasseh-mek qayagaurumaut, malirqerait-llu Midianite-at. 
JDG.7.24	Gideon-aaq-llu ayagceciuq kevganek tamiin pengulilriamun nuniinun Ephraim-aam qanerluteng, “Anguyagyarturciki Midianite-at nayurluki-llu kuiget qerallerkait, Bethbarah tekilluku, Jordan-aaq-llu.” Tua-i tamarmeng Ephraim-aarmiut anguyagtet qayagaurumaut, nayurait-llu kuiget Bethbarah tekilluku, Jordan-aaq-llu. 
JDG.7.25	Angayuqak-llu qetunrakegnek malrugnek tegutut, Oreb-aankugnek Zeep-aq-llu; tuqulluku-llu Oreb-aaq, Oreb-aam Teggalqurtaani, Zeep-aq-llu tuqulluku Wine-aliviani Zeep-am. Maligqurarait-llu Midianite-at taitagket-llu qamiqukek Oreb-aankuk Zeep-aq-llu Gideon-aamun, keggaknelirneranun Jordan-aam tekitnerakun.
JDG.8.1	Ephraim-aarmiut-llu qanertut Gideon-aamun, “Ciin qayagauqsaicikut anguyagyartullerpeni Midianite-at?” Qanemyuugartut-llu umyuateng assiinaku.
JDG.8.2	Elliin tau͡gaam qanrutai, “Wiinga piyugngalqa caunrituq pitassiaruskumten̄i elpeci caliallerpecen̄un. Carraunge'rmi caliallerci elpeci Ephraim-aam yuini carpaunruuq caliallratni tamarmeng tungayama. 
JDG.8.3	Elpeci-wa, Agayutem piniakun tuqutellrukci malruk Midianite-at angayuqak qetunrakek, Oreb-aankuk Zeep-a-llu. Camek wii pillrusia ayuqestassiigutkamnek elpeci pillerpecen̄un?” Waten qanran, eq'urtellrat elliinun utumartuq.
JDG.8.4	Gideon-aaq yuinaat-llu akimiaret (300) anguyagtet waniwa tekitellrurtut Kuigmun Jordan-aamun qerarluku-llu. Mernuqapiarluteng, tau͡gken cali ingluteng maliggluki. 
JDG.8.5	Tekicameng-llu Sukkoth-aamun, qanertuq taukut nunat angutaitnun, “Kaigavikamci cikiisqelluki anguyagtenka kelipanek. Wani-wa mernuata, wiinga-llu maligglukek Zebah-nkuk Zalmunna-llu Midianite-ak angayuqak.”
JDG.8.6	Tau͡gaam atanerruari Sukkoth-aam qanertut, “Ciin cikirciqseta anguyagteten neqkamek? Zebah-nkuk Zalmunna-llu teguaqeksaileng'e'rpekek?”
JDG.8.7	Taumek Gideon-aaq qanertuq, “Kitaki, 
JDG.8.8	Gideon-aaq ayagtuq Penuel-aamun kaigavikluki-llu tamakumiut yuut cali tuaten, tau͡gaam Penuel-aarmiut-llu kiugaat Sukkoth-aarmiut kiullruciacetun. 
JDG.8.9	Taumek elliin qanrutai, “Tainqigciiqua camek natlugutaunii tuani-llu una sugtulria ena imciiqaqa!”
JDG.8.10	Zebah-nkuk Zalmunna-llu Karkor-amtuk anguyagcetek ilakluki. Tamarmeng anguyagtet mertailngurmek nunamek kinguvellgutkellriit akimiaren tiissitsaat (15,000) nuniini amllertalriit uitaqallruut; tuani piunriumallruut yuinaat arvinlegen tiissitsaat (12,000). 
JDG.8.11	Gideon-aaq-llu ayagtuq tumyarakun mertailnguum nunam iquan mengliikun, calaralirnerakun Nobah-m Jogbehah-m-llu, curugluki-llu anguyagtet alangiilluki. 
JDG.8.12	Imkuk malruk Midianite-ak angayuqak qetunrakek Zebah-nkuk Zalmunna-llu qimagtuk, tau͡gaam elliin maligtak teguaqlukek-llu, tamalkuita-llu anguyagtekek nanikuavkarluki.
JDG.8.13	Tua-i-llu Gideon-aaq utertellermini anguyagmek atraryaraakun Heres-aam, 
JDG.8.14	tegukenguq ayagyuamek yun'erra'armek Sukkoth-aarmiumek, apqaurluku-llu. Ayagyuam yun'erra'araam igaulluki tunai Gideon-aamun atrit atanerruarita ciulirnerita-llu Sukkoth-am, yuinaat pingayun akimiaq malrugnek cipluku (77). 
JDG.8.15	Gideon-aam-llu anguyagtai Sukkoth-am qanerluni-llu, “Neq'akaci-qaa wangnek ikayuqengyuumiitellerci? Qanellruuci cikiqengengaitniluci neqmek mernulrianun anguyagtemnun teguaqeksaitnilukek Zebah-nkuk Zalmunna-llu. Tangercikek kitak waniwa!” 
JDG.8.16	Tegutuq-llu cukilanainek yuilqum napanek-llu cukilanat naumakaitnek tamakunek-llu aturluni anucimirqecetaarai ciuliqagtai Sukkoth-am. 
JDG.8.17	Imtaa-llu sugtulria enengutii Penuel-aam, tuqulluki-llu nunarpiim angutai.
JDG.8.18	Tua-llu Gideon-aam aptak Zebah-nkuk Zalmunna-llu, “Angutet-mi imkut tuquteltek Tabor-aami?” Kiuguk-llu, “Elpetun taukut ayuqellruut tamaq'apiarmeng angayuqam qetunraitun ayuqluteng.”
JDG.8.19	Gideon-aaq qanertuq, “Anelgutkellruanka, wii nakmiin aanama qetunrai. 
JDG.8.20	Qanertuq-llu Jether-aamun qetunrangqerraarutminun, “Kiiki, tuquskek!” Tau͡gaam tan'gaurluum nuussini amunritaa. Uitaqertuq, tua-i-wa ayagyuarami.
JDG.8.21	Tua-llu Zebah-nkuk Zalmunna-llu qanertuq Gideon-aamun, “Kiiki, elpenek tuquskuk. Angutem caliaqerkaugaa angutem caliarkaa.” Tua-i Gideon-aam tuqutak teguluki-llu tangnircaucet uyaqurritnelnguut ungungssiita qulugtellriit.
JDG.8.22	Tamatum kinguani, Israelite-at qanrutaat Gideon-aaq, “Atanirturkut, elpet kinguveten-llu. Anirtullruavkut Midianite-anek.”
JDG.8.23	Gideon-aaq kiuguq, “Wiinga atanrungaitua elpecen̄un, wall'u qetunraqa. 
JDG.8.24	Waten-llu iqulirluku, “Pitekliqerlii ilavcen̄ek. Tamarpeci cikircia aqlitnek uayaaqengallerpecen̄ek.” (Midianite-at, ilamegcetun mertailngurmi nunami uitalalriacetun, suulutaanek aqlitengqerrata.)
JDG.8.25	Yuut-llu kiugut, “Tengruluta cikiutekciqaput.” Sagciut-llu 'lumarrarmek, tamarmeng-llu elliivikaat aqlitnek tegukengallermeggnek. 
JDG.8.26	Suulutaat aqlitet Gideon-aam piteklillrin uqamiit amllertauq yuinaak malruk (40) cipluku usperumallermeggni, ilakevkenaki tangnircautet, uyamiit, kavirlit-llu 'lumarraat angayuqrita Midianite-at atulallrit, uyaqurrutellrit-llu ungungssit qulugtellriit. 
JDG.8.27	Gideon-aaq piliuq agayutnguamek taukut aturluki, nunarpaminun-llu elliluku, Ophrah-mun. Tamarmeng Israelite-at cakaaraat Agayun tauna-llu ullagluku ciktaarvikaat agayutnguaq. Gideon-aamun nakmiin-llu ilainun man'a napcetaarutnguuq.
JDG.8.28	Tua-i Midian-aat cirlakumaut Israelite-atgun alingnairulluteng. Nuna-llu uitanqegcinariut allrakuni yuinaagni malrugni (40), Gideon-aam tuqullra tekilluku.
JDG.8.29	Gideon-aaq utertuq nakmiin eneminun tuanlluni-llu. 
JDG.8.30	Wani-wa Gideon-aaq qetunrangqertuq yuinaat pingayun qulmek cipluku (70), tua-i amllernek nuliangqerrami. 
JDG.8.31	Malrukanengqertuq-llu cali Shechem-aami; tuaggun-llu qetunranguq, aciraa-llu Abimelech-aamek. 
JDG.8.32	Gideon-aaq-llu Joash-am qetunraa yuunrirtuq ak'allaurtenqegcaarluni, tungmagcimaluni-llu qunguani Joash-am atami, Ophrah-mi, nunarraatni tungayakellriarin Abiezer-aat.
JDG.8.33	Kinguani Gideon-aam tuqullran, Israel-aam yui cali ukvenrirtut Agayutmun agayulangluteng-llu Baal-anun. Agayuteksagulluku Baal-aa Akqutem, 
JDG.8.34	kevgiunrirluku-llu 
JDG.8.35	Gideon-aam nakmiin ilai elingrakevkenaki tamalkuitnek assilrianek pillritnek Israel-aamun.
JDG.9.1	Gideon-aam qetunraa Abimelech-aaq ayagtuq nunarrarmun Shechem-aamun, aanami ilakutain uitaviatnun, qanrulluki-llu 
JDG.9.2	apcesqelluki angutai Shechem-aam, “Naliak assinrua elpecen̄un, tamalkuitnun yuinaat pingayun qulmek cipluku (70) qetunrainun Gideon-aam ataniurtelluci, wall'u-qaa ataucimun angutmun? Umyuaqiciu Abimelech-aaq nakmiin kemellgutkarci aullgutekluku-llu.” 
JDG.9.3	Aaniin-llu ilakutain qanrucitaat makunek angutainun Shechem-aam, angutai-llu Shechem-aam maligucugtut Abimelech-aamun, ilakutaqngamegteggu. 
JDG.9.4	Cikiraat yuinarnek pingayunek (60) qerrirlinek agayuvianek Baal-am Akqutem, taukut-llu akit aturluki calistekanek pillruuq cautngunrilngurnek angutnek ilikaminek. 
JDG.9.5	Ayagtuq atami eniinun Ophrah-mi, tuani-llu teggalqum ataucim qaingani tuqutai yuinaat pingayun qulnek cipluku (70) anelgutni, Gideon-aam qetunrai. Jotham-aaq tau͡gaam Gideon-aam qetunrain kinguqlikacagiit iirtuq tuqucimavkenani-llu. 
JDG.9.6	Tua-i-llu tamarmeng angutai Shechem-aam Bethmillo-m-llu quyurrluteng ayagtut qigcignarqellriamun napamun oak-amun Shechem-aami, tuani-llu Abimelech-aaq angayuqrurtaat.
JDG.9.7	Mat'umek Jotham-aaq niicami, ayagtuq nangerrluni-llu kangranun Gerizim-aam Ingrian qayagpagluni-llu qanertuq ellaitnun, “Niicugnicia, Shechem-aam angutaini, Agayutem-llu niicugnikilici! 
JDG.9.8	Napat caqerluteng ayagtut cucuklirnaluteng atanerkameggnek. Qanertut olive-aat napaatnun, ‘Ataniurkut.’ 
JDG.9.9	Tau͡gaam olive-aat napaat kiuguq, ‘Ataniuqataqumci, taq'erkaugaqa uqulilalqa, atuulalria takarnarcarluki agayutet yuut-llu.’ 
JDG.9.10	Tua-llu napat qanertut fig-anek atsangtulimun napamun, ‘Tailuten ataneqnaamteggen.’ 
JDG.9.11	Tau͡gaam napa fig-anek atsangtuli kiuguq, ‘Ataniuqataqumci, taqnarqaqa naugilalqa assilrianek neqnirqellrianek naunrarnek.’ 
JDG.9.12	Cali tua-i napat qanertut wine-am napaanun, ‘Taitai ataniurluta-llu.’ 
JDG.9.13	Tau͡gaam wine-am napa kiuguq, ‘Ataniurarkaukumci, taqnarqaqa wine-alilalqa, angnirivkartiit agayutet yuut-llu.’ 
JDG.9.14	Tua-llu tamarmeng napat qanertut cukilanamun, ‘Tailuten ataniurkut.’ 
JDG.9.15	Cukilanaq-llu kiuguq, ‘Piciulriakun cucukekuvcia ataneqsuglua, kitak tailuci uqici talinemnun. Pinrilkuvci, keneq anciquq cukilanamnek ekualuki-llu napai cedar-aat Lebanon-aam.’
JDG.9.16	“Tua-llu kitak,” Jotham-aaq cali qanertuq, “ilumun-qaa iqluvkenaci piciullruuci Abimelech-aaq atanrurtellerpecen̄i? Umyuavciuggun-qaa takaqutmek pillruaci Gideon-aaq ilai-llu assirluki ilaliurluki, elliin caliallra pitekluki? 
JDG.9.17	Umyuaqiciu atamnun calluutellrucirci. Unguvani aarniurtelluku aviulluci-llu Midianite-anek. 
JDG.9.18	Tau͡gaam ernerpak caulinqaci atama ilai. Tuqutaci qetunrai, yuinaat pingayun qulmek cipluki (70) qaingani ataucim teggalqum, Abimelech-aam, qetunraan pistekun arnakun, ilakellra pitekluku, angayuqrurtaci Shechem-aamun. 
JDG.9.19	Tua-llu, waten pillerci ernerpak iqluurutngunrilkan piciuluni-llu Gideon-aamun ilainun-llu, angnillgucirciu Abimelech-aaq elliinun-llu angnillgucircelluci. 
JDG.9.20	Tau͡gaam tuaten pinrilkan, keneq anli Abimelech-aamek, ekualuki-llu angutet Shechem-aarmiut, Bethmillo-rmiut-llu. Keneq-llu cali anli angutainek Shechem-aam Bethmillo-m-llu ekualuku-llu Abimelech-aaq” 
JDG.9.21	Tua-i alingami anelgutminek Abimelech-aamek Jotham-aaq qimagtuq Beer-ami uitayarturluni.
JDG.9.22	Abimelech-aam-llu ataniuraa Israel-aaq allrakuni pingayuni. 
JDG.9.23	Agayutem-llu Abimelech-aaq Shechem-aarmiut-llu angutait inglukucetai, taukut-llu inglulitut Abimelech-aamun. 
JDG.9.24	Waten pivkaumaut Abimelech-aaq angutai-llu Shechem-aam, ellimerturtellri tuqucesqelluki Gideon-aam yuinaat pingayun qulmek cipluku (70) qetunrai, nunulirnaluku assinrilnguq caliallrat. 
JDG.9.25	Shechem-aarmiut-llu elkarciut yugnek ingrit kangritnun nayurtekanek, uayaalarait-llu tamalkuita kiturteteng tamaaggun. Qanrutaat-llu mat'umek Abimelech-aaq.
JDG.9.26	Gaal-aq-llu Ebed-aam qetunraa tekituq Shechem-aamun anelgutni malikluki, Shechem-aarmiut-llu angutaita ellii kemyukaat. 
JDG.9.27	Tamarmeng ayagtut wine-arkanek naucetaarvimeggnun quyurrluki-llu wine-arkat atsat, wine-aliluki tutmarluki, nerevkariluteng-llu. Itertut-llu agayuvianun agayutmeng, nerluteng merluteng-llu Abimelech-aaq-llu temciarautekluku. 
JDG.9.28	Gaal-aq-llu qanertuq, “Qaillun wangkuta ayuqellriarucetaa Shechem-aarmiuni? Ciin kevgiurceta Abimelech-aaq? Kituuga-llu? Gideon-aam qetunraa! Zebul-aam-llu kevgiularaa, ciin-mi tua-i wangkuta kevgiuqatarceta? 
JDG.9.29	Ukut-tuq yuut wani-wa wii ataniuqerlaki! Abimelech-aaq au͡g'aryaqeka! Qanrucaraqa, ‘Amllerikanirki anguyagteten, anluten-llu callua!’”
JDG.9.30	Zebul-aaq, nunarpiim atanirturtii, eq'uqertuq niicamiki qanellri Gaal-am. 
JDG.9.31	Kevganek-llu ayagceciuq Abimelech-aamun Arumah-mi, qaneryartuusqelluki, “Tangerrluku, Gaal-aq Ebed-aam qetunraa ilakutani-llu taillruut Shechem-aamun, itercessngaitaatgen-llu nunarpagmun. 
JDG.9.32	Taumek, ayakici unugmi, maliten malikluki nayurluci-llu naucetaarvigni. 
JDG.9.33	Tua-llu unuakumi, akerta pugutiini, curukaqiciu nunarpak. Gaal-ankut malini-llu curukaci, pitacirrarpeciuggun akiurniaci!”
JDG.9.34	Abimelech-aaq-llu tua-i tamalkuita-llu malini ayagtut unugmi nayurluku-llu Shechem-aaq avegluteng cetamainguluteng. 
JDG.9.35	Abimelech-aam ilini-llu tangrramegteggu Gaal-aq anluni nangertellrani casguani nunarpiim, nangertut iirumavimeggnek. 
JDG.9.36	Gaal-am-llu tangrrai qanerluni-llu Zebul-aamun, “Atam tangerqerciki! Angutet atralriit ingrit kangritnek!”
JDG.9.36	“Tamakut angutngunritut,” Zebul-aq kiuguq. “Talinruut ingrini.”
JDG.9.37	Gaal-aq-llu qanenqigtuq, “Atam! Angutet atrartut ingrim kangrakun allat-wa cali tailriit tumyarakun kingunerluteng oak-amek napaanek ciunerkarcurtet!”
JDG.9.38	Zebul-aam-llu qanrutaa, “Nauwa imkut qanataalten? Elpet apqaullruuten ciin kevgiurnarqucimten̄ek una angun Abimelech-aaq. Imkuugut ukut angutet anglanitekelten? Anluten wanirpak ingluliuryarturki.” 
JDG.9.39	Gaal-am-llu ciuliqaggluki Shechem-aarmiut anutai, Abimelech-aaq-llu anguyagluku. 
JDG.9.40	Abimelech-aam-llu malirqeraa Gaal-aq, Gaal-aq-llu qimagtuq. Amlleret-llu akngiringaut, ikirtuqaani tuaten nunarpiim. 
JDG.9.41	Abimelech-aaq-llu uitauq Arumah-mi; Zebul-aam-llu antaa Gaal-aq ilakutai-llu, Shechem-aami uitangairutevkarluki.
JDG.9.42	Unuaquani Abimelech-aaq nallunrirtuq Shechem-aam yui picirkiullinilriit naucetaarvignun anenaluteng, 
JDG.9.43	tua-i anguyagten̄i avgai pingasuingurrluki, iirluteng-llu naucetaarvignun, utaqaluteng. Tangrramiki angutet anevkarluki nunarpagnek, curugai tuquqnaluki. 
JDG.9.44	Abimelech-aaq anguyagten̄i-llu ciuvaarcata nayurnaluku nunarpiim ikirtuqaa, malruin avgumalriit anguyagtet curugait tamalkuita naucetaarvigni uitalriit tuqulluki-llu tamalkuita. 
JDG.9.45	Anguyautut ernerpak taqeksaunateng. Abimelech-aam-llu teguaqaa nunarpak, yuut-llu tuanelnguut tuqulluki, navgurluku-llu nunarpak, taryumek-llu saggvikluku.
JDG.9.46	Tamarmeng-llu nayurvigmi Shechem-aami ciuliqagtet mat'umek niicameng, ellmeggnek anagyaaqutut pengegnailngurmun agayuvianun Baal-am Akqutiinun. 
JDG.9.47	Abimelech-aaq-llu qanrutaat tuavet quyurrniluki, 
JDG.9.48	tua-i mayurtuq Zalmon-aam Ingrianun anguyagten̄i-llu. Tuani piqertuutarmek tegutuq, kepulluni-llu napam avayaanek, elliluku-llu tusminun. Qanrulluki-llu anguyagten̄i cukamek ellmitun pisqelluki. 
JDG.9.49	Tamarmeng-llu keputut napam avayaanek; ayuqeliluku-llu Abimelech-aaq ellilarluki muriit pengegnairqumalriim enem mengliinun. Ekuavkaraat-llu, yugtuumaan, tamarmeng-llu tuanelnguut asvairqumalriami tuquut, tayima tiissitsaat (1,000) angutet arnat-llu.
JDG.9.50	Tua-llu Abimelech-aaq ayagtuq Thebez-aamun, avatairaat-llu tauna nunarpak, teguaqluku-llu. 
JDG.9.51	Tau͡gaam pengegnairqumalriamek sugtulriamek enemek pitangqertuq tuani nunarpagmi, tamarmeng-llu angutet arnat-llu nunarpagmi, ciuliqagtetuumarmeng qimagtut tuavet. Amiiget-llu kelucarluki mayurtut enem qainganun. 
JDG.9.52	Abimelech-aam tekicami anguyagyarturluku pengegnairqumalria sugtulria ena, ullagaa amiiga ekuavkarnaluku. 
JDG.9.53	Tau͡gaam arnam milqautaa miilissuutem teggalqua qamiqurranun, navekcagluku-llu ilqurra. 
JDG.9.54	Patangnaqluni-llu qayagauq yun'erra'armun caskumi tegumiaqestainun qanrulluku-llu, “Nuussirpiin amugluku tuqusnga, qanresqumanritanka arnamun tuqutnilua.” Yun'erraam tua-i kapaa, ellii-llu tuquuq. 
JDG.9.55	Israelite-at-llu yuin tangrramegteggu Abimelech-aam tuqucia, tamarmeng utertut kingunermeggnun.
JDG.9.56	Tuaten Agayutem akinauraa picurlallra Abimelech-aam ataminun, tuqutellerminiki yuinaat pingayun qulmek cipluki (70) anelgutni. 
JDG.9.57	Agayutem cali Shechem-aarmiut cakviurcetai assiiluciat pitekluku, Jotham-aam, Gideon-aam qetunraan, qanellruciatun aniqlaallerminiki.
JDG.10.1	Abimelech-aam tuqullran kinguakun Tola, Puah-m qetunraa, Dodo-m tutgarii, tekituq Israel-aaq aviucarturluku. Kingunerluni kinguvellgutkellriarinek Issachar-am uitaaqluni Shamir-aami pengulilriami nuniini Ephraim-aam. 
JDG.10.2	Ciuliqagtekellrua Israel-aam allrakuni yuinaq pingayunek cipluku (23). Yuunrirluni-llu tungmagcimaluni-llu Shamir-aami.
JDG.10.3	Kinguakun-llu Tola-m piurtuq Jair-aq Gilead-aamek. Taum ciuliqagtaa Israel-aaq allrakuni yuinaq malrugnek cipluku (22). 
JDG.10.4	Qetunrangqellruuq-llu yuinaq qulmek cipluku (30) ayagaqluteng yuinaq qulmek cipluku (30) ciulvagteggun. Nunarpauterluteng yuinaq qulmek cipluku (30) Gilead-aami, cali aterpagcimaluteng nunacuarautainek Jair-am. 
JDG.10.5	Jair-aq-llu yuunrirtuq, tungmagcimaluni-llu Kamon-ami.
JDG.10.6	Ataam cali Israelite-at assiilngirtut 
JDG.10.7	Taumek 
JDG.10.8	Allrakuni akimiaq pingayunek cipluku (18) calirpagcetait nanglluki-llu Israelite-at uitalriit Amorite-at nuniitni calaralirnerani Jordan-aam Kuigan Gilead-aami. 
JDG.10.9	Kiituan-llu Ammonite-at qeraraat Jordan-aaq anguyagyarturluki kinguvellgutkellriartai Judah-m, Benjamin-aam, Ephraim-aam-llu. Israel-aaq angtuamek cakviurluni.
JDG.10.10	Tua-i Israelite-at qayagaut 
JDG.10.12	Sidonian-aat, Amalekite-at, Maonite-at-llu caknaavkallruiceci, elpeci-llu qayagallruuci wangnun. Anirtullrunritamci-qaa ellaitnek? 
JDG.10.13	Tau͡gaam elpeci cakaallruavcia agayuvikluki-llu allat agayutet; taumek wiinga aviutenqiggngaitamci. 
JDG.10.14	Ayagluci qayagaci agayutnun cucukellerpecen̄un. Ellaitnun aviutevkarci arenqiallugutmun tekiskuvci.”
JDG.10.15	Tau͡gaam Israel-aam yui qanertut 
JDG.10.16	Tua-llu au͡g'arait ilakumanrilnguut agayutnguarit agayuvikluku-llu 
JDG.10.17	Tua-llu Ammonite-at uptut anguyallerkameggnun, pelateka'arluteng-llu Gilead-aami. Israel-aam-llu yui quyurtut, pelateka'arluteng-llu Mizpah-mi Gilead-aami. 
JDG.10.18	Tuani yui ciuliqagtai-llu Israelite-am kinguveqellriari, ellmeggnun apyutut, “Kia ciuliqagciiqau anguyak Ammonite-anun? Kina imna pilria ciuliqagten͞gurciiquq Gilead-aam yuinun.”
JDG.11.1	Jephthah, Gilead-aarmiu alingunani anguyagta, qetunraqellrua akissum. Atii Gilead-aaq 
JDG.11.2	allanek cali qetunrarluni nuliamikun, angliameng-llu, ayagcetaat Jephthah enemeggnek. Qanrulluku, “Elpet paitangengaituten atamten̄ek; allam arnam qetunraqaaten.” 
JDG.11.3	Jephthah-llu qimagtuq anelgutminek Tob-armiungurrluni-llu. Tuani cautngunrilngurnek angutnek ilalinguq, taukut-llu maligquralaraat natmun ayallra tamalkuan.
JDG.11.4	Piinanermeggni atatakuan Ammonite-at anguyagtut Israel-aanun. 
JDG.11.5	Waten piata, ciuliqagtai Gilead-aam ayagtut ut'rucarturluku Jephthah Tob-am nuniinek. 
JDG.11.6	Qanertut elliinun, “Tailuten ciuliqagcarturkut, Ammonite-at anguyagniaput.”
JDG.11.7	Tau͡gaam Jephthah kiuguq, “Elpeci eq'ukellruavcia cakneq ayagcetellruavcia atama eniinek? Ciin waniwa wangnun taiceci arenqiallugtellerpecen̄i?”
JDG.11.8	Qanertut-llu Jephthah-mun, “Wani-wa caugamteggen maligcesqelluta anguyagluki-llu Ammonite-at ciuliqagcesqelluki-llu Gilead-aam yui tamalkuita.”
JDG.11.9	Jephthah-m qanrutai, “Ut'ruskuvcia anguyaasqelluki Ammonite-at 
JDG.11.10	Taukut kiugut, “Umyuallguciramteggen. 
JDG.11.11	Tua-i Jephthah-m maligtai ciuliqagtai Gilead-aam, yuut-llu ataniurteksagutaat ciuliqagteksagulluku-llu. Jephthah-m-llu qanrutkai tamalkuita pisqumallni Mizpah-mi 
JDG.11.12	Tua-llu Jephthah kevganek ayagceciuq angayuqratnun Ammon-aarmiut qanresqelluki, “Camek qanekluarautengqercit wangkutnun? Ciin nunaput anguyagyarturciu?”
JDG.11.13	Angayuqrata Ammon-aarmiut kiugai Jephthah-m kevgai, “Israelite-at anllermeggni Egypt-aamek, nunautaillruatnga Arnon-aam Kuiganek ayagluku Jabbok-aam Kuiganun Jordan-aam-llu Kuiganun. Taumek wani-wa utercetnarqan nepailngurkun.”
JDG.11.14	Jephthah-llu ataam kevganek ayagceciuq Ammon-aarmiut angayuqratnun 
JDG.11.15	waten kiuluku: “Piciunrituq Israel-aamun tegullruniluku Moab-am nunii, wall'u Ammon-aarmiut nuniit. 
