MAT.1.1	Gittaabooda rooproobanga Yeesu Gristo, balleanda Dawdi, balleanda Abrahaamu. 
LUK.1.77	aba samsiinda aba geandeayda riing'eega nyaawa,
LUK.1.78	Aba baydeayda Aseetteanya,
LUK.1.78	nirearseasa weeshinda leabu humng'eeda,
LUK.1.79	ak gayghoabwaay fuga sean mida jeeda misaneeda haw bea jirooneeda miyeeda,
LUK.1.79	ak ghoadoabiiw geashangaasa eayaada naweeda miy bea hoyyoo.”
LUK.1.80	Ak gwahissa heeda jeepta nea ghwanyas uurda aba gurorooda, nea goobiitta dareapcheenda ea ghwahitta eaweedaannyi jea goohimsina geaw fuga Israeeli.
LUK.2.1	Askwearjoojikka ghoadayda Gaysaari Aguusto digheanda nea gwayeeshsha, ang'waara monneeda buneassean mida jeeda ng'eanyiida. 
LUK.2.2	Ng'oordi dea madeeda, nea gwanda sugoochcheandumeeda Sirya Gireeniyo. 
LUK.2.3	Gaba siisi weah eang'waar aba mujiineeda ng'eang'da nyaawa. 
LUK.2.4	Hean ghwascheang'da Yoseefu ghabeawa Galilaaya, nea ghabeawa mujiineeda Nasaretti, ak gawa Yudeeya, ea ghwahitta mujiineeda Dawdi, suguura Betleheemu, aba gideaba gaba dooshta Dawdi, 
LUK.2.5	Gawa eang'waar sea Mariyaayda was huuda anyeari, nea abeeda ea gweayiideat. 
LUK.2.6	Damanda mideewa hooweani ghwahitta damanda jea gwajiila. 
LUK.2.7	Gwaji duweachcheadaannyi was balleanda ak gookkwealsa hang'weakka jeepcheandumeeda ak goluul aba jeeda daghwalda leehha dugwa beega, aba gideaba mwanyasa heeda jea gwalla aba ghoorida rabasta.
LUK.2.8	Nea aba damandida abeeda gwanda ng'eanyiitta Jeagiischoodiga fur gisilga nyaawa eawa. 
LUK.2.9	Gabussa saawa Malaykajeanda Ng'uttamiida, ak ghoabwaay murdajeega nyaawa sean gigheambiitta Ng'uttamiida, ak ghang'ut muuwda. 
LUK.2.10	Ak gwayeeshsha Malaykajeanda, “Adoobealli; ang'ulla geayeanneegwa giijasta miy bea hoseaneega jea gwahiissa buuneessean. 
LUK.2.11	Aba gideaba eannean aba mujiineeda Dawdi siji appadahuukkeagwa, lealnoochcheanda, niny Gristoyda was Ng'uttamiida gil. 
LUK.2.12	Nea gwadeagooda jea adaaha ea nihi; gajadaaha jeepta sikkwealsa hang'weakka jeepcheandumeeda nea geelluul aba jeeda daghwalda leehha dugwa beega.” 
LUK.2.13	Deagheatta gwandeayi sea malaykajeanji lugooda saang'a bea humng'eeda ak gwaduumsheesa Aseetta nea gwayi,
LUK.2.14	“Gigheambiita gaba Aseetta mida humng'eeda,
LUK.2.14	ak aba ng'eanyiida ghoaw hoyyoo aba heeda fuga ahoosan!”
LUK.2.15	Iiduw nea nibiikta Malaykajeega humng'eeda, gwayeenniissa geat Jeagiischoodiga, “Asi eweaya Betleheemu eadaaha gidabunu, rukuneasa Ng'uttamiida.” 
LUK.2.16	Gaweay nea ghwalamwajaada ak geanyasa Mariya ea Yoseefu heeda mida jeepta nea gwalil aba jeeda daghwalda leehha dugwa beega. 
LUK.2.17	Daa gwarukuta gidagwachcheaya surgu aba badaydeaba jeebi; 
LUK.2.18	ghahamng'eanyi fukka sean iyiiy gidaruksa jeagiischoodigean. 
LUK.2.19	Nea Mariya gong'ng'ooysa jeadaannyi ng'asheesu seaniin, nea gottemsheesa geaw. 
LUK.2.20	Iiduw gabiikta jeagiischoodiga nea ghoaghambiit nea gwaduumsheesa Aseetta aba ng'asheega siyiiy ea gea sidaah, gawuurji gissurukusiinda.
LUK.2.21	Ng'atta eawooji sis nea siyaat ghasmeahooda geeguura Yeesu, gheawunga ghayi ng'assa malaykajeanda nea mii ghwanyas ghaamwat gweayumeeda.
LUK.2.22	Iimuchchu nea ghwahitta damanda nyaawa bea gimmiinnooda gawuurji ginnyaashta deaweedeeda Muusa, hean geayaat niny Yerusaleemu ak geattaw Ng'uttamiida 
LUK.2.23	(gawuurji gissung'waarda aba jeeda deaweedeeda Ng'uttamiida, “Gilinyoo ea balleanda was duweachcheeda gil gajeeguura siida ghaydiit bea Ng'uttamiida,)” 
LUK.2.24	ak ghoadayda haleanjeeda sisapa geadi gawuurji gidanyaashta deaweedeeda Ng'uttamiida, “Was bakpakchooji iyyeenya ghana dayi iyyeenya bea ghariibajeanda.” 
LUK.2.25	Nea abeeda gwanda Yerusaleemu, siisi suguura gheawungaaschi Simon, nea siisi abeeda ea doabiiwaat, nea gabada Aseetta, nea goomuukku hawdeayda fuga Israeeli, nea gwanda badaydaannyi Gurorooda Ghaydit. 
LUK.2.26	Nea ea nigeawiit goohiimsa Gurorooda Ghaydit gideaba mayghami nea mighwadaah Gristoyda Ng'uttamiida. 
LUK.2.27	Ak ghwaat Gurorooda Ghaydit gawa jeeda gheeda sibatta Aseetta; nea ghwaat ghwaan ea ghaamwat Yeesu jeeda gheeda nea geehinda giduurji ng'asheega deaweeda, 
LUK.2.28	ghoang'ng'waay aba geattingaaschi ak gabadiischeesa Aseetta nea gwayi,
LUK.2.29	“Ng'uttamiida, biissiina siksiina soomjandaang'u gabiissa gawa nea ghwaat hooyyoo,
LUK.2.29	gawuurji ginnyah ng'asheandaang'u;
LUK.2.30	aba gideaba gheanyangeasu nidaa lealeanoodaang'u
LUK.2.31	ghayi isni nea ghwadaa buuneessean,
LUK.2.32	Weeshinda jea ghoabwaay emoojiga,
LUK.2.32	ak ghoaw gigheambiitta aba heeda fugaagu was Israeeli.”
LUK.2.33	Hean eara Ghwaan ea ghaamwat ghahamng'eanyi aba gissirgu appadaydaannyi; 
LUK.2.34	Gang'ushsha Simon saawa nea gwayeeshsha Mariyaayda was ghaamwat,
LUK.2.34	“Ng'ulla, jeebi gajeenung ghoaw gibeedeayda ea ng'eedooda fuga saang'a bea Israeeli,
LUK.2.34	ak gayghoadaw gwadeagooda jea ghaheawa buuneeda
LUK.2.35	(nea jeadaang'u gayghwalach barda)
LUK.2.35	nea ng'asheega jeesinga fuga saang'a gajeattaajiit.”
LUK.2.36	Ghayi gwanda gatmooni was sibaneeda, suguura Ana, was hudeaba Fanuweeli, bea emeeni siyi Asheeri; ak ea nuwasiit muuchchi, ghayi geaghi nea miyeasat ak gwandeawa siyeeda gwaannyeaw ispwa, 
LUK.2.37	goobida masinung'weandumeeda gweannyew seedam ea ang'waan. Nea mii gwaheelli gheeda sibatta Aseetta, nea gagadoowani nea gwarada jalooda nea gamoora Aseetta eawa ea askweari. 
LUK.2.38	Gwardu aba damandida ak gabadiischeesa Aseetta, ak goobaloola niny ng'asheega sean bea fuga amuukku lealnooda Yerusaleemu.
LUK.2.39	Iiduw nea nihiit sinooda ng'asheega sean gawuurji ginnyaashta deaweedeeda Ng'uttamiida, gabiikta Galilaaya, mujiineeda gheannyawa was Nasareetti. 
LUK.2.40	Gwahiissa heeda jeepta nea ghwanyas uurda, ak geannyiit weaghumeeda; nea gwandeawa dagheerjeandumeeda Aseetta.
LUK.2.41	Nea Ghwaan ea ghaamwat gabadiini gilakkweay Yerusaleemu aba damanda ghwelmeeda Basakka. 
LUK.2.42	Iiduw nea nihiitta gweannyeew damana iyyeenya, ghwascheang'da gawuurji gideajusu bea geallaan; 
LUK.2.43	duulean ghwelmeeda, damanda biikteawa, geeppuussa bwadaw balleanda was Yeesu aba Yerusaleemu nea ghwaan ea ghaamwat ea majeeng'na. 
LUK.2.44	Gearar gideaba gwanda jeeda bareanda ak gaweay ea gamikta, geang'ng'eat ghuutta gassooda aba jeeda buweadeega ea fuga sinal; 
LUK.2.45	ama duuw nea mudeanyas, Geebiikta Yerusaleemu nea geegaseadayyi. 
LUK.2.46	Muchchu nea ning'atta eawooji samwagu geanyasa jeeda gheeda sibatta Aseetta, nea goopteada aba bugusta ginealshoodiga, nea gooleeysiit nea Gonyearriida ng'asheega; 
LUK.2.47	nea fuga sean iiy ghahamng'eanyi isiidaa gidabwaraayda uhuuda ea gisheahiida ng'asheega sinnyaash. 
LUK.2.48	Sidaah niny geahamng'eanyi; ak gwayeeshsha Ghaamwat, “Balleanda, ghwasaan anda gihinduneasa? Ng'ulla, aniini ea gweanu sinyarji aba gassodaang'u.” 
LUK.2.49	Hean gwayeeshsha saawa, “Ghwasaan anda googaseadayean? Neada ea mwoonali gideaba gammisean giibinda jeeda ghooriida Bwaabwa?” 
LUK.2.50	Nea saawa ea majeeng'na ng'asheanda rukusa. 
LUK.2.51	Ghwararang'aada godeayi ea ghwahitta Nasareetti, nea gwasissa mureada; nea ghaamwat ghwayiin jeedaanyi ng'asheesu seaniin.
LUK.2.52	Gwahissa heeda Yeesu aba weaghumeeda ak gohoosan Aseetta ea buuneeda.
LUK.3.1	Aba gweaydeaba damana muut bea Diberio Gaisaari, nea abeeda Bondio Bilatto ea sugoochcheanda ng'eanyiida Yudeeya gil, nea Heroode abeeda ea sugoochcheanda ng'eanyiida Galilaaya, nea oorjeeda ghaamwat suguura Filippo ea sugoochcheanda Idureeya ea Dirakonit, nea Lasaniya, abeeda ea sugoochcheanda Abileeni, 
LUK.3.2	Nea abeeda aba damanda waseewa Anaasi ea Gayafa ashoohoodiga heesi, ghwahidu ng'asheanda Aseetta heeda Yohaana balleanda Sakkariya aba dareapchcheeda; 
LUK.3.3	Hean ghang'eat gawa ng'eanyiissean neaweesa Yordaan, nea gwarukkwiida gibattiisanda samsiinda ring'eega. 
LUK.3.4	Gawuurji gidasung'waarda aba jeeda gittabooda ng'asheega sibaneeda suguura Isaaya gideaba,
LUK.3.4	“Ghwanya ghuutta siida nyearra dareapcheenda;
LUK.3.4	nea gwayeena asissina naweeda Ng'uttamiida,
LUK.3.4	olleappa naweadingaaschi.
LUK.3.5	Nea geeng'alsa ghalalayeekka sean,
LUK.3.5	ak geahiing'u giijeega ea heayeeniga,
LUK.3.5	nea heeda ghwana gajeattoabiiw
LUK.3.5	nea naweadinga gudung'nyoojiga gajeesin gamiyeasiidi;
LUK.3.6	Ak gilinyoo ea sihi gayghwadaah lealnooda Aseetta.”
LUK.3.7	Gwarukusa fuga saang'a buwa heedaannyi eppattiisan, ak gwayeeshsha, “Ea dayeega udang'usheega! Gwareekuseegwa ng'eaha ea amng'awa ea mwanyaseagwa nyarasta jea ghwahidu? 
LUK.3.8	Asi ajiila haghweega miisa dukkuunooda, ak ea adooyeenniisi geat, ‘Geendeawi ghweandeanya nea Abrahaamu,’ Asi geayeeshshineegwa ghoammu Aseetta ghwayam lagheang'su ghoaw diibiga Abrahaamu. 
LUK.3.9	Ak ghamneawa joommooda asiyiin gumsheakka geediga, ak geediga maji haghweega miyaas gajealach ak geejaksa jeeda beasta.”
LUK.3.10	Ghoanyaash emeeda nea gwayeeshsha, “Abeeda gajeesna naha?” 
LUK.3.11	Ghwasha niny nea gwayeeshsha, “Siida mideawa hang'weak iyyeenya, dadawa hang'agi siida mandeawana, nea siida mideawa hamitta ea dasindunu.” 
LUK.3.12	Ghapka eara fuga ang'ng'oonyi gwaadi eppattiisan, ak eara saawa gwayeeshsha, “Gajeesna naaha aseasa Ginealshoochcheanda?.” 
LUK.3.13	Gwayeeshsha saawa, “Adoong'ng'oonyayi gwadeeda haweawa dea sirukuneegwa.” 
LUK.3.14	Eara shirikkara ghoanyaash nea gwayeeshsha, “Ama aseasa gajeesna naaha?” Gwayeeshsha, “Adoareachchi siida gidaannyi aba urda ghana oahhaakta aba ng'uyyeega, akghusa mushahareedeang'wa.”
LUK.3.15	Damanda duu gwandeewa buuneeda jeeda furdeaydean, gonyeari geat buneassean aba jeesinga nyaawa aba iitta Yohaana, gideaba gwadeeppa ea Gristohi, 
LUK.3.16	ghwasha Yohaana nea gwayeeshsha buuneessean “Aniini geabattiisananeegwa beega; nea siida jea ghwahidu gaburdeawean uurda, mammiisean geattineadi deanga geakkaaschi; nea niny gaygobattisananeegwa Gurorooda Ghaydit ea beasta. 
LUK.3.17	Gida aleella booga gwanda geattindaannyi, ak gobuus heeda jea goleelsa, ak iiduw ghwayiin booga silleal jeeda gijigooda, nea looyda ghaghwarda aba jeeda beasta maygamis.”
LUK.3.18	Gwareekusa nea goobaloola buuneeda ng'asheega saang'a nea gwarukkwiida Giijaasta Miy. 
LUK.3.19	Iiduw gowoowsa Heroodeeyda was sugoochcheanda, nea gowoowsiina gheenda Heroodiya, was gatmooda oorjeeda ghaamwat, ea badayda ng'asheega munyas saang'a sina Heroode, 
LUK.3.20	ea mwaara gil gwasin dea muy nuut gwajaksa Yohaana ghealooniga.
LUK.3.21	Hit gibattiisanda buuneeda sean, ea dea Yeesu nea ghamwaash Aseetta ghajaada bugusta humng'eeda, 
LUK.3.22	ak gwashubeesa uhuudaannyi Gurorooda Ghaydit wunnda ghariibajeanda ak ghwanya ghuutta nyaasha humng'eeda nea gwayeeshsha, “Ang'iing'i guwosi balleandeanyu abwariinyi gwadan jeedeanyu.”
LUK.3.23	Yeesu ghoang'eat ginealshoadannyi nea gaba gweannyeew diktam ea damanamughuush, nea abeeda (geaghay) gideaba niny balleanda Joseefeeda Eeli, 
LUK.3.24	Eeli gaba Mattari, Mattari gaba Laawi, Laawi gaba Meelgi, Meelgi gaba Yanayi, Yanayi gaba Yoseefu, 
LUK.3.25	Yoseefu gaba Matattiiya, Matattiya gaba Amos, Amos gaba Nahum, Nahum gaba Esli, Esli gaba Nagayi, 
LUK.3.26	Nagayi gaba Maatti, Matti gaba Madattiya, Madattiya gaba Shemeyi, Shemeyi gaba Yoseefu, Yoseefu gaba Yuuda, 
LUK.3.27	Yuuda gaba Yoana, Yoana gaba Reesa, Reesa gaba Serubabeeli, Serubabeeli gaba Shaltieli, Shaltieli gaba Neeri, 
LUK.3.28	Neeri gaba Meelgi, Meelgi gaba Adi, Adi gaba Goosam, Goosam gaba Elimadaamu, Elimadaamu gaba Eeri, 
LUK.3.29	Eeri gaba Yoshuwa, Yoshuwa gaba Elieseri, Elieseri gaba Yoorim, Yoorim gaba Matatte, Matatte gaba Laawi, 
LUK.3.30	Laawi gaba Simon, Simon gaba Yuuda, Yuuda gaba Yoseefu, Yoseefu gaba Yonaamu, Yonaamu gaba Eliyakkiimu, 
LUK.3.31	Eliyakkiimu gaba Meleeya, Meleeya gaba Meena, Meen gaba Matatta, Matatta gaba Nattani, Nattani gaba Dawdi, 
LUK.3.32	Dawdi gaba Yeese, Yeese gaba Obedi, Obeedi gaba Boasi, Boasi gaba Saala, Saala gaba Nashooni, 
LUK.3.33	Nashooni gaba Aminadabu, Aminadabu gaba Admiini, Admiini gaba Araamu, Araamu gaba Hesroon, Hersoon gaba Bereesi, Bereesi gaba Yuuda, 
LUK.3.34	Yuuda gaba Yakkobo, Yakkobo gaba Isakka, Isakka gaba Abrahaamu, Abrahaamu gaba Deera, Deera gaba Nahoori, 
LUK.3.35	Nahoori gaba Seruugi, Seruugi gaba Reewu, Reewu gaba Beleegi, Beleegi gaba Ebeeri, Ebeeri gaba Sheela, 
LUK.3.36	Sheela gaba Genaani, Genaani gaba Arfosaadi, Arfosaadi gaba Sheemu, Sheemu gaba Nuuhu, Nuuhu gaba Lameek, 
LUK.3.37	Lameek gaba Metusela, Metusela gaba Henookko, Henookko gaba Yareedi, Yareedi gaba Mahaleeli, Mahaleeli, gaba Genaani. 
LUK.3.38	Genaani gaba Enooshi, Enooshi gaba Seetti, Seetti gaba Adaamu, Adaamu gaba Aseetta.
LUK.4.1	Iimuchchu nea ninyas Yeesu Gurorooda Ghaydit, gabiikna Yordaan ak ghoadoabiiw Gurorooda 
LUK.4.2	gobiida dareapchcheeda askwearjooji haradam nea gwasimsim Meangnyeandeenda. Amwaaga gil eawoojusu seaniin; ng'atta askwearjoojusu, ghwayeachchi. 
LUK.4.3	Gwayeeshsha meang'nyeandeenda, “Iiwosi Balleanda Aseetta ginung' ghoaw lagheaneeni mukkatte.” 
LUK.4.4	Ghwasha Yeesu nea gwayeeshsha, “Geang'waar gideaba, ‘Siida moammu goobideewa ng'eanyiida mukkatte akghwahit.’” 
LUK.4.5	Ghwaat Meang'nyeandeenda ak goodiing'da heeda miy ghaang' ak goohiimsa daroorakka sean bea ng'eanyiida gili nuwaas. 
LUK.4.6	Ak gwayeeshsha, “Gaydagoonnyi gheambalmeani seaniin ea gigheambiitta nyaawa; aba gideaba sigoonan, ak gaydaadaw siida wassean eagasayi. 
LUK.4.7	Iighadoawannyaan, gayghoaw haleanjeeni seaniin gaagu.” 
LUK.4.8	Ghwasha Yeesu nea gwayeeshsha, “Geang'waar gideaba,
LUK.4.8	‘Ghadoawana Ng'uttamiida was Aseetttaang'u,
LUK.4.8	nea gigadiyeesi niny akghwahit.’”
LUK.4.9	Hean ghwaat Yerusaleemu, ak godiing'da uhuuda gheeda sibatta Aseetta heeda geaw, ak gwayeeshsha, “Iiwosi Balleanda Aseetta, ging'adaattaawi geaw hiji; 
LUK.4.10	aba gideaba geang'waar,
LUK.4.10	‘Gaygoojeagu malaykajeagaaschi ak gafurnyi,’
LUK.4.11	Ea gideaba,
LUK.4.11	‘Gayghwadeabwaneey geattinga nyawa,
LUK.4.11	ea mwalasa geeshtang'u lagheaneeda.’”
LUK.4.12	Ghwasha Yeesu nea gwayeeshsha, “Ghayi geeyi, ‘Adisimsimi Ng'uttamiida was Aseetttaang'u.’” 
LUK.4.13	Hean ahiit meang'nyeandeenda giliwas simsimda, ghanyi gawa ea ghwanyas gheatta damannuut.
LUK.4.14	Iiduw gabiigu Yeesu aba uurda Gurorooda ak gawa Galilaaya, ak gageawiit iitaannyi aba daroorakka sean neekki. 
LUK.4.15	Goonealshachi aba jeeda ghoorajega nyaawa sinealshachcheewa, nea ghooghambiit buuneessean.
LUK.4.16	Iiduw ghwahidu Nasareetti, heeda ghayi hissiina heeda, ak gawa jeeda ghooriida sinnealshachcheewa, gawuurji gideajusu bea geallaan, aba eaweeda sabatto. Ghamiinaada ak ghoassoamwa; 
LUK.4.17	geattaw gittaabooda sibaneeda suguura Isaaya. Ghoayyaaw gittaabu ak ghwanyas heeda sing'oorsa gideaba,
LUK.4.18	“Gurorooda Ng'uttamiida gwanda badaydeanyu,
LUK.4.18	aba gideaba nimwaaran dawa darukkwiisa fuga barbari Giijasta Miiy.
LUK.4.18	Gojeaknean darukusa fuga mida ghealooniga siksiinda nyaawa
LUK.4.18	nea fuga ng'oowwi gayghoang'wearda,
LUK.4.18	ak gojeaknean dalealu fuga sighabwas,
LUK.4.19	nea gearukuti gweayda sumwas bea Ng'uttamiida.”
LUK.4.20	Hean ghwarat gittaabu, ak ghoadaw siida gadiyeeda, ak goopteada; ak gohang'ooysa ghaang' buuneessean mida jeeda ghooriida sinnealshchcheewa. 
LUK.4.21	Ghoang'eat baloaldaannyi nea gwayeeshsha, “Eannean ng'ooruussu nisa aba jeeda iidigeagwa.” 
LUK.4.22	Gabaloola sean ng'asheega miyaas appadaydaannyi nea geahamng'eanyi isiyiiy ng'asheega dagheerjeandumeeda baloola. Ak geeyi, “Neada siisi ea mii balleanda Yoseefu?” 
LUK.4.23	Gwayeeshsha saawa, “Geasikteawi gideaba gajoorukuneani ghwasildeanga gideaba, ‘Bwanamwagaanga, ahaabwa geaw'; ng'asheega siyiinyi ghayi isni aba Gapernaumu, sina earaba ng'eanyiidaang'u.’” 
LUK.4.24	Ak gwayeeshsha, “Aba huumwa geayeeshshineegwa manda sibaneeda jea eamwas aba jeeda ng'eanyiidaannyi. 
LUK.4.25	Asi aba huumwa geayeeshshineegwa, ghayi gwanda masiinung'weega saang'a ng'eanyiida Israeeli aba damanda Eliya, damanda roada roopta gweannyeew samwagu ea shealaah, ak ghwahidu gejeeda haw jeeda ng'eanyiisean; 
LUK.4.26	eara Eliya ea mechcheakta gawa hichpa nuut, geenung' gawa heeda masiinung'weanda assagi mida Serepta, mida ng'eanyiida Sidoni. 
LUK.4.27	Abeeda gwanda fuga saang'a bearji udamusuura aba ng'eanyiida Israeeli gweayda waseewa Eliisha sibaneeda; ak ea meammiinna eara siyagi, geaghus Naamaneeda ng'eanyiida Sirya.” 
LUK.4.28	Iyiiy ng'asheanji Fuga mida jeeda ghooriida sinnealshachcheewa gwanyareesi sean. 
LUK.4.29	Ak ghang'eatng'eat erruteawa mujiini, ak geayaat mareetta heayeeda sideeksa mujiineeda nyaawa, nea geegasa eang'ng'adattaawa uhuuda heayeeda. 
LUK.4.30	Ghang'eat ak ghwalach bugusta nyawa ak gawa.
LUK.4.31	Ak ghwararang'aada gawa Gapernaumu, was mujiineeda Galilaaya. Ak ghoanaal saawa eaweeda Sabatto; 
LUK.4.32	ghahamng'eanyi buuneeda aba ginealshoadaannyi, aba gideaba ng'asheandaannyi gwandeawa gheambalmeeda. 
LUK.4.33	Nea aba jeedeaba ghooriitta sinnealshachchewean gwanda Siisi mideawa gurorooda meangeenda muy hean; gojuur muuchchi aba ghuutta haw, 
LUK.4.34	“Seh! Akayhindaneasan ang'iing'i Yeesuuyda Nasareetti? Ghwasaan anda gineayaneasa? Ghanalli siiduwosi guwosi dea Ghaydit bea Aseetta.” 
LUK.4.35	Goojuursa Yeesu niny nea gwayeeshsha, “Siinda, ak giritteawi siisi!” Ghwanung' Meangeenda ghoabeada siida aba bugusta buuneeda, ak gwaritteaysa siidida nea mii gwasawan. 
LUK.4.36	Hean ghahamng'eanyi sean ak gaba nii eshsha nuut, “Nii ana ng'ashaani? Iissa Gwarukutteawa uurda ea gheambalmeeda nea gwayeeshsha meangeenda aritta ak gwaritta.” 
LUK.4.37	Gageawiit iittaannyi aba jeedeaba ng'eanyiitta seaniin eageng'oojiga.
LUK.4.38	Iiduw ghang'eat ak gwaritteawa jeeda ghooriida sinnealshachcheewa, ak gawa gheeh Simon. Nea abeeda gheamatta agweaji Simon ghamnyaan, gabearji sheagheeda ng'waan ak geemus ghoahap. 
LUK.4.39	Gawa heeda mida gheamattida ak ghamiinaada aba murdeadaannyi, ak goojursa sheagheeda, ak ghahabwa gheamatta sheagheadaannyi; deagheatta ghang'eat ghoang'aatta saawa.
LUK.4.40	Damanda mikteawa aseetta, ghapka Buuneeda sean headaannyi nea gweadu fuga miyean bea siisi bearji geeyoadaannyi, ak ghwayiin geattingaaschi iheenga fuga miyeani ak gaheaba sean. 
LUK.4.41	Gwaritteaysa fuga saang'a meangeenda nea gojuuri nea gwayi, “Ang'iing'i guwosi Balleanda Aseetta!” Gowoowusa saawa, ak ghwarat ghuusiga ea mabaloola aba gideaba eara saawa ghwanal niny Gristo gil.
LUK.4.42	Muchchu sakteayda ghang'eat gawa heeda manda sii, ak gagaseada Buuneeda ama sihiitta heeda geegasa eatteal ea manung'usiina heeda; 
LUK.4.43	gwayeeshsha saawa, “Gaydawa darukkwiida Giijasta Miy bea sugoochcheandumeeda Aseetta aba mujiinajeega suurja, aba gideaba suu gea sichcheaknaneani.” 
LUK.4.44	Abeeda gwarukkwiida Giijasta Miy aba jeeda ghoorajeega sinnealshachcheewa aba ng'eanyiida Yudeeya.
LUK.5.1	Eaweechcha nea gwanda murdeeda basooda Genasareetti gwaneaweesa buuneeda nea goleeysiit ng'asheega Aseetta. 
LUK.5.2	Ghwadaa maleambaji iyyeenya aba murdeeda basooda, nea abeeda ea nuweay fiibwa gohuun gheareedanga nyaawa sing'ng'oonnya ghweayeega. 
LUK.5.3	Gawa jeemba maleamboonagi was dea Simon, gwayeeshsha seabwa nung' gosiipta maleambooda gil mwanang' gawa jeeda basooda ak goopteada ak ghoanaal buuneeda nea gwanda jeeda maleambooda. 
LUK.5.4	Rat ghuutta baloolda, gwayeeshsha Simon, “Asiipsiina heeda saang'a beega, ak ghoapputti ghearedangeagwa alealni ghweayeega.” 
LUK.5.5	Ghwasha Simon nea gwayeeshsha, “Siida haw, geegadiyi aweasean ak ea meang'ng'waanyi gil! Ama ninyaashtunu gaydabuutta gheareedanga.” 
LUK.5.6	Iing'atta sinoodeaba nii, ghoang'ng'waay ghweayeega saang'a; ea ghwariikghta gang'ada gheareedanga nyaawa, 
LUK.5.7	Gang'wachsa geadi fiisu mida jeemba maleambooni neekki ghapka ghaweat. Geegawusa maleambajeega duwaaw ea gwaramagu gwalik beega. 
LUK.5.8	Daa Simon Betro ng'asheanji, gobeedeaysa madeeda Yeesu nea gwayeeshsha, “Ea Ng'uttamiida, asiipteawana heedeanyu, aba gideaba geabea riing'a.” 
LUK.5.9	Ghahamng'eanyi sea fukka sean mideayiin, aba ghweayeega siing'ng'waay; 
LUK.5.10	nea abeeda gwanda Yakkobo ea Yohaana was balloojiga Sebedaayo sinuudayi gadiyeeda sea Simon. Ng'atta gwayeeshsha Yeesu Simon, “Adibeali; ghang'eada ghamneawa gaylealluuni buuneeda.” 
LUK.5.11	Aruunna maleambajeega nyaawa jeeda basooda ghang'eatng'eat gwanung'sa heeda haleanjeessean ak geayaat geeshta.
LUK.5.12	Eaweechcha nea gwanda jeemba mujiinajean, ghwahidu headaannyi Siisi bearji udamusuura, daa Yeesu, gobeedeasa madeadaannyi ak gamus nea gwayeeshsha, “Ng'uttamiida, iigasayi gimmuusi amminnaan.” 
LUK.5.13	Ghoahaakta geadi Yeesu ak ghawaas nea gwayi, “Geagasayi; miinni.” Deagheatta gwaritteaysa udamusuura. 
LUK.5.14	Ghamiin gheang'da ea marukusiina sih; nea gwayeeshsha, “Una ahimsiina geaw ashoohoochcheanda, ak gisabi geadi haleanjeeda siyeada ghadooweeda was gidaghayi rukuteayda Muusa, asi abeeda gajeadaah gideaba simminneey.” 
LUK.5.15	Ak gageawiit iitta aba daroorakka sean, ak ghapka Emeeda headaannyi goleeysiit nea ghoahaap fuga bearji geyoonung'weakka. 
LUK.5.16	Iiduw gwajireada ak gawa dareapcheeda ghamwaash Aseetta.
LUK.5.17	Eaweechchanjagi aba jeedeaba eawoojikka gonealshi, abeeda goobiitpiit Farisayajeega ea ginealshoodiga deaweeda leabu gilinyoo ea gharang'da Galilaaya, ea Yudeeya ea gealeabu Yerusaleemu; nea gwandeawa uurda Ng'uttamiida ak ghoahaap buuneeda. 
LUK.5.18	Asi ng'ulla, ghapka Buuneeda nea gwasareenna muunda siisi abittu damealga, ak geegasa gichchea eayaatta gah, ak geeyiin madeeda Yeesu; 
LUK.5.19	iiduw nea mwanyasa gheatta gichchea gweetteayda gah aba seang'ayda emeeda, gwading'da uhuuda gheeda ak geerrareang'u sea muundaannyi gwasku seawadeeda ea eayiin madeeda Yeesu. 
LUK.5.20	Daa masaweega nyaawa gwayi, “Siida, sisamsa ring'eegaagu.” 
LUK.5.21	Gonyeari geat Farisayaajeega ea ng'oorshoodiga nea gwayeena, “Siisi ng'eaha ang'eawi Aseetttean ghanyeamanda siisi ammu gwasamsa ring'eeda geaghus Aseetta akghwahiit.” 
LUK.5.22	Jeeng'u Yeesu ng'asheega anyeari geat gwayeeshsha, “Ghwasaan anda gonnyearayi geat ng'asheesu aba guroruunatkeagwa? 
LUK.5.23	Awussis anneeda, gideaba dayi, ‘Ring'eegaagu sisasmsa,’ ghana dayi, ‘Ng'eada ak guwi?’ 
LUK.5.24	Asi geagasayi anala gideaba Balleanda Siida gwandeawa gheambalmeeda aba jeeda ng'eanyiida jea gwasamsiina ring'eega iiduw gwayeeshsha siitta abittu damealgeani, geayi, ng'eada, sareana muundaang'u ak guwi ghoah.” 
LUK.5.25	Deagheatta ghang'eat siidida aba madeennyaawa, ak ghwasar muundaannyi ak gawa ghoah nea ghoaghambiit Aseetta. 
LUK.5.26	Ghahamng'eanyi sean, nea geakghambiit Aseetta nea ghang'uut muuwda nea geeyi, “Eannean sidaayi ng'asheega deamdeameadi.”
LUK.5.27	Iiduw gwaritta jarooda ak ghwadaa siisi ang'ng'oonyi gwaadi suguura Laawi, nea goopteada aba gheeda sing'ng'waanya gwadiin; ak gwayeeshsha, “Eanni geeshteanyu.” 
