MAT.1.1	Ибрагьимил наслуялъул Давудил кьибилалъул вас Гӏиса Масихӏил умумузул цӏаразул рахас гьадинаб буго:
LUK.20.29	Масала, анкьго вац вукӏун вуго. Чӏужу ячун хадув, лъимер гьабилалдего хун вуго кӏудияв вац. 
LUK.20.30	Гьесул чӏужу ячун йиго хадусев вацас, гьевги хун вуго. 
LUK.20.31	Лъабабилевги хун вуго. Гьедин цо-цоккун хун, анкьавго вацасул рижи лъугьун гьечӏо. 
LUK.20.32	Ахиралда хун йиго гьезул йикӏарай чӏужуги. 
LUK.20.33	Хӏасил, гьей анкьго росасул лъадилъун йикӏарай гӏадан къиямасеб къоялъ лъил чӏужулъун йикӏине йигей?
LUK.20.33	Гьезие жавабалъе Гӏисаца абуна:
LUK.20.34	– Дуниялалъул рукъалъул бихьиназ лъудбиги рачуна, руччаби россабазеги уна. 
LUK.20.35	Амма къиямасеб къоялъ тӏаде рахъун ахираталъул рукъалъе мустахӏикълъаразул я лъудби, я росал рукӏине гьечӏо. 
LUK.20.36	Тӏокӏалъ хвезеги холаро гьел, малаикзабазда бащалъулелъул гьел ва хваралъуса гьес чӏаголъизарурал Аллагьасул лъималлъунги кколелъул. 
LUK.20.37	Цӏа рекӏун бугониги, бухӏунго лъугӏулареб хъархъилъан жинда рагӏанин: «Дун вуго Ибрагьимил Аллагь, Исхӏакъил Аллагь, Якъубил Аллагь!» – абун Бетӏергьанас ахӏулеб гьаракьилан бицунеб бакӏалда, Мусацаги бихьизабулеб буго хварал чӏаголъизе ругилан. 
LUK.20.38	Аллагь – гьев хваразул Аллагь гуро, чӏагоязул Аллагь вуго, гьесие киналгоги чӏагоял ругелъул.
LUK.20.39	Гьебмехалъ цо-цо диниял гӏалимзабаз абуна:
LUK.20.39	– Я, Мугӏалим! Цӏакъ лъикӏ абуна дуца, – ян. 
LUK.20.40	Тӏокӏаб лъилниги бахӏарчилъи гӏечӏо Гӏисада щибниги гьикъизе.
LUK.20.41	Гьес гьезда абуна:
LUK.20.41	– Давудил вас вугин Масихӏилан щай абулеб? 
LUK.20.42	Туркабазул Хирияб Тӏехьалда (Забуралда) Давудица жинцаго абулеб бугогури: «Тӏадегӏанав Аллагьас дир Бетӏергьанасда абуна: „Дир кваранаб рахъалда гӏодов вукӏа, 
LUK.20.43	дица дур тушбаби дур хӏатӏал лъураб бакӏалда цере чӏезаризегӏан“». 
LUK.20.44	Гьедин Давудица жинцаго гьесде жиндир Бетӏергьанилан абулеб бугони, Давудил вас кин гьев кколев?
LUK.20.45	Тӏолабго халкъалда рагӏиледухъ абуна Гӏисаца жиндирго муридазда:
LUK.20.46	– Воре, гьал диниял гӏалимзабаздаса цӏунун чӏа нуж. Гьезие бокьула халатал гӏабабиги ретӏун хьвадизе, базаркъотӏноб халкъалъ жидеего салам кьезе, синагогабазда жанир киназдасаго церегӏан гӏодор чӏезе ва гьоболлъухъ кванил тӏотӏода нахъа бищунго хӏурматияб бакӏ кквезе. 
LUK.20.47	Росал хун хутӏарал къоролзабазул боцӏи-рикъзи кванала гьез ва рихьдаего халатал дугӏаби гьарула. Гьеб кинабго цӏикӏкӏун гьабунагӏан гӏасияб букӏине буго гьезие тамихӏ.
LUK.21.1	Мукъадасаб Рокъоб садакъаде гӏарац лъолеб бакӏалде бечедал чагӏаз гӏемераб гӏарац рехулеб бихьана Гӏисада. 
LUK.21.2	Бащдаб капекалъул багьаяб кӏиго пахьул гӏарац гьенибе рехулей цо мискинай къоролайги йихьана гьесда. 
LUK.21.3	Гӏисаца абуна:
LUK.21.3	– Хӏакълъун абулеб буго дица нужеда: гьай мискинай къоролалъ киназдасаго цӏикӏкӏун гӏарац кьуна садакъаде. 
LUK.21.4	Цогидаз садакъа гьабуна жидерго боцӏи-рикъзи тӏокӏлъун, долъин абуни, жиндиего хӏажат букӏаниги, садакъаде кьуна жиндирго бетӏербахъиялъе хутӏун букӏарабщинаб.
LUK.21.5	Мукъадасаб Рукъалъул хӏакъалъулъ цо-цояз абулеб букӏана, унго, гьалъул къадазулъ лъун ругел ганчӏазул берцинлъи бихьуларищилан, бечедал сайигъатаз гьаб чӏухӏизабун бугеб куцилан. Гӏисаца абуна:
LUK.21.6	– Гьаб кинабго нужеда бихьулебщинаб, ганчӏида лъураб гамачӏ хутӏичӏого, кӏалагъоркье чӏварал къоял рачӏине руго.
LUK.21.7	– Я, Мугӏалим! Кида гьеб букӏине бугеб? – ан гьикъана гьез гьесда. – Гьеб къо тӏаде щвеялъул гӏаламат бице нижеда.
LUK.21.8	Гӏисаца абуна:
LUK.21.8	– Воре, къосинаризе гурин нуж! Чанги вукӏине вугелъулха, жив дун вугилан ва ахирзаман щванилан абун вачӏунев чи. Гьезда хадур унге нуж. 
LUK.21.9	Рагъ-кьалги тунка-гӏусиги гӏемерлъун бугилан рагӏани, гьелдасаги хӏинкъуге нуж. Гьеб цебеккунго лъугьине ккола, амма ахирзаман гьедигӏан хехго тӏаде щоларо.
LUK.21.10	Цинги гьес абуна:
LUK.21.10	– Цо халкъ цоги халкъалде, цо ханлъи цоги ханлъиялде тӏаде кӏанцӏила. 
LUK.21.11	Кутакалда ракь багъарила, бакӏ-бакӏалда унта-щокълъи баккила, ракъи тӏаде щвела, балагьал рещтӏина ва зобалаздасан чӏахӏиял гӏаламатал загьирлъила.
LUK.21.12	Гьеб кинабго ккелалде, дун сабаблъун нужеда хадур лъугьина, кквезеги ккун, синагогабазде рачина, суд гьабила, гвандинире рехила, парччахӏзабазда ва наибзабазда цере чӏезарила. 
LUK.21.13	Гьебмехалъ рес ккела нужее, дир муридал ругилан нугӏлъи гьабизе. 
LUK.21.14	Кин гьезие жаваб кьелебали цебеккунго ургъел чӏвазе кколареблъиялда ракӏчӏезабе нужеца. 
LUK.21.15	Щаян абуни, нужеда дандечӏезе ва данде кӏалъазе нужер киналго дагӏбадулазухъа бажарулареб пасихӏлъиги гӏакъиллъиги кьела дица нужее. 
LUK.21.16	Нужее хилиплъила хӏатта нужер эбел-эмен ва вацал, нужер гӏагарал чагӏи ва гьудулзаби. Цо-цоял чӏвазеги чӏвала нужер. 
LUK.21.17	Дун сабаблъун киналго гӏадамазда рихина нуж. 
LUK.21.18	Амма нужер бутӏруздаса цо расги бортизе гьечӏебха. 
LUK.21.19	Нужерго сабруялдалъун нужерго рухӏал хвасар гьаре.
LUK.21.20	Боял рачӏун, Иерусалим сверун ккун бихьараб мехалъ, лъала нужеда гьеб шагьар чӏунтулеб заман гӏагарлъулеб букӏин. 
LUK.21.21	Гьеле гьебмехалъ мугӏрузде лъута абе Ягьудиялда ругел гӏадамал. Шагьаралда жанир ругелал гьениса къватӏире тӏурун аян абе, шагьаралдаса къватӏирехун ругелал жанирего лъугьунгеян абе. 
LUK.21.22	Щаян абуни, гьел ругелъул къисас босулел къоял, гьелдалъун ритӏухълъизе бугелъул Илагьиял Тӏухьдузда хъварабщинаб. 
LUK.21.23	Вай, къинал руччабазе ва каранда хахулел лъимал ругел улбузе букӏинаха дол къояз кӏудияб къварилъи-гӏазаб! Цӏакъ кӏудияб балагь бачӏина гьеб ракьалде, Аллагьасул ццин рещтӏина гьеб халкъалде! 
LUK.21.24	Хвалчабаз бутӏрул къотӏаралги рукӏина, киналго улкабазде асирлъун рачун аралги рукӏина. Аллагь лъалареб халкъалъул къуват лъугӏараб заман тӏаде щвезегӏан, гьелъ хӏатӏикь мерхьина Иерусалим.
LUK.21.25	Бакъ-моцӏалъул ва цӏвабзазул гӏаламатал загьирлъила, ракьалдайин абуни, ралъдал хъудиялъ ва карачалабазул кутакаб хъуялъ хӏинкъизарурал халкъал цӏакъго рихха-хочун лъугьина. 
LUK.21.26	Дуниялалде рещтӏине ругел балагьазухъ ралагьун чӏеялъги хӏинкъиялъги гӏадамал гӏакълуялдаса ина. Щаян абуни, къвакӏарал зобал гьаргьадизе ругелъул. 
LUK.21.27	Гьебмехалда вихьила накӏкӏул парчаялда тӏад гучалда ва кӏудияб къудраталда Гӏадамил Лъимер вачӏунев. 
LUK.21.28	Гьел гӏаламатал загьирлъаралго, нуж тӏаде рахъа ва бетӏер эхеде борхун ралагье – нужее тархъанлъилъидал бачӏунеб бугеб.
LUK.21.29	Гӏисаца гьезие гьадинаб мисал бачана:
LUK.21.29	– Инжиралъул гъотӏохъ яги цогидал гъутӏбузухъ ралагье нуж. 
LUK.21.30	Гьел гъутӏби гӏурччинлъун рихьараб мехалъ, нужеда лъалагури рии тӏаде щолеб букӏин. 
LUK.21.31	Гьелдаго релълъун, гьал дица рицарал гӏаламатал загьирлъараб мехалъ, нужеда лъала Аллагьасул Парччахӏлъи гӏагарлъулеб букӏин.
LUK.21.32	Хӏакълъун абулеб буго дица нужеда: дуниялалда гьаб наслу букӏаго лъугьине буго гьеб кинабго. 
LUK.21.33	Зобалги ракьалги тӏагӏаниги, дир рагӏаби нахъе хутӏизе руго. 
LUK.21.34	Воре, гьекъолдун, пасалъун ва магӏишаталъул тӏалаб-агъаз гьабун, ракӏ бицалъизе биччаге, тохлъукьего гьеб къоялъ нужее къор гъезе гурин. 
LUK.21.35	Гьеб къо тӏаде бачӏине бугелъул тӏолабго гьаб ракьалда тӏад бугеб кинабго махлукъаталде! 
LUK.21.36	Гьединлъидал рорчӏуда чӏа! Кинабго гьеб ккезе бугелдаса хвасарлъизеги ва къиямасеб къоялъ Гӏадамил Лъимада цере чӏезе кӏвезеги кидаго гьари-дугӏаялда рукӏа.
LUK.21.37	Гьел къоязда Мукъадасаб Рокъове вагӏза-насихӏат гьабизе вачӏунаан Гӏиса. Сордо базе гьев Зайтуналъул магӏарде тӏадвуссунаан. 
LUK.21.38	Щибаб къоялъ радалго бачӏунаан Мукъадасаб Рокъобе гьесухъ гӏенеккизе халкъ.
LUK.22.1	Жинда Пасхаян цӏар лъураб Реччичӏел Панкъазул Байрам гӏагарлъулеб букӏана. 
LUK.22.2	Чӏахӏиял кашишзабиги диниял гӏалимзабиги ургъулел рукӏана Гӏиса тӏагӏинавизе санагӏат ккелародайилан, амма халкъалъукьаги хӏинкъулел рукӏана гьел. 
LUK.22.3	Дов анцӏила кӏигоясул цояв, Искариотин тӏокӏцӏар бугев Ягьудал рекӏелъе илбис лъугьана. 
LUK.22.4	Чӏахӏиял кашишзабаздаги Мукъадасаб Рукъ цӏунулел рагъухъабазул бутӏруздаги аскӏове ун, гьезулгун къотӏи-къай гьабуна Гӏиса гьезул кверде кьезе. 
LUK.22.5	Гьел рохана ва гьесие гӏарац кьезе къотӏи гьабуна. 
LUK.22.6	Ягьуда гьелда разилъана. Цинги гьес балагьулеб букӏана гӏадамал гьечӏеб бакӏалда Гӏиса гьезул кверде кьезе санагӏалъи бугеб заман.
LUK.22.7	Реччичӏел панкъал режулеб ва къурбаналъе пасхаялъул кьегӏер хъолеб къо тӏаде щвана. 
LUK.22.8	Гӏисаца Пётридаги Иоаннидаги абуна, нилъеего пасхаялъул квен хӏадур гьабизе аян. 
LUK.22.9	Киб нижеца гьеб гьабизе дуе бокьун бугебилан гьикъана гьез Гӏисада. 
LUK.22.10	Гӏисаца гьезда абуна:
LUK.22.10	– Балагьея, шагьаралде жанире лъугьараб мехалъ, лъадал гӏеретӏги цӏун вачӏунев цо чи ватила нужеда. Гьев жаниве лъугьараб рокъоре а нужги гьесда хадур. 
LUK.22.11	Цинги нужеца рукъалъул бетӏергьанасда абе: «Мугӏалимасе лъазе бокьун буго жиндирго муридалгун цадахъ пасхаялъул квание рукъ киб бугебали». 
LUK.22.12	Гьес нужеда бихьизабила цо гӏатӏидаб къачӏараб тӏасарукъ. Гьеле гьениб хӏадуре нужеца квен.
LUK.22.13	Шагьаралде щведал, Гӏисаца абухъе тӏубана гьез иш. Цинги пасхаялъул квенги хӏадур гьабуна. 
LUK.22.14	Къаси кванил ригь щвараб мехалъ, вачӏун Гӏиса кваназе гӏодов чӏана, гьесда аскӏов вукӏана анцӏила кӏиявго чапарги. 
LUK.22.15	Гӏисаца гьезда абуна:
LUK.22.15	– Дица гӏазаб-гӏакъуба хӏехьезе ккелалде гьаб Пасхаялъул квен нужеда цадахъ кваназе цӏакъ гӏащикълъун вукӏана дун. 
LUK.22.16	Дица нужеда абулеб буго: Аллагьасул Парччахӏлъиялда ахирисеб пасхаялъул байрам тӏобитӏизегӏан тӏокӏаб кваназе гьечӏо дица гьеб.
LUK.22.17	Цинги гьес, чагъиралъул цӏураб щурунги босун, тӏаде дугӏаги гьабун, абуна:
LUK.22.17	– Ма, нужедаго гьоркьоб бикье гьаб. 
LUK.22.18	Дица нужеда абулеб буго: Аллагьасул Парччахӏлъи рещтӏинегӏан гьанжеялдаса нахъе тӏокӏаб гьекъезе гьечӏо дица гьаб цӏолбол цӏцӏураб жа.
LUK.22.19	Цо чедги кодобе босун, тӏаде дугӏаги гьабун, гьезухъе кьолаго Гӏисаца абуна:
LUK.22.19	– Гьаб буго нужее гӏоло къурбанлъулеб дир черх. Дунги ракӏалде щун, нужецаги гьабе гьадин.
LUK.22.20	Кванан рахъараб мехалъ, додинго щурунги кодобе босун, Гӏисаца абуна:
LUK.22.20	– Гьаб буго нужее гӏоло тӏолеб дир би – Цӏияб Къотӏи щулалъиялъе тӏолеб би. 
LUK.22.21	Амма дида цадахъ гьаб кванде квер бегьана дие хилиплъизе вугев чиясги. 
LUK.22.22	Гьедин Гӏадамил Лъимер жиндирго къадаралде щвела, амма гьесие хилиплъарасдеги балагь бачӏина.
LUK.22.23	Гьел цоцаздехун гаргадизе лъугьана: щивдай гьевилан, лъицадай гьеб гьабизехъин бугебилан.
LUK.22.24	Цоги гьезда гьоркьоб дагӏба-къец ккана жидеда гьоркьов бищунго кӏудиявлъун щивдай кколаян. 
LUK.22.25	Гӏисаца гьезда абуна:
LUK.22.25	– Парччахӏзабаз халкъазе ханлъи гьабула, гӏадамазги гьел кверщелчагӏи рикӏкӏуна лъикӏлъи гьабулел чагӏилъун. 
LUK.22.26	Амма нужеда гьоркьоб гьедин букӏине бегьуларо: нужер бищунго кӏудияв чӏа бищунго гьитӏинав вугев гӏадин, кверщел бугевги чӏа цогидазе хъулухъалъе. 
LUK.22.27	Щив кӏудиявлъун рикӏкӏунев: кваналев вугев чийищ яги кваналезе хъулухъалъе чӏарав чийищ? Кваналев вугев чи гурищ? Гьале дун гьанив нужее хъулухъалъе чӏун вуго. 
LUK.22.28	Нужни дида цадахъ къо хӏехьарал чагӏи руго. 
LUK.22.29	Гьединлъидал дир Инсуца дие ирсалъе кьураб Парччахӏлъи дица нужееги ирсалъе толеб буго. 
LUK.22.30	Дир Парччахӏлъиялда нужги дида цадахъ квана-гьекъолел рукӏине руго ва Исраилил анцӏила кӏиябго наслуялъе суд гьабизе тахазда тӏад гӏодорги чӏезе руго.
LUK.22.31	Симон! Симон! Ворегиха! Илбисалъ гьарана нуж цӏалкӏизе риччайилан, цӏалкӏица кколелги кколарелги ролъул мугьал ратӏа гьарулеб гӏадин. 
LUK.22.32	Дица дуе дугӏа гьабуна мун иманалдаса ватӏалъунгутӏизе, цинги дида аскӏове тӏадвуссараб мехалъ, дурго вацазул ракӏбатизабе.
LUK.22.33	Пётрица гьесда абуна:
LUK.22.33	– Я, Бетӏерчӏахъад! Дуда цадахъ туснахъалде инеги хвезеги хӏадурав вуго дун.
LUK.22.34	Амма Гӏисаца гьесда абуна:
LUK.22.34	– Дица дуда абулеб буго, Пётр: радакье хӏелеко бахъиналде дуца лъабцӏулго абила дун дуда лъаларилан.
LUK.22.35	Гӏисаца гьезда абуна:
LUK.22.35	– Я гӏарац лъун таргьа босичӏого, я къайи лъун къвачӏа босичӏого, я хисун ретӏине хьитал росичӏого дица нуж ритӏараб мехалъ, сундулниги къварилъи букӏанищ нужее?
LUK.22.35	Букӏинчӏилан жаваб кьуна гьез.
LUK.22.36	Гьес гьезда абуна:
LUK.22.36	– Гьанже гӏарцул таргьа бугес гьебги цадахъ босе, гьединго къвачӏаги босе. Хвалчен гьечӏес, чухъа-гужгатги бичун, гьеб босизе санагӏат гьабе. 
LUK.22.37	Дица нужеда абулеб буго: «Гьев такъсирчилъун рикӏкӏина», – ян Илагьиял Тӏухьдузда дир хӏакъалъулъ хъван букӏарабги тӏубазе буго, дир рахъалъ букӏараб кинабго гьанже тӏубазехъин бугелъул.
LUK.22.38	– Я, Бетӏерчӏахъад! Гьале, кӏиго хвалчен буго гьаниб, – ан абуна гьез.
LUK.22.38	– Гӏела, – ян абуна Гӏисаца гьезда.
LUK.22.39	Цинги гьениса къватӏиве вахъун, кидаго гӏадин, Зайтуналъул магӏарде ана гьев, муридалги рахъана гьесда хадур. 
LUK.22.40	Доре щведал, Гӏисаца гьезда абуна:
LUK.22.40	– Гьари-дугӏаялде русса, нужго къосинарунгутӏизе.
LUK.22.41	Рехараб гамачӏ щолеб манзилалъ гьездаса рикӏкӏадегӏанги ун, суждаялдаги чӏун, дугӏа гьабизе лъугьана Гӏиса. 
LUK.22.42	Гьес абулеб букӏана:
LUK.22.42	– Я, дир Эмен, дур хӏукму бугеб батани, гьеб хвалил лълъар гьекъезабуге дида. Амма дие бокьухъе гуреб, дуего бокьухъе букӏине биччанте.
LUK.22.45	Дугӏаги лъугӏизабун, муридазда аскӏове щведал, пашманлъиялъ тату хун, кьижун ратана Гӏисада гьел.
LUK.22.46	– Щай нуж кьижарал? – ан абуна гьес. – Тӏаде рахъа ва гьари-дугӏаялде русса, нужго къосинарунгутӏизе.
LUK.22.47	Гӏисаца гьедин абулаго, гьале тӏаде щвана гӏемераб халкъ, ва цеве-цеве вукӏана дол анцӏила кӏигояздасан цояв Ягьуда абулев чиги. Гӏисада убач гьабизе аскӏовегӏан вачӏана гьев. 
LUK.22.48	Гӏисаца гьесда абуна:
LUK.22.48	– Ягьуда! Убачги гьабунищ дуца Гӏадамил Лъимер тушбабазухъе кьолев вугев?
LUK.22.49	Гьениб ккезехъин бугеб иш бихьидал, сверухъ рукӏараз Гӏисада абуна:
LUK.22.49	– Я, Бетӏерчӏахъад! Хвалчаби рахъилищ? – ан. 
LUK.22.50	Гьезул цояс хвалчен кьабун кӏудияв кашишасул цо рагьтӏателасул кваранаб гӏин къотӏана.
LUK.22.51	– Гӏела! Те! – ян абуна гьезда Гӏисаца ва, квер хъван, дов рагьтӏателасул гӏин сахлъизабуна.
LUK.22.52	Жинда хадур рачӏарал чӏахӏиял кашишзабаздаги, Мукъадасаб Рукъ цӏунулел рагъухъабазул бутӏруздаги, чӏухӏби-хӏакимзабаздаги Гӏисаца абуна:
LUK.22.52	– Хвалчабигун, тӏилалгун, хъачагъ кквезе рачӏунел кинигин, рачӏун руго нуж дун вачине. 
LUK.22.53	Щибаб къоялъ нужеда цеве Мукъадасав Рокъов вукӏунаангури дун, гьениб диде квер борхичӏо нужеца. Амма гьанже нужер заман бачӏун буго, бецӏаб къуваталъухъе
LUK.22.54	Ккун вачун гьез Гӏиса кӏудияв кашишасул бакӏалде щвезавуна. Нахъа-нахъа чӏун гьезда хадув вачӏунев вукӏана Пётрги. 
LUK.22.55	Гьеб минаялъул азбар бакьулъ цӏаги бакун, сверухъ гӏодор чӏана рагъухъаби. Гьезда гьоркьов Пётрги вукӏана. 
LUK.22.56	Цӏадухъ гьев вихьидал, гьесухъ ялагьунги чӏун, цо гъаравашалъ абуна гьавги досда цадахъ вукӏанилан. 
LUK.22.57	Пётрица, нагӏадала ккун, абуна:
LUK.22.57	– Дида лъаларо, яц, гьев.
LUK.22.58	Гьелдаса гӏемер мех иналдего, цоги чиясги абуна, гьев вихьидал, мунги дозул чи вугилан. Пётрица абуна:
LUK.22.58	– Гуро, гьудул.
LUK.22.59	Сагӏатгӏан заман индал, цоги чияс цӏакъ ракӏчӏун абуна:
LUK.22.59	– Гьав хӏакъикъаталдаги досда цадахъ вукӏарав чи вуго, Галилеялдасалъидалха гьавги, – ян.
LUK.22.60	Амма Пётрица абуна:
LUK.22.60	– Дуца бицунеб жо щиб, гьудул?
LUK.22.60	Гьебсагӏат хӏелеко гӏегӏедизе лъугьана. 
LUK.22.61	Гьебмехалъ гьесдехун вуссун Пётрихъ валагьана Тӏадегӏанав Гӏиса, ва Пётрида ракӏалде щвана хӏелеко бахъиналде лъабцӏул дуца жиндаса инкар гьабилилан Тӏадегӏанав Гӏисаца жиндаго абун рукӏарал рагӏаби. 
LUK.22.62	Къватӏиве ун гӏек-гӏекиялда гӏодана Пётр.
LUK.22.63	Гӏиса цӏунун рукӏарал гӏадамаз гьев къабихӏ гьавулев вукӏана, гьесда кьабулеб букӏана. 
LUK.22.64	Беразда чӏортоги бухьун абулаан, мун авараг ватани, лъица кьабурабали бицейилан. 
LUK.22.65	Цогидалги къабихӏал-инжитал рагӏаби гӏемер абуна Гӏисада гьез.
LUK.22.66	Дуниял рогьараб мехалъ, халкъалъул чӏухӏби-хӏакимзабиги, кӏудиял кашишзабиги, диниял гӏалимзабиги данделъана гьенире, Гӏисаги вачун вачӏана суд гьабулеб рокъове.
LUK.22.67	– Бице, мун Масихӏищ? – ан гьикъана Гӏисада.
LUK.22.68	Гьес абуна:
LUK.22.68	– Дица жаваб кьуниги, нуж божиларо. Дица суал кьуни, нужеца жавабги кьеларо. 
LUK.22.69	Гьанжеялдаса нахъе Гӏадамил Лъимер гӏодов чӏезе вуго Къудратав Аллагьасул кваранаб рахъалда.
LUK.22.70	Киназго гьикъана:
LUK.22.70	– Гьедин батани, мун Аллагьасул Васищха?
LUK.22.70	Гӏисаца гьезда абуна:
LUK.22.70	– Нужецаго абулеб бугогури дун гьев вугилан.
LUK.22.71	Гьез абуна:
LUK.22.71	– Цоги нугӏзал щай нилъее. Гьасул жиндирго кӏалдисан рачӏарал рагӏаби рагӏанагури нилъеда.
LUK.23.1	Гьел киналго, Гӏисаги вачун, рахъун Пилатихъе ана. 
LUK.23.2	Гьениб гьез Гӏисаде гӏайиб гӏунтӏизабулеб букӏана, жидер халкъ дандечӏеялде гьусулев ва къайсарасе магъало кьогеянги жив Масихӏ-Парччахӏ вугиланги абулев ватанин гьевилан.
LUK.23.3	Пилатица Гӏисада гьикъана:
LUK.23.3	– Мунищха кколев жугьутӏазул Парччахӏ?
LUK.23.3	Гӏисаца жаваб кьуна:
LUK.23.3	– Дуца абулеб бугоха гьедин.
LUK.23.4	Чӏахӏиял кашишзабаздаги халкъалдаги Пилатица абуна гьав чиясе тамихӏ гьабизе гӏураб гӏайиб жинда батулеб гьечӏилан. 
LUK.23.5	Амма гьез тӏаса ричӏичӏого абулеб букӏана гьес халкъ багъа-бачаризабулеб бугин, тӏолабго Ягьудиялдаго, хӏатта Галилеялдаса бахъараб гьанибе щвезегӏан, гьес жиндирго насихӏат гьабулеб букӏанин.
LUK.23.6	Галилеялъул цӏар бахъулеб рагӏидал, Пилатица гьикъана Галилеялдасацин гурищ гьав чийилан. 
LUK.23.7	Гьеродил вилаяталдаса вукӏин лъайдал, Пилатица Гӏиса витӏана гьел къоязда Иерусалималде вачӏун вукӏарав Гьеродихъе. 
LUK.23.8	Гӏиса вихьаравго, Гьерод цӏакъ вохана. Цебего бокьун букӏана гьесие Гӏиса вихьизе, гӏемерал харбал рагӏулел рукӏиндалха гьесул хӏакъалъулъ. Цо хӏикмат жиндаги бихьизабилародаян хьулги букӏана Гьеродил. 
LUK.23.9	Гьеродица гӏемерал суалал кьуна Гӏисае, амма гьес цонигиялъе жавабцин кьечӏо. 
LUK.23.10	Гьенир рахъун чӏун чӏахӏиял кашишзабазги диниял гӏалимзабазги гӏасилъун-ццидахун Гӏисаде гӏайибал гӏунтӏизарулел рукӏана. 
LUK.23.11	Гьеродицаги гьесул рагъухъабазги Гӏиса гӏад-хочӏие гьавун, инжит-хӏакъир гьавун чӏухӏараб ретӏел ретӏана гьесда ва тӏадвуссун Пилатихъе витӏана. 
LUK.23.12	Цебеккун цоцазда гьоркьоб тушманлъи букӏарал Гьеродги Пилатги гьеб къоялдаса нахъе гьудулзабилъун лъугьана.
LUK.23.13	Чӏахӏиял кашишзабиги, чӏухӏби-хӏакимзабиги, цогидал гӏадамалги ахӏун, Пилатица гьезда абуна:
LUK.23.14	– Гьас халкъ дандечӏеялде гьусулеб бугилан вачун вачӏун вуго нужеца гьав чи дихъе. Гьале дица нужги ралагьун цӏех-рех гьабидал, дида гьав чиясда батичӏо нужеца гьасде гӏунтӏизарурал гӏайибазул цонигияб. 
LUK.23.15	Гьеродидаги батичӏо, гьединлъидал дос гьав тӏадвуссун нилъехъе витӏун вачӏана. Чӏвазе къотӏизе гӏураб цониги такъсирги гьас гьабун гьечӏо. 
LUK.23.16	Цӏалацаги вацӏун, нахъе виччала дица гьав.
LUK.23.17+LUK.23.18	Амма халкъалъ цо кӏалдисан гӏадин ахӏулеб букӏана:
LUK.23.17+LUK.23.18	– Гьев чӏвазе витӏе! Барабба кье нижехъе! – ян.
LUK.23.19	Барабба вукӏана, шагьаралда цо питнаялда гӏахьаллъиялъул ва чи чӏваялъул такъсир тӏад чӏун, гвандинив тӏамун вугев чи. 
LUK.23.20	Гӏиса нахъе виччазе бокьун нахъеги халкъалдехун кӏалъана Пилат.
LUK.23.21	Амма гӏадамал ахӏдезе лъугьана:
LUK.23.21	– Хъанчида вазе витӏе гьев! Хъанчида вазе витӏе! – ян.
LUK.23.22	Лъабабизеги абуна Пилатица гьезда:
LUK.23.22	– Гьас гьабураб квешлъи щиб? Чӏвазе гӏураб гӏайиб батичӏо дида гьасул. Гьединлъидал, цӏалацаги вацӏун, нахъе виччала.
LUK.23.23	Амма, кутакаб ахӏи-хӏур багъаризабун, тӏадчӏун гӏадамаз гьарулеб букӏана Гӏиса хъанчида вазе витӏейилан, ва гьезул ахӏи-хӏур бергьана. 
LUK.23.24	Пилатица хӏукму гьабуна гьезул гьари къабул гьабизе: 
LUK.23.25	питнаялда гӏахьаллъанилан ва чи чӏванилан гвандиниве рехун вукӏарав чиги, гӏадамазул гьариялда рекъон, къватӏиве виччан, Гӏиса гьезул ихтияралде кьуна.
LUK.23.26	Гьев вачун унаго, гьесда хадуб хъанч баччизабуна хуриса вачӏунев вукӏун данде ккарав Киренеялдаса цо Симон абулев чиясда. 
LUK.23.27	Цӏакъ гӏемераб халкъ букӏана Гӏисада хадуб бачӏунеб, хасго руччаби рукӏана гӏодилел ва магӏаби гьарулел. 
LUK.23.28	Нахъвуссун гьезухъги валагьун, Гӏисаца абуна:
LUK.23.28	– Я, Иерусалималъул руччаби! Нуж дихъ гӏодуге! Нуж гӏоде нужехъго ва нужер лъималазухъ. 
LUK.23.29	«Чехь къинлъун лъимер гьабичӏел, керен кьун гьеб хахизабичӏел руччаби гьардарал гурищ!» – ан нужеца абулел къоял рачӏине руго. 
LUK.23.30	Тӏаде рортун ниж гъоркь ккезареян мугӏрузда гьардела гӏадамал гьебмехалъ, щущан ун ниж щинкӏизареян гохӏазда гьардела. 
LUK.23.31	Гӏурччинаб гъветӏалъе гьадинал ишал гьарулел ругони, – бакъвараб гъотӏое щибдай гьабила!
LUK.23.32	Кӏиго хъачагъги вукӏана гьесда цадахъ тамихӏалъе вачун унев. 
LUK.23.33	«Гвангвара» абулеб бакӏалде щведал, Гӏиса хъанчида вана; цояв кваранаб рахъалда, цогидавги квегӏаб рахъалда – дов кӏиявго хъачагъги вана хъанчида. 
LUK.23.34	Гӏисаца абуна:
LUK.23.34	– Я, дир Эмен! Гьазда тӏасалъугьа мун. Жидецаго гьабулеб бугеб жо гьазда лъалеб гьечӏо, – ян.
LUK.23.34	Рагъухъаби рукӏана, можоро тӏамун, гьасул ретӏел жидедаго гьоркьоб бикьулел. 
LUK.23.35	Халкъ балагьун чӏун букӏана. Чӏухӏби-хӏакимзаби гьасда тӏад релъанхъулел рукӏана:
