GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
GEN.37.34	Jakobo akabvarura ŋguʋo dzake, akasimira magumbu paciʋuno cake, akacema mŋanakomana wake mazuʋa mazhinji. 
GEN.37.35	Ʋanakomana ʋake ʋose naʋakunda ʋake ʋose ʋakasimuka ʋakamunyaradza; asi wakaramba kunyaradzwa, akati: Ndicaɓurukira kubgiro kumŋanakomana waŋgu, ndicicema. Ƃaɓa ʋake ʋakamuwuŋgudzira. 
GEN.37.36	Ɀino ʋaMidiani ʋakandomuteŋgesa Egipita kunaPotifari, muranda waFarao, mukuru waʋarindi.
GEN.38.1	Neŋguʋa iyo Juda wakabva kuʋana ʋaɓaɓa ʋake, akaɓuruka, akatsaukira kunomumŋe murume muAdurami, wainzi Hira. 
GEN.38.2	Juda akaʋona’po mukunda womumŋe munhu muKanani, wainzi Shua, akamutora, akapinda kwaari. 
GEN.38.3	Iye akaʋa nemimba, akaɓereka mŋanakomana, akamutumidza zita rinonzi Eri. 
GEN.38.4	Akaʋa nemimba ɀe, akaɓereka mŋanakomana, akamutumidza zita rinonzi Onani. 
GEN.38.5	Akaʋa nemimba ɀe, akaɓereka mŋanakomana, akamutumidza zita rinonzi Shera; iye wakaŋga ari paKezibi 
GEN.38.6	Ɀino Juda wakatorera ɗaŋgwe rake Eri mukadzi wainzi Tamari. 
GEN.38.7	Asi Eri, ɗaŋgwe raJuda, wakaŋga ari munhu wakaipa pamberi paJehova; Jehova akamuʋuraya. 
GEN.38.8	Ɀino Juda akati kunaOnani: Pinda kumukadzi womukoma wako, umuwane, umuitire ɀakafanira munuŋuna womurume, umutsire mukoma wako ʋana. 
GEN.38.9	Ɀino Onani wakaziʋa kuti ʋana aʋo haʋaŋgaʋi ʋake; naiɀoɀo wakati kana opinda kumukadzi womukoma wake, worashira mbeu pasi, kuti arege kupa mukoma wake ʋana. 
GEN.38.10	Cinhu ici caakaita cakaŋga cakaipa pamberi paJehova; akamuʋuraya naiye ʋo. 
GEN.38.11	Ipapo Juda akati kunaTamari, mukadzi womŋana wake: Cigara hako uri cirikadzi paimba yaɓaɓa ʋako, kuȿikira Shera, mŋanakomana waŋgu, akura; nokuti wakati: Ɀimŋe uŋgafa saʋakoma ʋake. Tamari akandogara kumba kwaɓaɓa ʋake. 
GEN.38.12	Mazuʋa mazhinji akati apfuʋura, mukunda waShua, mukadzi waJuda, akafa; ɀino Juda wakati anyaradzwa, akakwira kuʋaʋeʋuri ʋamakwai ake paTimna, iye naHira, shamŋari yake muAdurami. 
GEN.38.13	Tamari akaʋudzwa, ɀicinzi: Tarira ɓaɓa ʋomurume wako ʋanokwira Timna kundoʋeʋura makwai aʋo; 
GEN.38.14	ipapo iye akabvisa ŋguʋo dzoʋucirikadzi bgake, akaɀifukidza necokufukidzira cake, akaɀiputira, akagara pasuʋo reEnaimi, 
GEN.38.15	Ɀino Juda wakati acimuʋona, akati cifeʋe, nokuti wakaŋga afukidza ciso cake. 
GEN.38.16	Akatsaukira kwaari panzira, akati: Ƌoʋuya, ndipinde kwauri; nokuti wakaŋga asiŋgaziʋi, kuti mukadzi womŋanakomana wake. Iye akati: Unogondipeiko, kuti upinde kwandiri? 
GEN.38.17	Akati: Ndicakutumira mbudzana inobva kuɀipfuwo ɀaŋgu. Akati: Ucandipa ruɓatso kuȿikira waituma here? 
GEN.38.18	Akati: Ndicagokupa ruɓatso rweiko — Iye akati: Cimhete cako, norwonzi rwako, netȿimbo yako iri paruʋoko rwako. Akamupa iɀoɀo, akapinda kwaari, akaʋa nemimba naye. 
GEN.38.19	Akasimuka, akaenda, akabvisa cokufukidzira cake, akafuka ŋguʋo dzoʋucirikadzi bgake. 
GEN.38.20	Ɀino Juda akatuma mbudzana noruʋoko rweshamŋari yake, muAdurami, kuti atore ruɓatso paruʋoko rwomukadzi, asi haana‐kumuwana 
GEN.38.21	Akabvunza ʋanhu ʋokwake, aciti: Ciripiko cifeʋe ciya, cakaŋga ciri paEnaimi panzira — Ʋakati: Kwakaŋga kusinecifeʋe pano. 
GEN.38.22	Akadzokera kunaJuda, akati: Handina‐kumuwana; naʋanhu ʋoko ʋakati: Kwakaŋga kusinecifeʋe pano. 
GEN.38.23	Ipapo Juda akati: Ŋgaaɀitore hake, kuti tirege kunyadziswa; tarira, ndatuma mbudzana iyi, iwe ukasamuwana. 
GEN.38.24	Ɀino mŋedzi ineŋge mitatu yakati yapfuʋura, Juda akaʋudzwa, ɀicinzi: Tamari, mukadzi womŋanakomana wako, wakaita ʋupombge; waʋa nemimba noʋupombge bgake. Juda akati: Ʋuyai naye, apiswe. 
GEN.38.25	Ɀino ʋakati ʋaciʋuya naye, akatuma shoko kunaɓaɓa ʋomurume wake, aciti: Ndinemimba nomurume unenhumbi idzi; akati: Ƌocerekedzai kuti iɀi ndeɀani, ɀinoti, cimhete, norwonzi, netȿimbo. 
GEN.38.26	Juda akaɀiziʋa, akati: Iye wakarurama kukunde’ni, nokuti handina‐kumupa Shera, mŋanakomana waŋgu. Haana‐kuzomuziʋa ɀe. 
GEN.38.27	Ɀino neŋguʋa yokuɓereka kwake ʋana ʋaʋiri ʋakaŋga ʋari muɗumbu rake. 
GEN.38.28	Ɀino wakati aciɓereka, mumŋe akaɓuɗisa ruʋoko; ipapo mbuya ʋakatora rwonzi rutȿuku, ʋakarusuŋgira paruʋoko rwake, ʋaciti: Uyu wataŋga kuɓuɗa. 
GEN.38.29	Ɀino uyu wakati adzosera ruʋoko rwake, munuŋuna wake akaɓuɗa; iʋo ʋakati: Waɀipasanurira seiko — Naiɀoɀo akamutumidza zita rinonzi Perezi. 
GEN.38.30	Pashure mukoma wake akaɓuɗa, wakaŋga anorwonzi rutȿuku paruʋoko rwake; zita rake rikatumidzwa Zera.
GEN.39.1	Josefa wakaŋga aɓurusirwa Egipita; Potifari, gota raFarao, mukuru waʋarindi, muEgipita, akamuteŋga pamaʋoko aʋaIshmaeri, ʋakaŋga ʋamuɓurusira Egipita. 
GEN.39.2	Jehova ɀino wakaŋga anaJosefa, akaramba acikwirira; akagara mumba matenzi wake, muEgipita. 
GEN.39.3	Tenzi wake akaʋona kuti Jehova unaye, ʋuye kuti Jehova wakafambisa ɀakanaka ɀose ɀaaiita namaʋoko ake. 
GEN.39.4	Josefa akawana nyasha kwaari, akamuɓatira; iye akamuita mutariri weimba yake; ɀose ɀaakaŋga anaɀo akaɀiisa pamaʋoko ake. 
GEN.39.5	Ɀino kubva pakuitwa kwake mutariri weimba yake nowaɀose ɀaakaŋga anaɀo, Jehova akaropafadza imba yomuEgipita nokuɗa kwaJosefa; kuropafadza kwaJehova kwakaŋga kuri pamsoro peɀose ɀaakaŋga anaɀo mumba nokumunda. 
GEN.39.6	Waisiya ɀose ɀaakaŋga anaɀo pamaʋoko aJosefa; iye anaye, haazairaŋgarira cinhu, asi ɀokudya ɀake ɀoga ɀaaidya. Ɀino Josefa wakaŋga anomuʋiri wakanaka, akanaka ʋo paciso. 
GEN.39.7	Ɀino shure kwaiɀoɀo mukadzi watenzi wake wakatarira Josefa, akati: Ʋata neni. 
GEN.39.8	Asi iye wakaramba, akati kumukadzi watenzi wake: Tarirai, nokuɗa kwaŋgu tenzi waŋgu haaraŋgariri ɀiri mumba, asi wakaisa ɀose ɀaanaɀo pamaʋoko aŋgu; 
GEN.39.9	hakunomukuru kwandiri paimba ino; haana‐kundidziʋisa cinhu, asi imi moga; nokuti muri mukadzi wake; ɀino ndiŋgaita seiko cinhu ici cakaipa ɀikuru nditadzire Mŋari? 
GEN.39.10	Ɀino wakati ataura naJosefa mazuʋa ose, iye asiŋgamutereri kuti aʋate naye, kana kuʋa naye, 
GEN.39.11	neŋguʋa iyo akapinda mumba kuti aɓate‐ɓasa rake; makaŋga musinaʋamŋe ʋarume ʋeimba imomo. 
GEN.39.12	Ipapo akamuɓata ŋguʋo yake, akati: Ʋata neni; iye akasiya ŋguʋo yake muruʋoko rwake, akatiza, akaɓuɗa panze. 
GEN.39.13	Ɀino wakati aciʋona kuti wasiya ŋguʋo yake muruʋoko rwake, atiza, aenda, 
GEN.39.14	akaɗana ʋarume ʋeimba yake, akataura naʋo, akati: Tarirai, iye wakaʋuyisa muHeberu pakati peɗu kuti atiɗaɗire; wakapinda kwandiri, kuti aʋate neni, ndikaridza mhere nenzwi guru. 
GEN.39.15	Ɀino wakati acinzwa kuti ndinoɗanidzirisa ndiciridza mhere, akasiya ŋguʋo yake neni, akatiza, akaɓuɗa panze. 
GEN.39.16	Akaceŋgeta ŋguʋo yake kuȿikira tenzi wake acipinda mumba. 
GEN.39.17	Akataura kwaari mashoko iwayo akati: Muranda muHeberu wawakaisa pakati peɗu, wakaʋuya kwandiri kuti andiɗaɗire. 
GEN.39.18	Ndikaɗanidzirisa, ndikaridza mhere, akasiya ŋguʋo yake neni, akatizira panze. 
GEN.39.19	Tenzi wake wakati acinzwa mashoko aakaʋudzwa nomukadzi wake, aciti: Ndiɀo ɀandakaitirwa nomuranda wako, hasha dzake dzikamuka. 
GEN.39.20	Tenzi waJosefa akamutora, akamupinza mutoroŋgo, paisuŋgwa ʋasuŋgwa ʋamambo; akaʋa mutoroŋgo. 
GEN.39.21	Asi Jehova wakaʋa naJosefa, akamuitira tsitsi, kuti anzwirwe ŋgoni nomutariri wetoroŋgo. 
GEN.39.22	Mutariri wetoroŋgo akapa mumaʋoko aJosefa ʋasuŋgwa ʋose ʋakaŋga ʋari mutoroŋgo; iye wakaŋga ari muiti weɀose ɀaiitwa’mo. 
GEN.39.23	Mutariri wetoroŋgo wakaŋga asinehanya necinhu cakaŋga ciri pamaʋoko ake, nokuti Jehova wakaŋga anaye; ɀose ɀaaiita, Jehova wakaɀiruramisa.
GEN.40.1	Shure kwaiɀoɀo muɗiri wamambo weEgipita nomuɓiki wake ʋakatadzira tenzi waʋo, mambo weEgipita. 
GEN.40.2	Farao akatsamŋira kwaɀo ʋaranda ʋake ʋaʋiri, iʋo mukuru waʋaɗiri nomukuru waʋaɓiki. 
GEN.40.3	Akaʋasuŋga kuti ʋaceŋgetwe mumba momukuru waʋarindi, mutoroŋgo, pakaŋga pakasuŋgwa Josefa. 
GEN.40.4	Mukuru waʋarindi akaraira Josefa kuʋaceŋgeta; iye akaʋaɓatira, ʋakaita ŋguʋa ʋaciceŋgetwa. 
GEN.40.5	Ɀino ʋose ʋaʋiri ʋakarota hope ʋusiku ʋumŋe, mumŋe nomumŋe kurota kwake, kurota kumŋe nokumŋe kuneɗudziro yako, iʋo muɗiri nomuɓiki ʋamambo weEgipita, ʋakaŋga ʋakasuŋgwa mutoroŋgo. 
GEN.40.6	Ɀino fume maŋgwana Josefa akapinda kwaʋari, Akaʋatarira, akaʋona kuti haʋafari. 
GEN.40.7	Akabvunza ʋaranda ʋaFarao ʋakaŋga ʋaceŋgetwa pamŋe cete naye mumba matenzi wake, akati: Nhasi makashuwa neiko? 
GEN.40.8	Ʋakati kwaari: Tarota hope, asi hakunomunhu unogona kudziɗudzira. Josefa akati kwaʋari: Kuɗudzira hakuzi kwaMŋari here — Ƌondirondedzerai henyu. 
GEN.40.9	Ɀino mukuru waʋaɗiri akarondedzera kurota kwake kunaJosefa, akati kwaari: Pakurota kwaŋgu ndakaʋona muzambiriŋga pamberi paŋgu; pamuzambiriŋga pakaŋga panamataʋi matatu; 
GEN.40.10	ukaita sokutumbuka, ukaɓuɗisa maruʋa; masumbu awo akaɓereka mazambiriŋga akaibva; 
GEN.40.11	mukombe waFarao wakaŋga uri muruʋoko rwaŋgu; ɀino ndikatora mazambiriŋga, ndikaaȿinira mumukombe waFarao, ndikaisa mukombe muruʋoko rwaFarao. 
GEN.40.12	Josefa akati kwaari: Kuɗudzirwa kwadzo ndiko: Mataʋi matatu mazuʋa matatu; 
GEN.40.13	mazuʋa matatu agere kupera Farao ucasimudza musoro wako, nokukudzosera kuɓasa rako; ipapo ucaisa mukombe waFarao muruʋoko rwake ɀe, seɀawaiita kare uciri muɗiri wake. 
GEN.40.14	Asi undiraŋgarire hako kana woitirwa ɀakanaka; undiitire ŋgoni, undireʋerere kunaFarao, kuti ndiɓuɗiswe paimba ino; 
GEN.40.15	nokuti ɀirokwaɀo, ndakaɓiwa kunyika yaʋaHeberu; napano handina‐kuita cinhu cakafanira kuti ʋandiise mugomba iri. 
GEN.40.16	Ɀino mukuru waʋaɓiki wakati aʋona kuti ɗudziro yakanaka, akati kunaJosefa: Neni ʋo ndakaŋga ndiri pakurota kwaŋgu, ndikaʋona tswanda nhatu dzeciŋgwa cicena dzakaŋga dziri pamusoro waŋgu; 
GEN.40.17	mutswanda yapamsoro makaŋga muneɀokudya ɀamarudzi ose ɀakaɓikwa ɀaFarao; shiri dzikaɀidya mutswanda yaiʋa pamusoro waŋgu. 
GEN.40.18	Ipapo Josefa akapindura, akati. Kuɗudzirwa kwadzo ndiko: Tswanda nhatu mazuʋa matatu; 
GEN.40.19	mazuʋa matatu agere kupera, Farao ucasimudza musoro wako akaubvisa pamsoro pako, akusuŋgirire pamuti; shiri dzicadya nyama yako, dziciibvisa kwauri. 
GEN.40.20	Ɀino nomusi wetatu, musi wokuɀarwa kwaFarao, iye wakaitira ʋaranda ʋake ʋose mutambo. Akasimudza musoro womukuru waʋaɗiri, nomusoro womukuru waʋaɓiki pakati paʋaranda ʋake, 
GEN.40.21	akadzosera mukuru waʋaɗiri kuɓasa rake rokuɗira kwake, akapa mukombe waFarao muruʋoko rwaFarao; 
GEN.40.22	asi wakasuŋgirira mukuru waʋaɓiki, seɀaʋakaŋga ʋaɗudzirwa naJosefa. 
GEN.40.23	Asi mukuru waʋaɗiri haana‐kuraŋgarira Josefa, asi wakamukaŋganwa.
GEN.41.1	Makore maʋiri akati apera cose, Farao akarota hope; akaɀiʋona amire parwizi. 
GEN.41.2	Akaʋona mhou nomŋe dzicikwira dziciɓuɗa murwizi, dzakaŋga dzakanaka, dzakakora; dzikafura pakati penhokwe. 
GEN.41.3	Ɀino akaʋona dzimŋe mhou nomŋe dzicikwira mashure madzo, dzicibva murwizi, dzakaŋga dzakaipa, dzakawonda; dzikamira nedzimŋe mhou pamhenderekedzo yorwizi. 
GEN.41.4	Ɀino mhou dzakaipa, dzakawonda, dzikadya mhou dziya nomŋe dzakanaka, dzakakora. Farao akapepuka. 
GEN.41.5	Akaʋata ɀe, akarota rwecipiri; akaʋona hura nomŋe dzeɀiyo dzakaŋga dzatumbuka padzinde rimŋe, dzakaŋga dzakakora, dzakanaka, 
GEN.41.6	akaʋona hura nomŋe, dzakaŋga dzakatetepa, dzakaŋga dzapiswa nemhepo yokumabvazuʋa, dziciɓuɗa shure kwadzo. 
GEN.41.7	Ɀino hura dzakatetepa dzikamedza hura nomŋe dzakakora, dzakaŋga dzizere. Farao akapepuka, akaʋona kuti warota. 
GEN.41.8	Ɀino fume maŋgwana mŋeya wake ukatambudzika, akatuma ʋanhu kundoɗana ŋaŋga dzose dzeEgipita naʋakacenjera ʋose ʋo’ko; Farao akaʋaʋudza kurota kwake; asi kwakaŋga kusinomunhu waigona kuɀiɗudzira kunaFarao. 
GEN.41.9	Ipapo mukuru waʋaɗiri akaʋudza Farao, akati: Nhasi ndinoraŋgarira kutadza kwaŋgu; 
GEN.41.10	Farao wakaŋga akatsamŋira ʋaranda ʋake, mukandisuŋga, ndikaceŋgetwa mumba momukuru waʋarindi, ini nomukuru waʋaɓiki; 
GEN.41.11	tikarota hope noʋusiku ʋumŋe, ini naiye; tikarota mumŋe nomumŋe hope dzineɗudziro yadzo. 
GEN.41.12	Ɀino ipapo pakaŋga panesu jaya romuHeberu, muranda womukuru waʋarindi; tikamuʋudza, iye akatiɗudzira kurota kweɗu; akaɗudzira mumŋe nomumŋe seɀaakarota. 
GEN.41.13	Ɀikazoitika seɀaakatiɗudzira; ini ndikadzoserwa kuɓasa raŋgu, asi iye wakasuŋgirirwa. 
GEN.41.14	Ipapo Farao akatuma munhu kundoɗana Josefa, ʋakakurumidza kumuɓuɗisa mugomba; ʋakaʋeʋura ndebvu dzake nokumufukidza dzimŋe ŋguʋo; akapinda kunaFarao. 
GEN.41.15	Farao akati kunaJosefa: Ndarota hope, asi hakunomunhu unogona kundiɗudzira idzo; ɀino ndanzwa kuti iwe, kana wanzwa kurota, unogona kuɀiɗudzira. 
GEN.41.16	Josefa akapindura Farao, akati: Kwete, handizi’ni; Mŋari ndiye uŋgapa Farao ɗudziro yorugare. 
GEN.41.17	Farao akarondedzera kunaJosefa, akati: Pakurota kwaŋgu ndakaɀiʋona ndimire pamhenderekedzo yorwizi; 
GEN.41.18	ndikaʋona murwizi muciɓuɗa mhou nomŋe, dzakaŋga dzakakora, dzakanaka; dzikafura pakati penhokwe; 
GEN.41.19	ndikaʋona ɀe dzimŋe mhou nomŋe dzicikwira shure kwadzo dzinenzara, dzakaipa kwaɀo, dzakawonda, handina‐kumboʋona dzakaipa dzakaɗai panyika yose yeEgipita. 
GEN.41.20	Ɀino mhou idzo dzakawonda, dzakaipa, dzikadya mhou dziya dzakakora dzokutaŋga; 
GEN.41.21	dzakat dzadzidya, hadzina‐kutoŋgozikanwa kuti dzadzidya; asi dzakaŋga dzakaŋgoipa sapakutaŋga. Ɀino ndikapepuka. 
GEN.41.22	Ndikaʋona ɀe pakurota kwaŋgu hura nomŋe dzakaŋga dzatumbuka padzinde rimŋe, dzizere, dzakanaka; 
GEN.41.23	ndikaʋona ɀe dzimŋe hura nomŋe, dzakawoma, dzakatetepa, dzakapiswa nemhepo yokumabvazuʋa, dziciɓuɗa shure kwadzo. 
GEN.41.24	Hura idzo dzakatetepa dzikamedza hura nomŋe dzakanaka; ndikaʋudza ŋaŋga, asi kwakaŋga kusinomunhu wakagona kundiɗudzira iɀoɀo. 
GEN.41.25	Ipapo Josefa akati kunaFarao: Kurota kwaFarao ndokumŋe; iɀo Mŋari ɀaanoɗa kuita, ndiɀo ɀaakaziʋisa Farao. 
GEN.41.26	Mhou nomŋe dzakanaka makore manomŋe, nehura nomŋe dzakanaka makore manomŋe ʋo; kurota ndokumŋe. 
GEN.41.27	Mhou nomŋe dzakawonda, dzakaipa, dzakakwira shure kwaidzedzo, makore manomŋe, nehura nomŋe dzakaputa, dzakapiswa nemhepo yokumabvazuʋa, acaʋa makore manomŋe enzara. 
GEN.41.28	Ndiro shoko randataura kunaFarao; iɀo Mŋari ɀaanoɗa kuita, ndiɀo ɀaakaratidza Farao. 
GEN.41.29	Tarirai, kunoʋuya makore manomŋe amaguta kwaɀo panyika yose yeEgipita; 
GEN.41.30	shure kwaiwayo kucateʋera makore manomŋe enzara; ipapo maguta ose acakaŋganikwa panyika yeEgipita; nzara icapedza nyika; 
GEN.41.31	maguta haaŋgazozikanwi munyika nokuɗa kwenzara iyo inozoteʋera, nokuti icanyanya kwaɀo. 
GEN.41.32	Kurota uku kwakapamhidzwa kunaFarao kaʋiri, nokuti iɀoɀo ɀakatarwa naMŋari, ʋuye Mŋari ucakurumidza kuɀiita. 
GEN.41.33	Naiɀoɀo Farao ŋgaatȿake munhu wakaŋgwara, wakacenjera, amuite muɓati wenyika yeEgipita. 
GEN.41.34	Farao ŋgaaite iɀoɀo, ŋgaaise ʋatariri panyika yose, atore ceshanu ceɀiyo ɀenyika yeEgipita pamakore manomŋe eguta. 
GEN.41.35	Ŋgaʋaʋuŋganidze ɀokudya ɀose ɀamakore iwayo akanaka anoʋuya, ʋaʋige ɀiyo nomurairo waFarao, ɀiʋe ɀokudya mumaguta; ʋaɀiceŋgete. 
GEN.41.36	Ɀokudya iɀo ɀicaceŋgeterwa nyika makore manomŋe enzara, icazoʋa’po panyika yeEgipita, kuti nyika irege kuparadzwa nenzara. 
GEN.41.37	Cinhu ici cakaŋga cakanaka kunaFarao naʋaranda ʋake ʋose. 
GEN.41.38	Farao akati kuʋaranda ʋake: Ko tiŋgawana mumŋe munhu wakafanana noyuyu, unomŋeya waMŋari maari here? 
GEN.41.39	Farao akati kunaJosefa: Mŋari ɀaakakuratidza iɀoɀo ɀose, hapanomunhu wakaŋgwara, wakacenjera sewe; 
GEN.41.40	ndiwe ucaʋa muɓati weimba yaŋgu; ʋanhu ʋaŋgu ʋose ʋacarairwa neshoko rako; asi pacigaro caŋgu coʋushe ndi’po pandicaʋa mukuru kwauri. 
GEN.41.41	Ɀino Farao akati kunaJosefa: Tarira, ndakuita muɓati panyika yeEgipita yose. 
GEN.41.42	Farao akabvisa cimhete cake paruʋoko rwake, akaciisa paruʋoko rwaJosefa, akamufukidza ŋguʋo dzomuceka wakanakisa, akamushoŋgedza ciketani cendarama pamutsipa wake; 
GEN.41.43	akamufambisa neŋgoro yecipiri yaakaŋga anayo; ʋakaɗanidzira pamberi pake, ʋaciti: Fugamai! Akamuita muɓati wenyika yose yeEgipita. 
GEN.41.44	Farao akati kunaJosefa: Ndini Farao, asi kunze kwako hapanomunhu ucasimudza ruʋoko rwake kana rutsoka rwake panyika yose yeEgipita. 
GEN.41.45	Farao akatumidza Josefa zita rinonzi Zafanati‐panea; akamupa Asenati, mukunda waPotifera, muprista weOni, aʋe mukadzi wake. Josefa akaɓuɗa, akafamba nenyika yose yeEgipita. 
GEN.41.46	Ɀino Josefa wakaŋga anamakore makumi matatu, ŋguʋa yaakamira pamberi paFarao, mambo weEgipita. Josefa akaɓuɗa pamberi paFarao, akafamba, akapota nenyika yose yeEgipita. 
GEN.41.47	Nyika ikaɓereka ɀizhinji‐zhinji namakore manomŋe amaguta. 
GEN.41.48	Akaʋuŋganidza ɀokudya ɀose ɀamakore manomŋe, akaŋga ari’po panyika yeEgipita, akaʋiga ɀokudya mumaguta; ɀokudya ɀeminda yakaŋga yakapoteredza guta rimŋe nerimŋe, wakaɀiʋiga’mo. 
GEN.41.49	Josefa akaʋiga ɀiyo, ɀikaita sejeca reguŋgwa, ɀizhinji‐zhinji, kuȿikira akarega kuɀiʋereŋga; nokuti ɀakaŋga ɀisiŋgagoni kuʋereŋgwa. 
GEN.41.50	Ɀino gore renzara risati raȿika, Josefa wakaɓerekerwa ʋanakomana ʋaʋiri, ʋaakaɓerekerwa naAsenati, mukunda waPotifera, muprista weOni. 
GEN.41.51	Josefa akatumidza weɗaŋgwe zita rinonzi Manase, aciti: Nokuti Mŋari wakandikaŋganwisa kutambudzika kwaŋgu kwose, neimba yaɓaɓa ʋaŋgu yose. 
GEN.41.52	Zita rowecipiri wakaritumidza Efraimi, aciti: Nokuti Mŋari wakandiɓerekesa ʋana panyika yokutambudzika kwaŋgu. 
GEN.41.53	Ɀino makore manomŋe amaguta, akaŋga aʋa’po panyika yeEgipita, akapera. 
GEN.41.54	Makore manomŋe enzara akataŋga kuȿika, seɀakataura Josefa; nzara ikaʋa’po panyika dzose; asi panyika yose yeEgipita pakaŋga paneɀokudya. 
GEN.41.55	Ɀino ʋanhu ʋose ʋeEgipita ʋofa nenzara, ʋakacemera ɀokudya kunaFarao; Farao akati kunaʋose ʋeEgipita: Endai kunaJosefa; itai ɀaanotaura kwamuri. 
GEN.41.56	Nzara ikaʋa’po panyika dzose; Josefa akazarura matura ose, akateŋgesera ʋaEgipita; nokuti nzara yakaŋga yakanyanya panyika yeEgipita. 
GEN.41.57	Ʋanhu ʋenyika dzose ʋakaenda Egipita kunaJosefa kuzoteŋga ɀiyo; nokuti nzara yakaŋga yakanyanya panyika dzose.
GEN.42.1	Ɀino Jakobo wakaʋona kuti ɀiyo ɀiri’po muEgipita, Jakobo akati kuʋanakomana ʋake: Munotarirana neiko? 
GEN.42.2	Akati: Ndanzwa kuti ɀiyo ɀiri’po muEgipita; ɓurukirai’ko, mundotiteŋgera’ko, tipone, tirege kufa. 
GEN.42.3	Ipapo ʋakoma ʋaJosefa ʋanegumi ʋakaɓuruka kundoteŋga ɀiyo Egipita. 
GEN.42.4	Asi Benjamini, munuŋuna waJosefa, Jakobo haana‐kumutuma naʋakoma ʋake; nokuti wakati: Ɀimŋe uŋgawirwa nenjodzi. 
GEN.42.5	Ɀino ʋanakomana ʋaIsraeri ʋakaʋuya kuzoteŋga pakati paʋamŋe ʋaiʋuya, nokuti nzara yakaŋga iri’po panyika yeKanani. 
GEN.42.6	Ɀino Josefa wakaŋga ari muɓati wenyika; ndiye waiteŋgesera ʋanhu ʋose ʋenyika; ʋakoma ʋaJosefa ʋakaʋuya, ʋakamufugamira, ɀiso ɀaʋo ɀakatarira pasi. 
GEN.42.7	Josefa akaʋona ʋakoma ʋake, akaʋaziʋa, asi wakaita saasiŋgaʋaziʋi, akataura nehasha naʋo, akati kwaʋari: Mabvepiko — Iʋo ʋakati: Tabva kunyika yeKanani kuzoteŋga ɀokudya. 
GEN.42.8	Josefa akaziʋa ʋakoma ʋake, asi iʋo haʋana‐kumuziʋa. 
GEN.42.9	Ipapo Josefa akaraŋgarira kurota kwake kwaakaɗeya kurota pamsoro paʋo, akati kwaʋari: Muri ʋashori, maʋuya kuzoʋona kuti nyika yakashama papi. 
GEN.42.10	Iʋo ʋakati kwaari: Kwete, ishe weɗu, asi ʋaranda ʋenyu ʋaʋuya kuzoteŋga ɀokudya. 
GEN.42.11	Tiri ʋanakomana ʋomunhu mumŋe cete tose; tiri ʋanhu ʋakatendeka, ʋaranda ʋenyu haʋazi ʋashori; 
GEN.42.12	iye akati kwaʋari: Kwete, maʋuya kuzoʋona nyika kuti yakashama papi. 
GEN.42.13	Iʋo ʋakati: Isu ʋaranda ʋenyu, tiri ʋanakomana ʋanegumi naʋaʋiri ʋomunhu mumŋe cete panyika yeKanani; ɀino worugotwe uri kunaɓaɓa ʋeɗu nhasi; mumŋe haaci’po. 
GEN.42.14	Josefa akati kwaʋari: Ndiɀo ɀandandicitaura kwamuri, ndiciti, muri ʋashori; 
GEN.42.15	heci cinhu camucaidzwa naco: Noʋupenyu bgaFarao, hamuŋgaɓuɗi pano kana munuŋuna wenyu worugotwe asina‐kuʋuya pano. 
GEN.42.16	Tumai mumŋe wenyu kuti andotora munuŋuna wenyu, asi imi mucafanira kugara makasuŋgwa, kuti mashoko enyu aidzwe, kana makatendeka; kana ɀisina‐kuɗaro, ɀirokwaɀo, noʋupenyu bgaFarao muri ʋashori. 
GEN.42.17	Ipapo akaʋaisa pamŋe cete ʋose mutoroŋgo, kuti ʋaceŋgetwe mazuʋa matatu. 
GEN.42.18	Josefa akati kwaʋari nezuʋa retatu: Itai cinhu ici, mupone; ini ndinotya Mŋari; 
GEN.42.19	kana muri ʋanhu ʋakatendeka, mumŋe waʋanuŋuna ʋenyu ŋgaagare akasuŋgwa mutoroŋgo yenyu; asi imi endai makatakura ɀiyo kundopa mhuri dzenyu dzinenzara. 
GEN.42.20	Mugoʋuya nomunuŋuna wenyu worugotwe kwandiri; naiɀoɀo mashoko enyu acasimbiswa, murege kufa. Ʋakaita saiɀoɀo. 
GEN.42.21	Ʋakataurirana ʋaciti: Ɀirokwaɀo tinemhoȿa nokuɗa kwomunuŋuna weɗu, nokuti takaʋona kutambudzika kwomŋeya wake musi uya waakatinyeŋgetera, tikaramba kumuterera; naiɀoɀo tawirwa nokutambudzika uku. 
GEN.42.22	Ipapo Rubeni akapindura, akati: Handina‐kukuʋudzai here, ndiciti: Regai kutadzira mŋana, mukaramba kunditerera — Naiɀoɀo tarirai, ropa rake rotȿakwa. 
GEN.42.23	Ɀino ʋakaŋga ʋasiŋgaziʋi kuti Josefa unonzwisisa, nokuti kwaŋga kunomupinduri pakati paʋo. 
GEN.42.24	Ipapo Josefa akabva kwaʋari, akacema; akadzokera ɀe kwaʋari, akataura naʋo, akatora Simeoni pakati paʋo, akamusuŋga ʋaciɀiʋona. 
