MAT.1.1	Abraham tuti Devit tanii ing Jesu Khrista ahungsuwhnii thiimziihbur. 
LUK.10.41	Jesu ing abasang, “Martha, Martha, nanongtu inem khaenakhe nabarungriir sungna fhuwm bavae chiika ija ing omnachii; 
LUK.10.42	chang-vakonchu athurfhuw ing itufhuw yngkheh omna. Meri inge aningtanii irijoh rumahvachii isapakchu aateerpa.”
LUK.11.1	Nikhehna Jesu ing denkhehna athamsahpa, ama ing amanchen aanuwnache asebok yngkheh ing aningna ariir, “Aafhuw, Johon ing asebok aechu ithamnii amanchuw ae vaangche kening nakho ithamnii imanchuwsara.” 
LUK.11.2	Amana Jesu ing eningna ariir, “Nenuw ing nentham-sahrae jinge taruw:
LUK.11.2	Apa, naruming ynthiing ynsuwhrasii.
LUK.11.2	Naaruwngpaam thengrasii.
LUK.11.3	Anasiirna kensahfhuw thaemin ipisar;
LUK.11.4	Amanche kentaklina araar mee aechu kengkuhpeeh vaang,
LUK.11.4	kentaklina isii icher vakhaechu ikuhpeehsar.
LUK.11.4	Vokhehkho batheemnii tingche ibabuwsamahra.”
LUK.11.5	Amana Jesu ing eningna ariir, “Nenuw nengkaarna achuw yng-kheh ing aarang ningna jaenchim nache vaknaka, ‘Kaarang tar asae yn-thumpang imanfhuwhsara, 
LUK.11.6	kaarang yngkheh lamkhii tanii kaningna tungna, amachu aningna kapeehfhuw ynchii tangakho deenmahsing tataniika nariir raenche, 
LUK.11.7	sungna ong naarang inche imanjamahra, eengkhaar kakampa vokhehkho kasiti ae thoh jaarsung; ki ing hangsuw ningka pichehmah ningchii tavaate?’ 
LUK.11.8	Ki ing neningna atatak ing kariirnah, ama ing aarang rapkho hangsuw naka piningka tamah; changkhangnare vanuh vanuh aniihsah khaenache hangsuw naka aniih vakhaechu pivaata. 
LUK.11.9	Ki ing neningna kariirnah, Niihruw, neningna ipivaata; jongruw, tuwhva nenta; ichumruw, ibarangpeeh vaata. 
LUK.11.10	Akhaechuve aniihsah mee vakhae inche aphanah, amanche ajong mee vakhae inche atuwhnah vokhehkho aachum mee ningnache abarang peehnah. 
LUK.11.11	Chukhaenache nengkaarna asiti ing ampa ningna nga aniih tahna nga pivachii changdenna baruwr apeeh ynvae chuwkhang; 
LUK.11.12	vokhehkho aarlachii aniihtahna rungmanchiih piva takhang? 
LUK.11.13	Chukhaenache nenuw sakmahpak khangtanuwre, nensiti ae ningna chembe isa kikthuur ipinii nemanghuw vakhaka, thangbaenna ong nenpa inche aajaehmeh aniih mee ningnache ynthiing laethachu pivaate!”
LUK.11.14	Atii Jesu ing isamah umlae laetha ing chuwngka achong isuwhmahchu athurpeehpa; amana umlae inche taang asuwhnuw nache achong isuwh mahkha ichong achehpa; chukhaenache mee vakhaechu inempak ngiksae. 
LUK.11.15	Changlaenche mee topoh aenche umlae vakhae engaruung Beelzebul ruwreng ing umlae aechu athurcheh vatah ta aeka enriir.
LUK.11.17	Changvakonchu enuw ing emandenchu ama ing amanghuwtah nache eningna ariir, “Iruwngpaam chaap vakhae asungsah nache aruwr ynniimeh suwhnave imaangniichu suwhvaata; vokhehkho eengkuw yngkheh sungna ynlehmah omnave mee derna ongna. 
LUK.11.18	Amavaange umlae ingkho ensungsahna ynlehmah ae nave, ama iruwngpaamchu ynsaangkhe paarvaata? Akhaechuve Beelzebul ajaarna umlae ae athurvatah tachuwka nenuw ing nenriirnah. 
LUK.11.19	Ki ing Beelzebul ajaarnache umlae aechu kathur vanave, nenuw nensiti aencha achuw jaarna umlae aechu athurpae chang? Chukhaenache enuw ing nentaklina vajeer aafhuw ynsuwh vaatae. 
LUK.11.20	Changvakonchu Thangnang ruwreng ajaarna umlae aechu kathur vanave neningna Thangnang iruwngpaamchu ithengva.”
LUK.11.21	Chukhaenache ipirpak mee inche laar tuknii peehchae ing ynthongka a-eenchu aherung tahna adeen peehchae vakhaechu maangmahsa; 
LUK.11.22	changvakonchu achungna ipirseh mee inche vathengka achehpa, vokhehkho ama ing aangahsahnii laar tuknii peehchae chaapchu aachehpa inche siihka ensempa. 
LUK.11.23	Achuw yngkheh kithoh ynruwhakmah meechu ki eejeehniiva, amanche kithoh kengkhuum hakmah mee chuve aanseh mee chuva.
LUK.11.24	“Isamah laetha ing mee yngkheh tanii hungsuwhka ama ing chii omah paamting bavaeka aongnii ajongpa, changvakonchu ama ing aongniichu atuwhmah tahnache, ki ing ajae kaongnii een tingkhe hunganritah kata ichii amandenpa. 
LUK.11.25	Ama ing ahunganritah nache eensungchu ynriippeh ing vokhehkho isapak inche heom amupa. 
LUK.11.26	Chutahnache ama ing sika achungna inempak ichamah ae reentaang isamah laetha sarii aechu henruwka ongsae. Amanache amaensa nakha athideh ing sakmahsehsa.”
LUK.11.27	Jesu ing havi ariir raenche, mee changjaeh inem kaartanii rupanuw yngkheh ing ipirpak inche uungka Jesu ningna ariir, “Nangchu ynreen ven rupum vokhehkho naethen najeennii meechu bor aphava!” 
LUK.11.28	Changva-konchu Jesu ing ariir, “Amachu athiseh ing Thangnang chongzeerchu siinaka amanjii meechu inempak bor aphava!”
LUK.11.30	Akhaechuve Jona ing Nineva mee ae ningna buwtinnii ynsuwh vaangkhe, Mee Sapa inchenkho hava suwnthar khaene buwtinnii ynsuwh vaata. 
LUK.11.31	Iniisuwhtah paam tanii iruwngnuw ing vajeer inii nache ataraennii suwnthar mee ae thohne hangiirhak ae naka enuwchu manraar vaatae; akhaechuve laaruw paam adongnii lamrii tanii ing Solomon alosing ennii khaena itheng; changvakonchu enruw, havane Solomon chungna iruunghak yngkheh omna. 
LUK.11.32	Nineva mee aeng vajeer inii nache ataraennii suwnthar mee ae thohne hangiirhak ae naka manraar vaatae; akhaechuve Jona ing isa thamin atong tahna enuw ing embarungriir enghuungpa. Chukhaenache enruw, Jona chungna iruungseh yngkheh havane ogna.”
LUK.11.34	Namik inge hakchaang jaemi chuva; chukhae-nache namik barengchu chumnave, nahakchaang aangkheng rengchir vaata, changvakonchu namik barengchu chummah nave, nahakchaang chukho inempak manthim vaata. 
LUK.11.35	Chu-khaenache nahakchaang irengchu amanthim niimah inche ynriimla. 
LUK.11.36	Amanche nahakchaang aangkheng manthimrudeh ing isajaeh inche reng nave, jaemi ireng inche nataklina aen vaangkhe rengvaata.”
LUK.11.37	Jesu ing achong raenche Pharisi yngkheh inche Jesu chu imaarpohnii khaena athamsahpa; chukhaenache Jesu ing vakka isahnii nache vaongsa. 
LUK.11.38	Jesu ing amaarphana akik achaammahchu Pharisi inche amutah nache inempak ngiksa. 
LUK.11.39	Amana Jesu ing ariir, “Pharisi ae ataraene nenuw inchembe bukam jaekhi taangna nenga-taehpehnah, changvakonchu sungting chembe ynruw ynrep vokhehkho isamah ing sipnachuw. 
LUK.11.40	Ipang ae, taang taniichu Aafhuw ama ing ynseem peehrae sungtanii chukho ynseemmah vakhang? 
LUK.11.41	Nenbukam jaekhi sungna omkha sara naeriing ae ningnache piruw, amanche enruw, nengkhaenache aangkhenglaang manthiing vaata. 
LUK.11.42	Chukhaenache Pharisi ae nengkhaena ijaniisapa! Nenuw ing ipifhuw chaapchu sarup suumna yngkheh pichuwka amanche ichum re Thangnang ningsiih chuve nenbathennah; hava vakhae i nenuw tuva nenchiiting bukna, vokhehkho reentaang ae renkha bathen mahva nenchiiva. 
LUK.11.43	Pharisi ae nengkhaena ijaniisapa! Nenuw ing meekongnii sungna ongnii isaseh nache ong vokhehkho kithiirna mee aenche salaam yntu nengadiknah.” 
LUK.11.44	“Nengkhaena ijaniisapa! Nenuw i ymmuchehmah thaen thohche aanghak sachuw, ama taklinache mee ae ing manghuwmah aeka hungsi vasi entunah.”
LUK.11.45	Vajeer itu mee yngkheh inche Jesu ningna abasang, “Oja, hava chong i nariirtahna kenuw vakhaekho ningjak ympinahchii achii.”
LUK.11.46	Jesu ing aningna abasang, “Ne-nuw vajeer itusii nengkhaenakho ijaniisapa! Irik peeh chucha mee manreen chuwka, nentak incha nengkikchar rap ingkho parnungka tamahchuw. 
LUK.11.47	Nengkhaena ijaniisapa! Amachuve nenpa aeng entheh jaephar ae thaenchu nenuw ing nentunah. 
LUK.11.48	Chukhaenache nenuw ing asaarkhii ngiirnachuw vokhehkho nenpa aeng entu nongchu nenuw ing nenrusa, akhaechuve entakrap ing jaephar aechu enthehpa amanche nenuw ing enthaenchu nenseemnah. 
LUK.11.49	Havi khaene Thangnang losing inche ariirsa, ‘ki ing neningna kajaephar aere kachongthang ae jebathenva kata, changlaenche enuw ing topoh ae chuve thehvaatae vokhehkho manang vaatae.’ 
LUK.11.50	Thiimkung re ynthiing min ruwrakna Abel sii ynta na ing Zakharia sii ynta phanii ing, 
LUK.11.51	laaruw paam abasenpeh raennii ing jaephar ae enthehkha, ataraennii mee ae ningne vajeer itupham suwhna. 
LUK.11.52	Vajeer ituae nengkhaena ijaniisapa! Nenuw ing ising iveernii een kamnii longtingchu chither chuwka nentak rapkho varuwhmah sachuw, vokhehkho varuwh saningka achii mee ae chukho manruwh chehmah sachuw!”
LUK.11.53	Jesu ing ama denchu bathenka asitah nache thiimthang aere Pharisi ae ing Jesu achongriir nache isuwrnii khaena chuwm aeka, 
LUK.11.54	Jesu chu ithipak ing jeehnii aeka vokhehkho emenchehnii ing reentaang chong aajaeh isii embasenpa.
LUK.12.2	Yng-khumjaeh naka yndangmah vachii yntanga omah, amanche ynghuwmah vachii ynruwh yntangakho omahnii. 
LUK.12.3	Chukhaenache nenuw ing ynthim sungna ynruwh ing nenriir chaapkha ireng nache siivataruw; vokhehkho arakiing yngkhehna nenganana nenriir chongkha een chungting ynthang vaata.”
LUK.12.4	“Kaarang ae neningna ki ing kariirnah, hakchaang thehcheh naka, aanuwting ynchiikho amanruchehmah ae enuwchu chiimah aeruw. 
LUK.12.5	Changva-konchu nenuw ing achuwchu chiiva nenchiiva ichiichu neningna ki ing riirpeeh kachuw: Yntheh aanuwting longkong ting ynrencheh ruwreng adeenchu nenuw ing chiiruw; ki ing ichumchu neningna kariirva, atakchu chiiruw!”
LUK.12.6	“Vasak runga pesa ynniimehna nenjuwrmah vakhang? Thangnang mik barengna vasak aechu yngkheh pangkho inghir omahnii. 
LUK.12.7	Nenrusaena sambur khakho ateenchir vasahva. Nenuw ynchik mahruw; nenuwve vasak ae ithi ing nemen inemva!”
LUK.12.8	“Ki ing neningna kariirnah, mee vakhae maekungna kichu ynru meechu Mee Sapa inche Thangnang vaarmee ae maekungna ruvaata; 
LUK.12.9	amanche mee ae maekungna ynrumah mee vakhae chuve Thangnang vaarmee ae maekung nakho rumah aening.”
LUK.12.12	changlaenche ynthiing laetha ing ynchii riirva nente ichiichu imanchuw vaata.”
LUK.12.13	Mee inempak kaarnache mee yngkheh inche Jesu ningna ariir, “Oja, ki ing iphapham isuwh lerchiichu isemnii khaena kaipa ningna iriirpeehra.”
LUK.12.14	Jesu ing aningna ariir, “Kaarang, achuw ing kichu nentaklina vajeernii vokhehkho isemnii khaena pham ithinkhang?” 
LUK.12.15	Jesu ing eningna ariir, “Ynriimruw, amanche ymphaam vakhae ae tanii nentaksah yncheer saruw; laaruw mee iringniichu lerchii inem adeen nachenpang omahva.”
LUK.12.16	Aanuwnache Jesu ing eningna ynghuwnii thamin yngkheh atong: “Achuw yngkheh savangpak mee inche apaamsah nache inempak lerchii amanla pohpa; 
LUK.12.17	amana abarungriirna ama ing amanden, ‘Lerchii isahfhuw kadeenpoh havi asiihnii apham omahsa. Ki ing ynchii tukate?’ 
LUK.12.18	Havi ki ing tukata taka ataksahna ynriir, ‘Kaatom havi isehchir ningka, havi chungna iruunghak yngkheh tukata; amanche asung nache kasaang kabaar vokhehkho kapeehchae vakhae thinpoh kata. 
LUK.12.19	Amanche ki ing kalaetha ningna riirkata, kalaetha, kum aajaeh isahfhuw khaena lerchii nasiihpa; ongjaeh nana sara inla vokhehkho nungaesara!’ 
LUK.12.20	Changvakonchu Thangnang ing aningna ariir, ‘Ipang nang! Atanii jaen nalaetha ringkum jeriva kata; changlae nalerchii chaapkha achuwta ynsuwh vaate?’ ”
LUK.12.21	Chukhaenache achuw yngkheh ing ataksah khaenapang lerchii amanghuwng meechu Thangnang maana savangmah.
LUK.12.22	Jesu ing asebok ae ningna ajeer, “Chukhaenache ki ing neningna kariirnah, nenringnii khaena nenuw ing ynchii savakente vokhehkho hakchaang khaena ynchii peendiir niivakente tanuwna nenbarungriir manjamahruw. 
LUK.12.23	Isahfhuw chungna ringkum ing vokhehkho peendiir chungna hakchaang ing athurfhuw-sehna. 
LUK.12.24	Phaenva vaak ae i enruw: Enuw ing ivorkho vormah ae, ikuumkho kuummah ae, amanche enuw ing itomkho, pangkho deenmah ae, changvakonchu Thangnang ing enven amamva peehsae. Chukhae-nache vaati ae thoh chembe nenuw nemen aajaehmeh ruwne! 
LUK.12.25	Nenuw achuw yngkheh ing havi khaene abarungriir jaka aringkum khaapkheh amanthicheh omkhang? 
LUK.12.26	Chukhaenache aasiingseh rapkho nenuw ing tuchehmah tanuwve, ynchii khaena reentaang reentaang khaena nenbarungriir nemanjava? 
LUK.12.27	Riibur aeng ynsaangkhe ihangruungpae ichii mandenruw, nongkho tumah ae, itaarkho taarmah ae; chukhaenache ki ing neningna kariirnah, Solomon rap ingkho lerchii aajaeh adeen ingkhe enuw vaange ynthongmah. 
LUK.12.28	Atanii lampana om fuwrchu atuknuw mi sungting ynthuvachii rapkho Thangnang ing hangjaehmeh aning mansiih nave, O thacha ivaeh ae! Aafhuw ing nenuwchu athiseh ing eerommah niikhang?”
LUK.12.29	“Chukhaenache nenuw ing ynchii savakente, vokhehkho ynchii invakente tanuwna jongmahruw, vokhehkho nenbarungriir manjamah-ruw. 
LUK.12.30	Akhaechuve laaruw paamna Thangnang yndenmah mee chaap ing hava vakhae i enjongnah; amanche peeh vakhae i neningna ikaniina ichii nenpa ing amanghuwsa. 
LUK.12.31	Chukhaenache amaensana Thang-nang iruwngpaamchu jongruw, amana hava vakhae i neningna ipivaata.”
LUK.12.32	“Ynchik mahruw, isiing jao ruwr ae, neningna Thangnang ing iruwng-paam ipeehchu abarungriir ipenva. 
LUK.12.33	Nenuw ing nendeen vakhaekha juwrnuwna amenchu sara naeriing ae ningna piaeruw; jungbaruw mahdeh vachii seerthuungchu nengkhaena seemruw; akhaechuve lamruw aeng enganeeng chehmah vokhehkho rungi ing asah chehmah, thangbaenna om lerchii chuve imaang omahva. 
LUK.12.34	Akhaechuve nenlerchii aomniitah nache nenbarungriir chukho omvaata.”
LUK.12.36	Aafhuw ing rakhiinii kuurva imaar tanii hunganri naka eengkhaarchu arakhuung raenche ithupak ing imongva nenchii meechu nenuw ynsuwhruw. 
LUK.12.37	Aafhuw ing ajuwnglae meenae aenche hemeng ae naka enghahcheh ajenpha mee aechu bor aphapae; ki ing neningna atatak ing kariirva, Aafhuw inche endiirriim manehther naka vokhehkho isahnii khaena mangong ae naka emaarnii khaena rukuum tupeeh vaatae. 
LUK.12.38	Amana Jesu ing avomaniinii apha, avomanthumnii apha nache ajungthenglae husaar ahentu ajenpha mee aechu bor aphapae! 
LUK.12.39	Nenuw ing havi manghuwruw, amachuve een aafhuw inche ynchii apha nache lamruwchu thengva chiiva ichiichu manghuw nave ama ing hehah naka a-een sungtingche ruwhmah vachiiva. 
LUK.12.40	Chukhaenache nenuwkho husaar hetunuwna heongruw; nenuw ing nemandenmah siisii apha nache Mee Sapa inche jungtheng vaata.”
LUK.12.41	Pitar ing ariir, “Aafhuw, havana ynghuwnii thamin i kengkhae napangva changmahka mee aangkheng khaenakho nariirva?”
LUK.12.42	Jesu ing ariir, “Chunuwcha apha ichachakna eningna isahfhuw thaemin enrutumchu ipinii khaenache Aafhuw ing eensung nache paaniivachii thachafhuw om iveer rukuum itu meechu achuw vachiiva chang? 
LUK.12.43	Aafhuw inche ajungthenglae havi vaange ahetu ajenpha meenae chuve bor aphava. 
LUK.12.44	Ki ing neningna atatak ing kariirva, aafhuw inche adeensah lerchii vakhaechu aningna mansir vaata. 
LUK.12.45	Changvakonchu meenae inche ataksah ing tanaka, ki kaafhuw juwngvachiichu abarungriir nache yntuksa tanaka meenae pasar aechu vokhehkho meenae rupanuw aechu ibin basen naka, ama ing sanaka innaka, meenae inche asuwh ae pasar rupanuw aechu safhuw infhuw naka vokhehkho juw hebaruw nave, 
LUK.12.46	ama ing amandenmah riri inii vokhehkho amanghuwmah apha nache Aafhuw inche juwngvaata, changlaenche ahakchaangchu mongnii basuw naka tenvaata; amana thachafhuwmah ae thohche iphafhuw phahak vaata.”
LUK.12.47	“Aafhuw ing amandenchu manghuw naka husaar atumah vokhehkho Aafhuw ing aadik inuwzii ing ahetumah meenae chuve rumor abuw inae ing binvaata. 
LUK.12.48	Changvakonchu Aafhuw ing amandenchu manghuwmah naka ibin matik icha nong atu meenaechu rumorbuw topoh inae ing binvaata, vokhehkho inem apeeh mee ningnache inem phakata tavaata; amanche inemhak apeeh mee ningnache inemhak niihvaata.”
LUK.12.49	“Laaruw paamne mi bathunii khaena ki juwngsing, amanche michu ataraene chuwhnave ki ing kaadikchu ynchiiva? 
LUK.12.50	Ki ing baptais iraangva kachii omna; amachu achimahri raen-taang aajaehmeh kaningna ijaniiva! 
LUK.12.51	Laaruw paamne idae ipeeh ijuwngva ichii ing nemandenva? Ki ing neningna kariirnah, changmahva asiksik suwhnii sehseh khaenava. 
LUK.12.52	chukhaenache atarae basen naka eengkuw sungna mee runga ongnii nakhe ynniimeh re ynthum, ynthum re ynniimeh suwhvaata. 
LUK.12.53	Ampa re asapa, amanche asapa re ampa, vokhehkho amnuw re asanuw, amanche asanuw re amnuw, vokhehkho ampuw re ameenuw, amanche ameenuw re ampuw thoh asiksik suwhnii khaenava.”
LUK.12.54	Amana Jesu ing mee changjaeh inem ae ningnache ariir, “Nenuw ing iniisuwhtah tanii ruwrduh hungsuwh nemutahna, nenuw ing nenriirnah, khuw suwrvaata nenchiichu ichum. 
LUK.12.55	Amanche Irip tanii sii hanglaang nave nenuw ing nenriirnah, inii inem-pak basak vaata tachuwka nenriir chumna. 
LUK.12.56	Isachaang atu mee ae! Nenuw ing laaruw vokhehkho minvaen alaar enchuwka suwhva chiichu nenriir chehsa, changvakonchu ynchii khaena ataraennii aphachu nemanghuwcheh mahva?”
LUK.12.57	“Ynchii khaena ichum tunii khaenache nataksah vajeer yntumah vachii? 
LUK.12.58	Nangchu ynrumah mee thohche vaapa ngiirniiting navak raenche, amathoh aanrunii tura. Changmahnave ama ing vajeer itumee ningting iruwnaka, vajeer itumee inche natakchu aaruung ningting imansir vaata, amanche aaruung inche natakchu kaeshum tingche ithin vaata. 
LUK.12.59	Ki ing naningna kariirnah, nang ing akuurchiimnii seerchu napeehmahri raentaang hungsuwh rumahnii.”
LUK.13.1	Apha ichiinache Galili mee ae ing Thangnang ting ipeehfhuw chaatha chaap empeeh raenche, Pilaat ing atheh aechu Jesu ningna chong abajen mee topoh omsae. 
LUK.13.2	Amana Jesu ing eningna abasang, “Galili mee aechu changche ichii ing entheh khaenache, Galili mee ae kaartanii enuw inche isii icher sehpae ichii ing nemandenva? 
LUK.13.3	Ki ing neningna kariirnah, changchen mahva; nenuw ing nenbarungriir huungmah tanga tanuwka, nenuwkho enuw vaange maangchir vanenta. 
LUK.13.4	Changpang mahka Shilom na om yngkaangpak een inche atiihrae mee suum arii iriih derka ithii aenche Jerusalem sungna ong mee vakhae chungna isamah sehpae ichii ing nemandenva? 
LUK.13.5	Ki ing neningna kariirnah, Changchen mahva; nenuw ing nenbarungriir huungmah tanga tanuwka, nenuwkho enuw vaange nengkheng maangchir vanenta.”
LUK.13.6	Jesu ing ynghuwnii thamin havi ariir: “Achuw yngkheh mee ing ingkhon sungna thachang bur yngkheh aphin; nikheh nache ama ing aanla ajongtah nache ynlamahsa. 
LUK.13.7	Chutah-nache ama ing ingkhon khaenache aapaanii ningnache ariir, ‘Enla, kumthum sungna ki ing thachang bur havi aanla kajong tuwhmahsing. Fuwrtahra; havi inge ruwruwchu ikaniimah ing amangom i ynchii ikanii omkhang?’ 
LUK.13.8	Ingkhon aapanii inche aningna abasang, ‘Aafhuw, atiikum pangve omtahrasii, ki ing akuur manriningka chuwkata vokhehkho ruwruw mansakpheh katae. 
LUK.13.9	Ama inuwnache basen naka hunganla nave saksa; changvakonchu ynlamah nave changlaenche fuwrtah vaanta.’ ”
LUK.13.10	Jesu ing meekongnii yngkhehna isa thamin Deennii inii nache atong. 
LUK.13.11	Amanache enruw, kumsuum arii iriih sungna akuung puumka ina ynjik achehmah rupanuw yngkheh om. 
LUK.13.12	Jesu ing amachu amutah nache eenka aningna ariir, “Rupanuw, ina chiikha damsachii.” 
LUK.13.13	Amana Jesu ing ataklina akik ing avepartah nache akuung ipuum ynjik achehmahchu damsa, vokhehkho ama ing Thangnang chu amanpahsah.
LUK.13.14	Changvakonchu meekongnii aapanii inche Jesu ing Deennii iniina amandam tahnache abarung sikka ama ing mee ae ningnache ariir, “Mee ing inii niruk sungna nong tunii omna; chukhaenache inii niruk sungnache ina vakhaechu mandamnii khaenache thengruw, Deennii iniine thengmahruw.” 
LUK.13.15	Jesu ing abasang, isachaang itu ae! Nenuw nengkheng ing Deennii iniina nensiir nendaar nenphuwpchu bajoh chuwka taangting chii nenpeehmah vakhang? 
LUK.13.16	Abraham sanuw havi enruw, kumsuum arii iriih chakna umlae ing suwrka om havicha Deennii iniina ynjohpham suwhmah khang? 
LUK.13.17	Amana hava chong vakhae i riirka, Jesu atak ajeehnii vakhae mee aechu ningjak apeehpae; amanche Jesu ing hangjaehmeh isapak nong atu vakhae khaene mee changjaeh aenche enrotha irohsah.
LUK.13.18	Chukhaenache Jesu ing ariir, “Thangnang iruwngpaamchu ynchiithoh aanghakne? Vokhehkho ynchii thohche mandeeng vaanchiiva? 
LUK.13.19	Havi chuve mee yngkheh ing encham muwchu chika aruwraena avorthoh aanghakna; amana aburchu hangmuwngka thingbur vaangche hungruungsa, vokhehkho abah taklinache vaati aeng enrabuw enghuwnah.” 
LUK.13.20	Athar vokheh Jesu ing ariir, “Thangnang iruwngpaamchu ynchiithoh mandeeng kate? 
LUK.13.21	Amachuve rupanuw yngkheh ing jaam chika amana chor thohche manvaeka ahangpuur mahri raen-taangche asiith thoh aanghakna.”
LUK.13.22	Havi aanuwdehna Jerusalem yntongting vasivachii nache, Jesu ing khuwruung chaapna vokhehkho akhuw siirna isa thamin tongka ivasi. 
LUK.13.23	Changlaenche mee yngkheh ing Jesu ningna ariir, “Aafhuw, ikarpeeh phava enchii mee aechu topoh pangti vachiiva?” 
LUK.13.24	Jesu ing eningna abasang, “Eenkhaar ymbik nache ivaruwhchehnii khaena karkhiingruw; neningna kariirnah, mee inempak ing amanache ivaruwhnii tuvaatae changvakonchu chehmahnii ae. 
LUK.13.25	Eensung aafhuw inche hangiir naka eenkhaar akam-pang aanuwnache nenuw ing taangna ngiir tanuwka, vokhehkho eenkhaar-chu ichum tanuwka, Aafhuw, Aafhuw, ibarangpeehra tavanenta. Apha ichiinache ama ing nenuw utanii vachuw ki manghuwmah chuwng tanaka ibasang vaata. 
LUK.13.26	Chang-laenche nenuw ing ichong basenva nenta, ‘Kenuw ing nang thoh kensah kenginhak, vokhehkho keng khuwruung nache ymmanchuwchii.’ 
LUK.13.27	Changvakonchu ama ing tavaata, ‘Ki ing neningna kariirnah, nenuw utanii vachuw ki manghuwmah chuwng; kaningtanii ongmahruw, ichuwhmah nong itu vakhae ae!’ 
LUK.13.28	Nenuw ing Abraham, Isak, Jakop, vokhehkho Thangnang jaephar vakhae aenche Thangnang iruwngpaamna ong aechu nemuraenche, nenuw chuve taangting iren naka ama mapham nache nengha iriir tanuwka ijachaam, ichap ichuw phava nenta. 
LUK.13.29	Amana mee aenche iniisuwh tanii, taetah tanii, ikang, irip tanii theng ae naka Thangnang iruwngpaam ongnii nache ongvaatae. 
LUK.13.30	Chukhaenache enruw, maensa inche ningkuur vaata amanche ningkuur inche maensa vaata.”
LUK.13.31	Changlaen siimche achuw yngkheh Pharisi aenche vatheng aeka Jesu ningna enriir, “Hava mapham i bathen nana apham yngkheh ting sira; Herot ing nangchu thehningka ynchiinah.” 
LUK.13.32	Amana Jesu ing eningna abasang, “Nenuw ing vaknuwna imi ningnakhe riirruw, ‘Amachuve enruw, atanii re atuknuwkho umlae aechu thurva katae, amanche ina ae chukho mandamva katae, amanche inii animanthumnii nache kanongchu manchichir vakata.’ 
LUK.13.33	Changkhang nare ataniikho, atuknuwkho, amanche thiim nakho ki siva kachiiting bukna; akhaechuve Jerusalem taangna Thangnang jaephar ing ithiichu sakmahnii.”
LUK.13.34	“O Jerusalem, Jerusalem, Thang-nang jaephar aechu thehchiika, vokhehkho rung ing nadeeng ae nang, aar afhuw ing atichu abatha ing aop vaangkhe vajaehmeh nasiti aechu opsa ae ningka kachii, changvakonchu nenuw ing irupeeh mahchuw! 
LUK.13.35	Chu-khaenache enruw, nenta rumniieen havi aruwh ing kamahpa. Ki ing neningna kajeernah, nenuw ing Aafhuw rumingna ijungtheng atak i aajaehmeh bor aphava tatanuwka nenriirmahri raentaang imumah tanuw!”
LUK.14.1	Deennii nikheh nache Jesu ing Pharisi ae upa yngkheh een sungna imaarnii khaena athengtah nache; mee aenche Jesu chu eman-chuwmpa. 
LUK.14.2	Amana enruw, akik akhi iturpoh ina mee yngkheh heongsa, 
LUK.14.3	amana Jesu ing vajeer itumee aere Pharisi ae ningna chong asii ae, “Deennii iniine ina mee yndam aruva arumahva?” 
LUK.14.4	Changvakonchu enuw emfhuw mandae aeka ongsae. Amana Jesu ing inachu jebachuwka amandampa vokhehkho amangkaepa.
LUK.14.6	Enuw ing achongchu basangcheh mahsae.
LUK.14.7	Mee vakhae aenche isaseh ongnii engateer Jesu ing amutah nache ynghuwnii thamin ing eningna ariir, 
LUK.14.8	“Achuw mee yngkheh ing rakhiinii imaarna yngeen raenche, nenuw ing ynjasuwhpak ongnii isaseh nache ongmahruw, achuw ing ymmanghuwsa, nenchungna iruunghak mee ithengnii khaena eennaka ithengkho arusa; 
LUK.14.9	vokhehkho ama ing nangkho amakho yngeen aafhuw inche naningna huungnaka ongniikha hava mee inge ongnii rasiing tanaka iriirkho arusa, changlaenche naning ynjakthoh ynruw ing tuknungdeh tingche ong phavaanta. 
LUK.14.10	Chukhaenache mee ing yngeenlae vatheng nana akuur yntongdeh ongniiting ongla; amana chembe nangchu yngeen mee inche huungnaka naning nache, ‘O kaarang huungla, chungna ongnii isaseh tingse ihungongpeehra ita vaata.’ Amanache nangthoh onghak mee vakhae maekung nache nang ing ympahsah phavaanta. 
LUK.14.11	Akhaechuve ataksah ing iruungping achii meechu ynjuursa vaata amanche ynjuursah mee inche ruungseh vaata.”
LUK.14.12	Aanuwnache Jesu chu a-een mee ningna chenkho ama ing ariir, “Nang ing ziingna vakhang nakho, khurina vakhang nakho, imaarnii khaena naarang ae, nauw nanae, na-eengkuw ynsuwh ae, changmahka naveenchaang ae, vokhehkho savang fhuwraang aechu eenmah aera, achuw ing ymmanghuwsa, enuw ingkho nangchu yngeenreeh aekho arusa. 
LUK.14.13	Chukhae-nache mee maarfhuw kata nachii raenche sara naeriing ae, yntuursah mee ae, khibong ae, mikchu ae, enuw vakhae i eensa aera; 
LUK.14.14	amanache nang ing borchu phapeh vaanta, akhaechuve enuw ing naningna ithungcheh mahnii ae. Ynthiing mee aenche ithii tanii enghangring raenche Thangnang ing ipisa vaata.”
LUK.14.15	Jesu thoh imaarpoh ae engkaarna mee yngkheh ing Jesu achongriirchu asiitah nache aningna ariir, “Thangnang iruwngpaamna tar isah phava chiichu alaepah sakna!” 
LUK.14.16	Amana Jesu ing manghuwcheh niivachii ynghuwnii thamin inche ariir, “Achuw yngkheh mee ing iruungpak ing imaarnii khaena mee inempak a-eenpa; 
