RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
MAT.24.46	Ini varika amiye yaku dairisi baku rego mina vegu regasa amebigori, bi mina moimai rei tavoi redo amiye bi ada iniye rego! 
MAT.24.47	Rama ya nida, bi vava mago, dada ini beika baika tau nari rego. 
MAT.24.48	Idu mina moimai rei tavoi redo amiye no bi iniye rofu mokesi nigo, ‘Nai varika amiye bi ari dobari dairigo.’ 
MAT.24.49	Kamini ini moimai rei tavoi rededi vene ugi kora resi iruku irigasa koru gira tau gade irina venesa moiga amebigori 
MAT.24.50	ini mokena de redo ariri ma meda nemoko ina toto, ini varika amiye dairisi 
MAT.24.51	mina moimai rei tavoi redo amiye di roaita bado bado nugasi
MAT.25.1	“Kamini Sei di ourefeidena amena sana omari bi rema ofi 10 kaere bi ini keroko moisi rema mego amiye baku regika neyadi mina kana.
MAT.25.2	Ye 5 bi mokena keika rema, ma 5 bi mokena tora rema. 
MAT.25.3	Adina mokena keika rema ini keroko moiyadiri, bi diga yokoi inasa de moiyadi, 
MAT.25.4	idu mokena tora rema bi ini keroko diga siuasa moiyadi. 
MAT.25.5	Ye rema mego amiye bi evade de baeyo dada, ina tau vakoi ne ota resi vareyadi.
MAT.25.6	“Urusa tobou niyori, amiye yokoi raka niyo, ‘Rema mego amiye bi mini! Ina baku regika defa!’ 
MAT.25.7	Kamini rema vene dadisi ini keroko dogo reyadi. 
MAT.25.8	Idu ada de rema yaku mokena tora rema rofu niyadi, ‘Yi diga be una mafa, uni keroko bi vai tutumui didedi dada.’ 
MAT.25.9	Idu mokena tora rema nikabai resi niyadi, ‘Ide, yasa rau rena egere de, ye ya bi sero rededi vene rofu disi voi refa.’ 
MAT.25.10	Kamini diga voi regi diyadi, usi, rema mego amiye okiyo. Ye mina dogo reyadi rema yaku inasa mena irakuna yavari dui reyadi ma ida biri riyadi.
MAT.25.11	“Mina usi mokena keika rema vene ka baesi niyadi, ‘Varika amiye, ida vena una rofu moi eke!’
MAT.25.12	Idu nikabai resi niyo, ‘Rama ya nida, na na toto ya.’
MAT.25.13	“Mina dada nari refa, adina ya ya toto mina meda o mina meda nemoko
MAT.25.14	“Adina Sei di ourefeidena amena sana omari bi amiye yokoi yava ika oto dina kana, kaere bi ini moimai rei tavoi rededi vene raka nisi ini gugura nari regika maro. 
MAT.25.15	Yokoi bi 
MAT.25.16	Amiye kaere yaku 5 moiyo bi besa tau niyaine sanari aeyo, ye 5 dudusa moiyo. 
MAT.25.17	Ma amiye kaere remanu moiyo ka ouresi amiye yaku reyo kana resi remanu fafau moiyo. 
MAT.25.18	Idu amiye kaere yokoi maka moiyo bi moi desi kono goesi ini varika amiye di fore sui rigika guri aeyo.
MAT.25.19	“Ari doba tora niyori, mina moimai rei tavoi rededi vene di varika amiye okisi ini fore moiyadi mina moi rorobo rigi reyo kana. 
MAT.25.20	Ye 
MAT.25.21	Ma niyo, ‘Rei mona reyo; ya bi nai vana rama moimai rei tavoi reisa amiye buni! Beika keika ya maraka bi nari rei mona reyo dada, beika tau nari reyainedi ya magida. Baesi yi varika amiyesa ada regasa amebi!’
MAT.25.22	“Ma remanu moiyo amiye ka baesi niyo, ‘Varika amiye, ya yaku remanu na maro; bi dudusa remanu riyaka mini.’ 
MAT.25.23	Ma niyo, ‘Rei mona reyo; ya bi nai vana rama rena moimai rei tavoi reisa amiye buni! Beika keika ya maraka bi nari rei mona reyo mini; na yaku beika tau ourefeideyainedi ya magida. Baesi yi varika amiyesa ada regasa amebi!’
MAT.25.24	“Mina usi yokoi maka moiyo amiye ka baesi niyo, ‘Varika amiye, na na diba ya bi amiye gira; varina de reyo sanari goe goe reisa ma yo makuna de reyo mina iruku butu reisa. 
MAT.25.25	Mina ori resi moi desi kono goesi sui rigika guri aeyaka. Ye yi bi yomini.’
MAT.25.26	“Idu nikabai resi niyo, ‘Ya bi amei tavoi resi moimai rei tavoi reisa amiye no! Ye ya diba niyo na bi varina de reyaka sanari goe goe reida ma yo makuna de reyaka mina iruku butu rida. 
MAT.25.27	Makai bi, nai fore bi banika vene di vanari moi aeyagadu ma na dairi baeyagaduri, bi dudusa bae moiyagadu, banika yaku fore keika fafau aeyagadu minasa. 
MAT.25.28	Mina dada ini 
MAT.25.29	Adina kaere ini beika baika nufa bi besa tau gade moi tanu mago. Idu kaere ina bi de iniye iniye nufa, ka ina rofu keika iniye amedo bi moi dairigo.
MAT.25.30	Ye mina amei tavoi rena moimai rei tavoi redo amiye bi etofaro mukunari maku nefo; mironari bi isaka nina ma gade giko nina sana.’
MAT.25.31	“Ma Amiye di mida ini naivo naivo vima
MAT.25.32	Gagani gagani vene tau bi ini budari moi egogo regedi, ma ina yaku mina amiye moi berou berou aego, mamoe dogo amiye yaku mamoe ma gouti redo kana. 
MAT.25.33	Ye mamoe ini vana rama rofu aego ma gouti ini vana enana rofu. 
MAT.25.34	Mina usi Kini yaku ini vana rama vene rofu nigo, ‘Baefa, nai Baba yaku buni tora gade ya vene ya maro; Sei di ourefeidena amena sana di gugura moifa, goina bi oma ma kono rigamori ya dogo reyo. 
MAT.25.35	Ini adina rauna reyakari, iruku na maro ma iriyaka, koru vaiyakari, koru na maro ma iriyaka; okina amiye kana okiyakari, na moi dui reyo, 
MAT.25.36	faisara niyakari, varuka na maro; gauka reyakari, na egoru reyo, diburari ameyakari, baesi na veyo.’
MAT.25.37	“Kamini mokena rorobo vene yaku nikabai resi nigedi, ‘Varika amiye, goivaka rauna reyo ma ya vesi iruku ya marafa, o koru vaiyo ma koru ya marafa? 
MAT.25.38	Goivaka okina amiye kana okiyo ma ya vesi moi dui reyafa, o faisara niyo ma varuka ya marafa? 
MAT.25.39	Ma goivaka gauka reyo ma ya veyafa o dibura ameyo ma ya vegi dui reyafa?’ 
MAT.25.40	Ye Kini yaku nikabai rego, ‘Rama iniye ya nida, nai usika ourena yokoi roka de amiye rofu reyadi kana, ya bi na rofu reyadi mini!’
MAT.25.41	“Mina usi ini vana enana vene rofu nigo, ‘Na rofu etagae rifa, ya kaere Sei bi nikiraini reyo; Bodaka ma ini naivo naivo vima rofu dogo reyo di toga toga vaido ita mokari nefa! 
MAT.25.42	Ini adina rauna reyakari, iruku be de na maradi, koru vaiyakari, koru be de na maradi; 
MAT.25.43	okina amiye kana okiyakari, de na moi dui reyadi, faisara niyakari, varuka be de na maradi; gaukari ma diburari ameyakari, de na egoru reyadi.’
MAT.25.44	“Kamini ina vene ka nikabai resi nigedi, ‘Varika amiye, goivaka rauna reyo, o koru vaiyo, o okina amiye kana, o faisara niyo, o gauka, o diburari ameyo ma vesi de ya moi aedeyafa?’ 
MAT.25.45	Ma nikabai rego, ‘Rama iniye ya nida, nai usika ourena yokoi roka de amiye rofu de reyadi kana, ya bi na rofu de reyadi.’ 
MAT.25.46	Ye mina vene toga toga esika esika moina sanari digedi, idu mokena rorobo vene bi toga toga ameibobina vegu di sanari digedi.”
MAT.26.1	Iesu mina sina tau ni vau reyori, ini usi dina vene rofu niyo, 
MAT.26.2	“Ya ya diba meda remanu usi bi Ferei ebu rena irakuna vata nigo, ma Amiye di mida bi satauro ikoko regedi vene di vanari aegedi.”
MAT.26.3	Kamini Sei ma amiye utari naivo vene di varika vene
MAT.26.4	Ma Iesu sui dudu moi gira resi umuyegika di sina iniye iniye nidodi resi 
MAT.26.5	niyadi, “Idu mina irakuna fuofuori bi de regifa, adina bi amiye siboroka regedi baebu.”
MAT.26.6	Ma Iesu bi Bethany ri sena refera nufa amiye roka Simon di yavari amegamori, 
MAT.26.7	rema yokoi fore roka 
MAT.26.8	Idu ini usi dina vene mina vegasa gubuyo resi niyadi, “Beika resi mina maku tavoi reyo? 
MAT.26.9	Ini adina bi fore tora dudu voi resi fore bi irava vene maragadu!”
MAT.26.10	Idu Iesu bi beika nidedi veifateyo, dada niyo, “Beika resi mina rema rofu toe madedi? Adina na rofu vegu buni vayavaya reyo. 
MAT.26.11	Adina irava vene bi yasa toga ameibobigedi, idu na bi toga yasa de ameibobigida.
MAT.26.12	Ina yaku diga di sisika buni nai roaitari erausi reyo, bi na guri aegedi dada na dogo reyo. 
MAT.26.13	Rama ya nida, kono tora noibanuri, bi mina ago buni nirausi regediri, ka mina rema yaku ini beika reyo mina oteimagedi, ina ka mokeyagane.”
MAT.26.14	Mina usi ini usi dina vene 12 yokoi—ini roka bi Judas Iscariot—Sei ma amiye utari naivo vene di varika vene rofu bosi 
MAT.26.15	nikaiteyo, “Iesu yi vanari aegida vonisi, bi beika na magedi?” Fore siriva 30 duaiya resi maradi.
MAT.26.16	Ye minari maka Judas gokai siri rego di ida maina regi kora reyo.
MAT.26.17	Ye ouresi medari Beredi yeast de di irakunari, Iesu di usi dina vene yaku okisi nikaiteyadi, “Yi ura bi goina sanari Ferei ebu rena irakuna di iruku ya rofu dogo regifa?”
MAT.26.18	Ma nikabai reyo, “Taoni ideri bosi mironari amiye yokoi oteimafo, ‘Oteimana amiye yaku niyo, Nai meda nemoko bi okiyo; nai usi dina venesa yi yavari Ferei ebu rena irakuna di iruku irigifa’ vo nifa.”
MAT.26.19	Ma gokai ago gira maro kana resi Ferei ebu rena irakuna di iruku dogo reyadi.
MAT.26.20	Kamini uriyenau niyori, Iesu bi ini usi dina vene 12 sa iruku irina sanari ameinu reyadi. 
MAT.26.21	Iruku irigamadiri, Iesu yaku niyo, “Rama ya nida, ya yokoi yaku na siri rego.”
MAT.26.22	Ma iriyeduka tora resi yokoi yokoi nigi kora reyadi, “Varika amiye, rama na bi de ba?”
MAT.26.23	Ma nikabai reyo, “Mina amiye kaere bi nasa ini beredi siua ideri birisifa bi na siri rego.
MAT.26.24	Adina Amiye di mida bi muyego, bura reyadi kana, idu mina amiye rofu bi iriyeduka no iniye, kaere bi Amiye di mida siri rego! Buni bi mina amiye bi vata de niyagadu vonisi.”
MAT.26.25	Mina usi Judas, kaere siri rego, yaku niyo, “Oteimana amiye, rama na bi de ba?”
MAT.26.25	Nikabai reyo, “Ya kaya nisa mini.”
MAT.26.26	Kamini iruku irigamadiri, Iesu bi beredi be moisi Sei rofu buni tora gade masi uroki resi ini usi dina vene magasa niyo, “Moisi irifa; mina bi nai roaita.”
MAT.26.27	Resi biyo moisi Sei rofu buni tora gade masi ina vene magasa niyo, “Ya tau vakoi minari irifo; 
MAT.26.28	adina mina bi nai dava Sei di uka ago
MAT.26.29	Ye ya nida, na bi dudusa mina waini de irigida bogo mirona medari nai Baba di ourefeidena amena sanari yasa waini ruaka irigida mamo.”
MAT.26.30	Kamini yauta nisi yakusi 
MAT.26.31	Mina usi Iesu yaku ina vene rofu niyo, “Gua mina urusari, na dada ya tau vakoi na feresi ori digedi, adina bi bura reyo, ‘Mamoe dogo redo amiye umuyegida ma mamoe tau bi rerevaida nigedi.’
MAT.26.32	Idu dadi rae resi na siko Galilee ri ourei bogida.”
MAT.26.33	Idu Peter nikabai resi niyo, “Mina tau ya feresi ori digedi, idu na bi toga de ya feresi ori digida!”
MAT.26.34	Ma nikabai reyo, “Rama ya nida, kokoro gua mina urusari raka nina koderi, bi uru regode na nisui regiya.”
MAT.26.35	Idu Peter yaku niyo, “Yasa ka muyegida vonisi, bi ida yokoi dudu ya nisui de regida!”
MAT.26.35	Ma ini usi dina vene tau gade bi makai ka niyadi.
MAT.26.36	Mina usi Iesu ini usi dina venesa gagani roka Gethsemane ri bosi niyo, “Na yomironari bosi usa usa nigida, ye ya minari amefa.” 
MAT.26.37	Resi bi Peter ma Zebedee di mida remanu inasa afesi uka vorivori resi uka moigi kora reyo. 
MAT.26.38	Mina usi niyo, “Iriyeduka tora yaku nai vima vata baeyo, ye makai muyegida kana amuteida. Minari nasa amesi varena ga refa.”
MAT.26.39	Kamini inaike etagae risi ini seira konori raudai regasa usa usa niyo, “Nai Baba, ya rofu buni vonisi, mina esika esika di biyo bi na rofu moi etagae ri. Idu yi ura mina resi nai ura bi ga regiya.”
MAT.26.40	Kamini ini usi dina vene rofu dairisi veitao reyo ina bi varegamadi. Ma Peter rofu niyo, “Ye ya vene bi meda nemoko yokoi maka nasa nemoko kikigi yeiva nufa ba ide? 
MAT.26.41	Nemoko kikigasa usa usa nifa kumo yi uka maina regika nivego baebu. Vima bi regi ura redo, idu roaita bi afi niyo.”
MAT.26.42	Resi dudusa uru remanu etagae risi usa usa niyo, “Nai Baba, mina esika esika di biyo na rofu moi etagae rina bi de vonisi, bi mina biyori irigida, ye yi ura bi vata niyaine.” 
MAT.26.43	Kamini dairi okisi bi dudusa varegamadi veitao reyo, adina varei muyeyadi.
MAT.26.44	Ye dudusa ferei bosi ouresi usa usa nigamo kana dudusa usa usa niyo. 
MAT.26.45	Mina usi ini usi dina vene rofu dairisi niyo, “Ya bi besa sifere regasa varededi ba? Vefo, meda nemoko bi okiyo, ma Amiye di mida bi siri resi vegu no rena vene di vanari aegedi. 
MAT.26.46	Dadifo! Una bi dinadi! Ve nai siri rena amiye bi baedo mini!”
MAT.26.47	Iesu ago nigamori, Judas, kaere bi amiye 12 ri yokoi, amiye tau gade gadesa bainasi ma gai nufa okiyadi; Sei ma amiye utari naivo vene di varika vene ma amiye di tora vene yaku nifeideyadi. 
MAT.26.48	Kamini siri rego amiye yaku gokai rego di ida bi sena masi niyo: “Kaere amiye fuka regida bi mini; moi gira refa!”
MAT.26.49	Ye evade Iesu urana bosi niyo, “Oteimana amiye, ya mini ba?” Resi fuka reyo.
MAT.26.50	Ma nikabai reyo, “Dubu, beika regika baeyo bi re!”
MAT.26.50	Mina usi amiye baesi Iesu vanau moisi moi gira reyadi. 
MAT.26.51	Ma yokoi kaere bi inasa yaku ini bainasi moi yakusi kuaita resi Sei ma amiye utari naivo amiye tora di moimai rei tavoi redo amiye di anema nugai feideyo. 
MAT.26.52	Mina usi Iesu yaku niyo, “Yi bainasi moiyo sanari moi dairisi ae, adina kaere vene tau gade bainasi dudu ruda rededi, bi bainasi dudu muyegedi. 
MAT.26.53	Ya yaku mokeisa bi nai Baba raka nigi anua reida ma naivo naivo vima tau gade gade ruda omana vene 12 kana besa nifeideyaine ma na aedegedi ba? 
MAT.26.54	Idu makai regidari, Sei di ago bi gokai rama aego, ini niyo kana mina tau bi makai dudu vata niyaine?”
MAT.26.55	Mina ituari Iesu yaku amiye tau gade rofu niyo, “Ya bi duma duma amiye yokoi kana bi bainasi ma gai moisi na moi gira regika baeyadi ba? Ari neinei Sei nivakena yavari ameinu resi oteimagamaka, idu de na moi gira reyadi.
MAT.26.56	Idu mina beika tau bi vata niyadi, ye beika Sei di ago niyadi vene yaku bura reyadi bi bae rama aeyainedi.”
MAT.26.56	Mina usi ini usi dina vene tau vakoi bi feresi ori diyadi.
MAT.26.57	Kamini Iesu moi gira reyadi vene bi Caiaphas rofu afei boyadi, kaere bi Sei ma amiye utari naivo amiye tora. Mironari ago gira oteimana vene ma tora vene egogo reyadi. 
MAT.26.58	Ma Peter bi beika vata nigo mina vegika egaima risi usi disi Sei ma amiye utari naivo amiye tora di yava ida nefau dui resi nari rededi venesa ameinu reyo. 
MAT.26.59	Kamini Sei ma amiye utari naivo vene di varika vene
MAT.26.60	Amiye tau gade bi ofa ofa dudu nikake rigamadi, idu ago de baku reyadi. Gabi amiye remanu baesi 
MAT.26.61	niyadi, “Mina amiye niyo bi, ‘Na yaku Sei nivakena yava ukero vau resi meda regodenuri dudusa akugida,’ vo niyo.”
MAT.26.62	Kamini Sei ma amiye utari naivo amiye tora yaku dadisi niyo, “Ya bi nikabai de regiya ba? Mina ago ya rofu nikake rededi, bi beika be nigiya?” 
MAT.26.63	Idu Iesu bi bere niyo ma Sei ma amiye utari naivo amiye tora yaku niyo, “Toga amedo Sei di roka dudu ya nida ya gua ofa ofa de nigiya: una ni ya bi Keriso, Sei di mida ba?”
MAT.26.64	Ma nikabai reyo, “Ya yaku niyo kana. Idu ya nida: Gua gutuna bi Amiye di mida Vava iniye amiye di vana rama rofu ameinu resi oma di seuya odoro debigo ma vegedi!”
MAT.26.65	Mina usi Sei ma amiye utari naivo amiye tora yaku ini fafau varuka uesi resi niyo, “Ina bi Sei di roka moi no riyo! Beika resi nisi una bi mina ago di adina besa ni maina resifa? Vefa, ya gua mina Sei di roka moi no riyo ago neideyadi!
MAT.26.66	Ye ya mokededi bi gokai?”
MAT.26.66	Ma nikabai reyadi, “Ina muyego bi buni.”
MAT.26.67	Mina usi ini seirari ayaka su resi vana kumu risi uyadi. Bedakai bi famasi
MAT.26.68	niyadi, “Keriso, ya bi Sei di ago nido amiye vonisi, kaere amiye yaku ya ugo ini roka una rofu ni!”
MAT.26.69	Ma Peter bi etofaro yava ida nefauri amegamo ma naivo rema ofi yokoi baesi niyo, “Ya ka Iesu Galilee amiyesa digamo.”
MAT.26.70	Idu amiye tau gade di nemokori nisui resi niyo, “Na na toto ya beika nisa.” 
MAT.26.71	Resi ida vena urana neyo ma naivo rema ofi yokoi yaku vesi atafuri are regamadi vene rofu niyo, “Mina amiye bi Iesu Nazareth amiyesa digamo.”
MAT.26.72	Dudusa nisui resi nivarika resi niyo, “Na na toto mina amiye!”
MAT.26.73	Ma doba deri, atafuri are regamadi vene bi niyadi, “Rama ya ka ini asini, adina yi gokai sina ago reisa yaku ya moi ogau rido!”
MAT.26.74	Mina usi iniye fafau nikiraini resi iniye nivarika regi kora resi niyo, “Na na toto mina amiye!”
MAT.26.74	Ma evade kokoro raka niyo, 
MAT.26.75	ma Peter yaku Iesu beika vata nigo di ago niyo mina mokeyo: “Kokoro raka nina koderi, uru regode na nisui regiya.” Ye etofaro yakusi isaka no iniye iniye niyo.
MAT.27.1	Uriyaku gorogoro Sei ma amiye utari naivo vene di varika vene ma tora vene tau vakoi egogo resi nirorotari reyadi Iesu bi umuyeyaganedi. 
MAT.27.2	Ye ini vana ukita resi afei bosi Gavana
MAT.27.3	Kamini Judas, kaere bi siri reyo amiye, yaku veyo bi Iesu kota resi umuyegedi, ye beika reyo fafau iriyeduka resi mina siriva fore 30 moi dairisi Sei ma amiye utari naivo vene di varika vene ma amiye di tora vene masi
MAT.27.4	niyo, “Na bi vegu no reyaka, vegu buni no nufa de amiye siri reyaka ma umuyegedi dada!”
MAT.27.4	Nikabai reyadi, “Una yaku beika regifa? Mina bi yi vanari!”
MAT.27.5	Ye Judas yaku mina fore Sei nivakena yava ideri maku feresi diyo. Mina usi disi iniye ini bauye misi uai reyo.
MAT.27.6	Idu Sei ma amiye utari naivo vene di varika vene yaku mina fore moisi niyadi, “Mina bi siri rena fore, mina resi Sei nivakena yava di foresa bi de aegifa, uni ago gira yaku niyo kana.” 
MAT.27.7	Ye egogo resi nirorotari resi okina vene guri aebigika urena rido amiye di kono tu mina fore dudu voi reyadi. 
MAT.27.8	Mina resi gua mina kono kefuka bi “Dava nomu” toga vo nidedi.
MAT.27.9	Mina usi beika Sei di ago niyo amiye Jeremiah yaku niyo bi bae rama aeyo: “Ye siriva fore 30 moiyadi; mina bi Israel vene be yaku ini davana reyadi kana.
MAT.27.10	Ma urena rido amiye di kono kefuka mina fore dudu voi reyadi, Varika amiye di ago gira na rofu niyo kana.”
MAT.27.11	Kamini Iesu bi gavana di nemokori are reyo ma nikaitegasa niyo, “Ya bi Jew vene di kini ba?”
MAT.27.11	Ma nikabai reyo, “Ya bi mina niyo.” 
MAT.27.12	Idu Sei ma amiye utari naivo vene di varika vene ma tora vene nitourage reyadiri, bi ago yokoi be nikabai de reyo.
MAT.27.13	Mina usi Pilate yaku nikaiteyo, “Ya bi gokaisanu ago no tau ya rofu nitourage rededi bi neideisa ba ide?”
MAT.27.14	Idu ago yokoi kava nikabai de reyo, ye gavana bi tururu iniye reyo.
MAT.27.15	Ye Ferei ebu rena irakuna neineiri ini toutou dudu, gavana bi amiye tau rofu ini ura kana dibura amiye yokoi erufuyaine nigamo. 
MAT.27.16	Mirona ituari, dibura amiye no yokoi kaere bi amiye tau ina diba ini roka bi Iesu Barabbas.
MAT.27.17	Ye amiye tau egogo reyadiri, Pilate yaku nikaiteyo, “Goina bi ya rofu erufugida ma digo? Iesu Barabbas ba Iesu kaere bi Keriso vo nidedi?” 
MAT.27.18	Adina Pilate bi sena diba niyo bi gonema dudu ini vanari aeyadi.
MAT.27.19	Kamini bi ini kota rena fata ameinu reyori, ini rema yaku ago nifeideyo: “Mina mokena rorobo amiye rofu bi beika yokoi ina rofu ga re. Adina na bi gua yaduka veyakari, nai mokena yaku esika esika na maro ina dada.”
MAT.27.20	Idu Sei ma amiye utari naivo vene di varika vene ma tora vene bi amiye tau gade niguba reyadi Barabbas bi erufuyainedi, idu Iesu bi umuyeyainedi usa niyadi. 
MAT.27.21	Ye gavana nikaiteyo, “Mina amiye remanuri, yi ura bi goina ya rofu erufugida ma digo?”
MAT.27.21	Ma nikabai reyadi, “Barabbas!”
MAT.27.22	Ma nikaiteyo, “Mina dada bi beika Iesu, Keriso vo nidedi, ina rofu regida?”
MAT.27.22	Ina tau vakoi yaku niyadi, “Ina bi satauro ikoko reyaine!”
MAT.27.23	Idu nikaiteyo, “Beika resi, ina bi beika vegu no be reyo?”
MAT.27.23	Idu besa imuna niyadi, “Ina bi satauro ikoko reyaine!”
MAT.27.24	Kamini veyo beika yokoi de rego ma siboroka regi kora reyadiri, koru moisi amiye tau di nemokori ini vana koitesi niyo, “Mina amiye
MAT.27.25	Ye amiye tau yaku nikabai reyadi, “Ini dava rausi rego bi una ma uni mida mida iki magedi!”
MAT.27.26	Mina usi ina vene rofu Barabbas erufuyo; idu ago gira maro ma Iesu buburu vai reyadi ma satauro ikoko reyaganedi iya rededi vene di vanari aeyo.
MAT.27.27	Mina usi gavana di iya rededi vene gavana di ourefeidena yava tora ideri afei bosi iya rededi vene tau vakoi raka niegogo reyadi. 
MAT.27.28	Resi ini varuka kutusi bou varuka kaka doba aku masi 
MAT.27.29	yabo imiye maena moi mekuna resi kini kana ada bou ini adari aesi kodu moisi ini vana rama rofu aeyadi; resi ini budari efuka meimisi nikurusi niyadi, “Jew vene di kini o!” 
MAT.27.30	Resi ina fafau ayaka su resi kodu moisi ini adari ugamadi. 
MAT.27.31	Kamini nikuruyadi koina niyori, bi varuka kaka doba kutusi iniye di varuka aku masi satauro ikoko regi afei boyadi.
MAT.27.32	Ye yakugasa bi Cyrene gagani amiye yokoi roka Simon baku resi bi ini satauro uakaiyaine niyadi. 
MAT.27.33	Gagani roka Golgotha (ini adina bi “Ada girika di sana”) okisi 
MAT.27.34	waini koru rusa moi fui resi iriyainedi maradi ma iri veyo, idu irina ura de reyo.
MAT.27.35	Ma
MAT.27.36	ameinu resi nari regamadi. 
MAT.27.37	Ini ada odorori bi ini no nikake regi bi yomakai bura reyadi: “Mina bi Iesu, Jew vene di kini.” 
MAT.27.38	Mina usi duma duma amiye remanu inasa satauro ikoko reyadi, yokoi bi ini vana rama rofu ma yokoi bi ini vana enana rofu.
MAT.27.39	Ye amiye kaere ini budari digamadi, bi nifafana regasa ini ada buro regasa
MAT.27.40	nigamadi, “Ya yaku Sei nivakena yava ukero vau resi meda regodenuri dudusa akugiya vo niyo, ya kaya moi vegu ri! Ya Sei di mida vonisi, bi satauro gutuna soka rei de!”
MAT.27.41	Mina ida yokoi makari Sei ma amiye utari naivo vene di varika vene ma ago gira oteimana venesa ma tora vene ka nikurugasa nigamadi: 
MAT.27.42	“Amiye be bi moi vegu riyo, idu iniye bi makai regi anua rego! Ina bi Israel di kini;
MAT.27.43	Sei rofu mokena vari gira aedo; ferefo kumo Sei ina ura redo vonisi, bi gua moi vegu rigo. Adina ina yaku niyo, ‘Na bi Sei di mida!’ ”
MAT.27.44	Ma duma duma amiye kaere bi inasa satauro ikoko reyadi ka nifafana reyadi.
MAT.27.45	Meda nemoko tobo niyori, gagani tora noibanu bi mukuna yaku fono reyo boyo meda nemoko regodenu koina niyo mamo. 
MAT.27.46	Ma meda nemoko regode kanari Iesu bi ababa nigasa raka ni tora reyo, 
MAT.27.47	Kamini amiye be kaere bi ina atafu are regamadi mina neidesi niyadi, “Ina bi Elijah raka nido!” 
MAT.27.48	Kamini amiye yokoi evade raga resi 
MAT.27.49	Idu be vene yaku niyadi, “Kode, venadi kumo Elijah desi moi vegu rigo ba ide!”
MAT.27.50	Ma goroka tora dudu raka nisi ini vima maro.
MAT.27.51	Kamini Sei nivakena yava ideri biri rina varuka doba bi odoro gutuna doka rofu bado remanu uesi rei neyo ma kono yagayaga resi rabema okuyadi,
MAT.27.52	guri sana okuyadi ma Sei di vene tau sena muyeyadi mina dudusa dadi rae reyadi. 
MAT.27.53	Ma Iesu di dadi rae rena usi, mina dadi rae reyadi vene mina guri feresi kikifa taoniri boyadi ma amiye tau yaku veyadi.
MAT.27.54	Ma iya rededi vene di ourefeidena amiye tora ma kaere amiye inasa Iesu nari regamadi, bi kono yagayaga reyo ma beika tau vata niyadi mina vesi ori tora resi niyadi, “Rama mina bi Sei di mida!”
MAT.27.55	Ma rema tau mironari ka gaima gutuna are resi vegamadi, kaere bi Galilee gutuna Iesu usi baegasa moi aedegamadi.
MAT.27.56	Ini fogori bi Mary Magdalene, Mary, James ma Joseph
MAT.27.57	Uriyenau niyori, Arimathea gugura tau amiye yokoi ini roka bi Joseph okiyo; ina ka bi Iesu di usi dina amiye yokoi. 
MAT.27.58	Pilate rofu bosi Iesu di roaita moigika usa niyo. Ma maraganedi ago maro. 
MAT.27.59	Kamini Joseph ini roaita moisi varuka buni ruaka dudu kumu risi 
MAT.27.60	iniye di kono guri ruaka fore ideri goeyadi bi ini roaita mina ideri aeyo. Kamini fore tora moi kurevai resi guri di ida vena biri risi ferei diyo. 
MAT.27.61	Ma Mary Magdalene ma Mary yokoi bi guri berou eta rofu amegamadi.
MAT.27.62	Ari uvesi meda, mina meda bi dogo dogo rena meda
MAT.27.63	niyadi, “Varika amiye, mokesifa mina ofa ofa amiye ini veguri amegasa niyo, ‘Meda regode koina nigori, na bi dudusa dadi rae regida,’ vo niyo.
MAT.27.64	Mina resi ago gira ma kumo mina guri bi nari rei mona regedi bogo meda regodenu moigo,
MAT.27.65	Ye Pilate yaku ina vene rofu niyo, “Yi nari rena vene moi bogedi guri yi diba dudu nari rei mona refo.”
MAT.27.66	Ye bosi guri di biri riyo fore dudu mina biri ri mona reyadi nari reyainedi amiye aeyadi.
MAT.28.1	Kamini Sabati meda usi ari uveyori, fura di ourena medari, Mary Magdalene ma Mary yokoi bi guri vegika boyadi. 
MAT.28.2	Kamini kono yagayaga tora reyo, adina Varika amiye di naivo naivo vima yokoi oma gutuna desi guri di ida venari fore moi kurevai rei etagae risi mina fafau ameinu reyo. 
MAT.28.3	Ini seira bi kamanika kana ma ini varuka bi aisi feyo kana. 
MAT.28.4	Nari rena vene bi tururu resi ori yaku no nisi muyena vene kana kita de reyadi.
MAT.28.5	Idu Sei di naivo naivo vima yaku rema rofu niyo, “Ori ga refa, adina na na diba ya bi Iesu maina rededi, kaere bi satauro ikoko reyadi. 
MAT.28.6	Ina bi minari de; adina bi dadi rae reyo, ini niyo kana. Baesi ini vareyo sana vefa. 
MAT.28.7	Ye evade bosi ini usi dina vene nioteimafa, ‘Ina bi muyena gutuna dadi rae resi siko Galilee urana bodo; bi mironari baku regedi!’ Gua ya nida.”
MAT.28.8	Ye rema evade ori ma ada tora gade dudu guri sana ferei disi raga dudu ini usi dina vene nigika boyadi.
MAT.28.9	Ma
MAT.28.10	Mina usi niyo, “Ori ga refa; bosi nai usika ourena nigedi Galilee urana boyaganedi. Mironari mamo na vegedi.”
MAT.28.11	Rema vene bogamadiri, nari rena vene be bi taoniri Sei ma amiye utari naivo vene di varika vene rofu bosi beika tau vata niyadi ina rofu niyadi. 
MAT.28.12	Sei ma amiye utari naivo vene di varika vene ma amiye di tora vene egogo reyadiri, nirorotari rei vau resi nari rena vene fore tora masi 
