MAT.1.1	Ибрагьимни наслусундан тувгъан Давутну наслусундан болгъан Исаны тайпа тухуму.
LUK.8.4	Кёп халкъ жыйылып, бары да шагьарлардан Исаны янына адамлар гелген заманда, О олагъа масал айтмагъа башлай:
LUK.8.5	– Чачывчу урлукъ чачмагъа чыкъгъан болгъан. Чачагъанда, урлукъланы бирлери ёл ягъагъа тюшюп, аякъ тюпде тапталып къала. Къушлар гелип оланы чёплеп ашайлар. 
LUK.8.6	Бирлери ташкъатыш ерге тюшюп, чыкъгъан сонг, къуруп къала, неге тюгюл онда дымлыкъ ёкъ. 
LUK.8.7	Бирлери тегенекликге тюше. Тегенеклер оьсюп, оланы оьсме къоймай, янча. 
LUK.8.8	Башгъа урлукълар берекетли топуракъгъа тюше ва оьсюп, юз керен артыкъ тюшюм бере.
LUK.8.8	Буланы айтып, Иса:
LUK.8.8	– Къулакълары барлар эшитсинлер! – дей.
LUK.8.9	Исаны якъчылары Огъар:
LUK.8.9	– Бу масалны маънасы недир? – деп сорайлар.
LUK.8.10	Иса булай жавап бере:
LUK.8.10	– Аллагь нечик гьакимлик этегенни сырларын билмеге сизге гюч берилген. Мен башгъалагъа масаллар булан сёйлейгенимни себеби: олар тынглап туражакълар, амма англамажакълар; къарап туражакълар, амма гёрмежеклер.
LUK.8.11	Бу масалны маънасы будур: урлукъ Аллагьны каламыдыр. 
LUK.8.12	Ёлну ягъасына тюшгенлери – каламны эшитегенлер. Сонг, оланы янына иблис гелип, олар иман салмасын ва къутгъарылмасын деп, оланы юреклеринден каламны алып гете. 
LUK.8.13	Ташкъатыш ерлеге чачылгъаны буса – сёзню эшитип, ону сююнч булан къабул этегенлер. Амма оланы тамурлары болмайгъаны саялы, бир аз заман иман салалар, сынавгъа тюшгенде буса, иманындан тайып къалалар. 
LUK.8.14	Тегенекли ерге чачылгъанлары – каламны эшитегенлер, амма яшавну аваралары, байлыкъ ва кеп чегив булан бувулуп къала ва оланы тюшюмю болмай. 
LUK.8.15	Берекетли топуракъгъа чачылгъанлары буса – каламны эшитип, ону яхшы ва таза юрекде сакълайгъанлар ва чыдамлыкъда тюшюм берегенлер.
LUK.8.16	– Бирев де чыракъ ягъып, ону уьстюне я савут къапламас, яда тахны тюбюне салмас, уьйге гирегенлер ярыкъны гёрсюн учун, гёрюнеген бийик ерге салыр. 
LUK.8.17	Неге тюгюл де, ачыкъ болмай къалагъан бир сыр да ёкъдур, билинип аянгъа чыкъмай къалагъан бир яшырылгъан зат да ёкъдур. 
LUK.8.18	Шолайлыкъда, сизин тынглайгъан кююгюзге тергев этигиз: кимники бар буса, огъар дагъы да берилежек. Кимники ёкъ буса, ону оьзю бар деп хыял этеген заты да алынажакъ.
LUK.8.19	Бир керен Исаны янына Ону анасы ва инилери геле. Амма халкъны кёплюгюнден олар Ону ювугъуна барып болмайлар. 
LUK.8.20	Огъар:
LUK.8.20	– Сени ананг ва инилеринг, Сени гёрме сююп, къырда токътагъанлар, – деп билдирелер.
LUK.8.21	– Мени анам ва инилерим, Аллагьны каламына тынглап, ону кютегенлердир, – деп жавап бере Иса олагъа.
LUK.8.22	Бир керен Иса, Оьзюню бир нече якъчылары да булан бир къайыкъгъа да минип, олагъа:
LUK.8.22	– Кёлню бириси ягъына барайыкъ, – дей.
LUK.8.23	Олар юзюп барагъанда, Иса юхлап къала. Кёлде гючлю ел гётерилип гете. Толкъунлар къайыкъгъа урунуп, олар бир къоркъунчлу гьалгъа тюшелер. 
LUK.8.24	Ювугъуна барып, олар Исаны уятып:
LUK.8.24	– Устаз! Устаз! Биз батыла турабыз, – дейлер.
LUK.8.24	Уянып, О елни ва сувну гьалекленивюн токътата. Олар да токътап, бир шыплыкъ болуп къала. 
LUK.8.25	Иса олагъа:
LUK.8.25	– Сизин иманыгъыз къайдадыр? – дей.
LUK.8.25	Олар буса къоркъуп ва гьайран болуп, бир бирине:
LUK.8.25	– Еллеге де, сувлагъа да буйрукъ этеген ва олар да Оьзюне таби болагъан Бу Кимдир? – дейлер.
LUK.8.26	Олар Галилея кёлню къаршысында ерлешген герасалыланы топурагъына гелелер. 
LUK.8.27	Иса ягъагъа чыкъгъанда, Огъар юртдан бир адам къаршылаша. Бу адам жинли болуп турагъаны, уьстюне опуракъ гиймейгени ва уьйде тюгюл, къабурларда яшайгъаны хыйлы заман бола болгъан. 
LUK.8.28	Исаны гёргенде, О акъырып, Ону аякъларына баш ура ва:
LUK.8.28	– Гьей Иса, Аллагьу Тааланы Уланы! Менден не сюесен? Ялбараман Сагъа, магъа азап берме, – деп къычыра.
LUK.8.29	Неге тюгюл де, Иса жинге шо адамдан чыгъып тайсын деп буюргъан болгъан, о буса узакъ заманны боюнда огъар азап берип тургъан. О адамны енгмек учун, ону аркъанлар ва шынжырлар булан байлагъанлар. О адам буса байлавларын да уьзюп, жинлер къувалап, гиши турмайгъан ерге чыгъып гете болгъан. 
LUK.8.30	Иса огъар:
LUK.8.30	– Сени атынг кимдир? – деп сорай.
LUK.8.30	– Легион
LUK.8.31	Жинлер, оьзлеге оьлюлер болагъан ерге тюшюп гетмекни буюрмасын деп, Исагъа ялбаралар. 
LUK.8.32	Онда тав бетде отлайгъан бир уллу донгуз сирив болгъан. Жинлер де Исагъа оьзлеге донгузланы ичлерине гирмеге изну берсин деп тилейлер. Иса да изну бере. 
LUK.8.33	Жинлер де, адамлардан чыгъып, донгузланы ичлерине гирелер. Сирив чабып йиберип, учурумдан таба кёлге тюшюп, сувгъа бата.
LUK.8.34	Донгуз сакълайгъанлар, болгъан ишни гёрюп, къачып гете, шагьарда ва юртларда бу хабарны яя. 
LUK.8.35	Халкъ болгъан ишни гёрмеге чыгъа ва Исаны янына геле. Ичинден жинлер чыкъгъан адамны Исаны аякъларыны алдында гийинген кюйде ва гьакъылы да къайтып гелип, олтуруп турагъанын гёрюп, бек къоркъа. 
LUK.8.36	Бу ишни гёргенлер буса жинли адам нечик сав болгъанны гелгенлеге англаталар. 
LUK.8.37	Герасаны айланасындагъы бютюн халкъ Исагъа ондан гетмекни тилей, неге десе олар бек къоркъа. О да къайыкъгъа да минип гете.
LUK.8.38	Ичинден жинлер чыкъгъан адам оьзюн Ону булан бармагъа къойсун деп тилей. Амма Иса ону къайтарып йибере ва:
LUK.8.39	– Уьюнге къайт ва Аллагь сагъа не этгенни айт, – дей. О да гетип, Иса оьзюне этген затны бютюн шагьаргъа билдире.
LUK.8.40	Иса гери къайтгъанда, Ону кёп халкъ къаршылай. Ону барысы да гёзлеп тура болгъан. 
LUK.8.41	Шонда синагогну башчысы болгъан Яир деген бир адам гелип, Исаны аякъларына баш ура ва Огъар оьзюню уьюне гелсин деп тилей. 
LUK.8.42	Неге тюгюл де, ону он эки йыллыкъ бир къызы бек авруп оьле тура болгъан.
LUK.8.42	Иса онда бара. Халкъ Огъар ябурула ва айланасын къуршап ала. 
LUK.8.43	Он эки йылдан берли къаны гетип авруйгъан, бары да байлыгъын эмчилеге берген, амма оланы гьеч бириси де оьзюн сав этип болмагъан бир къатын, 
LUK.8.44	артындан таба барып, Исаны опурагъыны этегине тие ва шоссагьат ону къаны гетегени токътай. 
LUK.8.45	Иса:
LUK.8.45	– Магъа ким тийди? – деп сорай.
LUK.8.45	Гьариси оьзю тиймегенни айта. Шо заман Петер:
LUK.8.45	– Устаз, сени айланангда кёп халкъ бар ва бары да якълардан ябурулуп геле, – дей.
LUK.8.46	Амма Иса:
LUK.8.46	– Магъа ким буса да бирев тийди, неге тюгюл Мен оьзюмден чыгъып барагъан бир къудратны гьис этдим, – дей.
LUK.8.47	Шо къатын, болгъан зат билинмей къалмажагъын англагъанда, къартыллай туруп гелип, Ону аякъларына баш ура. Бютюн халкъны алдында Огъар не себепден тийгенин ва шоссагьат сав болгъанын айта. 
LUK.8.48	Иса да огъар:
LUK.8.48	– Къызым, иманынг сени сав этди, эсен аман бар, – дей.
LUK.8.49	Иса шо сёзлени сёйлеп турагъанда, синагогну башчысы Яирни уьюнден бир адам гелип:
LUK.8.49	– Сени къызынг оьлдю. Устазны негьакъ авара этме, – дей.
LUK.8.50	Шо сёзлени эшитгенде, Иса синагогну башчысына:
LUK.8.50	– Къоркъма, иман салып къой, о да тирилежек, – дей.
LUK.8.51	Уьйге гелгенде буса, О Петерден, Югьандан, Якъубдан ва къызны ата анасындан башгъа биревню де уьйге гирме къоймай. 
LUK.8.52	Барысы да къызгъа тююнюп яс этип йылайлар. Амма О:
LUK.8.52	– Йыламагъыз, о оьлмеген, юхлап тура, – дей.
LUK.8.53	Къызны оьлгенин билип, олар Иса айтагъанны мысгъыллап кюлеме къарайлар. 
LUK.8.54	О буса къызны къолун тута ва:
LUK.8.54	– Гьей къызым, тур! – дей.
LUK.8.55	Къызны ругьу гери къайта ва шоссагьат о аякъгъа тура. Иса да огъар ашама зат берсин деп буюра. 
LUK.8.56	Къызны ата анасы гьайран болуп къала. Иса буса болгъан бу ишни гьакъында биревге де сёйлемегиз деп тапшура.
LUK.9.1	Он эки де элчисин чакъырып, Иса олагъа бары да жинлени къуваламакъ ва аврувланы сав этмек учун гьакимлик ва къудрат бере. 
LUK.9.2	Оланы Аллагьны гьакимлиги гьакъда билдирмеге ва аврувланы сав этмеге йибере. 
LUK.9.3	Иса олагъа булай дей:
LUK.9.3	– Ёлгъа бир зат да алмагъыз: не таякъ, не дорба, не экмек, неде акъча, эки гийим опурагъыгъыз болмасын. 
LUK.9.4	Эгер де сиз биревню уьюне гирсегиз, гетмеге заман болгъунча, онда къалыгъыз. 
LUK.9.5	Сизин къабул этмеген ерде буса, о шагьардан чыгъагъан заманда, аякъларыгъыздагъы чангны да силкип тайдырыгъыз. Бу олар учун буварыв болажакъ.
LUK.9.6	Исаны якъчылары ёлгъа чыгъалар ва юртлагъа барып, Сююнч Хабарны яя туруп, гьар ерде аврувланы сав этелер.
LUK.9.7	Гьирод гьаким, бу ишлени барын да эшитип, гьайран бола, неге тюгюл бирлери: «Ягьия пайхаммар оьлюмден тирилген», 
LUK.9.8	башгъалары: «Илияс пайхаммар гелген», биревюлери буса: «Бырынгъы пайхаммарланы бири тирилген», – дейлер.
LUK.9.9	– Мен Ягьияны башын гесдим. Оьзюню гьакъында мен бу затланы эшитеген Бу ким болажакъ дагъы? – дей Гьирод. Сонг о Исаны гёрмеге сюе.
LUK.9.10	Къайтгъан сонг, элчилер Исагъа оьзлер этген ишлени гьакъында айталар. О да оланы Оьзю булан алып, Байтсайда деп айтылагъан шагьарны ювугъундагъы бир чет ерге гете. 
LUK.9.11	Амма халкъ билип, Ону артындан бара. Иса адамланы арив къабул эте, олагъа Аллагьны гьакимлиги гьакъда англата ва сав болмагъа сюйгенлени сав эте.
LUK.9.12	Гюн артылып, ахшам болмагъа башлай. Он эки де элчиси Исагъа ювукъ гелип:
LUK.9.12	– Халкъны къайтар, олар айланадагъы юртларда ва махилерде оьзлеге турмагъа ер ва ашама аш тапсынлар, неге тюгюл биз мунда бир адам да ёкъ чет ердебиз, – дейлер.
LUK.9.13	– Олагъа ашама затны сиз беригиз, – дей Иса олагъа.
LUK.9.13	– Бизин мунда янгыз беш экмегибиз де, эки балыгъыбыз да тюгюл ёкъ. Бары да бу адамлар учун ашама затны биз барып сатып алгъанны сюемисен? – деп сорайлар олар.
LUK.9.14	Олар онда беш мингге ювукъ адам болгъан. Иса якъчыларына:
LUK.9.14	– Оланы элли элли этип, гюп гюп этип олтуртугъуз, – дей.
LUK.9.15	Шолай этип, олар барысын да олтурталар. 
LUK.9.16	Иса беш экмекни де, эки балыкъны да алып, кёкге багъып къарап, шюкюр дуа эте. Сонг сындырып, экмеклени якъчыларына бере, олар да халкъгъа пайлайлар. 
LUK.9.17	Барысы да ашап тоя. Къалгъан гесеклени жыйып, он эки земгилни толтуралар.
LUK.9.18	Бир керен Иса янгыз ерде дуа этегенде, Ону янына якъчылары геле. Иса олагъа:
LUK.9.18	– Халкъ Мени ким деп гьисап эте? – деп сорай.
LUK.9.19	– Бирлери Ягьия пайхаммар, башгъалары Илияс, биревюлери буса бырынгъы пайхаммарлардан бири тирилген деп гьисап эте, – деп жавап берелер олар.
LUK.9.20	– Сиз Мен кимдир деп ойлашасыз? – деп сорай Иса олагъа.
LUK.9.20	– Аллагь йиберген Месигь! – деп жавап бере Петер.
LUK.9.21	Иса шо гьакъда биревге де айтмасын деп, олагъа къатты кюйде бувара ва 
LUK.9.22	булай дей:
LUK.9.22	– Магъа, Инсанны Уланына, кёп азап чекмеге, тамазаланы, баш дин къуллукъчуланы ва дин алимлени янындан гери урулмагъа, оьлтюрюлмеге ва уьчюнчю гюн тирилмеге герек болажакъ.
LUK.9.23	Сонг Иса барысына да булай дей:
LUK.9.23	– Ким Мени булан гелмеге сюе буса, оьзюню хыялларын гери урсун ва гьар гюн хачын да гётерип, Мени артыма тюшсюн. 
LUK.9.24	Ким оьзюню жанын къутгъармагъа сюе буса, о шону тас этер. Амма ким жанын Мени учун тас этсе, о шону къутгъарар. 
LUK.9.25	Эгер инсан бютюн дюньяны къазанып, оьзюн пасат этсе яда оьзюне зарал этсе, ондан не пайда болур? 
LUK.9.26	Ким Менден ва Мени сёзлеримден илыкъса, Инсанны Уланы да Оьзюню, Атасыны ва Аллагьны малайиклерини сыйлы нюрю булан гелген заманда, о адамдан оьзюнден илыгъар. 
LUK.9.27	Гертисин сёйлеймен сизге: мунда токътагъанланы арасында Аллагь нечик гьакимлик этежегин гёрмей туруп оьлмежеклер бар.
LUK.9.28	Бу сёзлени сёйлеп сегиз гюнден сонг, Петерни, Югьанны ва Якъубну да алып, Иса дуа этмек учун тавгъа чыгъа. 
LUK.9.29	Дуа этип турагъан заманда, Исаны гёрюнюшю алышынып гете ва уьстюндеги опурагъы гёз къамашдырагъан кюйде ап акъ болуп къала. 
LUK.9.30	Ону булан оьзлерден нюр тёгюлюп гелеген экев лакъыр эте. Олар Муса ва Илияс болгъан. 
LUK.9.31	Олар Иса булан Ону бу дюньядан гетмеклиги гьакъында сёйлегенлер. Шо иш Ерусалимде кютюлме тарыкъ болгъан.
LUK.9.32	Петер ва ону булан болгъанлар терен юхугъа баталар. Уянгъанда буса, Исаны, Ону булан токътагъан экевню ва Исаны сыйлы нюрюн гёрелер. 
LUK.9.33	Олар Исаны янындан гетме айланагъан заманда, Петер Огъар:
LUK.9.33	– Устаз, бизин мунда болмакълыгъыбыз не яхшыдыр! Бирин Сени учун, бирин Муса учун, бирин де Илияс учун уьч чатыр къурайыкъ, – дей.
LUK.9.33	Шо заман не сёйлейгенин о оьзю де билмей. 
LUK.9.34	О бу сёзлени сёйлеп турагъанда, бир булут гелип, оланы уьстюнде салкъынлыкъ болдура. Оьзлер булутгъа гиргенде, Исаны якъчылары бек къоркъалар. 
LUK.9.35	Амма булутдан таба:
LUK.9.35	– Бу Мени Сайлангъан Уланымдыр, Огъар тынглагъыз, – деген бир сес чалына.
LUK.9.36	Бу сес токътагъанда, олар онда Исадан башгъа дагъы биревню де гёрмейлер. Олар тынып токътайлар ва шо гюнлерде гёргенлерин биревге де айтмайлар.
LUK.9.37	Артындагъы гюн олар тавдан тюшюп гелегенде, Исаны кёп халкъ къаршылай. 
LUK.9.38	Бирден халкъны арасындан бирев къычыра:
LUK.9.38	– Устаз! Сагъа ялбараман, мени уланыма къара, о мени биргине бир уланым! 
LUK.9.39	Бир жин уланымны тута, о да хапарсыздан къычырып йибере, ону аврув тута, авзундан гёбюк геле. Уланымны инжитген сонг да, ондан гьарангъа айрыла. 
LUK.9.40	Шону къуваласын деп, Сени якъчыларынга тиледим, тек олар болмадылар.
LUK.9.41	– Гьей имансыз ва бузукъ адамлар! Къачан болгъунча Мен сизин булан туражакъман? Къачан болгъунча сизге чыдап туражакъман? Гелтир мунда сени уланынгны! – дей Иса.
LUK.9.42	Яш гелегенде, жин ону ерге йыгъып тёбелемеге башлай, амма Иса жинге чыкъ деп буюра ва, уланны сав этип, ону атасына къайтарып бере. 
LUK.9.43	Барысы да Аллагьны къудратына гьайранлыкъ этип къала. Олар Оьзю этген бары да затлагъа тамашалыкъ этип турагъанда, Иса якъчыларына:
LUK.9.44	– Мен сизге айтагъангъа тынглап, ону эсигизде сакълагъыз: Мени, Инсанны Уланын, инсанланы къолуна бережек, – дей.
LUK.9.45	Амма олар бу сёзлени англамайлар ва шолар олар учун сырлы кюйде къала. Шону олар Исагъа сорамагъа да къоркъалар.
LUK.9.46	Исаны якъчыларыны арасында оьзлени къайсы уллудур деген бир эришивлюк тува. 
LUK.9.47	Иса, оланы юреклериндеги ойну билип, бир гиччи яшны алып, Оьзю булан янаша сала 
LUK.9.48	ва олагъа:
LUK.9.48	– Бир гиччи яшны Мени атымны гьюрметинден ким къабул эте буса, шо Мени де къабул этер. Мени ким къабул эте буса, шо Мени йибергенни де къабул этер, неге тюгюл сизден ким барындан да гиччи буса, шо барындан да уллу болажакъ, – дей.
LUK.9.49	Бу заман Югьан:
LUK.9.49	– Устаз! Биз Сени атынг булан жинлени къувалайгъан бир адамны гёрдюк, бизинки болмагъаны саялы, биз ону токътатмагъа къарадыкъ, – дей.
LUK.9.50	– Ону токътатмагъыз, неге тюгюл сизге къаршы тюгюллер сизин яныгъыздыр, – дей Иса огъар.
LUK.9.51	Оьзю дюньядан алынажакъ гюнлер ювукълашгъанда, Иса Ерусалимге бармагъа токъташа. 
LUK.9.52	Оьзюнден алда О адамланы йибере. Ону къаршыламакъ учун, о адамлар бары да затны гьазирлемеге самариялыланы бир юртуна баралар. 
LUK.9.53	Онда Исаны къабул этмейлер, неге тюгюл о юртдагъылар Ону Ерусалимге бармагъа чыкъгъанын гёре. 
LUK.9.54	Шону гёрюп, Ону якъчылары Якъуб ва Югьан:
LUK.9.54	– Я Рабби! Сюе бусанг, Илияс этгенде йимик, кёкден от ялын тюшюп, оланы къырсын деп айтайыкъмы? – дейлер. 
LUK.9.55	Иса, бурулуп къарап, олагъа шону этмесин деп къатты кюйде бувара. 
LUK.9.56	Сонг олар бир башгъа юртгъа гетелер.
LUK.9.57	Олар ёлун узаталар. Ёлда бирев Исагъа:
LUK.9.57	– Сен къайда барсанг да, мен Сени артынг булан гележекмен, – дей.
LUK.9.58	– Тюлкюлени инлери, кёкде учагъан къушланы уялары сама бар. Мени, Инсанны Уланыны, буса башымны сыйындырмагъа ерим де ёкъ, – дей Иса огъар.
LUK.9.59	Башгъа биревюне Иса:
LUK.9.59	– Гел, Мени артыма тюш, – дей.
LUK.9.59	– Я Раббим! Бир алдын уьйге барып, атамны гёмюп гелмеге изну бер, – дей о.
LUK.9.60	– Оьлюлени оьзлер оьлюлер гёмсюнлер, сен буса бар, Аллагьны гьакимлиги гьакъда билдир, – дей Иса огъар.
LUK.9.61	Башгъа бирдагъысы:
LUK.9.61	– Я Раббим, мен Сени якъчыларынга къошулажакъман, тек бир алдын магъа мени уьйдегилерим булан савболлашма изну бер, – дей Исагъа.
LUK.9.62	– Сабан бутакъны тутгъан гьар ким артына гёз къарата буса, огъар Аллагьны гьакимлигини тюбюнде болмагъа къыйышмас, – дей Иса огъар.
LUK.10.1	Сонг Раббибиз Иса, якъчыларыны арасындан дагъы да етмиш экисин
LUK.10.2	Иса олагъа булай дей:
LUK.10.2	– Тюшюм кёп, амма ишчилер аз. Шолай болгъанда, Оьзюню тюшюмюн жыймагъа ишчилер йиберсин деп, тюшюмню Есине тилегиз! 
LUK.10.3	Барыгъыз! Мен сизин бёрюлени арасына къозуланы йимик йиберемен. 
LUK.10.4	Оьзюгюз булан не дорба, не хуржун, неде аякъгийим алмагъыз. Ёлда биревге де салам бермегиз.
LUK.10.5	Биревню уьюне гирсегиз, башлап: «Бу уьйде парахатлыкъ болсун», – деп айтыгъыз. 
LUK.10.6	Эгер онда парахатлыкъ сюеген адам бар буса, сиз ёрагъан парахатлыкъ огъар болажакъ, ёкъ буса, сизге къайтажакъ. 
LUK.10.7	Шо уьйде къалыгъыз, олар берген бар затны ашагъыз, ичигиз, неге тюгюл ишлейген адамгъа оьз къыйыны учун гьакъ тийишлидир. Уьйден уьйге гёчмегиз.
LUK.10.8	Къайсы шагьаргъа гелсегиз ва сизин къабул этсе, сизге берген затны ашап къоюгъуз. 
LUK.10.9	Ондагъы аврувланы сав этигиз, олагъа: «Аллагь сизге гьакимлик этежек заман ювукълаша тура», – дегиз. 
LUK.10.10	Баргъан шагьарларыгъыздан къайсында сизин къабул этмесе, орамгъа чыгъып: 
LUK.10.11	«Сизин шагьарыгъыздан аякъларыбызгъа къонгъан чангны да силкип, сизге къоюп гетебиз, тек, билип къоюгъуз, Аллагь сизге гьакимлик этежек заман ювукълаша тура», – дегиз. 
LUK.10.12	Мен сизге айтаман: къыяматгюн Содомда яшагъан адамланы гьалы о шагьардагъы адамланыкинден къолай болажакъ!
LUK.10.13	– Адаршай сагъа, Гьоразин! Адаршай сагъа, Байтсайда! Эгер сизде болгъан аламатлар Сурда ва Сайданда болгъан эди буса, олар тезокъ товба этер эди. Шону гёрсетмек учун, кирлер де гийип, кюлню ичинде олтурар эди
LUK.10.14	Къыяматгюн Сурда ва Сайданда яшайгъан адамланы гьалы сизинкинден къолай болажакъ. 
LUK.10.15	Сен де, Капернагьум, кёклеге ерли гётерилежекмен деп эсинге гелеми? Сен жагьаннемге ерли тёбен тюшюрюлежексен.
LUK.10.16	Сизге тынглайгъан Магъа тынглар, сизин инкар этеген Мени де инкар этер. Мени инкар этегенлер буса Мени йиберген Атамны да инкар этер.
LUK.10.17	Исаны етмиш эки де якъчысы шат болуп къайта ва:
LUK.10.17	– Я Рабби! Сени атынгны айтгъанда, бизге жинлер де таби болду, – дейлер олар.
LUK.10.18	Иса да олагъа булай дей:
LUK.10.18	– Мен яшмын йимик болуп кёкден тюшеген иблисни гёрдюм. 
LUK.10.19	Шолайлыкъда, сизге оьзюгюзге гьеч бир заралсыз йыланланы, акъырапланы ва душманны бютюн гючюн аякъ тюпге салып таптап янчмакъ учун ихтияр беремен. 
LUK.10.20	Тек жинлер сизге таби бола деп сююнмегиз, амма сизин атларыгъыз кёклерде язылгъанына сююнюгюз.
LUK.10.21	Шо сагьатда Иса, Аллагьны Ругьундан сююнюп, булай дей:
LUK.10.21	– Гьей кёкню де, ерни де Раббиси болгъан Атам! Бу затланы гьакъыллылардан ва англавлулардан яшырып, яшлагъа ачгъанынг саялы, Сагъа шюкюрлюк этемен. Дюр, Атам! Сени сюегенинг де тап шолай эди.
LUK.10.22	Атам Магъа бары да затны инанып тапшурду. Атадан башгъа гьеч бирев Уланын танымас. Атаны да Уланындан ва Уланы Ону оьзюне аян этмеге сюеген гишиден къайры бирев де танымас.
LUK.10.23	Сонг Оьзюню якъчыларына багъып бурулуп, олагъа:
LUK.10.23	– Сиз гёрегенни гёрген гёзлер насиплидир. 
LUK.10.24	Сизге айтаман: кёп пайхаммарлар ва пачалар сиз гёреген затланы гёрмеге сюйгенлер, тек гёрмегенлер, сиз эшитеген затланы эшитмеге сюйгенлер, тек эшитмегенлер, – дей.
LUK.10.25	Шонда Къанундан яхшы англагъан бир дин алими туруп, Ону сынама сююп:
LUK.10.25	– Устаз, даимлик яшав алмакъ учун, мен не этме герекмен? – деп сорай.
LUK.10.26	– Мусаны Къанунунда шо гьакъда не язылгъан? Нечик англайсан? – деп сорав булан жавап бере Иса.
LUK.10.27	– «Раббинг Аллагьны бютюн юрегинг булан, бютюн жанынг булан, бютюн гючюнг булан ва бютюн гьакъылынг булан сюй» ва «ювугъунгну оьзюнгню йимик сюй», – дей о.
LUK.10.28	– Тюз жавап бердинг, шолай эт, даимлик яшав алажакъсан, – дей Иса.
LUK.10.29	Тек о дагъы да мекенлешдирме сююп, Исагъа:
LUK.10.29	– Мени ювугъум кимдир? – деп сорай.
LUK.10.30	Иса огъар булай дей:
LUK.10.30	– Бир адам Ерусалимден Еригьонгъа барагъанда, къачакъланы къолуна тюшюп къала. Олар ону тонап, токъалап, оьлю санлы кюйде къоюп гетелер.
LUK.10.31	Шо ёл булан гелеген бир дин къуллукъчу, ону гёрюп, ёлну бириси янына чыгъып оьтюп гете. 
LUK.10.32	Шолай левийлерден
LUK.10.33	Самариялы бирев буса шо ёлдан барагъанда, шо адамгъа къаршы бола ва огъар языгъы чыгъа. 
LUK.10.34	Ювугъуна барып, зайтун май ва чагъыр тёгюп, ону яраларын байлай. Оьзюню эшегине де миндирип, ону бир петерге гелтирип, ону гьайын эте. 
LUK.10.35	Артындагъы гюн оьзю гетегенде буса, эки гюмюш акъча чыгъарып, къонакъ уьйню есине бере ва огъар: «Муну гьайын этерсен ва эгер артыкъ харжласанг, мен сагъа къайтывда берермен», – дей.
LUK.10.36	Сен ойлашагъан кюйде, къачакъланы къолуна тюшген адамны ювугъу шо уьч де гишиден къайсыдыр?
LUK.10.37	– Огъар рагьму этген адамдыр, – дей о.
LUK.10.37	– Буса бар, сен де шолай этерсен, – дей Иса.
LUK.10.38	Олар ёлун узатып барагъанда, Иса бир юртгъа геле. Мунда Марта деген бир къатын, Исаны уьюне чакъырып, Ону къабул эте. 
LUK.10.39	Ону Мариям деген бир къызардашы да болгъан. О Раббибиз Исаны аякъларыны алдында олтуруп, Ону сёзюне тынглай. 
LUK.10.40	Марта буса уллу къонакълыкъ этмек учун, гьаракат этип айлана. Исагъа ювукълашып, о булай дей:
LUK.10.40	– Мени Раббим! Къызардашым бары да ишни магъа саллап къойгъанына Сен тергев этмеймисен? Огъар айт дагъы, магъа кёмек этсин!
LUK.10.41	– Марта, Марта! Сен кёп затны гьайын этип талашып айланасан, 
LUK.10.42	янгыз бир зат тарыкъ. Мариям буса оьзюнден чыгъарылып алынмажакъ яхшы пайын сайлагъан, – деп жавап бере Иса огъар.
LUK.11.1	Бир керен Иса бир ерде дуа этип тура болгъан. Битген заманда, Оьзюню якъчыларындан бири Огъар:
LUK.11.1	– Я Раббим, Ягьия оьзюню якъчыларын уьйретгени йимик, Сен де бизин дуа этмеге уьйрет, – дей.
LUK.11.2	Иса да булай дей:
LUK.11.2	– Сиз булай дуа этигиз:
LUK.11.2	Гьей бизин Атабыз!
LUK.11.2	Инсанлар Сени сыйлы атынгны гьюрметлесин дагъы.
LUK.11.2	Сени гьакимлигинг токъташсын дагъы.
LUK.11.3	Бугюн бизге гюнлюк азыгъыбызны бер.
LUK.11.4	Бизин гюнагьларыбыздан геч!
LUK.11.4	Бизге яманлыкъ этгенлерден барындан да биз де гечебиз.
LUK.11.4	Бизин артыкъ сынавлагъа салма.
LUK.11.5	Сонг Иса олагъа булай дей:
LUK.11.5	– Айтайыкъ, сизин биригизни бир ювугъугъуз бар. Гечортада гелип, огъар булай дейсиз: «Ювугъум! Магъа борчгъа уьч экмек бер. 
LUK.11.6	Магъа йыракъ ёлдан бир ювугъум гелген, ону алдына салмагъа мени бир затым да ёкъ».
LUK.11.7	О буса уьйню ичинден туруп, сизге: «Мени авара этме. Эшиклер бегитилген, мени булан ятып тёшекде яшларым да бар. Туруп сагъа бир зат да берип болмайман», – деп жавап бере. 
LUK.11.8	Сизге айтаман: о адам ятгъан еринден туруп, сагъа герек затынгны ювукълукъну гьюрметин этип де бермесе, эгер сен къаныгъып къарышсанг, огъар туруп, сагъа тарыкъ затны бермеге тюшер.
LUK.11.9	Шо саялы Мен айтаман сизге: тилегиз – сизге бережек, излегиз – табажакъсыз, эшикни къагъыгъыз – сизге ачажакъ. 
LUK.11.10	Неге тюгюл де, гьар тилеген – алар, излеген – табар, эшикни къакъгъангъа да – ачылар.
LUK.11.11	Арагъыздан къайсы ата, уланы аш тилегенде, таш берер яда балыкъ тилегенде, балыкъны орнуна йылан берер? 
LUK.11.12	Яда йымырткъа тилеген заманда, огъар акъырап берер? 
