GEN.1.1	Co'na' ñaqai chita'gue ỹo'uet ná'ogue ñi qota'olec, ca 'au ỹo'uet na piguim chaqai na 'laua. 
LUK.12.4	Qamiri ỹaqaỹarolqa, shiñiỹapegaxaua' totaxan ro'chiỹa cá'maq ishit quiyim ỹalauat ca qom, ca' ime quiyim ỹalauat, ca se ishit quiyim 'ue ca liỹa 'ne'tegue. 
LUK.12.5	Qam sa'xatema qamiri cá'maq ỹaatqajam ro'chiỹa: ro'chiỹa ma'le ñi qota'olec ñí'maq 'ue ca 'negue. Ma' ime quiyim naqata'a ca nachaalataxac ca qom, ime, ca lotqai ishit quiyim ilari'ña ca ncopatqo' na sauaqhuaiquipi. Ca' 'iñi ñi paguec quet ro'chiỹa.
LUK.12.6	¿Se qaimeene' caua cinco qo'oole, ñiguita nqohin caua dos namirolli'? Qam ñi qota'olec sqaca aca coua'e 'oono'lli' cana'maxare. 
LUK.12.7	Ma' vire'ta na laue quena rqahiguii ná'ogue qanaloqochinta 'onatac nqohin. Totaxan ro'chii, ma' qamiri paguec lecaic aca rashivichii cacajo 'xoic qo'oole.
LUK.12.8	Ca' aỹim shinac quecá'ogue cá'maq ra'qaataxanem na qomyipi quiyim queeta'pegue' aỹim, ca' qai'neeta najo ỹale llaalec ichoxot quiyim lalamaxat na'maxare ma' hueetaugui na piguim le'ec lelaatqaipi ñi qota'a. 
LUK.12.9	Qam ca se ra'qaataxanougui na qomyipi quiyim queeta'pegue' aỹim, ca' ca'maxare qai'neeta se sa'xat quiyim ỹalamaxat ma' seuetaugui na lelaatqaipi piguim laseripi ñi qota'a.
LUK.12.10	Chaqai no'm 'ue canchaqaica qom quiyim 'ue ca inaxalec ca se no'uen la'qaatec najo ỹale llaalec, qaiyiita qaỹapalaxat ca lasauaxaset. Qam ca se no'uen ca ỹa'xat queso Espíritu Santo, se ishit quiyim qaỹapalaxat ca lasauaxaset.
LUK.12.11	Ca ma' ỹovita quiyim qaraviguiu'a aca lapoxoqui na judioipi, loqo'm na nashillipi chaqai na na'gaxalateripi, qam sqai hueetapigui qavillii cá'maq 'xachii chaqai cá'maq 'ñiỹac. 
LUK.12.12	Ma' quiyim ỹovita ca laloqo' quiyim taxahi, ca' so Espíritu Santo ỹapaxaguinguelo qamiri cá'maq leloxoỹaxac ca ra'qaachiguii.
LUK.12.13	Ca 'uo' so ỹale hueetañigui so qomyipi 'naapego' so Jesús:
LUK.12.13	—Qami' napaxaguinataxanaq, 'ñirapega ñi ỹaqaỹa quiyim ỹasectaqchigui da nesallaxa no'ueenaqto'oto qomi' na'le so qareta'a.
LUK.12.14	Qam so Jesús 'naaco':
LUK.12.14	—Shinapega qami', ¿negue' ca ỹaanem aỹim ca ỹo'ueenataxanaxac quiyim ño'laaque ca nasauaxaset, loqo'm quiyim sasectaqchigui ca nesallaxa?
LUK.12.15	Qai'neeta 'naaco':
LUK.12.15	—'Ajnaxañii chaqai rovichiỹa'a ná'ogue na nqo'itaxanqachic, ma' da nachaalataxac ca qom se ishit quiyim chicqaugui ná'maq 'xoic lesallaxa hueeto'ot.
LUK.12.16	Ca' quiyi, ca ỹa'uo' so raloqojnaxana, 'naaco':
LUK.12.16	—'Uo' so ỹale ỹaatqajam nesallaxanec. Ca so ro'ueenataxanteguelec 'laua ỹaatqajam 'xoic ana la so lanecsec co'na' naqat. 
LUK.12.17	Ca' so nesallaxanec ra'deenataxantac, 'naaco': “¿Nega'ỹo' ca shi'ntegue nagui? Ma' ỹim qaica ca sella'gue quiyim sa'maxat ma' ñaqat ana la na ỹanecsec.” 
LUK.12.18	Ca' ra'deenataxantac, ca 'naaco': “Ca' nagui sa'den dá'maq shine'tegue. Ỹim nagui samaxañi ñí'maq 'auaxaic ỹapoonaxanaxaqui cana la na ỹanecsec, qaiyi so'uet ca liỹa paguec lecaic nqaishin. Ca ma' ime, ca sellaugui ná'ogue ana la na ỹanecsec ma' ñaqat, qai'neeta ná'ogue ná'maq liỹa hueetaỹot. 
LUK.12.19	Ime, ca' ñanecalta': Qami' ñachaalataxac, nagui mashic 'xoic na rovinqui' lapootañi, nalauguilo caua 'xoic ñaxaripi. Nagui, ca' nco'machirec, qui'i', ni'chi', chaqai netooñi'sac.” 
LUK.12.20	Qam ñi qota'olec 'naapego': “Qami' ỹale ỹaatqajam qaico' ca 'yiiñiraque, quena pe qami' rillivi', ca' ná'ogue ná'maq 'maxachi'sac, ¿negue' cá'maq taalec ma'le?” 
LUK.12.21	Ca' chaqaida da 'neeta ca qom quiyim chi lapoonñi ca lesallaxa, qam 'xoratam quiñi qota'olec.
LUK.12.22	Co'na' ime, ca' so Jesús 'naapegalo saua lapaxaguinatqa, 'naaco':
LUK.12.22	—Nagui shinapegalo qamiri: Se ishit quiyim chigohita 'yiiñitaque ca qanoxohi chaqai ca qatooỹaguii quiyim ñiiñi. 
LUK.12.23	Ma' da chaalataxac sqai 'nejem cá'maq na'ic, chaqai da 'ueenataxac sqai 'nejem ca chi qoỹanñi nooỹac. 
LUK.12.24	'Ajñii na ratecsan, ma' ná sqai danaxan, chaqai se raqataxan, chaqai sqaica ca lapoonaxanaxaqui, chaqai qaica ca lo'xac. Qam ñi qota'olec qui'ỹaxantac na'maxare. ¡Qam qamiri ỹapacauec ca rashivichaxaguii, sqai 'ñiita ana qo'oollipi! 
LUK.12.25	¿Ca negue' ca caqamiri quiyim ỹapaguec ca lachitachic, ca' ishit quiyim noquiicshiguim ca ladogaxa? 
LUK.12.26	Ma' quiyim qamiri sqai shichii cá'maq sqa lo, ca ¿chi'negue queta' 'xoic ca rque'guenataxanaxahi queca liỹa?
LUK.12.27	Ñaqa 'ajñii da lañaqtaxac ana peue 'ue ana lenoỹaxai. Ma' ana'maxare se ro'ueenataxan, chaqai se raqaletenaxan. Qam aỹim shinac quiyim vire'ta so nashi Salomón quesá'ogue so no'ueetaxat, sqai 'nejem da no'ueetaxac cana lenoỹaxai. 
LUK.12.28	Ma' no'm ñi qota'olec ỹa'ue na no'ueetaxat ana peue quiyim nagui hueetalec na no'ueenaxa, ca nete'e, ca qaỹavigaxat qainaxaugui ca nqatelaxanaxaqui, ¡huose'quet se ỹa'ue ca no'ueetaxachii, qamiri cocho'qui' ca rpi'ỹaxaguii! 
LUK.12.29	Ca' vichiguiño' mesqai 'xoic ca rachitachiguii, quiyim daañitaque ca qanoxohi chaqai queca ni'chiigui. 
LUK.12.30	Ma' na qomyipi hueetalec ana 'laua chaqainaua nauá'maq coỹaretecto naua'que nauataxare'. Qam qamiri 'ue ñi qata'ahi quiyim shi'gue ỹa'den quiyim qamiri viñitapigui naua'que nauajo. 
LUK.12.31	Qam qamiri ỹaatqajam na'xaỹaxañiỹa da lo'ueenataxanaxac ñi qota'a quiyim mashic ỹoiquentac ná'ogue najo, ca' qai'neeta coñiguit ma'le naua'que nauajo.
LUK.12.32	Totaxan ro'chii, ma' qamiri 'ñiita acá'maq ỹalamqate iloxoiqatecse qagreta. Qamiri sqo vite', qam ñi qata'ahi ỹaatqajam ỹa'maxarente' qamiri quiyim nouañiỹau'a da lo'ueenataxanaxac ma' ỹoiquentac ná'ogue najo. 
LUK.12.33	Miiñii naua rouenaxahi. Ime, ca' 'ỹaañim na 'ue ca ỹouentaque. Ime, ca' 'viichii aca qachoxoguii se ishit quiyim qo'oq, chaqai da nesallaxa hueeta'gue da piguim ma' se imeho, chaqai se inoxono ca cuataxai, chaqai se rechigaxan ca pit. 
LUK.12.34	Ma' cá'maq hueeta'gue ca resallaxahi, ca' chaqaica hueeta'ñi añi re'taxanatahi.
LUK.12.35	Ỹaatqajam na'maxachitañi, ỹaviquetaugui nqai'ñii aca rcoỹeraxanaxaguii. 
LUK.12.36	'Ñiitam ca nelaatec quiyim nauaanta'guit ca na'co' quiyim novi' chicqa'a ca nashilaxac, qaiyi leuoteta ỹauachigui ca lasom ma' novi' ca'maxare, loqo'm chi roỹaxan. 
LUK.12.37	Chalego la'maxa quecauajo nelaatqa quiyim ma' novi' ca na'coote' iuanejlgoto quiyim ñaq neloosauec ma' novi'. Ỹaatqajam llic da shinac quecajo a'co' na'maxajñi, ca nqa'xanaxañiñi caua'maxare, iloxoỹaxandelec ca nqui'ỹaxala', ime, ca' niỹoqshiguim ca na'ic. 
LUK.12.38	'Eno'm novi' queca pe lauel, loqo'm ma' na'xa'atac, qam no'm novi' iuanejlgoto ñaq neloosauec, chalego la'maxa ma'le quecauajo nelaatqa. 
LUK.12.39	Ca' 'yiiñita dajo shinac quiyim 'ue ca lalamaxat ca 'imec quiyim ỹa'deenta ca loviraqa' ca cuataxai chaqa'ma' yi nelootauec, ca se ỹasen quiyim qai'guentau'a quiyim qarocachot. 
LUK.12.40	Ca' qamiri qai'neeta ỹaatqajam na'maxachitañi, ma' ne'laqataxanto ca loviraqa' najo ỹale llaalec.
LUK.12.41	Ca' so Pedro renataxan:
LUK.12.41	—Qami' qara'gaxala', dajo raloqojnaxanaxachi', ¿peeta'a nodaaterec tauguilo qomi', loqo'm ná'ogue na liỹa qomyipi qai'neeta?
LUK.12.42	Ca' so qara'gaxala' 'naaco':
LUK.12.42	—¿Ca nega'ỹo' ca 'nejem ca nelaatec qamaxaraic chaqai 'deenaxanqachaqaic quecá'maq ca na'co' pataxalec cá'ogue ca louenec queca la'a' quiyim qui'ỹaxanataxan ma' ỹovirelec ca laloqo'? 
LUK.12.43	Chalego la'maxa quecajo nelaatec quecá'maq quiyim novi' ca na'co', ca natenejlec ỹo'ueetetac ca nelaataxaset. 
LUK.12.44	Aỹim ỹaatqajam llic da shinac quecajo a'co' ỹamaxalec ma'le quiyim reloxoỹa'a cá'ogue cá'maq louenec. 
LUK.12.45	Qam quecajo 'neetapega quiyim sqaua' novi' ca na'co', ca' ỹouaxantac na liỹaripi nelaatqaipi chaqana nelaataipi, ime, ca' quelec da lqui'ỹaxac, chaqai da ne'taxac quena lataxa, 
LUK.12.46	ca' so na'co' novi' quecajo na'xa'a quiyim so lelaatec se ỹahotaque chaqai ca laloqo' se ỹa'den, ime, ca' qaỹa'ue ca nouaxanaxaset chalego lecaic, 'nejem nqohin ca nouaxanaxaset ná'maq mese na'xaỹaxan.
LUK.12.47	Qam ca nelaatec quiyim ỹa'den ca ỹahotaque ca na'co', qam se na'maxatetañi, chaqai se na'xaỹaxan, ca' ca'maxare ỹaatqajam 'xoic ca nouaxanaxac ma'le. 
LUK.12.48	Qam ca nelaatec quiyim se ỹa'den ca ỹahotaque ca na'co', ca' ỹo'uet ca chicqaugui ca nouaxanaxaset, ca sqailligueme' ca nouaxanaxaset. Ma' ca 'xoic ca qoỹaanem, ca 'xoic ma'le ca qaroỹaxanaque, chaqai ca 'xoic ca qaipataxalec, ca paguec lecaic ca qaroỹaxanaque.
LUK.12.49	Aỹim ñanac quiyim scopata'a ca norec quena 'laua; chaqai ¡chalego na ishoxo quiyim chaqa'ma' ỹaviquetaugui nagui! 
LUK.12.50	Aỹim sai'a quiyim 'xoic ca i'xoric, 'nejem ca nocoraxanaxac, chaqai ¡chalego na ỹachicoxo quiyim chaqa'ma' sahotaque quiyim ỹovirelec! 
LUK.12.51	Qamiri ¿pe'taxañitaque quiyim ñodo ca leuagaxa na qomyipi? 'E', qaidaata quiyim neuagaxat na qom. 
LUK.12.52	Ma' nagui taachi'ñi quiyim quecaua cinco queca na'a' chaqa'ma' neuagaxate', quecaua tres npa'guento caua dos, chaqai caua dos npa'guento caua tres. 
LUK.12.53	Ca neta'a npa'guente'e' ca llaalec, chaqai ca ñaalec npa'guente'e' ca leta'a. Aca nate'e npa'guente'e' aca llaale, chaqai aca ñaale npa'guente'e' aca late'e. Aca 'ỹoqoro npa'guente'e' aca late, chaqai aca nate npa'guente'e' aca ni'ỹoqoro.
LUK.12.54	So Jesús qai'neeta 'naapega so qomyipi:
LUK.12.54	—Quena' qamiri huañiỹa na naueguelec chicqo'tegue da lauashiguim, ime, ca' 'ñiỹac ỹaxat ma'le. Ca' chaqaida ipaquichigui. 
LUK.12.55	Chaqai quena' pe'taxanshiguim na nonot queda 'guiñi, ca' 'ñiỹac 'xoic ma'le ca npa'ỹaaxa. Ca' chaqaida ipaquichigui. 
LUK.12.56	Ca' ¡qamiri mashic 'ñiitapega quiyim qamiri 'maxaraqa! Ma' qamiri 'yiiñii 'xachii na netanqaipi na piguim chaqai na 'laua, qam ¿chi'negue ma' sqa 'yiiñii ca 'neete' naua na'xata' seuqatauguilo nagui?
LUK.12.57	Qam qamiri ¿chi'neco' ma' se nimichiỹalta', qaiyi 'viichii ca ỹa'maqachiguiñi? 
LUK.12.58	Ma' no'm 'ue ca ỹamaxalec qami' ca rasauaxashichi', ime, ca' talaxanegue qami' queca nashi, qam no'm ñaq quiita'gue ca nayic, 'maxaraic quiyim chaqa'ma' na'maxachire'e' ca npa'guenaxaua'e', qaiyi se ishit qaỹauegueu'a qami' cá'maq imitaque ca rasauaxashichi'. Ca' queca nimiitaxanaq queca nasauaxaset ilara'a qami' ca nouaataxanaq, ca' queca nouaataxanaq ỹanaugui qami' ca ncoñiitaxanaxaqui. 
LUK.12.59	Ca' aỹim shinapega qami' quiyim sqai shichi' nenoxoñirec cacajo ncoñiitaxanaxaqui quiyim saqa' shivichiñi' aca pa'aatec ra'ualli'i'.
LUK.13.1	Ca' chaqaisaua sauajo na'xata', ca 'vio' saua novite', ca' ra'qaataxansapeguem so Jesús queso nashi Pilato 'vio' saua ỹalauate' qomi' nera'ñi yi Galilea. Ime, ca' ỹalecqajñiguit na leuoripi só'maq leuoripi ca lalauatec iseripi, ỹahosaque ỹavigaxate' quiyim lachitaxanataxanqate'. 
LUK.13.2	Ca' so Jesús 'naaco':
LUK.13.2	—¿Qamiri pe'taxañitaque quiyim sojo qomyipi qohine'tegue dajo paguec sauaqhuaiquipi quiyá'ogue yi liỹaripi na'ñi yi Galilea? 
LUK.13.3	Ỹim shinac 'e'. No'm qamiri se retacochahi, qamiá'ogue 'ñiita ma'le caua'maxare. 
LUK.13.4	Loqo'm 'ñiitapega quesaua dieciocho qaipataqarañi co'na' 'guiñi aso naue na'ñi yi Siloé, ¿peeta'a 'ñiitapega paguec sauaqhuaiquipi quená'ogue na neeta'ñi yi Jerusalén? 
LUK.13.5	Ca' shinapegalo qamiri 'e'. Ma' qamiri qai'neeta no'm se retacochahi, ca' qamiá'ogue 'ñiita ma'le caua'maxare.
LUK.13.6	Ca' so Jesús ỹa'uo' aso raloqojnaxana, 'naaco':
LUK.13.6	—'Uo' so ỹale 'uo' aso lanecse higo, ỹantalec yi na'laua. Ca' eec ra'ajnaxana, qam sqaca aca ỹanata la. 
LUK.13.7	Ime, ca' 'naapega só'maq neloxoỹaq queso 'laua, 'naaco': “'Ajñi', mashic tres ñaxari yapilta'quena, qam sqaca aca sanata cacá'maq ñi'guena'a la. Ca 'maxaraic huaxañirelec ada'maxare, ¿negue' quet cá'maq 'negue quiyim neetalec yi 'laua?” 
LUK.13.8	Qam só'maq neloxoỹaq quiyi 'laua 'naaco': “Qami' ña'co', ñaqai 'xañirac quenajo ñaaxa ada'maxare, ñaq ñi'ỹot chaqai semeetot. 
LUK.13.9	Ca' queda, ca' sqoue 'ue aca la. Qam no'm se ishit 'ue aca la, ca' qaỹouaxanlec ma'le.”
LUK.13.10	Ca 'uo' so na'xa'a co'mataxaqui, ca' so Jesús rapaxaguinataxantac, hueetaugui aso lapoxoqui na judioipi. 
LUK.13.11	Ca' ỹalequetaho' aso 'aalo mashic ỹovi' dieciocho ñaxari queso le'ne'. 'Uo' so le'ec lecmaxaic qoyimigui nqai'en, ca' aso'maxare se ishit nalamaxajñi. 
LUK.13.12	Ca co'na' so Jesús idaana'a, ca roỹaxana, ca' 'naapego':
LUK.13.12	—Qami' 'aalo, nagui mashic souec qami' quena ralolaxa'e'.
LUK.13.13	Ca' ỹashil-lec queda lqai'laxat aso'maxare, ca chaqa'ma' nalamaxajñi, ca' imaqachintac ñi qota'olec. 
LUK.13.14	Qam só'maq nashi cañí'maq napoxoqui ỹaatqajam ro'o, ma' so Jesús ỹomatec queso na'xa'a co'mataxaqui. Ca' 'naapego' so qomyipi, 'naaco':
LUK.13.14	—'Vii naua seis na'xata' quiyim ỹa'maqachiguiñi qaro'ueenataxanguilo. Ca chaqainaua quet naua huauguilo quiyim qaromachiuec, qam mesqaiyi yi na'xa'a co'mataxaqui.
LUK.13.15	Ca' so qara'gaxala' saat, 'naaco':
LUK.13.15	—Qamiri mashic 'ñiitapega quiyim qamiri 'maxaraqa, ¿peeta'a sqaica canchaqaica caqamiri ỹosouec ca lalo ñii'lola, loqo'm aca lalo 'ashina queca na'xa'a co'mataxaqui quiyim ỹauegaxasom, ne'taxan queca huaxaỹaq? 
LUK.13.16	Qam cadajo 'aalo ma' llaale so Abraham, ca' so na'ỹaapec coñiretari' ada'maxare quedajo nalolaxa nagui mashic ỹovi' dieciocho ñaxari, ca' ¿se ỹa'maxaño' quiyim qaỹosouec quedajo ralolaxa queca na'xa'a co'mataxaqui?
LUK.13.17	Ca co'na' 'naac dajo so Jesús, ca' sá'ogue so npa'guenaxauaripi ỹaatqajam 'xoic da layiloxo. Qam sá'ogue so liỹa qomyipi ỹaatqajam 'ue da netoonaxac na' iuanchigui da lecaic da ỹo'uet so Jesús.
LUK.13.18	Lotqai 'naaco':
LUK.13.18	—¿Nega'ỹo' ca 'nejem nqaishin da lo'ueenataxanaxac ñi qota'a quiyim ỹoiquentac ná'ogue najo? ¿Chaqai nega'ỹo' ca saloqojnaxana? 
LUK.13.19	Da'maxare 'nejem aca la ana mostaza quiyim ca qom ỹanlec ca na'laua, ime, ca' ñaxat, vire'ta quiyim 'nejem aca qo'paq late'ogue'. Ime, ca' anac ana qo'oollipi, ca' ỹo'uet na lco'vichaxaquiripi ỹanauguilo naua lasote.
LUK.13.20	Qai'neeta 'naaco' so Jesús:
LUK.13.20	—¿Nega'ỹo' ca saloqojnaxana quiyim 'nejem nqaishin da lo'ueenataxanaxac ñi qota'a quiyim ỹoiquentac ná'ogue najo? 
LUK.13.21	Da'maxare 'nejem aca lpe'taqate ca pan quiyim aca 'aalo icona. Ime, ca' inaxañigui ca lodegaxat laqaulatec, ca' aca'maxare pe'taxachigui cá'ogue cá'maq naqaulatec.
LUK.13.22	So Jesús ñaqai taata'gue da Jerusalén, ca' taỹalec so na'aateripi chaqai naua na'aaterolqai', ca' rapaxaguinataxantac. 
LUK.13.23	Ca 'uo' so renataxan, 'naaco':
LUK.13.23	—Qami' qara'gaxala', ¿sqo vite' cauá'maq nca'lerec?
LUK.13.23	Ca' so'maxare 'naaco':
LUK.13.24	—Nquipichiỹa'pegue' quiyim noxoñiho quiñi cocho'qui' lasom, ma' ỹim shinac quiyim ỹaatqajam 'xoic ma'le ca ỹahotaque inoxono, qam se ishit. 
LUK.13.25	Ma' ime, ca' cajo lauo' ca 'imec ne'laxashiguim, ỹapogui ca lasom ca 'imec, ca' qamiri pa'aitauec, ca' ỹaxañitapegueu'a ca lasom, 'ñiỹac: “Qami' qara'gaxala', huachire'ogalo qomi'.” Qam ca'maxare saat, ca' 'naac: “Taque', se sa'den ca chigoxoita'gue qamiri.” 
LUK.13.26	Ca' quiyi, ca qamiri 'ñiỹac: “Qomi' qami' qarqui'ỹaxaua, chaqai qane'taxaua quen, chaqai qami' paxaguinataxañisac quena' senqata'ñi yi qara'a'.” 
LUK.13.27	Qam ca'maxare 'naapegalo qamiri, 'naac: “Ỹim shinapegalo qamiri quiyim aỹim se sa'den ca chigoxoita'gue. Oquiỹe'e najo qamiá'ogue qamiri, ma' qamiri 'viichitac da se ỹa'maxañi.” 
LUK.13.28	Ca' quiyi hua'ñi, ca' nohiñitac chaqai quishquintecta' naua rovii quena qavillii, ma' daañiỹau'a ca Abraham, Isaac, Jacob, chaqai ná'ogue na letaxaỹaxaquiripi ñi qota'a, qoyinta'ñi ca lo'ueenataxanqa' ñi'maxare, qam qamiri, ca' qaro'yiỹauec. 
LUK.13.29	Ma' nac ma'le na qom chicqa'gue da rapiguim chaqai da 'guiñi chaqai da lqodoigue chaqai da lauashiguim, ca' nqa'xanñi quiyim que'e queca lo'ueenataxanqa' ñi qota'olec. 
LUK.13.30	Ca' queca ma'le 'uo' quena nagui co'uaataxantaho, ca' 'ue ca 'auetaho; chaqai 'uo' ná'maq nagui 'auetaho, ca' co'uaataxantaho ma'le.
LUK.13.31	Ca' chaqaiso so na'xa'a, ca novirero saua chicqoraugui na fariseoipi. Ca' qara'qaataxanem so'maxare, qohinac:
LUK.13.31	—Oquire'e najo, ma' ñi nashi Herodes ỹahotaque ralauachi'.
LUK.13.32	Qam so'maxare 'naaco':
LUK.13.32	—Mohi, 'qaataxañim ma'le cataq co'ỹaxaraic: “Nagui chaqai nete'e so'da'oguiyi na ne'ec lecmaxaiquipi, chaqai somatec na ralolaxaic, ca' nete'e liỹa, ca' yime.” 
LUK.13.33	Qalaxam no'uen quiyim shic lecocho'qui' quena na'xa'a chaqai nete'e chaqai ca liỹa na'xa'a, ma' se ỹa'maxañi quiyim qaỹalauat ca letaxaỹaxaqui ñi qota'a pa'aatauec quiyi Jerusalén.
LUK.13.34	¡'Xoraiqolqa qamiri ñiita'ñi na Jerusalén, ma' qamiri lauachiỹac na la'qaataxanqajanqaipi ñi qota'a, chaqai naxahitalec quena qa' ná'maq nelaatalo qamiri ñi qota'olec! ¡Ỹoto'o' quiyim sahotaque llapoonta' na qachaalaxai'pi, shine'tegue quiyim 'ec aca huaqa'e quena' lapoonta' na llaalqaipioqui', illo'oto naua laua', qam sqa 'maxariñii! 
LUK.13.35	'Ajñii qamiri, ma'le naua ra'aachiri co'tejelgoto; chaqai aỹim shinapegalo qamiri quiyim tot liỹa huañiua', toco' ma' 'ñiỹac: “Ỹaatqajam chalego loyac da llicyaxac ná'maq nelaatalo qomi' ñi qara'gaxala'.”
LUK.14.1	Ca 'uo' so na'xa'a co'mataxaqui, ca' so Jesús quepegue' quiyim lqui'ỹaaqa' yi la'a' so lashi na fariseoipi. Ca' so liỹaripi fariseoipi chi rauaanaxantac, ra'iitapegueu'a so'maxare. 
LUK.14.2	Ca' hueeta'anyi qai'neeta so ỹale na'uat na loshicmaxa reloqoto'ot so'maxare. 
LUK.14.3	Ca' so Jesús inat ná'maq rapaxaguinataxanta'pegue na naqataxaquipi chaqai so fariseoipi, 'naaco':
LUK.14.3	—¿Peeta'a qaỹasenta quiyim qaỹomatec ca ralolaxaic quiyi na'xa'a co'mataxaqui, loqo'm 'e'?
LUK.14.4	Qam só'maq qomyipi ỹaatqajam i'maqajlem. Ca' so Jesús ipootau'a so ralolaxaic, ca chaqa'ma' imeuec nqai'en, ca' 'naapega quiyim eec. 
LUK.14.5	Ca' 'naapega so fariseoipi, 'naaco':
LUK.14.5	—'Uo' cá caqamiri, no'm 'ue ca qalohi 'ashin, loqo'm ca ñii'lola, quiyim ta'ñigui aca ni'ỹa, ¿mesqai chaqa'ma' navicshiguim, 'eno'm nachinchigui ca na'xa'a co'mataxaqui?
LUK.14.6	Qam sqaica ca ishit 'ue ca ỹa'xat quesaua'maxare.
LUK.14.7	Ca co'na' so Jesús iuanchigui da 'neetari' so nalecseripi quiyim nca'atapegueu'a ná'maq paguec loyac qa'xanaxaquiripi quesó'maq nqui'ỹaxala', ca' ỹa'ue da laqataxac, 'naaco':
LUK.14.8	—Ca no'm 'ue ca qami' lalecsec queca nashilaxac, se nqa'xañiri'ñi ca qa'xanqa' paguec loyac, ma' sqoue noviro ca liỹa nalecsec qaỹapacqajnauec caqami'. 
LUK.14.9	Ca cá'maq qamiri lalecse' ishit quepegue' qami', ime, ca' 'naac: “'Ỹaañitem na nqa'xanaxaqui'i' najo liỹa.” Ca' ne'laxachirishiguim, qam 'ue na rayiloxo'e', ca' nqa'xañirelec ca pa'aatec qa'xanaxala'. 
LUK.14.10	Vichiguiño' no'm qami' nalecsec, ca' nqa'xañiringui ca pa'aatec qa'xanaxala', qaiyi ma' novi' cá'maq qami' lalecsec, ca 'naapega qami': “Qami' ñamígo, na'itquena nqa'xañiriñi quena paguec loyac qa'xanqa'.” Ca qaimaqachin qami' quecauá'maq nqa'xañisa'anto. 
LUK.14.11	Ma' cá'maq chi ỹauaaque ca lecaic, ca' se qaimaqachin, chaqai cá'maq neneequesenta, ca qaimaqachin.
LUK.14.12	'Naapega qai'neeta só'maq ỹale talaxantaco':
LUK.14.12	—Noma' 'ỹaañirec ca na'ic, loqo'm 'viichi' ca nqui'ỹaxac, sqai ỹalli' na namigoi'ipi, chaqai na rqaỹachi'ipi, chaqai na qauochi' laseripi, chaqai na sqoỹoqaque quena ra'aachi' nesallaxanqaipi, ma' caua'maxare ma'le lotqai ỹale' aqami', ca' 'ue ca coñichiguit lopilaxaset. 
LUK.14.13	Qam no'm 'viichi' ca nqui'ỹaxac, talaxañi' quena 'xoraic, chaqai na tot qaica ca 'negue, chaqai na ni'iraho naua lichil, chaqai na qai'laqaipi, 
LUK.14.14	qaiyi ỹaatqajam chalego ca ra'maxa'e'. Ma' na'maxare se ishit quiyim rishivichiñi'. Qam qami' ma'le 'ue ca nishiuetenaxaqui', ma' ỹovita quiyim liỹa qanca'laxatec ná'maq ỹaatqajam 'maxaraic da no'ueenataxac qomyipi.
LUK.14.15	Ca co'na' 'qaachigui dajo so 'óna quesauá'maq nqa'xansañi, reloqotalec ca nqui'ỹaxala', ca 'naapego' so Jesús:
LUK.14.15	—Ỹaatqajam chalego loyac ma'le quecá'maq nouanau'a ca na'ic ma' qoyinta'ñi ca lo'ueenataxanqa' ñi qota'a.
LUK.14.16	Ca' so Jesús 'naaco':
LUK.14.16	—'Uo' so ỹale ỹo'ueeto' so ỹaatqajam lodegaxat nqui'ỹaxac, ca' relaataxan quiyim qoỹal ca 'xoic qom. 
LUK.14.17	Ca co'na' ỹovita ca laloqo' quiyim que'e, ca ila' so lelaatec quiyim 'naapegalo caua lalecse': “Naguii, ma' mashic yá'ogue ỹa'maqatañi.” 
LUK.14.18	Qam sá'ogue daachiguiñi na 'ue na ỹeguelec. Ca só'maq 'auaxaic 'naaco': “Ỹim chita'gue quiyim seshiujnaxana yi ña'laua, ca' ỹim shic quiyim sa'ajnaxane'oga. Ca' nagui ñi'xoresene'tot qami' quiyim chi yi'xoriñi'sac.” 
LUK.14.19	Ca' so liỹa 'naaco': “Ỹim, qam chita'gue seshiujnaxanalo yaua cinco notauaripi toorollipi, ca' nagui sahotaque quiyim se'guen. Ca' ỹim chi qouaquiric chaqai yi'xoriñi'.” 
LUK.14.20	Ca' so liỹa 'naaco': “Aỹim, qam chita'gue so'on, ca' vichiguiño' ỹim se seshit quiyim shic.” 
LUK.14.21	Qam co'na' rapil so nelaatec, ca' ra'qaataxanem dá'ogue dajo só'maq na'co'. Ca só'maq na'co' ro'o. Ca 'naapego' so lelaatec: “Mo'e', quiteguelo naua nayico chaqai naua nayicolqai' quenajo na'a'. Ime, ca naviquiro ma'le na 'xoraiquipi chaqai na tot qaica ca 'negue chaqai na ni'iraho naua lichil, chaqai na qai'laqaipi.” 
LUK.14.22	Ca co'na' mashic shi'gom, ca lotqai novi' so nelaatec, ca' ra'qaataxan, 'naaco': “Qami' ña'co', mashic shi'gue so'uet da relaataxanaxaqui', qam qaiyiita 'ue nedaaqa'.” 
LUK.14.23	Ca' so 'co' 'naapego' so lelaatec: “Mo'e', quiteguelo ma'le naua nayico leta'al chaqai naua nayicolqai' chaqai repaquira'a na liỹa quiyim nenoxono, qaiyi no'xagui na iuo'. 
LUK.14.24	Ma' ỹim shinac quiyim sqaica ca quenataq 'auaxaic ỹalecseripi tot ishit quiyim ñouanaxaua quena noq.”
LUK.14.25	Ca ỹaatqajam 'xoic na qom coỹareta'pegue' so Jesús, ca' so'maxare nqovilque'e, ca 'naaco':
