GEN.1.1	Ma mwena handru badeh Kindrei mwesekei munyak ma kandrah. 
GEN.18.9	Eme oro ndremenya iy, “Udum Sara ndraheh?” Eme iy anya eh, “Iy udu bolo asiu balei.”
GEN.18.10	Ano Laban anya eh, “Jo kameh eme ja, na bolo jaha eme, ma udum Sara kameh nah udu ndrinen.” Ya Sara badeh udu mada san ta asiu balei udu konan. 
GEN.18.11	Sara hawe Abraham badeh uru ndra alon handru ma jaha turu badeh ndra sola labai, ma Sara badeh winiyan bato-ou nah ja bwe ai. 
GEN.18.12	Eme Sara badeh akodei iy ma iy ehe-en ma iy lomondra, “Jo badeh ndra ndrolo-oh, ma iy lau tek ndra alon, jo kameh barasekesek ta lakou dah de bwe.”
GEN.18.13	Ano Laban tiye i ta Abraham, “I buku sah Sara ehe-en ma anya eh, ‘Handru eh, jo kada-ah ndra alon, jo kameh ato-ou nah?’ 
GEN.18.14	Lakou mari kede-eh manamun ta Laban le ai. Jo kameh eme hamon na len ta aliy amwenen udu bolo jaha eme, ma Sara kameh tuwi nah mwan.”
GEN.18.15	Eme Sara inoh ma mwesekei wasai anya eh, “Jo behe-en bwe.” Arile iy anya eh, “Ou ehe-en handru.”
GEN.18.16	Ano badeh oro lau dah au, adek ala, ano oro anyolom eme andri ta Sodom ma Abraham atiye oro ma anyolom oro au. 
GEN.18.17	Eme Laban anya eh, “Jo winiyan batonei sasah jo anya kamwekes ta mada Abraham bwe ai. 
GEN.18.18	Lundriyen oro kameh asahan kon tinan ari buruwen, ma na iy le badeh kameh, jo kameh atehei nyosowan i tiri kon munyak tinan mari. 
GEN.18.19	Jo badeh ndrasehek tan ta atehei iy badeh kabatanau nadun oro hawe lau badu asiu tan kanuhun le jo, ma kamwekes kandriyen mwasin le handru. I buku none oro an hamon ta batanau mari, jo tandrakan ta amwekes lakou mari i tan.”
GEN.18.20	Ano Laban tiye, “Ndrelen ta bada Sodom hawe Gomora tinan labai, ma karei ma lomondra ndra-in ndrandra-i labai. 
GEN.18.21	Eme ya jo ki-iu ki andri kanyolom i buku none lakou oro amwekes doh handru de bwe, i buku none ndrelen toro ndrame.”
GEN.18.22	Eme uru lau dah au ala Sodom, arile Abraham le ales udu le mada Laban udu. 
GEN.18.23	Ano Abraham eme mirihik ma iy lelen, “Ou kameh adai iri lau mwasin ma lau ndra-in ale? 
GEN.18.24	I buku none lau mwasin ma lomonoh (50) i dah kameh ou sulumwi kon de bwe, ma ou sulumwi kon mari ano. Ya ou winiyan basebenei bwe ai, ta lau ma lomonoh (50) bado bwe ai. 
GEN.18.25	Ou winiyan bamwesekei bwe. I buku none ou mwesekei kameh iri lau mwasin kameh ado bolo lau ndra-in ale. Ya iy kameh winiyan bwe. Iri lau ta anuhun sahou badu munyak badeh anuhun sahou badeh mwasin ja.”
GEN.18.26	Ano Laban tiye, “I buku none oro lau lomonoh (50) mwasin ado Sodom eh, badeh kameh jo winiyan basulumwi kon mari bwe.”
GEN.18.27	Eme Abraham tiye ja, “Jo badeh ndrasehek sahou boto-on labai ndra ta Laban. Jo badeh lakou leleyah, jo munyak ma koloweh leleyah. 
GEN.18.28	Ya ki buku none lau limeh le ka-au udu baha lomonoh (50), ou winiyan sulumwi kon de bwe?” Eme Laban tiye, “I buku none jo anyolom lau hanoh limeh (45) ado aliy, badeh kameh jo winiyan basulumwi bwe ai.”
GEN.18.29	Eme iy ndremenya ja i tan, “I buku sah i buku none lau hanoh (40) kado aliy?” Eme iy tiye, “Buku none oro lau hanoh le, jo winiyan bamwesekei bwe.” 
GEN.18.30	Ano Abraham tiye, “Laban ei, ou sabolosen, jo kasehek, ya i buku none tonoh (30) ado aliy?” Eme iy tiye, “Buku none oro lau tonoh le, jo winiyan bamwesekei bwe.”
GEN.18.31	Eme Abraham tiye, “Len ndra-au badeh jo ndrasehek sahou boto-on ndra ta Laban, ki buku none lunoh (20) ado aliy, mwasin?” Eme iy tiye, “Oro lunoh le badeh jo winiyan basulumwi kon bwe.”
GEN.18.32	Ano iy tiye, “Laban ou sabolosen; jo anya kasehek sahou san rasan le ja. Ya ki buku none lau ronoh le mwasin de bwe?” Eme iy anya eh, “Buku none lau ronoh le badeh jo winiyan basulumwi bwe.”
GEN.18.33	Eme Laban asehek sahou hawe Abraham ano badeh iy iu ai, eme ma Abraham i asiu ai.
GEN.19.1	Lot badeh manyah udu mada san ta i bolo kon na beyeh, eme badeh uru Angelo la-uh asahan hawen. Iy anyolom uru le badeh iy edek ili hawe uru ma akor ma bulin i andri bada munyak. 
GEN.19.2	Eme iy tiye, “Laban, ah ma la-uh kame asiu tek tasah jo ta lahou ta ah. Ah kasikine kati ah ma ah kamadin ben ari, ano ma ndraben ah bara-au.”
GEN.19.2	Eme uru anya, “Bwe ai, aru kameh amadin na ben dah ado lohalak bolo kon.” 
GEN.19.3	Arile iy andresei uru ma uru ala asiu tan. Ano Lot tiye oro lau ta lahou tan mwesekei jabi ramen yis bala bolon bwe i nuru lau dah.
GEN.19.4	Eme oro bamadin bwe le badeh, iri lau loweu hawe iri lau-en mari badu kon Sodom badeh ala awudi asiu. 
GEN.19.5	Eme iri aloh Lot, “Oro lau ame na ben nane ndraheh? Oro kameh manan aso anya katou oro!”
GEN.19.6	Eme Lot sulu-i kou ano iy eme manan, ma atuwi kou ili. 
GEN.19.7	“Ado kawas tek, ado samwekes kandriyen badeh. 
GEN.19.8	Naduk badih ma la-uh kada-ah, uru bakohok se mwan bwe. Jo katiye uru kame manan ya ado badeh kamwekes sasah na seken tado ki turu. Ya ado samwekes ari lakou sala toro, oro badeh are baha tondrok tek.”
GEN.19.9	Eme oro anya, “Ou abelek!” Ma oro tiye, “Ou lau dah badeh badu leheleh ame dah, eme ya ou anya amwekes kandriyen ta sahou ai. Oro kameh, bwe ai, arile aso kameh adeu maha tinan labai i tam.” Oro andres Lot boto-on labai ano oro anya katokos asiu.
GEN.19.10	Arile oro lau ado bolon sulu-i kou ma aluwi Lot i bolon ano sulu-i kou ili. 
GEN.19.11	Ano badeh oro bwidi mada iri agwah, eme ma iri banyolom kou bwe.
GEN.19.12	Ano uru lau ma la-uh dah lelen Lot, “Ou ari lowam, o ari molosou ta nadum, o ari nadu mwan ma badih udu kon dah de bwe. O ari lau udu bolo kon dah tam de bwe. Ou kuhi oro ka-au ta kon dah. 
GEN.19.13	Tasah aso kameh asun kon dah. Laban badeh anuhun ndrelen tiri, eme iy suni aso ame ta asun.”
GEN.19.14	Eme Lot ili badeh asehek ta masa-an oro, ala sudi nadun oro badih. Iy tiye, “Suwi ado kame len ta kon dah, Laban kameh asun kon dah.” Arile udu nadun oro anya badeh iy ibo nyorei le.
GEN.19.15	Na boholen badeh oro Angelo wekewek Lot, “Suwi! Ou kuhi udum ma nadum badih ma la-uh ya ado ka-au. Eme ya ado samak, len kon kameh andrakak!” 
GEN.19.16	Eme Lot badeh babotatahan bwe. Laban tikisiy iy eme iy kuhi udun ma nadun uru na lim ma sariye oro ame len ta kon.
GEN.19.17	Eme oro ame len le badeh iy ari tiye anya eh, “Ado kabotataha batu ado! Ado sanyolom same hamon, ma ado samunyau loboho kon bwidiu udu aliy. Ado katobwak ka mandrei, bakameh ado kamak.”
GEN.19.18	Arile Lot tiye i turu, “Ndri-i, Laban tek! 
GEN.19.19	Ou badeh anuhun jo labai, ma mwesekei jo, ma ou sebenei kohak. Mandrei udu len labai, jo winiyan batobwak bala aliy bwe. Koro-an maha ma sisi-in tinan labai kabwidi jo kimek. 
GEN.19.20	Ou ndranyolom kon bwisik udu mirihik ai kodo-oh. Ma kon doh nadu bwisik, eme jo katobwak ki aliy. Ma jo kameh winiyan bamak bwe.”
GEN.19.21	Eme iy anya eh, “Abo mwasin jo aseken. Jo badeh winiyan basulumwi kon badeh bwe. 
GEN.19.22	Suwi ado kala suwi! Jo badeh winiyan bamwekes ari lakou bwe winiyan ado ndrasos.” Eme ta katin doh badeh kon doh aloh So-ar, tasah kon doh bwisik.
GEN.19.23	Lot oro ala asos le So-ar badeh, an eme loken la-u kon. 
GEN.19.24	Ano badeh Laban mwesekei jih nyarahan labai anya udu kandrah eme sulumwi Sodom hawe Gomora. 
GEN.19.25	Eme badeh sulumwi iri lau mari, sulumwi nyamak ma hawe sulumwi baso mari ano. Lakou mari badeh andrakak. 
GEN.19.26	Eme udu Lot anyolom i hamon badeh ma iy ibin i bek.
GEN.19.27	Eme ma ndraben ta len ari ja, Abraham amak ma iy ili ndrahu kon iy mene ales udu aliy mada Laban, 
GEN.19.28	eme iy anyolom i andri ili Sodom hawe Gomora ma hawe munyak ma nyamak mari loboho doh badeh iy anyolom kasu-er i loken. I buku none kasu-er ta jih nyarahan badeh i loken.
GEN.19.29	Len Kindrei sulumwi kon tinan ma nyamak mene Lot manyah udu aliy, eme iy badeh bamaniy Abraham bwe ya eme iy mwesekei Lot atobwak ma iy udu mwasin. Loboho Iri Mowaba Ma Amora
GEN.19.30	Ano Lot hawe nadun uru badih ma la-uh badeh ruwani So-ar, eme oro ala manyah ado bolo mandrei, tasah iy badeh inoh ta manyah udu So-ar. Oro ma taloh badeh manyah ado munu bek. 
GEN.19.31	Eme len ari badeh nadu Lot badih bwele-en tiye i ta nadu tinen badih bahan, “Tama talu badeh ndra alon, eme ari lau ja kede-eh ja bwe ai, ta amadin talu bwe, i buku none kandriyen ta munyak mari. 
GEN.19.32	Talu kamwesekei tama talu badeh ka-un wa-in eme iy kamadin talu ya talu kato-ou nah.”
GEN.19.33	Eme na ben doh badeh uru atehei wa-in i ta tama uru, ano badeh iy bwele-en turu badeh amadin hawen bwena. Iy amadin hawen badeh ano iy suri iy badeh, Lot batona bwe.
GEN.19.34	Len ari ja badeh iy bwele-en tiye i ta iy bahan, “Na ben badeh jo amadin tama, talu kamwesekei iy ka-un wa-in na ben dah, eme ou ala amadin hawen ja eme ma talu kato-ou nah kasahan ta tama talu.” 
GEN.19.35	Eme uru mwesekei tama uru a-un wa-in na ben doh ano iy bahan ili amadin hawen. Eme i le buku aliy, iy amadin hawen badeh, ano iy suri iy eme loken badeh Lot batona se bwe.
GEN.19.36	Eme uru ma la-uh tuwi nah nadu tama uru. 
GEN.19.37	Iy bwele-en badeh atehei nadun eme len badeh tondrohani nyaran badeh Mowab, moson “Ta tama.” Eme iy badeh tama iri Mowaba na len dah. 
GEN.19.38	Iy bahan badeh atehei nah mwan ale, eme tondrohani nyaran badeh Ben-ami, moson “Nadu tama oro.” Eme na len dah badeh iy badeh tama iri Amora.
GEN.20.1	Ano badeh Abraham ruwani ndrahunen bwena, eme iy edek ili loboho Negeb ma manyah udu ndrokowa Kades hawe Sur. Iy udu Gerar badeh luwen bwe, 
GEN.20.2	eme badeh Abraham tiye anya Sara badeh nadu tinen. Ano kabin badu Gerar nyaran Abimelek atehei sahou ili andrei Sara ili.
GEN.20.3	Arile Kindrei asahan ta Abimelek na ameh na ben ma tiye i tan, “Ou kameh amak tasah ou andrei badih tasou badeh.”
GEN.20.4	Eme badeh Abimelek bala mirihik tan bwe, eme iy tiye, “Laban, jo badeh mwasin labai, ou kameh adai jo ma iri lau tek ai? 
GEN.20.5	Abraham tiye badeh anya iy nadu tinen, eme Sara ale tiye i buku aliy. Jo mwesekei doh badeh budon tek bandra-i bwe ma jo bamwesekei ari lakou ndra-in bwe.”
GEN.20.6	Eme Kindrei tiye i tan na ameh, “Jo tanan, ou badeh budon tam bandra-i bwe, eme jo badeh bamwesekei ou bamwekes lomondra ndra-in bame badak bwe, ma bamwesekei ou batawi iy bwe. 
GEN.20.7	Ya eme na le dan, badeh ou atehei udun ki hamon. Tasah iy badeh ndramak ta boho Kindrei iy kameh amwekes salom i tam, i buku bwe, jo tiye tanan tam ou kameh amak ma hawe iri lau tam mari.”
GEN.20.8	Eme na ma ndraben badeh iy luhi iri lau ta lahou badu bolo asiu tan ame, eme badeh iy asehek nyala iri. Eme badeh iri anoh. 
GEN.20.9	Ano badeh Abimelek luhi Abraham eme bolon ma tiye, “Ou amwekes sasah eme taso dah? Jo mwesekei madam andra-i ta sasah handru, eme ya ou adeu maha tinan eme la-u aso ma tondrok tek dah? Lakou ou amwekes dah badeh ou winiyan bamwekes bame tek bwe ai.” 
GEN.20.10	Ano badeh Abimelek ndremenya Abraham, “Saba katin handru ou badeh amwekes kandriyen dah?”
GEN.20.11	Eme Abraham anya eh, “Jo abudon le i buku doh, iri lau badu kon dah banoh Kindrei bwe, eme i dah kameh iri kadai jo, tasah na uduk. 
GEN.20.12	Arile iy badeh nadu tine handru. Iy badeh nadu tama arile, nadun ta tine ta tewedeu jo bwe, eme badeh jo sudi iy. 
GEN.20.13	Eme Kindrei tiye jo eme len ta munyak, eme kon leheleh, eme badeh jo tiye i tan ta iy badeh kaleheya mwasin tan hawe seken tan udu tek handru ki tiri kon mari, ta jo badeh nadu tinen.”
GEN.20.14	Ano badeh Abimelek eme badeh kuhi katin haka sipsip ma bulumakau ma hawe iri bonyo-ou mwan ma badih atehei i ta Abraham, ma iy atehei udun Sara i hamon. 
GEN.20.15	Eme badeh Abimelek tiye i tan, “Munyak tek udu madam kede-eh, ou manyah ado aliy na seken tam.”
GEN.20.16	Ya i ta Sara badeh iy tiye i buku doh, “Jo kameh edeu ta nadu tinem kameh wa-iralou hayen nyikilikin amwekes na silba. Ta leheya udu mada iri lau tam mari, ta ou badeh bamwekes ari kandriyen ndra-in bwe, eme iri lau mari katanan ou badeh bamwekes ari lakou bandra-i bwe.”
GEN.20.17	Ano badeh Abraham amwekes salom i ta Kindrei, ma Kindrei mwesekei Abimelek ma hawe udun hawe oro bonyo-ou badih tan badeh ato-ou nah ja. 
GEN.20.18	Tasah ta udu Abraham Sara le mene, Kindrei mene sokei lakou ta amwekes nah tiri lau mari badu baha tondrok ta Abimelek.
GEN.21.1	I buku none Kindrei mene ndrasehek ma ndratandrakan ndra-au ta iy badeh tikisiy Sara labai, 
GEN.21.2	Eme udu bada Abraham i alon badeh, Sara ndrinen i tinan ma iy tuwi nah mwan i nadun. Amwenen le ta len mene Kindrei tandrakan iy. 
GEN.21.3	Eme badeh Sara atehei nah dah eme len badeh, Abraham tondrohani nyaran Aisik. 
GEN.21.4	Ano len ta nadun Aisik asahan ndru la-uh badeh Abraham sani ku-i lakou tan iu, i buku Kindrei ndratiye tan. 
GEN.21.5	Abraham jaha tan asahan rinek (100) badeh nadun Aisik eme len.
GEN.21.6	Eme badeh Sara tiye, “Kindrei badeh atehei sekesek eme ndrinek ma buku none iri lau mari anuhun kameh iri kameh sekesek hawek.” 
GEN.21.7	Ano iy tiye le, “Are tiye i ta Abraham anya, Sara kameh winiyan nyowo-ei nah bwe? Arile udu bada alon tan badeh jo ndratehei nah mwan ai.”
GEN.21.8	Iy nah badeh i tinan ano na len Aisik aruwe sur badeh, Abraham mwesekei tine nyamon. 
GEN.21.9+GEN.21.10	Arile Sara anyolom nadu i badih Haga badu Ijip, atehei i nadu Abraham badeh bobose, eme iy tiye ta Abraham, “Ou tikahei badih ta lahou tam ma hawe nadun ki-iu, tasah nadun kameh winiyan bakohok ari lakou hawe nadum Aisik bwe.”
GEN.21.11	Eme Abraham abudon la bwe, tasah iy badeh nadun le. 
GEN.21.12	Arile Kindrei tiye, “Ou sabudon tinan labai ta nah nadu badih ta lahou tam kede-eh. Ou badeh anuhun boho Sara asehek tam, tasah na Aisik le kameh lundriyem oro asahan. 
GEN.21.13	Jo kameh edeu nadu badih ta lahou tam kameh asahan kon rakon buruwen, tasah iy badeh nadum le.”
GEN.21.14	Na ma ndraben ta len ari ja badeh Abraham kuhi nyamon rayah ma hawe bwisi gwa (amwekes na ku-i katin haka) idih na gwa atehei i mine Haga. Iy bwese-ei i nah badeh tukuni i konan ma tiye uru au. Eme iy edek leleyah ili bolo lomale an Bersiba.
GEN.21.15	Eme gwa udu bolo bwisin ano badeh, iy nyahani i nah udu bolo bwidiu udu ai. 
GEN.21.16	Eme iy ili manyah udu len. Ano iy abudon, “Jo bwalek anyolom nah mwan kodo-oh imek.” Eme iy anya keden.
GEN.21.17	Eme Kindrei anyolom i nah dah eden, eme badeh Angelo ta Kindrei udu kandrah aloh i ta Haga, “Ou ndra buku sah badeh? Ou sanoh, Kindrei badeh ndranuhun i nah eden kede-eh. 
GEN.21.18	Ou bwese-ei iy keme loken ma ou apon iy, tasah jo kameh amwekes lundriyen oro kameh asahan kon tinan rakon handru.”
GEN.21.19	Ano badeh Kindrei mwesekei madan asak badeh, iy atou gwa li. Eme iy andrei bwisi gwa ili badeh asuniy ma i nah dah a-un.
GEN.21.20	Iy badeh i tinan, Kindrei badeh udu hawen le. Iy badeh ndrahu manyah tan udu kon lomale an, eme iy badeh asahan nyekelen handru ta beteleu. 
GEN.21.21	Iy manyah udu lomale an nyaran Paran, ano tinen badeh andrei badih ari badu Ijip i udun.
GEN.21.22	Na len doh badeh Abimelek hawe Pikol ndramak ta mwena ta bahun tan tiye i ta Abraham, “Sasah ou amwekes badeh Kindrei udu hawem. 
GEN.21.23	Na dah udu mada Kindrei badeh ou tandrakan ta ou badeh sawasai jo ma lundriye naduk oro. Jo badeh tikisiy ou labai, eme jo aseken ou badeh tikisiy jo ale ma kon munyak ou manyah are aliy dah.”
GEN.21.24	Eme Abraham tandrakan.
GEN.21.25	Ano badeh Abraham eme nunu-uh Abimelek ta gwa li oro lau ta lahou ta Abimelek solo-ei. 
GEN.21.26	Eme Abimelek anya, “Aliy, jo tanan are amwekes badeh bwe. Ou batiye tek bwe, nane le jo badeh baranuhun.” 
GEN.21.27	Eme badeh Abraham kuhi sipsip hawe bulumakau eme atehei i ta Abimelek. Eme uru amwekes sahou randra le. 
GEN.21.28	Ano Abraham kuhi sipsip kasen ndro taloh tan eme len, 
GEN.21.29	eme badeh Abimelek ndremenya Abraham, “Saba moson ta ou atehei sipsip kasen ndro taloh udu len kede-eh?”
GEN.21.30	Eme iy tiye, “Ou kuhiy sipsip kasen ma ndro taloh doh, tasah gwa li badeh jo a-eh.”
GEN.21.31	Eme nyara kon doh badeh Bersiba, moson “Li ta tandrakan,” tasah uru lau ma la-uh badeh tandrakan ado aliy.
GEN.21.32	Hamon ta sahou randra le ano udu Bersiba badeh, hawe Pikol ndramak ta bwena ta bahun tan badeh uru au a hamon ala Pilistin. 
GEN.21.33	Ano Abraham tahi kei tamarisk udu Bersiba, eme iy aloh nyara Laban, Kindrei ta udu le buku doh.
GEN.21.34	Eme Abraham badeh manyah ili eme udu munyak ta Pilistin luluwen labai.
GEN.22.1	Udu hamon ta aliy badeh Kindrei none Abraham. Eme iy tiye i tan, “Abraham!” Eme Abraham anya eh, “Jo kada-ah.”
GEN.22.2	Ano Kindrei tiye, “Ou andrei Aisik, nadum ala adem handru in tan kede-eh badeh ou ala loboho Moreya. Jo kameh leheya mandrei kameh i tam ma ou asun iy ki nyara salom.”
GEN.22.3	Eme Abraham amak na ma ndraben, abedei ndro-o jih ano andrei i ta asun salom eme iy atehei i bwele-e katin haka donki ma andrei Aisik hawe uru lau ta lahou tan la-uh. Eme oro adek ala kon Kindrei ndratiye tan. 
GEN.22.4	Len la-uh ano ya i bada len taloh badeh Abraham atou kon nane udu len. 
GEN.22.5	Eme badeh iy tiye i turu lau ta lahou tan, “Ah kado dah ma donki kado jo hawe Aisik badeh aru kala kodo-oh. Aru kameh ala atudun ano badeh aru barame hamon hawe ah ja.”
GEN.22.6	Ano Abraham andrei ndro-o jih ta asun atehei i kase nadun Aisik eme iy andrei jih ma samen. Eme uru adek se ala badeh, 
GEN.22.7	Aisik ndremenya taman Abraham, “Tama?” Eme Abraham anya, “Abo naduk sasah?” “Ndro-o jih hawe jih kada-an ai, ya sipsip ta asun ta salom ndrahe bah?”
GEN.22.8	Eme Abraham anya eh, “Naduk, Kindrei le baradeu sipsip kasen barame ta asun ta salom.” Eme uru ma la-uh adek ala.
GEN.22.9	Eme uru ala asos kon mene Kindrei tiye tan badeh, iy eme tukumwi bek i loken ta asun. Ano badeh iy kuhi ndro-o jih i bwele-en. Ano badeh i sawei nadun Aisik badeh atehei iy i bwele-e ndro-o jih udu bada bek dah. 
GEN.22.10	Eme iy andrei samen anya kamundroh le iy badeh, 
GEN.22.11	Angelo ta Laban aloh udu kandrah eme anya, “Abraham! Abraham!”
GEN.22.11	Eme Abraham anya, “Jo kada-ah.”
GEN.22.12	“Ou sadai iy ma ou samwekes sasah sala tan, jo badeh tanan, ou badeh anoh Kindrei labai, eme ou basolo-ei nadum bwe.”
GEN.22.13	Eme Abraham madan eme loken badeh iy anyolom katin haka rem badeh andra batun badeh malou sakabwitiniy iy. Eme iy ruwani Aisik, iy ili badeh tawi rem dah eme, akohok kon ta Aisik ta salom. 
GEN.22.14	Eme Abraham tondrohani nyara kon nane doh badeh, “Kindrei Kameh Atehei.” Eme ma taku len dah aloh, “Mandrei doh badeh Laban Kameh Atehei.”
GEN.22.15+GEN.22.16+GEN.22.17	Ano badeh Angelo ta Laban udu kandrah aloh ja i ta Abraham ma tiye, “Ou badeh banoh ta adeu nadum ou aseken labai bwe, jo tandrakan handru jo kameh amwekes lundriyem oro kameh nyaran bwe, oro kameh a solo-a ndrau badu loken ma solo-a on badu babi. Lundriyem oro kameh akohok lakou mari tiri lau ta ndra-i i tam udu kon tinan tiri. 
GEN.22.18	Ya nyosowan ta lundriye nadum oro kameh ili la-u kon munyak mari, tasah na ou anuhun sahou tek.”
GEN.22.19	Ano badeh Abraham uru au ala hawe uru lau ta lahou tan nane ma oro au ala Bersiba. Eme Abraham udu Bersiba udu le.
GEN.22.20	Ano udu len hamon badeh Abraham anuhun nadu tinen Nahor udun Milkah badeh atehei nadun ma ndru la-uh: 
GEN.22.21	Kadok badeh Us ano Bus ano badeh Kemu-el tama Aram, 
GEN.22.22	Keset, Haso, Pildas, Jidlap ma Betu-el, tama Rebeka. 
GEN.22.23	Milkah badeh atehei nah ndru la-uh nane doh. 
GEN.22.24	Udu Nahor badih ta mada san nyaran Reumah badeh atehei Tebah, Gaham, Tahas hawe Ma-akah.
GEN.23.1	Sara badeh udu winiya jaha rinek lunoh ndro taloh (127). 
GEN.23.2	Iy imek badeh udu Kiriyat Arba (aloh Hibron) udu munyak Kenan, eme Abraham ili moroha iy ma eden i la-un.
GEN.23.3	Ano Abraham suri iy udu ka-u udun eme loken badeh, iy tiye i tiri Hita. Iy tiye i buku doh, 
GEN.23.4	“Jo badeh badu leheleh eme udu ndrokowa ado. Jo anya kisih sese munyak loboho dah eme ya jo ka-eh uduk ki aliy.”
GEN.23.5	Eme iri Hita tiye i ta Abraham, 
GEN.23.6	“Laban, ou anuhun aso. Udu bolo ahi dah, ou badeh ou lau ta Kindrei. Ou ahi udum badeh ki munu bek na seken tam le. Ari ndramak badeh winiyan bala bwalen ta lek (munu bek) tan ta a-eh bada kei tam kede-eh bwe.”
GEN.23.7	Ano badeh iy ales ma iy aluh i andri mada iri lau mari badu Hita ta munyak tiri. 
GEN.23.8	Eme Abraham tiye i tiri, “I buku none ado aseken ta jo kihiy bada kei tek dah, badeh ado kanuhun jo, ado kala hawe Epron nadu Sohar, badeh ado ka nyara bohok, 
GEN.23.9	eme kasihinei munu bek ta Makpelah, i doh tan amwenen udu ka-u munyak tan badeh. Ado kandremenyani iy ta sihinen handru badeh sabe, eme ma kudu mada ado, jo kasihinei ki ndrahu a-eh tek.”
GEN.23.10	Eme Epron badeh manyah udu hawe iri Hita ndrahu kon ta atukum, mada san ta i bolon; eme iri lau mari badeh anuhun iy asehek; 
GEN.23.11	“Laban ou anuhun, lo ndranye oro lau tek mari kede-eh, jo kameh atehei munyak mari ma munu bek udu aliy kede-eh i tam. Ta ou badeh ahi udum ki aliy.”
GEN.23.12	Eme ja badeh Abraham aluh i andri udu mada iri lau mari ta munyak dah. 
GEN.23.13	Lo ndranye iri lau mari badeh iy tiye ta Epron, “Aha kanuhun jo, i buku none aha aseken badeh jo kasihinei munyak mari. I buku ado aseken sisih badeh, jo kihiy uduk ki aliy.”
GEN.23.14	Eme Epron tiye ta Abraham, 
GEN.23.15	“Laban, ou anuhun jo, munyak badeh sihinen badeh hanek (400) boroh amwekes na silba; arile lakou doh badeh talu barasehek ta aliy ndrokowa talu. Ou ahi udum.”
GEN.23.16	Eme Abraham aseken budon ta Epron eme ma iy andromoi sihine lakou mari iy nane aloh udu ndranye lau mari badu Hita nane dah: badeh hanek (400) boroh amwekes na silba i buku none maha ta aliy udu ndrokowa lau ta atondrok.
GEN.23.17+GEN.23.18	Eme udu ndranye iri Hita mari nane ame ado mada san ta i bolo kon dah, munyak ta Epron ma munu bek hawe iri kei udu kobek udu Makpelah mirihik ta Mamre badeh atehei i ta Abraham.
GEN.23.19	Ano badeh Abraham atehei udun Sara i munu bek udu munyak Makpelah mirihik ta Mamre (aloh Hibron) udu munyak Kenan. 
GEN.23.20	Eme munyak doh badeh ma munu bek udu aliy badeh ta Abraham handru badu mine iri Hita i tan ta mada lek.
GEN.24.1	Abraham badeh ndra alon labai, ma jaha tan ndra sola, eme Laban badeh atehei nyosowan i la-un ta mada san mari. 
GEN.24.2	Eme iy tiye i ta lau ta lahou tan ta atondrok badu asiu tan, ma iy ta atondrok lakou mari tan, “Ou tawi baha bak ta kalem, 
GEN.24.3	Jo badeh aseken ou tandrakan na nyara Laban, iy Kindrei badu kandrah ma munyak, ta ou sakohok badih sala ta naduk badu kenan, kon jo manyah udu hawe iri dah, 
GEN.24.4	arile ou kameh ala kon tek ala hawe lowak oro amwenen akohok ari badih ki ta naduk Aisik.”
GEN.24.5	Eme iy lau ta lahou tan tiye, “Ya ki buku none iy badih ki bwalen ta eme kameh ki buku sah bah?”
GEN.24.6	Abraham anya eh, “Ou badeh sandrei naduk sawek badeh. 
GEN.24.7	Laban Kindrei badu kandrah le badeh kuhi jo eme len ta boho kamen ta tama udu munyak tek, iy tiye ma tandrakan jo ta edeu munyak dah i ta lundriyek oro. Iy kameh suni angelo ili bwena tam, ta aseben ou kandrei ari badih badu badeh keme ta naduk. 
GEN.24.8	I buku none i badih bwalen ta eme hawem eme, badeh batanau tek balem kamani ai. Arile ou sandrei naduk sawek badeh.” 
GEN.24.9	Ano badeh i lau ta lahou tan dah tawi baha ba Abraham dah ma tandrakan bohon i tan ta nyala lakou nane dah.
GEN.24.10	Ano badeh i lau ta lahou tan dah andrei katin haka ronoh kamel ma hawe lakou rayah mwasin ta Abraham badeh, ma iy iu ili Aram Nahara-em ma edek iu ili kon Nahor mene udu aliy. 
GEN.24.11	Eme iy bwidi iri kamel manyah ado andri ka-u gwa li udu manan ta kon; i doh na beyeh ai, mada an tiri badih ta ame a-us gwa.
GEN.24.12	Ano badeh iy amwekes salom, “O Laban, Kindrei ta Abraham len dah ou atehei keme tek, ma ou leheya tikisiy tam ki ta Abraham. 
GEN.24.13	Ou anyolom jo badeh ales udu ka-u gwa dah ya nadu iri lau badih badu kon kameh ame ta a-us gwa. 
GEN.24.14	Kasahan i buku none jo katiye ki ta i badih, ‘Ei, bwisi gwa tam ki andri ya jo anya ka-un se gwa,’ Ya i buku none iy anya, ‘Abo ou a-un; ma jo kedeu gwa ki ta kamel tam.’ Eme badih doh baden adeh, ki ta nadu i lau tam Aisik. Eme ya jo kameh i tanan ou badeh leheya mwasin tam i ta Abraham.”
GEN.24.15	Iy ano salom le badeh, Rebeka edek ma sabok tan udu kasen eme. Iy badeh nadu Betu-el ya Betu-el i ndrine Milkah, udu nadu tine Abraham Nahor. 
GEN.24.16	Iy badeh konen labai, ma iy ma bihin le; ari lau bakohok iy bwe le. Iy edek ili gwa li, asuni sabok tan ano iy eme hamon ja badeh, 
GEN.24.17	iy lau ta lahou dah edek ili suwi badeh tiye, “Ei, jo anya ka-un se gwa badu bolo sabok tam badeh?”
